a	a˧˥
trùng tang	ʈuŋ͡m˦˨ taŋ˧˥
trùng thập	ʈuŋ͡m˦˨ tʰɤ̆p˨ˀ˩ʔ
trùng triềng	ʈuŋ͡m˦˨ ʈiəŋ˦˨
trùng trình	ʈuŋ͡m˦˨ ʈin˦˨
trùng trùng	ʈuŋ͡m˦˨ ʈuŋ͡m˦˨
trùng trùng điệp điệp	ʈuŋ͡m˦˨ ʈuŋ͡m˦˨ diəp˨ˀ˩ʔ diəp˨ˀ˩ʔ
trùng trục	ʈuŋ͡m˦˨ ʈuk͡p˨ˀ˩ʔ
trùng tu	ʈuŋ͡m˦˨ tu˧˥
trùng tảo	ʈuŋ͡m˦˨ taw˧˩˨
trùng tố	ʈuŋ͡m˦˨ to˩˧
trùng vi	ʈuŋ͡m˦˨ ji˧˥
trùng vây	ʈuŋ͡m˦˨ jɤ̆j˧˥
trùng xoắn	ʈuŋ͡m˦˨ swăŋ˩˧
trùng xá	ʈuŋ͡m˦˨ sa˩˧
trùng điệp	ʈuŋ͡m˦˨ diəp˨ˀ˩ʔ
trùng đế giày	ʈuŋ͡m˦˨ de˩˧ jăj˦˨
trú	ʈu˩˧
trú binh	ʈu˩˧ bin˧˥
trú chân	ʈu˩˧ cɤ̆ŋ˧˥
trú dân	ʈu˩˧ jɤ̆ŋ˧˥
trú dạ	ʈu˩˧ ja˨ˀ˩ʔ
trú ngụ	ʈu˩˧ ŋu˨ˀ˩ʔ
trú phòng	ʈu˩˧ fɔŋ͡m˦˨
trú quán	ʈu˩˧ waŋ˩˧
trú quân	ʈu˩˧ wɤ̆ŋ˧˥
trú sở	ʈu˩˧ ʂɤ˧˩˨
trú ẩn	ʈu˩˧ ɤ̆ŋ˧˩˨
trúc	ʈuk͡p˦˥
trúc bâu	ʈuk͡p˦˥ bɤ̆w˧˥
trúc bạch	ʈuk͡p˦˥ bak˨ˀ˩ʔ
trúc chẻ ngói tan	ʈuk͡p˦˥ cɛ˧˩˨ ŋɔj˩˧ taŋ˧˥
trúc chỉ	ʈuk͡p˦˥ ci˧˩˨
trúc côn	ʈuk͡p˦˥ koŋ͡m˧˥
trúc cần câu	ʈuk͡p˦˥ kɤ̆ŋ˦˨ kɤ̆w˧˥
trúc hóa long	ʈuk͡p˦˥ hwa˩˧ lɔŋ͡m˧˥
trúc lâm	ʈuk͡p˦˥ lɤ̆m˧˥
trúc lâu	ʈuk͡p˦˥ lɤ̆w˧˥
trúc lịch	ʈuk͡p˦˥ lit˨ˀ˩ʔ
trúc mai	ʈuk͡p˦˥ maj˧˥
trúc mai sum họp	ʈuk͡p˦˥ maj˧˥ ʂum˧˥ hɔp˨ˀ˩ʔ
trúc nhào	ʈuk͡p˦˥ ɲaw˦˨
trúc nhự	ʈuk͡p˦˥ ɲɯ˨ˀ˩ʔ
trúc sênh	ʈuk͡p˦˥ ʂen˧˥
trúc sơn	ʈuk͡p˦˥ ʂɤŋ˧˥
trúc ti	ʈuk͡p˦˥ ti˧˥
trúc tra trúc trắc	ʈuk͡p˦˥ ʈa˧˥ ʈuk͡p˦˥ ʈăk˦˥
trúc trắc	ʈuk͡p˦˥ ʈăk˦˥
trúc đào	ʈuk͡p˦˥ daw˦˨
trúc đổ	ʈuk͡p˦˥ do˧˩˨
trúm	ʈum˩˧
trúng	ʈuŋ͡m˩˧
trúng cách	ʈuŋ͡m˩˧ kak˦˥
trúng cử	ʈuŋ͡m˩˧ kɯ˧˩˨
trúng dải	ʈuŋ͡m˩˧ jaj˧˩˨
trúng gió	ʈuŋ͡m˩˧ jɔ˩˧
trúng giải	ʈuŋ͡m˩˧ jaj˧˩˨
trúng kế	ʈuŋ͡m˩˧ ke˩˧
trúng mom	ʈuŋ͡m˩˧ mɔm˧˥
trúng mánh	ʈuŋ͡m˩˧ man˩˧
trúng môm	ʈuŋ͡m˩˧ mom˧˥
trúng phong	ʈuŋ͡m˩˧ fɔŋ͡m˧˥
trúng phóc	ʈuŋ͡m˩˧ fɔk͡p˦˥
trúng quả	ʈuŋ͡m˩˧ wa˧˩˨
trúng số	ʈuŋ͡m˩˧ ʂo˩˧
trúng thương	ʈuŋ͡m˩˧ tʰɯəŋ˧˥
trúng thầu	ʈuŋ͡m˩˧ tʰɤ̆w˦˨
trúng thử	ʈuŋ͡m˩˧ tʰɯ˧˩˨
trúng thực	ʈuŋ͡m˩˧ tʰɯk˨ˀ˩ʔ
trúng tim	ʈuŋ͡m˩˧ tim˧˥
trúng tuyển	ʈuŋ͡m˩˧ twiəŋ˧˩˨
trúng tủ	ʈuŋ͡m˩˧ tu˧˩˨
trúng ý	ʈuŋ͡m˩˧ i˩˧
trúng độc	ʈuŋ͡m˩˧ dok͡p˨ˀ˩ʔ
trút	ʈuk͡p˦˥
trút bỏ	ʈuk͡p˦˥ bɔ˧˩˨
trút mồ hôi	ʈuk͡p˦˥ mo˦˨ hoj˧˥
trăm	ʈăm˧˥
trăm cay ngàn đắng	ʈăm˧˥ kăj˧˥ ŋaŋ˦˨ dăŋ˩˧
trăm công ngàn việc	ʈăm˧˥ koŋ͡m˧˥ ŋaŋ˦˨ jiək˨ˀ˩ʔ
trăm dâu đổ đầu tằm	ʈăm˧˥ jɤ̆w˧˥ do˧˩˨ dɤ̆w˦˨ tăm˦˨
trăm hay không bằng tay quen	ʈăm˧˥ hăj˧˥ xoŋ͡m˧˥ băŋ˦˨ tăj˧˥ wɛŋ˧˥
trăm hoa đua nở	ʈăm˧˥ hwa˧˥ duə˧˥ nɤ˧˩˨
trăm họ	ʈăm˧˥ hɔ˨ˀ˩ʔ
trăm kẻ bán, vạn người mua	ʈăm˧˥ kɛ˧˩˨ baŋ˩˧ jaŋ˨ˀ˩ʔ ŋɯəj˦˨ muə˧˥
trăm nghe không bằng một thấy	ʈăm˧˥ ŋɛ˧˥ xoŋ͡m˧˥ băŋ˦˨ mok͡p˨ˀ˩ʔ tʰɤ̆j˩˧
trăm nghìn	ʈăm˧˥ ŋin˦˨
trăm ngàn	ʈăm˧˥ ŋaŋ˦˨
trăm ngày	ʈăm˧˥ ŋăj˦˨
trăm năm	ʈăm˧˥ năm˧˥
trăm phát trăm trúng	ʈăm˧˥ fak˦˥ ʈăm˧˥ ʈuŋ͡m˩˧
trăm phương ngàn kế	ʈăm˧˥ fɯəŋ˧˥ ŋaŋ˦˨ ke˩˧
trăm sông đổ cả ra biển	ʈăm˧˥ ʂoŋ͡m˧˥ do˧˩˨ ka˧˩˨ ʐa˧˥ biəŋ˧˩˨
trăm sự	ʈăm˧˥ ʂɯ˨ˀ˩ʔ
trăm tay nghìn mắt	ʈăm˧˥ tăj˧˥ ŋin˦˨ măk˦˥
trăm thứ bà giằn	ʈăm˧˥ tʰɯ˩˧ ba˦˨ jăŋ˦˨
trăm trận trăm thắng	ʈăm˧˥ ʈɤ̆ŋ˨ˀ˩ʔ ʈăm˧˥ tʰăŋ˩˧
trăm tuổi	ʈăm˧˥ tuəj˧˩˨
trăm voi không được bát nước xáo	ʈăm˧˥ jɔj˧˥ xoŋ͡m˧˥ dɯək˨ˀ˩ʔ bak˦˥ nɯək˦˥ saw˩˧
trăm ăm	ʈăm˧˥ ăm˧˥
trăm đường tránh chẳng khỏi số	ʈăm˧˥ dɯəŋ˦˨ ʈan˩˧ căŋ˧˩˨ xɔj˧˩˨ ʂo˩˧
trăm đắng ngàn cay	ʈăm˧˥ dăŋ˩˧ ŋaŋ˦˨ kăj˧˥
trăn	ʈăŋ˧˥
trăn gió	ʈăŋ˧˥ jɔ˩˧
trăn gấm	ʈăŋ˧˥ ɣɤ̆m˩˧
trăn trở	ʈăŋ˧˥ ʈɤ˧˩˨
trăn đất	ʈăŋ˧˥ dɤ̆k˦˥
trăng	ʈăŋ˧˥
trăng già	ʈăŋ˧˥ ja˦˨
trăng gió	ʈăŋ˧˥ jɔ˩˧
trăng hoa	ʈăŋ˧˥ hwa˧˥
trăng khuyết	ʈăŋ˧˥ xwiək˦˥
trăng lưỡi liềm	ʈăŋ˧˥ lɯəj˧˩˨ liəm˦˨
trăng mật	ʈăŋ˧˥ mɤ̆k˨ˀ˩ʔ
trăng non	ʈăŋ˧˥ nɔŋ͡m˧˥
trăng thanh gió mát	ʈăŋ˧˥ tʰan˧˥ jɔ˩˧ mak˦˥
trăng treo	ʈăŋ˧˥ ʈeo˧˥
trăng tròn	ʈăŋ˧˥ ʈɔŋ͡m˦˨
trăng trói	ʈăŋ˧˥ ʈɔj˩˧
trăng trắng	ʈăŋ˧˥ ʈăŋ˩˧
trăng trối	ʈăŋ˧˥ ʈoj˩˧
trăng đến rằm trăng tròn	ʈăŋ˧˥ den˩˧ ʐăm˦˨ ʈăŋ˧˥ ʈɔŋ͡m˦˨
trăng-dít	ʈăŋ˧˥-jit˦˥
trĩ	ʈi˧˩˨
trĩ mũi	ʈi˧˩˨ muj˧˩˨
trĩ sao	ʈi˧˩˨ ʂaw˧˥
trĩ đỏ	ʈi˧˩˨ dɔ˧˩˨
trĩu	ʈiw˧˩˨
trĩu trịt	ʈiw˧˩˨ ʈit˨ˀ˩ʔ
trũi	ʈuj˧˩˨
trũng	ʈuŋ͡m˧˩˨
trơ	ʈɤ˧˥
trơ khấc	ʈɤ˧˥ xɤ̆k˦˥
trơ lì	ʈɤ˧˥ li˦˨
trơ mép	ʈɤ˧˥ mɛp˦˥
trơ mắt	ʈɤ˧˥ măk˦˥
trơ mắt ếch	ʈɤ˧˥ măk˦˥ et˦˥
trơ như mặt thớt	ʈɤ˧˥ ɲɯ˧˥ măk˨ˀ˩ʔ tʰɤk˦˥
trơ như phỗng	ʈɤ˧˥ ɲɯ˧˥ foŋ͡m˧˩˨
trơ như đá	ʈɤ˧˥ ɲɯ˧˥ da˩˧
trơ như đá vững như đồng	ʈɤ˧˥ ɲɯ˧˥ da˩˧ jɯŋ˧˩˨ ɲɯ˧˥ doŋ͡m˦˨
trơ thổ địa	ʈɤ˧˥ tʰo˧˩˨ diə˨ˀ˩ʔ
trơ tráo	ʈɤ˧˥ ʈaw˩˧
trơ trơ	ʈɤ˧˥ ʈɤ˧˥
trơ trẽn	ʈɤ˧˥ ʈɛŋ˧˩˨
trơ trọi	ʈɤ˧˥ ʈɔj˨ˀ˩ʔ
trơ trỏng	ʈɤ˧˥ ʈɔŋ͡m˧˩˨
trơ trụi	ʈɤ˧˥ ʈuj˨ˀ˩ʔ
trơ vơ	ʈɤ˧˥ jɤ˧˥
trơ ì	ʈɤ˧˥ i˦˨
trơi	ʈɤj˧˥
trơn	ʈɤŋ˧˥
trơn lông đỏ da	ʈɤŋ˧˥ loŋ͡m˧˥ dɔ˧˩˨ ja˧˥
trơn như cháo chảy	ʈɤŋ˧˥ ɲɯ˧˥ caw˩˧ căj˧˩˨
trơn như đổ mỡ	ʈɤŋ˧˥ ɲɯ˧˥ do˧˩˨ mɤ˧˩˨
trơn nhẫy	ʈɤŋ˧˥ ɲɤ̆j˧˩˨
trơn tru	ʈɤŋ˧˥ ʈu˧˥
trơn trợt	ʈɤŋ˧˥ ʈɤk˨ˀ˩ʔ
trơn tuột	ʈɤŋ˧˥ tuək˨ˀ˩ʔ
trưa	ʈɯə˧˥
trưa trật	ʈɯə˧˥ ʈɤ̆k˨ˀ˩ʔ
trưa trờ	ʈɯə˧˥ ʈɤ˦˨
trưng	ʈɯŋ˧˥
trưng binh	ʈɯŋ˧˥ bin˧˥
trưng bày	ʈɯŋ˧˥ băj˦˨
trưng cầu	ʈɯŋ˧˥ kɤ̆w˦˨
trưng cầu dân ý	ʈɯŋ˧˥ kɤ̆w˦˨ jɤ̆ŋ˧˥ i˩˧
trưng dụng	ʈɯŋ˧˥ juŋ͡m˨ˀ˩ʔ
trưng khẩn	ʈɯŋ˧˥ xɤ̆ŋ˧˩˨
trưng mua	ʈɯŋ˧˥ muə˧˥
trưng nhị	ʈɯŋ˧˥ ɲi˨ˀ˩ʔ
trưng thu	ʈɯŋ˧˥ tʰu˧˥
trưng thâu	ʈɯŋ˧˥ tʰɤ̆w˧˥
trưng thầu	ʈɯŋ˧˥ tʰɤ̆w˦˨
trưng triệu	ʈɯŋ˧˥ ʈiəw˨ˀ˩ʔ
trưng trắc	ʈɯŋ˧˥ ʈăk˦˥
trưng tập	ʈɯŋ˧˥ tɤ̆p˨ˀ˩ʔ
trưng vương	ʈɯŋ˧˥ jɯəŋ˧˥
trương	ʈɯəŋ˧˥
trương công định	ʈɯəŋ˧˥ koŋ͡m˧˥ din˨ˀ˩ʔ
trương gia mô	ʈɯəŋ˧˥ ja˧˥ mo˧˥
trương huệ	ʈɯəŋ˧˥ hwe˨ˀ˩ʔ
trương hán siêu	ʈɯəŋ˧˥ haŋ˩˧ ʂiəw˧˥
trương lương	ʈɯəŋ˧˥ lɯəŋ˧˥
trương lực	ʈɯəŋ˧˥ lɯk˨ˀ˩ʔ
trương minh giản	ʈɯəŋ˧˥ min˧˥ jaŋ˧˩˨
trương mắt ếch	ʈɯəŋ˧˥ măk˦˥ et˦˥
trương mục	ʈɯəŋ˧˥ muk͡p˨ˀ˩ʔ
trương nước	ʈɯəŋ˧˥ nɯək˦˥
trương quyền	ʈɯəŋ˧˥ wiɛŋ˦˨
trương quốc dụng	ʈɯəŋ˧˥ wok͡p˦˥ juŋ͡m˨ˀ˩ʔ
trương tuần	ʈɯəŋ˧˥ twɤ̆ŋ˦˨
trương tấn bửu	ʈɯəŋ˧˥ tɤ̆ŋ˩˧ bɯw˧˩˨
trương đăng quế	ʈɯəŋ˧˥ dăŋ˧˥ we˩˧
trương định	ʈɯəŋ˧˥ din˨ˀ˩ʔ
trương đỗ	ʈɯəŋ˧˥ do˧˩˨
trước	ʈɯək˦˥
trước bạ	ʈɯək˦˥ ba˨ˀ˩ʔ
trước giả	ʈɯək˦˥ ja˧˩˨
trước hạn	ʈɯək˦˥ haŋ˨ˀ˩ʔ
trước hết	ʈɯək˦˥ het˦˥
trước khi	ʈɯək˦˥ xi˧˥
trước kia	ʈɯək˦˥ kiə˧˥
trước lạ sau quen	ʈɯək˦˥ la˨ˀ˩ʔ ʂăw˧˥ wɛŋ˧˥
trước mắt	ʈɯək˦˥ măk˦˥
trước mặt	ʈɯək˦˥ măk˨ˀ˩ʔ
trước nay	ʈɯək˦˥ năj˧˥
trước nhất	ʈɯək˦˥ ɲɤ̆k˦˥
trước sau	ʈɯək˦˥ ʂăw˧˥
trước sau như một	ʈɯək˦˥ ʂăw˧˥ ɲɯ˧˥ mok͡p˨ˀ˩ʔ
trước thuật	ʈɯək˦˥ tʰwɤ̆k˨ˀ˩ʔ
trước tiên	ʈɯək˦˥ tiəŋ˧˥
trước tác	ʈɯək˦˥ tak˦˥
trước đây	ʈɯək˦˥ dɤ̆j˧˥
trướng	ʈɯəŋ˩˧
trướng bụng	ʈɯəŋ˩˧ buŋ͡m˨ˀ˩ʔ
trướng gấm	ʈɯəŋ˩˧ ɣɤ̆m˩˧
trướng hoa	ʈɯəŋ˩˧ hwa˧˥
trướng huỳnh	ʈɯəŋ˩˧ hwin˦˨
trướng hùm	ʈɯəŋ˩˧ hum˦˨
trướng hồng	ʈɯəŋ˩˧ hoŋ͡m˦˨
trướng loan	ʈɯəŋ˩˧ lwaŋ˧˥
trướng rủ màn che	ʈɯəŋ˩˧ ʐu˧˩˨ maŋ˦˨ cɛ˧˥
trướng đào	ʈɯəŋ˩˧ daw˦˨
trườn	ʈɯəŋ˦˨
trường	ʈɯəŋ˦˨
trường an	ʈɯəŋ˦˨ aŋ˧˥
trường bay	ʈɯəŋ˦˨ băj˧˥
trường bách nghệ	ʈɯəŋ˦˨ bak˦˥ ŋe˨ˀ˩ʔ
trường bình	ʈɯəŋ˦˨ bin˦˨
trường bắn	ʈɯəŋ˦˨ băŋ˩˧
trường ca	ʈɯəŋ˦˨ ka˧˥
trường chinh	ʈɯəŋ˦˨ cin˧˥
trường cửu	ʈɯəŋ˦˨ kɯw˧˩˨
trường dòng	ʈɯəŋ˦˨ jɔŋ͡m˦˨
trường giang	ʈɯəŋ˦˨ jaŋ˧˥
trường giang đại hải	ʈɯəŋ˦˨ jaŋ˧˥ daj˨ˀ˩ʔ haj˧˩˨
trường hoà	ʈɯəŋ˦˨ hwa˦˨
trường hà	ʈɯəŋ˦˨ ha˦˨
trường hận	ʈɯəŋ˦˨ hɤ̆ŋ˨ˀ˩ʔ
trường hận ca	ʈɯəŋ˦˨ hɤ̆ŋ˨ˀ˩ʔ ka˧˥
trường học	ʈɯəŋ˦˨ hɔk͡p˨ˀ˩ʔ
trường hợp	ʈɯəŋ˦˨ hɤp˨ˀ˩ʔ
trường khánh	ʈɯəŋ˦˨ xan˩˧
trường kì	ʈɯəŋ˦˨ ki˦˨
trường kỉ	ʈɯəŋ˦˨ ki˧˩˨
trường kỳ	ʈɯəŋ˦˨ ki˦˨
trường kỷ	ʈɯəŋ˦˨ ki˧˩˨
trường long	ʈɯəŋ˦˨ lɔŋ͡m˧˥
trường long hoà	ʈɯəŋ˦˨ lɔŋ͡m˧˥ hwa˦˨
trường long tây	ʈɯəŋ˦˨ lɔŋ͡m˧˥ tɤ̆j˧˥
trường lâm	ʈɯəŋ˦˨ lɤ̆m˧˥
trường lạc	ʈɯəŋ˦˨ lak˨ˀ˩ʔ
trường minh	ʈɯəŋ˦˨ min˧˥
trường nhi	ʈɯəŋ˦˨ ɲi˧˥
trường phái	ʈɯəŋ˦˨ faj˩˧
trường quay	ʈɯəŋ˦˨ wăj˧˥
trường qui	ʈɯəŋ˦˨ wi˧˥
trường quy	ʈɯəŋ˦˨ wi˧˥
trường quốc học huế	ʈɯəŋ˦˨ wok͡p˦˥ hɔk͡p˨ˀ˩ʔ hwe˩˧
trường sa	ʈɯəŋ˦˨ ʂa˧˥
trường sinh	ʈɯəŋ˦˨ ʂin˧˥
trường sinh bất lão	ʈɯəŋ˦˨ ʂin˧˥ bɤ̆k˦˥ law˧˩˨
trường sinh bất tử	ʈɯəŋ˦˨ ʂin˧˥ bɤ̆k˦˥ tɯ˧˩˨
trường sinh học	ʈɯəŋ˦˨ ʂin˧˥ hɔk͡p˨ˀ˩ʔ
trường sơn	ʈɯəŋ˦˨ ʂɤŋ˧˥
trường sở	ʈɯəŋ˦˨ ʂɤ˧˩˨
trường thi	ʈɯəŋ˦˨ tʰi˧˥
trường thiên	ʈɯəŋ˦˨ tʰiəŋ˧˥
trường thoại	ʈɯəŋ˦˨ tʰwaj˨ˀ˩ʔ
trường thuỷ	ʈɯəŋ˦˨ tʰwi˧˩˨
trường thành	ʈɯəŋ˦˨ tʰan˦˨
trường thương	ʈɯəŋ˦˨ tʰɯəŋ˧˥
trường thạch	ʈɯəŋ˦˨ tʰak˨ˀ˩ʔ
trường thạnh	ʈɯəŋ˦˨ tʰan˨ˀ˩ʔ
trường thịnh	ʈɯəŋ˦˨ tʰin˨ˀ˩ʔ
trường thọ	ʈɯəŋ˦˨ tʰɔ˨ˀ˩ʔ
trường trai	ʈɯəŋ˦˨ ʈaj˧˥
trường trung	ʈɯəŋ˦˨ ʈuŋ͡m˧˥
trường tây	ʈɯəŋ˦˨ tɤ̆j˧˥
trường tồn	ʈɯəŋ˦˨ toŋ͡m˦˨
trường vốn	ʈɯəŋ˦˨ joŋ͡m˩˧
trường xuân	ʈɯəŋ˦˨ swɤ̆ŋ˧˥
trường xuân hoa	ʈɯəŋ˦˨ swɤ̆ŋ˧˥ hwa˧˥
trường yên	ʈɯəŋ˦˨ iɛŋ˧˥
trường đoạn	ʈɯəŋ˦˨ dwaŋ˨ˀ˩ʔ
trường đoản cú	ʈɯəŋ˦˨ dwaŋ˧˩˨ ku˩˧
trường đua	ʈɯəŋ˦˨ duə˧˥
trường đông	ʈɯəŋ˦˨ doŋ͡m˧˥
trường đấu	ʈɯəŋ˦˨ dɤ̆w˩˧
trường độ	ʈɯəŋ˦˨ do˨ˀ˩ʔ
trường đời	ʈɯəŋ˦˨ dɤj˦˨
trường ốc	ʈɯəŋ˦˨ ok͡p˦˥
trưởng	ʈɯəŋ˧˩˨
trưởng  phòng	ʈɯəŋ˧˩˨ fɔŋ͡m˦˨
trưởng ban	ʈɯəŋ˧˩˨ baŋ˧˥
trưởng bạ	ʈɯəŋ˧˩˨ ba˨ˀ˩ʔ
trưởng ga	ʈɯəŋ˧˩˨ ɣa˧˥
trưởng giáo	ʈɯəŋ˧˩˨ jaw˩˧
trưởng giả	ʈɯəŋ˧˩˨ ja˧˩˨
trưởng giả hóa	ʈɯəŋ˧˩˨ ja˧˩˨ hwa˩˧
trưởng họ	ʈɯəŋ˧˩˨ hɔ˨ˀ˩ʔ
trưởng kho	ʈɯəŋ˧˩˨ xɔ˧˥
trưởng kíp	ʈɯəŋ˧˩˨ kip˦˥
trưởng lão	ʈɯəŋ˧˩˨ law˧˩˨
trưởng nam	ʈɯəŋ˧˩˨ nam˧˥
trưởng nữ	ʈɯəŋ˧˩˨ nɯ˧˩˨
trưởng phòng	ʈɯəŋ˧˩˨ fɔŋ͡m˦˨
trưởng phố	ʈɯəŋ˧˩˨ fo˩˧
trưởng quan	ʈɯəŋ˧˩˨ waŋ˧˥
trưởng thành	ʈɯəŋ˧˩˨ tʰan˦˨
trưởng thôn	ʈɯəŋ˧˩˨ tʰoŋ͡m˧˥
trưởng thượng	ʈɯəŋ˧˩˨ tʰɯəŋ˨ˀ˩ʔ
trưởng ti	ʈɯəŋ˧˩˨ ti˧˥
trưởng tràng	ʈɯəŋ˧˩˨ ʈaŋ˦˨
trưởng ty	ʈɯəŋ˧˩˨ ti˧˥
trưởng tôn	ʈɯəŋ˧˩˨ toŋ͡m˧˥
trưởng tộc	ʈɯəŋ˧˩˨ tok͡p˨ˀ˩ʔ
trưởng tử	ʈɯəŋ˧˩˨ tɯ˧˩˨
trưởng đoàn	ʈɯəŋ˧˩˨ dwaŋ˦˨
trưởng đoàn ngoại giao	ʈɯəŋ˧˩˨ dwaŋ˦˨ ŋwaj˨ˀ˩ʔ jaw˧˥
trưởng đồn	ʈɯəŋ˧˩˨ doŋ͡m˦˨
trượng	ʈɯəŋ˨ˀ˩ʔ
trượng nhân	ʈɯəŋ˨ˀ˩ʔ ɲɤ̆ŋ˧˥
trượng phu	ʈɯəŋ˨ˀ˩ʔ fu˧˥
trượt	ʈɯək˨ˀ˩ʔ
trượt băng	ʈɯək˨ˀ˩ʔ băŋ˧˥
trượt chân	ʈɯək˨ˀ˩ʔ cɤ̆ŋ˧˥
trượt giá	ʈɯək˨ˀ˩ʔ ja˩˧
trượt gỗ	ʈɯək˨ˀ˩ʔ ɣo˧˩˨
trượt tuyết	ʈɯək˨ˀ˩ʔ twiək˦˥
trượt vỏ chuối	ʈɯək˨ˀ˩ʔ jɔ˧˩˨ cuəj˩˧
trạc	ʈak˨ˀ˩ʔ
trạch mỹ lộc	ʈak˨ˀ˩ʔ mi˧˩˨ lok͡p˨ˀ˩ʔ
trạch tả	ʈak˨ˀ˩ʔ ta˧˩˨
trại	ʈaj˨ˀ˩ʔ
trại cao	ʈaj˨ˀ˩ʔ kaw˧˥
trại cau	ʈaj˨ˀ˩ʔ kăw˧˥
trại chuối	ʈaj˨ˀ˩ʔ cuəj˩˧
trại chủ	ʈaj˨ˀ˩ʔ cu˧˩˨
trại con gái	ʈaj˨ˀ˩ʔ kɔŋ͡m˧˥ ɣaj˩˧
trại giam	ʈaj˨ˀ˩ʔ jam˧˥
trại hè	ʈaj˨ˀ˩ʔ hɛ˦˨
trại lính	ʈaj˨ˀ˩ʔ lin˩˧
trại mồ côi	ʈaj˨ˀ˩ʔ mo˦˨ koj˧˥
trại phong	ʈaj˨ˀ˩ʔ fɔŋ͡m˧˥
trại tập trung	ʈaj˨ˀ˩ʔ tɤ̆p˨ˀ˩ʔ ʈuŋ͡m˧˥
trại tế bần	ʈaj˨ˀ˩ʔ te˩˧ bɤ̆ŋ˦˨
trại đất	ʈaj˨ˀ˩ʔ dɤ̆k˦˥
trạm	ʈam˨ˀ˩ʔ
trạm biến thế	ʈam˨ˀ˩ʔ biəŋ˩˧ tʰe˩˧
trạm lộ	ʈam˨ˀ˩ʔ lo˨ˀ˩ʔ
trạm quỹ đạo	ʈam˨ˀ˩ʔ wi˧˩˨ daw˨ˀ˩ʔ
trạm thán	ʈam˨ˀ˩ʔ tʰaŋ˩˧
trạm trôi	ʈam˨ˀ˩ʔ ʈoj˧˥
trạm trưởng	ʈam˨ˀ˩ʔ ʈɯəŋ˧˩˨
trạm tấu	ʈam˨ˀ˩ʔ tɤ̆w˩˧
trạm xá	ʈam˨ˀ˩ʔ sa˩˧
trạn	ʈaŋ˨ˀ˩ʔ
trạng	ʈaŋ˨ˀ˩ʔ
trạng huống	ʈaŋ˨ˀ˩ʔ huəŋ˩˧
trạng mạo	ʈaŋ˨ˀ˩ʔ maw˨ˀ˩ʔ
trạng nguyên	ʈaŋ˨ˀ˩ʔ ŋwiəŋ˧˥
trạng ngữ	ʈaŋ˨ˀ˩ʔ ŋɯ˧˩˨
trạng sư	ʈaŋ˨ˀ˩ʔ ʂɯ˧˥
trạng thái	ʈaŋ˨ˀ˩ʔ tʰaj˩˧
trạng từ	ʈaŋ˨ˀ˩ʔ tɯ˦˨
trạng từ hóa	ʈaŋ˨ˀ˩ʔ tɯ˦˨ hwa˩˧
trạng tự	ʈaŋ˨ˀ˩ʔ tɯ˨ˀ˩ʔ
trạnh	ʈan˨ˀ˩ʔ
trạt	ʈak˨ˀ˩ʔ
trạy	ʈăj˨ˀ˩ʔ
trả	ʈa˧˩˨
trả bài	ʈa˧˩˨ baj˦˨
trả bữa	ʈa˧˩˨ bɯə˧˩˨
trả công	ʈa˧˩˨ koŋ͡m˧˥
trả của	ʈa˧˩˨ kuə˧˩˨
trả giá	ʈa˧˩˨ ja˩˧
trả góp	ʈa˧˩˨ ɣɔp˦˥
trả lãi	ʈa˧˩˨ laj˧˩˨
trả lại	ʈa˧˩˨ laj˨ˀ˩ʔ
trả lễ	ʈa˧˩˨ le˧˩˨
trả lời	ʈa˧˩˨ lɤj˦˨
trả miếng	ʈa˧˩˨ miəŋ˩˧
trả nghĩa	ʈa˧˩˨ ŋiə˧˩˨
trả nợ	ʈa˧˩˨ nɤ˨ˀ˩ʔ
trả nủa	ʈa˧˩˨ nuə˧˩˨
trả phép	ʈa˧˩˨ fɛp˦˥
trả thù	ʈa˧˩˨ tʰu˦˨
trả treo	ʈa˧˩˨ ʈeo˧˥
trả ân	ʈa˧˩˨ ɤ̆ŋ˧˥
trả đũa	ʈa˧˩˨ duə˧˩˨
trả ơn	ʈa˧˩˨ ɤŋ˧˥
trải	ʈaj˧˩˨
trải gió dầm mưa	ʈaj˧˩˨ jɔ˩˧ jɤ̆m˦˨ mɯə˧˥
trải mờ	ʈaj˧˩˨ mɤ˦˨
trải nghiệm	ʈaj˧˩˨ ŋiəm˨ˀ˩ʔ
trải qua	ʈaj˧˩˨ wa˧˥
trải đời	ʈaj˧˩˨ dɤj˦˨
trảm	ʈam˧˩˨
trảm giam hậu	ʈam˧˩˨ jam˧˥ hɤ̆w˨ˀ˩ʔ
trảm quyết	ʈam˧˩˨ wiɛk˦˥
trảng	ʈaŋ˧˩˨
trảng bom	ʈaŋ˧˩˨ bɔm˧˥
trảng bàng	ʈaŋ˧˩˨ baŋ˦˨
trảng dài	ʈaŋ˧˩˨ jaj˦˨
trảo nha	ʈaw˧˩˨ ɲa˧˥
trảu	ʈăw˧˩˨
trảy	ʈăj˧˩˨
trấn	ʈɤ̆ŋ˩˧
trấn an	ʈɤ̆ŋ˩˧ aŋ˧˥
trấn ba đình	ʈɤ̆ŋ˩˧ ba˧˥ din˦˨
trấn biên	ʈɤ̆ŋ˩˧ biəŋ˧˥
trấn giữ	ʈɤ̆ŋ˩˧ jɯ˧˩˨
