abbadísin	apatiːsɪn
sýslunni	sistlʏnɪ
sþ	ɛsθɔtn̥
t	tjɛː
tabú	tʰaːpu
tafa	tʰaːva
tafar	tʰaːvar
tafarlaust	tʰaːvarlœist
tafir	tʰaːvɪr
tafist	tʰaːvɪst
tafið	tʰaːvɪð
tafl	tʰapl̥
tafla	tʰapla
taflanna	tʰaplana
taflfélag	tʰapl̥fjɛːlaɣ
taflfélagið	tʰapl̥fjɛːlaijɪð
taflfélags	tʰapl̥fjɛːlaxs
taflfélagsins	tʰapl̥fjɛːlaxsɪns
tafli	tʰaplɪ
taflinu	tʰaplɪnʏ
taflið	tʰaplɪð
taflmann	tʰaplman
taflmenn	tʰaplmɛn
taflsettum	tʰapl̥sɛhtʏm
tafsaði	tʰafsaðɪ
tagi	tʰaːjɪ
taginu	tʰaːjɪnʏ
tagl	tʰakl̥
taglarétt	tʰaklarjɛht
tagli	tʰaklɪ
taglinu	tʰaklɪnʏ
taglið	tʰaklɪð
tak	tʰaːk
taka	tʰaːka
takandi	tʰaːkantɪ
takast	tʰaːkast
takefusa	tʰaːkɛfuːsa
taki	tʰaːcɪ
takinu	tʰaːcɪnʏ
takir	tʰaːcɪr
takist	tʰaːcɪst
takið	tʰaːcɪð
takk	tʰahk
takka	tʰahka
takkaborð	tʰahkapɔrð
takkana	tʰahkana
takkarnir	tʰahkatnɪr
takmark	tʰaːkmar̥k
takmarka	tʰaːkmar̥ka
takmarkalaus	tʰaːkmar̥kalœiːs
takmarkalausa	tʰaːkmar̥kalœiːsa
takmarkalaust	tʰaːkmar̥kalœist
takmarkana	tʰaːkmar̥kana
takmarkanir	tʰaːkmar̥kanɪr
takmarkar	tʰaːkmar̥kar
takmarkast	tʰaːkmar̥kast
takmarkað	tʰaːkmar̥kað
takmarkaða	tʰaːkmar̥kaða
takmarkaðan	tʰaːkmar̥kaðan
takmarkaðar	tʰaːkmar̥kaðar
takmarkaðir	tʰaːkmar̥kaðɪr
takmarkaðri	tʰaːkmar̥kaðrɪ
takmarkaður	tʰaːkmar̥kaðʏr
takmarki	tʰaːkmar̥cɪ
takmarkinu	tʰaːkmar̥cɪnʏ
takmarkið	tʰaːkmar̥cɪð
takmörk	tʰaːkmœr̥k
takmörkun	tʰaːkmœr̥kʏn
takmörkunar	tʰaːkmœr̥kʏnar
takmörkunum	tʰaːkmœr̥kɔnʏm
takmörkuð	tʰaːkmœr̥kʏð
takmörkuðu	tʰaːkmœr̥kʏðʏ
takmörkuðum	tʰaːkmœr̥kʏðʏm
taks	tʰaks
takt	tʰaxt
takta	tʰaxta
takteinum	tʰaːkteinʏm
taktfast	tʰaxtfast
takti	tʰaxtɪ
taktinn	tʰaxtɪn
taktlaust	tʰaxtlœjst
taktu	tʰaxtʏ
taktur	tʰaxtʏr
takturinn	tʰaxtʏrɪn
tal	tʰaːl
tala	tʰaːla
talan	tʰaːlan
talandi	tʰaːlantɪ
talar	tʰaːlar
talarðu	tʰaːlarʏ
talast	tʰaːlast
talað	tʰaːlað
talaði	tʰaːlaðɪ
talaðir	tʰaːlaðɪr
talaðu	tʰaːlaðʏ
taldar	tʰaltar
taldi	tʰaltɪ
taldir	tʰaltɪr
taldist	tʰaltɪst
talgervill	tʰalcɛrvɪtl̥
talgervilsraddir	tʰalcɛrvɪlsratɪr
talhólf	tʰaːlhoulv
tali	tʰaːlɪ
talibana	tʰaːlɪpana
talibanar	tʰaːlɪpanar
talibanastjórnarinnar	tʰaːlɪpanastjourtnarɪnar
talibönum	tʰaːlɪpœnʏm
talin	tʰaːlɪn
talinn	tʰaːlɪn
talir	tʰaːlɪr
talist	tʰaːlɪst
talið	tʰaːlɪð
tallinn	tʰalɪn
talna	tʰalna
talnaband	tʰalnapant
talnabandinu	tʰalnapantɪnʏ
talnabandið	tʰalnapantɪð
talnaröð	tʰalnarœːð
talningagögnum	tʰalniŋkakœknʏm
talningu	tʰalniŋkʏ
tals	tʰals
talsins	tʰalsɪns
talsmanna	tʰalsmana
talsmanni	tʰalsmanɪ
talsmanns	tʰalsmans
talsmaður	tʰalsmaðʏr
talsmenn	tʰalsmɛn
talsmáta	tʰalsmauta
talsmönnum	tʰalsmœnʏm
talstöðina	tʰalstœðɪna
talsvert	tʰalsvɛr̥t
talsverð	tʰalsvɛrð
talsverða	tʰalsvɛrða
talsverðan	tʰalsvɛrðan
talsverðar	tʰalsvɛrðar
talsverðri	tʰalsvɛrðrɪ
talsverðu	tʰalsvɛrðʏ
talsverðum	tʰalsvɛrðʏm
talsverður	tʰalsvɛrðʏr
tamara	tʰaːmara
tamdi	tʰamtɪ
tamið	tʰaːmɪð
tamt	tʰam̥t
tamílar	tʰaːmilar
tandurhreint	tʰantʏr̥ein̥t
tanga	tʰauŋka
tangir	tʰauɲcɪr
tangur	tʰauŋkʏr
tangó	tʰaŋkou
tanja	tʰanja
tanka	tʰauŋ̊ka
tankastað	tʰauŋ̥kastaːð
tanki	tʰauɲ̊cɪ
tankinn	tʰauɲ̊cɪn
tankinum	tʰauɲ̊cɪnʏm
tanks	tʰauŋ̊ks
tankurinn	tʰauŋ̊kʏrɪn
tanna	tʰana
tannanna	tʰanana
tannbursta	tʰanpʏr̥sta
tannhjól	tʰançoul
tannkrem	tʰaŋkʰrɛm
tannkul	tʰaŋkʏl
tannlaus	tʰanlœis
tannlækna	tʰanlaihkna
tannlæknar	tʰanlaihknar
tannlæknaskólann	tʰanlajhknaskouːlan
tannlæknavakt	tʰanlaihknavaxt
tannlækni	tʰanlaihknɪ
tannlæknir	tʰanlaihknɪr
tannlæknirinn	tʰanlaihknɪrɪn
tannlæknis	tʰanlaihknɪs
tannstöngla	tʰanstœjŋla
tannstönglana	tʰanstœjŋlana
tannátu	tʰanautʏ
tannátutíðni	tʰanautʏtʰiðnɪ
tap	tʰaːp
tapa	tʰaːpa
tapar	tʰaːpar
tapast	tʰaːpast
tapað	tʰaːpað
tapaði	tʰaːpaðɪ
tapaðist	tʰaːpaðɪst
tapi	tʰaːpɪ
tapist	tʰaːpɪst
tapið	tʰaːpɪð
tappa	tʰahpa
tappann	tʰahpan
taprekstur	tʰaːprɛkstʏr
taps	tʰaps
tara	tʰaːra
taraldseyju	tʰaːraltsɛjʏ
tarna	tʰartna
tarsan	tʰar̥san
taska	tʰaska
tattú	tʰahtuː
tau	tʰœiː
taug	tʰœiːɣ
taugaber	tʰœiɣapɛːr
taugadeild	tʰœiɣatɛjlt
taugakerfi	tʰœiɣacʰɛrvɪ
taugakerfið	tʰœiːɣacɛrvɪð
taugar	tʰœiːɣar
taugarnar	tʰœiːɣatnar
taugaspennt	tʰœiːɣaspɛn̥t
taugaspenntur	tʰœiːɣaspɛn̥tʏr
taugasérfræðinginn	tʰœiɣasjɛr̥frajðiɲcɪn
taugaveiki	tʰœiːɣaveiːcɪ
taugaveiklaður	tʰœiːɣaveihklaðʏr
taugaveiklun	tʰœiːɣaveihklʏn
taugaveikluð	tʰœiːɣaveihklʏð
taugaáfall	tʰœiːɣaauːfatl̥
taugum	tʰœiːɣʏm
taugungamótum	tʰœiɣuŋkamouːtʏm
tauinu	tʰœijɪnʏ
tauið	tʰœijɪð
taum	tʰœiːm
taumana	tʰœiːmana
taumhald	tʰœiːmhalt
taumi	tʰœiːmɪ
tauminn	tʰœiːmɪn
taumlaus	tʰœimlœis
taumlausri	tʰœimlœisrɪ
taumleysi	tʰœjmlɛjsɪ
taumnum	tʰœimnʏm
taumum	tʰœiːmʏm
taumurinn	tʰœimʏrɪn
tautandi	tʰœiːtantɪ
tautar	tʰœiːtar
tautaði	tʰœiːtaðɪ
tauti	tʰœiːtɪ
taxta	tʰaksta
taxtanúmer	tʰakstanuːmɛr
taílandi	tʰaiːlantɪ
taílands	tʰaiːlants
taívan	tʰaiːvan
taívans	tʰaiːvans
taóisma	tʰaːouɪsma
te	tʰɛː
tebollann	tʰɛːpɔtlan
tebollanum	tʰɛːpɔtlanʏm
teddi	tʰɛtɪ
tedrykkju	tʰɛːtrɪhcʏ
tefja	tʰɛvja
tefla	tʰɛpla
tefld	tʰɛlt
tefldar	tʰɛltar
tefldi	tʰɛltɪ
tefldist	tʰɛltɪst
tefldu	tʰɛltʏ
teflir	tʰɛplɪr
teflon	tʰɛflɔn
teflt	tʰɛl̥t
tegund	tʰɛːɣʏnt
tegunda	tʰɛːɣʏnta
tegundar	tʰɛːɣʏntar
tegundarinnar	tʰɛːɣʏntarɪnar
tegundin	tʰɛːɣʏntɪn
tegundina	tʰɛːɣʏntɪna
tegundinni	tʰɛːɣʏntɪnɪ
tegundir	tʰɛːɣʏntɪr
tegundirnar	tʰɛːɣʏntɪtnar
tegundum	tʰɛːɣʏntʏm
teheran	tʰɛːhɛran
tei	tʰɛːɪ
teig	tʰeiːɣ
teigaseli	tʰeiːɣasɛːlɪ
teighögg	tʰɛːjɣhœk
teigmarka	tʰɛːjɣmar̥ka
teigmörk	tʰɛːjɣmœr̥k
teignum	tʰeiknʏm
teigs	tʰeixs
teigsbjargi	tʰɛjxspjarcɪ
teigur	tʰeiːɣʏr
teikn	tʰeihkn̥
teikna	tʰeihkna
teiknar	tʰeihknar
teiknari	tʰeihknarɪ
teiknað	tʰeihknað
teiknaði	tʰeihknaðɪ
teikniborðinu	tʰeihknɪpɔrðɪnʏ
teiknimynd	tʰeihknɪmɪnt
teiknimynda	tʰɛjhknɪmɪnta
teiknimyndablöð	tʰɛjhknɪmɪntaplœːð
teiknimyndaflokkur	tʰeihknɪmɪntaflɔhkʏr
teiknimyndir	tʰeihknɪmɪntɪr
teikning	tʰeihkniŋk
teikningar	tʰeihkniŋkar
teikningarnar	tʰeihkniŋkatnar
teikningin	tʰeihkniɲcɪn
teikningu	tʰeihkniŋkʏ
teikningum	tʰeihkniŋkʏm
teikninguna	tʰeihkniŋkʏna
teikningunni	tʰeihkniŋkʏnɪ
teiknun	tʰeihknʏn
teiknuð	tʰeihknʏð
teinana	tʰeiːnana
teini	tʰeiːnɪ
teinrétt	tʰeinrjɛht
teinunum	tʰeiːnɔnʏm
teit	tʰɛːɪt
teits	tʰeits
teitsson	tʰeitsɔn
teitur	tʰeiːtʏr
teið	tʰɛːɪð
tek	tʰɛːk
teketill	tʰɛːcɛtɪtl̥
tekin	tʰɛːcɪn
tekinn	tʰɛːcɪn
tekist	tʰɛːcɪst
tekið	tʰɛːcɪð
tekju	tʰɛːcʏ
tekjujöfnun	tʰɛːcʏjœpnʏn
tekjulind	tʰɛːcʏlɪnt
tekjulitlu	tʰɛːcʏlɪhtlʏ
tekjulægri	tʰɛːcʏlajɣrɪ
tekjum	tʰɛːcʏm
tekjumunur	tʰɛːcʏmʏːnʏr
tekjunum	tʰɛːcɔnʏm
tekjur	tʰɛːcʏr
tekjurnar	tʰɛːcʏtnar
tekjuskatt	tʰɛːcʏskaht
tekjuskatti	tʰɛːcʏskahtɪ
tekjuskatts	tʰɛːcʏskahts
tekjuskattur	tʰɛːcʏskahtʏr
tekjustofna	tʰɛːcʏstɔpna
tekjustreymi	tʰɛːcʏstrɛːjmɪ
tekjutap	tʰɛːcʏtaːp
tekjutengingu	tʰɛːcʏteiɲciŋkʏ
tekjutrygging	tʰɛːcʏtʰrɪciŋk
tekjutryggingar	tʰɛːcʏtʰrɪciŋkar
tekjutryggingu	tʰɛːcʏtʰrɪciŋkʏ
tekjuöflun	tʰɛːcʏœplʏn
tekluborg	tʰɛhklʏpɔrk
tekna	tʰɛhkna
teknar	tʰɛhknar
teknir	tʰɛhknɪr
teknu	tʰɛhknʏ
tekst	tʰɛkst
tekur	tʰɛːkʏr
tekurðu	tʰɛːkʏrʏ
tel	tʰɛːl
teldi	tʰɛltɪ
teldist	tʰɛltʏst
teldu	tʰɛltʏ
telja	tʰɛlja
teljandi	tʰɛljantɪ
teljara	tʰɛljara
teljarar	tʰɛljarar
teljast	tʰɛljast
telji	tʰɛljɪ
teljist	tʰɛljɪst
teljum	tʰɛljʏm
teljumst	tʰɛljʏmst
telma	tʰɛlma
telpa	tʰɛl̥pa
telpan	tʰɛl̥pan
telpuna	tʰɛl̥pʏna
telpunnar	tʰɛl̥pʏnar
telpur	tʰɛl̥pʏr
telst	tʰɛlst
telur	tʰɛːlʏr
temja	tʰɛmja
tempra	tʰɛm̥pra
tendra	tʰɛntra
tendrað	tʰɛntrað
tendraði	tʰɛntraðɪ
tengd	tʰeiŋt
tengda	tʰeiŋta
tengdabörn	tʰeiŋtapœrtn̥
tengdabörnum	tʰeiŋtapœrtnʏm
tengdadóttir	tʰeiŋtatouhtɪr
tengdadóttur	tʰeiŋtatouhtʏr
tengdafaðir	tʰeiŋtafaːðɪr
tengdaforeldra	tʰeiŋtafɔːrɛltra
tengdaforeldrar	tʰeiŋtafɔːrɛltrar
tengdaforeldrum	tʰeiŋtafɔːrɛltrʏm
tengdaföður	tʰeiŋtafœːðʏr
tengdamamma	tʰeiŋtamama
tengdamóðir	tʰeiŋtamouːðɪr
tengdamóður	tʰeiŋtamouːðʏr
tengdamömmu	tʰeiŋtamœmʏ
tengdapabba	tʰeiŋtapapa
tengdapabbi	tʰeiŋtapapɪ
tengdar	tʰeiŋtar
tengdason	tʰeiŋtasɔːn
tengdasonar	tʰeiŋtasɔːnar
tengdasonur	tʰeiŋtasɔːnʏr
tengdasyni	tʰeiŋtasɪːnɪ
tengdi	tʰeiŋtɪ
tengdir	tʰeiŋtɪr
tengdist	tʰeiŋtɪst
tengdra	tʰeiŋtra
tengdri	tʰeiŋtrɪ
tengdu	tʰeiŋtʏ
tengdum	tʰeiŋtʏm
tengdumst	tʰeiŋtʏmst
tengdur	tʰeiŋtʏr
tengdust	tʰeiŋtʏst
tengi	tʰeiɲcɪ
tengilið	tʰɛjɲcɪlɪð
tengiliðar	tʰɛjɲcɪlɪːðar
tengiliður	tʰeiɲcɪlɪːðʏr
tengimerki	tʰɛjɲcɪmɛr̥cɪ
tenging	tʰeiɲciŋk
tenginga	tʰɛjɲciŋka
tengingalausnum	tʰɛjɲciŋkalœjstnʏm
tengingar	tʰeiɲciŋkar
tengingu	tʰeiɲciŋkʏ
tengingum	tʰeiɲciŋkʏm
tengir	tʰeiɲcɪr
tengiskilmálum	tʰɛjɲcɪscɪlmaulʏm
tengiskrúfu	tʰɛjɲcɪskruːvʏ
tengist	tʰeiɲcɪst
tengja	tʰeiɲca
tengjast	tʰeiɲcast
tengjum	tʰɛjɲcʏm
tengla	tʰɛjŋla
tengsl	tʰeiŋstl̥
tengsla	tʰeiŋstla
tengslafund	tʰɛjŋstlafʏnt
tengsli	tʰɛjŋstlɪ
tengslin	tʰeiŋstlɪn
tengslum	tʰeiŋstlʏm
tengst	tʰeiŋst
tengt	tʰeiŋ̊t
teninga	tʰɛːniŋka
teninganna	tʰɛːniŋkana
teningnum	tʰɛːniŋknʏm
teningslaga	tʰɛːniŋslaːɣa
tennis	tʰɛnɪs
tennisklúbbs	tʰɛnɪskʰlups
tennisknattleik	tʰɛnɪskʰnahtlɛjk
tennisvelli	tʰɛnɪsvɛtlɪ
tennur	tʰɛnʏr
tennurnar	tʰɛnʏtnar
tenór	tʰɛːnour
teppagerð	tʰɛhpacɛrð
teppi	tʰɛhpɪ
teppin	tʰɛhpɪn
teppinu	tʰɛhpɪnʏ
teppið	tʰɛhpɪð
teppum	tʰɛhpʏm
teppunum	tʰɛhpɔnʏm
tera	tʰɛːra
teresa	tʰɛːrɛsa
teresu	tʰɛːrɛsʏ
termítahaugum	tʰɛrmitahœiɣʏm
terpentínu	tʰɛr̥pɛn̥tinʏ
tertufatið	tʰɛr̥tʏfaːtɪð
tertum	tʰɛr̥tʏm
tertur	tʰɛr̥tʏr
tes	tʰɛːs
teskeið	tʰɛːscɛjð
teskeiðina	tʰɛːsceiðɪna
teskeiðum	tʰɛːsceiðʏm
tesopa	tʰɛːsɔpa
testamentinu	tʰɛstamɛn̥tɪnʏ
testamentisins	tʰɛstamɛn̥tɪsɪns
testamentið	tʰɛstamɛn̥tɪð
testar	tʰɛstar
tetra	tʰɛːtra
tetur	tʰɛːtʏr
texas	tʰɛksas
texta	tʰɛksta
textagerð	tʰɛkstacɛrð
textagluggi	tʰɛkstaklʏcɪ
textahefti	tʰɛkstahɛftɪ
textaheftið	tʰɛkstahɛftɪð
textaleikfimi	tʰɛkstalɛːjkfɪmɪ
textameðferð	tʰɛkstamɛðfɛrð
textana	tʰɛkstana
textann	tʰɛkstan
textans	tʰɛkstans
textanum	tʰɛkstanʏm
textar	tʰɛkstar
textarnir	tʰɛkstatnɪr
textaskrár	tʰɛkstaskrauːr
textauppbyggingu	tʰɛkstaʏhpɪciŋkʏ
textavarpi	tʰɛkstavar̥pɪ
textavarps	tʰɛkstavar̥ps
texti	tʰɛkstɪ
textinn	tʰɛkstɪn
textum	tʰɛkstʏm
textunum	tʰɛkstɔnʏm
textílmenningu	tʰɛkstilmɛniŋkʏ
textílmennt	tʰɛkstilmɛn̥t
teyg	tʰeiːɣ
teyga	tʰeiːɣa
teygar	tʰeiːɣar
teygaði	tʰeiːɣaðɪ
teygir	tʰeijɪr
teygist	tʰɛjɪst
teygja	tʰeija
teygjast	tʰɛːjast
teygju	tʰeijʏ
teygjuna	tʰeijʏna
teygjur	tʰeijʏr
teygjurnar	tʰeijʏtnar
teygt	tʰeixt
teygða	tʰeiɣða
teygði	tʰeiɣðɪ
teygðist	tʰeiɣðɪst
teygðust	tʰeiɣðʏst
teyma	tʰɛːjma
teymdi	tʰeimtɪ
teymi	tʰeiːmɪ
teymir	tʰeiːmɪr
teymis	tʰeiːmɪs
tfraflautunni	tʰœvraflœiːtʏnɪ
thelma	tʰɛlma
thelmu	tʰɛlmʏ
theodór	tʰɛoutour
theodóra	tʰɛːɔtouːra
theodórs	tʰɛoutour̥s
theodóru	tʰɛːɔtouːrʏ
theódórsdóttir	tʰɛːoutour̥stouhtɪr
theódórsson	tʰɛːoutour̥sɔːn
thomsen	tʰɔmsɛn
thor	tʰouːr
thorarensen	tʰouːrarɛnsɛn
thordarson	tʰourtarsɔːn
thorlacius	tʰɔrlasiːʏs
thoroddsen	tʰɔrɔtsɛːn
thoroddsens	tʰouːrɔtsɛns
thors	tʰour̥s
thorsson	tʰɔr̥sɔn
thorsteinn	tʰɔr̥stɛjtn̥
thorsteinsson	tʰɔr̥steinsɔːn
thorsveg	tʰour̥svɛːɣ
thorvaldsens	tʰɔrvaltsɛns
tifandi	tʰɪːvantɪ
tifaði	tʰɪːvaðɪ
tifið	tʰɪːvɪð
tign	tʰɪkn̥
tigna	tʰɪkna
tignar	tʰɪknar
tignarleg	tʰɪknarlɛɣ
tignarlega	tʰɪknarlɛɣa
tignarlegan	tʰɪknarlɛɣan
tigninni	tʰɪknɪnɪ
tikk	tʰɪhk
til	tʰɪːl
tilbaka	tʰɪlpaːka
tilbeiðsla	tʰɪlpeiðstla
tilbeiðslu	tʰɪlpeiðstlʏ
tilbeiðsluhúsin	tʰɪlpɛjðstlʏhuːsɪn
tilbiðja	tʰɪlpɪðja
tilboð	tʰɪlpɔð
tilboða	tʰɪlpɔða
tilboði	tʰɪlpɔðɪ
tilboðin	tʰɪlpɔðɪn
tilboðinu	tʰɪlpɔðɪnʏ
tilboðið	tʰɪlpɔðɪð
tilboðs	tʰɪlpɔðs
tilboðum	tʰɪlpɔðʏm
tilbreyting	tʰɪlpreitiŋk
tilbreytingar	tʰɪlpreitiŋkar
tilbreytingarlaust	tʰɪlpreitiŋkarlœist
tilbreytingarleysi	tʰɪlpreitiŋkarleiːsɪ
tilbreytingu	tʰɪlpreitiŋkʏ
tilbrigði	tʰɪlprɪɣðɪ
tilbrigðin	tʰɪlprɪɣðɪn
tilbrigðum	tʰɪlprɪɣðʏm
tilburði	tʰɪlpʏrðɪ
tilburðir	tʰɪlpʏrðɪr
tilburðum	tʰɪlpʏrðʏm
tilbúin	tʰɪlpuɪn
tilbúinn	tʰɪlpuɪn
tilbúið	tʰɪlpuɪð
tilbúna	tʰɪlpuna
tilbúnar	tʰɪlpunar
tilbúningur	tʰɪlpuniŋkʏr
tilbúningurinn	tʰɪlpuniŋkʏrɪn
tilbúnir	tʰɪlpunɪr
tilbúnum	tʰɪlpunʏm
tildrög	tʰɪltrœɣ
tilefni	tʰɪːlɛpnɪ
tilefnislausu	tʰɪːlɛpnɪstlœiːsʏ
tilefnið	tʰɪːlɛpnɪð
tileinka	tʰɪːleiŋ̊ka
tileinkar	tʰɪːleiŋ̊kar
tileinkað	tʰɪːleiŋ̊kað
tileinkaði	tʰɪːleiŋ̊kaðɪ
tileinkaður	tʰɪːleiŋ̊kaðʏr
tileinkuð	tʰɪːleiŋ̊kʏð
tilfallandi	tʰɪlfatlantɪ
tilfella	tʰɪlfɛtla
tilfelli	tʰɪlfɛtlɪ
tilfellis	tʰɪlfɛtlɪs
tilfellið	tʰɪlfɛtlɪð
tilfellum	tʰɪlfɛtlʏm
tilfellur	tʰɪlfɛtlʏr
tilfinnanlega	tʰɪlfɪnanlɛɣa
tilfinning	tʰɪlfɪniŋk
tilfinninga	tʰɪlfɪniŋka
tilfinningahita	tʰɪlfɪniŋkahɪːta
tilfinningaleg	tʰɪlfɪniŋkalɛɣ
tilfinningalega	tʰɪlfɪniŋkalɛɣa
tilfinningalegt	tʰɪlfɪniŋkalɛxt
tilfinningalegum	tʰɪlfɪniŋkalɛɣʏm
tilfinningaleysi	tʰɪlfɪniŋkalɛːjsɪ
tilfinninganna	tʰɪlfɪniŋkana
tilfinningar	tʰɪlfɪniŋkar
tilfinningarlegir	tʰɪlfɪniŋkarlɛjɪr
tilfinningarnar	tʰɪlfɪniŋkatnar
tilfinningasemi	tʰɪlfɪniŋkasɛːmɪ
tilfinningasnauð	tʰɪlfɪniŋkastnœjð
tilfinningavell	tʰɪlfɪniŋkavɛtl̥
tilfinningin	tʰɪlfɪniɲcɪn
tilfinningu	tʰɪlfɪniŋkʏ
tilfinningum	tʰɪlfɪniŋkʏm
tilfinninguna	tʰɪlfɪniŋkʏna
tilfinningunni	tʰɪlfɪniŋkʏnɪ
tilfinningunum	tʰɪlfɪniŋkɔnʏm
tilfæringar	tʰɪlfajriŋkar
tilfærslu	tʰɪlfair̥stlʏ
tilgang	tʰɪlkauŋk
tilgangi	tʰɪlkauɲcɪ
tilganginn	tʰɪlkauɲcɪn
tilgangslaus	tʰɪlkauŋkstlœis
tilgangslausa	tʰɪlkauŋkstlœisa
tilgangslaust	tʰɪlkauŋkstlœist
tilgangsleysi	tʰɪlkauŋkstleisɪ
tilgangur	tʰɪlkauŋkʏr
tilgangurinn	tʰɪlkauŋkʏrɪn
tilgerð	tʰɪlcɛrð
tilgerðarlega	tʰɪlcɛrðarlɛɣa
tilgreina	tʰɪlkreina
tilgreind	tʰɪlkreint
tilgreindar	tʰɪlkreintar
tilgreindur	tʰɪlkreintʏr
tilgreinir	tʰɪlkrɛjnɪr
tilgreint	tʰɪlkrein̥t
tilgáta	tʰɪlkauta
tilgátan	tʰɪlkautan
tilgátu	tʰɪlkautʏ
tilgátuna	tʰɪlkautʏna
tilgátunni	tʰɪlkautʏnɪ
tilgátur	tʰɪlkautʏr
tilheyra	tʰɪːlheira
tilheyrandi	tʰɪːlheirantɪ
tilheyri	tʰɪːlheirɪ
tilheyrir	tʰɪːlheirɪr
tilheyrt	tʰɪːlheir̥t
tilheyrði	tʰɪːlheirðɪ
tilheyrðu	tʰɪːlheirðʏ
tilhlaup	tʰɪll̥œip
tilhlökkun	tʰɪll̥œhkʏn
tilhlökkunar	tʰɪl̥œhkʏnar
tilhlökkunarefni	tʰɪll̥œhkʏnarɛpnɪ
tilhlýðilega	tʰɪll̥iðɪlɛɣa
tilhlýðilegt	tʰɪll̥iðɪlɛxt
tilhneiging	tʰɪln̥eijiŋk
tilhneigingar	tʰɪln̥eijiŋkar
tilhneigingu	tʰɪln̥eijiŋkʏ
tilhugsun	tʰɪːlhʏksʏn
tilhugsunin	tʰɪːlhʏksʏnɪn
tilhugsunina	tʰɪːlhʏksʏnɪna
tilhöggnum	tʰɪːlhœknʏm
tilhögun	tʰɪːlhœɣʏn
tilkall	tʰɪlkatl̥
tilkoma	tʰɪlkʰɔma
tilkomin	tʰɪlkʰɔmɪn
tilkominn	tʰɪlkʰɔmɪn
tilkomið	tʰɪlkʰɔmɪð
tilkomu	tʰɪlkʰɔmʏ
tilkomumikil	tʰɪlkʰɔmʏmɪːcɪl
tilkomumikið	tʰɪlkʰɔmʏmɪːcɪð
tilkomumikla	tʰɪlkʰɔmʏmɪhkla
tilkostnaði	tʰɪlkʰɔstnaðɪ
tilkynna	tʰɪlcɪna
tilkynni	tʰɪlcɪnɪ
tilkynning	tʰɪlcɪniŋk
tilkynninga	tʰɪlcʰɪniŋka
tilkynningar	tʰɪlcɪniŋkar
tilkynningaryfirlit	tʰɪlcʰɪniŋkarɪːvɪrlɪt
tilkynningu	tʰɪlcɪniŋkʏ
tilkynningum	tʰɪlcɪniŋkʏm
tilkynninguna	tʰɪlcɪniŋkʏna
tilkynningunni	tʰɪlcɪniŋkʏnɪ
tilkynnir	tʰɪlcɪnɪr
tilkynnist	tʰɪlcɪnɪst
tilkynnt	tʰɪlcɪn̥t
tilkynnti	tʰɪlcɪn̥tɪ
tilkynntu	tʰɪlcɪn̥tʏ
tillaga	tʰɪlaɣa
tillagan	tʰɪlaɣan
tillagna	tʰɪlakna
tillagnanna	tʰɪlaknana
tillann	tʰɪlan
tilleiðast	tʰɪleiðast
tillit	tʰɪlɪt
tilliti	tʰɪlɪtɪ
tillits	tʰɪlɪts
tillitsleysi	tʰɪlɪtstleiːsɪ
tillitssemi	tʰɪlɪsɛːmɪ
tillögu	tʰɪlœɣʏ
tillögum	tʰɪlœɣʏm
tillöguna	tʰɪl̥ɣʏna
tillögunnar	tʰɪlœɣʏnar
tillögunni	tʰɪlœɣʏnɪ
tillögunum	tʰɪlœɣɔnʏm
tillögur	tʰɪlœɣʏr
tillögurnar	tʰɪlœɣʏtnar
tillöguteikningar	tʰɪlœɣʏtʰɛjhkniŋkar
tilmæli	tʰɪlmailɪ
tilmælum	tʰɪlmailʏm
tilnefna	tʰɪlnɛpna
tilnefnd	tʰɪlnɛmt
tilnefndar	tʰɪlnɛmtar
tilnefndi	tʰɪlnɛmtɪ
tilnefndir	tʰɪlnɛmtɪr
tilnefndu	tʰɪlnɛmtʏ
tilnefndur	tʰɪlnɛmtʏr
tilnefningar	tʰɪlnɛpniŋkar
tilnefningu	tʰɪlnɛpniŋkʏ
tilnefningum	tʰɪlnɛpniŋkʏm
tilnefnt	tʰɪlnɛm̥t
tilneydd	tʰɪlneit
tilneyddan	tʰɪlnɛjtan
tilneyddur	tʰɪlneitʏr
tilraun	tʰɪlrœin
tilrauna	tʰɪlrœina
tilraunadýr	tʰɪlrœinatiːr
tilraunaglasi	tʰɪlrœjnaklaːsɪ
tilraunakennd	tʰɪlrœjnacʰɛnt
tilraunanna	tʰɪlrœjnana
tilraunarinnar	tʰɪlrœjnarɪnar
tilraunaskyni	tʰɪlrœinascɪːnɪ
tilraunaskýrslur	tʰɪlrœjnascistlʏr
tilraunastarfsemi	tʰɪlrœinastarvsɛmɪ
tilraunastarfsemina	tʰɪlrœjnastarsɛmɪna
tilraunaverkefna	tʰɪlrœjnavɛr̥kɛpna
tilraunaverkefni	tʰɪlrœinavɛr̥kɛpnɪ
tilraunin	tʰɪlrœinɪn
tilraunina	tʰɪlrœinɪna
tilrauninni	tʰɪlrœinɪnɪ
tilraunir	tʰɪlrœinɪr
tilraunirnar	tʰɪlrœinɪtnar
tilraunum	tʰɪlrœinʏm
tilraununum	tʰɪlrœjnɔnʏm
tilráð	tʰɪlrauð
tilræði	tʰɪlraiðɪ
tilræðinu	tʰɪlraiðɪnʏ
