ۋە	wˈæ
مۇستەملىكە	mˌustæmlˈɪkæ
مەزگىللەردە	mˌæzɡɪllˈærdæ
مەسلىھەت	mæslˈɪhæt
مەنبە	mˈænbæ
مەنمۇ	mˈænmu
مەھسۇلات	mæhsˈulɑt
نامايەن	nɑmˈɑjæn
نېفىت	nˈefɪt
ياخشىراق	jɑχʃˈɪɾɑq
يېمەكلىك	jemˈæklɪk
پائالىيىتى	pˌɑɑlɪjˈɪtɪ
پوچتا	pˈot͡ʃtɑ
پەرز	pˈærz
چىقىرىلغان	t͡ʃˌɪqɪɾˈɪlʁɑn
چەكسىز	t͡ʃˈæksɪz
گويا	ɡˈojɑ
ھەققى	hˈæqqɪ
ھەممىنى	hæmmˈɪnɪ
ۋەزىپىسى	wˌæzɪpˈɪsɪ
ئارىلاشتۇرۇپ	ˌɑɾɪlɑʃtˈuɾup
ئاش	ˈɑʃ
ئالىملىرى	ˌɑlɪmlˈɪɾɪ
ئومۇميۈزلۈك	ˌomumjˈyzlyk
ئىبادەت	ɪbˈɑdæt
ئىدارىسى	ˌɪdɑɾˈɪsɪ
ئىدىيە	ɪdˈɪjæ
ئىسمائىل	ɪsmˈɑɪl
ئىلىپ	ˈɪlɪp
ئۆتۈش	ˈœtyʃ
ئۆگىنىپ	œɡˈɪnɪp
ئۇنۋانى	unwˈɑnɪ
ئېشەك	ˈeʃæk
ئەتراپىغا	ˌætrɑpˈɪʁɑ
ئەسەرلەرنىڭ	ˌæsærlˈærnɪŋ
ئەقلىي	ˈæqlɪj
ئەمىر	ˈæmɪr
ئەپەندىنىڭ	ˌæpændˈɪnɪŋ
اللە	ˈɑllæ
بارغانسېرى	bˌɑrʁɑnsˈeɾɪ
بارى	bˈɑɾɪ
بېشىدىن	beʃˈɪdɪn
بەلگىسى	bælɡˈɪsɪ
تارتقان	tˈɑrtqɑn
توشقان	tˈoʃqɑn
تىنچ	tˈɪnt͡ʃ
تۈپەيلى	typˈæjlɪ
تېخنىكىسى	tˌeχnɪkˈɪsɪ
تەربىيىسى	tˌærbɪjˈɪsɪ
تەسلىم	tˈæslɪm
تەنلىك	tˈænlɪk
جۇمھۇرىيەت	d͡ʒˌumhuɾˈɪjæt
خرىستىئان	χrɪstˈɪɑn
خىلاپ	χˈɪlɑp
خەلقنى	χˈælqnɪ
دوست	dˈost
دىننى	dˈɪnnɪ
دەۋەت	dˈæwæt
رايونغا	rɑjˈonʁɑ
رەڭگى	rˈæŋɡɪ
زاپاس	zˈɑpɑs
سەۋەپتىن	sæwˈæptɪn
شارائىت	ʃɑɾˈɑɪt
شۇنىڭدەك	ʃunˈɪŋdæk
شېئىر	ʃˈeɪr
شەرقتە	ʃˈærqtæ
قازا	qˈɑzɑ
قالمايدۇ	qɑlmˈɑjdu
قوشنا	qˈoʃnɑ
قويۇلمايدۇ	qˌojulmˈɑjdu
قىزلار	qˈɪzlɑr
قىزىقارلىق	qˌɪzɪqˈɑrlɪq
قىلالايدۇ	qˌɪlɑlˈɑjdu
قىلماقچى	qɪlmˈɑqt͡ʃɪ
قىلماي	qˈɪlmɑj
قىلىدىكەن	qˌɪlɪdˈɪkæn
قېزىلما	qezˈɪlmɑ
قېشىغا	qeʃˈɪʁɑ
كالا	kˈɑlɑ
كومىتېتىنىڭ	kˌomɪtetˈɪnɪŋ
كىيىنكى	kɪjˈɪnkɪ
كېتىش	kˈetɪʃ
ماقالىسى	mˌɑqɑlˈɪsɪ
مىللەتكە	mɪllˈætkæ
مەجبۇرىي	mæd͡ʒbˈuɾɪj
مەرھۇم	mˈærhum
مەقسىتىدە	mˌæqsɪtˈɪdæ
نامىدا	nɑmˈɪdɑ
نۆۋەت	nˈœwæt
نۇقتىسىدىن	nˌuqtɪsˈɪdɪn
نەرسىلەرنىڭ	nˌærsɪlˈærnɪŋ
يىغىنى	jɪʁˈɪnɪ
يېزىسىدا	jˌezɪsˈɪdɑ
يېزىلىدۇ	jˌezɪlˈɪdu
يەھۇدىلار	jˌæhudˈɪlɑr
پەس	pˈæs
چەتكە	t͡ʃˈætkæ
ھالغا	hˈɑlʁɑ
ۋۇجۇتقا	wud͡ʒˈutqɑ
ئابدۇرېھىم	ˌɑbduɾˈehɪm
ئاتالغۇ	ɑtˈɑlʁu
ئارمىيە	ɑrmˈɪjæ
ئالغۇچى	ɑlʁˈut͡ʃɪ
ئاللىقاچان	ˌɑllɪqˈɑt͡ʃɑn
ئامىل	ˈɑmɪl
ئاياللارغا	ˌɑjɑllˈɑrʁɑ
ئايدىن	ˈɑjdɪn
ئايرىش	ˈɑjrɪʃ
ئايەت	ˈɑjæt
ئوتتۇرىسىغا	ˌottuɾɪsˈɪʁɑ
ئورگان	ˈorɡɑn
ئوقۇشنى	oqˈuʃnɪ
ئىجابىي	ɪd͡ʒˈɑbɪj
ئىجادىي	ɪd͡ʒˈɑdɪj
ئىشلەنگەن	ɪʃlˈænɡæn
ئىشىنى	ɪʃˈɪnɪ
ئىكەنلىكىگە	ˌɪkænlɪkˈɪɡæ
ئىمپېرىيىسى	ˌɪmpeɾɪjˈɪsɪ
ئىگىلىگەن	ˌɪɡɪlˈɪɡæn
ئۆتمەي	ˈœtmæj
ئۆزگىرىپ	œzɡˈɪɾɪp
ئۆسۈپ	ˈœsyp
ئۇرۇشىدا	ˌuɾuʃˈɪdɑ
ئۇچرايدىغان	ˌut͡ʃrɑjdˈɪʁɑn
ئۇچۇرلارنى	ˌut͡ʃurlˈɑrnɪ
ئېرىشىش	eɾˈɪʃɪʃ
ئەتىسى	ætˈɪsɪ
ئەدەبىياتىنىڭ	ˌædæbˌɪjɑtˈɪnɪŋ
ئەقىللىق	æqˈɪllɪq
ئەكىس	ˈækɪs
ئەھمىيەتكە	ˌæhmɪjˈætkæ
ئەۋج	ˈæwd͡ʒ
بارغاندا	bɑrʁˈɑndɑ
بالدۇر	bˈɑldur
بىرمۇ	bˈɪrmu
بىرىدىن	bɪɾˈɪdɪn
بىرىنجى	bɪɾˈɪnd͡ʒɪ
بۇغداي	bˈuʁdɑj
بېقىش	bˈeqɪʃ
بەھرىمەن	bæhrˈɪmæn
تاشنى	tˈɑʃnɪ
توختاپ	tˈoχtɑp
تىرىشچانلىق	tˌɪɾɪʃt͡ʃˈɑnlɪq
تۆرت	tˈœrt
تۇرۇۋاتقان	tˌuɾuwˈɑtqɑn
تۇيغۇ	tˈujʁu
تۈر	tˈyr
تېخنىكىلىق	tˌeχnɪkˈɪlɪq
تەرەپتە	tæɾˈæptæ
تەشكىلاتلار	tˌæʃkɪlˈɑtlɑr
تەكشى	tˈækʃɪ
تەييارلاش	tæjjˈɑrlɑʃ
تەھرىر	tˈæhrɪr
جايغا	d͡ʒˈɑjʁɑ
جۇڭغار	d͡ʒˈuŋʁɑr
خالاس	χˈɑlɑs
خانلىق	χˈɑnlɪq
خىزمىتىگە	χˌɪzmɪtˈɪɡæ
خىيال	χˈɪjɑl
دائىمىي	dɑˈɪmɪj
دادىسىنىڭ	dˌɑdɪsˈɪnɪŋ
داموللام	dɑmˈollɑm
دولان	dˈolɑn
دۆلەتتە	dœlˈættæ
دۆلەتنى	dœlˈætnɪ
دەرىجىسى	dˌæɾɪd͡ʒˈɪsɪ
دەرىجىسىنى	dˌæɾɪd͡ʒɪsˈɪnɪ
دەۋرىدىكى	dˌæwrɪdˈɪkɪ
راست	rˈɑst
رىئايە	rɪˈɑjæ
زىرە	zˈɪɾæ
زىيادە	zɪjˈɑdæ
سۆزلىشىدىغان	sˌœzlɪʃɪdˈɪʁɑn
شىمالىدىكى	ʃˌɪmɑlɪdˈɪkɪ
شۇغۇللانغان	ʃˌuʁullˈɑnʁɑn
شەھەردە	ʃæhˈærdæ
غازى	ʁˈɑzɪ
قاراشقا	qɑɾˈɑʃqɑ
قانۇندا	qɑnˈundɑ
قويۇق	qˈojuq
كىتابلار	kɪtˈɑblɑr
كىتابىدا	kˌɪtɑbˈɪdɑ
كىچىكىدىن	kˌɪt͡ʃɪkˈɪdɪn
كېسەللىك	kesˈællɪk
كەرىم	kˈæɾɪm
كەسكىن	kˈæskɪn
كەينىگە	kæjnˈɪɡæ
كەچۈرۈم	kæt͡ʃˈyɾym
ماقالىنىڭ	mˌɑqɑlˈɪnɪŋ
مىڭدىن	mˈɪŋdɪn
مۇستەھكەم	mustˈæhkæm
مەخپىي	mˈæχpɪj
مەزمۇنلار	mæzmˈunlɑr
مەشرىپى	mæʃrˈɪpɪ
ناھىيەسى	nˌɑhɪjˈæsɪ
نېمىگە	nemˈɪɡæ
نەسىھەت	næsˈɪhæt
نەشرى	nˈæʃrɪ
ياخشىلىق	jɑχʃˈɪlɪq
يولدىن	jˈoldɪn
يولىغا	jolˈɪʁɑ
يىغىن	jˈɪʁɪn
يىلتىزى	jɪltˈɪzɪ
يىلىغا	jɪlˈɪʁɑ
يۇلتۇز	jˈultuz
يېتىدۇ	jetˈɪdu
يېزىقىنى	jˌezɪqˈɪnɪ
يېنىغا	jenˈɪʁɑ
چىققاندىن	t͡ʃɪqqˈɑndɪn
چىقىشقا	t͡ʃɪqˈɪʃqɑ
گەپلەرنى	ɡæplˈærnɪ
گەۋدىلىك	ɡæwdˈɪlɪk
ھاياتلىق	hɑjˈɑtlɪq
ھەممىسىدە	hˌæmmɪsˈɪdæ
ۋىتامىن	wɪtˈɑmɪn
ئالاقىدارلار	ˌɑlɑqɪdˈɑrlɑr
ئالىملارنىڭ	ˌɑlɪmlˈɑrnɪŋ
ئاۋات	ˈɑwɑt
ئاۋام	ˈɑwɑm
ئوقۇغۇچىلارغا	ˌoquʁˌut͡ʃɪlˈɑrʁɑ
ئوقۇيدىغان	ˌoqujdˈɪʁɑn
ئوينىدى	ojnˈɪdɪ
ئىتتىپاقىنىڭ	ˌɪttɪpɑqˈɪnɪŋ
ئىسلامغا	ɪslˈɑmʁɑ
ئىشلارغا	ɪʃlˈɑrʁɑ
ئىشلىتىدىغان	ˌɪʃlɪtɪdˈɪʁɑn
ئىشلەيدىغان	ˌɪʃlæjdˈɪʁɑn
ئىشنىڭ	ˈɪʃnɪŋ
ئىقلىم	ˈɪqlɪm
ئىنسانلارنى	ˌɪnsɑnlˈɑrnɪ
ئۆچ	ˈœt͡ʃ
ئۈچۈنلا	yt͡ʃˈynlɑ
ئېيتقان	ˈejtqɑn
ئەينەن	ˈæjnæn
باشلاش	bˈɑʃlɑʃ
بولالايدۇ	bˌolɑlˈɑjdu
بولىدىكەن	bˌolɪdˈɪkæn
بوۋاي	bˈowɑj
بىنا	bˈɪnɑ
بۇرۇنلا	buɾˈunlɑ
بېگى	bˈeɡɪ
بەنى	bˈænɪ
تاشقىرى	tɑʃqˈɪɾɪ
تاماكا	tɑmˈɑkɑ
توختام	tˈoχtɑm
تۇتىدۇ	tutˈɪdu
تۈركى	tˈyrkɪ
تۈركۈم	tˈyrkym
تەرەپتىكى	tˌæɾæptˈɪkɪ
جىددىي	d͡ʒˈɪddɪj
جىنايەت	d͡ʒɪnˈɑjæt
جىنسىي	d͡ʒˈɪnsɪj
جۈملە	d͡ʒˈymlæ
خوش	χˈoʃ
داستىخانغا	dˌɑstɪχˈɑnʁɑ
دوكلات	dˈoklɑt
دېتال	dˈetɑl
روھ	rˈoh
رېئاللىققا	rˌeɑllˈɪqqɑ
رېمونت	rˈemont
زۇڭتۇڭ	zˈuŋtuŋ
زېمىن	zˈemɪn
سورۇن	sˈoɾun
سەھىھ	sˈæhɪh
شىمالدا	ʃɪmˈɑldɑ
شىنجاڭنىڭ	ʃɪnd͡ʒˈɑŋnɪŋ
شېكەر	ʃˈekær
شەھرىدە	ʃæhrˈɪdæ
غەيرى	ʁˈæjrɪ
قاتارلىقلارنىڭ	qˌɑtɑrlɪqlˈɑrnɪŋ
قاراخانىيلار	qˌɑɾɑχɑnˈɪjlɑr
قارشىلىق	qɑrʃˈɪlɪq
قانۇنسىز	qɑnˈunsɪz
قانۇنغا	qɑnˈunʁɑ
قىسمىدىكى	qˌɪsmɪdˈɪkɪ
قۇرئاندا	quɾˈɑndɑ
قېرىنداش	qeɾˈɪndɑʃ
قېلىشى	qelˈɪʃɪ
كارخانا	kɑrχˈɑnɑ
كاۋاۋىچىن	kˌɑwɑwˈɪt͡ʃɪn
كوچا	kˈot͡ʃɑ
كىيىم	kˈɪjɪm
كېسىلىگە	kˌesɪlˈɪɡæ
كېلىشى	kelˈɪʃɪ
كە	kˈæ
لىنىيىسى	lˌɪnɪjˈɪsɪ
ماكانى	mɑkˈɑnɪ
مالىيە	mɑlˈɪjæ
مانجۇ	mˈɑnd͡ʒu
مودا	mˈodɑ
مۇداپىئە	mˌudɑpˈɪæ
مۇسۇلمانلارغا	mˌusulmɑnlˈɑrʁɑ
مەشغۇلات	mæʃʁˈulɑt
مەكتەپلەردە	mˌæktæplˈærdæ
مەھەللە	mæhˈællæ
نازىل	nˈɑzɪl
نەتىجىلىرى	nˌætɪd͡ʒɪlˈɪɾɪ
نەرسىنىڭ	nærsˈɪnɪŋ
يازغۇچى	jɑzʁˈut͡ʃɪ
ياشاشقا	jɑʃˈɑʃqɑ
يان	jˈɑn
ياڭاق	jˈɑŋɑq
يوللار	jˈollɑr
يىغىپ	jˈɪʁɪp
يىللىرى	jɪllˈɪɾɪ
پات	pˈɑt
پىششىق	pˈɪʃʃɪq
پىشقان	pˈɪʃqɑn
پۇت	pˈut
پەرزەنت	pˈærzænt
چوڭراق	t͡ʃˈoŋrɑq
گۇرۇپپىسى	ɡˌuɾuppˈɪsɪ
ھاراق	hˈɑɾɑq
ھال	hˈɑl
ھىندىستاننىڭ	hˌɪndɪstˈɑnnɪŋ
ھېچكىم	hˈet͡ʃkɪm
ھەقىقەت	hæqˈɪqæt
ۋىلايىتىگە	wˌɪlɑjɪtˈɪɡæ
ۋەتەندىكى	wˌætændˈɪkɪ
ۋەقە	wˈæqæ
ئاتالمىش	ɑtˈɑlmɪʃ
ئاتىلىشى	ˌɑtɪlˈɪʃɪ
ئارىلى	ɑɾˈɪlɪ
ئاسانلا	ɑsˈɑnlɑ
ئاسىيانىڭ	ˌɑsɪjˈɑnɪŋ
ئامىللار	ɑmˈɪllɑr
ئانىنىڭ	ɑnˈɪnɪŋ
ئاپتوماتىك	ˌɑptomˈɑtɪk
ئاچچىق	ˈɑt͡ʃt͡ʃɪq
ئوخشىمايدۇ	ˌoχʃɪmˈɑjdu
ئوقۇتقۇچىلىق	ˌoqutqut͡ʃˈɪlɪq
ئوكيان	ˈokjɑn
ئىتالىيە	ˌɪtɑlˈɪjæ
ئىسلامنىڭ	ɪslˈɑmnɪŋ
ئىشەنچلىك	ɪʃˈænt͡ʃlɪk
ئىلان	ˈɪlɑn
ئىمكانىيىتى	ˌɪmkɑnɪjˈɪtɪ
ئۆزىدە	œzˈɪdæ
ئۆلگەن	ˈœlɡæn
ئۇقتۇرۇش	uqtˈuɾuʃ
ئۇل	ˈul
ئۇلاردا	ulˈɑrdɑ
ئۇچۇرلار	ut͡ʃˈurlɑr
ئۈزۈم	ˈyzym
ئېتنىك	ˈetnɪk
ئېھتىياجلىق	ˌehtɪjˈɑd͡ʒlɪq
ئەسىردىن	æsˈɪrdɪn
ئەكس	ˈæks
ئەنگىلىيە	ˌænɡɪlˈɪjæ
ئەيسا	ˈæjsɑ
ئەييۇب	ˈæjjub
بالىلىرىنى	bˌɑlɪlɪɾˈɪnɪ
باھاسى	bɑhˈɑsɪ
بوز	bˈoz
بولىدىغانلىقى	bˌolɪdˌɪʁɑnlˈɪqɪ
بولۇشىغا	bˌoluʃˈɪʁɑ
بولۇپلا	bolˈuplɑ
بىرخىل	bˈɪrχɪl
بەدىئىي	bædˈɪɪj
تاراتقۇلاردا	tˌɑɾɑtqulˈɑrdɑ
تاماملىغان	tˌɑmɑmlˈɪʁɑn
توپى	tˈopɪ
تۇتاش	tˈutɑʃ
تۇرمۇشىنى	tˌurmuʃˈɪnɪ
تۇيۇقسىز	tujˈuqsɪz
تۈرگە	tˈyrɡæ
تۈزۈلۈشى	tˌyzylˈyʃɪ
تېزلا	tˈezlɑ
تەرغىپ	tˈærʁɪp
تەركىپ	tˈærkɪp
تەرەققىياتىغا	tˌæɾæqqˌɪjɑtˈɪʁɑ
تەشكىلاتنىڭ	tˌæʃkɪlˈɑtnɪŋ
تەمىنلەيدۇ	tˌæmɪnlˈæjdu
تەن	tˈæn
تەنتەربىيە	tˌæntærbˈɪjæ
تەڭرىتاغ	tæŋrˈɪtɑʁ
جاھان	d͡ʒˈɑhɑn
جەرىمانە	d͡ʒˌæɾɪmˈɑnæ
خوتەنىينىڭ	χˌotænˈɪjnɪŋ
خىلدىكى	χɪldˈɪkɪ
خۇشاللىق	χuʃˈɑllɪq
خېرىدار	χeɾˈɪdɑr
خەۋەرلىشىش	χˌæwærlˈɪʃɪʃ
داۋاملاشقان	dˌɑwɑmlˈɑʃqɑn
دىۋان	dˈɪwɑn
دېموكراتىك	dˌemokrˈɑtɪk
روزى	rˈozɪ
رەسىم	rˈæsɪm
زىيا	zˈɪjɑ
زەھەرلىك	zæhˈærlɪk
ساھابىلەر	sˌɑhɑbˈɪlær
سۇدا	sˈudɑ
سۇلايمان	sulˈɑjmɑn
سۈرئىتى	syɾˈɪtɪ
سەپەر	sˈæpær
شۆھرەت	ʃˈœhræt
شېئىرلار	ʃeˈɪrlɑr
شېئىرى	ʃeˈɪɾɪ
شەخسى	ʃˈæχsɪ
شەرتى	ʃˈærtɪ
غەربكىچە	ʁærbkˈɪt͡ʃæ
قاراشلىرىنى	qˌɑɾɑʃlɪɾˈɪnɪ
قاقاس	qˈɑqɑs
قوناق	qˈonɑq
قىزىمنىڭ	qɪzˈɪmnɪŋ
قىلىشىنى	qˌɪlɪʃˈɪnɪ
قۇدرەتلىك	qudrˈætlɪk
قۇرۇلتىيى	qˌuɾultˈɪjɪ
كورىيە	koɾˈɪjæ
كىلىدۇ	kɪlˈɪdu
كۈنلۈك	kˈynlyk
كۈنىگە	kynˈɪɡæ
كېچىسى	ket͡ʃˈɪsɪ
كېچە	kˈet͡ʃæ
كېڭەش	kˈeŋæʃ
كەلتۈرۈلىدۇ	kˌæltyɾylˈɪdu
كەلمەيدۇ	kælmˈæjdu
كەينىدىن	kæjnˈɪdɪn
ماتېرىيال	mˌɑteɾˈɪjɑl
ماددا	mˈɑddɑ
مۇقام	mˈuqɑm
مۇيەسسەر	mujˈæssær
مۇھتاج	mˈuhtɑd͡ʒ
مۇھەممەت	muhˈæmmæt
مەسىلىلەر	mˌæsɪlˈɪlær
مەنىنى	mænˈɪnɪ
مەۋجۇد	mˈæwd͡ʒud
ناۋادا	nɑwˈɑdɑ
ياتقان	jˈɑtqɑn
ياردىمى	jɑrdˈɪmɪ
ياساش	jˈɑsɑʃ
ياپونلۇقلار	jˌɑponlˈuqlɑr
ياۋروپادا	jˌɑwropˈɑdɑ
يەرلەردە	jærlˈærdæ
پائالىيەتلىرى	pˌɑɑlˌɪjætlˈɪɾɪ
پارسچە	pˈɑrst͡ʃæ
پروفېسسور	profˈessor
پۇرچاق	pˈurt͡ʃɑq
پۈتتۈرگەندىن	pˌyttyrɡˈændɪn
چارۋا	t͡ʃˈɑrwɑ
چالغۇ	t͡ʃˈɑlʁu
چىقاردى	t͡ʃɪqˈɑrdɪ
چىقىم	t͡ʃˈɪqɪm
چۈشىدۇ	t͡ʃyʃˈɪdu
چەك	t͡ʃˈæk
ژۇرنىلى	ʒurnˈɪlɪ
ھالال	hˈɑlɑl
ھايۋانلار	hɑjwˈɑnlɑr
ھىجرەت	hˈɪd͡ʒræt
ھىندى	hˈɪndɪ
ھېساپلىنىدۇ	hˌesɑplɪnˈɪdu
ھېكمەت	hˈekmæt
ھەرىكەتكە	hˌæɾɪkˈætkæ
ھەقىقى	hæqˈɪqɪ
ۋەتەندە	wætˈændæ
ئادەملەرنىڭ	ˌɑdæmlˈærnɪŋ
ئارىلىشىپ	ˌɑɾɪlˈɪʃɪp
ئارىلىقتا	ˌɑɾɪlˈɪqtɑ
ئاشكارا	ɑʃkˈɑɾɑ
ئالاقىسى	ˌɑlɑqˈɪsɪ
ئامراق	ˈɑmrɑq
ئايرىلىدۇ	ˌɑjrɪlˈɪdu
ئاھالىسى	ˌɑhɑlˈɪsɪ
ئاۋازى	ɑwˈɑzɪ
ئوتلاق	ˈotlɑq
ئوخشىشىپ	oχʃˈɪʃɪp
ئولتۇراقلاشقان	ˌoltuɾɑqlˈɑʃqɑn
ئويۇنغا	ojˈunʁɑ
ئىدارىسىنىڭ	ˌɪdɑɾɪsˈɪnɪŋ
ئىزدەش	ˈɪzdæʃ
ئىسپاتلاپ	ɪspˈɑtlɑp
ئۆتكەندىن	œtkˈændɪn
ئۆزلىرىنى	ˌœzlɪɾˈɪnɪ
ئۆلچىمى	œlt͡ʃˈɪmɪ
ئۇچۇپ	ˈut͡ʃup
ئېرىشىدۇ	ˌeɾɪʃˈɪdu
ئېقىپ	ˈeqɪp
ئەزالىرىنىڭ	ˌæzɑlɪɾˈɪnɪŋ
ئەسلىي	ˈæslɪj
ئەللىرىدە	ˌællɪɾˈɪdæ
ئەلىشىر	ælˈɪʃɪr
ئەينەك	ˈæjnæk
ئەھۋالىغا	ˌæhwɑlˈɪʁɑ
ئەۋلادى	æwlˈɑdɪ
بالىنى	bɑlˈɪnɪ
بولغانلىقىنى	bˌolʁɑnlɪqˈɪnɪ
بولماسلىقى	bˌolmɑslˈɪqɪ
بولمىدى	bolmˈɪdɪ
بولۇشتىن	bolˈuʃtɪn
بوپتۇ	bˈoptu
بىرقەدەر	bɪrqˈædær
بىرىدە	bɪɾˈɪdæ
بىلگە	bˈɪlɡæ
بۇقا	bˈuqɑ
بۇلاق	bˈulɑq
تاشيولى	tɑʃjˈolɪ
تاقابىل	tɑqˈɑbɪl
تالاش	tˈɑlɑʃ
توپلىمى	toplˈɪmɪ
تىزىمغا	tɪzˈɪmʁɑ
تۇيغۇسى	tujʁˈusɪ
تېمپېراتۇرا	tˌempeɾɑtˈuɾɑ
تەتقىقاتچى	tˌætqɪqˈɑtt͡ʃɪ
تەختكە	tˈæχtkæ
تەقدىم	tˈæqdɪm
تەكرار	tˈækrɑr
تەۋسىيە	tæwsˈɪjæ
جايلىرىدا	d͡ʒˌɑjlɪɾˈɪdɑ
جىسمانىي	d͡ʒɪsmˈɑnɪj
جۇغراپىيىلىك	d͡ʒˌuʁrɑpɪjˈɪlɪk
جۈمە	d͡ʒˈymæ
خاننىڭ	χˈɑnnɪŋ
خەلقلەرنىڭ	χælqlˈærnɪŋ
خەۋەرلەر	χæwˈærlær
داستان	dˈɑstɑn
دوستى	dˈostɪ
دىنغا	dˈɪnʁɑ
دىگەندەك	dɪɡˈændæk
دېھقان	dˈehqɑn
دەپتۇ	dˈæptu
رادىئو	rɑdˈɪo
رادىيو	rɑdˈɪjo
رومان	rˈomɑn
زىيالىي	zɪjˈɑlɪj
زەيدىن	zˈæjdɪn
ساھە	sˈɑhæ
سوزۇلغان	sozˈulʁɑn
سىتاتىسكىگا	sˌɪtɑtɪskˈɪɡɑ
سىرتقا	sˈɪrtqɑ
سىرتىدىكى	sˌɪrtɪdˈɪkɪ
سىناق	sˈɪnɑq
سېتىش	sˈetɪʃ
سېپىل	sˈepɪl
سەۋەبتىن	sæwˈæbtɪn
سەۋەپ	sˈæwæp
شارائىتتا	ʃˌɑɾɑˈɪttɑ
شەخسلەر	ʃˈæχslær
غول	ʁˈol
فاتىمە	fɑtˈɪmæ
قاتناشتى	qɑtnˈɑʃtɪ
قارايتتى	qɑɾˈɑjttɪ
قارىتىپ	qɑɾˈɪtɪp
قارىمۇچ	qɑɾˈɪmut͡ʃ
قانلىق	qˈɑnlɪq
قانۇنىيىتى	qˌɑnunɪjˈɪtɪ
قوللىنىش	qollˈɪnɪʃ
قولىنى	qolˈɪnɪ
قويدۇم	qˈojdum
قىرغىز	qˈɪrʁɪz
قىسىمى	qɪsˈɪmɪ
قىلدۇرۇش	qɪldˈuɾuʃ
قىلغۇچ	qˈɪlʁut͡ʃ
قۇتلۇق	qˈutluq
قۇلاق	qˈulɑq
قۇياشنىڭ	qujˈɑʃnɪŋ
قەشقەرنىڭ	qæʃqˈærnɪŋ
كاتولىك	kɑtˈolɪk
كۆرسىتىلگەن	kˌœrsɪtˈɪlɡæn
كېسىلى	kesˈɪlɪ
كەسپىگە	kæspˈɪɡæ
كەلتۈردى	kæltˈyrdɪ
كەمسىتىش	kæmsˈɪtɪʃ
كەڭلىك	kˈæŋlɪk
مالىك	mˈɑlɪk
ماڭغان	mˈɑŋʁɑn
مۇخبىر	mˈuχbɪr
مۇنچە	mˈunt͡ʃæ
نۇقتا	nˈuqtɑ
يادرو	jˈɑdro
يوقىرى	joqˈɪɾɪ
يولنى	jˈolnɪ
يۇرتى	jˈurtɪ
يۈرۈپ	jˈyɾyp
يېتىش	jˈetɪʃ
پاكىت	pˈɑkɪt
پۇلنى	pˈulnɪ
چىنە	t͡ʃˈɪnæ
گۇرۇپپا	ɡuɾˈuppɑ
ھازىرغا	hɑzˈɪrʁɑ
ھالىتىدە	hˌɑlɪtˈɪdæ
ھەسەن	hˈæsæn
ۋاقىتتىن	wɑqˈɪttɪn
ئابدۇشۈكۈر	ˌɑbduʃˈykyr
ئاسمان	ˈɑsmɑn
ئاسىيادا	ˌɑsɪjˈɑdɑ
ئانىسىنىڭ	ˌɑnɪsˈɪnɪŋ
ئاپتوموبىل	ˌɑptomˈobɪl
ئو	ˈo
ئورخۇن	ˈorχun
ئوغلىنىڭ	oʁlˈɪnɪŋ
ئومۇمى	omˈumɪ
ئويۇننى	ojˈunnɪ
ئىككىنجى	ɪkkˈɪnd͡ʒɪ
ئىمتىھان	ɪmtˈɪhɑn
ئىنتېرنېت	ɪntˈernet
ئىنسانىيەتنىڭ	ˌɪnsɑnɪjˈætnɪŋ
ئىنگىلىزچە	ˌɪnɡɪlˈɪzt͡ʃæ
ئىگىلىكى	ˌɪɡɪlˈɪkɪ
ئۆتۈنۈپ	œtˈynyp
ئۆزلىرىگە	ˌœzlɪɾˈɪɡæ
ئۆزگەرتىلگەن	ˌœzɡærtˈɪlɡæn
ئۆستۈرۈش	œstˈyɾyʃ
ئۆيدىن	ˈœjdɪn
ئۇيغۇرچىغا	ˌujʁurt͡ʃˈɪʁɑ
ئۈزۈك	ˈyzyk
ئېلىشنى	elˈɪʃnɪ
ئېلىنىدۇ	ˌelɪnˈɪdu
ئەرەپ	ˈæɾæp
ئەسەرلىرىدە	ˌæsærlɪɾˈɪdæ
ئەلگە	ˈælɡæ
ئەنگلىيە	ænɡlˈɪjæ
باشقىلاردىن	bˌɑʃqɪlˈɑrdɪn
بالام	bˈɑlɑm
بايقىغان	bɑjqˈɪʁɑn
بايلىق	bˈɑjlɪq
بوش	bˈoʃ
بولماقتا	bolmˈɑqtɑ
بىراقلا	bɪɾˈɑqlɑ
بىرنەچچە	bɪrnˈæt͡ʃt͡ʃæ
بېرىلدى	beɾˈɪldɪ
بېرىلىدىغان	bˌeɾɪlɪdˈɪʁɑn
بېرىپتۇ	beɾˈɪptu
بېرەتتى	beɾˈættɪ
بېسىلغان	besˈɪlʁɑn
بېكىتىپ	bekˈɪtɪp
بەخت	bˈæχt
بەل	bˈæl
تام	tˈɑm
توختىتىپ	toχtˈɪtɪp
تونۇشتۇرۇپ	tˌonuʃtˈuɾup
توپلىغان	toplˈɪʁɑn
تىلدىكى	tɪldˈɪkɪ
تىنچلىق	tˈɪnt͡ʃlɪq
تۆگە	tˈœɡæ
تۆۋەنگە	tœwˈænɡæ
تۇرسۇن	tˈursun
تۇرغۇن	tˈurʁun
تۇپراق	tˈuprɑq
تېپىلغان	tepˈɪlʁɑn
تەبىئى	tæbˈɪɪ
