ա	ɑ
վերահաս	vɛɾɑhɑs
վերամբարձ	vɛɾɑmpʰɑɾt͡sʰ
վերանալ	vɛɾɑnɑl
վերանորոգել	vɛɾɑnɔɾɔkʰɛl
վերանվաճում	vɛɾɑnəvɑd͡ʒum
վերարկու	vɛɾɑɾɡu
վերարտադրություն	vɛɾɑɾdɑtʰɾutʰʏn
վերացական	vɛɾɑt͡sʰɑɡɑn
վերաքննիչ	vɛɾɑkʰənːit͡ʃʰ
վերգիլիոս	vɛɾkʰiliɔs
վերելակ	vɛɾɛlɑɡ
վերընթերցել	vɛɾəntʰɛɾt͡sʰɛl
վերին	vɛɾin
վերլուծական	vɛɾlud͡zɑɡɑn
վերլուծել	vɛɾlud͡zɛl
վերլուծություն	vɛɾlud͡zutʰʏn
վերծանել	vɛɾd͡zɑnɛl
վերմակ	vɛɾmɑɡ
վերմակասավան	vɛɾmɑɡɑsɑvɑn
վերմիշել	vɛɾmiʃɛl
վերմուտ	vɛɾmud
վերնագիր	vɛɾnɑkʰiɾ
վերնագրել	vɛɾnɑkʰɾɛl
վերնախավ	vɛɾnɑχɑv
վերնաշապիկ	vɛɾnɑʃɑbiɡ
վերուվայր	vɛɾuvɑjɾ
վերուվար	vɛɾuvɑɾ
վերուվարել	vɛɾuvɑɾɛl
վերուվեր	vɛɾuvɛɾ
վերջ	vɛɾt͡ʃʰ
վերջաբան	vɛɾt͡ʃʰɑpʰɑn
վերջադաս	vɛɾt͡ʃʰɑtʰɑs
վերջադիր	vɛɾt͡ʃʰɑtʰiɾ
վերջազարդ	vɛɾt͡ʃʰɑzɑɾtʰ
վերջալույս	vɛɾt͡ʃʰɑlujs
վերջալույսային	vɛɾt͡ʃʰɑlujsɑjin
վերջածանց	vɛɾt͡ʃʰɑd͡zɑnt͡sʰ
վերջածանցային	vɛɾt͡ʃʰɑd͡zɑnt͡sʰɑjin
վերջածանցավոր	vɛɾt͡ʃʰɑd͡zɑnt͡sʰɑvɔɾ
վերջակալ	vɛɾt͡ʃʰɑɡɑl
վերջակայան	vɛɾt͡ʃʰɑɡɑjɑn
վերջակետ	vɛɾt͡ʃʰɑɡɛd
վերջակետել	vɛɾt͡ʃʰɑɡɛdɛl
վերջահանգ	vɛɾt͡ʃʰɑhɑŋkʰ
վերջամաս	vɛɾt͡ʃʰɑmɑs
վերջամասնիկ	vɛɾt͡ʃʰɑmɑsniɡ
վերջամասնիկային	vɛɾt͡ʃʰɑmɑsniɡɑjin
վերջամասնիկավոր	vɛɾt͡ʃʰɑmɑsniɡɑvɔɾ
վերջամեկնում	vɛɾt͡ʃʰɑmɛɡnum
վերջամուտ	vɛɾt͡ʃʰɑmud
վերջանալ	vɛɾt͡ʃʰɑnɑl
վերջանալի	vɛɾt͡ʃʰɑnɑli
վերջանալիք	vɛɾt͡ʃʰɑnɑlikʰ
վերջանվագ	vɛɾt͡ʃʰɑnəvɑkʰ
վերջաշեշտ	vɛɾt͡ʃʰɑʃɛʃt
վերջապահ	vɛɾt͡ʃʰɑbɑh
վերջապար	vɛɾt͡ʃʰɑbɑɾ
վերջապես	vɛɾt͡ʃʰɑbɛs
վերջավանկ	vɛɾt͡ʃʰɑvɑŋɡ
վերջավանկային	vɛɾt͡ʃʰɑvɑŋɡɑjin
վերջավոր	vɛɾt͡ʃʰɑvɔɾ
վերջավորել	vɛɾt͡ʃʰɑvɔɾɛl
վերջավորություն	vɛɾt͡ʃʰɑvɔɾutʰʏn
վերջավորվել	vɛɾt͡ʃʰɑvɔɾvɛl
վերջատանջ	vɛɾt͡ʃʰɑdɑnt͡ʃʰ
վերջացնել	vɛɾt͡ʃʰɑt͡sʰənɛl
վերջացվել	vɛɾt͡ʃʰɑt͡sʰvɛl
վերջափակել	vɛɾt͡ʃʰɑpʰɑɡɛl
վերջափակում	vɛɾt͡ʃʰɑpʰɑɡum
վերջափակվել	vɛɾt͡ʃʰɑpʰɑɡvɛl
վերջաքիմք	vɛɾt͡ʃʰɑkʰimkʰ
վերջաքմային	vɛɾt͡ʃʰɑkʰəmɑjin
վերջերգ	vɛɾt͡ʃʰɛɾkʰ
վերջերս	vɛɾt͡ʃʰɛɾəs
վերջերքս	vɛɾt͡ʃʰɛɾkʰəs
վերջը	vɛɾt͡ʃʰə
վերջընթեր	vɛɾt͡ʃʰəntʰɛɾ
վերջի	vɛɾt͡ʃʰi
վերջին	vɛɾt͡ʃʰin
վերջինեկ	vɛɾt͡ʃʰinɛɡ
վերջիվերջո	vɛɾt͡ʃʰivɛɾt͡ʃʰɔ
վերջնագիծ	vɛɾt͡ʃʰnɑkʰid͡z
վերջնագիր	vɛɾt͡ʃʰnɑkʰiɾ
վերջնազարդ	vɛɾt͡ʃʰnɑzɑɾtʰ
վերջնաժամկետ	vɛɾt͡ʃʰnɑʒɑmɡɛd
վերջնալույս	vɛɾt͡ʃʰnɑlujs
վերջնախաղ	vɛɾt͡ʃʰnɑχɑʁ
վերջնական	vɛɾt͡ʃʰnɑɡɑn
վերջնականապես	vɛɾt͡ʃʰnɑɡɑnɑbɛs
վերջնականորեն	vɛɾt͡ʃʰnɑɡɑnɔɾɛn
վերջնակետ	vɛɾt͡ʃʰnɑɡɛd
վերջնակետային	vɛɾt͡ʃʰnɑɡɛdɑjin
վերջնահանգ	vɛɾt͡ʃʰnɑhɑŋkʰ
վերջնահաշիվ	vɛɾt͡ʃʰnɑhɑʃiv
վերջնահաս	vɛɾt͡ʃʰnɑhɑs
վերջնահնչյուն	vɛɾt͡ʃʰnɑhənt͡ʃʰʏn
վերջնաղիք	vɛɾt͡ʃʰnɑʁikʰ
վերջնամառային	vɛɾt͡ʃʰnɑmɑɾɑjin
վերջնամշակել	vɛɾt͡ʃʰnɑməʃɑɡɛl
վերջնամշակում	vɛɾt͡ʃʰnɑməʃɑɡum
վերջնամրցում	vɛɾt͡ʃʰnɑməɾt͡sʰum
վերջնային	vɛɾt͡ʃʰnɑjin
վերջնանպատակ	vɛɾt͡ʃʰnɑnəbɑdɑɡ
վերջնաշեշտ	vɛɾt͡ʃʰnɑʃɛʃt
վերջնապես	vɛɾt͡ʃʰnɑbɛs
վերջնասահման	vɛɾt͡ʃʰnɑsɑhmɑn
վերջնավանկ	vɛɾt͡ʃʰnɑvɑŋɡ
վերջնավանկային	vɛɾt͡ʃʰnɑvɑŋɡɑjin
վերջնավարտ	vɛɾt͡ʃʰnɑvɑɾd
վերջնեկ	vɛɾt͡ʃʰnɛɡ
վերջնուղեղ	vɛɾt͡ʃʰnuʁɛʁ
վերջոտնել	vɛɾt͡ʃʰɔdnɛl
վերջվածք	vɛɾt͡ʃʰvɑt͡sʰkʰ
վերստ	vɛɾst
վերցնել	vɛɾt͡sʰənɛl
վերք	vɛɾkʰ
վեց	vɛt͡sʰ
վեցանկյուն	vɛt͡sʰɑŋɡʏn
վեցերորդ	vɛt͡sʰɛɾɔɾtʰ
վզան	vəzɑn
վզիկ	vəziɡ
վթար	vətʰɑɾ
վիբորգ	vipʰɔɾkʰ
վիգեն	vikʰɛn
վիեննա	vijɛnːɑ
վիենտյան	vjɛndjɑn
վիետնամ	vjɛdnɑm
վիետնամական	vjɛdnɑmɑɡɑn
վիետնամերեն	vjɛdnɑmɛɾɛn
վիետնամցի	vjɛdnɑmt͡sʰi
վիզ	viz
վիզա	vizɑ
վիթ	vitʰ
վիթխարի	vitʰχɑɾi
վիժանուտ	viʒɑnud
վիժել	viʒɛl
վիլնյուս	vilnʏs
վիկի	viɡi
վիկինգ	viɡiŋkʰ
վիկտոր	viɡdɔɾ
վիճաբանել	vid͡ʒɑpʰɑnɛl
վիճակ	vid͡ʒɑɡ
վիճակագիր	vid͡ʒɑɡɑkʰiɾ
վիճակագրական	vid͡ʒɑɡɑkʰɾɑɡɑn
վիճակագրություն	vid͡ʒɑɡɑkʰɾutʰʏn
վիճակախաղ	vid͡ʒɑɡɑχɑʁ
վիճարկել	vid͡ʒɑɾɡɛl
վիճել	vid͡ʒɛl
վիճվել	vid͡ʒvɛl
վին	vin
վինդհուկ	vintʰhuɡ
վիշապ	viʃɑb
վիշի	viʃi
վիշնու	viʃnu
վիշտ	viʃt
վիպասան	vibɑsɑn
վիսլա	vislɑ
վիսկի	viski
վիտեբսկ	vidɛpʰsk
վիրաբուժություն	viɾɑpʰuʒutʰʏn
վիրագ	viɾɑkʰ
վիրակապ	viɾɑɡɑb
վիրավոր	viɾɑvɔɾ
վիրավորել	viɾɑvɔɾɛl
վիրգիլիոս	viɾkʰiliɔs
վիրուս	viɾus
վիրք	viɾkʰ
վիքի	vikʰi
վիքիբառարան	vikʰipʰɑɾɑɾɑn
վիքիպեդիա	vikʰibɛtʰjɑ
վիքիփեդիա	vikʰipʰɛtʰjɑ
վլադիկավկազ	vlɑtʰiɡɑvɡɑz
վլադիմիր	vlɑtʰimiɾ
վլադիսլավ	vlɑtʰislɑv
վլադիվոստոկ	vlɑtʰivɔstɔɡ
վլաստ	vəlɑst
վխտալ	vəχtɑl
վկա	vəɡɑ
վկայագիր	vəɡɑjɑkʰiɾ
վկայական	vəɡɑjɑɡɑn
վկայել	vəɡɑjɛl
վկայություն	vəɡɑjutʰʏn
վհատ	vəhɑd
վհատական	vəhɑdɑɡɑn
վհատել	vəhɑdɛl
վհատեցնել	vəhɑdɛt͡sʰənɛl
վհատեցնող	vəhɑdɛt͡sʰnɔʁ
վհատեցուցիչ	vəhɑdɛt͡sʰut͡sʰit͡ʃʰ
վհատիչ	vəhɑdit͡ʃʰ
վհատորեն	vəhɑdɔɾɛn
վհատություն	vəhɑdutʰʏn
վհատում	vəhɑdum
վհատված	vəhɑdvɑd͡z
վհուկ	vəhuɡ
վճար	vəd͡ʒɑɾ
վճարել	vəd͡ʒɑɾɛl
վճիռ	vəd͡ʒiɾ
վճիտ	vəd͡ʒid
վճռական	vəd͡ʒɾɑɡɑn
վճռականություն	vəd͡ʒɾɑɡɑnutʰʏn
վճռել	vəd͡ʒɾɛl
վյուն	vʏn
վնաս	vənɑs
վնասաբեր	vənɑsɑpʰɛɾ
վնասագիր	vənɑsɑkʰiɾ
վնասակար	vənɑsɑɡɑɾ
վնասարար	vənɑsɑɾɑɾ
վնասել	vənɑsɛl
վնասված	vənɑsvɑd͡z
վնասվածք	vənɑsvɑt͡sʰkʰ
վնասվել	vənɑsvɛl
վշտանալ	vəʃtɑnɑl
վոգեզներ	vɔkʰɛznɛɾ
վոդ	vɔtʰ
վոլապյուկ	vɔlɑbʏɡ
վոլգա	vɔlkʰɑ
վոլգոգրադ	vɔlkʰɔkʰɾɑtʰ
վոլեյբոլ	vɔlɛjpʰɔl
վոլոգդա	vɔlɔkʰtʰɑ
վորկուտա	vɔɾɡudɑ
վորոնեժ	vɔɾɔnɛʒ
վուշ	vuʃ
վուվուզել	vuvuzɛl
վուվուզելա	vuvuzɛlɑ
վռազ	vəɾɑz
վռազել	vəɾɑzɛl
վռամ	vəɾɑm
վռամշապուհ	vəɾɑmʃɑbuh
վռնդել	vəɾəntʰɛl
վստահ	vəstɑh
վստահաբար	vəstɑhɑpʰɑɾ
վստահել	vəstɑhɛl
վստահելի	vəstɑhɛli
վստահություն	vəstɑhutʰʏn
վտակ	vədɑɡ
վտանգ	vədɑŋkʰ
վտանգավոր	vədɑŋkʰɑvɔɾ
վտանգավորություն	vədɑŋkʰɑvɔɾutʰʏn
վտանգել	vədɑŋkʰɛl
վտանգում	vədɑŋkʰum
վտանգվել	vədɑŋkʰvɛl
վտառ	vədɑɾ
վտարանդի	vədɑɾɑntʰi
վտարում	vədɑɾum
վտիտ	vədid
վրա	vəɾɑ
վրաերթ	vəɾɑjɛɾtʰ
վրան	vəɾɑn
վրաստան	vəɾɑstɑn
վրաց	vəɾɑt͡sʰ
վրացական	vəɾɑt͡sʰɑɡɑn
վրացերեն	vəɾɑt͡sʰɛɾɛn
վրացի	vəɾɑt͡sʰi
վրդով	vəɾtʰɔv
վրդովել	vəɾtʰɔvɛl
վրդովվել	vəɾtʰɔvːɛl
վրեժ	vəɾɛʒ
վրեպ	vəɾɛb
վրթանես	vəɾtʰɑnɛs
վրիպակ	vəɾibɑɡ
վրձին	vəɾt͡sʰin
տ	də
տաբատ	dɑpʰɑd
տաբու	dɑpʰu
տագալերեն	dɑkʰɑlɛɾɛn
տագալոգ	dɑkʰɑlɔkʰ
տագերակին	dɑkʰɛɾɑɡin
տագերկին	dɑkʰɛɾɡin
տագնապ	dɑkʰnɑb
տագր	dɑkʰəɾ
տաթեւ	dɑtʰɛv
տաթեւիկ	dɑtʰɛviɡ
տալ	dɑl
տալլին	dɑlːin
տախտ	dɑχt
տախտակ	dɑχtɑɡ
տախտակամած	dɑχtɑɡɑmɑd͡z
տակ	dɑɡ
տակաշոր	dɑɡɑʃɔɾ
տակառ	dɑɡɑɾ
տակառագործ	dɑɡɑɾɑkʰɔɾd͡z
տակավին	dɑɡɑvin
տակիտոս	dɑɡidɔs
տակնուվրա	dɑɡnuvəɾɑ
տակռի	dɑɡɾi
տակտիկա	dɑɡdiɡɑ
տահիթի	dɑhitʰi
տահիտի	dɑhidi
տաղանդ	dɑʁɑntʰ
տաղանդավոր	dɑʁɑntʰɑvɔɾ
տաղավար	dɑʁɑvɑɾ
տաղլյան	dɑʁljɑn
տաղտկանալ	dɑʁdɡɑnɑl
տաղտկավուն	dɑχtɡɑvun
տաղտկոտ	dɑʁdɡɔd
տաղտուկ	dɑʁduɡ
տաճատ	dɑd͡ʒɑd
տաճատուհի	dɑd͡ʒɑduhi
տաճար	dɑd͡ʒɑɾ
տաճարական	dɑd͡ʒɑɾɑɡɑn
տաճիկ	dɑd͡ʒiɡ
տաճկաստան	dɑd͡ʒɡɑstɑn
տաճկերեն	dɑd͡ʒɡɛɾɛn
տամբով	dɑmpʰɔv
տամուկ	dɑmuɡ
տայբեյ	dɑjpʰɛj
տայք	dɑjkʰ
տանգո	dɑŋkʰɔ
տանել	dɑnɛl
տանզանիա	dɑnzɑnjɑ
տանը	dɑnə
տանիք	dɑnikʰ
տանկ	dɑŋɡ
տանձ	dɑnt͡sʰ
տանձենի	dɑnt͡sʰɛni
տանուտեր	dɑnudɛɾ
տանջել	dɑnt͡ʃʰɛl
տանտալ	dɑndɑl
տանտեր	dɑndɛɾ
տանտիկին	dɑndiɡin
տանտիրուհի	dɑndiɾuhi
տաշ	dɑʃ
տաշել	dɑʃɛl
տաշտ	dɑʃt
տաշքենդ	dɑʃkʰɛntʰ
տապ	dɑb
տապալել	dɑbɑlɛl
տապակ	dɑbɑɡ
տապակել	dɑbɑɡɛl
տապար	dɑbɑɾ
տապեղ	dɑbɛʁ
տապիոկա	dɑbijɔɡɑ
տաջիկ	dɑt͡ʃʰiɡ
տաջիկական	dɑt͡ʃʰiɡɑɡɑn
տաջիկերեն	dɑt͡ʃʰiɡɛɾɛn
տաջիկստան	dɑt͡ʃʰiɡstɑn
տառ	dɑɾ
տառադարձել	dɑɾɑtʰɑɾt͡sʰɛl
տառադարձություն	dɑɾɑtʰɑɾt͡sʰutʰʏn
տառապանք	dɑɾɑbɑŋkʰ
տառապել	dɑɾɑbɛl
տառասխալ	dɑɾɑsəχɑl
տառատեսակ	dɑɾɑdɛsɑɡ
տառեխ	dɑɾɛχ
տառեղ	dɑɾɛʁ
տաս	dɑs
տասերորդ	dɑsɛɾɔɾtʰ
տասը	dɑsə
տասնամյակ	dɑsnɑmjɑɡ
տասներեք	dɑsnɛɾɛkʰ
տասներկու	dɑsnɛɾɡu
տասներորդ	dɑsnɛɾɔɾtʰ
տասնինը	dɑsninə
տասնիցս	dɑsnit͡sʰəs
տասնհինգ	dɑsnəhiŋkʰ
տասնմեկ	dɑsnəmɛɡ
տասնյոթ	dɑsnjəɔtʰ
տասնութ	dɑsnutʰ
տասնութ	dɑsnəutʰ
տասնչորս	dɑsnət͡ʃʰɔɾs
տասնվեց	dɑsnəvɛt͡sʰ
տավար	dɑvɑɾ
տավիղ	dɑviʁ
տավուշ	dɑvuʃ
տավրիս	dɑvɾis
տավրոս	dɑvɾɔs
տատ	dɑd
տատասկ	dɑdɑsk
տատի	dɑdi
տատիկ	dɑdiɡ
տատմայր	dɑdmɑjɾ
տատմեր	dɑdmɛɾ
տատրակ	dɑdɾɑɡ
տար	dɑɾ
տարա	dɑɾɑ
տարաբանվոր	dɑɾɑpʰɑnvɔɾ
տարադրամ	dɑɾɑtʰəɾɑm
տարադրամի	dɑɾɑtʰəɾɑmi
տարաժամանակյա	dɑɾɑʒɑmɑnɑɡjɑ
տարածաժամանակային	dɑɾɑd͡zɑʒɑmɑnɑɡɑjin
տարածաշրջան	dɑɾɑd͡zɑʃəɾt͡ʃʰɑn
տարածաշրջանային	dɑɾɑd͡zɑʃəɾt͡ʃʰɑnɑjin
տարածել	dɑɾɑd͡zɛl
տարածություն	dɑɾɑd͡zutʰʏn
տարածված	dɑɾɑd͡zvɑd͡z
տարածք	dɑɾɑt͡sʰkʰ
տարածքային	dɑɾɑt͡sʰkʰɑjin
տարակույս	dɑɾɑɡujs
տարակուսել	dɑɾɑɡusɛl
տարամիտել	dɑɾɑmidɛl
տարատեսակ	dɑɾɑdɛsɑɡ
տարափ	dɑɾɑpʰ
տարբեր	dɑɾpʰɛɾ
տարբերակ	dɑɾpʰɛɾɑɡ
տարբերել	dɑɾpʰɛɾɛl
տարբերություն	dɑɾpʰɛɾutʰʏn
տարեդարձ	dɑɾɛtʰɑɾt͡sʰ
տարելից	dɑɾɛlit͡sʰ
տարեկան	dɑɾɛɡɑn
տարեկետում	dɑɾɛɡɛdum
տարենթոն	dɑɾɛntʰɔn
տարենտ	dɑɾɛnd
տարերք	dɑɾɛɾkʰ
տարեց	dɑɾɛt͡sʰ
տարթ	dɑɾtʰ
տարի	dɑɾi
տարիք	dɑɾikʰ
տարխուն	dɑɾχun
տարկետել	dɑɾɡɛdɛl
տարկետում	dɑɾɡɛdum
տարկետվել	dɑɾɡɛdvɛl
տարմ	dɑɾm
տարմահավ	dɑɾmɑhɑv
տարնմանություն	dɑɾnəmɑnutʰʏn
տարողություն	dɑɾɔʁutʰʏn
տարոն	dɑɾɔn
տարսոն	dɑɾsɔn
տարվել	dɑɾvɛl
տարտամ	dɑɾdɑm
տարտուս	dɑɾdus
տարր	dɑɾː
տարրական	dɑɾːɑɡɑn
տարփ	dɑɾpʰ
տարօրինակ	dɑɾɔɾinɑɡ
տափ	dɑpʰ
տափակ	dɑpʰɑɡ
տափակաշուրթ	dɑpʰɑɡɑʃuɾtʰ
տափան	dɑpʰɑn
տափաստան	dɑpʰɑstɑn
տափաստանային	dɑpʰɑstɑnɑjin
տափօղակ	dɑpʰɔʁɑɡ
տաք	dɑkʰ
տաքավուն	dɑkʰɑvun
տաքդեղ	dɑkʰtʰɛʁ
տաքություն	dɑkʰutʰʏn
տաքսի	dɑkʰsi
տգեղ	dəkʰɛʁ
տգետ	dəkʰɛd
տգիտություն	dəkʰidutʰʏn
տեգ	dɛkʰ
տեգերակին	dɛkʰɛɾɑɡin
տեգերկին	dɛkʰɛɾɡin
տեգուսիգալպա	dɛkʰusikʰɑlbɑ
տեգր	dɛkʰəɾ
տեգրակին	dɛkʰɾɑɡin
տելուգու	dɛlukʰu
տելուր	dɛluɾ
տեխաս	dɛχɑs
տեխնեցիում	dɛχnɛt͡sʰijum
տեխնիկա	dɛχniɡɑ
տեխնիկական	dɛχniɡɑɡɑn
տեխնոլոգիա	dɛχnɔlɔkʰjɑ
տեխնոլոգիաներ	dɛχnɔlɔkʰjɑnɛɾ
տեխնոպարկ	dɛχnɔbɑɾɡ
տեկիլա	dɛɡilɑ
տեղ	dɛʁ
տեղադրում	dɛʁɑtʰɾum
տեղակալ	dɛʁɑɡɑl
տեղաճարակ	dɛʁɑd͡ʒɑɾɑɡ
տեղանուն	dɛʁɑnun
տեղանք	dɛʁɑŋkʰ
տեղաշարժել	dɛʁɑʃɑɾʒɛl
տեղատվություն	dɛʁɑdvutʰʏn
տեղափոխել	dɛʁɑpʰɔχɛl
տեղեկանալ	dɛʁɛɡɑnɑl
տեղեկատու	dɛʁɛɡɑdu
տեղեկատվական	dɛʁɛɡɑdvɑɡɑn
տեղեկատվություն	dɛʁɛɡɑdvutʰʏn
տեղեկացնել	dɛʁɛɡɑt͡sʰənɛl
տեղեկություն	dɛʁɛɡutʰʏn
տեղի	dɛʁi
տեղիք	dɛʁikʰ
տեղյակ	dɛʁjɑɡ
տենալ	dɛnɑl
տենդ	dɛntʰ
տենդախտ	dɛntʰɑχt
տենեդոս	dɛnɛtʰɔs
տենչալ	dɛnt͡ʃʰɑl
տեռ	dɛɾ
տեռորիզմ	dɛɾɔɾizm
տեռորիստ	dɛɾɔɾist
տեռորիստական	dɛɾɔɾistɑɡɑn
տեսաերիզ	dɛsɑjɛɾiz
տեսախցիկ	dɛsɑχət͡sʰiɡ
տեսակ	dɛsɑɡ
տեսական	dɛsɑɡɑn
տեսականիշ	dɛsɑɡɑniʃ
տեսականորեն	dɛsɑɡɑnɔɾɛn
տեսակետ	dɛsɑɡɛd
տեսահոլովակ	dɛsɑhɔlɔvɑɡ
տեսանելի	dɛsɑnɛli
տեսանյութ	dɛsɑnʏtʰ
տեսարան	dɛsɑɾɑn
տեսարժան	dɛsɑɾʒɑn
տեսիլ	dɛsil
տեսիլք	dɛsilkʰ
տեսլական	dɛslɑɡɑn
տեսնալ	dɛsnɑl
տեսնել	dɛsnɛl
տեսողություն	dɛsɔʁutʰʏn
տեսություն	dɛsutʰʏn
տեսուչ	dɛsut͡ʃʰ
տեսչական	dɛst͡ʃʰɑɡɑn
տեսք	dɛskʰ
տետր	dɛdəɾ
տեր	dɛɾ
տերբիում	dɛɾpʰijum
տերեւ	dɛɾɛv
տերեփուկ	dɛɾɛpʰuɡ
տերիտորիա	dɛɾidɔɾjɑ
տերմին	dɛɾmin
տերություն	dɛɾutʰʏn
տերունի	dɛɾuni
տերպանդրոս	dɛɾbɑntʰɾɔs
տերտեր	dɛɾdɛɾ
տերտերյան	dɛɾdɛɾjɑn
տեւ	dɛv
տեւել	dɛvɛl
տեւողություն	dɛvɔʁutʰʏn
տեքստ	dɛkʰst
տեքր	dɛkʰəɾ
տզրուկ	dəzɾuɡ
տժվժալ	dəʒvəʒɑl
տժվժիկ	dəʒvəʒiɡ
տի	di
տիբեթ	dipʰɛtʰ
տիբեթական	dipʰɛtʰɑɡɑn
տիբեթերեն	dipʰɛtʰɛɾɛn
տիբեր	dipʰɛɾ
տիբերիոս	dipʰɛɾiɔs
տիբերիս	dipʰɛɾis
տիգրան	dikʰɾɑn
տիգրանուհի	dikʰɾɑnuhi
տիգրիս	dikʰɾis
տիեզերագնաց	djɛzɛɾɑkʰənɑt͡sʰ
տիեզերանավ	djɛzɛɾɑnɑv
տիեզերք	dijɛzɛɾkʰ
տիեզերք	djɛzɛɾkʰ
տիզ	diz
տիզբոն	dispʰɔn
տիկ	diɡ
տիկին	diɡin
տիկնիկ	diɡniɡ
տիկնիկային	diɡniɡɑjin
տիկնունի	diɡnuni
տիղմ	diʁm
տիմոթեոս	dimɔtʰɛɔs
տիպ	dib
տիպաբանական	dibɑpʰɑnɑɡɑn
տիվ	div
տիտան	didɑn
տիր	diɾ
տիրան	diɾɑn
տիրանա	diɾɑnɑ
տիրապետել	diɾɑbɛdɛl
տիրապետում	diɾɑbɛdum
տիրացու	diɾɑt͡sʰu
տիրել	diɾɛl
տիրտեոս	diɾdɛɔs
տիք	dikʰ
տխմար	dəχmɑɾ
տխուր	dəχuɾ
տխրություն	dəχɾutʰʏn
տկար	dəɡɑɾ
տկլոր	dəɡlɔɾ
տկողին	dəɡɔʁin
տկռել	dəɡɾɛl
տհաճ	dəhɑd͡ʒ
տհաս	dəhɑs
տձեւ	dət͡sʰɛv
տղա	dəʁɑ
տղամարդ	dəʁɑmɑɾtʰ
տղամարդիկ	dəʁɑmɑɾtʰiɡ
տղմուտ	dəʁmud
տմարդի	dəmɑɾtʰi
տյումեն	dʏmɛn
տյուն	dʏn
տյուրացի	dʏɾɑt͡sʰi
տյուրոս	dʏɾɔs
տնակ	dənɑɡ
տնական	dənɑɡɑn
տնային	dənɑjin
տնատիրուհի	dənɑdiɾuhi
տնկի	dəŋɡi
տնջրի	dənt͡ʃʰəɾi
տնտես	dəndɛs
տնտեսագետ	dəndɛsɑkʰɛd
տնտեսագիտական	dəndɛsɑkʰidɑɡɑn
տնտեսագիտություն	dəndɛsɑkʰidutʰʏn
տնտեսական	dəndɛsɑɡɑn
տնտեսություն	dəndɛsutʰʏn
տնփեսա	dənpʰɛsɑ
տնքալ	dəŋkʰɑl
տնօրեն	dənɔɾɛn
տնօրինել	dənɔɾinɛl
տոգո	dɔkʰɔ
տոթ	dɔtʰ
տոլմա	dɔlmɑ
տոլյատի	dɔljɑdi
տոկալ	dɔɡɑl
տոկացող	dɔɡɑt͡sʰɔʁ
տոկիո	dɔɡiɔ
տոկոս	dɔɡɔs
տոկոսիք	dɔɡɔsikʰ
տոկուն	dɔɡun
տոկունություն	dɔɡunutʰʏn
տոհմ	dɔhm
տոհմածառ	dɔhmɑd͡zɑɾ
տող	dɔʁ
տողադարձ	dɔʁɑtʰɑɾt͡sʰ
տողան	dɔʁɑn
տոմար	dɔmɑɾ
տոմարակալություն	dɔmɑɾɑɡɑlutʰʏn
տոմս	dɔms
տոմսարկղ	dɔmsɑɾɡəʁ
տոմսկ	dɔmsk
տոն	dɔn
տոնագիր	dɔnɑkʰiɾ
տոնածառ	dɔnɑd͡zɑɾ
տոնավաճառ	dɔnɑvɑd͡ʒɑɾ
տոնել	dɔnɛl
տոնոյան	dɔnɔjɑn
տոպրակ	dɔbɾɑɡ
տոռն	dɔɾən
տոտեմ	dɔdɛm
տորգ	dɔɾkʰ
տորդիկ	dɔɾtʰiɡ
տորթ	dɔɾtʰ
տորմ	dɔɾm
տորմիղ	dɔɾmiʁ
տորմուզ	dɔɾmuz
տորոն	dɔɾɔn
տորտ	dɔɾd
տորք	dɔɾkʰ
տորֆ	dɔɾf
տուալետ	duɑlɛd
տուբերկուլյոզ	dupʰɛɾɡuljɔz
տուբերկուլոզ	dupʰɛɾɡulɔz
տուգանք	dukʰɑŋkʰ
տուզ	duz
տուժել	duʒɛl
տուժող	duʒɔʁ
տուժվել	duʒvɛl
տուլա	dulɑ
տուկան	duɡɑn
տուղտ	duʁd
տույժ	dujʒ
տուն	dun
տունդրա	duntʰɾɑ
տունկ	duŋɡ
տունտունիկ	dunduniɡ
տուպոյ	dubɔj
տուտ	dud
տուտուզ	duduz
տուր	duɾ
տուրիզմ	duɾizm
տուրին	duɾin
տուրմ	duɾm
տուրք	duɾkʰ
տուփ	dupʰ
տպագրություն	dəbɑkʰɾutʰʏn
տպավորել	dəbɑvɔɾɛl
տպավորիչ	dəbɑvɔɾit͡ʃʰ
տպավորություն	dəbɑvɔɾutʰʏn
տպավորված	dəbɑvɔɾvɑd͡z
տպավորվել	dəbɑvɔɾvɛl
տպարան	dəbɑɾɑn
տպել	dəbɛl
տպիչ	dəbit͡ʃʰ
տռել	dəɾɛl
տռզել	dəɾzɛl
տռուզ	dəɾuz
տվեր	dvɛɾ
տվյալ	dəvjɑl
տտ	dədə
տրական	dəɾɑɡɑn
տրակտոր	dɾɑɡdɔɾ
տրամաբան	dəɾɑmɑpʰɑn
տրամաբանական	dɾɑmɑpʰɑnɑɡɑn
տրամաբանություն	dɾɑmɑpʰɑnutʰʏn
տրամագիծ	dɾɑmɑkʰid͡z
տրամադրել	dəɾɑmɑtʰɾɛl
տրամադրություն	dɾɑmɑtʰɾutʰʏn
տրամաչափ	dəɾɑmɑt͡ʃʰɑpʰ
տրամվայ	dɾɑmvɑj
տրանսգենդեր	dɾɑnskʰɛntʰɛɾ
