да	dˈɑ
Егембердиев	eɡembˈeɾdəjev
Екатеринбургте	ekɑtˈeɾəjnbwɾɡte
Еркімбай	eɾkɪmbˈɑj
Ертеңіне	eɾteŋɪnˈe
Ерғалиеваны	eɾʀˈɑɫəjevɑnə
Есенгүл	esenɡˈuɫ
Есенәлиев	esenˈæɫəjev
Есікті	esɪktˈɪ
Жабай	ʒɑbˈɑj
Жалалабадта	ʒɑɫɑɫɑbɑdtˈɑ
Жамали	ʒɑmˈɑɫəj
Жанаев	ʒɑnɑˈev
Жанаттың	ʒɑnˈɑttəŋ
Жанжалдың	ʒɑnʒˈɑɫdəŋ
Жантай	ʒɑntˈɑj
Жараланған	ʒɑɾɑɫɑnʀˈɑn
Жарастың	ʒɑɾˈɑstəŋ
Жаратқанға	ʒɑɾɑtqɑnʀˈɑ
Жарылғапов	ʒˈɑɾəɫʀɑpov
Жарылғыш	ʒˈɑɾəɫʀəʃ
Жасай	ʒɑsˈɑj
Жасымбеков	ʒˈɑsəmbekov
Жасырып	ʒˈɑsəɾəp
Жасөспірім	ʒɑsɵspɪɾˈɪm
Жатын	ʒˈɑtən
Жауапкерлер	ʒɑwɑpkeɾlˈeɾ
Жауапқа	ʒɑwɑpqˈɑ
Жағанованың	ʒɑʀɑnovˈɑnəŋ
Жағдайымыз	ʒɑʀdˈɑjəməz
Жақан	ʒɑqˈɑn
Жақсыны	ʒˈɑqsənə
Жаңалықтар	ʒɑŋˈɑɫəqtɑɾ
Жаңарған	ʒɑŋɑɾʀˈɑn
Жаңаталап	ʒɑŋɑtɑɫˈɑp
Жаңылмасам	ʒˈɑŋəɫmɑsɑm
Жері	ʒeɾˈɪ
Жетісай	ʒetɪsˈɑj
Жиенбаев	ʒəjenbɑev
Жозеф	ʒozˈef
Жойқын	ʒˈojqən
Жолдар	ʒoɫdˈɑɾ
Жолымбет	ʒˈoɫəmbet
Жоспарланған	ʒospɑɾɫɑnʀˈɑn
Жошы	ʒˈoʃə
Жоқшылық	ʒˈoqʃəɫəq
Жуаспаеваның	ʒwɑspɑevˈɑnəŋ
Жыланды	ʒəɫɑndə
Жырау	ʒəɾɑw
Жігіттер	ʒɪɡɪttˈeɾ
Жүлдеге	ʒuɫdeɡˈe
Жүргізушілердің	ʒuɾɡɪzwʃɪleɾdˈɪŋ
Жүргізілген	ʒuɾɡɪzɪɫɡˈen
Жұмаш	ʒʊmˈɑʃ
Жәмеңке	ʒæmeŋkˈe
Заманбекті	zɑmɑnbektˈɪ
Заманында	zɑmˈɑnəndɑ
Заңгерлер	zɑŋɡeɾlˈeɾ
Заңдағы	zɑŋdˈɑʀə
Заңмен	zɑŋmˈen
Зекейџлы	zəˈekəˈejəlˈetəˈefɫəə
Зеленов	zelenˈov
Зере	zeɾˈe
Зеренді	zeɾendˈɪ
Зифа	zəjfɑ
Злотников	zɫˈotnəjkov
Зябкина	zjˈabkəjnɑ
Зүльфия	zˈuɫʔfəjja
Зәкеңе	zækeŋˈe
Ибадулла	əjbɑdwɫɫɑ
Ибрагимовты	əjbɾɑɡəjmovtə
Ибраевтың	əjbɾɑevtəŋ
Ибраимов	əjbɾɑəjmov
Иен	əjen
Иерусалимде	əjeɾwsɑɫəjmde
Иманғазина	əjmɑnʀɑzəjnɑ
Имашевтың	əjmɑʃevtəŋ
Индонезиядағы	əjndonezəjjadɑʀə
Инфо	əjnfo
Инфрақұрылымдық	əjnfɾɑqʊɾəɫəmdəq
Иоганн	əjoɡɑnn
Ирдің	əjɾdɪŋ
Иржи	əjɾʒəj
Ирландияда	əjɾɫɑndəjjadɑ
Исаков	əjsɑkov
Исахан	əjsɑxɑn
Исламабадтағы	əjsɫɑmɑbɑdtɑʀə
Исламбек	əjsɫɑmbek
КХДР	kəxədəɾə
Кадыров	kˈɑdəɾov
Каменка	kɑmenkˈɑ
Камилла	kˈɑməjɫɫɑ
Канделаки	kɑndeɫˈɑkəj
Каплунская	kɑpɫwnskɑjˈa
Карагодиннің	kɑɾɑɡˈodəjnnɪŋ
Каримовқа	kˈɑɾəjmovqɑ
Карловы	kɑɾɫˈovə
Кездейсоқ	kezdejsˈoq
Кездесудің	kezdeswdˈɪŋ
Кел	kˈeɫ
Келсе	keɫsˈe
Кешкісін	keʃkɪsˈɪn
Кешқұрым	keʃqˈʊɾəm
Киевпен	kəjevpen
Кимге	kəjmɡe
Кисилева	kəjsəjlevɑ
Климкин	kɫəjmkəjn
Козловска	kozɫovskˈɑ
Коменданттық	komendˈɑnttəq
Комитетінің	kˈoməjtetɪnɪŋ
Композитор	kompˈozəjtoɾ
Коррупция	kˈoɾɾwptsəjja
Коррупциямен	kˈoɾɾwptsəjjamen
Косовоны	kosovˈonə
Кравцов	kɾɑvtsˈov
Кравчук	kɾˈɑvt͡ʃwk
Крамер	kɾɑmˈeɾ
Краснощеков	kɾɑsnoʃʃekˈov
Крикун	kɾəjkwn
Кубамен	kwbɑmˈen
Кушаевқа	kwʃɑevqˈɑ
Кілт	kˈɪɫt
Кінәлі	kɪnælˈɪ
Күләнда	kulændˈɑ
Күндер	kundˈeɾ
Күре	kuɾˈe
Кәменов	kæmenˈov
Кәрімбаевты	kæɾɪmbɑˈevtə
Кәсіпорында	kæsɪpˈoɾəndɑ
Кәсіпорынның	kæsɪpˈoɾənnəŋ
Көршілері	kɵɾʃɪleɾˈɪ
Көтеш	kɵtˈeʃ
Көшербаевқа	kɵʃeɾbɑevqˈɑ
Ланд	ɫˈɑnd
Ларра	ɫɑɾɾˈɑ
Лас	ɫˈɑs
Латвиядан	ɫˈɑtvəjjadɑn
Ленарчич	lenˈɑɾt͡ʃəjt͡ʃ
Леонтин	leˈontəjn
Линдер	ɫəjndeɾ
Лиссабон	ɫəjssɑbon
Литературная	ɫəjteɾɑtwɾnɑja
Лойя	ɫojjˈa
Лоренц	ɫoɾˈents
Лукастың	ɫwkˈɑstəŋ
Лысенко	ɫəsenko
Льеж	ɫʔˈeʒ
Мадиновтың	mˈɑdəjnovtəŋ
Майданды	mɑjdˈɑndə
Малеки	mɑlˈekəj
Мамашевтың	mɑmɑʃˈevtəŋ
Мамед	mɑmˈed
Мамлют	mɑmɫjˈut
Манастың	mɑnˈɑstəŋ
Манаш	mɑnˈɑʃ
Манн	mˈɑnn
Маркин	mˈɑɾkəjn
Маруся	mɑɾwsjˈa
Марқұмдардың	mɑɾqʊmdˈɑɾdəŋ
Материал	mɑtˈeɾəjɑɫ
Мауқанұлы	mɑwqɑnˈʊɫə
Махкамов	mɑxkɑmˈov
Махмадовтың	mɑxmɑdˈovtəŋ
Мақсұдов	mɑqsʊdˈov
Мақтау	mɑqtˈɑw
Маңыздысы	mˈɑŋəzdəsə
Медведевті	medvedevtˈɪ
Мемлекетаралық	memleketɑɾˈɑɫəq
Мерекенов	meɾekenˈov
Мешітті	meʃɪttˈɪ
Мешіттің	meʃɪttˈɪŋ
Министрге	məjnəjstɾɡe
Минтимер	məjntəjmeɾ
Мирзоев	məjɾzoev
Михалевич	məjxɑlevəjt͡ʃ
Момбекұлы	mombekˈʊɫə
Мохамед	moxɑmˈed
Моңғолиялық	moŋʀˈoɫəjjaɫəq
Мудагиг	mwdˈɑɡəjɡ
Мумбай	mwmbˈɑj
Мылтық	məɫtəq
Мынауың	mənɑwəŋ
Мырсатаев	məɾsɑtɑev
Мэр	mˈeɾ
Мүлік	mulˈɪk
Мұхиддин	mˈʊxəjddəjn
Навальныйды	nɑvˈɑɫʔnəjdə
Навальныйға	nɑvˈɑɫʔnəjʀɑ
Навои	nɑvˈoəj
Нарықта	nˈɑɾəqtɑ
Нарықтағы	nˈɑɾəqtɑʀə
Насер	nɑsˈeɾ
Нендей	nendˈej
Несиені	nˈesəjenɪ
Нетребко	netɾebkˈo
Нокин	nˈokəjn
Нур	nwɾ
Нұрберген	nʊɾbeɾɡˈen
Нұрдәулетов	nʊɾdæwletˈov
Нұрғазы	nʊɾʀˈɑzə
Нұрқаділовты	nʊɾqɑdɪɫˈovtə
Нәжмеден	næʒmedˈen
Нәйла	næjɫˈɑ
Нәлібаев	nælɪbɑˈev
Огайдың	oɡˈɑjdəŋ
Одессада	odessɑdˈɑ
Оздоевтың	ozdoˈevtəŋ
Ойы	ˈojə
Ойында	ˈojəndɑ
Оле	olˈe
Омарбеков	omɑɾbekˈov
Омаровқа	omɑɾovqˈɑ
Омурбек	omwɾbˈek
Ондайлардың	ondɑjɫˈɑɾdəŋ
Оппозиционерлер	oppˈozəjtsəjoneɾleɾ
Оразбекова	oɾɑzbekovˈɑ
Оразовтың	oɾɑzˈovtəŋ
Оралмандарға	oɾɑɫmɑndɑɾʀˈɑ
Орегон	oɾeɡˈon
Орынкүл	ˈoɾənkuɫ
Отаныма	otˈɑnəmɑ
Отырып	ˈotəɾəp
Оқулықтың	ˈoqwɫəqtəŋ
Пабло	pɑbɫˈo
Палестинаны	pɑlˈestəjnɑnə
Паллада	pɑɫɫɑdˈɑ
Панамагейт	pɑnɑmɑɡˈejt
Паркинсон	pˈɑɾkəjnson
Парназ	pɑɾnˈɑz
Партияға	pˈɑɾtəjjaʀɑ
Парфенова	pɑɾfenovˈɑ
Патрис	pˈɑtɾəjs
Перуез	peɾwˈez
Пирсон	pəjɾson
Пит	pəjt
Подполковник	podpoɫkˈovnəjk
Поэзия	poˈezəjja
Присяжнюк	pɾəjsjaʒnjuk
Профессордың	pɾofessˈoɾdəŋ
Рамиз	ɾˈɑməjz
Рахила	ɾˈɑxəjɫɑ
Рахима	ɾˈɑxəjmɑ
Рахмонмен	ɾɑxmonmˈen
Рақышевтің	ɾˈɑqəʃevtɪŋ
Реалдың	ɾeˈɑɫdəŋ
Ректордың	ɾektˈoɾdəŋ
Республикамыздың	ɾˈespwbɫəjkɑməzdəŋ
Ризоев	ɾəjzoev
Римма	ɾəjmmɑ
Роллан	ɾoɫɫˈɑn
Романовтың	ɾomɑnˈovtəŋ
Роуханиді	ɾowxˈɑnəjdɪ
Рощин	ɾˈoʃʃəjn
Румидің	ɾwməjdɪŋ
Руханияттың	ɾwxˈɑnəjjattəŋ
Рыпакованың	ɾəpɑkovɑnəŋ
Рыскүл	ɾəskuɫ
Рысқұлова	ɾəsqʊɫovɑ
Рүстемнің	ɾustemnˈɪŋ
Савицкая	sˈɑvəjtskɑja
Садырбаев	sˈɑdəɾbɑev
Садықовқа	sˈɑdəqovqɑ
Сайрамдағы	sɑjɾɑmdˈɑʀə
Сайттағы	sɑjttˈɑʀə
Сайтқа	sɑjtqˈɑ
Сайымжан	sˈɑjəmʒɑn
Саламатов	sɑɫɑmɑtˈov
Салт	sˈɑɫt
Саманта	sɑmɑntˈɑ
Санақтың	sɑnˈɑqtəŋ
Сапарғалиев	sɑpɑɾʀˈɑɫəjev
Сарин	sˈɑɾəjn
Сарыжаз	sˈɑɾəʒɑz
Сатушылардың	sˈɑtwʃəɫɑɾdəŋ
Саусақ	sɑwsˈɑq
Саясаттанушылардың	sɑjasɑttˈɑnwʃəɫɑɾdəŋ
Саясаттағы	sɑjasɑttˈɑʀə
Светлананың	svetɫɑnˈɑnəŋ
Секербаева	sekeɾbɑevˈɑ
Сербияға	sˈeɾbəjjaʀɑ
Сигал	səjɡɑɫ
Сима	səjmɑ
Словенияда	sɫovˈenəjjadɑ
Смағұлұлы	smɑʀʊɫˈʊɫə
Сопылық	sˈopəɫəq
Соты	sˈotə
Софронийді	sofɾˈonəjjdɪ
Сочиді	sˈot͡ʃəjdɪ
Соққы	sˈoqqə
Спортинг	spˈoɾtəjnɡ
Стамбұлдың	stɑmbˈʊɫdəŋ
Строй	sətɾˈoj
Студенттік	stwdenttˈɪk
Суда	swdˈɑ
Судьяға	swdʔjaʀˈɑ
Сухов	swxˈov
Сынға	sənʀɑ
Сығай	səʀɑj
Сүйеуова	sujewovˈɑ
Сүйінбай	sujɪnbˈɑj
Сүлеев	suleˈev
Сұхбатта	sʊxbɑttˈɑ
Сұхбаттың	sʊxbˈɑttəŋ
Сәбира	sˈæbəjɾɑ
Сәдуақасұлының	sædwɑqɑsˈʊɫənəŋ
Сәрпеков	sæɾpekˈov
Сәрсенова	sæɾsenovˈɑ
ТАЛДЫҚОРҒАН	tˈɑɫdəqoɾʀɑn
ТЕҢГЕ	teŋɡˈe
Таба	tɑbˈɑ
Тайпақ	tɑjpˈɑq
Такаумовтың	tɑkɑwmˈovtəŋ
Талапты	tɑɫˈɑptə
Талдықорғаннан	tˈɑɫdəqoɾʀɑnnɑn
Талибов	tˈɑɫəjbov
Талғарда	tɑɫʀɑɾdˈɑ
Танковты	tɑnkˈovtə
Таразы	tɑɾˈɑzə
Таранның	tɑɾˈɑnnəŋ
Тасмұратов	tɑsmʊɾɑtˈov
Тастанды	tɑstˈɑndə
Тастың	tˈɑstəŋ
Тасқа	tɑsqˈɑ
Тақыр	tˈɑqəɾ
Таңның	tˈɑŋnəŋ
Тегеранмен	teɡeɾɑnmˈen
Текес	tekˈes
Телерадио	teleɾˈɑdəjo
Теннис	tˈennəjs
Теннің	tennˈɪŋ
Тентек	tentˈek
Тере	teɾˈe
Терезе	teɾezˈe
Тереңөзек	teɾeŋɵzˈek
Террористер	teɾɾˈoɾəjsteɾ
Тодд	tˈodd
Топқа	topqˈɑ
Торрес	toɾɾˈes
Тоқнияз	tˈoqnəjjaz
Тоқпанов	toqpɑnˈov
Третьяков	tɾetʔjakˈov
Троцкий	tɾˈotskəjj
Тулбаевты	twɫbɑˈevtə
Тығырықтан	təʀəɾəqtɑn
Тікұшақ	tɪkʊʃˈɑq
Тілектес	tɪlektˈes
Тілеуберген	tɪlewbeɾɡˈen
Түркменбашы	tuɾkmenbˈɑʃə
Түркістанды	tuɾkɪstˈɑndə
Түсірілім	tusɪɾɪlˈɪm
Тұманбайдың	tʊmɑnbˈɑjdəŋ
Тұра	tʊɾˈɑ
Тұратын	tʊɾˈɑtən
Тұрдиев	tˈʊɾdəjev
Тұрысбек	tˈʊɾəsbek
Тұтқаны	tʊtqˈɑnə
Тәжинге	tˈæʒəjnɡe
Тәттімбеттің	tættɪmbettˈɪŋ
Төбелес	tɵbelˈes
Төлебай	tɵlebˈɑj
Төлеуғалиева	tɵlewʀˈɑɫəjevɑ
Төменгі	tɵmenɡˈɪ
Төре	tɵɾˈe
Уимблдон	wəjmbɫdon
Украиндық	wkɾˈɑəjndəq
Университетке	wnəjveɾsəjtetke
Фабрегас	fɑbɾeɡˈɑs
Фатиманың	fˈɑtəjmɑnəŋ
Федоров	fedoɾˈov
Филатова	fəjɫɑtovɑ
Фотография	fotoɡɾˈɑfəjja
Франческо	fɾɑnt͡ʃeskˈo
Фруд	fɾwd
ХАЛЫҚТЫҢ	xˈɑɫəqtəŋ
ХК	xəkə
Хабиболла	xˈɑbəjboɫɫɑ
Хади	xˈɑdəj
Халқымызда	xˈɑɫqəməzdɑ
Халқына	xˈɑɫqənɑ
Хамастың	xɑmˈɑstəŋ
Хамидов	xˈɑməjdov
Ханшайым	xɑnʃˈɑjəm
Хатами	xɑtˈɑməj
Химия	xəjməjja
Холдинг	xˈoɫdəjnɡ
Хомейнидің	xomˈejnəjdɪŋ
Хуршид	xwɾʃəjd
Цхинвали	tsxəjnvɑɫəj
Чжоу	t͡ʃʒˈow
Шабдарбаевты	ʃɑbdɑɾbɑˈevtə
Шабыт	ʃˈɑbət
Шалыгина	ʃˈɑɫəɡəjnɑ
Шалғай	ʃɑɫʀˈɑj
Шалқошқар	ʃɑɫqoʃqˈɑɾ
Шарапова	ʃɑɾɑpovˈɑ
Шарапудинов	ʃɑɾˈɑpwdəjnov
Шарофиддин	ʃɑɾˈofəjddəjn
Шаршы	ʃˈɑɾʃə
Шахматтан	ʃɑxmɑttˈɑn
Шаяхметовтың	ʃɑjaxmetˈovtəŋ
Шағымда	ʃˈɑʀəmdɑ
Шерхон	ʃeɾxˈon
Шешесі	ʃeʃesˈɪ
Шииттердің	ʃəjəjtteɾdɪŋ
Шихотов	ʃəjxotov
Шишани	ʃəjʃɑnəj
Шишигина	ʃəjʃəjɡəjnɑ
Шойгудың	ʃˈojɡwdəŋ
Шубин	ʃwbəjn
Шушкевич	ʃwʃkˈevəjt͡ʃ
Шыншыл	ʃənʃəɫ
Шыршық	ʃəɾʃəq
Шыға	ʃəʀɑ
Шіркеуге	ʃɪɾkewɡˈe
Шүкеновтің	ʃukenovtˈɪŋ
Шұбарқұдық	ʃʊbɑɾqˈʊdəq
Шәріпжанов	ʃæɾɪpʒɑnˈov
Шәріпова	ʃæɾɪpovˈɑ
Шәріповтің	ʃæɾɪpovtˈɪŋ
Ыстықкөлдің	əstəqkɵɫdɪŋ
Ысқақованың	əsqɑqovɑnəŋ
Ысқақовқа	əsqɑqovqɑ
Эванс	evˈɑns
Элита	ˈeɫəjtɑ
Эфиопия	ˈefəjopəjja
Югославияның	juɡosɫˈɑvəjjanəŋ
Юнусова	junwsovˈɑ
Юнустың	jˈunwstəŋ
автобекетте	ɑvtobekettˈe
автобустарда	ɑvtobwstɑɾdˈɑ
автобустағы	ɑvtobwstˈɑʀə
автоматтарын	ɑvtomɑttˈɑɾən
автоматынан	ɑvtomˈɑtənɑn
авторлығымен	ɑvtˈoɾɫəʀəmen
агрессиясын	ɑɡɾˈessəjjasən
адамдарымызды	ɑdɑmdˈɑɾəməzdə
администраторы	ˈɑdməjnəjstɾɑtoɾə
адмирал	ˈɑdməjɾɑɫ
адрес	ɑdɾˈes
ажырататын	ˈɑʒəɾɑtɑtən
азайтпақ	ɑzɑjtpˈɑq
азайғандықтан	ɑzɑjʀˈɑndəqtɑn
азшылықтардың	ˈɑzʃəɫəqtɑɾdəŋ
айдағанына	ɑjdɑʀˈɑnənɑ
айлығынан	ˈɑjɫəʀənɑn
аймағымен	ɑjmˈɑʀəmen
айналатынына	ɑjnɑɫˈɑtənənɑ
айналудың	ɑjnˈɑɫwdəŋ
айналымындағы	ɑjnˈɑɫəməndɑʀə
айналыспаймыз	ɑjnˈɑɫəspɑjməz
айнаны	ɑjnˈɑnə
айрылғанын	ˈɑjɾəɫʀɑnən
айтайықшы	ɑjtˈɑjəqʃə
айтарлығы	ɑjtˈɑɾɫəʀə
айтарсың	ɑjtˈɑɾsəŋ
айтарға	ɑjtɑɾʀˈɑ
айтатындары	ɑjtˈɑtəndɑɾə
айтатынмын	ɑjtˈɑtənmən
айтпағанына	ɑjtpɑʀˈɑnənɑ
айтуыма	ˈɑjtwəmɑ
айтылатыны	ˈɑjtəɫɑtənə
айтыса	ˈɑjtəsɑ
айтқаныңды	ɑjtqˈɑnəŋdə
айтқызған	ˈɑjtqəzʀɑn
айыптаймын	ˈɑjəptɑjmən
айырмай	ˈɑjəɾmɑj
айырмауды	ˈɑjəɾmɑwdə
айырылмақ	ˈɑjəɾəɫmɑq
айырылсақ	ˈɑjəɾəɫsɑq
айырылуына	ˈɑjəɾəɫwənɑ
айырылғалы	ˈɑjəɾəɫʀɑɫə
активі	ˈɑktəjvɪ
алатындықтан	ɑɫˈɑtəndəqtɑn
алатындықтарын	ɑɫˈɑtəndəqtɑɾən
алақтап	ɑɫɑqtˈɑp
алаңдаушылыққа	ɑɫɑŋdˈɑwʃəɫəqqɑ
алдарында	ɑɫdˈɑɾəndɑ
алмауымыз	ɑɫmˈɑwəməz
алмауын	ɑɫmˈɑwən
алмаңыз	ɑɫmˈɑŋəz
алпауыттың	ɑɫpˈɑwəttəŋ
алуандығын	ɑɫwˈɑndəʀən
алынғандарды	ˈɑɫənʀɑndɑɾdə
алыпсатарлық	ˈɑɫəpsɑtɑɾɫəq
альянсқа	ɑɫʔjansqˈɑ
алғанмен	ɑɫʀɑnmˈen
алқабилердің	ɑɫqˈɑbəjleɾdɪŋ
алқаптарындағы	ɑɫqɑptˈɑɾəndɑʀə
алқынып	ˈɑɫqənəp
амалдармен	ɑmɑɫdɑɾmˈen
американдықтарға	ɑmˈeɾəjkɑndəqtɑɾʀɑ
аналарын	ɑnɑɫˈɑɾən
анархия	ɑnˈɑɾxəjja
аноним	ɑnˈonəjm
антты	ˈɑnttə
анықтайтынын	ˈɑnəqtɑjtənən
анықталуда	ˈɑnəqtɑɫwdɑ
анықтамада	ˈɑnəqtɑmɑdɑ
анықтағандарын	ˈɑnəqtɑʀɑndɑɾən
апаларымыз	ɑpɑɫˈɑɾəməz
апармайтынын	ɑpɑɾmˈɑjtənən
апарылды	ɑpˈɑɾəɫdə
апарыпты	ɑpˈɑɾəptə
апаттарға	ɑpɑttɑɾʀˈɑ
апаға	ɑpɑʀˈɑ
апорт	ɑpˈoɾt
арабтарға	ɑɾɑbtɑɾʀˈɑ
аралар	ɑɾɑɫˈɑɾ
араласамын	ɑɾɑɫɑsˈɑmən
араласпаймын	ɑɾɑɫɑspˈɑjmən
араласқаннан	ɑɾɑɫɑsqɑnnˈɑn
аралығына	ɑɾˈɑɫəʀənɑ
арбада	ɑɾbɑdˈɑ
аргумент	ɑɾɡwmˈent
ардагерінің	ɑɾdɑɡeɾɪnˈɪŋ
ардан	ɑɾdˈɑn
ардың	ˈɑɾdəŋ
армиядан	ˈɑɾməjjadɑn
армяндарға	ɑɾmjandɑɾʀˈɑ
арналса	ɑɾnɑɫsˈɑ
арпалысқан	ɑɾpˈɑɫəsqɑn
арттырамыз	ˈɑɾttəɾɑməz
артудың	ˈɑɾtwdəŋ
артылды	ˈɑɾtəɫdə
артыңда	ˈɑɾtəŋdɑ
аруақтардың	ɑɾwɑqtˈɑɾdəŋ
аршу	ˈɑɾʃw
арыздандық	ˈɑɾəzdɑndəq
арызым	ˈɑɾəzəm
арызымен	ˈɑɾəzəmen
арыстай	ˈɑɾəstɑj
арқалайды	ɑɾqɑɫˈɑjdə
аспау	ɑspˈɑw
аспауға	ɑspɑwʀˈɑ
астронавтар	ɑstɾonɑvtˈɑɾ
асхананың	ɑsxɑnˈɑnəŋ
асылы	ˈɑsəɫə
асырудан	ˈɑsəɾwdɑn
асырылуына	ˈɑsəɾəɫwənɑ
аталардың	ɑtɑɫˈɑɾdəŋ
аталуына	ɑtˈɑɫwənɑ
атануды	ɑtˈɑnwdə
атбегі	ɑtbeɡˈɪ
атлеттің	ɑtlettˈɪŋ
аттарынан	ɑttˈɑɾənɑn
атылады	ˈɑtəɫɑdə
атқандарды	ɑtqɑndˈɑɾdə
атқардық	ɑtqˈɑɾdəq
ауданарлық	ɑwdɑnˈɑɾɫəq
аударамын	ɑwdɑɾˈɑmən
аудармалар	ɑwdɑɾmɑɫˈɑɾ
аудиожазба	ˈɑwdəjoʒɑzbɑ
аузымды	ˈɑwzəmdə
аулындағы	ˈɑwɫəndɑʀə
ауруханаларында	ɑwɾwxɑnɑɫˈɑɾəndɑ
ауруханаларының	ɑwɾwxɑnɑɫˈɑɾənəŋ
аутстаффинг	ɑwtstˈɑffəjnɡ
ауызбіршілік	ˈɑwəzbɪɾʃɪlɪk
ауылымызға	ˈɑwəɫəməzʀɑ
ауыратындардың	ˈɑwəɾɑtəndɑɾdəŋ
ауырғанда	ˈɑwəɾʀɑndɑ
ауысатыны	ˈɑwəsɑtənə
ауыстырамыз	ˈɑwəstəɾɑməz
ауқат	ɑwqˈɑt
ашайық	ɑʃˈɑjəq
ашсын	ˈɑʃsən
аштырып	ˈɑʃtəɾəp
ашытып	ˈɑʃətəp
ашықтықты	ˈɑʃəqtəqtə
аяздан	ɑjazdˈɑn
аялай	ɑjaɫˈɑj
аялдамалар	ɑjaɫdɑmɑɫˈɑɾ
аямайтынын	ɑjamˈɑjtənən
аяқталмағанын	ɑjaqtɑɫmɑʀˈɑnən
аяқтапты	ɑjaqtˈɑptə
ағылады	ˈɑʀəɫɑdə
ағымдардан	ˈɑʀəmdɑɾdɑn
ағысқа	ˈɑʀəsqɑ
ағытып	ˈɑʀətəp
ақбоз	ɑqbˈoz
ақпанынан	ɑqpˈɑnənɑn
ақсақалдарымыз	ɑqsɑqɑɫdˈɑɾəməz
ақталғаны	ɑqtɑɫʀˈɑnə
ақылдылық	ˈɑqəɫdəɫəq
ақылымыз	ˈɑqəɫəməz
бажайлай	bɑʒɑjɫˈɑj
бажайлап	bɑʒɑjɫˈɑp
базарларына	bɑzɑɾɫˈɑɾənɑ
байламы	bɑjɫˈɑmə
байыта	bˈɑjətɑ
балаларда	bɑɫɑɫɑɾdˈɑ
балағы	bɑɫˈɑʀə
балдай	bɑɫdˈɑj
балтамен	bɑɫtɑmˈen
балықшының	bˈɑɫəqʃənəŋ
бапкерлерге	bɑpkeɾleɾɡˈe
барланған	bɑɾɫɑnʀˈɑn
барлауға	bɑɾɫɑwʀˈɑ
барсың	bˈɑɾsəŋ
барушы	bˈɑɾwʃə
баскесерлер	bɑskeseɾlˈeɾ
баспалардан	bɑspɑɫɑɾdˈɑn
бастамамен	bɑstɑmɑmˈen
бастырды	bˈɑstəɾdə
басшыларымыз	bˈɑsʃəɫɑɾəməz
басылғандай	bˈɑsəɫʀɑndɑj
басымдылықпен	bˈɑsəmdəɫəqpen
басындағыларды	bˈɑsəndɑʀəɫɑɾdə
батамыз	bɑtˈɑməz
батылдары	bˈɑtəɫdɑɾə
батырына	bˈɑtəɾənɑ
баукеспе	bɑwkespˈe
бауырларыма	bˈɑwəɾɫɑɾəmɑ
бауырларымның	bˈɑwəɾɫɑɾəmnəŋ
баяндалатын	bɑjandɑɫˈɑtən
баяндамалары	bɑjandɑmɑɫˈɑɾə
баяндауға	bɑjandɑwʀˈɑ
баянсыз	bɑjˈansəz
бағамдау	bɑʀɑmdˈɑw
бағдарлау	bɑʀdɑɾɫˈɑw
бағым	bˈɑʀəm
бағынбады	bˈɑʀənbɑdə
бағындыруға	bˈɑʀəndəɾwʀɑ
бағыттады	bˈɑʀəttɑdə
бағышталған	bˈɑʀəʃtɑɫʀɑn
бақыттың	bˈɑqəttəŋ
бейнесюжет	bejnesjuʒˈet
бейнетке	bejnetkˈe
бейхабармыз	bejxɑbˈɑɾməz
бейшаралар	bejʃɑɾɑɫˈɑɾ
бейімдеуге	bejɪmdewɡˈe
бекершілік	bekeɾʃɪlˈɪk
бекеттен	bekettˈen
бекзат	bekzˈɑt
белдігін	beɫdɪɡˈɪn
белсенділерден	beɫsendɪleɾdˈen
белін	belˈɪn
бергей	beɾɡˈej
бергендерді	beɾɡendeɾdˈɪ
бересіңдер	beɾesɪŋdˈeɾ
беретіндігі	beɾetɪndɪɡˈɪ
бермегенде	beɾmeɡendˈe
бермейік	beɾmejˈɪk
берушіден	beɾwʃɪdˈen
беруімен	beɾwɪmˈen
бетегеден	beteɡedˈen
беткеұстар	betkeʊstˈɑɾ
бизнестері	bəjznesteɾɪ
бизнесінен	bəjznesɪnen
билборды	bəjɫboɾdə
билерді	bəjleɾdɪ
билеттері	bəjletteɾɪ
билетінің	bəjletɪnɪŋ
биліктегілерге	bəjlɪkteɡɪleɾɡe
бимен	bəjmen
бирак	bəjɾɑk
блогындағы	bɫˈoɡəndɑʀə
бодандығына	bodˈɑndəʀənɑ
бозбаланы	bozbɑɫˈɑnə
боксшылармен	bˈoksʃəɫɑɾmen
боладысы	boɫˈɑdəsə
болашағымызды	boɫɑʃˈɑʀəməzdə
болашағымызға	boɫɑʃˈɑʀəməzʀɑ
болсаңыздар	boɫsˈɑŋəzdɑɾ
болғандығынан	boɫʀˈɑndəʀənɑn
босанады	bosɑnˈɑdə
босатса	bosɑtsˈɑ
босатылатын	bosˈɑtəɫɑtən
босниялықтар	bˈosnəjjaɫəqtɑɾ
бостандықтарының	bostˈɑndəqtɑɾənəŋ
ботадай	botɑdˈɑj
буаз	bwˈɑz
буырқанған	bwəɾqɑnʀɑn
бықсып	bəqsəp
бюджетінде	bjudʒetɪndˈe
бюрократтар	bjuɾokɾɑttˈɑɾ
біздегідей	bɪzdeɡɪdˈej
білгірі	bɪɫɡɪɾˈɪ
