va	ʋˈæ
kadar	kˈædæɾ
kadimdan	kædˈymdæn
kapitalistik	kˌæpytæɫˈystyk
kapitan	kæpˈytæn
kasalligining	kˌæsæɫɫyɡˈynyŋ
katalogi	kˌætæɫˈɑɡy
kattalashib	kˌættælˈæʃyb
kechish	kˈet͡Syʃ
kechishga	ket͡Sˈyʃɡæ
kelajagi	kˌelæd͡ʒˈæɡy
kelishadi	kˌeɫyʃˈædy
kelmoqdalar	kˌeɫmɑqdˈælæɾ
kemalarning	kˌemælˈæɾnyŋ
kengaytirildi	kˌeŋæjtyɾˈyɫdy
kerakligi	kˌeɾækɫˈyɡy
kesuvchi	kesˈʊʋt͡Sy
ketishgan	ketˈyʃɡæn
kifoya	kyfˌɑjæ
kimyoda	kymjˈɑdæ
kinematografiya	kˌynemˌætɑɡɾæfˌyjæ
kirill	kˈyɾyɫɫ
kitlar	kˈytlæɾ
kiyimlari	kˌyjymlˈæɾy
klassitsizm	klæssˈytsyzm
komik	kˈɑmyk
kompozitsiyalar	kˌɑmpɑzˌytsyjˈælæɾ
konussimon	kˌɑnʊssˈymɑn
korxonalarda	kˌɑɾχɑnælˈæɾdæ
kosa	kˈɑsæ
kosasi	kɑsˈæsy
koʻchalari	kˌot͡Sælˈæɾy
koʻchmas	kˈot͡Smæs
koʻpayishiga	kˌopæjyʃˈyɡæ
koʻrsatildi	kˌoɾsætˈyɫdy
koʻzlab	kˈozlæb
kreditlar	kɾedˈytlæɾ
kti	ktˈy
kulgi	kˈʊɫɡy
kundagi	kʊndˈæɡy
kurashida	kˌʊɾæʃˈydæ
kursini	kʊɾsˈyny
kuylash	kˈʊjlæʃ
kvarsli	kʋˈæɾsɫy
lat	lˈæt
leksika	leksˈykæ
liberal	ɫybˈeɾæɫ
lokal	ɫˈɑkæɫ
lozimki	ɫɑzˈymky
mablagʻlar	mæblˈæʁlæɾ
madrasalarida	mˌædɾæsˌælæɾˈydæ
mafkura	mæfkˌʊɾæ
mafkurasi	mæfkˌʊɾˈæsy
mahsulotlaridan	mˌæhsʊɫˌɑtlæɾˈydæn
majburiyatlar	mˌæd͡ʒbʊɾyjˈætlæɾ
majlislar	mæd͡ʒɫˈyslæɾ
maksimum	mæksˈymʊm
maktablarning	mˌæktæblˈæɾnyŋ
manbasi	mænbˈæsy
manzarasi	mˌænzæɾˈæsy
maqsadiga	mˌæqsædˈyɡæ
marganes	mæɾɡˈænes
masalaning	mˌæsælˈænyŋ
mashinalarda	mˌæʃynælˈæɾdæ
mashinalarning	mˌæʃynælˈæɾnyŋ
maslahati	mˌæslæhˈæty
massaj	mˈæssæd͡ʒ
matnni	mˈætnny
mavzularni	mˌæʋzʊlˈæɾny
mehnatiga	mˌehnætˈyɡæ
metrga	mˈetɾɡæ
mexanizmlarini	mˌeχænˌyzmlæɾˈyny
mezonlar	mezˈɑnlæɾ
millatchilik	mˌyɫlætt͡Sˈyɫyk
milodning	myɫˈɑdnyŋ
minerali	mˌyneɾˈæɫy
mineralogiya	mˌyneɾˌæɫɑɡˈyjæ
mintaqaning	mˌyntæqˈænyŋ
miyasi	myjˈæsy
moduli	mɑdˈʊɫy
mohiyatan	mˌɑhyjˈætæn
mohiyatiga	mˌɑhyjætˈyɡæ
molekulasida	mˌɑlekˌʊlæsˈydæ
momiq	mˈɑmyq
moyak	mˈɑjæk
mualliflar	mˌʊæɫɫˈyflˌæɾ
muddatlari	mˌʊddætlˈæɾy
muharrirlik	mˌʊhæɾɾˈyɾɫyk
muhofazasi	mˌʊhɑfˌæzˈæsy
mukofotini	mˌʊkɑfˌɑtˈyny
muqobil	mʊqˈɑbyɫ
musiqachi	mˌʊsyqˈæt͡Sy
musiqasini	mˌʊsyqæsˈyny
musobaqasida	mˌʊsɑbˌæqæsˈydæ
mutatsiya	mˌʊtætsˈyjæ
muvaffaqiyatsiz	mˌʊʋæffˌæqyjˈætsyz
muxtoriyat	mˌʊχtɑɾˈyjæt
namoyandalaridan	nˌæmɑjˌændælæɾˈydæn
niobiy	nyˈɑbyj
nishonga	nyʃˈɑŋæ
nizolarni	nˌyzɑlˈæɾny
nm	ˌenˈem
noib	nˈɑyb
nomlanuvchi	nˌɑmlænˈʊʋt͡Sy
nomlarini	nˌɑmlæɾˈyny
nomzodlari	nˌɑmzɑdlˈæɾy
novdalar	nɑʋdˈælæɾ
nozil	nˈɑzyɫ
nuqtada	nʊqtˈædæ
o	ˈɑ
ogʻzini	ɑʁzˈyny
ohanglari	ˌɑhæŋlˈæɾy
oksidlanib	ˌɑksydlˈænyb
ola	ˈɑlæ
olamining	ˌɑlæmˈynyŋ
olgandan	ɑɫɡˈændæn
olinayotgan	ˌɑɫynæjˈɑtɡæn
olingandan	ˌɑɫyŋˈændæn
olinmaydi	ˌɑɫynmˈæjdy
olinsa	ɑɫˈynsæ
ommaga	ɑmmˈæɡæ
organlarida	ˌɑɾɡænlæɾˈydæ
oshqozon	ɑʃqˈɑzɑn
osmotik	ɑsmˈɑtyk
osonlashtiradi	ˌɑsɑnlˌæʃtyɾˈædy
otryadi	ɑtɾjˈædy
ovlanadigan	ˌɑʋlænædˈyɡæn
ovqatga	ɑʋqˈætɡæ
ozodligi	ˌɑzɑdɫˈyɡy
oʻch	ˈot͡S
oʻlchagich	oɫt͡Sˈæɡyt͡S
oʻldiradi	ˌoɫdyɾˈædy
oʻlgan	ˈoɫɡæn
oʻqitiladi	ˌoqytylˈædy
oʻrganilayotgan	ˌoɾɡænˌylæjˈɑtɡæn
oʻrganishni	ˌoɾɡænˈyʃny
oʻrmonlarda	ˌoɾmɑnlˈæɾdæ
oʻsimliksimon	ˌosymɫyksˈymɑn
oʻtkinchi	otkˈynt͡Sy
oʻtloqlar	otɫˈɑqlæɾ
oʻyinchi	ojˈynt͡Sy
oʻylaydi	ojlˈæjdy
oʻzbekistonlik	ˌozbekystˈɑnɫyk
oʻzgartirdi	ˌozɡæɾtˈyɾdy
oʻzgaruvchili	ˌozɡæɾʊʋt͡Sˈyɫy
oʻziyurar	ˌozyjˈʊɾæɾ
oʻzlashtirib	ˌozlæʃtˈyɾyb
parchalash	pæɾt͡Sˈælæʃ
pardalari	pˌæɾdælˈæɾy
pari	pˈæɾy
pasaytiradi	pˌæsæjtyɾˈædy
pastdan	pˈæstdæn
pastligi	pæstɫˈyɡy
pay	pˈæj
paytgacha	pæjtɡˈæt͡Sæ
pensiya	pensˈyjæ
peshtoq	pˈeʃtɑq
piroksen	pyɾˈɑksen
pishirish	pyʃˈyɾyʃ
plastikligi	plˌæstykɫˈyɡy
pogʻonali	pˌɑʁɑnˈæɫy
predmetning	pɾedmˈetnyŋ
presslash	pɾˈesslæʃ
prezidentlik	pɾˌezydˈentɫyk
protsessual	pɾˌɑtsessˈʊæɫ
provinsiya	pɾˌɑʋynsˈyjæ
provinsiyasining	pɾˌɑʋynsˌyjæsˈynyŋ
pust	pˈʊst
qahramonlarining	qˌæhɾæmˌɑnlæɾˈynyŋ
qalinlikdagi	qˌæɫynɫykdˈæɡy
qalqonsimon	qˌæɫqɑnsˈymɑn
qaragʻay	qæɾˈæʁæj
qarata	qæɾˈætæ
qaratdi	qæɾˈætdy
qarshiligiga	qˌæɾʃyɫyɡˈyɡæ
qatlamda	qætlˈæmdæ
qatlamlardan	qˌætlæmlˈæɾdæn
qattiqligi	qˌættyqɫˈyɡy
qavm	qˈæʋm
qaynatiladi	qˌæjnætylˈædy
qaytaruvchi	qˌæjtæɾˈʊʋt͡Sy
qaytgach	qˈæjtɡæt͡S
qazishlar	qæzˈyʃlæɾ
qilganini	qˌyɫɡænˈyny
qilgich	qˈyɫɡyt͡S
qilishdir	qyɫˈyʃdyɾ
qilmay	qˈyɫmæj
qiluvchilar	qˌyɫʊʋt͡Sˈylæɾ
qirgʻizlar	qyɾʁˈyzlæɾ
qismlarning	qysmlˈæɾnyŋ
qiyinchiliklar	qˌyjynt͡Syɫˈyklæɾ
qiyinlashadi	qˌyjynlæʃˈædy
qiymatli	qyjmˈætɫy
qiyofasida	qˌyjɑfˌæsˈydæ
qiyshiq	qˈyjʃyq
qizga	qˈyzɡæ
qiziqishi	qˌyzyqˈyʃy
qizni	qˈyzny
qochishga	qɑt͡Sˈyʃɡæ
qoldiriladi	qˌɑɫdyɾylˈædy
qolmadi	qɑɫmˈædy
qolsa	qˈɑɫsæ
qoʻlladi	qoɫlˈædy
qoʻllana	qoɫlˈænæ
qoʻllanib	qoɫlˈænyb
qoʻltigʻiga	qˌoɫtyʁˈyɡæ
qoʻlyozmasi	qˌoɫjɑzmˈæsy
qoʻshinida	qˌoʃynˈydæ
qoʻyilishi	qˌojyɫˈyʃy
qoʻzgʻalish	qozʁˈæɫyʃ
qoʻzgʻolonchilar	qˌozʁɑɫɑnt͡Sˈylæɾ
qoʻzgʻolonlar	qˌozʁɑɫˈɑnlæɾ
qoʻzgʻolonni	qˌozʁɑɫˈɑnny
quldorlik	qʊɫdˈɑɾɫyk
qurilishlar	qˌʊɾyɫˈyʃlæɾ
qurilmalarni	qˌʊɾyɫmælˈæɾny
quticha	qʊtˈyt͡Sæ
qutulish	qʊtˈʊɫyʃ
radiatsion	ɾˌædyætsˈyɑn
rahbarlarining	ɾˌæhbæɾlæɾˈynyŋ
rayonga	ɾæjˈɑŋæ
razryadli	ɾæzɾjˈædɫy
reaksion	ɾˌeæksˈyɑn
reaksiyalarda	ɾˌeæksˌyjælˈæɾdæ
reaksiyalarini	ɾˌeæksˌyjælæɾˈyny
rejissyorlik	ɾˌed͡ʒyssjˈɑɾɫyk
roziligi	ɾˌɑzyɫˈyɡy
roʻmol	ɾˈomɑɫ
sahifalarida	sˌæhyfˌælæɾˈydæ
sak	sˈæk
samimiy	sæmˈymyj
sammit	sˈæmmyt
saqlanayotgan	sˌæqlænæjˈɑtɡæn
saqlashda	sæqlˈæʃdæ
sardori	sæɾdˈɑɾy
sarflanadigan	sæɾflˌænædˈyɡæn
savanna	sæʋˈænnæ
savdoni	sæʋdˈɑny
saylovi	sæjɫˈɑʋy
sexlar	sˈeχlæɾ
sezgilar	sezɡˈylæɾ
sezgirligi	sˌezɡyɾɫˈyɡy
sharoitlarini	ʃˌæɾɑˌytlæɾˈyny
shartnomasining	ʃˌæɾtnɑmæsˈynyŋ
shaxsiyati	ʃˌæχsyjˈæty
shishadi	ʃyʃˈædy
shohlari	ʃɑhlˈæɾy
shoxli	ʃˈɑχɫy
shoʻrligi	ʃoɾɫˈyɡy
shugʻullanganlar	ʃˌʊʁʊɫlæŋˈænlæɾ
shuhrati	ʃʊhɾˈæty
sida	sˈydæ
sikl	sˈykɫ
siljib	sˈyɫd͡ʒyb
simlar	sˈymlæɾ
sinfga	sˈynfɡˌæ
siyosatida	sˌyjɑsætˈydæ
skif	skˈyf
sohalaridagi	sˌɑhælˌæɾydˈæɡy
sohalarini	sˌɑhælæɾˈyny
sohilda	sɑhˈyɫdæ
solishga	sɑɫˈyʃɡæ
sonlari	sɑnlˈæɾy
sosoniylar	sˌɑsɑnˈyjlæɾ
sotishni	sɑtˈyʃny
sovrindori	sˌɑʋɾyndˈɑɾy
soʻruvchi	soɾˈʊʋt͡Sy
soʻzlarda	sozlˈæɾdæ
soʻzlashuv	sozlˈæʃʊʋ
spektr	spˈektɾ
stansiyasida	stˌænsyjæsˈydæ
stomatologiya	stˌɑmætˌɑɫɑɡˈyjæ
suiqasd	sʊˈyqæsd
sunna	sˈʊnnæ
sxemalar	sχemˈælæɾ
tahmin	tˈæhmyn
taksonomik	tˌæksɑnˈɑmyk
talabalarning	tˌælæbælˈæɾnyŋ
talabini	tˌælæbˈyny
talablar	tælˈæblæɾ
talafot	tælˈæfˌɑt
taloq	tˈæɫɑq
talqini	tæɫqˈyny
tamomila	tˌæmɑmˈylæ
tamoyillar	tˌæmɑjˈyɫlæɾ
tanaga	tænˈæɡæ
tanazzulga	tˌænæzzˈʊɫɡæ
tanglik	tˈæŋɫyk
tanqidchilar	tˌænqydt͡Sˈylæɾ
tanqisligi	tˌænqysɫˈyɡy
tarafdan	tæɾˈæfdˌæn
tarafga	tæɾˈæfɡˌæ
tarjimasida	tˌæɾd͡ʒymæsˈydæ
tarmoqlarini	tˌæɾmɑqlæɾˈyny
tarmoqli	tæɾmˈɑqɫy
taronalari	tˌæɾɑnælˈæɾy
tarqatuvchi	tˌæɾqætˈʊʋt͡Sy
tasdiqlandi	tˌæsdyqlˈændy
tashkilotning	tˌæʃkyɫˈɑtnyŋ
tashviqot	tæʃʋˈyqɑt
tasvirga	tæsʋˈyɾɡæ
tasvirlab	tæsʋˈyɾlæb
tasvirlarni	tˌæsʋyɾlˈæɾny
tayyorlanishi	tˌæjjɑɾlænˈyʃy
tazyiqi	tæzjˈyqy
tekshirilgan	tˌekʃyɾˈyɫɡæn
telekoʻrsatuv	tˌelekoɾsˈætʊʋ
telekoʻrsatuvlar	tˌelekˌoɾsætˈʊʋlæɾ
tenglamasi	tˌeŋlæmˈæsy
terilgan	teɾˈyɫɡæn
teshiklari	tˌeʃyklˈæɾy
texnikasida	tˌeχnykæsˈydæ
texnologiyalarni	tˌeχnɑɫˌɑɡyjælˈæɾny
timsolida	tˌymsɑɫˈydæ
tipologik	tˌypɑɫˈɑɡyk
tokembriy	tɑkˈembɾyj
tokzor	tˈɑkzɑɾ
tomonlariga	tˌɑmɑnlæɾˈyɡæ
topishida	tˌɑpyʃˈydæ
toptirish	tɑptˈyɾyʃ
tortdi	tˈɑɾtdy
tortgan	tˈɑɾtɡæn
toshlarga	tɑʃlˈæɾɡæ
toshli	tˈɑʃɫy
tovarning	tɑʋˈæɾnyŋ
toʻldirish	toɫdˈyɾyʃ
toʻlqinlarni	tˌoɫqynlˈæɾny
toʻplamning	toplˈæmnyŋ
toʻqimadan	tˌoqymˈædæn
toʻxtatildi	tˌoχtætˈyɫdy
toʻyi	tˈojy
transportida	tɾˌænspɑɾtˈydæ
transportining	tɾˌænspɑɾtˈynyŋ
trubka	tɾˈʊbkæ
tuda	tˈʊdæ
tugallangan	tˌʊɡæɫlˈæŋæn
tugʻruq	tˈʊʁɾʊq
tuksiz	tˈʊksyz
tumanga	tʊmˈæŋæ
tundra	tˈʊndɾæ
tuproqlari	tˌʊpɾɑqlˈæɾy
turganda	tʊɾɡˈændæ
turistik	tʊɾˈystyk
tushirilishi	tˌʊʃyɾyɫˈyʃy
tushunchalaridan	tˌʊʃʊnt͡Sˌælæɾˈydæn
tuxumini	tˌʊχʊmˈyny
tuygʻular	tʊjʁˈʊlæɾ
tuygʻulari	tˌʊjʁʊlˈæɾy
uchrashib	ʊt͡Sɾˈæʃyb
umumlashtirib	ˌʊmʊmlæʃtˈyɾyb
universitetlarida	ˌʊnyʋˌeɾsytˌetlæɾˈydæ
urushining	ˌʊɾʊʃˈynyŋ
uskuna	ʊskˈʊnæ
usullarining	ˌʊsʊɫlæɾˈynyŋ
uygʻun	ˈʊjʁʊn
uyushmalar	ˌʊjʊʃmˈælæɾ
uzaytirish	ˌʊzæjtˈyɾyʃ
uzoqdan	ʊzˈɑqdæn
vakuumda	ʋˌækʊˈʊmdæ
vaqtvaqti	ʋæqtʋˈæqty
vaziyatga	ʋˌæzyjˈætɡæ
venger	ʋˈeŋeɾ
viloyatga	ʋˌyɫɑjˈætɡæ
viloyatidan	ʋˌyɫɑjætˈydæn
vismut	ʋˈysmʊt
vodiysidan	ʋˌɑdyjsˈydæn
voqeadan	ʋˌɑqeˈædæn
xalifaligi	χˌæɫyfˌæɫˈyɡy
xalifalik	χˌæɫyfˌæɫyk
xalkaro	χæɫkˈæɾɑ
xalkopirit	χˌæɫkɑpˈyɾyt
xaltasi	χæɫtˈæsy
xarajatlari	χˌæɾæd͡ʒætlˈæɾy
xaritasi	χˌæɾytˈæsy
xavfsizlikni	χæʋfsˌyzɫˈykny
xisoblanadi	χˌysɑblænˈædy
xitoycha	χytˈɑjt͡Sæ
xodimlariga	χˌɑdymlæɾˈyɡæ
xonada	χɑnˈædæ
xonaga	χɑnˈæɡæ
xonligiga	χˌɑnɫyɡˈyɡæ
xonliklari	χˌɑnɫyklˈæɾy
xorij	χˈɑɾyd͡ʒ
xorijga	χɑɾˈyd͡ʒɡæ
xotiralari	χˌɑtyɾælˈæɾy
xukmronligi	χˌʊkmɾɑnɫˈyɡy
xulosasi	χˌʊɫɑsˈæsy
yalla	jˈæɫlæ
yaralar	jæɾˈælæɾ
yaratishgan	jˌæɾætˈyʃɡæn
yaratuvchi	jˌæɾætˈʊʋt͡Sy
yashiringan	jˌæʃyɾˈyŋæn
yetishtirishda	jˌetyʃtyɾˈyʃdæ
yey	jˈej
yigitlar	jyɡˈytlæɾ
yillaridan	jˌyɫlæɾˈydæn
yilliklar	jyɫɫˈyklæɾ
yilqichilik	jˌyɫqyt͡Sˈyɫyk
yopib	jˈɑpyb
yopilib	jɑpˈyɫyb
yoqish	jˈɑqyʃ
yoritishga	jˌɑɾytˈyʃɡæ
yoruglik	jɑɾˈʊɡɫyk
yoshidan	jɑʃˈydæn
yozuvchilarining	jˌɑzʊʋt͡Sˌylæɾˈynyŋ
yozuvini	jˌɑzʊʋˈyny
yoʻnaladi	jˌonælˈædy
yoʻqotdi	joqˈɑtdy
yoʻqotib	joqˈɑtyb
yulduzlari	jˌʊɫdʊzlˈæɾy
yumor	jˈʊmɑɾ
yumoristik	jˌʊmɑɾˈystyk
yuritishga	jˌʊɾytˈyʃɡæ
yurtlariga	jˌʊɾtlæɾˈyɡæ
yutgan	jˈʊtɡæn
yuvilgan	jʊʋˈyɫɡæn
zamirida	zˌæmyɾˈydæ
zangori	zæŋˈɑɾy
zarurligini	zˌæɾʊɾɫyɡˈyny
zavodda	zæʋˈɑddæ
Расулуллоҳ	ɾˌæsʊɫˈʊɫɫɑh
алайҳи	ælˈæjhy
васаллам	ʋæsˈæɫlæm
соллаллоҳу	sˌɑɫlæɫɫˈɑhʊ
эса	ˈesæ
Adabiyoti	ˌædæbyjˈɑty
Afgʻonistonda	æfʁˌɑnystˈɑndæ
Afgʻonistonga	æfʁˌɑnystˈɑŋæ
Agʻdam	ˈæʁdæm
Aholiga	ˌæhɑɫˈyɡæ
Akkad	ˈækkæd
Alimqul	æɫˈymqʊɫ
Alyuminiy	ˌæɫjʊmˈynyj
Amorf	ˈæmɑɾf
Arastu	æɾˈæstʊ
Ashug	ˈæʃʊɡ
Ashula	æʃˈʊlæ
Ayniy	ˈæjnyj
Azimov	æzˈymɑʋ
Aziz	ˈæzyz
BMC	bˌeˈemts
Baliqchi	bæɫˈyqt͡Sy
Barselona	bˌæɾseɫˈɑnæ
Betxoven	betχˈɑʋen
Bevosita	bˌeʋɑsˈytæ
Birinchidan	bˌyɾynt͡Sˈydæn
Bismark	bˈysmæɾk
Boshqacha	bɑʃqˈæt͡Sæ
Buxorodan	bˌʊχɑɾˈɑdæn
Buzruk	bˈʊzɾʊk
Changan	t͡Sˈæŋæn
Chrysler	t͡Sɾjslˈeɾ
Chuchuk	t͡Sˈʊt͡Sʊk
Darvishali	dˌæɾʋyʃˈæɫy
Daryoning	dæɾjˈɑnyŋ
Dekan	dˈekæn
Dogʻiston	dɑʁˈystɑn
Ekvatorial	ˌekʋætɑɾˈyæɫ
Etnik	ˈetnyk
FK	ˌefkˈa
Farmoni	fˌæɾmˈɑny
Federatsiyasida	fˌedeɾˌætsyjæsˈydæ
Fermi	fˌeɾmy
Fil	fˌyɫ
Fin	fˌyn
Firdavsiy	fˌyɾdˈæʋsyj
Freeman	fɾˌeˈemæn
Galaktika	ɡˌælæktˈykæ
Gazeta	ɡæzˈetæ
Gazli	ɡˈæzɫy
Geologiya	ɡˌeɑɫɑɡˈyjæ
Gʻaznaviy	ʁæznˈæʋyj
H	hˈa
Hayvonlarning	hˌæjʋɑnlˈæɾnyŋ
Hidoyatov	hˌydɑjˈætɑʋ
Hindixitoy	hˌyndyχˈytɑj
Industrial	ˌyndʊstɾˈyæɫ
Infeksiya	ynfˌeksˈyjæ
Irtish	ˈyɾtyʃ
Ishi	ˈyʃy
Ishoq	ˈyʃɑq
Ispaniyada	ˌyspænyjˈædæ
Issiklik	yssˈykɫyk
Italiyadagi	ˌytæɫˌyjædˈæɡy
Iyul	ˈyjʊɫ
Jack	d͡ʒˈætsk
Jalolobod	d͡ʒˌæɫɑɫˈɑbɑd
Jamshid	d͡ʒˈæmʃyd
Jome	d͡ʒˈɑme
Joʻrayev	d͡ʒoɾˈæjeʋ
Jun	d͡ʒˈʊn
KP	kˌapˈe
Kamoliddin	kˌæmɑɫˈyddyn
Karmana	kæɾmˈænæ
Kaykovus	kæjkˈɑʋʊs
Kitobning	kytˈɑbnyŋ
Klassik	klˈæssyk
Kompleks	kˈɑmpleks
Kompyuter	kɑmpjˈʊteɾ
Kondagi	kɑndˈæɡy
Konfutsiy	kɑnfˌʊtsyj
Kuchma	kˈʊt͡Smæ
Kundalik	kʊndˈæɫyk
Kuyosh	kˈʊjɑʃ
Kuzgi	kˈʊzɡy
Le	lˈe
Lenin	lˈenyn
Lenkoran	lenkˈɑɾæn
Liberiya	ɫˌybeɾˈyjæ
Logan	ɫˈɑɡæn
MPa	mpˈæ
Majmua	mæd͡ʒmˈʊæ
Majolis	mæd͡ʒˈɑɫys
Maksvell	mˈæksʋeɫɫ
Maktabgacha	mˌæktæbɡˈæt͡Sæ
Maorif	mæˈɑɾyf
Martin	mˈæɾtyn
Materik	mætˈeɾyk
Maydon	mˈæjdɑn
Mendel	mˈendeɫ
Metro	mˈetɾɑ
Meva	mˈeʋæ
Mexiko	meχˈykɑ
Mezon	mˈezɑn
Milan	mˈylæn
Mirzoga	myɾzˈɑɡæ
Miyacha	myjˈæt͡Sæ
Muhabbat	mʊhˈæbbæt
Munavvarqori	mˌʊnæʋʋæɾqˈɑɾy
Mushfig	mˈʊʃfˌyɡ
Mustaqillikdan	mˌʊstæqyɫɫˈykdæn
Muzlik	mˈʊzɫyk
Nafis	nˈæfˌys
Nodira	nɑdˈyɾæ
Nyu	njˈʊ
Odessa	ɑdˈessæ
Ogʻiz	ˈɑʁyz
Ogʻzaki	ɑʁzˈæky
Oksidlanish	ˌɑksydlˈænyʃ
Olmoniyaning	ˌɑɫmɑnyjˈænyŋ
Oqibatda	ˌɑqybˈætdæ
Oqtosh	ˈɑqtɑʃ
Oʻlchash	ˈoɫt͡Sæʃ
Oʻlim	ˈoɫym
Oʻzbekistondan	ˌozbekystˈɑndæn
Paleogen	pˌæleˈɑɡen
Parker	pˈæɾkeɾ
Paxtachilik	pˌæχtæt͡Sˈyɫyk
Pedagogika	pˌedæɡɑɡˈykæ
Peter	pˈeteɾ
Petr	pˈetɾ
Piyoda	pyjˈɑdæ
Politsiya	pˌɑɫytsˈyjæ
Press	pɾˈess
Pskov	pskˈɑʋ
Qabala	qæbˈælæ
Qazilma	qæzˈyɫmæ
Qirgʻizistonning	qˌyɾʁyzystˈɑnnyŋ
Qoratepa	qˌɑɾætˈepæ
Qum	qˈʊm
Qunduz	qˈʊndʊz
Radiatsion	ɾˌædyætsˈyɑn
Rasul	ɾˈæsʊɫ
Rasululloh	ɾˌæsʊɫˈʊɫɫɑh
Sa	sˈæ
Sababi	sæbˈæby
Sanoatida	sˌænɑætˈydæ
Sayfi	sˈæjfˌy
Sem	sˈem
Seylon	sˈejɫɑn
Sezar	sˈezæɾ
Shaharlar	ʃæhˈæɾlæɾ
Shaxs	ʃˈæχs
Sheroz	ʃˈeɾɑz
Shevchenko	ʃeʋt͡Sˈenkɑ
Shofirkon	ʃɑfˌyɾkɑn
Shtatning	ʃtˈætnyŋ
Shvesiya	ʃʋesˈyjæ
Simon	sˈymɑn
Sinay	sˈynæj
Sohil	sˈɑhyɫ
Soʻx	sˈoχ
Stalin	stˈæɫyn
Sun	sˈʊn
Suvga	sˈʊʋɡæ
Suyuqlik	sʊjˈʊqɫyk
Talas	tˈælæs
Tarixchi	tæɾˈyχt͡Sy
Tarixda	tæɾˈyχdæ
Tashhis	tˈæʃhys
Tazkirat	tæzkˈyɾæt
Tellur	tˈeɫɫʊɾ
Terisi	teɾˈysy
Thomas	thˈɑmæs
Tib	tˈyb
Tibbiyotda	tˌybbyjˈɑtdæ
Tijorat	tyd͡ʒˈɑɾæt
Toni	tˈɑny
Toʻrtkoʻl	tˈoɾtkoɫ
Turkmanistonning	tˌʊɾkmænystˈɑnnyŋ
Tuxum	tˈʊχʊm
Ufa	ˈʊfˌæ
Uganda	ʊɡˈændæ
Urugvay	ʊɾˈʊɡʋæj
Usmoniylar	ˌʊsmɑnˈyjlæɾ
Uzbekiston	ˌʊzbekˈystɑn
Vazifasi	ʋˌæzyfˌæsy
XIII	χyˈyy
Xamsa	χˈæmsæ
Xom	χˈɑm
Xona	χˈɑnæ
Xonadon	χɑnˈædɑn
Xonqa	χˈɑnqæ
Xorazmdagi	χˌɑɾæzmdˈæɡy
Xurshid	χˈʊɾʃyd
Yilda	jˈyɫdæ
Yogʻ	jˈɑʁ
Yoʻldoshev	joɫdˈɑʃeʋ
Yuriy	jˈʊɾyj
Zij	zˈyd͡ʒ
Zulfiya	zʊɫfˌyjæ
adabiyotni	ˌædæbyjˈɑtny
adirlari	ˌædyɾlˈæɾy
aeroportlar	ˌæeɾɑpˈɑɾtlæɾ
ahvolda	æhʋˈɑɫdæ
ajdodi	æd͡ʒdˈɑdy
ajratiladigan	ˌæd͡ʒɾætˌylædˈyɡæn
akauka	ˌækæˈʊkæ
albomning	æɫbˈɑmnyŋ
almashtiriladigan	ˌæɫmæʃtˌyɾylædˈyɡæn
aniklandi	ˌænyklˈændy
aniqlikda	ˌænyqɫˈykdæ
aqli	ˈæqɫy
ar	ˈæɾ
arava	æɾˈæʋæ
archa	ˈæɾt͡Sæ
armanilar	ˌæɾmænˈylæɾ
armanlarning	ˌæɾmænlˈæɾnyŋ
asarlardan	ˌæsæɾlˈæɾdæn
asbobuskunalar	ˌæsbɑbˌʊskʊnˈælæɾ
asbobuskunalari	ˌæsbɑbˌʊskʊnælˈæɾy
ashaddiy	æʃˈæddyj
ashulalari	ˌæʃʊlælˈæɾy
ashyoviy	æʃjˈɑʋyj
askarlarini	ˌæskæɾlæɾˈyny
asnoda	æsnˈɑdæ
asrab	ˈæsɾæb
asta	ˈæstæ
atamalar	ˌætæmˈælæɾ
atamalari	ˌætæmælˈæɾy
atmosferadagi	ˌætmɑsfˌeɾædˈæɡy
avlodga	æʋɫˈɑdɡæ
axlat	ˈæχlæt
ayblanuvchi	ˌæjblænˈʊʋt͡Sy
ayon	ˈæjɑn
aytadilar	ˌæjtædˈylæɾ
azeotrop	ˌæzeˈɑtɾɑp
badanning	bædˈænnyŋ
bahori	bæhˈɑɾy
barbod	bˈæɾbɑd
bardosh	bˈæɾdɑʃ
bastakorlik	bˌæstækˈɑɾɫyk
belgilarining	bˌeɫɡylæɾˈynyŋ
belgilashga	bˌeɫɡylˈæʃɡæ
belgining	beɫɡˈynyŋ
bijgʻitish	byd͡ʒʁˈytyʃ
bilak	bˈylæk
birikmalarini	bˌyɾykmˌælæɾˈyny
birinchidan	bˌyɾynt͡Sˈydæn
bodom	bˈɑdɑm
bogʻlarda	bɑʁlˈæɾdæ
bogʻlaydilar	bˌɑʁlæjdˈylæɾ
boj	bˈɑd͡ʒ
borishiga	bˌɑɾyʃˈyɡæ
boshlanishidan	bˌɑʃlænyʃˈydæn
boshli	bˈɑʃɫy
boshligʻining	bˌɑʃɫyʁˈynyŋ
boshqarma	bɑʃqˈæɾmæ
boshqarmasida	bˌɑʃqæɾmæsˈydæ
bosiladi	bˌɑsylˈædy
bosqinchilari	bˌɑsqynt͡Sylˈæɾy
boyitdi	bɑjˈytdy
boyitilgan	bˌɑjytˈyɫɡæn
boyliklarini	bˌɑjɫyklæɾˈyny
