је	je
неизбежни	nˈɛɪzbˌɛʒnɪ
неизбежним	nˈɛɪzbˌɛʒnɪm
неизоставни	nˈɛɪzˌostɐvnɪ
неминован	nˈɛmɪnˌovɐn
немо	nˈɛmo
неодговарајуће	nˈɛodɡˌovɑrˌɑjʊt͡ɕɛ
неодлучна	nˈɛodlˌʊt͡ʃnɐ
неодобравање	nˈɛodˌobrɐvˌɐɲe
неодређености	nˈɛodrˌɛd͡ʑɛnˌostɪ
неосноване	nˈɛosnˌovɐnɛ
неписмена	nˈɛpɪsmˌɛnɐ
неписмени	nˈɛpɪsmˌɛnɪ
непокретност	nˈɛpokrˌɛtnost
непосредност	nˈɛposrˌɛdnost
непрестаном	nˈɛprɛstˌɐnom
неприкосновени	nˈɛprɪkˌosnovˌɛnɪ
непримећено	nˈɛprɪmˌɛt͡ɕɛno
неприхватљиве	nˈɛprɪhvˌɐtʎɪvɛ
непријатним	nˈɛprɪjˌɐtnɪm
неразвијен	nˈɛrɐzvˌɪjen
неразвијене	nˈɛrɐzvˌɪjenɛ
неразумевање	nˈɛrɐzˌʊmɛvˌɐɲe
нервозан	nˈɛrvozɐn
неспособне	nˈɛsposˌobnɛ
неустрашиви	nˈɛʊstrˌɐʃɪvɪ
нишка	nˈiʃkɐ
нишу	nˈiʃʊ
нијансом	nˈijɐnsom
новонасталих	nˈovonˌɐstɐlɪh
новонасталу	nˈovonˌɐstɐlʊ
новчаник	nˈoft͡ʃɐnɪk
ноздрве	nˈozdrvɛ
номадског	nˈomɐtskoɡ
носећу	nˈosɛt͡ɕʊ
носим	nˈosɪm
носиоцима	nˈosɪˌot͡sɪmɐ
нуклеона	nˈuklɛˌonɐ
нулом	nˈulom
нумерисане	nˈumɛrˌɪsɐnɛ
нумеричких	nˈumɛrˌɪt͡ʃkɪh
нуспојава	nˈuspojˌɐvɐ
обавестити	ˈobɐvˌɛstɪtɪ
обавештајаца	ˈobɐvˌɛʃtɑjˌɐt͡sɐ
обалном	ˈobɐlnom
обарањем	ˈobɑrˌɐɲem
обдукције	ˈobdʊkt͡sˌɪje
обезбиједила	ˈobɛzbˌɪjedˌɪlɐ
обешена	ˈobɛʃˌɛnɐ
обећане	ˈobɛt͡ɕˌɐnɛ
обећањем	ˈobɛt͡ɕˌɐɲem
обилазила	ˈobɪlˌɐzɪlɐ
обилазнице	ˈobɪlˌɐznɪt͡sɛ
обиласку	ˈobɪlˌɐskʊ
облагање	ˈoblɐɡˌɐɲe
обликовано	ˈoblɪkˌovɐno
обличју	ˈoblɪt͡ʃjʊ
обновљеном	ˈobnovljˌenom
обогате	ˈoboɡˌɐtɛ
обогаћивања	ˈoboɡˌɐt͡ɕɪvˌɐɲɐ
обрисе	ˈobrɪsɛ
оброци	ˈobrot͡sɪ
обучавали	ˈobʊt͡ʃˌɐvɐlɪ
обученог	ˈobʊt͡ʃˌɛnoɡ
објашњавању	ˈobjɐʃɲˌɐvɐɲʊ
обједињавање	ˈobjedˌɪɲɐvˌɐɲe
овдашњи	ˈovdɐʃɲɪ
овлашћена	ˈovlɐʃt͡ɕˌɛnɐ
оглед	ˈoɡlɛd
огледи	ˈoɡlɛdɪ
огрева	ˈoɡrɛvɐ
огњиштем	ˈoɡɲɪʃtɛm
одавања	ˈodɐvˌɐɲɐ
одајући	ˈodɑjˌʊt͡ɕɪ
одбацивали	ˈodbɐt͡sˌɪvɐlɪ
одвијања	ˈodvɪjˌɐɲɐ
одвратити	ˈodvrɐtˌɪtɪ
одвуче	ˈodvʊt͡ʃɛ
одгајао	ˈodɡɑjˌɐo
одељцима	ˈodɛʎt͡sˌɪmɐ
одлагао	ˈodlɐɡˌɐo
одметник	ˈodmɛtnɪk
одметници	ˈodmɛtnˌɪt͡sɪ
одмицала	ˈodmɪt͡sˌɐlɐ
одмицало	ˈodmɪt͡sˌɐlo
однекуд	ˈodnɛkʊd
одобравају	ˈodobrˌɐvɑjʊ
одобре	ˈodobrɛ
одолева	ˈodolˌɛvɐ
одору	ˈodorʊ
одређујући	ˈodrɛd͡ʑˌʊjʊt͡ɕɪ
одрживо	ˈodrʒɪvo
одсећи	ˈotsɛt͡ɕɪ
одуговлачења	ˈodʊɡˌovlɐt͡ʃˌɛɲɐ
одушевио	ˈodʊʃˌɛvɪo
ожењени	ˈoʒɛɲˌenɪ
озбиљнију	ˈozbɪʎnˌɪjʊ
озона	ˈozonɐ
окарактерисано	ˈokɑrˌɐktɛrˌɪsɐno
оклопи	ˈoklopɪ
оклопној	ˈoklopnoj
окове	ˈokovɛ
окота	ˈokotɐ
окречена	ˈokrɛt͡ʃˌɛnɐ
окрећући	ˈokrɛt͡ɕˌʊt͡ɕɪ
округлу	ˈokrʊɡlʊ
окружној	ˈokrʊʒnoj
окупирани	ˈokʊpˌɪrɐnɪ
окупљањима	ˈokʊpʎˌɐɲɪmɐ
окупљеном	ˈokʊpʎˌenom
омладинце	ˈomlɐdˌɪnt͡sɛ
опали	ˈopɐlɪ
опанака	ˈopɐnˌɐkɐ
операнд	ˈopɛrɐnd
операционе	ˈopɛrˌɐt͡sɪˌonɛ
оперета	ˈopɛrˌɛtɐ
оперисала	ˈopɛrˌɪsɐlɐ
оперским	ˈopɛrskɪm
опирала	ˈopɪrˌɐlɐ
опијум	ˈopɪjʊm
опкладе	ˈopklɐdɛ
опкладу	ˈopklɐdʊ
оплођена	ˈoplod͡ʑˌɛnɐ
опни	ˈopnɪ
опозиционог	ˈopozˌɪt͡sɪˌonoɡ
опоравили	ˈoporˌɐvɪlɪ
опрашивања	ˈoprɐʃˌɪvɐɲɐ
опрезна	ˈoprɛznɐ
опседала	ˈopsɛdˌɐlɐ
опсежан	ˈopsɛʒɐn
опсерваторију	ˈopsɛrvˌɐtorˌɪjʊ
опслуживање	ˈopslʊʒˌɪvɐɲe
опструјавања	ˈopstrʊjˌɐvɐɲɐ
оптимизује	ˈoptɪmˌɪzʊje
оптицаја	ˈoptɪt͡sˌɑjɐ
оптуживан	ˈoptʊʒˌɪvɐn
опуштен	ˈopʊʃtɛn
опходио	ˈophodˌɪo
опхођењу	ˈophod͡ʑˌɛɲʊ
орални	ˈorɐlnɪ
орасима	ˈorɐsˌɪmɐ
организаторе	ˈorɡɐnˌɪzɐtˌorɛ
оргуљаш	ˈorɡʊʎɐʃ
оријентални	ˈorɪjˌentɐlnɪ
оријентишу	ˈorɪjˌentɪʃʊ
ормара	ˈormɑrɐ
орнаментом	ˈornɐmˌɛntom
ортодоксни	ˈortodˌoksnɪ
осигуравајуће	ˈosɪɡˌʊrɐvˌɑjʊt͡ɕɛ
осигурањем	ˈosɪɡˌʊrɐɲem
осиромашеним	ˈosɪrˌomɐʃˌɛnɪm
оскудном	ˈoskʊdnom
ослобођеног	ˈoslobˌod͡ʑɛnoɡ
османско	ˈosmɐnsko
осниване	ˈosnɪvˌɐnɛ
оснивани	ˈosnɪvˌɐnɪ
основаном	ˈosnovˌɐnom
осовинских	ˈosovˌɪnskɪh
оспе	ˈospɛ
оспоравао	ˈosporˌɐvɐo
оствареног	ˈostvɑrˌɛnoɡ
осушени	ˈosʊʃˌɛnɪ
отапања	ˈotɐpˌɐɲɐ
отежати	ˈotɛʒˌɐtɪ
отисцима	ˈotɪst͡sˌɪmɐ
откупљена	ˈotkʊpʎˌenɐ
откључа	ˈotkʎʊt͡ʃɐ
отписан	ˈotpɪsɐn
отпловили	ˈotplovˌɪlɪ
отпорници	ˈotpornˌɪt͡sɪ
отпочну	ˈotpot͡ʃnʊ
охрабрило	ˈohrɐbrˌɪlo
охридски	ˈohrɪtskɪ
очају	ˈot͡ʃɑjʊ
очишћено	ˈot͡ʃɪʃt͡ɕˌɛno
пХ	pˈəxˈə
пагода	pˈaɡodɐ
падајући	pˈadɑjˌʊt͡ɕɪ
падања	pˈadɐɲɐ
падобранце	pˈadobrˌɐnt͡sɛ
пажљивим	pˈaʒʎɪvɪm
пажљивом	pˈaʒʎɪvom
пажњи	pˈaʒɲɪ
пазећи	pˈazɛt͡ɕɪ
панелима	pˈanɛlˌɪmɐ
папин	pˈapɪn
папирус	pˈapɪrʊs
папског	pˈapskoɡ
паралелизам	pˈɑrɐlˌɛlɪzɐm
парохијским	pˈɑrohˌɪjskɪm
партер	pˈɑrtɛr
партитуру	pˈɑrtɪtˌʊrʊ
партијско	pˈɑrtɪjsko
пасивност	pˈasɪvnost
патриотски	pˈatrɪˌotskɪ
патролирају	pˈatrolˌɪrɑjʊ
патролни	pˈatrolnɪ
патуљасте	pˈatʊʎˌɐstɛ
певачки	pˈɛvɐt͡ʃkɪ
пегаве	pˈɛɡɐvɛ
педијатрије	pˈɛdɪjˌɐtrɪje
пекар	pˈɛkɑr
пелена	pˈɛlɛnɐ
пензионисању	pˈɛnzɪˌonɪsˌɐɲʊ
периодика	pˈɛrɪˌodɪkɐ
перле	pˈɛrlɛ
персонални	pˈɛrsonˌɐlnɪ
перфектно	pˈɛrfɛktno
песковитим	pˈɛskovˌɪtɪm
петиција	pˈɛtɪt͡sˌɪjɐ
петлова	pˈɛtlovɐ
петнаестој	pˈɛtnɐˌɛstoj
петорци	pˈɛtort͡sɪ
пешачења	pˈɛʃɐt͡ʃˌɛɲɐ
пешачком	pˈɛʃɐt͡ʃkom
пејзажом	pˈejzɐʒom
пирамидама	pˈirɐmˌɪdɐmɐ
пиротске	pˈirotskɛ
писари	pˈisɑrɪ
пијанисте	pˈijɐnˌɪstɛ
планетоида	plˈanɛtˌoɪdɐ
планетом	plˈanɛtom
планинаре	plˈanɪnˌɑrɛ
планинарски	plˈanɪnˌɑrskɪ
планираним	plˈanɪrˌɐnɪm
пласиравши	plˈasɪrˌɐfʃɪ
плашити	plˈaʃɪtɪ
плаћањем	plˈat͡ɕɐɲem
плаћеним	plˈat͡ɕɛnɪm
племенском	plˈɛmɛnskom
племенској	plˈɛmɛnskoj
плесног	plˈɛsnoɡ
плетене	plˈɛtɛnɛ
пливале	plˈivɐlɛ
пливати	plˈivɐtɪ
пливачких	plˈivɐt͡ʃkɪh
плитког	plˈitkoɡ
плијена	plˈijenɐ
пловити	plˈovɪtɪ
пловног	plˈovnoɡ
плодника	plˈodnɪkɐ
пнеумонија	pnˈɛʊmˌonɪjɐ
победничку	pˈobɛdnˌɪt͡ʃkʊ
побратим	pˈobrɐtɪm
побуњене	pˈobʊɲˌenɛ
побуњени	pˈobʊɲˌenɪ
побуњеним	pˈobʊɲˌenɪm
повезале	pˈovɛzˌɐlɛ
повезаној	pˈovɛzˌɐnoj
поверењем	pˈovɛrˌɛɲem
поверити	pˈovɛrˌɪtɪ
поверљиви	pˈovɛrʎˌɪvɪ
повећавале	pˈovɛt͡ɕˌɐvɐlɛ
повећаној	pˈovɛt͡ɕˌɐnoj
повија	pˈovɪjɐ
повијен	pˈovɪjen
повијене	pˈovɪjˌenɛ
повредили	pˈovrɛdˌɪlɪ
површне	pˈovrʃnɛ
погодивши	pˈoɡodˌɪfʃɪ
погонско	pˈoɡonsko
погреба	pˈoɡrɛbɐ
погребна	pˈoɡrɛbnɐ
погубан	pˈoɡʊbɐn
подвизи	pˈodvɪzɪ
подвргавају	pˈodvrɡɐvˌɑjʊ
подгорини	pˈodɡorˌɪnɪ
подграђе	pˈodɡrɐd͡ʑɛ
подесна	pˈodɛsnɐ
подешавањем	pˈodɛʃˌɐvɐɲem
подови	pˈodovɪ
подразумевамо	pˈodrɐzˌʊmɛvˌɐmo
подређеним	pˈodrɛd͡ʑˌɛnɪm
подсећање	pˈotsɛt͡ɕˌɐɲe
подужним	pˈodʊʒnɪm
подјељен	pˈodjeʎen
подјељена	pˈodjeʎˌenɐ
поетском	pˈoɛtskom
пожури	pˈoʒʊrɪ
позајмљивао	pˈozɑjmʎˌɪvɐo
позајмљују	pˈozɑjmʎˌʊjʊ
позивати	pˈozɪvˌɐtɪ
позициониране	pˈozɪt͡sˌɪonˌɪrɐnɛ
позлило	pˈozlɪlo
познаницима	pˈoznɐnˌɪt͡sɪmɐ
поклањали	pˈoklɐɲˌɐlɪ
покојном	pˈokojnom
покретној	pˈokrɛtnoj
покривале	pˈokrɪvˌɐlɛ
покушавати	pˈokʊʃˌɐvɐtɪ
покућство	pˈokʊt͡ɕstvo
полиси	pˈolɪsɪ
полукрила	pˈolʊkrˌɪlɐ
поменули	pˈomɛnˌʊlɪ
помилује	pˈomɪlˌʊje
помолу	pˈomolʊ
понеке	pˈonɛkɛ
понирања	pˈonɪrˌɐɲɐ
поновљено	pˈonovljˌeno
понорница	pˈonornˌɪt͡sɐ
понудиле	pˈonʊdˌɪlɛ
попрсја	pˈoprsjɐ
попусте	pˈopʊstɛ
попустили	pˈopʊstˌɪlɪ
попуњавали	pˈopʊɲˌɐvɐlɪ
поражавајући	pˈorɐʒˌɐvɑjˌʊt͡ɕɪ
пораженог	pˈorɐʒˌɛnoɡ
порезу	pˈorɛzʊ
поретком	pˈorɛtkom
портале	pˈortɐlɛ
поручила	pˈorʊt͡ʃˌɪlɐ
поручником	pˈorʊt͡ʃnˌɪkom
поруџбину	pˈorʊd͡ʒbˌɪnʊ
порфира	pˈorfɪrɐ
посведочио	pˈosvɛdˌot͡ʃɪo
посекотине	pˈosɛkˌotɪnɛ
посећен	pˈosɛt͡ɕɛn
послеподне	pˈoslɛpˌodnɛ
послушала	pˈoslʊʃˌɐlɐ
послушају	pˈoslʊʃˌɑjʊ
посреди	pˈosrɛdɪ
посредни	pˈosrɛdnɪ
постизањем	pˈostɪzˌɐɲem
поступало	pˈostʊpˌɐlo
поступао	pˈostʊpˌɐo
посумњали	pˈosʊmɲˌɐlɪ
посјета	pˈosjetɐ
посљедњим	pˈosʎedɲɪm
потврдом	pˈotvrdom
потврђујући	pˈotvrd͡ʑʊjˌʊt͡ɕɪ
потиснуле	pˈotɪsnˌʊlɛ
поткровље	pˈotkrovlje
потлачене	pˈotlɐt͡ʃˌɛnɛ
потписници	pˈotpɪsnˌɪt͡sɪ
потпредседница	pˈotprɛtsˌɛdnɪt͡sɐ
потрепштина	pˈotrɛpʃtˌɪnɐ
потресали	pˈotrɛsˌɐlɪ
потресе	pˈotrɛsɛ
потрошаче	pˈotroʃˌɐt͡ʃɛ
потроше	pˈotroʃɛ
потчињеним	pˈott͡ʃɪɲˌenɪm
поубијали	pˈo͡ʊbɪjˌɐlɪ
похвално	pˈohvɐlno
похлепу	pˈohlɛpʊ
почињали	pˈot͡ʃɪɲˌɐlɪ
поштеде	pˈoʃtɛdɛ
поштена	pˈoʃtɛnɐ
пошумљено	pˈoʃʊmʎˌeno
поједностављења	pˈojednˌostɐvljˌeɲɐ
појурио	pˈojʊrˌɪo
пољани	pˈoʎɐnɪ
пољопривредник	pˈoʎoprˌɪvrɛdnɪk
пољубили	pˈoʎʊbˌɪlɪ
праведна	prˈavɛdnɐ
правобранилаштво	prˈavobrˌɐnɪlˌɐʃtvo
правобраниоца	prˈavobrˌɐnɪˌot͡sɐ
правосуђу	prˈavosˌʊd͡ʑʊ
правоугаоних	prˈavo͡ʊɡˌɐonɪh
прагове	prˈaɡovɛ
практички	prˈaktɪt͡ʃkɪ
прамен	prˈamɛn
прасак	prˈasɐk
првенствена	prvˈɛnstvɛnɐ
преварили	prˈɛvɑrˌɪlɪ
превеликим	prˈɛvɛlˌɪkɪm
превлаку	prˈɛvlɐkʊ
превозника	prˈɛvoznˌɪkɐ
преврће	prˈɛvrt͡ɕɛ
предајник	prˈɛdɑjnɪk
предвечерје	prˈɛdvɛt͡ʃˌɛrje
председавајућа	prˈɛtsɛdˌɐvɑjˌʊt͡ɕɐ
представнику	prˈɛtstɐvnˌɪkʊ
представљани	prˈɛtstɐvljˌɐnɪ
предстојећих	prˈɛtstojˌet͡ɕɪh
предстојећу	prˈɛtstojˌet͡ɕʊ
предсједавајући	prˈɛtsjedˌɐvɑjˌʊt͡ɕɪ
предсједником	prˈɛtsjednˌɪkom
предшколска	prˈɛtʃkolskɐ
презира	prˈɛzɪrɐ
прекретнице	prˈɛkrɛtnˌɪt͡sɛ
прекривеним	prˈɛkrɪvˌɛnɪm
прекрити	prˈɛkrɪtɪ
премашују	prˈɛmɐʃˌʊjʊ
пренесеном	prˈɛnɛsˌɛnom
преносива	prˈɛnosˌɪvɐ
преносног	prˈɛnosnoɡ
преношен	prˈɛnoʃɛn
преображаја	prˈɛobrˌɐʒɑjɐ
преостао	prˈɛostˌɐo
преплавили	prˈɛplɐvˌɪlɪ
препознатљивог	prˈɛpoznˌɐtʎɪvoɡ
преполовио	prˈɛpolˌovɪo
преполовљен	prˈɛpolˌovljen
препорађања	prˈɛporˌɐd͡ʑɐɲɐ
препоручила	prˈɛporˌʊt͡ʃɪlɐ
преправљен	prˈɛprɐvljen
препуној	prˈɛpʊnoj
прерана	prˈɛrɐnɐ
прерасподелу	prˈɛrɐspˌodɛlʊ
пресвлачи	prˈɛsvlɐt͡ʃɪ
пресецање	prˈɛsɛt͡sˌɐɲe
пресрео	prˈɛsrɛo
престајали	prˈɛstɑjˌɐlɪ
преступнике	prˈɛstʊpnˌɪkɛ
претераном	prˈɛtɛrˌɐnom
претечом	prˈɛtɛt͡ʃom
претиле	prˈɛtɪlɛ
претор	prˈɛtor
претходником	prˈɛthodnˌɪkom
преуређени	prˈɛʊrˌɛd͡ʑɛnɪ
прехрамбеној	prˈɛhrɐmbˌɛnoj
прехрану	prˈɛhrɐnʊ
прецизнија	prˈɛt͡sɪznˌɪjɐ
пречке	prˈɛt͡ʃkɛ
прибегао	prˈibɛɡˌɐo
приватан	prˈivɐtɐn
привлачних	prˈivlɐt͡ʃnɪh
пригодну	prˈiɡodnʊ
придошлице	prˈidoʃlˌɪt͡sɛ
придружених	prˈidrʊʒˌɛnɪh
приземном	prˈizɛmnom
прикривања	prˈikrɪvˌɐɲɐ
прикрију	prˈikrɪjʊ
прикључци	prˈikʎʊt͡ʃt͡sɪ
прилагодљивости	prˈilɐɡˌodʎɪvˌostɪ
прилазни	prˈilɐznɪ
прилогу	prˈiloɡʊ
примањима	prˈimɐɲˌɪmɐ
примерена	prˈimɛrˌɛnɐ
примесама	prˈimɛsˌɐmɐ
приморано	prˈimorˌɐno
принудном	prˈinʊdnom
приобалног	prˈiobˌɐlnoɡ
приоритети	prˈiorˌɪtɛtɪ
приписали	prˈipɪsˌɐlɪ
приписивана	prˈipɪsˌɪvɐnɐ
приповести	prˈipovˌɛstɪ
припоји	prˈipojɪ
припојила	prˈipojˌɪlɐ
припремној	prˈiprɛmnoj
прираштајем	prˈirɐʃtˌɑjem
приређено	prˈirɛd͡ʑˌɛno
приручници	prˈirʊt͡ʃnˌɪt͡sɪ
присвоји	prˈisvojɪ
присилити	prˈisɪlˌɪtɪ
присилну	prˈisɪlnʊ
приступало	prˈistʊpˌɐlo
причвршћено	prˈit͡ʃvrʃt͡ɕɛno
пријатном	prˈijɐtnom
приједлоге	prˈijedlˌoɡɛ
пробијали	prˈobɪjˌɐlɪ
пробијањем	prˈobɪjˌɐɲem
проблематични	prˈoblɛmˌɐtɪt͡ʃnɪ
пробојем	prˈobojem
проваљује	prˈovɐʎˌʊje
проветравање	prˈovɛtrˌɐvɐɲe
провидура	prˈovɪdˌʊrɐ
проводити	prˈovodˌɪtɪ
проводници	prˈovodnˌɪt͡sɪ
провокативним	prˈovokˌɐtɪvnɪm
прогањања	prˈoɡɐɲˌɐɲɐ
прогестерона	prˈoɡɛstˌɛronɐ
прогресивних	prˈoɡrɛsˌɪvnɪh
прождире	prˈoʒdɪrɛ
проистекли	prˈoɪstˌɛklɪ
проистекло	prˈoɪstˌɛklo
проклета	prˈoklɛtɐ
пролећну	prˈolɛt͡ɕnʊ
пролиферације	prˈolɪfˌɛrɐt͡sˌɪje
прометом	prˈomɛtom
пронађеним	prˈonɐd͡ʑˌɛnɪm
пропагирају	prˈopɐɡˌɪrɑjʊ
пропадала	prˈopɐdˌɐlɐ
прописану	prˈopɪsˌɐnʊ
проповедају	prˈopovˌɛdɑjʊ
пропуштају	prˈopʊʃtˌɑjʊ
пророци	prˈorot͡sɪ
просвећености	prˈosvɛt͡ɕˌɛnostɪ
просвјете	prˈosvjetɛ
просидбу	prˈosɪdbʊ
проследи	prˈoslɛdɪ
протестују	prˈotɛstˌʊjʊ
противавионске	prˈotɪvˌɐvɪˌonskɛ
противкандидат	prˈotɪfkˌɐndɪdɐt
противоклопне	prˈotɪvˌoklopnɛ
професијама	prˈofɛsˌɪjɐmɐ
професорку	prˈofɛsˌorkʊ
проширену	prˈoʃɪrˌɛnʊ
прошлој	prˈoʃloj
пројектаната	prˈojektˌɐnɐtɐ
пројектовано	prˈojektˌovɐno
пршут	prʃˈut
психијатријским	psˈihɪjˌɐtrɪjskɪm
психоанализу	psˈihoˌɐnɐlˌɪzʊ
публикован	pˈublɪkˌovɐn
пуж	pˈuʒ
пукао	pˈukɐo
пукне	pˈuknɛ
пуко	pˈuko
пуноважно	pˈunovˌɐʒno
пуномоћја	pˈunomˌot͡ɕjɐ
путањама	pˈutɐɲˌɐmɐ
путнику	pˈutnɪkʊ
путну	pˈutnʊ
путовањем	pˈutovˌɐɲem
путујућег	pˈutʊjˌʊt͡ɕɛɡ
пуцњавом	pˈut͡sɲɐvom
пушењем	pˈuʃɛɲem
пјешадије	pjˈeʃɐdˌɪje
равногорског	rˈavnoɡˌorskoɡ
равнодушна	rˈavnodˌʊʃnɐ
радикалној	rˈadɪkˌɐlnoj
радиотерапије	rˈadɪˌotɛrˌɐpɪje
радијских	rˈadɪjskɪh
радијума	rˈadɪjˌʊmɐ
радостан	rˈadostɐn
разазнају	rˈazɐznˌɑjʊ
разбацаних	rˈazbɐt͡sˌɐnɪh
разбесни	rˈazbɛsnɪ
развитком	rˈazvɪtkom
разврставају	rˈazvrstɐvˌɑjʊ
раздвајању	rˈazdvɑjˌɐɲʊ
размењује	rˈazmɛɲˌʊje
размишљањем	rˈazmɪʃʎˌɐɲem
размјера	rˈazmjerɐ
разреди	rˈazrɛdɪ
разрушена	rˈazrʊʃˌɛnɐ
разумију	rˈazʊmˌɪjʊ
ракетна	rˈakɛtnɐ
ракове	rˈakovɛ
раковима	rˈakovˌɪmɐ
расвету	rˈasvɛtʊ
раслојавање	rˈaslojˌɐvɐɲe
распеће	rˈaspɛt͡ɕɛ
расписани	rˈaspɪsˌɐnɪ
распише	rˈaspɪʃɛ
располагале	rˈaspolˌɐɡɐlɛ
распореди	rˈasporˌɛdɪ
расправљати	rˈasprɐvljˌɐtɪ
распустити	rˈaspʊstˌɪtɪ
растанак	rˈastɐnɐk
растварање	rˈastvɑrˌɐɲe
растворљивих	rˈastvorʎˌɪvɪh
растреситом	rˈastrɛsˌɪtom
ратовала	rˈatovˌɐlɐ
рафалом	rˈafɐlom
рашки	rˈaʃkɪ
рађању	rˈad͡ʑɐɲʊ
рађених	rˈad͡ʑɛnɪh
рањиве	rˈaɲɪvɛ
реалистично	rˈɛɐlˌɪstɪt͡ʃno
ребро	rˈɛbro
ревидирана	rˈɛvɪdˌɪrɐnɐ
ревности	rˈɛvnostɪ
револта	rˈɛvoltɐ
револуционарима	rˈɛvolˌʊt͡sɪˌonɑrˌɪmɐ
редитељу	rˈɛdɪtˌɛʎʊ
редне	rˈɛdnɛ
редно	rˈɛdno
редокс	rˈɛdoks
редукцију	rˈɛdʊkt͡sˌɪjʊ
резистенције	rˈɛzɪstˌɛnt͡sɪje
резултирају	rˈɛzʊltˌɪrɑjʊ
рекламирања	rˈɛklɐmˌɪrɐɲɐ
рекле	rˈɛklɛ
реконструисани	rˈɛkonstrˌʊɪsˌɐnɪ
рекордну	rˈɛkordnʊ
рекурзивна	rˈɛkʊrzˌɪvnɐ
релацију	rˈɛlɐt͡sˌɪjʊ
религијском	rˈɛlɪɡˌɪjskom
рендгенског	rˈɛndɡɛnskoɡ
реорганизују	rˈɛorɡˌɐnɪzˌʊjʊ
репрезентује	rˈɛprɛzˌɛntʊje
репризе	rˈɛprɪzɛ
репродуковати	rˈɛprodˌʊkovˌɐtɪ
репродуктивном	rˈɛprodˌʊktɪvnom
републичка	rˈɛpʊblˌɪt͡ʃkɐ
реструктурирање	rˈɛstrʊktˌʊrɪrˌɐɲe
реторика	rˈɛtorˌɪkɐ
реториком	rˈɛtorˌɪkom
реторици	rˈɛtorˌɪt͡sɪ
реуматизма	rˈɛʊmˌɐtɪzmɐ
референцама	rˈɛfɛrˌɛnt͡sɐmɐ
рефлексе	rˈɛflɛksɛ
рефлексне	rˈɛflɛksnɛ
рефлукс	rˈɛflʊks
рехабилитацији	rˈɛhɐbˌɪlɪtˌɐt͡sɪjɪ
рецидива	rˈɛt͡sɪdˌɪvɐ
рецитовање	rˈɛt͡sɪtˌovɐɲe
решавала	rˈɛʃɐvˌɐlɐ
ризиковао	rˈizɪkˌovɐo
ризична	rˈizɪt͡ʃnɐ
ризичних	rˈizɪt͡ʃnɪh
римејку	rˈimejkʊ
ритера	rˈitɛrɐ
ритмичке	rˈitmɪt͡ʃkɛ
ритуални	rˈitʊˌɐlnɪ
ријетка	rˈijetkɐ
ријетке	rˈijetkɛ
робних	rˈobnɪh
родбином	rˈodbɪnom
родитељска	rˈodɪtˌɛʎskɐ
родитељских	rˈodɪtˌɛʎskɪh
романтичарске	rˈomɐntˌɪt͡ʃɑrskɛ
ронилац	rˈonɪlɐt͡s
ронилаца	rˈonɪlˌɐt͡sɐ
ротациони	rˈotɐt͡sˌɪonɪ
ротационо	rˈotɐt͡sˌɪono
ротирајућим	rˈotɪrˌɑjʊt͡ɕɪm
рој	rˈoj
рубина	rˈubɪnɐ
рударској	rˈudɑrskoj
рудничке	rˈudnɪt͡ʃkɛ
рукавицама	rˈukɐvˌɪt͡sɐmɐ
рукаву	rˈukɐvʊ
рупом	rˈupom
рутом	rˈutom
руље	rˈuʎe
саборац	sˈaborɐt͡s
сабраних	sˈabrɐnɪh
савезништва	sˈavɛznˌɪʃtvɐ
сагледава	sˈaɡlɛdˌɐvɐ
сагоревању	sˈaɡorˌɛvɐɲʊ
сажета	sˈaʒɛtɐ
сакупљених	sˈakʊpʎˌenɪh
салаша	sˈalɐʃɐ
самима	sˈamɪmɐ
самиту	sˈamɪtʊ
самовоље	sˈamovˌoʎe
самоходних	sˈamohˌodnɪh
санаторијума	sˈanɐtˌorɪjˌʊmɐ
сандуци	sˈandʊt͡sɪ
санскрит	sˈanskrɪt
санџакбег	sˈand͡ʒɐkbɛɡ
саопштило	sˈaopʃtˌɪlo
сапроксилних	sˈaproksˌɪlnɪh
сапутник	sˈapʊtnɪk
сарајевским	sˈɑrɑjˌefskɪm
састале	sˈastɐlɛ
састојка	sˈastojkɐ
сачињавао	sˈat͡ʃɪɲˌɐvɐo
свадбеног	svˈadbɛnoɡ
свашта	svˈaʃtɐ
свежом	svˈɛʒom
свесном	svˈɛsnom
светао	svˈɛtɐo
светиште	svˈɛtɪʃtɛ
светосавску	svˈɛtosˌɐfskʊ
свеукупног	svˈɛʊkˌʊpnoɡ
свештеница	svˈɛʃtɛnˌɪt͡sɐ
свирале	svˈirɐlɛ
свирке	svˈirkɛ
свијест	svˈijest
свињама	svˈiɲɐmɐ
својеврсном	svˈojevrsnom
свргао	svrɡˈao
свргну	svrɡnˈu
сврстали	svrstˈalɪ
сврши	svrʃˈi
седамнаесте	sˈɛdɐmnˌɐɛstɛ
седећем	sˈɛdɛt͡ɕɛm
седиментне	sˈɛdɪmˌɛntnɛ
седло	sˈɛdlo
седморице	sˈɛdmorˌɪt͡sɛ
сектором	sˈɛktorom
селективним	sˈɛlɛktˌɪvnɪm
семантичких	sˈɛmɐntˌɪt͡ʃkɪh
сензорна	sˈɛnzornɐ
сепарације	sˈɛpɑrˌɐt͡sɪje
серпентина	sˈɛrpɛntˌɪnɐ
сељанке	sˈɛʎɐŋkɛ
