ve	vɛ
açılmadı	at͡ʃˈɯɫmadɯ
açılışın	at͡ʃɯɫɯʃˈɯn
açınca	at͡ʃɯnd͡ʒˈa
açısıdır	at͡ʃɯsˈɯdɯr
açığının	at͡ʃɯɯɯnˈɯn
ağabeyiyle	aːbejˈɪjlɛ
aşamadaki	aʃamadakˈɪ
aşamadı	aʃˈamadɯ
aşmayı	ˈaʃmajɯ
aştığını	aʃtɯɯɯnˈɯ
aşıları	aʃɯɫaɾˈɯ
aşırıya	aʃɯɾɯjˈa
bacası	bad͡ʒasˈɯ
bacağında	bad͡ʒaːɯndˈa
bahaneler	bahanelˈɛr
bahsedip	bahsedˈɪp
bahsettiğimiz	bahsetːˈijimɪz
bahçecilik	baht͡ʃed͡ʒilˈɪk
bahçeden	bˈaht͡ʃɛdæn
bakanlıkları	bakanɫɯkɫaɾˈɯ
bakmasına	bakmasɯnˈa
bakmıştır	bakmˈɯʃtɯr
bakılıyordu	bakɯɫˈɯjɔrdʊ
bakımsızlık	bakˈɯmsɯzɫɯk
balinaları	balinaɫaɾˈɯ
baltası	baɫtasˈɯ
baltayla	baɫtˈajɫa
balıklardır	baɫɯkɫˈardɯr
balın	baɫˈɯn
bankasıdır	bankasˈɯdɯr
banklar	bankɫˈar
banliyölerinde	banlijœleɾɪndˈɛ
bantla	bˈantɫa
bantların	bantɫaɾˈɯn
barların	barɫaɾˈɯn
barındığı	baɾɯndɯɯˈɯ
barışık	baɾɯʃˈɯk
barışının	baɾɯʃɯnˈɯn
basamağına	basamaːɯnˈa
basitleştirilmiştir	basɪtlɛʃtiɾɪlmˈɪʃtɪr
basketbolda	baskɛtbɔɫdˈa
basketbolun	baskɛtboɫˈʊn
baskınlarına	baskɯnɫaɾɯnˈa
bastırdıktan	bastɯrdɯktˈan
bastırılarak	bastɯɾɯɫaɾˈak
basılacak	basɯɫad͡ʒˈak
basılmamış	basɯɫmamˈɯʃ
bataklıkta	batakɫɯktˈa
bataklığı	batakɫɯɯˈɯ
bataryayı	batarjajˈɯ
batmasına	batmasɯnˈa
batımından	batɯmɯndˈan
batırma	batˈɯrma
batırmak	batɯrmˈak
batırılarak	batɯɾɯɫaɾˈak
bazi	bazˈɪ
bazın	bazˈɯn
bağladığını	baːɫadɯɯɯnˈɯ
bağlamıştı	baːɫamɯʃtˈɯ
bağlanmanın	baːɫˈanmanɯn
bağlanırdı	baːɫanɯrdˈɯ
bağlanırsa	baːɫanˈɯrsa
bağlanıyordu	baːɫanˈɯjɔrdʊ
bağlılığından	baːɫɯɫɯɯɯndˈan
bağımsızlar	baːˈɯmsɯzɫar
bağırsağı	baːɯrsaːˈɯ
bağışlayacağını	baːɯʃɫajad͡ʒaːɯnˈɯ
başarabilmiştir	baʃaɾabɪlmˈɪʃtɪr
başarmışlardı	baʃarmɯʃɫardˈɯ
başarıdır	baʃaɾˈɯdɯr
başarılarda	baʃaɾɯɫardˈa
başarılması	baʃaɾɯɫmasˈɯ
başarısızlığına	baʃaɾɯsɯzɫɯɯɯnˈa
başkahramanı	baʃkahramanˈɯ
başkana	baʃkanˈa
başkanlar	baʃkanɫˈar
başkanlarına	baʃkanɫaɾɯnˈa
başkanlıklarını	baʃkanɫɯkɫaɾɯnˈɯ
başlangıcıyla	baʃɫanɡɯd͡ʒˈɯjɫa
başlanmadan	baʃɫˈanmadan
başlanmalıdır	baʃɫanmaɫˈɯdɯr
başlanmasına	baʃɫanmasɯnˈa
başlanmasıyla	baʃɫanmasˈɯjɫa
başlarsa	baʃɫˈarsa
başlatıldığını	baʃɫatɯɫdɯɯɯnˈɯ
başlatılmıştı	baʃɫatɯɫmɯʃtˈɯ
başvurulabilir	baʃvuɾuɫabilˈɪr
başvurularak	baʃvuɾuɫaɾˈak
başvurunun	baʃvuɾunˈʊn
başıydı	baʃɯjdˈɯ
bebekle	bebˈɛklɛ
bebeklere	bebɛkleɾˈɛ
bebeklerinin	bebɛkleɾinˈɪn
bedelleri	bedælleɾˈɪ
beklemeleri	bɛklemeleɾˈɪ
beklentilerine	bɛklæntileɾinˈɛ
beklentisiyle	bɛklæntisˈɪjlɛ
belirdiği	belɪrdijˈɪ
belirlemişlerdir	belɪrlemɪʃlˈɛrdɪr
belirleneceğini	belɪrlened͡ʒejinˈɪ
belirlenip	belɪrlenˈɪp
belirleyicisi	belɪrlejid͡ʒisˈɪ
belirsizliğin	belɪrsɪzlijˈɪn
belirtilirken	belɪrtilˈɪrcæn
belirtmez	belɪrtmˈɛz
benimseme	benˈɪmsemɛ
bent	bˈænt
benzetmesini	bænzɛtmesinˈɪ
berat	beɾˈat
berberi	bɛrbeɾˈɪ
besiciliği	besid͡ʒilijˈɪ
besledikleri	bɛsledɪkleɾˈɪ
beslenebilir	bɛslenebilˈɪr
beslenirken	bɛslenˈɪrcæn
beslenmeleri	bɛslænmeleɾˈɪ
beslenmenin	bɛslˈænmenɪn
besleyerek	bɛslejeɾˈɛk
betimlediği	betɪmledijˈɪ
betimlenmektedir	betɪmlænmɛktˈedɪr
beyinlerinin	bejɪnleɾinˈɪn
beylerbeyliği	bɛjlɛrbɛjlijˈɪ
beynindeki	bɛjnɪndekˈɪ
beğenilmedi	bejenˈɪlmedɪ
beğenilmeyen	bejenɪlmejˈæn
biftek	bɪftˈɛk
bilançosu	biɫant͡ʃosˈʊ
bilekleri	bilɛkleɾˈɪ
bilemeyen	bilemejˈæn
biletlerin	bilɛtleɾˈɪn
bileşenleridir	bileʃænleɾˈidɪr
bileşiminin	bileʃiminˈɪn
bileşiğinin	bileʃijinˈɪn
bilfiil	bɪlfiˈɪl
bilgilendirmeyi	bɪlɟilændˈɪrmejɪ
bilgileriyle	bɪlɟileɾˈɪjlɛ
bilgisayardaki	bɪlɟisajardakˈɪ
bilimlerden	bilɪmlɛrdˈæn
bilince	bilˈɪnd͡ʒɛ
bilindiğinden	bilɪndijɪndˈæn
bilindiğine	bilɪndijinˈɛ
bilinip	bilinˈɪp
bilinmeden	bilˈɪnmedæn
bilinmediğini	bilɪnmedijinˈɪ
bilinmesini	bilɪnmesinˈɪ
biliyordur	bilˈijɔrdʊr
bilmiyoruz	bɪlmˈijoɾʊz
bindirilmiş	bɪndiɾɪlmˈɪʃ
biniciler	binid͡ʒilˈɛr
binmesi	bɪnmesˈɪ
biradır	bˈiɾadɯr
biralardan	biɾaɫardˈan
bireysellik	biɾɛjsællˈɪk
birikimin	biɾˈikimɪn
birikimleri	biɾikɪmleɾˈɪ
birikimli	biɾˈikɪmlɪ
biriktirdi	biɾˈɪktɪrdɪ
birimlerince	biɾɪmleɾˈɪnd͡ʒɛ
birinciye	biɾɪnd͡ʒijˈɛ
biriyken	biɾˈɪjcæn
birleşebilir	bɪrleʃebilˈɪr
birleşimine	bɪrleʃiminˈɛ
birleştirmektedir	bɪrlɛʃtɪrmɛktˈedɪr
birleştirmiş	bɪrlɛʃtɪrmˈɪʃ
birliklerce	bɪrlɪklˈɛrd͡ʒɛ
birliktelikler	bɪrlɪktelɪklˈɛr
birlikteliğin	bɪrlɪktelijˈɪn
birçoğuna	bɪrt͡ʃoːunˈa
bitirilen	bitiɾilˈæn
bitirilmemiş	bitiɾɪlmemˈɪʃ
bitişine	bitiʃinˈɛ
biçilemez	bit͡ʃilemˈɛz
biçimden	bˈit͡ʃɪmdæn
bloglara	bɫɔɡɫaɾˈa
blogu	bɫoɡˈʊ
boksörü	bɔksœɾˈø
bombardımanları	bɔmbardɯmanɫaɾˈɯ
bonservisini	bɔnsɛrvisinˈɪ
borsaları	bɔrsaɫaɾˈɯ
borularının	boɾuɫaɾɯnˈɯn
borusundan	boɾusʊndˈan
boruya	boɾujˈa
bostan	bɔstˈan
botun	botˈʊn
boyanması	bojanmasˈɯ
boyludur	bɔjɫˈudʊr
boyudur	bojˈudʊr
boyutundadır	bojutʊndˈadɯr
bozkırları	bɔzkɯrɫaɾˈɯ
bozukluktan	bozʊkɫʊktˈan
bozukluğundan	bozʊkɫʊːndˈan
bozukluğunu	bozʊkɫuːnˈʊ
bozulduğunu	bozʊɫduːnˈʊ
bozulmaz	bozʊɫmˈaz
boşaltması	boʃaɫtmasˈɯ
boşaltımı	boʃˈaɫtɯmɯ
brom	brˈɔm
bugünü	buɟynˈø
buket	bukˈɛt
bulabildiği	buɫabɪldijˈɪ
bulacağı	buɫad͡ʒaːˈɯ
bulamayıp	buɫamajˈɯp
bulgudur	bʊɫɡˈudʊr
bulgulardır	bʊɫɡuɫˈardɯr
bulmacalar	bʊɫmad͡ʒaɫˈar
bulmaktadırlar	bʊɫmaktˈadɯrɫar
bulmalıdır	bʊɫmaɫˈɯdɯr
bulmasıdır	bʊɫmasˈɯdɯr
bulunmamasından	buɫʊnmamasɯndˈan
bulunulduğu	buɫunʊɫdˈʊː
bulunun	buɫunˈʊn
buluruz	buɫˈuɾʊz
bulutlara	buɫʊtɫaɾˈa
buluşamadı	buɫuʃˈamadɯ
buluşmaları	buɫʊʃmaɫaɾˈɯ
buluşmuş	buɫʊʃmˈʊʃ
bulvarın	bʊɫvaɾˈɯn
bunaltıcı	bunaɫtɯd͡ʒˈɯ
buruk	buɾˈʊk
buyruklarını	bʊjrʊkɫaɾɯnˈɯ
buzunun	buzunˈʊn
böbreğin	bœbrejˈɪn
böldüğü	bœldˈøː
bölgeli	bœlɟelˈɪ
bölgeyle	bœlɟˈɛjlɛ
bölmesine	bœlmesinˈɛ
bölümlerdeki	bœlømlɛrdekˈɪ
bölünmeyi	bœlˈønmejɪ
bölüğünün	bœlyːnˈøn
bükerek	bykeɾˈɛk
bükülür	bykylˈør
büründüğü	byɾøndˈøː
bütünleşir	bytønleʃˈɪr
büyükelçiliğinde	byjykælt͡ʃilijɪndˈɛ
büyüklere	byjøkleɾˈɛ
büyükusta	byjykʊstˈa
büyüsüyle	byjysˈøjlɛ
büyüteç	byjytˈɛt͡ʃ
büyütmeye	byjˈøtmejɛ
bıkmış	bɯkmˈɯʃ
bırakmamış	bɯɾakmamˈɯʃ
bıraktığından	bɯɾaktɯɯɯndˈan
bırakılmışlardır	bɯɾakɯɫmɯʃɫˈardɯr
bırakılıyor	bɯɾakɯɫˈɯjɔr
bırakırsa	bɯɾakˈɯrsa
bıyığı	bɯjɯɯˈɯ
ca	d͡ʒˈa
cadıların	d͡ʒadɯɫaɾˈɯn
camlı	d͡ʒamɫˈɯ
canlandırmasıyla	d͡ʒanɫandɯrmasˈɯjɫa
canlandırmayı	d͡ʒanɫandˈɯrmajɯ
canlandırmış	d͡ʒanɫandɯrmˈɯʃ
canlılarla	d͡ʒanɫɯɫˈarɫa
cast	d͡ʒˈast
cazibesine	d͡ʒazibesinˈɛ
ce	d͡ʒˈɛ
cemaatlerinin	d͡ʒemaatleɾinˈɪn
cemaatten	d͡ʒemaatːˈæn
cevabın	d͡ʒevabˈɯn
cevaplarını	d͡ʒevapɫaɾɯnˈɯ
cevizli	d͡ʒˈevɪzlɪ
cezalandıran	d͡ʒezaɫandɯɾˈan
cf	d͡ʒˌɛfˈɛ
ciddidir	d͡ʒidːˈidɪr
cihan	d͡ʒihˈan
cihazıyla	d͡ʒihazˈɯjɫa
cimri	d͡ʒɪmrˈɪ
cinayetlere	d͡ʒinajɛtleɾˈɛ
cinayetlerini	d͡ʒinajɛtleɾinˈɪ
cinleri	d͡ʒɪnleɾˈɪ
cinselliğe	d͡ʒɪnsællijˈɛ
cinsiyetli	d͡ʒɪnsijɛtlˈɪ
cinslerinin	d͡ʒɪnsleɾinˈɪn
civciv	d͡ʒɪvd͡ʒˈɪv
cumhuriyetlerinde	d͡ʒʊmhuɾijɛtleɾɪndˈɛ
cumhuriyetlerinden	d͡ʒʊmhuɾijɛtleɾɪndˈæn
cücenin	d͡ʒˈyd͡ʒɛnɪn
cümlelere	d͡ʒømleleɾˈɛ
cümlesiyle	d͡ʒømlesˈɪjlɛ
cüppe	d͡ʒypːˈɛ
cüzzam	d͡ʒøzzˈam
dah	dˈah
dairelere	daiɾeleɾˈɛ
dallanmanın	daɫɫˈanmanɯn
dallarıyla	daɫɫaɾˈɯjɫa
dalıyla	daɫˈɯjɫa
damarlara	damarɫaɾˈa
damarlarını	damarɫaɾɯnˈɯ
damlalar	dˈamɫaɫar
danslarıyla	dansɫaɾˈɯjɫa
dansına	dansɯnˈa
danışmanıydı	danɯʃmanɯjdˈɯ
daralmasına	daɾaɫmasɯnˈa
daralmaya	daɾˈaɫmaja
davalarla	davaɫˈarɫa
davayla	davˈajɫa
davrandılar	davrandɯɫˈar
davranmaları	davranmaɫaɾˈɯ
davranıyordu	davranˈɯjɔrdʊ
davranışla	davranˈɯʃɫa
dayanmaz	dajanmˈaz
dayar	dajˈar
dağcılar	daːd͡ʒɯɫˈar
dağlarıdır	daːɫaɾˈɯdɯr
dağılımlarını	daːɯɫɯmɫaɾɯnˈɯ
dağıtılarak	daːɯtɯɫaɾˈak
dağıtımcı	daːɯtɯmd͡ʒˈɯ
defterlerine	dɛftɛrleɾinˈɛ
dehestanı	dehɛstanˈɯ
dekanlığı	dekanɫɯɯˈɯ
deklanşör	dɛkɫanʃˈœr
dekoratör	dekoɾatˈœr
deliklerinin	delɪkleɾinˈɪn
deliliğe	delilijˈɛ
delinme	delˈɪnmɛ
demans	demˈans
demektedirler	demɛktˈedɪrlɛr
demeyi	dˈemejɪ
demokratlar	demɔkratɫˈar
denendiği	denændijˈɪ
deneyimleriyle	denejɪmleɾˈɪjlɛ
deneyine	denejinˈɛ
dengesizlikler	dænɟesɪzlɪklˈɛr
denizaltıların	denizaɫtɯɫaɾˈɯn
denklemlerinden	dænklæmleɾɪndˈæn
deplasmandaki	dɛpɫasmandakˈɪ
deplasmanına	dɛpɫasmanɯnˈa
deposundan	deposʊndˈan
depreminden	dɛpremɪndˈæn
dereceleriyle	deɾed͡ʒeleɾˈɪjlɛ
derelerden	deɾelɛrdˈæn
deriler	deɾilˈɛr
derinliklerinden	deɾɪnlɪkleɾɪndˈæn
derlemedir	dɛrlˈemedɪr
derlemesini	dɛrlemesinˈɪ
derlenerek	dɛrleneɾˈɛk
derleyen	dɛrlejˈæn
dernekte	dɛrnɛktˈɛ
derste	dɛrstˈɛ
dersten	dɛrstˈæn
desenleriyle	desænleɾˈɪjlɛ
desteklenecek	dɛstɛklened͡ʒˈɛk
detaylandıran	detajɫandɯɾˈan
devalüasyon	devalyasjˈɔn
devamındaki	devamɯndakˈɪ
devekuşu	devekuʃˈʊ
deveyi	devejˈɪ
devirler	devɪrlˈɛr
devletçi	dɛvlɛtt͡ʃˈɪ
devletçilik	dɛvlɛtt͡ʃilˈɪk
devralarak	dɛvraɫaɾˈak
devralma	dɛvrˈaɫma
devrelerini	dɛvreleɾinˈɪ
devrilmesini	dɛvrɪlmesinˈɪ
dezavantajlar	dezavantaʒɫˈar
değecek	dejed͡ʒˈɛk
değen	dejˈæn
değerlendirecek	dejɛrlˈændiɾed͡ʒɛk
değerlikli	dejɛrlɪklˈɪ
değilsin	dˈejɪlsɪn
değinmek	dejɪnmˈɛk
değişimidir	dejiʃimˈidɪr
değişimlerinde	dejiʃɪmleɾɪndˈɛ
değişirken	dejiʃˈɪrcæn
değişiyorsa	dejiʃˈijɔrsa
değişmek	dejɪʃmˈɛk
değiştirebilecek	dejɪʃtiɾebiled͡ʒˈɛk
değiştirmişlerdir	dejɪʃtɪrmɪʃlˈɛrdɪr
dibinden	dibɪndˈæn
dikerek	dikeɾˈɛk
dikmiştir	dɪkmˈɪʃtɪr
dindarlık	dɪndarɫˈɯk
dinlediğini	dɪnledijinˈɪ
dinlendiği	dɪnlændijˈɪ
dinlerinden	dɪnleɾɪndˈæn
dinleyicisi	dɪnlejid͡ʒisˈɪ
direkli	diɾɛklˈɪ
direnir	diɾenˈɪr
direnişleri	diɾenɪʃleɾˈɪ
direnişçileri	diɾenɪʃt͡ʃileɾˈɪ
dirilişi	diɾiliʃˈɪ
diriltmek	diɾɪltmˈɛk
disiplinden	disɪplɪndˈæn
disiplinine	disɪplininˈɛ
disiplinini	disɪplininˈɪ
disklik	dɪsklˈɪk
dizanteri	dizanteɾˈɪ
dizge	dɪzɡˈɛ
dizleri	dɪzleɾˈɪ
dizlerine	dɪzleɾinˈɛ
dokudan	dokudˈan
dokuması	dokumasˈɯ
dokunması	dokʊnmasˈɯ
dokümanlarını	dokymanɫaɾɯnˈɯ
dolapta	doɫaptˈa
doldurdular	dˈɔɫdʊrduɫar
dolmuştu	dɔɫmʊʃtˈʊ
domuza	dˈomuza
donattı	donatːˈɯ
donatılan	donatɯɫˈan
donatılır	donatɯɫˈɯr
donatım	donˈatɯm
dostluklarını	dɔstɫʊkɫaɾɯnˈɯ
dostluğun	dɔstɫˈʊːn
dosyalarda	dɔsjaɫardˈa
dozdan	dɔzdˈan
dozlar	dɔzɫˈar
doğmakta	doːmaktˈa
doğrulanmadı	doːɾuɫˈanmadɯ
doğrultusundaki	doːɾʊɫtusʊndakˈɪ
doğrulukla	doːɾuɫˈʊkɫa
doğruluğundan	doːɾuɫʊːndˈan
doğulu	doːuɫˈʊ
doğumsal	doːʊmsˈaɫ
doğuracak	doːuɾad͡ʒˈak
doğurması	doːʊrmasˈɯ
drenajı	drenaʒˈɯ
droid	droˈɪd
drone	dronˈɛ
dualarını	duaɫaɾɯnˈɯ
dumandan	dumandˈan
dumanla	dumˈanɫa
durağında	duɾaːɯndˈa
durduramadı	dʊrduɾˈamadɯ
durduramaz	dʊrduɾamˈaz
durdururlar	dʊrduɾʊrɫˈar
duruldu	duɾʊɫdˈʊ
duruşlar	duɾʊʃɫˈar
duruşmalar	duɾˈʊʃmaɫar
duruşmanın	duɾˈʊʃmanɯn
duruşunun	duɾuʃunˈʊn
duyarlılığın	dujarɫɯɫɯɯˈɯn
duygusudur	dʊjɡusˈudʊr
duymaksızın	dʊjmˈaksɯzɯn
duyulmadığı	dujʊɫmadɯɯˈɯ
duyulmuş	dujʊɫmˈʊʃ
dökmeye	dˈœkmejɛ
dökülmesine	dœkølmesinˈɛ
döllenmiş	dœllænmˈɪʃ
döndüğüne	dœndyːnˈɛ
döngülerinin	dœnɟyleɾinˈɪn
dönmeyeceği	dœnmejed͡ʒejˈɪ
dönüldüğünde	dœnøldøːndˈɛ
dönüşecekti	dœnyʃed͡ʒɛktˈɪ
dönüşmek	dœnøʃmˈɛk
dönüşmesinden	dœnøʃmesɪndˈæn
dönüştükten	dœnøʃtøktˈæn
dönüştürürler	dœnøʃtyɾørlˈɛr
dörtnala	dœrtnˈaɫa
dövüldüğü	dœvøldˈøː
dövüp	dœvˈøp
dövüşen	dœvyʃˈæn
dövüştüğü	dœvøʃtˈøː
düellosu	dyælɫosˈʊ
dükkânını	dykːanɯnˈɯ
dünyalarının	dønjaɫaɾɯnˈɯn
dürüstçe	dyɾˈøstt͡ʃɛ
düzenbaz	dyzænbˈaz
düzeneğin	dyzenejˈɪn
düzeniyle	dyzenˈɪjlɛ
düzenlemelerde	dyzænlemelɛrdˈɛ
düzenleneceğini	dyzænlened͡ʒejinˈɪ
düzenlenmemiş	dyzænlænmemˈɪʃ
düzenleyecek	dyzˈænlejed͡ʒɛk
düzenleyeceğini	dyzænlejed͡ʒejinˈɪ
düşecekti	dyʃed͡ʒɛktˈɪ
düşmanlıkları	døʃmanɫɯkɫaɾˈɯ
düşmesidir	døʃmesˈidɪr
düşündüklerinden	dyʃøndøkleɾɪndˈæn
düşündüğümüz	dyʃøndˈyːmøz
düşünmez	dyʃønmˈɛz
düşüşten	dyʃøʃtˈæn
dışkıları	dɯʃkɯɫaɾˈɯ
dışındayken	dɯʃɯndˈajcæn
ebatları	ebatɫaɾˈɯ
ebatlarında	ebatɫaɾɯndˈa
ebeveynlerini	ebevɛjnleɾinˈɪ
eczanelerde	ɛd͡ʒzanelɛrdˈɛ
edebileceğimiz	edebiled͡ʒˈejimɪz
edebilmekteydi	edebɪlmɛktɛjdˈɪ
edebiyatçılar	edebijatt͡ʃɯɫˈar
edecekken	eded͡ʒekːˈæn
edemeyerek	edemejeɾˈɛk
edemeyiz	edˈemejɪz
ederdim	edɛrdˈɪm
edilebilmesidir	edilebɪlmesˈidɪr
edilmeksizin	edɪlmˈɛksizɪn
edinirler	edinɪrlˈɛr
efektinin	efɛktinˈɪn
egosu	eɡosˈʊ
egzersizi	ɛɟzˈɛrsizɪ
ejderhaları	ɛʒdɛrhaɫaɾˈɯ
ekarte	ekartˈɛ
ekilmektedir	ekɪlmɛktˈedɪr
ekiplerinde	ekɪpleɾɪndˈɛ
ekipmanlara	ekɪpmanɫaɾˈa
eklendiğini	ɛklændijinˈɪ
eklenmeye	ɛklˈænmejɛ
ekmeğini	ɛkmejinˈɪ
ekolün	ekoɫˈøn
ekolünü	ekolynˈø
ekonomilerin	ekonomileɾˈɪn
ekosistemlerin	ekosɪstæmleɾˈɪn
ekstradan	ˈɛkstradan
elemandan	elemandˈan
elemanını	elemanɯnˈɯ
elemeye	elˈemejɛ
eleştirenler	elɛʃtiɾænlˈɛr
eleştirmenliği	elɛʃtɪrmænlijˈɪ
elimizdeki	elimɪzdekˈɪ
elimizden	elˈimɪzdæn
elitlerin	elɪtleɾˈɪn
ellerde	ællɛrdˈɛ
elçilere	ælt͡ʃileɾˈɛ
elçilerini	ælt͡ʃileɾinˈɪ
elçisini	ælt͡ʃisinˈɪ
emdiği	æmdijˈɪ
emerler	emɛrlˈɛr
emilimini	emiliminˈɪ
emirliğin	emɪrlijˈɪn
emniyetini	æmnijetinˈɪ
emretmiş	æmrɛtmˈɪʃ
emzirme	æmzˈɪrmɛ
enderdir	ændˈɛrdɪr
endişelenir	ændiʃelenˈɪr
endişelerinden	ændiʃeleɾɪndˈæn
enerjideki	enɛrʒidekˈɪ
enerjiler	enɛrʒilˈɛr
engelle	ænɟˈællɛ
engellemekte	ænɟællemɛktˈɛ
engellenmektedir	ænɟællænmɛktˈedɪr
engellenmesine	ænɟællænmesinˈɛ
enkarnasyonu	ænkarnasjonˈʊ
enkazın	ænkazˈɯn
enkazını	ænkazɯnˈɯ
enstrümanlarla	ænstrymanɫˈarɫa
enstrümanın	ænstrˈymanɯn
enterferans	æntɛrfeɾˈans
enternasyonal	æntɛrnasjonˈaɫ
enzimini	ænziminˈɪ
epigenetik	epiɟenetˈɪk
erdemleri	ɛrdæmleɾˈɪ
erdemlerini	ɛrdæmleɾinˈɪ
erimesine	eɾimesinˈɛ
eritmek	eɾɪtmˈɛk
erişilebilirlik	eɾiʃilebilɪrlˈɪk
erişimli	eɾˈiʃɪmlɪ
erişirler	eɾiʃɪrlˈɛr
erişkinlerin	eɾɪʃkɪnleɾˈɪn
ermeniler	ɛrmenilˈɛr
ertelemek	ɛrtelemˈɛk
ertelenir	ɛrtelenˈɪr
eserlerdeki	esɛrlɛrdekˈɪ
eskisidir	ɛskisˈidɪr
etiketini	etiketinˈɪ
etiketlenen	etikɛtlenˈæn
etiketlenmiştir	etikɛtlænmˈɪʃtɪr
etkilenmemiştir	ɛtkilænmemˈɪʃtɪr
etkinlikteki	ɛtkɪnlɪktekˈɪ
etkisizdir	ɛtkˈisɪzdɪr
etmenlere	ɛtmænleɾˈɛ
ettiklerinin	etːɪkleɾinˈɪn
ettirebilmek	etːiɾebɪlmˈɛk
ettirirken	etːiɾˈɪrcæn
ettirirler	etːiɾɪrlˈɛr
ettiriyor	etːiɾˈijɔr
ettirmeden	etːˈɪrmedæn
ettirmesini	etːɪrmesinˈɪ
evcilleştirme	ɛvd͡ʒɪllˈɛʃtɪrmɛ
evlatları	ɛvɫatɫaɾˈɯ
evlatlığı	ɛvɫatɫɯɯˈɯ
evliliklerine	ɛvlilɪkleɾinˈɛ
evrelerine	ɛvreleɾinˈɛ
evreyi	ˈɛvrejɪ
evrimci	ɛvrɪmd͡ʒˈɪ
eyaletlerdeki	ejalɛtlɛrdekˈɪ
eyvan	ɛjvˈan
eyâlet	ejalˈɛt
eğimini	ejiminˈɪ
eğitimdir	ejˈitɪmdɪr
eğitimlerin	ejitɪmleɾˈɪn
eğitimlerle	ejitɪmlˈɛrlɛ
eğitmiş	ejɪtmˈɪʃ
eğlencelere	ɛjlænd͡ʒeleɾˈɛ
eğlenceyi	ɛjlˈænd͡ʒɛjɪ
eğlenmeye	ɛjlˈænmejɛ
eğmek	ɛjmˈɛk
eğriliği	ɛjɾilijˈɪ
eğrisine	ɛjɾisinˈɛ
eşeysel	eʃɛjsˈæl
eşitsizliğini	eʃɪtsɪzlijinˈɪ
eşiğinden	eʃijɪndˈæn
eşleşmeyi	ɛʃlˈɛʃmejɪ
eşleştirilir	ɛʃlɛʃtiɾilˈɪr
fabrikalarını	fabrikaɫaɾɯnˈɯ
fabrikayı	fabrikajˈɯ
faciası	fad͡ʒiasˈɯ
fakirler	fakɪrlˈɛr
faktörlerdir	faktœrlˈɛrdɪr
farklılığa	farkɫɯɫɯɯˈa
farları	farɫaɾˈɯ
fars	fˈars
faydalanmaya	fajdaɫˈanmaja
faydalanmayı	fajdaɫˈanmajɯ
faziletli	fazilɛtlˈɪ
fazlaya	fˈazɫaja
federasyonda	fedeɾasjɔndˈa
felaketlerden	feɫakɛtlɛrdˈæn
fenotipik	fenotipˈɪk
fermiyon	fɛrmijˈɔn
ferromanyetik	fɛrromanjetˈɪk
fertlerinin	fɛrtleɾinˈɪn
feshi	fɛshˈɪ
festivallerinden	fɛstivaɫleɾɪndˈæn
fethedilmesi	fɛthedɪlmesˈɪ
fethedilmiştir	fɛthedɪlmˈɪʃtɪr
fevkalâde	fɛvkaladˈɛ
fibrin	fɪbrˈɪn
figüre	fiɟyɾˈɛ
fikrinde	fɪkrɪndˈɛ
filmlerdir	fɪlmlˈɛrdɪr
filtrelerin	fɪltreleɾˈɪn
finansmanını	finansmanɯnˈɯ
firavuna	fiɾavunˈa
fizikle	fizˈɪklɛ
fizikçidir	fizɪkt͡ʃˈidɪr
fizyon	fɪzjˈɔn
fişeklerin	fiʃɛkleɾˈɪn
florin	fɫoɾˈɪn
fonolojik	fonoɫoʒˈɪk
formasyonlar	fɔrmasjɔnɫˈar
fosforun	fɔsfoɾˈʊn
fosillerinin	fosɪlleɾinˈɪn
fraksiyonel	fraksijonˈæl
frekansların	frekansɫaɾˈɯn
frekanslarını	frekansɫaɾɯnˈɯ
fuara	fuaɾˈa
fuarda	fuardˈa
futbolcularla	fʊtbɔɫd͡ʒuɫˈarɫa
fıkraları	fɯkraɫaɾˈɯ
fıkrası	fɯkrasˈɯ
fırıl	fɯɾˈɯɫ
fırınında	fɯɾɯnɯndˈa
gafil	ɡafˈɪl
gagalarını	ɡaɡaɫaɾɯnˈɯ
galaksiden	ɡaɫaksidˈæn
galibiyetlerle	ɡalibijɛtlˈɛrlɛ
ganimetleri	ɡanimɛtleɾˈɪ
garantiye	ɡaɾantijˈɛ
gaspçı	ɡaspt͡ʃˈɯ
gazabından	ɡazabɯndˈan
gazeteciliğin	ɡazeted͡ʒilijˈɪn
gazına	ɡazɯnˈa
gecikmenin	ɟed͡ʒˈɪkmenɪn
gecikmesini	ɟed͡ʒɪkmesinˈɪ
geciktirmek	ɟed͡ʒɪktɪrmˈɛk
geldiniz	ɟældinˈɪz
gelebilmiş	ɟelebɪlmˈɪʃ
geleceklerdir	ɟeled͡ʒɛklˈɛrdɪr
geleceğinde	ɟeled͡ʒejɪndˈɛ
geleceğiyle	ɟeled͡ʒejˈɪjlɛ
gelememiştir	ɟelememˈɪʃtɪr
geleneklerle	ɟelenɛklˈɛrlɛ
gelişimlerine	ɟeliʃɪmleɾinˈɛ
gelişirken	ɟeliʃˈɪrcæn
gelişiyordu	ɟeliʃˈijɔrdʊ
gelişmelerine	ɟelɪʃmeleɾinˈɛ
geliştirebilmek	ɟelɪʃtiɾebɪlmˈɛk
gelmezler	ɟælmɛzlˈɛr
