جي	ɟˈeː
مڃن	məɲˈʌn
مڏ	mˈʌɖ
مڙهي	mər.ˈʌhi
مڪو	mˈʌkoː
مڱڻي	mˌəŋ̩ˈʌɳi
نابالغ	naːbˈaːləɣ
ناميارن	nˌaːmjaːrˈʌn
ناناڻن	nˌaːnaːɳˈʌn
نشانن	nɪʃˈaːnn
نشونما	nˌəʃoːnˈʌmaː
نقوي	nˈʌqʋi
نهرو	nəhˈʌroː
نوبت	noːbˈʌt̪
نڀائي	nəbʰˈaːi
نک	nˈʌkʰ
هاء	hˈaː
هاسارام	hˌaːsaːrˈaːm
هاڃو	hˈaːɲoː
همدرد	hˌəmədˈʌrd
همه	həmˈʌh
همير	həmˈiːr
هوٿل	hoːʈˈʌl
هوڏي	hˈoːɖi
هيلن	heːlˈʌn
هيمون	heːmˈoːn
وآله	ʋaːlˈʌh
وائس	ʋaːˈɪs
واقعاتي	ʋaːqˈaːt̪i
وجهندو	ʋˌəɟəhˈʌndoː
وريو	ʋˈʌrjoː
وصفون	ʋˌəʂfˈoːn
وقار	ʋəqˈaːr
وهڪرا	ʋˌəhəkˈʌraː
وومين	ʋoːmˈiːn
وياڪرڻ	ʋjˌaːkərˈʌɳ
ويلٿ	ʋeːlˈʌʈ
ويڙهاڪ	ʋˌeːr.hˈaːk
وٿي	ʋˈʌtʰi
وڇون	ʋəcʰˈoːn
وڌل	ʋədʰˈʌl
وڏيري	ʋəɖˈiːri
وڙھي	ʋˈʌr.hi
وڪٽوريه	ʋˌəkʈoːrˈiːh
وڳوڙ	ʋəɡˈoːr.
يادگيري	jˌaːdɡˈiːri
ياسر	jaːsˈʌr
ينگ	jˈʌnɡ
يڪسان	jˌəksˈaːn
ٺهندڙ	ʈʰˌəhəndˈʌr.
ٺھرائي	ʈʰˌəhrˈaːi
ٻنڌ	bˈʌndʰ
ٻوڏن	boːɖˈʌn
ٻيرن	beːrˈʌn
ٻڌائن	bˌədʰaːˈɪn
ٻڌبو	bˌədʰbˈoː
ٽاڊ	ʈˈaːɖ
ٽرانس	ʈərˈaːns
ٽم	ʈˈʌm
ٽنھي	ʈˈʌnhi
ٽيھ	ʈˈeːh
ٽپو	ʈˈʌpoː
ٽڪرائجي	ʈˌəkraːˈɪɟi
ٽڻ	ʈˈʌɳ
پاشا	pˈaːʃaː
پانيل	pˈaːnjal
پاڇي	pˈaːcʰi
پاڻيٺ	paːɳˈiːʈʰ
پبلشنگ	pˌəbələʃˈʌnɡ
پدم	pədˈʌm
پرائڻ	pˌəraːˈɪɳ
پراجيڪٽ	pˌəraːɟikˈʌʈ
پرايائين	pˌəraːjaːˈiːn
پردا	pˈʌrdaː
پروفيشنل	pˌəroːfˌiːʃənˈʌl
پرولي	pərˈoːli
پرچارڪ	pˌərcaːrˈʌk
پرڏيھي	pˌərɖˈiːhi
پرڪشش	pˌərəkəʃˈʌʃ
پنهون	pˌənhˈuːn
پنٿ	pənˈʌʈ
پوپ	pˈoːp
پوپٽ	poːpˈʌʈ
پوکبا	pˌoːkʰbˈaː
پيشوا	pˈeːʃʋaː
پيڙهه	pˌeːr.əhˈʌh
پٽاندڙ	pˌəʈaːndˈʌr.
پٽڪو	pəʈˈʌkoː
پڙاڏو	pər.ˈaːɖoː
پکڙيو	pəkʰˈʌr.joː
ٿائيلينڊ	tʰˌaːilˈiːnɖ
ٿرڙي	ʈərˈʌr.i
ٿڪ	ʈˈʌk
ڀاء	bʰˈaː
ڀيٽي	bʰˈeːʈi
ڀڃڻ	bʰəɲˈʌɳ
ڄامن	ɟaːmˈʌn
چؤسٽا	cˌəa͡ʊsˈʌʈaː
چارٽر	cˌaːrəʈˈʌr
چانڊين	caːnɖˈiːn
چاهين	caːhˈiːn
چاڙھيو	cˈaːr.hjoː
چناب	cənˈaːb
چوان	cʋˈaːn
چواڻي	cʋˈaːɳi
چورن	coːrˈʌn
ڇانئجي	cʰaːnˈʌɟi
ڇپائڻ	cʰˌəpaːˈɪɳ
ڇڄ	cʰˈʌɟ
ڊائون	ɖaːˈoːn
ڊبلن	ɖˌəbəlˈʌn
ڊھي	ɖˈʌhi
ڌوڙ	dʰˈoːr.
ڌيئرن	dʰeːˈɪrən
ڌيئرون	dʰeːˈɪroːn
ڌيوت	dʰjˈoːt̪
ڏاند	ɖˈaːnd
ڏبي	ɖəbˈiː
ڏسبا	ɖˌɪsbˈaː
ڏسن	ɖɪsˈʌn
ڏيئا	ɖˈeːaː
ڏھين	ɖəhˈiːn
ڦرندو	pʰərˈʌndoː
ڦرندي	pʰərˈʌndi
ڦول	pʰˈoːl
ڦولن	pʰoːlˈʌn
ڦٽندو	pʰəʈˈʌndoː
ڦھلجي	pʰˌəhəlˈʌɟi
کائنس	kʰaːˈɪns
کانپوء	kʰˈaːnpoː
کرب	kʰərˈʌb
کليو	kʰˈʌljoː
کوٽايو	kʰoːʈˈaːjoː
کيتي	kʰˈeːt̪i
کيڏيو	kʰˈeːɖjoː
کٽا	kʰˈʌʈaː
ڪالاباغ	kˌaːlaːbˈaːɣ
ڪرين	kərˈiːn
ڪعب	kˈaːb
ڪماري	kəmˈaːri
ڪمپنيون	kˌəmpənjˈoːn
ڪنفيڊريشن	kˌənfˌiːɖriʃˈʌn
ڪنواري	kənʋˈaːri
ڪنگراڻي	kˌənɡərˈaːɳi
ڪوئلو	koːˈɪloː
ڪوئپر	koːˈɪpər
ڪورائي	koːrˈaːi
ڪونھي	kˈoːnhi
ڪوه	kˈoːh
ڪوڪ	kˈoːk
ڪيريبين	kˌeːribˈiːn
ڪيلي	kˈeːli
ڪيمسٽري	kˌeːməsəʈˈʌri
ڪينجھر	kˌeːnəɟəhˈʌr
ڪٽيل	kˈʌʈjal
ڪچهريون	kˌəcəhərjˈoːn
ڪڍيائين	kˌəɖʰjaːˈiːn
گاني	ɡˈaːni
گرفتاري	ɡˈɪrɪftˌaːri
گلي	ɡˈʌli
گندي	ɡˈʌndi
گهميل	ɡəhˈʌmjal
گهوٽڪي	ɡˌəhoːʈˈʌki
گهڙيال	ɡˌəhər.jˈaːl
گوشه	ɡoːʃˈʌh
گولن	ɡoːlˈʌn
گولڊن	ɡˌoːləɖˈʌn
گوڪل	ɡoːkˈʌl
گيڙو	ɡˈeːr.oː
گڻ	ɡˈʌɳ
ڳوڙهين	ɡˌoːr.hˈiːn
ھاجرہ	hˌaːɟərˈʌh
ھلائي	həlˈaːi
ھلڻ	həlˈʌɳ
ھند	hˈʌnd
ھول	hˈoːl
ھير	hˈeːr
ھڪجھڙائي	hˌəkəɟˌəhr.ˈaːi
آئلينڊز	ˌaːɪlinɖˈʌz
آجو	ˈaːɟoː
آخرين	ˌaːxrˈiːn
آرپار	ˌaːrpˈaːr
آرڊيننس	ˌaːrɖinˈʌns
آمدرفت	ˌaːmədˌərəfˈʌt̪
آگرو	aːɡˈʌroː
ائٽلانٽڪ	ˌaʈlˌaːnəʈˈʌk
ابراھيم	ˌabraːhˈiːm
ابوالفضل	abʋˈaːləfˌəzəl
اترپرديش	ˌat̪ərˌəprdˈiːʃ
اتساهه	ˌat̪saːhˈʌh
اذان	azˈaːn
ازبڪستان	ˌazəbˌəkˈɪstaːn
استعفي	ast̪ˈaːfi
اسدالله	ˌasdˌaːləlˈʌh
اسڪالرشپ	ˌaskˌaːlərəʃˈʌp
اشتهار	ˌɪʃtɪhˈaːr
اصحابي	ˌaʂhaːbˈiː
اصلوڪن	ˌaʂloːkˈʌn
اصولي	ʊʂˈuːli
اطمينان	ˌatminˈaːn
افاديت	ˌafaːdˈiːt̪
افتخار	ˌɪftɪxˈaːr
الحال	ˌalhˈaːl
الفا	alˈʌfaː
الفضل	ˌaləfəzˈʌl
اللو	alˈʌloː
الهامي	ˌalhˈaːmi
الھيار	ˌalhjˈaːr
انتشار	ˌɪntɪʃˈaːr
اندلس	ˌandəlˈʌs
انفرا	ˌanəfˈʌraː
انومان	ˌanoːmˈaːn
اهتمام	ˌahət̪mˈaːm
اهنسا	ahˈʌnsaː
اوس	ˈuːs
اوندهه	ˌuːndəhˈʌh
اونھي	ˈuːnhi
ايسوسيئيٽ	ˌeːsoːsiˈiːʈ
ايسڊ	eːsˈʌɖ
ايشياٽڪ	ˌeːʃjaːʈˈʌk
ايماندار	ˌeːmaːndˈaːr
اينڊروئيڊ	ˌeːnɖəroːˈiːɖ
ايٽمن	ˌeːʈəmˈʌn
ايپل	eːpˈʌl
ايٿوپيا	eːtʰˈoːpjaː
ايڊيشنل	ˌeːɖiʃənˈʌl
ايڌي	ˈeːdʰi
ايڪ	ˈeːk
ايڪس	eːkˈʌs
ايڪي	ˈeːki
اٽل	aʈˈʌl
اڀو	ˈabʰoː
اڀي	ˈabʰi
اچيو	ˈacjoː
اڇن	acʰˈʌn
اڪادمي	ˌakaːdˈʌmi
اڻبڻت	ˌaɳəbəɳˈʌt̪
ایک	ˈeːkʰ
بائيٽ	bˈaːiʈ
بادشاھتون	bˈaːdʃˌaːht̪ˌoːn
بادشاھن	bˈaːdʃˌaːhən
بارگاهه	bˈaːrɡˌaːhəh
بانيڪار	bˈaːnikˌaːr
بانيڪارن	bˈaːnikˌaːrən
بخشڻ	bˌəxəʃˈʌɳ
بخوبي	bˌəxoːbˈiː
بدعت	bədˈaːt̪
برادرس	bˌəraːdərˈʌs
برتري	bˌərət̪ˈʌri
بطوطا	bətˈoːtaː
بعض	bˈaːz
بـ	bˈeːlˈetəcʰˈahacˈaːrbˈʊr.i
بليدي	bəlˈiːdi
بوٽ	bˈoːʈ
بيانن	bjˈaːnən
بينظيرآباد	bˈeːnʐˌiːraːbˈaːd
بينگ	bˈeːnɡ
بڪين	bəkˈiːn
بگاڙ	bəɡˈaːr.
بگهڙ	bˌəɡəhˈʌr.
بڻايائين	bˌəɳaːjaːˈiːn
بھاولپور	bˌəhaːˌoːlpˈoːr
تاحيات	t̪ˌaːhiˈaːt
تبتي	t̪əbˈʌt̪i
تجزئي	t̪ˌəɟəzˈʌi
تجنيس	t̪ˌəɟnˈiːs
تذڪرن	t̪ˌəzəkərˈʌn
ترديد	t̪ərdˈiːd
ترڪستان	t̪ˌərəkˈɪstaːn
تقاضا	t̪əqˈaːzaː
تمر	t̪əmˈʌr
توجھ	t̪oːɟˈʌh
تکو	t̪ˈʌkʰoː
تڪڙ	t̪əkˈʌr.
تھذيبن	t̪ˌəhzibˈʌn
ثنا	sˈʌnaː
جاگرافيدان	ɟˌaːɡrˌaːfidˈaːn
جبران	ɟˌəbrˈaːn
جذبا	ɟˌəzbˈaː
جرنيل	ɟərˈʌnjal
جسمم	ɟˌəsəmˈʌm
جسڪاڻي	ɟˌəskˈaːɳi
جليل	ɟˈʌljal
جماليات	ɟˌəmaːliˈaːt
جنون	ɟənˈoːn
جنيوا	ɟˈʌnjʋaː
جهرڪن	ɟˌəhərəkˈʌn
جهم	ɟəhˈʌm
جوڊيشل	ɟˌoːɖiʃˈʌl
جوڙيندو	ɟoːr.ˈiːndoː
جيتريون	ɟˌeːt̪rjˈoːn
جڳهہ	ɟˌəɡəhˈʌh
جھانگير	ɟˌəhaːnɡˈiːr
حاجب	haːɟˈʌb
حالانڪ	hˌaːlaːnˈʌk
حسد	həsˈʌd
حفاظتي	hˌəfaːʐˈʌt̪i
حفظ	həfˈʌʐ
خاصو	xˈaːʂoː
خانقاه	xˌaːnqˈaːh
خبردار	xˌəbrdˈaːr
خدائن	xˌədaːˈɪn
خنساء	xˈʌnsaː
خواجن	xʋaːɟˈʌn
خيالات	xjˌaːlˈaːt
دائم	daːˈɪm
دراز	dərˈaːz
دوڙ	dˈoːr.
دينيات	dˌeːniˈaːt
دھشلا	dˌəhəʃˈʌlaː
ذڪريا	zəkˈʌrjaː
رئفلس	rˌəfəlˈʌs
رائس	raːˈɪs
ربذه	rˌəbəzˈʌh
رجسٽرار	rˌəɟəsˌəʈrˈaːr
رخصت	rˈʊxʂət̪
رشتا	rˈʌʃt̪aː
رضاڪار	rˌəzaːkˈaːr
رغبت	rˌəɣəbˈʌt̪
رهايو	rəhˈaːjoː
رو	rˈoː
ريج	rˈeːɟ
رٿيل	rˈʌtʰjal
رڪ	rˈʌk
رڪني	rəkˈʌni
رڳ	rˈʌɡ
زناني	zənˈaːni
زهري	zəhˈʌri
زيوس	zjˈoːs
سائل	saːˈɪl
سامراجي	sˌaːmrˈaːɟi
سراسر	sˌəraːsˈʌr
سرمائيدارن	sˌərmˌaːidaːrˈʌn
سروسز	sˌəroːsˈʌz
سرڪٽ	sˌərəkˈʌʈ
سعدي	sˈaːdi
سلمه	sˌələmˈʌh
سليس	səlˈiːs
سماچار	sˌəmaːcˈaːr
سمجهايو	sˌəməɟhˈaːjoː
سموادي	səmʋˈaːdi
سمون	səmˈoːn
سنڌيت	sɪndhˈiːt̪
سوارن	sʋaːrˈʌn
سودا	sˈoːdaː
سوڍو	sˈoːɖʰoː
سوڍي	sˈoːɖʰi
سيمي	sˈeːmi
سيکارڻ	sˌeːkʰaːrˈʌɳ
سٺيون	səʈʰjˈoːn
سٿين	sətʰˈiːn
سڌار	sədʰˈaːr
سڏائين	sˌəɖaːˈiːn
سڏايو	səɖˈaːjoː
سگهيون	sˌəɡhjˈoːn
سگھيا	sˈʌɡʰjaː
شارٽ	ʃaːrˈʌʈ
شاھد	ʃaːhˈʌd
شبد	ʃəbˈʌd
شعاع	ʃˈaːaː
شناخت	ʃənˈaːxt̪
شيدي	ʃˈeːdi
شڪاگو	ʃəkˈaːɡoː
شھباز	ʃˌəhbˈaːz
شھتيرن	ʃˌəht̪irˈʌn
صحارا	ʂəhˈaːraː
صليبي	ʂˌəlibˈiː
صورتخطي	ʂˌoːrət̪əxˈʌti
طباعت	təbˈaːaːt̪
طرفدار	tˌərəfdˈaːr
طواف	tʋˈaːf
طوھر	toːhˈʌr
عبدالقيوم	ˌabdˌaːlqjˈoːm
علاؤالدين	ˌalaːˌa͡ʊaːldˈiːn
عمدا	amˈʌdaː
عيب	aˈiːb
عينيه	ˌainˈiːh
غيرجانبدار	ɣˌeːrɟˈaːnɪbdˌaːr
فتحن	fˌət̪əhˈʌn
فحش	fəhˈʌʃ
فرمانبرداري	fˌərmˌaːnbərdˈaːri
فرنيچر	fˌərnicˈʌr
فرياد	fərjˈaːd
فقهه	fˌəqəhˈʌh
فقيري	fəqˈiːri
فورسز	fˌoːrəsˈʌz
فيسٽيول	fˌeːsʈjˈoːl
قافلو	qaːfˈʌloː
قاهره	qˌaːhərˈʌh
قبوليو	qəbˈoːljoː
قدس	qədˈʌs
قراقرم	qˌəraːqərˈʌm
قطع	qˈʌtaː
قميص	qəmˈiːʂ
قنوج	qənˈoːɟ
قومپرستي	qˌoːmpərˈʌst̪i
لائيٽ	laːˈiːʈ
لازوال	laːzʋˈaːl
لافاني	laːfˈaːni
لاڳاتار	lˌaːɡaːt̪ˈaːr
لتاڙي	lət̪ˈaːr.i
لطيفي	lətˈiːfi
لغارين	lˌəɣaːrˈiːn
لهن	ləhˈʌn
لوهار	loːhˈaːr
لٽي	lˈʌʈi
لڌل	lədʰˈʌl
مائٽي	mˈaːʈi
ماديت	maːdˈiːt̪
مالش	maːlˈʌʃ
مايي	mˈaːji
ماڻيندڙ	mˌaːɳindˈʌr.
ماھرين	mˌaːhrˈiːn
ماھوار	maːhʋˈaːr
مجلسون	mˌəɟəlsˈoːn
محاوري	mˌəhaːˈoːri
محڪمي	mˌəhəkˈʌmi
مخفف	mʊxˈaffaf
مدرس	mˌədərˈʌs
مراٺي	mərˈaːʈʰi
مرحلا	mˌərəhˈʌlaː
مرهٽن	mˌərəhəʈˈʌn
مزدوري	mˌəzdˈuːri
مشروب	mˌəʃrˈuːb
مصنوعات	mˌəʂnʋˈaːt̪
مطلع	mətˈʌlaː
مظھر	mˌəʐəhˈʌr
معاملات	mˌaːməlˈaːt
معبود	maːbˈoːd
معذور	maːzˈoːr
معراج	maːrˈaːɟ
معروضي	maːrˈoːzi
معصومي	maːʂˈoːmi
معلم	maːlˈʌm
مغيره	mˌəɣirˈʌh
مفعول	mˌəfaːˈoːl
مفڪرن	mˌəfəkərˈʌn
مفھوم	mˌəfhˈuːm
مقدما	mʊqˈadmaː
ملاحن	mˌəlaːhˈʌn
ملت	məlˈʌt̪
ململ	mˌələmˈʌl
منات	mˌənˈaːt
منجھس	mˌənəɟəhˈʌs
منش	mənˈʌʃ
منصوري	mˌənʂˈuːri
منٽو	mənˈʌʈoː
مهذب	mˌəhəzˈʌb
موج	mˈoːɟ
مودودي	moːdˈoːdi
موهي	mˈoːhi
موھن	moːhˈʌn
ميرا	mˈeːraː
ميسوپوٽيميا	mˌeːsoːpoːʈˈiːmjaː
مٺڻ	məʈʰˈʌɳ
مٽجي	məʈˈʌɟi
مڃائي	məɲˈaːi
مڌيا	mˈʌdʰjaː
نئيون	nəjˈoːn
نارايڻ	nˌaːraːˈiːɳ
نافرماني	nˌaːfərmˈaːni
ناٺي	nˈaːʈʰi
نتاشا	nət̪ˈaːʃaː
نرمي	nərˈʌmi
نستعليق	nˌəst̪aːlˈiːq
نشيني	nəʃˈiːni
نصابي	nˌəʂaːbˈiː
نظرداري	naʐˈardaːrˌiː
نظرن	naʐˈarn
نفعي	nəfˈaːi
نقطا	nəqˈʌtaː
نويسن	nʋeːsˈʌn
نوڪريون	nˌoːkrjˈoːn
نيوزيلينڊ	njˌoːzilˈiːnɖ
نيوڪليائي	njˌoːkljˈaːi
نڪو	nˈʌkoː
هالائي	haːlˈaːi
هدايتڪاري	hˌədaːˌiːt̪kˈaːri
هنگلاج	hˌənɡəlˈaːɟ
هيڪاري	heːkˈaːri
هيڪٽر	hˌeːkəʈˈʌr
هٽلر	hˌəʈəlˈʌr
وادين	ʋaːdˈiːn
واسديو	ʋaːsˈʌdjoː
وجهبو	ʋˌəɟəhəbˈoː
ورج	ʋərˈʌɟ
ورزي	ʋərˈʌzi
وعظ	ʋˈaːʐ
وقوع	ʋˈʌquː
وليج	ʋəlˈiːɟ
ونگن	ʋənɡˈʌn
وهنجڻ	ʋˌəhənəɟˈʌɳ
ويجھ	ʋeːɟˈʌh
ويلنٽائن	ʋˌeːlənʈaːˈɪn
ويٽنامي	ʋˌeːʈnˈaːmi
وٺرائڻ	ʋˌəʈʰraːˈɪɳ
وٺنديون	ʋˌəʈʰndjˈoːn
وڄي	ʋˈʌɟi
وڌن	ʋədʰˈʌn
وڌيا	ʋˈʌdʰjaː
وک	ʋˈʌkʰ
وڳڻ	ʋəɡˈʌɳ
يرقان	jˌərqˈaːn
يني	jˈʌni
ٺاهيندي	ʈʰaːhˈiːndi
ٺهرائڻ	ʈʰˌəhəraːˈɪɳ
ٺڪراٺو	ʈʰˌəkrˈaːʈʰoː
ٺھندا	ʈʰəhˈʌndaː
ٺھندو	ʈʰəhˈʌndoː
ٺھيو	ʈʰˈʌhjoː
ٻاجهري	bˌaːɟəhˈʌri
ٻاهرئين	bˌaːhərˈiːn
ٻري	bˈʌri
ٻرڻ	bərˈʌɳ
ٻنيون	bənjˈoːn
ٻهراڙي	bˌəhərˈaːr.i
ٻيجل	beːɟˈʌl
ٻيڻي	bˈeːɳi
ٻڌائيندي	bˌədʰaːˈiːndi
ٽائمز	ʈˌaːɪmˈʌz
ٽاڪرو	ʈaːkˈʌroː
ٽري	ʈˈʌri
ٽيمپل	ʈeːmpˈʌl
پ	pˈeː
پائليٽ	pˌaːɪlˈiːʈ
پائونڊن	pˌaːoːnɖˈʌn
پائيندو	paːˈiːndoː
پانيلن	pˌaːnilˈʌn
پانڌي	pˈaːndʰi
پاڻهئي	pˌaːɳəhˈʌi
پختي	pˈʌxt̪i
پربت	pˌərəbˈʌt̪
پرديس	pərdˈiːs
پرستن	pˌərəst̪ˈʌn
پرنسلي	pˌərənsˈʌli
پرنٽر	pˌərənəʈˈʌr
پريفيڪچر	pˌərifˌiːkəcˈʌr
پسندن	pˌəsəndˈʌn
پلاڻ	pəlˈaːɳ
پمفليٽ	pˌəməflˈiːʈ
پناه	pənˈaːh
پهچندا	pˌəhəcˈʌndaː
پورب	poːrˈʌb
پورن	poːrˈʌn
پوڙهو	poːr.ˈʌhoː
پيئجي	peːˈɪɟi
پيتو	pˈeːt̪oː
پيرا	pˈeːraː
پيغمبرن	pˌeːɣəmbərˈʌn
پيڙهي	peːr.ˈʌhi
پٹ	pˈʌʈ
پٽڙو	pəʈˈʌr.oː
پٿريلي	pˌəʈrˈiːli
پگهر	pˌəɡəhˈʌr
پیدا	pˈeːdaː
ٿوهر	tʰoːhˈʌr
ڀائيچارو	bʰˌaːicˈaːroː
ڀائٽي	bʰˈaːʈi
ڀرائي	bʰərˈaːi
ڀريون	bʰərjˈoːn
ڀل	bʰˈʌl
ڀي	bʰˈeː
ڀيلن	bʰeːlˈʌn
ڀيم	bʰˈeːm
ڀڃڪڙي	bʰˌəɲəkˈʌr.i
ڀڳوت	bʰəɡˈoːt̪
ڄاڙي	ɟˈaːr.i
ڄاڻندو	ɟaːɳˈʌndoː
ڄمائي	ɟəmˈaːi
ڄڻڪ	ɟəɳˈʌk
چارڻن	cˌaːrəɳˈʌn
چاهيان	caːhjˈaːn
چاڙهه	cˌaːr.əhˈʌh
چرخي	cərˈʌxi
چرين	cərˈiːn
چشم	cəʃˈʌm
چوندي	cˈoːndi
چيون	cjˈoːn
ڇنڊ	cʰˈʌnɖ
ڇٽ	cʰˈʌʈ
ڇپرائي	cʰˌəprˈaːi
ڇڊي	cʰˈʌɖi
ڇڪجي	cʰəkˈʌɟi
ڊائريا	ɖaːˈɪrjaː
ڊائريڪٽوريٽ	ɖˌaːɪrˌiːkʈoːrˈiːʈ
ڊاهي	ɖˈaːhi
ڊسپينسري	ɖˌəspinsˈʌri
ڊفينس	ɖəfˈiːns
ڊڪ	ɖˈʌk
ڌاڳن	dʰaːɡˈʌn
ڌمڪي	dʰəmˈʌki
ڏاڏا	ɖˈaːɖaː
ڏاڪي	ɖˈaːki
ڏجين	ɖəɟˈiːn
ڏسجن	ɖˌɪsəɟˈʌn
ڏسندڙ	ɖˌɪsəndˈʌr.
ڏنگ	ɖˈʌnɡ
ڏوهن	ɖoːhˈʌn
ڏيکاريندا	ɖˌeːkʰaːrˈiːndaː
ڏھون	ɖəhˈoːn
ڙي	r.ˈeː
ڦاهي	pʰˈaːhi
ڦڙا	pʰˈʌr.aː
کائجن	kʰˌaːɪɟˈʌn
کلون	kʰəlˈoːn
کوجنائون	kʰˌoːɟnaːˈoːn
کوٽيل	kʰˈoːʈjal
کوٽڻ	kʰoːʈˈʌɳ
کوپڙي	kʰoːpˈʌr.i
کٻي	kʰˈʌbi
کپري	kʰəpˈʌri
کڏن	kʰəɖˈʌn
ڪارگل	kˌaːrəɡˈʌl
ڪاف	kˈaːf
ڪالا	kˈaːlaː
ڪامورن	kˌaːmoːrˈʌn
ڪانڀو	kaːnˈʌbʰoː
ڪانگن	kaːnɡˈʌn
ڪاڻ	kˈaːɳ
ڪبا	kəbˈaː
ڪتابڙو	kˌɪtaːbˈʌr.oː
ڪرسمس	kˌərəsəmˈʌs
ڪرڻن	kˌərəɳˈʌn
ڪشنچند	kˌəʃəncˈʌnd
ڪفايت	kˌəfaːˈiːt̪
ڪلراٺي	kˌəlrˈaːʈʰi
ڪلھوڙي	kˌəlhˈuːr.i
ڪمپيوٽنگ	kˌəmpjoːʈˈʌnɡ
ڪهي	kˈʌhi
ڪوانٽم	kʋˌaːnəʈˈʌm
ڪورٽون	kˌoːrʈˈoːn
ڪون	kˈoːn
ڪوٺين	koːʈʰˈiːn
ڪوٽا	kˈoːʈaː
ڪوڏي	kˈoːɖi
ڪوڪا	kˈoːkaː
ڪيرائڻ	kˌeːraːˈɪɳ
ڪيسن	keːsˈʌn
ڪيٿائيئرليخ	kˌeːtʰaːiˈɪrlˌiːx
ڪيڏي	kˈeːɖi
ڪپي	kˈʌpi
ڪٿائون	kˌətʰaːˈoːn
ڪڍبو	kˌəɖʰbˈoː
گائيڊ	ɡaːˈiːɖ
گارڊن	ɡˌaːrəɖˈʌn
گذارش	ɡˌəzaːrˈʌʃ
گرمکي	ɡˌərəmˈʌkʰi
گروه	ɡərˈoːh
گري	ɡˈʌri
گرڊرن	ɡˌərəɖərˈʌn
گمنام	ɡˌəmnˈaːm
گنجي	ɡənˈʌɟi
گندگي	ɡəndˈʌɡi
گهوٽالي	ɡˌəhoːʈˈaːli
گهڙڻ	ɡˌəhər.ˈʌɳ
گورڪي	ɡoːrˈʌki
گوپانگ	ɡoːpˈaːnɡ
گپتا	ɡəpˈʌt̪aː
گھرڙيائي	ɡʰˌərr.jˈaːi
گھمڻ	ɡʰəmˈʌɳ
ڳائو	ɡˈaːoː
ڳنڍجي	ɡˌənəɖʰˈʌɟi
ڳولهي	ɡoːlˈʌhi
ڳولهڻ	ɡˌoːləhˈʌɳ
ڳڙ	ɡˈʌr.
ڳڻ	ɡˈʌɳ
ھارون	haːrˈoːn
ھرھڪ	hˌərəhˈʌk
ھميشھ	hˌəmiʃˈʌh
ھنر	hənˈʌr
ھيس	hˈeːs
ھڏڪيون	hˌəɖkjˈoːn
ھڻي	hˈʌɳi
آئرس	ˌaːɪrˈʌs
آئزڪ	ˌaːɪzˈʌk
آئنسٽائن	ˌaːɪnsˌəʈaːˈɪn
آئيس	aːˈiːs
آئيوري	aːjˈoːri
آبائي	aːbˈaːi
آزار	aːzˈaːr
آهوجا	aːhˈoːɟaː
آپ	ˈaːp
آڊيشن	ˌaːɖiʃˈʌn
ابدالي	ˌabdˈaːli
اتهاسن	ˌat̪haːsˈʌn
اثرات	ˌasərˈaːt
اجتماع	ɪɟtˈɪmaː
احد	ˈɛhd
ادل	adˈʌl
اربن	ˌarəbˈʌn
اربين	ˌarbˈiːn
ارتسخ	ˌɪrtɪsˈʌx
ارڙ	arˈʌr.
استحڪام	ˌɪstɛhkˈaːm
اسراڻ	ˌasrˈaːɳ
اسٽائيل	ˌasʈˈaːjal
اسٽيشنن	ˌasʈˌiːʃənˈʌn
اسپتالون	ˌasəpt̪aːlˈoːn
اسڪين	ˌaskˈiːn
اعتدال	ˌeːtɪdˈaːl
افغانن	ˌafɣaːnˈʌn
افقي	afˈʌqi
اقليتي	ˌaqlˈiːt̪i
الائي	alˈaːi
الحسين	ˌaləhsˈiːn
الهاس	ˌalhˈaːs
امامن	ˌamaːmˈʌn
امروٽ	ˌamrˈoːʈ
انر	anˈʌr
انناس	ˌannˈaːs
انڊلٺ	ˌɪnɖəlˈʌʈʰ
انڌي	ˈandʰi
اولاهين	ˌuːlaːhˈiːn
اوليت	uːlˈiːt̪
اوڏن	uːɖˈʌn
ايبرڊين	ˌeːbərɖˈiːn
ايبڪ	eːbˈʌk
ايسرداس	ˌeːsrdˈaːs
اينجلس	ˌeːnəɟəlˈʌs
ايوڌيا	eːˈoːdʰjaː
اچارن	ˌacaːrˈʌn
اگرچ	aɡˈʌrc
اھل	ahˈʌl
بااثر	bˈaːaːsˌər
بابو	bˈaːbˈoː
بارڪ	bˈaːrək
باطن	bˈaːtən
باقائده	bˈaːqaːˌɪdəh
بانسري	bˈaːnsərˌiː
بدرآن	bˌədrˈaːn
بدل	bədˈʌl
بدليل	bədˈʌljal
بدو	bˈʌdoː
براهوي	bərˈaːhʋi
برطانيائي	bˌərtaːnjˈaːi
برقعو	bˌərqˈaːoː
برلن	bˌərəlˈʌn
برهمڻي	bˌərəhəmˈʌɳi
بسنت	bˌəsənˈʌt̪
بشارت	bˌəʃaːrˈʌt̪
بمباري	bəmbˈaːri
بمطابق	bˌəmtaːbˈʌq
بيابان	bjˈaːbˈaːn
بيلي	bˈeːli
بيهاري	bˈeːhaːrˌiː
بيهاريو	bˈeːhaːrjˌoː
بيهوش	bˈeːhoːʃ
بيٺڪي	bˈeːʈʰkˌiː
بٽالين	bˌəʈaːlˈiːn
