а	ɑ
скрутний	skrʊtnɪi̯
скрізь	skrʲizʲ
скубти	skubte
скульптор	skulʲptɔr
скульпторка	skulʲptɔrkɐ
скульптура	skʊlʲpturɐ
скульптурний	skʊlʲpturnei̯
скумбрія	skumbrʲijɐ
скупий	skʊpɪi̯
скуштувати	skʊʃtʊʋɑte
скільки	sʲkʲilʲke
скіф	sʲkʲif
слабий	sɫɐbɪi̯
слабкий	sɫɐbkɪi̯
слабкість	sɫɑbkʲisʲtʲ
слава	sɫɑʋɐ
славити	sɫɑʋete
слати	sɫɑte
слива	sɫɪʋɐ
слизький	sɫezʲkɪi̯
слимак	sɫemɑk
слина	sɫɪnɐ
слобода	sɫɔbɔdɑ
слов'ян	sɫɔʋjɑn
слов'янам	sɫɔʋjɑnɐm
слов'янами	sɫɔʋjɑnɐme
слов'янах	sɫɔʋjɑnɐx
слов'яни	sɫɔʋjɑne
слов'янин	sɫɔʋjɐnɪn
слов'янина	sɫɔʋjɐnɪnɐ
слов'янине	sɫɔʋjɐnɪne
слов'янинові	sɫɔʋjɐnɪnɔʋʲi
слов'янином	sɫɔʋjɐnɪnɔm
слов'янину	sɫɔʋjɐnɪnʊ
слов'янині	sɫɔʋjɐnɪnʲi
слов'янка	sɫɔʋjɑnkɐ
слов'янкам	sɫɔʋjɑnkɐm
слов'янками	sɫɔʋjɑnkɐme
слов'янках	sɫɔʋjɑnkɐx
слов'янки	sɫɔʋjɑnke
слов'янко	sɫɔʋjɑnkɔ
слов'янкою	sɫɔʋjɑnkɔjʊ
слов'янку	sɫɔʋjɑnkʊ
слов'янок	sɫɔʋjɑnɔk
слов'янський	sɫɔʋjɑnʲsʲkei̯
слов'янці	sɫɔʋjɑnʲt͡sʲi
слова	sɫɔʋɐ
слова	sɫɔʋɑ
словак	sɫɔʋɑk
словами	sɫɔʋɑme
словацький	sɫɔʋɑt͡sʲkei̯
словачка	sɫɔʋɑt͡ʃkɐ
словаччина	sɫɔʋɑt͡ʃːenɐ
словенський	sɫɔʋɛnʲsʲkei̯
словенія	sɫɔʋɛnʲijɐ
словечка	sɫɔʋɛt͡ʃkɐ
словечкам	sɫɔʋɛt͡ʃkɐm
словечками	sɫɔʋɛt͡ʃkɐme
словечках	sɫɔʋɛt͡ʃkɐx
словечко	sɫɔʋɛt͡ʃkɔ
словечкові	sɫɔʋɛt͡ʃkɔʋʲi
словечком	sɫɔʋɛt͡ʃkɔm
словечку	sɫɔʋɛt͡ʃkʊ
словечок	sɫɔʋɛt͡ʃɔk
словник	sɫɔu̯nɪk
словника	sɫɔu̯nekɑ
словникам	sɫɔu̯nekɑm
словниками	sɫɔu̯nekɑme
словниках	sɫɔu̯nekɑx
словники	sɫɔu̯nekɪ
словниковий	sɫɔu̯nekɔʋei̯
словникові	sɫɔu̯nekɔʋʲi
словником	sɫɔu̯nekɔm
словнику	sɫɔu̯neku
словників	sɫɔu̯nekʲiu̯
слово	sɫɔwɔ
словосполучення	sɫɔwɔspoɫut͡ʃenʲːɐ
словотвір	sɫɔwɔtʲʋʲir
слон	sɫɔn
слуга	sɫʊɦɑ
служба	sɫuʒbɐ
службовий	sɫʊʒbɔʋei̯
служити	sɫʊʒɪte
служниця	sɫʊʒnɪt͡sʲɐ
слух	sɫux
слухати	sɫuxɐte
слухач	sɫʊxɑt͡ʃ
слухачка	sɫʊxɑt͡ʃkɐ
слухняний	sɫʊxnʲɑnei̯
слуховий	sɫʊxɔʋɪi̯
сльоза	sʲlʲɔzɑ
сльозогінний	sʲlʲɔzoɦʲinːei̯
слюсар	sʲlʲusɐr
слів	sʲlʲiu̯
слівець	sʲlʲiʋet͡sʲ
слівце	sʲlʲiu̯t͡sɛ
слівцем	sʲlʲiu̯t͡sɛm
слівцю	sʲlʲiu̯t͡sʲu
слівця	sʲlʲiu̯t͡sʲɐ
слівця	sʲlʲiu̯t͡sʲɑ
слівцям	sʲlʲiu̯t͡sʲɐm
слівцями	sʲlʲiu̯t͡sʲɐme
слівцях	sʲlʲiu̯t͡sʲɐx
слівці	sʲlʲiu̯t͡sʲi
слівче	sʲlʲiu̯t͡ʃɛ
слід	sʲlʲid
слідкувати	sʲlʲidkʊʋɑte
слідство	sʲlʲid͡zstwɔ
сліпий	sʲlʲipɪi̯
сліпота	sʲlʲipɔtɑ
смажити	smɑʒete
смак	smɑk
смаковий	smɐkɔʋɪi̯
смакові	smɐkɔʋʲi
смаку	smɐku
смаку	smɑkʊ
смалець	smɑɫet͡sʲ
смарагд	smɐrɑɦd
смарагдовий	smɐrɑɦdɔʋei̯
смартфон	smɐrtfɔn
смачний	smɐt͡ʃnɪi̯
смачного	smɐt͡ʃnɔɦɔ
смердіти	smerdʲite
смерека	smerɛkɐ
смертельна	smertɛlʲnɐ
смертельний	smertɛlʲnei̯
смертельної	smertɛlʲnɔji
смертний	smɛrtnei̯
смертність	smɛrtʲnʲisʲtʲ
смертоносний	smertɔnɔsnei̯
смерть	smɛrtʲ
смерч	smɛrt͡ʃ
смоктати	smɔktɑte
смола	smɔɫɑ
смородина	smɔrɔdenɐ
сморід	smɔrʲid
смуга	smuɦɐ
смутний	smʊtnɪi̯
сміливий	sʲmʲiɫeʋei̯
сміливий	sʲmʲiɫɪʋei̯
сміливість	sʲmʲiɫeʋʲisʲtʲ
сміливість	sʲmʲiɫɪʋʲisʲtʲ
смілий	sʲmʲiɫei̯
смітник	sʲmʲitnɪk
сміття	sʲmʲitʲːɐ
сміття	sʲmʲitʲːɑ
сміх	sʲmʲix
смішний	sʲmʲiʃnɪi̯
сміятися	sʲmʲijɑtesʲɐ
сновидіння	snɔʋedʲinʲːɐ
снодійний	snodʲii̯nei̯
снотворний	snɔtwɔrnei̯
сніг	sʲnʲiɦ
снігопад	sʲnʲiɦɔpɑd
сніданок	sʲnʲidɑnɔk
снідати	sʲnʲidɐte
сніжинка	sʲnʲiʒɪnkɐ
сніп	sʲnʲip
собака	sɔbɑkɐ
собачка	sɔbɑkɐ
собор	sɔbɔr
собою	sɔbɔjʊ
собі	sobʲi
собівартість	sɔbʲiʋɑrtʲisʲtʲ
сова	sɔʋɑ
совок	sɔwɔk
совість	sɔʋʲisʲtʲ
сойка	sɔi̯kɐ
сокира	sɔkɪrɐ
сокіл	sɔkʲiɫ
солдат	sɔɫdɑt
солений	sɔɫenei̯
соловей	sɔɫɔʋɛi̯
соловейко	sɔɫɔʋɛi̯kɔ
соловій	sɔɫɔʋʲii̯
солодкий	sɔɫɔdkei̯
солома	sɔɫɔmɐ
соломія	sɔɫomʲijɐ
солідарність	sɔlʲidɑrnʲisʲtʲ
сом	sɔm
сон	sɔn
сонет	sɔnɛt
сонечко	sɔnet͡ʃkɔ
сонце	sɔnt͡se
сонько	sɔnʲkɔ
соня	sɔnʲɐ
сонячна	sɔnʲɐt͡ʃnɐ
сонячний	sɔnʲɐt͡ʃnei̯
соняшник	sɔnʲɐʃnek
соняшниковий	sɔnʲɐʃnekɔʋei̯
сопіти	sopʲite
соратник	sɔrɑtnek
сорго	sɔrɦɔ
сорок	sɔrɔk
сорока	sɔrɔkɐ
сороковий	sɔrɔkɔʋei̯
сором	sɔrɔm
соромливий	sɔrɔmɫɪʋei̯
соромно	sɔrɔmnɔ
сорочка	sɔrɔt͡ʃkɐ
сосна	sɔsnɐ
сосна	sɔsnɑ
сотий	sɔtei̯
сотня	sɔtʲnʲɐ
соус	sɔʊs
софія	sofʲijɐ
софія	sɔfʲijɐ
соха	sɔxɑ
соціальна	sɔt͡sʲiɑlʲnɐ
соціальний	sɔt͡sʲiɑlʲnei̯
соціалізм	sɔt͡sʲiɐlʲizm
соціаліст	sɔt͡sʲiɐlʲist
соціалістична	sɔt͡sʲiɐlʲistɪt͡ʃnɐ
соціалістичний	sɔt͡sʲiɐlʲistɪt͡ʃnei̯
соціалістка	sɔt͡sʲiɐlʲistkɐ
соціологічний	sɔt͡sʲiɔɫoɦʲit͡ʃnei̯
соціологія	sɔt͡sʲiɔɫɔɦʲijɐ
союз	sɔjuz
союзник	sɔjuznek
союзниця	sɔjuznet͡sʲɐ
спадкоємець	spɐdkɔjɛmet͡sʲ
спадкоємиця	spɐdkɔjɛmet͡sʲɐ
спадщина	spɑdʃt͡ʃenɐ
спадщини	spɑdʃt͡ʃene
спалах	spɑɫɐx
спальний	spɑlʲnei̯
спальня	spɑlʲnʲɐ
спаса	spɑsɐ
спасибі	spɐsɪbʲi
спати	spɑte
спека	spɛkɐ
сперма	spɛrmɐ
специфіка	spet͡sɪfʲikɐ
специфікація	spet͡sefʲikɑt͡sʲijɐ
специфікувати	spet͡sefʲikʊʋɑte
специфічний	spet͡sefʲit͡ʃnei̯
специфічно	spet͡sefʲit͡ʃnɔ
спеціальний	spet͡sʲiɑlʲnei̯
спеціальність	spet͡sʲiɑlʲnʲisʲtʲ
спеціалізація	spet͡sʲiɐlʲizɑt͡sʲijɐ
спеціалізувати	spet͡sʲiɐlʲizʊʋɑte
спеціаліст	spet͡sʲiɐlʲist
спина	spɪnɐ
спис	spɪs
список	spɪsɔk
спитати	spetɑte
спланувати	spɫɐnʊʋɑte
сплатити	spɫɐtɪte
сплачувати	spɫɑt͡ʃʊʋɐte
сповільнити	spɔʋʲilʲnete
сповільнювати	spɔʋʲilʲnʲʊʋɐte
сповістити	spɔʋʲistɪte
сповіщати	spɔʋʲiʃt͡ʃɑte
сповіщення	spɔʋʲiʃt͡ʃenʲːɐ
спогад	spɔɦɐd
сподіватися	spɔdʲiʋɑtesʲɐ
споживання	spɔʒeʋɑnʲːɐ
споживати	spɔʒeʋɑte
споживач	spɔʒeʋɑt͡ʃ
споживача	spɔʒeʋɐt͡ʃɑ
споживачка	spɔʒeʋɑt͡ʃkɐ
споживачі	spɔʒeʋɐt͡ʃʲi
споживачів	spɔʒeʋɐt͡ʃʲiu̯
споживчий	spɔʒɪu̯t͡ʃei̯
спожити	spɔʒɪte
спокуса	spokusɐ
спокій	spɔkʲii̯
спокійний	spokʲii̯nei̯
сполучати	spɔɫʊt͡ʃɑte
сполучений	spoɫut͡ʃenei̯
сполучення	spoɫut͡ʃenʲːɐ
сполучити	spɔɫʊt͡ʃɪte
сполучник	spoɫut͡ʃnek
спонукати	sponukɐte
спонукати	spɔnʊkɑte
спора	spɔrɐ
спорожнити	spɔrɔʒnɪte
спорожнювати	spɔrɔʒnʲʊʋɐte
спорожняти	spɔrɔʒnʲɑte
спорт	spɔrt
спортивний	spɔrtɪu̯nei̯
спортсмен	spɔrt͡smɛn
спортсменка	spɔrt͡smɛnkɐ
споруда	sporudɐ
споряджати	spɔrʲɐd͡ʒɑte
спорядити	spɔrʲɐdɪte
спостерегти	spɔstereɦtɪ
спостереження	spɔsterɛʒenʲːɐ
спостерігати	spɔsterʲiɦɑte
спостерігач	spɔsterʲiɦɑt͡ʃ
спостерігачка	spɔsterʲiɦɑt͡ʃkɐ
спосіб	spɔsʲib
спочатку	spɔt͡ʃɑtkʊ
справ	sprɑu̯
справа	sprɑʋɐ
справам	sprɑʋɐm
справами	sprɑʋɐme
справах	sprɑʋɐx
справді	sprɑu̯dʲi
справедливий	sprɐʋedɫɪʋei̯
справедливість	sprɐʋedɫɪʋʲisʲtʲ
справжнє	sprɑu̯ʒnʲe
справжній	sprɑu̯ʒnʲii̯
справи	sprɑʋe
справо	sprɑwɔ
справою	sprɑwɔjʊ
справу	sprɑwʊ
справі	sprɑʋʲi
спрага	sprɑɦɐ
спраглий	sprɑɦɫei̯
сприймати	sprei̯mɑte
сприйняти	sprei̯nʲɑte
сприйняття	sprei̯nʲɐtʲːɑ
сприйняття	sprei̯nʲɑtʲːɐ
спричинити	spret͡ʃenɪte
спричинювати	spret͡ʃɪnʲʊʋɐte
спричиняти	spret͡ʃenʲɑte
сприятливий	sprejɑtɫeʋei̯
спроба	sprɔbɐ
спробувати	sprɔbʊʋɐte
спровокувати	sprɔwɔkʊʋɑte
спрогнозувати	sprɔɦnɔzʊʋɑte
спроможний	sprɔmɔʒnei̯
спроможність	sprɔmɔʒnʲisʲtʲ
спростити	sprɔstɪte
спростовувати	sprɔstɔwʊʋɐte
спростувати	sprɔstʊʋɑte
спрощувати	sprɔʃt͡ʃʊʋɐte
спрямовувати	sprʲɐmɔwʊʋɐte
спрямувати	sprʲɐmʊʋɑte
співавтор	sʲpʲiʋɑu̯tɔr
співавторство	sʲpʲiʋɑu̯tɔrstwɔ
співак	sʲpʲiʋɑk
співати	sʲpʲiʋɑte
співачка	sʲpʲiʋɑt͡ʃkɐ
співбесіда	sʲpʲiu̯bɛsʲidɐ
співбесідник	sʲpʲiu̯besʲidnek
співбесідник	sʲpʲiu̯bɛsʲidnek
співбесідниця	sʲpʲiu̯besʲidnet͡sʲɐ
співбесідниця	sʲpʲiu̯bɛsʲidnet͡sʲɐ
співвітчизник	sʲpʲiʋʲːit͡ʃːɪznek
співгромадянин	sʲpʲiu̯ɦrɔmɐdʲɑnen
співгромадянка	sʲpʲiu̯ɦrɔmɐdʲɑnkɐ
співзасновник	sʲpʲiu̯zɐsnɔu̯nek
співзасновниця	sʲpʲiu̯zɐsnɔu̯net͡sʲɐ
співорганізатор	sʲpʲiwɔrɦɐnʲizɑtɔr
співорганізаторка	sʲpʲiwɔrɦɐnʲizɑtɔrkɐ
співпереживання	sʲpʲiu̯pereʒeʋɑnʲːɐ
співпереживати	sʲpʲiu̯pereʒeʋɑte
співпрацювати	sʲpʲiu̯prɐt͡sʲʊʋɑte
співпраця	sʲpʲiu̯prɑt͡sʲɐ
співробітник	sʲpʲiu̯robʲitnek
співробітництво	sʲpʲiu̯robʲitnet͡stwɔ
співробітниця	sʲpʲiu̯robʲitnet͡sʲɐ
співрозмовник	sʲpʲiu̯rɔzmɔu̯nek
співрозмовниця	sʲpʲiu̯rɔzmɔu̯net͡sʲɐ
співучасник	sʲpʲiwʊt͡ʃɑsnek
співучасть	sʲpʲiwut͡ʃɐsʲtʲ
співчутливий	sʲpʲiu̯t͡ʃʊtɫɪʋei̯
співчуття	sʲpʲiu̯t͡ʃʊtʲːɑ
співіснування	sʲpʲiʋʲisnʊʋɑnʲːɐ
співіснувати	sʲpʲiʋʲisnʊʋɑte
спіднице	sʲpʲidnɪt͡se
спідницею	sʲpʲidnɪt͡sejʊ
спідниць	sʲpʲidnɪt͡sʲ
спідницю	sʲpʲidnɪt͡sʲʊ
спідниця	sʲpʲidnɪt͡sʲɐ
спідницям	sʲpʲidnɪt͡sʲɐm
спідницями	sʲpʲidnɪt͡sʲɐme
спідницях	sʲpʲidnɪt͡sʲɐx
спідниці	sʲpʲidnɪt͡sʲi
спізнитися	sʲpʲiznɪtesʲɐ
спізнюватися	sʲpʲizʲnʲʊʋɐtesʲɐ
спілкування	sʲpʲiɫkʊʋɑnʲːɐ
спілкуватися	sʲpʲiɫkʊʋɑtesʲɐ
спільний	sʲpʲilʲnei̯
спір	sʲpʲir
спірний	sʲpʲirnei̯
спішити	sʲpʲiʃete
спішити	sʲpʲiʃɪte
спішний	sʲpʲiʃnei̯
срака	srɑkɐ
срібло	sʲrʲibɫɔ
срібний	sʲrʲibnei̯
ссавець	sːɐʋɛt͡sʲ
ссавці	sːɐu̯t͡sʲi
ссати	sːɑte
стабільний	stɐbʲilʲnei̯
стабільність	stɐbʲilʲnʲisʲtʲ
стабілізація	stɐbʲilʲizɑt͡sʲijɐ
стабілізувати	stɐbʲilʲizʊʋɑte
ставати	stɐʋɑte
ставатися	stɐʋɑtesʲɐ
ставити	stɑʋete
ставлення	stɑu̯ɫenʲːɐ
стадіон	stɐdʲiɔn
стайня	stɑi̯nʲɐ
стакан	stɐkɑn
сталевий	stɐɫɛʋei̯
сталь	stɑlʲ
стан	stɑn
стандарт	stɐndɑrt
стандартам	stɐndɑrtɐm
стандартами	stɐndɑrtɐme
стандартах	stɐndɑrtɐx
стандарти	stɐndɑrte
стандартизація	stɐndɐrtezɑt͡sʲijɐ
стандартизувати	stɐndɐrtezʊʋɑte
стандартний	stɐndɑrtnei̯
стандартові	stɐndɑrtɔʋʲi
стандартом	stɐndɑrtɔm
стандарту	stɐndɑrtʊ
стандарті	stɐndɑrtʲi
стандартів	stɐndɑrtʲiu̯
становище	stɐnɔʋeʃt͡ʃe
станцій	stɑnʲt͡sʲii̯
станцію	stɑnʲt͡sʲijʊ
станція	stɑnʲt͡sʲijɐ
станціям	stɑnʲt͡sʲijɐm
станціями	stɑnʲt͡sʲijɐme
станціях	stɑnʲt͡sʲijɐx
станціє	stɑnʲt͡sʲije
станцією	stɑnʲt͡sʲijejʊ
станції	stɑnʲt͡sʲiji
станіслав	stɐnʲisɫɑu̯
стар	stɑr
старанний	stɐrɑnːei̯
старання	stɐrɑnʲːɐ
старатися	stɐrɑtesʲɐ
старий	stɐrɪi̯
старик	stɐrɪk
стародавній	stɐrɔdɑu̯nʲii̯
старомодний	stɐrɔmɔdnei̯
старіти	stɐrʲite
старіти	stɑrʲite
статевий	stɐtɛʋei̯
стати	stɑte
статистика	stɐtɪstekɐ
статистичний	stɐtestɪt͡ʃnei̯
стаття	stɐtʲːɑ
статус	stɑtʊs
статут	stɐtut
стать	stɑtʲ
ствол	stwɔɫ
створення	stwɔrenʲːɐ
створити	stwɔrɪte
створювати	stwɔrʲʊʋɐte
стегно	steɦnɔ
стежити	stɛʒete
стезя	stezʲɑ
стеля	stɛlʲɐ
степ	stɛp
стереотип	stereɔtɪp
стерня	sternʲɑ
стероїд	sterɔjid
стефанія	stefɑnʲijɐ
стехіометрія	stexʲiɔmɛtʲrʲijɐ
стигматизація	steɦmɐtezɑt͡sʲijɐ
стиль	stɪlʲ
стильний	stɪlʲnei̯
стилістика	stelʲistekɐ
стилістичний	stelʲistɪt͡ʃnei̯
стимул	stɪmʊɫ
стимулювати	stemʊlʲʊʋɑte
сто	stɔ
стовбур	stɔu̯bʊr
стовп	stɔu̯p
столиця	stɔɫɪt͡sʲɐ
столична	stɔɫɪt͡ʃnɐ
столичний	stɔɫɪt͡ʃnei̯
століттю	stolʲitʲːʊ
століття	stolʲitʲːɐ
століттям	stolʲitʲːɐm
століттями	stolʲitʲːɐme
століттях	stolʲitʲːɐx
столітті	stolʲitʲːi
століть	stolʲitʲ
стоматолог	stɔmɐtɔɫɔɦ
стоматологія	stɔmɐtɔɫɔɦʲijɐ
стомити	stɔmɪte
стомлений	stɔmɫenei̯
стомлювати	stɔmlʲʊʋɐte
стопа	stɔpɑ
сторож	stɔrɔʒ
сторона	stɔrɔnɑ
сторінка	storʲinkɐ
стосовно	stɔsɔu̯nɔ
стояти	stɔjɑte
страва	strɑʋɐ
страж	strɑʒ
страждання	strɐʒdɑnʲːɐ
страждати	strɐʒdɑte
страйк	strɑi̯k
страта	strɑtɐ
стратегічний	strɐteɦʲit͡ʃnei̯
стратегія	strɐtɛɦʲijɐ
страх	strɑx
страховий	strɐxɔʋɪi̯
страхування	strɐxʊʋɑnʲːɐ
страхувань	strɐxʊʋɑnʲ
страхувати	strɐxʊʋɑte
страхіття	strɐxʲitʲːɐ
страшенно	strɐʃɛnːɔ
страшидло	strɐʃɪdɫɔ
страшило	strɐʃɪɫɔ
страшний	strɐʃnɪi̯
стремено	stremenɔ
стремено	stremɛnɔ
стрибати	strebɑte
стрибнути	strebnute
стригти	strɪɦte
стримати	strɪmɐte
стримувати	strɪmʊʋɐte
строїти	strɔjite
структура	strʊkturɐ
структурний	strʊkturnei̯
структурувати	strʊktʊrʊʋɑte
струм	strum
стрункий	strʊnkɪi̯
стріла	stʲrʲiɫɑ
стрілка	stʲrʲiɫkɐ
стріляти	stʲrʲilʲɑte
стрічка	stʲrʲit͡ʃkɐ
стрічки	stʲrʲit͡ʃke
стрічки	stʲrʲit͡ʃkɪ
студенець	stʊdenɛt͡sʲ
студент	stʊdɛnt
студентка	stʊdɛntkɐ
ступати	stʊpɑte
ступити	stʊpɪte
ступінь	stupʲinʲ
стюардеса	sʲtʲʊɐrdɛsɐ
стяг	sʲtʲɑɦ
стіг	sʲtʲiɦ
стіл	sʲtʲiɫ
стілець	sʲtʲiɫɛt͡sʲ
стільниковий	sʲtʲilʲnekɔʋei̯
стіна	sʲtʲinɑ
суб'єкт	sʊbjɛkt
суб'єктивний	sʊbjektɪu̯nei̯
субота	sʊbɔtɐ
суботи	sʊbɔte
суботній	sʊbɔtʲnʲii̯
субсидія	sʊbsɪdʲijɐ
субстрат	sʊbstrɑt
субтитр	sʊbtɪtr
субтитри	sʊbtɪtre
суверенний	sʊʋerɛnːei̯
суверенітет	sʊʋerenʲitɛt
суглоб	sʊɦɫɔb
суд	sud
судак	sʊdɑk
суддя	sʊdʲːɑ
судина	sʊdɪnɐ
судинний	sʊdɪnːei̯
судити	sʊdɪte
судно	sʊdnɔ
суднобудування	sʊdnɔbʊdʊʋɑnʲːɐ
суднобудівна	sʊdnɔbʊdʲiu̯nɑ
суднобудівний	sʊdnɔbʊdʲiu̯nɪi̯
суднобудівник	sʊdnɔbʊdʲiu̯nɪk
судноплавство	sʊdnɔpɫɑu̯stwɔ
сузір'я	sʊzʲirjɐ
сукало	sʊkɑɫɔ
сукне	sukne
сукнею	suknejʊ
сукню	suknʲʊ
сукня	suknʲɐ
сукням	suknʲɐm
сукнями	suknʲɐme
сукнях	suknʲɐx
сукні	suknʲi
суконь	sukɔnʲ
суми	sume
суми	sʊmɪ
сумка	sumkɐ
сумління	sʊmlʲinʲːɐ
сумнів	sumnʲiu̯
сумніватися	sʊmnʲiʋɑtesʲɐ
сумочка	sumɔt͡ʃkɐ
суміжний	sʊmʲiʒnei̯
сумісний	sʊmʲisnei̯
сумісність	sʊmʲisʲnʲisʲtʲ
суниця	sʊnɪt͡sʲɐ
суп	sup
суперечити	sʊperɛt͡ʃete
суперечка	sʊperɛt͡ʃkɐ
суперник	sʊpɛrnek
суперництво	sʊpɛrnet͡stwɔ
суперниця	sʊpɛrnet͡sʲɐ
супроводжувати	sʊprɔwɔd͡ʒʊʋɐte
супроводити	sʊprɔwɔdete
супруг	sʊpruɦ
супруга	sʊpruɦɐ
супругам	sʊpruɦɐm
супругами	sʊpruɦɐme
супругах	sʊpruɦɐx
супруги	sʊpruɦe
супруго	sʊpruɦɔ
супругою	sʊpruɦɔjʊ
супругу	sʊpruɦʊ
супрузі	sʊpruzʲi
супутник	sʊputnek
супутниковий	sʊputnekɔʋei̯
сура	surɐ
суржик	surʒek
суровий	sʊrɔʋei̯
сусанна	sʊsɑnːɐ
суспільний	sʊsʲpʲilʲnei̯
суспільство	sʊsʲpʲilʲstwɔ
сусід	sʊsʲid
сусідка	sʊsʲidkɐ
сусідній	sʊsʲidʲnʲii̯
сусідство	sʊsʲid͡zstwɔ
сусідський	sʊsʲid͡zʲsʲkei̯
сусідів	sʊsʲidʲiu̯
суттєвий	sʊtʲːɛʋei̯
суть	sutʲ
суті	sutʲi
сутінки	sutʲinke
суфікс	sufʲiks
сухий	sʊxɪi̯
сухожилля	sʊxɔʒɪlʲːɐ
суцвіття	sʊt͡sʲʋʲitʲːɐ
суцільний	sʊt͡sʲilʲnei̯
сучасний	sʊt͡ʃɑsnei̯
сучасник	sʊt͡ʃɑsnek
сучасниця	sʊt͡ʃɑsnet͡sʲɐ
сушарка	sʊʃɑrkɐ
сфальсифікувати	sfɐlʲsefʲikʊʋɑte
сфер	sfɛr
сфера	sfɛrɐ
сформулювати	sfɔrmʊlʲʊʋɑte
схвалити	sxʋɐɫɪte
схвальний	sxʋɑlʲnei̯
схвалювати	sxʋɑlʲʊʋɐte
схвилювати	sxʋelʲʊʋɑte
схема	sxɛmɐ
схематизація	sxemɐtezɑt͡sʲijɐ
схематизувати	sxemɐtezʊʋɑte
схематичний	sxemɐtɪt͡ʃnei̯
схильний	sxɪlʲnei̯
схильність	sxɪlʲnʲisʲtʲ
сховати	sxɔʋɑte
сховище	sxɔʋeʃt͡ʃe
схожий	sxɔʒei̯
схожість	sxɔʒʲisʲtʲ
схуднути	sxudnʊte
схід	sʲxʲid
східний	sʲxʲidnei̯
східнослов'янський	sʲxʲidnɔsɫɔʋjɑnʲsʲkei̯
східноєвропейський	sʲxʲidnɔjeu̯rɔpɛi̯sʲkei̯
сцена	st͡sɛnɐ
сценарій	st͡senɑrʲii̯
сьогодні	sʲɔɦɔdʲnʲi
сьогоднішній	sʲɔɦɔdʲnʲiʃnʲii̯
сьодні	sʲɔdʲnʲi
сьомий	sʲɔmei̯
сюди	sʲʊdɪ
сюрприз	sʲʊrprɪz
сяти	sʲɑte
сяяти	sʲɐjɑte
сідати	sʲidɑte
сіднице	sʲidnɪt͡se
сідницею	sʲidnɪt͡sejʊ
сідниць	sʲidnɪt͡sʲ
сідницю	sʲidnɪt͡sʲʊ
сідниця	sʲidnɪt͡sʲɐ
сідницям	sʲidnɪt͡sʲɐm
сідницями	sʲidnɪt͡sʲɐme
сідницях	sʲidnɪt͡sʲɐx
сідниці	sʲidnɪt͡sʲi
сік	sʲik
сіль	sʲilʲ
сільський	sʲilʲsʲkɪi̯
сільськогосподарський	sʲilʲsʲkɔɦɔspɔdɑrsʲkei̯
сім	sʲim
сім'я	sʲimjɐ
сім'я	sʲimjɑ
сімдесят	sʲimdesʲɑt
сімдесятий	sʲimdesʲɑtei̯
сімейний	sʲimɛi̯nei̯
сімнадцятий	sʲimnɑd͡zʲt͡sʲɐtei̯
сімнадцять	sʲimnɑd͡zʲt͡sʲɐtʲ
сімсот	sʲimsɔt
сімферополь	sʲimferɔpɔlʲ
сінаж	sʲinɑʒ
сінгапур	sʲinɦɐpur
сіни	sʲine
сіно	sʲinɔ
сірий	sʲirei̯
сірка	sʲirkɐ
сірник	sʲirnɪk
сісти	sʲiste
січень	sʲit͡ʃenʲ
та	tɑ
таблиця	tɐbɫɪt͡sʲɐ
табличка	tɐbɫɪt͡ʃkɐ
табір	tɑbʲir
таджикистан	tɐd͡ʒekestɑn
тайський	tɑi̯sʲkei̯
так	tɑk
така	tɐkɑ
таке	tɐkɛ
такий	tɐkɪi̯
також	tɐkɔʒ
також	tɑkɔʒ
таксі	tɐksʲi
тактика	tɑktekɐ
тактичний	tɐktɪt͡ʃnei̯
тактовний	tɐktɔu̯nei̯
тактовність	tɐktɔu̯nʲisʲtʲ
такі	tɐkʲi
талановитий	tɐɫɐnɔʋɪtei̯
талант	tɐɫɑnt
талій	tɑlʲii̯
талію	tɑlʲijʊ
талія	tɑlʲijɐ
таліям	tɑlʲijɐm
таліями	tɑlʲijɐme
таліях	tɑlʲijɐx
таліє	tɑlʲije
талією	tɑlʲijejʊ
талії	tɑlʲiji
там	tɑm
тамада	tɐmɐdɑ
танець	tɐnɛt͡sʲ
танець	tɑnet͡sʲ
танк	tɑnk
танки	tɐnkɪ
танки	tɑnke
танковий	tɑnkɔʋei̯
танцювати	tɐnʲt͡sʲʊʋɑte
танцюрист	tɐnʲt͡sʲʊrɪst
танцюриста	tɐnʲt͡sʲʊrɪstɐ
танцюристи	tɐnʲt͡sʲʊrɪste
танцюристка	tɐnʲt͡sʲʊrɪstkɐ
танцюристки	tɐnʲt͡sʲʊrɪstke
танцюристок	tɐnʲt͡sʲʊrɪstɔk
танцюристів	tɐnʲt͡sʲʊrɪsʲtʲiu̯
тарас	tɐrɑs
тарган	tɐrɦɑn
тарілка	tɐrʲiɫkɐ
татко	tɑtkɔ
тато	tɑtɔ
татусь	tɐtusʲ
таце	tɑt͡se
тацею	tɑt͡sejʊ
таць	tɑt͡sʲ
тацю	tɑt͡sʲʊ
таця	tɑt͡sʲɐ
тацям	tɑt͡sʲɐm
тацями	tɑt͡sʲɐme
тацях	tɑt͡sʲɐx
таці	tɑt͡sʲi
таємнице	tɐjemnɪt͡se
таємницею	tɐjemnɪt͡sejʊ
таємниць	tɐjemnɪt͡sʲ
таємницю	tɐjemnɪt͡sʲʊ
