aalboaiei	aalbŏajej
zincografic	zinkoɡrafik
zincografie	zinkoɡrafije
zincografiere	zinkoɡrafijere
zincogravură	zinkoɡravurə
zincuire	zinkuire
zincuit	zinkuit
zingheni	zingʲ̩eni
zinghenire	zingʲ̩enire
zinghenit	zingʲ̩enit
zinghenitor	zingʲ̩enitor
zinghet	zingʲ̩et
zingănire	zinɡənire
zingănit	zinɡənit
zingăt	zinɡət
zinoapte	zinŏapte
zircon	zirkon
zirconiu	zirkonju
zirkon	zirkon
zis	zis
zise	zise
zisu	zisu
ziuatic	ziwatik
ziulică	ziulikə
ziuliță	ziulitsə
ziuă	ziwə
ziușoară	ziuʃŏarə
zivelcă	zivelkə
zizanie	zizanije
zlac	zlak
zlatna	zlatna
zloată	zlŏatə
zlot	zlot
zlotaș	zlotaʃ
zlotos	zlotos
zlătar	zlətar
zlătăreasă	zlətərĕasə
zmarandache	zmarandakʲ̩e
zmax	zmaks
zmed	zmed
zmeie	zmeje
zmeios	zmejos
zmeoaică	zmeŏajkə
zmeoaie	zmeŏaje
zmeoi	zmeoj
zmeu	zmew
zmeuleț	zmeulets
zmeur	zmeur
zmeurar	zmeurar
zmeurată	zmeuratə
zmeuret	zmeuret
zmeuriu	zmeuriw
zmeuriș	zmeuriʃ
zmeură	zmeurə
zmângăleală	zmɨnɡəlĕalə
zmângălire	zmɨnɡəlire
zmângălit	zmɨnɡəlit
zmângălitură	zmɨnɡəliturə
zmăcina	zmətʃina
zmăcinare	zmətʃinare
zmăcinat	zmətʃinat
zmărăndescu	zmərəndesku
znamenie	znamenije
znamie	znamije
zoaie	zŏaje
zoană	zŏanə
zob	zob
zobi	zobi
zobire	zobire
zobit	zobit
zobon	zobon
zobonaș	zobonaʃ
zodiac	zodijak
zodiacal	zodijakal
zodiacale	zodijakale
zodiar	zodijar
zodie	zodije
zodier	zodijer
zodiilor	zodijilor
zogreanu	zoɡrĕanu
zoios	zoios
zoizit	zoizit
zoli	zoli
zolire	zolire
zolit	zolit
zolniță	zolnitsə
zona	zona
zonal	zonal
zonare	zonare
zone	zone
zonei	zonej
zonele	zonele
zonificare	zonifikare
zonită	zonitə
zoo	zoo
zoobiologie	zoobiolodʒije
zoochimie	zookʲ̩imije
zoocor	zookor
zoofag	zoofaɡ
zoofagie	zoofadʒije
zoofilie	zoofilije
zoofit	zoofit
zoofitic	zoofitik
zoofobie	zoofobije
zoogenie	zoodʒenije
zoogeograf	zoodʒeoɡraf
zoogeografie	zoodʒeoɡrafije
zoografie	zooɡrafije
zoolatrie	zoolatrije
zoolatru	zoolatru
zoolit	zoolit
zoolog	zooloɡ
zoologic	zoolodʒik
zoologice	zoolodʒitʃe
zoologie	zoolodʒije
zoomanie	zoomanije
zoometru	zoometru
zoomorf	zoomorf
zoomorfic	zoomorfik
zoomorfie	zoomorfije
zoomorfism	zoomorfism
zoonim	zoonim
zoonimie	zoonimije
zoonomie	zoonomije
zoonoză	zoonozə
zooparc	zoopark
zoopatie	zoopatije
zoopatologie	zoopatolodʒije
zooplancton	zooplankton
zootehnic	zootehnik
zootehnie	zootehnije
zootehnist	zootehnist
zooterapeutic	zooterapeutik
zooterapie	zooterapije
zootomie	zootomije
zootoxină	zootoksinə
zopotire	zopotire
zopăire	zopəire
zopăitură	zopəiturə
zor	zor
zoraliu	zoraliw
zorcan	zorkan
zorea	zorĕa
zoreanu	zorĕanu
zori	zorʲ
zorilă	zorilə
zorire	zorire
zorit	zorit
zorlescu	zorlesku
zornet	zornet
zornăială	zornəjalə
zornăind	zornəind
zornăire	zornəire
zornăit	zornəit
zornăitor	zornəitor
zornăitură	zornəiturə
zorzoire	zorzoire
zorzoit	zorzoit
zorzon	zorzon
zorzonat	zorzonat
zoster	zoster
zotta	zotta
zovelcă	zovelkə
zovon	zovon
zuav	zuwav
zub	zub
zubașcu	zubaʃku
zuf	zuf
zugrav	zuɡrav
zugravi	zuɡravʲ
zugrăveală	zuɡrəvĕalə
zugrăvire	zuɡrəvire
zugrăvit	zuɡrəvit
zuliar	zulijar
zulie	zulije
zulu	zulu
zuluf	zuluf
zulufat	zulufat
zulufel	zulufel
zulum	zulum
zulus	zulus
zum	zum
zumaricale	zumarikale
zumbăire	zumbəire
zumzet	zumzet
zumzăire	zumzəire
zumzăitor	zumzəitor
zup	zup
zupuire	zupuire
zupăire	zupəire
zupăit	zupəit
zupăitură	zupəiturə
zur	zur
zuraliu	zuraliw
zurba	zurba
zurbalâc	zurbalɨk
zurbală	zurbalə
zurbavă	zurbavə
zurgălău	zurɡələw
zurliu	zurliw
zuruire	zuruire
zuruit	zuruit
zuruitor	zuruitor
zurzur	zurzur
zurăire	zurəire
zurăit	zurəit
zuvelcă	zuvelkə
zuzet	zuzet
zuzuire	zuzuire
zuzăire	zuzəire
zvastică	zvastikə
zvecuire	zvekuire
zvecuit	zvekuit
zvelt	zvelt
zveltețe	zveltetse
zviduire	zviduire
zvoană	zvŏanə
zvon	zvon
zvonar	zvonar
zvonire	zvonire
zvonist	zvonist
zvonit	zvonit
zvonuri	zvonurʲ
zvâc	zvɨk
zvâcnea	zvɨknĕa
zvâcneală	zvɨknĕalə
zvâcnet	zvɨknet
zvâcnire	zvɨknire
zvâcnit	zvɨknit
zvâcnitor	zvɨknitor
zvâcnitură	zvɨkniturə
zvânta	zvɨnta
zvântare	zvɨntare
zvântat	zvɨntat
zvântura	zvɨntura
zvânturare	zvɨnturare
zvânturat	zvɨnturat
zvânturatec	zvɨnturatek
zvânturatic	zvɨnturatik
zvâr	zvɨr
zvârcol	zvɨrkol
zvârcoleală	zvɨrkolĕalə
zvârcolire	zvɨrkolire
zvârcolitură	zvɨrkoliturə
zvârlet	zvɨrlet
zvârlire	zvɨrlire
zvârlit	zvɨrlit
zvârlitură	zvɨrliturə
zvârlugă	zvɨrluɡə
zvăpăia	zvəpəja
zvăpăiat	zvəpəjat
zvăpăiere	zvəpəjere
zâmbească	zɨmbĕaskə
zâmbet	zɨmbet
zâmbete	zɨmbete
zâmbetul	zɨmbetul
zâmbi	zɨmbi
zâmbim	zɨmbim
zâmbind	zɨmbind
zâmbire	zɨmbire
zâmbitor	zɨmbitor
zâmbitură	zɨmbiturə
zâmbăreț	zɨmbərets
zâng	zɨnɡ
zângăni	zɨnɡəni
zângănitor	zɨnɡənitor
zângănitură	zɨnɡəniturə
zânișoară	zɨniʃŏarə
zână	zɨnə
zârnă	zɨrnə
zât	zɨt
zăbală	zəbalə
zăbavnic	zəbavnik
zăbavă	zəbavə
zăblău	zəbləw
zăbovire	zəbovire
zăbovit	zəbovit
zăbovitor	zəbovitor
zăbranic	zəbranik
zăbrea	zəbrĕa
zăbrelire	zəbrelire
zăbrelit	zəbrelit
zăbun	zəbun
zăbunar	zəbunar
zăbunaș	zəbunaʃ
zăbunel	zəbunel
zăbălos	zəbəlos
zăbăluță	zəbəlutsə
zăbăuc	zəbəuk
zăbăvire	zəbəvire
zăbăvit	zəbəvit
zăcare	zəkare
zăcaș	zəkaʃ
zăcea	zətʃjæ,zətʃ̩a
zăceau	zətʃ̩aw
zăcere	zətʃere
zăcut	zəkut
zăcăminte	zəkəminte
zăcământ	zəkəmɨnt
zăcărire	zəkərire
zăcătoare	zəkətŏare
zăcător	zəkətor
zăcătură	zəkəturə
zăcășeală	zəkəʃĕalə
zăcășie	zəkəʃije
zăduf	zəduf
zădufos	zədufos
zăduh	zəduh
zădărire	zədərire
zădărit	zədərit
zădărnicie	zədərnitʃije
zădărnicire	zədərnitʃire
zădărnicit	zədərnitʃit
zădărî	zədərɨ
zăgan	zəɡan
zăgaz	zəɡaz
zăgaș	zəɡaʃ
zăgaștină	zəɡaʃtinə
zăgneată	zəɡnĕatə
zăgrăire	zəɡrəire
zăgrăit	zəɡrəit
zăgârnă	zəɡɨrnə
zăgănescu	zəɡənesku
zăgăzuire	zəɡəzuire
zăgăzuit	zəɡəzuit
zăhăială	zəhəjalə
zăhăire	zəhəire
zăhăit	zəhəit
zăhărel	zəhərel
zăhărire	zəhərire
zăhătuire	zəhətuire
zăhătuit	zəhətuit
zălar	zəlar
zăletire	zəletire
zălezeală	zəlezĕalə
zălezire	zəlezire
zălezit	zəlezit
zălezitură	zəleziturə
zăliște	zəliʃte
zăloagă	zəlŏaɡə
zălog	zəloɡ
zălogire	zəlodʒire
zălogit	zəlodʒit
zălud	zəlud
zălug	zəluɡ
zăluzeală	zəluzĕalə
zăluzie	zəluzije
zăluzire	zəluzire
zăluzit	zəluzit
zăluță	zəlutsə
zălăuan	zələwan
zălăuancă	zələwankə
zămislire	zəmislire
zămislit	zəmislit
zămislitor	zəmislitor
zămorâre	zəmorɨre
zămorât	zəmorɨt
zămorî	zəmorɨ
zămoșiță	zəmoʃitsə
zămurcă	zəmurkə
zămârcă	zəmɨrkə
zămărie	zəmərije
zănat	zənat
zănatec	zənatek
zănatic	zənatik
zăngăitură	zənɡəiturə
zăngăneală	zənɡənĕalə
zăngănire	zənɡənire
zăngănit	zənɡənit
zăngănitor	zənɡənitor
zăngănitură	zənɡəniturə
zăngăt	zənɡət
zănoagă	zənŏaɡə
zăpadă	zəpadə
zăpezii	zəpezij
zăplan	zəplan
zăplaz	zəplaz
zăpodie	zəpodije
zăpor	zəpor
zăporâre	zəporɨre
zăporî	zəporɨ
zăpsire	zəpsire
zăpsit	zəpsit
zăpuc	zəpuk
zăpușeală	zəpuʃĕalə
zăpușire	zəpuʃire
zăpușiseși	zəpuʃiseʃʲ
zăpușit	zəpuʃit
zăpușitor	zəpuʃitor
zăpușiților	zəpuʃit͡silor
zăpârțan	zəpɨrtsan
zăpăceală	zəpətʃ̩alə
zăpăcire	zəpətʃire
zăpăcit	zəpətʃit
zăpăcitor	zəpətʃitor
zăpădos	zəpədos
zăpăire	zəpəire
zăpăit	zəpəit
zăpăitură	zəpəiturə
zăpăuc	zəpəuk
zărand	zərand
zărar	zərar
zărea	zərĕa
zăreanu	zərĕanu
zărească	zərĕaskə
zărgan	zərɡan
zărghenie	zərgʲ̩enije
zărghi	zərgʲ̩i
zărghire	zərgʲ̩ire
zărghit	zərgʲ̩it
zări	zəri
zărindo	zərindo
zărire	zərire
zăriră	zərirə
zărise	zərise
zărit	zərit
zărnescu	zərnesku
zărnești	zərneʃtʲ
zărpălatic	zərpəlatik
zărvăi	zərvəi
zărvăire	zərvəire
zărzăraș	zərzəraʃ
zărzărel	zərzərel
zărăfie	zərəfije
zărăscu	zərəsku
zărăstire	zərəstire
zăstire	zəstire
zăstit	zəstit
zăticneală	zətiknĕalə
zăticnire	zətiknire
zăticnit	zətiknit
zătignire	zətiɡnire
zătignit	zətiɡnit
zătoacă	zətŏakə
zăton	zəton
zătonar	zətonar
zătoni	zətoni
zătonire	zətonire
zătonit	zətonit
zău	zəw
zăuita	zəwita
zăuitare	zəwitare
zăuitat	zəwitat
zăvează	zəvĕazə
zăvelcuță	zəvelkutsə
zăvod	zəvod
zăvoianu	zəvojanu
zăvoiu	zəvoju
zăvolniță	zəvolnitsə
zăvor	zəvor
zăvoraș	zəvoraʃ
zăvorire	zəvorire
zăvorit	zəvorit
zăvorî	zəvorɨ
zăvăcustă	zəvəkustə
îhî	ɨhɨ
îi	ɨj
îmbarca	ɨmbarka
îmbarcare	ɨmbarkare
îmbarcat	ɨmbarkat
îmbarcație	ɨmbarkatsije
îmbarcațiune	ɨmbarkatsiune
îmbelciugat	ɨmbeltʃ̩uɡat
îmbelșuga	ɨmbelʃuɡa
îmbelșugare	ɨmbelʃuɡare
îmbelșugat	ɨmbelʃuɡat
îmbia	ɨmbia
îmbiat	ɨmbiat
îmbiba	ɨmbiba
îmbibare	ɨmbibare
îmbibat	ɨmbibat
îmbiere	ɨmbiere
îmbietor	ɨmbietor
îmbietură	ɨmbieturə
îmbina	ɨmbina
îmbinare	ɨmbinare
îmbinat	ɨmbinat
îmbla	ɨmbla
îmblare	ɨmblare
îmblet	ɨmblet
îmblânzii	ɨmblɨnzij
îmblânzire	ɨmblɨnzire
îmblânzit	ɨmblɨnzit
îmblânzitor	ɨmblɨnzitor
îmblăcire	ɨmblətʃire
îmblăcit	ɨmblətʃit
îmblănire	ɨmblənire
îmblănit	ɨmblənit
îmblănită	ɨmblənitə
îmblătire	ɨmblətire
îmblătit	ɨmblətit
îmblătitor	ɨmblətitor
îmbobocire	ɨmbobotʃire
îmbobocit	ɨmbobotʃit
îmboboroji	ɨmboboroʒʲ
îmboborojire	ɨmboboroʒire
îmboborojit	ɨmboboroʒit
îmbodolire	ɨmbodolire
îmbodolit	ɨmbodolit
îmbogățesc	ɨmboɡətsesk
îmbogățire	ɨmboɡətsire
îmbogățise	ɨmboɡətsise
îmbogățit	ɨmboɡətsit
îmbolbojire	ɨmbolboʒire
îmbolbojit	ɨmbolboʒit
îmboldire	ɨmboldire
îmboldit	ɨmboldit
îmbolditor	ɨmbolditor
îmboldoli	ɨmboldoli
îmboldolire	ɨmboldolire
îmboldolit	ɨmboldolit
îmboldorire	ɨmboldorire
îmboldorit	ɨmboldorit
îmbolnăvim	ɨmbolnəvim
îmbolnăvire	ɨmbolnəvire
îmbolnăvit	ɨmbolnəvit
îmbondorire	ɨmbondorire
îmbondorit	ɨmbondorit
îmbraci	ɨmbratʃʲ
îmbrebena	ɨmbrebena
îmbrebenare	ɨmbrebenare
îmbrebenat	ɨmbrebenat
îmbrobodeală	ɨmbrobodĕalə
îmbrobodire	ɨmbrobodire
îmbrobodit	ɨmbrobodit
îmbrânceală	ɨmbrɨntʃ̩alə
îmbrâncire	ɨmbrɨntʃire
îmbrâncit	ɨmbrɨntʃit
îmbrâncitură	ɨmbrɨntʃiturə
îmbrăca	ɨmbrəka
îmbrăcare	ɨmbrəkare
îmbrăcat	ɨmbrəkat
îmbrăcate	ɨmbrəkate
îmbrăcată	ɨmbrəkatə
îmbrăcați	ɨmbrəkatsʲ
îmbrăcăminte	ɨmbrəkəminte
îmbrățișa	ɨmbrətsiʃa
îmbrățișam	ɨmbrətsiʃam
îmbrățișare	ɨmbrətsiʃare
îmbrățișat	ɨmbrətsiʃat
îmbrățișeze	ɨmbrətsiʃeze
îmbrățoșa	ɨmbrətsoʃa
îmbrățoșare	ɨmbrətsoʃare
îmbrățoșat	ɨmbrətsoʃat
îmbuca	ɨmbuka
îmbucare	ɨmbukare
îmbucat	ɨmbukat
îmbucura	ɨmbukura
îmbucurare	ɨmbukurare
îmbucurat	ɨmbukurat
îmbucurător	ɨmbukurətor
îmbucătură	ɨmbukəturə
îmbucătățire	ɨmbukətətsire
îmbucătățit	ɨmbukətətsit
îmbucățire	ɨmbukətsire
îmbucățit	ɨmbukətsit
îmbufna	ɨmbufna
îmbufnare	ɨmbufnare
îmbufnat	ɨmbufnat
îmbuiba	ɨmbuiba
îmbuibare	ɨmbuibare
îmbuibat	ɨmbuibat
îmbujora	ɨmbuʒora
îmbujorare	ɨmbuʒorare
îmbujorase	ɨmbuʒorase
îmbujorat	ɨmbuʒorat
îmbulzeală	ɨmbulzĕalə
îmbulzeau	ɨmbulzĕaw
îmbulzi	ɨmbulzi
îmbulzire	ɨmbulzire
îmbulzit	ɨmbulzit
îmbumba	ɨmbumba
îmbumbare	ɨmbumbare
îmbumbat	ɨmbumbat
îmbumbia	ɨmbumbija
îmbumbiat	ɨmbumbijat
îmbumbiere	ɨmbumbijere
îmbuna	ɨmbuna
îmbunare	ɨmbunare
îmbunat	ɨmbunat
îmbunătăța	ɨmbunətətsa
îmbunătățare	ɨmbunətətsare
îmbunătățat	ɨmbunətətsat
îmbunătăți	ɨmbunətətsi
îmbunătățire	ɨmbunətətsire
îmbunătățit	ɨmbunətətsit
îmbunătățite	ɨmbunətət͡site
îmbunătățită	ɨmbunətətsitə
îmburda	ɨmburda
îmburdare	ɨmburdare
îmburdat	ɨmburdat
îmburghezi	ɨmburgʲ̩ezi
îmburghezire	ɨmburgʲ̩ezire
îmburghezit	ɨmburgʲ̩ezit
îmburuienat	ɨmburujenat
îmbutelia	ɨmbutelija
îmbuteliat	ɨmbutelijat
îmbuteliere	ɨmbutelijere
îmbușona	ɨmbuʃona
îmbușonare	ɨmbuʃonare
îmbușonat	ɨmbuʃonat
îmbâcseală	ɨmbɨksĕalə
îmbâcsire	ɨmbɨksire
îmbâcsit	ɨmbɨksit
îmbârliga	ɨmbɨrliɡa
îmbârligare	ɨmbɨrliɡare
îmbârligat	ɨmbɨrliɡat
îmbăia	ɨmbəja
îmbăiat	ɨmbəjat
îmbăiera	ɨmbəjera
îmbăierare	ɨmbəjerare
îmbăierat	ɨmbəjerat
îmbăiere	ɨmbəjere
îmbăira	ɨmbəira
îmbăirare	ɨmbəirare
îmbăirat	ɨmbəirat
îmbăla	ɨmbəla
îmbălare	ɨmbəlare
îmbălat	ɨmbəlat
îmbălora	ɨmbəlora
îmbălorare	ɨmbəlorare
îmbălorat	ɨmbəlorat
îmbăloșa	ɨmbəloʃa
îmbăloșare	ɨmbəloʃare
îmbăloșat	ɨmbəloʃat
îmbălsăma	ɨmbəlsəma
îmbălsămare	ɨmbəlsəmare
îmbălsămat	ɨmbəlsəmat
îmbălsămate	ɨmbəlsəmate
îmbălsămi	ɨmbəlsəmi
îmbălsămire	ɨmbəlsəmire
îmbălsămit	ɨmbəlsəmit
îmbălătură	ɨmbələturə
îmbărbăta	ɨmbərbəta
îmbărbătare	ɨmbərbətare
îmbărbătat	ɨmbərbətat
îmbărbătător	ɨmbərbətətor
îmbăta	ɨmbəta
îmbătare	ɨmbətare
îmbătat	ɨmbətat
îmbătrânire	ɨmbətrɨnire
îmbătrânit	ɨmbətrɨnit
îmbătător	ɨmbətətor
îmbățoșa	ɨmbətsoʃa
îmbățoșare	ɨmbətsoʃare
îmbățoșat	ɨmbətsoʃat
îmi	ɨmʲ
împacheta	ɨmpakʲ̩eta
împachetare	ɨmpakʲ̩etare
împachetat	ɨmpakʲ̩etat
împachetez	ɨmpakʲ̩etez
împart	ɨmpart
împarte	ɨmparte
împartă	ɨmpartə
împelița	ɨmpelitsa
împelițare	ɨmpelitsare
împelițat	ɨmpelitsat
împenat	ɨmpenat
împerechere	ɨmperekʲ̩ere
împestrița	ɨmpestritsa
împestrițare	ɨmpestritsare
împestrițat	ɨmpestritsat
împestrițătură	ɨmpestritsəturə
împeticat	ɨmpetikat
împețire	ɨmpetsire
împețit	ɨmpetsit
împicioroga	ɨmpitʃ̩oroɡa
împiciorogare	ɨmpitʃ̩oroɡare
împiedici	ɨmpjeditʃʲ
împiedică	ɨmpjedikə
împila	ɨmpila
împilare	ɨmpilare
împilat	ɨmpilat
împilător	ɨmpilətor
împinge	ɨmpindʒe
împingea	ɨmpindʒ̩a
împingem	ɨmpindʒem
împingere	ɨmpindʒere
împingător	ɨmpinɡətor
împins	ɨmpins
împinse	ɨmpinse
împinsătură	ɨmpinsəturə
împintena	ɨmpintena
împintenare	ɨmpintenare
împintenat	ɨmpintenat
împistrire	ɨmpistrire
împistrit	ɨmpistrit
împle	ɨmple
împlere	ɨmplere
împleteci	ɨmpletetʃi
împletecire	ɨmpletetʃire
împletecit	ɨmpletetʃit
împleti	ɨmpleti
împleticeală	ɨmpletitʃ̩alə
împleticire	ɨmpletitʃire
împleticit	ɨmpletitʃit
împletire	ɨmpletire
împletit	ɨmpletit
împletitor	ɨmpletitor
împletitură	ɨmpletiturə
împlinire	ɨmplinire
împlinise	ɨmplinise
împlinit	ɨmplinit
împlut	ɨmplut
împlânta	ɨmplɨnta
împlântare	ɨmplɨntare
împlântat	ɨmplɨntat
împlătoșa	ɨmplətoʃa
împlătoșare	ɨmplətoʃare
împlătoșat	ɨmplətoʃat
împodobeau	ɨmpodobĕaw
împodobire	ɨmpodobire
împodobit	ɨmpodobit
împodobită	ɨmpodobitə
împodobiți	ɨmpodobitsʲ
împoncișa	ɨmpontʃiʃa
împoncișare	ɨmpontʃiʃare
împoncișat	ɨmpontʃiʃat
împopora	ɨmpopora
împoporare	ɨmpoporare
împoporat	ɨmpoporat
împopoța	ɨmpopotsa
împopoțare	ɨmpopotsare
împopoțat	ɨmpopotsat
împopoțona	ɨmpopotsona
împopoțonare	ɨmpopotsonare
împopoțonat	ɨmpopotsonat
împotmolire	ɨmpotmolire
împotriva	ɨmpotriva
împotriveală	ɨmpotrivĕalə
împotrivi	ɨmpotrivi
împotrivire	ɨmpotrivire
împotrivit	ɨmpotrivit
împotrivitor	ɨmpotrivitor
împovăra	ɨmpovəra
împovărare	ɨmpovərare
împovărat	ɨmpovərat
împovărată	ɨmpovəratə
împovărător	ɨmpovərətor
împrejmui	ɨmpreʒmui
împrejmuire	ɨmpreʒmuire
împrejmuit	ɨmpreʒmuit
împrejmuitor	ɨmpreʒmuitor
împrejur	ɨmpreʒur
împrejura	ɨmpreʒura
împrejurare	ɨmpreʒurare
împrejurat	ɨmpreʒurat
împrejurime	ɨmpreʒurime
împrejurimi	ɨmpreʒurimʲ
împrejurul	ɨmpreʒurul
împrejurările	ɨmpreʒurərile
împresura	ɨmpresura
împresurare	ɨmpresurare
împresurat	ɨmpresurat
împreuna	ɨmpreuna
împreunare	ɨmpreunare
împreunat	ɨmpreunat
împricina	ɨmpritʃina
împricinare	ɨmpritʃinare
împricinat	ɨmpritʃinat
împrietenire	ɨmprijetenire
împrietenit	ɨmprijetenit
împrietinire	ɨmprijetinire
împrietinit	ɨmprijetinit
împrimăvăra	ɨmpriməvəra
împrimăvărare	ɨmpriməvərare
împrospăta	ɨmprospəta
împrospătare	ɨmprospətare
împrospătat	ɨmprospətat
împrotivitor	ɨmprotivitor
împrotivă	ɨmprotivə
împroșca	ɨmproʃka
împroșcare	ɨmproʃkare
împroșcat	ɨmproʃkat
împroșcătură	ɨmproʃkəturə
împrumut	ɨmprumut
împrumuta	ɨmprumuta
împrumutare	ɨmprumutare
împrumutat	ɨmprumutat
împrumute	ɨmprumute
împrumutător	ɨmprumutətor
împrăștia	ɨmprəʃtija
împrăștiat	ɨmprəʃtijat
împrăștie	ɨmprəʃtije
împrăștiem	ɨmprəʃtijem
împrăștiere	ɨmprəʃtijere
împrăștietor	ɨmprəʃtijetor
împuia	ɨmpuja
împuiat	ɨmpujat
împuiere	ɨmpujere
împuncișare	ɨmpuntʃiʃare
împungaci	ɨmpunɡatʃʲ
împunge	ɨmpundʒe
împungere	ɨmpundʒere
împungător	ɨmpunɡətor
împuns	ɨmpuns
împunsătură	ɨmpunsəturə
împupire	ɨmpupire
împupit	ɨmpupit
împurpura	ɨmpurpura
împurpurare	ɨmpurpurare
împuternicire	ɨmputernitʃire
împuternicit	ɨmputernitʃit
împușca	ɨmpuʃka
împușcare	ɨmpuʃkare
împușcat	ɨmpuʃkat
împușcăturilor	ɨmpuʃkəturilor
împușcătură	ɨmpuʃkəturə
împuțiciune	ɨmputsitʃ̩une
împuțina	ɨmputsina
împuținare	ɨmputsinare
împuținat	ɨmputsinat
împuțire	ɨmputsire
împuțit	ɨmputsit
împâclire	ɨmpɨklire
împâclit	ɨmpɨklit
împânzire	ɨmpɨnzire
împânzit	ɨmpɨnzit
împâslire	ɨmpɨslire
împâslit	ɨmpɨslit
împâslitură	ɨmpɨsliturə
împăca	ɨmpəka
împăcare	ɨmpəkare
împăcaseră	ɨmpəkaserə
împăcat	ɨmpəkat
împăciuire	ɨmpətʃ̩uire
împăciuitor	ɨmpətʃ̩uitor
împăcăciune	ɨmpəkətʃ̩une
împădurire	ɨmpədurire
împădurit	ɨmpədurit
împăia	ɨmpəja
împăiat	ɨmpəjat
împăiejena	ɨmpəjeʒena
împăiejenare	ɨmpəjeʒenare
împăiejenat	ɨmpəjeʒenat
împăiejenire	ɨmpəjeʒenire
împăienjenire	ɨmpəjenʒenire
împăienjenit	ɨmpəjenʒenit
împăienjinire	ɨmpəjenʒinire
împăienjinit	ɨmpəjenʒinit
împăiere	ɨmpəjere
împăinjenire	ɨmpəinʒenire
împăinjenit	ɨmpəinʒenit
împăinjinire	ɨmpəinʒinire
împăinjinit	ɨmpəinʒinit
împământa	ɨmpəmɨnta
împământare	ɨmpəmɨntare
împământat	ɨmpəmɨntat
împământenire	ɨmpəmɨntenire
împământenit	ɨmpəmɨntenit
împăna	ɨmpəna
împănare	ɨmpənare
împănat	ɨmpənat
împăpurire	ɨmpəpurire
împăpurit	ɨmpəpurit
împărat	ɨmpərat
împăratul	ɨmpəratul
împărecheat	ɨmpərekʲ̩̩at
împărechere	ɨmpərekʲ̩ere
împăroșa	ɨmpəroʃa
împăroșare	ɨmpəroʃare
împăroșat	ɨmpəroʃat
împărtășanie	ɨmpərtəʃanije
împărtășea	ɨmpərtəʃĕa
împărtășire	ɨmpərtəʃire
împărtășit	ɨmpərtəʃit
împărăteasă	ɨmpərətĕasə
împărătesc	ɨmpərətesk
împărătește	ɨmpərəteʃte
împărătiță	ɨmpərətitsə
împărăție	ɨmpərətsije
împărății	ɨmpərətsij
împărățire	ɨmpərətsire
împărțeală	ɨmpərtsĕalə
împărțind	ɨmpərtsind
împărțire	ɨmpərtsire
împărțirea	ɨmpərtsirĕa
împărțit	ɨmpərtsit
împărțite	ɨmpərtsite
împărțito	ɨmpərtsito
împărțitor	ɨmpərtsitor
împărțită	ɨmpərtsitə
împătima	ɨmpətima
împătimare	ɨmpətimare
împătimat	ɨmpətimat
împătimi	ɨmpətimi
împătimire	ɨmpətimire
împătimit	ɨmpətimit
împătrire	ɨmpətrire
împătrit	ɨmpətrit
împătura	ɨmpətura
împăturare	ɨmpəturare
împăturat	ɨmpəturat
împături	ɨmpəturi
împăturire	ɨmpəturire
împăturit	ɨmpəturit
împăuna	ɨmpəuna
împăunare	ɨmpəunare
împăunat	ɨmpəunat
înadins	ɨnadins
înainta	ɨnainta
înaintare	ɨnaintare
înaintarăm	ɨnaintarəm
înaintat	ɨnaintat
înaintau	ɨnaintaw
înaintaș	ɨnaintaʃ
înainte	ɨnainte
înaintea	ɨnaintĕa
înaintând	ɨnaintɨnd
înalbăstrire	ɨnalbəstrire
înalbăstrit	ɨnalbəstrit
înalt	ɨnalt
înalte	ɨnalte
înaltele	ɨnaltele
înamora	ɨnamora
înamorare	ɨnamorare
înamorat	ɨnamorat
înapoi	ɨnapoj
înapoia	ɨnapoja
înapoiat	ɨnapojat
înapoiere	ɨnapojere
înapoiez	ɨnapojez
înaripa	ɨnaripa
înaripare	ɨnaripare
înaripat	ɨnaripat
înarma	ɨnarma
înarmare	ɨnarmare
înarmarea	ɨnarmarĕa
înarmat	ɨnarmat
înaura	ɨnaura
înaurare	ɨnaurare
înaurat	ɨnaurat
înauri	ɨnauri
înaurire	ɨnaurire
înaurit	ɨnaurit
înavuțire	ɨnavutsire
înavuțit	ɨnavutsit
încadra	ɨnkadra
încadrabil	ɨnkadrabil
încadrare	ɨnkadrare
încadrat	ɨnkadrat
încadratură	ɨnkadraturə
încailea	ɨnkajlĕa
încalte	ɨnkalte
încaltea	ɨnkaltĕa
încape	ɨnkape
încapsula	ɨnkapsula
încapsulare	ɨnkapsulare
încapsulat	ɨnkapsulat
încarcera	ɨnkartʃera
încarcerare	ɨnkartʃerare
încarcerat	ɨnkartʃerat
încartirui	ɨnkartirui
încartiruire	ɨnkartiruire
încartiruit	ɨnkartiruit
încasa	ɨnkasa
încasare	ɨnkasare
încasat	ɨnkasat
încasator	ɨnkasator
încastra	ɨnkastra
încastrare	ɨnkastrare
încastrat	ɨnkastrat
încasările	ɨnkasərile
încazarma	ɨnkazarma
încazarmare	ɨnkazarmare
încazarmat	ɨnkazarmat
înceapă	ɨntʃ̩apə
încearcă	ɨntʃ̩arkə
încep	ɨntʃep
începe	ɨntʃepe
începea	ɨntʃepĕa
începeau	ɨntʃepĕaw
începem	ɨntʃepem
începere	ɨntʃepere
începerea	ɨntʃeperĕa
începu	ɨntʃepu
începui	ɨntʃepuj
