کے	keː
انٹرکلب	ɪnʈˈarkəlˌəb
انڈوومنٹ	ˈanɖʋoːmˌənʈ
انگلینڈکی	ˌanəɡlˈiːnɖəkˌiː
اوایس	ˌaʋaːˈiːs
اوراللہ	oːrˈaːləla
اورانتہاء	oːrˈaːnəthaː
اورانھیں	oːrˈaːnhẽː
اوربحالی	ˌoːrəbhˈaːli
اوربنگلہ	ˈoːrəbˌənəɡˌəlˌa
اوربڑے	ˈoːrəbr.eː
اوربھائی	ˌoːrbʰˈaːi
اوربیچارے	ˌoːrbicˈaːreː
اورتحصیل	ˌoːrətˌəhəʂˈiːl
اورتشدد	ˈoːrətˌəʃədˌəd
اوردیانت	ˈoːrdjaːnˌət
اوردیہی	ˈoːrdihˌiː
اورذمہ	ˈoːrəzˌəmˌa
اورسات	ˌoːrəsˈaːt
اورسکولز	ˌoːrəskˈoːləz
اورصبح	ˌoːrəʂˌəbˈah
اورقانونی	ˌoːrqaːnˈoːni
اورلینڈو	ˌoːrlˈiːnɖoː
اورمہنگائی	ˌoːrəmˌəhənɡˈaːi
اوروکلاء	oːrˈoːklˌaː
اورکام	ˌoːrkˈaːm
اورہائی	ˌoːrhˈaːi
اورہزاروں	ˌoːrhzˈaːrõː
اولمپیئنز	ˌoːlmpiˈɪnəz
اونٹنی	ˈuːnʈni
اویسیہ	ˌoːisˈiːa
اکرے	ˈakrˌeː
اکچر	ˈakəcˌər
اگراس	ˌaɡrˈaːs
اگران	ˌaɡrˈaːn
اگین	aɡˈiːn
اہتے	ˈaːhteː
اہلکاربھی	ˌahəlkˈaːrbʰˌiː
اہلیتی	ˈahliˌati
اہکاروں	ˈahkaːrˌõː
ایجنسیکراچی	ˌeːɟnsˌiːkrˈaːci
ایرن	ˈeːrən
ایروناٹیکل	ˌeːroːnaːʈˈiːkəl
ایریامیں	ˈeːrjaːmˌẽː
ایسانہیں	eːsˈaːnhˌẽː
ایلفا	ˈeːlfˌaː
ایلو	ˈeːloː
ایمپلائیز	ˈeːmpəlˌaːiz
ایواڈز	eːʋˈaːɖz
ایٹڈ	ˈeːʈəɖ
ایڈیٹوریل	ˌeːɖiʈoːrˈiːl
ایکسئن	ˈeːkəsˌən
ایکسپرٹس	ˌeːkəsəpˈʌrʈs
ایگزام	ˌeːɡzˈaːm
ایگزیکٹوز	ˌeːɡzˈeːkʈoːz
ایگزیکٹوکمیٹی	ˌeːɡzˈeːkʈoːkmiʈˌiː
بابرنے	baːbˈarneː
باغوں	bˈaːɣõː
باغیانہ	bˈaːɣjaːna
باقیوں	bˈaːqiˌõː
بالمعروف	bɪlmˈaːruːf
بانٹنی	bˈaːnʈni
باوا	bˈaːʋaː
باکسروں	bˈaːkəsrõː
باگو	bˈaːɡoː
باﺅلر	baːˈoːlər
بتائیے	bətˈaːjeː
بتایاجاتا	bˌətaːjaːɟˈaːtaː
بجرنگ	bˈʌɟərˌənɡ
بداوی	bədˈaːʋi
بدست	bˈʌdəst
بدصورت	bˌədʂuːrˈat
بدنصیب	bˈadnaʂˌiːb
بدہضمی	badhˈazmi
برادارن	bˌəraːdˈaːrən
براہیم	bˌəraːhˈiːm
برجستہ	bˈʌrəɟˌəstˌa
بردارریلی	bˌərdaːrrˈiːli
برداروں	bərdˈaːrõː
برطرفیوں	bˈʌrətˌərfˌiõː
برقعے	bˌərqˈaːeː
برٹن	bˈʌrʈən
برڈز	bˈʌrɖz
بریڈرز	bˌəriɖˈʌrz
بشاش	bəʃˈaːʃ
بطو	bˈʌtoː
بطہ	bˈʌtˌa
بعدانہیں	bˈaːdaːnhẽː
بعدیہ	bˈaːdiˌa
بلئیر	bˌəlˈiːr
بلاد	bəlˈaːd
بلتستا	bˈʌlətˌəstˌaː
بناناچاہتے	bˌənaːnaːcˈaːhteː
بنایاہے	bˌənaːjˈaːheː
بندرا	bˈʌndərˌaː
بنکرز	bˌənəkˈʌrz
بنیادو	bˌʊniˈaːdoː
بنیامین	bˌənjaːmˈiːn
بوائل	bˌoaːˈɪl
بورڈزفوری	bˈoːrɖəzfoːrˌiː
بوسال	boːsˈaːl
بونیرمیں	boːnˈiːrmˌẽː
بوپنا	bˈoːpnˌaː
بٹھاتے	bˈɪʈʰaːtˌeː
بٹہ	bˈʌʈˌa
بچاجاسکتا	bˌəcaːɟˈaːsəktaː
بچھائیں	bɪcʰˈaːẽː
بچھی	bˈɪcʰi
بکیوں	bˈʌkiˌõː
بگل	bˈʌɡəl
بھاگتی	bʰˈaːɡtˌiː
بھرلی	bʰˈʌrlˌiː
بھرپورحصہ	bʰˌərpˈoːrəhˌəʂˌa
بھونڈے	bʰˈoːnɖeː
بھٹکے	bʰˈʌʈkˌeː
بھٹیوں	bʰˈʌʈiˌõː
بھگایا	bʰəɡˈaːjaː
بہائے	bəhˈaːeː
بیلیٹ	beːlˈiːʈ
بیم	bˈiːm
تاژ	tˈaːʒ
تبادلۂ	tˌəbaːdˌəlˈaeː
تحفط	tˈʌhəfˌət
تخم	tˈʌxəm
ترجیجات	tˌərɟˌiːɟˈaːt
تعاو	tˈaːoː
تعلم	tˈaːləm
تمباکونوشی	tˌəmbaːkoːnˈoːʃi
تمبو	tˈambuː
تمپ	tˈʌmp
تمہید	tˈamhid
تندوروں	təndˈuːrõː
تنزلیوں	tˈʌnəzliˌõː
تنفس	tanˈaffʊs
تنکے	tˈʌnkˌeː
تنہانہیں	tˌənhˈaːnhˌẽː
تولیے	tˈoːljeː
توڑدیا	tˌoːr.dˈiːaː
تڑپا	tˈʌr.pˌaː
تڑپتے	tˈʌr.əpteː
تڑکا	tˈʌr.kˌaː
تکینکی	təkˈiːnkˌiː
تگنی	tˈʌɡnˌiː
تھکان	tʰəkˈaːn
تھیلسیمیا	tʰˌeːlsˈiːmjaː
تیرنے	tˈeːrnˌeː
جاز	ɟˈaːz
جازی	ɟˈaːzi
جاویدنے	ɟaːʋˈeːdneː
جبوتی	ɟəbˈoːti
جبھی	ɟˈʌbʰi
جداگانہ	ɟˈʊdaːɡˌaːnˌa
جرت	ɟˈʌrət
جسٹ	ɟˈʌsʈ
جلدخوشخبری	ɟˌələdxˈoːʃəxˌəbrˌiː
جمن	ɟˈʌmən
جنبش	ɟˈʌnbəʃ
جنجال	ɟənɟˈaːl
جنریٹروں	ɟˌənrˈiːʈrˌõː
جنگلے	ɟˈʌnəɡleː
جواہرات	ɟˈaʋaːhˌərˌaːt
جوایک	ɟˈaʋaːˌiːk
جوشخص	ɟˈoːʃəxˌəʂ
جوناگڑھ	ɟˌoːnaːɡˈʌr.h
جٹاں	ɟˈʌʈãː
جگلوٹ	ɟˌəɡlˈoːʈ
جگموہن	ɟˌəɡmˈoːhən
جھنجھوڑ	ɟʰənɟʰˈoːr.
جھکنا	ɟʰˈʊknaː
جھیلنے	ɟʰˈeːlnˌeː
جیساکہ	ɟeːsˈaːkˌa
جیلاٹن	ɟeːlˈaːʈən
جینی	ɟˈiːni
جیولر	ɟeːˈoːlər
جیومیپنگ	ɟˌeːoːmˈiːpɪnɡ
حافظہ	hˈaːfəʐa
حتجاج	hˌətɟˈaːɟ
حرات	hˌərˈaːt
حریم	hərˈiːm
حملہجابان	hˌəməlhɟaːbˈaːn
حملہغلام	hˌəməlˌəhəɣlˈaːm
حملہمعین	hˌəməlhmaˈiːn
حوض	hˈoːz
خادماؤں	xˌaːdmaːˈoːn
خاشاک	xaːʃˈaːk
خالصتا	xˈaːlɪʂtˌaː
خالف	xˈaːlɪf
خانپشاور	xˈaːnpəʃˌaːʋər
خانکوئٹہ	xˌaːnkoːˈɪʈˌa
خبیر	xəbˈiːr
خرچیوں	xˈʌrciˌõː
خری	xˈʌri
خواری	xʋˈaːri
خولہ	xˈoːlˌa
خونیں	xˈoːnẽː
خیرہ	xˈeːrˌa
دادری	dˈaːdrˌiː
داریا	dˈaːrjaː
دانتے	dˈaːntˌeː
داکٹر	dˈaːkʈar
دبائیں	dəbˈaːẽː
دبدبہ	dˈabdabˌa
دبیر	dəbˈiːr
دراوڑ	dərˈaːʋər.
درگاہوں	dˌərɡˈaːhõː
دسمبرمیں	dəsˈʌmbərmẽː
دسمبرکے	dəsˈʌmbərkeː
دسیتاب	dˌəsitˈaːb
دعوئوں	daːˈoːõː
دعوہ	dˈaːʋˌa
دوحصوں	dˈoːhəʂˌõː
دودا	dˈoːdaː
دورانی	doːrˈaːni
دورکے	dˈoːrkˌeː
دورۂ	dˌoːrˈaeː
دومنٹ	dˈoːmənʈ
دوڑائیں	doːr.ˈaːẽː
دھائیوں	dʰˈaːiˌõː
دھریں	dʰˈʌrẽː
دھماکےملک	dʰˌəmaːkˈeːməlˌək
دھماکےڈاکٹر	dʰˌəmaːkeːɖˈaːkʈar
دھمیال	dʰəmjˈaːl
دھوئے	dʰˈoːeː
دھوتے	dʰˈoːteː
دھچکے	dʰˈʌckˌeː
دھکونسلوں	dʰəkˈoːnsəlˌõː
دھی	dʰˈiː
دیباچہ	deːbˈaːca
دیرنیہ	dˌeːrnˈiːa
دینو	dˈeːnoː
دیوبندی	dˌeːoːbˈʌndi
دیگرتمام	dˌeːɡərˌətmˈaːm
دیگچے	dˈeːɡcˌeː
ذائد	zˈa͡ɪd
ذرئع	zˈʌrˌaː
ذون	zˈoːn
راؤٹر	raːˈoːʈər
رائیلٹی	raːˈiːlʈˌiː
رائیٹ	raːˈiːʈ
رادھاکشن	raːdʰˈaːkəʃˌən
رافع	rˈaːfeː
ربنواز	rˌəbnʋˈaːz
ربیرہ	rəbˈiːrˌa
رتوڈیرو	rˌətoːɖˈiːroː
رجسٹرکیں	rˌɪɟɪsʈˈarkẽː
رجعت	rʊɟˈat
رجہ	rˈʌɟˌa
رحمہ	rˈʌhəma
رخسار	rˈʊxsaːr
رعشہ	rˈaːʃˌa
رفقا	rˌʊfaqˈaː
رنجی	rˈʌnɟi
روبکار	rˌoːbkˈaːr
روج	rˈoːɟ
روزایک	rˌoːzaːjˈak
روڈکی	rˈoːɖkˌiː
روکھڑی	rˈoːkʰr.ˌiː
رپورت	rɪpˈoːrt
رپولیس	rˌəpoːlˈiːs
رکاؤٹ	rˌəkaːˈoːʈ
رکوع	rˈʊkuː
ریالٹی	rjˈaːlʈˌiː
ریزیڈنسی	rˌeːziɖˈʌnsi
ریسرچر	reːsˈʌrcər
رینز	rˈeːnəz
رینڈم	rˈeːnɖəm
ریڈارز	reːɖˈaːrz
ریکارڑ	reːkˈaːrər.
زارااکبر	zˌaːraːˈaːkəbˌər
زاروں	zˈaːrõː
زداری	zədˈaːri
زمزمہ	zˈʌməzˌəmˌa
زیلی	zˈeːli
زینے	zˈiːneː
سارو	sˈaːroː
سامنہ	sˈaːməna
سامی	sˈaːmi
ساٹھویں	sˈaːʈʰʋẽː
ساگا	sˈaːɡaː
سبک	sˈʊbʊk
سترویں	sətˈʌrʋẽː
سترھویں	sˈʌtərˌəhəʋˌẽː
ستیش	sətˈiːʃ
سدھر	sʊdhˈar
سرف	sˈʌrəf
سرمایاکاروں	sˌərmˌaːjaːkˈaːrõː
سرک	sˈʌrək
سرکولر	sˌərkˈuːlər
سرینڈر	sərˈiːnɖər
سریے	sˈʌrjeː
سسٹرز	səsʈˈʌrz
سعو	sˈaːoː
سلارزئی	səlˈaːrəzi
سلفر	sˈʌləfˌər
سمجھائے	sˌəmɟʰˈaːeː
سمجھوں	sˈʌmɟʰˌõː
سمنگلی	sˈʌmənˌəɡlˌiː
سمو	sˈʌmoː
سمیتا	səmˈiːtaː
سنس	sˈʌns
سنسکرت	sˈanskrɪt
سنن	sˈʌnən
سنٹرمیں	sɪnʈˈarmẽː
سنچورین	sˌəncoːrˈiːn
سنک	sˈʌnək
سنگترے	sˈʌnəɡˌətrˌeː
سوئپنگ	soːˈɪpɪnɡ
سواریز	sˌaʋaːrˈiːz
سوداگروں	soːdˈaːɡrˌõː
سوروپ	soːrˈoːp
سوشانت	soːʃˈaːnət
سوٹوں	sˈoːʈõː
سوٹے	sˈoːʈeː
سوڈیم	soːɖˈiːm
سٹریپ	sˌəʈrˈiːp
سٹوروالوں	sʈˈoːrʋaːlˌõː
سٹوڈیوز	sʈˌoːɖeːˈoːz
سٹینڈرڈز	sʈˈeːnɖərɖz
سپئیر	sˌəpˈiːr
سپروائز	sʊpˈarʋa͡ɪz
سکالرشپس	səkˈaːlərˌəʃəpˌəs
سکر	sˈʌkər
سکندرحیات	sˌəkəndˌərhiˈaːt
سکولو	səkˈoːloː
سکھانا	səkʰˈaːnaː
سہولیاتی	səhˈoːljaːtˌiː
سیدخورشید	sˌeːdxˌoːrʃˈiːd
سیریزکا	seːrˈiːzkˌaː
سیزر	sˈeːzər
سیمل	sˈeːməl
سیموئل	sˌeːmoːˈɪl
سیمونا	seːmˈoːnaː
سینماوٴں	sˈiːncʰoːʈˈiːjeːnˈuːnmˈiːmˈalɪfˈoːlˈetəcʰˈehsˈaːtcˈaːrnˈuːnɣʊnnˌa
سیٹئرنگ	sˈeːʈrˌɪnɡ
سیکوئیل	sˌeːkoːˈiːl
سیکٹریٹ	sˈeːkʈərˌiːʈ
سےگفتگو	sˈeːɡəfˌətɡˌoː
شبہہ	ʃˈʌbəhˌəa
شبہے	ʃˈʌbhˌeː
شجیع	ʃˈʌɟi
شخصیا	ʃˈaxʂjaː
شدھی	ʃˈʌdʰi
شریانیں	ʃərjˈaːnẽː
شغف	ʃˈʌɣəf
شمسہ	ʃˈʌməsa
شوئی	ʃˈoːi
شوبھا	ʃˈoːbʰaː
شکارہے	ʃəkˈaːrhˌeː
شہبازنے	ʃˈɛhbaːzneː
شہیدکی	ʃəhˈiːdkˌiː
شیئرزکم	ʃeːˈarəzˌəkəm
شیرنی	ʃˈeːrnˌiː
شیلٹرز	ʃˌeːləʈˈʌrz
شیکسپیئر	ʃˌeːkəspiˈar
صحتمندانہ	ʂˌəhətˌəmndˈaːnˌa
صدرچوہدری	ʂˌədrcˈoːhədri
صدہ	ʂˈʌda
صلیب	ʂəlˈiːb
صول	ʂˈoːl
صہیونیوں	ʂˌəheːˈoːniˌõː
ضیغم	zˈeːɣəm
طرفداری	tˌərəfdˈaːri
طوائف	taʋˈa͡ɪf
عبدالباقی	ˌabdˌaːlbˈaːqi
عبدالر	ˌabdˈaːlɪr
عبدالرسول	ˌabdˌaːlərsˈoːl
عبدالناصر	ˌabdˌaːlnˈaːʂɪr
عبدللہ	ˈabədˌələla
عطائیت	ˌataːiˈat
علاحدگی	alˈaːhədɡi
علیہم	alˈiːhəm
عملداروں	ˌaməldˈaːrõː
غائر	ɣˈa͡ɪr
غریباں	ɣərˈiːbãː
غیبی	ɣˈeːbi
غیرترقیاتی	ɣˌeːrətˌərqjˈaːti
غیرے	ɣˈeːreː
فاؤنٹین	fˌaːoːnʈˈiːn
فائلر	fˈa͡ɪlər
فانڈیشن	fˈaːnɖeːʃˌan
فتاری	fətˈaːri
فرارہو	fərˈaːrhˌoː
فربہ	fˈarba
فردین	fərdˈiːn
فرماتی	fˌərmˈaːti
فرمانبردار	fˌərmˈaːnbərdˌaːr
فرمانبرداری	fˌərmˈaːnbərdˌaːri
فرنیٹر	fˌərnˈiːʈər
فروم	fərˈoːm
فریدالدین	fˌəridˌaːldˈiːn
فریکوئنسی	fˌərikoːˈɪnsi
فزا	fˈʌzaː
ففتھ	fˈɪftʰ
فلائیڈ	fˌəlaːˈiːɖ
فلس	fˈʌləs
فلپس	fˈʌləpˌəs
فلیکسز	flˈeːkəsˌəz
فنکارائیں	fˌənkaːrˈaːẽː
فنگرپرنٹ	fˈʌnəɡˌərəpˌərənʈ
فولڈ	fˈoːlɖ
فوٹوگرافی	fˌoːʈoːɡrˈaːfi
فوٹیجز	foːʈˈiːɟəz
فیق	fˈeːq
فیمیل	feːmˈiːl
فیڈنگ	fˈeːɖɪnɡ
قانونیت	qˈaːnuːnˌiːat
قراردی	qərˈaːrdi
قمرالدین	qˌəmrˌaːldˈiːn
قوا	qˈaʋaː
قیادتیں	qˈajaːdtẽː
لائبریریز	lˌa͡ɪbrirˈiːz
لائیٹس	laːˈiːʈs
لائیگی	laːˈiːɡi
لادینی	laːdˈiːni
لارہا	lˈaːrhˌaː
لاما	lˈaːmaː
لاوروف	lˌaːʋrˈoːf
لاھور	lˌaːhəˈoːr
لبادے	ləbˈaːdeː
لدھے	lˈʌdʰeː
لغو	lˈʌɣoː
للی	lˈʌli
لمہ	lˈʌmˌa
لوٹتا	lˈoːʈtˌaː
لوکاٹ	loːkˈaːʈ
لوکیشنز	lˌoːkeːʃˈanz
لکسمبرگ	lˌəkəsˈʌmbərˌəɡ
لکمل	lˈʌkəmˌəl
لکڑہارا	lˌəkər.hˈaːraː
لکھاریوں	lˈɪkʰaːrˌiõː
لگوایا	ləɡʋˈaːjaː
لہراتا	lˈɛhraːtˌaː
لیاجائیگا	ljˌaːɟaːˈiːɡaː
لیلی	lˈeːli
لیکویڈ	lˈeːkʋiɖ
لیگا	lˈeːɡaː
ماؤس	maːˈoːs
مائکروفنانس	mˌa͡ɪkrˌoːfnˈaːns
مارکی	mˈaːrkˌiː
مالکاری	mˌaːlkˈaːri
ماڈیول	mˌaːɖeːˈoːl
مبارکبادپیش	mˌəbaːrˌəkbˌaːdpˈiːʃ
محصول	mɛhʂˈuːl
محمدوزیر	mˌəhəmdoːzˈiːr
محکمو	meːhˈeːkmoː
مراتب	mərˈaːtəb
مرتد	mˈʌrətˌəd
مرز	mˈʌrəz
مرسیڈیز	mˌərsiɖˈiːz
مرغے	mˈʊrɣeː
مرڈیشور	mˌərɖiʃˈoːr
مرگیا	mərˈʌɡjaː
مزارپر	məzˈaːrəpˌər
مزیدبہتر	məzˈiːdəbˌəhətˌər
مزیدبہتری	məzˈiːdəbˌəhətri
مزیدحلیہ	mˌəzidˌəhəlˈiːa
مستان	mˌəstˈaːn
مستجاب	mˌʊstaɟˈaːb
مستعار	mˌəstˈaːr
مسواک	məsʋˈaːk
مسکرائے	mˈʊskˌʊraːˌeː
مشابہ	mʊʃˈaːbɛh
مشرکہ	mˈʌʃərˌəkˌa
مصطفین	mˌʊʂtafˈiːn
مصمم	mˈʌʂəmˌəm
مصوروں	mʊʂˈaʋʋɪrˌõː
مظاہرا	mʊʐˈaːhɪrˌaː
معذوراں	mˈaːzuːrˌãː
معنویت	mˌaːnoːiˈat
معید	maˈiːd
ملاتو	məlˈaːtoː
ملادیں	məlˈaːdẽː
ملازمینکراچی	mˌʊlaːzˌɪminˌəkrˈaːci
ملانی	mˈɪlaːnˌiː
ملبورن	mˌəlbˈuːrən
ملتو	mˈʌltˌoː
ملزمات	mˈʊlzˌɪmaːt
ملکان	mˌəlkˈaːn
ملہی	mˈʌlhˌiː
ممبرا	mˈʌmbərˌaː
منجھی	mˈʌnɟʰi
منظوروٹو	mˌanʐˈuːroːʈˌoː
منظورکرلیا	mˌanʐˈuːrkərljaː
منکر	mˈʊnkɪr
موئسچرائزر	moːˈɪsəcra͡ɪzˌər
موئن	moːˈɪn
موجوں	mˈoːɟõː
مورخ	mʊˈarrɪx
مورخین	mʊˈarrɪxˌiːn
مورنی	mˈoːrnˌiː
موزے	mˈoːzeː
مولاناسید	mˌoːlaːnaːsˈiːd
مومنین	mˌoːmɪnˈiːn
مونچھیں	mˈuːncʰẽː
موٹورولا	mˌoːʈoːrˈoːlaː
موہانی	moːhˈaːni
مٹنے	mˈɪʈneː
مٹھائیوں	məʈʰˈaːiˌõː
مکل	mˈʌkəl
مہرہ	mˈɛhrəˌa
میجک	mˈeːɟək
مید	mˈeːd
میدیا	meːdˈiːaː
میراڈونا	mˌeːraːɖˈoːnaː
میرن	mˈeːrən
میلادالنبیﷺ	mˈiːmcʰoːʈˈiːjeːlˈaːmˈalɪfdˈaːlˈalɪflˈaːmnˈuːnbˈeːcʰoːʈˈiːjeːdˌʊruːdsalˈallaːhˌʊalˌeːhɪʋˌaaːlˌɪhiʋˌasalˌam
میلکم	mˈeːləkˌəm
میلینیم	mˌeːlinˈiːm
مینیجرز	mˌeːniɟˈʌrz
میپنگ	mˈeːpɪnɡ
میچورٹی	meːcˈoːrʈi
میڈیامیں	mˈeːɖjaːmˌẽː
میںایک	mˌẽaːˈiːk
مےئر	meːˈar
نائجیرین	nˌa͡ɪɟirˈiːn
ناامید	nˌaːaːmˈiːd
نات	nˈaːt
ناجانے	naːɟˈaːneː
نارنجی	naːrˈʌnɟi
ناصراقبال	nˌaːʂrˌaːqbˈaːl
ناولوں	nˈaːʋlˌõː
ناٹک	nˈaːʈək
نبویﷺ	nˈuːnbˈeːˈoːcʰoːʈˈiːjeːdˌʊruːdsalˈallaːhˌʊalˌeːhɪʋˌaaːlˌɪhiʋˌasalˌam
نثارسے	nɪsˈaːrseː
نثری	nˈʌsrˌiː
ندیاں	nˈʌdjãː
نرندر	nərˈʌndər
نظرسکیورٹی	naʐˈarsəkˌeːoːrʈˌiː
نغمات	nˈaɣmaːt
نفل	nˈʌfəl
نقاش	nəqˈaːʃ
نقاط	nəqˈaːt
نمبرد	nəmbˈʌrd
نمبرپرزمباوے	nˌəmbərˌəpərˌəzmbˈaːʋeː
نمٹادیا	nˌɪmʈaːdˈiːaː
نمٹے	nˈɪmʈeː
نندیتا	nəndˈiːtaː
نوبیا	nˈoːbjaː
نورالدین	nˌoːraːldˈiːn
نورمحمد	nˈoːrəmˌəhəmˌəd
نوشینہ	noːʃˈiːnˌa
نکسن	nˈʌkəsˌən
نکلو	nˈɪkloː
نگوں	nˈɪɡũː
نہانا	nəhˈaːnaː
نیررضا	nˈeːrərzaː
نیشل	nˈeːʃəl
نینسی	nˈeːnsi
نیوزویب	neːˈoːzʋib
نیپئر	nˈeːpər
نیچی	nˈiːci
نیگروپونٹے	nˌeːɡroːpˈoːnʈeː
نےا	nˈeːaː
وئی	ʋˈʌi
وائٹل	ʋˈa͡ɪʈəl
وادبی	ʋˈaːdbˌiː
واورینکا	ʋˌaːoːrˈiːnkˌaː
واچز	ʋˈaːcəz
وبالا	ʋəbˈaːlaː
وجدل	ʋˈʌɟədˌəl
وجوار	ʋəɟʋˈaːr
وخطر	ʋˈʌxətˌər
ودماغ	ʋˌədmˈaːɣ
ودو	ʋˈʌdoː
ودود	ʋədˈoːd
ودینی	ʋədˈiːni
ورا	ʋˈʌraː
وزراعظم	ʋˌʊzaraːˈaːʐəm
وسائی	ʋəsˈaːi
وفودسے	ʋəfˈoːdsˌeː
وقعہ	ʋəqˈaːa
وقفوں	ʋˈʌqfˌõː
ولدیت	ʋˌələdiˈat
ولنگڈن	ʋˈʌlənˌəɡəɖˌən
ولیئرز	ʋˌəliˈarz
ونسلیٹ	ʋˌənsəlˈiːʈ
ووٹرلسٹوں	ʋˌoːʈərəlˈʌsʈõː
ووٹو	ʋˈoːʈoː
وڈپٹی	ʋˈʌɖəpʈi
وڈی	ʋˈʌɖi
وڈیوز	ʋˌəɖeːˈoːz
وکلائے	ʋˌəklˈaːeː
ویادگار	ʋjˌaːdɡˈaːr
ویثرن	ʋˈeːsərˌən
ویلفئر	ʋˈeːləfˌər
وینکٹیش	ʋˌeːnəkʈˈiːʃ
وینگ	ʋˈeːnɡ
ٹائٹ	ʈˈa͡ɪʈ
ٹاکرے	ʈˈaːkrˌeː
ٹرانسفیوژن	ʈrˈaːnsəfˌeːoːʒˌən
ٹرکس	ʈˈʌrəkˌəs
ٹورنمنٹ	ʈˈoːrənˌəmənʈ
ٹوفل	ʈˈoːfəl
ٹکرائیں	ʈˌəkrˈaːẽː
ٹکس	ʈˈʌkəs
ٹھا	ʈʰˈaː
ٹھس	ʈʰˈʌs
ٹھپے	ʈʰˈʌpeː
ٹیلنٹڈ	ʈˈeːlənˌəʈəɖ
ٹیکنالو	ʈˌeːknˈaːloː
ٹیکنوکریٹس	ʈˌeːknˌoːkrˈiːʈs
ٹیگنگ	ʈˈeːɡənɡ
پائندہ	pˈa͡ɪnda
پائینئر	paːˈiːnər
پالیسیز	pˌaːlisˈiːz
پامالیاں	paːmˈaːljãː
پاورفل	pˈaːʋərˌəfəl
پاکستانسردار	pˌaːkəstˈaːnsərdˌaːr
پاکستانمولانا	pˌaːkəstaːnmoːlˈaːnaː
پجاریوں	pəɟˈaːriˌõː
پرآ	pˈʌraː
پرائیوٹائزیشن	pˌəraːˌeːoːʈˌa͡ɪzeːʃˈan
پراے	pərˈaːeː
پرتشددواقعات	pˌərətˌəʃəddʋaːqˈaːt
پرتھوی	pərˈʌtʰʋi
پرحاصل	pˌərhˈaːʂɪl
پردوبارہ	pˌərdoːbˈaːrˌa
پردیس	pˈardeːs
پردیپ	pərdˈiːp
پرروانہ	pˌərrʋˈaːnˌa
پررکھ	pˈʌrərˌəkʰ
پرسری	pˈʌrəsri
پرسیکیورٹی	pˌərsˌiːkeːˈoːrʈi
پرلانے	pˌərlˈaːneː
پرلٹکے	pˈʌrəlˌəʈkˌeː
پرمیں	pˈʌrmˌẽː
پروبیشن	pˌəroːbeːʃˈan
پروسیس	pˌəroːsˈiːs
پروفیشن	prˌoːfeːʃˈan
پرکشمیر	pˌərəkˌəʃmˈiːr
پریمیئرلیگ	pˌərimiˈarlˌiːɡ
پسنجر	pəsˈʌnɟər
پشاورکاڈبلیو	pˌəʃaːʋˌərkˌaːɖəblˈeːoː
پلاٹینم	pˌəlaːʈˈiːnəm
پلنکٹ	pˈʌlənˌəkəʈ
پنجابیوں	pənɟˈaːbiˌõː
پنجروں	pˈʌnɟərˌõː
پنشنر	pˈʌnəʃˌənər
پنٹو	pˈʌnʈˌoː
پنٹی	pˈʌnʈˌiː
پنچایتی	pəncˈaːjatˌiː
پولش	pˈoːləʃ
پولیتھین	pˌoːlitʰˈiːn
پومی	pˈoːmi
پٹریوں	pˈʌʈrˌiõː
پٹھانوں	pəʈʰˈaːnõː
پٹیشنر	pəʈˈiːʃənˌər
پڑیگی	pər.ˈiːɡi
پکسلز	pˈʌkəsˌələz
پگڑیاں	pəɡˈʌr.jãː
پھلیوں	pʰˈʌliˌõː
پھٹا	pʰˈʌʈaː
پھیلاتے	pʰeːlˈaːteː
پھیلنا	pʰˈeːlnˌaː
پہنانا	pɛhnˈaːnaː
پہنچارہے	pahˈʊncaːrheː
پہنچاہے	pahˈʊncaːhˌeː
پہچاننا	pˈɛhcaːnnaː
پہیچ	pəhˈiːc
پیداہوئی	pˌeːdaːhˈoːi
پیراشوٹ	pˌeːraːʃˈoːʈ
پینتس	pˈeːnətˌəs
پیڑی	pˈeːr.i
چادرپوشی	cˌaːdərpˈoːʃi
چارماہ	cˌaːrmˈaːh
چانسز	cˈaːnsəz
چاپلوسی	cˌaːplˈoːsi
چاچڑاں	cˈaːcr.ˌãː
چسپی	cˈʌspˌiː
چندرپال	cˌəndərpˈaːl
چندماہ	cˌəndəmˈaːh
چوہڑ	cˈoːhər.
چٹخارے	cˌəʈxˈaːreː
چچازاد	cˌəcaːzˈaːd
چڑے	cˈɪr.eː
چھانٹ	cʰˈaːnʈ
چھوڑو	cʰˈoːr.oː
چھوہاروں	cʰoːhˈaːrõː
چھینتی	cʰˈiːnti
چھینٹے	cʰˈiːnʈeː
چہائیکورٹ	cˌəhaːikˈoːrʈ
چہارمنگ	cəhˈaːrəmˌənɡ
چیرہ	cˈiːra
چیلنجزسے	ceːlˈʌnɟəzseː
چیلہ	cˈeːlˌa
چینجرز	cˈeːnɟərz
ڈائٹ	ɖˈa͡ɪʈ
ڈائٹنگ	ɖˈa͡ɪʈɪnɡ
ڈارٹس	ɖˈaːrʈs
ڈالوں	ɖˈaːlõː
ڈانسنگ	ɖˈaːnsɪnɡ
ڈاکومنٹ	ɖaːkˈoːmənʈ
ڈاکوو	ɖˈaːkʋoː
ڈبلن	ɖˈʌbəlˌən
ڈرگز	ɖˈʌrəɡˌəz
ڈریمز	ɖərˈiːməz
ڈریکولا	ɖˌərikˈoːlaː
