ላይ	lˈaj
ድርጊቶች	dˈɨrɨɡitot͡ʃ
ጀመረ	d͡ʒˈəmərə
ገበሬ	ɡˈəβəre
ገቢ	ɡˈəβi
ጋብቻ	ɡˈaβɨt͡ʃa
ግድብ	ɡˈɨdɨb
ጠቅላላ	t`ˈək`ɨlala
ጠባቂ	t`ˈəβak`i
ጥቅምት	t`ˈɨk`ɨmɨt
ጥንቃቄ	t`ˈɨnɨk`ak`e
ጨካኝ	t͡ʃ`ˈəkaɲ
ጽሕፈቶች	tsˈɨhɨfətot͡ʃ
ፀሓይ	tsˈəhaj
ፈረንሳይ	fˈərənɨsaj
ፈቃደኛ	fˈək`adəɲa
ፈጠራ	fˈət`əra
ፕሮፌሰር	pˈɨrofesər
ሂክሶስ	hˈikɨsos
ህይወቱ	hˈɨjɨwətu
ለሕዝብ	lˈəhɨzɨb
ለመግለጽ	lˈəməɡɨləts
ለመጻፍ	lˈəmətsaf
ለማረጋገጥ	lˈəmarəɡaɡət`
ለነዚህ	lˈənəziç
ለዘላለም	lˈəzəlaləm
ለዚሁ	lˈəzihu
ሊታወቅ	lˈitawək`
ሊታይ	lˈitaj
ልጇ	lˈɨd͡ʒwa
ሕንድ	hˈɨnɨd
ሕንፃ	hˈɨnɨtsa
መልከ	mˈəlɨkə
መሠረታዊ	mˈəsərətawi
መሥሪያ	mˈəsɨrija
መረጃዎችን	mˈərəd͡ʒawot͡ʃɨn
መርገጫ	mˈərɨɡət͡ʃ`a
መንኮራኩር	mˈənɨkorakur
መንግሥትን	mˈənɨɡɨsɨtɨn
መያዝ	mˈəjaz
መጽሓፍ	mˈətsɨhaf
ሙስሊም	mˈusɨlim
ማረጋገጥ	mˈarəɡaɡət`
ማርቆስ	mˈarɨk`os
ማናቸውንም	mˈanat͡ʃəwɨnɨm
ማዶ	mˈado
ምስሎች	mˈɨsɨlot͡ʃ
ምድርን	mˈɨdɨrɨn
ሦስተኛው	sˈosɨtəɲaw
ሲናገር	sˈinaɡər
ሲኖረው	sˈinorəw
ሲያርፍ	sˈijarɨf
ሲጀምር	sˈid͡ʒəmɨr
ሲገኝ	sˈiɡəɲ
ሲጻፍ	sˈitsaf
ሳቢያ	sˈaβija
ስልኮች	sˈɨlɨkot͡ʃ
ሽብር	ʃˈɨβɨr
ቀለማት	k`ˈələmat
ቀጥ	k`ˈət`
ቁመት	k`ˈumət
ቁም	k`ˈum
ቄሣር	k`ˈesar
ቅርፅ	k`ˈɨrɨts
ቅዱስን	k`ˈɨdusɨn
ቆይታ	k`ˈojɨta
በሀገሪቱ	bˈəhaɡəritu
በሂሳብ	bˈəhisab
በመቀጠልም	bˈəmək`ət`əlɨm
በመንፈስ	bˈəmənɨfəs
በመያዝ	bˈəməjaz
በመጨረሻው	bˈəmət͡ʃ`ərəʃaw
በማሰብ	bˈəmasəb
በማስቀመጥ	bˈəmasɨk`əmət`
በማሸነፍ	bˈəmaʃənəf
በሶርያ	bˈəsorɨja
በቃል	bˈək`al
በንጉሠ	bˈənɨɡusə
በአመጽ	bˈəʔaməts
በአገራችን	bˈəʔaɡərat͡ʃɨn
በኣሁኑ	bˈəʔahunu
በኤሌክትሪክ	bˈəʔelekɨtɨrik
በከተማዋ	bˈəkətəmawa
በዘመናት	bˈəzəmənat
በደስታ	bˈədəsɨta
በግ	bˈəɡ
ባህሪ	bˈahɨri
ባቡር	bˈaβur
ቤቱን	bˈetun
ብዛቱ	bˈɨzatu
ቪ	vˈi
ተለይተው	tˈələjɨtəw
ተመራማሪዎች	tˈəməramariwot͡ʃ
ተዋናይ	tˈəwanaj
ነሽ	nˈəʃ
ንጉሣዊ	nˈɨɡusawi
አልበም	ʔˈalɨβəm
አመለካከት	ʔˈamələkakət
አመቱ	ʔˈamətu
አማካሪ	ʔˈamakari
አራዊት	ʔˈarawit
አቡጊዳ	ʔˈaβuɡida
አባቱን	ʔˈaβatun
አብዮታዊ	ʔˈaβɨjotawi
አንዳንዶቹ	ʔˈanɨdanɨdot͡ʃu
አገሪቱ	ʔˈaɡəritu
አጥቢ	ʔˈat`ɨβi
ኣንድን	ʔˈanɨdɨn
ኤም	ʔˈem
ኤችአይቪ	ʔˈet͡ʃɨʔajɨvi
እስልምና	ʔˈɨsɨlɨmɨna
እስፓንያ	ʔˈɨsɨpanɨja
እንስሶች	ʔˈɨnɨsɨsot͡ʃ
እንዲህም	ʔˈɨnɨdihɨm
እጁ	ʔˈɨd͡ʒu
ከሚገኙት	kˈəmiɡəɲut
ከሦስት	kˈəsosɨt
ኩነት	kˈunət
ኮድ	kˈod
ወላጆች	wˈəlad͡ʒot͡ʃ
ወግ	wˈəɡ
ዋናዎቹ	wˈanawot͡ʃu
ውድ	wˈɨd
ውድድሮችን	wˈɨdɨdɨrot͡ʃɨn
ዝሆን	zˈɨhon
የሌላቸው	jˈəlelat͡ʃəw
የሌሎች	jˈəlelot͡ʃ
የሚመስል	jˈəmiməsɨl
የሚረዳ	jˈəmirəda
የሚሰጠው	jˈəmisət`əw
የሚገልጽ	jˈəmiɡəlɨts
የሳይንስና	jˈəsajɨnɨsɨna
የበሬ	jˈəβəre
የብሔረሰቡ	jˈəβɨherəsəβu
የተሰኙ	jˈətəsəɲu
የተዘጋጀ	jˈətəzəɡad͡ʒə
የቱርክ	jˈəturɨk
የታተመ	jˈətatəmə
የታወቁት	jˈətawək`ut
የአቶ	jˈəʔato
የወጡ	jˈəwət`u
የዓመቱ	jˈəʔamətu
የደረሰ	jˈədərəsə
የድንጋይ	jˈədɨnɨɡaj
የገዛ	jˈəɡəza
የግዴታ	jˈəɡɨdeta
የፆታ	jˈətsota
ያስተምር	jˈasɨtəmɨr
ያደረገ	jˈadərəɡə
ይመስላል	jˈɨməsɨlal
ደማቅ	dˈəmak`
ደብዳቤዎች	dˈəβɨdaβewot͡ʃ
ደንቦች	dˈənɨβot͡ʃ
ደጋፊዎች	dˈəɡafiwot͡ʃ
ዲባባ	dˈiβaβa
ዳኛ	dˈaɲa
ጄኔራል	d͡ʒˈeneral
ገዙ	ɡˈəzu
ግንባታ	ɡˈɨnɨβata
ጠላቶች	t`ˈəlatot͡ʃ
ጣይቱ	t`ˈajɨtu
ጥንካሬ	t`ˈɨnɨkare
ጨዋታዎች	t͡ʃ`ˈəwatawot͡ʃ
ጽሑፎችን	tsˈɨhufot͡ʃɨn
ፈጣን	fˈət`an
ፊታውራሪ	fˈitawɨrari
ፊደሉን	fˈidəlun
ህብረተሰብ	hˈɨβɨrətəsəb
ህንጻ	hˈɨnɨtsa
ለሁለተኛ	lˈəhulətəɲa
ለሁሉም	lˈəhulum
ለሌላ	lˈəlela
ለመቆጣጠር	lˈəmək`ot`at`ər
ለመጠቀም	lˈəmət`ək`əm
ለምግብነት	lˈəmɨɡɨβɨnət
ልዕልት	lˈɨʔɨlɨt
ሐረር	hˈarər
ሕዝቡን	hˈɨzɨβun
ሕጋዊ	hˈɨɡawi
መልአክ	mˈəlɨʔak
መልእክት	mˈəlɨʔɨkɨt
መቀየር	mˈək`əjər
መቼ	mˈət͡ʃe
መንገደኞች	mˈənɨɡədəɲot͡ʃ
መወሰኛ	mˈəwəsəɲa
መጻሕፍትን	mˈətsahɨfɨtɨn
ሙዚየም	mˈuzijəm
ማነስ	mˈanəs
ምላሽ	mˈɨlaʃ
ምርመራ	mˈɨrɨməra
ምስጢር	mˈɨsɨt`ir
ምጣኔ	mˈɨt`ane
ሥርዓተ	sˈɨrɨʔatə
ሩቅ	rˈuk`
ራዕይ	rˈaʔɨj
ሰማዕት	sˈəmaʔɨt
ሰዎችም	sˈəwot͡ʃɨm
ሱዳን	sˈudan
ሳባ	sˈaβa
ሳይመን	sˈajɨmən
ስሌት	sˈɨlet
ስሞቹ	sˈɨmot͡ʃu
ሶርያ	sˈorɨja
ሶቅራጠስ	sˈok`ɨrat`əs
ቀለሞችን	k`ˈələmot͡ʃɨn
ቀውስ	k`ˈəwɨs
ቁርአን	k`ˈurɨʔan
ቅኔ	k`ˈɨne
ቅደም	k`ˈɨdəm
በሀገር	bˈəhaɡər
በሁለተኛ	bˈəhulətəɲa
በሁዋላ	bˈəhuwala
በህዝብ	bˈəhɨzɨb
በመላክ	bˈəməlak
በመጀመሪያው	bˈəməd͡ʒəmərijaw
በመፍጠር	bˈəməfɨt`ər
በምስራቅ	bˈəmɨsɨrak`
በምንም	bˈəmɨnɨm
በሽታውን	bˈəʃɨtawɨn
በበለጠ	bˈəβələt`ə
በባሕር	bˈəβahɨr
በባቢሎን	bˈəβaβilon
በብሔረሰቡ	bˈəβɨherəsəβu
በብዙዎች	bˈəβɨzuwot͡ʃ
በንጉሥ	bˈənɨɡus
በአላህ	bˈəʔalax
በእስራኤል	bˈəʔɨsɨraʔel
በእስር	bˈəʔɨsɨr
በዋናነት	bˈəwananət
በውስጣቸው	bˈəwɨsɨt`at͡ʃəw
በዘፍጥረት	bˈəzəfɨt`ɨrət
በጋራ	bˈəɡara
በግብፅ	bˈəɡɨβɨts
በግንቦት	bˈəɡɨnɨβot
በፈረንሳይ	bˈəfərənɨsaj
ቡናማ	bˈunama
ቢል	bˈil
ባህሎች	bˈahɨlot͡ʃ
ባለፈው	bˈaləfəw
ባንዲራ	bˈanɨdira
ቤታቸው	bˈetat͡ʃəw
ብልት	bˈɨlɨt
ብሔረሰቦች	bˈɨherəsəβot͡ʃ
ብሩስ	bˈɨrus
ብርሃኑ	bˈɨrɨhanu
ቦታው	bˈotaw
ተመልካች	tˈəməlɨkat͡ʃ
ተሠርቶ	tˈəsərɨto
ተራራማ	tˈərarama
ተዋሕዶ	tˈəwahɨdo
ተጫዋቾች	tˈət͡ʃ`awat͡ʃot͡ʃ
ቱትሞስ	tˈutɨmos
ታናሽ	tˈanaʃ
ታደሰ	tˈadəsə
ትምህርትን	tˈɨmɨhɨrɨtɨn
ትውፊቶች	tˈɨwɨfitot͡ʃ
ኃላፊ	hˈalafi
ኃይሎች	hˈajɨlot͡ʃ
ነቢያት	nˈəβijat
ነቢይ	nˈəβij
ነፃነት	nˈətsanət
ንጉሡን	nˈɨɡusun
ንጉሥነቱን	nˈɨɡusɨnətun
ንግስት	nˈɨɡɨsɨt
አህያ	ʔˈahɨja
አልነበረም	ʔˈalɨnəβərəm
አመነምሃት	ʔˈamənəmɨhat
አርቲስት	ʔˈarɨtisɨt
አሳታሚ	ʔˈasatami
አባሎች	ʔˈaβalot͡ʃ
አብጃድ	ʔˈaβɨd͡ʒad
አንጋፋ	ʔˈanɨɡafa
አከባቢ	ʔˈakəβaβi
አዋቂ	ʔˈawak`i
አውጥቶ	ʔˈawɨt`ɨto
አዲሱን	ʔˈadisun
አጠራሩ	ʔˈat`əraru
አጠቃቀም	ʔˈat`ək`ak`əm
አጥር	ʔˈat`ɨr
አጥንት	ʔˈat`ɨnɨt
አፍሪቃ	ʔˈafɨrik`a
ኢየሱስም	ʔˈijəsusɨm
ኤምኔም	ʔˈemɨnem
ኤን	ʔˈen
ኤድስ	ʔˈedɨs
እርሱን	ʔˈɨrɨsun
እርባታ	ʔˈɨrɨβata
እስራኤላውያን	ʔˈɨsɨraʔelawɨjan
እሷም	ʔˈɨswam
እንቅስቃሴዎች	ʔˈɨnɨk`ɨsɨk`asewot͡ʃ
እንዲሄድ	ʔˈɨnɨdihed
እንዳለበት	ʔˈɨnɨdaləβət
እያንዳንዳቸው	ʔˈɨjanɨdanɨdat͡ʃəw
ከባሕር	kˈəβahɨr
ከዛ	kˈəza
ክሮሞሶም	kˈɨromosom
ክፍያ	kˈɨfɨja
ወርረው	wˈərɨrəw
ወስዶ	wˈəsɨdo
ወተት	wˈətət
ወደታች	wˈədətat͡ʃ
ውጫዊ	wˈɨt͡ʃ`awi
ዐዋጅ	ʔˈawad͡ʒ
ዓሣ	ʔˈasa
ዕብራይስጥ	ʔˈɨβɨrajɨsɨt`
ዕውነተኛ	ʔˈɨwɨnətəɲa
ዝና	zˈɨna
የሀገር	jˈəhaɡər
የመንገድ	jˈəmənɨɡəd
የሚሰጡ	jˈəmisət`u
የሚኖረው	jˈəminorəw
የሚያደርግ	jˈəmijadərɨɡ
የሚያገለግሉ	jˈəmijaɡələɡɨlu
የሚጠጉ	jˈəmit`əɡu
የስታትስቲክስ	jˈəsɨtatɨsɨtikɨs
የቀለም	jˈək`ələm
የበሽታ	jˈəβəʃɨta
የተመሰረተ	jˈətəməsərətə
የተሰኘውን	jˈətəsəɲəwɨn
የተያያዘ	jˈətəjajazə
የተፈጠረው	jˈətəfət`ərəw
የነዚህ	jˈənəziç
የአምክንዮ	jˈəʔamɨkɨnɨjo
የአገሪቱን	jˈəʔaɡəritun
የአፈር	jˈəʔafər
የአፍሪቃ	jˈəʔafɨrik`a
የኤርትራን	jˈəʔerɨtɨran
የዓፄ	jˈəʔatse
የድሮ	jˈədɨro
የጋዜጠኝነት	jˈəɡazet`əɲɨnət
የግብፅ	jˈəɡɨβɨts
ዳቦ	dˈaβo
ዴቪድ	dˈevid
ድምር	dˈɨmɨr
ድንገት	dˈɨnɨɡət
ዶሮ	dˈoro
ገለልተኛ	ɡˈələlɨtəɲa
ገብርኤል	ɡˈəβɨrɨʔel
ጉባዔ	ɡˈuβaʔe
ግብ	ɡˈɨb
ጎሳዎች	ɡˈosawot͡ʃ
ጣቢያዎች	t`ˈaβijawot͡ʃ
ጥንት	t`ˈɨnɨt
ጸሐፍት	tsˈəhafɨt
ጽሑፉ	tsˈɨhufu
ፍለጋ	fˈɨləɡa
ፍጥረት	fˈɨt`ɨrət
ፍጹም	fˈɨtsum
ፕሮግራሞች	pˈɨroɡɨramot͡ʃ
ፖለቲካዊ	pˈolətikawi
ሀረም	hˈarəm
ሃሙራቢ	hˈamuraβi
ሃይሉ	hˈajɨlu
ሃይሎች	hˈajɨlot͡ʃ
ሃይቅ	hˈajɨk`
ሄራክሌስ	hˈerakɨles
ህብረት	hˈɨβɨrət
ህጋዊ	hˈɨɡawi
ህግጋት	hˈɨɡɨɡat
ሆነና	hˈonəna
ለመመለስ	lˈəməmələs
ለመስጠት	lˈəməsɨt`ət
ለመጠበቅ	lˈəmət`əβək`
ለቀው	lˈək`əw
ለጎን	lˈəɡon
ለ፫	lˈə
ላሊበላ	lˈaliβəla
ሌሎችንም	lˈelot͡ʃɨnɨm
ልሳነ	lˈɨsanə
ልጇን	lˈɨd͡ʒwan
ሐረግ	hˈarəɡ
ሕዝባዊ	hˈɨzɨβawi
መሄድ	mˈəhed
መሣርያ	mˈəsarɨja
መሰረቶች	mˈəsərətot͡ʃ
መስሪያ	mˈəsɨrija
መስኮች	mˈəsɨkot͡ʃ
መቆጣጠር	mˈək`ot`at`ər
መንግሥትና	mˈənɨɡɨsɨtɨna
መጽሄት	mˈətsɨhet
ማርቲን	mˈarɨtin
ማውጣት	mˈawɨt`at
ማይል	mˈajɨl
ምንትዋብ	mˈɨnɨtɨwab
ምክኒያት	mˈɨkɨnijat
ምዕመናን	mˈɨʔɨmənan
ምድረ	mˈɨdɨrə
ምግባር	mˈɨɡɨβar
ራይሆልት	rˈajɨholɨt
ሰራሽ	sˈəraʃ
ሰብአዊ	sˈəβɨʔawi
ሰንጠረዥ	sˈənɨt`ərəʒ
ሰዉ	sˈəwu
ሰዓታት	sˈəʔatat
ሰፍነጎች	sˈəfɨnəɡot͡ʃ
ሲያደርጉ	sˈijadərɨɡu
ሲጀመር	sˈid͡ʒəmər
ሲገቡ	sˈiɡəβu
ሳዑዲ	sˈaʔudi
ስለሚችል	sˈɨləmit͡ʃɨl
ስርአት	sˈɨrɨʔat
ስጋት	sˈɨɡat
ሹም	ʃˈum
ሻይ	ʃˈaj
ሽማግሌ	ʃˈɨmaɡɨle
ቀረ	k`ˈərə
ቀሪው	k`ˈəriw
ቀጭኔ	k`ˈət͡ʃ`ɨne
ቅሬታ	k`ˈɨreta
ቅርጾች	k`ˈɨrɨtsot͡ʃ
ቆምጬ	k`ˈomɨt͡ʃ`e
በሌሎችም	bˈəlelot͡ʃɨm
በመቃወም	bˈəmək`awəm
በመነሳት	bˈəmənəsat
በመንግሥት	bˈəmənɨɡɨsɨt
በመካከለኛ	bˈəməkakələɲa
በመውጣት	bˈəməwɨt`at
በሚቀጥለው	bˈəmik`ət`ɨləw
በሰዎች	bˈəsəwot͡ʃ
በቀኝ	bˈək`əɲ
በበሽታው	bˈəβəʃɨtaw
በቦታው	bˈəβotaw
በኒህ	bˈəniç
በአሥራ	bˈəʔasɨra
በአገር	bˈəʔaɡər
በእንግሊዝ	bˈəʔɨnɨɡɨliz
በወታደራዊ	bˈəwətadərawi
በዓላት	bˈəʔalat
በዘር	bˈəzər
በዛ	bˈəza
በጣሊያን	bˈət`alijan
ቢቂላ	bˈik`ila
ባሁኑ	bˈahunu
ባህልና	bˈahɨlɨna
ባርነት	bˈarɨnət
ተመሳሳይነት	tˈəməsasajɨnət
ተሟጋቾች	tˈəmwaɡat͡ʃot͡ʃ
ተነስተው	tˈənəsɨtəw
ተንቀሳቃሽ	tˈənɨk`əsak`aʃ
ተክሉ	tˈəkɨlu
ተወለዱ	tˈəwələdu
ተገኝቶ	tˈəɡəɲɨto
ተጠቃሽ	tˈət`ək`aʃ
ትል	tˈɨl
ትዝ	tˈɨz
ቶማስ	tˈomas
ነሐሴ	nˈəhase
ነክ	nˈək
አላት	ʔˈalat
አምባሳደር	ʔˈamɨβasadər
አራተኛ	ʔˈaratəɲa
አበቦች	ʔˈaβəβot͡ʃ
አባታችን	ʔˈaβatat͡ʃɨn
አንፃር	ʔˈanɨtsar
አውሬ	ʔˈawɨre
አይቶ	ʔˈajɨto
አገው	ʔˈaɡəw
አግብቶ	ʔˈaɡɨβɨto
አፄ	ʔˈatse
ኢየሩሳሌም	ʔˈijərusalem
ኤንመርካር	ʔˈenɨmərɨkar
እህል	ʔˈɨhɨl
እንቆቅልሽ	ʔˈɨnɨk`ok`ɨlɨʃ
እንደሚከተለው	ʔˈɨnɨdəmikətələw
እውቅና	ʔˈɨwɨk`ɨna
እየሰራ	ʔˈɨjəsəra
ከመሆኑም	kˈəməhonum
ከራሱ	kˈərasu
ከሴት	kˈəset
ከንቲባ	kˈənɨtiβa
ከአላህ	kˈəʔalax
ከከነዓን	kˈəkənəʔan
ኪም	kˈim
ካህናት	kˈahɨnat
ካሉ	kˈalu
ካልሆነ	kˈalɨhonə
ካም	kˈam
ኬክሮስ	kˈekɨros
ክረምት	kˈɨrəmɨt
ክርስቲያኑ	kˈɨrɨsɨtijanu
ክርስቶስን	kˈɨrɨsɨtosɨn
ክፍላገራት	kˈɨfɨlaɡərat
ኮምፒዩተር	kˈomɨpijutər
ወዲያውም	wˈədijawɨm
ዋስትና	wˈasɨtɨna
ውቅር	wˈɨk`ɨr
ዕረፍት	ʔˈɨrəfɨt
ዛፎች	zˈafot͡ʃ
የሁለቱ	jˈəhulətu
የላቀ	jˈəlak`ə
የሔሩ	jˈəheru
የመኖሪያ	jˈəmənorija
የመከላከያ	jˈəməkəlakəja
የሚመራው	jˈəmiməraw
የሚታወቁት	jˈəmitawək`ut
የሬዲዮ	jˈəredijo
የሰላም	jˈəsəlam
የሸዋ	jˈəʃəwa
የበርካታ	jˈəβərɨkata
የተሠራው	jˈətəsəraw
የተሰኙት	jˈətəsəɲut
የተቃውሞ	jˈətək`awɨmo
የትውልድ	jˈətɨwɨlɨd
የኖሩት	jˈənorut
የኖቤል	jˈənoβel
የኪነ	jˈəkinə
የወረዳው	jˈəwərədaw
የዕውቀት	jˈəʔɨwɨk`ət
የያዘው	jˈəjazəw
የገጠር	jˈəɡət`ər
የግዕዝን	jˈəɡɨʔɨzɨn
የፊልም	jˈəfilɨm
የፖርቱጋል	jˈəporɨtuɡal
ያም	jˈam
ይሉት	jˈɨlut
ይላሉ	jˈɨlalu
ይችል	jˈɨt͡ʃɨl
ይኼ	jˈɨhe
ደቡባዊ	dˈəβuβawi
ደጋማ	dˈəɡama
ድሃ	dˈɨha
ዶ	dˈo
ገባ	ɡˈəβa
ገድሎ	ɡˈədɨlo
ገጾች	ɡˈətsot͡ʃ
ጉድ	ɡˈud
ጊዘ	ɡˈizə
ጊዜውን	ɡˈizewɨn
ግብዣ	ɡˈɨβɨʒa
ግኝት	ɡˈɨɲɨt
ግዝፈት	ɡˈɨzɨfət
ጓደኛ	ɡwˈadəɲa
ጠጅ	t`ˈəd͡ʒ
ጠጠር	t`ˈət`ər
ጣልቃ	t`ˈalɨk`a
ፍጡራን	fˈɨt`uran
ፕሮጀክት	pˈɨrod͡ʒəkɨt
ሁሴን	hˈusen
ሁከት	hˈukət
ሃሪ	hˈari
ሃይለኛ	hˈajɨləɲa
ለህዝብ	lˈəhɨzɨb
ለመሥራት	lˈəməsɨrat
ለመቀነስ	lˈəmək`ənəs
ለመድረስ	lˈəmədɨrəs
ለማጥናት	lˈəmat`ɨnat
ለረዥም	lˈərəʒɨm
ለትምህርት	lˈətɨmɨhɨrɨt
ለንጉሠ	lˈənɨɡusə
ሊባሉ	lˈiβalu
ሊኖሩ	lˈinoru
ሊኖር	lˈinor
ላሉ	lˈalu
ላይኛ	lˈajɨɲa
ልቦለድ	lˈɨβoləd
ልዩነቶች	lˈɨjunətot͡ʃ
ሐሣዊ	hˈasawi
ሕክምና	hˈɨkɨmɨna
መሀል	mˈəhal
መመለስ	mˈəmələs
መሠረተ	mˈəsərətə
መስዋዕት	mˈəsɨwaʔɨt
መነሳት	mˈənəsat
መንደሮች	mˈənɨdərot͡ʃ
መኖርያ	mˈənorɨja
መከራ	mˈəkəra
መኻል	mˈəhal
መደቦች	mˈədəβot͡ʃ
መድኅን	mˈədɨhɨn
መገንዘብ	mˈəɡənɨzəb
መጻፊያ	mˈətsafija
መጽሐፍት	mˈətsɨhafɨt
መፈክር	mˈəfəkɨr
ሚስቶች	mˈisɨtot͡ʃ
ሚካኤልን	mˈikaʔelɨn
ማመን	mˈamən
ማሞ	mˈamo
ማስቀመጥ	mˈasɨk`əmət`
ምርቶች	mˈɨrɨtot͡ʃ
ምት	mˈɨt
ምድብ	mˈɨdɨb
ሥዕል	sˈɨʔɨl
ሥፍራው	sˈɨfɨraw
ረድፍ	rˈədɨf
ሪፑብሊክ	rˈipuβɨlik
ርዕሰ	rˈɨʔɨsə
ሰዐት	sˈəʔat
ሲተረጎም	sˈitərəɡom
ሲኖሩት	sˈinorut
ሲደርሱ	sˈidərɨsu
ሳሙኤል	sˈamuʔel
ሳምንታት	sˈamɨnɨtat
ሳይሆኑ	sˈajɨhonu
ሴቶቹ	sˈetot͡ʃu
ስለዚሁ	sˈɨləzihu
ስሙም	sˈɨmum
ስሟ	sˈɨmwa
ስራወች	sˈɨrawət͡ʃ
ስራውን	sˈɨrawɨn
ስትል	sˈɨtɨl
ስደት	sˈɨdət
ሹመት	ʃˈumət
ቀርቦ	k`ˈərɨβo
ቁመቱ	k`ˈumətu
ቁጥሩ	k`ˈut`ɨru
ቁጥራቸው	k`ˈut`ɨrat͡ʃəw
ቁጭ	k`ˈut͡ʃ`
ቂም	k`ˈim
በሁለተኛው	bˈəhulətəɲaw
በሃይል	bˈəhajɨl
በልጅነቱ	bˈəlɨd͡ʒɨnətu
በሒሳብ	bˈəhisab
በሕግ	bˈəhɨɡ
በመላ	bˈəməla
በመወሰዱ	bˈəməwəsədu
በመጽሐፉ	bˈəmətsɨhafu
በሚከተሉት	bˈəmikətəlut
በማሪ	bˈəmari
በሥራ	bˈəsɨra
በራሂ	bˈərahi
በሮች	bˈərot͡ʃ
በሳይንሳዊ	bˈəsajɨnɨsawi
በስተሰሜን	bˈəsɨtəsəmen
በቀይ	bˈək`əj
በቀድሞ	bˈək`ədɨmo
በቋሚ	bˈək`wami
በቤት	bˈəβet
በቫይረሱ	bˈəvajɨrəsu
በተባሉ	bˈətəβalu
በተወሰነ	bˈətəwəsənə
በተጨባጭ	bˈətət͡ʃ`əβat͡ʃ`
በትንሽ	bˈətɨnɨʃ
በነበሩበት	bˈənəβəruβət
በነፃ	bˈənətsa
በንጉሡ	bˈənɨɡusu
በአውሮጳ	bˈəʔawɨrop`a
በእዚህ	bˈəʔɨziç
በዋና	bˈəwana
በዕብራይስጥ	bˈəʔɨβɨrajɨsɨt`
በዝርዝር	bˈəzɨrɨzɨr
በደረሰበት	bˈədərəsəβət
በዶክተሩ	bˈədokɨtəru
በጦርነቱ	bˈət`orɨnətu
በፋርስ	bˈəfarɨs
በፍቅር	bˈəfɨk`ɨr
ባለቤቱ	bˈaləβetu
ባለፉት	bˈaləfut
ባሕላዊ	bˈahɨlawi
ባሻ	bˈaʃa
ቦይ	bˈoj
ቮልቴጅ	vˈolɨted͡ʒ
ተስማሚ	tˈəsɨmami
ተቃዋሚ	tˈək`awami
ተፈራ	tˈəfəra
ታሪክና	tˈarikɨna
ትርፍ	tˈɨrɨf
ትይዩ	tˈɨjɨju
ቻርጅ	t͡ʃˈarɨd͡ʒ
ኅብረተሠብ	hˈɨβɨrətəsəb
ነቢዩ	nˈəβiju
ናሙና	nˈamuna
ናምሩድ	nˈamɨrud
ንድፍ	nˈɨdɨf
ኖህ	nˈox
አልፋ	ʔˈalɨfa
አሠራር	ʔˈasərar
አሰራር	ʔˈasərar
አስፈላጊነት	ʔˈasɨfəlaɡinət
አብርሃም	ʔˈaβɨrɨham
አናባቢ	ʔˈanaβaβi
አኩሪ	ʔˈakuri
አካላዊ	ʔˈakalawi
አዒሻ	ʔˈaʔiʃa
አደባባይ	ʔˈadəβaβaj
አደገኛ	ʔˈadəɡəɲa
አጋማሽ	ʔˈaɡamaʃ
አጥኝው	ʔˈat`ɨɲɨw
ኢንተርኔት	ʔˈinɨtərɨnet
እህት	ʔˈɨhɨt
እርግጥ	ʔˈɨrɨɡɨt`
እስላማዊ	ʔˈɨsɨlamawi
እስቲ	ʔˈɨsɨti
እስቴትስ	ʔˈɨsɨtetɨs
እስካሁንም	ʔˈɨsɨkahunɨm
እሺ	ʔˈɨʃi
እቃዎች	ʔˈɨk`awot͡ʃ
እኔን	ʔˈɨnen
እንደሚለው	ʔˈɨnɨdəmiləw
እንዲመጣ	ʔˈɨnɨdimət`a
እንዲሠራ	ʔˈɨnɨdisəra
እንድትሆን	ʔˈɨnɨdɨtɨhon
እኚህ	ʔˈɨɲiç
ከሚል	kˈəmil
ከሚባሉት	kˈəmiβalut
ከማንኛውም	kˈəmanɨɲawɨm
ከሥነ	kˈəsɨnə
ከተማዎች	kˈətəmawot͡ʃ
ከአባታቸው	kˈəʔaβatat͡ʃəw
ከእናቱ	kˈəʔɨnatu
ከግዕዙ	kˈəɡɨʔɨzu
ከጥፋት	kˈət`ɨfat
ክንፍ	kˈɨnɨf
ክፍሉ	kˈɨfɨlu
ኮሚሽን	kˈomiʃɨn
ወለል	wˈələl
ወስደው	wˈəsɨdəw
ውይይት	wˈɨjɨjɨt
ውድር	wˈɨdɨr
ዎቹ	wˈot͡ʃu
ዕቅድ	ʔˈɨk`ɨd
ዘመቻዎች	zˈəmət͡ʃawot͡ʃ
ዘመኖች	zˈəmənot͡ʃ
ዘውዴ	zˈəwɨde
ዝርዝሮች	zˈɨrɨzɨrot͡ʃ
የሀገሪቱ	jˈəhaɡəritu
የሙቀት	jˈəmuk`ət
የሚመጡ	jˈəmimət`u
የሚሰሩ	jˈəmisəru
የሚቆጠር	jˈəmik`ot`ər
የሚነገር	jˈəminəɡər
የሚናገር	jˈəminaɡər
የሚኖሩበት	jˈəminoruβət
የሚውሉ	jˈəmiwɨlu
የሚያጠና	jˈəmijat`əna
የሚገኝበት	jˈəmiɡəɲɨβət
የማሪ	jˈəmari
የሴቶች	jˈəsetot͡ʃ
የስብስብ	jˈəsɨβɨsɨb
የቤተሰብ	jˈəβetəsəb
የብረት	jˈəβɨrət
የብሪታንያ	jˈəβɨritanɨja
