က	ka̰
ပထဝီဝင်	pətʰəwìwɪ̀ɴ
ပထွေး	pətʰwé
ပဒုမ	pədṵma̰
ပဒုမဘုရား	pədṵma̰pʰəjá
ပဒုမုတ္တရ	pədṵmoʊʔtəɹa̰
ပဒုမုတ္တရဘုရား	pədṵmoʊʔtəɹa̰pʰəjá
ပဒေသရာဇ်	bədèθəɹɪʔ
ပဒေသာ	bədèðà
ပဒေသာပင်	bədèðàbɪ̀ɴ
ပနားမား	pa̰námá
ပန်	pàɴ
ပန်ကာ	pàɴkà
ပန်တျာ	pàɴtəjà
ပန်း	páɴ
ပန်းကန်	bəɡàɴ
ပန်းခုနစ်မည်	páɴkʰənəmjì
ပန်းချီ	bəd͡ʑì
ပန်းချီဆရာ	bəd͡ʑìsʰəjà
ပန်းခြံ	páɴd͡ʑàɴ
ပန်းဂေါ်ဖီ	páɴɡɔ̀bì
ပန်းစည်း	páɴzí
ပန်းဆယ်မျိုး	páɴsʰɛ̀mjó
ပန်းတဉ်း	bədɪ́ɴ
ပန်းတမော့	páɴdəmɔ̰
ပန်းတော့	páɴdɔ̰
ပန်းထိမ်	bədèɪɴ
ပန်းနာ	páɴnà
ပန်းနာရင်ကျပ်	páɴnàjɪ̀ɴt͡ɕaʔ
ပန်းပု	bəbṵ
ပန်းပဲ	bəbɛ́
ပန်းပွတ်	bəbʊʔ
ပန်းမုန်လာ	páɴmòʊɴlà
ပန်းမုန်လာစိမ်း	páɴmòʊɴlàzéɪɴ
ပန်းမုန်လာဖြူ	páɴmòʊɴlàbjù
ပန်းယွန်း	páɴjʊ́ɴ
ပန်းရန်	bəjàɴ
ပန်းရွဲ	páɴjwɛ́
ပန်းသီး	páɴðí
ပန်းသေရောဂါ	páɴθèjɔ́ɡà
ပန်းသေး	páɴðé
ပန်းသေးခေါက်ဆွဲ	páɴθékʰaʊʔsʰwɛ́
ပန်းအိ	páɴʔḭ
ပန်းအိုး	páɴʔó
ပမာဏ	pəmàna̰
ပယောဂ	pəjɔ́ɡa̰
ပယ်ရှား	pɛ̀ʃá
ပရဟိတ	pəɹa̰hḭta̰
ပရိက္ခရာ	pəɹeɪʔkʰəjà
ပရိဒေဝ	pəɹḭdèwa̰
ပရိဘောဂ	pəɹḭbɔ́ɡa̰
ပရိယာယ်	pəɹḭjè
ပရိသတ်	pəjeɪʔθaʔ
ပရိုဂရမ်	pəɹòɡəɹàɴ
ပရိုဂျက်	pəɹòd͡ʑɛʔ
ပရုတ်	pəjoʊʔ
ပလတ်	pəlaʔ
ပလတ်စတစ်	pəlaʔsətɪʔ
ပလပ်ကြွတ်	pa̰laʔt͡ɕʊʔ
ပလပ်စတစ်	pəlaʔsətɪʔ
ပလာတာ	pəlàtà
ပလိပ်	pəleɪʔ
ပလူတိုနီယမ်	pəlùtònìjàɴ
ပလောင်	pəlàʊɴ
ပလ္လင်	pəlɪ̀ɴ
ပလွေ	pa̰lwè
ပဝရ	pəwəɹa̰
ပဝါ	pa̰wà
ပဝေဏီ	pəwènì
ပသီ	pəθì
ပသျှူး	pəʃú
ပသျှူးရာမ	pəʃújàma̰
ပအို့ဝ်	pəʔo̰
ပါ	pà
ပါကစ္စတန်	pàkɪʔsətàɴ
ပါဆယ်	pàsʰɛ̀
ပါတာနီ	pàtànì
ပါတိတ်	pàteɪʔ
ပါတီ	pàtì
ပါပူအာနယူးဂီနီ	pàpùʔànəjúɡìnì
ပါမောက္ခ	pàmaʊʔkʰa̰
ပါရဂူဘွဲ့	pàjəɡùbwɛ̰
ပါရမီ	pàɹəmì
ပါရရာ	pàɹəjà
ပါရာဂွေး	pàɹàɡwé
ပါရီ	pàɹì
ပါရှား	pàʃá
ပါလက်စတိုင်း	pàlɛʔsətáɪɴ
ပါလီမန်	pàlìmàɴ
ပါဝါ	pàwà
ပါဠိ	pàlḭ
ပါး	pá
ပါးစပ်	pəzaʔ
ပါးဟက်	pəhɛʔ
ပိ	pḭ
ပိဋကတ်	bḭtəɡaʔ
ပိဋကတ်တိုက်	bḭdəɡaʔdaɪʔ
ပိတ်	peɪʔ
ပိန္နဲ	péɪɴnɛ́
ပိန်းဥ	péɪɴʔṵ
ပိရမစ်	pḭɹəmɪʔ
ပို	pò
ပိုက်	paɪʔ
ပိုက်ဆံ	paɪʔsʰàɴ
ပိုက်ဆံအိတ်	paɪʔsʰàɴʔeɪʔ
ပိုက်သမား	paɪʔθəmá
ပိုင်ရှင်	pàɪɴʃɪ̀ɴ
ပိုင်း	páɪɴ
ပိုစတာ	pòsətà
ပိုတက်ဆီယမ်	pòtɛʔsʰìjàɴ
ပိုဒ်	paɪʔ
ပိုလန်	pòlàɴ
ပို့	po̰
ပို့စကတ်	po̰səkaʔ
ပိုး	pó
ပိုးကြာချည်	pót͡ɕàt͡ɕʰì
ပိုးတောင်မာ	pódàʊɴmà
ပိုးလောင်း	póláʊɴ
ပိုးဟပ်	póhaʔ
ပိုးဟပ်ဖြူ	póhaʔpʰjù
ပိဿာ	peɪʔθà
ပီကင်း	pìkɪ́ɴ
ပီကေ	pìkè
ပီစီ	pìsì
ပီဇာ	pìzà
ပီတိ	pìtḭ
ပီပီ	pìbì
ပီယဒဿီ	pìja̰daʔθì
ပီယဒဿီဘုရား	pìja̰daʔθìpʰəjá
ပီရူး	pìɹú
ပီလောပီနံ	pìlɔ́pìnàɴ
ပု	pṵ
ပုခက်	pəkʰɛʔ
ပုဂံ	bəɡàɴ
ပုဂ္ဂလိက	poʊʔɡəlḭɡa̰
ပုဂ္ဂိုလ်	poʊʔɡò
ပုစဉ်း	bəzɪ́ɴ
ပုစ္ဆာ	poʊʔsʰà
ပုစွန်	bəzʊ̀ɴ
ပုဆိန်	pəsʰèɪɴ
ပုဆိုး	pəsʰó
ပုဏ္ဏမာ	pòʊɴnəmà
ပုဏ္ဏား	pòʊɴná
ပုဏ္ဏားကျွန်း	pòʊɴnád͡ʑʊ́ɴ
ပုတ်သင်ညို	poʊʔθɪ̀ɴɲò
ပုထိုး	pətʰó
ပုဒ်	poʊʔ
ပုဒ်ကလေး	poʊʔkəlé
ပုဒ်ကြီး	poʊʔd͡ʑí
ပုဒ်ထီး	poʊʔkəlé
ပုဒ်ဖြတ်	poʊʔpʰjaʔ
ပုဒ်မ	poʊʔma̰
ပုန်ကန်	pòʊɴkàɴ
ပုန်းရည်ကြီး	póʊɴjèd͡ʑí
ပုပ်	poʊʔ
ပုဗ္ဗ	poʊʔba̰
ပုရစ်	pəjɪʔ
ပုရပိုက်	pəɹəbaɪʔ
ပုရွက်	pəjwɛʔ
ပုရွက်ဆိတ်	pəjwɛʔsʰeɪʔ
ပုလင်း	pəlɪ́ɴ
ပုလိပ်	pəleɪʔ
ပုလဲ	pəlɛ́
ပုသိမ်	pəθèɪɴ
ပုံ	pòʊɴ
ပုံဆွဲ	pòʊɴsʰwɛ́
ပုံတူ	pòʊɴdù
ပုံတူကား	pòʊɴdùká
ပုံနှိပ်စက်	pòʊɴn̥eɪʔsɛʔ
ပုံသေနည်း	pòʊɴðèní
ပုံး	póʊɴ
ပူ	pù
ပူဇော်	pùzɔ̀
ပူတင်း	pùtɪ́ɴ
ပူဒီနာ	pùsìnà
ပူရ	pùɹa̰
ပူရီ	pùjì
ပေကျင်း	pèt͡ɕɪ́ɴ
ပေါက်စီ	paʊʔsì
ပေါက်တူး	paʊʔtú
ပေါက်ဖော်	paʊʔpʰɔ̀
ပေါင်	pàʊɴ
ပေါင်မုန့်	pàʊɴmo̰ʊɴ
ပေါင်းတင်း	páʊɴdɪ́ɴ
ပေါင်းဖို	páʊɴbò
ပေါ့	pɔ̰
ပေါ်	bɔ̀
ပေါ်	pɔ̀
ပေါ်ဆန်းမွှေး	pɔ̀sʰáɴm̥wé
ပေါ်တူဂီ	pɔ̀tùɡì
ပေါ်လစီ	pɔ̀ləsì
ပေး	pé
ပဲ	bɛ́
ပဲ	pɛ́
ပဲကြီး	pɛ́d͡ʑí
ပဲခူး	bəɡó
ပဲငံပြာရည်	pɛ́ŋàɴbjàjè
ပဲဆီ	pɛ́zì
ပဲနံ့သာ	pɛ́na̰ɴθà
ပဲပင်ပေါက်	pɛ́bɪ̀ɴbaʊʔ
ပဲပိုးတီ	pɛ́pódì
ပဲမှုန့်	pɛ́m̥o̰ʊɴ
ပဲ့တင်သံ	pɛ̰tɪ̀ɴðàɴ
ပျစ်	pjɪʔ
ပျဉ်	pjɪ̀ɴ
ပျဉ်းကတိုး	pjɪ́ɴɡədó
ပျဉ်းတော်သိမ်	pjɪ́ɴdɔ̀θèɪɴ
ပျဉ်းမ	pjɪ́ɴma̰
ပျပျ	pja̰bja̰
ပျား	pjá
ပျားတူ	ba̰dù
ပျားထီး	pjádí
ပျားရည်	pjájè
ပျိုး	pjó
ပျူ	pjù
ပျော့	pjɔ̰
ပျော်	pjɔ̀
ပျော်ပျော်	pjɔ̀bjɔ̀
ပျံ	pjàɴ
ပျံတော်မူ	pjàɴtɔ̀mù
ပြ	pja̰
ပြက္ခဒိန်	pjɛʔɡədèɪɴ
ပြင်	pjɪ̀ɴ
ပြင်ပြင်	pjɪ̀ɴbjɪ̀ɴ
ပြင်သစ်	pjɪ̀ɴθɪʔ
ပြင်သည်	pjɪ̀ɴθì
ပြင်း	pjɪ́ɴ
ပြင်းဟုပ်	pjɪ́ɴhoʊʔ
ပြစ်မှု	pjɪʔm̥ṵ
ပြည့်	pjḛ
ပြည့်တန်ဆာ	pjḭdəzà
ပြည်	pjì
ပြည်ကြီးငါး	pjìd͡ʑíŋá
ပြည်ကြီးမွန်	pjìd͡ʑímʊ̀ɴ
ပြည်တွင်း	pjìdwɪ́ɴ
ပြည်ထောင်စု	pjìdàʊɴzṵ
ပြည်ထောင်စုတော်လှန်ရေးကောင်စီအဖွဲ့	pjìdàʊɴzṵtɔ̀l̥àɴjékàʊɴsìʔəpʰwɛ̰
ပြည်ထောင်စုနေ့	pjìdàʊɴzṵnḛ
ပြည်ထောင်စုလွှတ်တော်	pjìdàʊɴzṵl̥ʊʔtɔ̀
ပြည်နယ်	pjìnɛ̀
ပြည်သူ	pjìðù
ပြည်သူပိုင်	pjìðùbàɪɴ
ပြည်သူပိုင်သိမ်း	pjìðùbàɪɴðéɪɴ
ပြည်သူပြည်သား	pjìðùpjìðá
ပြည်သူ့ဆိုင်	pjìðṵsʰàɪɴ
ပြည်သူ့လွှတ်တော်	pjìðṵl̥ʊʔtɔ̀
ပြဌာန်း	pja̰tʰáɴ
ပြတင်းပေါက်	bədɪ́ɴbaʊʔ
ပြတိုက်	pja̰daɪʔ
ပြဒါး	bədá
ပြဒါးချိန်	bədád͡ʑèɪɴ
ပြန်	pjàɴ
ပြန်ကြား	pjàɴt͡ɕá
ပြန်ကြားရေး	pjàɴt͡ɕájé
ပြန်လှန်	pjàɴl̥àɴ
ပြပွဲ	pja̰bwɛ́
ပြယုဂ်	pja̰joʊʔ
ပြသ	pja̰θa̰
ပြာ	pjà
ပြာခွက်	pjàɡwɛʔ
ပြာဋိဟာ	pjàdḭhà
ပြာတာ	pjàtà
ပြာသာဒ်	pjaʔθaʔ
ပြာသို	pjàðò
ပြား	pjá
ပြိတ္တာ	pjeɪʔtà
ပြိုင်ပွဲ	pjàɪɴbwé
ပြီ	pjì
ပြီး	pí
ပြီးတော့	pídɔ̰
ပြီးပြီ	píbì
ပြု	pjṵ
ပြုတ်	pjoʊʔ
ပြုပြင်	pjṵbjɪ̀ɴ
ပြုံယမ်း	pjòʊɴjáɴ
ပြုံး	pjóʊɴ
ပြော	pjɔ́
ပြောင်း	pjáʊɴ
ပြောင်းဖူး	pjáʊɴbú
ပြောင်းလဲ	pjáʊɴlɛ́
ပြေး	pjé
ပြွတ်	pjʊʔ
ပြွန်	pjʊ̀ɴ
ပြွမ်း	pjʊ́ɴ
ပြဿဒါး	pjaʔðədá
ပြဿနာ	pjaʔθənà
ပွတ်	pʊʔ
ပွား	pwá
ပွိုင့်	pwa̰ɪɴ
ပွေး	pwé
ပွဲ	pwɛ́
ပွဲတော်	pwɛ́dɔ̀
ဖက်	pʰɛʔ
ဖက်ဆစ်ဝါဒ	pʰɛʔsʰɪʔwàda̰
ဖက်ရှင်	pʰɛʔʃɪ̀ɴ
ဖက်ဝန်း	pʰɛʔwʊ́ɴ
ဖခင်	pʰa̰ɡɪ̀ɴ
ဖငယ်	pʰa̰ŋɛ̀
ဖင်	pʰɪ̀ɴ
ဖင်လန်	pʰɪ̀ɴlàɴ
ဖင်လျက်	pʰɪ̀ɴjɛʔ
ဖတ်	pʰaʔ
ဖတ်တီး	pʰaʔtí
ဖန်ခါး	pʰàɴɡá
ဖန်ခါးသီး	pʰàɴɡáðí
ဖန်တီး	pʰàɴdí
ဖမ်း	pʰáɴ
ဖယောင်း	pʰəjáʊɴ
ဖယောင်းတိုင်	pʰəjáʊɴdàɪɴ
ဖယ်ဒရေးရှင်း	pʰɛ̀dəɹéʃɪ́ɴ
ဖရန့်	pʰəɹa̰ɴ
ဖရုံ	pʰəjòʊɴ
ဖရုံဆွဲ	pʰəjòʊɴzwɛ́
ဖရဲ	pʰəjɛ́
ဖလား	pʰəlá
ဖဝါး	pʰəwá
ဖဦးထုပ်	pʰa̰ʔútʰoʊʔ
ဖာခေါင်း	pʰàɡáʊɴ
ဖာမ	pʰàma̰
ဖာလာ	pʰàlà
ဖာလာစေ့	pʰàlàsḛ
ဖာလူဒါ	pʰàlùdà
ဖာသည်မ	pʰàθɛ̀ma̰
ဖား	pʰá
ဖားပြုပ်	pʰəbjoʊʔ
ဖားလောင်း	pʰəláʊɴ
ဖိတ်	pʰeɪʔ
ဖိနပ်	pʰənaʔ
ဖိလစ်ပိုင်	pʰḭlɪʔpàɪɴ
ဖိအား	pʰḭʔá
ဖိုင်	pʰàɪɴ
ဖို့	pʰo̰
ဖိုးသူတော်	pʰóθùdɔ̀
ဖီဂျီ	pʰìd͡ʑì
ဖုတ်	pʰoʊʔ
ဖုန်	pʰòʊɴ
ဖုန်စုပ်စက်	pʰòʊɴsoʊʔsɛʔ
ဖုန်းနံပါတ်	pʰóʊɴnàɴbaʔ
ဖုံး	pʰóʊɴ
ဖုဿ	pʰoʊʔθa̰
ဖုဿဘုရား	pʰoʊʔθa̰pʰəjá
ဖူး	bú
ဖေဖော်ဝါရီ	pʰèpʰɔ̀wàɹì
ဖေါ်ပြချက်	pʰɔ̀pja̰t͡ɕʰɛʔ
ဖောက်	pʰaʊʔ
ဖောက်သည်	pʰaʊʔθè
ဖောင်	pʰàʊɴ
ဖော့ဖျက်	pʰɔ̰bjɛʔ
ဖော့လုံး	pʰɔ̰lóʊɴ
ဖော်	pʰɔ̀
ဖော်ပြ	pʰɔ̀pja̰
ဖဲ	pʰɛ́
ဖဲကြိုး	pʰɛ́d͡ʑó
ဖျင်ဖျင်	pʰjɪ̀ɴbjɪ̀ɴ
ဖျာ	pʰjà
ဖျား	pʰjá
ဖျောက်ဆိပ်	pʰjaʊʔsʰeɪʔ
ဖျံ	pʰjàɴ
ဖြစ်	pʰjɪʔ
ဖြည့်	pʰjḛ
ဖြည်းဖြည်း	pʰjébjé
ဖြည်းဖြည်းချင်း	pʰjípʰjít͡ɕʰɪ́ɴ
ဖြားယောင်း	pʰjájáʊɴ
ဖြီး	pʰí
ဖြူ	pʰjù
ဖြူး	pʰjú
ဖြေ	pʰjè
ဖြေဖျောက်	pʰjèbjaʊʔ
ဖြေရှင်း	pʰjèʃɪ́ɴ
ဖြောင့်	pʰja̰ʊɴ
ဖြောဖြော	pʰjɔ́bjɔ́
ဖြော်ဖြော်	pʰjɔ̀bjɔ̀
ဖွင့်	pʰwɪ̰ɴ
ဖွား	pʰwá
ဖွဲ့စည်းပုံ	pʰwɛ̰zíbòʊɴ
ဖွဲ့စည်းပုံအခြေခံဥပဒေ	pʰwɛ̰zíbòʊɴʔət͡ɕʰèɡàɴʔṵbədè
ဗက်တီးရီးယား	bɛʔtíɹíjá
ဗင်နီဇွဲလား	bɪ̀ɴnìzwɛ́lá
ဗညား	bəɲá
ဗထက်ခြိုက်	ba̰tʰɛʔt͡ɕʰaɪʔ
ဗန်တို	bàɴdò
ဗန်ရှည်	bàɴʃè
ဗန်းမော်	báɴmɔ̀
ဗမာ	bəma̰
ဗမာ	bəmà
ဗမာ့	bəma̰
ဗလ	bəla̰
ဗလဝ	bələwa̰
ဗလာစာအုပ်	bəlàsàʔoʊʔ
ဗလီ	bəlì
ဗဟို	bəhò
ဗဟုသုတ	bəhṵθṵta̰
ဗာတီကန်	bàtìkàɴ
ဗာတီကန်မြို့ပြနိုင်ငံ	bàtìkàɴmjo̰pja̰nàɪɴŋàɴ
ဗာဒံ	bàdàɴ
ဗာလ	bàla̰
ဗာလချောင်	bàla̰t͡ɕʰàʊɴ
ဗားနစ်	bánɪʔ
ဗိန္ဒု	bèɪɴdṵ
ဗိမာန်	beɪʔmàɴ
ဗိသုကာ	bḭðəɡà
ဗိုက်	baɪʔ
ဗိုက်ကြီး	baɪʔt͡ɕí
ဗိုက်ဆာတယ်	baɪʔsʰàtɛ̀
ဗိုင်း	báɪɴ
ဗိုင်းရပ်စ်	báɪɴɹaʔs
ဗိုလ်	bò
ဗိုလ်ကျ	bòt͡ɕa̰
ဗိုလ်ကြီး	bòd͡ʑí
ဗိုလ်ချုပ်	bòd͡ʑoʊʔ
ဗိုလ်ချုပ်ကြီး	bòd͡ʑoʊʔd͡ʑí
ဗိုလ်ချုပ်မှူးကြီး	bòd͡ʑoʊʔm̥úd͡ʑí
ဗိုလ်မှူး	bòm̥ú
ဗိုလ်မှူးကြီး	bòm̥úd͡ʑí
ဗိုလ်မှူးချုပ်	bòm̥úd͡ʑoʊʔ
ဗိုလ်လောင်း	bòláʊɴ
ဗို့	bo̰
ဗို့အား	bo̰ʔá
ဗိဿနိုး	beɪʔθənó
ဗီဇ	bìza̰
ဗီဇာ	bìzà
ဗီတာမင်	bìtàmɪ̀ɴ
ဗီဒီယို	bìdìjò
ဗီယက်နမ်	bìjɛʔnàɴ
ဗီယင်ကျန်း	bìjɪ̀ɴt͡ɕáɴ
ဗီရို	bìjò
ဗုဒ္ဓ	boʊʔda̰
ဗုဒ္ဓဘာသာ	boʊʔda̰bàθà
ဗုဒ္ဓသာသနာ	θàðənà
ဗုဒ္ဓဟူး	boʊʔda̰hú
ဗုန်း	bóʊɴ
ဗုံး	bóʊɴ
ဗေဒ	bèda̰
ဗောဓိညောင်	bɔ́dḭɲàʊɴ
ဗောဓိသတ်	bɔ́dḭθaʔ
ဗော့ဒ်ကာ	bɔ̰dkà
ဗေ့စဘော	bḛsəbɔ́
ဗျစ်	bjɪʔ
ဗျည်း	bjí
ဗျာဓိ	bjàdḭ
ဗျိုင်း	bjáɪɴ
ဗျုပ္ပတ်	bjoʊʔpaʔ
ဗျူရို	bjùɹò
ဗြဟ္မစိုရ်တရား	bjəməzòjtəjá
ဗြဟ္မာ	bjəmà
ဗြာဟ္မဏ	bjàhma̰na̰
ဗြိစ္ဆာ	bjeɪʔsʰà
ဗြိတိန်	bjḭtèɪɴ
ဗြိတိသျှ	bəɹḭtḭʃa̰
ဗြဲတိုက်	bjɛ́daɪʔ
ဗွေ	bwè
ဘ	ba̰
ဘကကျောင်း	ba̰ka̰t͡ɕáʊɴ
ဘကုန်း	ba̰kóʊɴ
ဘက္ကဒီးအစ်	bɛʔkədíʔɪʔ
ဘက်	bɛʔ
ဘက်ထရီ	bɛʔtʰa̰ɹì
ဘကြီး	ba̰d͡ʑí
ဘင်	bɪ̀ɴ
ဘင်နာ	bɪ̀ɴnà
ဘင်း	bɪ́ɴ
ဘင်္ဂလားဒေ့ရှ်	bɪ̀ɴládḛʃ
ဘင်္ဂါလီ	bɪ̀ɴɡàlì
ဘဏ္ဍာ	bàndà
ဘဏ္ဍာရေး	bàndàjé
ဘဏ်	bàɴ
ဘဏ်တိုက်	bàɴdaɪʔ
ဘတ်	baʔ
ဘတ်	pʰaʔ
ဘတ်ဂျက်	baʔd͡ʑɛʔ
ဘတ်စ်ကား	baʔsəká
ဘထွေး	ba̰tʰwé
ဘဒ္ဒန္တ	baʔdàɴta̰
ဘန်ကောက်	bàɴkaʊʔ
ဘယာ	bəjà
ဘယ်	bɛ̀
ဘယ်တုန်းက	bɛ̀dóʊɴɡa̰
ဘယ်တော့	bɛ̀dɔ̰
ဘယ်နှ	bɛ̀n̥a̰
ဘယ်နှစ်	bɛ̀n̥ə
ဘယ်မှ	bɛ̀m̥a̰
ဘယ်ရီလီယမ်	bɛ̀ɹìlìjàɴ
ဘယ်လို	bɛ̀lò
ဘယ်လောက်	bɛ̀laʊʔ
ဘယ်လ်ဂျီယမ်	bɛ̀ld͡ʑìjàɴ
ဘယ်သူ	bəθù
ဘယ်သူ့	bəθṵ
ဘရင်ဂျီ	bəjɪ̀ɴd͡ʑì
ဘရဏီ	ba̰jənì
ဘရာစီယာ	bəɹàsìjà
ဘရာဇီး	bəɹàzí
ဘရိတ်	bəɹeɪʔ
ဘရူနိုင်း	bəɹùnáɪɴ
ဘလိဇ်	bəlìz
ဘလောက်	ba̰laʊʔ
ဘလော့ဂ်	bəloʊʔ
ဘလေး	ba̰lé
ဘဝ	ba̰wa̰
ဘဝဲ	bəwɛ́
ဘဟားမား	ba̰hámá
ဘာ	bà
ဘာကီးနားဖားဆို	bàkínápʰásʰò
ဘာရိန်း	bàɹéɪɴ
ဘာလင်	bàlɪ̀ɴ
ဘာလိ	bàlḭ
ဘာသာ	bàðà
ဘာသာစကား	bàθàzəɡá
ဘာသာပြန်	bàðàpjàɴ
ဘာသာဗေဒ	bàθàbèda̰
ဘား	bá
ဘား	pʰá
ဘိက္ခု	beɪʔkʰṵ
ဘိက္ခုနီ	bìkkʰṵnì
ဘိန်း	béɪɴ
ဘိန်းမုန့်	béɪɴmo̰ʊɴ
ဘိဘိသန	bḭbḭθəna̰
ဘိလပ်	bḭlaʔ
ဘိသိက်	beɪʔθeɪʔ
ဘိုကလေး	bòɡəlé
ဘိုက်	baɪʔ
ဘိုင်	bàɪɴ
ဘိုင်စကယ်	bàɪɴsəkɛ̀
ဘိုင်စကုတ်	bàɪɴsəkoʊʔ
ဘိုရွန်	bòɹʊ̀ɴ
ဘိုလီးဗီးယား	bòlíbíjá
ဘိုးဘိုး	pʰópʰó
ဘီ	bì
ဘီစကွတ်	bìsəkʊʔ
ဘီနင်	bìnɪ̀ɴ
ဘီယာ	bìjà
ဘီလာရုဇ်	bìlàɹùz
ဘီလူး	bəlú
ဘီး	béɪɴ
ဘီး	bí
ဘီးကြယ်	bít͡ɕɛ̀
ဘု	bṵ
ဘုဉ်းပေး	bóʊɴpé
ဘုတ်	boʊʔ
ဘုန်း	pʰóʊɴ
ဘုန်းကြီး	pʰóʊɴd͡ʑí
ဘုန်းကြီးကျောင်း	pʰóʊɴd͡ʑít͡ɕáʊɴ
ဘုန်းကြီးပျံ	pʰóʊɴd͡ʑíbjàɴ
ဘုန်းတော်ကြီးဘုရား	pʰóʊɴdɔ̀d͡ʑípʰəjá
ဘုန်းဘုန်း	pʰóʊɴpʰóʊɴ
ဘုမ္မစိုး	bòʊɴməzó
ဘုရင်	bəjɪ̀ɴ
ဘုရင်ခံ	bəjɪ̀ɴɡàɴ
ဘုရင်မ	ba̰jɪ̀ɴma̰
ဘုရား	pʰəjá
ဘုရားကိုးဆူ	pʰəjákósʰù
ဘုရားကျောင်း	pʰəjád͡ʑáʊɴ
ဘုရားရှိခိုးကျောင်း	pʰəjáʃḭkʰód͡ʑáʊɴ
ဘုရားလောင်း	pʰəjáláʊɴ
ဘုရားအလောင်း	pʰəjáʔəláʊɴ
ဘုံကျောင်း	bòʊɴd͡ʑáʊɴ
ဘုံပိုင်	bòʊɴbàɪɴ
ဘူ	bù
ဘူဂေးရီးယား	bùɡéɹíjá
ဘူတန်	bùtàɴ
ဘူတာရုံ	bùdàjòʊɴ
ဘူမိဗေဒ	bùmḭbèda̰
ဘူမိရူပဗေဒ	bùmḭjùpa̰bèda̰
ဘူရွန်ဒီ	bùɹʊ̀ɴdì
ဘူး	bú
ဘူးသီး	búθí
ဘူးသီးတောင်	búðídàʊɴ
ဘော	bɔ́
ဘောက်ဆူး	baʊʔsʰú
ဘောဂဗေဒ	bɔ́ɡa̰ta̰bèda̰
ဘောင်းဘီ	báʊɴbì
ဘောပင်	bɔ́pɪ̀ɴ
ဘောပွဲ	bɔ́pwɛ́
ဘောလုံး	bɔ́lóʊɴ
ဘော့ဆွာနာ	bɔ̰sʰwànà
ဘော်ဒါ	bɔ̀dà
ဘော်ဒါကြေး	bɔ̀dàt͡ɕé
ဘော်လီဘော	bɔ̀lìbɔ́
ဘေ့စ်ဘော	bḛsbɔ́
ဘေး	bé
ဘေးဆိုး	bézó
ဘေးဆီးရန်ကာ	bézíjàɴɡà
ဘဲ	bɛ́
ဘဲလေး	bɛ́lé
ဘွား	bwá
ဘွားဘွား	pʰwápʰwá
ဘွဲ့	bwɛ̰
ဘွဲ့ချဉ်	bwɛ̰d͡ʑɪ̀ɴ
မ	ma̰
မ	mə
မကန်း	məɡáɴ
မကိုဋ်	məɡaɪʔ
မကုဋ	məkṵta̰
မက္ကဆီကို	mɛʔkəsʰìkò
မက်	mɛʔ
မက်စီဒိုးနီးယား	mɛʔsìdóníjá
မက်မွန်	mɛʔmʊ̀ɴ
မကြာမတင်	mət͡ɕàmətɪ̀ɴ
မကွေး	məɡwé
မဂ္ဂင်ရှစ်ပါး	mɛʔɡɪ̀ɴʃɪʔbá
မဂ္ဂဇင်း	mɛʔɡa̰zɪ̀ɴ
မင့်စ်	mɪ̰ɴs
မင်	m̥ɪ̀ɴ
မင်း	mɪ́ɴ
မင်းကြီး	mɪ́ɴd͡ʑí
မင်းကွတ်	mɪ́ɴɡʊʔ
မင်းတရား	mɪ́ɴtəjá
မင်းဘူး	mɪ́ɴbú
မင်းမြောက်တန်ဆာ	mɪ́ɴmjaʊʔdəzà
မင်းသမီး	mɪ́ɴðəmí
မင်းသား	mɪ́ɴðá
မင်္ဂလ	mɪ̀ɴɡəla̰
မင်္ဂလဘုရား	mɪ̀ɴɡəla̰pʰəjá
မင်္ဂလသုတ်	mɪ̀ɴɡəla̰θoʊʔ
မင်္ဂလာ	mɪ̀ɴɡəlà
မင်္ဂလာဆောင်	mɪ̀ɴɡəlàsʰàʊɴ
မင်္ဂလာပါ	mɪ̀ɴɡəlàbà
မစင်	ma̰sɪ̀ɴ
မဆလာ	ma̰sʰəlà
မဇ္ဈဒေသ	mɪʔza̰dèθa̰
မဉ္ဇူ	mjɪ̀ɴzù
မည်	mjì
မည်စည်	mɛ̀zɛ̀
မည်သည်	mìðì
မည်သူ	mìðù
မည်း	mɛ́
မဏိ	mənḭ
မဏိတော်	mənḭdɔ̀
မဏိပူရ	mənḭpùja̰
မဏိမေခလာ	mənḭmèkʰəlà
မဏိဩဂ	mənḭʔɔ́ɡa̰
မဏ္ဍပ်	máɴdaʔ
မဏ္ဍိုင်	màɴdàɪɴ
မတော်တဆ	mətɔ̀təsʰa̰
မတော်တဆမှု	mətɔ̀təsʰa̰m̥ṵ
မတ်	maʔ
မတ်ခွက်	maʔkʰwɛʔ
မတ်စေ့	maʔsḭ
မတ်ပဲ	maʔpɛ́
မတ်မတ်	maʔmaʔ
မဒါဂတ်စကား	ma̰dàɡaʔsəká
မနက်	mənɛʔ
မနက်ဖြန်	mənɛʔpʰjàɴ
မနုပ်တာနီ	mənoʊʔtànì
မနုဿ	ma̰noʊʔθà
မနုဿဗေဒ	mənoʊʔθa̰bèda̰
မနုဿီဟ	mənoʊʔθìha̰
မနော	mənɔ́
မနောကံ	mənɔ́ɡàɴ
မနေ့က	mənḛɡa̰
မန္တန်	màɴdàɴ
မန္တလေး	màɴdəlé
