а	a
радиостаница	radijɔstanit͡sa
радијација	radijat͡sija
разбере	razbɛɾɛ
разбира	razbiɾa
разбирливост	razbirlivɔst
разблажува	razbɫaʒuva
разборитост	razbɔɾitɔst
разбој	razbɔj
разбојничка	razbɔjnit͡ʃka
разбојнички	razbɔjnit͡ʃki
разбојништво	razbɔjniʃtvɔ
разбран	razbran
разбраност	razbranɔst
разбудува	razbuduva
разбушавеност	razbuʃavɛnɔst
разбушавува	razbuʃavuva
разведрува	razvɛdruva
развиеност	razvijɛnɔst
развлеченост	razvlɛt͡ʃɛnɔst
развратник	razvratnik
развратница	razvratnit͡sa
развратност	razvratnɔst
разгаленост	razɡalɛnɔst
разгаштеност	razɡaʃtɛnɔst
разгаштува	razɡaʃtuva
разговор	razɡɔvɔr
разговорливост	razɡɔvɔrlivɔst
разголеност	razɡɔlɛnɔst
разгранетост	razɡranɛtɔst
раздвоеност	razdvɔɛnɔst
разделеност	razdɛlɛnɔst
разлабавеност	razɫabavɛnɔst
разлика	razlika
различност	razlit͡ʃnɔst
разлошеност	razɫɔʃɛnɔst
размазеност	razmazɛnɔst
размер	razmɛr
размерлив	razmɛrlif
размерливост	razmɛrlivɔst
разнишаност	razniʃanɔst
разнобоен	raznɔbɔɛn
разнобојност	raznɔbɔjnɔst
разноликост	raznɔlikɔst
разнородност	raznɔɾɔdnɔst
разностраност	raznɔstranɔst
разочарувачки	razɔt͡ʃaruvat͡ʃki
разработи	razrabɔti
разработува	razrabɔtuva
разрани	razrani
разреденост	razrɛdɛnɔst
разредувач	razrɛduvat͡ʃ
разреже	razrɛʒɛ
разрушеност	razruʃɛnɔst
разубавеност	razubavɛnɔst
разузданост	razuzdanɔst
разум	razum
разурнатост	razurnatɔst
рак	rak
рака	raka
ракав	rakaf
ракавица	rakavit͡sa
ракавичка	rakavit͡ʃka
ракавче	rakaft͡ʃɛ
ракета	rakɛta
ракија	rakija
раководител	rakɔvɔditɛɫ
раководителка	rakɔvɔditɛɫka
ракомет	rakɔmɛt
ракче	rakt͡ʃɛ
ралник	raɫnik
раменце	ramɛnt͡sɛ
рамка	ramka
рамнодушност	ramnɔduʃnɔst
рамномерност	ramnɔmɛrnɔst
рамност	ramnɔst
рамнојазичен	ramnɔjazit͡ʃɛn
рамо	ramɔ
ран	ran
ранг	raŋk
рандеву	randɛvu
ранец	ranɛt͡s
рано	ranɔ
ранобуден	ranɔbudɛn
ранозрелост	ranɔzrɛɫɔst
ранче	rant͡ʃɛ
рапсодија	rapsɔdija
раса	rasa
расад	rasat
расади	rasadi
расеаност	rasɛanɔst
раседлува	rasɛdɫuva
расекува	rasɛkuva
расели	rasɛli
раселува	rasɛɫuva
расече	rasɛt͡ʃɛ
расипаност	rasipanɔst
расипништво	rasipniʃtvɔ
раситнува	rasitnuva
раскали	raskali
раскалуѓери	raskaɫuɟɛɾi
раскитува	raskituva
расклопува	raskɫɔpuva
раскове	raskɔvɛ
раскол	raskɔɫ
расколник	raskɔɫnik
раскошност	raskɔʃnɔst
раскрвавеност	raskr̩vavɛnɔst
раскрене	raskrɛnɛ
раскрепости	raskrɛpɔsti
раскрои	raskrɔi
раскрсти	raskr̩sti
распаднатост	raspadnatɔst
распашува	raspaʃuva
распаќе	raspacɛ
распердаши	raspɛrdaʃi
распетла	raspɛtɫa
распис	raspis
распласти	raspɫasti
расповие	raspɔvijɛ
расподели	raspɔdɛli
расположлив	raspɔɫɔʒlif
расположливост	raspɔɫɔʒlivɔst
распоредба	raspɔɾɛdba
распостеле	raspɔstɛlɛ
расправа	rasprava
распрденост	raspr̩dɛnɔst
распределеност	rasprɛdɛlɛnɔst
распространетост	rasprɔstranɛtɔst
распростре	rasprɔstrɛ
распуштеност	raspuʃtɛnɔst
растапка	rastapka
растение	rastɛnijɛ
растревоженост	rastrɛvɔʒɛnɔst
растрепереност	rastrɛpɛɾɛnɔst
растроеност	rastrɔɛnɔst
растројство	rastrɔjstvɔ
расуди	rasudi
расудност	rasudnɔst
расука	rasuka
расфрла	rasfr̩ɫa
расцути	rast͡suti
расчепка	raʃt͡ʃɛpka
расчетка	raʃt͡ʃɛtka
расчешла	raʃt͡ʃɛʃɫa
расчовечи	raʃt͡ʃɔvɛt͡ʃi
рафинерија	rafinɛɾija
рационализација	rat͡sijɔnalizat͡sija
раширува	raʃiɾuva
раштрканост	raʃtr̩kanɔst
реа	rɛa
реав	rɛaf
реавост	rɛavɔst
реализација	rɛalizat͡sija
реалистичност	rɛalistit͡ʃnɔst
реалност	rɛaɫnɔst
ребренце	rɛbrɛnt͡sɛ
ребро	rɛbrɔ
ревија	rɛvija
ревност	rɛvnɔst
регенерација	rɛɡɛnɛrat͡sija
регистарски	rɛɡistarski
регистраторски	rɛɡistratɔrski
регистрациски	rɛɡistrat͡siski
регистрација	rɛɡistrat͡sija
регресија	rɛɡrɛsija
регулаторски	rɛɡuɫatɔrski
регулациски	rɛɡuɫat͡siski
регулација	rɛɡuɫat͡sija
редакторка	rɛdaktɔrka
редакторски	rɛdaktɔrski
редакторство	rɛdaktɔrstvɔ
редакциски	rɛdakt͡siski
редакција	rɛdakt͡sija
редовност	rɛdɔvnɔst
редукција	rɛdukt͡sija
редупликација	rɛduplikat͡sija
режија	rɛʒija
резбар	rɛzbar
резбарски	rɛzbarski
резбарство	rɛzbarstvɔ
резерват	rɛzɛrvat
резиденција	rɛzidɛnt͡sija
резолуција	rɛzɔɫut͡sija
резултат	rɛzuɫtat
реинкарнација	rɛiŋkarnat͡sija
река	rɛka
рекатегоризација	rɛkatɛɡɔɾizat͡sija
реквием	rɛkvijɛm
рекичка	rɛkit͡ʃka
рекламациски	rɛkɫamat͡siski
рекламација	rɛkɫamat͡sija
реконструкциски	rɛkɔnstrukt͡siski
реконструкција	rɛkɔnstrukt͡sija
рекреација	rɛkrɛat͡sija
релација	rɛɫat͡sija
релјефен	rɛljɛfɛn
рема	rɛma
рендгенски	rɛndɡɛnski
ренде	rɛndɛ
рениум	rɛnijum
репа	rɛpa
репетициски	rɛpɛtit͡siski
репортер	rɛpɔrtɛr
репрезентациски	rɛprɛzɛntat͡siski
репрезентација	rɛprɛzɛntat͡sija
репродукциски	rɛprɔdukt͡siski
република	rɛpublika
ресичен	rɛsit͡ʃɛn
реставраторски	rɛstavratɔrski
реставрација	rɛstavrat͡sija
ресто	rɛstɔ
ресторан	rɛstɔran
реторика	rɛtɔɾika
реума	rɛuma
реформаторка	rɛfɔrmatɔrka
рехабилитација	rɛxabilitat͡sija
рецитација	rɛt͡sitat͡sija
реч	rɛt͡ʃ
речник	rɛt͡ʃnik
решеност	rɛʃɛnɔst
решето	rɛʃɛtɔ
рејкјавик	rɛjkjavik
рејкјавички	rɛjkjavit͡ʃki
риба	riba
рига	riɡa
ригански	riɡanski
ригидност	riɡidnɔst
ризичност	rizit͡ʃnɔst
рим	rim
рипнува	ripnuva
рипче	ript͡ʃɛ
рис	ris
рисјанин	risjanin
ритмичност	ritmit͡ʃnɔst
рицар	rit͡sar
рицарски	rit͡sarski
роб	rɔp
робот	rɔbɔt
роботизација	rɔbɔtizat͡sija
ров	rɔf
ровкост	rɔfkɔst
ровчица	rɔft͡ʃit͡sa
рог	rɔk
рогат	rɔɡat
род	rɔt
родилен	rɔdilɛn
родилка	rɔdiɫka
родина	rɔdina
роднина	rɔdnina
родовник	rɔdɔvnik
родоотстапник	rɔdɔɔtstapnik
родољубивост	rɔdɔlubivɔst
рокер	rɔkɛr
рокерка	rɔkɛrka
роковник	rɔkɔvnik
ролерка	rɔlɛrka
ролја	rɔlja
романтичарка	rɔmantit͡ʃarka
ронка	rɔŋka
ронливост	rɔnlivɔst
ронче	rɔnt͡ʃɛ
роса	rɔsa
росичка	rɔsit͡ʃka
ротациски	rɔtat͡siski
рочиште	rɔt͡ʃiʃtɛ
рубрика	rubrika
рударка	rudarka
рударство	rudarstvɔ
рудник	rudnik
ружа	ruʒa
ружичка	ruʒit͡ʃka
рунтав	runtaf
рунтавост	runtavɔst
рус	rus
русе	rusɛ
русин	rusin
русинка	rusiŋka
русија	rusija
руски	ruski
рутински	rutinski
руча	rut͡ʃa
ручек	rut͡ʃɛk
сабајле	sabajlɛ
сабота	sabɔta
сабја	sabja
сабји	sabji
сад	sat
сака	saka
салата	saɫata
салатичка	saɫatit͡ʃka
сало	saɫɔ
само	samɔ
самовластие	samɔvɫastijɛ
самогласка	samɔɡɫaska
самодејност	samɔdɛjnɔst
самодржавие	samɔdr̩ʒavijɛ
саможивност	samɔʒivnɔst
самокритичност	samɔkritit͡ʃnɔst
самоодржлив	samɔɔdr̩ʒlif
самостојност	samɔstɔjnɔst
самострел	samɔstrɛɫ
самоубиец	samɔubijɛt͡s
самоубиствен	samɔubistvɛn
самоубиство	samɔubistvɔ
самоуштво	samɔuʃtvɔ
самохран	samɔxran
самољубивост	samɔlubivɔst
самрачен	samrat͡ʃɛn
самуил	samuiɫ
самун	samun
сандала	sandaɫa
сандаче	sandat͡ʃɛ
сантиметар	santimɛtar
сантиметри	santimɛtri
сапун	sapun
сапунарство	sapunarstvɔ
сапунче	sapunt͡ʃɛ
сапунџија	sapund͡ʒija
сараево	saraɛvɔ
сарма	sarma
сармичка	sarmit͡ʃka
сатана	satana
сатира	satiɾa
сатисфакција	satisfakt͡sija
сауна	sauna
сафра	safra
сајбија	sajbija
свастика	svastika
светлост	svɛtɫɔst
световност	svɛtɔvnɔst
светост	svɛtɔst
свештеник	svɛʃtɛnik
свеќа	svɛca
свеќарка	svɛcarka
свеќарски	svɛcarski
свеќарство	svɛcarstvɔ
свеќичка	svɛcit͡ʃka
свидетелство	svidɛtɛɫstvɔ
свиен	svijɛn
свикува	svikuva
свиларка	sviɫarka
свиларски	sviɫarski
свиларство	sviɫarstvɔ
свилест	svilɛst
свинче	svint͡ʃɛ
свирач	sviɾat͡ʃ
свирепост	sviɾɛpɔst
свирење	sviɾɛɲɛ
свирче	svirt͡ʃɛ
свиѓа	sviɟa
свиња	sviɲa
свињарка	sviɲarka
свињарник	sviɲarnik
свињарница	sviɲarnit͡sa
свињарски	sviɲarski
свињарство	sviɲarstvɔ
сводник	svɔdnik
сводништво	svɔdniʃtvɔ
своевидност	svɔɛvidnɔst
своеглавост	svɔɛɡɫavɔst
своина	svɔina
сврзаност	svr̩zanɔst
свртува	svr̩tuva
свршеничка	svr̩ʃɛnit͡ʃka
свршенички	svr̩ʃɛnit͡ʃki
се	sɛ
север	sɛvɛr
севкупност	sɛfkupnɔst
седало	sɛdaɫɔ
седело	sɛdɛɫɔ
седенка	sɛdɛŋka
седларски	sɛdɫarski
седларство	sɛdɫarstvɔ
седмица	sɛdmit͡sa
седница	sɛdnit͡sa
седнува	sɛdnuva
седум	sɛdum
седумдесет	sɛdumdɛsɛt
седумка	sɛdumka
седуммина	sɛdummina
седумнаесет	sɛdumnaɛsɛt
седумстотини	sɛdumstɔtini
сее	sɛɛ
сеирџија	sɛird͡ʒija
секојдневност	sɛkɔjdnɛvnɔst
секташтво	sɛktaʃtvɔ
секторски	sɛktɔrski
селанство	sɛɫanstvɔ
село	sɛɫɔ
селотејп	sɛɫɔtɛjp
селце	sɛɫt͡sɛ
семе	sɛmɛ
семестар	sɛmɛstar
семестарски	sɛmɛstarski
семиологија	sɛmijɔɫɔɡija
семкар	sɛmkar
сенаторски	sɛnatɔrski
сензација	sɛnzat͡sija
сено	sɛnɔ
сеприсутен	sɛprisutɛn
сеприсутност	sɛprisutnɔst
септември	sɛptɛɱvri
септички	sɛptit͡ʃki
сердар	sɛrdar
сердарски	sɛrdarski
сесија	sɛsija
сестра	sɛstra
сестраност	sɛstranɔst
сестринство	sɛstrinstvɔ
сестриче	sɛstrit͡ʃɛ
сеструле	sɛstrulɛ
сеул	sɛuɫ
сефте	sɛftɛ
сечач	sɛt͡ʃat͡ʃ
сечило	sɛt͡ʃiɫɔ
сибирски	sibirski
сигурносен	siɡurnɔsɛn
сигурност	siɡurnɔst
сиднеј	sidnɛj
сиднејски	sidnɛjski
сиже	siʒɛ
силеџиство	silɛd͡ʒistvɔ
симболизација	simbɔlizat͡sija
симетричност	simɛtrit͡ʃnɔst
симетрија	simɛtrija
симпатичен	simpatit͡ʃɛn
симпатичност	simpatit͡ʃnɔst
симпозиум	simpɔzijum
симфонија	simfɔnija
син	sin
сина	sina
синап	sinap
сингапур	siŋɡapur
синоптички	sinɔptit͡ʃki
синоубиство	sinɔubistvɔ
синоќа	sinɔca
синтетика	sintɛtika
синхронизација	sinxrɔnizat͡sija
синче	sint͡ʃɛ
синџир	sind͡ʒir
синџирче	sind͡ʒirt͡ʃɛ
сиот	sijɔt
сипаничав	sipanit͡ʃaf
сирачки	siɾat͡ʃki
сиренце	siɾɛnt͡sɛ
сирење	siɾɛɲɛ
сиромашност	sirɔmaʃnɔst
систематизација	sistɛmatizat͡sija
сите	sitɛ
ситничавост	sitnit͡ʃavɔst
ситничарка	sitnit͡ʃarka
ситничарски	sitnit͡ʃarski
ситничарство	sitnit͡ʃarstvɔ
ситнурија	sitnuɾija
сито	sitɔ
ситуациски	situat͡siski
скапост	skapɔst
скелетен	skɛlɛtɛn
скептик	skɛptik
скептичност	skɛptit͡ʃnɔst
скиснатост	skisnatɔst
скита	skita
скитничка	skitnit͡ʃka
скитнички	skitnit͡ʃki
скитништво	skitniʃtvɔ
скијање	skijaɲɛ
складност	skɫadnɔst
скокнува	skɔknuva
скокотливост	skɔkɔtlivɔst
сколовранец	skɔɫɔvranɛt͡s
скопјанец	skɔpjanɛt͡s
скопјанка	skɔpjaŋka
скопјанче	skɔpjant͡ʃɛ
скопје	skɔpjɛ
скорпија	skɔrpija
скотски	skɔtski
скрб	skr̩p
скржавост	skr̩ʒavɔst
скришност	skriʃnɔst
скробен	skrɔbɛn
скротум	skrotum
скршнува	skr̩ʃnuva
скудност	skudnɔst
скулпторски	skuɫptɔrski
скулптурен	skuɫptuɾɛn
слаб	sɫap
слава	sɫava
славеј	sɫavɛj
славејче	sɫavɛjt͡ʃɛ
славољубивост	sɫavɔlubivɔst
сладок	sɫadɔk
сладолед	sɫadɔlɛt
сладоледџија	sɫadɔlɛdd͡ʒija
сламен	sɫamɛn
сланина	sɫanina
сланиница	sɫaninit͡sa
сланинка	sɫaniŋka
слаткарски	sɫatkarski
слаткарство	sɫatkarstvɔ
слаткоречивост	sɫatkɔrɛt͡ʃivɔst
слеан	slɛan
следбеничка	slɛdbɛnit͡ʃka
слива	sliva
сливов	slivɔf
сливче	slift͡ʃɛ
сликарски	slikarski
сликичка	slikit͡ʃka
сликовен	slikɔvɛn
сликовит	slikɔvit
сликовитост	slikɔvitɔst
слободољубивост	sɫɔbɔdɔlubivɔst
словенец	sɫɔvɛnɛt͡s
словенка	sɫɔvɛŋka
словенски	sɫɔvɛnski
слово	sɫɔvɔ
сложен	sɫɔʒɛn
сложенка	sɫɔʒɛŋka
сложеност	sɫɔʒɛnɔst
слонче	sɫɔnt͡ʃɛ
слончиња	sɫɔnt͡ʃiɲa
служба	sɫuʒba
слушателка	sɫuʃatɛɫka
смарагден	smaɾaɡdɛn
смет	smɛt
сметка	smɛtka
сметководителка	smɛtkɔvɔditɛɫka
смешност	smɛʃnɔst
смлачи	smɫat͡ʃi
смоквин	smɔkvin
смола	smɔɫa
смотаност	smɔtanɔst
смотра	smɔtra
смрдливост	smr̩dlivɔst
смреков	smrɛkɔf
смрзнатост	smr̩znatɔst
смрт	smr̩t
смрчак	smr̩t͡ʃak
снаин	snain
снаодливост	snaɔdlivɔst
снајпер	snajpɛr
снајперка	snajpɛrka
снег	snɛk
снеговит	snɛɡɔvit
снеговица	snɛɡɔvit͡sa
снегулка	snɛɡuɫka
снегулки	snɛɡuɫki
снегулче	snɛɡuɫt͡ʃɛ
снеже	snɛʒɛ
снежиња	snɛʒiɲa
снеможува	snɛmɔʒuva
снесува	snɛsuva
снешко	snɛʃkɔ
снешковци	snɛʃkɔft͡si
снисходливост	snisxɔdlivɔst
снобовски	snɔbɔfski
сноп	snɔp
снопче	snɔpt͡ʃɛ
снопје	snɔpjɛ
сношти	snɔʃti
соавторство	sɔaftɔrstvɔ
соба	sɔba
собитие	sɔbitijɛ
собичка	sɔbit͡ʃka
соблазнивост	sɔbɫaznivɔst
соборен	sɔbɔɾɛn
соборува	sɔbɔɾuva
советничка	sɔvɛtnit͡ʃka
советски	sɔvɛtski
совладливост	sɔvɫadlivɔst
совпадливост	sɔfpadlivɔst
современост	sɔvrɛmɛnɔst
согласка	sɔɡɫaska
соговорница	sɔɡɔvɔrnit͡sa
согорување	sɔɡɔruvaɲɛ
содржаен	sɔdr̩ʒaɛn
соединет	sɔɛdinɛt
соединети	sɔɛdinɛti
соединетост	sɔɛdinɛtɔst
сожителство	sɔʒitɛɫstvɔ
создание	sɔzdanijɛ
сознание	sɔznanijɛ
соин	sɔin
сокак	sɔkak
сокаче	sɔkat͡ʃɛ
сокачки	sɔkat͡ʃki
сокол	sɔkɔɫ
соколар	sɔkɔɫar
соларен	sɔɫaɾɛn
соленост	sɔlɛnɔst
солза	sɔɫza
солзичка	sɔɫzit͡ʃka
солун	sɔɫun
соматски	sɔmatski
сомнение	sɔmnɛnijɛ
сомнителност	sɔmnitɛɫnɔst
сомничавост	sɔmnit͡ʃavɔst
сомот	sɔmɔt
сомун	sɔmun
сон	sɔn
сонародник	sɔnaɾɔdnik
сонародничка	sɔnarɔdnit͡ʃka
сонетен	sɔnɛtɛn
сонце	sɔnt͡sɛ
сонценце	sɔnt͡sɛnt͡sɛ
сонцуле	sɔnt͡sulɛ
соодветност	sɔɔdvɛtnɔst
соодветство	sɔɔdvɛtstvɔ
сооднос	sɔɔdnɔs
сопатничка	sɔpatnit͡ʃka
соперничка	sɔpɛrnit͡ʃka
соплеменица	sɔplɛmɛnit͡sa
сопотписник	sɔpɔtpisnik
сопруг	sɔpruk
сопруга	sɔpruɡa
сопружник	sɔpruʒnik
сопружничка	sɔpruʒnit͡ʃka
сопружништво	sɔpruʒniʃtvɔ
сопственица	sɔpstvɛnit͡sa
сопственички	sɔpstvɛnit͡ʃki
сопствеништво	sɔpstvɛniʃtvɔ
сопче	sɔpt͡ʃɛ
соседство	sɔsɛtstvɔ
сословие	sɔsɫɔvijɛ
сосопственик	sɔsɔpstvɛnik
сот	sɔt
соучесница	sɔut͡ʃɛsnit͡sa
соучеснички	sɔut͡ʃɛsnit͡ʃki
соучесништво	sɔut͡ʃɛsniʃtvɔ
соучество	sɔut͡ʃɛstvɔ
соучествува	sɔut͡ʃɛstvuva
софија	sɔfija
сочност	sɔt͡ʃnɔst
сочувствителност	sɔt͡ʃufstvitɛɫnɔst
сојузништво	sɔjuzniʃtvɔ
спарува	spaɾuva
спасителен	spasitɛlɛn
спасувачки	spasuvat͡ʃki
спахија	spaxija
сперма	spɛrma
специјализација	spɛt͡sijalizat͡sija
спечалува	spɛt͡ʃaɫuva
спикер	spikɛr
спикерка	spikɛrka
спинета	spinɛta
спинети	spinɛti
списание	spisanijɛ
сплеткар	splɛtkar
сполај	spɔɫaj
споменица	spɔmɛnit͡sa
споменичен	spɔmɛnit͡ʃɛn
спонзорски	spɔnzɔrski
спонтаност	spɔntanɔst
споредлив	spɔɾɛdlif
споредливост	spɔrɛdlivɔst
споредност	spɔɾɛdnɔst
спорен	spɔɾɛn
спорност	spɔrnɔst
спорост	spɔɾɔst
спорт	spɔrt
споцрка	spɔt͡sr̩ka
спојка	spɔjka
справа	sprava
справедливост	spravɛdlivɔst
спрат	sprat
спремност	sprɛmnɔst
спринтер	sprintɛr
спринтерка	sprintɛrka
спроводен	sprɔvɔdɛn
спроводник	sprɔvɔdnik
сразмер	srazmɛr
сразмерност	srazmɛrnɔst
србин	sr̩bin
србинка	sr̩biŋka
срдечност	sr̩dɛt͡ʃnɔst
сребрар	srɛbrar
сребрен	srɛbrɛn
сребрест	srɛbrɛst
среда	srɛda
среден	srɛdɛn
среденост	srɛdɛnɔst
сретнува	srɛtnuva
срна	sr̩na
срнче	sr̩nt͡ʃɛ
сродност	srɔdnɔst
срочиште	srɔt͡ʃiʃtɛ
српски	sr̩pski
срце	sr̩t͡sɛ
срценце	sr̩t͡sɛnt͡sɛ
срцуле	sr̩t͡sulɛ
стабилизација	stabilizat͡sija
стабилност	stabiɫnɔst
става	stava
стави	stavi
стагнација	staɡnat͡sija
стадиум	stadijum
стадо	stadɔ
стаклар	stakɫar
стакларка	stakɫarka
стакларски	stakɫarski
стакларство	stakɫarstvɔ
стакленички	staklɛnit͡ʃki
стакленце	staklɛnt͡sɛ
сталешки	stalɛʃki
сталоженост	staɫɔʒɛnɔst
стан	stan
станарство	stanarstvɔ
станбен	stambɛn
стандардизација	standardizat͡sija
станува	stanuva
станче	stant͡ʃɛ
стап	stap
стаписаност	stapisanɔst
стар	star
старец	staɾɛt͡s
старешинство	starɛʃinstvɔ
старолик	staɾɔlik
староликост	starɔlikɔst
старче	start͡ʃɛ
статичност	statit͡ʃnɔst
стврднатост	stvr̩dnatɔst
стена	stɛna
стенографија	stɛnɔɡrafija
степенува	stɛpɛnuva
стерилизациски	stɛɾilizat͡siski
стерилизација	stɛɾilizat͡sija
стетоскоп	stɛtɔskɔp
стилизација	stilizat͡sija
стиснатост	stisnatɔst
стиснува	stisnuva
стија	stija
сто	stɔ
стокхолм	stɔkxɔɫm̩
стокхолмски	stɔkxɔɫm̩ski
столарство	stɔɫarstvɔ
столица	stɔlit͡sa
столови	stɔɫɔvi
столче	stɔɫt͡ʃɛ
стомак	stɔmak
стоматологија	stɔmatɔɫɔɡija
стомна	stɔmna
стомничка	stɔmnit͡ʃka
стопеност	stɔpɛnɔst
стопува	stɔpuva
сторител	stɔɾitɛɫ
стравотен	stravɔtɛn
стравува	sɛstravuva
страда	strada
страдалник	stradaɫnik
стражарка	straʒarka
страница	stranit͡sa
страничка	stranit͡ʃka
стратег	stratɛk
стратификација	stratifikat͡sija
страчкин	strat͡ʃkin
страшливост	straʃlivɔst
стрви	str̩vi
стрвник	str̩vnik
стрела	strɛɫa
стреличарство	strɛlit͡ʃarstvɔ
стреличка	strɛlit͡ʃka
стринин	strinin
стрмност	str̩mnɔst
струга	struɡa
струи	strui
студен	studɛn
студент	studɛnt
студентка	studɛntka
студио	studijɔ
субвенција	subvɛnt͡sija
сублимација	sublimat͡sija
сува	suva
сувански	suvanski
суверен	suvɛɾɛn
сувост	suvɔst
сугестија	suɡɛstija
суд	sut
суеверие	suɛvɛɾijɛ
суетност	suɛtnɔst
сукало	sukaɫɔ
сукња	sukɲa
султанка	suɫtaŋka
султанов	suɫtanɔf
сулфурен	suɫfuɾɛn
сунѓер	sunɟɛr
сунѓерче	sunɟɛrt͡ʃɛ
супа	supa
супичка	supit͡ʃka
суптилност	suptiɫnɔst
сура	suɾa
сурат	suɾat
сурутка	suɾutka
сусамов	susamɔf
суфикс	sufiks
суштественост	suʃtɛstvɛnɔst
суштество	suʃtɛstvɔ
сферичност	sfɛɾit͡ʃnɔst
сценографија	st͡sɛnɔɡrafija
сценски	st͡sɛnski
сѐ	sɛ
сјајност	sjajnɔst
таа	taa
таблица	tablit͡sa
тавтологија	taftɔɫɔɡija
таинственост	tainstvɛnɔst
така	taka
такса	taksa
таксирлија	taksirlija
таксономија	taksɔnɔmija
тактичност	taktit͡ʃnɔst
талка	taɫka
таму	tamu
тантал	tantaɫ
танцов	tant͡sɔf
тапан	tapan
тапанарка	tapanarka
тапанче	tapant͡ʃɛ
тапија	tapija
тастатура	tastatuɾa
татенце	tatɛnt͡sɛ
таткоубиство	tatkɔubistvɔ
тахикардија	taxikardija
ташна	taʃna
ташничка	taʃnit͡ʃka
тајна	tajna
тајност	tajnɔst
таџикистан	tad͡ʒikistan
тбилиси	dbilisi
тбилисиски	dbilisiski
твид	tvit
твој	tvɔj
тврдоглавост	tvr̩dɔɡɫavɔst
тврдост	tvr̩dɔst
те	tɛ
тебе	tɛbɛ
тегав	tɛɡaf
тежок	tɛʒɔk
теза	tɛza
тексас	tɛksas
текстил	tɛkstiɫ
теленце	tɛlɛnt͡sɛ
телеологија	tɛlɛɔɫɔɡija
телесност	tɛlɛsnɔst
телефон	tɛlɛfɔn
теме	tɛmɛ
темница	tɛmnit͡sa
темноцрвен	tɛmnɔt͡sr̩vɛn
тенденција	tɛndɛnt͡sija
тенис	tɛnis
тениски	tɛniski
тенија	tɛnija
тенок	tɛnɔk
тенорски	tɛnɔrski
теократија	tɛɔkratija
тепач	tɛpat͡ʃ
тепих	tɛpix
термодинамика	tɛrmɔdinamika
тесар	tɛsar
теснински	tɛsninski
тесноградост	tɛsnɔɡradɔst
тесто	tɛstɔ
тетинов	tɛtinɔf
тетратче	tɛtratt͡ʃɛ
тефтерче	tɛftɛrt͡ʃɛ
техеран	tɛxɛɾan
техерански	tɛxɛɾanski
техничарка	tɛxnit͡ʃarka
технологија	tɛxnɔɫɔɡija
тешкичок	tɛʃkit͡ʃɔk
тешкотија	tɛʃkɔtija
ти	ti
тигарски	tiɡarski
тие	tijɛ
тиква	tikva
тикварник	tikvarnik
тикве	tikvɛ
тиквеник	tikvɛnik
тиквичка	tikvit͡ʃka
тим	tim
тимар	timar
тимбу	timbu
тимбуски	timbuski
типологија	tipɔɫɔɡija
тирана	tirana
тих	tix
тишина	tiʃina
ткае	tkaɛ
ткајач	tkajat͡ʃ
ткајачка	tkajat͡ʃka
тоа	tɔa
товар	tɔvar
токио	tɔkijɔ
токиски	tɔkiski
толеранција	tɔlɛrant͡sija
том	tɔm
топ	tɔp
топка	tɔpka
топкање	tɔpkaɲɛ
топличок	tɔplit͡ʃɔk
топот	tɔpɔt
топчест	tɔpt͡ʃɛst
торба	tɔrba
тореадорски	tɔɾɛadɔrski
торта	tɔrta
точак	tɔt͡ʃak
тој	tɔj
трагикомедија	traɡikɔmɛdija
трагикомичен	traɡikɔmit͡ʃɛn
трагичарка	traɡit͡ʃarka
трагичност	traɡit͡ʃnɔst
трактор	traktɔr
тракторски	traktɔrski
транзитен	tranzitɛn
транзиција	tranzit͡sija
трансакциски	transakt͡siski
трансакција	transakt͡sija
транспозиција	transpɔzit͡sija
трансфер	transfɛr
трансфобија	transfɔbija
трансформатор	transfɔrmatɔr
трансформација	transfɔrmat͡sija
трауматичност	traumatit͡ʃnɔst
трафика	trafika
трачар	trat͡ʃar
трајност	trajnɔst
трбушен	tr̩buʃɛn
трева	trɛva
тревичка	trɛvit͡ʃka
тревник	trɛvnik
трезвеник	trɛzvɛnik
трезорски	trɛzɔrski
трескот	trɛskɔt
тржество	tr̩ʒɛstvɔ
трзачки	tr̩zat͡ʃki
три	tri
тригонометрија	triɡɔnɔmɛtrija
триделен	tridɛlɛn
триесет	trijɛsɛt
трилогија	triɫɔɡija
тринаесет	trinaɛsɛt
триста	trista
трици	trit͡si
тркалце	tr̩kaɫt͡sɛ
тркачки	tr̩kat͡ʃki
трн	tr̩n̩
трнинка	tr̩niŋka
трнка	tr̩n̩ka
тровче	trɔft͡ʃɛ
трогателност	trɔɡatɛɫnɔst
трогнатост	trɔɡnatɔst
тромавост	trɔmavɔst
тромб	trɔmp
трошка	trɔʃka
трошочен	trɔʃɔt͡ʃɛn
тројка	trɔjka
тројца	trɔjt͡sa
тројче	trɔjt͡ʃɛ
трст	tr̩st
труд	trut
труден	trudɛn
труп	trup
трупа	trupa
трупче	trupt͡ʃɛ
трњак	tr̩ɲak
тужба	tuʒba
тужбен	tuʒbɛn
тужителка	tuʒitɛɫka
тука	tuka
тулиум	tulijum
туморски	tumɔrski
тунис	tunis
тупав	tupaf
турбуленција	turbulɛnt͡sija
турист	turist
туристка	turistka
турнува	turnuva
турчин	turt͡ʃin
турчинка	turt͡ʃiŋka
туткав	tutkaf
туш	tuʃ
туѓински	tuɟinski
у	u
убива	ubiva
