we	βˈe
ukrain	ʊqrˈoin
ulanyjylaryň	ˌʊɫonˌʊd͡ʒɯɫˈɑrɯŋ
ulanylmaýan	ˌʊɫonʊɫmˈɑjɑn
ulgamlardaky	ˌʊɫʁomɫɑrdˈɑːqɯ
umumydünýä	ˌʊmʊmʊdˈønjæ
uniwersitetleriniň	ˌʊniβˌerθitˌetlerˈiniŋ
urmuş	ˈʊrmʊʃ
urýar	ˈʊrjɑr
urşuna	ʊrʃˈʊno
urşunda	ʊrʃˈʊnno
ussatlaryny	ˌʊθθotɫɑrˈɯnɯ
utdy	ˈʊtdʊ
utuklar	ʊtˈʊqɫor
utuklaryň	ˌʊtʊqɫˈorʊŋ
uzaga	ʊðˈoʁo
uzaldylan	ˌʊðoɫɫˈʊɫɑn
uzaldylýar	ˌʊðoɫɫˈʊɫjɑr
uçarlar	ʊt͡ʃˈorɫor
uçastogynyň	ˌʊt͡ʃoθθoʁˈʊnʊŋ
wagonlaryň	βˌɑʁonɫˈorʊŋ
watandaşlarymyza	βˌɑtɑnnˌɑʃɫɑrɯmˈɯðɑ
wekilini	βˌekilˈini
welaýata	βˌelɑjˈɑtɑ
welaýatlara	βˌelɑjɑtɫˈɑrɑ
wezipämiz	βˌeðipˈæmið
ybaratdygyny	ˌɯβɑrˌɑtdɯʁˈɯnɯ
ykdysadyýetleriniň	ˌɯqdɯθˌɑdɯjˌetlerˈiniŋ
ylalaşygyny	ˌɯɫɑɫˌɑʃɯʁˈɯnɯ
ylalaşyklara	ˌɯɫɑɫˌɑʃɯqɫˈɑrɑ
ylma	ˈɯɫmɑ
yzysüre	ˌɯðɯθˈørœ
yň	ˈɯŋ
zalyň	ðˈɑɫɯŋ
zeýtun	ðˈejtʊn
zonasynda	ðˌonoθˈʊnno
zähmetsöýerligi	ðˌæhmeθθˌœjerlˈiʁi
zähmetsöýerlik	ðˌæhmeθθœjˈerlik
Änew	ˈænœβ
Ärdogan	ærdˈoʁon
Çarymyrat	t͡ʃˌɑrɯmˈɯrɑt
Çehiýa	t͡ʃehˈijɑ
Çeper	t͡ʃˈeper
Çeşme	t͡ʃˈeʃme
Çykyşyň	t͡ʃɯqˈɯʃɯŋ
Öýjügiň	œjd͡ʒˈøɡøŋ
Üpjün	øpd͡ʒˈøn
Ýerleriň	jerlˈeriŋ
Ýetirilen	jˌetirˈilen
Ýewraziýanyň	jˌœβrɑðijˈɑnɯŋ
Ýolbaşçy	joːɫβˈoʃʃʊ
Ýolöten	joɫˈœtœn
Ýylylyk	jɯɫˈɯɫɯq
ätiýaçlandyryja	ˌætijˌɑt͡ʃɫɑnnɯrˈɯd͡ʒɑ
ätiýaçlandyrýanyň	ˌætijˌɑt͡ʃɫɑnnɯrjˈɑnɯŋ
çagyryp	t͡ʃɑʁˈɯrɯp
çapmak	t͡ʃɑpmˈɑq
çeker	t͡ʃˈeker
çekilipdir	t͡ʃˌekilˈipdir
çemeleşmäni	t͡ʃˌemeleʃmˈæni
çempionatlary	t͡ʃˌempiˌonotɫˈorɯ
çeşmelerine	t͡ʃˌeʃmelerˈine
çykarmakdan	t͡ʃˌɯqɑrmˈɑqdɑn
çykarylar	t͡ʃˌɯqɑrˈɯɫɑr
çyzykly	t͡ʃɯðˈɯqɫɯ
çäkden	t͡ʃˈækden
çäklere	t͡ʃæklˈere
çärelerde	t͡ʃˌærelˈerde
çärelerinde	t͡ʃˌærelerˈinne
çözmegi	t͡ʃœðmˈœʁø
ölüm	ˈœløm
öndürijiliginiň	ˌœnnørˌød͡ʒøliʁˈiniŋ
önümli	œnˈømlø
ösdürýärler	ˌœθθørjˈærler
öwrülendigi	ˌœβrølœnnˈøʁi
öwüşginlere	ˌœβøʃʁønlˈere
özenine	ˌœðœnˈøne
özge	ˈœðʁœ
özüňe	œːðˈøŋœ
öýjük	ˈœjd͡ʒøk
öýjükleri	ˌœjd͡ʒøklˈœrø
üýtgetmegiň	ˌøːjtʁetmˈeʁiŋ
ýadygärligini	jˌɑdɯɡˌærliʁˈini
ýakynynda	jˌɑqɯnˈɯnnɑ
ýaponiýaly	jˌɑponijˈɑɫɯ
ýaprakly	jɑprˈɑqɫɯ
ýapylan	jɑpˈɯɫɑn
ýarmarkalar	jˌɑrmɑrqˈɑɫɑr
ýazgylarynyň	jˌɑðʁɯɫɑrˈɯnɯŋ
ýaý	jˈɑj
ýaýdan	jˈɑjdɑn
ýaýradylmagyna	jˌɑjrɑdˌɯɫmɑʁˈɯnɑ
ýelden	jˈellen
ýeliň	jˈeliŋ
ýetipdir	jetˈipdir
ýetirijisine	jˌetirˌid͡ʒiθˈine
ýetirilmezligi	jˌetirˌilmeðlˈiʁi
ýetişdirilende	jˌetiʃdˌirilˈenne
ýetmeýän	jetmˈejæn
ýeňijileriň	jˌeŋid͡ʒilˈeriŋ
ýeňişlerini	jˌeŋiʃlerˈini
ýigitleri	jˌiʁitlˈeri
ýitirilmegi	jˌitirilmˈeʁi
ýolbaşçynyň	jˌoɫβoʃʃˈʊnɯŋ
ýoldaşlyk	joɫɫˈoʃɫʊq
ýygnaga	jɯʁnˈɑʁɑ
ýygnan	jˈɯʁnɑn
ýygymlaryň	jˌɯʁɯmɫˈɑrɯŋ
ýöredilmegini	jˌœrœdˌølmeʁˈini
ýöredilýän	jˌœrœdˈøljæn
ýüklenilip	jˌøklœnˈøløp
ýüklenýär	jøklˈœnjæːr
ýüwrük	jˈøβrøk
ýüňi	jˈøŋø
Şagadam	ʃɑʁˈɑdɑm
Şahs	ʃˈɑxθ
Şahyryň	ʃɑxˈɯrɯŋ
Şikaýata	ʃˌikɑjˈɑtɑ
şahamçalaryny	ʃˌɑxɑmt͡ʃˌɑɫɑrˈɯnɯ
şahsyýetnamasy	ʃˌɑxθɯjˌetnɑmˈɑθɯ
şekil	ʃˈekil
şertlenendir	ʃˌertlenˈennir
şikaýatlara	ʃˌikɑjɑtɫˈɑrɑ
şobada	ʃoβˈodo
şony	ʃˈonʊ
şugundyryny	ʃˌʊʁʊnnʊrˈʊnʊ
şundan	ʃˈʊnnon
şypahanasynyň	ʃˌɯpɑxˌɑnɑθˈɯnɯŋ
şäherçesine	ʃˌæhert͡ʃeθˈine
şöhle	ʃˈœhlœ
ARETI	ɑrˈeti
Adwokat	ɑdβˈoqot
Ady	ˈɑːdɯ
Adyl	ˈɑːdɯɫ
Akademiýasy	ˌɑqɑdˌemijˈɑθɯ
Almaty	ɑɫmˈɑtɯ
Aman	ˈɑmɑːn
Awiasiýa	ˌoβiɑθˈijɑ
Awstraliýanyň	ˌoβθθrɑɫijˈɑnɯŋ
Awtor	ˈoβtor
Aýyplaw	ɑjˈɯpɫoβ
Aýyň	ˈɑjɯŋ
Bag	bˈɑːʁ
Bankara	bɑnqˈɑrɑ
Berk	bˈerk
Bilýard	bˈiljɑrd
Biraz	bˈirɑːð
Boýko	bˈojqo
Bäsleşikleriň	bˌæθleʃiklˈeriŋ
Dabaralar	dˌɑβɑrˈɑɫɑr
Dahyllylaryň	dˌɑxɯɫɫɯɫˈɑrɯŋ
Daňatar	dɑŋˈɑtɑr
Dehistanyň	dˌehiθθˈɑnɯŋ
Dil	dˈil
Diýarymyz	dˌijɑrˈɯmɯð
Döwlete	dœβlˈœtœ
Döwletgeldi	dˌœβlœtʁˈœllø
Engineering	ˌenʁinˈeːrinʁ
Frankfurt	frˌɑnkfˌʊrt
Garabogazköl	ɡˌɑrɑβoʁˈoðkœl
Garlykdaky	ɡˌɑrɫɯqdˈɑːqɯ
Geçiriljek	ɡˌet͡ʃirˈild͡ʒek
Girewiň	ɡirˈœβiŋ
Giriş	ɡˈiriʃ
Gowaçanyň	ɡˌoβot͡ʃˈonɯŋ
Goşulan	ɡoʃˈʊɫon
Gurama	ɡʊrˈomo
Guryýer	ɡʊrˈʊjer
Guwanç	ɡˈʊβont͡ʃ
Gämä	ɡˈæmæ
Gökderedäki	ɡˌœkdœrœdˈæːkɪ
Gündogara	ɡˌønnoʁˈoro
HUAWEI	xˌʊoβˈei
Haýyşnamanyň	xˌɑjɯʃnɑmˈɑnɯŋ
Hojaýew	xod͡ʒˈojœβ
Höküm	hˈœkøm
Ibn	ˈiβn
Ikinjiden	ˌikind͡ʒˈiden
Il	ˈil
Ile	ˈile
Internetiň	ˌinternˈetiŋ
Inçhonda	int͡ʃxˈonno
Kanundakydan	qˌɑnʊnnoqˈʊdɑn
Kanunymyzy	qˌɑnʊnʊmˈʊðɯ
Kanunymyzyň	qˌɑnʊnʊmˈʊðɯŋ
Katarda	qɑtˈɑrdɑ
Kepil	kˈepil
Konferensiýasynyň	qonfˌerenθˌijɑθˈɯnɯŋ
Konwensiýa	qˌonβenθˈijɑ
Koreýada	qˌorejˈɑdɑ
Kuboga	qʊβˈoʁo
Kubok	qˈʊβoq
Kärendesine	kˌærenneθˈine
Köpetdagda	kˌœpœtdˈɑʁdɑ
Köşgüň	kˈœʃʁøŋ
Latwiýa	ɫɑtβˈijɑ
Maksatnamany	mˌɑqθɑtnɑmˈɑnɯ
Maksatnamasy	mˌɑqθɑtnɑmˈɑθɯ
Malaýziýada	mˌɑɫɑjðijˈɑdɑ
Maslahatlar	mˌɑθɫɑxˈɑtɫɑr
Merkel	mˈerkel
Mihail	mihˈɑil
Minskiniň	minθkˈiniŋ
Mizan	mˈiðɑn
Mollanepes	mˌoɫɫonˈepeθ
Moskwanyň	moθkβˈɑnɯŋ
Mukam	mˈʊqɑːm
Myhmanhananyň	mˌɯxmɑnxɑnˈɑnɯŋ
Mälikguly	mˌælikʁˈʊɫʊ
Norwegiýanyň	nˌorβeʁijˈɑnɯŋ
Operatora	ˌoperɑtˈoro
Ortaça	ortˈot͡ʃo
Paraw	pˈɑroβ
Paryzdepede	pˌɑrɯððepˈede
Pekiniň	pekˈiniŋ
Pes	pˈeθ
Peýdalanylýan	pˌejdɑɫɑnˈɯɫjɑn
Psihiki	pθihˈiki
Radioýygylyk	rˌɑdiˌojɯʁˈɯɫɯq
Raýatlarymyzyň	rˌɑjɑtɫˌɑrɯmˈɯðɯŋ
Rowaýata	rˌoβojˈɑtɑ
Rumyniýanyň	rˌʊmʊnijˈɑnɯŋ
Sanawyň	θɑnˈoβɯŋ
Seljerme	θeld͡ʒˈerme
Serdarabat	θˌerdɑrˈɑβɑt
Syýahat	θɯjˈɑxɑt
Taýýar	tˈɑjjɑr
Tohumlaryň	tˌoxʊmɫˈorʊŋ
Tokioda	tˌoqiˈodo
Toparlaýyn	tˌoporɫˈojɯn
Turkmen	tˈʊrkmen
Tutuşlygyna	tˌʊtʊʃɫʊʁˈʊnɑ
Törebeg	tœrˈœβœʁ
Türkmengallaönümleri	tˌørkmœnʁˌɑɫɫɑˌœnømlˈœrø
Uniwersiada	ˌʊniβˌerθiˈɑdɑ
Walentina	βˌɑɫentˈinɑ
Watançy	βɑtˈɑnt͡ʃɯ
Wesýetnama	βˌeθjetnˈɑːmɑ
Zöhre	ðˈœhrœ
abadanlaşdyryldy	ˌɑβɑdˌɑnɫɑʃdɯrˈɯɫɫɯ
agajy	ɑʁˈɑd͡ʒɯ
agaçlar	ɑʁˈɑt͡ʃɫɑr
alabaý	ɑɫˈɑβɑj
alamatyna	ˌɑɫɑmɑtˈɯnɑ
alandan	ɑɫˈɑnnɑn
aljak	ˈɑɫd͡ʒɑq
alma	ˈɑɫmɑ
alnynda	ɑɫnˈɯnnɑ
amatlylyk	ˌɑmɑtɫˈɯɫɯq
anyklanan	ˌɑnɯqɫˈɑnɑn
anyklaýjynyň	ˌɑnɯqɫɑjd͡ʒˈɯnɯŋ
arabaglanyşygy	ˌɑrɑβˌɑʁɫɑnɯʃˈɯʁɯ
arassalamagyň	ˌɑrɑθθˌɑɫɑmˈɑʁɯŋ
arassaçylygy	ˌɑrɑθθˌɑt͡ʃɯɫˈɯʁɯ
artykmaçlyklar	ˌɑrtɯqmɑt͡ʃɫˈɯqɫɑr
arçyn	ˈɑrt͡ʃɯn
atanyň	ɑtˈɑnɯŋ
atdan	ˈɑtdɑn
atçylygy	ˌɑt͡ʃt͡ʃɯɫˈɯʁɯ
awiasiýasy	ˌoβiˌɑθijˈɑθɯ
awtobuslar	ˌoβtoβˈʊθɫor
awtora	oβtˈoro
awtordaşy	ˌoβtordˈoʃʊ
awtorynyň	ˌoβtorˈʊnʊŋ
aýlary	ɑjɫˈɑrɯ
aýlawda	ɑjɫˈoβdɑ
aýlawy	ɑjɫˈoβɯ
aýratynlygyny	ˌɑjrɑtˌɯnɫɯʁˈɯnɯ
aýyndaky	ˌɑjɯndˈɑːqɯ
aňladýan	ɑŋɫˈɑdjɑn
bagtyýarlygyny	bˌɑʁtɯjˌɑrɫɯʁˈɯnɯ
bahanyň	bɑxˈɑnɯŋ
bankara	bɑnqˈɑrɑ
barlaghanasynda	bˌɑrɫɑʁxˌɑnɑθˈɯnnɑ
barlagçy	bɑːrɫˈɑʁt͡ʃɯ
batalýonynyň	bˌɑtɑɫjonˈʊnʊŋ
batyrgaý	bɑtˈɯrʁɑj
bazara	bɑðˈɑrɑ
bazaryndaky	bˌɑðɑrɯndˈɑːqɯ
baýdakly	bɑjdˈɑqɫɯ
başarnyklary	bˌɑʃɑrnɯqɫˈɑrɯ
başlanandan	bˌɑʃɫɑnˈɑnnɑn
başlarlar	bɑʃɫˈɑrɫɑr
başlaýan	bɑʃɫˈɑjɑn
bedeniň	bedˈeniŋ
bedewlerini	bˌedœβlœrˈini
belgilerini	bˌelʁilerˈini
bererler	berˈerler
bergisi	berʁˈiθi
berijilik	bˌerid͡ʒˈilik
beriljek	berˈild͡ʒek
beriň	bˈeriŋ
berkligi	berklˈiʁi
bezeýän	beðˈejæn
beýlekilerde	bˌejlekilˈerde
bildirilýändigini	bˌillirˌiljænniʁˈini
bildiriş	billˈiriʃ
bildirýändigi	bˌillirjænnˈiʁi
bildirýändiklerini	bˌillirjˌænniklerˈini
bildirýänleriň	bˌillirjænlˈeriŋ
bilimlere	bˌilimlˈere
biparh	bˈiːpɑrh
birikdirilýär	bˌirikdirˈiljæːr
birinjiligini	bˌirind͡ʒˌiliʁˈini
birleşikleriň	bˌirleʃiklˈeriŋ
birleşmeleriniň	bˌirleʃmˌelerˈiniŋ
birligini	bˌirliʁˈini
birliklerini	bˌirliklerˈini
bitaraplygynyň	bˌitɑrˌɑpɫɯʁˈɯnɯŋ
bişen	bˈiʃen
bolanlary	bˌoɫonɫˈorɯ
bolmalydyrlar	bˌoɫmoɫʊdˈʊrɫɑr
bolýanyň	boɫjˈɑnɯŋ
borçnamasy	bˌort͡ʃnɑmˈɑθɯ
bozulmagynyň	bˌoðʊɫmoʁˈʊnʊŋ
boýunda	bojˈʊnno
boýundaky	bˌojʊndˈɑːqɯ
bugdaýdan	bʊʁdˈojdɑn
buýrugyň	bʊjrˈʊʁʊŋ
buýsanýar	bʊjθˈɑnjɑr
bähbitlidir	bˌæhβitlˈidir
bölünendir	bˌœlønˈœnnør
býujetinde	bjˌʊd͡ʒetˈinne
dahyllylar	dˌɑxɯɫɫˈɯɫɑr
damjasy	dɑmd͡ʒˈɑθɯ
daýhanlar	dɑjxˈɑnɫɑr
daşardaky	dˌɑʃɑrdˈɑːqɯ
degişlilik	dˌeʁiʃlˈilik
demirgazykdan	dˌemirʁɑðˈɯqdɑn
deregine	dˌereʁˈine
derejelerdäki	dˌered͡ʒˌelerdˈæːkɪ
derýasy	derjˈɑθɯ
derňewiniň	dˌerŋœβˈiniŋ
desgalardan	dˌeθʁɑɫˈɑrdɑn
dessury	deθθˈʊrʊ
deňeçer	deŋˈet͡ʃer
dikuçar	dikˈʊt͡ʃor
dogrulygy	dˌoʁrʊɫˈʊʁʊ
dogrulygyna	dˌoʁrʊɫʊʁˈʊno
dogrulygyny	dˌoʁrʊɫʊʁˈʊnɯ
doktrina	doqtrˈinɑ
dokumentleriň	dˌoqʊmentlˈeriŋ
dolduran	doɫɫˈʊron
dor	dˈor
duralgalarynyň	dˌʊroɫʁˌoɫɑrˈɯnɯŋ
durmagy	dʊrmˈoʁʊ
durýardy	dʊrjˈɑrdɯ
dutarçylar	dˌʊtort͡ʃˈʊɫɑr
duýdansyz	dʊjdˈɑnθɯð
duşuşarlar	dˌʊʃʊʃˈorɫor
duşuşyklaryny	dˌʊʃʊʃˌʊqɫorˈɯnɯ
duşuşyp	dʊʃˈʊʃʊp
däbine	dæβˈine
dänesine	dˌæneθˈine
dänäniň	dænˈæniŋ
däplerinde	dˌæplerˈinne
dökmek	dœkmˈœk
döredilmelidir	dˌœrœdˌølmelˈidir
dörediş	dœrˈœdøʃ
düzümlerindäki	dˌøðømlˌœrøndˈæːkɪ
düşündirişi	dˌøʃønnørˈøʃi
düşünmäge	dˌøʃønmˈæːɡe
edijilik	ˌedid͡ʒˈilik
edinýärler	ˌedinjˈærler
ekipažynyň	ˌekipɑʒˈɯnɯŋ
ekmäge	ekmˈæːɡe
ekspozisiýa	ˌekθpoðiθˈijɑ
elinde	elˈinne
emel	ˈemel
emitentiň	ˌemitˈentiŋ
emläginden	ˌemlæʁˈinnen
enelik	enˈelik
enjamlaşdyrmaga	ˌend͡ʒɑmɫˌɑʃdɯrmˈɑʁɑ
enjamlaşdyrylyşyna	ˌend͡ʒɑmɫˌɑʃdɯrˌɯɫɯʃˈɯnɑ
erjellik	erd͡ʒˈellik
esaslandyryjylarynyň	ˌeθɑθɫˌɑnnɯrˌɯd͡ʒɯɫɑrˈɯnɯŋ
esasyna	ˌeθɑθˈɯnɑ
etdirýän	etdˈirjæn
etrabyndaky	ˌetrɑβɯndˈɑːqɯ
etraplardaky	ˌetrɑpɫɑrdˈɑːqɯ
eçilýär	et͡ʃˈiljæːr
fakultetinde	fˌɑqʊɫtetˈinne
federasiýalarynyň	fˌederˌɑθijˌɑɫɑrˈɯnɯŋ
festiwalyna	fˌeθθiβɑɫˈɯnɑ
fewrala	fˌœβrˈɑɫɑ
feýerwerk	fˌejˈerβerk
feýerwerki	fˌejerβˈerki
formal	fˌormoɫ
forumlar	fˌorˈʊmɫor
forumlarynyň	fˌorʊmɫorˈʊnʊŋ
gahrymanlaryň	ɡˌɑxrɯmɑnɫˈɑrɯŋ
galdyryldy	ɡˌɑɫɫɯrˈɯɫɫɯ
galkynyş	ɡɑɫqˈɯnɯʃ
gallaçylar	ɡˌɑɫɫɑt͡ʃˈɯɫɑr
garyndaşlyk	ɡˌɑrɯnnˈɑʃɫɯq
garyň	ɡˈɑrɯŋ
gatançlar	ɡɑtˈɑnt͡ʃɫɑr
gatlagyny	ɡˌɑtɫɑʁˈɯnɯ
gatnaşandygyny	ɡˌɑtnɑʃˌɑnnɯʁˈɯnɯ
gatnaşyklaryndan	ɡˌɑtnɑʃˌɯqɫɑrˈɯnnɑn
gatnaşýandygyny	ɡˌɑtnɑʃjˌɑnnɯʁˈɯnɯ
gazanmaly	ɡˌɑðɑnmˈɑɫɯ
gaznasyndan	ɡˌɑðnɑθˈɯnnɑn
gelejekde	ɡˌeled͡ʒˈekde
geljegimiz	ɡˌeld͡ʒeʁˈimið
gelmekden	ɡelmˈekden
gelmese	ɡelmˈeθe
geografiýa	ɡˌeoʁrofˌijɑ
gepleşigiň	ɡˌepleʃˈiʁiŋ
gerekdigini	ɡˌerekdiʁˈini
getirmegi	ɡˌetirmˈeʁi
gezelenji	ɡˌeðelˈend͡ʒi
gezelenjini	ɡˌeðelend͡ʒˈini
geçiler	ɡet͡ʃˈiler
geçipdirler	ɡˌet͡ʃipdˈirler
geçirijini	ɡˌet͡ʃirid͡ʒˈini
geçirilişini	ɡˌet͡ʃirˌiliʃˈini
geçiriljekdigi	ɡˌet͡ʃirˌild͡ʒekdˈiʁi
geçirmekden	ɡˌet͡ʃirmˈekden
geçmiş	ɡˈet͡ʃmiʃ
geňeşine	ɡˌeŋeʃˈine
gijesi	ɡid͡ʒˈeθi
girdejiden	ɡˌirded͡ʒˈiden
girişen	ɡirˈiʃen
girişmegi	ɡˌiriʃmˈeʁi
girmegine	ɡˌirmeʁˈine
golaýynyň	ɡˌoɫojˈɯnɯŋ
goraglylygynyň	ɡˌoroʁɫˌʊɫɯʁˈɯnɯŋ
goraýarlar	ɡˌorojˈɑrɫɑr
goruny	ɡorˈʊnʊ
goşunlaryň	ɡˌoʃʊnɫˈorʊŋ
goşuny	ɡoʃˈʊnʊ
goşy	ɡˈoʃʊ
grossmeýsteri	ʁrˌoθθmejθθˈeri
guramalardan	ɡˌʊromoɫˈɑrdɑn
gurap	ɡˈʊroːp
guraýjylaryň	ɡˌʊrojd͡ʒɯɫˈɑrɯŋ
gurdy	ɡˈʊrdʊ
gurluşyklar	ɡˌʊrɫʊʃˈʊqɫor
gurluşyklary	ɡˌʊrɫʊʃʊqɫˈorɯ
gurluşyklarynda	ɡˌʊrɫʊʃˌʊqɫorˈɯnnɑ
gurluşykçylara	ɡˌʊrɫʊʃˌʊqt͡ʃʊɫˈɑrɑ
gurluşykçylaryň	ɡˌʊrɫʊʃˌʊqt͡ʃʊɫˈɑrɯŋ
gurnamalary	ɡˌʊrnomoɫˈɑrɯ
gurşalan	ɡʊrʃˈoɫon
gutarýar	ɡʊtˈorjɑr
guşagyň	ɡʊʃˈoʁʊŋ
gymmatlyklarymyzy	ɡˌɯmmɑtɫˌɯqɫɑrɯmˈɯðɯ
gymmatyndan	ɡˌɯmmɑtˈɯnnɑn
gyzlary	ɡɯðɫˈɑrɯ
gyzyklanmalar	ɡˌɯðɯqɫɑnmˈɑɫɑr
gyzyklanmalarynyň	ɡˌɯðɯqɫˌɑnmɑɫɑrˈɯnɯŋ
gyzyň	ɡˈɯðɯŋ
gönükdirilmegi	ɡˌœnøkdˌørølmˈeʁi
göreldeli	ɡˌœrœllˈœli
göreşmekde	ɡˌœrœʃmˈœkde
görkezmäniň	ɡˌœrkœðmˈæniŋ
görnüşlere	ɡˌœrnøʃlˈœrœ
görülýändigini	ɡˌœrøljˌænniʁˈini
gülküli	ɡølkˈølø
gündizine	ɡˌønnøðˈøne
günlere	ɡønlˈœrœ
günortasynda	ɡˌønortoθˈʊnnɑ
günä	ɡˈønæː
habarnamasy	xˌɑβɑrnɑmˈɑθɯ
haryda	xɑrˈɯdɑ
harçlanýar	xɑrt͡ʃɫˈɑnjɑr
hasaplamalar	xˌɑθɑpɫɑmˈɑɫɑr
hasaplaryny	xˌɑθɑpɫɑrˈɯnɯ
hasaplaýarys	xˌɑθɑpɫɑjˈɑrɯθ
hazynasy	xˌɑðɯnˈɑθɯ
haýwanlar	xɑjβˈɑnɫɑr
haýyşnamalar	xˌɑjɯʃnɑmˈɑɫɑr
heläkçilige	hˌelækt͡ʃilˈiʁe
hemem	hˈemem
hepdesi	hepdˈeθi
hereketli	hˌerekˈetli
hereketsizligi	hˌerekˌeθθiðlˈiʁi
horwat	xˈorβot
howlusynda	xˌoβɫʊθˈʊnno
häsiýetleriniň	hˌæθijˌetlerˈiniŋ
hökümeti	hˌœkømˈœtø
hüjümini	hˌød͡ʒømˈønø
hünäre	hønˈærœ
hünäriniň	hˌønærˈiniŋ
ilerletmegiň	ˌilerletmˈeʁiŋ
ilerletmäge	ˌilerletmˈæːɡe
importy	impˈortʊ
innowasiýalar	ˌinnoβˌoθijˈɑɫɑr
institutlaryň	ˌinθθitʊtɫˈorʊŋ
inžener	inʒˈener
isleýjisi	ˌiθlejd͡ʒˈiθi
itekläp	itˈeklæːp
itergä	itˈerʁæ
işledilýär	ˌiʃledˈiljæːr
işlenilende	ˌiʃlenilˈenne
janköýerler	d͡ʒˌɑnkœjˈerler
jemine	d͡ʒemˈine
jenaýatçylyga	d͡ʒˌenɑjˌɑt͡ʃt͡ʃɯɫˈɯʁɑ
jenaýatçylykly	d͡ʒˌenɑjˌɑt͡ʃt͡ʃɯɫˈɯqɫɯ
kabulhanasyndan	qˌɑβʊɫxˌonoθˈɯnnɑn
kadastry	qɑdˈɑθθrɯ
kanagatlandyrmagyň	qˌɑnɑʁˌɑtɫɑnnɯrmˈɑʁɯŋ
kanunlara	qˌɑnʊnɫˈoro
kanunylygy	qˌɑnʊnʊɫˈʊʁɯ
karzy	qˈɑrðɯ
kassiriň	qɑθθˈiriŋ
kaza	qˈɑðɑ
kelle	kˈelle
kenaryna	kˌenɑrˈɯnɑ
kepillikler	kˌepillˈikler
kesgitnamada	kˌeθʁitnɑmˈɑdɑ
keşplerini	kˌeʃplerˈini
koduny	qodˈʊnʊ
kollegiýasy	qˌoɫleʁijˈɑθɯ
korrupsiýa	qˌorrʊpθˈijɑ
kubogyny	qˌʊβoʁˈʊnʊ
kubogynyň	qˌʊβoʁˈʊnʊŋ
kynçylyklary	qˌɯnt͡ʃɯɫɯqɫˈɑrɯ
käninde	kænˈinne
kärdeşine	kˌærdeʃˈine
kärdeşini	kˌærdeʃˈini
kärendesiniň	kˌærenneθˈiniŋ
kölüne	kœlˈønœ
köpelýär	kœpˈœljæːr
köpüsini	kˌœpøθˈønø
köşgi	kˈœʃʁø
kümmet	kˈømmœt
künjege	kønd͡ʒˈœʁœ
künjeginiň	kˌønd͡ʒœʁˈønøŋ
künjeklerine	kˌønd͡ʒœklerˈine
küştçüsi	køʃt͡ʃt͡ʃˈøθø
lebaplylar	lˌeβɑpɫˈɯɫɑr
magdany	mɑʁdˈɑnɯ
maksimum	mɑqθˈimʊm
manyny	mɑnˈɯnɯ
maslahatlarynda	mˌɑθɫɑxˌɑtɫɑrˈɯnnɑ
maşgalalaryna	mˌɑʃʁɑɫˌɑɫɑrˈɯnɑ
maşgalasyna	mˌɑʃʁɑɫɑθˈɯnɑ
maşgalasynda	mˌɑʃʁɑɫɑθˈɯnnɑ
menziliň	menðˈiliŋ
menzillerinde	mˌenðillerˈinne
meselelerde	mˌeθelelˈerde
meýdandan	mejdˈɑnnɑn
meýdanlaryna	mˌejdɑnɫɑrˈɯnɑ
meýdanlaryň	mˌejdɑnɫˈɑrɯŋ
meýdanyna	mˌejdɑnˈɯnɑ
meýdançalarda	mˌejdɑnt͡ʃɑɫˈɑrdɑ
meýdançasyny	mˌejdɑnt͡ʃɑθˈɯnɯ
meýilleşdirmek	mˌejillˌeʃdirmˈek
meýillidigini	mˌejillˌidiʁˈini
meýletinlik	mˌejletˈinlik
meýletinçileri	mˌejletˌint͡ʃilˈeri
meňzeşdigini	mˌeŋðeʃdiʁˈini
ministrleri	mˌiniθθrlˈeri
mirasdary	mˌirɑθθˈɑrɯ
monitorda	mˌonitˈordo
muzeýlerine	mˌʊðejlerˈine
mährem	mˈæhrem
münberiň	mønmˈœrøŋ
nepisligi	nˌepiθlˈiʁi
netijenamasynyň	nˌetid͡ʒˌenɑmɑθˈɯnɯŋ
nikany	nikˈɑnɯ
nobat	nˈoβot
nukdaý	nˈʊqdoj
nusgaly	nʊθʁˈoɫʊ
nyşanalara	nˌɯʃɑnɑɫˈɑrɑ
nyşanlar	nɯʃˈɑnɫɑr
näzik	nˈæðik
obýektlerinden	ˌoβjektlerˈinnen
ogullary	ˌoʁʊɫɫˈorʊ
okrugynda	ˌoqrʊʁˈʊnno
okuwynyň	ˌoqʊβˈʊnʊŋ
operasiýalary	ˌoperˌɑθijɑɫˈɑrɯ
operasy	ˌoperˈɑθɯ
operasyndan	ˌoperɑθˈɯnnɑn
orkestriniň	ˌorkeθθrˈiniŋ
ornaşdyrmakda	ˌornoʃdʊrmˈɑqdɑ
ornaşdyrylar	ˌornoʃdʊrˈɯɫɑr
otaglaryndan	ˌotoʁɫorˈɯnnɑn
otaglaryny	ˌotoʁɫorˈɯnɯ
otlusy	otɫˈʊθʊ
ozon	ˈoðon
oýnuny	ojnˈʊnʊ
oýundan	ojˈʊnnon
pagtaçylar	pˌɑʁtɑt͡ʃˈɯɫɑr
palatasyny	pˌɑɫɑtɑθˈɯnɯ
para	pˈɑrɑ
