a	ɑː
gecwician	jekwikiɑn
gecwide	jekwide
gecwidræden	jekwidræːden
gecynd	jekynd
gecyndboc	jekyndboːk
gecynde	jekynde
gecyndelic	jekyndeliːt͡ʃ
gecyndespræc	jekyndespræːt͡ʃ
gecyndlim	jekyndlim
gecyrran	jet͡ʃyrrɑn
gecyrrednes	jet͡ʃyrrednes
gecyrring	jet͡ʃyrrinɡ
gecyþan	jekyːθɑn
gedal	jedɑːl
geddung	jeddunɡ
gedefe	jedeːfe
gediegan	jedi͜yːjɑn
gedigan	jediːjɑn
gediht	jedixt
gedon	jedoːn
gedrefednes	jedreːfednes
gedrefend	jedreːfend
gedrefnes	jedreːfnes
gedreohlice	jedre͜oːxliːt͡ʃe
gedriht	jedrixt
gedritan	jedriːtɑn
gedruncnian	jedrunkniɑn
gedryht	jedryxt
gedwild	jedwild
gedwimor	jedwimor
gedwol	jedwol
gedwola	jedwolɑ
gedwolcræft	jedwolkræft
gedwolgod	jedwolɡod
gedwolmann	jedwolmɑnn
gedwolspræc	jedwolspræːt͡ʃ
gedwolsum	jedwolsum
gedwomer	jedwomer
gedæfte	jedæfte
gedælan	jedæːlɑn
gee	jeː
geeardian	jeæ͜ɑrdiɑn
geeaþmedan	jeæ͜ɑːθmeːdɑn
geeaþmodian	jeæ͜ɑːθmoːdiɑn
geedfreolsian	jeedfre͜oːlsiɑn
geefenlæcan	jeefenlæːt͡ʃɑn
geendian	jeendiɑn
geerian	jeerjɑn
geetan	jeetɑn
gefan	jefɑn
gefangian	jefɑnɡiɑn
gefaran	jefɑrɑn
gefea	jefæ͜ɑː
gefeah	jefæɑx
gefealdan	jefæ͜ɑldɑn
gefeallan	jefæ͜ɑllɑn
gefed	jefeːd
gefegan	jefeːjɑn
gefegnes	jefeːjnes
gefelan	jefeːlɑn
gefeoht	jefe͜oxt
gefeohtan	jefe͜oxtɑn
gefeohtdæg	jefe͜oxtdæj
gefeon	jefe͜oːn
gefer	jefeːr
gefera	jefeːrɑ
gefere	jefeːre
geferlæcan	jefeːrlæːt͡ʃɑn
geferræden	jefeːrræːden
gefic	jefik
gefindan	jefindɑn
geflowan	jefloːwɑn
gefog	jefoːɡ
gefolgian	jefolɡiɑn
gefon	jefoːn
gefrasian	jefrɑːsiɑn
gefredan	jefreːdɑn
gefrignan	jefrijnɑn
gefroren	jefroren
gefrugnon	jefruːjnon
gefrunon	jefruːnon
gefræge	jefræːje
gefrætwian	jefrætwiɑn
gefyllan	jefyllɑn
gefæd	jefæd
gefædera	jefæderɑ
gefær	jefæːr
gefæstnian	jefæstniɑn
gegaderian	jeɡɑderiɑn
gegaderung	jeɡɑderunɡ
gegang	jeɡɑnɡ
gegangan	jeɡɑnɡɑn
gegierwan	jeji͜yrwɑn
gegn	jejn
gegncwide	jejnkwide
gegnum	jejnum
gegrapian	jeɡrɑːpiɑn
gegripan	jeɡriːpɑn
gegripennis	jeɡripennis
gegrundweallian	jeɡrundwæ͜ɑlliɑn
gegræppian	jeɡræppiɑn
gegyrdan	ɡeɡyrdɑn
gegyrwan	jejyrwɑn
gehabban	jexɑbbɑn
gehat	jexɑːt
gehatan	jexɑːtɑn
gehathiertan	jexɑːtxi͜yrtɑn
gehatland	jexɑːtlɑnd
gehealdan	jexæ͜ɑldɑn
gehealdsum	jexæ͜ɑldsum
gehebban	jexebbɑn
gehende	jexende
geherian	jexerjɑn
geherigendlic	jexerijendliːt͡ʃ
gehiegan	jexi͜yːjɑn
gehieran	jexi͜yːrɑn
gehierdan	jexi͜yrdɑn
gehierendlic	jexi͜yːrendliːt͡ʃ
gehiersum	jexi͜yːrsum
gehiersumian	jexi͜yːrsumiɑn
gehiersumnes	jexi͜yːrsumnes
gehiertan	jexi͜yrtɑn
gehiewian	jexi͜yːwiɑn
gehiwcuþlician	jexiːwkuːθliːkiɑn
gehiwian	jexiːwiɑn
gehlow	jexloːw
gehnycned	jehnykned
geholian	jexoliɑn
gehon	jexoːn
gehreran	jexreːrɑn
gehrespan	ɡexrespɑn
gehrinan	jexriːnɑn
gehwa	jexwɑː
gehweorfan	jexwe͜orfɑn
gehwone	jexwone
gehwylc	jexwylt͡ʃ
gehwæde	jexwæːde
gehwædnes	jexwæːdnes
gehwædnis	jexwæːdnis
gehwædnys	jexwæːdnys
gehwær	jexwæːr
gehwære	jexwæːre
gehycgan	jexyjjɑn
gehygd	jexyjd
gehyran	jexyːrɑn
gehyrdan	jexyrdɑn
gehyrde	jehyːrde
gehyrsum	jexyːrsum
gehælan	jexæːlɑn
gehæp	jexæp
gehðu	jexθu
geiecan	jei͜yːt͡ʃɑn
geiecendlic	jei͜yːt͡ʃendliːt͡ʃ
geiewan	jei͜yːwɑn
geimpian	jeimpiɑn
geinlagian	jeinlɑɡiɑn
geinnian	jeinniɑn
gelafian	jelɑfiɑn
gelanda	jelɑndɑ
geldan	jeldɑn
geleafa	jelæ͜ɑːfɑ
geleaffull	jelæ͜ɑːffull
geleaful	jelæ͜ɑːful
gelecgan	jelejjɑn
gelendan	jelendɑn
geleod	jele͜oːd
gelibban	jelibbɑn
gelic	jeliːt͡ʃ
gelica	jeliːkɑ
gelician	jeliːkiɑn
geliclic	jeliːkliːt͡ʃ
gelicnes	jeliːknes
geliefan	jeli͜yːfɑn
geliesan	jeli͜yːsɑn
geliffæstan	jeliːffæstɑn
geliger	jelijer
geligere	jelijere
geligre	jelijre
geliman	jeliːmɑn
gelimpan	jelimpɑn
gelimplic	jelimpliːt͡ʃ
gelimplice	jelimpliːt͡ʃe
geliþan	jeliːθɑn
gelodwyrt	jelodwyrt
gelogian	jeloːɡiɑn
gelom	jeloːm
gelome	jeloːme
gelonda	jelondɑ
gelotendæg	jelotendæj
gelp	jelp
gelpan	jelpɑn
gelyfan	jelyːfɑn
gelysan	jelyːsɑn
gelædan	jelæːdɑn
gelæfan	jelæːfɑn
gelær	jelæːr
gelæran	jelæːrɑn
gelæred	jelæːred
gelæstan	jelæːstɑn
gelæte	jelæːte
gemacian	jemɑkiɑn
gemagian	jemɑɡiɑn
geman	jemɑn
gemana	jemɑːnɑ
gemang	jemɑnɡ
gemangian	jemɑnɡiɑn
gemanian	jemɑniɑn
gemanigfealdian	jemɑnijfæ͜ɑldiɑn
gemanigfieldan	jemɑnijfi͜yldɑn
gemanigfyldan	jemɑnijfyldɑn
gemearcian	jemæ͜ɑrkiɑn
gemearcod	jemæ͜ɑrkod
gemede	jemeːde
gemengan	jemenjɑn
gemet	jemet
gemetan	jemetɑn
gemetan	jemeːtɑn
gemetfæt	jemetvæt
gemimor	jemimor
geminsian	jeminsiɑn
gemittan	jemittɑn
gemot	jemoːt
gemotern	jemoːtern
gemunan	jemunɑn
gemynd	jemynd
gemyndelic	jemyndeliːt͡ʃ
gemyndful	jemyndful
gemyndfull	jemyndfull
gemyndig	jemyndij
gemyndleas	jemyndlæ͜ɑːs
gemyntan	jemyntɑn
gemyþ	jemyːθ
gemyþe	jemyːθe
gemædan	jemæːdɑn
gemæne	jemæːne
gemænelic	jemæːneliːt͡ʃ
gemænscipe	jemæːnʃipe
gemære	jemæːre
gemærsian	jemæːrsiɑn
gemærsung	jemæːrsunɡ
gemætan	jemæːtɑn
gemæte	jemæːte
gemœtan	jemøːtɑn
gen	jeːn
genear	jenæ͜ɑr
geneat	jenæ͜ɑːt
genefa	jenefɑ
genemnan	jenemnɑn
genemnendlic	jenemnendliːt͡ʃ
gener	jener
generian	jenerjɑn
generstede	jenerstede
genesan	jenesɑn
geniedan	jeni͜yːdɑn
genift	jenift
geniht	jenixt
genihtful	jenixtful
genihtlice	jenixtliːt͡ʃe
genihtsum	jenixtsum
genihtsumian	jenixtsumiɑn
genihtsumlice	jenixtsumliːt͡ʃe
genihtsumnes	jenixtsumnes
genihtsumung	jenixtsumunɡ
geniman	jenimɑn
genip	jenip
genog	jenoːɡ
genoh	jenoːx
genugan	jenuɡɑn
genyttian	jenyttiɑn
geo	juː
geoc	je͜oːk
geoc	jok
geofon	je͜ofon
geofonyþ	je͜ofonyːθ
geogolere	je͜oːɡolere
geogoþ	juɡoθ
geoguþ	juɡuθ
geol	je͜oːl
geol	joːl
geola	je͜oːlɑ
geola	joːlɑ
geolo	je͜olo
geoloca	je͜olokɑ
geolu	je͜olu
geoluread	je͜oluræ͜ɑːd
geomor	je͜oːmor
geomor	joːmor
geomrian	joːmriɑn
geon	jon
geond	je͜ond
geondblawan	je͜ondblɑːwɑn
geondbrædan	je͜ondbræːdɑn
geonddrencan	je͜onddrent͡ʃɑn
geondfaran	je͜ondfɑrɑn
geondfeolan	je͜ondfe͜oːlɑn
geondferan	je͜ondfeːrɑn
geondflowan	je͜ondfloːwɑn
geondgangan	je͜ondɡɑnɡɑn
geondgeotan	je͜ondje͜oːtɑn
geondhierdan	je͜ondxi͜yrdɑn
geondhweorfan	je͜ondxwe͜orfɑn
geondhyrdan	je͜ondxyrdɑn
geondlacan	je͜ondlɑːkɑn
geondleccan	je͜ondlett͡ʃɑn
geondleohtend	je͜ondle͜oːxtend
geondlihtan	je͜ondliːxtɑn
geondmengan	je͜ondmenjɑn
geondrecan	je͜ondreːt͡ʃɑn
geondsawan	je͜ondsɑːwɑn
geondsceawian	je͜ondskæ͜ɑːwiɑn
geondscinan	je͜ondskiːnɑn
geondscriþan	je͜ondʃriːθɑn
geondsecan	je͜ondseːt͡ʃɑn
geondsendan	je͜ondsendɑn
geondseon	je͜ondse͜oːn
geondsmeagan	je͜ondsmæ͜ɑːjɑn
geondsprengan	je͜ondsprenjɑn
geondspringan	je͜ondsprinɡɑn
geondspætan	je͜ondspæːtɑn
geondstredan	je͜ondstreːdɑn
geondstregdan	je͜ondstrejdɑn
geondstyrian	je͜ondstyrjɑn
geondswogan	je͜ondswoːɡɑn
geondwadan	je͜ondwɑdɑn
geondwlitan	je͜ondwliːtɑn
geondyrnan	je͜ondyrnɑn
geondþencan	je͜ondθent͡ʃɑn
geong	junɡ
geonga	junɡɑ
geongling	junɡlinɡ
geonre	je͜onre
geonre	jonre
georn	je͜orn
georne	je͜orne
geornlice	je͜ornliːt͡ʃe
georran	je͜orrɑn
geostra	je͜ostrɑ
geostrandæg	je͜ostrɑndæj
geotan	je͜oːtɑn
geposu	jeposu
ger	jeːr
gerad	jerɑːd
gerar	jerɑːr
gerd	jerd
gerec	jerek
gereccan	jerett͡ʃɑn
gereccednyss	jerett͡ʃednyss
gerecednes	jeret͡ʃednes
gerecedness	jeret͡ʃedness
gerecednis	jeret͡ʃednis
gerefa	jereːfɑ
gerene	jereːne
geriht	jerixt
gerihtan	jerixtɑn
gerihte	jerixte
gerim	jeriːm
geriman	jeriːmɑn
gerimboc	jeriːmboːk
gerinnan	jerinnɑn
gerisena	jerisenɑ
gerisene	jerisene
gerum	jeruːm
geryne	jeryːne
geræd	jeræːd
gerædan	jeræːdɑn
geræde	jeræːde
gesacan	jesɑkɑn
gesamnian	jesɑmniɑn
gesamnung	jesɑmnunɡ
gesawan	jesɑːwɑn
gesaweled	jesɑːweled
gescad	jeʃɑːd
gescead	jeʃɑːd
gesceadan	jeʃæ͜ɑːdɑn
gesceadan	jeʃɑːdɑn
gesceadlic	jeʃɑdliːt͡ʃ
gesceadlic	jeʃɑːdliːt͡ʃ
gesceadwis	jeʃɑːdwiːs
gesceaft	jeʃæ͜ɑft
gesceap	jeʃæ͜ɑp
gesceapennes	jeʃæ͜ɑpennes
gesceapennys	jeʃæ͜ɑpennys
gesceaphwil	jeʃæ͜ɑpxwiːl
gesceawian	jeʃæ͜ɑːwiɑn
gesceft	jeʃeft
gesceon	jeʃe͜oːn
gescieppan	jeʃi͜yppɑn
gescierpt	jeʃi͜yrpt
gescildnes	jeʃildnes
gescufan	jeʃuːfɑn
gescæphwil	jeʃæpxwiːl
gese	jeːse
gesealdnis	jesæ͜ɑldnis
gesecan	jeseːt͡ʃɑn
gesegen	jesejen
gesehtlian	jesextliɑn
gesellan	jesellɑn
gesendan	jesendɑn
geseon	jese͜oːn
geset	jeset
gesetednes	jesetednes
gesetnes	jesetnes
gesettan	jesettɑn
gesewenlic	jesewenliːt͡ʃ
geseþan	jeseːθɑn
geseþend	jeseːθend
geseþnes	jeseːθnes
geseþung	jeseːθunɡ
gesieltan	jesi͜yltɑn
gesihþ	jesixθ
gesincan	jesinkɑn
gesittan	jesittɑn
gesiþ	jesiːθ
gesiþscipe	jesiːθʃipe
geslean	jeslæ͜ɑːn
gesliefed	jesli͜yːfed
gesmeag	jesmæ͜ɑːɡ
gesmeagan	jesmæ͜ɑːjɑn
gesmeah	jesmæ͜ɑːx
gesnot	jesnot
gesomnian	jesomniɑn
gesoþian	jesoːθiɑn
gespannan	jespɑnnɑn
gespedan	jespeːdɑn
gespedsumian	jespeːdsumiɑn
gespelia	jespeliɑ
gespowan	jespoːwɑn
gesprecan	jesprekɑn
gespræc	jespræːt͡ʃ
gespyrian	jespyrjɑn
gestandan	jestɑndɑn
gestaþolian	jestɑθoliɑn
gestaþoliend	jestɑθoliend
gestaþolung	jestɑθolunɡ
gestigan	jestiːɡɑn
gestillan	jestillɑn
gestincan	jestinkɑn
gestreon	jestre͜oːn
gestrienendlic	jestri͜yːnendliːt͡ʃ
gesund	jesund
gesundful	jesundful
gesundfull	jesundfull
gesundrian	jesundriɑn
geswencan	jeswent͡ʃɑn
geswencednes	jeswent͡ʃednes
gesweor	jeswe͜oːr
gesweostor	jeswe͜ostor
geswerian	jeswerjɑn
geswican	jeswiːkɑn
geswigra	jeswijrɑ
geswin	jeswin
geswinc	jeswink
geswincan	jeswinkɑn
geswincdæg	jeswinkdæj
geswiþan	jeswiːθɑn
geswutelian	jeswuteliɑn
gesyd	jesyd
gesyndrian	jesyndriɑn
gesælan	jesæːlɑn
getacnian	jetɑːkniɑn
getacniendlic	jetɑːkniendliːt͡ʃ
getacniendlice	jetɑːkniendliːt͡ʃe
getacnigendlic	jetɑːknijendliːt͡ʃ
getacnigendlice	jetɑːknijendliːt͡ʃe
getacnung	jetɑːknunɡ
getaht	jetɑːxt
getalian	jetɑliɑn
getawa	jetɑwɑ
geteal	jetæ͜ɑl
getel	jetel
geteld	ɡeteld
getellan	jetellɑn
geteon	jete͜oːn
geteorian	jete͜oːriɑn
geteorigendlic	jete͜oːrijendliːt͡ʃ
geteorodnes	jete͜oːrodnes
geteorung	jete͜oːrunɡ
getot	jetot
getregian	jetreɡiɑn
getreowe	jetre͜oːwe
getriewe	jetri͜yːwe
getwin	jetwin
getwinn	jetwinn
getwisa	jetwisɑ
getwisan	jetwisɑn
getwæfan	jetwæːfɑn
getæht	jetæːxt
getæl	jetæl
getæsu	jetæːsu
geunderþeodan	jeunderθe͜oːdɑn
geunnan	jeunnɑn
geunsoþian	jeunsoːθiɑn
gewadan	jewɑdɑn
gewanian	jewɑniɑn
gewat	jewɑːt
gewealc	jewæ͜ɑlk
gewealcan	jewæ͜ɑlkɑn
geweald	jewæ͜ɑld
geweaxan	jewæ͜ɑksɑn
gewegan	jeweɡɑn
gewemman	jewemmɑn
gewemmednes	jewemmednes
gewemmednys	jewemmednys
gewemmend	jewemmend
gewemming	jewemminɡ
gewendan	jewendɑn
geweorc	jewe͜ork
geweorpan	jewe͜orpɑn
geweorþan	jewe͜orθɑn
gewican	jewiːkɑn
gewiht	jewixt
gewind	jewind
gewindan	jewindɑn
gewinn	jewinn
gewinnan	jewinnɑn
gewintred	jewintred
gewis	jewis
gewiss	jewiss
gewita	jewitɑ
gewitan	jewitɑn
gewitan	jewiːtɑn
gewitnes	jewitnes
gewitt	jewitt
gewlencan	jewlent͡ʃɑn
geworht	jeworxt
gewrecan	jewrekɑn
gewrit	jewrit
gewritan	jewriːtɑn
gewritere	jewritere
gewritræden	jewritræːden
gewuldorbeagian	jewuldorbæ͜ɑːɡiɑn
gewuldorfullian	jewuldorfulliɑn
gewuldrian	jewuldriɑn
gewundian	jewundiɑn
gewunelic	jewuneliːt͡ʃ
gewunelice	jewuneliːt͡ʃe
gewunian	jewuniɑn
gewyrcan	jewyrt͡ʃɑn
gewyrcean	jewyrt͡ʃæ͜ɑn
gewyrdelice	jewyrdeliːt͡ʃe
gewyrtbox	jewyrtboks
gewyrtian	jewyrtiɑn
gewyscan	jewyːʃʃɑn
gewyscednes	jewyːʃʃednes
gewyscendlic	jewyːʃʃendliːt͡ʃ
gewyscing	jewyːʃʃinɡ
gewæde	jewæːde
gewædian	jewæːdiɑn
gewæpnian	jewæːpniɑn
gewæpnod	jewæːpnod
gewær	jewær
gewærlæcan	jewærlæːt͡ʃɑn
gewæstmbærian	jewæstmbæːriɑn
geywan	jeyːwɑn
geæhtle	jeæxtle
geþanc	jeθɑnk
geþeaht	jeθæ͜ɑxt
geþencan	jeθent͡ʃɑn
geþeodan	jeθe͜oːdɑn
geþeode	jeθe͜oːde
geþeodnes	jeθe͜oːdnes
geþeon	jeθe͜oːn
geþeot	jeθe͜oːt
geþicfieldan	jeθikfi͜yldɑn
geþicgan	jeθiɡɡɑn
geþiedan	jeθi͜yːdɑn
geþing	jeθinɡ
geþingan	jeθinɡɑn
geþinge	jeθinɡe
geþingian	ɡeθinɡiɑn
geþingþu	jeθinɡθu
geþoftræden	jeθoftræːden
geþoftscipe	jeθoftʃipe
geþogen	jeθoɡen
geþoht	jeθoːxt
geþolian	jeθoliɑn
geþrang	jeθrɑnɡ
geþringan	jeθrinɡɑn
geþryccan	jeθrytt͡ʃɑn
geþuxian	jeθuksiɑn
geþweran	jeθwerɑn
geþycfyldan	jeθykfyldɑn
geþyld	jeθyld
geþyldig	jeθyldij
gi	jiː
giccan	jitt͡ʃɑn
gicce	jitt͡ʃe
gicel	jit͡ʃel
giddung	jiddunɡ
gie	ji͜y
gied	ji͜yd
giedd	ji͜ydd
gieddian	ji͜yddiɑn
giedding	ji͜yddinɡ
giefan	ji͜yfɑn
giefu	ji͜yfu
gieldan	ji͜yldɑn
giellan	ji͜yllɑn
gielp	ji͜ylp
gielpan	ji͜ylpɑn
gielpe	jiylpe
gielpword	ji͜ylpword
gieman	ji͜yːmɑn
gieme	ji͜yːme
giemeleas	ji͜yːmelæ͜ɑːs
giemeleasian	ji͜yːmelæ͜ɑːsiɑn
giemeleasnes	ji͜yːmelæ͜ɑːsnes
giemeleast	ji͜yːmelæ͜ɑːst
giemend	ji͜yːmend
giend	ji͜ynd
gierd	ji͜yrd
gierstandæg	ji͜yrstɑndæj
gierwan	ji͜yrwɑn
giese	ji͜yːse
giest	ji͜yst
giestern	ji͜ystern
giestliþe	ji͜ystliːθe
giestran	ji͜ystrɑn
giestrandæg	ji͜ystrɑndæj
giestranniht	ji͜ystrɑnnixt
giestranæfen	ji͜ystrɑnæːfen
giet	ji͜yːt
gietan	jetɑn
gietan	ji͜ytɑn
gif	jif
gifeþe	jifeθe
gifol	jifol
gifre	jiːfre
gifstol	jifstoːl
gift	jift
gifta	jiftɑ
gifu	jifu
gild	jild
gilp	jilp
giltig	ɡiltij
gimm	jimm
gimmwyrhta	jimmwyrxtɑ
gimstan	jimstɑːn
gimwyrhta	jimwyrxtɑ
gingest	jind͡ʒest
gingra	jinɡrɑ
ginian	jiniɑn
girdan	ɡirdɑn
gise	jiːse
gisel	jiːsel
gisl	jiːsl
gislian	jiːsliɑn
git	jit
gitsian	jiːtsiɑn
gitsung	jiːtsunɡ
giwian	jiwiɑn
gleaw	ɡlæ͜ɑːw
gleawceasterscir	ɡlæ͜ɑːwt͡ʃæ͜ɑsterʃiːr
gleawe	ɡlæ͜ɑːwe
gleawlic	ɡlæ͜ɑːwliːt͡ʃ
gleawlice	ɡlæ͜ɑːwliːt͡ʃe
gleawnes	ɡlæ͜ɑːwnes
gleawscipe	ɡlæ͜ɑːwʃipe
gled	ɡleːd
gleng	ɡlenj
gleng	ɡlenɡ
glengan	ɡlenjɑn
gleo	ɡle͜oː
gleobeam	ɡle͜oːbæ͜ɑːm
gleomann	ɡle͜oːmɑnn
gleow	ɡle͜oːw
glida	ɡlidɑ
glidan	ɡliːdɑn
glisnian	ɡlisniɑn
glitnian	ɡlitniɑn
glof	ɡloːf
glom	ɡloːm
glowan	ɡloːwɑn
glæd	ɡlæd
glæde	ɡlæde
glædlice	ɡlædliːt͡ʃe
glædman	ɡlædmɑn
glædmann	ɡlædmɑnn
glæm	ɡlæːm
glær	ɡlær
glær	ɡlæːr
glæs	ɡlæs
glæsen	ɡlæsen
gnagan	ɡnɑɡɑn
gnidan	ɡniːdɑn
gnornian	ɡnorniɑn
gnætt	ɡnætt
god	ɡod
god	ɡoːd
godcund	ɡodkund
godcundnes	ɡodkundnes
godhad	ɡodxɑːd
godleas	ɡoːdlæ͜ɑːs
godlic	ɡodliːt͡ʃ
godlic	ɡoːdliːt͡ʃ
godnes	ɡoːdnes
godscyldig	ɡodʃyldij
godsibb	ɡodsibb
godspel	ɡodspel
godspelboc	ɡodspelboːk
godspelbodung	ɡodspelbodunɡ
godspell	ɡodspell
godspellboc	ɡodspelboːk
godspellbodung	ɡodspelbodunɡ
godspellere	ɡodspellere
godspellian	ɡodspelliɑn
godspellic	ɡoːdspelliːt͡ʃ
godspellisc	ɡoːdspelliʃ
godspelltraht	ɡodspeltrɑxt
godspeltraht	ɡodspeltrɑxt
godwebb	ɡodwebb
godwebben	ɡodwebben
godwrecnes	ɡodwreknes
godþrym	ɡodθrym
gold	ɡold
goldfah	ɡoldfɑːx
goldhord	ɡoldxord
goldmæstling	ɡoldmæstlinɡ
goldsmiþ	ɡoldsmiθ
goldwine	ɡoldwine
goldwrecan	ɡoldwrekɑn
goma	ɡoːmɑ
gombe	ɡombe
gomen	ɡomen
gor	ɡor
gorettan	ɡorettɑn
gorian	ɡoriɑn
gos	ɡoːs
goshafoc	ɡoːsxɑfok
gosheafoc	ɡoːsxæ͜ɑfok
gota	ɡotɑ
grad	ɡrɑd
graf	ɡrɑːf
grafan	ɡrɑfɑn
gram	ɡrɑm
grama	ɡrɑmɑ
grambære	ɡrɑmbæːre
grammatic	ɡrɑmmɑtit͡ʃ
granu	ɡrɑnu
grap	ɡrɑːp
grapian	ɡrɑːpiɑn
grasian	ɡrɑsiɑn
grasu	ɡrɑsu
great	ɡræ͜ɑːt
greatnes	ɡræ͜ɑːtnes
grecland	ɡreːklɑnd
gredig	ɡreːdij
grellan	ɡrellɑn
gremman	ɡremmɑn
grene	ɡreːne
greosan	ɡre͜oːsɑn
greot	ɡre͜oːt
greotan	ɡre͜oːtɑn
gretan	ɡreːtɑn
griellan	ɡri͜yllɑn
grietu	ɡri͜yːtu
grighund	ɡriːjxund
grillan	ɡrillɑn
grim	ɡrim
grima	ɡriːmɑ
grimhelm	ɡriːmxelm
grimm	ɡrimm
grimman	ɡrimmɑn
grin	ɡrin
grindan	ɡrindɑn
grindel	ɡrindel
grindere	ɡrindere
gripan	ɡriːpɑn
gripe	ɡripe
gripe	ɡriːpe
gripend	ɡriːpend
gripennis	ɡripennis
grippan	ɡrippɑn
gripul	ɡripul
grisan	ɡriːsɑn
gristel	ɡristel
griþ	ɡriθ
griþian	ɡriθiɑn
griþleas	ɡriθlæ͜ɑːs
grot	ɡrot
growan	ɡroːwɑn
grund	ɡrund
grundleas	ɡrundlæ͜ɑːs
grundstan	ɡrundstɑːn
grundweall	ɡrundwæ͜ɑll
grunnettan	ɡrunnettɑn
grunnian	ɡrunniɑn
grut	ɡruːt
gryre	ɡryre
grytt	ɡrytt
grædig	ɡræːdij
græf	ɡræf
græg	ɡræːj
græs	ɡræs
græse	ɡræse
græses	ɡræses
grætan	ɡræːtɑn
guma	ɡumɑ
gumcynn	ɡumkynn
gutt	ɡutt
guþ	ɡuːθ
guþbeorn	ɡuːθbe͜orn
guþbord	ɡuːθbord
guþbyrne	ɡuːθbyrne
guþcræft	ɡuːθkræft
guþfremmend	ɡuːθfremmend
guþfruma	ɡuːθfrumɑ
guþfugel	ɡuːθfuɡel
guþgewæde	ɡuːθjewæːde
guþmod	ɡuːθmoːd
guþrof	ɡuːθroːf
guþsele	ɡuːθsele
gyccan	jytt͡ʃɑn
gycce	jytt͡ʃe
gyden	ɡyden
gydig	ɡydij
gyldan	jyldɑn
gylden	ɡylden
gylp	jylp
gylpword	jylpword
gylt	ɡylt
gyltend	ɡyltend
gyltig	ɡyltij
gyman	jyːmɑn
gyme	jyːme
gymeleas	jyːmelæ͜ɑːs
gymeleasian	jyːmelæ͜ɑːsiɑn
gymeleasnys	jyːmelæ͜ɑːsnys
gymeleast	jyːmelæ͜ɑːst
gymend	jyːmend
gyrdan	ɡyrdɑn
gyrdel	ɡyrdel
gyrstandæg	jyrstɑndæj
gyrstanniht	jyrstɑnnixt
gyrwan	jyrwɑn
gystian	jystiɑn
gyte	ɡyte
gæ	jæ
gæd	ɡæd
gædere	ɡædere
gægn	jæjn
gælan	ɡæːlɑn
gælsa	ɡæːlsɑ
gæmnian	ɡæmniɑn
gærs	ɡærs
gærshoppa	ɡærsxoppɑ
gærsstapa	ɡærsstɑpɑ
gærstapa	ɡærstɑpɑ
gærsumas	ɡærsumɑs
gæsne	ɡæːsne
gæst	ɡæːst
gæstan	ɡæːstɑn
gæsthus	ɡæstxuːs
gæt	ɡæːt
gæten	ɡæːten
habban	xɑbbɑn
haca	xɑkɑ
had	xɑːd
hadbot	xɑːdboːt
hafela	xɑfelɑ
hafoc	xɑfok
hafuc	xɑfuk
haga	xɑɡɑ
hagena	xɑɡenɑ
hagosteald	xɑɡostæ͜ɑld
hal	xɑːl
halbære	xɑːlbæːre
haldan	xɑldɑn
haleg	xɑːlej
halga	xɑːlɡɑ
halgian	xɑːlɡiɑn
halgoland	xɑːlɡolɑnd
halh	hɑlx
halig	xɑːlij
haligdom	xɑːlijdoːm
haligern	xɑːlijern
haligmonaþ	xɑːlijmoːnɑθ
halignes	xɑːlijnes
halignis	xɑːlijnis
halignys	xɑːlijnys
halpenige	xɑlpenije
halwende	xɑːlwende
halwœnde	xɑːlwønde
ham	xɑm
ham	xɑːm
hamcyme	xɑːmkyme
hamelian	xɑmeliɑn
hamettan	xɑːmettɑn
hamfæreld	xɑːmfæreld
hamleas	xɑːmlæ͜ɑːs
hamm	xɑmm
hamor	xɑmor
hamsteall	xɑːmstæ͜ɑll
hana	xɑnɑ
hancred	xɑnkreːd
hand	xɑnd
handboc	xɑndboːk
handbred	xɑndbred
handcops	xɑndkops
handcosp	xɑndkosp
handgeweorc	xɑndjewe͜ork
handgewrit	xɑndjewrit
handlian	xɑndliɑn
handscyldig	xɑndʃyldij
handseax	xɑndsæ͜ɑks
handtam	xɑndtɑm
handweorc	xɑndwe͜ork
handworht	xɑndworxt
hangian	xɑnɡiɑn
har	xɑːr
hara	xɑrɑ
has	xɑːs
hasu	xɑsu
haswig	xɑswij
hat	xɑːt
hatan	xɑːtɑn
hatheort	xɑːtxe͜ort
hatheortnes	xɑːtxe͜ortnes
hathiertan	xɑːtxi͜yrtɑn
hatian	xɑtiɑn
hattefagol	xɑttefɑɡol
hawian	xɑːwiɑn
he	xeː
heafdeht	xæ͜ɑːfdext
heafoc	xæ͜ɑfok
heafod	xæ͜ɑːfod
heafodcirice	ɑnɡelt͡ʃirit͡ʃe
heafodclaþ	xæ͜ɑːfodklɑːθ
heafodece	xæ͜ɑːfodet͡ʃe
heafodleas	xæ͜ɑːfodlæ͜ɑːs
heafodlic	xæ͜ɑːfodliːt͡ʃ
heafodling	xæ͜ɑːfodlinɡ
heafodmæg	xæ͜ɑːfodmæːj
heafodpanne	xæ͜ɑːfodpɑnne
heafodstol	xæ͜ɑːfodstoːl
heafodwind	xæ͜ɑːfodwind
heafodwund	xæ͜ɑːfodwund
heafodædre	xæ͜ɑːfodæːdre
heafola	xæ͜ɑfolɑ
heah	xæ͜ɑːx
heahencgel	xæ͜ɑːxenjel
heahengel	xæ͜ɑːxenjel
