а	ʔaː
лъежэн	ɬajʒan
лъфащэ	ɬfaːɕa
лъфыгъэ	ɬfəʁa
лъфын	ɬfən
лъфэн	ɬfan
лъхъанчэ	ɬχaːnt͡ʃa
лъы	ɬə
лъыгъачъэ	ɬəʁaːt͡ʂa
лъыкӏон	ɬəkʷʼan
лъыкӏотэн	ɬəkʷʼatan
лъыкӏошъэн	ɬəkʷʼaʂan
лъын	ɬən
лъынтфэ	ɬəntfa
лъынэ	ɬəna
лъыплъэн	ɬəpɬan
лъытфэ	ɬətfa
лъытэн	ɬətan
лъытэныгъ	ɬətanəʁ
лъыфыгъэ	ɬfəʁa
лъыхъожьын	ɬəχʷaʑən
лъыхъуакӏо	ɬəχʷaːkʷʼa
лъыхъун	ɬəχʷən
лъычъэн	ɬət͡ʂan
лъышӏэжь	ɬəʃʼaʑ
лъышӏэжьакӏо	ɬəʃʼaʑaːkʷʼa
лъышӏэжьын	ɬəʃʼaʑən
лъыӏэбэн	ɬəʔaban
лъыӏэсын	ɬəʔasən
лъэ	ɬa
лъэбакъу	ɬabaːqʷ
лъэбанэ	ɬabaːna
лъэбжъанэ	ɬapʐaːna
лъэбыӏу	ɬabəʔʷ
лъэбэкъу	ɬabaqʷ
лъэгонджэмышъхьэ	ɬaɡʷand͡ʒaməʂħa
лъэгу	ɬaɡʷ
лъэгуаджэ	ɬaɡʷaːd͡ʒa
лъэгуанджэ	ɬaɡʷaːnd͡ʒa
лъэгуц	ɬaɡʷət͡s
лъэгъуае	ɬaʁʷaːja
лъэгъуен	ɬaʁʷəjan
лъэгъун	pɬaʁʷən
лъэгъупхъ	ɬaʁʷəpχ
лъэдакъэ	ɬadaːqa
лъэецуакъо	ɬajat͡sʷaːqʷa
лъэжъуагъ	ɬaʐʷaːʁ
лъэкур	ɬakʷər
лъэкъопцӏанэ	ɬaqʷapt͡sʼaːna
лъэкъорыгъачъэ	ɬaqʷarəʁaːt͡ʂa
лъэкъуапсӏ	ɬaqʷaːpsʼ
лъэкъуапцӏ	ɬaqʷaːpt͡sʼ
лъэкъуасӏэ	ɬaqʷaːsʼa
лъэкъуацӏэ	ɬaqʷaːt͡sʼa
лъэкӏ	ɬat͡ʃʼn
лъэкӏапӏ	ɬat͡ʃaːpʼa
лъэкӏапӏэ	ɬat͡ʃaːpʼ
лъэкӏоцӏ	ɬakʷʼat͡sʼ
лъэкӏын	ɬakʲʼən
лъэкӏын	ɬat͡ʃʼən
лъэкӏэн	ɬat͡ʃan
лъэкӏэпӏащ	ɬat͡ʃʼapʼaːɕ
лъэмыдж	ɬaməd͡ʒ
лъэн	ɬan
лъэныкъу	ɬanəqʷ
лъэныкъуащ	ɬanəqʷaːɕ
лъэой	ɬawaj
лъэпапцӏэ	ɬapaːpt͡sʼa
лъэпкъ	ɬapq
лъэпкъгъэкӏод	ɬapqʁakʷʼad
лъэпкъэгъу	ɬapq
лъэпс	ɬaps
лъэпхъабэ	ɬapχaːba
лъэпщ	ɬapɕ
лъэпщ	ɬapʃʷ
лъэпэд	ɬapad
лъэпэон	ɬapawan
лъэпэпсӏий	ɬapapsʼəj
лъэпӏаӏо	ɬapʼaːʔʷa
лъэрыгъачъэ	ɬarəʁaːt͡ʂa
лъэрымыхь	ɬarəməħ
лъэрычъ	ɬarət͡ʂ
лъэсы	ɬasə
лъэсыбэщ	ɬasəbaɕ
лъэтэн	ɬatan
лъэу	ɬaw
лъэубакъу	ɬawbaːqʷ
лъэугъуае	ɬawʁʷaːja
лъэуж	ɬawəʒ
лъэужь	ɬawəʑ
лъэужьэу	ɬawʑəməj
лъэхъан	ɬaχaːn
лъэхъаны	ɬaχaːnə
лъэхъомбэшх	ɬaχʷambaʃx
лъэхъуамбэ	ɬaχʷaːmba
лъэхъэн	ɬaχan
лъэхьэ	ɬaħa
лъэхэнэн	ɬaxanan
лъэш	ɬaʃ
лъэшъун	ɬaʃʷən
лъэшы	ɬaʃə
лъэшыдж	ɬaʃəd͡ʒ
лъэшыӏо	ɬaʃəʔʷa
лъэшэу	ɬaʃaw
лъэӏуакӏо	ɬaʔʷaːkʷʼa
лы	lə
лы	ɮə
лыгъон	ɮəʁʷan
лыджын	maləd͡ʒən
лыдын	ɮədən
лые	ɮəja
лыкъумэ	ləqʷma
лымышх	ləməʃx
лыпцэ	ləpt͡sa
лыпцӏэ	ləpt͡sʼa
лыргъужъ	lərʁʷəʐ
лышъутӏэ	ləʃʷtʼa
лэблэбый	lablabəj
лэгъу	laʁʷ
лэгъунэ	ɮaʁʷna
лэгъуп	laʁʷəp
лэгьэн	ɮaɡʲan
лэджэн	ɮad͡ʒan
лэжьакӏу	laʑaːkʷʼ
лэжьын	ɮaʑən
лэжьэн	laʑan
лэлэн	lalan
лэн	lan
лэн	ɮan
лэныстэ	lanəsta
лӏакъо	ɬʼaːqʷa
лӏапӏэ	ɬʼaːpʼa
лӏы	ɬʼə
лӏыблан	ɬʼəbɮaːn
лӏыгъэ	ɬʼəʁa
лӏыгъэкӏэ	ɬʼəʁat͡ʃʼa
лӏыжъы	ɬʼəʐə
лӏыжъыгъу	ɬʼəʐəʁʷ
лӏыжъыпӏ	ɬʼəʐəpʼ
лӏыжъышъ	ɬʼəʐəʂ
лӏыкӏо	ɬʼəkʷʼa
лӏымыш	ɬʼəməʃ
лӏыукӏ	maχaːd͡ʒa
лӏыхъу	ɬʼəχʷ
лӏыхъужъ	ɬʼəχʷəʐ
лӏышъхьэ	ɬʼəʂħa
лӏэгъу	ɬʼaʁʷ
лӏэгъуаб	ɬʼaʁʷaːb
лӏэкъолъэш	ɬaqʷaɬaʃ
лӏэкъуацӏэ	ɬʼaqʷaːt͡sʼa
лӏэн	ɬʼan
лӏэу	ɬʼaw
лӏэуж	ɬʼawəʒ
лӏэужыгъо	ɬʼawʒəʁʷa
лӏэужьыгъо	ɬʼawʑəʁʷa
мажьэ	maːʑa
мазэ	maːza
маис	maːjəs
майтэ	maːjta
макъэ	maːqa
макӏэ	maːt͡ʃa
малхъо	maːlχʷa
малъхъо	maːɬχʷa
мамыщ	aːfə
манэ	maːna
мастэ	maːsta
матхъэжьын	maːtχaʑən
матэ	maːta
мафэ	maːfa
махълъэ	maːχɬa
махъсымэ	maːχsəma
махъушэ	maːχʷəʃa
махъушэбзу	maːχʷʃabzəw
махъушэчэтыу	maːχʷəʃakʲatəw
махъушэчэтыу	maːχʷəʃat͡ʃatəw
махъчэ	maːχt͡ʃa
махъчэбзу	maːχt͡ʃabzəw
махъшэбзу	maːχt͡ʃabzəw
махъэ	maːχa
махь	maːħ
махэ	maːxa
мацӏэ	maːt͡sʼa
машинэ	maːʃəna
машэ	maːʃa
машӏо	maːʃʷʼa
маӏьэ	maːʔʲa
модэ	mawda
мусэ	məwsa
мы	mə
мыгъо	məʁʷa
мыгъэ	maʁa
мыгьыр	məɡʲər
мыджыр	məd͡ʒər
мыдэ	məda
мые	məja
мыжъо	məʐʷa
мыжъодэбыш	məʐʷadaməʃ
мыжъокӏашъхъ	məʐʷakʲaːʂχ
мыжъуакӏэ	məʐʷaːt͡ʃa
мызуэ	məʒʷa
мыкӏэ	mət͡ʃʼa
мылъку	məɬəkʷ
мылъфыкъо	məɬfəqʷa
мылъыку	məɬəkʷ
мылы	məɮə
мынэрылъэгъу	mənarəɬaʁʷ
мыпытэ	məpəta
мыскъар	məsqaːr
мыст	məst
мысэ	məsa
мытэрэз	mətaraz
мыхъатэ	məχaːta
мыхъомышӏ	məχʷaməʃʼ
мыхъумыбз	məχʷəməbz
мыхьэнэ	məħana
мычӏы	mət͡ʃə
мышкӏу	məʃkʷ
мышъыпкъэ	məʂəpqa
мышъэ	məʂa
мыщгъум	məɕʁʷəm
мыщыгъу	məɕəʁʷ
мыӏуш	məʔʷəʃ
мыӏэрыс	məʔarəs
мыӏэрысэпсы	məʔarəsapsə
мэ	ma
мэбзэен	mabzajan
мэбзэин	mabzajən
мэбыбын	mabəbən
мэбэгъон	mabaʁʷan
мэбэнэн	mabanan
мэгоӏэн	maɡʷaʔan
мэгубжын	maɡʷəbʒən
мэгушӏон	maɡʷəʃʷʼan
мэгущыӏэн	maɡʷɕəʔan
мэгънэнэн	maʁnanan
мэгъолъын	maʁʷaɬən
мэгъуен	maʁʷəjan
мэгъун	maʁʷən
мэгъушъыжъын	maʁʷʂəʐən
мэгъушъын	maʁʷʂən
мэгъын	maʁən
мэгъэгъэн	maʁaʁan
мэджыджэн	mad͡ʒəd͡ʒan
мэджэгун	mad͡ʒaɡʷən
мэдрэ	madra
мэдрэр	madra
мэдэӏон	madaʔʷan
мэжъутхэн	maʒʷətxan
мэз	maz
мэзагъо	mazaːʁʷa
мэзай	mazaːj
мэзахэ	mazaːxa
мэзгуащэ	mazɡʷaːɕa
мэзкьэт	mazkʲat
мэзпчэн	mazpt͡ʃan
мэзчэт	mazt͡ʃat
мэзчэтыу	mazkʲatəw
мэзчэтыу	mazt͡ʃatəw
мэзы	mazə
мэзыкъу	mazəqʷ
мэзыпчэн	mazəpt͡ʃan
мэзытхьэ	mazətħa
мэзэбэлыдж	mazabaləd͡ʒ
мэзэгъэн	mazaʁan
мэзэзэн	mazazan
мэзэкӏон	zakʷʼan
мэзэон	mazawan
мэкуон	məkʷəwan
мэкъамэ	maqaːma
мэкъу	maqʷ
мэкъумэщышӏ	maqʷmaɕəʃʼ
мэкъуогъумаз	maqʷəwaʁʷəmaːz
мэкъупӏ	maqʷpʼ
мэкъын	maqən
мэкъэкъащ	maqaqaːɕ
мэкъэркъэтэн	maqarqatan
мэкьэн	makʲan
мэкьэрэзын	makʲarazən
мэкӏодын	makʷʼadən
мэкӏосэн	makʷʼasan
мэкӏошъэн	makʷʼaʂan
мэкӏыин	mat͡ʃʼəjən
мэкӏьыин	makʲʼəjən
мэкӏэтхъэн	mat͡ʃatχan
мэл	mal
мэлахъо	malaːχʷa
мэлхъогъ	malχʷaʁ
мэлъэхъу	maɬaχʷ
мэлы	maɮə
мэлыгьын	maləɡʲən
мэлыджын	maləd͡ʒən
мэлыл	maləl
мэлылъфэгъумаз	maləɬfaʁʷəmaːz
мэлыхъогъу	maɮəχʷaʁʷ
мэлэкӏэн	malat͡ʃan
мэлэлэн	malalan
мэлӏэн	maɬʼan
мэмэхъэшэн	mamaχaʃan
мэмэхын	mamaxən
мэнэкъокъон	manaqʷaqʷan
мэон	mawan
мэпкӏэн	mapt͡ʃʼan
мэплъын	mapɬən
мэплъэн	mapɬən
мэпрэзэн	maprazan
мэпсэлъэн	mapsaɬan
мэпхъэпхъэн	mapχapχan
мэпцӏын	mapt͡sʼən
мэпшъын	mapʂən
мэпщын	mapɕən
мэпщэн	mapɕan
мэпыгьэн	mapəɡʲan
мэпыджэн	mapəd͡ʒən
мэпӏэркӏьын	mapʼarkʲən
мэпӏэстхъэн	pʼasχan
мэр	mar
мэракӏуапцӏэ	maraːkʷʼaːt͡sʼa
мэрсысын	marsəsən
мэстын	mastən
мэсэкъатын	masaqaːtən
мэсэн	masan
мэсӏын	sʼən
мэсӏэсӏэн	masʼasʼan
мэтазэ	mataːza
мэткӏун	matkʷʼən
мэтхъэжьын	matχaʑən
мэтхытхын	matxətxən
мэтхьаусхэн	matħaːwəsxan
мэтхэн	matxan
мэтэкхъуайэ	mataqʷaːja
мэтэкхъуайэ	mataχʷaːja
мэтэкъон	mataqʷan
мэтэн	matan
мэтӏатӏэ	matʼaːtʼa
мэтӏыгъо	matəʁʷa
мэтӏыгъон	mətʼəʁʷam
мэтӏэрэхьын	matʼaraħən
мэтӏэтӏэн	matʼatʼan
мэу	maw
мэубэн	mawban
мэубэтэн	mawəbatan
мэузын	mawzən
мэукӏын	mawt͡ʃʼən
мэукӏытэн	mawt͡ʃətan
мэулъыен	mawəɬəjan
мэулэлэн	mawəlalan
мэунэзэн	mawnazan
мэунэхъун	mawnaχʷʁn
мэутэшъон	wtaʃʷan
мэутӏэтӏэн	wətʼatʼan
мэухын	mawxən
мэуцун	mawt͡sʷən
мэуцӏэлэн	mawt͡sʼalan
мэушъы	mawʂə
мэушӏоин	mawʂʷajən
мэуэн	mawan
мэуӏэн	mawʔan
мэфэзакъу	mafazaːqʷ
мэфэку	mafakʷ
мэфэкӏ	mafatʃʼ
мэфэл	mafaɮ
мэхагъ	maxaːʁ
мэхапӏэ	maxaːpʼa
мэхъагьэ	maχaːɡʲa
мэхъаджэ	maχaːd͡ʒa
мэхъужьын	maχʷəʑən
мэхъун	χʷən
мэхъут	maχʷət
мэхъшэбзыу	maχt͡ʃabzəw
мэхъыен	maχəjan
мэхъэшэн	maχaʃan
мэхын	maxən
мэхьанэ	maħaːna
мэхэр	maxar
мэцохъон	mat͡sʷaχʷan
мэцыгъон	mat͡səʁʷan
мэцӏын	mat͡sʼən
мэцӏыон	mat͡sʼəwan
мэцӏыцӏын	mat͡sʼət͡sʼən
мэцӏэлъэн	mat͡sʼaɬan
мэцӏэтхъун	mat͡sʼatχʷən
мэцӏэтхын	mat͡sʼatxən
мэцӏэцӏэн	mat͡sʼat͡sʼan
мэцӏэшъутэн	mat͡sʼaʃʷtan
мэчъыен	mat͡ʃəjan
мэчъэн	mat͡ʂan
мэчэн	mat͡ʃan
мэчэрэгъун	mat͡ʃaraʁʷən
мэчэрэзын	mat͡ʃarazən
мэшто	maʃtəw
мэшто	məʃtəw
мэшъуен	maʃʷəjan
мэшъутырэхьын	maʃʷtəraħən
мэшъухъогъон	ʃʷəχʷaʁʷan
мэшъухъугъон	maʃʷχʷəʁʷan
мэшӏоку	maʃʷʼakʷ
мэшӏотхъуабз	maʃʷʼatχəaːbz
мэшӏощыхъу	sərnət͡ʃ
мэшӏоӏун	maʃʷʼaʔʷən
мэшӏуач	maʃʷʼaːt͡ʃ
мэшӏуащэ	maʃʷʼaːɕa
мэшӏухъогъон	maʃʷʼəχʷəʁʷan
мэшӏыкӏьэен	maʃʼəkʲʼajan
мэшӏыкӏэен	maʃʼət͡ʃʼajan
мэщтын	maqən
мэщтэн	maɕtan
мэщы	maɕ
мэщынэн	maɕənan
набгъу	naːbʁʷə
набгъэ	naːbʁa
назэ	naːza
накӏэ	naːt͡ʃʼa
налкъут	naːlqʷət
налъэ	naːɬa
налэ	naːla
нану	naːnəw
наныу	naːnəw
нао	naːwa
напсэ	naːpsa
напцэ	naːpt͡sa
напэ	naːpa
нарт	naːrt
нарэ	naːra
насып	naːsəp
насыпынчъ	naːsəpənt͡ʂ
насыпынчъэ	naːsəpənt͡ʂ
нат	naːt
натрыф	naːtrəf
натыф	naːtəf
натӏэ	naːtʼa
нафэ	naːfa
нахъутэ	naːχʷta
нахь	naːħ
нахьиу	naːħjəw
нахьыбэрэ	naːħəbara
нахьыбэрэм	naːħəbaram
нахьышӏу	naːħəʃʷʼ
нахэ	naːxa
нацэӏуцэ	natsaʔʷtsa
нашхъо	naːʃχʷa
нашъухъо	naːʂʷχʷa
нашэ	naːʃa
непэ	najpa
нет	najt
неущымыкӏ	najwɕəmət͡ʃʼ
нухь	nəwħ
ны	nə
ныбачъ	nəbaːt͡ʂ
ныбгъу	nəbʁʷə
ныбгъэ	nəbʁa
ныбгъэшъу	nəbʁaʂʷ
ныбджэгъу	nəbd͡ʒaʁʷ
ныбжь	nəbʑ
ныбжьи	nəbʑə
ныбжьыкъу	nəbʑəqʷ
ныбжьыкӏэ	nəbʑət͡ʃʼa
ныбжьэгъу	nəbʑaʁʷ
ныбыдж	nəbəd͡ʒ
ныбэ	nəba
ныбэрый	nəbarəj
ныбэузы	nəbawəzə
ныбэшъу	nəbaʃʷ
ныджы	nəd͡ʒə
ныкъо	nəqʷa
ныкъолӏагъэ	nəqʷaɬʼaːʁa
ныкъуалӏэ	nəqʷaːɬʼa
нынэпӏос	nənapʷʼas
нынэпӏэс	nənapʼas
ныо	nəwa
ныожъ	nəwaʐ
нып	nəp
ныпчыхьэ	nəpt͡ʃəħa
ныпчэдыжьы	nəpt͡ʃadəʑə
нысащэ	nəsaːɕa
нысхъапэ	nəsχaːpa
нысэ	nəsa
нысэпхъапэ	nəsapχaːpa
нычэпэ	nət͡ʃapa
ныӏэ	nəʔa
ныӏэп	nəʔap
нэбгъэ	nabʁa
нэбгы	nabɣə
нэбгыр	nabɣər
нэбзый	nabzəj
нэбзыц	nabzət͡s
нэгу	naɡʷ
нэгушъо	naɡʷəʃʷa
нэгушъоутын	naɡʷəʃʷawtən
нэгушӏу	naɡʷəʃʷʼ
нэгъунджэ	naʁʷənd͡ʒa
нэгъургьэ	naʁʷərɡʲa
нэгъуцу	naʁʷət͡ʃʷ
нэгъучӏыц	naʁʷt͡ʂʼət͡sa
нэгъучӏыцэ	naʁʷt͡ʂʼət͡sa
нэгъэцӏу	naʁat͡sʼəw
нэгъэцӏыу	naʁat͡sʼəw
нэдэлъфыбзэ	nadaɬfəbza
нэз	nazə
нэзы	nazə
нэзэжъу	nazaʒʷ
нэкулъ	nakʷəɬ
нэкъокъон	naqʷaqʷan
нэкъыгъэ	naqəʁa
нэкьыхьытх	nakʲəħətx
нэкӏап	nat͡ʃʼaːp
нэкӏо	nakʷʼa
нэкӏубгъу	nakʷʼbʁʷ
нэкӏушъу	nakʷʼəʂʷ
нэкӏушъхь	nakʷʼəʂħ
нэкӏы	nat͡ʃʼə
нэкӏын	nat͡ʃʼən
нэкӏышъо	nakʼəʃʷa
нэкӏьышъо	nakʼəʃʷa
нэкӏьэон	nakʲʼawan
нэкӏэбыдз	nakʲʼabəd͡z
нэкӏэон	nat͡ʃʼawan
нэмаздэкъ	namaːzdaq
нэмазэ	namaːza
нэмкӏ	namt͡ʃʼ
нэмкӏыр	namt͡ʃʼər
нэмыкӏ	namət͡ʃʼ
нэмыкӏыр	namət͡ʃʼər
нэмысыпэу	naməsəpaw
нэмыӏэкӏэ	naməʔat͡ʃʼa
нэнау	nanaːw
нэнэжъ	nanaʐ
нэпашъо	napaːʃʷa
нэпкъы	napqə
нэплъэгъу	napɬaʁʷ
нэпс	naps
нэпх	napx
нэпцӏы	napt͡sʼə
нэпчыхьэ	napt͡ʃəħa
нэпчэдыжьы	napt͡ʃadəʑə
нэпэ	napa
нэпэон	napawan
нэпэталхьэ	napataːlħa
нэпэтелъхьэ	napatajɬħa
нэпэшъоон	napaʃʷawan
нэпэшъоутын	naɡʷəʃʷawtən
нэпэӏэплъэкӏ	napaʔapɬat͡ʃʼ
нэпӏэхъ	napʔaχ
нэриплъ	narəjpɬ
нэрыплъ	narəpɬ
нэсын	nasən
нэугъэупӏэпӏэгъу	nawʁawpʼapʼaʁʷ
нэутх	nawətx
нэущы	nawɕə
нэущымыщкӏь	nawɕəməɕkʲʼ
нэфнэ	nafna
нэфы	nafə
нэфын	nafən
нэхай	naxaːj
нэхаш	naxaːʃ
нэхъут	naχʷət
нэхь	naħ
нэхьышӏу	naħəʃʷʼə
нэцӏэкӏ	nat͡sʼat͡ʃʼ
нэчыхь	nat͡ʃəħ
нэчыхьытх	nat͡ʃəħətx
нэчэпэ	nat͡ʃapa
нэшакӏэ	naʃaːkʲʼa
нэшан	naʃaːn
нэшанэ	naʃaːn
нэшхъэигъу	naʃχajəʁʷ
нэшхъэин	naʃχajən
нэшхъэй	naʃχaj
нэшъу	naʂʷə
нэшэбэгу	naʃabaɡʷ
нэшэгъожь	naʃaʁʷaʑ
нэшӏошӏ	naʃʷʼaʃʼ
нэшӏошӏу	naʃʷʼaʃʷʼ
нэӏазэ	naʔaːza
нэӏаплъэкӏ	naʔaːpɬat͡ʃʼ
нэӏу	naʔʷ
нэӏуасэ	naʔʷaːsa
нэӏурыхъу	naʔʷərəχʷ
нэӏэбэсын	naʔabasən
о	wa
обзэгъу	wabzaʁʷ
оды	wadə
одыджын	wadəd͡ʒən
ожъубанэхьэмлыу	waʐʷbaːnaħamləw
ожьы	waʑə
олъэн	waɬan
он	wan
онджэкъ	wand͡ʒaq
онтэгъу	wantaʁʷ
онэгу	wanaɡʷ
опсэу	wapsaw
ор	war
оркъ	warq
оры	warə
орыжъ	warəʐ
орэд	warad
орэдаӏу	waradaːʔʷ
орэдус	wradwəs
орэдыӏон	waradəʔʷan
орэдыӏу	waradəʔʷ
ос	was
остыгъ	wastəʁ
осы	wasə
осылӏ	wasəɬʼ
осыпсы	wasəpsə
осӏэбыцу	wasʔabət͡sʷ
отыч	watət͡ʃ
отычыцэ	watət͡ʃət͡sa
отэгъу	wataʁʷ
отэр	watar
ошъогу	waʂʷaɡʷ
ошъоку	waʃʷakʷ
ошъолъапсэ	waʃʷaɬaːpsa
ошъочап	waʃʷat͡ʃaːp
ошъуапщэ	waʂʷaːpɕa
ошэкур	waʃakʷər
ошӏу	waʃʷʼə
ощхы	waɕxə
ощы	waɕə
ощыкӏ	waɕət͡ʃʼ
пагэ	paːɣa
пае	paːja
пакъ	paːq
пакӏо	paːkʷʼa
пакӏьэ	paːkʲʼa
пакӏэ	paːt͡ʃʼa
палътэу	paːɬtaw
панэ	paːna
папкӏэ	paːpt͡ʃʼa
папсӏэ	paːpsʼa
папцӏэ	paːpt͡sʼa
папыщ	paːpəɕ
парчъыхь	paːrtʂəħ
парчэ	paːrt͡ʃa
парэ	paːra
пахъэ	paːχ
пачъыхь	paːtʂəħ
пачъыхьагъо	paːt͡ʂəħaːʁʷa
пашъхьэ	paːʂħa
пащ	paːɕ
паӏо	paːʔʷa
пелыуан	pajɮəwaːn
пихын	pjəxən
пкъы	pqə
пкъыгъо	psəʃʷa
пкъыгъуацӏэ	pqəʁʷaːt͡sʼ
пкъышъолы	pqəʃʷalə
пкъэу	pqaw
пкьэн	pkʲan
пкӏантӏэ	pt͡ʃaːntʼa
пкӏатӏэ	pt͡ʃʼaːtʼa
пкӏау	pt͡ʃaːw
пкӏыкӏэ	pt͡ʃət͡ʃa
пкӏыхь	pt͡ʃəħ
пкӏыхьапӏ	pt͡ʃəħaːpʼ
пкӏышъхьэмышъхьэ	pt͡ʃəʂħaməʂħa
пкӏьэн	pkʲʼan
пкӏэ	pt͡ʃʼa
пкӏэн	pt͡ʃʼan
пкӏэнчъ	pt͡ʃʼant͡ʂ
пкӏэтэн	pt͡ʃʼatan
пкӏэшъэхъу	pt͡ʃaʂaχʷ
плъыжьгьэф	pɬəʑɡʲaf
плъыжьы	pɬəʑə
плъыжьыбз	pɬəʑəbz
плъышъо	pɬəʃʷa
плъэкӏун	pɬakʷʼən
плъэн	pɬan
плъэхъун	pɬaχʷən
плӏанэ	pɬʼaːna
плӏы	pɬʼə
плӏэмыепкъ	pɬʼaməjapq
плӏэмый	pɬʼaməj
плӏэнэбзы	pɬʼanabzə
прилъэшъон	prəjɬaʃʷan
прэзэн	prazan
псао	psaːwa
псапэ	psaːpa
псатхьэ	psaːtħa
псау	psaːwa
пскэн	pskan
псчэн	pst͡ʃan
псы	psə
псыбыб	psəbəb
псыгу	psəɡʷə
псыгъо	psəʁʷa
псыгъэхъун	psəʁaχʷən
псыжъ	psəʐ
псыжъо	psəʐʷa
псыжъы	psəʐə
псыкъефэх	psəqajfax
псыкъу	psəqʷ
псыкьэт	psəkʲat
псыкӏэ	psət͡ʃʼa
псыкӏэты	psəkʲʼatə
псыкӏэты	psət͡ʃʼatə
псыкӏэу	psət͡ʃʼaw
псылъэхъу	psəɬaχʷ
псын	psən
псынжъы	psənʐə
псынкӏагъэ	psət͡ʃʼaːʁa
псынкӏэ	psənt͡ʃʼa
псынкӏэн	psənt͡ʃʼan
псынкӏэу	psənt͡ʃʼaw
псынэ	psəna
псынэкъуау	psənaqʷaːw
псыор	psəwar
псысамыр	psəsaːmər
псытхьэ	psətħa
псытхьэгуащэ	psətħaɡʷaːɕa
псыуалъэ	psəəwaːɬa
псыунэ	psəwna
псыунэ	psəwəna
псыуцупӏэ	psəwət͡ʃʷəpʼa
псыхъо	psəχʷa
псыхъурай	psəχʷəraːj
псыхъуэгуащэ	psəχʷaɡʷaːɕa
псыхьэн	psəħan
псыцу	psət͡sʷa
псычэт	psət͡ʃat
псычэтыхъу	psət͡ʃatəχʷ
псычӏэгъы	psət͡ʂʼaʁə
псышъо	psəʃʷa
псышъонт	psəʂʷant
псышъуалъэ	psəʃʷaːɬa
псыӏушъо	psəʔʷəʃʷa
псыӏыгъыпӏэ	psəʔəʁəpʼa
псэ	psa
псэи	psajə
псэкӏод	psakʷʼad
псэлъыхъо	psaɬəχʷa
псэлъыхъон	psaɬəχʷən
псэлъыхъу	psaɬəχʷ
псэлъэн	psaɬan
псэн	psan
псэо	psawa
псэолъэшӏ	psawaɬaʃʼ
псэолъэшӏыпӏ	psawaɬaʃʼəpʼ
псэонгъэ	psawanʁa
псэу	psaw
псэуагъэ	psawaːʁa
псэуалъэ	psawaɬaʃʼəpʼ
псэун	psawən
псэушъхь	psawʂħ
псэхалӏэ	psaxaɬʼz
псӏанэ	psʼaːna
псӏын	psʼən
псӏырый	psʼərəj
пхъапэ	pχaːpa
пхъатэ	pχaːta
пхъацӏэ	pχaːt͡sa
пхъашэ	pχaːʃa
пхъон	pχʷan
пхъотэн	pχʷatan
пхъу	pχʷə
пхъуант	pχʷaːnt
пхъурылъф	pχərəɬf
пхъы	pχə
пхъэ	pχa
пхъэгулъ	bχaɡʷəɬ
пхъэжъые	pχaʐəj
пхъэкӏыпхъ	pχat͡ʃəpχ
пхъэкӏэн	pχat͡ʃan
пхъэмбай	pχambaːj
пхъэмбгъу	pχambʁʷ
пхъэн	pχan
пхъэнкӏын	pχant͡ʃʼən
пхъэнкӏыпхъ	pχant͡ʃʼəpχ
пхъэнтӏэкӏу	pχantʼakʷʼ
пхъэнтӏэкӏущыхьэ	pχantʼakʷʼɕəħa
пхъэныӏу	pχanəʔʷ
пхъэпхъэн	pχapχan
пхъэтакъэ	pχataːaqa
пхъэтэкъэжъ	pχataqaʐ
пхъэтӏэкӏу	pχatʼakʷʼ
пхъэуӏу	pχawʔʷə
пхъэх	pχax
пхъэхатӏэ	pχaxaːtʼa
пхъэцӏакӏэ	pχat͡sʼaːt͡ʃa
пхъэчай	pχat͡ʃaːj
пхъэчыпэ	pχat͡ʃəpa
пхъэшъхьэмышъхь	pχaːʂħaməʂħ
пхъэшъхьэмышъхьэхэр	pχaʂħaməʂħaxar
пхын	pxən
пхыр	pxər
пхэ	pxa
пхэдж	pxad͡ʒ
пхэкӏ	pxat͡ʃʼ
пхэндж	pxand͡ʒ
пцае	pt͡saːja
пцантхьэ	pt͡saːntħa
пцатхьэ	pt͡saːtħa
пцум	pt͡ʃʷəm
пцы	t͡səza
пцыкъо	pt͡səqʷa
пцыкъу	pt͡səqʷ
пцэ	pt͡sa
пцэжъые	pt͡saʐəja
пцэкъэнтф	pt͡saqantf
пцӏанэ	pt͡sʼaːna
пцӏы	pt͡sʼə
пцӏын	pt͡sʼən
пцӏырый	pt͡sʼərəj
пцӏыус	pt͡sʼəwəs
пцӏэун	pt͡sʼawəm
пчъаблэ	pt͡ʂaːbɮa
пчъагъэ	pt͡ʃaːʁa
пчъын	pt͡ʃən
пчъэ	pt͡ʃa
пчъэпсы	pt͡ʃapsə
пчъэӏу	pt͡ʃaʔʷə
пчъэӏупэ	pt͡ʃaʔʷəpa
пчы	pt͡ʃə
пчыкӏэ	pt͡ʃət͡ʃʼa
пчытӏаркъу	pt͡ʃətʼaːrqʷ
пчыхьапэ	pt͡ʃəħaːpa
пчыхьэ	pt͡ʃəħa
пчыхьэзэхахь	pt͡ʃəħazaxaːħ
пчыхьэшъхьашхэ	pt͡ʃəħaʂħaːʃxa
пчэ	pt͡ʃa
пчэгу	pt͡ʃaɡʷ
пчэдыгъо	pt͡ʃadəʁʷa
пчэдыжьы	pt͡ʃadəʑə
пчэдыжьышхэ	pt͡ʃadəʑəʃxa
пчэн	pt͡ʃan
пчэндэхъу	pt͡ʃandaχʷ
пчэны	pt͡ʃanə
