Ⴁ	b
სირაძე	sirɑd͡zɛ
სირბილე	sirbilɛ
სირბილი	sirbili
სირენა	sirɛnɑ
სირთულე	sirtʰulɛ
სირი	siri
სირია	siriɑ
სირიული	siriuli
სირმა	sirmɑ
სიროფი	sirɔpʰi
სირსველი	sirsvɛli
სირცხვილი	sirt͡sxvili
სისადავე	sisɑdɑvɛ
სისავსე	sisɑvsɛ
სისასტიკე	sisɑstʼikʼɛ
სისაძაგლე	sisɑd͡zɑɡlɛ
სისაწყლე	sisɑt͡sʼqʼlɛ
სისინა	sisinɑ
სისირი	sisiri
სისრულე	sisrulɛ
სისტემა	sistʼɛmɑ
სისტემამ	sistʼɛmɑm
სისტემას	sistʼɛmɑs
სისტემატურად	sistʼɛmɑtʼurɑd
სისტემატური	sistʼɛmɑtʼuri
სისტემით	sistʼɛmitʰ
სისტემის	sistʼɛmis
სისულელე	sisulɛlɛ
სისუსტე	sisustʼɛ
სისუფთავე	sisupʰtʰɑvɛ
სისქე	siskʰɛ
სისწორე	sist͡sʼɔrɛ
სისწრაფე	sist͡sʼrɑpʰɛ
სისხლი	sisxli
სისხლიანი	sisxliɑni
სისხლისღვრა	sisxlisɣvrɑ
სისხლსავსე	sisxlsɑvsɛ
სისხლჩაქცევა	sisxlt͡ʃɑkʰt͡sɛvɑ
სისხლძარღვი	sisxld͡zɑrɣvi
სიტკბო	sitʼkʼbɔ
სიტლანქე	sitʼlɑnkʰɛ
სიტუაცია	sitʼuɑt͡siɑ
სიტყვა	sitʼqʼvɑ
სიტყვაგრძელი	sitʼqʼvɑɡrd͡zɛli
სიტყვაზე	sitʼqʼvɑzɛ
სიტყვამრავლად	sitʼqʼvɑmrɑvlɑd
სიტყვამტავლად	sitʼqʼvɑmtʼɑvlɑd
სიტყვარი	sitʼqʼvɑri
სიტყვაძუნწი	sitʼqʼvɑd͡zunt͡sʼi
სიტყვიერი	sitʼqʼviɛri
სიუზერენი	siuzɛrɛni
სიუჟეტი	siuʒɛtʼi
სიუცხოვე	siut͡sxɔvɛ
სიუხეშე	siuxɛʃɛ
სიუხვე	siuxvɛ
სიფათი	sipʰɑtʰi
სიფართოვე	sipʰɑrtʰɔvɛ
სიფაქიზე	sipʰɑkʰizɛ
სიფერმკრთალე	sipʰɛrmkʼrtʰɑlɛ
სიფილისი	sipʰilisi
სიფიცხე	sipʰit͡sxɛ
სიფრთხილე	sipʰrtʰxilɛ
სიფრიფანა	sipʰripʰɑnɑ
სიფხვიერე	sipʰxviɛrɛ
სიფხიზლე	sipʰxizlɛ
სიქა	sikʰɑ
სიქვრივე	sikʰvrivɛ
სიქიზმი	sikʰizmi
სიღარიბე	siɣɑribɛ
სიღატაკე	siɣɑtʼɑkʼɛ
სიღნაღი	siɣnɑɣi
სიღრმე	siɣrmɛ
სიყალბე	siqʼɑlbɛ
სიყვარული	siqʼvɑruli
სიყვარულით	siqʼvɑrulitʰ
სიყვითლე	siqʼvitʰlɛ
სიყრუე	siqʼruɛ
სიშავე	siʃɑvɛ
სიშიშვლე	siʃiʃvlɛ
სიშორე	siʃɔrɛ
სიჩლუნგე	sit͡ʃlunɡɛ
სიჩუმე	sit͡ʃumɛ
სიჩქარე	sit͡ʃkʰɑrɛ
სიცარიელე	sit͡sɑriɛlɛ
სიცელქე	sit͡sɛlkʰɛ
სიცივე	sit͡sivɛ
სიცილი	sit͡sili
სიცილით	sit͡silitʰ
სიცოცხლე	sit͡sɔt͡sxlɛ
სიცრუე	sit͡sruɛ
სიცხადე	sit͡sxɑdɛ
სიცხარე	sit͡sxɑrɛ
სიცხე	sit͡sxɛ
სიცხოველე	sit͡sxɔvɛlɛ
სიძე	sid͡zɛ
სიძლიერე	sid͡zliɛrɛ
სიძნელე	sid͡znɛlɛ
სიძულვილი	sid͡zulvili
სიძუნწე	sid͡zunt͡sʼɛ
სიწვრილე	sit͡sʼvrilɛ
სიწითლე	sit͡sʼitʰlɛ
სიწმინდე	sit͡sʼmindɛ
სიწრფელე	sit͡sʼrpʰɛlɛ
სიწყნარე	sit͡sʼqʼnɑrɛ
სიჭაბუკე	sit͡ʃʼɑbukʼɛ
სიჭარბე	sit͡ʃʼɑrbɛ
სიხალისე	sixɑlisɛ
სიხარბე	sixɑrbɛ
სიხარული	sixɑruli
სიხისტე	sixistʼɛ
სიხშირე	sixʃirɛ
სიჯანსაღე	sid͡ʒɑnsɑɣɛ
სიჯიუტე	sid͡ʒiutʼɛ
სკა	skʼɑ
სკალპელი	skʼɑlpʼɛli
სკალპი	skʼɑlpʼi
სკამი	skʼɑmi
სკანდალი	skʼɑndɑli
სკანდალურად	skʼɑndɑlurɑd
სკანდალური	skʼɑndɑluri
სკანდიუმი	skʼɑndiumi
სკანერი	skʼɑnɛri
სკაფანდრი	skʼɑpʰɑndri
სკდომა	skʼdɔmɑ
სკეპტიკოსი	skʼɛpʼtʼikʼɔsi
სკეპტიკურად	skʼɛpʼtʼikʼurɑd
სკეპტიკური	skʼɛpʼtʼikʼuri
სკეპტიციზმი	skʼɛpʼtʼit͡sizmi
სკერცო	skʼɛrt͡sɔ
სკვერი	skʼvɛri
სკივრი	skʼivri
სკიპიდარი	skʼipʼidɑri
სკიპტრა	skʼipʼtʼrɑ
სკლეროზი	skʼlɛrɔzi
სკოლა	skʼɔlɑ
სკოლად	skʼɔlɑd
სკოლამ	skʼɔlɑm
სკოლას	skʼɔlɑs
სკოლით	skʼɔlitʰ
სკოლის	skʼɔlis
სკრუპულოზულად	skʼrupʼulɔzulɑd
სკულპტურა	skʼulpʼtʼurɑ
სკულპტურული	skʼulpʼtʼuruli
სკუმბრია	skʼumbriɑ
სლავური	slɑvuri
სლალომი	slɑlɔmi
სლენგი	slɛnɡi
სლოვაკეთი	slɔvɑkʼɛtʰi
სლოვენი	slɔvɛni
სლოვენია	slɔvɛniɑ
სლოკინი	slɔkʼini
სმ	sm
სმა	smɑ
სმენა	smɛnɑ
სმენადაკარგული	smɛnɑdɑkʼɑrɡuli
სმენადაქვეითებული	smɛnɑdɑkʰvɛitʰɛbuli
სმენადობა	smɛnɑdɔbɑ
სმოკინგი	smɔkʼinɡi
სმური	smuri
სნეული	snɛuli
სნობი	snɔbi
სნობიზმი	snɔbizmi
სნობურად	snɔburɑd
სოვდაგარი	sɔvdɑɡɑri
სოვერენი	sɔvɛrɛni
სოიო	sɔiɔ
სოკო	sɔkʼɔ
სოკრატული	sɔkʼrɑtʼuli
სოლარიუმი	sɔlɑriumi
სოლი	sɔli
სოლიდარობა	sɔlidɑrɔbɑ
სოლიდური	sɔliduri
სოლისტი	sɔlistʼi
სოლიტერი	sɔlitʼɛri
სოლოლაკი	sɔlɔlɑkʼi
სომალი	sɔmɑli
სომბრერო	sɔmbrɛrɔ
სომეხი	sɔmɛxi
სომხეთად	sɔmxɛtʰɑd
სომხეთი	sɔmxɛtʰi
სომხეთით	sɔmxɛtʰitʰ
სომხეთის	sɔmxɛtʰis
სომხეთმა	sɔmxɛtʰmɑ
სომხეთს	sɔmxɛtʰs
სომხური	sɔmxuri
სონატა	sɔnɑtʼɑ
სონეტი	sɔnɛtʼi
სონია	sɔniɑ
სოპრანო	sɔpʼrɑnɔ
სორგო	sɔrɡɔ
სოსისი	sɔsisi
სოუსი	sɔusi
სოფელი	sɔpʰɛli
სოფელმა	sɔpʰɛlmɑ
სოფელს	sɔpʰɛls
სოფიზმი	sɔpʰizmi
სოფისტი	sɔpʰistʼi
სოფისტიკა	sɔpʰistʼikʼɑ
სოფლად	sɔpʰlɑd
სოფლები	sɔpʰlɛbi
სოფლელი	sɔpʰlɛli
სოფლით	sɔpʰlitʰ
სოფლის	sɔpʰlis
სოფლური	sɔpʰluri
სოციალიზაცია	sɔt͡siɑlizɑt͡siɑ
სოციალიზმი	sɔt͡siɑlizmi
სოციალისტი	sɔt͡siɑlistʼi
სოციალისტური	sɔt͡siɑlistʼuri
სოციალურად	sɔt͡siɑlurɑd
სოციალური	sɔt͡siɑluri
სოციოლოგი	sɔt͡siɔlɔɡi
სოციოლოგია	sɔt͡siɔlɔɡiɑ
სოციოლოგიურად	sɔt͡siɔlɔɡiurɑd
სოციოლოგიური	sɔt͡siɔlɔɡiuri
სოჭი	sɔt͡ʃʼi
სოხუმი	sɔxumi
სპა	spʼɑ
სპაგეტი	spʼɑɡɛtʼi
სპაზმურად	spʼɑzmurɑd
სპაზმური	spʼɑzmuri
სპარსეთი	spʼɑrsɛtʰi
სპარსი	spʼɑrsi
სპარსული	spʼɑrsuli
სპარტანული	spʼɑrtʼɑnuli
სპეკულაცია	spʼɛkʼulɑt͡siɑ
სპერმა	spʼɛrmɑ
სპეტაკი	spʼɛtʼɑkʼi
სპექტრალური	spʼɛkʰtʼrɑluri
სპექტრი	spʼɛkʰtʼri
სპეციალისტი	spʼɛt͡siɑlistʼi
სპეციალობა	spʼɛt͡siɑlɔbɑ
სპეციალურად	spʼɛt͡siɑlurɑd
სპეციალური	spʼɛt͡siɑluri
სპეციფიკაცია	spʼɛt͡sipʰikʼɑt͡siɑ
სპეციფიკური	spʼɛt͡sipʰikʼuri
სპიდომეტრი	spʼidɔmɛtʼri
სპიკერი	spʼikʼɛri
სპილენძი	spʼilɛnd͡zi
სპილო	spʼilɔ
სპირალი	spʼirɑli
სპირალურად	spʼirɑlurɑd
სპირალური	spʼirɑluri
სპირიტისტი	spʼiritʼistʼi
სპირტი	spʼirtʼi
სპირტქურა	spʼirtʼkʰurɑ
სპონსორი	spʼɔnsɔri
სპონსორობა	spʼɔnsɔrɔbɑ
სპონტანურად	spʼɔntʼɑnurɑd
სპონტანური	spʼɔntʼɑnuri
სპონტანურობა	spʼɔntʼɑnurɔbɑ
სპორა	spʼɔrɑ
სპორადულად	spʼɔrɑdulɑd
სპორადული	spʼɔrɑduli
სპორტი	spʼɔrtʼi
სპორტსმენი	spʼɔrtʼsmɛni
სპორტულად	spʼɔrtʼulɑd
სპორტული	spʼɔrtʼuli
სპრინტერი	spʼrintʼɛri
სრიალა	sriɑlɑ
სროლა	srɔlɑ
სრულად	srulɑd
სრულდება	sruldɛbɑ
სრული	sruli
სრულიად	sruliɑd
სრულყოფილად	srulqʼɔpʰilɑd
სრულყოფილება	srulqʼɔpʰilɛbɑ
სრულყოფილი	srulqʼɔpʰili
სრუტე	srutʼɛ
სსრ	ssr
სტაბილიზაცია	stʼɑbilizɑt͡siɑ
სტაბილურად	stʼɑbilurɑd
სტაბილურობა	stʼɑbilurɔbɑ
სტადიონი	stʼɑdiɔni
სტაკატო	stʼɑkʼɑtʼɔ
სტალაგმიტი	stʼɑlɑɡmitʼi
სტალაქტიტი	stʼɑlɑkʰtʼitʼi
სტალინი	stʼɑlini
სტამბა	stʼɑmbɑ
სტამბოლი	stʼɑmbɔli
სტანდარტი	stʼɑndɑrtʼi
სტანდარტული	stʼɑndɑrtʼuli
სტაჟიორი	stʼɑʒiɔri
სტარტერი	stʼɑrtʼɛri
სტარტი	stʼɑrtʼi
სტატია	stʼɑtʼiɑ
სტატიად	stʼɑtʼiɑd
სტატიამ	stʼɑtʼiɑm
სტატიას	stʼɑtʼiɑs
სტატიები	stʼɑtʼiɛbi
სტატიით	stʼɑtʼiitʰ
სტატიის	stʼɑtʼiis
სტატიკა	stʼɑtʼikʼɑ
სტატიკურად	stʼɑtʼikʼurɑd
სტატიკური	stʼɑtʼikʼuri
სტატისტი	stʼɑtʼistʼi
სტატისტიკოსი	stʼɑtʼistʼikʼɔsi
სტატისტიკურად	stʼɑtʼistʼikʼurɑd
სტატისტიკური	stʼɑtʼistʼikʼuri
სტატუეტი	stʼɑtʼuɛtʼi
სტატუსი	stʼɑtʼusi
სტატუტი	stʼɑtʼutʼi
სტაფილო	stʼɑpʰilɔ
სტაფილოსფერი	stʼɑpʰilɔspʰɛri
სტაციონარული	stʼɑt͡siɔnɑruli
სტელა	stʼɛlɑ
სტენლი	stʼɛnli
სტენოგრაფია	stʼɛnɔɡrɑpʰiɑ
სტეპი	stʼɛpʼi
სტერეოსკოპი	stʼɛrɛɔskʼɔpʼi
სტერეოტიპი	stʼɛrɛɔtʼipʼi
სტერილიზაცია	stʼɛrilizɑt͡siɑ
სტერილური	stʼɛriluri
სტერლინგი	stʼɛrlinɡi
სტეფანე	stʼɛpʰɑnɛ
სტეფანი	stʼɛpʰɑni
სტვენა	stʼvɛnɑ
სტვენით	stʼvɛnitʰ
სტვირი	stʼviri
სტიბიუმი	stʼibiumi
სტივენი	stʼivɛni
სტილეტი	stʼilɛtʼi
სტილიზაცია	stʼilizɑt͡siɑ
სტილისტი	stʼilistʼi
სტილისტურად	stʼilistʼurɑd
სტილისტური	stʼilistʼuri
სტიმული	stʼimuli
სტიპენდია	stʼipʼɛndiɑ
სტიქარი	stʼikʰɑri
სტიქიური	stʼikʰiuri
სტიქსი	stʼikʰsi
სტკივა	stʼkʼivɑ
სტოიკოსი	stʼɔikʼɔsi
სტოიკურად	stʼɔikʼurɑd
სტოიკური	stʼɔikʼuri
სტოიციზმი	stʼɔit͡sizmi
სტოკჰოლმი	stʼɔkʼhɔlmi
სტომატოლოგი	stʼɔmɑtʼɔlɔɡi
სტომაქი	stʼɔmɑkʰi
სტრასბურგი	stʼrɑsburɡi
სტრატეგი	stʼrɑtʼɛɡi
სტრატეგიულად	stʼrɑtʼɛɡiulɑd
სტრატეგიული	stʼrɑtʼɛɡiuli
სტრატოსფერო	stʼrɑtʼɔspʰɛrɔ
სტრეპტოკოკი	stʼrɛpʼtʼɔkʼɔkʼi
სტრიპტიზი	stʼripʼtʼizi
სტრონციუმი	stʼrɔnt͡siumi
სტროფი	stʼrɔpʰi
სტრუქტურა	stʼrukʰtʼurɑ
სტრუქტურულად	stʼrukʰtʼurulɑd
სტრუქტურული	stʼrukʰtʼuruli
სტუდენტი	stʼudɛntʼi
სტუდია	stʼudiɑ
სტუმართმოყვრულად	stʼumɑrtʰmɔqʼvrulɑd
სტუმრობა	stʼumrɔbɑ
სუ	su
სუბიექტურად	subiɛkʰtʼurɑd
სუბიექტური	subiɛkʰtʼuri
სუბიექტურობა	subiɛkʰtʼurɔbɑ
სუბორდინაცია	subɔrdinɑt͡siɑ
სუბსიდია	subsidiɑ
სუბსტანცია	substʼɑnt͡siɑ
სუბსტრატი	substʼrɑtʼi
სუბტროპიკული	subtʼrɔpʼikʼuli
სუდანი	sudɑni
სუდარა	sudɑrɑ
სუვენირი	suvɛniri
სუზანი	suzɑni
სულ	sul
სულგრძელად	sulɡrd͡zɛlɑd
სულგრძელი	sulɡrd͡zɛli
სულგრძელობა	sulɡrd͡zɛlɔbɑ
სულგუნი	sulɡuni
სულელი	sulɛli
სულელობა	sulɛlɔbɑ
სულელურად	sulɛlurɑd
სულელური	sulɛluri
სულთანი	sultʰɑni
სული	suli
სულიერად	suliɛrɑd
სულიერი	suliɛri
სულმდაბალი	sulmdɑbɑli
სულმდაბლად	sulmdɑblɑd
სულმოკლე	sulmɔkʼlɛ
სულმოკლეობა	sulmɔkʼlɛɔbɑ
სულფატი	sulpʰɑtʼi
სულფიდი	sulpʰidi
სუნამო	sunɑmɔ
სუნელი	sunɛli
სუნთქავს	suntʰkʰɑvs
სუნთქვითი	suntʰkʰvitʰi
სუნი	suni
სუნიანი	suniɑni
სუნსული	sunsuli
სუპერმარკეტი	supʼɛrmɑrkʼɛtʼi
სუპერმენი	supʼɛrmɛni
სურა	surɑ
სურავანდი	surɑvɑndi
სურავანდიანი	surɑvɑndiɑni
სურათი	surɑtʰi
სურამი	surɑmi
სურვილი	survili
სურვილისამებრ	survilisɑmɛbr
სურინამი	surinɑmi
სურნელები	surnɛlɛbi
სურნელი	surnɛli
სურნელოვანი	surnɛlɔvɑni
სურო	surɔ
სუროსფერი	surɔspʰɛri
სურს	surs
სურსათი	sursɑtʰi
სუსტად	sustʼɑd
სუსტი	sustʼi
სუსხიანად	susxiɑnɑd
სუსხიანი	susxiɑni
სუტენიორი	sutʼɛniɔri
სუფთა	supʰtʰɑ
სუფთად	supʰtʰɑd
სუფიქსი	supʰikʰsi
სუფლე	supʰlɛ
სუფრა	supʰrɑ
სფერო	spʰɛrɔ
სფეროიდი	spʰɛrɔidi
სფერული	spʰɛruli
სფინქსი	spʰinkʰsi
სქელი	skʰɛli
სქელკანიანი	skʰɛlkʼɑniɑni
სქემა	skʰɛmɑ
სქემატურად	skʰɛmɑtʼurɑd
სქემატური	skʰɛmɑtʼuri
სქოლასტიკა	skʰɔlɑstʼikʼɑ
სქოლასტიკოსი	skʰɔlɑstʼikʼɔsi
სქოლასტიკური	skʰɔlɑstʼikʼuri
სქოლიო	skʰɔliɔ
სცენა	st͡sɛnɑ
სცენარი	st͡sɛnɑri
სცენარისტი	st͡sɛnɑristʼi
სცენური	st͡sɛnuri
სცილდება	st͡sildɛbɑ
სძმარავს	sd͡zmɑrɑvs
სძულს	sd͡zuls
სწავლა	st͡sʼɑvlɑ
სწავლება	st͡sʼɑvlɛbɑ
სწავლობს	st͡sʼɑvlɔbs
სწერს	st͡sʼɛrs
სწორად	st͡sʼɔrɑd
სწორედ	st͡sʼɔrɛd
სწორი	st͡sʼɔri
სწორკუთხა	st͡sʼɔrkʼutʰxɑ
სწორუპოვარი	st͡sʼɔrupʼɔvɑri
სწორხაზოვანი	st͡sʼɔrxɑzɔvɑni
სწრაფად	st͡sʼrɑpʰɑd
სწრაფი	st͡sʼrɑpʰi
სწრება	st͡sʼrɛbɑ
სწყურია	st͡sʼqʼuriɑ
სჭირდება	st͡ʃʼirdɛbɑ
სხალტბა	sxɑltʼbɑ
სხდომა	sxdɔmɑ
სხეული	sxɛuli
სხვა	sxvɑ
სხვაგვარად	sxvɑɡvɑrɑd
სხვადასხვა	sxvɑdɑsxvɑ
სხვადასხვაგვარად	sxvɑdɑsxvɑɡvɑrɑd
სხვათაშორის	sxvɑtʰɑʃɔris
სხვანაირად	sxvɑnɑirɑd
სხვანაირი	sxvɑnɑiri
სხვები	sxvɛbi
სხვენი	sxvɛni
სხვისი	sxvisi
სხივი	sxivi
სხივოსანი	sxivɔsɑni
სხივურად	sxivurɑd
სხივური	sxivuri
სხმა	sxmɑ
სჯა	sd͡ʒɑ
სჯის	sd͡ʒis
ტაბაკი	tʼɑbɑkʼi
ტაბლეტი	tʼɑblɛtʼi
ტაბლო	tʼɑblɔ
ტაბუ	tʼɑbu
ტაბულატორი	tʼɑbulɑtʼɔri
ტაბურეტი	tʼɑburɛtʼi
ტავერნა	tʼɑvɛrnɑ
ტავტოლოგია	tʼɑvtʼɔlɔɡiɑ
ტავტოლოგიური	tʼɑvtʼɔlɔɡiuri
ტაივანი	tʼɑivɑni
ტაილანდი	tʼɑilɑndi
ტაიტი	tʼɑitʼi
ტაიური	tʼɑiuri
ტაიფუნი	tʼɑipʰuni
ტაკელაჟი	tʼɑkʼɛlɑʒi
ტალავერი	tʼɑlɑvɛri
ტალანი	tʼɑlɑni
ტალანტი	tʼɑlɑntʼi
ტალახი	tʼɑlɑxi
ტალახიანი	tʼɑlɑxiɑni
ტალკი	tʼɑlkʼi
ტალღა	tʼɑlɣɑ
ტალღოვანი	tʼɑlɣɔvɑni
ტამბური	tʼɑmburi
ტამბურინი	tʼɑmburini
ტამპონი	tʼɑmpʼɔni
ტამტამი	tʼɑmtʼɑmi
ტანადი	tʼɑnɑdi
ტანადობა	tʼɑnɑdɔbɑ
ტანგო	tʼɑnɡɔ
ტანვარჯიში	tʼɑnvɑrd͡ʒiʃi
ტანზანია	tʼɑnzɑniɑ
ტანი	tʼɑni
ტანინი	tʼɑnini
ტანკერი	tʼɑnkʼɛri
ტანმოვარჯიშე	tʼɑnmɔvɑrd͡ʒiʃɛ
ტანსაცმელი	tʼɑnsɑt͡smɛli
ტანტალი	tʼɑntʼɑli
ტანწერწეტა	tʼɑnt͡sʼɛrt͡sʼɛtʼɑ
ტანჯავს	tʼɑnd͡ʒɑvs
ტარა	tʼɑrɑ
ტარაკანი	tʼɑrɑkʼɑni
ტარანტული	tʼɑrɑntʼuli
ტარება	tʼɑrɛbɑ
ტარებადი	tʼɑrɛbɑdi
ტარი	tʼɑri
ტარიგი	tʼɑriɡi
ტარიფი	tʼɑripʰi
ტარო	tʼɑrɔ
ტარსიკონი	tʼɑrsikʼɔni
ტარსონი	tʼɑrsɔni
ტარხუნა	tʼɑrxunɑ
ტასმანია	tʼɑsmɑniɑ
ტაფა	tʼɑpʰɑ
ტაფტა	tʼɑpʰtʼɑ
ტაქსი	tʼɑkʰsi
ტაქსომეტრი	tʼɑkʰsɔmɛtʼri
ტაქტი	tʼɑkʰtʼi
ტაქტიანად	tʼɑkʰtʼiɑnɑd
ტაქტიანი	tʼɑkʰtʼiɑni
ტაქტიკა	tʼɑkʰtʼikʼɑ
ტაქტიკოსი	tʼɑkʰtʼikʼɔsi
ტაქტიკურად	tʼɑkʰtʼikʼurɑd
ტაქტიკური	tʼɑkʰtʼikʼuri
ტაში	tʼɑʃi
ტაშკენტი	tʼɑʃkʼɛntʼi
ტაშტი	tʼɑʃtʼi
ტაძარი	tʼɑd͡zɑri
ტაძარმა	tʼɑd͡zɑrmɑ
ტაძარს	tʼɑd͡zɑrs
ტაძრად	tʼɑd͡zrɑd
ტაძრით	tʼɑd͡zritʰ
ტაძრის	tʼɑd͡zris
ტახტი	tʼɑxtʼi
ტაჯიკეთი	tʼɑd͡ʒikʼɛtʰi
ტბა	tʼbɑ
ტბორი	tʼbɔri
ტევადი	tʼɛvɑdi
ტევადობა	tʼɛvɑdɔbɑ
ტევრი	tʼɛvri
ტელეგადაცემა	tʼɛlɛɡɑdɑt͡sɛmɑ
ტელეგრამა	tʼɛlɛɡrɑmɑ
ტელეგრაფი	tʼɛlɛɡrɑpʰi
ტელეგრაფია	tʼɛlɛɡrɑpʰiɑ
ტელეგრაფისტი	tʼɛlɛɡrɑpʰistʼi
ტელეგრაფიულად	tʼɛlɛɡrɑpʰiulɑd
ტელევიზია	tʼɛlɛviziɑ
ტელეოლოგიური	tʼɛlɛɔlɔɡiuri
ტელესკოპი	tʼɛlɛskʼɔpʼi
ტელესკოპურად	tʼɛlɛskʼɔpʼurɑd
ტელესკოპური	tʼɛlɛskʼɔpʼuri
ტელეფონი	tʼɛlɛpʰɔni
ტელეფონირება	tʼɛlɛpʰɔnirɛbɑ
ტელეფონისტი	tʼɛlɛpʰɔnistʼi
ტელეწამყვანი	tʼɛlɛt͡sʼɑmqʼvɑni
ტელუგუ	tʼɛluɡu
ტელური	tʼɛluri
ტემბრი	tʼɛmbri
ტემპერამენტი	tʼɛmpʼɛrɑmɛntʼi
ტემპერამენტულად	tʼɛmpʼɛrɑmɛntʼulɑd
ტემპერატურა	tʼɛmpʼɛrɑtʼurɑ
ტენა	tʼɛnɑ
ტენდენცია	tʼɛndɛnt͡siɑ
ტენდენციურად	tʼɛndɛnt͡siurɑd
ტენდენციური	tʼɛndɛnt͡siuri
ტენიანობა	tʼɛniɑnɔbɑ
ტენისი	tʼɛnisi
ტენორი	tʼɛnɔri
ტენტი	tʼɛntʼi
ტერასა	tʼɛrɑsɑ
ტერბიუმი	tʼɛrbiumi
ტერეზა	tʼɛrɛzɑ
ტერი	tʼɛri
ტერიტორია	tʼɛritʼɔriɑ
ტერიტორიული	tʼɛritʼɔriuli
ტერმინი	tʼɛrmini
ტერმინოლოგია	tʼɛrminɔlɔɡiɑ
ტერმიტი	tʼɛrmitʼi
ტერორი	tʼɛrɔri
ტერორიზმი	tʼɛrɔrizmi
ტერორისტი	tʼɛrɔristʼi
ტერფი	tʼɛrpʰi
ტეტანუსი	tʼɛtʼɑnusi
ტექნეციუმი	tʼɛkʰnɛt͡siumi
ტექნიკა	tʼɛkʰnikʼɑ
ტექნიკურად	tʼɛkʰnikʼurɑd
ტექნიკური	tʼɛkʰnikʼuri
ტექნოლოგი	tʼɛkʰnɔlɔɡi
ტექნოლოგია	tʼɛkʰnɔlɔɡiɑ
ტექნოლოგიური	tʼɛkʰnɔlɔɡiuri
ტექსტი	tʼɛkʰstʼi
ტექსტილი	tʼɛkʰstʼili
ტექტონა	tʼɛkʰtʼɔnɑ
ტეხა	tʼɛxɑ
ტეხადი	tʼɛxɑdi
ტეხავს	tʼɛxɑvs
ტეხასი	tʼɛxɑsi
ტეხს	tʼɛxs
ტვინად	tʼvinɑd
ტვინებად	tʼvinɛbɑd
ტვინები	tʼvinɛbi
ტვინებით	tʼvinɛbitʰ
ტვინების	tʼvinɛbis
ტვინებმა	tʼvinɛbmɑ
ტვინებო	tʼvinɛbɔ
ტვინებს	tʼvinɛbs
ტვინთ	tʼvintʰ
ტვინი	tʼvini
ტვინით	tʼvinitʰ
ტვინის	tʼvinis
ტვინმა	tʼvinmɑ
ტვინნი	tʼvinni
ტვინნო	tʼvinnɔ
ტვინო	tʼvinɔ
ტვინს	tʼvins
ტვირთვა	tʼvirtʰvɑ
ტვირთი	tʼvirtʰi
ტიბეტური	tʼibɛtʼuri
ტიგელი	tʼiɡɛli
ტივი	tʼivi
ტივტივა	tʼivtʼivɑ
ტივტივით	tʼivtʼivitʰ
ტიკი	tʼikʼi
ტილი	tʼili
ტილიანი	tʼiliɑni
ტილო	tʼilɔ
ტიმი	tʼimi
ტიმოთელა	tʼimɔtʰɛlɑ
ტიპის	tʼipʼis
ტიპმა	tʼipʼmɑ
ტიპოგრაფია	tʼipʼɔɡrɑpʰiɑ
ტიპოგრაფიულად	tʼipʼɔɡrɑpʰiulɑd
ტიპოგრაფიული	tʼipʼɔɡrɑpʰiuli
ტიპოლოგია	tʼipʼɔlɔɡiɑ
ტიპს	tʼipʼs
ტიპურად	tʼipʼurɑd
ტიპური	tʼipʼuri
ტირადა	tʼirɑdɑ
ტირანი	tʼirɑni
ტირანია	tʼirɑniɑ
ტირანული	tʼirɑnuli
ტირაჟი	tʼirɑʒi
ტირე	tʼirɛ
ტირილი	tʼirili
ტირის	tʼiris
ტირიფი	tʼiripʰi
ტიტა	tʼitʼɑ
ტიტანი	tʼitʼɑni
ტიტანური	tʼitʼɑnuri
ტიტველი	tʼitʼvɛli
ტიტრი	tʼitʼri
ტიტული	tʼitʼuli
ტიული	tʼiuli
ტიფლისი	tʼipʰlisi
ტიხარი	tʼixɑri
ტკაცანი	tʼkʼɑt͡sɑni
ტკაცანით	tʼkʼɑt͡sɑnitʰ
ტკაცუნა	tʼkʼɑt͡sunɑ
ტკაცუნი	tʼkʼɑt͡suni
ტკბილად	tʼkʼbilɑd
ტკბილეული	tʼkʼbilɛuli
ტკბილეულობა	tʼkʼbilɛulɔbɑ
ტკბილი	tʼkʼbili
ტკბილმოუბარი	tʼkʼbilmɔubɑri
ტკენს	tʼkʼɛns
ტკივილი	tʼkʼivili
ტკივილის	tʼkʼivilis
ტკივილმა	tʼkʼivilmɑ
ტკივილს	tʼkʼivils
ტკიპა	tʼkʼipʼɑ
ტლანქი	tʼlɑnkʰi
ტლიკინი	tʼlikʼini
ტო	tʼɔ
ტობი	tʼɔbi
ტოგა	tʼɔɡɑ
ტოგო	tʼɔɡɔ
ტოვება	tʼɔvɛbɑ
ტოკიო	tʼɔkʼiɔ
ტოლგვერდა	tʼɔlɡvɛrdɑ
ტოლი	tʼɔli
ტოლმა	tʼɔlmɑ
ტოლობა	tʼɔlɔbɑ
ტოლუმბაში	tʼɔlumbɑʃi
ტოლფასი	tʼɔlpʰɑsi
ტოლჩა	tʼɔlt͡ʃɑ
ტომარა	tʼɔmɑrɑ
ტომი	tʼɔmi
ტომობრივი	tʼɔmɔbrivi
ტონა	tʼɔnɑ
ტონალობა	tʼɔnɑlɔbɑ
ტონაჟი	tʼɔnɑʒi
ტონგა	tʼɔnɡɑ
ტონი	tʼɔni
ტოპაზი	tʼɔpʼɑzi
ტოპოგრაფი	tʼɔpʼɔɡrɑpʰi
