ก.	kɔː˧
เก้าเหลี่ยม	kaːw˥˩.lia̯m˨˩
เก๊ก	kek̚˦˥
เก๊กซิม	kek̚˦˥.sim˧
เก๊กฮวย	kek̚˦˥.hua̯j˧
เก๊ะ	keʔ˦˥
เก๋ง	keːŋ˩˩˦
เก๋า	kaw˩˩˦
เขก	kʰeːk̚˨˩
เขต	kʰeːt̚˨˩
เขตบริหารพิเศษฮ่องกง	kʰeːt̚˨˩.bɔː˧.ri˦˥.haːn˩˩˦.pʰi˦˥.seːt̚˨˩.hɔŋ˥˩.koŋ˧
เขน	kʰeːn˩˩˦
เขบ็ต	kʰa˨˩.bet̚˨˩
เขมร	kʰa˨˩.meːn˩˩˦
เขมือบ	kʰa˨˩.mɯa̯p̚˨˩
เขย	kʰɤːj˩˩˦
เขย่ง	kʰa˨˩.jeŋ˨˩
เขย่า	kʰa˨˩.jaw˨˩
เขลา	kʰlaw˩˩˦
เขวี้ยง	kʰwia̯ŋ˥˩
เขา	kʰaw˦˥,kʰaw˩˩˦
เขามอ	kʰaw˩˩˦.mɔː˧
เขิน	kʰɤːn˩˩˦
เขียง	kʰia̯ŋ˩˩˦
เขียน	kʰia̯n˩˩˦
เขียว	kʰia̯w˩˩˦
เขียวหวาน	kʰia̯w˩˩˦.waːn˩˩˦
เขี่ย	kʰia̯˨˩
เขี้ยว	kʰia̯w˥˩
เขี้ยวหนุมาน	kʰia̯w˥˩.ha˨˩.nu˦˥.maːn˧
เขือ	kʰɯa̯˩˩˦
เขื่อง	kʰɯa̯ŋ˨˩
เขื่อน	kʰɯa̯n˨˩
เข็ญ	kʰen˩˩˦
เข็ญใจ	kʰen˩˩˦.t͡ɕaj˧
เข็ด	kʰet̚˨˩
เข็น	kʰen˩˩˦
เข็ม	kʰem˩˩˦
เข็มกลัด	kʰem˩˩˦.klat̚˨˩
เข็มขัด	kʰem˩˩˦.kʰat̚˨˩
เข็มขัดนิรภัย	kʰem˩˩˦.kʰat̚˨˩.ni˦˥.ra˦˥.pʰaj˧
เข็มฉีดยา	kʰem˩˩˦.t͡ɕʰiːt̚˨˩.jaː˧.t͡ɕʰaː˧
เข็มทิศ	kʰem˩˩˦.tʰit̚˦˥
เข็มนาฬิกา	kʰem˩˩˦.naː˧.li˦˥.kaː˧
เข็มหมุด	kʰem˩˩˦.mut̚˨˩
เข่ง	kʰeŋ˨˩
เข่า	kʰaw˨˩
เข้	kʰeː˥˩
เข้ม	kʰem˥˩
เข้มข้น	kʰem˥˩.kʰon˥˩
เข้มงวด	kʰem˥˩.ŋua̯t̚˥˩
เข้มแข็ง	kʰem˥˩.kʰɛŋ˩˩˦
เข้า	kʰaw˥˩
เข้าข้าง	kʰaw˥˩.kʰaːŋ˥˩
เข้าฌาน	kʰaw˥˩.t͡ɕʰaːn˧
เข้าด้ายเข้าเข็ม	kʰaw˥˩.daːj˥˩.kʰaw˥˩.kʰem˩˩˦
เข้าตา	kʰaw˥˩.taː˧
เข้าถึง	kʰaw˥˩.tʰɯŋ˩˩˦
เข้าพรรษา	kʰaw˥˩.pʰan˧.saː˩˩˦
เข้ามา	kʰaw˥˩.maː˧
เข้าร่วม	kʰaw˥˩.rua̯m˥˩
เข้าเกณฑ์	kʰaw˥˩.keːn˧
เข้าเฝ้า	kʰaw˥˩.faw˥˩
เข้าเฝ้ายมบาล	kʰaw˥˩.faw˥˩.jom˧.ma˦˥.baːn˧
เข้าเมือง	kʰaw˥˩.mɯa̯ŋ˧
เข้าเมืองตาหลิ่วต้องหลิ่วตาตาม	kʰaw˥˩.mɯa̯ŋ˧.taː˧.liw˨˩.tɔŋ˥˩.liw˨˩.taː˧.taːm˧
เข้าใจ	kʰaw˥˩.t͡ɕaj˧
เข้าใจผิด	kʰaw˥˩.t͡ɕaj˧.pʰit̚˨˩
เข้าไป	kʰaw˥˩.paj˧
เฃียน	kʰia̯n˩˩˦
เฃ้า	kʰaw˥˩
เค	kʰeː˧
เคนทักกี	kʰen˧.tʰak̚˦˥.kiː˥˩
เคนยา	kʰen˧.jaː˥˩
เคมี	kʰeː˧.miː˧
เคมีอินทรีย์	kʰeː˧.miː˧.ʔin˧.siː˧
เคย	kʰɤːj˧
เครดิต	kʰreː˧.dit̚˨˩
เครน	kʰreːn˧
เครา	kʰraw˧
เคราะห์	kʰrɔʔ˦˥
เคราะห์ซ้ำกรรมซัด	kʰrɔʔ˦˥.sam˦˥.kam˧.sat̚˦˥
เครียด	kʰria̯t̚˥˩
เครือ	kʰrɯa̯˧
เครือข่าย	kʰrɯa̯˧.kʰaːj˨˩
เครือรัฐ	kʰrɯa̯˧.rat̚˦˥
เครื่อง	kʰrɯa̯ŋ˥˩
เครื่องกรอง	kʰrɯa̯ŋ˥˩.krɔːŋ˧
เครื่องกลึง	kʰrɯa̯ŋ˥˩.klɯŋ˧
เครื่องขุด	kʰrɯa̯ŋ˥˩.kʰut̚˨˩
เครื่องครัว	kʰrɯa̯ŋ˥˩.kʰrua̯˧
เครื่องควบแน่น	kʰrɯa̯ŋ˥˩.kʰua̯p̚˥˩.nɛn˥˩
เครื่องคิดเลข	kʰrɯa̯ŋ˥˩.kʰit̚˦˥.leːk̚˥˩
เครื่องจักร	kʰrɯa̯ŋ˥˩.t͡ɕak̚˨˩
เครื่องจักรไอน้ำ	kʰrɯa̯ŋ˥˩.t͡ɕak̚˨˩.ʔaj˧.naːm˦˥
เครื่องจำหน่ายสินค้าอัตโนมัติ	kʰrɯa̯ŋ˥˩.t͡ɕam˧.naːj˨˩.sin˩˩˦.kʰaː˦˥.ʔat̚˨˩.ta˨˩.noː˧.mat̚˦˥
เครื่องจำหน่ายสินค้าแบบหยอดเหรียญ	kʰrɯa̯ŋ˥˩.t͡ɕam˧.naːj˨˩.sin˩˩˦.kʰaː˦˥.bɛːp̚˨˩.jɔːt̚˨˩.ria̯n˩˩˦
เครื่องฉาย	kʰrɯa̯ŋ˥˩.t͡ɕʰaːj˩˩˦
เครื่องฉายดาว	kʰrɯa̯ŋ˥˩.t͡ɕʰaːj˩˩˦.daːw˧
เครื่องชงกาแฟ	kʰrɯa̯ŋ˥˩.t͡ɕʰoŋ˧.kaː˧.fɛː˧
เครื่องช่วยฟัง	kʰrɯa̯ŋ˥˩.t͡ɕʰua̯j˥˩.faŋ˧
เครื่องช่วยหายใจ	kʰrɯa̯ŋ˥˩.t͡ɕʰua̯j˥˩.haːj˩˩˦.t͡ɕaj˧
เครื่องซักผ้า	kʰrɯa̯ŋ˥˩.sak̚˦˥.pʰaː˥˩
เครื่องดนตรี	kʰrɯa̯ŋ˥˩.don˧.triː˧
เครื่องดื่ม	kʰrɯa̯ŋ˥˩.dɯːm˨˩
เครื่องดื่มชูกำลัง	kʰrɯa̯ŋ˥˩.dɯːm˨˩.t͡ɕʰuː˧.kam˧.laŋ˧
เครื่องดูดฝุ่น	kʰrɯa̯ŋ˥˩.duːt̚˨˩.fun˨˩
เครื่องถ่ายเอกสาร	kʰrɯa̯ŋ˥˩.tʰaːj˨˩.ʔeːk̚˨˩.ka˨˩.saːn˩˩˦
เครื่องทุ่นแรง	kʰrɯa̯ŋ˥˩.tʰun˥˩.rɛːŋ˧
เครื่องบิน	kʰrɯa̯ŋ˥˩.bin˧
เครื่องบินกระดาษ	kʰrɯa̯ŋ˥˩.bin˧.kra˨˩.daːt̚˨˩
เครื่องประดับ	kʰrɯa̯ŋ˥˩.pra˨˩.dap̚˨˩
เครื่องปรับอากาศ	kʰrɯa̯ŋ˥˩.prap̚˨˩.ʔaː˧.kaːt̚˨˩
เครื่องปรุง	kʰrɯa̯ŋ˥˩.pruŋ˧
เครื่องปรุงรส	kʰrɯa̯ŋ˥˩.pruŋ˧.rot̚˦˥
เครื่องปั่น	kʰrɯa̯ŋ˥˩.pan˨˩
เครื่องปั้นดินเผา	kʰrɯa̯ŋ˥˩.pan˥˩.din˧.pʰaw˩˩˦
เครื่องปิ้งขนมปัง	kʰrɯa̯ŋ˥˩.piŋ˥˩.kʰa˨˩.nom˩˩˦.paŋ˧
เครื่องพิมพ์	kʰrɯa̯ŋ˥˩.pʰim˧
เครื่องพิมพ์ดีด	kʰrɯa̯ŋ˥˩.pʰim˧.diːt̚˨˩
เครื่องมือ	kʰrɯa̯ŋ˥˩.mɯː˧
เครื่องยนต์	kʰrɯa̯ŋ˥˩.jon˧
เครื่องยนต์จรวด	kʰrɯa̯ŋ˥˩.jon˧.t͡ɕa˨˩.rua̯t̚˨˩
เครื่องยนต์ไอพ่น	kʰrɯa̯ŋ˥˩.jon˧.ʔaj˧.pʰon˥˩
เครื่องยอด	kʰrɯa̯ŋ˥˩.jɔːt̚˥˩
เครื่องราง	kʰrɯa̯ŋ˥˩.raːŋ˧
เครื่องร่อน	kʰrɯa̯ŋ˥˩.rɔːn˥˩
เครื่องลายคราม	kʰrɯa̯ŋ˥˩.laːj˧.kʰraːm˧
เครื่องล้างจาน	kʰrɯa̯ŋ˥˩.laːŋ˦˥.t͡ɕaːn˧
เครื่องวัดอุณหภูมิ	kʰrɯa̯ŋ˥˩.wat̚˦˥.ʔun˧.ha˨˩.pʰuːm˧
เครื่องสาย	kʰrɯa̯ŋ˥˩.saːj˩˩˦
เครื่องสำอาง	kʰrɯa̯ŋ˥˩.sam˩˩˦.ʔaːŋ˧
เครื่องสูบ	kʰrɯa̯ŋ˥˩.suːp̚˨˩
เครื่องสูบน้ำ	kʰrɯa̯ŋ˥˩.suːp̚˨˩.naːm˦˥
เครื่องสูบลม	kʰrɯa̯ŋ˥˩.suːp̚˨˩.lom˧
เครื่องหมาย	kʰrɯa̯ŋ˥˩.maːj˩˩˦
เครื่องหมายการค้า	kʰrɯa̯ŋ˥˩.maːj˩˩˦.kaːn˧.kʰaː˦˥
เครื่องหมายการออกเสียง	kʰrɯa̯ŋ˥˩.maːj˩˩˦.kaːn˧.ʔɔːk̚˨˩.sia̯ŋ˩˩˦
เครื่องหมายคำถาม	kʰrɯa̯ŋ˥˩.maːj˩˩˦.kʰam˧.tʰaːm˩˩˦
เครื่องหมายตกใจ	kʰrɯa̯ŋ˥˩.maːj˩˩˦.tok̚˨˩.t͡ɕaj˧
เครื่องหมายวรรคตอน	kʰrɯa̯ŋ˥˩.maːj˩˩˦.wak̚˦˥.tɔːn˧
เครื่องหมายสงสัย	kʰrɯa̯ŋ˥˩.maːj˩˩˦.soŋ˩˩˦.saj˩˩˦
เครื่องหมุนเหวี่ยง	kʰrɯa̯ŋ˥˩.mun˩˩˦.wia̯ŋ˨˩
เครื่องเงิน	kʰrɯa̯ŋ˥˩.ŋɤːn˧
เครื่องเซ่น	kʰrɯa̯ŋ˥˩.sen˥˩
เครื่องเทศ	kʰrɯa̯ŋ˥˩.tʰeːt̚˥˩
เครื่องเรือน	kʰrɯa̯ŋ˥˩.rɯa̯n˧
เครื่องเร่งอนุภาค	kʰrɯa̯ŋ˥˩.reŋ˥˩.ʔa˨˩.nu˦˥.pʰaːk̚˥˩
เครื่องเล่น	kʰrɯa̯ŋ˥˩.len˥˩
เครื่องเสวย	kʰrɯa̯ŋ˥˩.sa˨˩.wɤːj˩˩˦
เครื่องแต่งกาย	kʰrɯa̯ŋ˥˩.tɛŋ˨˩.kaːj˧
เครื่องแบบ	kʰrɯa̯ŋ˥˩.bɛːp̚˨˩
เครื่องใน	kʰrɯa̯ŋ˥˩.naj˧
เคร่ง	kʰreŋ˥˩
เคลม	kʰleːm˧
เคลิ้ม	kʰlɤːm˦˥
เคลียร์	kʰlia̯˧
เคลือบ	kʰlɯa̯p̚˥˩
เคลื่อน	kʰlɯa̯n˥˩
เคลื่อนที่	kʰlɯa̯n˥˩.tʰiː˥˩
เคลื่อนไหว	kʰlɯa̯n˥˩.waj˩˩˦
เคล็ด	kʰlet̚˦˥
เคล้า	kʰlaw˦˥
เคว้ง	kʰweːŋ˦˥
เคส	kʰeːt̚˨˩,kʰeːs˨˩,kʰeːs˦˥,kʰeːt̚˦˥
เคานต์	kʰaw˦˥
เคาน์เตส	kʰaw˦˥.tes˦˥
เคาน์เตอร์	kʰaw˧.tɤː˥˩,kʰaw˦˥.tɤː˥˩
เคารพ	kʰaw˧.rop̚˦˥
เคาะ	kʰɔʔ˦˥
เคียง	kʰia̯ŋ˧
เคียฟ	kʰia̯f˦˥
เคียว	kʰia̯w˧
เคี่ยว	kʰia̯w˥˩
เคี้ยว	kʰia̯w˦˥
เคือง	kʰɯa̯ŋ˧
เคืองใจ	kʰɯa̯ŋ˧.t͡ɕaj˧
เคเบิล	kʰeː˧.bɤːl˥˩,kʰeː˧.bɤːn˥˩
เค็ตชัป	kʰet̚˦˥.t͡ɕʰap̚˨˩
เค็ม	kʰem˧
เค้ก	kʰeːk̚˦˥
เค้ง	kʰeːŋ˦˥
เค้น	kʰen˦˥
เค้า	kʰaw˦˥
เค้าแมว	kʰaw˦˥.mɛːw˧
เฆี่ยน	kʰia̯n˥˩
เงย	ŋɤːj˧
เงรุลมุด	ŋeː˧.rul˧.mut̚˦˥
เงอะงะ	ŋɤʔ˦˥.ŋaʔ˦˥
เงา	ŋaw˧
เงามัว	ŋaw˧.mua̯˧
เงามืด	ŋaw˧.mɯːt̚˥˩
เงาะ	ŋɔʔ˦˥
เงาะขนสั้น	ŋɔʔ˦˥.kʰon˩˩˦.san˥˩
เงาะโรงเรียน	ŋɔʔ˦˥.roːŋ˧.ria̯n˧
เงิน	ŋɤn˧
เงินตรา	ŋɤn˧.traː˧
เงินทอง	ŋɤn˧.tʰɔːŋ˧
เงินทอน	ŋɤn˧.tʰɔːn˧
เงินปี	ŋɤn˧.piː˧
เงินสด	ŋɤn˧.sot̚˨˩
เงินเดือน	ŋɤn˧.dɯa̯n˧
เงียบ	ŋia̯p̚˥˩
เงียบขรึม	ŋia̯p̚˥˩.kʰrɯm˩˩˦
เงี่ยง	ŋia̯ŋ˥˩
เงี่ยน	ŋia̯n˥˩
เงี้ยว	ŋia̯w˦˥
เงือก	ŋɯa̯k̚˥˩
เงื่อน	ŋɯa̯n˥˩
เงื่อนงำ	ŋɯa̯n˥˩.ŋam˧
เงื่อนไข	ŋɯa̯n˥˩.kʰaj˩˩˦
เงื่อนไขบังคับก่อน	ŋɯa̯n˥˩.kʰaj˩˩˦.baŋ˧.kʰap̚˦˥.kɔːn˨˩
เงื่อนไขบังคับหลัง	ŋɯa̯n˥˩.kʰaj˩˩˦.baŋ˧.kʰap̚˦˥.laŋ˩˩˦
เงื้อมมือ	ŋɯa̯m˦˥.mɯː˧
เง่หมึง	ŋeː˥˩.mɯŋ˩˩˦
เง่า	ŋaw˥˩
เจ	t͡ɕeː˧
เจงกีสข่าน	t͡ɕeːŋ˧.kiːt̚˨˩.kʰaːn˨˩
เจดีย์	t͡ɕeː˧.diː˧
เจตนา	t͡ɕeːt̚˨˩.ta˨˩.naː˧
เจตนารมณ์	t͡ɕeːt̚˨˩.ta˨˩.naː˧.rom˧
เจตนารมย์	t͡ɕeːt̚˨˩.ta˨˩.naː˧.rom˧
เจนีวา	t͡ɕeː˧.niː˧.waː˧
เจรจา	t͡ɕeː˧.ra˦˥.t͡ɕaː˧,t͡ɕeːn˧.ra˦˥.t͡ɕaː˧
เจริญ	t͡ɕa˨˩.rɤːn˧
เจริญตาเจริญใจ	t͡ɕa˨˩.rɤːn˧.taː˧.t͡ɕa˨˩.rɤːn˧.t͡ɕaj˧
เจริญพร	t͡ɕa˨˩.rɤːn˧.pʰɔːn˧
เจริญพวง	t͡ɕa˨˩.rɤːn˧.pʰua̯ŋ˧
เจลาติน	t͡ɕeː˧.laː˧.tin˧
เจว็ด	t͡ɕa˨˩.wet̚˨˩
เจอ	t͡ɕɤː˧
เจอกัน	t͡ɕɤː˧.kan˧
เจอร์เมเนียม	t͡ɕɤː˧.meː˧.nia̯m˥˩
เจาะ	t͡ɕɔʔ˨˩
เจาะจง	t͡ɕɔʔ˨˩.t͡ɕoŋ˧
เจาะยาง	t͡ɕɔʔ˨˩.jaːŋ˧
เจิม	t͡ɕɤːm˧
เจียน	t͡ɕia̯n˧
เจียม	t͡ɕia̯m˧
เจียมใจ	t͡ɕia̯m˧.t͡ɕaj˧
เจียว	t͡ɕia̯w˧
เจี๊ยว	t͡ɕia̯w˦˥
เจี๊ยะ	t͡ɕia̯ʔ˦˥
เจี๋ยมเจี้ยม	t͡ɕia̯m˩˩˦.t͡ɕia̯m˥˩
เจือ	t͡ɕɯa̯˧
เจือจาง	t͡ɕɯa̯˧.t͡ɕaːŋ˧
เจื้อยแจ้ว	t͡ɕɯa̯j˥˩.t͡ɕɛːw˥˩
เจื๋อน	t͡ɕɯa̯n˩˩˦
เจได	t͡ɕeː˧.daj˧
เจ็ด	t͡ɕet̚˨˩
เจ็ดสิบ	t͡ɕet̚˨˩.sip̚˨˩
เจ็ดเหลี่ยม	t͡ɕet̚˨˩.lia̯m˨˩
เจ็บ	t͡ɕep̚˨˩
เจ็บใจ	t͡ɕep̚˨˩.t͡ɕaj˧
เจ็บไข้	t͡ɕep̚˨˩.kʰaj˥˩
เจ้า	t͡ɕaːw˥˩,t͡ɕaw˥˩
เจ้ากรรมนายเวร	t͡ɕaːw˥˩.kam˧.naːj˧.weːn˧
เจ้าของ	t͡ɕaːw˥˩.kʰɔːŋ˩˩˦,t͡ɕaw˥˩.kʰɔːŋ˩˩˦
เจ้าของภาษา	t͡ɕaw˥˩.kʰɔːŋ˩˩˦.pʰaː˧.saː˩˩˦
เจ้าข้า	t͡ɕaw˥˩.kʰaː˥˩
เจ้าค่ะ	t͡ɕaw˥˩.kʰaʔ˥˩
เจ้าชาย	t͡ɕaw˥˩.t͡ɕʰaːj˧,t͡ɕaːw˥˩.t͡ɕʰaːj˧
เจ้าชู้	t͡ɕaw˥˩.t͡ɕʰuː˦˥
เจ้านาย	t͡ɕaːw˥˩.naːj˧
เจ้าบ่าว	t͡ɕaw˥˩.baːw˨˩
เจ้าประเทศราช	t͡ɕaːw˥˩.pra˨˩.tʰeːt̚˥˩.sa˨˩.raːt̚˥˩
เจ้าพญา	t͡ɕaːw˥˩.pʰa˦˥.jaː˧
เจ้าพนักงาน	t͡ɕaːw˥˩.pʰa˦˥.nak̚˦˥.ŋaːn˧
เจ้าพระยา	t͡ɕaːw˥˩.pʰra˦˥.jaː˧
เจ้าฟ้า	t͡ɕaːw˥˩.faː˦˥
เจ้ามือ	t͡ɕaw˥˩.mɯː˧,t͡ɕaːw˥˩.mɯː˧
เจ้าสัว	t͡ɕaw˥˩.sua̯˩˩˦
เจ้าสาว	t͡ɕaw˥˩.saːw˩˩˦
เจ้าสำนัก	t͡ɕaw˥˩.sam˩˩˦.nak̚˦˥
เจ้าสำนักโรงแรม	t͡ɕaw˥˩.sam˩˩˦.nak̚˦˥.roːŋ˧.rɛːm˧
เจ้าหญิง	t͡ɕaw˥˩.jiŋ˩˩˦,t͡ɕaːw˥˩.jiŋ˩˩˦
เจ้าหญิงนิทรา	t͡ɕaːw˥˩.jiŋ˩˩˦.nit̚˦˥.tʰraː˧
เจ้าหนี้	t͡ɕaːw˥˩.niː˥˩,t͡ɕaw˥˩.niː˥˩
เจ้าหน้าที่	t͡ɕaːw˥˩.naː˥˩.tʰiː˥˩
เจ้าอยู่หัว	t͡ɕaːw˥˩.juː˨˩.hua̯˩˩˦
เจ้าอารมณ์	t͡ɕaw˥˩.ʔaː˧.rom˧
เจ้าแผ่นดิน	t͡ɕaːw˥˩.pʰɛn˨˩.din˧
เจ้าโลก	t͡ɕaːw˥˩.loːk̚˥˩
เจ้าใหญ่นายโต	t͡ɕaːw˥˩.jaj˨˩.naːj˧.toː˧
เจ๊	t͡ɕeː˦˥
เจ๊ก	t͡ɕek̚˦˥
เจ๊ง	t͡ɕeŋ˦˥
เจ๋ง	t͡ɕeŋ˩˩˦
เฉ	t͡ɕʰeː˩˩˦
เฉก	t͡ɕʰeːk̚˨˩
เฉด	t͡ɕʰeːt̚˨˩
เฉพาะ	t͡ɕʰa˨˩.pʰɔʔ˦˥
เฉย	t͡ɕʰɤj˩˩˦,t͡ɕʰɤːj˩˩˦
เฉลย	t͡ɕʰa˨˩.lɤːj˩˩˦
เฉลิมฉลอง	t͡ɕʰa˨˩.lɤːm˩˩˦.t͡ɕʰa˨˩.lɔːŋ˩˩˦
เฉลิมพระราชมนเทียร	t͡ɕʰa˨˩.lɤːm˩˩˦.pʰra˦˥.raːt̚˥˩.t͡ɕʰa˦˥.mon˧.tʰia̯n˧
เฉลียวฉลาด	t͡ɕʰa˨˩.lia̯w˩˩˦.t͡ɕʰa˨˩.laːt̚˨˩
เฉลี่ย	t͡ɕʰa˨˩.lia̯˨˩
เฉา	t͡ɕʰaw˩˩˦
เฉาก๊วย	t͡ɕʰaw˩˩˦.kua̯j˦˥
เฉาะ	t͡ɕʰɔʔ˨˩
เฉียง	t͡ɕʰia̯ŋ˩˩˦
เฉียด	t͡ɕʰia̯t̚˨˩
เฉียบ	t͡ɕʰia̯p̚˨˩
เฉือน	t͡ɕʰɯa̯n˩˩˦
เฉื่อย	t͡ɕʰɯa̯j˨˩
เฉ่ง	t͡ɕʰeːŋ˨˩
เชน	t͡ɕʰeːn˧
เชฟ	t͡ɕʰeːf˥˩,t͡ɕʰeːp̚˥˩
เชย	t͡ɕʰɤːj˧
เชยชม	t͡ɕʰɤːj˧.t͡ɕʰom˧
เชยีงใหม	t͡ɕʰia̯ŋ˧.maj˨˩
เชลย	t͡ɕʰa˦˥.lɤːj˧
เชลยศึก	t͡ɕʰa˦˥.lɤːj˧.sɯk̚˨˩
เชลโล	t͡ɕʰen˧.loː˧,t͡ɕʰel˧.loː˧
เชษฐา	t͡ɕʰeːt̚˥˩.tʰaː˩˩˦
เชอง	t͡ɕʰɤːŋ˧
เชอร์รี	t͡ɕʰɤː˧.riː˥˩
เชอร์รี่	t͡ɕʰɤː˧.riː˥˩
เชาวน์	t͡ɕʰaw˧
เชิง	t͡ɕʰɤːŋ˧
เชิงกราน	t͡ɕʰɤːŋ˧.kraːn˧
เชิงซ้อน	t͡ɕʰɤːŋ˧.sɔːn˦˥
เชิงเทิน	t͡ɕʰɤːŋ˧.tʰɤːn˧
เชิญ	t͡ɕʰɤːn˧
เชิด	t͡ɕʰɤːt̚˥˩,t͡ɕʰɤt̚˥˩
เชิดชู	t͡ɕʰɤːt̚˥˩.t͡ɕʰuː˧
เชียง	t͡ɕʰia̯ŋ˧
เชียงราย	t͡ɕʰia̯ŋ˧.raːj˧
เชียงใหม่	t͡ɕʰia̯ŋ˧.maj˨˩
เชียร์	t͡ɕʰia̯˧
เชียร์ลีดเดอร์	t͡ɕʰia̯˧.liːt̚˨˩.dɤː˥˩
เชี่ย	t͡ɕʰia̯˥˩
เชี่ยว	t͡ɕʰia̯w˥˩
เชือก	t͡ɕʰɯa̯k̚˥˩
เชือกผูกรองเท้า	t͡ɕʰɯa̯k̚˥˩.pʰuːk̚˨˩.rɔːŋ˧.tʰaːw˦˥
เชือด	t͡ɕʰɯa̯t̚˥˩
เชือดไก่ให้ลิงดู	t͡ɕʰɯa̯t̚˥˩.kaj˨˩.haj˥˩.liŋ˧.duː˧
เชื่อ	t͡ɕʰɯa̯˥˩
เชื่อง	t͡ɕʰɯa̯ŋ˥˩
เชื่อถือ	t͡ɕʰɯa̯˥˩.tʰɯː˩˩˦
เชื่อฟัง	t͡ɕʰɯa̯˥˩.faŋ˧
เชื่อม	t͡ɕʰɯa̯m˥˩
เชื่อมั่น	t͡ɕʰɯa̯˥˩.man˥˩
เชื่อใจ	t͡ɕʰɯa̯˥˩.t͡ɕaj˧
เชื้อ	t͡ɕʰɯa̯˦˥
เชื้อชาติ	t͡ɕʰɯa̯˦˥.t͡ɕʰaːt̚˥˩
เชื้อรา	t͡ɕʰɯa̯˦˥.raː˧
เชื้อสาย	t͡ɕʰɯa̯˦˥.saːj˩˩˦
เชื้อเพลิง	t͡ɕʰɯa̯˦˥.pʰlɤːŋ˧
เชื้อโรค	t͡ɕʰɯa̯˦˥.roːk̚˥˩
เชื้อไฟ	t͡ɕʰɯa̯˦˥.faj˧
เช็ก	t͡ɕʰek̚˦˥
เช็กบิล	t͡ɕʰek̚˦˥.bin˧
เช็กเกีย	t͡ɕʰek̚˦˥.kia̯˧
เช็กโกสโลวะเกีย	t͡ɕʰek̚˦˥.koː˧.sa˨˩.loː˧.wa˦˥.kia̯˧
เช็ค	t͡ɕʰek̚˦˥
เช็คบิล	t͡ɕʰek̚˦˥.bin˧
เช็ด	t͡ɕʰet̚˦˥
เช่น	t͡ɕʰen˥˩
เช่นเคย	t͡ɕʰeːn˥˩.kʰɤːj˧
เช่า	t͡ɕʰaw˥˩
เช่าซื้อ	t͡ɕʰaw˥˩.sɯː˦˥
เช่าทรัพย์	t͡ɕʰaw˥˩.sap̚˦˥
เช่าทรัพย์สิน	t͡ɕʰaw˥˩.sap̚˦˥.sin˩˩˦
เช้ง	t͡ɕʰeŋ˦˥,t͡ɕʰeːŋ˦˥
เช้า	t͡ɕʰaw˦˥,t͡ɕʰaːw˦˥
เช้ามืด	t͡ɕʰaːw˦˥.mɯːt̚˥˩
เซ	seː˧
เซน	seːn˧
เซนติเมตร	sen˧.ti˧.meːt̚˦˥,sen˧.ti˨˩.meːt̚˦˥
เซนต์คิตส์และเนวิส	seːn˦˥.kʰit̚˦˥.lɛʔ˦˥.neː˧.wis˦˥
เซนต์ลูเชีย	seːn˦˥.luː˧.t͡ɕʰia̯˧
เซนต์วินเซนต์และเกรนาดีนส์	seːn˦˥.win˧.sen˦˥.lɛʔ˦˥.kreː˧.naː˧.diːn˧
เซฟ	sep̚˦˥,sef˦˥
เซรามิก	seː˧.raː˧.mik̚˨˩
เซลฟี	seːl˧.fiː˥˩
เซลฟี่	seːl˧.fiː˥˩
เซลล์	seːl˧
เซลล์ต้นกำเนิด	seːl˧.ton˥˩.kam˧.nɤːt̚˨˩
เซลล์แสงอาทิตย์	seːl˧.sɛːŋ˩˩˦.ʔaː˧.tʰit̚˦˥
เซลล์ไข่	seːl˧.kʰaj˨˩
เซลเซียส	sen˧.sia̯t̚˥˩,sel˧.sia̯t̚˥˩
เซอร์	sɤː˥˩,sɤː˧
เซอร์เบีย	sɤː˧.bia̯˧
เซอร์โคเนียม	sɤː˧.kʰoː˧.nia̯m˥˩
เซา	saw˧
เซาตูเมและปรินซีปี	saw˧.tuː˧.meː˧.lɛʔ˦˥.prin˧.siː˧.piː˥˩,saw˧.tuː˧.meː˧.lɛʔ˦˥.prin˧.siː˧.piː˧
เซาท์ซูดาน	saw˦˥.suː˧.daːn˧
เซาท์ดาโคตา	saw˦˥.daː˧.kʰoː˧.taː˥˩
เซาท์แคโรไลนา	saw˦˥.kʰɛː˧.roː˧.laj˧.naː˥˩
เซาะ	sɔʔ˦˥
เซิร์ฟเวอร์	sɤːp̚˦˥.wɤː˥˩,sɤːf˦˥.wɤː˥˩
เซียน	sia̯n˧
เซียร์ราลีโอน	sia̯˧.raː˥˩.liː˧.ʔoːn˧
เซี่ยงไฮ้	sia̯ŋ˥˩.haj˦˥
เซเชลส์	seː˧.t͡ɕʰeːl˧,seː˧.t͡ɕʰeːn˧
เซเทอร์	seː˧.tʰɤː˥˩
เซเนกัล	seː˧.neː˧.kal˥˩,seː˧.neː˧.kal˧
เซเลบ	seː˧.lep̚˦˥
เซเลรี่	seː˧.leː˧.riː˥˩
เซเล็บ	seː˧.lep̚˦˥
เซ็กซี่	sek̚˦˥.siː˥˩
เซ็กส์	sek̚˦˥,sek̚s˦˥
เซ็ง	seŋ˧
เซ่น	sen˥˩
เซ่อ	sɤː˥˩
เฌอ	t͡ɕʰɤː˧
เฒ่า	tʰaw˥˩
เฒ่าทารก	tʰaw˥˩.tʰaː˧.rok̚˦˥
