a	a˧˧
địch vận	dit˨˩˨jɤ̆ŋ˨˩˨
định	din˨˩˨
định an (xã)	din˨˩˨aŋ˧˧sa˨˩˦
định biên	din˨˩˨biəŋ˧˧
định bụng	din˨˩˨buŋ͡m˨˩˨
định canh	din˨˩˨kan˧˧
định chí	din˨˩˨ci˦˥
định chế	din˨˩˨ce˦˥
định công	din˨˩˨koŋ͡m˧˧
định cư	din˨˩˨kɯ˧˧
định danh	din˨˩˨jan˧˧
định dạng	din˨˩˨jaŋ˨˩˨
định giá	din˨˩˨ja˦˥
định hình	din˨˩˨hin˧˨
định hướng	din˨˩˨hɯəŋ˦˥
định hướng từ	din˨˩˨hɯəŋ˦˥tɯ˧˨
định hạn	din˨˩˨haŋ˨˩˨
định hồn	din˨˩˨hoŋ͡m˧˨
định khoản	din˨˩˨xwaŋ˨˩˦
định kiến	din˨˩˨kiəŋ˦˥
định kì	din˨˩˨ki˧˨
định kỳ	din˨˩˨ki˧˨
định liệu	din˨˩˨liəw˨˩˨
định luật	din˨˩˨lwɤ̆k˨˩˨
định luật bảo toàn	din˨˩˨lwɤ̆k˨˩˨baw˨˩˦twaŋ˧˨
định luật bảo toàn khối lượng	din˨˩˨lwɤ̆k˨˩˨baw˨˩˦twaŋ˧˨xoj˦˥lɯəŋ˨˩˨
định luật bảo toàn và biến hoá năng lượng	din˨˩˨lwɤ̆k˨˩˨baw˨˩˦twaŋ˧˨ja˧˨biəŋ˦˥hwa˦˥năŋ˧˧lɯəŋ˨˩˨
định luật vạn vật hấp dẫn	din˨˩˨lwɤ̆k˨˩˨jaŋ˨˩˨jɤ̆k˨˩˨hɤ̆p˦˥jɤ̆ŋ˨˩˦
định lí	din˨˩˨li˦˥
định lí phản nhau	din˨˩˨li˦˥faŋ˨˩˦ɲăw˧˧
định lí đảo	din˨˩˨li˦˥daw˨˩˦
định lý	din˨˩˨li˦˥
định lượng	din˨˩˨lɯəŋ˨˩˨
định lệ	din˨˩˨le˨˩˨
định mệnh	din˨˩˨men˨˩˨
định mệnh luận	din˨˩˨men˨˩˨lwɤ̆ŋ˨˩˨
định mức	din˨˩˨mɯk˦˥
định mức kĩ thuật	din˨˩˨mɯk˦˥ki˨˩˦tʰwɤ̆k˨˩˨
định mức sản xuất	din˨˩˨mɯk˦˥ʂaŋ˨˩˦swɤ̆k˦˥
định nghĩa	din˨˩˨ŋiə˨˩˦
định ngạch	din˨˩˨ŋat˨˩˨
định ngữ	din˨˩˨ŋɯ˨˩˦
định phân	din˨˩˨fɤ̆ŋ˧˧
định phận	din˨˩˨fɤ̆ŋ˨˩˨
định suất	din˨˩˨ʂwɤ̆k˦˥
định sẵn	din˨˩˨ʂăŋ˨˩˦
định số	din˨˩˨ʂo˦˥
định sở	din˨˩˨ʂɤ˨˩˦
định thần	din˨˩˨tʰɤ̆ŋ˧˨
định thức	din˨˩˨tʰɯk˦˥
định tinh	din˨˩˨tin˧˧
định trị	din˨˩˨ʈi˨˩˨
định tuyến	din˨˩˨twiəŋ˦˥
định tâm	din˨˩˨tɤ̆m˧˧
định tính	din˨˩˨tin˦˥
định tỉnh	din˨˩˨tin˨˩˦
định tỉnh thần hôn	din˨˩˨tin˨˩˦tʰɤ̆ŋ˧˨hoŋ͡m˧˧
định tội	din˨˩˨toj˨˩˨
định vị	din˨˩˨ji˨˩˨
định xuất	din˨˩˨swɤ̆k˦˥
định xứ	din˨˩˨sɯ˦˥
định âm	din˨˩˨ɤ̆m˧˧
định đoạt	din˨˩˨dwat˨˩˨
định đô	din˨˩˨do˧˧
định đề	din˨˩˨de˧˨
định đỉnh	din˨˩˨din˨˩˦
định ước	din˨˩˨ɯək˦˥
định ảnh	din˨˩˨an˨˩˦
địt	dit˨˩˨
địt mẹ	dit˨˩˨mɛ˨˩˨
địu	diw˨˩˨
đọ	dɔ˨˩˨
đọ cánh	dɔ˨˩˨kan˦˥
đọ gươm	dɔ˨˩˨ɣɯm˧˧
đọ sức	dɔ˨˩˨ʂɯk˦˥
đọ tài	dɔ˨˩˨taj˧˨
đọa	dwa˨˩˨
đọa kiếp	dwa˨˩˨kip˦˥
đọa lạc	dwa˨˩˨lak˨˩˨
đọa thai	dwa˨˩˨tʰaj˧˧
đọa đày	dwa˨˩˨dăj˧˨
đọc	dɔk͡p˨˩˨
đọc bài	dɔk͡p˨˩˨baj˧˨
đọc canh	dɔk͡p˨˩˨kan˧˧
đọc nối	dɔk͡p˨˩˨noj˦˥
đọc thuộc lòng	dɔk͡p˨˩˨tʰuək˨˩˨lɔŋ͡m˧˨
đọi	dɔj˨˩˨
đọi đèn	dɔj˨˩˨dɛŋ˧˨
đọn	dɔŋ͡m˨˩˨
đọng	dɔŋ͡m˨˩˨
đọt	dɔk͡p˨˩˨
đỏ	dɔ˨˩˦
đỏ au	dɔ˨˩˦ăw˧˧
đỏ bừng	dɔ˨˩˦bɯŋ˧˨
đỏ chon chót	dɔ˨˩˦cɔŋ͡m˧˧cɔk͡p˦˥
đỏ choé	dɔ˨˩˦cwe˦˥
đỏ chóe	dɔ˨˩˦cwe˦˥
đỏ chói	dɔ˨˩˦cɔj˦˥
đỏ chót	dɔ˨˩˦cɔk͡p˦˥
đỏ con mắt	dɔ˨˩˦kɔŋ͡m˧˧măk˦˥
đỏ cạch	dɔ˨˩˦kat˨˩˨
đỏ da thắm thịt	dɔ˨˩˦ja˧˧tʰăm˦˥tʰit˨˩˨
đỏ gay	dɔ˨˩˦ɣăj˧˧
đỏ gay đỏ gắt	dɔ˨˩˦ɣăj˧˧dɔ˨˩˦ɣăk˦˥
đỏ gây	dɔ˨˩˦ɣɤ̆j˧˧
đỏ hoe	dɔ˨˩˦hwe˧˧
đỏ hoen	dɔ˨˩˦hwen˧˧
đỏ hoen hoét	dɔ˨˩˦hwen˧˧hwet˦˥
đỏ hon hỏn	dɔ˨˩˦hɔŋ͡m˧˧hɔŋ͡m˨˩˦
đỏ hoét	dɔ˨˩˦hwet˦˥
đỏ hây	dɔ˨˩˦hɤ̆j˧˧
đỏ hây hây	dɔ˨˩˦hɤ̆j˧˧hɤ̆j˧˧
đỏ hỏn	dɔ˨˩˦hɔŋ͡m˨˩˦
đỏ hồng hồng	dɔ˨˩˦hoŋ͡m˧˨hoŋ͡m˧˨
đỏ hửng	dɔ˨˩˦hɯŋ˨˩˦
đỏ khè	dɔ˨˩˦xɛ˧˨
đỏ khé	dɔ˨˩˦xɛ˦˥
đỏ kè	dɔ˨˩˦kɛ˧˨
đỏ kệch	dɔ˨˩˦ket˨˩˨
đỏ loè	dɔ˨˩˦lwe˧˨
đỏ loè đỏ loẹt	dɔ˨˩˦lwe˧˨dɔ˨˩˦lwet˨˩˨
đỏ loét	dɔ˨˩˦lwet˦˥
đỏ loẹt	dɔ˨˩˦lwet˨˩˨
đỏ lòm	dɔ˨˩˦lɔm˧˨
đỏ lòm lòm	dɔ˨˩˦lɔm˧˨lɔm˧˨
đỏ lừ	dɔ˨˩˦lɯ˧˨
đỏ lừng	dɔ˨˩˦lɯŋ˧˨
đỏ lửa	dɔ˨˩˦lɯə˨˩˦
đỏ lựng	dɔ˨˩˦lɯŋ˨˩˨
đỏ mơn mởn	dɔ˨˩˦mɤŋ˧˧mɤŋ˨˩˦
đỏ mặt	dɔ˨˩˦măk˨˩˨
đỏ mặt tía tai	dɔ˨˩˦măk˨˩˨tiə˦˥taj˧˧
đỏ mọng	dɔ˨˩˦mɔŋ͡m˨˩˨
đỏ ngầu	dɔ˨˩˦ŋɤ̆w˧˨
đỏ ngầu ngầu	dɔ˨˩˦ŋɤ̆w˧˨ŋɤ̆w˧˨
đỏ như mắt cá chày	dɔ˨˩˦ɲɯ˧˧măk˦˥ka˦˥căj˧˨
đỏ như mặt trời mọc	dɔ˨˩˦ɲɯ˧˧măk˨˩˨ʈɤj˧˨mɔk͡p˨˩˨
đỏ như son	dɔ˨˩˦ɲɯ˧˧ʂɔŋ͡m˧˧
đỏ như vang	dɔ˨˩˦ɲɯ˧˧jaŋ˧˧
đỏ như vông, đông như tiết	dɔ˨˩˦ɲɯ˧˧joŋ͡m˧˧doŋ͡m˧˧ɲɯ˧˧tiək˦˥
đỏ nhừ	dɔ˨˩˦ɲɯ˧˨
đỏ nọc	dɔ˨˩˦nɔk͡p˨˩˨
đỏ phính	dɔ˨˩˦fin˦˥
đỏ phừng phừng	dɔ˨˩˦fɯŋ˧˨fɯŋ˧˨
đỏ quành quạch	dɔ˨˩˦wan˧˨wat˨˩˨
đỏ quạch	dɔ˨˩˦wat˨˩˨
đỏ rần	dɔ˨˩˦ʐɤ̆ŋ˧˨
đỏ rực	dɔ˨˩˦ʐɯk˨˩˨
đỏ thắm	dɔ˨˩˦tʰăm˦˥
đỏ tía	dɔ˨˩˦tiə˦˥
đỏ ói	dɔ˨˩˦ɔj˦˥
đỏ đen	dɔ˨˩˦dɛŋ˧˧
đỏ đuôi	dɔ˨˩˦duəj˧˧
đỏ đèn	dɔ˨˩˦dɛŋ˧˨
đỏ đòng đọc	dɔ˨˩˦dɔŋ͡m˧˨dɔk͡p˨˩˨
đỏ đắn	dɔ˨˩˦dăŋ˦˥
đỏ đọc	dɔ˨˩˦dɔk͡p˨˩˨
đỏ ối	dɔ˨˩˦oj˦˥
đỏ ửng	dɔ˨˩˦ɯŋ˨˩˦
đỏi	dɔj˨˩˦
đỏm	dɔm˨˩˦
đỏm dáng	dɔm˨˩˦jaŋ˦˥
đỏng	dɔŋ͡m˨˩˦
đỏng đa đỏng đảnh	dɔŋ͡m˨˩˦da˧˧dɔŋ͡m˨˩˦dan˨˩˦
đỏng đảnh	dɔŋ͡m˨˩˦dan˨˩˦
đố	do˦˥
đố chữ	do˦˥cɯ˨˩˦
đố kị	do˦˥ki˨˩˨
đố nào ngàm ấy	do˦˥naw˧˨ŋam˧˨ɤ̆j˦˥
đố phụ	do˦˥fu˨˩˨
đốc	dok͡p˦˥
đốc binh	dok͡p˦˥bin˧˧
đốc chiến	dok͡p˦˥ciəŋ˦˥
đốc chí	dok͡p˦˥ci˦˥
đốc chính	dok͡p˦˥cin˦˥
đốc chứng	dok͡p˦˥cɯŋ˦˥
đốc công	dok͡p˦˥koŋ͡m˧˧
đốc học	dok͡p˦˥hɔk͡p˨˩˨
đốc lí	dok͡p˦˥li˦˥
đốc phủ	dok͡p˦˥fu˨˩˦
đốc phủ sứ	dok͡p˦˥fu˨˩˦ʂɯ˦˥
đốc phủ; đốc phủ sứ	dok͡p˦˥fu˨˩˦dok͡p˦˥fu˨˩˦ʂɯ˦˥
đốc quân	dok͡p˦˥wɤ̆ŋ˧˧
đốc suất	dok͡p˦˥ʂwɤ̆k˦˥
đốc suất; đốc thúc	dok͡p˦˥ʂwɤ̆k˦˥dok͡p˦˥tʰuk͡p˦˥
đốc thúc	dok͡p˦˥tʰuk͡p˦˥
đốc tờ	dok͡p˦˥tɤ˧˨
đốc đồng	dok͡p˦˥doŋ͡m˧˨
đốc-tơ; đốc-tờ	dok͡p˦˥-tɤ˧˧dok͡p˦˥-tɤ˧˨
đốc-tờ	dok͡p˦˥-tɤ˧˨
đối	doj˦˥
đối bào	doj˦˥baw˧˨
đối chiếu	doj˦˥ciəw˦˥
đối chân	doj˦˥cɤ̆ŋ˧˧
đối chất	doj˦˥cɤ̆k˦˥
đối chọi	doj˦˥cɔj˨˩˨
đối chứng	doj˦˥cɯŋ˦˥
đối cách	doj˦˥kat˦˥
đối cảm	doj˦˥kam˨˩˦
đối cực	doj˦˥kɯk˨˩˨
đối diện	doj˦˥jiəŋ˨˩˨
đối gia đối giảm	doj˦˥ja˧˧doj˦˥jam˨˩˦
đối giao cảm	doj˦˥jaw˧˧kam˨˩˦
đối hình	doj˦˥hin˧˨
đối hậu môn	doj˦˥hɤ̆w˨˩˨moŋ͡m˧˧
đối hợp	doj˦˥hɤp˨˩˨
đối kháng	doj˦˥xaŋ˦˥
đối khẩu	doj˦˥xɤ̆w˨˩˦
đối lưu	doj˦˥lɯw˧˧
đối lập	doj˦˥lɤ̆p˨˩˨
đối mặt	doj˦˥măk˨˩˨
đối nghịch	doj˦˥ŋit˨˩˨
đối ngoại	doj˦˥ŋwaj˨˩˨
đối ngạn	doj˦˥ŋaŋ˨˩˨
đối ngẫu	doj˦˥ŋɤ̆w˨˩˦
đối ngẫu hôn	doj˦˥ŋɤ̆w˨˩˦hoŋ͡m˧˧
đối nhân xử thế	doj˦˥ɲɤ̆ŋ˧˧sɯ˨˩˦tʰe˦˥
đối nại	doj˦˥naj˨˩˨
đối nội	doj˦˥noj˨˩˨
đối pháp	doj˦˥fap˦˥
đối phó	doj˦˥fɔ˦˥
đối phương	doj˦˥fɯəŋ˧˧
đối quang	doj˦˥waŋ˧˧
đối song	doj˦˥ʂɔŋ͡m˧˧
đối sách	doj˦˥ʂat˦˥
đối sánh	doj˦˥ʂan˦˥
đối số	doj˦˥ʂo˦˥
đối thoại	doj˦˥tʰwaj˨˩˨
đối thẩm	doj˦˥tʰɤ̆m˨˩˦
đối thủ	doj˦˥tʰu˨˩˦
đối trình	doj˦˥ʈin˧˨
đối trướng	doj˦˥ʈɯəŋ˦˥
đối trọng	doj˦˥ʈɔŋ͡m˨˩˨
đối tác	doj˦˥tak˦˥
đối tâm	doj˦˥tɤ̆m˧˧
đối tượng	doj˦˥tɯəŋ˨˩˨
đối tụng	doj˦˥tuŋ͡m˨˩˨
đối với	doj˦˥jɤj˦˥
đối xứng	doj˦˥sɯŋ˦˥
đối xử	doj˦˥sɯ˨˩˦
đối đáp	doj˦˥dap˦˥
đối đãi	doj˦˥daj˨˩˦
đối đầu	doj˦˥dɤ̆w˧˨
đối đỉnh	doj˦˥din˨˩˦
đối địch	doj˦˥dit˨˩˨
đối ẩm	doj˦˥ɤ̆m˨˩˦
đối ứng	doj˦˥ɯŋ˦˥
đốm	dom˦˥
đốm lửa	dom˦˥lɯə˨˩˦
đốm mắt	dom˦˥măk˦˥
đốm nâu	dom˦˥nɤ̆w˧˧
đốm trán	dom˦˥ʈaŋ˦˥
đốm vằn	dom˦˥jăŋ˧˨
đốm xuất huyết	dom˦˥swɤ̆k˦˥hwiək˦˥
đốn	doŋ͡m˦˥
đốn kiếp	doŋ͡m˦˥kip˦˥
đốn mạt	doŋ͡m˦˥mat˨˩˨
đốn đời	doŋ͡m˦˥dɤj˧˨
đốn đời; đốn kiếp;	doŋ͡m˦˥dɤj˧˨doŋ͡m˦˥kip˦˥
đống	doŋ͡m˦˥
đốp	dop˦˥
đốp chát	dop˦˥cat˦˥
đốt	dok͡p˦˥
đốt cháy	dok͡p˦˥căj˦˥
đốt cháy giai đoạn	dok͡p˦˥căj˦˥jaj˧˧dwaŋ˨˩˨
đốt mã	dok͡p˦˥ma˨˩˦
đốt ngón tay	dok͡p˦˥ŋɔŋ͡m˦˥tăj˧˧
đốt phá	dok͡p˦˥fa˦˥
đốt pháo	dok͡p˦˥faw˦˥
đốt rẫy	dok͡p˦˥ʐɤ̆j˨˩˦
đốt sống	dok͡p˦˥ʂoŋ͡m˦˥
đốt sống trục	dok͡p˦˥ʂoŋ͡m˦˥ʈuk͡p˨˩˨
đốt sống đội	dok͡p˦˥ʂoŋ͡m˦˥doj˨˩˨
đốt tay	dok͡p˦˥tăj˧˧
đốt vía	dok͡p˦˥jiə˦˥
đốt xương	dok͡p˦˥sɯəŋ˧˧
đốt đèn	dok͡p˦˥dɛŋ˧˨
đốt-xi-ê	dok͡p˦˥-si˧˧-e˧˧
đồ	do˧˨
đồ biếu	do˧˨biəw˦˥
đồ biểu	do˧˨biəw˨˩˦
đồ bạc	do˧˨bak˨˩˨
đồ bản	do˧˨baŋ˨˩˦
đồ bỏ	do˧˨bɔ˨˩˦
đồ chó	do˧˨cɔ˦˥
đồ chơi	do˧˨cɤj˧˧
đồ chừng	do˧˨cɯŋ˧˨
đồ cúng	do˧˨kuŋ͡m˦˥
đồ cổ	do˧˨ko˨˩˦
đồ da	do˧˨ja˧˧
đồ dùng	do˧˨juŋ͡m˧˨
đồ dệt	do˧˨jet˨˩˨
đồ giả	do˧˨ja˨˩˦
đồ giải	do˧˨jaj˨˩˦
đồ gốm	do˧˨ɣom˦˥
đồ hoạ	do˧˨hwa˨˩˨
đồ hàng	do˧˨haŋ˧˨
đồ họa	do˧˨hwa˨˩˨
đồ họa công nghiệp	do˧˨hwa˨˩˨koŋ͡m˧˧ŋip˨˩˨
đồ hồi	do˧˨hoj˧˨
đồ hộp	do˧˨hop˨˩˨
đồ lạc-xon	do˧˨lak˨˩˨-sɔŋ͡m˧˧
đồ lề	do˧˨le˧˨
đồ lễ	do˧˨le˨˩˦
đồ mi	do˧˨mi˧˧
đồ mã	do˧˨ma˨˩˦
đồ mưu	do˧˨mɯw˧˧
đồ mưu lập kế	do˧˨mɯw˧˧lɤ̆p˨˩˨ke˦˥
đồ mắc dịch	do˧˨măk˦˥jit˨˩˨
đồ mộc	do˧˨mok͡p˨˩˨
đồ mừng	do˧˨mɯŋ˧˨
đồ nghề	do˧˨ŋe˧˨
đồ nghệ	do˧˨ŋe˨˩˨
đồ ngốc	do˧˨ŋok͡p˦˥
đồ nho	do˧˨ɲɔ˧˧
đồ nhắm	do˧˨ɲăm˦˥
đồ quỷ	do˧˨wi˨˩˦
đồ rau	do˧˨ʐăw˧˧
đồ rét	do˧˨ʐɛt˦˥
đồ sắt	do˧˨ʂăk˦˥
đồ sộ	do˧˨ʂo˨˩˨
đồ sứ	do˧˨ʂɯ˦˥
đồ tang	do˧˨taŋ˧˧
đồ thán	do˧˨tʰaŋ˦˥
đồ thư	do˧˨tʰɯ˧˧
đồ thư quán	do˧˨tʰɯ˧˧waŋ˦˥
đồ thị	do˧˨tʰi˨˩˨
đồ thờ	do˧˨tʰɤ˧˨
đồ thức	do˧˨tʰɯk˦˥
đồ thừa	do˧˨tʰɯə˧˨
đồ tế nhuyễn	do˧˨te˦˥ɲwiəŋ˨˩˦
đồ tể	do˧˨te˨˩˦
đồ tể đánh nhau nong thịt	do˧˨te˨˩˦dan˦˥ɲăw˧˧nɔŋ͡m˧˧tʰit˨˩˨
đồ tồi	do˧˨toj˧˨
đồ uống	do˧˨uəŋ˦˥
đồ vật	do˧˨jɤ̆k˨˩˨
đồ xào	do˧˨saw˧˨
đồ xôi	do˧˨soj˧˧
đồ án	do˧˨aŋ˦˥
đồ án thiết kế	do˧˨aŋ˦˥tʰiək˦˥ke˦˥
đồ án tốt nghiệp	do˧˨aŋ˦˥tok͡p˦˥ŋip˨˩˨
đồ ăn	do˧˨ăŋ˧˧
đồ ăn thức uống	do˧˨ăŋ˧˧tʰɯk˦˥uəŋ˦˥
đồ ăn thức đựng	do˧˨ăŋ˧˧tʰɯk˦˥dɯŋ˨˩˨
đồ đoàn	do˧˨dwaŋ˧˨
đồ đá	do˧˨da˦˥
đồ đá cũ	do˧˨da˦˥ku˨˩˦
đồ đá mới	do˧˨da˦˥mɤj˦˥
đồ đĩ	do˧˨di˨˩˦
đồ đạc	do˧˨dak˨˩˨
đồ đảng	do˧˨daŋ˨˩˦
đồ đểu	do˧˨dɛu˨˩˦
đồ đệ	do˧˨de˨˩˨
đồ đồng	do˧˨doŋ͡m˧˨
đồ đồng thau	do˧˨doŋ͡m˧˨tʰăw˧˧
đồi	doj˧˨
đồi bại	doj˧˨baj˨˩˨
đồi mồi	doj˧˨moj˧˨
đồi mồi dứa	doj˧˨moj˧˨jɯə˦˥
đồi não	doj˧˨naw˨˩˦
đồi núi	doj˧˨nuj˦˥
đồi phong bại tục	doj˧˨fɔŋ͡m˧˧baj˨˩˨tuk͡p˨˩˨
đồi thị	doj˧˨tʰi˨˩˨
đồi truỵ	doj˧˨ʈwi˨˩˨
đồi trọc	doj˧˨ʈɔk͡p˨˩˨
đồi trụy	doj˧˨ʈuj˨˩˨
đồi tệ	doj˧˨te˨˩˨
đồm độp	dom˧˨dop˨˩˨
đồn	doŋ͡m˧˨
đồn bót	doŋ͡m˧˨bɔk͡p˦˥
đồn bốt	doŋ͡m˧˨bok͡p˦˥
đồn luỹ	doŋ͡m˧˨lwi˨˩˦
đồn lũy	doŋ͡m˧˨luj˨˩˦
đồn thú	doŋ͡m˧˨tʰu˦˥
đồn thổi	doŋ͡m˧˨tʰoj˨˩˦
đồn trú	doŋ͡m˧˨ʈu˦˥
đồn trưởng	doŋ͡m˧˨ʈɯəŋ˨˩˦
đồn trại	doŋ͡m˧˨ʈaj˨˩˨
đồn điền	doŋ͡m˧˨diəŋ˧˨
đồn điền sứ	doŋ͡m˧˨diəŋ˧˨ʂɯ˦˥
đồn đãi	doŋ͡m˧˨daj˨˩˦
đồn đại	doŋ͡m˧˨daj˨˩˨
đồn đột	doŋ͡m˧˨dok͡p˨˩˨
đồn ải	doŋ͡m˧˨aj˨˩˦
đồng	doŋ͡m˧˨
đồng bang	doŋ͡m˧˨baŋ˧˧
đồng biến	doŋ͡m˧˨biəŋ˦˥
đồng bàn	doŋ͡m˧˨baŋ˧˨
đồng bào	doŋ͡m˧˨baw˧˨
đồng bóng	doŋ͡m˧˨bɔŋ͡m˦˥
đồng bạc	doŋ͡m˧˨bak˨˩˨
đồng bạch	doŋ͡m˧˨bat˨˩˨
đồng bạn	doŋ͡m˧˨baŋ˨˩˨
đồng bảng	doŋ͡m˧˨baŋ˨˩˦
đồng bảo hiểm	doŋ͡m˧˨baw˨˩˦him˨˩˦
đồng bảo trợ	doŋ͡m˧˨baw˨˩˦ʈɤ˨˩˨
đồng bằng	doŋ͡m˧˨băŋ˧˨
đồng bệnh	doŋ͡m˧˨ben˨˩˨
đồng bệnh tương liên (lân)	doŋ͡m˧˨ben˨˩˨tɯəŋ˧˧liəŋ˧˧lɤ̆ŋ˧˧
đồng bệnh tương lân	doŋ͡m˧˨ben˨˩˨tɯəŋ˧˧lɤ̆ŋ˧˧
đồng bọn	doŋ͡m˧˨bɔŋ͡m˨˩˨
đồng bối	doŋ͡m˧˨boj˦˥
đồng bộ	doŋ͡m˧˨bo˨˩˨
đồng bộ hoá	doŋ͡m˧˨bo˨˩˨hwa˦˥
đồng ca	doŋ͡m˧˨ka˧˧
đồng cam	doŋ͡m˧˨kam˧˧
đồng cam cộng khổ	doŋ͡m˧˨kam˧˧koŋ͡m˨˩˨xo˨˩˦
đồng canh	doŋ͡m˧˨kan˧˧
đồng chiêm	doŋ͡m˧˨cim˧˧
đồng chu	doŋ͡m˧˨cu˧˧
đồng chua	doŋ͡m˧˨cuə˧˧
đồng chua nước mặn	doŋ͡m˧˨cuə˧˧nɯək˦˥măŋ˨˩˨
đồng chí	doŋ͡m˧˨ci˦˥
đồng chấn	doŋ͡m˧˨cɤ̆ŋ˦˥
đồng chất	doŋ͡m˧˨cɤ̆k˦˥
đồng chủ tịch	doŋ͡m˧˨cu˨˩˦tit˨˩˨
đồng chủng	doŋ͡m˧˨cuŋ͡m˨˩˦
đồng cái	doŋ͡m˧˨kaj˦˥
đồng cân	doŋ͡m˧˨kɤ̆ŋ˧˧
đồng cân đồng lượng	doŋ͡m˧˨kɤ̆ŋ˧˧doŋ͡m˧˨lɯəŋ˨˩˨
đồng cân đồng lạng	doŋ͡m˧˨kɤ̆ŋ˧˧doŋ͡m˧˨laŋ˨˩˨
đồng cô	doŋ͡m˧˨ko˧˧
đồng căn	doŋ͡m˧˨kăŋ˧˧
đồng cư	doŋ͡m˧˨kɯ˧˧
đồng cảm	doŋ͡m˧˨kam˨˩˦
đồng cấp	doŋ͡m˧˨kɤ̆p˦˥
đồng cấu	doŋ͡m˧˨kɤ̆w˦˥
đồng cậu	doŋ͡m˧˨kɤ̆w˨˩˨
đồng cỏ	doŋ͡m˧˨kɔ˨˩˦
đồng cốt	doŋ͡m˧˨kok͡p˦˥
đồng cừu	doŋ͡m˧˨kɯw˧˨
đồng dao	doŋ͡m˧˨jaw˧˧
đồng diễn	doŋ͡m˧˨jiəŋ˨˩˦
đồng diễn thể dục	doŋ͡m˧˨jiəŋ˨˩˦tʰe˨˩˦juk͡p˨˩˨
đồng diện bất đồng tâm	doŋ͡m˧˨jiəŋ˨˩˨bɤ̆k˦˥doŋ͡m˧˨tɤ̆m˧˧
đồng dân	doŋ͡m˧˨jɤ̆ŋ˧˧
đồng dạng	doŋ͡m˧˨jaŋ˨˩˨
đồng giá	doŋ͡m˧˨ja˦˥
đồng giám đốc	doŋ͡m˧˨jam˦˥dok͡p˦˥
đồng hao	doŋ͡m˧˨haw˧˧
đồng hoá	doŋ͡m˧˨hwa˦˥
đồng hun	doŋ͡m˧˨huŋ͡m˧˧
đồng huyết	doŋ͡m˧˨hwiək˦˥
đồng hành	doŋ͡m˧˨han˧˨
đồng hóa	doŋ͡m˧˨hwa˦˥
đồng hưu	doŋ͡m˧˨hɯw˧˧
đồng hương	doŋ͡m˧˨hɯəŋ˧˧
đồng hạng	doŋ͡m˧˨haŋ˨˩˨
đồng học	doŋ͡m˧˨hɔk͡p˨˩˨
đồng hồ	doŋ͡m˧˨ho˧˨
đồng hồ báo thức	doŋ͡m˧˨ho˧˨baw˦˥tʰɯk˦˥
đồng hồ bấm giây	doŋ͡m˧˨ho˧˨bɤ̆m˦˥jɤ̆j˧˧
đồng hồ bấm giờ	doŋ͡m˧˨ho˧˨bɤ̆m˦˥jɤ˧˨
đồng hồ bỏ túi	doŋ͡m˧˨ho˧˨bɔ˨˩˦tuj˦˥
đồng hồ chẩm cầm	doŋ͡m˧˨ho˧˨cɤ̆m˨˩˦kɤ̆m˧˨
đồng hồ mặt trời	doŋ͡m˧˨ho˧˨măk˨˩˨ʈɤj˧˨
đồng hồ nguyên tử	doŋ͡m˧˨ho˧˨ŋwiəŋ˧˧tɯ˨˩˦
đồng hồ quả lắc	doŋ͡m˧˨ho˧˨wa˨˩˦lăk˦˥
đồng hồ quả quít	doŋ͡m˧˨ho˧˨wa˨˩˦wit˦˥
đồng hồ đeo tay	doŋ͡m˧˨ho˧˨deo˧˧tăj˧˧
đồng hồ đánh thức	doŋ͡m˧˨ho˧˨dan˦˥tʰɯk˦˥
đồng hội đồng thuyền	doŋ͡m˧˨hoj˨˩˨doŋ͡m˧˨tʰwiəŋ˧˨
đồng khoa	doŋ͡m˧˨xwa˧˧
đồng khoá	doŋ͡m˧˨xwa˦˥
đồng khâm	doŋ͡m˧˨xɤ̆m˧˧
đồng khí tương cầu	doŋ͡m˧˨xi˦˥tɯəŋ˧˧kɤ̆w˧˨
đồng khóa	doŋ͡m˧˨xwa˦˥
đồng khô cỏ cháy	doŋ͡m˧˨xo˧˧kɔ˨˩˦căj˦˥
đồng không	doŋ͡m˧˨xoŋ͡m˧˧
đồng không mông quạnh	doŋ͡m˧˨xoŋ͡m˧˧moŋ͡m˧˧wan˨˩˨
đồng khởi	doŋ͡m˧˨xɤj˨˩˦
đồng kẽm	doŋ͡m˧˨kɛm˨˩˦
đồng kềnh	doŋ͡m˧˨ken˧˨
đồng la	doŋ͡m˧˨la˧˧
đồng liêu	doŋ͡m˧˨liəw˧˧
đồng loã	doŋ͡m˧˨lwa˨˩˦
đồng loại	doŋ͡m˧˨lwaj˨˩˨
đồng loạt	doŋ͡m˧˨lwat˨˩˨
đồng lòng	doŋ͡m˧˨lɔŋ͡m˧˨
đồng lõa	doŋ͡m˧˨lwa˨˩˦
đồng lương	doŋ͡m˧˨lɯəŋ˧˧
đồng lần	doŋ͡m˧˨lɤ̆ŋ˧˨
đồng lầy	doŋ͡m˧˨lɤ̆j˧˨
đồng lực đồng tâm	doŋ͡m˧˨lɯk˨˩˨doŋ͡m˧˨tɤ̆m˧˧
đồng minh	doŋ͡m˧˨min˧˧
đồng màu	doŋ͡m˧˨măw˧˨
đồng môn	doŋ͡m˧˨moŋ͡m˧˧
đồng mưu	doŋ͡m˧˨mɯw˧˧
