a	ɒ
remeték	rɛmɛteːk
remilitarizál	rɛmilitɒrizaːl
remél	rɛmeːl
remélem	rɛmeːlɛm
remélhet	rɛmeːlɦɛt
remélhető	rɛmeːlɦɛtøː
remélhetőleg	rɛmeːlɦɛtøːlɛɡ
reméli	rɛmeːli
reméljük	rɛmeːjːyk
remélted	rɛmeːltɛd
reméltétek	rɛmeːlteːtɛk
remény	rɛmeːɲ
reménye	rɛmeːɲɛ
remények	rɛmeːɲɛk
reményeket	rɛmeːɲɛkɛt
reményt	rɛmeːɲt
reménytelen	rɛmeːɲtɛlɛn
reményteljes	rɛmeːɲtɛjːɛʃ
reményteljesebb	rɛmeːɲtɛjːɛʃɛbː
reményében	rɛmeːɲeːbɛn
renault	rønoː
rend	rɛnd
rendbe	rɛndbɛ
rendben	rɛndbɛn
rendek	rɛndɛk
rendel	rɛndɛl
rendelet	rɛndɛlɛt
rendeletben	rɛndɛlɛdbɛn
rendelete	rɛndɛlɛtɛ
rendeletek	rɛndɛlɛtɛk
rendeletet	rɛndɛlɛtɛt
rendelkezik	rɛndɛlkɛzik
rendelkeznek	rɛndɛlkɛznɛk
rendelkezés	rɛndɛlkɛzeːʃ
rendelkezése	rɛndɛlkɛzeːʃɛ
rendelkezésed	rɛndɛlkɛzeːʃɛd
rendelkezései	rɛndɛlkɛzeːʃɛji
rendelkezéseid	rɛndɛlkɛzeːʃɛjid
rendelkezéseik	rɛndɛlkɛzeːʃɛjik
rendelkezéseim	rɛndɛlkɛzeːʃɛjim
rendelkezéseink	rɛndɛlkɛzeːʃɛjiŋk
rendelkezéseit	rɛndɛlkɛzeːʃɛjit
rendelkezéseitek	rɛndɛlkɛzeːʃɛjitɛk
rendelkezések	rɛndɛlkɛzeːʃɛk
rendelkezéseken	rɛndɛlkɛzeːʃɛkɛn
rendelkezéseket	rɛndɛlkɛzeːʃɛkɛt
rendelkezésekre	rɛndɛlkɛzeːʃɛkrɛ
rendelkezésem	rɛndɛlkɛzeːʃɛm
rendelkezésen	rɛndɛlkɛzeːʃɛn
rendelkezésetek	rɛndɛlkɛzeːʃɛtɛk
rendelkezésre	rɛndɛlkɛzeːʃrɛ
rendelkezést	rɛndɛlkɛzeːʃt
rendelkezésére	rɛndɛlkɛzeːʃeːrɛ
rendelkezésük	rɛndɛlkɛzeːʃyk
rendelkezésünk	rɛndɛlkɛzeːʃyŋk
rendelkezésünkre	rɛndɛlkɛzeːʃyŋkrɛ
rendelkező	rɛndɛlkɛzøː
rendelkezők	rɛndɛlkɛzøːk
rendellenes	rɛndɛlːɛnɛʃ
rendellenesség	rɛndɛlːɛnɛʃːeːɡ
rendellenességek	rɛndɛlːɛnɛʃːeːɡɛk
rendelni	rɛndɛlni
rendeltetés	rɛndɛltɛteːʃ
rendelvény	rɛndɛlveːɲ
rendelvények	rɛndɛlveːɲɛk
rendelés	rɛndɛleːʃ
rendelések	rɛndɛleːʃɛk
rendelőintézet	rɛndɛløːjinteːzɛt
rendelőintézetek	rɛndɛløːjinteːzɛtɛk
rendelőintézeti	rɛndɛløːjinteːzɛti
rendes	rɛndɛʃ
rendesen	rɛndɛʃɛn
rendet	rɛndɛt
rendetlen	rɛndɛtlɛn
rendetlenkedik	rɛndɛtlɛŋkɛdik
rendetlenség	rɛndɛtlɛnʃeːɡ
rendez	rɛndɛz
rendezett	rɛndɛzɛtː
rendezettebb	rɛndɛzɛtːɛbː
rendezni	rɛndɛzni
rendezvény	rɛndɛzveːɲ
rendezvénye	rɛndɛzveːɲɛ
rendezvények	rɛndɛzveːɲɛk
rendezvényeken	rɛndɛzveːɲɛkɛn
rendezvényeket	rɛndɛzveːɲɛkɛt
rendezvényen	rɛndɛzveːɲɛn
rendezvényre	rɛndɛzveːɲrɛ
rendezvénysorozat	rɛndɛzveːɲʃorozɒt
rendezvényt	rɛndɛzveːɲt
rendezvényévé	rɛndɛzveːɲeːveː
rendezés	rɛndɛzeːʃ
rendezése	rɛndɛzeːʃɛ
rendezései	rɛndɛzeːʃɛji
rendezésében	rɛndɛzeːʃeːbɛn
rendező	rɛndɛzøː
rendezői	rɛndɛzøːji
rendezője	rɛndɛzøːjɛ
rendezők	rɛndɛzøːk
rendezőket	rɛndɛzøːkɛt
rendezőt	rɛndɛzøːt
rendhagyó	rɛnthɒɟoː
rendi	rɛndi
rendje	rɛɲɟɛ
rendjéről	rɛɲɟeːrøːl
rendjét	rɛɲɟeːt
rendkívül	rɛntkiːvyl
rendkívüli	rɛntkiːvyli
rendre	rɛndrɛ
rendszer	rɛntsɛr
rendszer	rɛnt͡sɛr
rendszerbe	rɛnt͡sɛrbɛ
rendszerben	rɛntsɛrbɛn
rendszere	rɛntsɛrɛ
rendszerek	rɛntsɛrɛk
rendszerekbe	rɛntsɛrɛɡbɛ
rendszerekben	rɛntsɛrɛɡbɛn
rendszereken	rɛntsɛrɛkɛn
rendszereket	rɛntsɛrɛkɛt
rendszerekkel	rɛntsɛrɛkːɛl
rendszereknek	rɛntsɛrɛknɛk
rendszereknél	rɛntsɛrɛkneːl
rendszerekre	rɛntsɛrɛkrɛ
rendszerekről	rɛntsɛrɛkrøːl
rendszerektől	rɛntsɛrɛktøːl
rendszeren	rɛntsɛrɛn
rendszeres	rɛntsɛrɛʃ
rendszeresebben	rɛntsɛrɛʃɛbːɛn
rendszeresen	rɛntsɛrɛʃɛn
rendszeresség	rɛntsɛrɛʃːeːɡ
rendszergazda	rɛntsɛrɡɒzdɒ
rendszerhez	rɛntsɛrɦɛz
rendszerint	rɛnt͡sɛrint
rendszermag	rɛntsɛrmɒɡ
rendszermagok	rɛntsɛrmɒɡok
rendszernek	rɛntsɛrnɛk
rendszernél	rɛntsɛrneːl
rendszerre	rɛntsɛrːɛ
rendszerrel	rɛntsɛrːɛl
rendszerről	rɛntsɛrːøːl
rendszert	rɛntsɛrt
rendszertan	rɛntsɛrtɒn
rendszertanok	rɛntsɛrtɒnok
rendszertelen	rɛntsɛrtɛlɛn
rendszertelenül	rɛnt͡sɛrtɛlɛnyl
rendszertálca	rɛntsɛrtaːlt͡sɒ
rendszertálcán	rɛntsɛrtaːlt͡saːn
rendszertől	rɛntsɛrtøːl
rendszerváltozás	rɛntsɛrvaːltozaːʃ
rendszerváltás	rɛntsɛrvaːltaːʃ
rendszerváltások	rɛntsɛrvaːltaːʃok
rendszerében	rɛntsɛreːbɛn
rendszerét	rɛntsɛreːt
rendszám	rɛntsaːm
rendszámtábla	rɛntsaːmtaːblɒ
rendületlen	rɛndylɛtlɛn
rendületlenebbül	rɛndylɛtlɛnɛbːyl
rendületlenül	rɛndylɛtlɛnyl
rendőr	rɛndøːr
rendőrautók	rɛndøːrɒutoːk
rendőri	rɛndøːri
rendőrkapitányság	rɛndøːrkɒpitaːɲʃaːɡ
rendőrkocsi	rɛndøːrkot͡ʃi
rendőrkocsik	rɛndøːrkot͡ʃik
rendőrkutya	rɛndøːrkucɒ
rendőrnő	rɛndøːrnøː
rendőrnők	rɛndøːrnøːk
rendőrség	rɛndøːrʃeːɡ
rendőrségi	rɛndøːrʃeːɡi
rendőrök	rɛndøːrøk
rendőröket	rɛndøːrøkɛt
reneszánsz	rɛnɛsaːns
reng	rɛŋɡ
rengeteg	rɛŋɡɛtɛɡ
rengetegek	rɛŋɡɛtɛɡɛk
rengeteget	rɛŋɡɛtɛɡɛt
rengj	rɛŋɡʝ
rengsz	rɛŋks
rengés	rɛŋɡeːʃ
rengések	rɛŋɡeːʃɛk
renovál	rɛnovaːl
renoválás	rɛnovaːlaːʃ
renáta	rɛnaːtɒ
reorganizál	rɛorɡɒnizaːl
reparál	rɛpɒraːl
repatriál	rɛpɒtrijaːl
repce	rɛpt͡sɛ
repcék	rɛpt͡seːk
repedés	rɛpɛdeːʃ
repedések	rɛpɛdeːʃɛk
repertoár	rɛpɛrtoaːr
repeta	rɛpɛtɒ
repetál	rɛpɛtaːl
repked	rɛpkɛd
repkény	rɛpkeːɲ
reprezentatív	rɛprɛzɛntɒtiːv
reprezentál	rɛprɛzɛntaːl
reprivatizál	rɛprivɒtizaːl
reprodukció	rɛprodukt͡sijoː
reprodukciók	rɛprodukt͡sijoːk
reprodukál	rɛprodukaːl
repterek	rɛptɛrɛk
reptér	rɛpteːr
repül	rɛpyl
repülhet	rɛpylɦɛt
repülnek	rɛpylnɛk
repültök	rɛpyltøk
repülés	rɛpyleːʃ
repülések	rɛpyleːʃɛk
repülünk	rɛpylyŋk
repülő	rɛpyløː
repülőgép	rɛpyløːɡeːp
repülőgépek	rɛpyløːɡeːpɛk
repülőgépeken	rɛpyløːɡeːpɛkɛn
repülőgépeket	rɛpyløːɡeːpɛkɛt
repülőgépen	rɛpyløːɡeːpɛn
repülőgépgyár	rɛpyløːɡeːbɟaːr
repülőgépgyárak	rɛpyløːɡeːbɟaːrɒk
repülőjegy	rɛpyløːjɛɟ
repülők	rɛpyløːk
repülőszőnyeg	rɛpyløːsøːɲɛɡ
repülőterek	rɛpyløːtɛrɛk
repülőtereket	rɛpyløːtɛrɛkɛt
repülőtér	rɛpyløːteːr
repülőtéren	rɛpyløːteːrɛn
repülőtérre	rɛpyløːteːrːɛ
repülővel	rɛpyløːvɛl
repülőút	rɛpyløːuːt
rest	rɛʃt
restaurálás	rɛʃtɒuraːlaːʃ
restaurálások	rɛʃtɒuraːlaːʃok
restaurátor	rɛʃtɒuraːtor
restaurátorok	rɛʃtɒuraːtorok
restell	rɛʃtɛlː
reszel	rɛsɛl
reszelék	rɛsɛleːk
reszelékek	rɛsɛleːkɛk
reszelő	rɛsɛløː
reszelők	rɛsɛløːk
reszket	rɛskɛt
reszketés	rɛskɛteːʃ
reszkíroz	rɛskiːroz
reszort	rɛsort
retek	rɛtɛk
retesz	rɛtɛs
reteszek	rɛtɛsɛk
retina	rɛtinɒ
retirál	rɛtiraːl
retke	rɛtkɛ
retrográd	rɛtroɡraːd
retrospektív	rɛtroʃpɛktiːv
retteg	rɛtːɛɡ
rettegett	rɛtːɛɡɛtː
rettegettebb	rɛtːɛɡɛtːɛbː
rettegnek	rɛtːɛɡnɛk
retten	rɛtːɛn
rettenet	rɛtːɛnɛt
rettenetek	rɛtːɛnɛtɛk
rettenetes	rɛtːɛnɛtɛʃ
rettenetesen	rɛtːɛnɛtɛʃɛn
retusál	rɛtuʃaːl
retyerutya	rɛcɛrucɒ
retyerutyák	rɛcɛrucaːk
reverenda	rɛvɛrɛndɒ
reverendák	rɛvɛrɛndaːk
revideál	rɛvidɛaːl
revizionista	rɛvizijoniʃtɒ
revolver	rɛvolvɛr
revolverek	rɛvolvɛrɛk
rezeg	rɛzɛɡ
rezek	rɛzɛk
rezervál	rɛzɛrvaːl
rezervátum	rɛzɛrvaːtum
rezervátumok	rɛzɛrvaːtumok
rezesbanda	rɛzɛʒbɒndɒ
rezet	rɛzɛt
rezg	rɛzɡ
rezisztencia	rɛzistɛnt͡sijɒ
rezisztenciák	rɛzistɛnt͡sijaːk
rezonancia	rɛzonɒnt͡sijɒ
rezonanciák	rɛzonɒnt͡sijaːk
rezsi	rɛʒi
rezsim	rɛʒim
rezsimek	rɛʒimɛk
rezső	rɛʒøː
rezümé	rɛzymeː
rezümék	rɛzymeːk
reá	rɛaː
reád	rɛaːd
reája	rɛaːjɒ
reájuk	rɛaːjuk
reális	rɛaːliʃ
reálisak	rɛaːliʃɒk
reálisat	rɛaːliʃɒt
reálist	rɛaːliʃt
reám	rɛaːm
reánk	rɛaːŋk
reátok	rɛaːtok
rhône	roːn
riadó	rijɒdoː
riadók	rijɒdoːk
rianás	rijɒnaːʃ
riaszt	rijɒst
riasztás	rijɒstaːʃ
riasztások	rijɒstaːʃok
riasztó	rijɒstoː
riasztóbb	rijɒstoːbː
ribanc	ribɒnt͡s
ribizli	ribizli
ribizlik	ribizlik
riboszóma	ribosoːmɒ
richárd	riɦaːrd
ricinus	rit͡sinuʃ
ricinusolaj	rit͡sinuʃolɒj
rideg	ridɛɡ
ridegebb	ridɛɡɛbː
riga	riɡɒ
rigai	riɡɒji
rigó	riɡoː
rigók	riɡoːk
rijád	rijaːd
riksa	rikʃɒ
riksák	rikʃaːk
rima	rimɒ
ring	riŋɡ
ringat	riŋɡɒt
ringatja	riŋɡɒcːɒ
ringatott	riŋɡɒtotː
ringj	riŋɡʝ
ringsz	riŋks
rinocérosz	rinot͡seːros
rinocéroszok	rinot͡seːrosok
riport	riport
riporter	riportɛr
riporterei	riportɛrɛji
riporterek	riportɛrɛk
riportereket	riportɛrɛkɛt
riporternő	riportɛrnøː
riporternők	riportɛrnøːk
riportert	riportɛrt
rita	ritɒ
ritka	ritkɒ
ritkaság	ritkɒʃaːɡ
ritkaságok	ritkɒʃaːɡok
ritkább	ritkaːbː
ritkábban	ritkaːbːɒn
ritkán	ritkaːn
ritmikus	ritmikuʃ
ritmikusabb	ritmikuʃɒbː
ritmus	ritmuʃ
ritmusok	ritmuʃok
rituális	rituaːliʃ
rituálisabban	rituaːliʃɒbːɒn
rituálisan	rituaːliʃɒn
rivalg	rivɒlɡ
rivalizál	rivɒlizaːl
rivalizálás	rivɒlizaːlaːʃ
rivális	rivaːliʃ
riválisok	rivaːliʃok
rizikó	rizikoː
rizs	riʒ
rizsek	riʒɛk
rizsföld	riʃføld
rizsföldek	riʃføldɛk
rizsliszt	riʒlist
rizsma	riʒmɒ
rizsmák	riʒmaːk
rizspehely	riʃpɛhɛj
rizspelyhek	riʃpɛjhɛk
rizst	riʃt
rizstermelés	riʃtɛrmɛleːʃ
rizzsel	riʒːɛl
rizzsé	riʒːeː
rizóma	rizoːmɒ
rizómák	rizoːmaːk
robban	robːɒn
robbant	robːɒnt
robbantott	robːɒntotː
robbanás	robːɒnaːʃ
robbanások	robːɒnaːʃok
robbanékony	robːɒneːkoɲ
robbanó	robːɒnoː
robbanóanyag	robːɒnoːɒɲɒɡ
robi	robi
robog	roboɡ
roborál	roboraːl
robot	robot
robotok	robotok
robotol	robotol
robotos	robotoʃ
robotosok	robotoʃok
rock	rokː
rockegyüttes	rokːɛɟːytːɛʃ
rodosz	rodos
rogy	roɟ
rogyj	roɟː
rogysz	rocs
rohad	roɦɒd
rohadt	roɦɒtː
rohadék	roɦɒdeːk
roham	roɦɒm
rohamok	roɦɒmok
rohamosan	roɦɒmoʃɒn
rohan	roɦɒn
rohanj	roɦɒɲː
rohanni	roɦɒnːi
rohannia	roɦɒnːijɒ
rohannod	roɦɒnːod
rohannom	roɦɒnːom
rohannunk	roɦɒnːuŋk
rohansz	roɦɒns
rokka	rokːɒ
rokkák	rokːaːk
rokon	rokon
rokona	rokonɒ
rokonai	rokonɒji
rokonaid	rokonɒjid
rokonaik	rokonɒjik
rokonaim	rokonɒjim
rokonaink	rokonɒjiŋk
rokonaitok	rokonɒjitok
rokonod	rokonod
rokonok	rokonok
rokonom	rokonom
rokonotok	rokonotok
rokonszenv	rokonsɛɱv
rokonszenves	rokonsɛɱvɛʃ
rokonság	rokonʃaːɡ
rokonságok	rokonʃaːɡok
rokonuk	rokonuk
rokonunk	rokonuŋk
roland	rolɒnd
roli	roli
roller	rolːɛr
rollered	rolːɛrɛd
rollfilm	rolfilm
rom	rom
roma	romɒ
romanticizmus	romɒntit͡sizmuʃ
romantika	romɒntikɒ
romantikus	romɒntikuʃ
romantikusabb	romɒntikuʃɒbː
romantikusok	romɒntikuʃok
rombol	rombol
rombolás	rombolaːʃ
rombusz	rombus
rombuszok	rombusok
romkocsma	romkot͡ʃmɒ
romlik	romlik
romlott	romlotː
romlottabb	romlotːɒbː
romlékony	romleːkoɲ
romok	romok
romos	romoʃ
romosabb	romoʃɒbː
román	romaːn
románc	romaːnt͡s
románia	romaːnijɒ
romániai	romaːnijɒji
romániában	romaːnijaːbɒn
románok	romaːnok
roncs	ront͡ʃ
roncsok	ront͡ʃok
ronda	rondɒ
rongy	roɲɟ
rongybaba	roɲɟbɒbɒ
rongyok	roɲɟok
rongyol	roɲɟol
rongyos	roɲɟoʃ
rongyosabb	roɲɟoʃɒbː
rongyrázás	roɲɟraːzaːʃ
rongyszedő	roɲcsɛdøː
ront	ront
ronthat	ronthɒt
ronts	ront͡ʃ
rontsd	rond͡ʒd
rop	rop
rophat	rophɒt
ropog	ropoɡ
roskatag	roʃkɒtɒɡ
rossz	rosː
rosszabb	rosːɒbː
rosszabbik	rosːɒbːik
rosszak	rosːɒk
rosszat	rosːɒt
rosszban	rozbɒn
rosszindulat	rosːindulɒt
rosszindulatú	rosːindulɒtuː
rosszkor	roskor
rosszul	rosːul
rost	roʃt
rosta	roʃtɒ
rostacsont	roʃtɒt͡ʃont
rostacsontok	roʃtɒt͡ʃontok
rosták	roʃtaːk
rotring	rotriŋɡ
rotterdamot	rotːɛrdɒmot
rovar	rovɒr
rovarcsípés	rovɒrt͡ʃiːpeːʃ
rovarcsípések	rovɒrt͡ʃiːpeːʃɛk
rovarok	rovɒrok
rovartan	rovɒrtɒn
rovat	rovɒt
rovatban	rovɒdbɒn
rovatok	rovɒtok
rovatunk	rovɒtuŋk
rovatunkban	rovɒtuŋɡbɒn
rovására	rovaːʃaːrɒ
rovó	rovoː
rozmaring	rozmɒriŋɡ
rozmaringok	rozmɒriŋɡok
rozmár	rozmaːr
rozmárok	rozmaːrok
rozoga	rozoɡɒ
rozs	roʒ
rozsda	roʒdɒ
rozsdabarna	roʒdɒbɒrnɒ
rozsdamentes	roʒdɒmɛntɛʃ
rozsdaszínű	roʒdɒsiːnyː
rozsdák	roʒdaːk
rozsdás	roʒdaːʃ
rozsdásabb	roʒdaːʃɒbː
rozsdásodik	roʒdaːʃodik
rozsdásodás	roʒdaːʃodaːʃ
rozsdásodások	roʒdaːʃodaːʃok
rozskenyér	roʃkɛɲeːr
rozsomák	roʒomaːk
rozzsal	roʒːɒl
rozzsá	roʒːaː
rozé	rozeː
rozébor	rozeːbor
rozéborok	rozeːborok
ruanda	ruɒndɒ
rubel	rubɛl
rubensi	rubɛnsi
rubik	rubik
rubin	rubin
rubinok	rubinok
rubídium	rubiːdijum
rubídiumok	rubiːdijumok
rudak	rudɒk
rudam	rudɒm
rudas	rudɒʃ
rudasok	rudɒʃok
rudat	rudɒt
rudolf	rudolf
rugalmas	ruɡɒlmɒʃ
rugalmasabb	ruɡɒlmɒʃɒbː
rugalmasan	ruɡɒlmɒʃɒn
rugany	ruɡɒɲ
rugó	ruɡoː
rugók	ruɡoːk
ruha	ruɦɒ
ruhatár	ruɦɒtaːr
ruhaujj	ruɦɒujː
ruhában	ruɦaːbɒn
ruhád	ruɦaːd
ruhái	ruɦaːji
ruháid	ruɦaːjid
ruháik	ruɦaːjik
ruháim	ruɦaːjim
ruháink	ruɦaːjiŋk
ruháitok	ruɦaːjitok
ruhája	ruɦaːjɒ
ruhájuk	ruɦaːjuk
ruhák	ruɦaːk
ruhákat	ruɦaːkɒt
ruhám	ruɦaːm
ruhánk	ruɦaːŋk
ruhástul	ruɦaːʃtul
ruhát	ruɦaːt
ruhátlan	ruɦaːtlɒn
ruhátok	ruɦaːtok
ruház	ruɦaːz
ruházat	ruɦaːzɒt
ruházatok	ruɦaːzɒtok
rulett	rulɛtː
rum	rum
rumba	rumbɒ
ruszki	ruski
rusztikus	rustikuʃ
rusztikusabb	rustikuʃɒbː
rut	rut
rutin	rutin
ruténium	ruteːnijum
rá	raː
ráad	raːɒd
ráadásul	raːɒdaːʃul
rába	raːbɒ
rábeszél	raːbɛseːl
rábukkan	raːbukːɒn
ráchel	raːɦɛl
ráció	raːt͡sijoː
rációk	raːt͡sijoːk
rács	raːt͡ʃ
rácsok	raːt͡ʃok
rácz	raːt͡s
rád	raːd
rádium	raːdijum
rádió	raːdijoː
rádióban	raːdijoːbɒn
rádiócsillagászat	raːdijoːt͡ʃilːɒɡaːsɒt
rádiók	raːdijoːk
rádióműsor	raːdijoːmyːʃor
rádióműsorok	raːdijoːmyːʃorok
rádióriporter	raːdijoːriportɛr
rádióriporterek	raːdijoːriportɛrɛk
rádiós	raːdijoːʃ
rádiót	raːdijoːt
rádiótelefon	raːdijoːtɛlɛfon
rádióüzenet	raːdijoːyzɛnɛt
rádióüzenetek	raːdijoːyzɛnɛtɛk
rádzsa	raːd͡ʒːɒ
rádzsput	raːt͡ʃput
rádzsputok	raːt͡ʃputok
rádzsák	raːd͡ʒaːk
rádöbben	raːdøbːɛn
ráf	raːf
rág	raːɡ
rágalmak	raːɡɒlmɒk
rágalmaz	raːɡɒlmɒz
rágalmazás	raːɡɒlmɒzaːʃ
rágalmazások	raːɡɒlmɒzaːʃok
rágalmazó	raːɡɒlmɒzoː
rágalmazók	raːɡɒlmɒzoːk
rágalom	raːɡɒlom
rágcsál	raːkt͡ʃaːl
rágcsáló	raːkt͡ʃaːloː
rágcsálók	raːkt͡ʃaːloːk
rághat	raːkhɒt
rágj	raːɡʝ
rágsz	raːks
rágó	raːɡoː
rágógumi	raːɡoːɡumi
rágós	raːɡoːʃ
rágósabb	raːɡoːʃɒbː
rája	raːjɒ
rájuk	raːjuk
rájába	raːjaːbɒ
ráják	raːjaːk
ráján	raːjaːn
rájára	raːjaːrɒ
ráját	raːjaːt
rájön	raːjøn
rájönnek	raːjønːɛk
rák	raːk
rákellenes	raːkɛlːɛnɛʃ
rákkeltő	raːkːɛltøː
rákkutatás	raːkːutɒtaːʃ
rákok	raːkok
rákos	raːkoʃ
ráktérítő	raːkteːriːtøː
rákóczi	raːkoːt͡si
rákóczival	raːkoːt͡sivɒl
ráküld	raːkyld
rám	raːm
rámosolyog	raːmoʃojoɡ
rámutat	raːmutɒt
ránc	raːnt͡s
ráncok	raːnt͡sok
ráncos	raːnt͡soʃ
ráng	raːŋɡ
rángj	raːŋɡʝ
rángsz	raːŋks
ráni	raːni
ránik	raːnik
ránk	raːŋk
ránt	raːnt
rántott	raːntotː
rántotta	raːntotːɒ
ránts	raːnt͡ʃ
rántsd	raːnd͡ʒd
ránézésre	raːneːzeːʃrɛ
ráspoly	raːʃpoj
ráspolyok	raːʃpojok
rászed	raːsɛd
ráta	raːtɒ
rátesz	raːtɛs
rátok	raːtok
rávesz	raːvɛs
rávág	raːvaːɡ
ráz	raːz
rázd	raːzd
rázhat	raːshɒt
rázom	raːzom
rázz	raːzː
rázza	raːzːɒ
rázás	raːzaːʃ
rázások	raːzaːʃok
ráér	raːjeːr
ré	reː
réce	reːt͡sɛ
récék	reːt͡seːk
rég	reːɡ
régebben	reːɡɛbːɛn
régebbi	reːɡɛbːi
régen	reːɡɛn
régens	reːɡɛnʃ
régi	reːɡi
régibb	reːɡibː
régiben	reːɡibɛn
régiek	reːɡijɛk
régieket	reːɡijɛkɛt
régies	reːɡijɛʃ
régimódi	reːɡimoːdi
régiség	reːɡiʃeːɡ
régiségek	reːɡiʃeːɡɛk
régit	reːɡit
régió	reːɡijoː
régiók	reːɡijoːk
régész	reːɡeːs
régészek	reːɡeːsɛk
régészet	reːɡeːsɛt
régészetek	reːɡeːsɛtɛk
régészeti	reːɡeːsɛti
régóta	reːɡoːtɒ
réka	reːkɒ
rém	reːm
rémbe	reːmbɛ
rémek	reːmɛk
rémeket	reːmɛkɛt
rémen	reːmɛn
rémes	reːmɛʃ
rémet	reːmɛt
rémig	reːmiɡ
rémissz	reːmisː
rémiszd	reːmizd
rémiszt	reːmist
rémisztő	reːmistøː
rémisztőbb	reːmistøːbː
rémmé	reːmːeː
rémtett	reːmtɛtː
rémtörténet	reːmtørteːnɛt
rémálom	reːmaːlom
rémül	reːmyl
rémület	reːmylɛt
rén	reːn
rénium	reːnijum
rénszarvas	reːnsɒrvɒʃ
rény	reːɲ
rények	reːɲɛk
répa	reːpɒ
répacukor	reːpɒt͡sukor
répák	reːpaːk
répán	reːpaːn
répára	reːpaːrɒ
répát	reːpaːt
rés	reːʃ
rések	reːʃɛk
résen	reːʃɛn
résszel	reːsːɛl
résszé	reːsːeː
rész	reːs
részbe	reːzbɛ
részben	reːzbɛn
részből	reːzbøːl
része	reːsɛ
részecske	reːsɛt͡ʃkɛ
részecskefizika	reːsɛt͡ʃkɛfizikɒ
részecskegyorsító	reːsɛt͡ʃkɛɟorʃiːtoː
részecskegyorsítók	reːsɛt͡ʃkɛɟorʃiːtoːk
részecskék	reːsɛt͡ʃkeːk
részed	reːsɛd
részedre	reːsɛdrɛ
részeg	reːsɛɡ
részegebb	reːsɛɡɛbː
részegedik	reːsɛɡɛdik
részeges	reːsɛɡɛʃ
részegesek	reːsɛɡɛʃɛk
részegszik	reːsɛksik
részegség	reːsɛkʃeːɡ
részegít	reːsɛɡiːt
részegítő	reːsɛɡiːtøː
részegítőbb	reːsɛɡiːtøːbː
részei	reːsɛji
részeid	reːsɛjid
részeik	reːsɛjik
részeim	reːsɛjim
részeink	reːsɛjiŋk
részeit	reːsɛjit
részeitek	reːsɛjitɛk
részek	reːsɛk
részekbe	reːsɛɡbɛ
részekben	reːsɛɡbɛn
részekből	reːsɛɡbøːl
részeken	reːsɛkɛn
részeket	reːsɛkɛt
részekhez	reːsɛkhɛz
részekig	reːsɛkiɡ
részekkel	reːsɛkːɛl
részekké	reːsɛkːeː
részekként	reːsɛkːeːnt
részeknek	reːsɛknɛk
részeknél	reːsɛkneːl
részekre	reːsɛkrɛ
részekről	reːsɛkrøːl
részektől	reːsɛktøːl
részekért	reːsɛkeːrt
részem	reːsɛm
részemre	reːsɛmrɛ
részemről	reːsɛmrøːl
részen	reːsɛn
részes	reːsɛʃ
részesedik	reːsɛʃɛdik
részesedés	reːsɛʃɛdeːʃ
részesedése	reːsɛʃɛdeːʃɛ
részesedések	reːsɛʃɛdeːʃɛk
részesedést	reːsɛʃɛdeːʃt
részesít	reːsɛʃiːt
részesül	reːsɛʃyl
részetek	reːsɛtɛk
részetekre	reːsɛtɛkrɛ
részhalmaz	reːshɒlmɒz
részhez	reːshɛz
részig	reːsiɡ
részint	reːsint
részként	reːskeːnt
részleg	reːslɛɡ
részlegek	reːslɛɡɛk
részleges	reːslɛɡɛʃ
részlet	reːslɛt
részlete	reːslɛtɛ
részletei	reːslɛtɛji
részleteit	reːslɛtɛjit
részletek	reːslɛtɛk
részleteket	reːslɛtɛkɛt
részletes	reːslɛtɛʃ
részletesebb	reːslɛtɛʃɛbː
részletesebben	reːslɛtɛʃɛbːɛn
részletesen	reːslɛtɛʃɛn
részletet	reːslɛtɛt
részletez	reːslɛtɛz
részletezte	reːslɛtɛstɛ
részletét	reːslɛteːt
részmunkaidős	reːsmuŋkɒjidøːʃ
résznek	reːsnɛk
résznél	reːsneːl
részre	reːsrɛ
részrehajló	reːsrɛɦɒjloː
részrehajlóbb	reːsrɛɦɒjloːbː
részről	reːsrøːl
részt	reːst
résztvevő	reːstvɛvøː
résztvevők	reːstvɛvøːk
résztől	reːstøːl
részvény	reːsveːɲ
részvények	reːsveːɲɛk
részvényes	reːsveːɲɛʃ
részvényesek	reːsveːɲɛʃɛk
részvénytársaság	reːsveːɲtaːrʃɒʃaːɡ
részvénytársaságok	reːsveːɲtaːrʃɒʃaːɡok
részvénytőzsde	reːsveːɲtøːʒdɛ
részvétel	reːsveːtɛl
részvétele	reːsveːtɛlɛ
részvételre	reːsveːtɛrːɛ
részvételt	reːsveːtɛlt
részvételét	reːsveːtɛleːt
részvételével	reːsveːtɛleːvɛl
részén	reːseːn
részére	reːseːrɛ
részért	reːseːrt
részét	reːseːt
részével	reːseːvɛl
részévé	reːseːveː
részéül	reːseːjyl
részük	reːsyk
részüket	reːsykɛt
részükre	reːsykrɛ
részünk	reːsyŋk
részünkre	reːsyŋkrɛ
rét	reːt
réteg	reːtɛɡ
rétegek	reːtɛɡɛk
réteget	reːtɛɡɛt
rétegű	reːtɛɡyː
rétek	reːtɛk
rétes	reːtɛʃ
rétesek	reːtɛʃɛk
rétesliszt	reːtɛʃlist
réti	reːti
