və	vˈæ
bəzədi	bæzædˈi
bəzəklərin	bæzæçlæɾˈin
cadugəri	d͡ʒaduɟæɾˈi
came	d͡ʒamˈe
canlandırmışlar	d͡ʒanɫandɯrmɯʃɫˈar
canlanmasına	d͡ʒanɫanmasɯnˈa
canlılarının	d͡ʒanɫɯɫaɾɯnˈɯn
cavabından	d͡ʒavabɯndˈan
cazibəsinə	d͡ʒazibæsˈinæ
cihazlarını	d͡ʒihazɫaɾɯnˈɯ
cihazının	d͡ʒihazɯnˈɯn
cilalanması	d͡ʒiɫaɫanmasˈɯ
cinahlarına	d͡ʒinahɫaɾɯnˈa
cinayətinə	d͡ʒinajætˈinæ
cinayətkarlıqla	d͡ʒinajætcarɫɯɡɫˈa
cinsidir	d͡ʒinsidˈir
cinslərə	d͡ʒinslˈæɾæ
cismində	d͡ʒismˈindæ
ciyəri	d͡ʒijæɾˈi
ciyərlərin	d͡ʒijærlæɾˈin
cizgilərin	d͡ʒizɟilæɾˈin
cizgilərinin	d͡ʒizɟilæɾinˈin
cover	d͡ʒovˈer
coğrafiyaçısı	d͡ʒoːɾafijat͡ʃɯsˈɯ
cuzi	d͡ʒuzˈi
cümlələrinin	d͡ʒymlælæɾinˈin
cüzidir	d͡ʒyzidˈir
cığırları	d͡ʒɯɯɯrɫaɾˈɯ
cədvəllərdə	d͡ʒædvællˈærdæ
cəlbedicidir	d͡ʒælbedid͡ʒidˈir
cəmiyyətimizin	d͡ʒæmijjætimizˈin
cəmiyyətlərinə	d͡ʒæmijjætlæɾˈinæ
cəmləşdirdi	d͡ʒæmlæʃdirdˈi
cəngəlliklərdə	d͡ʒænɟælliçlˈærdæ
cəngəlliyi	d͡ʒænɟællijˈi
cərəyandan	d͡ʒæɾæjandˈan
cərəyandır	d͡ʒæɾæjandˈɯr
cərəyanlarından	d͡ʒæɾæjanɫaɾɯndˈan
cəsarətə	d͡ʒæsaɾˈætæ
cəzalandırma	d͡ʒæzaɫandɯrmˈa
cəzasından	d͡ʒæzasɯndˈan
dadmaq	dadmˈax
dadın	dadˈɯn
daimidir	da͡ɪmidˈir
dairəsindəki	da͡ɪɾæsindæcˈi
dalğalarından	daɫɣaɫaɾɯndˈan
dalır	daɫˈɯr
damcısı	damd͡ʒɯsˈɯ
danışmasını	danɯʃmasɯnˈɯ
danışmışdı	danɯʃmɯʃdˈɯ
dao	daˈo
dartı	dartˈɯ
darvazalarını	darvazaɫaɾɯnˈɯ
darıxır	daɾɯxˈɯr
davamlılığının	davamɫɯɫɯɯɯnˈɯn
davranışda	davranɯʃdˈa
daxildəki	daxildæcˈi
daxmaya	daxmajˈa
dayandırmışdı	dajandɯrmɯʃdˈɯ
dayandırıldığını	dajandɯɾɯɫdɯɯɯnˈɯ
dayanıqlılıq	dajanɯɡɫɯɫˈɯx
dayanırdılar	dajanɯrdɯɫˈar
dağılmaqdan	daːɯɫmaɡdˈan
dağıntıların	daːɯntɯɫaɾˈɯn
daşdır	daʃdˈɯr
daşnaklara	daʃnaçɫaɾˈa
daşımaqda	daʃɯmaɡdˈa
daşınar	daʃɯnˈar
daşınmanın	daʃɯnmanˈɯn
debütu	debytˈu
defekasiya	defecˈasia
deformasiyasına	deformasijasɯnˈa
deistlər	deistlˈær
dekabra	decabrˈa
dekanlar	decanɫˈar
dekorator	decoɾatˈor
delüvial	delyviˈaɫ
demarkasiya	demarcˈasia
demişəm	demiʃˈæm
deməlidir	demælidˈir
departamentlərinin	departamentlæɾinˈin
derbisi	derbisˈi
desəm	desˈæm
devirən	deviɾˈæn
deyilməyə	dejilmˈæjæ
deyilsiniz	dejilsinˈiz
deyərdim	dejærdˈim
diametrinə	diametrˈinæ
dikbaş	diçbˈaʃ
dikduran	diçduɾˈan
dilimlənmiş	dilimlænmˈiʃ
dinamikasına	dinamicasɯnˈa
dinamikliyi	dinamiçlijˈi
dinamit	dinamˈit
dinləmələr	dinlæmælˈær
dinlənilmişdir	dinlænilmiʃdˈir
dinlərindən	dinlæɾindˈæn
dinləyicilərinə	dinlæjid͡ʒilæɾˈinæ
diqtə	dˈiɡtæ
direktiv	diɾeçtˈiv
dirəklərdən	diɾæçlærdˈæn
diskini	discinˈi
dissertasiyasında	dissertasijasɯndˈa
divizionunun	divizionunˈun
diviziyanı	divizijanˈɯ
dizindən	dizindˈæn
dişləmə	diʃlˈæmæ
dişlərdən	diʃlærdˈæn
dolana	doɫanˈa
dolanmaq	doɫanmˈax
domenlər	domenlˈær
dondurulur	donduɾuɫˈur
donuzları	donuzɫaɾˈɯ
dostdur	dostdˈur
dostlara	dostɫaɾˈa
doğduğu	doːdˈuː
doğrayın	doːɾajˈɯn
doğrudursa	doːɾudursˈa
doğurmayan	doːurmajˈan
duasını	duasɯnˈɯ
dumana	dumanˈa
duracaq	duɾad͡ʒˈax
durmaqdadır	durmaɡdadˈɯr
durğunluğa	durɣunɫuːˈa
duyulmur	dujuɫmˈur
duzlanmış	duzɫanmˈɯʃ
duzlarla	duzɫarɫˈa
döngə	dˈœnɟæ
dönümü	dœnymˈy
dönəmini	dœnæminˈi
dört	dˈœrt
dövrəli	dœvrælˈi
dövrələr	dœvrælˈær
dövrəsinin	dœvræsinˈin
dövrəsinə	dœvræsˈinæ
döyüldü	dœjyldˈy
döyülməsi	dœjylmæsˈi
döşəməsindən	dœʃæmæsindˈæn
döşəməsinə	dœʃæmæsˈinæ
dünyalarda	dynjaɫardˈa
dünyamızda	dynjamɯzdˈa
dünənki	dynæncˈi
düzlük	dyzlˈyç
düzülürdü	dyzylyrdˈy
düzümünün	dyzymynˈyn
düzümünə	dyzymˈynæ
düzəlmişdi	dyzælmiʃdˈi
düzəltdikləri	dyzæltdiçlæɾˈi
düşməklə	dyʃmˈæçlæ
düşünülmüşdü	dyʃynylmyʃdˈy
düşünülməmiş	dyʃynylmæmˈiʃ
düşünəndə	dyʃynˈændæ
dırmaşaraq	dɯrmaʃaɾˈax
dış	dˈɯʃ
dəbilqələr	dæbilɡælˈær
dəliklərinin	dæliçlæɾinˈin
dəlilərin	dælilæɾˈin
dəmiryollarının	dæmirjoɫɫaɾɯnˈɯn
dəmlənmiş	dæmlænmˈiʃ
dəqiqlikli	dæɡiɡliçlˈi
dəraməd	dæɾamˈæd
dərilərinin	dæɾilæɾinˈin
dərinləşdirdi	dæɾinlæʃdirdˈi
dərinləşdirilməsi	dæɾinlæʃdiɾilmæsˈi
dərmandır	dærmandˈɯr
dərnəklərdə	dærnæçlˈærdæ
dərnəklərin	dærnæçlæɾˈin
dərsindən	dærsindˈæn
dərəcələrində	dæɾæd͡ʒælæɾˈindæ
dərəcələrlə	dæɾæd͡ʒælˈærlæ
dəstəklədiklərini	dæstæçlædiçlæɾinˈi
dəstəklənməsini	dæstæçlænmæsinˈi
dəydiyi	dæjdijˈi
dəyirmanların	dæjirmanɫaɾˈɯn
dəyişdirilməsinin	dæjiʃdiɾilmæsinˈin
dəyişdirirlər	dæjiʃdiɾirlˈær
dəyişdirmişdi	dæjiʃdirmiʃdˈi
dəyişdirmədən	dæjiʃdirmædˈæn
dəyişiblər	dæjiʃiblˈær
dəyişilib	dæjiʃilˈib
dəyişilmələr	dæjiʃilmælˈær
dəyişkənliyinin	dæjiʃcænlijinˈin
dəyişkənliyə	dæjiʃcænlˈijæ
dəyişməlidir	dæjiʃmælidˈir
dəyə	dˈæjæ
dəyərdir	dæjærdˈir
dəyərləndirirlər	dæjærlændiɾirlˈær
dəyərlərindən	dæjærlæɾindˈæn
dəzgahların	dæzɟahɫaɾˈɯn
dоğru	dˈeɣɾˈu
edildikləri	edildiçlæɾˈi
edilmış	edilmˈɯʃ
edilməkdən	edilmæçdˈæn
edimişdir	edimiʃdˈir
edirdilərsə	edirdilˈærsæ
ediyor	edijˈor
ehkamlara	ehcamɫaɾˈa
ehmalca	ehmaɫd͡ʒˈa
ehtimaldır	ehtimaɫdˈɯr
ehtiraslar	ehtiɾasɫˈar
ehtiyacından	ehtijad͡ʒɯndˈan
ehtiyatlanan	ehtijatɫanˈan
ekipajın	ecipaʒˈɯn
ekliptik	eçliptˈiç
ekocoğrafi	ecod͡ʒoːɾafˈi
ekologiyaya	ecoɫoɟijajˈa
ekranlar	eçranɫˈar
ekranlaşdırılıb	eçranɫaʃdɯɾɯɫˈɯb
ekspedisiyasını	eçspedisijasɯnˈɯ
ekspressionizm	eçspressionˈizm
eksteryer	eçsterjˈer
ekstradisiya	eçstradˈisia
elegiya	elˈeɟia
elektrikləşdirilmişdir	eleçtriçlæʃdiɾilmiʃdˈir
elektrodu	eleçtrodˈu
elektrolitlər	eleçtrolitlˈær
elektronla	eleçtronɫˈa
elektronlara	eleçtronɫaɾˈa
elektronlardan	eleçtronɫardˈan
ellinist	ellinˈist
elçiliyi	elt͡ʃilijˈi
elçilərinə	elt͡ʃilæɾˈinæ
elədikləri	elædiçlæɾˈi
elələri	elælæɾˈi
elətdirir	elætdiɾˈir
emaledici	emaledid͡ʒˈi
embarqo	embarɡˈo
emosionallıq	emosionaɫɫˈɯx
emək	emˈæç
endikdən	endiçdˈæn
energetikanın	enerɟet͡sicanˈɯn
enerjiləri	enerʒilæɾˈi
enliklərin	enliçlæɾˈin
enmişdi	enmiʃdˈi
ensiklopediyanın	ensiçɫopedijanˈɯn
enəndə	enˈændæ
eosen	eosˈen
epistemoloji	epistemoɫoʒˈi
epizoddur	epizoddˈur
epoxasında	epoxasɯndˈa
eserlərin	eserlæɾˈin
estuari	estuaɾˈi
etdirmədiyini	etdirmædijinˈi
etdirmələri	etdirmælæɾˈi
etdirməsidir	etdirmæsidˈir
etdirməsini	etdirmæsinˈi
etdirəcəyini	etdiɾæd͡ʒæjinˈi
etibarlılığının	et͡sibarɫɯɫɯɯɯnˈɯn
etikanın	et͡sicanˈɯn
etiketlər	et͡sicetlˈær
etina	et͡sinˈa
etmek	etmˈeç
etmişdır	etmiʃdˈɯr
etmişsə	etmˈiʃsæ
etmədim	etmædˈim
etmədə	etmˈædæ
etməliydi	etmælijdˈi
etmələr	etmælˈær
etməməli	etmæmælˈi
etsəm	etsˈæm
etti	ettˈi
evliliyinin	evlilijinˈin
evlənəcəyi	evlænæd͡ʒæjˈi
eynəkli	ejnæçlˈi
eynəkləri	ejnæçlæɾˈi
faciədə	fad͡ʒiˈædæ
faizin	fa͡ɪzˈin
fakültələrdə	facyltælˈærdæ
fakültələrə	facyltælˈæɾæ
falçılıq	faɫt͡ʃɯɫˈɯx
fantaziyaları	fantazijaɫaɾˈɯ
fast	fˈast
fatehi	fatehˈi
favoriti	favoɾit͡sˈi
fayans	fajˈans
faydalar	fajdaɫˈar
fayllarını	fajlɫaɾɯnˈɯ
faz	fˈaz
fazalarda	fazaɫardˈa
feillərə	feillˈæɾæ
feminizmin	feminizmˈin
fenollar	fenoɫɫˈar
fenomeninin	fenomeninˈin
fenomenə	fenomˈenæ
fikirləşmədən	ficirlæʃmædˈæn
fikrimizi	fiçrimizˈi
filialını	filiaɫɯnˈɯ
finikiyalıların	finicijaɫɯɫaɾˈɯn
fizikləri	fiziçlæɾˈi
fligel	fliɟˈel
fokuslu	focusɫˈu
folklorda	foɫçɫordˈa
fondlarda	fondɫardˈa
fondlarından	fondɫaɾɯndˈan
fonetikası	fonet͡sicasˈɯ
forel	foɾˈel
formalardır	formaɫardˈɯr
formata	formatˈa
forumda	foɾumdˈa
forumun	foɾumˈun
fotoqrafiyada	fotoɡrafijadˈa
fotoşəkilini	fotoʃæcilinˈi
fotoşəkillərdən	fotoʃæcillærdˈæn
fotoşəklini	fotoʃæçlinˈi
fransızlardan	fransɯzɫardˈan
fransızlarla	fransɯzɫarɫˈa
fu	fˈu
fövqəl	fœvɡˈæl
fıkir	fɯcˈir
fırlanmasını	fɯrɫanmasɯnˈɯ
fırtınanın	fɯrtɯnanˈɯn
fırçası	fɯrt͡ʃasˈɯ
fırçasına	fɯrt͡ʃasɯnˈa
fısdıq	fɯsdˈɯx
fəaliyyətlərdən	fæalijjætlærdˈæn
fəaliyyətsiz	fæalijjætsˈiz
fəallaşdı	fæaɫɫaʃdˈɯ
fədakarlığını	fædacarɫɯɯɯnˈɯ
fələk	fælˈæç
fənlərə	fænlˈæɾæ
fənnlərini	fænnlæɾinˈi
fəqərələri	fæɡæɾælæɾˈi
fərdlərində	færdlæɾˈindæ
fərdlərinə	færdlæɾˈinæ
fərmanda	færmandˈa
fərziyələr	færzijælˈær
fəsadlara	fæsadɫaɾˈa
fəsilədir	fæsilædˈir
fəzanı	fæzanˈɯ
fəzası	fæzasˈɯ
fəziləti	fæzilætˈi
fəzilətləri	fæzilætlæɾˈi
gecdir	ɟed͡ʒdˈir
gedişli	ɟediʃlˈi
genişləndirdilər	ɟeniʃlændirdilˈær
genişləndirib	ɟeniʃlændiɾˈib
genişləndirilməsində	ɟeniʃlændiɾilmæsˈindæ
genişləndirməklə	ɟeniʃlændirmˈæçlæ
genişləndiyini	ɟeniʃlændijinˈi
genəlir	ɟenælˈir
geokimya	ɟeocimjˈa
getdik	ɟetdˈiç
getmişdim	ɟetmiʃdˈim
getmələrini	ɟetmælæɾinˈi
getməyib	ɟetmæjˈib
gettonun	ɟettonˈun
geyimindən	ɟejimindˈæn
geyindi	ɟejindˈi
geyindikləri	ɟejindiçlæɾˈi
ginekologiya	ɟinecoɫˈoɟia
gipsdən	ɟipsdˈæn
girirdi	ɟiɾirdˈi
girişlə	ɟiɾˈiʃlæ
girişən	ɟiɾiʃˈæn
girməli	ɟirmælˈi
gitaraya	ɟitaɾajˈa
gizlədilmişdir	ɟizlædilmiʃdˈir
gizlənirdi	ɟizlænirdˈi
gizlənmişdi	ɟizlænmiʃdˈi
gizlənməli	ɟizlænmælˈi
gizlətmirdi	ɟizlætmirdˈi
göbələklərdən	ɟœbælæçlærdˈæn
göllərinə	ɟœllæɾˈinæ
göndərdikdən	ɟœndærdiçdˈæn
göndərilsə	ɟœndæɾˈilsæ
göndərmişlər	ɟœndærmiʃlˈær
göndərəcəyini	ɟœndæɾæd͡ʒæjinˈi
göndərənin	ɟœndæɾænˈin
görkəmcə	ɟœrcˈæmd͡ʒæ
görkəminin	ɟœrcæminˈin
görmürük	ɟœrmyɾˈyç
görməzdən	ɟœrmæzdˈæn
görülməmişdir	ɟœɾylmæmiʃdˈir
görünmüşdü	ɟœɾynmyʃdˈy
görünməmişdir	ɟœɾynmæmiʃdˈir
görüşdükləri	ɟœɾyʃdyçlæɾˈi
görüşlərdən	ɟœɾyʃlærdˈæn
görəcəyik	ɟœɾæd͡ʒæjˈiç
göstərənlərin	ɟœstæɾænlæɾˈin
götürmür	ɟœt͡syrmˈyr
gövdələrin	ɟœvdælæɾˈin
gövdələrində	ɟœvdælæɾˈindæ
göydür	ɟœjdˈyr
gözlədiklərini	ɟœzlædiçlæɾinˈi
gözləmədikləri	ɟœzlæmædiçlæɾˈi
gözləməlidir	ɟœzlæmælidˈir
gözüylə	ɟœzˈyjlæ
gözəlliklər	ɟœzælliçlˈær
güclüdürlər	ɟyd͡ʒlydyrlˈær
güclülərin	ɟyd͡ʒlylæɾˈin
gücləndirmişdi	ɟyd͡ʒlændirmiʃdˈi
gücləndiyini	ɟyd͡ʒlændijinˈi
güclənib	ɟyd͡ʒlænˈib
güclənməsindən	ɟyd͡ʒlænmæsindˈæn
güclərdən	ɟyd͡ʒlærdˈæn
gülab	ɟyɫˈab
güllələmək	ɟyllælæmˈæç
gülümsəyərək	ɟylymsæjæɾˈæç
güləşçilər	ɟylæʃt͡ʃilˈær
günahlarından	ɟynahɫaɾɯndˈan
gündüzləri	ɟyndyzlæɾˈi
günlə	ɟˈynlæ
gürcüstanlı	ɟyrd͡ʒystanɫˈɯ
güç	ɟˈyt͡ʃ
gəclə	ɟˈæd͡ʒlæ
gəlibdir	ɟælibdˈir
gəlirlilik	ɟælirlilˈiç
gəlmədiyindən	ɟælmædijindˈæn
gəlsinlər	ɟælsinlˈær
gəlsədə	ɟælsˈædæ
gəmiricilərlə	ɟæmiɾid͡ʒilˈærlæ
gəmiçiliyin	ɟæmit͡ʃilijˈin
gəncliyinə	ɟænd͡ʒlijˈinæ
gənclərini	ɟænd͡ʒlæɾinˈi
gərginləşdirdi	ɟærɟinlæʃdirdˈi
gətirilməsinin	ɟætiɾilmæsinˈin
gətirmirdi	ɟætirmirdˈi
hafiz	hafˈiz
hakkında	haçcɯndˈa
halay	haɫˈaj
hali	halˈi
hallanan	haɫɫanˈan
halsız	haɫsˈɯz
halıyla	haɫɯjɫˈa
hami	hamˈi
harayı	haɾajˈɯ
harmoniyanı	harmonijanˈɯ
hasarı	hasaɾˈɯ
hazirda	hazirdˈa
hazırlamasını	hazɯrɫamasɯnˈɯ
hazırlanmalı	hazɯrɫanmaɫˈɯ
hazırlasın	hazɯrɫasˈɯn
haşiyənin	haʃijænˈin
haşiyəyə	haʃijˈæjæ
heraldik	heɾaɫdˈiç
heroqlifləri	heɾoɡliflæɾˈi
hersoqluq	hersoɡɫˈux
hesabatlarını	hesabatɫaɾɯnˈɯ
hesablayıb	hesabɫajˈɯb
heterotrof	het͡seɾotrˈof
heykəltəraşlığının	hejcæltæɾaʃɫɯɯɯnˈɯn
heyranlığını	hejranɫɯɯɯnˈɯ
hibridi	hibridˈi
hidravlika	hidravlicˈa
hidrofil	hidrofˈil
hidrokarbonat	hidrocarbonˈat
hilal	hiɫˈaɫ
himnini	himninˈi
hindistanlı	hindistanɫˈɯ
hipnotik	hipnotˈiç
hissəciklərlə	hissæd͡ʒiçlˈærlæ
hobbisi	hobbisˈi
hokkey	hoçcˈej
holdinq	hoɫdˈinx
homeopatiyada	homeopatijadˈa
homoziqot	homoziɡˈot
humanizmi	humanizmˈi
hökmdarlarını	hœçmdarɫaɾɯnˈɯ
hökmdarlığının	hœçmdarɫɯɯɯnˈɯn
hörgünün	hœrɟynˈyn
hövzələrindən	hœvzælæɾindˈæn
hövzəsidir	hœvzæsidˈir
hüceyrəni	hyd͡ʒejrænˈi
hündürlüklər	hyndyrlyçlˈær
hürufi	hyɾufˈi
hüznlü	hyznlˈy
həb	hˈæb
həbsxananın	hæbsxananˈɯn
həbsxanasından	hæbsxanasɯndˈan
həbsxanasının	hæbsxanasɯnˈɯn
hədləri	hædlæɾˈi
həftədir	hæftædˈir
həlimindən	hælimindˈæn
həlledicidə	hælledid͡ʒˈidæ
həlledicilər	hælledid͡ʒilˈær
həmfikirləri	hæmficirlæɾˈi
həmkarlarını	hæmcarɫaɾɯnˈɯ
həmmüəlliflərindən	hæmmyælliflæɾindˈæn
həmrəyliyə	hæmræjlˈijæ
həmvətənlərinin	hæmvætænlæɾinˈin
hənəfi	hænæfˈi
həqiqətəndə	hæɡiɡætˈændæ
hərəmi	hæɾæmˈi
hərəyə	hæɾˈæjæ
həya	hæjˈa
həyatlarından	hæjatɫaɾɯndˈan
həyəcanları	hæjæd͡ʒanɫaɾˈɯ
iOS	ˈiˈos
iblisə	iblˈisæ
icmallar	id͡ʒmaɫɫˈar
iddialardan	iddiaɫardˈan
iddiasıyla	iddiasɯjɫˈa
ideallarının	ideaɫɫaɾɯnˈɯn
identifikator	identificatˈor
identifikatoru	identificatoɾˈu
identiklik	identiçlˈiç
ideologiyaları	ideoɫoɟijaɫaɾˈɯ
idmançılarının	idmant͡ʃɯɫaɾɯnˈɯn
ifada	ifadˈa
ifanı	ifanˈɯ
ifaya	ifajˈa
ifaçılara	ifat͡ʃɯɫaɾˈa
ifrata	ifratˈa
ifratkeçirici	ifratcet͡ʃiɾid͡ʒˈi
ifrazının	ifrazɯnˈɯn
ikipalatalı	icipaɫataɫˈɯ
ikiüzlülük	iciyzlylˈyç
ikonoqrafiya	iconoɡrˈafia
ilhaqı	ilhaɡˈɯ
iliyində	ilijˈindæ
illəllah	illælɫˈah
ilmələr	ilmælˈær
ilədə	ilˈædæ
iləri	ilæɾˈi
imama	imamˈa
imamlar	imamɫˈar
imamət	imamˈæt
imarətlər	imaɾætlˈær
imkanlarla	imcanɫarɫˈa
impakt	impˈaçt
imperatorluğun	impeɾatorɫˈuːn
imperializmin	impeɾializmˈin
imperiyalar	impeɾijaɫˈar
impulslarının	impuɫsɫaɾɯnˈɯn
imtahanlarının	imtahanɫaɾɯnˈɯn
imzalaması	imzaɫamasˈɯ
inamına	inamɯnˈa
inamından	inamɯndˈan
inancla	inand͡ʒɫˈa
inanclarından	inand͡ʒɫaɾɯndˈan
inandırıcıdır	inandɯɾɯd͡ʒɯdˈɯr
indoneziyalı	indonezijaɫˈɯ
infarktı	infarçtˈɯ
infeksiyaların	infeçsijaɫaɾˈɯn
infiltrasiya	infiltrˈasia
infuzorların	infuzorɫaɾˈɯn
inhisara	inhisaɾˈa
inhisarı	inhisaɾˈɯ
inqilabçılara	inɡiɫabt͡ʃɯɫaɾˈa
insektisid	inseçtisˈid
interfeysləri	interfejslæɾˈi
internetlə	internˈetlæ
interyerinə	interjeɾˈinæ
inzivaya	inzivajˈa
inəkləri	inæçlæɾˈi
iqamətgaha	iɡamætɟahˈa
iqamətgahları	iɡamætɟahɫaɾˈɯ
iqlimdir	iɡlimdˈir
iqlimlərdə	iɡlimlˈærdæ
iqtisadiyyatların	iɡtisadijjatɫaɾˈɯn
irin	iɾˈin
irqini	irɡinˈi
islahatından	isɫahatɯndˈan
isnad	isnˈad
ispanlara	ispanɫaɾˈa
istehlakını	istehɫacɯnˈɯ
isteriya	istˈeɾia
istihazə	istihˈazæ
istiləşmənin	istilæʃmænˈin
istirahətdən	istiɾahætdˈæn
istismarında	istismaɾɯndˈa
istəmədiyinə	istæmædijˈinæ
istəsədə	istæsˈædæ
istəyiylə	istæjˈijlæ
istəyəcək	istæjæd͡ʒˈæç
istəyər	istæjˈær
isveçrə	isvˈet͡ʃræ
isyan	isjˈan
itiləşmiş	it͡silæʃmˈiʃ
itini	it͡sinˈi
itirməkdən	it͡sirmæçdˈæn
itirməli	it͡sirmælˈi
itirəndən	it͡siɾændˈæn
itiucluları	it͡siud͡ʒɫuɫaɾˈɯ
itlərlə	itlˈærlæ
itmişdi	itmiʃdˈi
ixtiralarına	ixtiɾaɫaɾɯnˈa
ixtisasların	ixtisasɫaɾˈɯn
ixtisaslaşmışdı	ixtisasɫaʃmɯʃdˈɯ
iyerarxiyanın	ijeɾarxijanˈɯn
izahatlar	izahatɫˈar
izahları	izahɫaɾˈɯ
izdihama	izdihamˈa
izotoplar	izotopɫˈar
izzət	izzˈæt
içdən	it͡ʃdˈæn
içkilərlə	it͡ʃcilˈærlæ
içməsi	it͡ʃmæsˈi
içərkən	it͡ʃærcˈæn
iğtişaşlarının	ijtiʃaʃɫaɾɯnˈɯn
işarələnmiş	iʃaɾælænmˈiʃ
işarələrdən	iʃaɾælærdˈæn
işlədilər	iʃlædilˈær
işləndi	iʃlændˈi
işlənməsindən	iʃlænmæsindˈæn
işıqlandırmaqla	iʃɯɡɫandɯrmaɡɫˈa
işıqlarını	iʃɯɡɫaɾɯnˈɯ
jarqon	ʒarɡˈon
jesti	ʒestˈi
jurnalistlərindən	ʒurnalistlæɾindˈæn
kabeli	cabelˈi
kabinetinə	cabinet͡sˈinæ
kadrarxası	cadrarxasˈɯ
kafedralda	cafedraɫdˈa
kafirlərlə	cafirlˈærlæ
kaha	cahˈa
kahinin	cahinˈin
kaliumlu	caliumɫˈu
kaliumun	caliumˈun
kalliqrafiya	caɫliɡrˈafia
kalsit	caɫsˈit
kampaniyalarında	campanijaɫaɾɯndˈa
kanonlar	canonɫˈar
kaolin	caolˈin
kapitulyasiya	capituɫjˈasia
karbamidin	carbamidˈin
karlar	carɫˈar
karnizlər	carnizlˈær
karyerasındakı	carjeɾasɯndacˈɯ
kasacıq	casad͡ʒˈɯx
kasaya	casajˈa
kaset	casˈet
kataloqun	cataɫoɡˈun
kataloqunun	cataɫoɡunˈun
kateqoriyaların	cateɡoɾijaɫaɾˈɯn
kateqoriyalarından	cateɡoɾijaɫaɾɯndˈan
kateqoriyasından	cateɡoɾijasɯndˈan
katiblər	catiblˈær
katolikliyi	catoliçlijˈi
kazaklara	cazaçɫaɾˈa
kağızlarını	caːɯzɫaɾɯnˈɯ
kaşılarla	caʃɯɫarɫˈa
keks	cˈeçs
keltlər	celtlˈær
keyfiyyətlərdən	cejfijjætlærdˈæn
keçidli	cet͡ʃidlˈi
keçidlərlə	cet͡ʃidlˈærlæ
keçinir	cet͡ʃinˈir
keçirdən	cet͡ʃirdˈæn
keçiriciliyinə	cet͡ʃiɾid͡ʒilijˈinæ
keçirilməmiş	cet͡ʃiɾilmæmˈiʃ
keçirməsinin	cet͡ʃirmæsinˈin
keçirməyin	cet͡ʃirmæjˈin
keçirməz	cet͡ʃirmˈæz
keçirəcəyi	cet͡ʃiɾæd͡ʒæjˈi
kifayyət	cifajjˈæt
kifayətlənmişdir	cifajætlænmiʃdˈir
kilidini	cilidinˈi
kilidli	cilidlˈi
kimyaterapiya	cimjateɾˈapia
kinetika	cinet͡sicˈa
kinolarda	cinoɫardˈa
kinosuna	cinosunˈa
kinoteatrının	cinoteatrɯnˈɯn
kirlənməsi	cirlænmæsˈi
kirpiklər	cirpiçlˈær
kirpiləri	cirpilæɾˈi
kirpisi	cirpisˈi
kiçiltmə	cit͡ʃˈiltmæ
kiçiyə	cit͡ʃˈijæ
klassika	çɫassicˈa
klassisizminin	çɫassisizminˈin
klinikaya	çlinicajˈa
kmi	çmˈi
knyazlıqlar	çnjazɫɯɡɫˈar
kodlarının	codɫaɾɯnˈɯn
kodlaşdırılır	codɫaʃdɯɾɯɫˈɯr
kolit	colˈit
kollarla	coɫɫarɫˈa
kolleclərdə	coɫled͡ʒlˈærdæ
kollegiyası	coɫleɟijasˈɯ
kollej	coɫlˈeʒ
koloniyalarını	coɫonijaɫaɾɯnˈɯ
koloniyaya	coɫonijajˈa
kolorektal	coɫoɾeçtˈaɫ
komandanının	comandanɯnˈɯn
komandasındakı	comandasɯndacˈɯ
komandirini	comandiɾinˈi
komandirliyini	comandirlijinˈi
kombinasiyasını	combinasijasɯnˈɯ
kometlər	cometlˈær
komisiya	comˈisia
komissarlığı	comissarɫɯɯˈɯ
komissarlığının	comissarɫɯɯɯnˈɯn
komitədə	comitˈædæ
kommunistlərinin	communistlæɾinˈin
kommunistlərlə	communistlˈærlæ
komplekslərə	compleçslˈæɾæ
kompyuter	compjutˈer
kompüterində	compyt͡seɾˈindæ
kompüterinə	compyt͡seɾˈinæ
konserni	consernˈi
konsollar	consoɫɫˈar
konstitutsiya	constitˈutsia
konteksdə	contˈeçsdæ
kontekstdən	conteçstdˈæn
kontingentinin	continɟentinˈin
kontrapunkt	contrapˈunçt
kontuziya	contˈuzia
konvoyun	convojˈun
koordinasion	coordinasiˈon
koordinatlarının	coordinatɫaɾɯnˈɯn
koronar	coɾonˈar
krallığından	çraɫɫɯɯɯndˈan
kraterinə	çrateɾˈinæ
kraterə	çratˈeɾæ
kremlər	çremlˈær
kriogen	çrioɟˈen
kubokda	cuboçdˈa
kuboklar	cuboçɫˈar
kubu	cubˈu
kubun	cubˈun
kumiri	cumiɾˈi
kuratoru	cuɾatoɾˈu
kurortlar	cuɾortɫˈar
kurslara	cursɫaɾˈa
kuşattı	cuʃattˈɯ
kxmer	kˈaxmˈer
kökdür	cœçdˈyr
köklərlə	cœçlˈærlæ
kökümsovu	cœcymsovˈu
köməkdən	cœmæçdˈæn
köp	cˈœp
körfəzlərin	cœrfæzlæɾˈin
köstəbək	cœstæbˈæç
köçkünlərə	cœt͡ʃcynlˈæɾæ
köçləri	cœt͡ʃlæɾˈi
köçürüldükdən	cœt͡ʃyɾyldyçdˈæn
köçürülməsindən	cœt͡ʃyɾylmæsindˈæn
köçürülməsinin	cœt͡ʃyɾylmæsinˈin
köşklər	cœʃçlˈær
küftə	cˈyftæ
