ँ	ə̃
वास्तविक	ʋäːs̪t̪əʋɪk
वास्तविकता	ʋäːs̪t̪əʋɪkt̪äː
वास्तु	ʋäːs̪t̪uː
वास्तुकला	ʋäːs̪t̪ʊkəl̪äː
वाहक	ʋäːɦək
वाहन	ʋäːɦə̃n̪
वाहिका	ʋäːɦɪkäː
विंडसर	ʋɪ̃ɳɖs̪əɾ
विंदालू	ʋɪ̃n̪d̪äːl̪uː
विकसित	ʋɪks̪ɪt̪
विकार	ʋɪkäːɾ
विकास	ʋɪkäːs̪
विकासशील	ʋɪkäːs̪ʃiːl̪
विकिपीडिया	ʋɪkɪpiːɖijäː
विकिमीडिया	ʋɪkɪmiːɖijäː
विकिरण	ʋɪkɪɾə̃ɳ
विकिरणशील	ʋɪkɪɾə̃ɳʃiːl̪
विकिरणशीलता	ʋɪkɪɾə̃ɳʃiːl̪t̪äː
विक्रम	ʋɪkɾə̃m
विक्रेता	ʋɪkɾeːt̪äː
विक्षनरी	ʋɪkʃn̪əɾiː
विक्षनरी	ʋɪkʃə̃n̪ɾiː
विखंडन	ʋɪkʰə̃ɳɖə̃n̪
विख्यात	ʋɪkʰjäːt̪
विघ्न	ʋɪɡʱn̪ᵊ
विचार	ʋɪt͡ʃäːɾ
विचारधारा	ʋɪt͡ʃäːɾd̪ʱäːɾäː
विचारपूर्वक	ʋɪt͡ʃäːɾpuːɾʋək
विजयनगरम	ʋɪd͡ʒjən̪əɡɾə̃m
विजयादशमी	ʋɪd͡ʒjäːd̪əʃmiː
विज़ारत	ʋɪd͡ʒäːɾət̪
विज़ारत	ʋɪzäːɾət̪
विजेता	ʋɪd͡ʒeːt̪äː
विज्ञान	ʋɪɡjä̃ːn̪
विज्ञापन	ʋɪɡjäːpə̃n̪
विज्ञापित	ʋɪɡjäːpɪt̪
वितरण	ʋɪt̪ɾə̃ɳ
वित्तीय	ʋɪt̪̚t̪iːjᵊ
विदा	ʋɪd̪äː
विद्या	ʋɪd̪jäː
विद्यार्थिनी	ʋɪd̪jäːɾt̪ʰɪn̪iː
विद्यार्थी	ʋɪd̪jäːɾt̪ʰiː
विद्यालय	ʋɪd̪jäːl̪əj
विद्यालयी	ʋɪd̪jäːl̪əjiː
विद्युतदर्शी	ʋɪd̪jʊt̪̚d̪əɾʃiː
विद्युन्मय	ʋɪd̪jʊ̃n̪məj
विद्वान	ʋɪd̪wä̃ːn̪
विद्वान्	ʋɪd̪wä̃ːn̪
विधवा	ʋɪd̪ʱʋäː
विधा	ʋɪd̪ʱäː
विधानसभा	ʋɪd̪ʱä̃ːn̪s̪əbʱäː
विधायक	ʋɪd̪ʱäːjək
विध्वंस	ʋɪd̪ʱʋə̃n̪s̪
विनती	ʋɪ̃n̪t̪iː
विनम्रता	ʋɪn̪ə̃mɾət̪äː
विनय	ʋɪn̪əj
विना	ʋɪn̪äː
विनाशक	ʋɪn̪äːʃək
विनाशकारी	ʋɪn̪äːʃkäːɾiː
विनिधान	ʋɪn̪ɪd̪ʱä̃ːn̪
विनिपेग	ʋɪn̪ɪpeːɡ
विनिमय	ʋɪn̪ɪməj
विनियम	ʋɪn̪ijə̃m
विनिर्माण	ʋɪn̪ɪɾmä̃ːɳ
विनिवेश	ʋɪn̪ɪʋeːʃ
विनीत	ʋɪn̪iːt̪
विनोद	ʋɪn̪oːd̪
विपक्षी	ʋɪpəkʃiː
विपन्नता	ʋɪpə̃n̪n̪t̪äː
विपुल	ʋɪpʊl̪
विफलता	ʋɪpʰəl̪t̪äː
विभाजन	ʋɪbʱäːd͡ʒə̃n̪
विभाजित	ʋɪbʱäːd͡ʒɪt̪
विभिन्न	ʋɪbʱɪ̃n̪n̪ᵊ
विभीषिका	ʋɪbʱiːʃɪkäː
विमा	ʋɪmäː
विमान	ʋɪmä̃ːn̪
विमानतल	ʋɪmä̃ːn̪t̪əl̪
विमाननगर	ʋɪmä̃ːn̪n̪əɡəɾ
वियतनाम	ʋijət̪̚n̪ä̃ːm
विराजमान	ʋɪɾäːd͡ʒmä̃ːn̪
विराटनगर	ʋɪɾäːʈn̪əɡəɾ
विरोधाभास	ʋɪɾoːd̪ʱäːbʱäːs̪
विलंब	ʋɪl̪ə̃mb
विलक्षण	ʋɪl̪əkʃə̃ɳ
विलायती	ʋɪl̪äːjət̪iː
विलास	ʋɪl̪äːs̪
विलासिता	ʋɪl̪äːs̪ɪt̪äː
विलीन	ʋɪl̪ĩːn̪
विवाद	ʋɪʋäːd̪
विवादित	ʋɪʋäːd̪ɪt̪
विवाह	ʋɪʋäːɦ
विविधता	ʋɪʋɪd̪ʱt̪äː
विवेचन	ʋɪʋeːt͡ʃə̃n̪
विशाखपट्नम	ʋɪʃäːkʰpəʈn̪ə̃m
विशेषकर	ʋɪʃeːʃkəɾ
विशेषज्ञ	ʋɪʃeːʃəɡj
विशेषण	ʋɪʃeːʃə̃ɳ
विशेषता	ʋɪʃeːʃt̪äː
विश्रामालय	ʋɪʃɾäːmäːl̪əj
विश्लेषक	ʋɪʃl̪eːʃək
विश्लेषण	ʋɪʃl̪eːʃə̃ɳ
विश्वकर्मा	ʋɪʃʋəkəɾmäː
विश्वप्रसिद्ध	ʋɪʃʋəpɾəs̪ɪd̪d̪ʱ
विश्वभाषा	ʋɪʃʋəbʱäːʃäː
विश्वमारी	ʋɪʃʋəmäːɾiː
विश्वविख्यात	ʋɪʃʋəʋɪkʰjäːt̪
विश्वविद्यालय	ʋɪʃʋəʋɪd̪jäːl̪əj
विश्वास	ʋɪʃʋäːs̪
विश्वासघात	ʋɪʃʋäːs̪ɡʱäːt̪
विश्वासनीय	ʋɪʃʋäːs̪n̪iːjᵊ
विश्वासपात्र	ʋɪʃʋäːs̪päːt̪ɾᵊ
विष	ʋɪʃ
विषकन्या	ʋɪʃkə̃n̪jäː
विषम	ʋɪʃə̃m
विषय	ʋɪʃəj
विषयवस्तु	ʋɪʃəjʋəs̪t̪uː
विषयासक्त	ʋɪʃəjäːs̪əkt̪
विषाणु	ʋɪʃäːɳuː
विषुव	ʋɪʃʊʋ
विष्णु	ʋɪʃɳuː
विसर्जन	ʋɪs̪əɾd͡ʒə̃n̪
विसर्जित	ʋɪs̪əɾd͡ʒɪt̪
विस्तार	ʋɪs̪t̪äːɾ
विस्थापन	ʋɪs̪t̪ʰäːpə̃n̪
विस्फोट	ʋɪs̪pʰoːʈ
विस्फोटक	ʋɪs̪pʰoːʈək
विस्मय	ʋɪs̪məj
विहीन	ʋɪɦĩːn̪
वीज़ा	ʋiːd͡ʒäː
वीज़ा	ʋiːzäː
वीडियो	ʋiːɖijoː
वीरता	ʋiːɾt̪äː
वीरान	ʋiːɾä̃ːn̪
वृक्ष	ʋɾɪkʃ
वृत्तांत	ʋɾɪt̪̚t̪ä̃ːn̪t̪
वृत्तान्त	ʋɾɪt̪̚t̪ä̃ːn̪t̪
वृद्धावस्था	ʋɾɪd̪̚d̪ʱäːʋəs̪t̪ʰäː
वृद्धाश्रम	ʋɾɪd̪̚d̪ʱäːʃɾə̃m
वृद्धि	ʋɾɪd̪̚d̪ʱiː
वेंटिलेटर	ʋẽːɳʈɪl̪eːʈəɾ
वेटिकन	ʋeːʈɪkə̃n̪
वेदना	ʋeːd̪̚n̪äː
वेदांत	ʋeːd̪ä̃ːn̪t̪
वेनेज़ुएला	ʋeːn̪eːd͡ʒʊeːl̪äː
वेनेज़ुएला	ʋeːn̪eːzʊeːl̪äː
वेबकॅम	ʋeːbkæ̃m
वेबसाइट	ʋeːbs̪äːɪʈ
वेलिंग्टन	ʋeːl̪ɪ̃ŋɡʈə̃n̪
वेल्ला	ʋeːl̪l̪äː
वेश्या	ʋeːʃjäː
वेश्यावृत्ति	ʋeːʃjäːʋɾɪt̪̚t̪iː
वैंकूवर	ʋɛ̃ːŋkuːʋəɾ
वैकुंठ	ʋɛːkʊ̃ɳʈʰ
वैकुण्ठ	ʋɛːkʊ̃ɳʈʰ
वैगन	ʋɛːɡə̃n̪
वैचारिक	ʋɛːt͡ʃäːɾɪk
वैज्ञानिक	ʋɛːɡjäːn̪ɪk
वैतनिक	ʋɛːt̪ən̪ɪk
वैराग्य	ʋɛːɾäːɡjᵊ
वैवाहिक	ʋɛːʋäːɦɪk
वैशाख	ʋɛːʃäːkʰ
वॉशिंगटन	ʋɔʃɪ̃ŋɡʈə̃n̪
वोल्गा	ʋoːl̪ɡäː
व्यंग	ʋjə̃ŋɡ
व्यंग्य	ʋjə̃ŋɡjᵊ
व्यंजक	ʋjə̃n̪d͡ʒək
व्यंजन	ʋjə̃n̪d͡ʒə̃n̪
व्यंजनाक्षर	ʋjə̃n̪d͡ʒən̪äːkʃəɾ
व्यक्तित्व	ʋjəkt̪ɪt̪wᵊ
व्यजन	ʋjəd͡ʒə̃n̪
व्यतिक्रम	ʋjət̪ɪkɾə̃m
व्यथा	ʋjət̪ʰäː
व्यभिचार	ʋjəbʱɪt͡ʃäːɾ
व्यवकलन	ʋjəʋkəl̪ə̃n̪
व्यवसाय	ʋjəʋs̪äːj
व्यवस्था	ʋjəʋəs̪t̪ʰäː
व्यवहार	ʋjəʋɦäːɾ
व्यष्टि	ʋjəʃʈiː
व्यसन	ʋjəs̪ə̃n̪
व्यस्त	ʋjəs̪t̪
व्याकरण	ʋjäːkəɾə̃ɳ
व्याकुल	ʋjäːkʊl̪
व्याख्या	ʋjäːkʰjäː
व्याख्याता	ʋjäːkʰjäːt̪äː
व्याख्यान	ʋjäːkʰjä̃ːn̪
व्याख्यानदाता	ʋjäːkʰjä̃ːn̪d̪äːt̪äː
व्याख्यायित	ʋjäːkʰjäːjɪt̪
व्याधि	ʋjäːd̪ʱiː
व्यापक	ʋjäːpək
व्यापार	ʋjäːpäːɾ
व्यायाम	ʋjäːjä̃ːm
व्यावहारिक	ʋjäːʋɦäːɾɪk
व्यास	ʋjäːs̪
व्युत्क्रम	ʋjʊt̪kɾə̃m
व्युत्पत्ति	ʋjʊt̪pət̪̚t̪iː
व्युत्पन्न	ʋjʊt̪pə̃n̪n̪ᵊ
व्यूहरचना	ʋjuːɦɾət͡ʃn̪äː
व्लादिमीर	ʋl̪äːd̪ɪmiːɾ
व्लादिवोस्तोक	ʋl̪äːd̪ɪʋoːs̪t̪oːk
व्हेल	ʋɦeːl̪
शंघाई	ʃə̃ŋɡʱäːiː
शंतनु	ʃə̃n̪t̪ən̪uː
शकरकंद	ʃəkəɾkə̃n̪d̪
शक्की	ʃək̚kiː
शक्तिशाली	ʃəkt̪ɪʃäːl̪iː
शक्तिहीन	ʃəkt̪ɪɦĩːn̪
शक्ल	ʃəkl̪ᵊ
शख़्स	ʃəkʰs̪
शख़्स	ʃəxs̪
शख़्सियत	ʃəkʰs̪ijət̪
शख़्सियत	ʃəxs̪ijət̪
शख्स	ʃəkʰs̪
शख्स	ʃəxs̪
शख्सियत	ʃəkʰs̪ijət̪
शख्सियत	ʃəxs̪ijət̪
शगुन	ʃəɡʊ̃n̪
शगूफ़ा	ʃəɡuːfäː
शगूफ़ा	ʃəɡuːpʰäː
शजरा	ʃəd͡ʒɾäː
शतकवीर	ʃət̪əkwiːɾ
शतपाद	ʃət̪päːd̪
शतरंज	ʃət̪ɾə̃n̪d͡ʒ
शताब्दी	ʃət̪äːbd̪iː
शतावर	ʃət̪äːʋəɾ
शनि	ʃən̪iː
शनिवार	ʃən̪ɪʋäːɾ
शफ़ा	ʃəfäː
शफ़ा	ʃəpʰäː
शब्दसूची	ʃəbd̪s̪uːt͡ʃiː
शब्दांश	ʃəbd̪ä̃ːn̪ʃ
शब्दाडंबर	ʃəbd̪äːɖə̃mbəɾ
शब्दार्थ	ʃəbd̪äːɾt̪ʰ
शब्दालंकार	ʃəbd̪äːl̪ə̃ŋkäːɾ
शब्दावली	ʃəbd̪äːʋl̪iː
शमशीर	ʃə̃mʃiːɾ
शमशेर	ʃə̃mʃeːɾ
शमा	ʃəmäː
शयन	ʃəjə̃n̪
शयनकक्ष	ʃəjə̃n̪kəkʃ
शयनागार	ʃəjn̪äːɡäːɾ
शरण	ʃəɾə̃ɳ
शरणागत	ʃəɾɳäːɡət̪
शरणार्थी	ʃəɾɳäːɾt̪ʰiː
शरमाना	ʃəɾmäːn̪äː
शरमिंदा	ʃəɾmɪ̃n̪d̪äː
शराफत	ʃəɾäːfət̪
शराफत	ʃəɾäːpʰət̪
शराब	ʃəɾäːb
शरारत	ʃəɾäːɾət̪
शरियत	ʃəɾijət̪
शरीफ़ा	ʃəɾiːfäː
शरीफ़ा	ʃəɾiːpʰäː
शर्करा	ʃəɾkəɾäː
शर्म	ʃəɾə̃m
शर्मनाक	ʃəɾmn̪äːk
शर्मा	ʃəɾmäː
शर्माना	ʃəɾmäːn̪äː
शर्मिंदगी	ʃəɾmɪ̃n̪d̪ɡiː
शर्मीला	ʃəɾmiːl̪äː
शलगम	ʃəl̪ɡə̃m
शलभ	ʃəl̪əbʱ
शल्यक्रियागार	ʃəl̪jəkɾijäːɡäːɾ
शवयात्रा	ʃəʋjäːt̪ɾäː
शस्त्र	ʃəs̪t̪ɾᵊ
शहंशाह	ʃɛɦɛ̃n̪ʃäːɦ
शहज़ादा	ʃɛɦd͡ʒäːd̪äː
शहज़ादा	ʃɛɦzäːd̪äː
शहज़ादी	ʃɛɦd͡ʒäːd̪iː
शहज़ादी	ʃɛɦzäːd̪iː
शहद	ʃɛɦɛd̪
शहमात	ʃɛɦmäːt̪
शहर	ʃɛɦɛɾ
शहरवासी	ʃɛɦɛɾʋäːs̪iː
शहरी	ʃɛɦɾiː
शहला	ʃɛɦl̪äː
शहादत	ʃəɦäːd̪ət̪
शांति	ʃä̃ːn̪t̪iː
शांतिपूर्ण	ʃä̃ːn̪t̪ɪpuːɾɳ
शाइस्ता	ʃäːɪs̪t̪äː
शाक	ʃäːk
शाकाहारी	ʃäːkäːɦäːɾiː
शाखा	ʃäːkʰäː
शागिर्द	ʃäːɡɪɾd̪
शाणा	ʃäːɳäː
शादी	ʃäːd̪iː
शादीशुदा	ʃäːd̪iːʃʊd̪äː
शान	ʃä̃ːn̪
शानदार	ʃä̃ːn̪d̪äːɾ
शान्ति	ʃä̃ːn̪t̪iː
शाप	ʃäːp
शाबाश	ʃäːbäːʃ
शाबाशी	ʃäːbäːʃiː
शाब्दिक	ʃäːbd̪ɪk
शाम	ʃä̃ːm
शामियाना	ʃäːmijäːn̪äː
शामिल	ʃäːmɪl̪
शायरा	ʃäːjɾäː
शायराना	ʃäːjəɾäːn̪äː
शायराना	ʃäːjɾäːn̪äː
शारजाह	ʃäːɾd͡ʒäːɦ
शारीरिक	ʃäːɾiːɾɪk
शार्क	ʃäːɾk
शाल	ʃäːl̪
शालीन	ʃäːl̪ĩːn̪
शालीनता	ʃäːl̪ĩːn̪t̪äː
शालीनतापूर्वक	ʃäːl̪ĩːn̪t̪äːpuːɾʋək
शावक	ʃäːʋək
शाश्वत	ʃäːʃʋət̪
शासक	ʃäːs̪ək
शासन	ʃäːs̪ə̃n̪
शासनहीनता	ʃäːs̪ə̃n̪ɦiːn̪ət̪äː
शास्त्र	ʃäːs̪t̪ɾᵊ
शास्त्रीय	ʃäːs̪t̪ɾiːjᵊ
शाह	ʃäːɦ
शाहमुखी	ʃäːɦmʊkʰiː
शाहाना	ʃäːɦäːn̪äː
शाही	ʃäːɦiː
शाहीन	ʃäːɦĩːn̪
शिंदे	ʃɪ̃n̪d̪eː
शिकंजा	ʃɪkə̃n̪d͡ʒäː
शिकंजी	ʃɪkə̃n̪d͡ʒiː
शिकम	ʃɪkə̃m
शिकस्त	ʃɪkəs̪t̪
शिकायत	ʃɪkäːjət̪
शिकार	ʃɪkäːɾ
शिकारा	ʃɪkäːɾäː
शिकारी	ʃɪkäːɾiː
शिकोहाबाद	ʃɪkoːɦäːbäːd̪
शिक्षक	ʃɪkʃək
शिक्षण	ʃɪkʃə̃ɳ
शिक्षा	ʃɪkʃäː
शिक्षाकर्मी	ʃɪkʃäːkəɾmiː
शिक्षामित्र	ʃɪkʃäːmɪt̪ɾᵊ
शिक्षार्थी	ʃɪkʃäːɾt̪ʰiː
शिक्षाविद्	ʃɪkʃäːʋɪd̪
शिक्षाशास्त्र	ʃɪkʃäːʃäːs̪t̪ɾᵊ
शिक्षाशास्त्री	ʃɪkʃäːʃäːs̪t̪ɾiː
शिक्षिका	ʃɪkʃɪkäː
शिगात्से	ʃɪɡäːt̪s̪eː
शिथिराति	ʃɪt̪ʰɪɾäːt̪iː
शिद्दत	ʃɪd̪̚d̪ət̪
शिनकानसेन	ʃɪ̃n̪kä̃ːn̪s̪ẽːn̪
शिनजियांग	ʃɪ̃n̪d͡ʒijä̃ːŋɡ
शिनाख़्त	ʃɪn̪äːkʰt̪
शिनाख़्त	ʃɪn̪äːxt̪
शिफ़ा	ʃɪfäː
शिफ़ा	ʃɪpʰäː
शिमला	ʃɪ̃ml̪äː
शिरोरेखा	ʃɪɾoːɾeːkʰäː
शिलांग	ʃɪl̪ä̃ːŋɡ
शिलातैल	ʃɪl̪äːt̪ɛːl̪
शिल्प	ʃɪl̪p
शिल्पकार	ʃɪl̪pkäːɾ
शिल्पशाला	ʃɪl̪pʃäːl̪äː
शिव	ʃɪʋäː
शिवलिंग	ʃɪʋl̪ɪ̃ŋɡ
शिवांबु	ʃɪʋä̃ːmbuː
शिवालय	ʃɪʋäːl̪əj
शिशुशाला	ʃɪʃʊʃäːl̪äː
शिश्न	ʃɪʃn̪ᵊ
शिश्नमुंड	ʃɪʃn̪əmʊ̃ɳɖ
शिश्नो	ʃɪʃn̪oː
शिश्नों	ʃɪʃn̪õː
शिष्य	ʃɪʃjᵊ
शिष्या	ʃɪʃjäː
शीघ्रता	ʃiːɡʱɾət̪äː
शीर्ष	ʃiːɾʃ
शीर्षक	ʃiːɾʃək
शीर्षासन	ʃiːɾʃäːs̪ə̃n̪
शीशा	ʃiːʃäː
शुक्रगुज़ार	ʃʊkɾəɡʊd͡ʒäːɾ
शुक्रगुज़ार	ʃʊkɾəɡʊzäːɾ
शुक्रवार	ʃʊkɾəʋäːɾ
शुक्राणु	ʃʊkɾäːɳuː
शुक्रिया	ʃʊkɾijäː
शुद्धगतिकी	ʃʊd̪̚d̪ʱəɡt̪ɪkiː
शुभकामना	ʃʊbʱkä̃ːmn̪äː
शुभेच्छु	ʃʊbʱeːt̚t͡ʃʰuː
शुरुआत	ʃʊɾʊäːt̪
शुरुआत	ʃʊɾʋäːt̪
शुरुआती	ʃʊɾʊäːt̪iː
शुल्क	ʃʊl̪k
शुष्क	ʃʊʃk
शुष्कफल	ʃʊʃkəpʰəl̪
शूटिंग	ʃuːʈɪ̃ŋɡ
शून्य	ʃũːn̪jə
शूरसेन	ʃuːɾs̪ẽːn̪
शृंखला	ʃɾɪ̃ŋkʰl̪äː
शृंग	ʃɾɪ̃ŋɡ
शेख़ूपुरा	ʃeːkʰuːpʊɾäː
शेख़ूपुरा	ʃeːxuːpʊɾäː
शेयरधारक	ʃeːjəɾd̪ʱäːɾək
शेरनी	ʃeːɾn̪iː
शेष	ʃeːʃ
शैंपू	ʃɛ̃ːmpuː
शैक्षणिक	ʃɛːkʃəɳɪk
शैतान	ʃɛːt̪ä̃ːn̪
शैतानी	ʃɛːt̪äːn̪iː
शैली	ʃɛːl̪iː
शैवाल	ʃɛːʋäːl̪
शोधना	ʃoːd̪ʱn̪äː
शोला	ʃoːl̪äː
शोषण	ʃoːʃə̃ɳ
शोषित	ʃoːʃɪt̪
शौक़ीन	ʃɔːkĩːn̪
शौक़ीन	ʃɔːqĩːn̪
शौचालय	ʃɔːt͡ʃäːl̪əj
शौरसेनी	ʃɔːɾs̪eːn̪iː
श्मशान	ʃməʃä̃ːn̪
श्यान	ʃjä̃ːn̪
श्यानता	ʃjä̃ːn̪t̪äː
श्याम	ʃjä̃ːm
श्यामदेश	ʃjä̃ːmd̪eːʃ
श्येन	ʃjẽːn̪
श्रद्धा	ʃɾəd̪̚d̪ʱäː
श्रद्धालु	ʃɾəd̪̚d̪ʱäːl̪uː
श्रद्धेय	ʃɾəd̪̚d̪ʱeːj
श्रमण	ʃɾəmə̃ɳ
श्रामणेर	ʃɾä̃ːmɳeːɾ
श्रावण	ʃɾäːʋə̃ɳ
श्रीकाकुलम	ʃɾiːkäːkʊl̪ə̃m
श्रीनगर	ʃɾiːn̪əɡəɾ
श्रीफल	ʃɾiːpʰəl̪
श्रीमती	ʃɾĩːmt̪iː
श्रीलंका	ʃɾiːl̪ə̃ŋkäː
श्रोता	ʃɾoːt̪äː
श्लोक	ʃl̪oːk
श्वसन	ʃʋəs̪ə̃n̪
श्वान	ʃʋä̃ːn̪
श्वेता	ʃʋeːt̪äː
ष	ʃə
षट्कोण	ʃəʈkõːɳ
षड्यंत्र	ʃəɖjə̃n̪t̪ɾᵊ
षड्यंत्र	ʃəɽjə̃n̪t̪ɾᵊ
षष्ठी	ʃəʃʈʰiː
षाण्मासिक	ʃä̃ːɳmäːs̪ɪk
स	s̪ə
संकट	s̪ə̃ŋkəʈ
संकलक	s̪ə̃ŋkəl̪ək
संकलन	s̪ə̃ŋkəl̪ə̃n̪
संकल्प	s̪ə̃ŋkəl̪p
संकल्पना	s̪ə̃ŋkəl̪pən̪äː
संकेत	s̪ə̃ŋkeːt̪
संकोच	s̪ə̃ŋkoːt͡ʃ
संक्रमण	s̪ə̃ŋkɾəmə̃ɳ
संक्रमित	s̪ə̃ŋkɾəmɪt̪
संक्रांति	s̪ə̃ŋkɾä̃ːn̪t̪iː
संक्रामक	s̪ə̃ŋkɾäːmək
संक्षय	səŋkʃəj
संक्षिप्त	s̪ə̃ŋkʃɪpt̪
संक्षिप्तीकरण	s̪ə̃ŋkʃɪpt̪iːkəɾə̃ɳ
संख्या	s̪ə̃ŋkʰjäː
संग	s̪ə̃ŋɡ
संगठन	s̪ə̃ŋɡəʈʰə̃n̪
संगठनात्मक	s̪ə̃ŋɡəʈʰən̪äːt̪mək
संगणक	s̪ə̃ŋɡəɳək
संगम	s̪ə̃ŋɡə̃m
संगमरमर	s̪ə̃ŋɡməɾməɾ
संगीत	s̪ə̃ŋɡiːt̪
संगीन	s̪ə̃ŋɡĩːn̪
संगोष्ठी	s̪ə̃ŋɡoːʃʈʰiː
संग्रंथन	s̪ə̃ŋɡɾə̃n̪t̪ʰə̃n̪
संग्रथन	s̪ə̃ŋɡɾət̪ʰə̃n̪
संग्रन्थन	s̪ə̃ŋɡɾə̃n̪t̪ʰə̃n̪
संग्रह	s̪ə̃ŋɡɾəɦ
संग्रहालय	s̪ə̃ŋɡɾəɦäːl̪əj
संग्राम	s̪ə̃ŋɡɾä̃ːm
संघ	s̪ə̃ŋɡʱ
संघीय	s̪ə̃ŋɡʱiːjᵊ
संचयन	s̪ə̃t͡ʃəjə̃n̪
संचार	s̪ə̃n̪t͡ʃäːɾ
संजय	s̪ə̃n̪d͡ʒəj
संजाल	s̪ə̃n̪d͡ʒäːl̪
संज्ञा	s̪ə̃ŋɡjäː
संडास	s̪ə̃ɳɖäːs̪
संत	s̪ə̃n̪t̪
संतरा	s̪ə̃n̪t̪ɾäː
संतान	s̪ə̃n̪t̪ä̃ːn̪
संतुलन	s̪ə̃n̪t̪ʊl̪ə̃n̪
संतुलित	s̪ə̃n̪t̪ʊl̪ɪt̪
संतोष	s̪ə̃n̪t̪oːʃ
संतोषी	s̪ə̃n̪t̪oːʃiː
संदर्भ	s̪ə̃n̪d̪əɾbʱ
संदल	s̪ə̃n̪d̪əl̪
संदिग्ध	s̪ə̃n̪d̪ɪɡd̪ʱ
संदूक़	s̪ə̃n̪d̪uːk
संदूक़	s̪ə̃n̪d̪uːq
संदूक़चा	s̪ə̃n̪d̪uːkt͡ʃäː
संदूक़चा	s̪ə̃n̪d̪uːqt͡ʃäː
संदूषण	s̪ə̃n̪d̪uːʃə̃ɳ
संदेय	s̪ə̃n̪d̪eːj
संदेश	s̪ə̃n̪d̪eːʃ
संदेह	s̪ə̃n̪d̪eːɦ
संध्या	s̪ə̃n̪d̪ʱjäː
संन्यास	s̪ə̃n̪n̪jäːs̪
संन्यासिनी	s̪ə̃n̪n̪jäːs̪ɪn̪iː
संन्यासी	s̪ə̃n̪n̪jäːs̪iː
संपत्ति	s̪ə̃mpət̪̚t̪iː
संपदा	s̪ə̃mpəd̪äː
संपर्क	s̪ə̃mpəɾk
संपादक	s̪ə̃mpäːd̪ək
संपादकीय	s̪ə̃mpäːd̪əkiːjᵊ
संपादन	s̪ə̃mpäːd̪ə̃n̪
संपूर्ण	s̪ə̃mpuːɾɳ
संपूर्णता	s̪ə̃mpuːɾɳt̪äː
संप्रति	s̪ə̃mpɾət̪iː
संप्रदाय	s̪ə̃mpɾəd̪äːj
संप्रभु	s̪ə̃mpɾəbʱuː
संप्रभुता	s̪ə̃mpɾəbʱʊt̪äː
संबंध	s̪ə̃mbə̃n̪d̪ʱ
संबंधी	s̪ə̃mbə̃n̪d̪ʱiː
संबोधित	s̪ə̃mboːd̪ʱɪt̪
संभव	s̪ə̃mbʱəʋ
संभालना	s̪ə̃mbʱäːl̪n̪äː
संभावना	s̪ə̃mbʱäːʋn̪äː
संभोग	s̪ə̃mbʱoːɡ
संयंत्र	s̪ə̃jə̃n̪t̪ɾᵊ
संयम	s̪ə̃jə̃m
संयमिनी	s̪ə̃n̪jəmɪn̪iː
संयमी	s̪ə̃n̪jəmiː
संयुक्त	s̪ə̃jʊkt̪
संयुक्ताक्षर	s̪ə̃jʊkt̪äːkʃəɾ
संयोग	s̪ə̃joːɡ
संयोगवश	s̪ə̃joːɡʋəʃ
संयोजक	s̪ə̃joːd͡ʒək
संयोजकता	s̪ə̃joːd͡ʒəkt̪äː
संरक्षण	s̪ə̃ɾəkʃə̃ɳ
संरक्षणवाद	s̪ə̃ɾəkʃə̃ɳwäːd̪
संरक्षित	s̪ə̃ɾəkʃɪt̪
संरचना	s̪ə̃ɾət͡ʃn̪äː
संरचनात्मक	s̪ə̃ɾət͡ʃn̪äːt̪mək
संलक्षण	s̪ə̃l̪əkʃə̃ɳ
संलग्न	s̪ə̃l̪əɡn̪ᵊ
संलयन	s̪ə̃l̪əjə̃n̪
संलिप्त	s̪ə̃l̪ɪpt̪
संवत्सर	s̪ə̃mwət̪s̪əɾ
संवत्सरी	s̪ə̃mwət̪s̪əɾiː
संवर्धन	s̪ə̃mwəɾd̪ʱə̃n̪
संवहन	s̪ə̃mwɛɦɛ̃n̪
संवाद	s̪ə̃mwäːd̪
संवाददाता	s̪ə̃mwäːd̪̚d̪äːt̪äː
संवाहिका	s̪ə̃mwäːɦɪkäː
संवेग	s̪ə̃mweːɡ
संवेदनशील	s̪ə̃mweːd̪ə̃n̪ʃiːl̪
संवेदना	s̪ə̃mweːd̪̚n̪äː
संवैधानिक	s̪ə̃mwɛːd̪ʱäːn̪ɪk
संशोधन	s̪ə̃n̪ʃoːd̪ʱə̃n̪
संशोधित	s̪ə̃n̪ʃoːd̪ʱɪt̪
संश्लिष्ट	s̪ə̃n̪ʃl̪ɪʂʈ
संसद	s̪ə̃n̪s̪əd̪
संसदीय	s̪ə̃n̪s̪əd̪iːj
संसाधन	s̪ə̃n̪s̪äːd̪ʱə̃n̪
संसार	s̪ə̃n̪s̪äːɾ
संसिद्धि	s̪ə̃n̪s̪ɪd̪̚d̪ʱiː
संस्कारी	s̪ə̃n̪s̪käːɾiː
संस्कृत	s̪ə̃n̪s̪kɾɪt̪
संस्कृति	s̪ə̃n̪s̪kɾɪt̪iː
संस्था	s̪ə̃n̪s̪t̪ʰäː
संस्थान	s̪ə̃n̪s̪t̪ʰä̃ːn̪
संस्थापक	s̪ə̃n̪s̪t̪ʰäːpək
संहार	s̪ə̃ŋɦäːɾ
संहार	s̪ə̃ɦäːɾ
संहिता	s̪ə̃ɦɪt̪äː
