ա	ɑ
նվեր	nəvɛɾ
նվիրակ	nəviɾɑk
նվիրել	nəviɾɛl
նվիրում	nəviɾum
նրա	nəɾɑ
նրան	nəɾɑn
նրանից	nəɾɑnit͡sʰ
նրանից	nɾɑnit͡sʰ
նրանով	nəɾɑnɔv
նրանով	nɾɑnɔv
նրանում	nəɾɑnum
նրանց	nəɾɑnt͡sʰ
նրանք	nəɾɑŋkʰ
նրբանցք	nəɾpʰɑnt͡sʰkʰ
նրբերշիկ	nəɾpʰɛɾʃik
նքողել	nəkʰɔʁɛl
շ	ʃə
շա	ʃɑ
շաբաթ	ʃɑpʰɑt
շաբաթ	ʃɑpʰɑtʰ
շաբաթվա	ʃɑpʰɑtʰvɑ
շաբաշ	ʃɑbɑʃ
շագանակ	ʃɑɡɑnɑk
շագանակագեղձ	ʃɑɡɑnɑkɑɡɛʁd͡z
շագանակագույն	ʃɑɡɑnɑkɑɡujn
շագանակենի	ʃɑɡɑnɑkɛni
շալ	ʃɑl
շալակ	ʃɑlɑk
շալվար	ʃɑlvɑɾ
շախ	ʃɑχ
շախմատ	ʃɑχmɑt
շախմատի	ʃɑχmɑti
շախմատիստ	ʃɑχmɑtist
շախմատիստուհի	ʃɑχmɑtistuhi
շակալ	ʃɑkɑl
շահ	ʃɑh
շահաբաժին	ʃɑhɑbɑʒin
շահագործական	ʃɑhɑɡɔɾt͡sɑkɑn
շահագործել	ʃɑhɑɡɔɾt͡sɛl
շահագործում	ʃɑhɑɡɔɾt͡sum
շահաստան	ʃɑhɑstɑn
շահավետ	ʃɑhɑvɛt
շահել	ʃɑhɛl
շահեկան	ʃɑhɛkɑn
շահեն	ʃɑhɛn
շահնշահ	ʃɑhənʃɑh
շաղ	ʃɑʁ
շաղախ	ʃɑʁɑχ
շաղգամ	ʃɑχkɑm
շաղկապ	ʃɑχkɑp
շամախի	ʃɑmɑχi
շամամ	ʃɑmɑm
շամբ	ʃɑmb
շամբալա	ʃɑmbɑlɑ
շամբուտ	ʃɑmbut
շամիրամ	ʃɑmiɾɑm
շամպայն	ʃɑmpɑjn
շամպուն	ʃɑmpun
շամփուր	ʃɑmpʰuɾ
շայբա	ʃɑjbɑ
շանթ	ʃɑntʰ
շանթահար	ʃɑntʰɑhɑɾ
շանթամբոխ	ʃɑntʰɑmbɔχ
շանհայ	ʃɑnhɑj
շանսոնյե	ʃɑnsɔnjɛ
շանտաժ	ʃɑntɑʒ
շաշ	ʃɑʃ
շաուրմա	ʃɑuɾmɑ
շաչել	ʃɑt͡ʃʰɛl
շաչյուն	ʃɑt͡ʃʰjun
շապիկ	ʃɑpik
շապուհ	ʃɑpuh
շառաչ	ʃɑrɑt͡ʃʰ
շառաչել	ʃɑrɑt͡ʃʰɛl
շառաչյուն	ʃɑrɑt͡ʃʰjun
շառավիղ	ʃɑrɑviʁ
շառլատան	ʃɑrlɑtɑn
շառլատանություն	ʃɑrlɑtɑnutʰjun
շավասպ	ʃɑvɑsp
շավարշ	ʃɑvɑɾʃ
շավիղ	ʃɑviʁ
շատ	ʃɑt
շատակերիկ	ʃɑtɑkɛɾik
շատանալ	ʃɑtɑnɑl
շատրվան	ʃɑtəɾvɑn
շար	ʃɑɾ
շարադրություն	ʃɑɾɑdɾutʰjun
շարահյուսել	ʃɑɾɑhjusɛl
շարահյուսություն	ʃɑɾɑhjusutʰjun
շարել	ʃɑɾɛl
շարժ	ʃɑɾʒ
շարժական	ʃɑɾʒɑkɑn
շարժանկար	ʃɑɾʒɑnəkɑɾ
շարժապատկեր	ʃɑɾʒɑpɑtkɛɾ
շարժել	ʃɑɾʒɛl
շարժիչ	ʃɑɾʒit͡ʃʰ
շարժում	ʃɑɾʒum
շարժուն	ʃɑɾʒun
շարժվել	ʃɑɾʒvɛl
շարունակել	ʃɑɾnɑkɛl
շարունակել	ʃɑɾunɑkɛl
շարունակություն	ʃɑɾnɑkutʰjun
շարունակություն	ʃɑɾunɑkutʰjun
շարք	ʃɑɾkʰ
շարքային	ʃɑɾkʰɑjin
շափյուղա	ʃɑpʰjuʁɑ
շաքար	ʃɑkʰɑɾ
շաքարախտ	ʃɑkʰɑɾɑχt
շաքարավազ	ʃɑkʰɑɾɑvɑz
շաքարաքլոր	ʃɑkʰɑɾɑkʰlɔɾ
շաքարեղեգ	ʃɑkʰɑɾɛʁɛɡ
շաքարյան	ʃɑkʰɑɾjɑn
շեկ	ʃɛk
շեկել	ʃɛkɛl
շեղ	ʃɛʁ
շեղանկյուն	ʃɛʁɑŋkjun
շեղբ	ʃɛʁb
շեղել	ʃɛʁɛl
շեղջ	ʃɛʁd͡ʒ
շեմ	ʃɛm
շեմք	ʃɛmkʰ
շեյեն	ʃɛjɛn
շեյթան	ʃɛjtʰɑn
շեյրել	ʃɛjəɾɛl
շեն	ʃɛn
շենլիկ	ʃɛnlik
շենլիք	ʃɛnlikʰ
շենք	ʃɛŋkʰ
շեշտ	ʃɛʃt
շեշտել	ʃɛʃtɛl
շեռ	ʃɛr
շերեփ	ʃɛɾɛpʰ
շերեփուկ	ʃɛɾɛpʰuk
շերտ	ʃɛɾt
շեփոր	ʃɛpʰɔɾ
շեք	ʃɛkʰ
շեքսպիր	ʃɛkʰspiɾ
շեֆ	ʃɛf
շթաքար	ʃətʰɑkʰɑɾ
շիզիկ	ʃizik
շիզոֆրենիա	ʃizɔfɾɛnjɑ
շիզոֆրենիկ	ʃizɔfɾɛnik
շիթ	ʃitʰ
շիլ	ʃil
շիլա	ʃilɑ
շիլոնգ	ʃilɔŋɡ
շիկամուկ	ʃikɑmuk
շիկանալ	ʃikɑnɑl
շիկնել	ʃiknɛl
շիճուկ	ʃit͡ʃuk
շիմպանզե	ʃimpɑnzɛ
շինական	ʃinɑkɑn
շինարար	ʃinɑɾɑɾ
շինել	ʃinɛl
շինծու	ʃint͡su
շինվածք	ʃinvɑt͡skʰ
շիշ	ʃiʃ
շիջել	ʃid͡ʒɛl
շիջուցանել	ʃid͡ʒut͡sʰɑnɛl
շիվ	ʃiv
շիվա	ʃivɑ
շիվան	ʃivɑn
շիտակ	ʃitɑk
շիրակ	ʃiɾɑk
շիրիմ	ʃiɾim
շիրինյան	ʃiɾinjɑn
շլդիկ	ʃəldik
շլինք	ʃəliŋkʰ
շլոր	ʃəlɔɾ
շղթա	ʃəχtʰɑ
շղթայական	ʃəχtʰɑjɑkɑn
շնագայլ	ʃənɑɡɑjl
շնաձուկ	ʃənɑd͡zuk
շնավարդ	ʃənɑvɑɾtʰ
շնդեղ	ʃəndɛʁ
շներ	ʃənɛɾ
շնիկ	ʃənik
շնորհ	ʃənɔɾ
շնորհաբաշխ	ʃənɔɾɑbɑʃχ
շնորհակալ	ʃənɔɾɑkɑl
շնորհակալություն	ʃənɔɾɑkɑlutʰjun
շնորհավոր	ʃənɔɾɑvɔɾ
շնորհավորական	ʃnɔɾɑvɔɾɑkɑn
շնորհավորանք	ʃnɔɾɑvɔɾɑŋkʰ
շնորհավորել	ʃnɔɾɑvɔɾɛl
շնորհավորություն	ʃnɔɾɑvɔɾutʰjun
շնորհավորում	ʃnɔɾɑvɔɾum
շնորհել	ʃənɔɾɛl
շնորհիվ	ʃənɔɾiv
շնորհք	ʃənɔɾkʰ
շնություն	ʃənutʰjun
շնչառություն	ʃənt͡ʃʰɑrutʰjun
շնչավոր	ʃənt͡ʃʰɑvɔɾ
շնչափող	ʃənt͡ʃʰɑpʰɔʁ
շնչել	ʃənt͡ʃʰɛl
շշնջալ	ʃəʃənd͡ʒɑl
շշուկ	ʃəʃuk
շոգ	ʃɔkʰ
շոգեկառք	ʃɔkʰɛkɑrkʰ
շոգենավ	ʃɔkʰɛnɑv
շոգեշարժ	ʃɔkʰɛʃɑɾʒ
շոգեքարշ	ʃɔkʰɛkʰɑɾʃ
շոգի	ʃɔkʰi
շոկոլադ	ʃɔkɔlɑd
շող	ʃɔʁ
շողալ	ʃɔʁɑl
շողոտ	ʃɔʁɔt
շոնա	ʃɔnɑ
շոշափել	ʃɔʃɑpʰɛl
շոսսե	ʃɔsːɛ
շոտլանդերեն	ʃɔtlɑndɛɾɛn
շոր	ʃɔɾ
շորթել	ʃɔɾtʰɛl
շորթում	ʃɔɾtʰum
շորժա	ʃɔɾʒɑ
շուլուխ	ʃuluχ
շուկա	ʃukɑ
շումեր	ʃumɛɾ
շուն	ʃun
շունչ	ʃunt͡ʃʰ
շուշա	ʃuʃɑ
շուշան	ʃuʃɑn
շուշանիկ	ʃuʃɑnik
շուշի	ʃuʃi
շուշմա	ʃuʃmɑ
շուշուտ	ʃuʃut
շուտ	ʃut
շուտափույթ	ʃutɑpʰujtʰ
շուտով	ʃutɔv
շուրթ	ʃuɾtʰ
շուրջ	ʃuɾd͡ʒ
շուրջը	ʃuɾd͡ʒə
շուրջպար	ʃuɾd͡ʒpɑɾ
շուփհաղիշո	ʃupʰhɑʁiʃɔ
շուք	ʃukʰ
շոքոլա	ʃɔkʰɔlɑ
շոֆեռ	ʃɔfɛr
շոֆեր	ʃɔfɛɾ
շչակ	ʃət͡ʃʰɑk
շպար	əʃpɑɾ
շպար	ʃəpɑɾ
շպարանյութ	əʃpɑɾɑnjutʰ
շպարանյութ	ʃəpɑɾɑnjutʰ
շպիլկա	əʃpilkɑ
շպռտել	ʃəpərtɛl
շպրից	əʃpɾit͡sʰ
շպրտել	ʃəpəɾtɛl
շռայլ	ʃərɑjl
շռել	ʃərɛl
շվեդ	ʃəvɛd
շվեդական	ʃvɛdɑkɑn
շվեդերեն	ʃvɛdɛɾɛn
շվեդիա	ʃvɛdjɑ
շվեյցար	ʃvɛjt͡sʰɑɾ
շվեյցարիա	ʃvɛjt͡sʰɑɾjɑ
շվեյցարիա	ʃvɛt͡sʰɑɾjɑ
շվի	ʃəvi
շտաբ	əʃtɑb
շտանգա	əʃtɑŋɡɑ
շտանգիստ	əʃtɑŋɡist
շտապ	əʃtɑp
շտապել	əʃtɑpɛl
շտապօգնություն	əʃtɑpɔkʰnutʰjun
շտեմարան	əʃtɛmɑɾɑn
շտկել	ʃətkɛl
շրթնային	ʃəɾtʰnɑjin
շրթներկ	ʃəɾtʰnɛɾk
շրթունք	ʃəɾtʰuŋkʰ
շրջազգեստ	ʃəɾd͡ʒɑzɡɛst
շրջակայք	ʃəɾd͡ʒɑkɑjkʰ
շրջահայաց	ʃəɾd͡ʒɑhɑjɑt͡sʰ
շրջան	ʃəɾd͡ʒɑn
շրջանագիծ	ʃəɾd͡ʒɑnɑɡit͡s
շրջանակ	ʃəɾd͡ʒɑnɑk
շրջանակում	ʃəɾd͡ʒɑnɑkum
շրջանառություն	ʃəɾd͡ʒɑnɑrutʰjun
շրջարկ	ʃəɾd͡ʒɑɾk
շրջափակել	ʃəɾd͡ʒɑpʰɑkɛl
շրջափակում	ʃəɾd͡ʒɑpʰɑkum
շրջել	ʃəɾd͡ʒɛl
շրջիկ	ʃəɾd͡ʒik
շրջում	ʃəɾd͡ʒum
շրջվել	ʃəɾd͡ʒvɛl
շփագետ	ʃəpʰɑɡɛt
շփագիտական	ʃəpʰɑɡitɑkɑn
շփագիտություն	ʃəpʰɑɡitutʰjun
շփական	ʃəpʰɑkɑn
շփել	ʃəpʰɛl
շփշփել	ʃəpʰʃəpʰɛl
շփոթել	ʃəpʰɔtʰɛl
շփոթեցնել	ʃəpʰɔtʰɛt͡sʰnɛl
շփոթմունք	ʃəpʰɔtʰmuŋkʰ
շփոթություն	ʃəpʰɔtʰutʰjun
շփոթվածություն	ʃəpʰɔtʰvɑt͡sutʰjun
շփոթվել	ʃəpʰɔtʰvɛl
շփում	ʃəpʰum
շփվել	ʃəpʰvɛl
շքախումբ	ʃəkʰɑχumb
շքահանդես	ʃəkʰɑhɑndɛs
շքամուտք	ʃəkʰɑmutkʰ
շքանշան	ʃəkʰɑnəʃɑn
շքասրահ	ʃəkʰɑsəɾɑh
շքեղ	ʃəkʰɛʁ
շքեղություն	ʃəkʰɛʁutʰjun
շքերթ	ʃəkʰɛɾtʰ
ո	vɔ
ո	ɔ
ոգել	vɔkʰɛl
ոգեշնչել	vɔkʰɛʃənt͡ʃʰɛl
ոգեշնչում	vɔkʰɛʃənt͡ʃʰum
ոգեւորել	vɔkʰɛvɔɾɛl
ոգեւորություն	vɔkʰɛvɔɾutʰjun
ոգեւորվել	vɔkʰɛvɔɾvɛl
ոգի	vɔkʰi
ոգորել	vɔɡɔɾɛl
ոդիսական	vɔdisɑkɑn
ոզնախոտ	vɔznɑχɔt
ոզնի	vɔzni
ոլիմպոս	vɔlimpɔs
ոլոռ	vɔlɔr
ոլոր	vɔlɔɾ
ոլորագիծ	vɔlɔɾɑɡit͡s
ոլորակ	vɔlɔɾɑk
ոլորակել	vɔlɔɾɑkɛl
ոլորան	vɔlɔɾɑn
ոլորապտույտ	vɔlɔɾɑpətujt
ոլորել	vɔlɔɾɛl
ոլործուն	vɔlɔɾt͡sun
ոլորուն	vɔlɔɾun
ոլորտ	vɔlɔɾt
ոլորք	vɔlɔɾkʰ
ոլոք	vɔlɔkʰ
ոխ	vɔχ
ոխանալ	vɔχɑnɑl
ոխերիմ	vɔχɛɾim
ոհմակ	vɔhmɑk
ող	vɔʁ
ողբ	vɔχp
ողբալ	vɔχpɑl
ողբերգություն	vɔχpɛɾɡutʰjun
ողիմպոս	vɔʁimpɔs
ողկույզ	vɔχkujz
ողնաշար	vɔʁnɑʃɑɾ
ողնաշարավոր	vɔʁnɑʃɑɾɑvɔɾ
ողնուղեղ	vɔʁnuʁɛʁ
ողողել	vɔʁɔʁɛl
ողողվել	vɔʁɔʁvɛl
ողորկ	vɔʁɔɾk
ողորկություն	vɔʁɔɾkutʰjun
ողորմածիկ	vɔʁɔɾmɑt͡sik
ողորմել	vɔʁɔɾmɛl
ողորմություն	vɔʁɔɾmutʰjun
ողջ	vɔχt͡ʃʰ
ողջագուրել	vɔχt͡ʃʰɑɡuɾɛl
ողջախոհ	vɔχt͡ʃʰɑχɔh
ողջախոհություն	vɔχt͡ʃʰɑχɔhutʰjun
ողջակիզում	vɔχt͡ʃʰɑkizum
ողջամիտ	vɔχt͡ʃʰɑmit
ողջույն	vɔχt͡ʃʰujn
ողջունել	vɔχt͡ʃʰunɛl
ոճ	vɔt͡ʃ
ոմն	vɔmən
ոնց	vɔnt͡sʰ
ոչ	vɔt͡ʃʰ
ոչինչ	vɔt͡ʃʰint͡ʃʰ
ոչխար	vɔt͡ʃʰχɑɾ
ոչնչացում	vɔt͡ʃʰənt͡ʃʰɑt͡sʰum
ոջիլ	vɔt͡ʃʰil
ոռ	vɔr
ոռնալ	vɔrnɑl
ոռոգել	vɔrɔkʰɛl
ոսի	vɔsi
ոսկանյան	vɔskɑnjɑn
ոսկե	vɔskɛ
ոսկեդրամ	vɔskɛdɾɑm
ոսկեզօծ	vɔskɛzɔt͡s
ոսկեծաղիկ	vɔskɛt͡sɑʁik
ոսկեհուռ	vɔskɛhur
ոսկեղեն	vɔskɛʁɛn
ոսկեղջյուր	vɔskɛʁd͡ʒjuɾ
ոսկերիչ	vɔskɛɾit͡ʃʰ
ոսկերչություն	vɔskɛɾt͡ʃʰutʰjun
ոսկեքար	vɔskɛkʰɑɾ
ոսկի	vɔski
ոսկյա	vɔskjɑ
ոսկոր	vɔskɔɾ
ոսկու	vɔsku
ոսկր	vɔskəɾ
ոսկրաբան	vɔskɾɑbɑn
ոսկրածուծ	vɔskɾɑt͡sut͡s
ոսոխ	vɔsɔχ
ոսոխություն	vɔsɔχutʰjun
ոսպ	vɔsp
ոսպապուր	vɔspɑpuɾ
ոսպնյակ	vɔspənjɑk
ոստ	vɔst
ոստայն	vɔstɑjn
ոստայնանկ	vɔstɑjnɑŋk
ոստան	vɔstɑn
ոստանիկ	vɔstɑnik
ոստիկան	vɔstikɑn
ոստիկանապետ	vɔstikɑnɑpɛt
ոստիկանություն	vɔstikɑnutʰjun
ոստնել	vɔstnɛl
ոստրե	vɔstɾɛ
ով	ɔv
ոտ	vɔt
ոտանավոր	vɔtɑnɑvɔɾ
ոտնակ	vɔtnɑk
ոտնակապ	vɔtnɑkɑp
ոտնաձայն	vɔtnɑd͡zɑjn
ոտնաման	vɔtnɑmɑn
ոտնամատ	vɔtnɑmɑt
ոտնամուտ	vɔtnɑmut
ոտնաշավիղ	vɔtnɑʃɑviʁ
ոտնաշրջիկ	vɔtnɑʃəɾd͡ʒik
ոտնաչափ	vɔtnɑt͡ʃʰɑpʰ
ոտնապինդ	vɔtnɑpind
ոտնապտույտ	vɔtnɑpətujt
ոտնառում	vɔtnɑrum
ոտք	vɔtkʰ
որ	vɔɾ
որակ	vɔɾɑk
որակական	vɔɾɑkɑkɑn
որակյալ	vɔɾɑkjɑl
որբ	vɔɾpʰ
որբանալ	vɔɾpʰɑnɑl
որբություն	vɔɾpʰutʰjun
որդ	vɔɾtʰ
որդեգրություն	vɔɾtʰɛɡəɾutʰjun
որդեգրում	vɔɾtʰɛɡəɾum
որդեսեր	vɔɾtʰɛsɛɾ
որդի	vɔɾtʰi
որդյակ	vɔɾtʰjɑk
որեւէ	vɔɾɛvɛ
որթ	vɔɾtʰ
որի	vɔɾi
ործկալ	vɔɾt͡skɑl
որկրամոլ	vɔɾkɾɑmɔl
որկրամոլություն	vɔɾkɾɑmɔlutʰjun
որձ	vɔɾt͡sʰ
որձակ	vɔɾt͡sʰɑk
որձաքար	vɔɾt͡sʰɑkʰɑɾ
որմ	vɔɾm
որմզդեղն	vɔɾməzdɛʁən
որմիզդ	vɔɾmizd
որմնադիր	vɔɾmnɑdiɾ
որմնախորշ	vɔɾmnɑχɔɾʃ
որյար	vɔɾjɑɾ
որոգայթ	vɔɾɔɡɑjtʰ
որոճ	vɔɾɔt͡ʃ
որոճալ	vɔɾɔt͡ʃɑl
որոճել	vɔɾɔt͡ʃɛl
որոմ	vɔɾɔm
որոնել	vɔɾɔnɛl
որոնում	vɔɾɔnum
որոնտես	vɔɾɔntɛs
որոնք	vɔɾɔŋkʰ
որոշակի	vɔɾɔʃɑki
որոշել	vɔɾɔʃɛl
որոշում	vɔɾɔʃum
որոջ	vɔɾɔd͡ʒ
որովայն	vɔɾɔvɑjn
որովհետեւ	vɔɾɔfhɛtɛv
որոտ	vɔɾɔt
որոտան	vɔɾɔtɑn
որոր	vɔɾɔɾ
որպեսզի	vɔɾpɛszi
որջ	vɔɾt͡ʃʰ
որս	vɔɾs
որսալ	vɔɾsɑl
որսկան	vɔɾskɑn
որսորդ	vɔɾsɔɾtʰ
որտեղ	vɔɾtɛʁ
որտեւ	vɔɾtɛv
որքան	vɔɾkʰɑn
որքին	vɔɾkʰin
ու	u
ուագադուգու	uɑɡɑduɡu
ուգանդա	uɡɑndɑ
ուդ	ud
ուդմուրտ	udmuɾt
ուդոն	udɔn
ուելսերեն	uɛlsɛɾɛn
ուզբեկ	uzbɛk
ուզբեկերեն	uzbɛkɛɾɛn
ուզբեկստան	uzbɛkstɑn
ուզել	uzɛl
ուզենալ	uzɛnɑl
ութ	utʰ
ութանասուն	utʰɑnɑsun
ութերորդ	utʰɛɾɔɾtʰ
ութսուն	utʰsun
ութսուն	ut͡sʰun
ուժ	uʒ
ուժգին	uʒɡin
ուժեղ	uʒɛʁ
ուժեղանալ	uʒɛʁɑnɑl
ուլ	ul
ուլենի	ulɛni
ուլյանովսկ	uljɑnɔfsk
ուլունք	uluŋkʰ
ուխտ	uχt
ուխտագնաց	uχtɑɡənɑt͡sʰ
ուխտագնացություն	uχtɑɡənɑt͡sʰutʰjun
ուկրաինա	ukɾɑjinɑ
ուկրաինա	ukɾɑnjɑ
ուկրաինական	ukɾɑinɑkɑn
ուկրաինացի	ukɾɑinɑt͡sʰi
ուկրաիներեն	ukɾɑinɛɾɛn
ուհան	uhɑn
ուղարկել	uʁɑɾkɛl
ուղեբեռ	uʁɛbɛr
ուղեծիր	uʁɛt͡siɾ
ուղեկից	uʁɛkit͡sʰ
ուղեկցել	uʁɛkt͡sʰɛl
ուղեղ	uʁɛʁ
ուղեղաբուն	uʁɛʁɑbun
ուղեղային	uʁɛʁɑjin
ուղեղիկ	uʁɛʁik
ուղեպարկ	uʁɛpɑɾk
ուղերձ	uʁɛɾt͡sʰ
ուղեւոր	uʁɛvɔɾ
ուղեւորություն	uʁɛvɔɾutʰjun
ուղի	uʁi
ուղիղ	uʁiʁ
ուղղագրություն	uʁːɑɡɾutʰjun
ուղղաթիռ	uʁːɑtʰir
ուղղախոսություն	uʁːɑχɔsutʰjun
ուղղական	uʁːɑkɑn
ուղղակի	uʁːɑki
ուղղարկել	uʁːɑɾkɛl
ուղղափառ	uʁːɑpʰɑr
ուղղափառություն	uʁːɑpʰɑrutʰjun
ուղղել	uʁːɛl
ուղղություն	uʁːutʰjun
ուղտ	uχt
ումբրերեն	umbɾɛɾɛn
ումպ	ump
ույծք	ujt͡skʰ
ույղուրերեն	ujʁuɾɛɾɛn
ունաբ	unɑb
ունակ	unɑk
ունակություն	unɑkutʰjun
ունայն	unɑjn
ունայնություն	unɑjnutʰjun
ունդ	und
ունեմ	unɛm
ունենալ	unɛnɑl
ունիվերմագ	univɛɾmɑɡ
ունկ	uŋk
ունկնդիր	uŋkəndiɾ
ունկնդրել	uŋkəndɾɛl
ունչ	unt͡ʃʰ
ունչատ	unt͡ʃʰɑt
ունք	uŋkʰ
ուշ	uʃ
ուշադիր	uʃɑdiɾ
ուշանալ	uʃɑnɑl
ուշաստիկ	uʃɑstik
ուշիմ	uʃim
ուշունց	uʃunt͡sʰ
ուշք	uʃkʰ
ուռ	ur
ուռել	urɛl
ուռենի	urɛni
ուռթանալ	urtʰɑnɑl
ուռթել	urtʰɛl
ուռի	uri
ուռհա	urhɑ
ուռույց	urujt͡sʰ
ուռույցք	urujt͡sʰkʰ
ուռուց	urut͡sʰ
ուռուցք	urut͡sʰkʰ
ուռուցքաբան	urut͡sʰkʰɑbɑn
ուռուցքաբանական	urut͡sʰkʰɑbɑnɑkɑn
ուռուցքաբանություն	urut͡sʰkʰɑbɑnutʰjun
ուռչել	urt͡ʃʰɛl
ուս	us
ուսադիր	usɑdiɾ
ուսանել	usɑnɛl
ուսանող	usɑnɔʁ
ուսապարկ	usɑpɑɾk
ուսկյուդար	uskjudɑɾ
ուսնոց	usnɔt͡sʰ
ուսողություն	usɔʁutʰjun
ուսում	usum
ուսումնասիրել	usumnɑsiɾɛl
ուսումնասիրություն	usumnɑsiɾutʰjun
ուսուցանել	usut͡sʰɑnɛl
ուսուցիչ	usut͡sʰit͡ʃʰ
ուսուցչուհի	usut͡sʰt͡ʃʰuhi
ուստի	usti
ուստիեւ	ustijɛv
ուստր	ustəɾ
ուտել	utɛl
ուտելիք	utɛlikʰ
ուտեստ	utɛst
ուտի	uti
ուտիերեն	utijɛɾɛn
ուտիճ	utit͡ʃ
ուր	uɾ
ուրագ	uɾɑkʰ
ուրալ	uɾɑl
ուրախ	uɾɑχ
ուրախակից	uɾɑχɑkit͡sʰ
ուրախավետ	uɾɑχɑvɛt
ուրախացնել	uɾɑχɑt͡sʰnɛl
ուրախություն	uɾɑχutʰjun
ուրան	uɾɑn
ուրանալ	uɾɑnɑl
ուրարտական	uɾɑɾtɑkɑn
ուրարտացի	uɾɑɾtɑt͡sʰi
ուրարտերեն	uɾɑɾtɛɾɛn
ուրարտու	uɾɑɾtu
ուրբաթ	uɾpʰɑtʰ
ուրբանոս	uɾbɑnɔs
ուրդու	uɾdu
ուրեմն	uɾɛmən
ուրիշ	uɾiʃ
ուրհա	uɾhɑ
ուրմիա	uɾmijɑ
ուրու	uɾu
ուրուկ	uɾuk
ուրումչի	uɾumt͡ʃʰi
ուրուր	uɾuɾ
ուրվական	uɾvɑkɑn
ուրց	uɾt͡sʰ
ուրֆա	uɾfɑ
ուֆա	ufɑ
ոք	vɔkʰ
չ	t͡ʃʰ
չա	t͡ʃʰɑ
չագուչ	t͡ʃʰɑɡut͡ʃʰ
չադ	t͡ʃʰɑd
չաթլախ	t͡ʃʰɑtʰlɑχ
չաթլաղ	t͡ʃʰɑtʰlɑʁ
չախմախ	t͡ʃʰɑχmɑχ
չախու	t͡ʃʰɑχu
չակերտ	t͡ʃʰɑkɛɾt
չաղ	t͡ʃʰɑʁ
չաղանալ	t͡ʃʰɑʁɑnɑl
չաղո	t͡ʃʰɑʁɔ
չաղություն	t͡ʃʰɑʁutʰjun
չամադան	t͡ʃʰɑmɑdɑn
չաման	t͡ʃʰɑmɑn
չամիչ	t͡ʃʰɑmit͡ʃʰ
չայ	t͡ʃʰɑj
չայնիկ	t͡ʃʰɑjnik
չան	t͡ʃʰɑn
չանա	t͡ʃʰɑnɑ
չանգալ	t͡ʃʰɑŋɡɑl
չաշխուր	t͡ʃʰɑʃχuɾ
չատտիսգարհ	t͡ʃʰɑtːisɡɑɾh
չար	t͡ʃʰɑɾ
չարախոս	t͡ʃʰɑɾɑχɔs
չարակամություն	t͡ʃʰɑɾɑkɑmutʰjun
չարամիտ	t͡ʃʰɑɾɑmit
չարանալ	t͡ʃʰɑɾɑnɑl
չարաշահել	t͡ʃʰɑɾɑʃɑhɛl
չարաչար	t͡ʃʰɑɾɑt͡ʃʰɑɾ
չարաչք	t͡ʃʰɑɾɑt͡ʃʰkʰ
չարբախ	t͡ʃʰɑɾbɑχ
չարիք	t͡ʃʰɑɾikʰ
չարխ	t͡ʃʰɑɾχ
չարչարանք	t͡ʃʰɑɾt͡ʃʰɑɾɑŋkʰ
չարչարել	t͡ʃʰɑɾt͡ʃʰɑɾɛl
չարչարվել	t͡ʃʰɑɾt͡ʃʰɑɾvɛl
չարչի	t͡ʃʰɑɾt͡ʃʰi
չարջոու	t͡ʃʰɑɾd͡ʒɔu
չափ	t͡ʃʰɑpʰ
չափագիտություն	t͡ʃʰɑpʰɑɡitutʰjun
չափազանց	t͡ʃʰɑpʰɑzɑnt͡sʰ
չափալախ	t͡ʃʰɑpʰɑlɑχ
չափածո	t͡ʃʰɑpʰɑt͡sɔ
չափակից	t͡ʃʰɑpʰɑkit͡sʰ
չափահաս	t͡ʃʰɑpʰɑhɑs
չափանիշ	t͡ʃʰɑpʰɑniʃ
չափար	t͡ʃʰɑpʰɑɾ
չափարյան	t͡ʃʰɑpʰɑɾjɑn
չափաքանակ	t͡ʃʰɑpʰɑkʰɑnɑk
չափել	t͡ʃʰɑpʰɛl
չափորոշիչ	t͡ʃʰɑpʰɔɾɔʃit͡ʃʰ
չափս	t͡ʃʰɑpʰs
չաքուճ	t͡ʃʰɑkʰut͡ʃ
չբեր	t͡ʃʰəbɛɾ
չգիտեմ	t͡ʃʰəɡitɛm
չգցել	t͡ʃʰəɡət͡sʰɛl
չեբոքսարի	t͡ʃʰɛbɔkʰsɑɾi
չեզոք	t͡ʃʰɛzɔkʰ
չեզոքություն	t͡ʃʰɛzɔkʰutʰjun
չելյաբինսկ	t͡ʃʰɛljɑbinsk
չեխ	t͡ʃʰɛχ
չեխական	t͡ʃʰɛχɑkɑn
չեխերեն	t͡ʃʰɛχɛɾɛn
չեխիա	t͡ʃʰɛχjɑ
չեխոլ	t͡ʃʰɛχɔl
չեխոսլովակիա	t͡ʃʰɛχɔslɔvɑkjɑ
չեղարկել	t͡ʃʰɛʁɑɾkɛl
չեմպիոն	t͡ʃʰɛmpjɔn
չեննայ	t͡ʃʰɛnːɑj
չեչեն	t͡ʃʰɛt͡ʃʰɛn
չեչեներեն	t͡ʃʰɛt͡ʃʰɛnɛɾɛn
չեչնիա	t͡ʃʰɛt͡ʃʰnjɑ
չեռնոբիլ	t͡ʃʰɛrnɔbil
չեռնոգորիա	t͡ʃʰɛrnɔɡɔɾjɑ
չերոկի	t͡ʃʰɛɾɔki
չերքեսկ	t͡ʃʰɛɾkʰɛsk
չէ	t͡ʃʰɛ
չի	t͡ʃʰi
