да	dˈɒ
Тормышка	tormˈɯʃqɑ
Тоткыннар	totqˈɯnnɑr
Туганнарым	tˌuʁɑnnˈɑrɯm
Туктамыш	tuqtˈɑmɯʃ
Тулай	tuɫˈɑɪ
Тәмимдар	tæmˈimdɑr
Удмуртиядән	ˌudmurtijˈædæn
Уеннар	uˈennɑr
Укртатнафта	ˌuqrtɑtnˈɑftɑ
Унбер	ˈunber
Уолкер	uˈoɫqer
Утызынчы	ˌutɯzˈɯnɕɯ
Учредительное	ˌuɕredˌiteɫʔnˈoe
Уңайлы	ˌuŋɑˈɪɫɯ
Уңнан	ˈuŋnɑn
Уңышлы	uŋˈɯʃɫɯ
ФСБда	fsbdˈɒ
Фазлыева	fˌɒzɫɯˈewɑ
Факил	fˈɒqil
Федератив	fˌederˈɑtiw
Фейсбуктагы	fˌeɪsbuqtˈɑʁɯ
Фидан	fˈidɑn
Физика	fizˈiqɑ
Филиппин	filˈippin
Фишман	fˈiʃmɑn
Фог	fˈoʁ
Фрунда	frˈundɑ
Фәхретдинов	fˌæxretdˈinow
Халиуллов	xˌɒɫiˈuɫɫow
Хатыным	xɒtˈɯnɯm
Хаҗилар	xɒʑˈiɫɑr
Хисамов	xisˈɑmow
Хәйдәров	xˌæɪdˈærow
Хәйретдинова	xˌæɪrˌetdinˈowɑ
Хәйри	xæˈɪri
Хәкимовның	xˌækimˈownɯŋ
Хәмиев	xæmˈiew
Хәсәншин	xæsˈænʃin
Хәтерлисезме	xˌæterlisˈezme
Хөсәин	xœsˈæin
Чайка	ɕɒˈɪqɑ
Чайлак	ɕɒˈɪɫɑq
Чернов	ɕˈernow
Чехословакиягә	ɕˌexosɫˌowɑqijˈæɣæ
Чечнядә	ɕeɕnjˈædæ
Чиркәүләр	ɕˌirkæˈylær
Чынгызхан	ɕɯŋʁˈɯzxɑn
Шакирҗан	ʃɒqˈirʑɑn
Шаран	ʃˈɒrɒn
Шаровның	ʃɒrˈownɯŋ
Шартлаудан	ʃˌɒrtɫɒˈudɑn
Шартнамә	ʃɒrtnˈɒmæ
Шаһинур	ʃɒhˈinur
Шевкиев	ʃewkˈiew
Шендерович	ʃˌenderˈowiɕ
Шикаять	ʃiqˈɑjɑtʔ
Шихан	ʃˈixɑn
Шуларга	ʃuɫˈɑrʁɑ
Шуман	ʃˈumɑn
Шунсы	ʃˈunsɯ
Шыгырдандагы	ʃˌɯʁɯrdɑndˈɑʁɯ
Шәехзадә	ʃˌæexzˈɑdæ
Шәрм	ʃˈærm
Экологлар	ˌeqoɫˈoʁɫɑr
Электр	ˈelektr
Эльвина	elʔwˈinɑ
Эльзара	eɫʔzˈɑrɑ
Эстониягә	ˌestonijˈæɣæ
Эстониядән	ˌestonijˈædæn
Эстрада	estrˈɑdɑ
Этник	ˈetnik
Юлбасма	juɫbˈɑsmɑ
Юмор	jˈumor
Юнир	jˈynir
Ябык	jˈɑbɯq
Якуповка	jˌɑqupˈowqɑ
Ялкынлы	jɑɫqˈɯnɫɯ
Ялтада	jɑɫtˈɑdɑ
Яраткан	jɑrˈɑtqɑn
Ярминкә	jærmˈinkæ
Ярослав	jɑrˈosɫɑw
Яхинаның	jˌæxinˈɑnɯŋ
Яхъя	jˈɑxʔjɑ
Яңартылган	jˌɑŋɑrtˈɯɫʁɑn
абыйсын	ɒbˈɯjsɯn
автобусларга	ˌɑwtobusɫˈɑrʁɑ
автоматлары	ˌɑwtomɑtɫˈɑrɯ
автономияләр	ˌɑwtonˌomijˈælær
авторны	ɑwtˈornɯ
авызга	ɑwˈɯzʁɑ
авырлы	ɑwˈɯrɫɯ
авырлыклардан	ˌɑwɯrɫɯqɫˈɑrdɑn
авырту	ɑwˈɯrtu
адашып	ɒdˈɒʃɯp
адекват	ɒdˈeqwɑt
администратор	ˌɒdministrˈɑtor
азагы	ɒzˈɒʁɯ
азайды	ˌɒzɒˈɪdɯ
айнык	ɒˈɪnɯq
аккош	ˈɒqqoʃ
актерларның	ˌɒqterɫˈɑrnɯŋ
актерлары	ˌɒqterɫˈɑrɯ
актеры	ɒqtˈerɯ
активистларына	ˌɒqtiwˌistɫɑrˈɯnɑ
активлашты	ˌɒqtiwɫˈɑʃtɯ
акциядә	ˌɒqtsijˈædæ
акчама	ɒqɕˈɒmɑ
акчасының	ˌɒqɕɒsˈɯnɯŋ
акылына	ˌɒqɯɫˈɯnɑ
алганны	ɒɫʁˈɒnnɯ
алганыбыз	ˌɒɫʁɒnˈɯbɯz
алдымда	ɒɫdˈɯmdɑ
алкоголь	ɒɫqˈoʁoɫʔ
алкышлады	ˌɒɫqɯʃɫˈɑdɯ
алмассыз	ɒɫmˈɒssɯz
алмашып	ɒɫmˈɒʃɯp
алыштырган	ˌɒɫɯʃtˈɯrʁɑn
алыштырдылар	ˌɒɫɯʃtɯrdˈɯɫɑr
алышуга	ˌɒɫɯʃˈuʁɑ
алышынып	ˌɒɫɯʃˈɯnɯp
альянсны	ɒɫʔjˈɑnsnɯ
альянсының	ˌɒɫʔjɑnsˈɯnɯŋ
анализлау	ˌɒnɒɫizɫˈɑu
аннексиясенә	ˌɒnneksˌijæsˈenæ
аномаль	ɒnˈomɑɫʔ
антология	ˌɒntoɫoʁˈijæ
аныкы	ɒnˈɯqɯ
анын	ˈɒnɯn
апабыз	ɒpˈɒbɯz
аптырамый	ˌɒptɯrˈɑmɯj
араларга	ˌɒrɒɫˈɑrʁɑ
араларын	ˌɒrɒɫˈɑrɯn
аралашуга	ˌɒrɒɫɑʃˈuʁɑ
арбалары	ˌɒrbɒɫˈɑrɯ
арбалы	ɒrbˈɒɫɯ
арбасын	ɒrbˈɒsɯn
аргументлар	ˌɒrʁumˈentɫɑr
арттырылды	ˌɒrttɯrˈɯɫdɯ
архивын	ɒrxˈiwɯn
асрый	ˈɒsrɯj
астрономик	ˌɒstronˈomik
асылынган	ˌɒsɯɫˈɯŋʁɑn
атадык	ɒtˈɒdɯq
атам	ˈɒtɒm
атамады	ˌɒtɒmˈɑdɯ
атамый	ɒtˈɒmɯj
атмосферада	ˌɒtmosferˈɑdɑ
атнасында	ˌɒtnɒsˈɯndɑ
атыйм	ˈɒtɯjm
атырга	ɒtˈɯrʁɑ
аудару	ˌɒudˈɑru
аулак	ɒˈuɫɑq
ахун	ˈɒxun
ахырындагы	ˌɒxɯrɯndˈɑʁɯ
ачам	ˈɒɕɒm
ачмаган	ɒɕmˈɒʁɑn
ачтыкырымтатарча	ˌɒɕtɯqˌɯrɯmtɑtˈɑrɕɑ
ачулары	ˌɒɕuɫˈɑrɯ
ачуларын	ˌɒɕuɫˈɑrɯn
ачуым	ɒɕˈuɯm
ачыкланачак	ˌɒɕɯqɫɑnˈɑɕɑq
ачыклар	ɒɕˈɯqɫɑr
ашатып	ɒʃˈɒtɯp
ашларны	ɒʃɫˈɒrnɯ
ашмый	ˈɒʃmɯj
ашуы	ɒʃˈuɯ
ашыу	ɒʃˈɯu
аякларын	ˌɒjɑqɫˈɑrɯn
аякта	ɒjˈɑqtɑ
аяктан	ɒjˈɑqtɑn
аятьләре	ˌɒjætʔlˈære
аятьләрен	ˌɒjætʔlˈæren
аңламаса	ˌɒŋɫɒmˈɑsɑ
аңны	ˈɒŋnɯ
бабае	bɒbˈɒe
баеган	bɒˈeʁɑn
баетып	bɒˈetɯp
базарларына	bˌɒzɒrɫɑrˈɯnɑ
байрам	bɒˈɪrɑm
балаларыгызны	bˌɒɫɒɫˌɑrɯʁˈɯznɯ
балаларымның	bˌɒɫɒɫɑrˈɯmnɯŋ
баллары	bɒɫɫˈɒrɯ
баллга	bˈɒɫɫʁɒ
банан	bˈɒnɒn
бандит	bˈɒndit
барларга	bɒrɫˈɒrʁɑ
барлыҡ	bˈɒrɫɯq
бармасын	bɒrmˈɒsɯn
бармыйлар	bɒrmˈɯjɫɑr
барсының	bɒrsˈɯnɯŋ
барчасын	bɒrɕˈɒsɯn
баскетбол	bɒsqˈetboɫ
басмаларының	bˌɒsmɒɫɑrˈɯnɯŋ
басмаханәсе	bˌɒsmɒxɑnˈæse
басуда	bɒsˈudɑ
басылмый	bɒsˈɯɫmɯj
батырларча	bˌɒtɯrɫˈɑrɕɑ
батырлары	bˌɒtɯrɫˈɑrɯ
батырып	bɒtˈɯrɯp
башкаласыннан	bˌɒʃqɒɫɑsˈɯnnɑn
башкардык	bɒʃqˈɒrdɯq
башлаганга	bˌɒʃɫɒʁˈɑŋʁɑ
башланганын	bˌɒʃɫɒŋʁˈɑnɯn
башлауда	bˌɒʃɫɒˈudɑ
баштагы	bɒʃtˈɒʁɯ
башыбызга	bˌɒʃɯbˈɯzʁɑ
башҡорттар	bɒʃqˈorttɑr
баян	bˈɒjɑn
белгечләрдән	bˌelɣeɕlˈærdæn
белгәнгә	belɣˈæŋɣæ
белделәр	beldˈelær
белдерелеп	bˌelderˈelep
белдерелмәгән	bˌelderelmˈæɣæn
белдерелсә	bˌelderˈelsæ
белемсез	belˈemsez
белорус	beɫˈorus
беләсеңме	bˌelæsˈeŋme
беләчәк	belˈæɕæk
беравыздан	bˌerɑwˈɯzdɑn
беренсе	berˈense
беркемдә	berkˈemdæ
берлектәге	bˌerlektˈæɣe
берләшмәләре	bˌerlæʃmælˈære
берләшмәсендә	bˌerlæʃmæsˈendæ
берләште	berlˈæʃte
берләштерелгән	bˌerlæʃterˈelɣæn
бернидән	bernˈidæn
бетергәннән	bˌeterɣˈænnæn
бетерүчеләр	bˌeteryɕˈelær
беткәннәр	betkˈænnær
бетәсе	betˈæse
бетәчәген	bˌetæɕˈæɣen
бизи	bˈizi
бизнесын	biznˈesɯn
билгеләве	bˌilɣelˈæwe
билгеләмә	bˌilɣelˈæmæ
билгеләнсә	bˌilɣelˈænsæ
билгеләренә	bˌilɣelærˈenæ
билеты	bilˈetɯ
биргәннәре	bˌirɣænnˈære
бирешмичә	bˌireʃmˈiɕæ
бирмәдем	birmˈædem
бирҙе	bˈirðe
битлекле	bitlˈekle
бишле	bˈiʃle
биюләрне	bˌijylˈærne
блогерларга	bɫˌoʁerɫˈɑrʁɑ
блокаданы	bɫˌoqɑdˈɑnɯ
боерыкны	bˌoerˈɯqnɯ
боксчы	bˈoqsɕɯ
боралагы	bˌorɑɫˈɑʁɯ
борчак	bˈorɕɑq
борчылдым	borɕˈɯɫdɯm
борчылмый	borɕˈɯɫmɯj
борынгырак	bˌorɯŋʁˈɯrɑq
бренд	brˈend
бригада	briʁˈɑdɑ
бронз	brˈonz
буарга	buˈɑrʁɑ
буйсынмаган	bˌuɪsɯnmˈɑʁɑn
буйсыну	bˌuɪsˈɯnu
булдырылса	bˌuɫdɯrˈɯɫsɑ
булдың	bˈuɫdɯŋ
булмасак	buɫmˈɑsɑq
булсыннар	buɫsˈɯnnɑr
булырға	buɫˈɯrʁɑ
булышам	buɫˈɯʃɑm
булһа	bˈuɫhɑ
бутамаска	bˌutɑmˈɑsqɑ
бутыйлар	butˈɯjɫɑr
бухгалтер	buxʁˈɑɫter
бушаган	buʃˈɑʁɑn
бюрократик	bjˌuroqrˈɑtik
бүлгәндә	bylɣˈændæ
бүлекләренең	bˌyleklærˈeneŋ
бүләкнең	bylˈækneŋ
бәйләделәр	bˌæɪlædˈelær
бәйләмнәре	bˌæɪlæmnˈære
бәйләнәләр	bˌæɪlænˈælær
бәйрәмекырымтатарча	bˌæɪrˌæmeqˌɯrɯmtɑtˈɑrɕɑ
бәк	bˈæk
бәкедә	bækˈedæ
бәрелешләрдән	bˌæreleʃlˈærdæn
бәяләгәндә	bˌæjælæɣˈændæ
бөртекләп	bœrtˈeklæp
бөртекләре	bˌœrteklˈære
вазифаларына	wˌɒzifˌɑɫɑrˈɯnɑ
вазыйфадан	wˌɒzɯjfˈɑdɑn
вакыйгада	wˌɒqɯjʁˈɑdɑ
вариантларын	wˌɒriɑntɫˈɑrɯn
ватандашын	wˌɒtɒndˈɑʃɯn
версияләр	wˌersijˈælær
видеолары	wˌideoɫˈɑrɯ
видеосын	wˌideˈosɯn
вилаяте	wˌiɫɑjˈæte
вәгазендә	wˌæʁɑzˈendæ
гадәтен	ʁɒdˈæten
гаепләнүчеләр	ʁˌɒeplˌænyɕˈelær
гаепләнүчеләрнең	ʁˌɒeplˌænyɕelˈærneŋ
гаепләүгә	ʁˌɒeplæˈyɣæ
гаепләүләрен	ʁˌɒeplˌæylˈæren
гаепсезлеге	ʁˌɒepsezlˈeɣe
газетларының	ʁˌɒzetɫɑrˈɯnɯŋ
гаиләбез	ʁˌɒilˈæbez
гаиләләреннән	ʁˌɒilˌælærˈennæn
галәмәт	ʁɒɫˈæmæt
гамәлләренең	ʁˌɒmællærˈeneŋ
гармуннар	ʁɒrmˈunnɑr
гаскәрләрендә	ʁˌɒsqærlærˈendæ
гаскәрләрнең	ʁˌɒsqærlˈærneŋ
гаскәрне	ʁɒsqˈærne
гаугалар	ʁˌɒuʁˈɑɫɑr
гаҗәпләнәм	ʁˌɒʑæplˈænæm
гейларга	ɣˌeɪɫˈɑrʁɑ
генәме	ɣenˈæme
гербы	ɣˈerbɯ
гимнны	ɣˈimnnɯ
гимнның	ɣˈimnnɯŋ
гитара	ɣitˈɑrɑ
гозерен	ʁozˈeren
графикасын	ʁrˌɒfiqˈɑsɯn
графикасына	ʁrˌɒfiqɑsˈɯnɑ
графикасында	ʁrˌɒfiqɑsˈɯndɑ
граффити	ʁrɒffˈiti
греклар	ɣrˈeqɫɑr
гриппы	ɣrˈippɯ
группа	ʁrˈuppɑ
губернаторның	ʁˌubernɑtˈornɯŋ
гыйлемгә	ʁɯjɫˈemɣæ
гүзәллек	ɣyzˈællek
гәепләү	ɣˌæeplˈæy
гәзитләре	ɣˌæzitlˈære
даирәләренә	dˌɒirˌælærˈenæ
даирәсендә	dˌɒiræsˈendæ
даун	dˈɒun
дежур	dˈeʒur
делегациясен	dˌeleʁˌɑtsijˈæsen
демонстрациячеләргә	dˌemonstrˌɑtsijˌæɕelˈærɣæ
депутатка	dˌeputˈɑtqɑ
джаз	dʒˈɒz
диаспорасының	dˌiɑspˌorɑsˈɯnɯŋ
дирижеры	dˌiriʒˈerɯ
дисбесекырымтатарча	dˌisbesˌeqɯrˌɯmtɑtˈɑrɕɑ
дисезме	disˈezme
диңгезендә	dˌiŋɣezˈendæ
догаларны	dˌoʁɑɫˈɑrnɯ
докторлары	dˌoqtorɫˈɑrɯ
документлардан	dˌoqumentɫˈɑrdɑn
документсыз	dˌoqumˈentsɯz
доллары	doɫɫˈɑrɯ
допинг	dˈopiŋɣ
дошманны	doʃmˈɑnnɯ
драмасы	drɒmˈɒsɯ
дуслыкта	dusɫˈɯqtɑ
дустын	dˈustɯn
дәвере	dæwˈere
дәлилләүче	dˌælillæˈyɕe
дәресенә	dˌæresˈenæ
дәреслеккә	dˌæreslˈekkæ
дәрте	dˈærte
дәүләтара	dˌæylætˈɑrɑ
дәүләтләрдән	dˌæylætlˈærdæn
дөньялар	dœnʔjˈæɫɑr
дөрөҫ	dˈœrœθ
дөя	dˈœjæ
егермегә	jˌeɣermˈeɣæ
елгалар	jɯɫʁˈɑɫɑr
еллыкта	jɯɫɫˈɯqtɑ
ерткыч	jˈɯrtqɯɕ
жанрында	ʒɒnrˈɯndɑ
заманам	zɒmˈɒnɑm
зинданга	zindˈɑŋʁɑ
зиннәтле	zinnˈætle
зоналар	zonˈɑɫɑr
зурлар	zˈurɫɑr
идарәдән	ˌidɑrˈædæn
идеологлары	ˌideˌoɫoʁɫˈɑrɯ
идеягә	ˌidejˈæɣæ
икейөзле	ˌikeɪˈœzle
икенчесенең	ˌikenɕesˈeneŋ
икәннәрен	ˌikænnˈæren
илчелегеннән	ˌilɕeleɣˈennæn
имамнарына	ˌimɑmnɑrˈɯnɑ
имамын	imˈɑmɯn
иманга	imˈɑŋʁɑ
имзаларын	ˌimzɑɫˈɑrɯn
иминлеккә	ˌiminlˈekkæ
имласы	imɫˈɑsɯ
империалистик	ˌimperˌiɑɫˈistik
империяне	ˌimperijˈæne
имтиханга	ˌimtixˈɑŋʁɑ
инанган	inˈɑŋʁɑn
инанып	inˈɑnɯp
инспекторы	ˌinspeqtˈorɯ
институтны	ˌinstitˈutnɯ
интегеп	intˈeɣep
иптәшен	iptˈæʃen
иреклекләрне	ˌirekleklˈærne
ирештергән	ˌireʃtˈerɣæn
иркенрәк	irkˈenræk
исемлекләр	ˌisemlˈeklær
истәлекләрне	ˌistæleklˈærne
исәпләре	ˌisæplˈære
исәпләүләргә	ˌisæplˌæylˈærɣæ
итагатьле	ˌitɑʁˈɑtʔɫe
итекләр	itˈeklær
иткәннәрен	ˌitkænnˈæren
иттеме	ittˈeme
итүләренә	ˌitylærˈenæ
ихтималлыгын	ˌixtimɑɫɫˈɯʁɯn
июньнән	ijˈynʔnæn
иясенең	ˌijæsˈeneŋ
иҗатларын	ˌiʑɑtɫˈɑrɯn
йогынтысында	ˌɪoʁˌɯntɯsˈɯndɑ
йозак	ɪˈozɑq
йылдың	ɪˈɯɫdɯŋ
йәки	ɪˈæki
йөкле	ɪˈœkle
йөкләнде	ˌɪœklˈænde
йөргәннән	ˌɪœrɣˈænnæn
йөрерлек	ˌɪœrˈerlek
йөрмәс	ɪˈœrmæs
йөрмәскә	ˌɪœrmˈæskæ
йөрүенә	ˌɪœryˈenæ
йөрүчеләргә	ˌɪœrˌyɕelˈærɣæ
кабатлаган	qˌɒbɒtɫˈɑʁɑn
кабатланды	qˌɒbɒtɫˈɑndɯ
кабатланып	qˌɒbɒtɫˈɑnɯp
кайгыра	qˌɒɪʁˈɯrɑ
кайгыртмый	qˌɒɪʁˈɯrtmɯj
кайт	qˈɒɪt
кайтарганнар	qˌɒɪtɑrʁˈɑnnɑr
кайтарылуын	qˌɒɪtˌɑrɯɫˈuɯn
кайтачакбыз	qˌɒɪtɑɕˈɑqbɯz
кайтуны	qˌɒɪtˈunɯ
какшата	qɒqʃˈɒtɑ
калаларда	qˌɒɫɒɫˈɑrdɑ
каласын	qɒɫˈɒsɯn
калдырмас	qɒɫdˈɯrmɑs
калдыруга	qˌɒɫdɯrˈuʁɑ
калдырыр	qɒɫdˈɯrɯr
калмадык	qɒɫmˈɒdɯq
калыйк	qˈɒɫɯjq
калырбыз	qɒɫˈɯrbɯz
калышып	qɒɫˈɯʃɯp
камилләшә	qˌɒmillˈæʃæ
канунының	qˌɒnunˈɯnɯŋ
кап	qˈɒp
каплар	qˈɒpɫɒr
караучыларның	qˌɒrɒˌuɕɯɫˈɑrnɯŋ
карашларына	qˌɒrɒʃɫɑrˈɯnɑ
караштагы	qˌɒrɒʃtˈɑʁɯ
караштан	qɒrˈɒʃtɑn
карашына	qˌɒrɒʃˈɯnɑ
кардәшләребезгә	qˌɒrdæʃlˌærebˈezɣæ
картлык	qˈɒrtɫɯq
каршыда	qɒrʃˈɯdɑ
каршылау	qˌɒrʃɯɫˈɑu
катка	qˈɒtqɒ
катламын	qɒtɫˈɒmɯn
катнашмаса	qˌɒtnɒʃmˈɑsɑ
катнашмаячак	qˌɒtnɒʃmɑjˈɑɕɑq
катнаштыру	qˌɒtnɒʃtˈɯru
католиклар	qˌɒtoɫˈiqɫɑr
кафедрасында	qˌɒfedrɑsˈɯndɑ
качакларына	qˌɒɕɒqɫɑrˈɯnɑ
кеби	kˈebi
кемнәргә	kemnˈærɣæ
керемнәр	kerˈemnær
керештем	kerˈeʃtem
керткәч	kˈertkæɕ
керәшеннәргә	kˌeræʃennˈærɣæ
кесәгә	kesˈæɣæ
кешедер	keʃˈeder
кибетнең	kibˈetneŋ
киеменең	kˌiemˈeneŋ
киемнәрендә	kˌiemnærˈendæ
килерме	kilˈerme
килешмибез	kˌileʃmˈibez
килештерелгән	kˌileʃterˈelɣæn
килештереп	kˌileʃtˈerep
килешүеннән	kˌileʃyˈennæn
килмәгәе	kˌilmæɣˈæe
килмәделәр	kˌilmædˈelær
киләсен	kilˈæsen
кимер	kˈimer
киметәчәк	kˌimetˈæɕæk
кинолары	kˌinoɫˈɑrɯ
кинотеатры	kˌinoteˈɑtrɯ
кинофильм	kinˈofilʔm
киртәне	kirtˈæne
китапларыннан	kˌitɑpɫɑrˈɯnnɑn
кителгән	kitˈelɣæn
китергәнен	kˌiterɣˈænen
китердек	kitˈerdek
китерелүе	kˌiterelˈye
китерик	kitˈerik
китерсен	kitˈersen
китертү	kitˈerty
китерәчәге	kˌiteræɕˈæɣe
китерәчәгенә	kˌiterˌæɕæɣˈenæ
китмәсен	kitmˈæsen
китүчеләрнең	kˌityɕelˈærneŋ
китәрлек	kitˈærlek
кичектерелә	kˌiɕekterˈelæ
кичерүен	kˌiɕerˈyen
кичкән	kˈiɕkæn
киңәеп	kiŋˈæep
киңәйде	kˌiŋæˈɪde
киңәшләшү	kˌiŋæʃlˈæʃy
киңәшмәсе	kˌiŋæʃmˈæse
клиентлар	kliˈentɫɑr
клубны	qɫˈubnɯ
коела	qoˈeɫɑ
коелган	qoˈeɫʁɑn
коену	qoˈenu
коймалар	qˌoɪmˈɑɫɑr
коллегиядә	qˌoɫɫeɣijˈædæ
колхозда	qoɫxˈozdɑ
колы	qˈoɫɯ
комачаулады	qˌomɑɕˌɑuɫˈɑdɯ
комендант	qomˈendɑnt
комитетлар	qˌomitˈetɫɑr
композиторларның	qˌompozˌitorɫˈɑrnɯŋ
комсомолец	qˌomsomˈoɫets
конвенциясе	qˌonwentsijˈæse
конкурста	qonqˈurstɑ
консерватория	qˌonserwˌɑtorˈijæ
консуллыгында	qˌonsuɫɫɯʁˈɯndɑ
координацияләү	qˌoordˌinɑtsˌijælˈæy
коралсызлану	qˌorɑɫsɯzɫˈɑnu
коридор	qorˈidor
коручылар	qˌoruɕˈɯɫɑr
корылмаган	qˌorɯɫmˈɑʁɑn
корылтайлары	qˌorɯɫtˌɑɪɫˈɑrɯ
кошы	qˈoʃɯ
кояшка	qojˈɑʃqɑ
кояшта	qojˈɑʃtɑ
край	qrˈɒɪ
кредитка	kredˈitqɑ
куанам	quˈɑnɑm
куелу	quˈeɫu
кулдагы	quɫdˈɑʁɯ
кулландык	quɫɫˈɑndɯq
кулланмаган	qˌuɫɫɑnmˈɑʁɑn
куллануларын	qˌuɫɫɑnuɫˈɑrɯn
кулларны	quɫɫˈɑrnɯ
кулсыз	qˈuɫsɯz
кулыбыздан	qˌuɫɯbˈɯzdɑn
кунакчыл	qunˈɑqɕɯɫ
куркынычсыз	qˌurqɯnˈɯɕsɯz
курорт	qˈurort
куштым	qˈuʃtɯm
кушылуны	qˌuʃɯɫˈunɯ
куылу	quˈɯɫu
куюда	qujˈudɑ
куярбыз	qujˈɑrbɯz
куәтли	quˈætli
кыенлыкларны	qˌɯenɫɯqɫˈɑrnɯ
кызгану	qɯzʁˈɑnu
кызымның	qɯzˈɯmnɯŋ
кыйнадылар	qˌɯjnɑdˈɯɫɑr
кылганын	qɯɫʁˈɑnɯn
кылуны	qɯɫˈunɯ
кырт	qˈɯrt
кыскан	qˈɯsqɑn
кыскарта	qɯsqˈɑrtɑ
кысуга	qɯsˈuʁɑ
кыюрак	qɯjˈurɑq
күзаллавы	kˌyzɑɫɫˈɑwɯ
күзләрендә	kˌyzlærˈendæ
күзәтүен	kˌyzætˈyen
күктә	kˈyktæ
күлендә	kylˈendæ
күлмәкләре	kˌylmæklˈære
күләменә	kˌylæmˈenæ
күмәкләп	kymˈæklæp
күплеген	kyplˈeɣen
күпчелегенә	kˌypɕeleɣˈenæ
күргәзмәнең	kˌyrɣæzmˈæneŋ
күргәнегез	kˌyrɣænˈeɣez
күреләчәк	kˌyrelˈæɕæk
күрешкән	kyrˈeʃkæn
күрке	kˈyrke
күрсәгез	kyrsˈæɣez
күрсәтелеп	kˌyrsætˈelep
күрсәткәне	kˌyrsætkˈæne
күрсәтмичә	kˌyrsætmˈiɕæ
күрсәтмәделәр	kˌyrsætmædˈelær
күрсәтсәк	kyrsˈætsæk
күрәме	kyrˈæme
күрәчәкбез	kˌyræɕˈækbez
күтәргәндә	kˌytærɣˈændæ
күчсә	kˈyɕsæ
күңелемдә	kˌyŋelˈemdæ
күңелемне	kˌyŋelˈemne
күңелемнән	kˌyŋelˈemnæn
кәефләр	kæˈeflær
кәефләре	kˌæeflˈære
көйли	kœˈɪli
көйләнгән	kˌœɪlˈæŋɣæn
көймәсенә	kˌœɪmæsˈenæ
көл	kˈœl
көлдереп	kœldˈerep
көлемсерәп	kˌœlemsˈeræp
көннәрдән	kœnnˈærdæn
көнчыгыштан	kˌœnɕɯʁˈɯʃtɑn
көньяктагы	kˌœnʔjæqtˈɑʁɯ
көрәшүен	kˌœræʃˈyen
көрәшүнең	kˌœræʃˈyneŋ
көттеләр	kœttˈelær
көтүчеләр	kˌœtyɕˈelær
көчәюенә	kˌœɕæjyˈenæ
лагерьларында	ɫˌɒʁerʔɫɑrˈɯndɑ
ларга	ɫˈɒrʁɒ
легион	leɣˈion
легионында	lˌeɣionˈɯndɑ
листовка	listˈowqɑ
лояль	ɫˈojɑɫʔ
магнит	mˈɒʁnit
маддәдән	mɒddˈædæn
маддәләре	mˌɒddælˈære
максатлардан	mˌɒqsɒtɫˈɑrdɑn
максатларыннан	mˌɒqsɒtɫɑrˈɯnnɑn
максатыбызга	mˌɒqsɒtɯbˈɯzʁɑ
максатындагы	mˌɒqsɒtɯndˈɑʁɯ
мактанырга	mˌɒqtɒnˈɯrʁɑ
манаралы	mˌɒnɒrˈɑɫɯ
манарасына	mˌɒnɒrɑsˈɯnɑ
мартыннан	mɒrtˈɯnnɑn
маршына	mɒrʃˈɯnɑ
матдәсе	mɒtdˈæse
матчы	mˈɒtɕɯ
мафия	mɒfˈijæ
маяк	mˈɒjɑq
медальгә	medˈɑɫʔʁæ
медальләре	mˌedɑɫʔɫˈære
медиага	mˌediˈɑʁɑ
медианы	mˌediˈɑnɯ
милләтеңне	mˌillætˈeŋne
милләтпәрвәрләр	mˌillætpærwˈærlær
милләттәшләре	mˌillættæʃlˈære
министрга	minˈistrʁɑ
министрларны	mˌinistrɫˈɑrnɯ
министрлыкка	mˌinistrɫˈɯqqɑ
минус	mˈinus
мира	mˈirɑ
мисалга	misˈɑɫʁɑ
митингтан	mitˈiŋʁtɑn
мосолман	mosˈoɫmɑn
мотивация	mˌotiwɑtsˈijæ
мохтарияты	mˌoxtɑrijˈætɯ
моңны	mˈoŋnɯ
муеннан	muˈennɑn
мәгарифтәге	mˌæʁɑriftˈæɣe
мәглүмат	mæɣlˈymɑt
мәдрәсәләрне	mˌædræsælˈærne
мәдәниятын	mˌædænijˈætɯn
мәетләрен	mˌæetlˈæren
мәетнең	mæˈetneŋ
мәкаләгә	mˌæqɑɫˈæɣæ
мәкаләләргә	mˌæqɑɫælˈærɣæ
мәрхүмне	mærxˈymne
мәсхәрәләү	mˌæsxærælˈæy
мәхкамә	mæxqˈɑmæ
мәхкәмәләрнең	mˌæxkæmælˈærneŋ
мәхкәмәсен	mˌæxkæmˈæsen
мәхәлләгә	mˌæxællˈæɣæ
мәхәлләләрне	mˌæxællælˈærne
мәһабәт	mæhˈɑbæt
мөддәтле	mœddˈætle
мөнбәрдән	mœnbˈærdæn
мөнәсәбәтем	mˌœnæsæbˈætem
мөнәҗәт	mœnˈæʑæt
мөселманлык	mˌœseɫmˈɑnɫɯq
мөселманы	mˌœseɫmˈɑnɯ
мөфтияттән	mˌœftijˈættæn
мөхаррире	mˌœxɑrrˈire
мөһаҗирләр	mˌœhɑʑˈirlær
народа	nɒrˈodɑ
начараю	nˌɒɕɒrˈɑju
нейтраль	neˈɪtrɑɫʔ
нефтьтән	nˈeftʔtæn
нигезендәге	nˌiɣezendˈæɣe
нигезләнде	nˌiɣezlˈænde
никахлашучылар	nˌiqɑxɫˌɑʃuɕˈɯɫɑr
ниндәй	nindˈæɪ
