अ	ɐ
वर्ण	ʋɐɾɳɐ
वर्ण	ʋɐ́ɾɳɐ
वर्णयति	ʋɐɾɳɐjɐt̪i
वर्तति	ʋɐɾt̪ɐt̪i
वर्तते	ʋɐɾt̪ɐt̪eː
वर्तते	ʋɐ́ɾt̪ɐt̪ɐj
वर्तनी	ʋɐɾt̪ɐn̪iː
वर्तनी	ʋɐɾt̪ɐn̪íː
वर्तिस्	ʋɐɾt̪is̪
वर्तिस्	ʋɐɾt̪ís̪
वर्त्मन्	ʋɐɾt̪mɐn̪
वर्त्मन्	ʋɐ́ɾt̪mɐn̪
वर्धति	ʋɐɾd̪ʱɐt̪i
वर्धति	ʋɐ́ɾd̪ʱɐt̪i
वर्पस्	ʋɐɾpɐs̪
वर्पस्	ʋɐ́ɾpɐs̪
वर्वट	ʋɐɾʋɐʈɐ
वर्ष	ʋɐɾʂɐ
वर्ष	ʋɐɾʂɐ́
वर्षति	ʋɐɾʂɐt̪i
वर्षति	ʋɐ́ɾʂɐt̪i
वर्षा	ʋɐɾʂɑː
वर्षा	ʋɐɾʂɑ́ː
वल	ʋɐl̪ɐ
वल	ʋɐl̪ɐ́
वलति	ʋɐl̪ɐt̪i
वलते	ʋɐl̪ɐt̪eː
वलते	ʋɐl̪ɐt̪ɐj
वल्	ʋɐl̪
वल्क	ʋɐl̪kɐ
वल्क	ʋɐl̪kɐ́
ववर्त	ʋɐʋɐɾt̪ɐ
ववर्त	ʋɐʋɐ́ɾt̪ɐ
ववर्ध	ʋɐʋɐɾd̪ʱɐ
ववर्ध	ʋɐʋɐ́ɾd̪ʱɐ
वशत्व	ʋɐɕɐt̪ʋɐ
वशात्व	ʋɐɕɑːt̪ʋɐ
वष्टि	ʋɐʂʈi
वष्टि	ʋɐ́ʂʈi
वसति	ʋɐs̪ɐt̪i
वसति	ʋɐs̪ɐt̪í
वसति	ʋɐ́s̪ɐt̪i
वसन्त	ʋɐs̪ɐn̪t̪ɐ
वसन्त	ʋɐs̪ɐn̪t̪ɐ́
वसन्तर्तु	ʋɐs̪ɐn̪t̪ɐɾt̪u
वसन्तर्तु	ʋɐs̪ɐn̪t̪ɐɾt̪ú
वसन्तर्तु	ʋɐs̪ɐn̪t̪ɐ́ɾt̪u
वसा	ʋɐs̪ɑː
वसा	ʋɐ́s̪ɑː
वसिष्ठ	ʋɐs̪iʂʈʰɐ
वसिष्ठ	ʋɐ́s̪iʂʈʰɐ
वसु	ʋɐs̪u
वसु	ʋɐ́s̪u
वस्ति	ʋɐs̪t̪i
वस्ति	ʋɐs̪t̪í
वस्ते	ʋɐs̪t̪eː
वस्ते	ʋɐ́s̪t̪ɐj
वस्त्र	ʋɐs̪t̪ɾɐ
वस्त्र	ʋɐ́s̪t̪ɾɐ
वस्मन्	ʋɐs̪mɐn̪
वस्मन्	ʋɐ́s̪mɐn̪
वस्यस्	ʋɐs̪jɐs̪
वस्यस्	ʋɐ́s̪jɐs̪
वहति	ʋɐɦɐt̪i
वहति	ʋɐ́ɦɐt̪i
वहित्र	ʋɐɦit̪ɾɐ
वह्	ʋɐɦ
वा	ʋɑː
वाक्य	ʋɑːkjɐ
वाच्	ʋɑːt͡ɕ
वाच्	ʋɑ́ːt͡ɕ
वाज	ʋɑːd͡ʑɐ
वाज	ʋɑ́ːd͡ʑɐ
वाटर	ʋɑːʈɐɾɐ
वाटिका	ʋɑːʈikɑː
वाण	ʋɑːɳɐ
वाणि	ʋɑːɳi
वाणि	ʋɑ́ːɳi
वाणी	ʋɑːɳiː
वाणी	ʋɑ́ːɳiː
वात	ʋɑːt̪ɐ
वात	ʋɑ́ːt̪ɐ
वाताद	ʋɑːt̪ɑːd̪ɐ
वाताम	ʋɑːt̪ɑːmɐ
वातायन	ʋɑːt̪ɑːjɐn̪ɐ
वातावरण	ʋɑːt̪ɑːʋɐɾɐɳɐ
वाति	ʋɑːt̪i
वाति	ʋɑ́ːt̪i
वातिङ्गण	ʋɑːt̪iŋɡɐɳɐ
वाद्य	ʋɑːd̪jɐ
वाद्य	ʋɑ́ːd̪jɐ
वानर	ʋɑːn̪ɐɾɐ
वापी	ʋɑːpiː
वामन	ʋɑːmɐn̪ɐ
वामन	ʋɑːmɐn̪ɐ́
वायु	ʋɑːju
वायु	ʋɑːjú
वार	ʋɑːɾɐ
वार	ʋɑ́ːɾɐ
वारक	ʋɑːɾɐkɐ
वारकिन्	ʋɑːɾɐkin̪
वारा	ʋɑːɾɑː
वारि	ʋɑːɾi
वारि	ʋɑ́ːɾi
वार्त्ता	ʋɑːɾt̪t̪ɑː
वार्षिक	ʋɑːɾʂikɐ
वाल	ʋɑːl̪ɐ
वाला	ʋɑːl̪ɑː
वाले	ʋɑːl̪eː
वाले	ʋɑːl̪ɐj
वाष्प	ʋɑːʂpɐ
वाष्प	ʋɑːʂpɐ́
वास	ʋɑːs̪ɐ
वास	ʋɑːs̪ɐ́
वासर	ʋɑːs̪ɐɾɐ
वास्तु	ʋɑːs̪t̪u
वास्तु	ʋɑ́ːs̪t̪u
वाहन	ʋɑːɦɐn̪ɐ
वाहन	ʋɑ́ːɦɐn̪ɐ
वि	ʋi
वि	ʋí
विंशति	ʋĩɕɐt̪i
विंशति	ʋĩɕɐt̪í
विकट	ʋikɐʈɐ
विकट	ʋíkɐʈɐ
विकास	ʋikɑːs̪ɐ
विकृत	ʋikr̩t̪ɐ
विकृत	ʋíkr̩t̪ɐ
विक्रेतृ	ʋikɾeːt̪r̩
विक्रेतृ	ʋikɾɐjt̪r̩
विचेष्टति	ʋit͡ɕeːʂʈɐt̪i
विचेष्टति	ʋit͡ɕɐjʂʈɐt̪i
विज्	ʋid͡ʑ
विज्ञान	ʋid͡ʑɲɑːn̪ɐ
विट्	ʋiʈ
विट्	ʋíʈ
वितस्ति	ʋit̪ɐs̪t̪i
वितस्ति	ʋít̪ɐs̪t̪i
वित्त	ʋit̪t̪ɐ
वित्त	ʋit̪t̪ɐ́
विदा	ʋid̪ɑː
विदाह	ʋid̪ɑːɦɐ
विदाहक	ʋid̪ɑːɦɐkɐ
विद्	ʋid̪
विद्यते	ʋid̪jɐt̪eː
विद्यते	ʋid̪jɐ́t̪ɐj
विद्या	ʋid̪jɑː
विद्या	ʋid̪jɑ́ː
विद्यादेवी	ʋid̪jɑːd̪eːʋiː
विद्यादेवी	ʋid̪jɑːd̪ɐjʋiː
विद्यार्थिनी	ʋid̪jɑːɾt̪ʰin̪iː
विद्यार्थिन्	ʋid̪jɑːɾt̪ʰin̪
विद्युत्	ʋid̪jut̪
विद्युत्	ʋid̪jút̪
विद्वस्	ʋid̪ʋɐs̪
विद्वान्	ʋid̪ʋɑːn̪
विधवा	ʋid̪ʱɐʋɑː
विधवा	ʋid̪ʱɐ́ʋɑː
विधि	ʋid̪ʱi
विनक्ति	ʋin̪ɐkt̪i
विना	ʋin̪ɑː
विना	ʋín̪ɑː
विनिमय	ʋin̪imɐjɐ
विनीत	ʋin̪iːt̪ɐ
विन्ते	ʋin̪t̪eː
विन्ते	ʋin̪t̪ɐj
विन्त्ते	ʋin̪t̪t̪eː
विन्त्ते	ʋin̪t̪t̪ɐj
विन्दति	ʋin̪d̪ɐt̪i
विन्दति	ʋin̪d̪ɐ́t̪i
विन्यास	ʋin̪jɑːs̪ɐ
विपरिवर्तन	ʋipɐɾiʋɐɾt̪ɐn̪ɐ
विफल	ʋipʰɐl̪ɐ
विभूति	ʋibʱuːt̪i
विमान	ʋimɑːn̪ɐ
विमान	ʋímɑːn̪ɐ
वियाति	ʋijɑːt̪i
विरुद्ध	ʋiɾud̪d̪ʱɐ
विरोधालंकार	ʋiɾoːd̪ʱɑːl̪ɐŋkɑːɾɐ
विरोधालंकार	ʋiɾɐwd̪ʱɑːl̪ɐŋkɑːɾɐ
विलक्षण	ʋil̪ɐkʂɐɳɐ
विवेश	ʋiʋeːɕɐ
विवेश	ʋiʋɐ́jɕɐ
विशति	ʋiɕɐt̪i
विशति	ʋiɕɐ́t̪i
विशाल	ʋiɕɑːl̪ɐ
विशाल	ʋiɕɑːl̪ɐ́
विशेषज्ञ	ʋiɕeːʂɐd͡ʑɲɐ
विशेषज्ञ	ʋiɕɐjʂɐd͡ʑɲɐ
विशेषण	ʋiɕeːʂɐɳɐ
विशेषण	ʋiɕɐjʂɐɳɐ
विश्	ʋiɕ
विश्	ʋíɕ
विश्पति	ʋiɕpɐt̪i
विश्पति	ʋiɕpɐ́t̪i
विश्व	ʋiɕʋɐ
विश्व	ʋíɕʋɐ
विश्वकर्मन्	ʋiɕʋɐkɐɾmɐn̪
विश्वस्	ʋiɕʋɐs̪
विश्वास	ʋiɕʋɑːs̪ɐ
विष	ʋiʂɐ
विष	ʋiʂɐ́
विष	ʋíʂɐ
विषकन्या	ʋiʂɐkɐn̪jɑː
विषुव	ʋiʂuʋɐ
विष्णु	ʋɪʂɳʊ
विसर्ग	ʋis̪ɐɾɡɐ
विसर्ग	ʋis̪ɐɾɡɐ́
विसृष्टि	ʋis̪r̩ʂʈi
विसृष्टि	ʋís̪r̩ʂʈi
विस्मय	ʋis̪mɐjɐ
वी	ʋiː
वी	ʋíː
वीचि	ʋiːt͡ɕi
वीचिस्	ʋiːt͡ɕis̪
वीचिस्	ʋíːt͡ɕis̪
वीडु	ʋiːɖu
वीडु	ʋiːɖú
वीणा	ʋiːɳɑː
वीणा	ʋíːɳɑː
वीतभी	ʋiːt̪ɐbʱiː
वीतभी	ʋiːt̪ɐbʱíː
वीतभीति	ʋiːt̪ɐbʱiːt̪i
वीतमन्यु	ʋiːt̪ɐmɐn̪ju
वीति	ʋiːt̪i
वीति	ʋiːt̪í
वीतिराधस्	ʋiːt̪iɾɑːd̪ʱɐs̪
वीतिराधस्	ʋiːt̪íɾɑːd̪ʱɐs̪
वीर	ʋiːɾɐ
वीर	ʋiːɾɐ́
वीरता	ʋiːɾɐt̪ɑː
वीरुध्	ʋiːɾud̪ʱ
वीरुध्	ʋiːɾúd̪ʱ
वीळु	ʋiːɭ̆u
वीळु	ʋiːɭ̆ú
वृक	ʋr̩kɐ
वृक	ʋŕ̩kɐ
वृकी	ʋr̩kiː
वृकी	ʋr̩kíː
वृक्क	ʋr̩kkɐ
वृक्क	ʋr̩kkɐ́
वृक्ते	ʋr̩kt̪eː
वृक्ते	ʋr̩kt̪ɐj
वृक्ष	ʋr̩kʂɐ
वृक्ष	ʋr̩kʂɐ́
वृक्षशायिका	ʋr̩kʂɐɕɑːjikɑː
वृणक्ति	ʋr̩ɳɐkt̪i
वृणोति	ʋr̩ɳoːt̪i
वृणोति	ʋr̩ɳɐ́wt̪i
वृत्	ʋr̩t̪
वृत्र	ʋr̩t̪ɾɐ
वृत्र	ʋr̩t̪ɾɐ́
वृत्रघ्ने	ʋr̩t̪ɾɐɡʱn̪eː
वृत्रघ्ने	ʋr̩t̪ɾɐɡʱn̪ɐ́j
वृत्रहन्	ʋr̩t̪ɾɐɦɐn̪
वृत्रहन्	ʋr̩t̪ɾɐɦɐ́n̪
वृद्ध	ʋr̩d̪d̪ʱɐ
वृद्ध	ʋr̩d̪d̪ʱɐ́
वृद्धि	ʋr̩d̪d̪ʱi
वृद्धि	ʋŕ̩d̪d̪ʱi
वृश्चिक	ʋr̩ɕt͡ɕikɐ
वृश्चिक	ʋŕ̩ɕt͡ɕikɐ
वृषन्	ʋr̩ʂɐn̪
वृषन्	ʋŕ̩ʂɐn̪
वृषभ	ʋr̩ʂɐbʱɐ
वृषभ	ʋr̩ʂɐbʱɐ́
वृष्ट	ʋr̩ʂʈɐ
वृष्ट	ʋr̩ʂʈɐ́
वृष्टि	ʋr̩ʂʈi
वृष्टि	ʋr̩ʂʈí
वृष्टि	ʋŕ̩ʂʈi
वृष्णि	ʋr̩ʂɳi
वृष्णि	ʋr̩ʂɳí
वृष्णि	ʋŕ̩ʂɳi
वेग	ʋeːɡɐ
वेग	ʋɐjɡɐ
वेट	ʋeːʈɐ
वेट	ʋɐjʈɐ
वेत्ति	ʋeːt̪t̪i
वेत्ति	ʋɐ́jt̪t̪i
वेद	ʋeːd̪ɐ
वेद	ʋɐjd̪ɐ
वेद	ʋɐ́jd̪ɐ
वेदस्	ʋeːd̪ɐs̪
वेदस्	ʋɐ́jd̪ɐs̪
वेदि	ʋeːd̪i
वेदि	ʋɐ́jd̪i
वेद्या	ʋeːd̪jɑː
वेद्या	ʋɐjd̪jɑ́ː
वेलाभूमि	ʋeːl̪ɑːbʱuːmi
वेलाभूमि	ʋɐjl̪ɑːbʱuːmi
वेवेक्ति	ʋeːʋeːkt̪i
वेवेक्ति	ʋɐjʋɐjkt̪i
वेवेष्टि	ʋeːʋeːʂʈi
वेवेष्टि	ʋɐjʋɐjʂʈi
वेश्या	ʋeːɕjɑː
वेश्या	ʋɐjɕjɑː
वेष	ʋeːʂɐ
वेष	ʋɐ́jʂɐ
वैकुण्ठ	ʋɑjkuɳʈʰɐ
वैकुण्ठ	ʋɑːjkuɳʈʰɐ́
वैज्ञानिक	ʋɑjd͡ʑɲɑːn̪ikɐ
वैज्ञानिक	ʋɑːjd͡ʑɲɑːn̪ikɐ
वैदर्भ	ʋɑjd̪ɐɾbʱɐ
वैदर्भ	ʋɑːjd̪ɐɾbʱɐ
वैदिक	ʋɑjd̪ikɐ
वैदिक	ʋɑːjd̪ikɐ́
वैद्युतक	ʋɑjd̪jut̪ɐkɐ
वैद्युतक	ʋɑːjd̪jut̪ɐkɐ
वैश्वानर	ʋɑjɕʋɑːn̪ɐɾɐ
वैश्वानर	ʋɑːjɕʋɑːn̪ɐɾɐ́
वैष्णव	ʋɑjʂɳɐʋɐ
वैष्णव	ʋɑːjʂɳɐʋɐ́
वोढृ	ʋoːɖʱr̩
वोढृ	ʋɐwɖʱŕ̩
वोढृ	ʋɐ́wɖʱr̩
वोळ्हृ	ʋoːɭ̆ɦr̩
वोळ्हृ	ʋɐwɭ̆ɦŕ̩
व्यजन	ʋjɐd͡ʑɐn̪ɐ
व्यञ्चन	ʋjɐɲt͡ɕɐn̪ɐ
व्यञ्जन	ʋjɐɲd͡ʑɐn̪ɐ
व्यधिकरण	ʋjɐd̪ʱikɐɾɐɳɐ
व्यन्तर	ʋjɐn̪t̪ɐɾɐ
व्यर्थ	ʋjɐɾt̪ʰɐ
व्याकरण	ʋjɑːkɐɾɐɳɐm
व्याघ्र	ʋjɑːɡʱɾɐ
व्याघ्र	ʋjɑːɡʱɾɐ́
व्यान	ʋjɑːn̪ɐ
व्यान	ʋjɑːn̪ɐ́
व्यायम्	ʋjɑːjɐm
व्यायाम	ʋjɑːjɑːmɐ
व्यायाम	ʋjɑːjɑːmɐ́
व्युत्पादक	ʋjut̪pɑːd̪ɐkɐ
व्युष्टि	ʋjuʂʈi
व्युष्टि	ʋíjuʂʈi
व्रत	ʋɾɐt̪ɐ
व्रत	ʋɾɐt̪ɐ́
व्रीडति	ʋɾiːɖɐt̪i
शं	ɕɐm
शं	ɕɐ́m
शंकर	ɕɐŋkɐɾɐ
शंकर	ɕɐŋkɐɾɐ́
शंतनु	ɕɐn̪t̪ɐn̪u
शंतनु	ɕɐ́n̪t̪ɐn̪u
शंस	ɕɐ̃s̪ɐ
शंस	ɕɐ̃́s̪ɐ
शंसति	ɕɐ̃s̪ɐt̪i
शंसति	ɕɐ̃́s̪ɐt̪i
शक	ɕɐkɐ
शकटव्यूह	ɕɐkɐʈɐʋjuːɦɐ
शकटाल	ɕɐkɐʈɑːl̪ɐ
शकार	ɕɐkɑːɾɐ
शक्ति	ɕɐkt̪i
शक्ति	ɕɐkt̪í
शक्ति	ɕɐ́kt̪i
शक्नोति	ɕɐkn̪oːt̪i
शक्नोति	ɕɐkn̪ɐ́wt̪i
शङ्कते	ɕɐŋkɐt̪eː
शङ्कते	ɕɐ́ŋkɐt̪ɐj
शङ्के	ɕɐŋkeː
शङ्के	ɕɐŋkɐj
शङ्ख	ɕɐŋkʰɐ
शङ्ख	ɕɐŋkʰɐ́
शत	ɕɐt̪ɐ
शत	ɕɐt̪ɐ́
शत्रवः	ɕɐt̪ɾɐʋɐh
शत्रवे	ɕɐt̪ɾɐʋeː
शत्रवे	ɕɐt̪ɾɐʋɐj
शत्रु	ɕɐt̪ɾu
शत्रु	ɕɐ́t̪ɾu
शत्रुः	ɕɐt̪ɾuh
शत्रुणा	ɕɐt̪ɾuɳɑː
शत्रुत्व	ɕɐt̪ɾut̪ʋɐ
शत्रुत्व	ɕɐt̪ɾut̪ʋɐ́
शत्रुभिः	ɕɐt̪ɾubʱih
शत्रुभ्यः	ɕɐt̪ɾubʱjɐh
शत्रुभ्याम्	ɕɐt̪ɾubʱjɑːm
शत्रुम्	ɕɐt̪ɾum
शत्रुषु	ɕɐt̪ɾuʂu
शत्रू	ɕɐt̪ɾuː
शत्रूणाम्	ɕɐt̪ɾuːɳɑːm
शत्रून्	ɕɐt̪ɾuːn̪
शत्रो	ɕɐt̪ɾoː
शत्रो	ɕɐt̪ɾɐw
शत्रोः	ɕɐt̪ɾoːh
शत्रोः	ɕɐt̪ɾɐwh
शत्रौ	ɕɐt̪ɾɑw
शत्रौ	ɕɐt̪ɾɑːw
शत्र्वः	ɕɐt̪ɾʋɐh
शत्र्वा	ɕɐt̪ɾʋɑː
शत्र्वे	ɕɐt̪ɾʋeː
शत्र्वे	ɕɐt̪ɾʋɐj
शत्र्वोः	ɕɐt̪ɾʋoːh
शत्र्वोः	ɕɐt̪ɾʋɐwh
शनि	ɕɐn̪i
शन्तनु	ɕɐn̪t̪ɐn̪u
शप्	ɕɐp
शफ	ɕɐpʰɐ
शफ	ɕɐpʰɐ́
शफर	ɕɐpʰɐɾɐ
शब्द	ɕɐbd̪ɐ
शब्द	ɕɐ́bd̪ɐ
शब्दकोश	ɕɐbd̪ɐkoːɕɐ
शब्दार्थ	ɕɐbd̪ɑːɾt̪ʰɐh
शब्दालंकार	ɕɐbd̪ɑːl̪ɐŋkɑːɾɐ
शम्	ɕɐm
शम्	ɕɐ́m
शम्ब	ɕɐmbɐ
शम्ब	ɕɐ́mbɐ
शयन	ɕɐjɐn̪ɐ
शयनागार	ɕɐjɐn̪ɑːɡɑːɾɐ
शय्या	ɕeːjɑː
शय्या	ɕɐjjɑː
शर	ɕɐɾɐ
शर	ɕɐɾɐ́
शरण	ɕɐɾɐɳɐ
शरण	ɕɐɾɐ́ɳɐ
शरदा	ɕɐɾɐd̪ɑː
शरदा	ɕɐɾɐ́d̪ɑː
शरद्	ɕɐɾɐd̪
शरद्	ɕɐɾɐ́d̪
शरभ	ɕɐɾɐbʱɐ
शरभ	ɕɐɾɐbʱɐ́
शरस्	ɕɐɾɐs̪
शरस्	ɕɐ́ɾɐs̪
शरारु	ɕɐɾɑːɾu
शरारु	ɕɐɾɑ́ːɾu
शरु	ɕɐɾu
शरु	ɕɐ́ɾu
शर्कर	ɕɐɾkɐɾɐ
शर्ध	ɕɐɾd̪ʱɐ
शर्ध	ɕɐ́ɾd̪ʱɐ
शर्म	ɕɐɾmɐ
शर्मण्यदेश	ɕɐɾmɐɳjɐd̪eːɕɐ
शर्मन्	ɕɐɾmɐn̪
शर्मन्	ɕɐ́ɾmɐn̪
शल्य	ɕɐl̪jɐ
शल्य	ɕɐl̪jɐ́
शल्यकार	ɕɐl̪jɐkɑːɾɐ
शल्यक्रिया	ɕɐl̪jɐkɾijɑː
शवस्	ɕɐʋɐs̪
शवस्	ɕɐ́ʋɐs̪
शश	ɕɐɕɐ
शश	ɕɐɕɐ́
शष्प	ɕɐʂpɐ
शष्प	ɕɐ́ʂpɐ
शष्पिञ्जर	ɕɐʂpiɲd͡ʑɐɾɐ
शष्पिञ्जर	ɕɐʂpíɲd͡ʑɐɾɐ
शस्त	ɕɐs̪t̪ɐ
शस्त	ɕɐs̪t̪ɐ́
शस्त्र	ɕɐs̪t̪ɾɐ
शस्त्र	ɕɐs̪t̪ɾɐ́
शांतनु	ɕɑːn̪t̪ɐn̪u
शाक	ɕɑːkɐ
शाकपुष्प	ɕɑːkɐpuʂpɐ
शाक्त	ɕɑːkt̪ɐ
शाक्यमुनि	ɕɑːkjɐmun̪i
शान्तनु	ɕɑːn̪t̪ɐn̪u
शाप	ɕɑːpɐ
शाब्दिक	ɕɑːbd̪ikɐ
शाम	ɕɑːmɐ
शाम	ɕɑːmɐ́
शारद	ɕɑːɾɐd̪ɐ
शारद	ɕɑːɾɐd̪ɐ́
शारीरिक	ɕɑːɾiːɾikɐ
शार्क	ɕɑːɾkɐ
शाल	ɕɑːl̪ɐ
शाल	ɕɑːl̪ɐ́
शाला	ɕɑːl̪ɑː
शाला	ɕɑ́ːl̪ɑː
शालिवाहन	ɕɑːl̪iʋɑːɦɐn̪ɐ
शाव	ɕɑːʋɐ
शावक	ɕɑːʋɐkɐ
शासन	ɕɑːs̪ɐn̪ɐ
शास्ति	ɕɑːs̪t̪i
शास्ति	ɕɑ́ːs̪t̪i
शास्त्र	ɕɑːs̪t̪ɾɐ
शास्त्रिणी	ɕɑːs̪t̪ɾiɳiː
शास्त्रिन्	ɕɑːs̪t̪ɾin̪
शिंषन्ति	ɕĩʂɐn̪t̪i
शिंषाते	ɕĩʂɑːt̪eː
शिंषाते	ɕĩʂɑːt̪ɐj
शिंष्टः	ɕĩʂʈɐh
शिंष्टे	ɕĩʂʈeː
शिंष्टे	ɕĩʂʈɐj
शिंष्ठ	ɕĩʂʈʰɐ
शिंष्ठः	ɕĩʂʈʰɐh
शिंष्मः	ɕĩʂmɐh
शिंष्वः	ɕĩʂʋɐh
शिक्	ɕik
शिक्य	ɕikjɐ
शिक्य	ɕikjɐ́
शिक्याकृत	ɕikjɑːkr̩t̪ɐ
शिक्याकृत	ɕikjɑ́ːkr̩t̪ɐ
शिक्षति	ɕikʂɐt̪i
शिक्षति	ɕíkʂɐt̪i
शिक्षा	ɕikʂɑː
शिक्षिकया	ɕikʂikɐjɑː
शिक्षिकयोः	ɕikʂikɐjoːh
शिक्षिकयोः	ɕikʂikɐjɐwh
शिक्षिका	ɕikʂikɑː
शिक्षिकाः	ɕikʂikɑːh
शिक्षिकाणाम्	ɕikʂikɑːɳɑːm
शिक्षिकाभिः	ɕikʂikɑːbʱih
शिक्षिकाभ्यः	ɕikʂikɑːbʱjɐh
शिक्षिकाभ्याम्	ɕikʂikɑːbʱjɑːm
शिक्षिकाम्	ɕikʂikɑːm
शिक्षिकायाः	ɕikʂikɑːjɑːh
शिक्षिकायाम्	ɕikʂikɑːjɑːm
शिक्षिकायै	ɕikʂikɑːjɑj
शिक्षिकायै	ɕikʂikɑːjɑːj
शिक्षिकासु	ɕikʂikɑːs̪u
शिक्षिके	ɕikʂikeː
शिक्षिके	ɕikʂikɐj
शिखर	ɕikʰɐɾɐ
शिखा	ɕikʰɑː
शिखा	ɕíkʰɑː
शिच्	ɕit͡ɕ
शिनक्षि	ɕin̪ɐkʂi
शिनष्टि	ɕin̪ɐʂʈi
शिनष्मि	ɕin̪ɐʂmi
शिफ	ɕipʰɐ
शिफः	ɕipʰɐh
शिफम्	ɕipʰɐm
शिफयोः	ɕipʰɐjoːh
शिफयोः	ɕipʰɐjɐwh
शिफस्य	ɕipʰɐs̪jɐ
शिफा	ɕipʰɑː
शिफाः	ɕipʰɑːh
शिफात्	ɕipʰɑːt̪
शिफानाम्	ɕipʰɑːn̪ɑːm
शिफान्	ɕipʰɑːn̪
शिफाभ्याम्	ɕipʰɑːbʱjɑːm
शिफाय	ɕipʰɑːjɐ
शिफासः	ɕipʰɑːs̪ɐh
शिफे	ɕipʰeː
शिफे	ɕipʰɐj
शिफेन	ɕipʰeːn̪ɐ
शिफेन	ɕipʰɐjn̪ɐ
शिफेभिः	ɕipʰeːbʱih
शिफेभिः	ɕipʰɐjbʱih
शिफेभ्यः	ɕipʰeːbʱjɐh
शिफेभ्यः	ɕipʰɐjbʱjɐh
शिफेषु	ɕipʰeːʂu
शिफेषु	ɕipʰɐjʂu
शिफैः	ɕipʰɑjh
शिफैः	ɕipʰɑːjh
शिफौ	ɕipʰɑw
शिफौ	ɕipʰɑːw
शिरस्	ɕiɾɐs̪
शिरस्	ɕíɾɐs̪
शिरोपधान	ɕiɾoːpɐd̪ʱɑːn̪ɐ
शिला	ɕil̪ɑː
शिला	ɕil̪ɑ́ː
शिव	ɕiʋɐ
शिव	ɕiʋɐ́
शिशु	ɕiɕu
शिशु	ɕíɕu
शिश्न	ɕiɕn̪ɐ
शिश्न	ɕiɕn̪ɐ́
शिष्ट	ɕiʂʈɐ
शिष्ट	ɕiʂʈɐ́
शिष्या	ɕiʂjɑː
शीघ्र	ɕiːɡʱɾɐ
शीघ्र	ɕiːɡʱɾɐ́
शीर्ष	ɕiːɾʂɐ
शीर्ष	ɕiːɾʂɐ́
शीर्षन्	ɕiːɾʂɐn̪
शीर्षन्	ɕiːɾʂɐ́n̪
शुक्र	ɕukɾɐ
शुक्र	ɕukɾɐ́
शुक्ल	ɕukl̪ɐ
शुक्ल	ɕukl̪ɐ́
शुख	ɕukʰɐ
शुख	ɕukʰɐ́
शुङ्ग	ɕuŋɡɐ
शुङ्ग	ɕuŋɡɐ́
शुङ्गा	ɕuŋɡɑː
शुङ्गा	ɕuŋɡɑ́ː
शुच	ɕut͡ɕɐ
शुच	ɕut͡ɕɐ́
शुचि	ɕut͡ɕi
शुचि	ɕút͡ɕi
शुचित्वा	ɕut͡ɕit̪ʋɑː
शुच्	ɕut͡ɕ
शुच्	ɕút͡ɕ
शुनक	ɕun̪ɐkɐh
शुप्ति	ɕupt̪i
शुप्ति	ɕúpt̪i
शुभ्र	ɕubʱɾɐ
शुभ्र	ɕubʱɾɐ́
शुम्भति	ɕumbʱɐt̪i
शुल्क	ɕul̪kɐ
शुल्क	ɕul̪kɐ́
शुष्क	ɕuʂkɐ
शुष्क	ɕúʂkɐ
शुष्कफल	ɕuʂkɐpʰɐl̪ɐ
शुष्कफल	ɕúʂkɐpʰɐl̪ɐ
शुष्यति	ɕuʂjɐt̪i
शुष्यति	ɕúʂjɐt̪i
शू	ɕuː
शूर	ɕuːɾɐ
शूर	ɕúːɾɐ
शूल	ɕuːl̪ɐ
शूल	ɕúːl̪ɐ
शूशुजान	ɕuːɕud͡ʑɑːn̪ɐ
शूशुजान	ɕúːɕud͡ʑɑːn̪ɐ
शृङ्खल	ɕr̩ŋkʰɐl̪ɐ
शृङ्ग	ɕr̩ŋɡɐ
शृङ्ग	ɕr̩ŋɡɐ́
शृणोति	ɕr̩ɳoːt̪i
शृणोति	ɕr̩ɳɐ́wt̪i
शॄ	ɕr̩ː
शेप	ɕeːpɐ
शेप	ɕɐ́jpɐ
शेपस्	ɕeːpɐs̪
शेपस्	ɕɐ́jpɐs̪
शेफ	ɕeːpʰɐ
शेफ	ɕɐjpʰɐ
शेफस्	ɕeːpʰɐs̪
शेफस्	ɕɐjpʰɐs̪
शेव	ɕeːʋɐ
शेव	ɕɐ́jʋɐ
शेष	ɕeːʂɐ
शेष	ɕɐjʂɐ
शैम्ब्य	ɕɑjmbjɐ
शैम्ब्य	ɕɑːjmbjɐ
शैव	ɕɑjʋɐ
शैव	ɕɑːjʋɐ
शैशव	ɕɑjɕɐʋɐ
शैशव	ɕɑːjɕɐʋɐ
शोक	ɕoːkɐ
शोक	ɕɐwkɐ́
शोचति	ɕoːt͡ɕɐt̪i
शोचति	ɕɐwt͡ɕɐt̪i
शोचयति	ɕoːt͡ɕɐjɐt̪i
शोचयति	ɕɐwt͡ɕɐjɐt̪i
शोच्यते	ɕoːt͡ɕjɐt̪eː
शोच्यते	ɕɐwt͡ɕjɐt̪ɐj
शोधक	ɕoːd̪ʱɐkɐ
शोधक	ɕɐwd̪ʱɐkɐ
शोषयति	ɕoːʂɐjɐt̪i
शोषयति	ɕɐwʂɐ́jɐt̪i
