guztientzako	ɡus̻tˈient͡s̻akˌo
elkartutako	elkˈaɾtutakˌo
azti	ˈas̻ti
kubiko	kuβˈikˌo
Geometria	ɡeˈometɾiˌa
akastuna	akˈas̺tunˌa
tenplu	tˈenplu
bertikalean	beɾtˈikaleˌan
Cervantes	θeɾβˈantˌes̺
irakaslea	iɾˈakas̺leˌa
populatuena	popˈulatuenˌa
Osakako	os̺ˈakakˌo
margo	mˈaɾɣo
Salle	s̺ˈaʎe
zabalenean	s̻aβˈaleneˌan
komunikabideetan	komˈunikaβiðeetˌan
Sicily	s̺iθˈiljj
Juliak	ɟulˈiˌak
zekiten	s̻ekˈitˌen
argi	ˈaɾɣi
Uretan	uɾˈetˌan
zutenez	s̻utˈenˌes̻
akustiko	akˈus̺tikˌo
oinez	o͡ɪɲˈes̻
Yes	jjˈes̺
Beltzak	belt͡s̻ˈak
irakaslearekin	iɾˈakas̺leaɾekˌin
sinbolotzat	s̺inbˈolot͡s̻ˌat
zaintza	s̻ˈa͡ɪnt͡s̻a
zelaia	s̻elˈa͡ɪˌa
aparkaleku	apˈaɾkalekˌu
eskale	es̺kˈalˌe
segundo	s̺eɣˈundˌo
integratu	intˈeɣɾatˌu
Kanadako	kanˈaðakˌo
horretako	orˈetakˌo
oposizioaren	opˈos̺is̻ioaɾˌen
gitarrak	ɡitˈarˌak
heuren	e͡ʊɾˈen
Luzaroan	lus̻ˈaɾoˌan
Filosofian	fiʎˈos̺ofiˌan
fitxategi	fit͡ʃˈateɣˌi
zitzaiola	s̻it͡s̻ˈa͡ɪolˌa
grabatzeko	ɡɾaβˈat͡s̻ekˌo
hezkuntzako	es̻kˈunt͡s̻akˌo
agintaldia	aɣˈintalðiˌa
motakoa	motˈakoˌa
ekuazioen	ekˈuas̻ioˌen
Ona	ˈona
erromantizismo	erˈomantis̻is̺mˌo
lehenengoa	leˈenenɡoˌa
programatzen	pɾoɣɾˈamat͡s̻ˌen
beherakada	beˈeɾakaðˌa
Begoña	beɣˈoɲˌa
bozeramaile	bos̻ˈeɾama͡ɪʎˌe
Zientziak	s̻iˈent͡s̻iˌak
apirilean	apˈiɾiʎeˌan
final	fiɲˈal
esklaboa	es̺klˈaβoˌa
galtzen	ɡalt͡s̻ˈen
inguruko	inɡˈuɾukˌo
familiari	famˈiʎiaɾˌi
lortuz	loɾtˈus̻
ditugunak	ditˈuɣunˌak
Rio	rˈio
pilula	piʎˈulˌa
Donostiako	donˈos̺tiakˌo
fluxua	fluʃˈuˌa
zeina	s̻ˈe͡ɪɲa
lurrazaletik	lurˈas̻aletˌik
erakutsiko	eɾˈakut͡s̺ikˌo
Sociedad	s̺oθˈieðˌad
tanke	tˈanke
Pintura	pintˈuɾˌa
turkiarrek	tuɾkˈiarˌek
mingotsa	minɡˈot͡s̺ˌa
ezkontide	es̻kˈontiðˌe
CA	kˈa
zigarro	s̻iɣˈarˌo
Ama	ˈama
abian	aβˈiˌan
Zineman	s̻iɲˈemˌan
zuenaren	s̻uˈenaɾˌen
bidegabeko	biðˈeɣaβekˌo
Sirakusaren	s̺iɾˈakus̺aɾˌen
gurutzean	ɡuɾˈut͡s̻eˌan
Gerrak	ɡerˈak
zeinean	s̻e͡ɪɲˈeˌan
arruntek	arˈuntˌek
laneko	lanˈekˌo
tematiko	temˈatikˌo
Trebiñu	tɾeβˈiɲˌu
Collins	koʎˈins̺
duintasuna	duˈintas̺unˌa
Iruñera	iɾˈuɲeɾˌa
zigortzea	s̻iɣˈoɾt͡s̻eˌa
adieraztea	aðˈieɾas̻teˌa
km²ko	kˌaˈemeβˈiko
bulegoak	bulˈeɣoˌak
Banaketa	banˈaketˌa
sintaktikoa	s̺intˈaktikoˌa
garraiorako	ɡarˈa͡ɪoɾakˌo
Festa	fˈes̺ta
elektrikoek	elˈektɾikoˌek
arriskutsu	arˈis̺kut͡s̺ˌu
lehorrean	leˈoreˌan
hegoalde	eɣˈoalðˌe
America	amˈeɾikˌa
antzinatean	ant͡s̻ˈiɲateˌan
Vila	bˈiʎa
zifra	s̻ˈifɾa
jakintsuak	ɟakˈint͡s̺uˌak
madarikazioa	maðˈaɾikas̻ioˌa
geometriari	ɡeˈometɾiaɾˌi
balbula	balβˈulˌa
beldurgarri	belðˈuɾɣarˌi
Hume	hjˈum
galaxiaren	ɡalˈaʃiaɾˌen
lainoa	la͡ɪɲˈoˌa
sumendien	s̺umˈendiˌen
dioxidoa	diˈoʃiðoˌa
teknikoak	teknˈikoˌak
ezberdina	es̻βˈeɾðiɲˌa
Luisa	luˈis̺ˌa
katedradun	katˈeðɾaðˌun
garden	ɡaɾðˈen
ahozkoa	aˈos̻koˌa
zibilek	s̻iβˈiʎˌek
minutura	miɲˈutuɾˌa
estropada	es̺tɾˈopaðˌa
mekanikoak	mekˈanikoˌak
psikologikoki	ps̺ikˈoloɣikokˌi
hurbilketa	uɾβˈilketˌa
dituenean	ditˈueneˌan
aspaldiko	as̺pˈalðikˌo
ahazten	aˈas̻tˌen
printzearen	pɾint͡s̻ˈeaɾˌen
ekingo	ekˈinɡˌo
arerio	aɾˈeɾiˌo
ustiatzen	us̺tˈiat͡s̻ˌen
onartzeari	onˈaɾt͡s̻eaɾˌi
rola	rˈola
mendilerroa	mendˈiʎeroˌa
behin	bˈe͡ɪn
zerrendako	s̻erˈendakˌo
aparta	apˈaɾtˌa
Italiar	itˈaliˌaɾ
argazkirik	aɾɣˈas̻kiɾˌik
garairako	ɡaɾˈa͡ɪɾakˌo
Atlantikoaren	atlˈantikoaɾˌen
zutenaren	s̻utˈenaɾˌen
Channel	t͡ʃannˈel
bueltatzea	buˈeltat͡s̻eˌa
sorkuntzan	s̺oɾkˈunt͡s̻ˌan
baketsua	bakˈet͡s̺uˌa
azaldu	as̻ˈalðˌu
zalea	s̻alˈeˌa
dotoreak	dotˈoɾeˌak
pilotuaren	piʎˈotuaɾˌen
indiarrak	indˈiarˌak
jasateko	ɟas̺ˈatekˌo
ipintzea	ipˈint͡s̻eˌa
garaikidearen	ɡaɾˈa͡ɪkiðeaɾˌen
bestelakoak	bes̺tˈelakoˌak
arteak	aɾtˈeˌak
esanguratsu	es̺ˈanɡuɾat͡s̺ˌu
puntutik	puntˈutˌik
azpiegituren	as̻pˈieɣituɾˌen
landatutako	landˈatutakˌo
Batuetako	batˈuetakˌo
laurden	la͡ʊɾðˈen
maitasun	ma͡ɪtˈas̺ˌun
bistakoa	bis̺tˈakoˌa
pedagogikoa	peðˈaɣoɣikoˌa
egin	eɣˈin
psikiatriko	ps̺ikˈiatɾikˌo
Afrikako	afɾˈikakˌo
Atzera	at͡s̻ˈeɾˌa
Baiona	ba͡ɪˈonˌa
nahasia	naˈas̺iˌa
ofizialtzat	ofˈis̻ialt͡s̻ˌat
Aginte	aɣˈintˌe
ingeniaria	inɡˈeniaɾiˌa
baldintzatuta	balðˈint͡s̻atutˌa
deformatzen	defˈoɾmat͡s̻ˌen
genetikoak	ɡenˈetikoˌak
jatetxeetan	ɟatˈet͡ʃeetˌan
solidoak	s̺olˈiðoˌak
Río	rˈio
atletak	atlˈetˌak
nafarra	nafˈarˌa
nagusietan	naɣˈus̺ietˌan
Emaitzak	emˈa͡ɪt͡s̻ˌak
ahantzi	aˈant͡s̻ˌi
beregan	beɾˈeɣˌan
osperik	os̺pˈeɾˌik
Astronomo	as̺tɾˈonomˌo
banandua	banˈanduˌa
Populazioaren	popˈulas̻ioaɾˌen
eragilek	eɾˈaɣiʎˌek
pertsonetan	peɾt͡s̺ˈonetˌan
jaioko	ɟa͡ɪˈokˌo
lauan	la͡ʊˈan
Erik	eɾˈik
Sky	s̺kjj
hausten	a͡ʊs̺tˈen
letraren	letɾˈaɾˌen
hilobiaren	iʎˈoβiaɾˌen
blokeak	blokˈeˌak
maisutasun	ma͡ɪs̺ˈutas̺ˌun
aktiboan	aktˈiβoˌan
eduki	eðˈukˌi
inportanteena	inpˈoɾtanteenˌa
porrotera	porˈoteɾˌa
emankortasunaren	emˈankoɾtas̺unaɾˌen
malguki	malɣˈukˌi
gimnasia	ɡimnˈas̺iˌa
ereserkia	eɾˈes̺eɾkiˌa
nahastuz	naˈas̺tˌus̻
desplazatu	des̺plˈas̻atˌu
estaliak	es̺tˈaliˌak
progresista	pɾoɣɾˈes̺is̺tˌa
diferentziala	difˈeɾent͡s̻ialˌa
informazioa	infˈoɾmas̻ioˌa
herrialderik	erˈialðeɾˌik
elkarrizketatu	elkˈaris̻ketatˌu
van	bˈan
nasak	nas̺ˈak
denboralditan	denbˈoɾalðitˌan
ordaintzeko	oɾðˈa͡ɪnt͡s̻ekˌo
baitauka	ba͡ɪtˈa͡ʊkˌa
politikariak	polˈitikaɾiˌak
terapeutiko	teɾˈape͡ʊtikˌo
Kanada	kanˈaðˌa
hauskorrak	a͡ʊs̺kˈorˌak
asteko	as̺tˈekˌo
egiturarik	eɣˈituɾaɾˌik
kemena	kemˈenˌa
komunikatu	komˈunikatˌu
harrapatua	arˈapatuˌa
presio	pɾes̺ˈiˌo
hurbilpen	uɾβˈilpˌen
Inperioa	inpˈeɾioˌa
legeek	leɣˈeˌek
indarrari	indˈaraɾˌi
bateratuz	batˈeɾatˌus̻
herrixkaren	erˈiʃkaɾˌen
maskulino	mas̺kˈuliɲˌo
adarrek	aðˈarˌek
Porta	pˈoɾta
aukeratuak	a͡ʊkˈeɾatuˌak
militarreko	miʎˈitarekˌo
ekitaldietan	ekˈitalðietˌan
Santuari	s̺antˈuaɾˌi
lineak	liɲˈeˌak
Galerian	ɡalˈeɾiˌan
diskriminazioa	dis̺kɾˈimiɲas̻ioˌa
transkripzio	tɾans̺kɾˈips̻iˌo
luzapenak	lus̻ˈapenˌak
Te	tˈe
auzian	a͡ʊs̻ˈiˌan
integrala	intˈeɣɾalˌa
partiduak	paɾtˈiðuˌak
gurutzatua	ɡuɾˈut͡s̻atuˌa
xamarra	ʃamˈarˌa
Proiektua	pɾo͡ɪˈektuˌa
hedabidetan	eðˈaβiðetˌan
Oreka	oɾˈekˌa
hirigunea	iɾˈiɣuneˌa
aktibismo	aktˈiβis̺mˌo
txar	t͡ʃˈaɾ
usteltzen	us̺tˈelt͡s̻ˌen
sarea	s̺aɾˈeˌa
senarra	s̺enˈarˌa
beheragoko	beˈeɾaɣokˌo
bolak	bolˈak
dolarretan	dolˈaretˌan
departamenduan	depˈaɾtamenduˌan
Man	mˈan
Ekuador	ekˈuaðˌoɾ
Azkar	as̻kˈaɾ
gogoratuz	ɡoɣˈoɾatˌus̻
eliteen	elˈiteˌen
dituztenen	ditˈus̻tenˌen
euskalkiaren	e͡ʊs̺kˈalkiaɾˌen
latentzia	latˈent͡s̻iˌa
kentzeko	kent͡s̻ˈekˌo
Errepublikan	erˈepuβlikˌan
igande	iɣˈandˌe
Europan	e͡ʊɾˈopˌan
garaia	ɡaɾˈa͡ɪˌa
sorkuntzaren	s̺oɾkˈunt͡s̻aɾˌen
dokumentuan	dokˈumentuˌan
urtebeteko	uɾtˈeβetekˌo
Society	s̺oθˈiˌetjj
Gilberto	ɡilβˈeɾtˌo
orno	ˈoɾno
mendeetako	mendˈeetakˌo
boskotea	bos̺kˈoteˌa
uzkurketa	us̻kˈuɾketˌa
badian	baðˈiˌan
dekorazioan	dekˈoɾas̻ioˌan
beteko	betˈekˌo
maskulinoa	mas̺kˈuliɲoˌa
artisau	aɾtˈis̺ˌa͡ʊ
kilometroan	kilˈometɾoˌan
Printzesa	pɾint͡s̻ˈes̺ˌa
txikira	t͡ʃikˈiɾˌa
ezberdinetatik	es̻βˈeɾðiɲetatˌik
Smith	s̺mˈit
tematu	temˈatˌu
zitzan	s̻it͡s̻ˈan
bultzatzea	bult͡s̻ˈat͡s̻eˌa
goxo	ɡˈoʃo
egur	eɣˈuɾ
unibertsitatera	unˈiβeɾt͡s̺itateɾˌa
ekologiko	ekˈoloɣikˌo
arrazionalak	arˈas̻ionalˌak
bideratzea	biðˈeɾat͡s̻eˌa
Warren	uˈarˌen
lagatzen	laɣˈat͡s̻ˌen
satelitea	s̺atˈeliteˌa
komunikazioa	komˈunikas̻ioˌa
horrelakoa	orˈelakoˌa
Kongresuak	konɡɾˈes̺uˌak
anitzek	anˈit͡s̻ˌek
identifikazioa	iðˈentifikas̻ioˌa
idatzirik	iðˈat͡s̻iɾˌik
Frankismo	fɾankˈis̺mˌo
borrokatuko	borˈokatukˌo
Jaume	ɟˈa͡ʊme
faktura	faktˈuɾˌa
plastiko	plas̺tˈikˌo
anatomiko	anˈatomikˌo
Jainkoak	ɟa͡ɪnkˈoˌak
motibazio	motˈiβas̻iˌo
motakoak	motˈakoˌak
presidentearen	pɾes̺ˈiðenteaɾˌen
buruak	buɾˈuˌak
kognitiboak	koɡnˈitiβoˌak
faltan	faltˈan
batuketa	batˈuketˌa
Chicagoko	t͡ʃikˈaɣokˌo
hamazortzi	amˈas̻oɾt͡s̻ˌi
Anderea	andˈeɾeˌa
Collegeko	koʎˈeɣekˌo
Euria	e͡ʊɾˈiˌa
maskulinoak	mas̺kˈuliɲoˌak
uztailaren	us̻tˈa͡ɪʎaɾˌen
interprete	intˈeɾpɾetˌe
garagardoaren	ɡaɾˈaɣaɾðoaɾˌen
adituek	aðˈituˌek
balore	balˈoɾˌe
ehizatzen	e͡ɪs̻ˈat͡s̻ˌen
ditugunean	ditˈuɣuneˌan
osa	ˈos̺a
Back	bˈakk
sakonean	s̺akˈoneˌan
elebidunak	elˈeβiðunˌak
mokoa	mokˈoˌa
sabai	s̺ˈaβa͡ɪ
etxe	ˈet͡ʃe
gaien	ɡa͡ɪˈen
Hirira	iɾˈiɾˌa
drogak	dɾoɣˈak
Apaiz	apˈa͡ɪs̻
Esaterako	es̺ˈateɾakˌo
garrasi	ɡarˈas̺ˌi
Ingalaterran	inɡˈalaterˌan
espezialitate	es̺pˈes̻ialitatˌe
mitologiako	mitˈoloɣiakˌo
ibilitakoa	iβˈiʎitakoˌa
laguntzea	laɣˈunt͡s̻eˌa
kulturek	kultˈuɾˌek
umeetan	umˈeetˌan
honentzako	onˈent͡s̻akˌo
Geruza	ɡeɾˈus̻ˌa
diktadoreak	diktˈaðoɾeˌak
istiluen	is̺tˈiʎuˌen
kontsumorako	kont͡s̺ˈumoɾakˌo
espontaneoki	es̺pˈontaneokˌi
Hiriburua	iɾˈiβuɾuˌa
deskribapen	des̺kɾˈiβapˌen
eleberri	elˈeβerˌi
mendetan	mendˈetˌan
pelikulan	pelˈikulˌan
bidaltzeko	biðˈalt͡s̻ekˌo
Bazen	bas̻ˈen
pertsonalak	peɾt͡s̺ˈonalˌak
animaziozko	anˈimas̻ios̻kˌo
aktibista	ˌaktiβˈis̺ta
bulego	bulˈeɣˌo
doan	doˈan
Sei	s̺ˈe͡ɪ
daude	dˈa͡ʊðe
eskoziar	es̺kˈos̻iˌaɾ
hitzarmen	it͡s̻ˈaɾmˌen
Irla	ˈiɾla
ospitaleko	os̺pˈitalekˌo
igogailuak	iɣˈoɣa͡ɪʎuˌak
Joanek	ɟoˈanˌek
gobernuarekin	ɡoβˈeɾnuaɾekˌin
iraupenaren	iɾˈa͡ʊpenaɾˌen
azaldutako	as̻ˈalðutakˌo
leun	lˈe͡ʊn
irainak	iɾˈa͡ɪɲˌak
zatiekin	s̻atˈiekˌin
Abestia	aβˈes̺tiˌa
osatutakoa	os̺ˈatutakoˌa
zuloa	s̻ulˈoˌa
daitekeelarik	da͡ɪtˈekeelaɾˌik
tokietan	tokˈietˌan
jota	ɟˈota
Marisa	maɾˈis̺ˌa
nahikorik	naˈikoɾˌik
pintura	pintˈuɾˌa
Fall	fˈaʎ
altua	altˈuˌa
botika	botˈikˌa
gertutasun	ɡeɾtˈutas̺ˌun
familiei	famˈiʎiˌe͡ɪ
espaziala	es̺pˈas̻ialˌa
Ilargian	iʎˈaɾɣiˌan
zaindari	s̻a͡ɪndˈaɾˌi
Marik	maɾˈik
exekuzioa	eʃˈekus̻ioˌa
tropikaletan	tɾopˈikaletˌan
Barakaldon	baɾˈakalðˌon
utilitate	utˈiʎitatˌe
Batxilergoa	bat͡ʃˈiʎeɾɣoˌa
Laugarren	la͡ʊɣˈarˌen
aplikatuta	aplˈikatutˌa
jotzen	ɟot͡s̻ˈen
auzuneak	a͡ʊs̻ˈuneˌak
proteina	pɾotˈe͡ɪɲˌa
hurbiletik	uɾβˈiʎetˌik
Kantauriko	kantˈa͡ʊɾikˌo
egiteak	eɣˈiteˌak
estatuei	es̺tˈatuˌe͡ɪ
artistikoaren	aɾtˈis̺tikoaɾˌen
entzuleen	ent͡s̻ˈuleˌen
Emanaldi	emˈanalðˌi
hurbiltzeko	uɾβˈilt͡s̻ekˌo
topagunea	topˈaɣuneˌa
horia	ˈoɾiˌa
berberak	beɾβˈeɾˌak
zituenak	s̻itˈuenˌak
zeuzkaten	s̻e͡ʊs̻kˈatˌen
Etorkizuneko	etˈoɾkis̻unekˌo
egokiena	eɣˈokienˌa
Segur	s̺eɣˈuɾ
txirrindularien	t͡ʃirˈindulaɾiˌen
lorategian	loɾˈateɣiˌan
irakaskuntzako	iɾˈakas̺kunt͡s̻akˌo
menu	mˈenu
kanpaia	kanpˈa͡ɪˌa
minutuko	miɲˈutukˌo
kronika	kɾonˈikˌa
prezio	pɾes̻ˈiˌo
zerikusirik	s̻eɾˈikus̺iɾˌik
gaztelaniazko	ɡas̻tˈelanias̻kˌo
betiereko	betˈieɾekˌo
Prestakuntza	pɾes̺tˈakunt͡s̻ˌa
ekintzak	ekˈint͡s̻ˌak
Hasdrubalek	as̺ðɾˈuβalˌek
toponimo	topˈonimˌo
loto	lˈoto
Ingalaterratik	inɡˈalateratˌik
botaz	botˈas̻
aukeraketa	a͡ʊkˈeɾaketˌa
Jendeak	ɟendˈeˌak
gobernadore	ɡoβˈeɾnaðoɾˌe
ezkerrera	es̻kˈereɾˌa
txikiagokoa	t͡ʃikˈiaɣokoˌa
ioiak	iˈo͡ɪˌak
iritzia	iɾˈit͡s̻iˌa
xaflak	ʃaflˈak
herritan	erˈitˌan
instrumentuak	ins̺tɾˈumentuˌak
erregistratzen	erˈeɣis̺tɾat͡s̻ˌen
Kazetaritza	kas̻ˈetaɾit͡s̻ˌa
konstelazioa	kons̺tˈelas̻ioˌa
Costa	kˈos̺ta
Kairoko	ka͡ɪɾˈokˌo
txertatu	t͡ʃeɾtˈatˌu
Uribe	uɾˈiβˌe
aitzakiatzat	a͡ɪt͡s̻ˈakiat͡s̻ˌat
pentsatuko	pent͡s̺ˈatukˌo
dabilen	daβˈiʎˌen
lurraldeko	lurˈalðekˌo
zinegotziak	s̻iɲˈeɣot͡s̻iˌak
merkatutik	meɾkˈatutˌik
lehiatzen	lˈe͡ɪat͡s̻ˌen
lehengusua	leˈenɡus̺uˌa
noblezia	noβlˈes̻iˌa
zuzenbidea	s̻us̻ˈenbiðeˌa
Probak	pɾoβˈak
gauetan	ɡa͡ʊˈetˌan
ideal	iðˈeˌal
operan	opˈeɾˌan
Gay	ɡˈajj
lorturiko	loɾtˈuɾikˌo
Neptunoren	neptˈunoɾˌen
Nelson	nels̺ˈon
bateratzeko	batˈeɾat͡s̻ekˌo
azalarazten	as̻ˈalaɾas̻tˌen
sorturiko	s̺oɾtˈuɾikˌo
dagokiona	daɣˈokionˌa
ikerlariak	ikˈeɾlaɾiˌak
erabiltzekoa	eɾˈaβilt͡s̻ekoˌa
maskulinitate	mas̺kˈuliɲitatˌe
bikotearen	bikˈoteaɾˌen
ezberdinekoak	es̻βˈeɾðiɲekoˌak
bik	bˈik
Jacques	ɟakkˈes̺
udazken	uðˈas̻kˌen
Elizabeth	elˈis̻aβˌet
Venusen	benˈus̺ˌen
Txirrindulari	t͡ʃirˈindulaɾˌi
atari	atˈaɾˌi
emakumez	emˈakumˌes̻
maitasuna	ma͡ɪtˈas̺unˌa
Napoleon	napˈoleˌon
alboratu	alβˈoɾatˌu
Gabonetan	ɡaβˈonetˌan
orrialdea	orˈialðeˌa
sortzeko	s̺oɾt͡s̻ˈekˌo
gisako	ɡis̺ˈakˌo
orotan	oɾˈotˌan
Puntuak	puntˈuˌak
formazioaren	foɾmˈas̻ioaɾˌen
arintasuna	aɾˈintas̺unˌa
garaira	ɡaɾˈa͡ɪɾˌa
mekaniko	mekˈanikˌo
zutelarik	s̻utˈelaɾˌik
dituztenak	ditˈus̻tenˌak
Youngek	jjoˈunɡˌek
koloreari	kolˈoɾeaɾˌi
aldarrikapena	alðˈarikapenˌa
estrategikoan	es̺tɾˈateɣikoˌan
alda	ˈalða
garrantzitsuenetan	ɡarˈant͡s̻it͡s̺uenetˌan
izugarria	is̻ˈuɣariˌa
zaienean	s̻a͡ɪˈeneˌan
URL	ˈuɾl
Askatasuna	as̺kˈatas̺unˌa
Kristo	kɾˈis̺to
Greziako	ɡɾes̻ˈiakˌo
urbanoa	uɾβˈanoˌa
Erromaren	erˈomaɾˌen
Filmeko	filmˈekˌo
singularrean	s̺inɡˈulareˌan
grisaxka	ɡɾis̺ˈaʃkˌa
Trust	tɾˈus̺t
kapitalismoa	kapˈitalis̺moˌa
egonkortasun	eɣˈonkoɾtas̺ˌun
pentsatzekoa	pent͡s̺ˈat͡s̻ekoˌa
zelaiak	s̻elˈa͡ɪˌak
berotuz	beɾˈotˌus̻
horiekiko	ˈoɾiˌekikˌo
arruntena	arˈuntenˌa
zekien	s̻ekˈiˌen
lagako	laɣˈakˌo
Milurtekoko	miʎˈuɾtekokˌo
Ahalegin	aˈaleɣˌin
ugaltzeko	uɣˈalt͡s̻ekˌo
erlaxazio	eɾlˈaʃas̻iˌo
ezinezkoa	es̻ˈiɲes̻koˌa
Sir	s̺ˈiɾ
Rouge	roˈuɣˌe
pribatuko	pɾiβˈatukˌo
lurralde	lurˈalðˌe
larrua	larˈuˌa
Gobernuarekin	ɡoβˈeɾnuaɾekˌin
Zatiketa	s̻atˈiketˌa
kargutik	kaɾɣˈutˌik
komunitatean	komˈunitateˌan
publikoaren	puβlˈikoaɾˌen
Nekazariak	nekˈas̻aɾiˌak
susmoak	s̺us̺mˈoˌak
Festival	fes̺tˈiβˌal
iraunkortasuna	iɾˈa͡ʊnkoɾtas̺unˌa
espetxeratua	es̺pˈet͡ʃeɾatuˌa
nazioarteko	nas̻ˈioaɾtekˌo
britainiarrei	bɾitˈa͡ɪɲiarˌe͡ɪ
Ekaitz	ekˈa͡ɪt͡s̻
muturreraino	mutˈureɾaiɲˌo
aroa	aɾˈoˌa
musikariekin	mus̺ˈikaɾiekˌin
mineralak	miɲˈeɾalˌak
oturuntza	otˈuɾunt͡s̻ˌa
Doktorea	doktˈoɾeˌa
epela	epˈelˌa
atxikimendu	at͡ʃˈikimendˌu
Aurelio	a͡ʊɾˈeliˌo
irekien	iɾˈekiˌen
Material	matˈeɾiˌal
hegazkinak	eɣˈas̻kiɲˌak
turismoaren	tuɾˈis̺moaɾˌen
Trenbidearen	tɾenbˈiðeaɾˌen
Lore	lˈoɾe
berridatzi	berˈiðat͡s̻ˌi
diskurtsoan	dis̺kˈuɾt͡s̺oˌan
gari	ɡˈaɾi
erabiltzera	eɾˈaβilt͡s̻eɾˌa
historikoen	is̺tˈoɾikoˌen
Arantzazuko	aɾˈant͡s̻as̻ukˌo
zirelarik	s̻iɾˈelaɾˌik
etorri	etˈorˌi
Turkian	tuɾkˈiˌan
migratzaile	miɣɾˈat͡s̻a͡ɪʎˌe
azaroa	as̻ˈaɾoˌa
zegokionez	s̻eɣˈokionˌes̻
Frantzian	fɾant͡s̻ˈiˌan
begia	beɣˈiˌa
Pau	pˈa͡ʊ
prozesuen	pɾos̻ˈes̺uˌen
biziaren	bis̻ˈiaɾˌen
elikaduraren	elˈikaðuɾaɾˌen
grafo	ɡɾˈafo
afrikarren	afɾˈikarˌen
abadia	aβˈaðiˌa
kutsatzaile	kut͡s̺ˈat͡s̻a͡ɪʎˌe
Lee	lˈee
erabilerarako	eɾˈaβiʎeɾaɾakˌo
Apolok	apˈolˌok
zuen	s̻uˈen
bizkarrezur	bis̻kˈares̻ˌuɾ
Amaiera	amˈa͡ɪeɾˌa
korrosioa	korˈos̺ioˌa
geologikoak	ɡeˈoloɣikoˌak
praktiken	pɾaktˈikˌen
gazteak	ɡas̻tˈeˌak
etxeari	et͡ʃˈeaɾˌi
konplize	konplˈis̻ˌe
atseginak	at͡s̺ˈeɣiɲˌak
nortasuna	noɾtˈas̺unˌa
ordenagailua	oɾðˈenaɣa͡ɪʎuˌa
ondorengoen	ondˈoɾenɡoˌen
Txapela	t͡ʃapˈelˌa
argia	aɾɣˈiˌa
hidrogenoaren	iðɾˈoɣenoaɾˌen
garbitasun	ɡaɾβˈitas̺ˌun
hozkailu	os̻kˈa͡ɪʎˌu
izaerari	is̻ˈaeɾaɾˌi
komandoa	komˈandoˌa
arrakastaren	arˈakas̺taɾˌen
nahitaezkoa	naˈitaes̻koˌa
formal	foɾmˈal
Palacios	palˈaθiˌos̺
testua	tˈes̺tuˌa
Zabaletak	s̻aβˈaletˌak
ondarearen	ondˈaɾeaɾˌen
Interneterako	intˈeɾneteɾakˌo
urteek	uɾtˈeˌek
Herritik	erˈitˌik
amerikar	amˈeɾikˌaɾ
linterna	lintˈeɾnˌa
ezaugarriekin	es̻ˈa͡ʊɣariekˌin
txartelak	t͡ʃaɾtˈelˌak
Étienne	ˈetiˌenne
que	kˈe
jendetsua	ɟendˈet͡s̺uˌa
Japoniara	ɟapˈoniaɾˌa
iturria	itˈuriˌa
errazten	erˈas̻tˌen
beiraz	be͡ɪɾˈas̻
ebakidura	eβˈakiðuɾˌa
elektrikoetan	elˈektɾikoetˌan
irtengune	iɾtˈenɡunˌe
zamalkadura	s̻amˈalkaðuɾˌa
momentutan	momˈentutˌan
hartutako	aɾtˈutakˌo
Belgikan	belɣˈikˌan
aldi	ˈalði
PUZak	pˈus̻ˈak
jakinda	ɟakˈindˌa
maximizatzeko	maʃˈimis̻at͡s̻ekˌo
urteren	uɾtˈeɾˌen
neskekin	nes̺kˈekˌin
Norvegiako	noɾβˈeɣiakˌo
apustua	apˈus̺tuˌa
daitezkela	da͡ɪtˈes̻kelˌa
txarrera	t͡ʃarˈeɾˌa
Ptolomeo	ptolˈomeˌo
berdin	beɾðˈin
Ura	ˈuɾa
Harekin	aɾˈekˌin
Ministerio	minˈis̺teɾiˌo
borondatezkoa	boɾˈondates̻koˌa
jokabide	ɟokˈaβiðˌe
estatuburua	es̺tˈatuβuɾuˌa
anatomikoki	anˈatomikokˌi
anitzekoa	anˈit͡s̻ekoˌa
elfo	ˈelfo
Penintsulako	penˈint͡s̺ulakˌo
eremuetan	eɾˈemuetˌan
imitatu	imˈitatˌu
errekonozimendua	erˈekonos̻imenduˌa
motorea	motˈoɾeˌa
transmititzeko	tɾans̺mˈitit͡s̻ekˌo
europarren	e͡ʊɾˈoparˌen
hauek	ˈa͡ʊek
tailerrak	ta͡ɪʎˈerˌak
txitatzen	t͡ʃitˈat͡s̻ˌen
nerabe	neɾˈaβˌe
amaitutzat	amˈa͡ɪtut͡s̻ˌat
pentsatzea	pent͡s̺ˈat͡s̻eˌa
Nicole	nikˈolˌe
sekuentziak	s̺ekˈuent͡s̻iˌak
okupatu	okˈupatˌu
dekoratu	dekˈoɾatˌu
tenis	tenˈis̺
hare	ˈaɾe
alfabetoaren	alfˈaβetoaɾˌen
Esku	ˈes̺ku
genetikoaren	ɡenˈetikoaɾˌen
moduari	moðˈuaɾˌi
Bukaeran	bukˈaeɾˌan
elektronika	elˈektɾonikˌa
Durangon	duɾˈanɡˌon
presidentea	pɾes̺ˈiðenteˌa
oroimenean	oɾˈo͡ɪmeneˌan
berrikuspen	berˈikus̺pˌen
erritualak	erˈitualˌak
taularatu	ta͡ʊlˈaɾatˌu
