服務	fʊk˨mou˨
混血兒	wɐn˨hy:t˧ji:˨˩
楎	wɐn˨˩,fɐi˥
連詞	li:n˨˩tsʰi:˨˩
食飽未	sɪk˨pa:u˧˥mei˨
抌低	tɐm˧˥tɐi˥
寵兒	tsʰʊŋ˧˥ji:˨˩
刺蝟	tsʰi:˧wɐi˨
二萬	ji:˨ma:n˨
喐動	jʊk˥tʊŋ˨
纖維素	tsʰi:m˥wɐi˨˩sou˧
上額	sœ:ŋ˨ŋa:k˨,sœ:ŋ˨a:k˨
擒拿	kʰɐm˨˩na:˨˩,kʰɐm˨˩la:˨˩
彬彬有禮	pɐn˥pɐn˥jɐu˩˧lɐi˩˧
龍船競賽	lʊŋ˨˩sy:n˨˩kɪŋ˨tsʰɔ:i˧
極之	kɪk˨tsi:˥
共同語	kʊŋ˨tʰʊŋ˨˩jy:˩˧
上架	sœ:ŋ˩˧ka:˧˥
傕	kɔ:k˧
鑽	tsy:n˥,tsy:n˧
䘆	hy:n˧˥,hi:n˧˥
彯	pʰi:u˥
平行線	pʰɪŋ˨˩hɐŋ˨˩si:n˧
清晰	tsʰɪŋ˥sɪk˥
想話	sœ:ŋ˧˥wa:˨
回歸綫	wu:i˨˩kwɐi˥si:n˧
搚	lɐp˨
師兄	si:˥hɪŋ˥
半導體	pu:n˧tou˨tʰɐi˧˥
扽手踭	tɐn˧sɐu˧˥tsa:ŋ˥
掩藏	ji:m˧˥tsʰɔ:ŋ˨˩
能力	nɐŋ˨˩lɪk˨,lɐŋ˨˩lɪk˨
坎頭埋墻	hɐm˧˥tʰɐu˨˩ma:i˨˩tsʰœ:ŋ˨˩
呼聲	fu:˥sɛ:ŋ˥
睺	hɐu˥
文房四寶	mɐn˨˩fɔ:ŋ˨˩sei˧pou˧˥
眼淺	ŋa:n˩˧tsʰi:n˧˥,a:n˩˧tsʰi:n˧˥
富人	fu:˧jɐn˨˩
節慾	tsi:t˧jʊk˨
滬	wu:˨
緋	fei˥
犢	tʊk˨
羖	ku:˧˥
雪白色	sy:t˧pa:k˨sɪk˥
礙	ŋɔ:i˨
大笨象	ta:i˨pɐn˨tsœ:ŋ˨
捉棋	tsʊk˥kʰei˧˥
禦	jy:˨
知音	tsi:˥jɐm˥
朱古力	tsy:˥ku:˥lɪk˥
嗿人入局	tʰɐm˧jɐn˨˩jɐp˨kʊk˨
赤衛隊	tsʰɛ:k˧wɐi˨tɵy˨
聽筒	tʰɛ:ŋ˥tʰʊŋ˧˥
恐龍蛋	hʊŋ˧˥lʊŋ˨˩ta:n˨
炒樓花	tsʰa:u˧˥lɐu˨˩fa:˥
幾好	kei˧˥hou˧˥
屬	tsʊk˥,sʊk˨
固有	ku:˧jɐu˩˧
總罷工	tsʊŋ˧˥pa:˨kʊŋ˥
冇錯	mou˩˧tsʰɔ:˧
工	kʊŋ˥
幻視	wa:n˨si:˨
禽流感	kʰɐm˨˩lɐu˨˩kɐm˧˥
烏喱馬扠	wu:˥lei˥ma:˩˧tsʰa:˩˧
黐線	tsʰi:˥si:n˨
庭	tʰɪŋ˨˩
極樂世界	kɪk˨lɔ:k˨sɐi˧ka:i˧
花瓶	fa:˥pʰɪŋ˨˩
勤有功嬉無益	kʰɐn˨˩jɐu˩˧kʊŋ˥hei˥mou˨˩jɪk˥
嘅時	kɛ:˧si:˨˩
䲒	hɐi˩˧,ŋɐi˨˩
湡	jy:˨˩
貢下貢下	kʊŋ˧ha:˩˧kʊŋ˧ha:˩˧
點睇	ti:m˧˥tʰɐi˧˥
a貨	ei˥fɔ:˧
魔咒	mɔ:˥tsɐu˧
𠚹	sa:m˥
皇族	wɔ:ŋ˨˩tsʊk˨
勒緊	lɐk˨kɐn˧˥
骨感	kwɐt˥kɐm˧˥
一文不值	jɐt˥mɐn˨˩pɐt˥tsɪk˨
天鵝	tʰi:n˥ɔ:˨˩,tʰi:n˥ŋɔ:˨˩
精神分裂	tsɪŋ˥sɐn˨˩fɐn˥li:t˨
交租	ka:u˥tsou˥
攜帶	kʰwɐi˨˩ta:i˧
自作自受	tsi:˨tsɔ:k˧tsi:˨sɐu˨
䖺	si:u˨,tʰi:u˨˩
侵犯	tsʰɐm˥fa:n˨
屈佢食隻死貓	wɐt˥kʰɵy˩˧sɪk˨tsɛ:k˧sei˧˥ma:u˥
烏杬	wu:˥la:m˧˥
校服	ha:u˨fʊk˨
鎅紙	ka:i˧tsi:˧˥
憔悴	tsʰi:u˨˩sɵy˨
鮹	sa:u˥,si:u˥
好嗍氣	hou˧˥sɔ:k˧hei˧
揀	ka:n˧˥
港紙	kɔ:ŋ˧˥tsi:˧˥
細胞核	sɐi˧pa:u˥hɐt˨
無知	mou˨˩tsi:˥
攪妥	ka:u˧˥tʰɔ:˩˧
凜	lɐm˩˧
篡	sa:n˧
讇	tsʰi:m˧˥
就手	tsɐu˨sɐu˧˥
鬆土	sʊŋ˥tʰou˧˥
甕	ɔ:ŋ˧,ʊŋ˧
邸	tɐi˧˥
縶	tsɐp˥
多多益善	tɔ:˥tɔ:˥jɪk˥si:n˨
理論化	lei˩˧lɵn˨fa:˧
祖先	tsou˧˥si:n˥
攽	pɐn˥,pa:n˥
拼沉	pʰɛ:ŋ˥tsʰɐm˨˩
政黨政治	tsɪŋ˧tɔ:ŋ˧˥tsɪŋ˧tsi:˨
不屑一顧	pɐt˥si:t˧jɐt˥ku:˧
修女	sɐu˥lɵy˩˧,sɐu˥nɵy˩˧
嬌嬈	ki:u˥ji:u˨˩
奴僕	nou˨˩pʊk˨,lou˨˩pʊk˨
紀念品	kei˧li:m˨pɐn˧˥,kei˧ni:m˨pɐn˧˥
畀差人拉	pei˧˥tsʰa:i˥jɐn˨˩la:i˥
重重包圍	tsʰʊŋ˨˩tsʰʊŋ˨˩pa:u˥wɐi˨˩
想…都唔得	sœ:ŋ˧˥tou˥m̩˨˩tɐk˥
㚋	sɵy˨˩,ni:u˩˧,tʰɔ:˩˧,ti:u˥
捫	mu:n˨˩
互不干涉內政	wu:˨pɐt˥kɔ:n˥si:p˧lɔ:i˨tsɪŋ˧,wu:˨pɐt˥kɔ:n˥si:p˧nɔ:i˨tsɪŋ˧
口窒窒	hɐu˧˥tsɐt˨tsɐt˨
馬仰人翻	ma:˩˧jœ:ŋ˩˧jɐn˨˩fa:n˥
下嫁	ha:˨ka:˧
奉系	fʊŋ˨hɐi˨
踝	wa:˩˧
齒鯨	tsʰi:˧˥kʰɪŋ˨˩
咸濕片	ha:m˨˩sɐp˥pʰi:n˧˥
造句法	tsou˨kɵy˧fa:t˧
鱗甲	lɵn˨˩ka:p˧
櫸	kɵy˧˥
產婆	tsʰa:n˧˥pʰɔ:˨˩
搵嚟辛苦	wɐn˧˥lei˨˩sɐn˥fu:˧˥
奶	la:i˩˧,na:i˩˧,na:i˥
矴	tɛ:ŋ˧,tɪŋ˧
霸	pa:˧
辣手	la:t˨sɐu˧˥
口訣	hɐu˧˥kʰy:t˧
曬黑	sa:i˧hɐk˥
光明	kwɔ:ŋ˥mɪŋ˨˩
博過	pɔ:k˧kwɔ:˧
五胡十六國	ŋ˩˧wu:˨˩sɐp˨lʊk˨kwɔ:k˧
如出一轍	jy:˨˩tsʰɵt˥jɐt˥tsʰi:t˧
樹枝	sy:˨tsi:˥
形容詞	jɪŋ˨˩jʊŋ˨˩tsʰi:˨˩
椰子戟	jɛ:˨˩tsi:˧˥kɪk˥
身外之物	sɐn˥ŋɔ:i˨tsi:˥mɐt˨,sɐn˥ɔ:i˨tsi:˥mɐt˨
水槽	sɵy˧˥tsʰou˨˩
都得	tou˥tɐk˥
鬥撻	tɐu˧ta:t˧
同義字	tʰʊŋ˨˩ji:˨tsi:˨
著緊	tsœ:k˧kɐn˧˥
骨質疏鬆	kwɐt˥tsɐt˥sɔ:˥sʊŋ˥
掂過碌蔗	ti:m˨kwɔ:˧lʊk˥tsɛ:˧
通[口＋店]	tʰʊŋ˥ti:m˨
突然	tɐt˨ji:n˨˩
樹陰	sy:˨jɐm˥
熠蛋	sa:p˨ta:n˨
擠逼	tsɐi˥pɪk˥
人道精神	jɐn˨˩tou˨tsɪŋ˥sɐn˨˩
左下方	tsɔ:˧˥ha:˨fɔ:ŋ˥
婵	si:m˨˩,si:n˨˩
老公	lou˩˧kʊŋ˥
通指	tʰʊŋ˥tsi:˧˥
木蝨	mʊk˨sɐt˥
只不過	tsi:˧˥pɐt˥kwɔ:˧
陰差陽錯	jɐm˥tsʰa:˥jœ:ŋ˨˩tsʰɔ:˧
嫻熟	ha:n˨˩sʊk˨
琳琅滿目	lɐm˨˩lɔ:ŋ˨˩mu:n˩˧mʊk˨
輪流	lɵn˨˩lɐu˨˩
虐	jœ:k˨
福如東海	fʊk˥jy:˨˩tʊŋ˥hɔ:i˧˥
游泳池	jɐu˨˩wɪŋ˨tsʰi:˨˩
午前	ŋ˩˧tsʰi:n˨˩
花花世界	fa:˥fa:˥sɐi˧ka:i˧
嵝	lɐu˩˧
笴	kɔ:˧˥
冇得瞓	mou˩˧tɐk˥fɐn˧
箍煲	kʰu:˥pou˥
兵不血刃	pɪŋ˥pɐt˥hy:t˧jɐn˨
揇過	na:m˧kwɔ:˧,la:m˧kwɔ:˧
恫嚇	tʊŋ˨ha:k˧
為之動容	wɐi˨˩tsi:˥tʊŋ˨jʊŋ˨˩
花款	fa:˥fu:n˧˥
洗腦	sɐi˧˥lou˩˧,sɐi˧˥nou˩˧
鋪蓋	pʰou˥kʰɔ:i˧
鵙	kwɪk˥
晔	ji:p˨
造作	tsou˨tsɔ:k˧
[扌＋咼]蛋	wɔ:˩˧ta:n˨
迫嚟迫去	pɪk˥lei˨˩pɪk˥hɵy˧
瑛	jɪŋ˥
缏	pʰi:n˨˩
反胃	fa:n˧˥wɐi˨
舉報	kɵy˧˥pou˧
你做初一，我做十五	nei˩˧tsou˨tsʰɔ:˥jɐt˥ŋɔ:˩˧tsou˨sɐp˨ŋ˩˧,lei˩˧tsou˨tsʰɔ:˥jɐt˥ɔ:˩˧tsou˨sɐp˨ŋ˩˧
䏬	ma:u˨˩,mi:n˨˩,mu:i˨˩
結親	ki:t˧tsʰɐn˥
搭食	ta:p˧sɪk˨
聯系	ly:n˨˩hɐi˨
䞘吓䞘吓	kɐt˨ha:˩˧kɐt˨ha:˩˧
僅有	kɐn˧˥jɐu˩˧
疲憊	pʰei˨˩pei˨
手無縛雞之力	sɐu˧˥mou˨˩pɔ:k˧kɐi˥tsi:˥lɪk˨
特色	tɐk˨sɪk˥
一清二白	jɐt˥tsʰɪŋ˥ji:˨pa:k˨
橫貫	wa:ŋ˨˩ku:n˧
人喊馬嘶	jɐn˨˩ha:m˧ma:˩˧sɐi˥
貌	ma:u˨
斐	fei˧˥
㑋	kʰʊŋ˨˩
判刑	pʰu:n˧jɪŋ˨˩
中上層	tsʊŋ˥sœ:ŋ˨tsʰɐŋ˨˩
熱氣	ji:t˨hei˧
齋鹵味	tsa:i˥lou˩˧mei˧˥
頻密	pʰɐn˨˩mɐt˨
邥	sɐm˧˥
筷	fa:i˧
㓬	fu:˥
巨樹	kɵy˨sy:˨
苟且	kɐu˧˥tsʰɛ:˧˥
週二	tsɐu˥ji:˨
囚房	tsʰɐu˨˩fɔ:ŋ˨˩
演技	ji:n˧˥kei˨
釿	kɐn˥
輕車熟路	hɪŋ˥kɵy˥sʊk˨lou˨
䎯	hɔ:n˧˥,hɔ:n˧,tsi:n˩˧
镢	fɔ:k˧
從輕	tsʰʊŋ˨˩hɪŋ˥
磕破	hɐp˨pʰɔ:˧
面色唔好	mi:n˨sɪk˥m̩˨˩hou˧˥
襢	tʰa:n˧˥
喐都唔喐	jʊk˥tou˥m̩˨˩jʊk˥
驗明	ji:m˨mɪŋ˨˩
無異議通過	mou˨˩ji:˨ji:˩˧tʰʊŋ˥kwɔ:˧
整爛	tsɪŋ˧˥la:n˨
漏氣	lɐu˨hei˧
屎坑橋	si:˧˥ha:ŋ˥kʰi:u˨˩
娉婷	pʰɪŋ˥tʰɪŋ˨˩
好命	hou˧˥mɛ:ŋ˨
潏	ky:t˧,wɐt˨,kʰy:t˧
血海深仇	hy:t˧hɔ:i˧˥sɐm˥sɐu˨˩
雞膥	kɐi˥tsʰɵn˥
一蹴而就	jɐt˥tsʰʊk˥ji:˨˩tsɐu˨
二手	ji:˨sɐu˧˥
掃埋嚟	sou˧ma:i˨˩lei˨˩
宏願	wɐŋ˨˩jy:n˨
㨉	ma:n˩˧
謦	hɪŋ˧
倠	sɵy˥
[火＋及]蛋	sa:p˨ta:n˨
眼底下	ŋa:n˩˧tɐi˧˥ha:˨,a:n˩˧tɐi˧˥ha:˨
主意	tsy:˧˥ji:˧
呼天搶地	fu:˥tʰi:n˥tsʰœ:ŋ˧˥tei˨
平常心	pʰɪŋ˨˩sœ:ŋ˨˩sɐm˥
月牙	jy:t˨ŋa:˨˩,jy:t˨a:˨˩
今時今日	kɐm˥si:˨˩kɐm˥jɐt˨
學友	hɔ:k˨jɐu˩˧
䕣	ha:p˨,hɔ:t˧
冇銀喺手	mou˩˧ɐn˧˥hɐi˧˥sɐu˧˥,mou˩˧ŋɐn˧˥hɐi˧˥sɐu˧˥
哀訴	ŋɔ:i˥sou˧,ɔ:i˥sou˧
恆	hɐŋ˨˩
勢	sɐi˧
霸靚位	pa:˧lɛ:ŋ˧wɐi˥
公正不阿	kʊŋ˥tsɪŋ˧pɐt˥ŋɔ:˥,kʊŋ˥tsɪŋ˧pɐt˥ɔ:˥
彈道學	ta:n˨tou˨hɔ:k˨
表演	pi:u˧˥ji:n˧˥
瀨	la:i˨
悗	mu:n˨˩,mu:n˩˧
倒坍	tou˧˥tʰa:n˥
中南	tsʊŋ˥na:m˨˩,tsʊŋ˥la:m˨˩
詐懵	tsa:˧mʊŋ˧˥
嘔心瀝血	ɐu˧˥sɐm˥lɪk˥hy:t˧
球衣	kʰɐu˨˩ji:˥
黏	ni:m˥,tsi:m˥,ni:m˨˩
瞂	fɐt˨
結合	ki:t˧hɐp˨
亂眞	ly:n˨tsɐn˥
險遭不測	hi:m˧˥tsou˥pɐt˥tsʰɐk˥
脟	ly:t˧
踏雪尋梅	ta:p˨sy:t˧tsʰɐm˨˩mu:i˨˩
收埋	sɐu˥ma:i˨˩
識飲識食	sɪk˥jɐm˧˥sɪk˥sɪk˨
冇大冇細	mou˩˧ta:i˨mou˩˧sɐi˧
犋	kɵy˨
㞈	pu:i˨,pu:t˨
穗	sɵy˨
抽筋菜	tsʰɐu˥kɐn˥tsʰɔ:i˧
絆腳石	pu:n˨kœ:k˧sɛ:k˨
心坎	sɐm˥hɐm˧˥
暈機	wɐn˨˩kei˥
牧	mʊk˨
挖泥機	wa:t˧nɐi˨˩kei˥,wa:t˧lɐi˨˩kei˥
紫	tsi:˧˥
幫唔到手	pɔ:ŋ˥m̩˨˩tou˧˥sɐu˧˥
生平	sɐŋ˥pʰɪŋ˨˩
相差	sœ:ŋ˥tsʰa:˥
搵工	wɐn˧˥kʊŋ˥
中國醫藥	tsʊŋ˥kwɔ:k˧ji:˥jœ:k˨
正月	tsɪŋ˥jy:t˨
硝	si:u˥
乜都唔會	mɐt˥tou˥m̩˨˩wu:i˩˧
荒原	fɔ:ŋ˥jy:n˨˩
天空	tʰi:n˥hʊŋ˥
槍決	tsʰœ:ŋ˥kʰy:t˧
纊親	kʰwɐŋ˧tsʰɐn˥
裂痕	li:t˨hɐn˨˩
膽小鬼	ta:m˧˥si:u˧˥kwɐi˧˥
禋	jɐn˥
文學家	mɐn˨˩hɔ:k˨ka:˥
笨實	pɐn˨sɐt˨
毢	sɔ:i˥
鳜	kwɐi˧
讦	kʰi:t˧
下眼皮	ha:˨ŋa:n˩˧pʰei˨˩,ha:˨a:n˩˧pʰei˨˩
生魚片	sa:ŋ˥jy:˨˩pʰi:n˧˥
大同世界	ta:i˨tʰʊŋ˨˩sɐi˧ka:i˧
臭鍟隨	tsʰɐu˧sɛ:ŋ˧tsʰɵy˨˩
武功	mou˩˧kʊŋ˥
矯	ki:u˧˥,kʰi:u˧˥
一粒色	jɐt˥nɐp˥sɪk˥
管弦樂團	ku:n˧˥ji:n˨˩ŋɔ:k˨tʰy:n˨˩,ku:n˧˥ji:n˨˩ɔ:k˨tʰy:n˨˩
㗱	tsɐp˨
心急如焚	sɐm˥kɐp˥jy:˨˩fɐn˨˩
輪船	lɵn˨˩sy:n˨˩
獲頒	wɔ:k˨pa:n˥
𫘨	tʰɐi˨˩
鬆餅	sʊŋ˥pɛ:ŋ˧˥
肴頭殼	ŋa:u˥tʰɐu˨˩hɔ:k˧,a:u˥tʰɐu˨˩hɔ:k˧
總則	tsʊŋ˧˥tsɐk˥
出毛病	tsʰɵt˥mou˨˩pɪŋ˨
䍱	tsʰɵy˨˩,tsy:˨˩
鐘點工	tsʊŋ˥ti:m˧˥kʊŋ˥
飲醇自醉	jɐm˧˥sɵn˨˩tsi:˨tsɵy˧
纖纖玉手	tsʰi:m˥wɐi˨˩jʊk˨sɐu˧˥
揇	la:m˩˧,na:m˩˧,la:m˧,na:m˧
傷風	sœ:ŋ˥fʊŋ˥
戌	sɵt˥
盞衰	tsa:n˧˥sɵy˥
細粒	sɐi˧nɐp˥
神色	sɐn˨˩sɪk˥
水印	sɵy˧˥jɐn˧
剉	tsʰɔ:˧
獨裁政權	tʊk˨tsʰɔ:i˨˩tsɪŋ˧kʰy:n˨˩
詛咒	tsɔ:˧tsɐu˧
詎	kɵy˨
迷魂湯	mɐi˨˩wɐn˨˩tʰɔ:ŋ˥
左前方	tsɔ:˧˥tsʰi:n˨˩fɔ:ŋ˥
鯖	tsʰɪŋ˥
籮	lɔ:˨˩
燒鹼	si:u˥ka:n˧˥
外交團	ŋɔ:i˨ka:u˥tʰy:n˨˩,ɔ:i˨ka:u˥tʰy:n˨˩
人間	jɐn˨˩ka:n˥
傲氣	ŋou˨hei˧,ou˨hei˧
白開水	pa:k˨hɔ:i˥sɵy˧˥
按勞分配	ɔ:n˧lou˨˩fɐn˥pʰu:i˧,ŋɔ:n˧lou˨˩fɐn˥pʰu:i˧
虖	fu:˥
月入	jy:t˨jɐp˨
臉頰	li:m˩˧ka:p˧
揭幕	kʰi:t˧mɔ:k˨
老世	lou˩˧sɐi˧
乘虛而入	sɪŋ˨˩hɵy˥ji:˨˩jɐp˨
計埋	kɐi˧ma:i˨˩
𠸑	sœ:k˧
鵝春形	ŋɔ:˨˩tsʰɵn˥jɪŋ˨˩,ɔ:˨˩tsʰɵn˥jɪŋ˨˩
颽	hɔ:i˧˥
威嚴	wɐi˥ji:m˨˩
婚外	fɐn˥ŋɔ:i˨,fɐn˥ɔ:i˨
防止	fɔ:ŋ˨˩tsi:˧˥
唔會	m̩˨˩wu:i˩˧
不諳	pɐt˥ɐm˥,pɐt˥ŋɐm˥
溝壑	kʰɐu˥kʰɔ:k˧
怕苦	pʰa:˧fu:˧˥
打大交	ta:˧˥ta:i˨ka:u˥
腐乳	fu:˨jy:˩˧
碫	ty:n˧
標出	pi:u˥tsʰɵt˥
逐年	tsʊk˨ni:n˨˩,tsʊk˨li:n˨˩
金融機構	kɐm˥jʊŋ˨˩kei˥kʰɐu˧
痁	ti:m˧
鷄[未＋成＋母]	kɐi˥hɔ:ŋ˧˥
迎親	jɪŋ˨˩tsʰɐn˥
嫌費事	ji:m˨˩fɐi˧si:˨
喉欖	hɐu˨˩la:m˧˥
㒓	tʰa:t˧
胸鰭	hʊŋ˥kʰei˨˩
歲月	sɵy˧jy:t˨
情結	tsʰɪŋ˨˩ki:t˧
𢫨跌	ʊŋ˧˥ti:t˧,ŋʊŋ˧˥ti:t˧
愚夫愚婦	jy:˨˩fu:˥jy:˨˩fu:˩˧
龜公	kwɐi˥kʊŋ˥
栩栩如生	hɵy˧˥hɵy˧˥jy:˨˩sɐŋ˥
目前	mʊk˨tsʰi:n˨˩
桤	kʰei˥
午時	ŋ˩˧si:˨˩
喊打喊殺	ha:m˧ta:˧˥ha:m˧sa:t˧
[口＋披]牌	pʰɛ:˥pʰa:i˧˥
通水	tʰʊŋ˥sɵy˧˥
左鍵	tsɔ:˧˥ki:n˨
都	tou˥
嚘	jɐu˥
入錢	jɐp˨tsʰi:n˧˥
信任	sɵn˧jɐm˨
升學	sɪŋ˥hɔ:k˨
予	jy:˨˩,jy:˩˧
唔駛問阿貴	m̩˨˩sɐi˧˥mɐn˨a:˧kwɐi˧
直角三角形	tsɪk˨kɔ:k˧sa:m˥kɔ:k˧jɪŋ˨˩
用途	jʊŋ˨tʰou˨˩
鋏	ka:p˧
奄奄一息	ji:m˥ji:m˥jɐt˥sɪk˥
[扌＋肴]	ŋa:u˥,a:u˥
睇勻	tʰɐi˧˥wɐn˨˩
死守	sei˧˥sɐu˧˥
吊吊fing	ti:u˨˩ti:u˧˥fɪŋ˨
弔唁	ti:u˧ji:n˨
槮	sɐm˥,sɐm˨
龍騰虎躍	lʊŋ˨˩tʰɐŋ˨˩fu:˧˥jœ:k˨
揳入嚟	si:p˧jɐp˨lei˨˩
彔	lʊk˨
淴	fɐt˥
分憂	fɐn˥jɐu˥
丹鳳眼	ta:n˥fʊŋ˨ŋa:n˩˧,ta:n˥fʊŋ˨a:n˩˧
槍膛	tsʰœ:ŋ˥tʰɔ:ŋ˨˩
發射	fa:t˧sɛ:˨
烤	ha:u˥,ha:u˧˥
落腳處	lɔ:k˨kœ:k˧tsʰy:˧
惦	ti:m˧
怱	tsʰʊŋ˥
矩尺	kɵy˧˥tsʰɛ:k˧
基金	kei˥kɐm˥
財迷心竅	tsʰɔ:i˨˩mɐi˨˩sɐm˥hi:u˧
嫿	wa:k˨
血洗	hy:t˧sɐi˧˥
程序	tsʰɪŋ˨˩tsɵy˨
既來之則安之	kei˧lɔ:i˨˩tsi:˥tsɐk˥ɔ:n˥tsi:˥,kei˧lɔ:i˨˩tsi:˥tsɐk˥ŋɔ:n˥tsi:˥
淳	sɵn˨˩
禍從天降	wɔ:˨tsʰʊŋ˨˩tʰi:n˥kɔ:ŋ˧
控告	hʊŋ˧kou˧
座右銘	tsɔ:˨jɐu˨mɪŋ˨˩
打𠶧	ta:˧˥ti:m˨
搪塞	tʰɔ:ŋ˨˩sɐk˥
商業	sœ:ŋ˥ji:p˨
少數人	si:u˧˥sou˧jɐn˨˩
萬夫莫敵	ma:n˨fu:˥mɔ:k˨tɪk˨
情竇初開	tsʰɪŋ˨˩tɐu˨tsʰɔ:˥hɔ:i˥
外侮	ŋɔ:i˨mou˩˧,ɔ:i˨mou˩˧
下列	ha:˨li:t˨
鋥亮	tsʰa:ŋ˨lœ:ŋ˨
打蛇餅	ta:˧˥sɛ:˨˩pɛ:ŋ˧˥
施肥	si:˥fei˨˩
進口稅	tsɵn˧hɐu˧˥sɵy˧
㖄	tsa:u˥,tsa:u˧
事	si:˨
㛛	sa:n˥,tsa:n˧
苈	lɪk˨
自行決定	tsi:˨hɐŋ˨˩kʰy:t˧tɪŋ˨
佝僂病	kɐu˥lɐu˨˩pɪŋ˨
株	tsy:˥
有口無心	jɐu˩˧hɐu˧˥mou˨˩sɐm˥
委派	wɐi˧˥pʰa:i˧
歡慶	fu:n˥hɪŋ˧
颫	fu:˨˩
退敵	tʰɵy˧tɪk˨
優勝隊	jɐu˥sɪŋ˧tɵy˨
風雨如磐	fʊŋ˥jy:˩˧jy:˨˩pʰu:n˨˩
撽	kɪk˥
水汪汪	sɵy˧˥wɔ:ŋ˥wɔ:ŋ˥
歍	wu:˥
番鬼	fa:n˥kwɐi˧˥
隱約	jɐn˧˥jœ:k˧
鑒賞	ka:m˧sœ:ŋ˧˥
锇	ŋɔ:˨˩
閒暇	ha:n˨˩ha:˨
臢	tsi:m˥
規格	kʰwɐi˥ka:k˧
侍衛長	si:˨wɐi˨tsœ:ŋ˧˥
走青	tsɐu˧˥tsʰɛ:ŋ˥
嬗	si:n˨
冇鬼用	mou˩˧kwɐi˧˥jʊŋ˨
預訂	jy:˨tɪŋ˨
幰	hi:n˧,hi:n˧˥
抱頭鼠竄	pʰou˩˧tʰɐu˨˩sy:˧˥tsʰy:n˧
邊處係呢	pi:n˥sy:˧hɐi˨lɛ:˧
睕	wa:n˥,jy:n˧˥
合桃	hɐp˨tʰou˨˩
穴道	jy:t˨tou˨
湧	jʊŋ˧˥
旅行	lɵy˩˧hɐŋ˨˩
馬步	ma:˩˧pou˨
思忖	si:˥tsʰy:n˧˥
七年之癢	tsʰɐt˥li:n˨˩tsi:˥jœ:ŋ˩˧,tsʰɐt˥ni:n˨˩tsi:˥jœ:ŋ˩˧
四個字	sei˧kɔ:˧tsi:˨
分館	fɐn˥ku:n˧˥
各取所需	kɔ:k˧tsʰɵy˧˥sɔ:˧˥sɵy˥
神權	sɐn˨˩kʰy:n˨˩
衫袖	sa:m˥tsɐu˨
昂住瞓	ŋɔ:ŋ˩˧tsy:˨fɐn˧,ɔ:ŋ˩˧tsy:˨fɐn˧
骨鯁在喉	kwɐt˥kɐŋ˧˥tsɔ:i˨hɐu˨˩
定啲嚟	tɪŋ˨ti:˥lei˨˩
憲	hi:n˧
透析法	tʰɐu˧sɪk˥fa:t˧
腦部	nou˩˧pou˨,lou˩˧pou˨
逐一	tsʊk˨jɐt˥
雲耳	wɐn˨˩ji:˩˧
挑選	tʰi:u˥sy:n˧˥
椿	tsʰɵn˥
題目	tʰɐi˨˩mʊk˨
忽	fɐt˥
不倒翁	pɐt˥tou˧˥jʊŋ˥
掘金	kwɐt˨kɐm˥
保留	pou˧˥lɐu˨˩
週期表	tsɐu˥kʰei˨˩pi:u˧˥
閉門謝客	pɐi˧mu:n˨˩tsɛ:˨ha:k˧
幀	tsɪŋ˧
佔據	tsi:m˧kɵy˧
鄕	hœ:ŋ˥
醉到成坺泥噉	tsɵy˧tou˧sɛ:ŋ˨˩pʰa:t˨lɐi˨˩kɐm˧˥,tsɵy˧tou˧sɛ:ŋ˨˩pʰa:t˨nɐi˨˩kɐm˧˥
半透明	pu:n˧tʰɐu˧mɪŋ˨˩
渮	kɔ:˥
苓	lɪŋ˨˩
天然纖維	tʰi:n˥ji:n˨˩tsʰi:m˥wɐi˨˩
食得就食	sɪk˨tɐk˥tsɐu˨sɪk˨
絲髮戲服	si:˥fa:t˧hei˧fʊk˨
蓇	kwɐt˥
相對性	sœ:ŋ˥tɵy˧sɪŋ˧
煤礦	mu:i˨˩kʰwɔ:ŋ˧
教育廳長	ka:u˧jʊk˨tʰɪŋ˥tsœ:ŋ˧˥
核心	hɐt˨sɐm˥
…點賣？	ti:m˧˥ma:i˨
食牛肉乾	sɪk˨ŋɐu˨˩jʊk˨kɔ:n˥,sɪk˨ɐu˨˩jʊk˨kɔ:n˥
搽口脣膏	tsʰa:˨˩hɐu˧˥sɵn˨˩kou˥
泳褲	wɪŋ˨fu:˧
頤	ji:˨˩
兵士	pɪŋ˥si:˨
稱羨	tsʰɪŋ˥si:n˨
㝽	tsʰɐi˥,tsʰœ:k˧,tsʰɵy˨˩
遄	tsʰy:n˨˩
忳鷄	tʰɐn˨˩kɐi˥
落注	lɔ:k˨tsy:˧
㠂	ŋou˨˩
挖洞	wa:t˧tʊŋ˨
著涼	tsœ:k˨lœ:ŋ˨˩
整唔𠶧	tsɪŋ˧˥m̩˨˩ti:m˨
㓨	tsʰi:˧
昧水	mei˨sɵy˧˥
痛覺	tʰʊŋ˧kɔ:k˧
起點	hei˧˥ti:m˧˥
㓚	kɵy˨,kʰʊŋ˨˩,kʊŋ˥
股東	ku:˧˥tʊŋ˥
妹仔大過主人婆	mu:i˥tsɐi˧˥ta:i˨kwɔ:˧tsy:˧˥jɐn˨˩pʰɔ:˨˩
感性	kɐm˧˥sɪŋ˧
保險費	pou˧˥hi:m˧˥fɐi˧
