теорією	teɔrʲijejʊ
вчинок	ʍt͡ʃɪnɔk
розширювати	rɔʒʃɪrʲʊʋɐte
монгольський	mɔnɦɔlʲsʲkei̯
терти	tɛrte
м'яз	mjɑz
помиї	pɔmɪji
шкірах	ʃkʲirɐx
влаштовуватися	wɫɐʃtʊʋɑtesʲɐ
підборіддя	pʲidborʲidʲːɐ
туристичний	tʊrestɪt͡ʃnei̯
вітебськ	ʋʲitebsʲk
поляки	pɔlʲɑke
панікувати	pɐnʲikʊʋɑte
заява	zɐjɑʋɐ
арахнологія	ɐrɐxnɔɫɔɦʲijɐ
пришвидшувати	preʃʋɪd͡ʒʃʊʋɐte
логістичний	ɫɔɦʲistɪt͡ʃnei̯
тридцятий	tred͡zʲt͡sʲɑtei̯
прямий	prʲɐmɪi̯
послабити	pɔsɫɑbete
юридичний	jʊredɪt͡ʃnei̯
бересклет	bereskɫɛt
віконце	ʋʲikɔnt͡se
руки	ruke
гуманізм	ɦʊmɐnʲizm
мікрофон	mʲikrɔfɔn
обдарований	ɔbdɐrɔʋɐnei̯
бібліотека	bʲiblʲiɔtɛkɐ
серцевий	sert͡sɛʋei̯
тіло	tʲiɫɔ
допускати	dɔpʊskɑte
лабораторіями	ɫɐbɔrɐtɔrʲijɐme
авіатравма	ɐʋʲiɐtrɑu̯mɐ
взаємний	wzɐjɛmnei̯
вимерлий	ʋɪmerɫei̯
ввічливий	ʋʲːit͡ʃɫeʋei̯
металургійний	metɐɫʊrɦʲii̯nei̯
спричинити	spret͡ʃenɪte
лозунг	ɫɔzʊnɦ
кардіологічний	kɐrdʲiɔɫoɦʲit͡ʃnei̯
притомність	pretɔmnʲisʲtʲ
тітка	tʲitkɐ
азербайджанський	ɐzerbɐi̯d͡ʒɑnʲsʲkei̯
рояль	rɔjɑlʲ
дискутувати	deskʊtʊʋɑte
семантика	semɑntekɐ
вживати	wʒeʋɑte
монархії	mɔnɑrxʲiji
мем	mɛm
зникати	znekɑte
раба	rɐbɑ
група	ɦrupɐ
квартири	kʋɐrtɪre
спідницям	sʲpʲidnɪt͡sʲɐm
космодром	kɔsmɔdrɔm
ріпа	rʲipɐ
кишенях	keʃɛnʲɐx
любисток	lʲʊbɪstɔk
вірш	ʋʲirʃ
сьодні	sʲɔdʲnʲi
нещастя	neʃt͡ʃɑsʲtʲɐ
вранці	wrɑnʲt͡sʲi
дипломи	depɫɔme
рак	rɑk
варіантові	ʋɐrʲiɑntɔʋʲi
дві	dʲʋʲi
кухар	kuxɐr
християнський	xrestejɑnʲsʲkei̯
нема	nemɑ
були	bʊɫɪ
спірний	sʲpʲirnei̯
золоту	zɔɫɔtʊ
безпідставний	bezʲpʲid͡zstɑu̯nei̯
щоками	ʃt͡ʃɔkɑme
песимізм	pesemʲizm
християнин	xrestejɑnen
цілий	t͡sʲiɫei̯
пришва	prɪʃʋɐ
донька	dɔnʲkɐ
королева	kɔrɔɫɛʋɐ
гомосексуальність	ɦɔmɔseksʊɑlʲnʲisʲtʲ
собор	sɔbɔr
звикати	zʋekɑte
зобов'язувати	zɔbɔʋjɑzʊʋɐte
договір	dɔɦɔʋʲir
ґазда	ɡɑzdɐ
джибуті	d͡ʒebutʲi
антибіотикам	ɐntebʲiɔtekɐm
завойовувати	zɐwɔjɔwʊʋɐte
занедбувати	zɐnɛdbʊʋɐte
черга	t͡ʃɛrɦɐ
крива	kreʋɑ
обстежувати	ɔbstɛʒʊʋɐte
позиція	pɔzɪt͡sʲijɐ
судак	sʊdɑk
пробуджувати	probud͡ʒʊʋɐte
лінгвіст	lʲinɦʋʲist
бересть	bɛresʲtʲ
різноманітний	rʲiznɔmɐnʲitnei̯
металургія	metɐɫurɦʲijɐ
стать	stɑtʲ
меч	mɛt͡ʃ
птиця	ptɪt͡sʲɐ
спортивний	spɔrtɪu̯nei̯
іграх	iɦrɐx
стабілізувати	stɐbʲilʲizʊʋɑte
судно	sʊdnɔ
крів	krʲiu̯
легеня	ɫeɦɛnʲɐ
словнику	sɫɔu̯neku
повікам	pɔʋʲikɐm
підмінювати	pʲidʲmʲinʲʊʋɐte
їхати	jixɐte
схвалити	sxʋɐɫɪte
вдовець	wdɔʋɛt͡sʲ
багатошлюбний	bɐɦɐtoʃlʲubnei̯
недостатньо	nedɔstɑtʲnʲɔ
авіатранспорт	ɐʋʲiɐtrɑnspɔrt
платити	pɫɐtɪte
надійний	nɐdʲii̯nei̯
відчиняти	ʋʲid͡ʒt͡ʃenʲɑte
братислава	brɐtesɫɑʋɐ
зрусифікувати	zrʊsefʲikʊʋɑte
розчаровувати	rɔʒt͡ʃɐrɔwʊʋɐte
безособовий	bezɔsɔbɔʋei̯
шовковий	ʃɔu̯kɔʋei̯
раціями	rɑt͡sʲijɐme
вилікувати	ʋɪlʲikʊʋɐte
гданськ	ɦdɑnʲsʲk
лікарню	lʲikɑrnʲʊ
багатогодинний	bɐɦɐtɔɦɔdɪnːei̯
пелюшка	pelʲuʃkɐ
абрикотин	ɐbrekɔtɪn
пил	pɪɫ
бенін	bɛnʲin
ідеалістичний	ideɐlʲistɪt͡ʃnei̯
часник	t͡ʃɐsnɪk
олин	ɔɫen
близько	bɫɪzʲkɔ
препарат	prepɐrɑt
ґаздиня	ɡɐzdɪnʲɐ
долар	dɔɫɐr
швидкостях	ʃʋɪdkɔsʲtʲɐx
фей	fɛi̯
каша	kɑʃɐ
втратити	ʍtrɑtete
звикнути	zʋɪknʊte
німка	nʲimkɐ
президент	prezedɛnt
пекарні	pekɑrnʲi
авіаквиток	ɐʋʲiɐkʋetɔk
запевняти	zɐpeu̯nʲɑte
народний	nɐrɔdnei̯
безпроцентний	bezprɔt͡sɛntnei̯
сковорода	skɔwɔrɔdɑ
торпеда	tɔrpɛdɐ
золоті	zɔɫɔtʲi
малайзія	mɐɫɑi̯zʲijɐ
диктатор	dektɑtɔr
вкраїна	ʍkrɐjinɐ
арккосинус	ɐrkːɔsenʊs
гіперпосилання	ɦʲiperpɔseɫɑnʲːɐ
урізноманітнити	ʊrʲiznɔmɐnʲitnete
аґрусовий	ɑɡrʊsɔʋei̯
аванкамера	ɐʋɐnkɑmerɐ
недавно	nedɑu̯nɔ
розліт	rɔzʲlʲit
поламати	pɔɫɐmɑte
кирилиця	kerɪɫet͡sʲɐ
що	ʃt͡ʃɔ
надію	nɐdʲijʊ
батяри	bɑtʲɐre
молот	mɔɫɔt
турист	tʊrɪst
поступки	pɔstʊpke
рівнем	rʲiu̯nem
неорганічна	neɔrɦɐnʲit͡ʃnɐ
українську	ʊkrɐjinʲsʲkʊ
абихто	ɐbɪxtɔ
далекий	dɐɫɛkei̯
мильна	mɪlʲnɐ
інтуїтивний	intʊjitɪu̯nei̯
протилежний	prɔteɫɛʒnei̯
стандартах	stɐndɑrtɐx
ерекція	erɛkt͡sʲijɐ
мелодія	meɫɔdʲijɐ
феї	fɛji
оце	ɔt͡sɛ
праця	prɑt͡sʲɐ
священнослужитель	sʲʋʲɐʃt͡ʃenːɔsɫʊʒɪtelʲ
комерційний	kɔmert͡sʲii̯nei̯
паливний	pɑɫeu̯nei̯
ближчий	bɫɪʒt͡ʃei̯
урок	ʊrɔk
трудівник	trʊdʲiu̯nɪk
ставатися	stɐʋɑtesʲɐ
образити	ɔbrɑzete
стояти	stɔjɑte
грі	ɦrʲi
десятий	desʲɑtei̯
значення	znɑt͡ʃenʲːɐ
лінгвістика	lʲinɦʋʲistekɐ
розпізнавати	rɔzʲpʲiznɐʋɑte
абажурчик	ɐbɐʒurt͡ʃek
декларації	dekɫɐrɑt͡sʲiji
оранжерея	ɔrɐnʒerɛjɐ
спостерегти	spɔstereɦtɪ
рильче	rɪlʲt͡ʃe
принципово	prent͡sepɔwɔ
шанувати	ʃɐnʊʋɑte
синочок	senɔt͡ʃɔk
тридцятиліття	tred͡zʲt͡sʲɐtelʲitʲːɐ
металург	metɐɫurɦ
піддашшя	pʲidːɑʃʲːɐ
іван	iʋɑn
слівче	sʲlʲiu̯t͡ʃɛ
концерт	kɔnt͡sɛrt
мігрень	mʲiɦrɛnʲ
цьому	t͡sʲɔmʊ
румунія	rʊmunʲijɐ
ленін	ɫɛnʲin
королівство	kɔrolʲiu̯stwɔ
офіс	ɔfʲis
вершина	ʋerʃɪnɐ
уявляти	ʊjɐu̯lʲɑte
підошвою	pʲidɔʃwɔjʊ
концентрацій	kɔnt͡sentrɑt͡sʲii̯
могти	mɔɦtɪ
суть	sutʲ
вимираючий	ʋemerɑjʊt͡ʃei̯
павза	pɑu̯zɐ
трудний	trʊdnɪi̯
здогадуватися	zdɔɦɑdʊʋɐtesʲɐ
полічити	pɔlʲit͡ʃɪte
індонезія	indɔnɛzʲijɐ
угорський	ʊɦɔrsʲkei̯
помирати	pɔmerɑte
забрало	zɐbrɑɫɔ
безвідповідально	bezʲʋʲidpɔʋʲidɑlʲnɔ
сестрицям	sestrɪt͡sʲɐm
хвороботворний	xwɔrɔbɔtwɔrnei̯
відчутний	ʋʲid͡ʒt͡ʃutnei̯
особливо	ɔsɔbɫɪwɔ
енергіям	enɛrɦʲijɐm
персоналізувати	persɔnɐlʲizʊʋɑte
віск	ʋʲisk
географія	ɦeɔɦrɑfʲijɐ
незабаром	nezɐbɑrɔm
календарем	kɐɫendɐrɛm
одержувати	ɔdɛrʒʊʋɐte
вечірній	ʋet͡ʃʲirnʲii̯
правитель	prɐʋɪtelʲ
горизонтах	ɦɔrezɔntɐx
надійність	nɐdʲii̯nʲisʲtʲ
африканський	ɐfrekɑnʲsʲkei̯
суміжний	sʊmʲiʒnei̯
мало	mɑɫɔ
образ	ɔbrɐz
рахувати	rɐxʊʋɑte
садова	sɐdɔʋɐ
слухняний	sɫʊxnʲɑnei̯
алжирський	ɐɫʒɪrsʲkei̯
обладнання	ɔbɫɑdnɐnʲːɐ
мешканка	mɛʃkɐnkɐ
великдень	ʋeɫɪɡdenʲ
поло	pɔɫɔ
земфіра	zemfʲirɐ
арахнологіє	ɐrɐxnɔɫɔɦʲije
зимовий	zemɔʋei̯
чудовисько	t͡ʃʊdɔʋesʲkɔ
дідух	dʲidux
галузь	ɦɑɫʊzʲ
пекарка	pɛkɐrkɐ
змінити	zʲmʲinɪte
ванна	ʋɑnːɐ
обдумати	obdumɐte
саудівський	sɐudʲiu̯sʲkei̯
народжуваність	nɐrɔd͡ʒʊʋɐnʲisʲtʲ
забезпечувати	zɐbezpɛt͡ʃʊʋɐte
достатній	dɔstɑtʲnʲii̯
правопорушення	prɐwɔporuʃenʲːɐ
публічний	pʊblʲit͡ʃnei̯
дослідниця	dosʲlʲidnet͡sʲɐ
місіонерка	mʲisʲiɔnɛrkɐ
дев'ятисот	deʋjɐtesɔt
зв'язок	zʋjɐzɔk
друзі	druzʲi
бонусах	bɔnʊsɐx
наречена	nɐrɛt͡ʃenɐ
подружній	podruʒnʲii̯
промовити	prɔmɔʋete
югославія	jʊɦɔsɫɑʋʲijɐ
захист	zɑxest
намібія	nɐmʲibʲijɐ
рівноцінний	rʲiu̯not͡sʲinːei̯
горб	ɦɔrb
вічко	ʋʲit͡ʃkɔ
меморіальний	memɔrʲiɑlʲnei̯
клавіатурою	kɫɐʋʲiɐturɔjʊ
психологія	psexɔɫɔɦʲijɐ
рук	ruk
іноземка	inɔzɛmkɐ
відтік	ʋʲidʲtʲik
здоровий	zdɔrɔʋei̯
електрика	eɫɛktrekɐ
публікувати	pʊblʲikʊʋɑte
військовослужбовець	ʋʲii̯sʲkɔwɔsɫʊʒbɔʋet͡sʲ
дихотомія	dexɔtomʲijɐ
нація	nɑt͡sʲijɐ
маргінальний	mɐrɦʲinɑlʲnei̯
стоматологія	stɔmɐtɔɫɔɦʲijɐ
безвідповідальний	bezʲʋʲidpɔʋʲidɑlʲnei̯
палиця	pɑɫet͡sʲɐ
ідіотський	idʲiɔt͡sʲkei̯
вести	ʋestɪ
орнітологічний	ɔrnʲitɔɫoɦʲit͡ʃnei̯
бонусам	bɔnʊsɐm
страховий	strɐxɔʋɪi̯
художньо	xʊdɔʒnʲɔ
позначити	pɔznɐt͡ʃɪte
тривалий	treʋɑɫei̯
дев'ятисотий	deʋjɐtesɔtei̯
п'ятниця	pjɑtnet͡sʲɐ
спокуса	spokusɐ
поширений	pɔʃɪrenei̯
спочатку	spɔt͡ʃɑtkʊ
наречена	nɐret͡ʃɛnɐ
дарина	dɐrɪnɐ
зобразити	zɔbrɐzɪte
мікроскоп	mʲikrɔskɔp
самостійно	sɐmosʲtʲii̯nɔ
донецьк	dɔnɛt͡sʲk
кишеньковий	keʃenʲkɔʋei̯
давати	dɐʋɑte
портфель	pɔrtfɛlʲ
трансплантації	trɐnspɫɐntɑt͡sʲiji
мабуть	mɑbʊtʲ
латиський	ɫɐtɪsʲkei̯
вище	ʋɪʃt͡ʃe
доступ	dɔstʊp
щоки	ʃt͡ʃɔke
авіаобприскувач	ɐʋʲiɐɔbprɪskʊʋɐt͡ʃ
еквівалентний	ekʋʲiʋɐɫɛntnei̯
вижлуктати	ʋɪʒɫʊktɐte
обдумувати	obdumʊʋɐte
омлет	ɔmɫɛt
гуманістичний	ɦʊmɐnʲistɪt͡ʃnei̯
житловий	ʒetɫɔʋɪi̯
придане	prɪdɐne
фруктовий	frʊktɔʋei̯
обмеженнями	ɔbmɛʒenʲːɐme
черга	t͡ʃerɦɑ
націоналіст	nɐt͡sʲiɔnɐlʲist
авіапромисловість	ɐʋʲiɐprɔmesɫɔʋʲisʲtʲ
прикордонник	prekɔrdɔnːek
геоморфологічний	ɦeɔmɔrfɔɫoɦʲit͡ʃnei̯
вітати	ʋʲitɑte
членство	t͡ʃɫɛnstwɔ
городня	ɦɔrɔdʲnʲɐ
менше	mɛnʃe
збирати	zberɑte
шарманка	ʃɐrmɑnkɐ
розпродаж	rɔzprɔdɐʒ
гей	ɦɛi̯
неї	nɛji
чеський	t͡ʃɛsʲkei̯
впізнати	ʍpʲiznɑte
пральний	prɑlʲnei̯
брехун	brexun
мова	mɔʋɐ
геморой	ɦemɔrɔi̯
вирослий	ʋɪrɔsɫei̯
властивість	wɫɐstɪʋʲisʲtʲ
деркач	derkɑt͡ʃ
тім'я	tʲimjɐ
мрія	mrʲijɐ
нідерланди	nʲiderɫɑnde
імперіям	impɛrʲijɐm
пхати	pxɑte
київ	kɪjiu̯
усім	ʊsʲim
диканя	dekɑnʲɐ
домашнє	dɔmɑʃnʲe
закупівля	zɐkʊpʲiu̯lʲɐ
жлуктати	ʒɫʊktɑte
новизна	nɔʋeznɑ
обстежити	ɔbstɛʒete
оцім	ot͡sʲim
автомобільна	ɐu̯tɔmobʲilʲnɐ
орбіт	orbʲit
багатоповерховий	bɐɦɐtɔpɔʋerxɔʋei̯
касир	kɐsɪr
андрій	ɐndʲrʲii̯
клавіатура	kɫɐʋʲiɐturɐ
лити	ɫɪte
занурювати	zɐnurʲʊʋɐte
контрабандний	kɔntrɐbɑndnei̯
міць	mʲit͡sʲ
специфікувати	spet͡sefʲikʊʋɑte
м'язах	mjɑzɐx
друга	druɦɐ
еволюціонувати	ewɔlʲʊt͡sʲiɔnʊʋɑte
триповерховий	trepɔʋerxɔʋei̯
матвійчук	mɐtʲʋʲii̯t͡ʃuk
мілітаризувати	mʲilʲitɐrezʊʋɑte
каблучка	kɐbɫut͡ʃkɐ
універсальний	ʊnʲiʋersɑlʲnei̯
гора	ɦɔrɑ
кацапка	kɐt͡sɑpkɐ
щиколоток	ʃt͡ʃɪkɔɫɔtɔk
манометр	mɐnɔmetr
стеля	stɛlʲɐ
вимір	ʋɪmʲir
щонайменше	ʃt͡ʃɔnɐi̯mɛnʃe
інтуїтивно	intʊjitɪu̯nɔ
долонь	dɔɫɔnʲ
біржа	bʲirʒɐ
анна	ɑnːɐ
марко	mɐrkɔ
концентрувати	kɔnt͡sentrʊʋɑte
помітити	pomʲitete
поскаржитися	pɔskɑrʒetesʲɐ
майдан	mɐi̯dɑn
дефініцій	defʲinʲit͡sʲii̯
двадцятиоднокутник	dʋɐd͡zʲt͡sʲɐteɔdnokutnek
хід	xʲid
композиційний	kɔmpɔzet͡sʲii̯nei̯
супругу	sʊpruɦʊ
відвідувати	ʋʲidʲʋʲidʊʋɐte
швидкостей	ʃʋɪdkɔstei̯
воєнний	wɔjɛnːei̯
щоках	ʃt͡ʃɔkɑx
умикати	ʊmekɑte
термітник	termʲitnek
міжгалактичний	mʲiʒɦɐɫɐktɪt͡ʃnei̯
кишинів	keʃenʲiu̯
комп'ютеризувати	kɔmpjʊterezʊʋɑte
господинями	ɦɔspɔdɪnʲɐme
тунелях	tʊnɛlʲɐx
трава	trɐʋɑ
гречка	ɦrɛt͡ʃkɐ
уявити	ʊjɐʋɪte
автобудівник	ɐu̯tɔbʊdʲiu̯nɪk
крейда	krɛi̯dɐ
заздрити	zɑzdrete
рух	rux
дев'ясил	deʋjɐsɪɫ
мити	mɪte
співрозмовник	sʲpʲiu̯rɔzmɔu̯nek
терапевтичний	terɐpeu̯tɪt͡ʃnei̯
ґрунтець	ɡrʊntɛt͡sʲ
ворона	wɔrɔnɐ
історичний	istɔrɪt͡ʃnei̯
вміти	wmʲite
обмірковувати	ɔbmʲirkɔwʊʋɐte
піца	pʲit͡sɐ
розбити	rɔzbɪte
посилати	pɔseɫɑte
словечком	sɫɔʋɛt͡ʃkɔm
незадоволення	nezɐdɔwɔɫenʲːɐ
фотель	fɔtɛlʲ
критерієм	kretɛrʲijem
побачення	pɔbɑt͡ʃenʲːɐ
поступках	pɔstʊpkɐx
доповнити	dɔpɔu̯nete
багато	bɐɦɑtɔ
вибору	ʋɪbɔrʊ
процесуальний	prɔt͡sesʊɑlʲnei̯
арифметичний	ɐrefmetɪt͡ʃnei̯
президентський	prezedɛnʲsʲkei̯
прислухування	presɫuxʊʋɐnʲːɐ
симетрично	semetrɪt͡ʃnɔ
льотчик	lʲɔt͡ʃːek
проблема	prɔbɫɛmɐ
твоє	twɔjɛ
ідентифікація	identefʲikɑt͡sʲijɐ
спорожнювати	spɔrɔʒnʲʊʋɐte
співіснування	sʲpʲiʋʲisnʊʋɑnʲːɐ
україною	ʊkrɐjinɔjʊ
повідомити	pɔʋʲidɔmete
прогнози	prɔɦnɔze
горизонтальний	ɦɔrezɔntɑlʲnei̯
кількісний	kʲilʲkʲisnei̯
репутація	repʊtɑt͡sʲijɐ
судина	sʊdɪnɐ
аванпорт	ɐʋɐnpɔrt
відпочити	ʋʲidpɔt͡ʃɪte
провокувати	prɔwɔkʊʋɑte
очі	ɔt͡ʃʲi
припускати	prepʊskɑte
мішаний	mʲiʃɐnei̯
мікроскопічний	mʲikrɔskopʲit͡ʃnei̯
котинги	kɔtɪnɦe
лад	ɫɑd
вуглеводний	wʊɦɫewɔdnei̯
обличчя	ɔbɫɪt͡ʃʲːɐ
біблія	bʲiblʲijɐ
діагностичний	dʲiɐɦnɔstɪt͡ʃnei̯
мікрохвильова	mʲikrɔxʋelʲɔʋɑ
зерновий	zernɔʋɪi̯
м'язами	mjɑzɐme
краєвид	krɐjeʋɪd
видимість	ʋɪdemʲisʲtʲ
тижня	tɪʒnʲɐ
достатність	dɔstɑtʲnʲisʲtʲ
посилити	pɔsɪɫete
безкінечний	bezʲkʲinɛt͡ʃnei̯
капітуляція	kɐpʲitʊlʲɑt͡sʲijɐ
наш	nɑʃ
біомеханіка	bʲiɔmexɑnʲikɐ
гладкий	ɦɫɐdkɪi̯
доба	dɔbɑ
занедбаний	zɐnɛdbɐnei̯
кобальтовий	kɔbɐlʲtɔʋei̯
рослина	rɔsɫɪnɐ
барва	bɑrʋɐ
лихо	ɫɪxɔ
соломія	sɔɫomʲijɐ
звичайний	zʋet͡ʃɑi̯nei̯
латинський	ɫɐtɪnʲsʲkei̯
єдиний	jedɪnei̯
медуза	meduzɐ
дивізією	deʋʲizʲijejʊ
меча	met͡ʃɑ
вепр	ʋɛpr
волость	wɔɫɔsʲtʲ
авіашоу	ɐʋʲiɐʃɔʊ
абстракція	ɐbstrɑkt͡sʲijɐ
синтезувати	sentezʊʋɑte
інспекція	inspɛkt͡sʲijɐ
концепт	kɔnt͡sɛpt
будівельниця	bʊdʲiʋɛlʲnet͡sʲɐ
дріт	dʲrʲit
працьовитий	prɐt͡sʲɔʋɪtei̯
претендент	pretendɛnt
посередницький	pɔserɛdnet͡sʲkei̯
зустрічати	zʊstʲrʲit͡ʃɑte
моєї	mɔjɛji
клен	kɫɛn
яйце	jɐi̯t͡sɛ
освіта	ɔsʲʋʲitɐ
дорога	dɔrɔɦɐ
різнорідний	rʲiznorʲidnei̯
спати	spɑte
ніжний	nʲiʒnei̯
смертність	smɛrtʲnʲisʲtʲ
вибір	ʋɪbʲir
кореспондент	kɔrespɔndɛnt
рильцями	rɪlʲt͡sʲɐme
посміхнутися	pɔsʲmʲixnutesʲɐ
медитація	medetɑt͡sʲijɐ
вищеназваний	ʋeʃt͡ʃenɑzʋɐnei̯
походження	pɔxɔd͡ʒenʲːɐ
індустріалізувати	indʊstʲrʲiɐlʲizʊʋɑte
киргизстан	kerɦezstɑn
тисячоліттях	tesʲɐt͡ʃolʲitʲːɐx
кит	kɪt
недосвідченість	nedɔsʲʋʲid͡ʒt͡ʃenʲisʲtʲ
поєднання	pɔjednɑnʲːɐ
бінокль	bʲinɔklʲ
модифікація	mɔdefʲikɑt͡sʲijɐ
завше	zɑu̯ʃe
вечорі	ʋɛt͡ʃɔrʲi
чемодан	t͡ʃemɔdɑn
волога	wɔɫɔɦɐ
екосистем	ekɔsestɛm
особливий	ɔsɔbɫɪʋei̯
оберігати	ɔberʲiɦɑte
соціалістичний	sɔt͡sʲiɐlʲistɪt͡ʃnei̯
заощадити	zɐɔʃt͡ʃɑdete
досвідчений	dɔsʲʋʲid͡ʒt͡ʃenei̯
трансформацію	trɐnsfɔrmɑt͡sʲijʊ
коштувати	kɔʃtʊʋɐte
спостерігати	spɔsterʲiɦɑte
волонтерка	wɔɫɔntɛrkɐ
плакат	pɫɐkɑt
юриспруденція	jʊresprʊdɛnʲt͡sʲijɐ
важливість	ʋɐʒɫɪʋʲisʲtʲ
беззубий	bezːubei̯
вугор	wʊɦɔr
абсолютист	ɐbsɔlʲʊtɪst
ріпі	rʲipʲi
теніс	tɛnʲis
гуси	ɦuse
слов'ян	sɫɔʋjɑn
архаїзація	ɐrxɐjizɑt͡sʲijɐ
спрощувати	sprɔʃt͡ʃʊʋɐte
віскі	ʋʲisʲkʲi
босоніж	bɔsɔnʲiʒ
оладок	ɔɫɑdɔk
м'язи	mjɑze
виделка	ʋedɛɫkɐ
біля	bʲilʲɐ
кривавий	kreʋɑʋei̯
тисячолітті	tesʲɐt͡ʃolʲitʲːi
шпіхлір	ʃpʲixlʲir
володимир	wɔɫɔdɪmer
вестернізація	ʋesternʲizɑt͡sʲijɐ
кров	krɔu̯
тюрма	tʲʊrmɑ
автовеломотогонки	ɑu̯tɔʋɛɫɔmɔtɔɦɔnke
суфікс	sufʲiks
чужина	t͡ʃʊʒenɑ
застерігати	zɐsterʲiɦɑte
разом	rɑzɔm
бавовняний	bɐwɔu̯nʲɐnei̯
муха	muxɐ
критерії	kretɛrʲiji
верблюд	ʋerblʲud
вікісловникові	ʋʲikʲisɫɔu̯nekɔʋʲi
місце	mʲist͡se
грач	ɦrɑt͡ʃ
передчасний	pered͡ʒt͡ʃɑsnei̯
рилі	rɪlʲi
гриб	ɦrɪb
паровоз	pɐrɔwɔz
українських	ʊkrɐjinʲsʲkex
щось	ʃt͡ʃɔsʲ
теорію	teɔrʲijʊ
оцінити	ɔt͡sʲinɪte
блокнот	bɫɔknɔt
зазначений	zɐznɑt͡ʃenei̯
пропозиціями	prɔpɔzɪt͡sʲijɐme
спокій	spɔkʲii̯
анатолій	ɐnɐtɔlʲii̯
імовірно	imɔʋʲirnɔ
мітоз	mʲitɔz
співбесідник	sʲpʲiu̯besʲidnek
лихоманка	ɫexɔmɑnkɐ
промова	prɔmɔʋɐ
вівсові	ʋʲiu̯sɔʋʲi
камбоджа	kɐmbɔd͡ʒɐ
каплицями	kɐpɫɪt͡sʲɐme
взаємоповага	wzɐjemɔpɔʋɑɦɐ
аромат	ɐrɔmɑt
смердіти	smerdʲite
черево	t͡ʃɛrewɔ
наступний	nɐstupnei̯
їстівний	jisʲtʲiu̯nɪi̯
байдужий	bɐi̯duʒei̯
вказівний	ʍkɐzʲiu̯nɪi̯
наближення	nɐbɫɪʒenʲːɐ
наголошувати	nɐɦɔɫɔʃʊʋɐte
шибениці	ʃɪbenet͡sʲi
скіф	sʲkʲif
іскра	iskrɐ
паніка	pɑnʲikɐ
богоподібний	bɔɦɔpodʲibnei̯
міжнародними	mʲiʒnɐrɔdneme
вибори	ʋɪbɔre
горизонти	ɦɔrezɔnte
будинок	bʊdɪnɔk
мети	metɪ
здебільшого	zdebʲilʲʃɔɦɔ
брехня	brexnʲɑ
репресивний	represɪu̯nei̯
націоналізм	nɐt͡sʲiɔnɐlʲizm
нумограй	nʊmɔɦrɑi̯
шанувальник	ʃɐnʊʋɑlʲnek
опір	ɔpʲir
абдомінопластика	ɐbdɔmʲinɔpɫɑstekɐ
планомірний	pɫɐnomʲirnei̯
сонько	sɔnʲkɔ
додатковий	dɔdɐtkɔʋei̯
обмеження	ɔbmɛʒenʲːɐ
електронний	eɫektrɔnːei̯
сукнях	suknʲɐx
хоробрість	xɔrɔbrʲisʲtʲ
попередити	pɔperɛdete
концерн	kɔnt͡sɛrn
кількісно	kʲilʲkʲisnɔ
каска	kɑskɐ
семеро	sɛmerɔ
станцій	stɑnʲt͡sʲii̯
магнітофон	mɐɦnʲitɔfɔn
білоруська	bʲiɫorusʲkɐ
ментовка	mentɔu̯kɐ
прийміть	prei̯mʲitʲ
солома	sɔɫɔmɐ
петиціям	petɪt͡sʲijɐm
підлого	pʲidɫɔɦɔ
кабель	kɑbelʲ
виснажувати	ʋesnɑʒʊʋɐte
псевдонім	pseu̯donʲim
теоретичний	teɔretɪt͡ʃnei̯
мої	mɔji
прихильниця	prexɪlʲnet͡sʲɐ
тяжкий	tʲɐʒkɪi̯
родитися	rɔdɪtesʲɐ
австрія	ɑu̯stʲrʲijɐ
братній	brɑtʲnʲii̯
бюрократичний	bʲʊrɔkrɐtɪt͡ʃnei̯
нижній	nɪʒnʲii̯
теперішній	tepɛrʲiʃnʲii̯
багатомовний	bɐɦɐtɔmɔu̯nei̯
сукнями	suknʲɐme
іржа	irʒɑ
користувач	kɔrestʊʋɑt͡ʃ
зараз	zɑrɐz
лідер	lʲider
заперечення	zɐperɛt͡ʃenʲːɐ
незамінний	nezɐmʲinːei̯
еластичний	eɫɐstɪt͡ʃnei̯
везти	ʋeztɪ
оселедець	ɔseɫɛdet͡sʲ
склянка	sklʲɑnkɐ
звідти	zʲʋʲidte
зубний	zʊbnɪi̯
кобза	kɔbzɐ
передвиборчий	peredʋɪbɔrt͡ʃei̯
українець	ʊkrɐjinet͡sʲ
абсурдист	ɐbsʊrdɪst
абориген	ɐbɔreɦɛn
весняний	ʋesʲnʲɐnɪi̯
клоччя	kɫɔt͡ʃʲːɐ
найменш	nɐi̯mɛnʃ
цінник	t͡sʲinːɪk
випити	ʋɪpete
взуттєвий	wzʊtʲːɛʋei̯
законодавство	zɐkɔnɔdɑu̯stwɔ
порушення	poruʃenʲːɐ
фінвал	fʲinʋɑɫ
буревій	bʊreʋʲii̯
далі	dɑlʲi
псилоцибін	pseɫɔt͡sɪbʲin
мелодіях	meɫɔdʲijɐx
старіти	stɑrʲite
яхта	jɑxtɐ
нитка	nɪtkɐ
хлів	xlʲiu̯
принтер	prɪnter
авіаперевезення	ɐʋʲiɐpereʋɛzenʲːɐ
стримати	strɪmɐte
підошви	pʲidɔʃʋe
руках	rʊkɑx
міт	mʲit
