secretive	sˈiːkɹətˌɪv
replenishing	ɹɪplˈɛnɪʃɪŋ
neurosis	njuːɹˈəʊsɪs
urethra	jˈɔːɹɛθɹɐ
pinging	pˈɪŋɪŋ
hastens	hˈeɪstənz
hauteur	hɔːtˈɜː
surpassing	səpˈɑːsɪŋ
shags	ʃˈæɡz
pejoratively	pədʒˈɒɹətˌɪvli
macdonald	məkdˈɒnəld
treachery	tɹˈɛtʃəɹi
prat	pɹˈæt
tire	tˈaɪə
nissan	nˈɪsæn,nˈiːsɑːn
untold	ʌntˈəʊld
pinpointed	pˈɪnpɔɪntɪd
dealings	dˈiːlɪŋz
disabilities	dˌɪsɐbˈɪlətˌiz,dɪsəbˈɪlɪtiz
household	hˈaʊshˌəʊld,hˈaʊshəʊld
microcomputer	mˌaɪkɹəʊkəmpjˈuːtɐ
clogging	klˈɒɡɪŋ
reeves	ɹˈiːvz
cairn	kˈeən
achingly	ɐtʃɪŋlˈi
sukkah	sˈʌkɐ
pedometers	pɛdˈɒmɪtəz
bureau	bjˈʊəɹəʊ,bjˈɔːɹəʊ
contraventions	kˌɒntɹəvˈɛnʃənz
staterooms	stˈeɪtɹuːmz
pithead	pˈɪthɛd
violet	vˈaɪəlɪt,vˈaɪələt
poison	pˈɔɪzən
unverified	ʌnvˈɛɹɪfˌaɪd
salivation	sˌælɪvˈeɪʃən
creche	kɹˈeɪʃ,kɹˈɛʃ
philosophies	fɪlˈɒsəfɪz
resettled	ɹɪsˈɛtəld
apparently	ɐpˈæɹəntli,əpˈɛəɹəntli
revamp	ɹɪvˈæmp
fairing	fˈeəɹɪŋ
guppy	ɡˈʌpi
rocky	ɹˈɒki
flyer	flˈaɪə,flˈaɪɐ
dysfunctions	dɪsfˈʌŋkʃənz
tenter	tˈɛntɐ
officiated	əfˈɪʃɪˌeɪtɪd
pump	pˈʌmp,pˈɐmp
tanning	tˈænɪŋ
gibbers	dʒˈɪbəz
tasselled	tˈæsəld
wirework	wˈaɪəwɜːk
libations	lɪbˈeɪʃənz
gasp	ɡˈɑːsp,gˈɑːsp
poached	pˈəʊtʃt
malaprop	mˈæleɪpɹˌɒp
displacement	dɪsplˈeɪsmənt
thingy	θˈɪŋi
truism	tɹˈuːɪzəm
distinguishable	dɪstˈɪŋɡwɪʃəbəl
unedited	ʌnˈɛdɪtɪd
plaiting	plˈeɪtɪŋ
defeats	dɪfˈiːts
knocker	nˈɒkɐ
restating	ɹɪstˈeɪtɪŋ
hullabaloos	hˈʌlɐbˌæluːz
archdukes	ˌɑːtʃdjˈuːks
forehead	fˈɔːhɛd
bombarding	bəmbˈɑːdɪŋ
calderas	kɒldˈeəɹəz
excommunicating	ɛkskəmjˈuːnɪkˌeɪtɪŋ
rectangles	ɹˈɛktæŋɡəlz
ergonomics	ˌɜːɡənˈɒmɪks
hundredfold	hˈʌndɹɪdfˌəʊld
orphan	ˈɔːfən
exhilaration	ɛɡzˌɪlɐɹˈeɪʃən
smirched	smˈɜːtʃt
cowboys	kˈaʊbɔɪz
gallows	gˈæləʊz,ɡˈæləʊz
contextualising	kəntˈɛkstʃuːəlˌaɪzɪŋ
horseboxes	hˈɔːsbɒksɪz
rescuing	ɹˈɛskjuːɪŋ
oppression	əpɹˈɛʃən
perisher	pˈɛɹɪʃɐ
mossy	mˈɒsi
encounters	ɛnkˈaʊntəz
domaine	dəmˈeɪn
dioptre	dɪˈɒptɐ
florida	flˈɒɹɪdə
attachment	ətˈætʃmənt,ɐtˈætʃmənt
skids	skˈɪdz
miscarriage	mɪskˈæɹɪdʒ
fresnel	fɹˈɛsnəl
damping	dˈæmpɪŋ
domiciliary	dˌɒmɪsˈɪliəɹi
reinter	ɹˌiːɪntˈɜː
jackknifed	dʒˈæknaɪft
silkscreen	sˈɪlkskɹiːn
extolling	ɛkstˈəʊlɪŋ
aquavit	ˈækwɐvˌɪt
cupids	kjˈuːpɪdz
spottiest	spˈɒtɪəst
swimsuits	swˈɪmsuːts
smells	smˈɛlz
sharpening	ʃˈɑːpənɪŋ
menus	mˈɛnjuːz
hydrangeas	haɪdɹˈeɪndʒəz
polymeric	pˌɒlɪmˈɛɹɪk
illustrious	ɪlˈʌstɹɪəs
vital	vˈaɪtəl
shipboard	ʃˈɪpbɔːd
reaps	ɹˈiːps
cultish	kˈʌltɪʃ
gabriel	gˈeɪbɹɪəl
leisured	lˈɛʒəd
fayre	fˈeɪɐ
undermines	ˌʌndəmˈaɪnz
shouldering	ʃˈəʊldəɹɪŋ
squeak	skwˈiːk
histogram	hˈɪstəɡɹˌæm
imputing	ɪmpjˈuːtɪŋ
activate	ˈæktɪvˌeɪt
antrum	ˈæntɹəm
charlatans	ʃˈɑːlətənz
keypads	kˈiːpædz
teleview	tˈɛlɪvjˌuː
jan	dʒˈæn
numb	nˈɐm,nˈʌm
underlies	ˌʌndəlˈaɪz
perihelion	pˌɛɹɪhˈɛliən
overlong	ˌəʊvəlˈɒŋ
espouse	ɛspˈaʊs
shingles	ʃˈɪŋɡəlz
spiky	spˈaɪki
datable	dˈeɪtəbəl
headpiece	hˈɛdpiːs
provolone	pɹˈɒvəlˌəʊn
bacteriologically	bæktˈiəɹɪəlˈɒdʒɪkli
annihilated	ɐnˈaɪəlˌeɪtɪd
aquaplane	ˈækwɐplˌeɪn
jealousy	dʒˈɛləsi
culminating	kˈʌlmɪnˌeɪtɪŋ
michael	mˈaɪkəl
discourages	dɪskˈʌɹɪdʒɪz
fermium	fˈɜːmiəm
invasions	ɪnvˈeɪʒənz
tunnels	tˈʌnəlz
seeds	sˈiːdz
howler	hˈaʊlɐ
canines	kˈeɪnaɪnz
shingle	ʃˈɪŋɡəl
wadges	wˈɒdʒɪz
bullet	bˈʊlɪt
antibacterial	ˌæntɪbæktˈiəɹɪəl
evidently	ˈɛvɪdəntli
instrumenting	ˈɪnstɹəməntɪŋ
cockle	kˈɒkəl
precautious	pɹɪkˈɔːʃəs
smiles	smˈaɪlz
cautious	kˈɔːʃəs
fanged	fˈæŋd
backdated	bˈækdeɪtɪd
ganged	ɡˈæŋd
insurgence	ɪnsˈɜːdʒəns
crockery	kɹˈɒkəɹi
hooks	hˈʊks
restatement	ɹɪstˈeɪtmənt
propounded	pɹəpˈaʊndɪd
f	ˈɛf
unisex	jˈuːnɪsˌɛks
descenders	dɪsˈɛndəz
infectious	ɪnfˈɛkʃəs
victories	vˈɪktəɹˌiz
fortify	fˈɔːtɪfˌaɪ
equivocates	ɪkwˈɪvəkˌeɪts
hypnotics	hɪpnˈɒtɪks
sleeveless	slˈiːvləs
smouldering	smˈəʊldəɹɪŋ
tinderbox	tˈɪndəbˌɒks
hashish	hˈæʃɪʃ
decoratively	dˈɛkɹətˌɪvli
convenes	kənvˈiːnz
speedway	spˈiːdweɪ
aids	ˈeɪdz
discounted	dˈɪskˌaʊntɪd,dɪskˈaʊntɪd
marketable	mˈɑːkɪtəbəl
suborning	sˈʌbɔːnɪŋ
undertaking	ˈɐndətˌeɪkɪŋ
elegy	ˈɛlɪdʒi
nattiest	nˈætɪəst
lightermen	lˈaɪtəmˌɛn
bookstall	bˈʊkstɔːl
unseaworthy	ʌnsˈiːwɜːði
lentil	lˈɛntəl
tombs	tˈuːmz
knackered	nˈækəd
manhandle	mˈænhændəl
bedcovers	bˈɛdkʌvəz
toxicologist	tˌɒksɪkˈɒlədʒˌɪst
reconsecrated	ɹˌiːkˈɒnsɪkɹˌeɪtɪd
codename	kˈəʊdneɪm
rigid	ɹˈɪdʒɪd
behove	bɪhˈəʊv
appendicectomy	ɐpˈɛndɪkˈɛktəmˌi
enhanced	ɪnhˈɑːnst,ɛnhˈɑːnst
pasting	pˈeɪstɪŋ
sirloin	sˈɜːlɔɪn
clubland	klˈʌblənd
dumping	dˈʌmpɪŋ
hotplates	hˈɒtpleɪts
peeling	pˈiːlɪŋ
bodices	bˈɒdɪsɪz
bunker	bˈʌŋkɐ
milkmaid	mˈɪlkmeɪd
industrious	ɪndˈʌstɹɪəs
wellingtons	wˈɛlɪŋtənz
cantata	kɑːntˈɑːtɐ
granary	gɹˈænəɹi,ɡɹˈænəɹi
angelfish	ˈeɪndʒəlfɪʃ
locals	lˈəʊkəlz
enlarge	ɛnlˈɑːdʒ,ɪnlˈɑːdʒ
towrope	tˈəʊɹəʊp
corp	kˈɔːp
reiterated	ɹˌiːˈɪtəɹˌeɪtɪd
cohabited	kəʊhˈæbɪtɪd
hurtling	hˈɜːtlɪŋ
embossing	ɛmbˈɒsɪŋ
furnisher	fˈɜːnɪʃɐ
casques	kˈæsks
rebroadcast	ɹɪbɹˈɔːdkɑːst
yonks	jˈɒŋks
pandered	pˈændəd
bullion	bˈʊliən
bullocks	bˈʊləks
eavesdropper	ˈiːvzdɹɒpɐ
tunings	tjˈuːnɪŋz
maxwells	mˈækswɛlz
sculptress	skˈʌlptɹəs
drool	dɹˈuːl
donuts	dˈəʊnʌts
sloppy	slˈɒpi
jew	dʒˈuː
collectives	kəlˈɛktɪvz
churchyards	tʃˈɜːtʃjɑːdz
wobblier	wˈɒbliɐ
experimentally	ɛkspˌɛɹɪmˈɛntəli
gluten	ɡlˈuːtən
pleasanter	plˈɛzɑːntɐ
horsebox	hˈɔːsbɒks
eavesdropped	ˈiːvzdɹɒpt
breasts	bɹˈɛsts
trepidation	tɹˌɛpɪdˈeɪʃən
myriads	mˈɪɹɪˌædz
disallow	dˌɪsɐlˈaʊ
roan	ɹˈəʊn
repairman	ɹɪpˈeəmən
bulling	bˈʊlɪŋ
bedazzling	bɪdˈæzlɪŋ
full	fˈʊl
perspired	pəspˈaɪəd
unhealed	ʌnhˈiːld
silhouettes	sˌɪlʊwˈɛts
primp	pɹˈɪmp
squabble	skwˈɒbəl
hajj	hˈædʒ
offscreen	ˈɒfskɹiːn
gourd	ɡˈɔːd
dunt	dˈʌnt
weft	wˈɛft
gracious	gɹˈeɪʃəs,ɡɹˈeɪʃəs
backs	bˈæks
soften	sˈɒftən,sˈɒfən
knighted	nˈaɪtɪd
headlamp	hˈɛdlæmp
dangle	dˈæŋɡəl
smokescreen	smˈəʊkskɹiːn
surrealistic	səɹiəlˈɪstɪk
purports	pɜːpˈɔːts
jink	dʒˈɪŋk
contest	kˈɒntɛst,kəntˈɛst
boiler	bˈɔɪlə,bˈɔɪlɐ
feral	fˈɛɹəl
secluded	sɪklˈuːdɪd
divert	dˈaɪvɜːt,daɪvˈɜːt
contestant	kəntˈɛstənt
colons	kˈəʊlənz
stoneware	stˈəʊnweə
midships	mˈɪdʃɪps
rundown	ɹˈʌndaʊn
nobodies	nˈəʊbɒdˌiz
meanly	mˈiːnli
squads	skwˈɒdz
shiploads	ʃˈɪpləʊdz
palatable	pˈælətəbəl
lends	lˈɛndz
balls	bˈɔːlz
auction	ˈɔːkʃən
scientists	sˈaɪəntɪsts
objectively	ɒbdʒˈɛktɪvli
eyelets	ˈaɪləts
mispronunciation	mɪspɹənˌʌnsɪˈeɪʃən
armholes	ˈɑːmhəʊlz
adulate	ˈædjʊlˌeɪt
roundhouse	ɹˈaʊndhaʊs
reeky	ɹˈiːki
bethink	bˈɛθɪŋk
agreement	əgɹˈiːmənt,ɐɡɹˈiːmənt
fiendishly	fˈiːndɪʃli
hobos	hˈəʊbəʊz
doc	dˈɒk
sweets	swˈiːts
brainstorm	bɹˈeɪnstɔːm
dawn	dˈɔːn
pelvises	pˈɛlvaɪzɪz
sprinkler	spɹˈɪŋklɐ
unformed	ʌnfˈɔːmd
publicised	pˈʌblɪsˌaɪzd
forge	fˈɔːdʒ
clarifying	klˈæɹɪfˌaɪɪŋ
agribusinesses	ˈæɡɹɪbˌɪznəsɪz
scullers	skˈʌləz
kingpin	kˈɪŋpɪn
fibbers	fˈɪbəz
telophase	tˈɛləfˌeɪz
brinks	bɹˈɪŋks
fantails	fˈɑːnteɪlz
flare	flˈeə,flˈɛə
financial	fɪnˈænʃəl,faɪnˈænʃəl,fˌaɪnˈænʃəl
microcosms	mˈaɪkɹəʊkˌɒzəmz
substantiation	səbstˌænʃɪˈeɪʃən
suitability	sˌuːtəbˈɪlɪti
inciting	ɪnsˈaɪtɪŋ
giving	gˈɪvɪŋ,ɡˈɪvɪŋ
mastheads	mˈɑːsthɛdz
assurance	əʃˈʊəɹəns,əʃjˈɔːɹəns
upgrades	ˈɐpgɹˌeɪdz,ɐpgɹˈeɪdz
milkshakes	mˈɪlkʃeɪks
colonists	kˈɒlənˌɪsts
shoplifter	ʃˈɒplɪftɐ
thrashing	θɹˈæʃɪŋ
epidermal	ˌɛpɪdˈɜːməl
baggy	bˈægi,bˈæɡi
spareribs	spˈeəɹɪbz
pout	pˈaʊt
governing	ɡˈʌvənɪŋ,gˈɐvənɪŋ
thermostats	θˈɜːməʊstˌæts
imperialists	ɪmpˈiəɹɪəlˌɪsts
artillery	ɑːtˈɪləɹi
effaces	ɪfˈeɪsɪz
dowie	dˈaʊi
farm	fˈɑːm
clucks	klˈʌks
desist	dɪsˈɪst
buffaloes	bˈʌfəlˌəʊz
investigators	ɪnvˈɛstɪgˌeɪtəz,ɪnvˈɛstɪɡˌeɪtəz
diversified	daɪvˈɜːsɪfˌaɪd
hostility	hɒstˈɪlɪti,həstˈɪlɪti
equilateral	ˌiːkwɪlˈætəɹəl
creativity	kɹiːˌeɪtˈɪvɪti,kɹˌiːeɪtˈɪvɪti
sorted	sˈɔːtɪd
pinchers	pˈɪntʃəz
bakeries	bˈeɪkəɹɪz
diluting	daɪlˈuːtɪŋ
culpable	kˈʌlpəbəl
begs	bˈɛɡz
intolerant	ɪntˈɒləɹənt
transmits	tɹænsmˈɪts
commentary	kˈɒməntəɹi,kˈɒməntɹi,kˈɒməntɹˌi
venison	vˈɛnɪsən
lotus	lˈəʊtəs
crumbs	kɹˈɐmz,kɹˈʌmz
territorial	tˌɛɹɪtˈɔːɹɪəl
quebec	kwɪbˈɛk
shopaholics	ʃˌɒpɐhˈɒlɪks
hospitals	hˈɒspˌɪtəlz,hˈɒspɪtəlz
favourably	fˈeɪvəɹəbli
steep	stˈiːp
tot	tˈɒt
queen	kwˈiːn
chaired	tʃˈeəd
undismayed	ʌndɪsmˈeɪd
villainess	vˈɪleɪnəs
suer	sˈuːɐ
pathic	pˈæθɪk
obese	əʊbˈiːz,əʊbˈiːs
needy	nˈiːdi
darning	dˈɑːnɪŋ
sideling	sˈaɪdəlɪŋ
cashiers	kˌæʃˈɪəz,kæʃˈiəz
purslane	pˈɜːsleɪn
bitching	bˈɪtʃɪŋ
unrelated	ˌʌnɹɪlˈeɪtɪd
unpolished	ʌnpˈɒlɪʃt
vomit	vˈɒmɪt
plating	plˈeɪtɪŋ
tranquillisers	tɹˈænkwɪlˌaɪzəz
unstick	ʌnstˈɪk
leaflet	lˈiːflɪt,lˈiːflət
frankincense	fɹˈæŋkɪnsəns
thresholds	θɹˈɛʃəʊldz
outturn	aʊttˈɜːn
pathfinders	pˈɑːθfaɪndəz
reactionary	ɹɪˈækʃənəɹi
whomp	hˈuːmp
antiheroes	ˌæntɪhˈiəɹəʊz
mathematical	mˌæθəmˈætɪkəl,mˌæθɪmˈætɪkəl
sobering	sˈəʊbəɹɪŋ
cytoplasm	sˈaɪtəplˌæzəm
atlases	ˈætləsəs,ˈætləsɪz
granny	gɹˈæni,ɡɹˈæni
obits	ˈɒbɪts
cedi	sˈɛdi
abusing	ɐbjˈuːsɪŋ
crammed	kɹˈæmd
tracers	tɹˈeɪsəz
despot	dˈɛspɒt
pestilence	pˈɛstɪləns
uteri	jˈuːtəɹˌi
nance	nˈæns
oleander	ˈəʊlɪˌændɐ
flakiness	flˈeɪkɪnəs
platen	plˈeɪtən
fulminate	fˈʊlmɪnˌeɪt
jumbo	dʒˈʌmbəʊ
honorific	ˌɒnɔːɹˈɪfɪk
foci	fˈəʊsaɪ
leniency	lˈiːnɪənsi
materialism	mətˈiəɹɪəlˌɪzəm
codicil	kˈɒdɪsˌɪl
sloes	slˈəʊz
riparian	ɹɪpˈeəɹiən
testaments	tˈɛstəmənts
handrail	hˈændɹeɪl
odor	ˈəʊdə
carnally	kˈɑːnəli
harped	hˈɑːpt
fidge	fˈɪdʒ
incubate	ˈɪnkjuːbˌeɪt
latrine	lɐtɹˈiːn
loops	lˈuːps
copters	kˈɒptəz
variety	vəɹˈaɪəti
rat	ɹˈæt
undue	ɐndjˈuː,ʌndjˈuː
zinfandel	zˈɪnfændəl
sugary	ʃˈʊɡəɹi
proletarian	pɹəʊltˈeəɹiən
trusty	tɹˈʌsti
gulf	gˈɐlf,ɡˈʌlf
sorcery	sˈɔːsəɹi
bade	bˈeɪd
bastille	bˈɑːstɪl
restoring	ɹɪstˈɔːɹɪŋ
nostril	nˈɒstɹɪl,nˈɒstɹəl
pipeful	pˈaɪpfəl
researched	ɹɪsˈɜːtʃt
bill	bˈɪl
sunscreen	sˈʌnskɹiːn
subscription	sʌbskɹˈɪpʃən,səbskɹˈɪpʃən
pastiche	pɑːstˈiːʃ
feud	fjˈuːd
harnesses	hˈɑːnɪsɪz
cotters	kˈɒtəz
screen	skɹˈiːn
mingle	mˈɪŋɡəl
beached	bˈiːtʃt
belgrade	bˈɛlgɹeɪd,bɛlgɹˈeɪd
endorsements	ɛndˈɔːsmənts
please	plˈiːz
dirtied	dˈɜːtɪd
revolts	ɹɪvˈəʊlts
crystallisation	kɹˌɪstɐlaɪzˈeɪʃən
jollier	dʒˈɒliɐ
colcannon	kˈɒlkænən
ratepayers	ɹˈeɪtpeɪəz
trenchant	tɹˈɛntʃənt
fidelity	fɪdˈɛlɪti
eggcups	ˈɛɡkʌps
directorate	daɪɹˈɛktəɹˌeɪt
illusionist	ɪlˈuːʒənˌɪst
pachisi	pˈætʃɪsˌi
workhorses	wˈɜːkhɔːsɪz
playfully	plˈeɪfəli
stenosis	stɛnˈəʊsɪs
dulse	dˈʌls
jollied	dʒˈɒlid
distortion	dɪstˈɔːʃən
statement	stˈeɪtmənt
handless	hˈændləs
excited	ɪksˈaɪtɪd,ɛksˈaɪtɪd
ostracised	ˈɒstɹɐsˌaɪzd
immodesty	ɪmˈɒdəsti
miscalculating	mɪskˈælkjʊlˌeɪtɪŋ
mandates	mˈændeɪts
overheard	ˌəʊvəhˈɜːd
canoes	kənˈuːz
seizing	sˈiːzɪŋ
sideboard	sˈaɪdbɔːd
ephemera	ɪfˈɛməɹɐ
atop	ɐtˈɒp,ətˈɒp
insignificantly	ˌɪnsɪɡnˈɪfɪkəntli
roam	ɹˈəʊm
glad	ɡlˈæd,glˈæd
prestissimo	pɹɛstˈɪsɪmˌəʊ
doctorate	dˈɒktəɹˌeɪt
stateswoman	stˈeɪtswʊmən
dam	dˈæm
punchline	pˈʌntʃlaɪn
convinces	kənvˈɪnsɪz
lightnings	lˈaɪtnɪŋz
sovereignty	sˈɒvəɹˌɪnti,sˈɒvɹɪnti
unravelling	ʌnɹˈævəlɪŋ
wiretap	wˈaɪətæp
perquisite	pˈɜːkwɪsˌɪt
outgrows	aʊtɡɹˈəʊz
comeuppance	kʌmˈʌpəns
anesthesia	ˌænɪsθˈiːzɪə
thundery	θˈʌndəɹi
barbeque	bˈɑːbəkjˌuː
snuggled	snˈʌɡəld
narrowed	nˈæɹəʊd
mignon	mˈinjɒn
cicadas	sɪkˈɑːdəz
precedent	pɹˈɛsɪdənt
doping	dˈəʊpɪŋ
hymens	hˈaɪmɛnz
environments	ɪnvˈaɪɹənmənts,ɛnvˈaɪɹənmənts
gimme	ɡˈɪmi
chowders	tʃˈaʊdəz
mulberry	mˈʌlbəɹi
brazils	bɹɐzˈɪlz
flapped	flˈæpt
sawtooth	sˈɔːtuːθ
grit	ɡɹˈɪt,gɹɪt
magisterial	mˌædʒɪstˈiəɹɪəl
senoritas	sˈɛnɔːɹˌɪtəz
served	sˈɜːvd
plaintiff	plˈeɪntɪf
morphine	mˈɔːfiːn
aversion	ɐvˈɜːʃən
oversimplified	ˌəʊvəsˈɪmplɪfˌaɪd
acceded	ɐksˈiːdɪd
loggy	lˈɒɡi
speckle	spˈɛkəl
westerner	wˈɛstənɐ
hypnotherapists	hˈɪpnəʊθˌɛɹeɪpˌɪsts
numbingly	nˈʌmɪŋli
warwickshire	wˈɒɹɪkʃə
hypnotises	hˈɪpnətˌaɪzɪz
colleagues	kˈɒliːɡz,kˈɒliːgz
airbags	ˈeəbæɡz
bloop	blˈuːp
hotheads	hˈɒthɛdz
blasters	blˈɑːstəz
ammonium	æmˈəʊniəm
karaoke	kˌæɹɪˈəʊki
maximisation	mˌæksɪmaɪzˈeɪʃən
audiobooks	ˈɔːdɪˌəʊbʊks
recharges	ɹɪtʃˈɑːdʒɪz
stratified	stɹˈætɪfˌaɪd
sightedness	sˈaɪtɪdnəs
pluming	plˈuːmɪŋ
snowmobiling	snˈəʊməbˌiːlɪŋ
impregnate	ˈɪmpɹˌɛɡneɪt
cooker	kˈʊkɐ,kˈʊkə
disassembling	dˌɪsɐsˈɛmblɪŋ
affairs	ɐfˈeəz,əfˈɛəz
walkers	wˈɔːkəz
dins	dˈɪnz
deviants	dˈiːviənts
unique	juːnˈiːk
turncoat	tˈɜːnkəʊt
bloodcurdling	blˈʌdkədlˌɪŋ
gastrostomy	ɡæstɹˈɒstəmi
calls	kˈɔːlz
firs	fˈɜːz
bonemeal	bˈəʊnmiəl
homophobes	hˈɒməfˌəʊbz
waxwings	wˈækswɪŋz
pristina	pɹˈiːʃtɪnə
salacious	sælˈeɪʃəs
canvas	kˈænvəs
digitise	dˈɪdʒɪtˌaɪz
dietary	dˈaɪətəɹi
aerofoil	ˈeəɹəʊfˌɔɪl
conservationists	kˌɒnsəvˈeɪʃənˌɪsts
covetously	kˈʌvətəsli
kinks	kˈɪŋks
transcript	tɹˈænskɹɪpt,tɹˈænskɹˌɪpt
untreatable	ʌntɹˈiːtəbəl
steamboat	stˈiːmbəʊt
suras	sˈɜːɹəz
outlined	ˈaʊtlˌaɪnd,ˈaʊtlaɪnd
colchester	kˈəʊltʃɪstə
planetoid	plˈænɪtˌɔɪd
stabilisation	stˌeɪbɪlaɪzˈeɪʃən
caird	kˈeəd
waxwing	wˈækswɪŋ
note	nˈəʊt
chinstrap	tʃˈɪnstɹæp
cee	sˈiː
sniffy	snˈɪfi
sparser	spˈɑːsɐ
refuse	ɹˈɛfjˌuːz,ɹɪfjˈuːz
eggnog	ˈɛɡnɒɡ
exchanging	ɛkstʃˈeɪndʒɪŋ
gloomily	ɡlˈuːmɪli
geography	dʒɪˈɒgɹəfi,dʒɪˈɒɡɹəfi
eked	ˈiːkt
irrecoverable	ɪɹɪkˈʌvəɹəbəl
barman	bˈɑːmən
herbalist	hˈɜːbəlˌɪst
swears	swˈeəz
shot	ʃˈɒt
chickenpox	tʃˈɪkɪnpˌɒks
converged	kənvˈɜːdʒd
plausibility	plˌɔːzəbˈɪlɪti
horseradishes	hˈɔːsɹɐdˌɪʃɪz
so	sˈəʊ
astrologically	ɐstɹəlˈɒdʒɪkli
preheat	pɹɪhˈiːt
skirting	skˈɜːtɪŋ
daube	dˈɔːb
accursed	ɐkˈɜːsɪd
muzak	mjˈuːzæk
ludicrously	lˈuːdɪkɹəsli
severity	səvˈɛɹɪti
results	ɹɪzˈɐlts,ɹɪzˈʌlts
beans	bˈiːnz
kindergarten	kˈɪndəɡˌɑːtən,kˈɪndəgˌɑːtən
mishaps	mˈɪshæps
hepper	hˈɛpɐ
devisers	dɪvˈaɪzəz
craniotomy	kɹˌænɪˈɒtəmi
kilometres	kˈɪləmˌiːtəz,kˌɪlˈɒmɪtəz
nephron	nˈɛfɹɒn
management	mˈænɪdʒmənt
ridge	ɹˈɪdʒ
reintroduction	ɹˌiːˌɪntɹədˈʌkʃən
tributes	tɹˈɪbjuːts
explanation	ɛksplɐnˈeɪʃən,ˌɛksplənˈeɪʃən
abolishment	ɐbˈɒlɪʃmənt
smuggler	smˈʌɡlɐ
causality	kɔːsˈælɪti
indelibly	ɪndˈɛləbli
launchers	lˈɔːntʃəz
calcification	kˌælsɪfɪkˈeɪʃən
slivers	slˈɪvəz
hairiest	hˈeəɹɪəst
pelvic	pˈɛlvɪk
seaboard	sˈiːbɔːd
copulating	kˈɒpjʊlˌeɪtɪŋ
airwaves	ˈeəweɪvz
incommunicative	ɪnkəmjˈuːnɪkətˌɪv
virtually	vˈɜːtʃuːəli,vˈɜːtʃʊəli
smolt	smˈəʊlt
zoster	zˈɒstɐ
mister	mˈɪstə,mˈɪstɐ
funky	fˈʌŋki,fˈɐŋki
maestros	mˈaɪstɹəʊz
perfuse	pəfjˈuːz
center	sˈɛntɐ,sˈɛntə
kentucky	kɛntˈɐki
nowt	nˈaʊt
ferny	fˈɜːni
philosophical	fˌɪləsˈɒfɪkəl
dildos	dˈɪldəʊz
tempura	tɛmpjˈɔːɹɐ
abstracts	əbstɹˈækts,ˈæbstɹˌækts
poacher	pˈəʊtʃɐ
cheryl	ʃˈɛɹəl
demurred	dɪmˈɜːd
oughtn't	ˈɔːtənt
pored	pˈɔːd
airshows	ˈeəʃəʊz
betas	bˈiːtəz
unpresentable	ʌnpɹɪzˈɛntəbəl
discriminator	dɪskɹˈɪmɪnˌeɪtɐ
correct	kəɹˈɛkt
seeps	sˈiːps
eccentrically	ɛksˈɛntɹɪkli
clinchers	klˈɪntʃəz
reassuring	ɹˌiːəʃjˈɔːɹɪŋ
spouses	spˈaʊsɪz
gamekeepers	ɡˈeɪmkiːpəz
missions	mˈɪʃənz
sidesaddle	sˈaɪdsædəl
chewiness	tʃjˈuːɪnəs
armourer	ˈɑːmɜːɹɐ
smoggy	smˈɒɡi
readings	ɹˈiːdɪŋz
trainspotting	tɹˈeɪnspɒtɪŋ
codicils	kˈɒdɪsˌɪlz
unauthorized	ɐnˈɔːθəɹˌaɪzd
bloodlessly	blˈʌdləsli
underwear	ˌʌndəwˈeə,ˈɐndəwˌɛə
annuity	ɐnjˈuːɪti
trickster	tɹˈɪkstɐ
moonshine	mˈuːnʃaɪn
nutcracker	nˈʌtkɹækɐ
caravelle	kˈæɹɐvˌɛl
genetic	dʒənˈɛtɪk,dʒɛnˈɛtɪk
bandwidth	bˈændwɪdθ
doorknocker	dˈɔːknɒkɐ
listeners	lˈɪsənəz
hogtied	hˈɒɡtaɪd
conquer	kˈɒnkɐ,kˈɒŋkə
robbery	ɹˈɒbəɹi
fizzier	fˈɪzɪɐ
despises	dɪspˈaɪzɪz
personified	pɜːsˈɒnɪfˌaɪd
incinerated	ɪnsˈɪnəɹˌeɪtɪd
then	ðˈɛn
substitution	sˌʌbstɪtjˈuːʃən,sˌɐbstɪtjˈuːʃən
acropolis	ækɹˈɒpəlˌiz
sandman	sˈændmən
bouzouki	bˈuːzaʊkˌi
stationmaster	stˈeɪʃənmˌɑːstɐ
finches	fˈɪntʃɪz
dudley	dˈɐdli
whirs	wˈɜːz
segmentation	sˌɛɡməntˈeɪʃən
mythology	mɪθˈɒlədʒi
reconfirms	ɹˌiːkənfˈɜːmz
verjuice	vˈɜːdʒuːs
amuse	əmjˈuːz,ɐmjˈuːs
general	dʒˈɛnəɹəl,dʒˈɛnɹəl
footplate	fˈʊtpleɪt
uncontrollably	ʌnkəntɹˈəʊləbli
rescheduled	ɹɪstʃˈɛdjuːld
felicitously	fɛlˈɪsɪtəsli
junta	dʒˈʌntɐ
nappies	nˈæpɪz
mentality	mɛntˈælɪti
hyperglycaemic	hˌaɪpəɡlɪkˈiːmɪk
atmospheres	ˈætməsfˌiəz
bebop	bɪbˈɒp
jocks	dʒˈɒks
aspirations	ˌæspəɹˈeɪʃənz,ˌæspɪɹˈeɪʃənz
cooing	kˈuːɪŋ
forcible	fˈɔːsəbəl
rivalling	ɹˈaɪvəlˌɪŋ
replacement	ɹɪplˈeɪsmənt
woofer	wˈuːfɐ
