pogosto	pɔɡóːstɔ
sedanjik	sədáːnjik
snuti	snùːti
portret	pɔrtréːt
časopis	t͡ʃasɔpíːs
najslabši	nájsláːpʃi
zajtrkovati	zajtərkɔʋàːti
herodot	xɛróːdɔt
sinoči	sinóːt͡ʃi
čitati	t͡ʃíːtati
enaindvajset	ɛ́ːnaindʋáːjsɛt
samozadovoljevanje	sáːmɔzadɔʋɔljɛʋàːnjɛ
dvoživka	dʋɔʒíːʋka
kača	kàːt͡ʃa
vodomec	ʋɔdóːmət͡s
guba	ɡùːba
slika	slíːka
borovnica	bɔrɔʋnìːt͡sa
vrsta	ʋə̀rsta
kokot	kɔkóːt
kladivo	kladìːʋɔ
oče	ɔ̀ːt͡ʃɛ
most	móːst
plaža	plàːʒa
dimnik	díːmnik
madžarščina	mad͡ʒáːrʃt͡ʃina
dandanes	dáːndàːnəs
modo	mòːdɔ
prednik	préːdnik
tekočina	tɛkɔt͡ʃìːna
izgubiti	izɡubíːti
apostrof	apɔstróːf
žrebec	ʒrèːbət͡s
igo	iɡóː
dirka	díːrka
mrhovina	mərxɔʋìːna
šunka	ʃúːnka
roža	róːʒa
top	tɔ́p
solza	sɔ̀ːʋza
temen	təmə́n
najsmelejši	nájsmèːlɛjʃi
najpolnejši	nájpɔ̀ːlnɛjʃi
jokati	jɔkàːti
homoseksualnost	xɔmɔsɛksuáːlnɔst
moriti	mɔrìːti
hči	xt͡ʃíː
hašiš	xáːʃiʃ
pikapolonica	pikapɔlóːnit͡sa
uho	uxóː
zadovoljevati	zadɔʋɔljɛʋàːti
miha	mìːxa
dovršen	dɔʋə́rʃən
dokler	dɔklɛ́r
kras	kráːs
zarnik	záːrnik
glasen	ɡlàːsən
sredinec	srɛdíːnət͡s
cesta	t͡sèːsta
dan	dáːn
rešeto	rɛʃɛ̀ːtɔ
krompir	krɔmpìːr
nizozemski	nizɔzéːmski
najsvobodnejši	nájsʋɔbɔ̀ːdnɛjʃi
strupen	strúːpən
notri	nóːtri
dobiti	dɔbíːti
albanec	albáːnət͡s
zrel	zréːʋ
dansko	dáːnskɔ
karta	káːrta
gorčica	ɡóːrt͡ʃit͡sa
tukaj	túːkaj
les	léːs
nič	nít͡ʃ
enaindvajset	ɛ̀ːnaindʋáːjsɛt
najživahnejši	nájʒiʋàːxnɛjʃi
delo	dèːlɔ
groziti	ɡrɔzìːti
slovensko	slɔʋèːnskɔ
geslo	ɡɛ̀ːslɔ
rožmarin	róːʒmarin
odjaviti	ɔdjàːʋiti
malti	máːlti
rodij	ròːdij
priimek	priíːmək
veniti	ʋèːniti
moldavija	mɔldàːʋija
motika	mɔtíːka
aristotel	aristóːtɛl
maltežan	maltɛʒán
kava	kàːʋa
potem	pɔtɛ́m
puran	puráːn
božanstvo	bɔʒáːnstʋɔ
epir	ɛpíːr
kopno	kɔ̀ːpnɔ
kašelj	kàːʃəl
najhitrejše	nájxitrɛ̀ːjʃɛ
razumeti	razumèːti
skusiti	skùːsiti
deva	déːʋa
črkovati	t͡ʃərkɔʋàːti
čebula	t͡ʃɛbùːla
zaspati	zaspàːti
stopiti	stòːpiti
majoneza	majɔnéːza
spustiti	spustíːti
nemčija	néːmt͡ʃija
pesnik	péːsnik
jugoslavija	juɡɔslàːʋija
metafizika	mɛtafìːzika
sovražiti	sɔʋraʒíːti
včlaniti	ʋt͡ʃláːniti
kopati	kòːpati
beloruski	bɛlɔrúːski
služba	slúːʒba
plutonij	plutòːnij
hadron	xadróːn
hrbet	xə̀rbət
slovaški	slɔʋáːʃki
obljubiti	ɔbljùːbiti
bogomolka	bɔɡɔmóːlka
bradatejši	bradàːtɛjʃi
gorčica	ɡɔrt͡ʃìːt͡sa
brdavs	bərdáːʋs
daljšati	dáːlʃati
lepota	lɛpɔ̀ːta
del	dèːʋ
gregorič	ɡrèːɡɔrit͡ʃ
od	ɔt
lok	lóːk
klobučar	klɔbut͡ʃàːr
prazniti	prazníːti
finec	fíːnət͡s
zoreti	zɔrèːti
nekje	nɛkjéː
človek	t͡ʃlɔ̀ːʋɛk
telesen	tɛléːsən
policist	pɔlit͡síːst
vendar	ʋə̀ndar
seznam	sɛznáːm
friz	fríːs
koledar	kɔlɛdàːr
skodelica	skɔdéːlit͡sa
varšava	ʋarʃáːʋa
obmodek	ɔbmóːdək
bergla	béːrɡla
veleposlanik	ʋɛ́lɛpɔslàːnik
kompas	kɔmpáːs
srebrn	srɛbə́rn
ta	táː
anomalija	anɔmalíːja
baker	bàːkər
hostnik	xóːstnik
lepiti	lèːpiti
indija	ìːndija
južen	jùːʒən
sokrat	sóːkrat
lokacija	lɔkàːt͡sija
novak	nɔʋàːk
boste	bóːstɛ
skupaj	skúːpaj
bruto	brúːtɔ
bezeg	bəzə́k
perutnina	pɛrutnìːna
vreme	ʋrɛ̀ːmɛ
oblika	ɔblíːka
čakati	t͡ʃàːkati
voditi	ʋɔdíːti
fukajoč	fukajòːt͡ʃ
pogoj	pɔɡɔ́j
erekcija	ɛrèːkt͡sija
jež	jéːʃ
ogor	ɔɡóːr
jeruzalem	jɛrúːzalɛm
zobozdravstvo	zɔbɔzdráːʋstʋɔ
sadovnjak	sadɔʋnjàːk
amarant	amaráːnt
bizgec	bíːzɡət͡s
povratnik	pɔʋráːtnik
pofukan	pɔfúːkan
žalost	ʒàːlɔst
agrumi	aɡrúːmi
mehaničen	mɛxàːnit͡ʃən
želeti	ʒɛlèːti
divjak	dìːʋjak
fotograf	fɔtɔɡráːf
poljub	pɔljúːp
kazahstan	káːzaxstan
toda	tɔda
zamuditi	zamudíːti
češnja	t͡ʃéːʃnja
vogal	ʋɔɡáːʋ
vtis	ʋtíːs
janež	jàːnɛʃ
šantati	ʃantàːti
kokalj	kòːkal
rasti	ràːsti
lombardija	lɔmbardíːja
kladivce	klàːdiʋt͡sɛ
vojvoda	ʋóːjʋɔda
poplava	pɔpláːʋa
zona	t͡sóːna
tast	táːst
begunec	bɛɡúːnət͡s
primež	príːmɛʃ
metla	mɛ̀ːtla
mitologija	mitɔlɔɡíːja
zrel	zrɛ́ʋ
presenečenje	prɛsɛnéːt͡ʃɛnjɛ
masturbacija	masturbàːt͡sija
dolgovaloven	dɔʋɡɔʋalɔ́ːʋən
bodiva	bòːdiʋa
osebnost	ɔséːbnɔst
prašnik	práːʃnik
klešče	klèːʃt͡ʃɛ
nositi	nɔsíːti
volja	ʋòːlja
žebelj	ʒɛ̀ːbəl
poročen	pɔrɔt͡ʃɛ́n
ujec	úːjət͡s
izgovoriti	izɡɔʋɔríːti
likati	líːkati
štiri	ʃtìːri
dvovidski	dʋóːʋíːtski
dvom	dʋɔ́m
wikislovar	ʋikislɔʋàːr
čustven	t͡ʃúːstʋən
one	ɔ̀ːnɛ
kino	kíːnɔ
tokata	tɔkáːta
smer	sméːr
kukavica	kùːkaʋit͡sa
drozg	dróːsk
mehek	mɛ̀ːxək
žgati	ʒɡàːti
iglica	íːɡlit͡sa
pozornost	pɔzòːrnɔst
ključ	kljùːt͡ʃ
prazniti	praznìːti
heraldika	xɛràːldika
vaterpolo	ʋàːtɛrpóːlɔ
trg	tə́rk
pi	píː
prihodnost	prixóːdnɔst
avstrijec	aʋstríːjət͡s
helij	xèːlij
nepredvidljiv	nɛ́prɛdʋidljìːʋ
obesiti	ɔbèːsiti
sok	sóːk
papež	páːpɛʃ
žagati	ʒáːɡati
grozljivejši	ɡrɔzljìːʋɛjʃi
mravlja	mráːʋlja
nizozemščina	nizɔzéːmʃt͡ʃina
želodec	ʒɛlóːdət͡s
najjasnejši	nájjàːsnɛjʃi
milo	mìːlɔ
pločevinka	plɔt͡ʃɛʋíːnka
ogor	óːɡɔr
gejzir	ɡɛjzìːr
španija	ʃpàːnija
esej	ɛsɛ́ːj
feniks	féːniks
bradavica	bradaʋìːt͡sa
prispevek	prispéːʋək
žara	ʒàːra
ustje	ùːstjɛ
vodomec	ʋɔdòːmət͡s
speti	spèːti
amerika	amɛ́ːrika
najabsurdnejši	nájapsúːrdnɛjʃi
del	déːl
miška	míːʃka
risati	ríːsati
damjak	dáːmjak
leon	léːɔn
sir	sír
počasneje	pɔt͡ʃasnɛ́ːjɛ
kola	kɔ̀ːla
triangel	trijàːnɡəl
vltava	ʋə́ltaʋa
epistemologija	ɛpistɛmɔlɔɡìːja
toplota	tɔplɔ̀ːta
izgovorjava	izɡɔʋɔrjáːʋa
brazda	bràːzda
vroč	ʋrɔ́t͡ʃ
kljun	kljúːn
osmij	òːsmij
spoznati	spɔznàːti
danka	dáːnka
uporabnik	upɔráːbnik
breg	bréːk
asteroid	astɛrɔíːt
stožec	stòːʒət͡s
erotičen	ɛròːtit͡ʃən
menjati	mèːnjati
pozitron	pɔzitróːn
bližnjica	blíːʒnjit͡sa
bratranec	bràːtranət͡s
kockati	kóːt͡skati
tla	tlá
renij	rèːnij
glodalec	ɡlɔdáːlət͡s
barva	báːrʋa
češkoslovaška	t͡ʃéːʃkɔslɔʋáːʃka
kostanj	kɔ̀ːstan
teta	tɛ̀ːta
le	lɛ́
grozdje	ɡròːzdjɛ
sesati	səsàːti
nadporočnik	natpɔróːt͡ʃnik
najpestrejši	nájpèːstrɛjʃi
znati	znàːti
družba	drúːʒba
kozel	kɔ̀ːzəʋ
levinja	lɛ̀ːʋinja
zebsti	zèːpsti
pogostejše	pɔɡóːstɛjʃɛ
hud	xúːt
mornarka	mɔrnàːrka
anakonda	anakóːnda
dob	dóːp
jazbec	jáːzbət͡s
americij	amɛrìːt͡sij
najpodlejši	nájpɔ̀ːdlɛjʃi
oster	òːstər
miti	mìːti
dihur	dixùːr
dvigniti	dʋìːɡniti
vezati	ʋɛzàːti
car	t͡sáːr
obleka	ɔbléːka
ukvarjati	ukʋàːrjati
brskati	bərskati
drkajte	də́rkajtɛ
radon	radóːn
jasnejši	jàːsnɛjʃi
kljunaš	kljunàːʃ
večerja	ʋɛt͡ʃéːrja
revolucija	rɛʋɔlùːt͡sija
ustreznejši	ustrèːznɛjʃi
suh	súːx
različen	razlìːt͡ʃən
opereta	ɔpɛréːta
barka	báːrka
poslušati	pɔslùːʃati
vas	ʋáːs
bombnik	bóːmbnik
največji	nájʋéːt͡ʃji
okopati	ɔkɔpàːti
flavta	fláːʋta
molčati	mɔʋt͡ʃàːti
moj	mòːj
zmagovalec	zmaɡɔʋáːlət͡s
miza	mìːza
jagnjec	jàːɡnjɛt͡s
najnepotrpežljivejši	nájnɛ́pɔtərpɛʒljìːʋɛjʃi
luksemburg	lúːksɛmburk
idila	idíːla
briga	bríːɡa
pav	páːʋ
streha	strèːxa
muflon	muflóːn
barion	barijóːn
andaluzija	andalùːzija
jelena	jɛléːna
depresija	dɛprɛsíːja
polbrat	pɔ́ːʋbrát
očitnejši	ɔt͡ʃìːtnɛjʃi
karamela	karaméːla
tradicionalen	tradit͡siɔnáːlən
luska	lùːska
za	za
rešiti	rèːʃiti
revnejši	rèːʋnɛjʃi
sončen	sóːnt͡ʃən
hiba	xìːba
žepar	ʒɛ́ːpar
korošec	kɔróːʃət͡s
klokan	klóːkan
ali	ali
pomagati	pɔmaɡàːti
uporabiti	upɔrabìːti
peti	pèːti
vreči	ʋrèːt͡ʃi
klobasa	klɔbàːsa
zvezek	zʋéːzək
ko	kɔ
tema	təmá
ostriga	ɔstríːɡa
prislov	prislɔ́ʋ
zgodovina	zɡɔdɔʋìːna
nekropola	nɛkróːpɔla
hladilnik	xladíːlnik
najboljše	nájbóːlʃɛ
nastati	nastàːti
žeti	ʒèːti
vhod	ʋxɔ́t
hitrejše	xitrɛ̀ːjʃɛ
dva	dʋáː
blaznik	bláːznik
ločiti	lɔt͡ʃìːti
smejati	smɛjàːti
hitreje	xitrɛ̀ːjɛ
lev	lɛ́ʋ
najpridnejši	nájprìːdnɛjʃi
lutecij	lutèːt͡sij
bližje	blíːʒjɛ
nedovršen	nɛ́dɔʋə́rʃən
do	dɔ
baskovski	báːskɔʋski
danes	dàːnəs
tramvaj	tramʋáːj
resničnejši	rɛsníːt͡ʃnɛjʃi
ljubit	ljùːbit
spomniti	spóːmniti
izpeljanka	ispɛljàːnka
poljubiti	pɔljúːbiti
piti	pìːti
nizozemska	nizɔzéːmska
kot	kòːt
praštevilo	práːʃtɛʋìːlɔ
siriščnik	siríːʃt͡ʃnik
uraden	uráːdən
amulet	amuléːt
bozon	bɔzóːn
vključiti	ʋkljùːt͡ʃiti
kad	kát
grji	ɡə́rji
bodo	bóːdɔ
človeški	t͡ʃlɔʋèːʃki
par	pàːr
starka	stáːrka
oblak	ɔbláːk
ogel	òːɡəʋ
krst	kə́rst
lavrencij	laʋrèːnt͡sij
prevod	prɛʋɔ́t
žirafa	ʒiráːfa
miš	míʃ
poljščina	póːlʃt͡ʃina
prašati	pràːʃati
pustejši	pustɛ́ːjʃi
redkev	rɛ̀ːtkəʋ
uš	úːʃ
sprememba	sprɛméːmba
pomembnost	pɔméːmbnɔst
pozabiti	pɔzabìːti
as	áːs
mešati	mɛʃàːti
pojasniti	pɔjasníːti
polnejši	pɔ̀ːʋnɛjʃi
geologija	ɡɛɔlɔɡíːja
temperatura	tɛmpɛratúːra
sinhron	sinxróːn
bretonsko	brɛtóːnskɔ
sol	sóːʋ
naenkrat	naɛ̀ːnkrat
vendar	ʋə́ndar
smola	smɔ̀ːla
okus	ɔkúːs
burja	búrja
pomenoslovje	pɔmɛnɔslɔ́ːʋjɛ
kvartet	kʋartéːt
rudnik	rúːdnik
zgodovinski	zɡɔdɔʋíːnski
hidžra	xíːd͡ʒra
srbohrvaščina	sərbɔxərʋáːʃt͡ʃina
anarhist	anarxíːst
pica	pìːt͡sa
trd	tə́rt
pornograf	pɔrnɔɡráːf
vrt	ʋə́rt
sreča	srèːt͡ʃa
osemnajst	ɔsəmnàːjst
jordanija	jɔrdàːnija
bedro	bɛ̀ːdrɔ
vretence	ʋrɛtɛ̀ːnt͡sɛ
ded	dɛ́t
golobica	ɡɔlɔbìːt͡sa
sedanjik	sɛdàːnjik
regrat	rèːɡrat
golob	ɡɔlóːp
modrost	mòːdrɔst
primež	prìːmɛʃ
najzanimivejši	nájzanimìːʋɛjʃi
kositi	kɔsìːti
pripona	pripóːna
braniti	bràːniti
najsplošnejši	nájsplɔ̀ːʃnɛjʃi
sleči	slèːt͡ʃi
kontrabas	kóːntrabáːs
klicaj	klit͡sáːj
šola	ʃóːla
diskriminacija	diskriminàːt͡sija
mrtev	mə̀rtəʋ
evropa	ɛʋróːpa
grofija	ɡrɔfíːja
jetra	jèːtra
wikipedija	ʋikipɛdíːja
slovenski	slɔʋèːnski
levinja	lɛ́ːʋinja
demiurg	dɛmijúːrk
arzen	arzéːn
časnik	t͡ʃáːsnik
kovač	kɔʋàːt͡ʃ
jutro	jùːtrɔ
peter	pèːtər
jug	júːk
pustiti	pustìːti
dajalnik	dajáːlnik
pogrešati	pɔɡrèːʃati
glasnejši	ɡlasnɛ́ːjʃi
sloka	slóːka
stoletje	stɔléːtjɛ
cvrček	t͡sʋə́rt͡ʃək
stavba	stáːʋba
kilometer	kilɔmèːtər
še	ʃɛ
mehika	méːxika
prevesti	prɛʋɛ̀ːsti
prtljaga	pərtljáːɡa
resničnejši	rɛsnìːt͡ʃnɛjʃi
maltežan	maltɛʒáːn
belgija	bèːlɡija
nekje	nɛkjèː
vran	ʋráːn
šank	ʃáːnk
last	láːst
sesti	sèːsti
dve	dʋéː
tkivo	tkìːʋɔ
tvoriti	tʋòːriti
drseti	dərsèːti
popolnoma	pɔpɔ́ːʋnɔma
ramovš	ramɔ́ːʋʃ
kaj	káj
pila	pìːla
rima	ríːma
geografija	ɡɛɔɡrafíːja
tomahavk	tɔmaxáːʋk
deček	déːt͡ʃək
tarča	táːrt͡ʃa
tudi	túːdi
zakaj	zakàːj
haag	xáːk
zgradba	zɡráːdba
mošeja	mɔʃɛ́ːja
jemati	jɛmàːti
rojen	rɔ̀ːjɛn
lokativ	lóːkatiʋ
svizec	sʋíːzət͡s
ponarediti	pɔnarɛdíːti
moder	mòːdər
imenovati	imɛnɔʋàːti
noter	nóːtɛr
zdravica	zdraʋìːt͡sa
meč	mɛ́t͡ʃ
golt	ɡɔ́ːʋt
pomembnejši	pɔméːmbnɛjʃi
priložnost	prilòːʒnɔst
pepel	pɛpéːʋ
glagolica	ɡlaɡóːlit͡sa
amper	ampɛ́ːr
deset	dɛséːt
jagnjec	jáːɡnjɛt͡s
bron	brɔ́n
bog	bóːk
kositer	kɔsìːtər
čevljekljun	t͡ʃéːʋljɛkljúːn
bogastvo	bɔɡáːstʋɔ
komunizem	kɔmunìːzəm
živahnejši	ʒiʋàːxnɛjʃi
psica	psìːt͡sa
gol	ɡóːl
dojilja	dɔjìːlja
slovar	slɔʋàːr
brca	bə́rt͡sa
slovakinja	slɔʋàːkinja
zbrati	zbràːti
cirilica	t͡siríːlit͡sa
andreaš	andrɛàːʃ
vklopiti	ʋklɔpìːti
bik	bík
dajalec	dajáːlət͡s
kralj	kràːl
svinec	sʋìːnət͡s
medicina	mɛdit͡síːna
huriska	xuríːska
eto	ɛ́tɔ
slišati	slìːʃati
kraljevina	kraljɛʋìːna
god	ɡóːt
najskromnejši	nájskrɔ̀ːmnɛjʃi
rusija	rúːsija
stotnik	stóːtnik
kita	kìːta
pravilnejše	praʋíːlnɛjʃɛ
izrael	íːzraɛl
lubenica	lúːbɛnit͡sa
deber	déːbər
glagol	ɡlàːɡɔl
zakleniti	zaklɛnìːti
taščica	tàːʃt͡ʃit͡sa
kladivce	kladíːʋt͡sɛ
različnejši	razlìːt͡ʃnɛjʃi
valj	ʋáːl
zlomljen	zlòːmljɛn
riž	ríːʃ
obraniti	ɔbraníːti
turizem	turìːzəm
radon	ráːdɔn
rozman	róːzman
liga	lìːɡa
gonoreja	ɡɔnɔrɛ́ːja
oprostite	ɔprɔstíːtɛ
epicenter	ɛpit͡sɛ́ːntər
glina	ɡlìːna
srna	sə̀rna
papiga	páːpiɡa
smisel	smíːsəʋ
vrednost	ʋrèːdnɔst
epicenter	ɛpit͡séːntər
afganistan	aʋɡáːnistan
baskovščina	báːskɔʋʃt͡ʃina
avstrijski	aʋstríːjski
vnukinja	ʋnùːkinja
devetnajst	dɛʋɛtnàːjst
drobnjak	drɔbnjàːk
sonet	sɔnéːt
priča	prìːt͡ʃa
hijena	xijéːna
prehlad	prɛxlát
trideset	tríːdɛsɛt
veber	ʋèːbər
banja	bàːnja
nekam	nèːkam
zehati	zèːxati
najpotrebnejši	nájpɔtrèːbnɛjʃi
dvojka	dʋóːjka
najmodrejši	nájmòːdrɛjʃi
počitek	pɔt͡ʃíːtək
b	béː
potreben	pɔtrèːbən
klopotača	klɔpɔtàːt͡ʃa
srečati	sréːt͡ʃati
stotnica	stóːtnit͡sa
ena	ɛ̀ːna
štirinajst	ʃtíːrinajst
vzpon	ʋspɔ́n
ultrakratkovaloven	úːltrakratkɔʋalɔ́ːʋən
dromlja	dróːmlja
bolha	bɔ̀ːʋxa
vklopiti	ʋklòːpiti
zakristija	zakristíːja
spregatev	sprɛɡáːtəʋ
poslušati	pɔsluʃàːti
ločiti	lɔt͡ʃíːti
polje	pɔljéː
vljudnost	ʋljùːdnɔst
princ	príːnt͡s
škorec	ʃkɔ̀ːrət͡s
beograd	béːɔɡrat
najneumnejši	nájnɛùːmnɛjʃi
najnevarnejši	nájnɛʋàːrnɛjʃi
srednji	sréːdnji
topel	tòːpəʋ
štor	ʃtóːr
predvidljivost	prɛdʋidljìːʋɔst
kolesariti	kɔlɛsàːriti
razpelo	raspɛ̀ːlɔ
šteti	ʃtèːti
grofica	ɡrɔfìːt͡sa
krogla	króːɡla
astrologija	astrɔlɔɡíːja
švedščina	ʃʋéːtʃt͡ʃina
kriti	krìːti
tepsti	tɛ̀ːpsti
mungo	múːnɡɔ
džamija	d͡ʒàːmija
tkati	tkàːti
kmetija	kmɛtíːja
želod	ʒɛ̀ːlòːt
dedovati	dèːdɔʋati
sladoled	sladɔléːt
strukturalen	strukturáːlən
bolan	bɔláːn
najpravilnejše	nájpraʋíːlnɛjʃɛ
mesojedec	mɛsɔjéːdət͡s
karel	kàːrəl
zona	zóːna
afna	àːfna
ljubosumen	ljubɔsùːmən
leha	lèːxa
novinec	nɔʋíːnət͡s
med	méːt
semenski	sɛméːnski
krempelj	krèːmpəl
brin	brín
evo	ɛ́ʋɔ
napaka	napáːka
padati	páːdati
danska	dáːnska
uvel	uʋɛ́ʋ
peron	pɛróːn
poljedelstvo	pɔljɛdéːlstʋɔ
prijateljstvo	prijáːtɛlstʋɔ
biser	bíːsɛr
puška	púːʃka
pluton	plúːtɔn
ti	tíː
mravlja	mràːʋlja
met	mɛ́t
vesti	ʋèːsti
muskularen	muskuláːrən
vrabec	ʋràːbət͡s
braniti	branìːti
džez	d͡ʒéːs
veličina	ʋɛlit͡ʃìːna
zelje	zèːljɛ
ženska	ʒèːnska
svetnik	sʋɛtnìːk
čeh	t͡ʃéːx
opica	óːpit͡sa
pustinja	pustìːnja
oder	òːdər
brihtnejši	brìːxtnɛjʃi
zob	zóːp
praded	práːdéːt
hafnij	xàːfnij
kaj	kàːj
vila	ʋíːla
hrvaščina	xərʋáːʃt͡ʃina
kratkovaloven	kratkɔʋalɔ́ːʋən
tod	tòːt
jarek	jáːrək
srce	sərt͡séː
računalnik	rat͡ʃunáːlnik
merjasec	mɛrjàːsət͡s
radirka	radíːrka
krščanstvo	kərʃt͡ʃáːnstʋɔ
pljuča	pljùːt͡ʃa
pisarna	pisáːrna
najbradatejši	nájbradàːtɛjʃi
z	s
paleolitik	palɛɔlìːtik
romun	rɔmúːn
gospodar	ɡɔspɔdàːr
štirje	ʃtìːrjɛ
prostitucija	prɔstitùːt͡sija
vršilec	ʋərʃíːlət͡s
selen	sɛléːn
figa	fìːɡa
dajati	dajàːti
por	póːr
božur	bɔʒùːr
izglagolski	izɡlàːɡɔlski
prestolnica	prɛstóːlnit͡sa
majorka	majóːrka
sistem	sistéːm
mejak	mɛjàːk
motor	móːtɔr
s	s
pogum	pɔɡúːm
si	sí
rosa	rɔ̀ːsa
lice	lìːt͡sɛ
hoteti	xɔtèːti
rožmarin	rɔʒmaríːn
žica	ʒìːt͡sa
grški	ɡə́rʃki
hmelj	xméːl
kupiti	kupíːti
najpodrobnejši	nájpɔdróːbnɛjʃi
zelo	zɛlóː
upanje	úːpanjɛ
muzikalen	muzikáːlən
bruselj	brùːsəl
libija	lìːbija
zel	zéːʋ
rešitev	rɛʃíːtəʋ
stopalo	stɔpàːlɔ
pena	pèːna
klati	klàːti
meriti	mèːriti
meniti	mèːniti
oltar	ɔltàːr
litovščina	lìːtɔʋʃt͡ʃina
breskev	bréːskəʋ
holm	xòːlm
temniti	təmnìːti
grlo	ɡə̀rlɔ
dolgočasen	dɔʋɡɔt͡ʃàːsən
ličnica	líːt͡ʃnit͡sa
dati	dàːti
trajekt	trajéːkt
smeti	smèːti
sam	sáːm
sklon	sklɔ́n
krma	kə̀rma
deber	dèːbər
gol	ɡɔ́ːʋ
ekonomija	ɛkɔnɔmíːja
pot	póːt
blag	bláːk
suženj	sùːʒən
koza	kɔ̀ːza
polnoč	pɔ́ːʋnɔt͡ʃ
vsejedec	ʋsɛjéːdət͡s
španka	ʃpáːnka
sejšeli	sɛjʃéːli
dan	dàːn
tekač	tɛkàːt͡ʃ
boben	bóːbən
zlaten	zláːtən
kopno	kóːpnɔ
astronomija	astrɔnɔmíːja
hektoliter	xéːktɔlìːtər
lama	làːma
prost	prɔ́st
polh	pɔ̀ːʋx
slezenovec	slɛzéːnɔʋət͡s
obsečnica	ɔpséːt͡ʃnit͡sa
butara	bùːtara
arhitektura	arxitɛktúːra
ščit	ʃt͡ʃíːt
hripav	xrìːpaʋ
grešiti	ɡrɛʃìːti
čutiti	t͡ʃùːtiti
kitajec	kitáːjət͡s
stol	stɔ́ʋ
glava	ɡlàːʋa
govoriti	ɡɔʋɔríːti
latvijka	làːtʋijka
gruzijski	ɡrúːzijski
kazen	káːzən
avstrijka	aʋstríːjka
post	pɔ́st
sloka	slòːka
urban	urbáːn
kosinus	kóːsinus
srečneje	srèːt͡ʃnɛjɛ
jemen	jèːmən
vprašanje	ʋpraʃáːnjɛ
minuta	minúːta
končno	kɔ̀ːnt͡ʃnɔ
otvoriti	ɔtʋòːriti
žolna	ʒɔ̀ːʋna
veznik	ʋéːznik
mačka	máːt͡ʃka
cigareta	t͡siɡaréːta
gozd	ɡóːst
prisotnost	prisɔ̀ːtnɔst
zajtrk	zàːjtərk
drka	də́rka
zemlja	zɛ̀ːmlja
njihov	njìːxɔʋ
grba	ɡə̀rba
tavžent	táːʋʒɛnt
sva	sʋá
starodaven	starɔdàːʋən
kako	kakóː
sirotka	sìːrɔtka
plesati	plèːsati
delfin	dɛlfíːn
neptun	nɛptúːn
žleza	ʒlèːza
nor	nɔ́r
fižol	fiʒɔ́ʋ
tvegati	tʋèːɡati
prižnica	prìːʒnit͡sa
gimnazija	ɡimnàːzija
muha	mùːxa
gol	ɡɔ́ʋ
misliti	mìːsliti
vpiti	ʋpìːti
radar	ràːdar
