астрономија	astronǒmija
контроверзан	kontroʋěrzan
јато	jâto
панцир	pǎnt͡siːr
пловидба	plǒʋidba
номенклатура	nomenklatǔːra
есперанто	esperǎnto
јањећи	jǎɲet͡ɕiː
торњати	tǒrɲati
библиотекарски	bibliotěkaːrski
разарати	razǎːrati
зарада	zâːrada
злослутан	zlǒslutan
млеч	mlêːt͡ʃ
досећи	dǒseːt͡ɕi
интегралан	înteɡraːlan
шипанац	ʃipǎːnat͡s
утјешитељ	utjěʃiteʎ
заштитнички	zǎːʃtitnitʃki
шкатула	ʃkǎtula
приказивати	prikazǐːʋati
машина	maʃǐːna
алергологија	alerɡolǒɡija
климакс	klǐmaks
аутономаштво	autonomǎːʃtʋo
пушач	pǔʃaːt͡ʃ
најежити	najěːʒiti
светионик	sʋetiǒniːk
спрдати	spřːdati
статичан	stǎtit͡ʃan
малашност	mâlaːʃnoːst
брезница	brěːznit͡sa
паралелно	paralělno
акорд	ǎkord
пропорционалан	prôport͡sionaːlan
кролати	krǒlati
нумерички	numěrit͡ʃkiː
буџа	bǔːd͡ʒa
зграда	zɡrâda
забадати	zabǎːdati
кружић	krǔːʒit͡ɕ
предлагати	predlǎːɡati
кидати	kîdati
мјештанка	mjěʃtaːnka
крепкост	krêpkoːst
консензус	konsěnzus
стрмоглавце	strmǒɡlaʋt͡seː
чврстина	t͡ʃʋrstǐna
невоља	něʋoʎa
деветнаести	deʋětnaestiː
ја	jâ
јествина	jêstʋina
разбити	rǎzbiti
дупенце	dupěːnt͡se
негостољубив	neɡostoʎǔbiʋ
огранак	ǒɡranak
аутократ	autǒkraːt
пиздити	pǐːzditi
воловски	ʋǒloʋski
веранда	ʋěraːnda
претежно	prěːteʒno
дуговјечан	dûɡoʋjet͡ʃan
додатно	dôdaːtno
куја	kûja
таблета	tablěta
салицилни	sâlit͡siːlniː
трактат	trǎktaːt
прогнаница	prǒɡnanit͡sa
чуперак	t͡ʃupěːrak
знак	znâːk
домородац	domorǒːdat͡s
еволуционист	eʋolut͡siǒnist
висак	ʋǐːsak
жбун	ʒbûːn
анероид	anerǒiːd
сломити	slǒmiti
гуштерача	ɡuʃtěrat͡ʃa
пливачки	plǐʋaːtʃki
оданде	ôdaːnde
како	kâko
покретати	pǒkretati
келткиња	kêltkiɲa
мјестарина	mjestǎrina
јетра	jêtra
хистерија	xistěrija
безрезерван	bezrězeːrʋan
хушкати	xûʃkati
безличан	bězlit͡ʃan
приписивати	pripisǐːʋati
аутохтон	autǒxton
апологија	apolǒɡija
рудина	rǔdina
биљежнички	bǐʎeʒnit͡ʃkiː
пластичност	plǎstit͡ʃnoːst
проспавати	prospǎːʋati
таваф	tǎʋaːf
негација	neɡǎːt͡sija
помоћи	pǒmot͡ɕi
разумљивост	razǔmʎiʋoːst
дантеовски	dǎnteoʋskiː
срцолик	srt͡sǒlik
доставни	dôstaːʋniː
десница	děsnit͡sa
рефракција	refrǎkt͡sija
пјенез	pjêneːz
свемоћан	sʋêmot͡ɕan
ратоборан	râtoboːran
темељито	teměʎito
тираносаур	tiranosǎur
севдалија	seʋdǎlija
лула	lǔla
шнорер	ʃnǒːrer
мјехураст	mjexǔrast
корнфлекс	kôːrnfleks
сахарин	saxǎriːn
унучад	ǔnut͡ʃaːd
цариник	t͡sâriniːk
трол	trôːl
нанишанити	naniʃǎːniti
испитни	ǐspitniː
носилац	nǒsilat͡s
готиван	ɡôtiʋan
јамајка	jamǎjka
крешендо	kreʃěndo
књижевно	kɲîʒeːʋno
пркосно	přkosno
дугорочан	dûɡorot͡ʃan
сламка	slâːmka
допрети	dǒpreːti
вјежба	ʋjêʒba
фанатичан	fanǎtit͡ʃan
хотентотски	xotěntoːtskiː
рад	râːd
краткодометни	kratkodǒːmetniː
баск	bâsk
увиђаван	ûʋid͡ʑaːʋan
проучавати	prout͡ʃǎːʋati
дизало	dîzalo
адолесцентица	adolěst͡sentit͡sa
тротл	trǒtl
шперхолц	ʃpěrxolt͡s
агломерација	aɡlomerǎːt͡sija
бадава	badǎʋa
испомоћ	îspomoːt͡ɕ
бункер	bǔnker
иметак	iměːtak
куртоазан	kûrtoaːzan
светогрдно	sʋêtoɡrːdno
македонка	makědoːnka
кошуте	kǒʃute
бескаматни	běskamatniː
првак	přʋaːk
тачан	tât͡ʃan
крпати	kr̂pati
чамотиња	t͡ʃamǒtiɲa
преписати	prepǐːsati
антиципирати	antit͡sipǐːrati
мјесечар	mjêset͡ʃaːr
остваривати	ostʋarǐːʋati
мед	mêːd
грађевинарство	ɡrad͡ʑeʋinǎːrstʋo
фонолог	fonǒloɡ
паучина	pâut͡ʃina
раслиње	rǎːsliːɲe
ичији	ît͡ʃijiː
надахњивати	nadaxɲǐːʋati
пратити	prâtiti
хормоналан	xôrmonalan
берачица	berǎt͡ʃit͡sa
изорати	izǒrati
милиција	mǐliːt͡sija
бјечва	bjêt͡ʃʋa
призматичан	prizmǎtit͡ʃan
млечњак	mlêːt͡ʃɲaːk
усељавати	useʎǎːʋati
закопавати	zakopǎːʋati
акробат	akrǒbat
пепељати	pepěʎati
обарати	obǎːrati
пловућац	ploʋǔːt͡ɕat͡s
сангвиник	sanɡʋǐnik
заседање	zasěːdaːɲe
глуп	ɡlûːp
иреалност	ireǎːlnoːst
вербалистички	ʋerbalǐstitʃkiː
овера	ôʋera
необорив	neobǒriʋ
театралност	teatrǎːlnoːst
перверзија	perʋěrzija
младеж	mlâdeʒ
пасиван	pâsiːʋan
осјетно	ǒsjetno
лисице	lǐsit͡se
азербајџан	azerbǎjd͡ʒaːn
демократски	demǒkratskiː
сажалити	sǎʒaliti
ефендија	efěndija
особито	ǒsobito
недаван	nêdaːʋan
слаткоречиво	slatkorět͡ʃiʋo
змијоловац	zmijolǒːʋat͡s
тибет	tǐbet
вулканизација	ʋulkanizǎːt͡sija
трговина	trɡǒʋina
сатиричар	satǐrit͡ʃaːr
пастрмка	pâstrːmka
састанак	sǎstanak
верзирано	ʋěrziːrano
понижавати	poniʒǎːʋati
фонограф	fonǒɡraf
деструкција	destrǔkt͡sija
помијешати	pomiěːʃati
мемоар	memǒaːr
алабама	alabǎma
досетљивост	dosětʎiʋoːst
апстрахирати	apstraxǐːrati
сањарити	saɲǎːriti
отапати	otǎːpati
шрот	ʃrôt
жеђати	ʒěːd͡ʑati
сатрап	sǎtrap
катанац	kǎtanat͡s
салон	sǎloːn
свирачки	sʋǐraːtʃki
боксерице	bôkserit͡se
осјећајност	osjet͡ɕǎːjnoːst
силовати	sîloʋati
ревизија	rěʋiːzija
руководилачки	rukoʋǒdilat͡ʃkiː
кролавати	krolǎːʋati
присутност	prisǔːtnoːst
склопив	sklǒpiʋ
плах	plâːx
олимпијски	olǐmpiːjski
ростфрај	rǒstfraj
антикваран	ântikʋaːran
беснети	běsneti
пукотина	pǔkotina
немогуће	nêmoɡuːt͡ɕe
чистота	t͡ʃistǒta
непредвидљиво	nepredʋǐdʎiʋo
лопта	lôpta
шпахтла	ʃpǎxtla
узбрдо	ûzbrdo
одора	ǒdora
фискални	fǐskaːlniː
устрајати	ǔstrajati
ајде	ǎjde
цака	t͡sǎːka
чешњак	t͡ʃěʃɲaːk
допунити	dǒpuniti
псовачки	psǒʋaːtʃki
полетети	polěteti
увенуо	uʋěnuo
кора	kôra
опловити	oplǒʋiti
викторија	ʋǐktoːrija
густ	ɡûːst
корозија	kǒroːzija
усклик	ûskliːk
ковачићевац	kôʋat͡ʃit͡ɕeʋat͡s
расподјела	râspodjela
преплатити	preplǎːtiti
оно	ǒno
уловити	ulǒʋiti
семантички	semǎntitʃkiː
буџетски	bǔd͡ʒetski
потпредседник	potprěːdsedniːk
нетремице	nětremit͡seː
оповргавати	opoʋrɡǎːʋati
илегитимно	îleɡitiːmno
првенствено	prʋěnstʋeno
неприступачност	nêpristupaːt͡ʃnoːst
доњи	dôːɲiː
подваљивати	podʋaʎǐːʋati
устврдити	ustʋřːditi
доушник	dǒuʃniːk
сажетак	saʒěːtak
прљавштина	prʎǎːʋʃtina
недруштвен	nědruʃtʋen
дрворезац	drʋorěːzat͡s
клаоница	klaǒːnit͡sa
попрати	pǒprati
новембар	nǒʋeːmbar
спокојство	spokǒːjstʋo
зацаклити	zat͡sǎkliti
нехуманост	nêxumaːnoːst
деветина	deʋětina
имперсонално	împersonaːlno
инсектицид	insektǐt͡siːd
козмички	kǒzmit͡ʃkiː
бурлеска	burlěska
анода	anǒːda
глиновит	ɡlinǒʋit
колонизација	kolonizǎːt͡sija
трансакција	transǎkt͡sija
сић	sît͡ɕ
престолонаследник	prestolonǎːsledniːk
шаум	ʃǎum
свињарија	sʋiɲǎrija
картограф	kartǒɡraf
цајтнот	t͡sâjtnot
свагдањи	sʋǎɡdaɲiː
доследно	dǒsledno
малољетан	maloʎětan
красописни	krâsopiːsniː
детерминација	determinǎːt͡sija
балерина	balerǐːna
ентомологија	entomolǒɡija
истраживање	istraʒǐːʋaːɲe
риђокос	rid͡ʑǒkos
шведски	ʃʋêdskiː
догодити	doɡǒditi
лигња	lîɡɲa
престизати	prěstizati
у	u
тратинчица	trǎtiːnt͡ʃit͡sa
пупати	pǔpati
обично	ǒbit͡ʃno
владати	ʋlǎːdati
намештај	nâmeʃtaːj
техничар	těxnit͡ʃaːr
химера	xǐmera
ветрењак	ʋetrěɲaːk
буда	bǔːda
наплата	nâːplata
марионета	marioněta
офензиван	ôfenziːʋan
естонија	ěstoːnija
фински	fîːnskiː
рударити	rudǎːriti
енергија	eněrɡija
халуцинација	xalut͡sinǎːt͡sija
тртица	třtit͡sa
прекрити	prěkriti
трубити	trǔːbiti
типичан	tǐpit͡ʃan
арбун	ǎrbuːn
довитљив	doʋǐtʎiʋ
ћ	t͡ɕ
заменица	zâːmenit͡sa
једнолик	jednǒlik
чап	tʃâp
каубојски	kǎubojskiː
физиолог	fiziǒloɡ
својина	sʋojǐna
плимни	plîːmniː
залуду	zalǔːdu
саг	sâːɡ
раздор	rǎːzdor
фалсификација	falsifikǎːt͡sija
фумати	fǔmati
спрат	sprât
парадоксалан	pâradoksaːlaːn
дозвољавати	dozʋoʎǎːʋati
сеоски	sěoskiː
алгебарски	ǎlɡeːbarski
шармер	ʃǎrmeːr
крампашки	krǎmpaːʃkiː
корак	kôraːk
убрус	ǔbrus
једноставно	jêdnostaːʋno
ортак	ǒrtaːk
фоторобот	fotorǒbot
дволичност	dʋǒlit͡ʃnoːst
прелистати	prelǐstati
романизација	romanizǎːt͡sija
избећи	ǐzbet͡ɕi
земљорадња	zemʎorǎːdɲa
раселити	rasěliti
мушкост	mûʃkoːst
цвеће	t͡sʋêːt͡ɕe
каравана	karaʋǎna
меканост	mêkanoːst
упомоћ	ûpomoːt͡ɕ
холандски	xǒlandskiː
заваравати	zaʋarǎːʋati
војсковођа	ʋôjskoʋod͡ʑa
предавање	predǎːʋaːɲe
вас	ʋâːs
извести	ǐzʋeːsti
смоков	smǒkoʋ
ливадски	lǐʋadskiː
уругвајски	ûruɡʋaːjskiː
антропоморфизам	antropomorfǐzam
подставити	pǒdstaʋiti
адоратор	adǒraːtor
папрен	pâpren
оптужба	ǒptuʒba
весник	ʋêːsniːk
урок	ǔːrok
зјенични	zjěnit͡ʃniː
ломбард	lǒmbaːrd
сендвич	sêndʋit͡ʃ
телад	têlaːd
даиџа	dǎid͡ʒa
крепак	krêpak
таленат	tǎlenat
термопиле	termǒpile
спопадати	spǒpadati
спутавати	sputǎːʋati
идолатријски	idolǎtriːjskiː
педесетак	pedesěːtak
истоварити	istǒʋariti
слаткорјечиво	slatkorjět͡ʃiʋo
средство	srědstʋo
празнични	prâːznit͡ʃniː
дикка	dǐkka
добробит	dôbrobiːt
калкирати	kalkǐːrati
зарад	zârad
нечему	nêt͡ʃemu
турпија	tǔrpija
хортикултура	xortikultǔːra
стотинка	stǒtiːnka
исплатити	isplǎːtiti
наставак	nǎːstaʋak
осјећати	ǒsjet͡ɕati
профит	prǒfiːt
препис	prěːpis
нудити	nûditi
опажати	opǎːʒati
образац	ǒbrazat͡s
насмешити	nasměːʃiti
преводити	preʋǒditi
кабел	kǎːbel
пјенушав	pjenǔʃaʋ
кибернетика	kibernětika
лудјети	lǔːdjeti
соман	sǒman
толерантан	tolerǎntan
скаредно	skâredno
демонски	děmoːnski
збогом	zbôɡom
кровић	krǒʋit͡ɕ
ратник	râtniːk
параноичан	paranǒit͡ʃan
синологија	sinolǒɡija
чудо	t͡ʃûdo
шумарак	ʃumǎːrak
дијелити	djěːliti
слеђивати	sled͡ʑǐːʋati
сабирачки	sabǐraːt͡ʃkiː
разборито	rǎːzborito
имплицирати	implit͡sǐːrati
утврда	ûtʋrda
синоним	sinǒniːm
сљубљивати	sʎubʎǐːʋati
мјењач	mjěɲaːt͡ʃ
истребљивач	istrebʎǐʋaːt͡ʃ
одбранити	odbrǎːniti
вјечит	ʋjět͡ʃit
комадати	komǎdati
препирка	prěpiːrka
скрупула	skrûpula
епистемолог	epistemǒloɡ
полако	polǎːko
блицкриг	blît͡skriːɡ
установа	ûstanoʋa
јарчев	jâːrt͡ʃeʋ
трести	trêːsti
весеље	ʋesěːʎe
јендек	jěndek
проценити	prot͡sěːniti
порнографија	pornoɡrǎfija
седати	sêdati
хистеричност	xistěrit͡ʃnoːst
наслеђивање	nasled͡ʑǐːʋaːɲe
упасти	ǔpasti
дело	dêlo
уторак	ǔːtorak
тоскијски	tǒskiːjski
арамејски	aramějskiː
агрологија	aɡrolǒɡija
илустративан	îlustratiːʋan
луфт	lûft
традиционалан	trâdit͡sionaːlan
висјети	ʋîsjeti
антимон	ǎntimon
гора	ɡǒra
потицати	pǒtit͡sati
акустика	akǔstika
суочавати	suot͡ʃǎːʋati
интонација	intonǎːt͡sija
каналски	kǎnaːlskiː
раскалашен	raskǎlaːʃen
родбина	rôdbina
венски	ʋěːnskiː
виђати	ʋǐːd͡ʑati
изниман	ǐzniːman
брбљавост	br̂bʎaʋoːst
тајмер	tǎjmer
веројатан	ʋêrojaːtan
ослабети	ǒslabeti
годити	ɡǒditi
очигледно	ôt͡ʃiɡleːdno
разгалити	razɡǎːliti
зријети	zrijěːti
штопати	ʃtǒːpati
конопљарка	kǒnopʎaːrka
митолог	mitǒloɡ
колхоз	kǒlxoz
носни	nǒsniː
поткопавати	potkopǎːʋati
забрзати	zabřzati
егзалтација	eɡzaltǎːt͡sija
неологизам	neoloɡǐzam
ограничен	oɡrǎnit͡ʃen
једном	jědnoːm
ларпурлартизам	larpurlartǐzam
надесно	nâdesno
шара	ʃǎːra
демонски	děmoːnskiː
упразно	ûpraːzno
једномишљеница	jednǒmiʃʎenit͡sa
мрва	mr̂ʋa
држава	dřʒaʋa
маратон	mâratoːn
глацијација	ɡlat͡sijǎːt͡sija
устврђивати	ustʋrd͡ʑǐːʋati
индијски	ǐndiːjski
проналазак	pronǎlazak
рупија	rǔpija
прерасти	prěraːsti
обесправити	obesprǎːʋiti
пучки	pûːtʃki
рафинирати	rafinǐːrati
гађење	ɡâd͡ʑeːɲe
говорљивост	ɡoʋǒrʎiʋoːst
клизач	klǐzaːt͡ʃ
коминтерна	komintěrna
шестопер	ʃestǒper
апетит	apětiːt
срам	srâːm
симетрија	simětrija
неједнако	nêjednaːko
нехуман	nêxumaːn
квант	kʋânt
истрошен	ǐstroʃen
дактилографија	daktiloɡrǎfija
хрен	xrên
чудновато	t͡ʃûdnoʋaːto
имперфект	împerfekt
елегантан	eleɡǎntan
институт	instǐtuːt
импресионирати	impresionǐːrati
еуропски	ěuropski
аналогно	ânaloɡno
републиканка	republǐkaːnka
шпањолски	ʃpǎɲoːlskiː
археолошки	arxeǒloʃkiː
злочинство	zlǒt͡ʃiːnstʋo
подијелити	podjěːliti
ажуран	âʒuːran
шукати	ʃûkati
посвема	posʋěma
хипокритски	xipǒkritskiː
педесеторо	peděseːtoro
хладно	xlǎːdno
жељезница	ʒěʎeznit͡sa
паперје	pǎpeːrje
оплемењивати	oplemeɲǐːʋati
верник	ʋêːrniːk
подгрејати	pǒdɡrejati
феудалац	feudǎːlat͡s
грабити	ɡrâbiti
ујахати	ǔjaxati
мучити	mût͡ʃiti
стриптиз	strǐptiːz
целивати	t͡selǐːʋati
побуна	pôbuna
лаковјеран	lâkoʋjeːran
клипњача	klǐpɲat͡ʃa
бучност	bût͡ʃnoːst
салонитанац	salonitǎːnat͡s
разбистривати	razbistrǐːʋati
мексички	měksit͡ʃkiː
апсурдно	ǎpsurdno
лако	lâko
коинциденција	koint͡siděnt͡sija
иступати	istǔːpati
дервишки	děrʋiːʃkiː
андорац	andǒːrat͡s
шнирати	ʃnǐːrati
издашан	îzdaːʃan
уштипак	ǔʃtipak
гравитирати	ɡraʋitǐːrati
симулирати	simulǐːrati
зглоб	zɡlôb
прописивати	propisǐːʋati
јело	jêlo
хашиш	xǎʃiʃ
низати	nǐːzati
еквадор	ěkʋaːdor
брдовит	brdǒʋit
складба	sklǎdba
изјадати	ǐzjadati
естетика	estětika
јединцат	jedǐnt͡sat
шкрипити	ʃkrǐpiti
бесконачно	bêskonat͡ʃno
повратник	pǒʋratniːk
лексиколог	leksikǒloɡ
жиг	ʒîːɡ
сустанар	sûstanaːr
гиљотина	ɡǐʎotina
уложити	ulǒʒiti
вређати	ʋrěːd͡ʑati
појединачан	pojedǐnat͡ʃan
миљеник	mîʎeniːk
просторија	prostǒrija
ерудит	erǔdiːt
инадекватан	înadekʋatan
очајан	ôt͡ʃaːjan
електрификација	elektrifikǎːt͡sija
неосетљивост	neosětʎiʋoːst
крампашки	krǎmpaːʃki
конститутиван	kônstitutiːʋan
еруптиван	êruptiːʋan
искусити	iskǔːsiti
кованица	koʋǎnit͡sa
пливачки	plǐʋaːtʃkiː
након	nǎkon
зајебавати	zajebǎːʋati
коштуњавац	koʃtǔɲaʋat͡s
суперсоничан	supersǒnit͡ʃan
инквизиторски	inkʋǐziːtorskiː
одвојити	odʋǒjiti
ружмарин	rûʒmariːn
екипа	ekǐːpa
кулоар	kulǒaːr
свадба	sʋǎdba
селити	sěliti
одијелити	odjěːliti
сабити	sǎbiti
креспин	krěspiːn
боемски	bǒeːmskiː
таџ	tâd͡ʒ
пужев	pǔːʒeʋ
љети	ʎêti
шиљаст	ʃîʎast
мартовски	mârtoʋskiː
раставити	rǎstaʋiti
рожњак	rôʒɲaːk
саломити	salǒmiti
козмогонија	kozmoɡǒnija
човјек	t͡ʃôʋjek
запамтити	zǎpaːmtiti
козак	kǒzaːk
венчање	ʋent͡ʃǎːɲe
виле	ʋîle
узбудити	uzbǔːditi
напоменути	napoměːnuti
испробати	isprǒːbati
надлетети	nadlěteti
утрудити	utrǔːditi
деликт	dělikt
постити	pǒstiti
станарски	stǎnaːrski
саблазан	sâblaːzan
суров	sǔroʋ
сисавац	sîsaʋat͡s
крим	krîːm
фантазма	fantǎzma
куртоазија	kurtoǎːzija
фитиљ	fǐtiːʎ
разбјећи	rǎzbjet͡ɕi
торбар	tǒrbaːr
тенедски	těnedskiː
крајишки	krâjiʃkiː
имбецилитет	imbet͡silǐteːt
вадити	ʋâditi
јоргован	jorɡǒʋaːn
патријаршија	patrijǎrʃija
шљунак	ʃʎǔːnak
лосион	losǐoːn
коцкаст	kôt͡skast
зависност	zǎːʋisnoːst
поништити	pǒniʃtiti
езотеричан	ezotěrit͡ʃan
јемство	jěmstʋo
хиспанистика	xispanǐstika
клупа	klǔːpa
магнет	mǎɡneːt
тајвански	tâjʋaːnskiː
дивљалук	diʋʎǎluk
гутач	ɡǔtaːt͡ʃ
адвербан	ǎdʋerban
дервиш	děrʋiːʃ
скоруп	skôruːp
сигнал	sǐɡnaːl
нигда	nîɡda
шиптар	ʃîptar
коалиција	koalǐːt͡sija
међутим	med͡ʑǔtiːm
истоимен	istǒimen
тужан	tǔːʒan
идентитет	identǐteːt
германизирати	ɡermanizǐːrati
расподијелити	raspodjěːliti
заломити	zalǒmiti
ана	ǎːna
узица	ûzit͡sa
преокренути	preokrěːnuti
популарно	pôpulaːrno
малолетница	mâloletnit͡sa
ловац	lǒʋat͡s
оборине	ǒborine
бескорисност	bêskoriːsnoːst
јасен	jâseːn
превага	prêʋaɡa
паковати	pâkoʋati
хомограм	xomǒɡram
кратковидно	kratkǒʋidno
диван	dǐʋaːn
полумрак	pôlumraːk
анемичан	aněmit͡ʃan
симптоматично	simptomǎtit͡ʃno
теза	těːza
широкогрудан	ʃirokǒɡrudan
поруменити	poruměniti
оријаш	orǐjaːʃ
одиста	ôdista
суделовати	sǔdeloʋati
саблажњивост	sablǎʒɲiʋoːst
такнути	tǎknuti
залутати	zalǔːtati
неверник	něʋeːrniːk
урадити	urǎːditi
ступић	stǔpit͡ɕ
тактичар	tǎktit͡ʃaːr
примјерице	prǐːmjerit͡seː
непорецив	neporět͡siʋ
безгрешан	bězɡreʃan
травар	trǎʋaːr
кожни	kôʒniː
сакупљач	sakǔpʎaːt͡ʃ
шити	ʃîti
кнегиња	kněɡiɲa
гласноговорник	ɡlasnoɡoʋǒrniːk
дезорганизација	dezorɡanizǎːt͡sija
редослед	rêdosleːd
џоинт	d͡ʒǒint
физиотерапеуткиња	fizioterapěutkiɲa
грожђе	ɡrôːʒd͡ʑe
дебељушкаст	debeʎǔʃkast
амбијент	ambǐjent
неписменост	něpismenoːst
клонити	klǒniti
аутономашки	autonǒmaːʃki
пресликати	prěslikati
глад	ɡlâːd
ушиљити	uʃǐːʎiti
равнатељица	raʋnatěʎit͡sa
индивидуалност	indiʋiduǎːlnoːst
вртоглаво	ʋrtǒɡlaʋo
онуда	ǒnuda
ружно	rûːʒno
крамар	krâmaːr
рестрикција	restrǐkt͡sija
хранилац	xrǎnilat͡s
терцијар	têrt͡sijaːr
идиот	idǐot
реконструкција	rekonstrǔkt͡sija
буре	bûre
контрадикција	kontradǐkt͡sija
канал	kǎnaːl
традиционалност	tradit͡sionǎːlnoːst
потребовати	pǒtreboʋati
ћумур	t͡ɕǔmur
симболички	simbǒlit͡ʃki
подчинити	podt͡ʃǐniti
телефонски	telěfoːnski
стидети	stǐːdeti
успињати	ǔspiɲati
упропастити	upropǎːstiti
содомија	sodǒmija
злорадост	zlǒradoːst
епилептичан	epilěptit͡ʃan
невин	nêʋiːn
доживљај	dôʒiʋʎaːj
хибернација	xibernǎːt͡sija
наново	nânoʋo
бескрајан	bêskraːjan
бљеснути	bʎêsnuti
нарочито	nǎːrot͡ʃito
авантурист	aʋantǔrist
мисионар	misiǒnaːr
размислити	rǎzmisliti
пубертетски	puběrteːtskiː
ударац	ǔdarat͡s
аглутинативан	âɡlutinatiːʋan
одвлачити	odʋlǎːt͡ʃiti
накосивати	nakosǐːʋati
омишанин	omǐːʃanin
преостати	preǒstati
развити	rǎzʋiti
епархијски	epǎrxiːjskiː
љубитељ	ʎǔbiteʎ
заступница	zǎːstupnit͡sa
крстовка	kr̂stoːʋka
шампионски	ʃampǐoːnskiː
јасно	jâsno
курац	kûrat͡s
палеонтологија	paleontolǒɡija
опсјена	ôpsjena
република	repǔblika
смрека	smrêka
безобраштина	bezobrǎʃtina
љубнути	ʎûbnuti
шпархет	ʃpǎrxet
азијски	âːziːjskiː
чад	t͡ʃâːd
билтен	bǐlteːn
подокница	pǒdoknit͡sa
омамити	omǎːmiti
психологија	psixolǒɡija
каризматичан	karizmǎtit͡ʃan
опак	ôpaːk
глодач	ɡlǒdaːt͡ʃ
склониште	sklôniːʃte
штопгарн	ʃtǒpɡarn
појурити	pojǔːriti
одбор	ǒdbor
шпигл	ʃpǐːɡl
катаболизам	katabolǐzam
промашај	prômaʃaːj
трансатлантски	transǎtlantskiː
хомофон	xômofoːn
безобзиран	bêzobziːran
надреализам	nadrealǐzam
јагма	jǎɡma
урођен	ǔrod͡ʑen
тражилац	trǎʒilat͡s
рајцати	râjt͡sati
шкробити	ʃkrǒbiti
шлогати	ʃlǒːɡati
тобоже	tǒboʒe
додуше	dodǔːʃeː
кљова	kʎôːʋa
нећак	nêt͡ɕaːk
опоравак	opǒraʋak
разгледница	rǎːzɡlednit͡sa
импертинентан	impertiněntan
мртворођенче	mrtʋorǒd͡ʑeːnt͡ʃe
посталвеоларан	pôstalʋeolaːran
шмиргл	ʃmǐrɡl
киселина	kiselǐna
допуштење	dopuʃtěːɲe
венчаница	ʋent͡ʃǎnit͡sa
зеба	zěːba
казати	kǎːzati
увријежити	uʋrijěːʒiti
пазити	pâziti
отимати	ǒtimati
матерински	mâteriːnski
изазован	îzazoːʋan
панталоне	pantalǒːne
синтагма	sǐntaɡma
инспирација	inspirǎːt͡sija
поштовати	poʃtǒʋati
бит	bîːt
синтетички	sintětitʃki
блебнути	blêbnuti
фрамасон	framǎsoːn
светац	sʋěːtat͡s
сензација	senzǎːt͡sija
симулатор	simǔlaːtor
модеран	môdeːran
будист	bǔdist
андромеда	andrǒmeda
камбоџански	kambǒd͡ʒaːnskiː
дифузивност	difuzǐːʋnoːst
убод	ǔːbod
разводити	razʋǒditi
бесмислица	běsmislit͡sa
резултат	rezǔltaːt
сентиментално	sêntimentaːlno
одбојно	ôdboːjno
карлица	kǎrlit͡sa
сонет	sǒneːt
блеснути	blêsnuti
злогласан	zlǒɡlasan
шема	ʃěːma
гарда	ɡâːrda
размеран	rǎːzmeːran
швапски	ʃʋâpski
распад	rǎːspad
амбијенталан	âmbijentaːlan
произвољно	prôizʋoːʎno
кенија	kêːnija
буквица	bûkʋit͡sa
гањати	ɡǎːɲati
вјеродостојан	ʋjerodǒːstoːjan
нераздвојив	nerazdʋǒjiʋ
шмарн	ʃmârn
незадовољно	nêzadoʋoːʎno
постарији	pôstarijiː
камичак	kamǐːt͡ʃak
обронак	ǒbronak
исплести	ǐsplesti
усправан	ûspraːʋan
хршум	xr̂ʃum
мадрид	mǎdriːd
зјена	zjêna
залогајница	zaloɡǎːjnit͡sa
пријећи	prijêːt͡ɕi
безизражајан	bêzizraʒaːjan
школарина	ʃkolǎrina
андалуски	andǎluskiː
секретарски	sekrětaːrskiː
кишобранар	kiʃobrǎnaːr
олигархија	oliɡǎrxija
бој	bôːj
синтетски	sǐntetski
напредовање	nǎpredoʋaːɲe
форум	fǒːrum
чврсторукаш	t͡ʃʋrstorǔkaːʃ
деветнаест	deʋětnaeːst
замерити	zǎːmeriti
импровизација	improʋizǎːt͡sija
некомпетентно	nekompetěntno
природност	prǐːrodnoːst
бескућник	běskut͡ɕniːk
трн	tr̂ːn
вергл	ʋěrɡl
сач	sât͡ʃ
краткометражни	kratkomětraːʒniː
неуспешност	nêuspeʃnoːst
учесник	ǔt͡ʃesniːk
љубитељски	ʎǔbiteʎski
крволок	krʋǒlok
бекати	běːkati
трст	tr̂st
злоћудан	zlǒt͡ɕudan
родбински	rôdbiːnskiː
флајш	flâjʃ
фикција	fǐkt͡sija
протест	prǒtest
цијевни	t͡sijêːʋniː
идолопоклонство	idolopoklǒːnstʋo
одзвонити	odzʋǒniti
индијанац	indijǎːnat͡s
ситница	sitnǐt͡sa
плодан	plôdan
анимирати	animǐːrati
филолог	filǒloɡ
равнодушан	raʋnǒduʃan
бесрамност	bêsraːmnoːst
документаран	dôkumentaːran
неквалитетан	někʋalitetan
створити	stʋǒriti
обострано	obǒstrano
хушкач	xǔʃkaːt͡ʃ
шихта	ʃîxta
радио	râːdio
испијати	ispǐːjati
биљојед	bîʎojeːd
вишестран	ʋiʃěstran
згрејати	zɡrejati
технолог	texnǒloɡ
искрцавати	iskrt͡sǎːʋati
редослијед	rêdosljeːd
изравнати	izrǎʋnati
гротескно	ɡrotěskno
улизати	ulǐːzati
опростити	oprǒstiti
ли	li
пендрек	pěndrek
поправљачица	popraʋʎǎt͡ʃit͡sa
необориво	neobǒriʋo
лола	lǒːla
отмичар	ǒtmit͡ʃaːr
питон	pǐtoːn
јурве	jûːrʋe
борац	bǒːrat͡s
