மாங்காய்	mɑːŋɡɑːj
உச்சவம்	ʔɯsːʌʋʌm
புட்டி	pɯʈːi
மார்பகம்	mɑːɾ̪pʌɡʌm
சாலி	sɑːl̪i
ஆதாம்	ʔɑːd̪ɑːm
ஜனகம்	d͡ʑʌnʌɡʌm
காப்பீடு	kɑːpːiːɖɯ
முள்நாறிப்	mɯɭn̪ɑːrɨp
ஆளி	ʔɑːɭi
சீனா	siːnɑː
அவர்கள்	ʔʌʋʌɾ̪kʌɭ
மறுசுழற்சி	mʌrɯsɯɻʌrsi
நகரமாந்தர்	n̪ʌɡʌɾ̪ʌmɑːn̪d̪ʌɾ̪
சுரும்பு	sɯɾ̪ɯmbɯ
ஜங்கிள்	d͡ʑʌŋɡɨɭ
சரித்திரம்	sʌɾ̪ɨt̪ːɨɾ̪ʌm
நாகரிகம்	n̪ɑːɡʌɾ̪ɨɡʌm
யாழ்	jɑːɻ
சேர்ந்தார்	seːɾ̪n̪d̪ɑːɾ̪
முளைக்கீரை	mɯɭʌɪ̯kːiːɾ̪ʌɪ̯
புருவம்	pɯɾ̪ɯʋʌm
ஆட்டுப்பால்	ʔɑːʈːɯpːɑːl̪
வரம்பு	ʋʌɾ̪ʌmbɯ
அணிகம்	ʔʌɳɨɡʌm
நடனம்	n̪ʌɖʌnʌm
வாகை	ʋaːɣaɪ
பயிர்	pʌjɨɾ̪
ஜெருசலேம்	d͡ʑeɾ̪ɯsʌl̪eːm
காதல்	kɑːd̪ʌl̪
மண்டபம்	mʌɳɖʌbʌm
மருத்துவர்	mʌɾ̪ɯt̪ːɯʋʌɾ̪
பெருங்காயம்	peɾ̪ɯŋɡɑːjʌm
காய்கறி	kɑːjkʌri
புது	pɯd̪ɯ
கலைக்களஞ்சியம்	kʌl̪ʌɪ̯kːʌɭʌɲd͡ʑɨjʌm
அக்காமார்	ʔʌkːɑːmɑːɾ̪
கம்பம்	kʌmbʌm
அலைப்	ʔʌl̪ʌɪ̯p
பகரம்	pʌɡʌɾ̪ʌm
நல்லொழுக்கம்	n̪ʌl̪ːoɻɯkːʌm
ஆங்கிலம்	ʔɑːŋɡɨl̪ʌm
இளநீர்	ʔɨɭʌn̪iːɾ̪
ஆவி	ʔɑːʋi
ஊழல்	ʔuːɻʌl̪
ஆபிச்	ʔɑːbɨs
கிளர்ச்சி	kɨɭʌɾ̪sːi
பிற்பகல்	pɨrpʌɡʌl̪
வல்லவன்	ʋʌl̪ːʌʋʌn
சிங்கப்பூர்	sɨŋɡʌpːuːɾ̪
ஆணவம்	ʔɑːɳʌʋʌm
மிருகம்	mɨɾ̪ɯɡʌm
அரவிந்தம்	ʔʌɾ̪ʌʋɨn̪d̪ʌm
பேனா	peːnɑː
வலி	ʋʌl̪i
எதிர்பால்சேர்க்கை	ʔed̪ɨɾ̪pɑːl̪seːɾ̪kːʌɪ̯
ஆம்பி	ʔɑːmbi
அவல்	ʔʌʋʌl̪
காந்தவண்டி	kɑːn̪d̪ʌʋʌɳɖi
கருது	kʌɾ̪ɯd̪ɯ
பாதம்	pɑːd̪ʌm
சித்திரை	sɨt̪ːɨɾ̪ʌɪ̯
இங்கிட்டு	ʔɨŋɡɨʈːɯ
கண்டு	kʌɳɖɯ
மூடுபனி	muːɖɯbʌni
கும்பிடு	kɯmbɨɖɯ
பிசுபிசுத்தவன்	pɨsɯbɨsɯt̪ːʌʋʌn
பொறியாளர்	porɨjɑːɭʌɾ̪
தொன்மை	t̪onmʌɪ̯
வேலைக்காரன்	ʋeːl̪ʌɪ̯kːɑːɾ̪ʌn
பல்	pʌl̪
பிரபஞ்சம்	pɨɾ̪ʌbʌɲd͡ʑʌm
பாஷ்தூ	pɑːʂt̪uː
பிசி	pɨsi
அளவை	ʔʌɭʌʋʌɪ̯
நிர்ணயம்	n̪ɨɾ̪ɳʌjʌm
புண்டை	pɯɳɖʌɪ̯
பிங்கலம்	pɨŋɡʌl̪ʌm
பாட்டு	pɑːʈːɯ
சப்போட்டா	sʌpːoːʈːɑː
எமன்	ʔemʌn
மடிக்கணினி	mʌɖɨkːʌɳɨni
உறுகண்	ʔɯrɯɡʌɳ
இன்று	ʔɨnrɯ
கருமை	kʌɾ̪ɯmʌɪ̯
தோண்டான்	t̪oːɳɖɑːn
அடித்தளம்	ʔʌɖɨt̪ːʌɭʌm
நிகர்ப்பு	n̪ɨɡʌɾ̪pːɯ
ஈழம்	ʔiːɻʌm
பிகுப்பட்டை	pɨɡɯpːʌʈːʌɪ̯
ஜிந்தகி	d͡ʑɨn̪d̪ʌɡi
முன்றுறை	mɯnrɯrʌɪ̯
ஓடு	ʔoːɖɯ
இயல்பு	ʔɨjʌl̪pɯ
வேலைக்கூலி	ʋeːl̪ʌɪ̯kːuːl̪i
