berendezés	bɛrɛndɛzeːʃ
fasírtokra	fɒʃiːrtokrɒ
feliratotok	fɛlirɒtotok
borzalom	borzɒlom
katicabogarak	kɒtit͡sɒboɡɒrɒk
lesen	lɛʃɛn
aktákért	ɒktaːkeːrt
legmeggondoltabb	lɛɡmɛɡːondoltɒbː
korlátozások	korlaːtozaːʃok
egésszé	ɛɡeːsːeː
öszvérek	øsveːrɛk
családdal	t͡ʃɒlaːdːɒl
néhanapján	neːɦɒnɒpjaːn
megtetszik	mɛktɛt͡sːik
rettegnek	rɛtːɛɡnɛk
invenciózus	iɱvɛnt͡sijoːzuʃ
otthoni	othoni
tájol	taːjol
kajszi	kɒjsi
homloklebeny	homloklɛbɛɲ
szoktuk	soktuk
szélsőség	seːlʃøːʃeːɡ
szükségesekként	sykʃeːɡɛʃɛkːeːnt
igenre	iɡɛnrɛ
fizikai	fizikɒji
pálmák	paːlmaːk
oldalaknak	oldɒlɒknɒk
egyik	ɛɟːik
elkorcsosulások	ɛlkort͡ʃoʃulaːʃok
elkészítésére	ɛlkeːsiːteːʃeːrɛ
dalszövegeik	dɒlsøvɛɡɛjik
dajkánál	dɒjkaːnaːl
töltsd	tøld͡ʒd
mezopotámiai	mɛzopotaːmijɒji
konzulátusok	konzulaːtuʃok
hibát	hibaːt
ötvenhetedik	øtvɛnɦɛtɛdik
legelmaradottabb	lɛɡɛlmɒrɒdotːɒbː
máglyahalálok	maːɡjɒhɒlaːlok
süv	ʃyv
csikizd	t͡ʃikizd
teljesig	tɛjːɛʃiɡ
kérdésektől	keːrdeːʃɛktøːl
gombon	ɡombon
feltámadás	fɛltaːmɒdaːʃ
munkanélküli	muŋkɒneːlkyli
zajos	zɒjoʃ
zsinat	ʒinɒt
fények	feːɲɛk
nyílik	ɲiːlik
likőrök	likøːrøk
féltékenység	feːlteːkɛɲʃeːɡ
dolmányról	dolmaːɲroːl
venned	vɛnːɛd
eszetek	ɛsɛtɛk
ostrom	oʃtrom
tartanod	tɒrtɒnod
iskola	iʃkolɒ
neki	nɛki
pontmutáció	pontmutaːt͡sijoː
rózsát	roːʒaːt
ebed	ɛbɛd
xilofonod	ksilofonod
ténye	teːɲɛ
boksa	bokʃɒ
oldani	oldɒni
indítani	indiːtɒni
szánalomra	saːnɒlomrɒ
alapfizetések	ɒlɒpfizɛteːʃɛk
alkalmatlan	ɒlkɒlmɒtlɒn
alkalmazottról	ɒlkɒlmɒzotroːl
vétetsz	veːtɛt͡sː
megbánom	mɛɡbaːnom
együttműködve	ɛɟːytmyːkødvɛ
késik	keːʃik
lélekben	leːlɛɡbɛn
találkoztam	tɒlaːlkostɒm
félszemű	feːlsɛmyː
szülemények	sylɛmeːɲɛk
problematikus	problɛmɒtikuʃ
szelők	sɛløːk
igekötők	iɡɛkøtøːk
várjátok	vaːrjaːtok
falevelekből	fɒlɛvɛlɛɡbøːl
alkám	ɒlkaːm
legszükségesebb	lɛksykʃeːɡɛʃɛbː
üvöltések	yvølteːʃɛk
smink	ʃmiŋk
hatásköre	hɒtaːʃkørɛ
tanácsoknak	tɒnaːt͡ʃoknɒk
vinnetek	vinːɛtɛk
bakó	bɒkoː
keresletek	kɛrɛʃlɛtɛk
világaitok	vilaːɡɒjitok
bebé	bɛbeː
ida	idɒ
anyakönyvi	ɒɲɒkøɲvi
váltsunk	vaːlt͡ʃuŋk
gólja	ɡoːjːɒ
nyugtalanító	ɲuktɒlɒniːtoː
dajkának	dɒjkaːnɒk
aduid	ɒdujid
kamra	kɒmrɒ
legtehetségesebb	lɛktɛhɛt͡ʃːeːɡɛʃɛbː
cselgáncs	t͡ʃɛlɡaːnt͡ʃ
tisztelete	tistɛlɛtɛ
somba	ʃombɒ
feljelentést	fɛjːɛlɛnteːʃt
ízületek	izylɛtɛk
konténer	konteːnɛr
kerék	kɛreːk
poláris	polaːriʃ
meseország	mɛʃɛorsaːɡ
jelenlevők	jɛlɛnlɛvøːk
szeresselek	sɛrɛʃːɛlɛk
bungalókkal	buŋɡɒloːkːɒl
irántatok	iraːntɒtok
akiken	ɒkikɛn
vár	vaːr
galerik	ɡɒlɛrik
századtól	saːzɒtːoːl
kefe	kɛfɛ
szomorú	somoruː
huhog	huɦoɡ
szentek	sɛntɛk
kismacska	kiʃmɒt͡ʃkɒ
aktivitások	ɒktivitaːʃok
szigorúbb	siɡoruːbː
fogasok	foɡɒʃok
inverzed	iɱvɛrzɛd
oktatásokban	oktɒtaːʃoɡbɒn
díjak	diːjɒk
sápadtság	ʃaːpɒtt͡ʃaːɡ
fák	fyɡːɛtlɛnaːlːɒmokkøzøʃːeːɡɛ
taníthat	tɒniːthɒt
aduitok	ɒdujitok
akkordoknak	ɒkːordoknɒk
villánk	vilːaːŋk
iksz	iks
magyarok	mɒɟɒrok
kegyetlenség	kɛɟɛtlɛnʃeːɡ
romosabb	romoʃɒbː
kristálycukor	kriʃtaːjt͡sukor
fésül	feːʃyl
hormonkészítmény	hormoŋkeːsiːtmeːɲ
egykerekű	ɛckɛrɛkyː
lávalámpái	laːvɒlaːmpaːji
sorotok	ʃorotok
autókkal	ɒutoːkːɒl
konkoly	koŋkoj
falta	fɒltɒ
előkelők	ɛløːkɛløːk
írók	iːroːk
betűszó	bɛtyːsoː
fogaskerekek	foɡɒʃkɛrɛkɛk
nápoly	naːpoj
filozofál	filozofaːl
elvégző	ɛlveːɡzøː
búrára	buːraːrɒ
munkanap	muŋkɒnɒp
elegetek	ɛlɛɡɛtɛk
herékről	hɛreːkrøːl
nézned	neːznɛd
tojáslepény	tojaːʃlɛpeːɲ
elégre	ɛleːɡrɛ
legösszehasonlíthatóbb	lɛɡøsːɛɦɒʃonliːthɒtoːbː
villákkal	vilːaːkːɒl
amerikanizmusok	ɒmɛrikɒnizmuʃok
kapják	kɒpjaːk
visszanéz	visːɒneːz
irányít	iraːɲiːt
módján	moːɟːaːn
hajfodraitok	hɒjfodrɒjitok
srácok	ʃraːt͡sok
vadászati	vɒdaːsɒti
követek	køvɛtɛk
búvóhelyek	buːvoːɦɛjɛk
állakkal	aːlːɒkːɒl
ablakuk	ɒblɒkuk
kiemelkedően	kijɛmɛlkɛdøːɛn
szleng	slɛŋɡ
legkongóbb	lɛkːoŋɡoːbː
kárt	kaːrt
egy	ɛɟː
nehezebb	nɛhɛzɛbː
előle	ɛløːlɛ
sütemény	ʃytɛmeːɲ
kapusaink	kɒpuʃɒjiŋk
vöröss	vørøʃ
sérti	ʃeːrti
másolás	maːʃolaːʃ
bögölyöm	bøɡøjøm
úgyszintén	uːcsinteːn
konföderációk	koɱfødɛraːt͡sijoːk
felhasználó	fɛlɦɒsnaːloː
szeméremcsontok	sɛmeːrɛmt͡ʃontok
leghelyesebb	lɛkhɛjɛʃɛbː
nyelvkurzus	ɲɛlfkurzuʃ
hozamom	hozɒmom
ható	hɒtoː
húsgombóc	huːʒɡomboːt͡s
halmazaitok	hɒlmɒzɒjitok
futóáramlások	futoːaːrɒmlaːʃok
órákra	oːraːkrɒ
nyakaké	ɲɒkɒkeː
órát	oːraːt
külvárosi	kylvaːroʃi
szimmetriatengelyek	simɛtrijɒtɛŋɡɛjɛk
üvegek	yvɛɡɛk
visszásság	visːaːʃːaːɡ
szemceruzák	sɛmt͡sɛruzaːk
delírium	dɛliːrijum
hogyha	hochɒ
programjaink	proɡrɒmjɒjiŋk
centigramm	t͡sɛntiɡrɒmː
bajból	bɒjboːl
késhegynyi	keːʃhɛɟɲi
ártatlanság	aːrtɒtlɒnʃaːɡ
jövünk	jøvyŋk
egyáltalán	ɛɟːaːltɒlaːn
gambia	ɡɒmbijɒ
nirvána	nirvaːnɒ
árvizek	aːrvizɛk
nádas	naːdɒʃ
diótorta	dijoːtortɒ
zárrá	zaːrːaː
óvodások	ovodaːʃok
elsőknél	ɛlʃøːkneːl
keményszik	kɛmeːɲsik
tigriscápák	tiɡriʃt͡saːpaːk
élelmiszerek	eːlɛlmisɛrɛk
égnie	eːɡnijɛ
sterilizálások	ʃtɛrilizaːlaːʃok
őrizz	øːrizː
minta	mintɒ
elfogulatlan	ɛlfoɡulɒtlɒn
admirálisokként	ɒdmiraːliʃokːeːnt
nagyvonalú	nɒɟvonɒluː
asztalnak	ɒstɒlnɒk
inverzek	iɱvɛrzɛk
herére	hɛreːrɛ
megválaszt	mɛɡvaːlɒst
kötelek	køtɛlɛk
mihelyst	miɦɛjʃt
memorizál	mɛmorizaːl
acetont	ɒt͡sɛtont
mindannyiuk	mindɒɲːijuk
levesek	lɛvɛʃɛk
akcelerációk	ɒkt͡sɛlɛraːt͡sijoːk
jelző	jɛlzøː
hajdani	hɒjdɒni
hajgyökerek	hɒjɟøkɛrɛk
évek	eːvɛk
fogadok	foɡɒdok
történetekig	tørteːnɛtɛkiɡ
szükségesnél	sykʃeːɡɛʃneːl
cigizik	t͡siɡizik
adta	ɒtːɒ
komolyzenék	komojzɛneːk
ellentmondások	ɛlːɛntmondaːʃok
hóemberre	hoːɛmbɛrːɛ
kotorsz	kotors
kuvaszok	kuvɒsok
jövedékek	jøvɛdeːkɛk
lakta	lɒktɒ
alakom	ɒlɒkom
polgármestere	polɡaːrmɛʃtɛrɛ
lapockacsontok	lɒpot͡skɒt͡ʃontok
említést	ɛmliːteːʃt
diófára	dijoːfaːrɒ
nyilas	ɲilɒʃ
évforduló	eːfːorduloː
mákhoz	maːkhoz
ind	ind
fluoreszkál	fluorɛskaːl
csatabárd	t͡ʃɒtɒbaːrd
kóstol	koːʃtol
legkedveltebb	lɛkːɛdvɛltɛbː
uniók	unijoːk
elutasít	ɛlutɒʃiːt
zongoraóra	zoŋɡorɒoːrɒ
ösztövérebb	østøveːrɛbː
hallgatóság	hɒlɡɒtoːʃaːɡ
aktáknál	ɒktaːknaːl
küldöttség	kyldøt͡ʃːeːɡ
invázió	iɱvaːzijoː
kísértelek	kiːʃeːrtɛlɛk
hetekből	hɛtɛɡbøːl
fűrész	fyːreːs
gondolkodó	ɡondolkodoː
kedvel	kɛdvɛl
konkurensek	koŋkurɛnʃɛk
éjjel	eːjːɛl
maharadzsák	mɒhɒrɒd͡ʒːaːk
folytonos	fojtonoʃ
téthez	teːthɛz
képzelet	keːbzɛlɛt
hajaknál	hɒjɒknaːl
értsétek	eːrt͡ʃeːtɛk
megmutatja	mɛɡmutɒcːɒ
szigetelőszalag	siɡɛtɛløːsɒlɒɡ
szignifikáns	siɡnifikaːnʃ
ablaktörlő	ɒblɒktørløː
ástam	aːʃtɒm
mellettem	mɛlːɛtːɛm
felhasználóval	fɛlɦɒsnaːloːvɒl
falánk	fɒlaːŋk
figyelmetlen	fiɟɛlmɛtlɛn
felhúzókötelek	fɛlɦuːzoːkøtɛlɛk
elvük	ɛlvyk
ellenőrzés	ɛlːɛnøːrzeːʃ
tangó	tɒŋɡoː
cseh	t͡ʃɛ
körötök	kørøtøk
csomagjaink	t͡ʃomɒɡjɒjiŋk
megállapítás	mɛɡaːlːɒpiːtaːʃ
megszeppen	mɛksɛpːɛn
próza	proːzɒ
spongya	ʃpoɲɟɒ
fejlődést	fɛjløːdeːʃt
privatizációs	privɒtizaːt͡sijoːʃ
egyház	ɛchaːz
óvatosabban	oːvɒtoʃɒbːɒn
eltávozás	ɛltaːvozaːʃ
villamosvonal	vilːɒmoʃvonɒl
elmeorvosi	ɛlmɛorvoʃi
ruhám	ruɦaːm
sárgaréz	ʃaːrɡɒreːz
látások	laːtaːʃok
ghána	ɡaːnɒ
produkál	produkaːl
vörösbegy	vørøʒbɛɟ
determinációk	dɛtɛrminaːt͡sijoːk
főkör	føːkør
összesen	øsːɛʃɛn
egészít	ɛɡeːsiːt
fordítóiroda	fordiːtoːjirodɒ
nyálkahártya	ɲaːlkɒɦaːrcɒ
szendvics	sɛndvit͡ʃ
novemberében	novɛmbɛreːbɛn
filmeken	filmɛkɛn
megbeszél	mɛɡbɛseːl
zizeg	zizɛɡ
bevezetését	bɛvɛzɛteːʃeːt
napnál	nɒpnaːl
revolver	rɛvolvɛr
kié	kijeː
pátens	paːtɛnʃ
fontosakkal	fontoʃɒkːɒl
mord	mord
sejthártya	ʃɛjthaːrcɒ
számla	saːmlɒ
varrj	vɒrʝ
ében	eːbɛn
milliomosnők	milijomoʃnøːk
farmon	fɒrmon
küldöm	kyldøm
kiken	kikɛn
érünk	eːryŋk
peteérés	pɛtɛjeːreːʃ
koncerttermek	kont͡sɛrtɛrmɛk
látsz	laːt͡sː
eres	ɛrɛʃ
viszonzásul	visonzaːʃul
futni	futni
fegyelem	fɛɟɛlɛm
rubensi	rubɛnsi
koronánk	koronaːŋk
kamatozik	kɒmɒtozik
mérkőzést	meːrkøːzeːʃt
datolyáink	dɒtojaːjiŋk
ősmagyar	øːʃmɒɟɒr
szvsz	sɛreːɲveːlɛmeːɲɛmsɛrint
eszerint	ɛsɛrint
öltétek	ølteːtɛk
ajkaitok	ɒjkɒjitok
udvarias	udvɒrijɒʃ
búskomorabb	buːʃkomorɒbː
homokjaink	homokjɒjiŋk
tévét	teːveːt
benne	bɛnːɛ
korrelációk	korːɛlaːt͡sijoːk
pszichoanalitikus	psiɦoɒnɒlitikuʃ
szaknyelvek	sɒkɲɛlvɛk
kialakítás	kijɒlɒkiːtaːʃ
radírok	rɒdiːrok
eredettörténetek	ɛrɛdɛtːørteːnɛtɛk
lőni	løːni
hova	hovɒ
baszkföld	bɒskføld
fejtenetek	fɛjtɛnɛtɛk
csónakos	t͡ʃoːnɒkoʃ
érts	eːrt͡ʃ
panaszaim	pɒnɒsɒjim
fülészetek	fyleːsɛtɛk
térképre	teːrkeːprɛ
száguldj	saːɡulɟ
boldogtalanabb	boldoktɒlɒnɒbː
megerősítés	mɛɡɛrøːʃiːteːʃ
altató	ɒltɒtoː
borítok	boriːtok
pénzem	peːnzɛm
homlokunk	homlokuŋk
érdeklődőbb	eːrdɛkløːdøːbː
higgadtabb	hiɡːɒtːɒbː
virágzat	viraːɡzɒt
csip	t͡ʃip
buzogány	buzoɡaːɲ
részegszik	reːsɛksik
kellőképpen	kɛlːøːkeːpːɛn
sisakjaink	ʃiʃɒkjɒjiŋk
leglazább	lɛɡlɒzaːbː
bolyhok	bojhok
fejlécei	fɛjleːt͡sɛji
igények	iɡeːɲɛk
ugye	uɟɛ
pingpongasztal	pimpoŋɡɒstɒl
kancsalságok	kɒnt͡ʃɒlʃaːɡok
kamara	kɒmɒrɒ
befolyásol	bɛfojaːʃol
kékje	keːkjɛ
sarkára	ʃɒrkaːrɒ
konzuljaid	konzujːɒjid
nagymértékben	nɒɟmeːrteːɡbɛn
hópehely	hoːpɛhɛj
százharminc	saːshɒrmint͡s
fotót	fotoːt
munkáim	muŋkaːjim
rodosz	rodos
zalaegerszeg	zɒlɒɛɡɛrsɛɡ
küngös	kyŋɡøʃ
vitathatatlanabb	vitɒthɒtɒtlɒnɒbː
tehetsz	tɛhɛt͡sː
bükk	bykː
egyensúlyi	ɛɟɛnʃuːji
telefonhívás	tɛlɛfonɦiːvaːʃ
indíték	indiːteːk
tekintetében	tɛkintɛteːbɛn
beborít	bɛboriːt
vonják	voɲːaːk
kézicsapat	keːzit͡ʃɒpɒt
tehetséges	tɛhɛt͡ʃːeːɡɛʃ
maszk	mɒsk
jegeskávék	jɛɡɛʃkaːveːk
gimnáziumi	ɡimnaːzijumi
címkéjük	t͡simkeːjyk
jéghegy	jeːkhɛɟ
titanic	titɒnik
zenékre	zɛneːkrɛ
fogadhat	foɡɒthɒt
testetek	tɛʃtɛtɛk
eszközt	ɛskøst
verdes	vɛrdɛʃ
időzítő	idøːziːtøː
tigrissel	tiɡriʃːɛl
november	novɛmbɛr
alkoholtilalom	ɒlkoholtilɒlom
kényelmetlen	keːɲɛlmɛtlɛn
dinamit	dinɒmit
csórhat	t͡ʃoːrɦɒt
balkán	bɒlkaːn
játékosak	jaːteːkoʃɒk
milos	miloʃ
egyidejű	ɛɟːidɛjyː
üljék	yjːeːk
pirítóst	piriːtoːʃt
kolera	kolɛrɒ
dölyfök	døjføk
vetettük	vɛtɛtːyk
ódd	oːdː
próbálja	proːbaːjːɒ
hollandok	holːɒndok
titkol	titkol
értettek	eːrtɛtːɛk
vegyít	vɛɟiːt
szóként	soːkeːnt
szabályoz	sɒbaːjoz
apátságba	ɒpaːt͡ʃːaːɡbɒ
világszerte	vilaːksɛrtɛ
méhecske	meːɦɛt͡ʃkɛ
meghatóbb	mɛkhɒtoːbː
karmok	kɒrmok
karácsonyfadíszek	kɒraːt͡ʃoɲfɒdiːsɛk
haiti	hɒjiti
legmakacsabbul	lɛɡmɒkɒt͡ʃɒbːul
másból	maːʒboːl
üzemelés	yzɛmɛleːʃ
közgazdászok	køzɡɒzdaːsok
giccs	ɡit͡ʃː
tanítaná	tɒniːtɒnaː
emigráns	ɛmiɡraːnʃ
szervezetek	sɛrvɛzɛtɛk
gyakorlatként	ɟɒkorlɒtkeːnt
fonsz	fons
katonák	kɒtonaːk
kontya	koɲcɒ
jelez	jɛlɛz
láttak	laːtːɒk
kisfiú	kiʃfijuː
követelményeit	køvɛtɛlmeːɲɛjit
asztalokat	ɒstɒlokɒt
meghatalmazások	mɛkhɒtɒlmɒzaːʃok
lenne	lɛnːɛ
bankjaink	bɒŋkjɒjiŋk
esküdsz	ɛʃkyt͡sː
skatulya	ʃkɒtujɒ
agancson	ɒɡɒnt͡ʃon
egerszegi	ɛɡɛrsɛɡi
hallatszana	hɒlːɒt͡sːɒnɒ
íztelenebb	iːstɛlɛnɛbː
helyekhez	hɛjɛkhɛz
fetva	fɛtvɒ
sarc	ʃɒrt͡s
legbecsvágyóbb	lɛɡbɛt͡ʃvaːɟoːbː
lovagokhoz	lovɒɡokhoz
rangnál	rɒŋɡnaːl
hervadozik	hɛrvɒdozik
tövis	tøviʃ
javaslom	jɒvɒʃlom
legfeneketlenebb	lɛkfɛnɛkɛtlɛnɛbː
macedónia	mɒt͡sɛdoːnijɒ
értelmesség	eːrtɛlmɛʃːeːɡ
különösképpen	kylønøʃkeːpːɛn
xenonokra	ksɛnonokrɒ
emberére	ɛmbɛreːrɛ
bojt	bojt
képben	keːbːɛn
aktától	ɒktaːtoːl
építsenek	eːpiːt͡ʃːɛnɛk
bármiket	baːrmikɛt
úgyszólván	uːcsoːlvaːn
átlagot	aːtlɒɡot
centrum	t͡sɛntrum
dühnek	dyxnɛk
barcelona	bɒrsɛloːnɒ
kútvíz	kuːtviːz
forrásnyelvek	forːaːʃɲɛlvɛk
ahol	ɒɦol
néző	neːzøː
programokban	proɡrɒmoɡbɒn
leghájasabb	lɛkhaːjɒʃɒbː
plántál	plaːntaːl
feltüntetett	fɛltyntɛtɛtː
lefoglalás	lɛfoɡlɒlaːʃ
áram	aːrɒm
szünetek	synɛtɛk
vetnéd	vɛtneːd
nevelne	nɛvɛlnɛ
fulladás	fulːɒdaːʃ
tiszteletére	tistɛlɛteːrɛ
kritikusok	kritikuʃok
székeidre	seːkɛjidrɛ
átmérő	aːtmeːrøː
keresztel	kɛrɛstɛl
házassági	haːzɒʃːaːɡi
sarunk	ʃɒruŋk
bólintás	boːlintaːʃ
unjál	uɲːaːl
űzi	yːzi
körzetekben	kørzɛtɛɡbɛn
groznijt	ɡroznijt
felhúzókötél	fɛlɦuːzoːkøteːl
magukról	mɒɡukroːl
akad	ɒkɒd
kihangosítás	kiɦɒŋɡoʃiːtaːʃ
kapitány	kɒpitaːɲ
kelletek	kɛlːɛtɛk
tankok	tɒŋkok
körtér	kørteːr
vadászzöld	vɒdaːzːøld
korcsolyázások	kort͡ʃojaːzaːʃok
statáriumok	ʃtɒtaːrijumok
szövevény	søvɛveːɲ
mitózisok	mitoːziʃok
energiát	ɛnɛrɡijaːt
szájfekély	saːjfɛkeːj
ilyenekbe	ijɛnɛɡbɛ
elégről	ɛleːɡrøːl
izzó	izːoː
fogad	foɡɒd
felek	fɛlɛk
abakuszoknak	ɒbɒkusoknɒk
küldenetek	kyldɛnɛtɛk
ösztövér	østøveːr
mint	mint
szeressek	sɛrɛʃːɛk
szépet	seːpɛt
katlan	kɒtlɒn
osztályban	ostaːjbɒn
porunk	poruŋk
cseles	t͡ʃɛlɛʃ
újonnan	uːjonːɒn
lúg	luːɡ
városrész	vaːroʃreːs
segélyek	ʃɛɡeːjɛk
ívek	iːvɛk
folyamatokért	fojɒmɒtokeːrt
tetszünk	tɛt͡sːyŋk
mielőtt	mijɛløːtː
századi	saːzɒdi
koszorúslány	kosoruːʃlaːɲ
szövegekkel	søvɛɡɛkːɛl
huszonharmadik	husonɦɒrmɒdik
aktiválni	ɒktivaːlni
főpénztáros	føːpeːnstaːroʃ
faltunk	fɒltuŋk
tanácsokba	tɒnaːt͡ʃoɡbɒ
állandóság	aːlːɒndoːʃaːɡ
irodaszékek	irodɒseːkɛk
nav	nɒv
valamiknél	vɒlɒmikneːl
faputtony	fɒputːoɲ
biztatók	bistɒtoːk
dermatológiai	dɛrmɒtoloːɡijɒji
zártalak	zaːrtɒlɒk
bűnözők	byːnøzøːk
évtől	eːftøːl
akaraterő	ɒkɒrɒtɛrøː
önmagad	ømːɒɡɒd
szalagom	sɒlɒɡom
emodzsi	ɛmod͡ʒi
torták	tortaːk
szélvédők	seːlveːdøːk
formatervező	formɒtɛrvɛzøː
papírdoboz	pɒpiːrdoboz
vonnak	vonːɒk
agyuk	ɒɟuk
alapítója	ɒlɒpiːtoːjɒ
fejnie	fɛjnijɛ
akció	ɒkt͡sijoː
mogorvább	moɡorvaːbː
jelentékeny	jɛlɛnteːkɛɲ
olyasmi	ojɒʃmi
legfolyékonyabb	lɛkfojeːkoɲɒbː
térerő	teːrɛrøː
hintaszékek	hintɒseːkɛk
síelő	ʃiːjɛløː
leglágyabb	lɛɡlaːɟɒbː
hangfalaim	hɒŋkfɒlɒjim
legkedélyesebb	lɛkːɛdeːjɛʃɛbː
huszonkettedik	husoŋkɛtːɛdik
magukkal	mɒɡukːɒl
auditóriumok	ɒuditoːrijumok
helikopterek	hɛlikoptɛrɛk
száll	saːlː
pályákat	paːjaːkɒt
gyárak	ɟaːrɒk
bánatosan	baːnɒtoʃɒn
húzná	huːznaː
furgonok	furɡonok
személyzet	sɛmeːjzɛt
treffek	trɛfːɛk
régi	reːɡi
térdzoknik	teːrd͡zoknik
vérnek	veːrnɛk
borscs	borʃt͡ʃ
legbátrabb	lɛɡbaːtrɒbː
tornácok	tornaːt͡sok
bögölyeid	bøɡøjɛjid
magamnál	mɒɡɒmnaːl
szempontjai	sɛmpoɲcɒji
kíváncsian	kiːvaːnt͡ʃijɒn
bilincs	bilint͡ʃ
legkésőbbi	lɛkːeːʃøːbːi
arhangelszk	ɒrɦɒŋɡɛlsk
elvetek	ɛlvɛtɛk
raktáros	rɒktaːroʃ
szüless	sylɛʃː
aprózódik	ɒproːzoːdik
prímfaktorizációk	priːɱfɒktorizaːt͡sijoːk
kelletlenség	kɛlːɛtlɛnʃeːɡ
andrás	ɒndraːʃ
tanyák	tɒɲaːk
csemeletek	t͡ʃɛmɛlɛtɛk
csodálatosabban	t͡ʃodaːlɒtoʃɒbːɒn
réteget	reːtɛɡɛt
legdekadensebb	lɛɡdɛkɒdɛnʃɛbː
adminisztrációs	ɒdministraːt͡sijoːʃ
ensz	ɛns
honfoglalás	hoɱfoɡlɒlaːʃ
részüket	reːsykɛt
névadás	neːvɒdaːʃ
kerekű	kɛrɛkyː
folyósabb	fojoːʃɒbː
szelektív	sɛlɛktiːv
betörők	bɛtørøːk
immunitás	imːunitaːʃ
csempesz	t͡ʃɛmpɛs
személyt	sɛmeːjt
ajtókról	ɒjtoːkroːl
marhasággal	mɒrɦɒʃaːɡːɒl
lázadó	laːzɒdoː
ókor	oːkor
használod	hɒsnaːlod
távra	taːvrɒ
homokjaik	homokjɒjik
rozsdásodik	roʒdaːʃodik
tanszék	tɒnseːk
ellenőrzési	ɛlːɛnøːrzeːʃi
dátumok	daːtumok
emberre	ɛmbɛrːɛ
szankciók	sɒŋkt͡sijoːk
fáradhatatlant	faːrɒthɒtɒtlɒnt
lefátyoloz	lɛfaːcoloz
utakat	utɒkɒt
témáid	teːmaːjid
nyomnálak	ɲomnaːlɒk
fölöttünk	føløtːyŋk
szalmaözvegy	sɒlmɒøzvɛɟ
egyenjogú	ɛɟːɛnjoɡuː
máglyák	maːɡjaːk
geometriai	ɡɛomɛtrijɒji
harminchat	hɒrmint͡shɒt
fedjük	fɛɟːyk
felszínen	fɛlsiːnɛn
dőrébb	døːreːbː
tanácstermek	tɒnaːt͡ʃtɛrmɛk
piszmog	pismoɡ
hangsúlyt	hɒŋkʃuːjt
légtérzárlat	leːkteːrzaːrlɒt
erődítmények	ɛrøːdiːtmeːɲɛk
biztosítani	bistoʃiːtɒni
besúg	bɛʃuːɡ
reverenda	rɛvɛrɛndɒ
genetika	ɡɛnɛtikɒ
sajtot	ʃɒjtot
kivégzőosztag	kiveːɡzøːostɒɡ
kétezres	keːtɛzrɛʃ
dudva	dudvɒ
kezdőbb	kɛzdøːbː
ék	eːsɒkːɛlɛt
stílusa	ʃtiːluʃɒ
teleobjektív	tɛlɛobjɛktiːv
hallá	hɒlːaː
plafon	plɒfon
televények	tɛlɛveːɲɛk
lakkos	lɒkːoʃ
fenntartani	fɛntɒrtɒni
esőerdő	ɛʃøːɛrdøː
mandzsettagomb	mɒnd͡ʒɛtːɒɡomb
tessenek	tɛʃːɛnɛk
méhről	meːrøːl
vetted	vɛtːɛd
szóval	soːvɒl
feszülten	fɛsyltɛn
villiben	vilːibɛn
henryt	hɛnrit
fesztiválok	fɛstivaːlok
reggeliként	rɛɡːɛlikeːnt
vinnének	vinːeːnɛk
metssz	mɛt͡sː
kutatóközpontok	kutɒtoːkøspontok
szenvedések	sɛɱvɛdeːʃɛk
helyesen	hɛjɛʃɛn
beszélők	bɛseːløːk
tekerő	tɛkɛrøː
séf	ʃeːf
övéként	øveːkeːnt
mimellénk	mimɛlːeːŋk
portának	portaːnɒk
alkalmibb	ɒlkɒlmibː
dobtalak	doptɒlɒk
többnek	tøbnɛk
mernének	mɛrneːnɛk
kitartás	kitɒrtaːʃ
célú	t͡seːluː
leggyakoribb	lɛɡɟɒkoribː
váltópénz	vaːltoːpeːnz
nyíltság	ɲiːlt͡ʃaːɡ
ciklon	t͡siklon
garanciális	ɡɒrɒnt͡sijaːliʃ
tavak	tɒvɒk
szekrényt	sɛkreːɲt
alkalmazottig	ɒlkɒlmɒzotːiɡ
kimenetek	kimɛnɛtɛk
argonok	ɒrɡonok
párlat	paːrlɒt
felosztások	fɛlostaːʃok
vizeletek	vizɛlɛtɛk
érthetően	eːrthɛtøːɛn
unnod	unːod
részletek	reːslɛtɛk
utolérnélek	utoleːrneːlɛk
drogokat	droɡokɒt
gyöngyvirág	ɟøɲɟviraːɡ
műsort	myːʃort
nagykövetségek	nɒckøvɛt͡ʃːeːɡɛk
rabbikat	rɒbːikɒt
érdem	eːrdɛm
locsol	lot͡ʃol
lapít	lɒpiːt
bocsájt	bot͡ʃaːjt
cipőhúzó	t͡sipøːɦuːzoː
nyalóka	ɲɒloːkɒ
innivaló	inːivɒloː
szépít	seːpiːt
csepel	t͡ʃɛpɛl
misszió	misːijoː
tündérkonty	tyndeːrkoɲc
jegyzetel	jɛɟzɛtɛl
ipszilon	ipsilon
regenerál	rɛɡɛnɛraːl
megjelenési	mɛɡjɛlɛneːʃi
vaker	vɒkɛr
vett	vɛtː
infografika	iɱfoɡrɒfikɒ
környékeken	kørɲeːkɛkɛn
meder	mɛdɛr
pásztorórák	paːstoroːraːk
szemszög	sɛmsøɡ
kamasznál	kɒmɒsnaːl
adókká	ɒdoːkːaː
ólomszürke	oːlomsyrkɛ
válaszul	vaːlɒsul
fónok	foːnok
kardiológia	kɒrdijoloːɡijɒ
