აღმოუფხვრელი	ɑɣmɔupʰxvrɛli
რადიოლოგია	rɑdiɔlɔɡiɑ
გალანტურად	ɡɑlɑntʼurɑd
მარყუჟიანი	mɑrqʼuʒiɑni
ცეილონი	t͡sɛilɔni
კლინკერი	kʼlinkʼɛri
ამაზე	ɑmɑzɛ
ლაბორატორია	lɑbɔrɑtʼɔriɑ
სვანი	svɑni
დვრიტა	dvritʼɑ
გიგანტური	ɡiɡɑntʼuri
თხრობა	tʰxrɔbɑ
ის	is
ლორე	lɔrɛ
ქამანჩა	kʰɑmɑnt͡ʃɑ
მაგრა	mɑɡrɑ
დედამიწად	dɛdɑmit͡sʼɑd
მტრობა	mtʼrɔbɑ
კოლონისტი	kʼɔlɔnistʼi
განდგომილები	ɡɑndɡɔmilɛbi
დიპლომი	dipʼlɔmi
ლივინგსტონი	livinɡstʼɔni
გაფუჭება	ɡɑpʰut͡ʃʼɛbɑ
ნეოფიტი	nɛɔpʰitʼi
ბმულით	bmulitʰ
აპარატო	ɑpʼɑrɑtʼɔ
ვითომ	vitʰɔm
შხამი	ʃxɑmi
ვთქვათ	vtʰkʰvɑtʰ
მოსკოვი	mɔskʼɔvi
ლავიწი	lɑvit͡sʼi
მაიმუნი	mɑimuni
მეტრული	mɛtʼruli
აღმოაჩენს	ɑɣmɔɑt͡ʃɛns
დუნედ	dunɛd
ვერდიქტი	vɛrdikʰtʼi
გირაო	ɡirɑɔ
ვახო	vɑxɔ
აშენებს	ɑʃɛnɛbs
შექცევადი	ʃɛkʰt͡sɛvɑdi
გადარეცხილი	ɡɑdɑrɛt͡sxili
მღერის	mɣɛris
სიქა	sikʰɑ
ეკოლოგია	ɛkʼɔlɔɡiɑ
აკვანი	ɑkʼvɑni
სახრჩობელა	sɑxrt͡ʃɔbɛlɑ
პასუხი	pʼɑsuxi
პომიდორი	pʼɔmidɔri
ენდრო	ɛndrɔ
განუზრახავად	ɡɑnuzrɑxɑvɑd
კრეტინი	kʼrɛtʼini
ისეთი	isɛtʰi
ატიპური	ɑtʼipʼuri
დიადად	diɑdɑd
გულღიაობა	ɡulɣiɑɔbɑ
განახლებადი	ɡɑnɑxlɛbɑdi
მეპატრონე	mɛpʼɑtʼrɔnɛ
სტეპი	stʼɛpʼi
ტარი	tʼɑri
ბარი	bɑri
დაასრულა	dɑɑsrulɑ
გუშინდელი	ɡuʃindɛli
ძმობა	d͡zmɔbɑ
ჩვარი	t͡ʃvɑri
ყდა	qʼdɑ
დენთი	dɛntʰi
რქმევა	rkʰmɛvɑ
უტილიტარული	utʼilitʼɑruli
ანთება	ɑntʰɛbɑ
უთხელესი	utʰxɛlɛsi
კურტიზანი	kʼurtʼizɑni
თამასუქი	tʰɑmɑsukʰi
თეოლოგიურად	tʰɛɔlɔɡiurɑd
ანონიმური	ɑnɔnimuri
შეცდომით	ʃɛt͡sdɔmitʰ
მესამეული	mɛsɑmɛuli
ჭარტალი	t͡ʃʼɑrtʼɑli
სტატისტი	stʼɑtʼistʼi
ჯდომა	d͡ʒdɔmɑ
ეკონომიკას	ɛkʼɔnɔmikʼɑs
ცირკულაცია	t͡sirkʼulɑt͡siɑ
მრავლისმთქმელად	mrɑvlismtʰkʰmɛlɑd
მჭადი	mt͡ʃʼɑdi
ბრძანება	brd͡zɑnɛbɑ
წაგება	t͡sʼɑɡɛbɑ
ფილტრავს	pʰiltʼrɑvs
სარკე	sɑrkʼɛ
სამერცხული	sɑmɛrt͡sxuli
დანარჩენი	dɑnɑrt͡ʃɛni
ხატოვნად	xɑtʼɔvnɑd
ლიტერატურით	litʼɛrɑtʼuritʰ
დამათრობელი	dɑmɑtʰrɔbɛli
ქანქარა	kʰɑnkʰɑrɑ
ჩელსი	t͡ʃɛlsi
მიკოლოგია	mikʼɔlɔɡiɑ
უწესრიგობა	ut͡sʼɛsriɡɔbɑ
გურული	ɡuruli
შეშლილივით	ʃɛʃlilivitʰ
გაქ	ɡɑkʰ
ხუთშაბათი	xutʰʃɑbɑtʰi
საინფორმაციო	sɑinpʰɔrmɑt͡siɔ
კრეშენდო	kʼrɛʃɛndɔ
დახმარებამ	dɑxmɑrɛbɑm
სტანდარტული	stʼɑndɑrtʼuli
გრაფინი	ɡrɑpʰini
გურიის	ɡuriis
რედაქტირება	rɛdɑkʰtʼirɛbɑ
პიროვნების	pʼirɔvnɛbis
პოლიმორფული	pʼɔlimɔrpʰuli
ჭალა	t͡ʃʼɑlɑ
სიდამწვრე	sidɑmt͡sʼvrɛ
არსებული	ɑrsɛbuli
ასახელებს	ɑsɑxɛlɛbs
ფლანგავს	pʰlɑnɡɑvs
ჩონჩხი	t͡ʃɔnt͡ʃxi
დაშორებით	dɑʃɔrɛbitʰ
მსოფლიოთი	msɔpʰliɔtʰi
უსიამოვნოდ	usiɑmɔvnɔd
გეოლოგი	ɡɛɔlɔɡi
გვიმრა	ɡvimrɑ
ულაზათო	ulɑzɑtʰɔ
განაყოფიერება	ɡɑnɑqʼɔpʰiɛrɛbɑ
მოაჯირებიანი	mɔɑd͡ʒirɛbiɑni
ტელევიზია	tʼɛlɛviziɑ
მუარი	muɑri
გელაქნური	ɡɛlɑkʰnuri
ანტილოპა	ɑntʼilɔpʼɑ
ოლიგარქი	ɔliɡɑrkʰi
განზომილება	ɡɑnzɔmilɛbɑ
უშედეგო	uʃɛdɛɡɔ
ფარმაცია	pʰɑrmɑt͡siɑ
იორკი	iɔrkʼi
მარკიზა	mɑrkʼizɑ
დადგენილი	dɑdɡɛnili
თანამოიჯარე	tʰɑnɑmɔid͡ʒɑrɛ
ამპულა	ɑmpʼulɑ
მითითებას	mitʰitʰɛbɑs
აქედან	ɑkʰɛdɑn
ომით	ɔmitʰ
ქარგავს	kʰɑrɡɑvs
ერთხელაც	ɛrtʰxɛlɑt͡s
სახელოსნო	sɑxɛlɔsnɔ
დანართი	dɑnɑrtʰi
მსუქანი	msukʰɑni
ნერვოზი	nɛrvɔzi
გრამატიკულად	ɡrɑmɑtʼikʼulɑd
ფართობი	pʰɑrtʰɔbi
გაუწონასწორებლად	ɡɑut͡sʼɔnɑst͡sʼɔrɛblɑd
სულმოკლე	sulmɔkʼlɛ
სპეციალურად	spʼɛt͡siɑlurɑd
არმია	ɑrmiɑ
სიმინდი	simindi
სინოდი	sinɔdi
რინგი	rinɡi
ვუბნობ	vubnɔb
არცერთი	ɑrt͡sɛrtʰi
ხარჯავს	xɑrd͡ʒɑvs
მართკუთხედად	mɑrtʰkʼutʰxɛdɑd
ბიუროკრატი	biurɔkʼrɑtʼi
ნამქერი	nɑmkʰɛri
დამლაგებელი	dɑmlɑɡɛbɛli
კუნძი	kʼund͡zi
ორლეანი	ɔrlɛɑni
იტალიის	itʼɑliis
შუშა	ʃuʃɑ
შემპარავად	ʃɛmpʼɑrɑvɑd
პერიოდი	pʼɛriɔdi
ქველი	kʰvɛli
ხორცსავსე	xɔrt͡ssɑvsɛ
ფუნქციონალურად	pʰunkʰt͡siɔnɑlurɑd
მედიანა	mɛdiɑnɑ
პრესვიტერი	pʼrɛsvitʼɛri
დაკბილული	dɑkʼbiluli
სპეციფიკაცია	spʼɛt͡sipʰikʼɑt͡siɑ
ბევრი	bɛvri
ტაძარი	tʼɑd͡zɑri
სხვანაირი	sxvɑnɑiri
იდიომა	idiɔmɑ
დიდძალი	didd͡zɑli
სიმბოლურად	simbɔlurɑd
ტანწერწეტა	tʼɑnt͡sʼɛrt͡sʼɛtʼɑ
კოსმოსი	kʼɔsmɔsi
წუწურაქი	t͡sʼut͡sʼurɑkʰi
პორტსიგარი	pʼɔrtʼsiɡɑri
ნავიგაცია	nɑviɡɑt͡siɑ
ბეგი	bɛɡi
ხალხი	xɑlxi
უძრავად	ud͡zrɑvɑd
თოფი	tʰɔpʰi
გვფრცქვნით	ɡvpʰrt͡skʰvnitʰ
კვდება	kʼvdɛbɑ
შპონი	ʃpʼɔni
ლიბანი	libɑni
განყენებულად	ɡɑnqʼɛnɛbulɑd
სმა	smɑ
დამგეგმავი	dɑmɡɛɡmɑvi
რეტროგრადული	rɛtʼrɔɡrɑduli
დეპოზიტი	dɛpʼɔzitʼi
პათეტიკურად	pʼɑtʰɛtʼikʼurɑd
ჯიბგირი	d͡ʒibɡiri
მანდრაგორა	mɑndrɑɡɔrɑ
ფლაგმატურად	pʰlɑɡmɑtʼurɑd
ივანიშვილი	ivɑniʃvili
თეძო	tʰɛd͡zɔ
უშუალობა	uʃuɑlɔbɑ
ჭიშკარი	t͡ʃʼiʃkʼɑri
მკაცრად	mkʼɑt͡srɑd
იერარქიული	iɛrɑrkʰiuli
ძილის	d͡zilis
მკვლევარი	mkʼvlɛvɑri
პროგრესულად	pʼrɔɡrɛsulɑd
გამოტვინებული	ɡɑmɔtʼvinɛbuli
ხელშემწყობი	xɛlʃɛmt͡sʼqʼɔbi
რაღაც	rɑɣɑt͡s
სიმბოლური	simbɔluri
ოქტავა	ɔkʰtʼɑvɑ
ლულა	lulɑ
ქორი	kʰɔri
დაგეროტიპი	dɑɡɛrɔtʼipʼi
ჰადესი	hɑdɛsi
რეფრენი	rɛpʰrɛni
მარჩბივი	mɑrt͡ʃbivi
ავღანეთი	ɑvɣɑnɛtʰi
ფაქტი	pʰɑkʰtʼi
შედარება	ʃɛdɑrɛbɑ
კმაყოფილი	kʼmɑqʼɔpʰili
სიბრალულით	sibrɑlulitʰ
ოჯახიშვილი	ɔd͡ʒɑxiʃvili
პარმეზანი	pʼɑrmɛzɑni
სიგანით	siɡɑnitʰ
დუბლინი	dublini
მესაათე	mɛsɑɑtʰɛ
ჯონ	d͡ʒɔn
არაქათი	ɑrɑkʰɑtʰi
კაცუნა	kʼɑt͡sunɑ
დიდოსტატი	didɔstʼɑtʼi
ფოლიო	pʰɔliɔ
პაპისტურად	pʼɑpʼistʼurɑd
ვერაგი	vɛrɑɡi
აღელვებით	ɑɣɛlvɛbitʰ
ფუძეენა	pʰud͡zɛɛnɑ
იაპონელი	iɑpʼɔnɛli
მთვარით	mtʰvɑritʰ
პრიალად	pʼriɑlɑd
წამოწყება	t͡sʼɑmɔt͡sʼqʼɛbɑ
უძველესი	ud͡zvɛlɛsi
ღარიბი	ɣɑribi
რიგობითი	riɡɔbitʰi
თავშიშველი	tʰɑvʃiʃvɛli
კრიტიკა	kʼritʼikʼɑ
ბავშვობა	bɑvʃvɔbɑ
მაისმა	mɑismɑ
არადიპლომატიურად	ɑrɑdipʼlɔmɑtʼiurɑd
არაგონივრული	ɑrɑɡɔnivruli
ამბოხი	ɑmbɔxi
მოთმინებით	mɔtʰminɛbitʰ
სინუსი	sinusi
მოლარე	mɔlɑrɛ
კატუნი	kʼɑtʼuni
აკვიატებულად	ɑkʼviɑtʼɛbulɑd
გასამათრახებელი	ɡɑsɑmɑtʰrɑxɛbɛli
ამთვისებელი	ɑmtʰvisɛbɛli
ყაზახი	qʼɑzɑxi
მომჭირნე	mɔmt͡ʃʼirnɛ
თეატრალი	tʰɛɑtʼrɑli
გლეხები	ɡlɛxɛbi
თქვა	tʰkʰvɑ
უფასო	upʰɑsɔ
უნივერსიტეტმა	univɛrsitʼɛtʼmɑ
ხან	xɑn
კოშმარული	kʼɔʃmɑruli
წოდებითი	t͡sʼɔdɛbitʰi
შემთხვევა	ʃɛmtʰxvɛvɑ
აძნელებს	ɑd͡znɛlɛbs
ჩაკეტილობა	t͡ʃɑkʼɛtʼilɔbɑ
პიტი	pʼitʼi
ფილიპინები	pʰilipʼinɛbi
მდგომი	mdɡɔmi
ბაკანი	bɑkʼɑni
დარდი	dɑrdi
შეურიგებლობა	ʃɛuriɡɛblɔbɑ
ეხლა	ɛxlɑ
ასწლიანი	ɑst͡sʼliɑni
ნადირს	nɑdirs
წუნდაუდებელი	t͡sʼundɑudɛbɛli
ხიშტი	xiʃtʼi
ზმნა	zmnɑ
მართლმადიდებელი	mɑrtʰlmɑdidɛbɛli
გაძლევთ	ɡɑd͡zlɛvtʰ
ლიტრი	litʼri
წყნარი	t͡sʼqʼnɑri
შიოლაშვილი	ʃiɔlɑʃvili
ჩამოდიან	t͡ʃɑmɔdiɑn
ჩანთოსანი	t͡ʃɑntʰɔsɑni
ანძა	ɑnd͡zɑ
ფერია	pʰɛriɑ
გრეგი	ɡrɛɡi
ბაზი	bɑzi
ცაცხვი	t͡sɑt͡sxvi
პუნქტი	pʼunkʰtʼi
ბომბარდირები	bɔmbɑrdirɛbi
დოტაცია	dɔtʼɑt͡siɑ
ნამცეცა	nɑmt͡sɛt͡sɑ
მოწითალო	mɔt͡sʼitʰɑlɔ
უტიფრად	utʼipʰrɑd
კობალტი	kʼɔbɑltʼi
დიეტა	diɛtʼɑ
სათაგური	sɑtʰɑɡuri
ფლეიტისტი	pʰlɛitʼistʼi
გუშინ	ɡuʃin
გარდაცვლილი	ɡɑrdɑt͡svlili
ნერვული	nɛrvuli
კეთილგონივრულად	kʼɛtʰilɡɔnivrulɑd
კალოში	kʼɑlɔʃi
შეგირდობა	ʃɛɡirdɔbɑ
ბებერი	bɛbɛri
ჯოშუა	d͡ʒɔʃuɑ
დიდაქტიკურად	didɑkʰtʼikʼurɑd
აწობს	ɑt͡sʼɔbs
ძალუძს	d͡zɑlud͡zs
ეპიტაფია	ɛpʼitʼɑpʰiɑ
ფანჩატური	pʰɑnt͡ʃɑtʼuri
მანკიერი	mɑnkʼiɛri
ფსევდონიმი	pʰsɛvdɔnimi
ტელესკოპურად	tʼɛlɛskʼɔpʼurɑd
ალისფერი	ɑlispʰɛri
შევსება	ʃɛvsɛbɑ
დასახლებული	dɑsɑxlɛbuli
ევროპით	ɛvrɔpʼitʰ
დედაბოძი	dɛdɑbɔd͡zi
ორმაგი	ɔrmɑɡi
გადასინჯავს	ɡɑdɑsind͡ʒɑvs
გამოდის	ɡɑmɔdis
კოპიო	kʼɔpʼiɔ
ტრავმატული	tʼrɑvmɑtʼuli
ნეფე	nɛpʰɛ
ალუბალი	ɑlubɑli
ტამტამი	tʼɑmtʼɑmi
კვნესა	kʼvnɛsɑ
ბეჟუაშვილი	bɛʒuɑʃvili
ინტრიგანი	intʼriɡɑni
ყურება	qʼurɛbɑ
გამონაყარი	ɡɑmɔnɑqʼɑri
ჩვენება	t͡ʃvɛnɛbɑ
ბამბუკი	bɑmbukʼi
წესრიგი	t͡sʼɛsriɡi
ბრამანი	brɑmɑni
დღგ	dɣɡ
შეძლებული	ʃɛd͡zlɛbuli
ცაიში	t͡sɑiʃi
წინწკლი	t͡sʼint͡sʼkʼli
შკივი	ʃkʼivi
ზეითუნის	zɛitʰunis
გამოიკითხავს	ɡɑmɔikʼitʰxɑvs
გამაღიზიანებლად	ɡɑmɑɣiziɑnɛblɑd
ფარფლი	pʰɑrpʰli
მცურავი	mt͡surɑvi
მუშაკი	muʃɑkʼi
გადმონაშთი	ɡɑdmɔnɑʃtʰi
ბურთი	burtʰi
უძრაობა	ud͡zrɑɔbɑ
გაუმაძღრობა	ɡɑumɑd͡zɣrɔbɑ
მერაბიშვილი	mɛrɑbiʃvili
ალბატროსი	ɑlbɑtʼrɔsi
შროშანი	ʃrɔʃɑni
კერამიკული	kʼɛrɑmikʼuli
ალბომად	ɑlbɔmɑd
თუთქი	tʰutʰkʰi
დასტა	dɑstʼɑ
შეუზღუდავი	ʃɛuzɣudɑvi
მიწერილობა	mit͡sʼɛrilɔbɑ
გაშმაგება	ɡɑʃmɑɡɛbɑ
მნემონიკური	mnɛmɔnikʼuri
უანგაროდ	uɑnɡɑrɔd
აგონია	ɑɡɔniɑ
უწმინდურად	ut͡sʼmindurɑd
ღრუბლიანი	ɣrubliɑni
ფიზიკა	pʰizikʼɑ
ტაივანი	tʼɑivɑni
ხრიალი	xriɑli
სისტემამ	sistʼɛmɑm
ალბომს	ɑlbɔms
პორტრეტი	pʼɔrtʼrɛtʼi
ბადებს	bɑdɛbs
რეალურობა	rɛɑlurɔbɑ
უნიკალური	unikʼɑluri
საბრალოდ	sɑbrɑlɔd
თაიგული	tʰɑiɡuli
გეოგრაფიულად	ɡɛɔɡrɑpʰiulɑd
ჭყვლეპავ	t͡ʃʼqʼvlɛpʼɑv
ბრწყინვალება	brt͡sʼqʼinvɑlɛbɑ
ბრიტანეთს	britʼɑnɛtʰs
ისააკი	isɑɑkʼi
ექსპრომტული	ɛkʰspʼrɔmtʼuli
ქალწულება	kʰɑlt͡sʼulɛbɑ
ტოგო	tʼɔɡɔ
ირლანდიელი	irlɑndiɛli
პროცესორი	pʼrɔt͡sɛsɔri
ხარისხმა	xɑrisxmɑ
ქიშმირი	kʰiʃmiri
ველოსიპედი	vɛlɔsipʼɛdi
კამპანია	kʼɑmpʼɑniɑ
დინოზავრი	dinɔzɑvri
ვიკიპედიით	vikʼipʼɛdiitʰ
ენტომოლოგია	ɛntʼɔmɔlɔɡiɑ
საქმიანობა	sɑkʰmiɑnɔbɑ
წარდგენა	t͡sʼɑrdɡɛnɑ
ევროპული	ɛvrɔpʼuli
ტირადა	tʼirɑdɑ
კაცებთან	kʼɑt͡sɛbtʰɑn
მანიაკალურად	mɑniɑkʼɑlurɑd
წვნიანი	t͡sʼvniɑni
ცინიკური	t͡sinikʼuri
სატანურად	sɑtʼɑnurɑd
ანახვებს	ɑnɑxvɛbs
ბრემენი	brɛmɛni
ელასტიკური	ɛlɑstʼikʼuri
აირწინაღი	ɑirt͡sʼinɑɣi
უხმარი	uxmɑri
ტურნირი	tʼurniri
პესტიციდი	pʼɛstʼit͡sidi
ფორვარდი	pʰɔrvɑrdi
კოპწიაობა	kʼɔpʼt͡sʼiɑɔbɑ
სანათესაო	sɑnɑtʰɛsɑɔ
ტენდენცია	tʼɛndɛnt͡siɑ
ლოგინში	lɔɡinʃi
მოყავისფრო	mɔqʼɑvispʰrɔ
უწყვეტი	ut͡sʼqʼvɛtʼi
ვენესუელა	vɛnɛsuɛlɑ
შია	ʃiɑ
მათარა	mɑtʰɑrɑ
ფოსო	pʰɔsɔ
პანაშვიდი	pʼɑnɑʃvidi
წყალმანკიანი	t͡sʼqʼɑlmɑnkʼiɑni
მიჯნური	mid͡ʒnuri
ორმოცდაოთხი	ɔrmɔt͡sdɑɔtʰxi
პარკუჭი	pʼɑrkʼut͡ʃʼi
მონტენეგრო	mɔntʼɛnɛɡrɔ
გამარჯვება	ɡɑmɑrd͡ʒvɛbɑ
სვირინგი	svirinɡi
ბომბი	bɔmbi
გულმოწყალედ	ɡulmɔt͡sʼqʼɑlɛd
საშლელი	sɑʃlɛli
უპატივცემლო	upʼɑtʼivt͡sɛmlɔ
აღმართი	ɑɣmɑrtʰi
ტორფნარი	tʼɔrpʰnɑri
ნება	nɛbɑ
ინტერნეტი	intʼɛrnɛtʼi
ფანატიკური	pʰɑnɑtʼikʼuri
კანონპროექტი	kʼɑnɔnpʼrɔɛkʰtʼi
სიჭაბუკე	sit͡ʃʼɑbukʼɛ
სტრატეგიულად	stʼrɑtʼɛɡiulɑd
პასუხისმგებლობით	pʼɑsuxismɡɛblɔbitʰ
დისკომფორტი	diskʼɔmpʰɔrtʼi
დარგი	dɑrɡi
ეროვნება	ɛrɔvnɛbɑ
ნემსიყლაპია	nɛmsiqʼlɑpʼiɑ
საუკუნედ	sɑukʼunɛd
მფლანგველურად	mpʰlɑnɡvɛlurɑd
ჰორტენზია	hɔrtʼɛnziɑ
ცხოვრებას	t͡sxɔvrɛbɑs
მაძღრობა	mɑd͡zɣrɔbɑ
უმოძრაოდ	umɔd͡zrɑɔd
მარეხი	mɑrɛxi
გასული	ɡɑsuli
პატრიარქი	pʼɑtʼriɑrkʰi
სასიკეთო	sɑsikʼɛtʰɔ
აზვიადებს	ɑzviɑdɛbs
კნუტი	kʼnutʼi
პაწაწინა	pʼɑt͡sʼɑt͡sʼinɑ
სენდვიჩი	sɛndvit͡ʃi
ვარდისფერი	vɑrdispʰɛri
საფერფლე	sɑpʰɛrpʰlɛ
გამოსდის	ɡɑmɔsdis
დაღლილი	dɑɣlili
რჩილავს	rt͡ʃilɑvs
მონოთეისტური	mɔnɔtʰɛistʼuri
უჭკვიანესი	ut͡ʃʼkʼviɑnɛsi
ლიჩი	lit͡ʃi
სიძე	sid͡zɛ
კორეული	kʼɔrɛuli
აქსიომური	ɑkʰsiɔmuri
ნორმალურად	nɔrmɑlurɑd
წყეულად	t͡sʼqʼɛulɑd
ფსელი	pʰsɛli
კოოპერატივი	kʼɔɔpʼɛrɑtʼivi
ყაზახეთმა	qʼɑzɑxɛtʰmɑ
არბიტრი	ɑrbitʼri
თითისტარი	tʰitʰistʼɑri
საზღვაო	sɑzɣvɑɔ
ოპონენტი	ɔpʼɔnɛntʼi
სტრუქტურა	stʼrukʰtʼurɑ
ვაზელინი	vɑzɛlini
სატანა	sɑtʼɑnɑ
მომწამლავად	mɔmt͡sʼɑmlɑvɑd
კრეისერი	kʼrɛisɛri
მინიატურისტი	miniɑtʼuristʼi
ჯალათი	d͡ʒɑlɑtʰi
ესპანური	ɛspʼɑnuri
ღვრა	ɣvrɑ
პუდინგი	pʼudinɡi
ირლანდია	irlɑndiɑ
სერგი	sɛrɡi
პალტო	pʼɑltʼɔ
უმიზნოდ	umiznɔd
დედაზარდლი	dɛdɑzɑrdli
მამაკაცური	mɑmɑkʼɑt͡suri
დამსვენებელი	dɑmsvɛnɛbɛli
წამოისვრის	t͡sʼɑmɔisvris
ოფიცერი	ɔpʰit͡sɛri
დონედ	dɔnɛd
უსამართლოდ	usɑmɑrtʰlɔd
ლტოლვილი	ltʼɔlvili
ტასმანია	tʼɑsmɑniɑ
რიცხვი	rit͡sxvi
გრილა	ɡrilɑ
წყარომ	t͡sʼqʼɑrɔm
დამოწმება	dɑmɔt͡sʼmɛbɑ
ჩუქურთმა	t͡ʃukʰurtʰmɑ
ფილტრაცია	pʰiltʼrɑt͡siɑ
მაღალკვალიფიციურად	mɑɣɑlkʼvɑlipʰit͡siurɑd
სენიორიტა	sɛniɔritʼɑ
ეშვი	ɛʃvi
კათოლიკური	kʼɑtʰɔlikʼuri
სხვათაშორის	sxvɑtʰɑʃɔris
პანტერა	pʼɑntʼɛrɑ
უუნარობა	uunɑrɔbɑ
სიფხიზლე	sipʰxizlɛ
კოოპერატორი	kʼɔɔpʼɛrɑtʼɔri
სამხრეთული	sɑmxrɛtʰuli
თოხი	tʰɔxi
დაბნელებული	dɑbnɛlɛbuli
შეუზღუდავად	ʃɛuzɣudɑvɑd
მრავალმხრივი	mrɑvɑlmxrivi
სიმამრი	simɑmri
იუგოსლავია	iuɡɔslɑviɑ
ჭილყვავი	t͡ʃʼilqʼvɑvi
მჟავური	mʒɑvuri
უშველებელი	uʃvɛlɛbɛli
ღუნავს	ɣunɑvs
რევიზიონიზმი	rɛviziɔnizmi
აგური	ɑɡuri
ტარებადი	tʼɑrɛbɑdi
კირი	kʼiri
რკინაბეტონი	rkʼinɑbɛtʼɔni
გამძლე	ɡɑmd͡zlɛ
ლაბადა	lɑbɑdɑ
ამერიკად	ɑmɛrikʼɑd
პოლიციელი	pʼɔlit͡siɛli
ჩინეთის	t͡ʃinɛtʰis
იავნანა	iɑvnɑnɑ
ექსტრაქტი	ɛkʰstʼrɑkʰtʼi
სცენარისტი	st͡sɛnɑristʼi
ვსვავ	vsvɑv
ლამინარია	lɑminɑriɑ
კახეთად	kʼɑxɛtʰɑd
სულ	sul
არსად	ɑrsɑd
სიაფანდი	siɑpʰɑndi
ნაოჭი	nɑɔt͡ʃʼi
ჩლუნგად	t͡ʃlunɡɑd
ფოლკლორი	pʰɔlkʼlɔri
გადაქანცული	ɡɑdɑkʰɑnt͡suli
სენაკი	sɛnɑkʼi
მემამულე	mɛmɑmulɛ
ლინგვისტურად	linɡvistʼurɑd
იდეალურად	idɛɑlurɑd
ირბისი	irbisi
კვაკერი	kʼvɑkʼɛri
ბელიზი	bɛlizi
ჩქარა	t͡ʃkʰɑrɑ
ყაბაყი	qʼɑbɑqʼi
საცრემლე	sɑt͡srɛmlɛ
ჯამაათი	d͡ʒɑmɑɑtʰi
უმოქმედობა	umɔkʰmɛdɔbɑ
სალხინებელი	sɑlxinɛbɛli
მეკასრე	mɛkʼɑsrɛ
გაიზრდება	ɡɑizrdɛbɑ
ქორეოგრაფი	kʰɔrɛɔɡrɑpʰi
ვიკიპედია	vikʼipʼɛdiɑ
ზვარაკი	zvɑrɑkʼi
მარშალი	mɑrʃɑli
ტერორი	tʼɛrɔri
თეფში	tʰɛpʰʃi
ავტორი	ɑvtʼɔri
საბერძნეთი	sɑbɛrd͡znɛtʰi
ნუში	nuʃi
უმადურად	umɑdurɑd
ხელსაწყო	xɛlsɑt͡sʼqʼɔ
საზარდული	sɑzɑrduli
მაგისტრალი	mɑɡistʼrɑli
ინსტრუქციული	instʼrukʰt͡siuli
ხამლი	xɑmli
სამოცდაცამეტი	sɑmɔt͡sdɑt͡sɑmɛtʼi
ორმოცდაექვსი	ɔrmɔt͡sdɑɛkʰvsi
მუსიკალური	musikʼɑluri
უდარდელი	udɑrdɛli
გროტესკული	ɡrɔtʼɛskʼuli
აკანკალებული	ɑkʼɑnkʼɑlɛbuli
მუტრუკი	mutʼrukʼi
უჯრედული	ud͡ʒrɛduli
ნაფოტი	nɑpʰɔtʼi
ხემი	xɛmi
ექსტრავაგანტულად	ɛkʰstʼrɑvɑɡɑntʼulɑd
მობილური	mɔbiluri
გლერტა	ɡlɛrtʼɑ
უნიკალურობა	unikʼɑlurɔbɑ
ჯანმრთელი	d͡ʒɑnmrtʰɛli
ბეცი	bɛt͡si
ნობელი	nɔbɛli
გაატარეს	ɡɑɑtʼɑrɛs
მეალილოე	mɛɑlilɔɛ
შოტლანდიური	ʃɔtʼlɑndiuri
სიმყიფე	simqʼipʰɛ
კარნიზი	kʼɑrnizi
ქარპირა	kʰɑrpʼirɑ
ფვლა	pʰvlɑ
იმპროვიზებულად	impʼrɔvizɛbulɑd
მკვეთრად	mkʼvɛtʰrɑd
უმტკივნეულოდ	umtʼkʼivnɛulɔd
პეტერბურგი	pʼɛtʼɛrburɡi
წყალიკრეფია	t͡sʼqʼɑlikʼrɛpʰiɑ
საკვოიაჟი	sɑkʼvɔiɑʒi
გაჩეჩილი	ɡɑt͡ʃɛt͡ʃili
მაგნოლია	mɑɡnɔliɑ
განაჩენი	ɡɑnɑt͡ʃɛni
ჰოროსკოპი	hɔrɔskʼɔpʼi
სუფიქსი	supʰikʰsi
ანომალია	ɑnɔmɑliɑ
ცხლად	t͡sxlɑd
ლილო	lilɔ
მეთოდისტი	mɛtʰɔdistʼi
პრესტიჟი	pʼrɛstʼiʒi
მეაფთიაქე	mɛɑpʰtʰiɑkʰɛ
საკამათოდ	sɑkʼɑmɑtʰɔd
სათუო	sɑtʰuɔ
ანემიურად	ɑnɛmiurɑd
ბედისწერა	bɛdist͡sʼɛrɑ
სტადიონი	stʼɑdiɔni
ჩინეთმა	t͡ʃinɛtʰmɑ
ლიფსიტა	lipʰsitʼɑ
მთიულეთი	mtʰiulɛtʰi
ლომვეშაპი	lɔmvɛʃɑpʼi
გისმენთ	ɡismɛntʰ
ჰაიტი	hɑitʼi
უღლება	uɣlɛbɑ
ფორმა	pʰɔrmɑ
მოტივი	mɔtʼivi
რეზედა	rɛzɛdɑ
სათადარიგოდ	sɑtʰɑdɑriɡɔd
ბოროტმოქმედი	bɔrɔtʼmɔkʰmɛdi
შანდალი	ʃɑndɑli
აკვნებს	ɑkʼvnɛbs
მეგობრები	mɛɡɔbrɛbi
ფენომენი	pʰɛnɔmɛni
აუჩქარებლობა	ɑut͡ʃkʰɑrɛblɔbɑ
წარუხოცელი	t͡sʼɑruxɔt͡sɛli
ვარაუდით	vɑrɑuditʰ
ქარაფშუტობა	kʰɑrɑpʰʃutʼɔbɑ
გამსახურდია	ɡɑmsɑxurdiɑ
