Əbüləsvar	æbylæsvˈar
Dog	dˈoɟ
böyüklüyündə	bœjyçlyjˈyndæ
nöqtəli	nœɡtælˈi
hazırlaşdığı	hazɯrɫaʃdɯɯˈɯ
qəhrəmanla	ɡæhræmanɫˈa
Pravoslav	pravosɫˈav
doğrusu	doːɾusˈu
Nəfisi	næfisˈi
ölsə	ˈœlsæ
Kəllə	cˈællæ
çəkəcəklər	t͡ʃæcæd͡ʒæçlˈær
Birjasında	birʒasɯndˈa
yayılmışdır	jajɯɫmɯʃdˈɯr
Danimarkalı	danimarcaɫˈɯ
silahlanaraq	siɫahɫanaɾˈax
dənizçiləri	dænizt͡ʃilæɾˈi
reallıqları	reaɫɫɯɡɫaɾˈɯ
qırğın	ɡɯrɣˈɯn
səpələnmə	sæpælˈænmæ
konsertlər	consertlˈær
Georgiyə	ɟeorɟˈijæ
Mahal	mahˈaɫ
Aka	acˈa
Kalaşnikov	caɫaʃnicˈov
dəliklər	dæliçlˈær
araşdırmağı	aɾaʃdɯrmaːˈɯ
ispan	ispˈan
florid	fɫoɾˈid
mövsümlərində	mœvsymlæɾˈindæ
tədbirdə	tædbˈirdæ
kirəmit	ciɾæmˈit
Qatil	ɡatˈil
kommunikativ	communicatˈiv
Kollecinə	coɫled͡ʒˈinæ
Andrea	andreˈa
Hafiz	hafˈiz
seriyalarının	seɾijaɫaɾɯnˈɯn
çölün	t͡ʃœlˈyn
nümayəndəliyin	nymajændælijˈin
edəcəm	edæd͡ʒˈæm
telekanalı	telecanaɫˈɯ
İstisna	istisnˈa
baş	bˈaʃ
iblisə	iblˈisæ
siyasətçilər	sijasætt͡ʃilˈær
qızların	ɡɯzɫaɾˈɯn
yaxınlaşmasından	jaxɯnɫaʃmasɯndˈan
velosipedin	veɫosipedˈin
pərdəsində	pærdæsˈindæ
Agency	aɟˈend͡ʒj
dəmirdən	dæmirdˈæn
Nəfis	næfˈis
ətrafından	ætrafɯndˈan
Solaris	soɫaɾˈis
gətirilməsinə	ɟætiɾilmæsˈinæ
məqsədəuyğun	mæɡsædæujɣˈun
antologiya	antoɫˈoɟia
Memorial	memoɾiˈaɫ
qərbə	ɡˈærbæ
miflər	miflˈær
qulluqçularına	ɡuɫɫuɡt͡ʃuɫaɾɯnˈa
qaldırmağı	ɡaɫdɯrmaːˈɯ
kantonu	cantonˈu
realizmin	realizmˈin
telefonda	telefondˈa
xara	xaɾˈa
müqayisəsini	myɡajisæsinˈi
bütlər	bytlˈær
Yaradıcılığının	jaɾadɯd͡ʒɯɫɯɯɯnˈɯn
turizmdir	tuɾizmdˈir
kvarslı	çvarsɫˈɯ
şəkərdən	ʃæcærdˈæn
əhatəsinə	æhatæsˈinæ
Göytürklərin	ɟœjtyrçlæɾˈin
boksçu	boçst͡ʃˈu
proletariatı	proletaɾiatˈɯ
cəzaların	d͡ʒæzaɫaɾˈɯn
Yozefin	jozefˈin
bürcündə	byrd͡ʒˈyndæ
İlham	ilhˈam
yetirməsi	jet͡sirmæsˈi
milliyətçi	millijætt͡ʃˈi
koloriti	coɫoɾit͡sˈi
Bolqarıstana	boɫɡaɾɯstanˈa
görməkdir	ɟœrmæçdˈir
kontrol	contrˈoɫ
Antiqon	antiɡˈon
həmlələr	hæmlælˈær
təmizlənməsində	tæmizlænmæsˈindæ
ödəməli	œdæmælˈi
İnvestisiya	investˈisia
Orkestrində	orcestrˈindæ
leytenantın	lejtenantˈɯn
ziyafətdə	zijafˈætdæ
birincilər	biɾind͡ʒilˈær
iyerarxiyasında	ijeɾarxijasɯndˈa
etmişdirlər	etmiʃdirlˈær
təəccüblənir	tææd͡ʒd͡ʒyblænˈir
Reqbi	reɡbˈi
Seylor	sejɫˈor
büdcəli	bydd͡ʒælˈi
elmlərini	elmlæɾinˈi
mərkəzlərində	mærcæzlæɾˈindæ
təsirdə	tæsˈirdæ
zərərinə	zæɾæɾˈinæ
oxşardır	oxʃardˈɯr
tərcüməçilərin	tærd͡ʒymæt͡ʃilæɾˈin
Salyerinin	saɫjeɾinˈin
arzuları	arzuɫaɾˈɯ
iştirakçısına	iʃtiɾaçt͡ʃɯsɯnˈa
oyundakı	ojundacˈɯ
məmlüklər	mæmlyçlˈær
hisə	hˈisæ
Kerç	cˈert͡ʃ
Karlaylın	carɫajɫˈɯn
Mükafatın	mycafatˈɯn
arami	aɾamˈi
qatılığının	ɡatɯɫɯɯɯnˈɯn
List	lˈist
yataqlardan	jataɡɫardˈan
logistika	ɫoɟisticˈa
devirmək	devirmˈæç
muzeydə	muzˈejdæ
balalarını	baɫaɫaɾɯnˈɯ
gizlində	ɟizlˈindæ
damarın	damaɾˈɯn
Jack	ʒˈad͡ʒç
məqsədin	mæɡsædˈin
qənimətlər	ɡænimætlˈær
şəlaləsinin	ʃæɫalæsinˈin
Doria	doɾiˈa
kəsilməsini	cæsilmæsinˈi
qələmindən	ɡælæmindˈæn
komplekslərini	compleçslæɾinˈi
zorakılıqdan	zoɾacɯɫɯɡdˈan
xanədanı	xanædanˈɯ
etdirilməsində	etdiɾilmæsˈindæ
durması	durmasˈɯ
qurbanın	ɡurbanˈɯn
Heyət	hejˈæt
Məktəb	mæçtˈæb
mərmiləri	mærmilæɾˈi
körpüsündən	cœrpysyndˈæn
izləyərək	izlæjæɾˈæç
der	dˈer
tüstü	tystˈy
Manhetten	manhettˈen
temperaturdur	tempeɾaturdˈur
Honşu	honʃˈu
etməməsinə	etmæmæsˈinæ
Kamakura	camacuɾˈa
İtalyanlar	itaɫjanɫˈar
çevrilmişlər	t͡ʃevrilmiʃlˈær
bitdiyindən	bitdijindˈæn
azad	azˈad
proseslərdə	proseslˈærdæ
görmüşəm	ɟœrmyʃˈæm
sərhəddinin	særhæddinˈin
eləyən	elæjˈæn
Bürünc	byɾˈynd͡ʒ
yaşlarının	jaʃɫaɾɯnˈɯn
sindromu	sindromˈu
gedəcək	ɟedæd͡ʒˈæç
saatları	saatɫaɾˈɯ
hövzəsində	hœvzæsˈindæ
oymaqlarının	ojmaɡɫaɾɯnˈɯn
Leave	leavˈe
Yupik	jupˈiç
azərbaycanlıdır	azærbajd͡ʒanɫɯdˈɯr
xalqlarından	xaɫɡɫaɾɯndˈan
Qoruğunun	ɡoɾuːnˈun
klublararası	çɫubɫaɾaɾasˈɯ
oynayanlar	ojnajanɫˈar
verərək	veɾæɾˈæç
himayəsi	himajæsˈi
Mir	mˈir
Vah	vˈah
Konstitusiyasını	constitusijasɯnˈɯ
Həbsxanada	hæbsxanadˈa
Bromviç	bromvˈit͡ʃ
yeritdi	jeɾitdˈi
məqsədli	mæɡsædlˈi
Konstitusiyasının	constitusijasɯnˈɯn
Çütləşmə	t͡ʃytlˈæʃmæ
Andre	andrˈe
keçidlə	cet͡ʃˈidlæ
Irokezlər	ɯɾocezlˈær
bolşeviklərlə	boɫʃeviçlˈærlæ
Denikinə	denicˈinæ
tərəfimizdən	tæɾæfimizdˈæn
detallardan	detaɫɫardˈan
Zaqafqaziyanın	zaɡafɡazijanˈɯn
eləmişdir	elæmiʃdˈir
şərtlərdən	ʃærtlærdˈæn
İspaniyalı	ispanijaɫˈɯ
cümlələr	d͡ʒymlælˈær
Araz	aɾˈaz
başcıq	baʃd͡ʒˈɯx
koherent	coheɾˈent
talalar	taɫaɫˈar
gəmirici	ɟæmiɾid͡ʒˈi
Giləzi	ɟilæzˈi
sədlər	sædlˈær
Altayda	aɫtajdˈa
adlanacaq	adɫanad͡ʒˈax
fortepianoda	fortepianodˈa
titula	tituɫˈa
yaddaşdan	jaddaʃdˈan
kəsilməsi	cæsilmæsˈi
Talıbxan	taɫɯbxˈan
Dövlətimizin	dœvlætimizˈin
başqaları	baʃɡaɫaɾˈɯ
mübadiləsində	mybadilæsˈindæ
pravda	pravdˈa
Azərbaycandır	azærbajd͡ʒandˈɯr
addımını	addɯmɯnˈɯ
təyyarələr	tæjjaɾælˈær
Xürrəmilər	xyrræmilˈær
Keytlin	cejtlˈin
Buş	bˈuʃ
ağılı	aːɯɫˈɯ
macəralarını	mad͡ʒæɾaɫaɾɯnˈɯ
İştvan	iʃtvˈan
kompilyasiya	compiljˈasia
Baqrat	baɡrˈat
astronomiyada	astronomijadˈa
anarxizm	anarxˈizm
dirildir	diɾildˈir
cadu	d͡ʒadˈu
çöküntülərlə	t͡ʃœcyntylˈærlæ
asetilenin	aset͡silenˈin
mini	minˈi
Odetta	odettˈa
yumruları	jumruɫaɾˈɯ
Əliməmməd	ælimæmmˈæd
Orion	oɾiˈon
vurğun	vurɣˈun
oğuzlar	oːuzɫˈar
qədimə	ɡædˈimæ
kommersiya	commˈersia
Banan	banˈan
hökmranlığının	hœçmranɫɯɯɯnˈɯn
Sinaya	sinajˈa
dərsliyinə	dærslijˈinæ
Sonradan	sonradˈan
qramlıq	ɡramɫˈɯx
Heyan	hejˈan
kampusunda	campusundˈa
partiyalarının	partijaɫaɾɯnˈɯn
parçalanma	part͡ʃaɫanmˈa
qoyulmuşdur	ɡojuɫmuʃdˈur
Xalçaların	xaɫt͡ʃaɫaɾˈɯn
xurafat	xuɾafˈat
Gəncədəki	ɟænd͡ʒædæcˈi
Cadugər	d͡ʒaduɟˈær
səylərinin	sæjlæɾinˈin
Yarpağı	jarpaːˈɯ
çiçəklidir	t͡ʃit͡ʃæçlidˈir
fəlakətlərə	fæɫacætlˈæɾæ
xronikaları	xronicaɫaɾˈɯ
portuqallar	portuɡaɫɫˈar
Ağabalanın	aːbaɫanˈɯn
Serial	seɾiˈaɫ
Güllücə	ɟyllˈyd͡ʒæ
edilmədikdə	edilmædˈiçdæ
paylayan	pajɫajˈan
professoru	professoɾˈu
Baxşı	baxʃˈɯ
şkafı	ʃcafˈɯ
Çövkən	t͡ʃœvcˈæn
Romina	rominˈa
sapvari	sapvaɾˈi
xörəkləri	xœɾæçlæɾˈi
Hüseynlə	hysˈejnlæ
bəstəkarların	bæstæcarɫaɾˈɯn
harada	haɾadˈa
çəkişmələrin	t͡ʃæciʃmælæɾˈin
Just	ʒˈust
keçməlidir	cet͡ʃmælidˈir
kapitanları	capitanɫaɾˈɯ
alkilləşmə	aɫcillˈæʃmæ
Prezidentinə	prezidentˈinæ
sıf	sˈɯf
Şalçininkay	ʃaɫt͡ʃinincˈaj
axırdı	axɯrdˈɯ
verdikləri	verdiçlæɾˈi
hamiləlik	hamilælˈiç
kəhrizlər	cæhrizlˈær
nüvələrin	nyvælæɾˈin
ödənilir	œdænilˈir
qurucuları	ɡuɾud͡ʒuɫaɾˈɯ
Fabian	fabiˈan
dişcikli	diʃd͡ʒiçlˈi
qısalır	ɡɯsaɫˈɯr
bərbərlər	bærbærlˈær
lərdə	lˈærdæ
məsçid	mæst͡ʃˈid
müəllimdən	myællimdˈæn
Danimarkada	danimarcadˈa
ərintilərinin	æɾintilæɾinˈin
qatlarından	ɡatɫaɾɯndˈan
Qabırrı	ɡabɯrrˈɯ
hissələrindəki	hissælæɾindæcˈi
alınan	aɫɯnˈan
bulağının	buɫaːɯnˈɯn
diqtə	dˈiɡtæ
jurnalistikasının	ʒurnalisticasɯnˈɯn
Ovalığın	ovaɫɯɯˈɯn
Diplom	dipɫˈom
Xorasan	xoɾasˈan
fillərin	fillæɾˈin
tələbini	tælæbinˈi
axıcılıq	axɯd͡ʒɯɫˈɯx
Bayındır	bajɯndˈɯr
blokun	bɫocˈun
gölməçələrdə	ɟœlmæt͡ʃælˈærdæ
səhnəsinin	sæhnæsinˈin
uğrundakı	uːɾundacˈɯ
saatsaz	saatsˈaz
əvəzləməsi	ævæzlæmæsˈi
nazirlikləri	nazirliçlæɾˈi
təzyiqinin	tæzjiɡinˈin
yetirildiyi	jet͡siɾildijˈi
stansiyada	stansijadˈa
qısamüddətli	ɡɯsamyddætlˈi
borclarını	bord͡ʒɫaɾɯnˈɯ
Əməvilər	æmævilˈær
döyülərək	dœjylæɾˈæç
GNU	ɟnˈu
təzyiqlərinə	tæzjiɡlæɾˈinæ
Tombstone	tombstonˈe
çəng	t͡ʃˈænɟ
Qven	ɡvˈen
arxipelaqına	arxipeɫaɡɯnˈa
zili	zilˈi
dəyişdirilir	dæjiʃdiɾilˈir
bağlarını	baːɫaɾɯnˈɯ
əfsanəvi	æfsanævˈi
Klark	çɫˈarç
pisləşmişdi	pislæʃmiʃdˈi
əsaslandırmış	æsasɫandɯrmˈɯʃ
hədəfə	hædˈæfæ
mərasimlərini	mæɾasimlæɾinˈi
əməkdaşlar	æmæçdaʃɫˈar
ruhunda	ruhundˈa
Xaqani	xaɡanˈi
elədilər	elædilˈær
içərisində	it͡ʃæɾisˈindæ
dalğalardan	daɫɣaɫardˈan
Qüvvələr	ɡyvvælˈær
artı	artˈɯ
pozulmuş	pozuɫmˈuʃ
təyyarəsinin	tæjjaɾæsinˈin
anbardan	anbardˈan
Həqiqətən	hæɡiɡætˈæn
parlaqdır	parɫaɡdˈɯr
ornamentlər	ornamentlˈær
turdan	turdˈan
kütlələr	cytlælˈær
Kanyonun	canjonˈun
həmahəng	hæmahˈænɟ
kahinləri	cahinlæɾˈi
sevmədiyi	sevmædijˈi
Paltar	paɫtˈar
Olster	oɫstˈer
İgid	iɟˈid
rəqəmlər	ræɡæmlˈær
jandarma	ʒandarmˈa
İstifadəçilər	istifadæt͡ʃilˈær
Hüquqlarının	hyɡuɡɫaɾɯnˈɯn
Sintiya	sˈintia
Dam	dˈam
körpə	cˈœrpæ
dişilərin	diʃilæɾˈin
balonu	baɫonˈu
açmalı	at͡ʃmaɫˈɯ
mühacirlərə	myhad͡ʒirlˈæɾæ
əasən	æasˈæn
qovmaqla	ɡovmaɡɫˈa
Moskvadakı	mosçvadacˈɯ
camaatdan	d͡ʒamaatdˈan
gecələri	ɟed͡ʒælæɾˈi
Türkçe	tyrçt͡ʃˈe
yaddaşla	jaddaʃɫˈa
bərpasını	bærpasɯnˈɯ
artımı	artɯmˈɯ
ruhda	ruhdˈa
mayakın	majacˈɯn
kərtənkələsi	cærtæncælæsˈi
dimdikləri	dimdiçlæɾˈi
durumunu	duɾumunˈu
Əlisəttar	ælisættˈar
puç	pˈut͡ʃ
maraqlanırlar	maɾaɡɫanɯrɫˈar
hissəcik	hissæd͡ʒˈiç
yetirmək	jet͡sirmˈæç
familiyalı	familijaɫˈɯ
qabaqkı	ɡabaɡcˈɯ
Ural	uɾˈaɫ
qapaq	ɡapˈax
əsaslanmaq	æsasɫanmˈax
şifrə	ʃˈifræ
yığıncaqlara	jɯɯɯnd͡ʒaɡɫaɾˈa
stəkandan	stæcandˈan
kabuslar	cabusɫˈar
şəhristanının	ʃæhristanɯnˈɯn
Veber	vebˈer
folkloru	foɫçɫoɾˈu
bəzədilmişdi	bæzædilmiʃdˈi
birləşdirilmişdir	birlæʃdiɾilmiʃdˈir
ovalıqları	ovaɫɯɡɫaɾˈɯ
Zoya	zojˈa
yazını	jazɯnˈɯ
Mik	mˈiç
qətiliklə	ɡætilˈiçlæ
Müdiri	mydiɾˈi
Studiyası	studijasˈɯ
dinar	dinˈar
qotlar	ɡotɫˈar
keçidlərdə	cet͡ʃidlˈærdæ
rejimlər	reʒimlˈær
bələdiyyəsinə	bælædijjæsˈinæ
artefaktlar	artefaçtɫˈar
etnoniminin	etnoniminˈin
laktoza	ɫaçtozˈa
təəssüratını	tææssyɾatɯnˈɯ
üzvlü	yzvlˈy
hasarların	hasarɫaɾˈɯn
tərifləyən	tæɾiflæjˈæn
xəbərdarlıq	xæbærdarɫˈɯx
debat	debˈat
ustası	ustasˈɯ
mühərriyi	myhærrijˈi
daşnaklara	daʃnaçɫaɾˈa
kadrlar	cadrɫˈar
qəzəbindən	ɡæzæbindˈæn
knyazların	çnjazɫaɾˈɯn
başladır	baʃɫadˈɯr
mədəniyyətlərə	mædænijjætlˈæɾæ
Rəssamlıq	ræssamɫˈɯx
sənədin	sænædˈin
padşahlığının	padʃahɫɯɯɯnˈɯn
Əmim	æmˈim
oğurluq	oːurɫˈux
çek	t͡ʃˈeç
içkilərdən	it͡ʃcilærdˈæn
döyülüb	dœjylˈyb
Rankings	rancˈinɟs
acından	ad͡ʒɯndˈan
Uşağı	uʃaːˈɯ
Əbdürrəhim	æbdyrræhˈim
bilərzik	bilærzˈiç
nümayış	nymajˈɯʃ
kəskin	cæscˈin
malikanədə	malicanˈædæ
bərq	bˈærx
Müsabiqəsində	mysabiɡæsˈindæ
pedaqogika	pedaɡoɟicˈa
hücumlara	hyd͡ʒumɫaɾˈa
Enzo	enzˈo
endirməsi	endirmæsˈi
respublikasını	respublicasɯnˈɯ
əsəbləşən	æsæblæʃˈæn
toxumluq	toxumɫˈux
gəldiyini	ɟældijinˈi
Bədənləri	bædænlæɾˈi
olmağla	oɫmaːɫˈa
stresli	streslˈi
sevincək	sevind͡ʒˈæç
özəyinin	œzæjinˈin
keçmişlər	cet͡ʃmiʃlˈær
Füzuli	fyzulˈi
atla	atɫˈa
fərdlərinin	færdlæɾinˈin
dülgərlik	dylɟærlˈiç
eksponatların	eçsponatɫaɾˈɯn
Köçəryan	cœt͡ʃærjˈan
qonaqpərvər	ɡonaɡpærvˈær
şeytanı	ʃejtanˈɯ
sütundan	sytundˈan
proqnozları	proɡnozɫaɾˈɯ
qadağanı	ɡadaːnˈɯ
vitro	vitrˈo
əzablara	æzabɫaɾˈa
kolonial	coɫoniˈaɫ
düzənliklərdən	dyzænliçlærdˈæn
solunda	soɫundˈa
köçməli	cœt͡ʃmælˈi
səhnəsi	sæhnæsˈi
məkanlara	mæcanɫaɾˈa
Cahandar	d͡ʒahandˈar
etiqadına	et͡siɡadɯnˈa
sözügedən	sœzyɟedˈæn
anasının	anasɯnˈɯn
xeyriyyəçilik	xejrijjæt͡ʃilˈiç
çıxarıb	t͡ʃɯxaɾˈɯb
şirələr	ʃiɾælˈær
icmal	id͡ʒmˈaɫ
Yasəmən	jasæmˈæn
qurşağa	ɡurʃˈaː
Qalanları	ɡaɫanɫaɾˈɯ
Axundov	axundˈov
karikaturaları	caɾicatuɾaɫaɾˈɯ
xəstələrinə	xæstælæɾˈinæ
intiqam	intiɡˈam
Şleqel	ʃleɡˈel
xüsusiyyəti	xysusijjætˈi
Çukurcada	t͡ʃucurd͡ʒadˈa
yarışda	jaɾɯʃdˈa
şəfaverici	ʃæfaveɾid͡ʒˈi
şəhərkənarı	ʃæhærcænaɾˈɯ
simlər	simlˈær
Əlyazmanın	æljazmanˈɯn
Həmzə	hˈæmzæ
məlikləri	mæliçlæɾˈi
yeməyin	jemæjˈin
nəbati	næbatˈi
savaşların	savaʃɫaɾˈɯn
bazarlarının	bazarɫaɾɯnˈɯn
başlı	baʃɫˈɯ
yürüşünü	jyɾyʃynˈy
Relyefin	reljefˈin
gününün	ɟynynˈyn
cinaha	d͡ʒinahˈa
hunlara	hunɫaɾˈa
Pirr	pˈiɾər
Liberalların	libeɾaɫɫaɾˈɯn
milliləri	millilæɾˈi
istilasına	istiɫasɯnˈa
əsaslanmışdır	æsasɫanmɯʃdˈɯr
ama	amˈa
əlinə	ælˈinæ
pulunu	puɫunˈu
təmsilçisinin	tæmsilt͡ʃisinˈin
oyunlarının	ojunɫaɾɯnˈɯn
genişləndirə	ɟeniʃlændˈiɾæ
sonetləri	sonetlæɾˈi
Yudif	judˈif
Sfinks	sfˈinçs
idarəçiliyə	idaɾæt͡ʃilˈijæ
qalmayaraq	ɡaɫmajaɾˈax
rəngli	rænɟlˈi
uğradılar	uːɾadɯɫˈar
Qarlıqa	ɡarɫɯɡˈa
buzlağının	buzɫaːɯnˈɯn
ornament	ornamˈent
yerləşdirmişdir	jerlæʃdirmiʃdˈir
Ekspedisiya	eçspedˈisia
öyrənincə	œjrænˈind͡ʒæ
Reklam	reçɫˈam
Maori	maoɾˈi
vurğulamışdır	vurɣuɫamɯʃdˈɯr
müsəlmanlara	mysælmanɫaɾˈa
yoldaşının	joɫdaʃɯnˈɯn
metamorfizmə	metamorfˈizmæ
PTT	pˌetˌetˈe
Qotem	ɡotˈem
təyinatını	tæjinatɯnˈɯ
altlıq	aɫtɫˈɯx
yolüstü	jolystˈy
üslublar	ysɫubɫˈar
ehkamlarına	ehcamɫaɾɯnˈa
gerçəkləşdirir	ɟert͡ʃæçlæʃdiɾˈir
Ramsar	ramsˈar
xanımına	xanɯmɯnˈa
vəqfinin	væɡfinˈin
durmuş	durmˈuʃ
köçürülmüşdü	cœt͡ʃyɾylmyʃdˈy
Doğubeyazıt	doːubejazˈɯt
Monqollara	monɡoɫɫaɾˈa
Laboratoriyada	ɫaboɾatoɾijadˈa
maqnit	maɡnˈit
Ədəbiyyatı	ædæbijjatˈɯ
keçməsidir	cet͡ʃmæsidˈir
Zoltan	zoɫtˈan
qazanmadı	ɡazanmadˈɯ
silahlarının	siɫahɫaɾɯnˈɯn
Qorki	ɡorcˈi
Qətərdə	ɡætˈærdæ
özünə	œzˈynæ
soyğunçuluq	sojɣunt͡ʃuɫˈux
layihələrinə	ɫajihælæɾˈinæ
düyünü	dyjynˈy
saplağında	sapɫaːɯndˈa
baxışla	baxɯʃɫˈa
termini	terminˈi
feillər	feillˈær
molekulda	molecuɫdˈa
Manufacturing	manufad͡ʒtuɾˈinɟ
filosofların	fiɫosofɫaɾˈɯn
dominant	dominˈant
şm	ʃˌeˈem
mövqelərdən	mœvɡelærdˈæn
yumru	jumrˈu
mebellər	mebellˈær
Strit	strˈit
rəhbərinə	ræhbæɾˈinæ
Komik	comˈiç
büro	byɾˈo
aşkarlıq	aʃcarɫˈɯx
taxılı	taxɯɫˈɯ
məhəbbətin	mæhæbbætˈin
müştərək	myʃtæɾˈæç
cərəyanını	d͡ʒæɾæjanɯnˈɯ
Torpaqdan	torpaɡdˈan
Qurbani	ɡurbanˈi
asılılığında	asɯɫɯɫɯɯɯndˈa
standartlaşdırma	standartɫaʃdɯrmˈa
əzilmiş	æzilmˈiʃ
müdafiəçilərinin	mydafiæt͡ʃilæɾinˈin
Beşlik	beʃlˈiç
EA	eˈa
köçürüb	cœt͡ʃyɾˈyb
təbəqəni	tæbæɡænˈi
yönəldilib	jœnældilˈib
Yağıntının	jaːɯntɯnˈɯn
yanacaqlarının	janad͡ʒaɡɫaɾɯnˈɯn
qatan	ɡatˈan
yararlanaraq	jaɾarɫanaɾˈax
dekabrına	decabrɯnˈa
Evanxelista	evanxelistˈa
bəhrəsini	bæhræsinˈi
gəlinlər	ɟælinlˈær
Yazılarında	jazɯɫaɾɯndˈa
bəhrələnmişdir	bæhrælænmiʃdˈir
Qoç	ɡˈot͡ʃ
müstəvisini	mystævisinˈi
borunun	boɾunˈun
M	ˈem
Sitenno	sit͡sennˈo
telefonu	telefonˈu
örnəkləri	œrnæçlæɾˈi
albomunu	aɫbomunˈu
tədqiqatlarının	tædɡiɡatɫaɾɯnˈɯn
hakimlərə	hacimlˈæɾæ
baxışının	baxɯʃɯnˈɯn
Bayramı	bajramˈɯ
yarımstansiyası	jaɾɯmstansijasˈɯ
verildikdən	veɾildiçdˈæn
zirehlə	ziɾˈehlæ
Avqustin	avɡustˈin
minarəsinin	minaɾæsinˈin
ensiklopediya	ensiçɫopˈedia
Palatası	paɫatasˈɯ
İnstitutda	institutdˈa
səninlə	sænˈinlæ
analizi	analizˈi
avqustunda	avɡustundˈa
ermənini	ermæninˈi
vəsaitidir	væsa͡ɪt͡sidˈir
boyanmışdır	bojanmɯʃdˈɯr
bildirməyə	bildirmˈæjæ
maşını	maʃɯnˈɯ
raketlər	racetlˈær
qəzəbini	ɡæzæbinˈi
aşağısı	aʃaːɯsˈɯ
düzbucaqlının	dyzbud͡ʒaɡɫɯnˈɯn
axdığı	axdɯɯˈɯ
macəraları	mad͡ʒæɾaɫaɾˈɯ
komanda	comandˈa
möhtəşəmliyi	mœhtæʃæmlijˈi
fasadının	fasadɯnˈɯn
kasıbdır	casɯbdˈɯr
Qrafın	ɡrafˈɯn
Missuri	missuɾˈi
dərinliyi	dæɾinlijˈi
premyera	premjeɾˈa
analoqu	anaɫoɡˈu
Metro	metrˈo
kantonuna	cantonunˈa
keçər	cet͡ʃˈær
uyğur	ujɣˈur
birləşdirmə	birlæʃdˈirmæ
Kraliçanın	çralit͡ʃanˈɯn
keçilir	cet͡ʃilˈir
ziyarətinə	zijaɾætˈinæ
daşqınlar	daʃɡɯnɫˈar
qoruğuna	ɡoɾuːnˈa
dastanlarında	dastanɫaɾɯndˈa
boşaltma	boʃaɫtmˈa
körpüsünü	cœrpysynˈy
vasitələrinə	vasitælæɾˈinæ
bildirişi	bildiɾiʃˈi
petroqrafik	petroɡrafˈiç
çörəyə	t͡ʃœɾˈæjæ
kənarının	cænaɾɯnˈɯn
görüşün	ɟœɾyʃˈyn
onların	onɫaɾˈɯn
restoranın	restoɾanˈɯn
Şəxsin	ʃæxsˈin
qazanmamışdır	ɡazanmamɯʃdˈɯr
Çukurova	t͡ʃucuɾovˈa
tapdığını	tapdɯɯɯnˈɯ
çağırıram	t͡ʃaːɯɾɯɾˈam
Kitabxana	citabxanˈa
Mg	ˌemɟˈe
sinifsiz	sinifsˈiz
radionun	radionˈun
oğullarının	oːuɫɫaɾɯnˈɯn
fit	fˈit
tendensiyasına	tendensijasɯnˈa
rolu	roɫˈu
çağlar	t͡ʃaːɫˈar
şarın	ʃaɾˈɯn
Klinikanın	çlinicanˈɯn
məktəbini	mæçtæbinˈi
əvvəllərindəki	ævvællæɾindæcˈi
abidənin	abidænˈin
Muxtarova	muxtaɾovˈa
lent	lˈent
Əyyubi	æjjubˈi
əsəbləşərək	æsæblæʃæɾˈæç
təhsil	tæhsˈil
tacın	tad͡ʒˈɯn
Arpaçay	arpat͡ʃˈaj
Kanat	canˈat
almaz	aɫmˈaz
dron	drˈon
maşınında	maʃɯnɯndˈa
ambulatoriya	ambuɫatˈoɾia
təskinlik	tæscinlˈiç
əsaslandı	æsasɫandˈɯ
Döyüşçü	dœjyʃt͡ʃˈy
minbaşı	minbaʃˈɯ
görüntü	ɟœɾyntˈy
Hari	haɾˈi
Meydzi	mejdzˈi
kimlik	cimlˈiç
Himayəçilik	himajæt͡ʃilˈiç
dağıdılmış	daːɯdɯɫmˈɯʃ
mənşəyindən	mænʃæjindˈæn
buraxıb	buɾaxˈɯb
İranı	iɾanˈɯ
Imamqulu	ɯmamɡuɫˈu
əsaslandığı	æsasɫandɯɯˈɯ
istərkən	istærcˈæn
mövzudan	mœvzudˈan
qəzetinə	ɡæzet͡sˈinæ
bilməməsinin	bilmæmæsinˈin
Cünki	d͡ʒyncˈi
günorta	ɟynortˈa
sünni	synnˈi
Faktlar	façtɫˈar
barokko	baɾoçcˈo
aylarından	ajɫaɾɯndˈan
yaranmasını	jaɾanmasɯnˈɯ
reaksiyada	reaçsijadˈa
təhrifə	tæhrˈifæ
məntəqəni	mæntæɡænˈi
çəkdim	t͡ʃæçdˈim
çobanların	t͡ʃobanɫaɾˈɯn
araya	aɾajˈa
öyrənilməmişdir	œjrænilmæmiʃdˈir
etmişlər	etmiʃlˈær
qayalıqlarında	ɡajaɫɯɡɫaɾɯndˈa
yetərsiz	jetærsˈiz
döyüşçülər	dœjyʃt͡ʃylˈær
dəyişik	dæjiʃˈiç
vəzifəsidir	væzifæsidˈir
xəzər	xæzˈær
seriyasındakı	seɾijasɯndacˈɯ
izlərinə	izlæɾˈinæ
panelin	panelˈin
Balear	baleˈar
Ələsgərovun	ælæsɟæɾovˈun
Nibblz	nˈibblz
atabəy	atabˈæj
rəqib	ræɡˈib
məqsədlə	mæɡsˈædlæ
olaydan	oɫajdˈan
qalınlığında	ɡaɫɯnɫɯɯɯndˈa
qazanxana	ɡazanxanˈa
axtarışlarını	axtaɾɯʃɫaɾɯnˈɯ
qızından	ɡɯzɯndˈan
almalar	aɫmaɫˈar
sığınmış	sɯɯɯnmˈɯʃ
