မြင်း	mjɪ́ɴ
သီလရှင်	θìla̰ʃɪ̀ɴ
လကွယ်	la̰ɡwɛ̀
ဝန်စည်စလယ်	wʊ̀ɴzìzəlɛ̀
ဝင်း	wɪ́ɴ
ကင်ညာ	kɪ̀ɴɲà
ဝဆွဲ	wa̰sʰwɛ́
နဂါးမောက်သီး	na̰ɡámaʊʔθí
နိဒါန်း	nḭdáɴ
စာအုပ်	sàʔoʊʔ
ဟုတ်ကဲ့	hoʊʔkɛ̰
သစ္စာဖောက်	θɪʔsàpʰaʊʔ
သိပ္ပံဘွဲ့	θeɪʔpàɴbwɛ̰
သိခီဘုရား	θḭkʰìpʰəjá
အဖြေ	ʔəpʰjè
ပုဒ်မ	poʊʔma̰
ချစ်	t͡ɕʰɪʔ
ဝန်ရှင်တော်	wʊ̀ɴʃɪ̀ɴdɔ̀
လိမ်	lèɪɴ
ခရု	kʰəjṵ
ဩသဓ	ʔɔ́θəda̰
အလား	ʔəlá
ကော်	kɔ̀
ပန်တျာ	pàɴtəjà
ကုလားထိုင်	kələtʰàɪɴ
လက်ကိုင်ပဝါ	lɛʔkàɪɴpa̰wà
အစက်	ʔəsɛʔ
ပင်စင်	pɪ̀ɴsɪ̀ɴ
မရမာကြီး	məɹəmàd͡ʑí
မျက်ခွံ	mjɛʔkʰʊ̀ɴ
ခြေနင်း	t͡ɕʰènɪ́ɴ
ပြည်ထောင်စုနေ့	pjìdàʊɴzṵnḛ
ယင်ကောင်	jɪ̀ɴɡàʊɴ
မုန့်လက်ဆောင်း	mo̰ʊɴlɛʔsʰáʊɴ
တတ်	ɴ
ကြေးငွေ	t͡ɕéŋwè
အရေ	ʔəjè
မုန်ညင်းဖြူ	mòʊɴɲɪ́ɴpʰjù
အမြဲတမ်း	ʔəmjɛ́dáɴ
ဘက်	bɛʔ
မိတ်ကပ်	meɪʔkaʔ
အလုပ်ပိတ်ရက်	ʔəloʊʔpeɪʔjɛʔ
ဇီရာစေ့	zìjàsḛ
မျို	mjò
ကမ်းခြေ	káɴd͡ʑè
ဂါဘွန်	ɡàbʊ̀ɴ
ရှိုက်	ʃaɪʔ
အမေရိကန်	ʔəmèɹḭkàɴ
ခရင်း	kʰəjɪ́ɴ
ကျားကျားလျားလျား	t͡ɕád͡ʑájájá
တကာ	dəɡà
ရေးရေး	jéjé
ကျွန်းဆွယ်	t͡ɕʊ́ɴzwɛ̀
သူလျှို	ðəʃò
ကုန်းနှီး	kóʊɴn̥í
များများ	mjámjá
ဇီဝကမ္မဗေဒ	zìwa̰kàɴma̰bèda̰
အသည်း	ʔəθɛ́
ငု	ŋṵ
ဧကရာဇ်	ʔèɡəjɪʔ
မနက်	mənɛʔ
ကြွေ	t͡ɕwè
သတ္တုဗေဒ	θaʔtṵbèda̰
ဝိသေသလက္ခဏာ	wḭθèθa̰lɛʔkʰənà
အသတ်	ʔa̰θaʔ
သံလမ်းရထား	θàɴláɴjətʰá
စာဆို	sàzò
ဝေါဟာရဗေဒ	θaʔda̰bèda̰
စက်လှေကား	sɛʔl̥èɡá
ဘူးသီး	búθí
ပုပ်	poʊʔ
နွေရာသီ	nwèjàðì
ပသျှူး	pəʃú
ခရီးသည်	kʰəjíðè
ဒဿနဗေဒ	da̰θəna̰bèda̰
အုန်း	ʔóʊɴ
ပန်းခုနစ်မည်	páɴkʰənəmjì
ဆက်	sʰɛʔ
ရေနံ	jènàɴ
ထမင်းသုပ်	tʰa̰mɪ́ɴθoʊʔ
ဇာတ်	zaʔ
ရေ	jè
မဏိ	mənḭ
ကြက်သွန်ဖြူ	t͡ɕɛʔθʊ̀ɴbjù
တောင်း	táʊɴ
လစ်	lɪʔ
လင်းဇင်း	lɪ́ɴzɪ́ɴ
ကျွဲ	t͡ɕwɛ́
သူကောင်းပြု	θùɡáʊɴpjṵ
နေ့လယ်	nḛlɛ̀
လူဦးရေ	lùʔújè
လေလည်	lèlè
အနှီဟာ	ʔən̥ìhà
မော်ရီတေးနီးယား	mɔ̀ɹìténíjá
ရှား	ʃá
တိုင်းရင်းသား	táɪɴjɪ́ɴðá
ဆေးရှဲ	sʰéʃɛ́
ကြံ	t͡ɕàɴ
တချို့	tət͡ɕʰo̰
တော်လေးဝ	tɔ̀léwa̰
ဝှက်	ʍɛʔ
ဦးကြီး	ʔúd͡ʑí
အသည်းနှလုံး	ʔəθɛ́n̥əlóʊɴ
နွားနို့ခေါက်ဆွဲ	nwáno̰kʰaʊʔsʰwɛ́
ယို	jò
လက်ဆွဲသေတ္တာ	lɛʔsʰwɛ́θɪʔtà
ဒေသိယစကား	dèθḭja̰zəɡá
မီးယပ်ပညာ	míjaʔpjɪ̀ɴɲà
အရိုး	ʔəjó
လိပ်ခေါင်းရောဂါ	leɪʔɡáʊɴjɔ́ɡà
ဘေး	bé
စာ	sà
ဝါကျ	weɪʔt͡ɕa̰
ကမန်	ka̰màɴ
ပီရူး	pìɹú
ဂေါ်မိတ်	ɡɔ̀meɪʔ
ထိ	tʰḭ
ဖျာ	pʰjà
နယူးယောက်	nəjújaʊʔ
မြုံ	mjòʊɴ
အရီးလေး	ʔəjílé
ဘေးဆိုး	bézó
လုပ်ရတ်	loʊʔjaʔ
အစိမ်း	ʔəséɪɴ
တိပိဋက	tḭpḭtəka̰
အပ်ချုပ်စက်	ʔaʔt͡ɕʰoʊʔsɛʔ
အချိုး	ʔət͡ɕʰó
အဆောင်	ʔəsʰàʊɴ
ကျမ	t͡ɕəma̰
ကောင်	kàʊɴ
အခိုး	ʔəkʰó
အရှင်	ʔəʃɪ̀ɴ
ဦလန်ဘာတာ	ʔùlàɴbàtà
အကွ	ʔəkwa̰
အမြီး	ʔəm̥í
ပြည်နယ်	pjìnɛ̀
သား	θá
သွားတိုက်ဆေး	θwádaɪʔsʰé
ချောက်	t͡ɕʰaʊʔ
နေ့လယ်စာ	nḛlɛ̀zà
တက္ကဗေဒ	tɛʔka̰bèda̰
သုဒ္ဒကြိယာ	θoʊʔda̰kəɹḭjà
ပါလက်စတိုင်း	pàlɛʔsətáɪɴ
တရားရုံး	təjájóʊɴ
မှန်ပါ့ဘုရား	m̥àɴba̰pʰəjá
ကျောက်ကြီး	t͡ɕaʊʔt͡ɕí
ဘလောက်	ba̰laʊʔ
နှစ်ဆန်းတစ်ရက်နေ့	n̥ɪʔsʰáɴtəjɛʔnḛ
အမဲလိုက်	ʔəmɛ́laɪʔ
ငါးမန်း	ŋəmáɴ
ပါကစ္စတန်	pàkɪʔsətàɴ
မသိပါဘူး	ma̰θḭbàbú
ဖဝါး	pʰəwá
လစ်ဗျား	lɪʔbjá
ကုန်သည်	kòʊɴðè
ဒူး	dú
ခန်တမာ	kʰàɴtəmà
အခွန်	ʔəkʰʊ̀ɴ
မွဲ	mwɛ́
လျှပ်	l̥jaʔ
ဘူရွန်ဒီ	bùɹʊ̀ɴdì
မတ်	maʔ
ကိတ်မုန့်	keɪʔmo̰ʊɴ
ဒေါ်လာ	dɔ̀là
မန်ကျည်း	məd͡ʑí
သစ်သီးရည်	θɪʔθíjè
အကျဉ်း	ʔət͡ɕɪ́ɴ
တင်းနစ်	tɪ́ɴnɪʔ
ကြာဆံ	t͡ɕàzàɴ
ဘုရားအလောင်း	pʰəjáʔəláʊɴ
ဘာသာစကား	bàθàzəɡá
ပုဂံ	bəɡàɴ
လောဘ	lɔ́ba̰
ပခုက္ကူ	pəkʰùkkù
ဌေး	tʰé
ပစ္စယာ	pjɪʔsəjà
ဖောက်	pʰaʊʔ
နှစ်ရာ	n̥əjà
ကလီစာ	kəlìzà
ညီလာခံ	ɲìlàɡàɴ
ငရဲသား	ŋəjɛ́ðá
ပက်ကျိ	pɛʔt͡ɕḭ
မောင်း	máʊɴ
ကျွန်တော်တို့	t͡ɕʊ̀ɴdɔ̀do̰
နယုန်	nəjòʊɴ
ကို	ɡò
ကိန္နရီ	kèɪɴnəjì
မျက်နှာသုတ်ပဝါ	mjɛʔn̥àθoʊʔpa̰wà
အဇာဘိုင်ဂျန်	ʔa̰zəbàɪɴd͡ʑàɴ
ရှိုး	ʃó
ဖေဖော်ဝါရီ	pʰèpʰɔ̀wàɹì
ဗိမာန်	beɪʔmàɴ
စစ်ကဲ	sɪʔkɛ́
ဒိုင်နိုဆော	dàɪɴnòsʰɔ́
သိကြား	ðəd͡ʑá
အမျိုးသားသီချင်း	ʔəmjóðáθət͡ɕʰɪ́ɴ
သီဂိရိယ	θìɡḭɹḭja̰
ပဝေဏီ	pəwènì
ခြေ	t͡ɕʰè
ပိန်းဥ	péɪɴʔṵ
ယမ်းတောင့်	jáɴda̰ʊɴ
အဋ္ဌမ	ʔaʔtʰəma̰
ဝိဇယပူရ	wḭzəja̰pùɹa̰
ကျောက်သင်ပုန်း	t͡ɕaʊʔθɪ̀ɴbóʊɴ
တိဿ	teɪʔθa̰
ကံသုံးပါး	kàɴθóʊɴbá
ခွေးမသား	kʰwéma̰ðá
ဝါစင်္ဂ	wàzɪ̀ɴɡa̰
ပညာကျော်	pjɪ̀ɴɲàd͡ʑɔ̀
ကြောင့်	d͡ʑa̰ʊɴ
မဲဆန္ဒ	mɛ́sʰàɴda̰
ဗျိုင်း	bjáɪɴ
ဖော်ပြ	pʰɔ̀pja̰
ဆိုမာလီယာ	sʰòmàlìjà
လွိုင်ကော်	lwàɪɴkɔ̀
ပဋိသန္ဓေ	pədḭθàɴdè
မိုးကာအင်္ကျီ	móɡàʔɪ̀ɴd͡ʑì
ဟိုက်ဒရိုဂျင်	haɪʔdəɹòd͡ʑɪ̀ɴ
စာလုံးပေါင်းသတ်ပုံ	səlóʊɴbáʊɴθaʔpòʊɴ
သဒ္ဒဗေဒ	θaʔda̰bèda̰
စင်ကာပူ	sɪ̀ɴɡəpù
လက်တင်	lɛʔtɪ̀ɴ
နည်းနည်း	nɛ́nɛ́
ထွေး	tʰwé
ပတ်	paʔ
လက်နှိပ်စက်	lɛʔn̥eɪʔsɛʔ
တပ်ကြပ်ကြီး	taʔt͡ɕaʔt͡ɕí
အပ်ချည်	ʔaʔt͡ɕʰì
ဗျာဓိ	bjàdḭ
သရုပ်ဆောင်	θəjoʊʔsʰàʊɴ
ဓာတ်ဆီ	daʔsʰì
ကြည့်မြင်တိုင်	t͡ɕḭmjɪ̀ɴdàɪɴ
ကြော်ငြာ	t͡ɕɔ̀ɲà
ဟူ	hù
ရေနံဆီ	jènàɴzì
ကူးတို့	ɡədo̰
တစ်ထောင်	tətʰàʊɴ
သက်ဆိုင်	θɛʔsʰàɪɴ
ဝှေးစေ့	ʍézḭ
ဥက္ကာခဲ	ʔoʊʔkàɡɛ́
ဒုတိယအရာခံဗိုလ်	dṵtḭja̰ʔəjàɡàɴbò
လက္ခဏာ	lɛʔkʰənà
ကျဉ်းကျပ်	t͡ɕɪ́ɴt͡ɕaʔ
ပြော	pjɔ́
နတ်နန်း	naʔnáɴ
သီအိုရီ	θìʔòɹì
နာဂဒေဝ	nàɡa̰dèwa̰
ကိတ်ဗာဒီ	keɪʔbədì
ခြမ်း	t͡ɕʰáɴ
မီးပွိုင့်	mípwa̰ɪɴ
သီတင်းသီလ	ðədɪ́ɴθìla̰
ပါတာနီ	pàtànì
ကနုတ်	kənoʊʔ
ဝမ်းတဖိုး	wʊ́ɴda̰pʰó
ဘီလာရုဇ်	bìlàɹùz
ရွှေကြည်	ʃwèd͡ʑì
ဖုဿ	pʰoʊʔθa̰
ဗီယင်ကျန်း	bìjɪ̀ɴt͡ɕáɴ
သစ်ပင်	θɪʔpɪ̀ɴ
ခရမ်းသီး	kʰəjáɴθí
လမ်း	láɴ
ကောင်းကောင်း	káʊɴɡáʊɴ
မုန့်တီ	mo̰ʊɴtì
ဘယ်နှစ်	bɛ̀n̥ə
ဒုဗ္ဘိက္ခန္တရကပ်	doʊʔbeɪʔkʰàɴtəɹa̰kaʔ
ဆော်ဒီအာရေဗျ	sʰɔ̀dìʔàɹèbja̰
ဟင်္သာတ	hɪ̀ɴθəta̰
ပတ်တီး	paʔtí
ဆီးရီးယား	sʰíɹíjá
ကရဝိက်	kəɹa̰weɪʔ
သံပန်း	θàɴbáɴ
မုန်လာ	mòʊɴlà
ဂျေရုဆလင်	d͡ʑèɹṵsʰa̰lɪ̀ɴ
သူဖုန်းစား	θùpʰóʊɴsá
မွာချီး	mwàt͡ɕʰí
ဒီဃ	dìɡa̰
လဆုတ်	la̰zoʊʔ
မွန်တီနီဂရိုး	mʊ̀ɴtìnìɡəɹó
မြေအောက်	mjèʔaʊʔ
ပုံတူ	pòʊɴdù
ဆင်ဝင်	sʰɪ̀ɴwɪ̀ɴ
ဝိဇ္ဇာ	weɪʔzà
လေသာပေါက်	lèðàbaʊʔ
ထမင်းဆိုင်	tʰəmɪ́ɴzàɪɴ
ကျောင်းနေဖက်	t͡ɕáʊɴnèbɛʔ
ချည်	t͡ɕʰì
ပယောဂ	pəjɔ́ɡa̰
ပုရစ်	pəjɪʔ
ပန်းတော့	páɴdɔ̰
ဂိတ်ဆုံး	ɡeɪʔsʰóʊɴ
ဟရိဘုဉ္ဇ	həɹḭbòʊɴza̰
နည်းပညာ	nípjɪ̀ɴɲà
စို	sò
အိတ်	ʔeɪʔ
ရွှေထမင်း	ʃwètʰəmɪ́ɴ
နားလည်	nálɛ̀
နာရီ	nàjì
ဖက်ဝန်း	pʰɛʔwʊ́ɴ
အန်ကယ်	ʔàɴkɛ̀
ဇီဝဓာတုဗေဒ	zìwa̰dàtṵbèda̰
မုခ်	moʊʔ
ပါရှား	pàʃá
မှတ်ကျောက်	m̥aʔt͡ɕaʊʔ
ဗက်တီးရီးယား	bɛʔtíɹíjá
သူအို	θùʔò
နှုတ်သီး	n̥oʊʔθí
မိုင်	màɪɴ
အစားအစာ	ʔəsáʔəsà
နမီးဘီးယား	na̰míbíjá
တစ်	tɪʔ
သူတို့	θùdo̰
မယ်	mɛ̀
ရှေ့နေ	ʃḛnè
မြံမာ	mjàɴmà
တြိဂံ	tɹḭɡàɴ
ဓားစာခံ	dəzàɡàɴ
သစ်သီး	θɪʔθí
ဂယ်လက်ဆီ	ɡɛ̀lɛʔsʰì
စီး	sí
ညစ်	ɲɪʔ
မှန်ပြောင်း	m̥àɴbjáʊɴ
တိုးတက်ခြင်း	tótɛʔd͡ʑɪ̀ɴ
အကုန်	ʔəkòʊɴ
စားစရာ	sázəjà
ဂရပ်	ɡəɹaʔ
ရှေ့ရုံး	ʃḛjóʊɴ
သရုပ်	θəjoʊʔ
အင်းသား	ʔɪ́ɴðá
ယိုးဒယား	jódəjá
အတွင်းခံ	ʔətwɪ́ɴɡàɴ
အ	ʔa̰
ဎရေမှုတ်	da̰jèm̥oʊʔ
မြင်းစားဂျုံ	mjɪ́ɴzád͡ʑòʊɴ
ဥပုသ်	ʔṵboʊʔ
ဒါန	dàna̰
နိဒ္ဒေသ	neɪʔdèθa̰
ဘဏ်တိုက်	bàɴdaɪʔ
မိန်းမ	méɪɴma̰
ဖိနပ်	pʰənaʔ
ရုရှား	ɹṵʃá
နှင်းပွင့်	n̥ɪ́ɴbwɪ̰ɴ
တောင်	tàʊɴ
သပ်	θaʔ
ချစ်ခင်	t͡ɕʰɪʔkʰɪ̀ɴ
အလောင်း	ʔəláʊɴ
ပန်းအိ	páɴʔḭ
စ	sa̰
မည်သူ	mìðù
အဖော်	ʔəpʰɔ̀
ကွာစေ့	kwàsḭ
ရေကြီးခြင်း	jèt͡ɕíd͡ʑɪ́ɴ
ပေါက်တူး	paʊʔtú
ဖယောင်း	pʰəjáʊɴ
သိက္ခါ	θeɪʔkʰà
ကဿပ	kaʔθəpa̰
အသိုက်	ʔəθaɪʔ
နံနက်စာ	nàɴnɛʔsà
မရီး	məjí
အရောင်တင်မှုန့်	ʔəjàʊɴtɪ̀ɴm̥o̰ʊɴ
ခွေး	kʰwé
နာတာလူးပွဲ	nàtàlúbwɛ́
ဥစ္စာ	ʔoʊʔsà
ဝေလငါး	wèla̰ŋá
လိမ်း	léɪɴ
ကိုဘော့	kòbɔ̰
ကွမ်းတောင်	kʊ́ɴdàʊɴ
သွေ	θwè
ပုံတူကား	pòʊɴdùká
နောက်ကျ	naʊʔt͡ɕa̰
ငါးသလောက်ပေါင်း	ŋəθəlaʊʔbáʊɴ
လျှင်	l̥jɪ̀ɴ
စန္ဒြမာသ	sàɴdɹa̰màθa̰
လိုက်ဘေးရီးယား	laɪʔbéɹíjá
ကစား	ɡəzá
ထိမ်းမြား	tʰéɪɴmjá
သူငယ်မ	θəŋɛ̀ma̰
အရက်	ʔəjɛʔ
အမှုန့်	ʔəm̥o̰ʊɴ
ကော့စတာရီကာ	kɔ̰sətàɹìkà
သဒ္ဒါဆယ်ပါး	ðədàsʰɛ̀bá
သော်တာ	θɔ̀dà
သည်မှာ	ðìm̥à
ချော	t͡ɕʰɔ́
လွန်ဆွဲ	lʊ̀ɴsʰwɛ́
အကျဉ်းထောင်	ʔət͡ɕɪ́ɴdàʊɴ
ဂီတ	ɡìta̰
အဂ္ဂမဟာသေနာပတိ	ʔɛʔɡa̰məhàθènàpətḭ
အာနုဘော်	ʔànṵbɔ̀
ပြုံယမ်း	pjòʊɴjáɴ
စာမျက်နှာ	sàmjɛʔn̥à
ဦးခိုက်	ʔúkʰaɪʔ
မီးခြစ်	míd͡ʑɪʔ
နှာခေါင်း	n̥əkʰáʊɴ
ဗလာစာအုပ်	bəlàsàʔoʊʔ
အတွဲ	ʔətwɛ́
မင်	m̥ɪ̀ɴ
အသက်ဦးဆံပိုင်	ʔəθɛʔʔúsʰàɴbàɪɴ
ဣ	ʔḭ
မြွေ	mwè
တလွဲ	təlwɛ́
တွေး	twé
သင်ပန်း	θɪ̀ɴbáɴ
ပလတ်	pəlaʔ
ဒဿနိကဗေဒ	da̰θənḭka̰bèda̰
အာကာသစိုး	ʔàkàθa̰zó
သိဒ္ဓိ	θeɪʔdḭ
လမ်းသရဲ	láɴθəjɛ́
ဒိန်ချဉ်	dèɪɴd͡ʑɪ̀ɴ
နာရဒဘုရား	nàɹəda̰pʰəjá
အဓိက	ʔa̰dḭɡa̰
ဘုရားကျောင်း	pʰəjád͡ʑáʊɴ
ရေနဂါး	jènəɡá
အာဃာတ	ʔàɡàta̰
ကြာချည်	t͡ɕàt͡ɕʰì
သွေးအုပ်စု	θwéʔoʊʔsṵ
ပွား	pwá
လဲ	lɛ́
အင်း	ʔɪ́ɴ
ယင်းမာ	jɪ́ɴmà
အနိစ္စ	ʔənèssa̰
စရိတ်	zəjeɪʔ
အထိန်း	ʔətʰéɪɴ
ဗီဇ	bìza̰
ခေါင်းဆောင်	ɡáʊɴzàʊɴ
မြေနုကျွန်းပေါ်	mjènṵt͡ɕʊ́ɴbɔ̀
ကားရုံ	kájòʊɴ
လိပ်ကျောက်	leɪʔt͡ɕaʊʔ
အဆွေး	ʔəsʰwé
လက်ဖက်ရည်ဆိုင်	ləpʰɛʔjèzàɪɴ
ဆက်သွယ်ရေး	sʰɛʔθwɛ̀jé
မဒါဂတ်စကား	ma̰dàɡaʔsəká
ကာလသား	kàləðá
ဟင်း	hɪ́ɴ
ဘူး	bú
ဆွေခုနစ်ဆက်မျိုးခုနစ်ဆက်	sʰwèkʰənəzɛʔmjókʰənəzɛʔ
ဇနီး	zəní
မဲပေး	mɛ́pé
တရားခံ	təjəkʰàɴ
မိုင်လို	màɪɴlò
ပင်လယ်အော်	pɪ̀ɴlɛ̀ʔɔ̀
ဝင်	wɪ̀ɴ
တည်	tì
ရှက်	ʃɛʔ
အလုပ်သမားနေ့	ʔəloʊʔθəmánḛ
ကွမ်းယာ	kʊ́ɴjà
အာဝါဟဝိဝါဟ	ʔàwàha̰wḭwàha̰
ခြေထောက်	t͡ɕʰèdaʊʔ
မြင်းမ	mjɪ́ɴma̰
ကပွဲရုံ	ka̰bwɛ́jòʊɴ
ဆောင်းဦးရာသီ	sʰáʊɴʔújàðì
ပျော်ပျော်	pjɔ̀bjɔ̀
သင်္ဘော	θɪ́ɴbɔ́
ဖို့	pʰo̰
မဆလာ	ma̰sʰəlà
သံလိုက်	θàɴlaɪʔ
နိယာမ	nḭjàma̰
အမွေခံ	ʔəmwèkʰàɴ
ကောင်တာ	kàʊɴtà
ယသောဓရာ	ja̰θɔ́dəjà
အလီ	ʔəlì
မိုး	mó
ဘီယာ	bìjà
အခွင့်ထူးခံ	ʔəkʰwɪ̰ɴtʰúɡàɴ
ဒန်ပူ	dəbù
သူသူငါငါ	θùθùŋàŋà
ဇလုံ	zəlòʊɴ
ဈေးကြီး	zét͡ɕí
မင်္ဂလာပါ	mɪ̀ɴɡəlàbà
စင်း	sɪ́ɴ
ချွေး	t͡ɕʰwé
အရိုးစု	ʔəjózṵ
စခန်း	səkʰáɴ
မှတ်တိုင်	m̥aʔtàɪɴ
ဇေယျ	zèja̰
စက်ရုံ	sɛʔjòʊɴ
နေပြည်တော်	nèpjìdɔ̀
ပီတိ	pìtḭ
မီးသုံးပါး	míθóʊɴbá
ဖုဿဘုရား	pʰoʊʔθa̰pʰəjá
ဂြိုဟ်	d͡ʑò
ဓမ္မတာဝန်	dəmədàwʊ̀ɴ
ပဉ္စကလျာဏီ	pjɪ̀ɴsa̰kələjànì
ကျွန်မ	t͡ɕʊ̀ɴma̰
သူတစ်လူငါတစ်မင်း	θùtəlùŋàtəmɪ́ɴ
အရိမဒ္ဒနာပူရ	ʔa̰ɹḭmàddənàpùɹa̰
တတ်	taʔ
ဒုတိယဗိုလ်ချုပ်ကြီး	dṵtḭja̰bòd͡ʑoʊʔd͡ʑí
စိုက်ပျိုးရေး	saɪʔpjójé
ဗိုလ်ကျ	bòt͡ɕa̰
ထိုင်မသိမ်း	tʰàɪɴməθéɪɴ
သားရေ	θəjè
မူလီ	mùlì
ပိုက်ဆံ	paɪʔsʰàɴ
မြန်မာ့	mjàɴma̰
သိဒ္ဓတ်မင်း	θeɪʔdaʔmɪ́ɴ
အကျော်	ʔət͡ɕɔ̀
ထွက်	tʰwɛʔ
မီးပွား	míbwá
ကြောင်ကလေး	t͡ɕàʊɴɡəlé
သားပိုက်ကောင်	θábaɪʔkàʊɴ
အဖ	ʔəpʰa̰
ကာရန်	kəjàɴ
ကြီးကြီး	t͡ɕíd͡ʑí
ယဉ်	jɪ̀ɴ
အမျိုးအနွယ်	ʔəmjóʔənwɛ̀
ဘိန်းမုန့်	béɪɴmo̰ʊɴ
ခရီး	kʰəjí
ဗို့အား	bo̰ʔá
ကပ္ပလီ	kaʔpəlì
ပင်စည်	pɪ̀ɴzì
မာလာ	màlà
ကျန်း	t͡ɕáɴ
အဉ္ဇလီ	ʔɪ̀ɴzəlì
အဖွဲ့	ʔəpʰwɛ̰
နှစ်ချုပ်	n̥ɪʔd͡ʑoʊʔ
ဝီစကီ	wìsəkì
ယမနေ	jəmənè
မဟာလတာ	məhàlətà
မြေး	mjé
ကုန်ကုန်	kòʊɴɡòʊɴ
မျောက်လုတ်	mjaʊʔloʊʔ
မော်တော်ဆိုင်ကယ်	mɔ̀tɔ̀sʰàɪɴkɛ̀
ငရဲကြီးရှစ်ထပ်	ŋəjɛ́d͡ʑíʃɪʔtʰaʔ
ထာဝရ	tʰàwəja̰
ရေဝတ	ɹèwəta̰
တောကြက်မောက်	tɔ́t͡ɕɛʔmaʊʔ
ခြင်္သေ့မ	t͡ɕʰɪ̀ɴðḛma̰
မြန်မြန်	mjàɴmjàɴ
ကြိယာ	kəɹḭjà
စေတီ	zèdì
အချက်	ʔət͡ɕʰɛʔ
လက်ပတ်နာရီ	lɛʔpaʔnàjì
ကောင်မလေး	kàʊɴma̰lé
ကျောက်ပွင့်သုပ်	t͡ɕaʊʔpwɪ̰ɴθoʊʔ
ပေး	pé
လောက်	laʊʔ
မက်မွန်	mɛʔmʊ̀ɴ
ဘန်ကောက်	bàɴkaʊʔ
ဂေါတမ	ɡɔ́təma̰
ဒီဗီဒီ	dìbìdì
သူနာတင်ကား	θùnàtɪ̀ɴká
အမြဲ	ʔəmjɛ́
အညစ်အကြေး	ʔəɲɪʔʔət͡ɕé
ပါးစပ်	pəzaʔ
ဆရာဝန်	sʰa̰jàwʊ̀ɴ
ကောဏဂုံဘုရား	kɔ́nəɡòʊɴpʰəjá
သစ်ကြံပိုး	θɪʔd͡ʑəbó
ပြတင်းပေါက်	bədɪ́ɴbaʊʔ
လှုံ	l̥òʊɴ
ရွှေချီ	ʃwèd͡ʑì
ဝီရ	wìja̰
ကမ္ဗလာ	ɡəbəlà
နိခါတကဗေဒ	nḭkʰàtəka̰bèda̰
ဆရာလေး	sʰəjàlé
ငါတို့	ŋàto̰
ဖခင်	pʰa̰ɡɪ̀ɴ
ယဲ့ယဲ့	jɛ̰jɛ̰
အချို့	ʔət͡ɕʰo̰
ဝေါဟာရ	wɔ́hàɹa̰
ပဉ္စရူပ	pjɪ̀ɴsa̰ɹùpa̰
ဖုန်	pʰòʊɴ
ဒါ	dà
ပြ	pja̰
စစ်ဗိုလ်	sɪʔbò
ဗိုလ်လောင်း	bòláʊɴ
ကော်ရည်ခေါက်ဆွဲ	kɔ̀jìkʰaʊʔsʰwɛ́
အမေး	ʔəmé
ဝက်ဆီ	wɛʔsʰì
ကွန်ဂို	kʊ̀ɴɡò
အစီအလျဉ်	ʔəsìʔəljɪ̀ɴ
ပေါင်	pàʊɴ
ဆိပ်	sʰeɪʔ
ကျေးဇူးရှင်	t͡ɕézúʃɪ̀ɴ
သွန်းသွန်း	θʊ́ɴðʊ́ɴ
အဖြူ	ʔəpʰjù
သစ်ဆိမ့်	θɪʔsʰḛɪɴ
မတော်တဆ	mətɔ̀təsʰa̰
ပွတ်	pʊʔ
လေဖုတ်	lèpʰoʊʔ
ပြာသို	pjàðò
မြင်းလှည်း	mjɪ́ɴl̥ɛ́
ပအို့ဝ်	pəʔo̰
နားကွင်း	náɡwɪ́ɴ
ပုံသေနည်း	pòʊɴðèní
ခွန်း	kʰʊ́ɴ
ရှင်	ʃɪ̀ɴ
အင်္ကျီ	ʔɪ́ɴd͡ʑì
လှည့်	l̥ɛ̰
တာလုဇ	tàlṵza̰
တူ	tù
ထောင်မှူး	tʰàʊɴm̥ú
ပုဒ်ဖြတ်	poʊʔpʰjaʔ
နိဗ္ဗာန်	neɪʔbàɴ
ရာဇဂုရု	jàza̰ɡṵɹṵ
ပဒေသရာဇ်	bədèθəɹɪʔ
ဂမ်ဘီယာ	ɡàɴbìjà
ကျွန်းကလေး	t͡ɕʊ́ɴɡəlé
သက်ဦးဆံပိုင်	θɛʔʔúsʰàɴbàɪɴ
ချေ	t͡ɕʰè
အဖွဲ့ချုပ်	ʔəpʰwɛ̰d͡ʑoʊʔ
ရေကူးကန်	jèkúɡàɴ
အမတ်	ʔəmaʔ
ရာမ	jàma̰
ယမ်းမှုန့်	jáɴm̥o̰ʊɴ
အပြိုင်	ʔəpjàɪɴ
စောက်	saʊʔ
တလိုင်း	təláɪɴ
အသက်	ʔəθɛʔ
အရိပ်	ʔəjeɪʔ
သည်းခြေ	θíd͡ʑè
ကမ္ဘောဒီးယား	kàɴbɔ́díjá
ဒေဝ	dèwa̰
သံခွာ	θàɴkʰwà
ပိဋကတ်တိုက်	bḭdəɡaʔdaɪʔ
စုလျား	sṵjá
အသိပညာရှင်	ʔəθḭpjɪ̀ɴɲàʃɪ̀ɴ
ညကလေး	ɲa̰kəlé
ချေးထုပ်	t͡ɕʰétʰoʊʔ
ကြိုး	t͡ɕó
သူငယ်တန်း	θùŋɛ̀dáɴ
အိပ်ရာ	ʔeɪʔjà
ယုတ္တိဗေဒ	joʊʔtḭbèda̰
ဝိဟာရ	wḭhàja̰
ငါးမြစ်ချင်း	ŋəmjɪʔt͡ɕʰɪ́ɴ
ခေါင်းပေါင်း	ɡáʊɴbáʊɴ
ယောက်မ	jáʊɴma̰
