miyako	ˈmiˌəˌkoʊ
capstan	ˈkæpstən
klapp	ˈkɫæp
strangeness	ˈstɹeɪndʒnəs
lavere	ɫɑˈvɛɹeɪ
saturate	ˈsætʃɝˌeɪt
regretful	ɹɪˈɡɹɛtfəɫ
borris	ˈbɔɹɪs
simulcast	ˈsaɪmjəɫˌkæst,ˈsɪmjəɫˌkæst
margret's	ˈmɑɹɡɹɛts
cathay	kæˈθeɪ
aborting	əˈbɔɹtɪŋ
episcopalian	ɪˌpɪskəˈpeɪɫiən,ɪˌpɪskəˈpeɪɫjən
derby	ˈdɝbi
revilla	ɹɛˈvɪɫə
coria	ˈkɔɹiə
clingerman	ˈkɫɪŋɝmən
gusto	ˈɡəsˌtoʊ
mccartin	məˈkɑɹtən
certo	ˈtʃɛɹtoʊ
matic	ˈmætɪk
morgun	ˈmɔɹɡən
ager	ˈeɪdʒɝ
subspacing	ˈsəbˌspeɪsɪŋ
guerard	ɡɝˈɑɹd
malinski	məˈɫɪnski
australian's	ɔˈstɹeɪɫjənz
swadley	ˈswɑdɫi
insufficiently	ˌɪnsəˈfɪʃəntɫi
grode	ˈɡɹoʊd
franchised	ˈfɹæntʃaɪzd
gardinier	ˈɡɑɹdɪniɝ,ˈɡɑɹdɪnjɝ
tracey	ˈtɹeɪsi
tolle	ˈtɑɫ
kincheloe	ˈkɪntʃɪɫoʊ
plyler	ˈpɫaɪɫɝ
stuber	ˈstubɝ
googe	ˈɡudʒ
bonifacio	ˌbɑnɪˈfeɪsioʊ
stationer	ˈsteɪʃənɝ
grudge	ˈɡɹədʒ
helminski	hɪɫˈmɪnski
radditz	ˈɹædɪts
shuchman's	ˈʃəkmənz
maglaj	ˈmɑˌɡɫaɪ,ˈmæˌɡɫaɪ
newer	ˈnuɝ
megan's	ˈmeɪɡənz
moll	ˈmɑɫ
cockrell	ˈkɑkɹəɫ
wallenberg	ˈwɔɫənbɝɡ
wasilewski	vəsɪˈɫɛfski
stonge	ˈstɑndʒ
okeeffe	oʊˈkif
lek	ˈɫɛk
cammarata	kɑmɑˈɹɑtə
rohrbaugh	ˈɹɔɹbaʊ
flagship	ˈfɫæɡˌʃɪp
motioning	ˈmoʊʃənɪŋ
canary	kəˈnɛɹi
larzelere	ɫɝˈzɛɫɝ
terrel	ˈtɛɹəɫ
hagadorn	ˈhæɡədɔɹn
song's	ˈsɔŋz
ballance	ˈbɑɫəns
polidoro	poʊɫiˈdɔɹoʊ
that'd	ˈðætɪd
misek	ˈmɪsɛk
jezek	ˈjɛzɛk
neises	ˈnizɪz
matsukawa	ˌmɑtˌsuˈkɑwə
triolo	tɹiˈoʊɫoʊ
gaia	ˈɡaɪə
chaw	ˈtʃɔ
heberle	ˈhɛbɝəɫ
martucci	mɑɹˈtutʃi
printouts	ˈpɹɪnˌtaʊts
catterton	ˈkætɝtən
katzin	ˈkætsɪn
pyeatt	ˈpaɪət
sherin	ˈʃɛɹɪn
piggee	ˈpɪˈɡi
bergren	ˈbɝɡɹɛn
shields	ˈʃiɫdz
padding	ˈpædɪŋ
dentists	ˈdɛntɪsts,ˈdɛntəsts
bestul	ˈbɛstəɫ
koral	ˈkɔɹəɫ
philby	ˈfɪɫbi
acts	ˈækts,ˈæks
beloit	bɪˈɫɔɪt
rosalie	ˈɹoʊzəɫi
newport	ˈnupɔɹt
shanti	ˈʃænti
bousman	bəsˈmæn
meneely	mɪˈniɫi
semis	ˈsɛmaɪz
mihalek	ˈmɪhəɫɛk
denison	ˈdɛnɪsən
chemie	ˈtʃɛmi
span's	ˈspænz
caricatured	kɝˈɪkətʃɝd
leaphart	ˈɫipˌhɑɹt
schake	ˈʃeɪk
blinder's	ˈbɫaɪndɝz
son-of-a-bitch	ˈsənəvəˌbɪtʃ
nyholm	ˈnaɪhoʊɫm
zuganov	ˈzuɡəˌnɔf,ˈzuɡəˌnɔv
homepage	ˈhoʊmˌpeɪdʒ
fondest	ˈfɑndəst
patek	ˈpɑtɛk
unallocated	əˈnæɫəˌkeɪtɪd
rajaratnam	ɹɑdʒɝˈɑtnɑm
duey	ˈdui,ˈdjui
alig	ˈæɫɪɡ
raincoat	ˈɹeɪnˌkoʊt
klinghoffer	ˈkɫɪŋˌhɔfɝ
countermove	ˈkaʊntɝˌmuv
lander	ˈɫændɝ
segmentation	ˌsɛɡmənˈteɪʃən
morioka	mɔɹiˈoʊkə
pawelski	pɑˈvɛɫski
modernization	ˌmɑdɝnəˈzeɪʃən,ˌmɑdɝnaɪˈzeɪʃə
stoutly	ˈstaʊtɫi
rhyner	ˈɹaɪnɝ
penning	ˈpɛnɪŋ
roldan	ˈɹoʊɫdən
mccrystal	məˈkɹɪstəɫ
jesmer	ˈdʒɛsəmɝ
parretti's	pɝˈɛtis
prenger	ˈpɹɛndʒɝ
francom	ˈfɹæŋkɑm
casad	ˈkæsəd
surrency	ˈsɔɹənsi
orzechowski	ɔɹzɪˈhɔfski
lau	ˈɫaʊ
redmund	ˈɹɛdmənd
druckenmiller	ˈdɹəkɪnˌmɪɫɝ
languishes	ˈɫæŋɡwɪʃɪz
slattery	ˈsɫætɝi
fairman	ˈfaɪɹmən
bialas	biˈɑɫəs
observable	əbˈzɝvəbəɫ
seagrams	ˈsiɡɹəmz
carriger	ˈkæɹɪdʒɝ
khabarovsk	ˌkæbɝˈɑfsk
walked	ˈwɔkt
hochmuth	ˈhɑkˌmuθ
weill's	ˈwaɪɫz
cayer	ˈkeɪɝ
silvernail	ˈsɪɫvɝˌneɪɫ
lorette	ɫɔˈɹɛt
resort	ɹiˈsɔɹt,ɹɪˈzɔɹt,ɹiˈzɔɹt
weik	ˈwik
slayter	ˈsɫeɪtɝ
cotty	ˈkɑti
buenos-aires	ˈbweɪnəˈsɛɹ,ˌbweɪnoʊˈseɪɹ,ˌbweɪnoʊˈseɪɹis,ˈbweɪnəˈseɪɹis
garonzik	ɡɝˈɑnzɪk
hoaglin	ˈhoʊɡɫɪn
youngsters	ˈjəŋstɝz
uwe	ˈju
schupbach	ˈʃəpˌbɑk
claassen	ˈkɫɑsən
gussie	ˈɡəsi
aux	ˈoʊ
puritanism	ˈpjʊɹətəˌnɪzəm
walden	ˈwɔɫdən
demov	ˈdɛmɑv
beare	ˈbɪɹ
bliss	ˈbɫɪs
kobylinski	kəbɪˈɫɪnski
specimens	ˈspɛsəmənz
employed	ɪmˈpɫɔɪd,ɛmˈpɫɔɪd
mascia	ˈmɑsˌtʃɑ
lenon	ˈɫɛnən
sligar	ˈsɫɪɡɝ
we'd	ˈwid
conrac	ˈkɑnɹæk
teradata	ˌtɛɹəˈdɑtə
abuladze	ˌæbjuˈɫædzi
robocop	ˈɹoʊboʊˌkɑp
schappell	ˈʃæpəɫ
cankers	ˈkæŋkɝz
crunkleton	ˈkɹəŋkəɫtɑn
lexiphonic	ɫɛksəˈfɔnək
publisher's	ˈpəbɫɪʃɝz
leaker	ˈɫikɝ
non-binding	ˈnɑnˈbaɪndɪŋ
lopez's	ˈɫoʊpɛzɪz
stys	ˈstɪs
tischer	ˈtɪʃɝ
mangine	mɑŋˈɡini
kreitzberg	ˈkɹaɪtsbɝɡ
einar	ˈaɪnɝ
bucknam	ˈbəknəm
smilgis	ˈsmɪɫɡɪz,ˈsmɪɫdʒɪz
shireman	ʃɪˈɹeɪmən
zia	ˈziə
pumpkin	ˈpəmkɪn,ˈpəmpkɪn
moths	ˈmɔθs
bertelson	ˈbɝtɪɫsən
pardo	ˈpɑɹdoʊ
forest	ˈfɔɹəst,ˈfɔɹɪst
bold	ˈboʊɫd
chessher	ˈtʃɛʃɝ
mckibben	məˈkɪbən
sawa	ˈsɔwə
lawmakers	ˈɫɔˌmeɪkɝz
galina	ɡəˈɫinə
leech	ˈɫitʃ
tomerlin	ˈtɑmɝɫɪn
denio	ˈdinioʊ
artists'	ˈɑɹtɪsts
europewide	ˈjʊɹəpˈwaɪd
dambrosia	dɑmˈbɹoʊsiə
goodpaster	ˈɡʊdˌpæstɝ
oils	ˈɔɪɫz
stum	ˈstəm
angola's	æŋˈɡoʊɫəz
creditors'	ˈkɹɛdɪtɝz
burgos	ˈbɝɡoʊz
horny	ˈhɔɹni
omar	ˈoʊmɑɹ
whoopie	ˈwupi,ˈhwupi
boisen	ˈbɔɪsən
pomponio	poʊmˈpoʊnioʊ
tack	ˈtæk
worthen	ˈwɝθən
worden	ˈwɝdən
self-sufficiency	ˌsɛɫfsəˈfɪʃənˌsi
bookers	ˈbʊkɝz
traugh	ˈtɹɔ
gerhold	ˈɡɝhoʊɫd
veldman	ˈvɛɫdmən
vendors'	ˈvɛndɝz
unhindered	ənˈhɪndɝd
jefferis	ˈdʒɛfɝɪs
acetosyringone	əˌsɛtoʊˈsɪɹɪŋɡɔn
rolland	ˈɹɑɫənd
orphanage	ˈɔɹfənədʒ
crable	ˈkɹeɪbəɫ
karatsu	kɝˈætˈsu
two-way	ˈtuˌweɪ
hurling	ˈhɝɫɪŋ
vandella	ˌvænˈdɛɫə
cassidy	ˈkæsɪdi
trivialize	ˈtɹɪviəˌɫaɪz
olympics'	oʊˈɫɪmpɪks
telesystem	ˈtɛɫəˌsɪstəm
iacobelli	iˌɑkoʊˈbɛɫi
mattress's	ˈmætɹəsɪz
anonymized	əˈnɑnəˌmaɪzd
swarner	ˈswɔɹnɝ
imports	ˌɪmˈpɔɹts,ˈɪmˌpɔɹts
othello	əˈθɛɫoʊ
melchiorre	mɛɫkiˈɔɹeɪ
deputies	ˈdɛpjutiz,ˈdɛpjətiz
hisaw	ˈhaɪsɔ
monsky	ˈmɑnski
mcconaghy	məˈkɑnəɡi
resorts'	ɹɪˈzɔɹts
brooking	ˈbɹʊkɪŋ
patiently	ˈpeɪʃəntɫi
rouse	ˈɹaʊs,ˈɹaʊz
witts	ˈwɪts
bethell	ˈbɛθəɫ
gaver	ˈɡeɪvɝ
swyto	ˈswitoʊ
drifta	ˈdɹɪftə
duna	ˈdunə
fery	ˈfɛɹi
philon	ˈfɪɫən
pacholski	pəˈhoʊɫski
farmhands	ˈfɑɹmˌhændz
shenk	ˈʃɛŋk
shoals	ˈʃoʊɫz
chairez	tʃɑˈɪɹɛz
forister	ˈfɔɹɪstɝ
petros	ˈpɛtɹoʊz
pokes	ˈpoʊks
rental	ˈɹɛntəɫ
nonproliferation	nɑnpɹəˌɫɪfɝˈeɪʃən
peelers	ˈpiɫɝz
super-imposition	ˌsupɝˌɪmpəˈzɪʃən
orsay	ɔɹˈseɪ,əɹˈseɪ
stanco	ˈstæŋkoʊ
honor's	ˈɑnɝz
decision	dɪˈsɪʒən
barbs	ˈbɑɹbz
dredges	ˈdɹɛdʒəz,ˈdɹɛdʒɪz
dumez	ˈdumɛz
doskocil	ˈdɔskəsɪɫ
mossholder	ˈmɔsˌhoʊɫdɝ
truckloads	ˈtɹəˌkɫoʊdz
matchbook	ˈmætʃˌbʊk
barites	ˈbɛɹaɪts
epileptic	ˌɛpəˈɫɛptɪk
protectionist	pɹəˈtɛkʃənɪst
liman	ˈɫaɪmən
guthery	ˈɡəθɝi
annoying	əˈnɔɪɪŋ
tackles	ˈtækəɫz
gaithersburg	ˈɡeɪθɝzbɝɡ
abernathy	ˈæbɝˌnæθi
whisker	ˈhwɪskɝ,ˈwɪskɝ
hackel	ˈhækəɫ
flowe	ˈfɫoʊ
baskin	ˈbæskɪn
payload	ˈpeɪˌɫoʊd
powerboat	ˈpaʊɝˌboʊt
novotny	nəˈvoʊtni
carte	ˈkɑɹt
senators	ˈsɛnətɝz
medimmune	ˈmɛdɪmˌjun
byler	ˈbaɪɫɝ
lubavitchers	ɫuˈbəvɪtʃɝz,ˈɫubəˌvɪtʃɝz
ledoux	ɫɪˈdu
redwine	ˈɹɛdˌwaɪn
surveil	sɝˈveɪɫ
aerospace	ˈɛɹoʊˌspeɪs
getman	ˈɡɛtmən
renegotiate	ˌɹinɪˈɡoʊʃiˌeɪt
stumble	ˈstəmbəɫ
farlow	ˈfɑɹˌɫoʊ
pointedly	ˈpɔɪntɪdˌɫi,ˈpɔɪnədɫi
hungarians	həŋˈɡɛɹiənz
retiring	ɹiˈtaɪɝɪŋ,ɹiˈtaɪɹɪŋ,ɹɪˈtaɪɹɪŋ
keesler	ˈkizɫɝ
hurdles	ˈhɝdəɫz
serge	ˈsɝdʒ
merendino	mɝɛnˈdiˌnoʊ
durflinger	ˈdɝfɫɪŋɝ,ˈdɝfəɫɪŋɝ
neyhart	ˈneɪˌhɑɹt
unplugged	ənˈpɫəɡd,ˈənˈpɫəɡd
essential	ɛˈsɛnʃəɫ,iˈsɛnʃəɫ
salmon	ˈsæmən
ras	ˈɹæs
gargoyle	ˈɡɑɹˌɡɔɪɫ
dex	ˈdɛks
milkshake	ˈmɪɫkˌʃeɪk
guardrail	ˈɡɑɹˌdɹeɪɫ
terrace	ˈtɛɹəs
playcount	ˈpɫeɪˌkaʊnt
tabaka	tɑˈbɑkə
curley	ˈkɝɫi
woodke	ˈwʊdki
tina's	ˈtinəz
headlee	ˈhɛdˌɫi
hallowell	ˈhæɫəwɛɫ
honourary	ˈɑnɝˌɛɹi
antlers	ˈæntɫɝz
troxell	ˈtɹɑksəɫ
borsuk	ˈbɔɹsək
viren	ˈvɪɹən
bonnette	bəˈnɛt
koprowski	kəˈpɹɔfski
amar	əˈmɑɹ
landsberg	ˈɫændzbɝɡ
theft	ˈθɛft
passaic	pəˈseɪɪk
paone	ˈpeɪˌoʊn
tabak	ˈtæbæk,təˈbæk
rain	ˈɹeɪn
ocaw's	oʊˈkɔz
scalds	ˈskɔɫdz
peru	pɝˈu
papier	ˈpeɪpjɝ
lederle	ˈɫɛdɝɫi
mehring	ˈmɛɹɪŋ
runny	ˈɹəni
voyles	ˈvɔɪɫz
colmer	ˈkoʊmɝ
calder	ˈkɔɫdɝ
disreputable	dɪsˈɹɛpjətəbəɫ
dhali	ˈdɑɫi
croaker	ˈkɹoʊkɝ
observables	əbˈzɝvəbəɫz
gantz	ˈɡænts
mcnatt	məkˈnæt
vorce	ˈvɔɹs
ratios	ˈɹeɪʃiˌoʊz
funks	ˈfəŋks
holiness	ˈhoʊɫinəs
byerley	ˈbaɪɝɫi
zettlemoyer	ˈzɛtəɫmɔɪɝ
curcio	ˈkʊɹtʃioʊ
greased	ˈɡɹist
utopian	juˈtoʊpiən
lakeview	ˈɫeɪkˌvju
gurka	ˈɡɝkə
witness's	ˈwɪtnəsɪz
beske	ˈbɛsk
integrate	ˈɪntəˌɡɹeɪt,ˈɪnəˌɡɹeɪt
carteret's	ˌkɑɹtɝˈɛts
solvents	ˈsɔɫvənts
buzzed	ˈbəzd
maves	ˈmeɪvz
sr	ˈsɪstɝ,ˈsinjɝ
emit	ɪˈmɪt
mastrich	ˈmɑstɹɪk,ˈmæstɹɪtʃ
stakeholders	ˈsteɪkˌhoʊɫdɝz
baghdad's	ˈbæɡdædz
flickers	ˈfɫɪkɝz
local's	ˈɫoʊkəɫz
reske	ˈɹɛsk
kappus	ˈkæpəs
ghostlike	ˈɡoʊstˌɫaɪk
levario	ɫeɪˈvɑɹioʊ
novak's	ˈnoʊvæks
ashes	ˈæʃɪz,ˈæʃəz
scurdell	ˈskɝdɛɫ,skɝˈdɛɫ
annihilation	əˌnaɪəˈɫeɪʃən
czerwinski	tʃɝˈvɪnski
spinifex	ˈspɪnɪfɛks
technicality	ˌtɛknɪˈkæɫɪti
whittenburg	ˈwɪtənbɝɡ,ˈhwɪtənbɝɡ
thrift's	ˈθɹɪfts
quads	ˈkwɑdz
toothpaste	ˈtuθˌpeɪst
automobili	ˌɔtoʊmoʊˈbiɫi
brusette	ˌbɹuˈsɛt
chop-chop	ˈtʃɑpˈtʃɑp
lehn	ˈɫɛn
tek	ˈtɛk
pletcher	ˈpɫɛtʃɝ
quieted	ˈkwaɪətɪd
grump	ˈɡɹəmp
dendrochronology	ˌdɛnˌdɹoʊkɹəˈnɑɫədʒi
schaedler	ˈʃɛdəɫɝ,ˈʃɛdɫɝ
jac	ˈdʒæk
hodgkinson	ˈhɑdʒkɪnsən
liftoff	ˈɫɪfˌtɔf
displacement	dɪsˈpɫeɪsmənt
ranker	ˈɹæŋkɝ
sybil	ˈsɪbɪɫ
annual	ˈænjuəɫ
unlivable	ənˈɫɪvəbəɫ
daigre	ˈdeɪɡɝ
merlin	ˈmɝɫɪn
recover	ɹɪˈkəvɝ
insiders	ˌɪnˈsaɪdɝz
horvitz	ˈhɔɹvɪts
roedl	ˈɹoʊdəɫ
karl	ˈkɑɹɫ
allais	əˈɫeɪ,ˈeɪɫiəs
antiochus	ænˈtaɪəkəs
stark's	ˈstɑɹks
margarita	ˌmɑɹɡɝˈitə
coursing	ˈkɔɹsɪŋ
majors	ˈmeɪdʒɝz
scented	ˈsɛntɪd
yarn	ˈjɑɹn
gillinov	ˈɡɪɫɪnɑv
benveniste	bɛnvɛˈnisti
lissy	ˈɫɪsi
caffey	ˈkæfi
sega	ˈseɪɡə,ˈsiɡə
schweigert	ˈʃwaɪɡɝt
seesawed	ˈsiˌsɔd
czyzewski	tʃɪˈzɛfski
again	əˈɡeɪn,əˈɡɛn
compactness	kəmˈpæktnəs
emigrants	ˈɛməɡɹənts
kronos	ˈkɹoʊnoʊs
impropriety	ˌɪmpɹəˈpɹaɪəti
elsberry	ˈɛɫzˌbɛɹi
cabana	kəˈbænə
telephoniques	ˌtɛɫəfɑˈniks
millionaire's	ˌmɪɫjəˈnɛɹz
rustin	ˈɹəstɪn
denlinger	ˈdɛnɫɪŋɝ,ˈdɛnəɫɪŋɝ,ˈdɛnɫɪndʒɝ
wachsmuth	ˈwɔksmʊθ
boyson	ˈbɔɪzən
phebe	ˈfibi
windchime	ˈwɪndˌtʃaɪm
chalifoux	ˈʃæɫɪfu
neibauer	ˈnaɪbaʊɝ
sensing	ˈsɛnsɪŋ
caulk	ˈkɔk,ˈkɑk
desalvo	dɪˈsɑɫvoʊ
ghez	ˈɡɛz
eckley	ˈɛkɫi
merithew	mɝˈɪθju
merrick	ˈmɛɹɪk
progressing	pɹəˈɡɹɛsɪŋ
dirge	ˈdɝdʒ
kissane	ˈkɪsən
soller	ˈsɑɫɝ
cichon	ˈsɪtʃən
humana's	hjuˈmænəz
jagger	ˈdʒæɡɝ
dalgety	ˌdæɫˈɡɛti
bandicoots	ˈbændiˌkuts,ˈbændɪˌkuts
huml	ˈhəməɫ
unchanged	ənˈtʃeɪndʒd
screener	ˈskɹinɝ
nuckolls	ˈnəkəɫz
garble	ˈɡɑɹbəɫ
participations	pɑɹˌtɪsəˈpeɪʃənz
thermits	ˈθɝmɪts
cmos	ˈsiˈɛˈmoʊˈɛs,ˈsimoʊs
lam	ˈɫæm
carvin	ˈkɑɹvɪn
denkins	ˈdɛŋkɪnz
vandyke	ˌvænˈdaɪk
pai	ˈpɑi
haunted	ˈhɔntɪd
chorba	ˈkɔɹbə
lombardi	ɫɑmˈbɑɹdi
marrakech	ˈmæɹəˌkɛʃ
klosinski	kɫəˈsɪnski
newbold	ˈnuˌboʊɫd
endanger	ɛnˈdeɪndʒɝ
powdered	ˈpaʊdɝd
cardizem	ˌkɑɹdɪˈzɛm
severt	ˈsɛvɝt
inadvisable	ˌɪnædˈvaɪzəbəɫ,ˌɪnədˈvaɪzəbəɫ
emersed	ɪˈmɝst
mandel	ˈmændəɫ
laser	ˈɫeɪzɝ
alexis	əˈɫɛksɪs
gillon	ˈɡɪɫən
slightest	ˈsɫaɪtəst
hunkering	ˈhəŋkɝɪŋ
lop	ˈɫɑp
euthanasia's	ˌjuθəˈneɪʒəz
demeans	dɪˈminz
liederman	ˈɫidɝmən
bremer	ˈbɹimɝ
tolanthe	toʊˈɫɑnði
stassi	ˈstæsi
strikeout	ˈstɹaɪˌkaʊt
minehart	ˈmaɪnˌhɑɹt
polster	ˈpoʊɫstɝ
gotterdammerung	ˈɡɑtɝˌdæmɝəŋ
retrain	ɹiˈtɹeɪn
henard	ˈhɛnɝd
cottingham	ˈkɑtɪŋˌhæm
ziemba	ˈzimbə
overheard	ˈoʊvɝˈhɝd
sharpnack	ˈʃɑɹpnək
cilcorp	ˈsɪɫkɔɹp
discontinuation	ˌdɪskənˌtɪnjuˈeɪʃən
deportees	ˌdipɔɹˈtiz
nemer	ˈnimɝ
dible	ˈdaɪbəɫ
mell	ˈmɛɫ
selin	ˈsɛɫɪn
vitez	ˈvɪtɛz,ˈvaɪtɛz
stuhler	ˈstuɫɝ
noiman	ˈnɔɪmən
detailer	ˈditeɪɫɝ
ferencz	ˈfɛɹɪntʃ
sippel	ˈsɪpəɫ
dosia	ˈdoʊsiə
penncorp	ˈpɛnˌkɔɹp
bevin	ˈbɛvɪn
happenstance	ˈhæpənˌstæns
cairo	ˈkaɪɹoʊ
cain	ˈkeɪn
spangenberg	ˈspæŋənbɝɡ
dickering	ˈdɪkɝɪŋ
medical	ˈmɛdəkəɫ,ˈmɛdɪkəɫ
pfaff	ˈfæf
dambra	ˈdæmbɹə
gause	ˈɡɔz
consolidators	kənˈsɑɫɪˌdeɪtɝz
rockwell's	ˈɹɑˌkwɛɫz
silliest	ˈsɪɫiəst
wohler	ˈwoʊɫɝ
vandyken	ˌvænˈdaɪkən
reveres	ɹɪˈvɪɹz
gunder	ˈɡəndɝ
homecare	ˈhoʊmˌkɛɹ
founding	ˈfaʊndɪŋ
mortimore	mɔɹˈtimɔɹ
larcom	ˈɫɑɹˌkɑm,ˈɫɑɹkəm
dingham	ˈdɪŋəm
lasswell	ˈɫæsˌwɛɫ
impeached	ˌɪmˈpitʃt
sumac	ˈsumæk
pais	ˈpeɪz
rozman	ˈɹɑzmən
krohn	ˈkɹoʊn
homeopathic	ˌhoʊmioʊˈpæθək
warded	ˈwɔɹdɪd
ramify	ˈɹæməˌfaɪ
massad	ˈmæsəd
rosner	ˈɹɑsnɝ
roaming	ˈɹoʊmɪŋ
amenities	əˈmɛnɪtiz,əˈmɛnətiz
pricer	ˈpɹaɪsɝ
faked	ˈfeɪkt
stockford	ˈstɑkfɝd
ladwig	ˈɫædwɪɡ
policy	ˈpɑɫəsi
biers	ˈbiɹz
mcgrane	məˈɡɹeɪn
enholme	ˈɛnˌhoʊɫm
diagnoses	ˌdaɪəɡˈnoʊsiz
midlantic	mɪdˈɫæntɪk,mɪdˈɫænɪk
blacklisted	ˈbɫæˌkɫɪstɪd
impeachable	ˌɪmˈpitʃəbəɫ
racket	ˈɹækɪt
blankies	ˈbɫæŋˌkiz
sanders	ˈsændɝz
julin	ˈdʒuɫɪn
crooms	ˈkɹumz
mastiff	ˈmæstəf
netta	ˈnɛtə
muslin	ˈməzɫən
pong	ˈpɔŋ
bongard	bəŋˈɡɑɹd
quilt	ˈkwɪɫt
raycraft	ˈɹeɪˌkɹæft
autenrieth	ˈaʊtɪnɹiθ,ˈaʊtɪnɹiɪθ
kneebone	ˈniˌboʊn
liberti	ɫiˈbɛɹˌti
zandstra	ˈzændstɹə
somersault	ˈsəmɝˌsɔɫt
costigan	ˈkɑstɪɡæn
surprisingly	sɝˈpɹaɪzɪŋɫi,səˈpɹaɪzɪŋɫi
segments	ˈsɛɡmənts,ˌsɛɡˈmɛnts
kotz	ˈkɑts
chesney	ˈtʃɛsni
brockman	ˈbɹɑkmən
colao	ˈkoʊɫaʊ
nathe	ˈneɪð
rempac	ˈɹɛmˌpæk
catlin	ˈkætɫɪn
recisions	ɹɪˈsɪʒənz
northvale	ˈnɔɹθˌveɪɫ
heralded	ˈhɛɹəɫdɪd
chan's	ˈtʃænz
flags	ˈfɫæɡz
miscellaneous	ˌmɪsəˈɫeɪniəs
crose	ˈkɹoʊz
skylites	ˈskaɪˌɫaɪts
deguerin	dɪˈɡɝɪn
showmanship	ˈʃoʊmənˌʃɪp
nationair	ˈneɪʃəˈnɛɹ
alane	əˈɫeɪn
benway	ˈbɛnˌweɪ
hoglunds	ˈhɔɡɫəndz
nasional	ˌnæsiəˈnæɫ
petropoulos	pɪˈtɹɑpəɫɪs
rigging	ˈɹɪɡɪŋ
frisby	ˈfɹɪsbi
hazleton	ˈheɪzəɫtən
gervasi	dʒɝˈvɑsi
stoplight	ˈstɑˌpɫaɪt
glazer	ˈɡɫeɪzɝ
iverson	ˈaɪvɝsən
filtrol	ˈfɪɫtɹɑɫ
glocester	ˈɡɫaʊstɝ
amundson	ˈæməndsən
ihde	ˈɪd
natwest	ˌnætˈwɛst
plair	ˈpɫɛɹ
kyoshi	kiˈoʊʃi
extrudes	ɪkˈstɹudz
onofrio	oʊˈnoʊfɹioʊ
rorex	ˈɹɔɹɛks
dinh	ˈdɪn
beecher	ˈbitʃɝ
ball	ˈbɔɫ
expletive	ˈɛkspɫətɪv
unfilled	ənˈfɪɫd
regress	ˈɹiɡɹɛs,ɹɪˈɡɹɛs
fixing	ˈfɪksɪŋ
ageratums	əˈdʒɛɹətəmz
nolting	ˈnoʊɫtɪŋ
cochin	ˈkoʊtʃɪn
vergresh	ˌvɝˈɡɹɛʃ
traction	ˈtɹækʃən
kollasch	ˈkɑɫəʃ
ballerina	ˌbæɫɝˈinə
do's	ˈduz
plaintive	ˈpɫeɪntɪv,ˈpɫeɪnɪv
conquest	ˈkɑŋkwɛst
tagge	ˈtæɡ
prefrontal	pɹiˈfɹəntəɫ
transfering	tɹænsˈfɝɪŋ
overregulate	ˈoʊvɝˈɹɛɡjəˌɫeɪt
easom	ˈizəm
mirenda	mɪˈɹɛndə
rumina	ˈɹumɪnə
blooming	ˈbɫumɪŋ
sibelle	sɪˈbɛɫ
strehl	ˈstɹɛɫ
unabridged	ˌənəˈbɹɪdʒd
coagulation	koʊˈæɡjəˈɫeɪʃən
falling	ˈfɑɫɪŋ
viana	viˈænə
muzyka	mjuˈzɪkə
feinman	ˈfaɪnmən
fatheree	fæθɝˈi
vipperman	ˈvɪpɝmən
vukovar	ˈvukəˌvɑɹ
tsongas'	ˈsɔŋɡəs,ˈtsɔŋɡəs
cornish	ˈkɔɹnɪʃ
marcade	ˈmɑɹˈkeɪd
francis	ˈfɹænsəs,ˈfɹænsɪs
goede	ˈɡoʊd
burtt	ˈbɝt
fiddlers	ˈfɪdɫɝz,ˈfɪdəɫɝz
figallo	fɪˈɡɑɫoʊ
boutelle	ˌbuˈtɛɫ
castrated	ˈkæsˌtɹeɪtɪd
nuclei	ˈnukɫiˌaɪ
woe	ˈwoʊ
avant-garde	əˈvɑnˈɡɑɹd,əˈvɑntˈɡɑɹd
beckum	ˈbɛkəm
frill	ˈfɹɪɫ
bly	ˈbɫaɪ
muehl	ˈmjuɫ
graphics'	ˈɡɹæfɪks
sausser	ˈsɔsɝ
matsch's	ˈmætʃəz
hillbillies	ˈhɪɫˌbɪɫiz
northcott	ˈnɔɹθkət
botero	boʊˈtɛɹoʊ
morricone's	ˌmɔɹəˈkoʊniz,ˌmɔɹəˈkoʊnz
grossman	ˈɡɹoʊsmən
yearns	ˈjɝnz
och	ˈɑk
jornal	ˈdʒɔɹnəɫ
enactment	ɛˈnæktmənt,ɛˈnækmənt
hillsborough	ˈhɪɫzbɝoʊ
melina	mɛˈɫinə
suggestible	səˈdʒɛstəbəɫ
luevano	ɫuɛˈvɑnoʊ
transformational	ˌtɹænsfɝˈmeɪʃənəɫ
barz	ˈbɑɹz
finds	ˈfaɪndz
sowata's	ˌsoʊˈɑtəz
wuthrich	ˈwəθɹɪk
transcended	tɹænˈsɛndɪd
honig	ˈhɑnɪɡ
ulee's	juˈɫiz
fye	ˈfaɪ
vinyl	ˈvaɪnəɫ
distortions	dɪˈstɔɹʃənz
holcomb	ˈhoʊɫkəm
harshberger	ˈhɑɹʃbɝɡɝ
nevils	ˈnɛvəɫz
vandalen	ˌvænˈdæɫən
halpern	ˈhæɫpɝn
budgeteer	ˌbədʒɪˈtɪɹ
malfeasance	ˌmæɫˈfizəns
