künjekleriniň	kˌønd͡ʒœklerˈiniŋ
artdyrmagyň	ˌɑrtdɯrmˈɑʁɯŋ
konsertine	qˌonθertˈine
halatynda	xˌɑɫɑtˈɯnnɑ
gaplanan	ɡɑpɫˈɑnɑn
Aýrybaba	ˌɑjrɯβˈɑβɑ
raýatlaryny	rˌɑjɑtɫɑrˈɯnɯ
şertini	ʃertˈini
metbugatda	mˌetβʊʁˈotdo
ulgamlarda	ˌʊɫʁomɫˈɑrdɑ
dillerde	dillˈerde
Muhammet	mʊxˈommet
geçmegi	ɡet͡ʃmˈeʁi
gutaran	ɡʊtˈoron
ideg	ˈideʁ
tabşyrylýar	tˌɑβʃɯrˈɯɫjɑr
jemgyýetimiziň	d͡ʒˌemʁɯjˌetimˈiðiŋ
ulaglar	ʊɫˈoʁɫor
tabşyrygyny	tˌɑβʃɯrɯʁˈɯnɯ
ýetirmekden	jˌetirmˈekden
medeniýet	mˌedenˈijet
ählisi	æhlˈiθi
näbelli	næβˈelli
Toý	tˈoj
zyýany	ðɯjˈɑnɯ
pursat	pˈʊrθot
özleşdirmäge	ˌœðlœʃdørmˈæːɡe
seresapsyzlyk	θˌereθɑpθˈɯðɫɯq
enäniň	enˈæniŋ
küşt	kˈøʃt
aýynda	ɑjˈɯnnɑ
ösýändigini	ˌœθjænniʁˈini
ukyby	ʊqˈʊβʊ
kuwwatlyklary	qˌʊββotɫʊqɫˈɑrɯ
biri	bˈiːri
banklarynyň	bˌɑnkɫɑrˈɯnɯŋ
ýokarlanmagy	jˌoqorɫonmˈɑʁɯ
mümkinçiligiň	mˌømkønt͡ʃølˈiʁiŋ
bedew	bˈedœβ
hataryna	xˌɑtɑrˈɯnɑ
kesmek	keθmˈek
birleşigiň	bˌirleʃˈiʁiŋ
dabaralaryny	dˌɑβɑrˌɑɫɑrˈɯnɯ
ýakynlaşyp	jˌɑqɯnɫˈɑʃɯp
çarpdylar	t͡ʃɑrpdˈɯɫɑr
habarnamasy	xˌɑβɑrnɑmˈɑθɯ
gala	ɡˈɑɫɑ
amatsyz	ɑmˈɑθθɯð
Häzirki	hæːðˈirki
möhletlerini	mˌœhlœtlœrˈini
aýdylan	ɑjdˈɯɫɑn
baradaky	bˌɑrɑdˈɑːqɯ
ynamsyzlyk	ˌɯnɑmθˈɯðɫɯq
Himiýa	himˈijɑ
dokumentiň	dˌoqʊmˈentiŋ
gaýdýan	ɡˈɑjdjɑn
tabşyrmak	tˌɑβʃɯrmˈɑq
öndürmäge	ˌœnnørmˈæːɡe
Gymmatly	ɡɯmmˈɑtɫɯ
aşyrylmagyny	ˌɑʃɯrˌɯɫmɑʁˈɯnɯ
aşyrar	ɑʃˈɯrɑr
baýlyklaryny	bˌɑjɫɯqɫɑrˈɯnɯ
taslamanyň	tˌɑθɫɑmˈɑnɯŋ
asyrlarboýy	ˌɑθɯrɫɑrβˈojɯ
borçludyrlar	bˌort͡ʃɫʊdˈʊrɫor
sportyň	θpˈortʊŋ
Döwletimiz	dˌœβlœtˈømøð
paýtagtynda	pˌɑjtɑʁtˈɯnnɑ
gyzyklandy	ɡˌɯðɯqɫˈɑnnɯ
resmileşdirmegiň	rˌeθmilˌeʃdirmˈeʁiŋ
kararlarynyň	qˌɑrɑrɫɑrˈɯnɯŋ
bilimler	bilˈimler
aragatnaşyklaryny	ˌɑrɑʁˌɑtnɑʃˌɯqɫɑrˈɯnɯ
binasyny	bˌinɑθˈɯnɯ
ýatlamak	jˌɑtɫɑmˈɑq
azat	ˈɑðɑːt
ýaly	jˈɑːɫɯ
teklipleriniň	tˌekliplerˈiniŋ
islegiň	iθlˈeʁiŋ
Eýýäm	ˈejjæm
usulyň	ʊθˈʊɫʊŋ
weteranlaryň	βˌeterɑnɫˈɑrɯŋ
mazmuna	mɑðmˈʊno
hemaýat	hemˈɑjɑt
uçar	ˈʊt͡ʃor
getirmegi	ɡˌetirmˈeʁi
baýramçylyga	bˌɑjrɑmt͡ʃɯɫˈɯʁɑ
hödürleýän	hˌœdørlˈœjæn
ele	ˈele
logistiki	ɫˌoɡiθθˈiki
Ýewropa	jœβrˈopo
hünärmençilik	hˌønærmœnt͡ʃˈilik
Kazyýetiň	qˌɑðɯjˈetiŋ
etraplaryň	ˌetrɑpɫˈɑrɯŋ
hödürlenildi	hˌœdørlœnˈølli
talyplarynyň	tˌɑɫɯpɫɑrˈɯnɯŋ
serişdesini	θˌeriʃdeθˈini
din	dˈin
Ministrligiň	mˌiniθθrlˈiʁiŋ
alimentiň	ˌɑɫimˈentiŋ
meýdançalaryň	mˌejdɑnt͡ʃɑɫˈɑrɯŋ
gelen	ɡˈelen
duýgular	dʊjʁˈʊɫor
ýokarlanmagyna	jˌoqorɫˌonmɑʁˈɯnɑ
salgylanma	θˌɑɫʁɯɫˈɑnmɑ
temasy	temˈɑθɯ
keseliniň	kˌeθelˈiniŋ
ýaryşlarynyň	jˌɑrɯʃɫɑrˈɯnɯŋ
Ýaponiýada	jˌɑponijˈɑdɑ
başdan	bˈɑʃdɑn
maglumatlaryny	mˌɑʁɫʊmˌotɫorˈɯnɯ
potratçysy	pˌotrot͡ʃt͡ʃˈʊθɯ
Çäräniň	t͡ʃærˈæniŋ
zeleliň	ðelˈeliŋ
ösüşiň	œθˈøʃøŋ
ýadygärlikler	jˌɑdɯɡærlˈikler
köpöwüşginli	kˌœpœβøʃʁˈønlø
şertlerine	ʃˌertlerˈine
meselesi	mˌeθelˈeθi
söhbetdeşligi	θˌœhβœtdœʃlˈøʁi
şähere	ʃæhˈere
bilermen	bilˈermen
atçylygy	ˌɑt͡ʃt͡ʃɯɫˈɯʁɯ
topragyň	toprˈoʁʊŋ
baýrak	bˈɑjrɑːq
ýapylyş	jɑpˈɯɫɯʃ
oýnunda	ojnˈʊnno
gündelik	ɡønnˈœløk
zeleli	ðelˈeli
altynsow	ɑɫtˈɯnθoβ
senesine	θˌeneθˈine
baglanyşyklydygyny	bˌɑʁɫɑnˌɯʃɯqɫˌɯdɯʁˈɯnɯ
meselesine	mˌeθeleθˈine
uniwersitetinde	ˌʊniβˌerθitetˈinne
sezewar	θeðˈœβɑr
buraw	bˈʊroβ
Bilimler	bilˈimler
beton	bˈeton
amala	ɑmˈɑɫɑ
giňeldilýär	ɡˌiŋellˈiljæːr
usullaryny	ˌʊθʊɫɫorˈʊnʊ
edinýäris	ˌedinjˈæːriθ
suwlaryny	θˌʊβɫorˈʊnʊ
biržasy	birʒˈɑθɯ
bouling	boˈʊɫinʁ
şöhlelendirýän	ʃˌœhlœlœnnˈirjæn
kenarýaka	kˌenɑrjˈɑqɑ
ikisine	ˌikiθˈine
garşylanyldy	ɡˌɑrʃɯɫɑnˈɯɫɫɯ
döwleti	dœβlˈœtø
etdik	ˈetdik
nyrhlary	nɯrhɫˈɑrɯ
düşündirişler	dˌøʃønnørˈøʃler
maýynda	mɑjˈɯnnɑ
Bitaraplygyna	bˌitɑrˌɑpɫɯʁˈɯnɑ
senetçiligiň	θˌenet͡ʃt͡ʃilˈiʁiŋ
Türkmenpatent	tˌørkmœnpˈɑtent
Ösüp	ˈœθøp
getirilmegi	ɡˌetirilmˈeʁi
dilinde	dilˈinne
maddasy	mɑddˈɑθɯ
geçirmeleri	ɡˌet͡ʃirmelˈeri
Wesýetnama	βˌeθjetnˈɑːmɑ
bölümlerine	bˌœlømlœrˈønœ
bellenilişi	bˌellenilˈiʃi
Pula	pˈʊɫo
deklarasiýasyny	dˌekɫɑrˌɑθijɑθˈɯnɯ
ýetirijisine	jˌetirˌid͡ʒiθˈine
binalarynda	bˌinɑɫɑrˈɯnnɑ
açylmagynyň	ˌɑt͡ʃɯɫmɑʁˈɯnɯŋ
gezelenji	ɡˌeðelˈend͡ʒi
kiçi	kˈit͡ʃi
dabaralaryň	dˌɑβɑrɑɫˈɑrɯŋ
Baýramaly	bˌɑjrɑmˈɑɫɯ
goşmaça	ɡoʃmˈot͡ʃo
organlary	ˌorʁonɫˈorʊ
tagallalaryna	tˌɑʁɑɫɫˌɑɫɑrˈɯnɑ
girewi	ɡirˈœβi
býujet	bjˈʊd͡ʒet
Wiktor	βˈiktor
möwsüminde	mˌœβθømˈønnœ
welaýatlara	βˌelɑjɑtɫˈɑrɑ
rieltorçylyk	rˌieltort͡ʃˈʊɫʊq
dolandyrmaga	dˌoɫonnʊrmˈɑʁɑ
düzgünleşdirýär	dˌøðʁønlœʃdˈørjæːr
nusgada	nʊθʁˈodo
yhlasy	ɯxɫˈɑθɯ
şertlendirdi	ʃˌertlennˈirdi
özboluşly	ˌœðβoɫˈʊʃɫʊ
kämilleşdirilmegi	kˌæmillˌeʃdirilmˈeʁi
ilki	ˈilki
zorluk	ðˈoːrɫʊq
aýyrýan	ɑjˈɯrjɑn
Özbegistanda	ˌœðβœʁøθθˈɑnnɑ
öwürmegiň	ˌœβørmˈœʁøŋ
ösümliklerini	ˌœθømlˌøklerˈini
jemgyýetiniň	d͡ʒˌemʁɯjetˈiniŋ
belleýşi	bellˈejʃi
soňunda	θoŋˈʊnno
kämillik	kæmˈillik
myhmanlaryna	mˌɯxmɑnɫɑrˈɯnɑ
Owganystany	ˌoβʁonʊθθˈɑnɯ
işlerde	iʃlˈerde
sahnada	θɑxnˈɑdɑ
bedewde	bedˈœβde
hukuklardan	xˌʊqʊqɫˈordɑn
çyglylygy	t͡ʃˌɯʁɫɯɫˈɯʁɯ
berilmezligi	bˌerilmeðlˈiʁi
Rezolýusiýa	rˌeðoɫjʊθˈijɑ
eken	ˈeken
talaplarynyň	tˌɑɫɑpɫɑrˈɯnɯŋ
goraglylygyny	ɡˌoroʁɫˌʊɫɯʁˈɯnɯ
saparyny	θˌɑpɑrˈɯnɯ
ikitaraplaýyn	ˌikitˌɑrɑpɫˈɑjɯn
halklaryny	xˌɑɫkɫɑrˈɯnɯ
ykdysadyýetini	ˌɯqdɯθˌɑdɯjetˈini
bähbitlere	bˌæhβitlˈere
seredip	θerˈedip
şekilli	ʃekˈilli
emläginden	ˌemlæʁˈinnen
makalasy	mˌɑqɑɫˈɑθɯ
kilometre	kˌilomˈetre
ugurlar	ʊʁˈʊrɫor
Çap	t͡ʃˈɑp
gatnaşyjylaryň	ɡˌɑtnɑʃˌɯd͡ʒɯɫˈɑrɯŋ
başlamazdan	bˌɑʃɫɑmˈɑððɑn
kitap	kˈitɑːp
Konsert	qˈonθert
Özleriniň	ˌœðlœrˈønøŋ
taýýarlamalar	tˌɑjjɑrɫɑmˈɑɫɑr
Nejmeddin	ned͡ʒmˈeddin
Ýewropany	jˌœβropˈonʊ
tölegi	tœlˈœʁø
sepgitlerini	θˌepʁitlerˈini
däldirler	dællˈirler
myhmany	mɯxmˈɑnɯ
derwaýys	derβˈɑjɯθ
Tiz	tˈiːð
töledilip	tˌœlœdˈølip
meselede	mˌeθelˈede
ýylynda	jɯɫˈɯnnɑ
Mergen	mˈerʁen
köpsanly	kœpθˈɑnɫɯ
kararlaryna	qˌɑrɑrɫɑrˈɯnɑ
ýüplügi	jøplˈøɡø
Dünýä	dˈønjæː
ygtyýarlaryny	ˌɯʁtɯjˌɑrɫɑrˈɯnɯ
edendigini	ˌedenniʁˈini
Birleşmäniň	bˌirleʃmˈæniŋ
kalbyny	qɑɫβˈɯnɯ
dökünleriň	dˌœkønlˈœrøŋ
forma	fˌormo
durmuşa	dʊrmˈʊʃo
bagşy	bˈɑʁʃɯ
iberijiniň	ˌiβerid͡ʒˈiniŋ
aýtdylar	ɑjtdˈɯɫɑr
köplügi	kœplˈøɡø
bolup	bˈoɫʊp
ýaryş	jˈɑrɯʃ
agşam	ˈɑʁʃɑm
ekişi	ekˈiʃi
göreşiň	ɡœrˈœʃøŋ
indiki	innˈiki
poçtany	pot͡ʃtˈonʊ
gurallaryň	ɡˌʊroɫɫˈorɯŋ
meýilnamalaýyn	mˌejilnˌɑmɑɫˈɑjɯn
diwaryň	diβˈɑrɯŋ
Howa	xˈoβɑː
kärendeçileriň	kˌærennˌet͡ʃilˈeriŋ
gatnaşýandygy	ɡˌɑtnɑʃjɑnnˈɯʁɯ
wekiline	βˌekilˈine
kärendä	kærˈennæ
borçnamalaryna	bˌort͡ʃnɑmˌɑɫɑrˈɯnɑ
ertekilerdäki	ˌertekˌilerdˈæːkɪ
işlemeginiň	ˌiʃlemeʁˈiniŋ
Koreýa	qorˈejɑ
tutluşyklarda	tˌʊtɫʊʃʊqɫˈordɑ
Baha	bˈɑxɑ
Serkerdebaşymyz	θˌerkerdˌeβɑʃˈɯmɯð
takmynan	tɑqmˈɯnɑn
tabşyrygynyň	tˌɑβʃɯrɯʁˈɯnɯŋ
işlän	ˈiʃlæn
ýyrtyjy	jɯrtˈɯd͡ʒɯ
görnüşleri	ɡˌœrnøʃlˈœrø
boýunda	bojˈʊnno
sanlysy	θɑnɫˈɯθɯ
sürüjiler	θˌørød͡ʒˈølœr
terminalyň	tˌerminˈɑɫɯŋ
Gutlagy	ɡʊtɫˈoʁʊ
Myhman	mˈɯxmɑːn
telekeçileriniň	tˌelekˌet͡ʃilerˈiniŋ
alşyldy	ɑɫʃˈɯɫɫɯ
orunlara	ˌorʊnɫˈoro
jaýlaryna	d͡ʒˌɑjɫɑrˈɯnɑ
Mebel	mˈeβel
ýolunyň	joɫˈʊnʊŋ
gatnaşjakdygyny	ɡˌɑtnɑʃʃˌɑqdɯʁˈɯnɯ
jebis	d͡ʒˈeβiθ
çagyrmagy	t͡ʃˌɑʁɯrmˈɑʁɯ
alşy	ˈɑɫʃɯ
geçirmegiň	ɡˌet͡ʃirmˈeʁiŋ
howpsuzlygyny	xˌoβpθʊðɫʊʁˈʊnʊ
wakalar	βɑqˈɑɫɑr
bellikleri	bˌelliklˈeri
lezzet	lˈeððet
tanşyp	tˈɑnʃɯp
goşgularyny	ɡˌoʃʁʊɫorˈʊnɯ
sazlar	θˈɑðɫɑr
subutnamalar	θˌʊβʊtnomˈoɫɑr
hlorellany	hɫˌorelɫˈɑnɯ
taýýarlamaly	tˌɑjjɑrɫɑmˈɑɫɯ
ýagdaýynda	jˌɑʁdɑjˈɯnnɑ
abatlamak	ˌɑβɑtɫɑmˈɑq
başaran	bɑʃˈɑrɑn
tapawutlanan	tˌɑpoβʊtɫˈonon
Atamyrat	ˌɑtɑmˈɯrɑt
berşi	bˈerʃi
watany	βɑtˈɑnɯ
bergiler	berʁˈiler
ýetirilişiniň	jˌetirˌiliʃˈiniŋ
hünäriniň	hˌønærˈiniŋ
Özbegistanyň	ˌœðβœʁøθθˈɑnɯŋ
turbalaryň	tˌʊrβoɫˈorɯŋ
çykarýar	t͡ʃɯqˈɑrjɑr
Aýazbabanyň	ˌɑjɑðβɑβˈɑnɯŋ
bu	bˈʊː
milliard	millˈiɑrd
gazanmaly	ɡˌɑðɑnmˈɑɫɯ
gazdan	ɡˈɑððɑn
işiňizde	ˌiʃiŋˈiððe
Soltan	θˈoɫton
kompaniýasyna	qˌomponˌijɑθˈɯnɑ
wagtda	βˈɑʁtdɑ
kreditora	krˌeditˈoro
sungatyny	θˌʊnʁotˈʊnʊ
demirgazygynda	dˌemirʁˌɑðɯʁˈɯnnɑ
edilişini	ˌediliʃˈini
gezelenç	ɡeðˈelent͡ʃ
çempionatyna	t͡ʃˌempiˌonotˈʊno
saýlawçylar	θˌɑjɫoβt͡ʃˈɯɫɑr
durnuklylygy	dˌʊrnʊqɫʊɫˈʊʁʊ
bazarlaryna	bˌɑðɑrɫɑrˈɯnɑ
tapdy	tˈɑpdɯ
tamamlamagy	tˌɑmɑmɫɑmˈɑʁɯ
bäsleşikli	bˌæθleʃˈikli
uzalyp	ʊðˈoɫʊp
çäräniň	t͡ʃærˈæniŋ
işi	ˈiʃi
taýýarlaýyş	tˌɑjjɑrɫˈɑjɯʃ
şertlendirilendir	ʃˌertlennˌirilˈennir
kesgitleýärler	kˌeθʁitlejˈærler
Ýygnananlar	jˌɯʁnɑnˈɑnɫɑr
aladasynyň	ˌɑɫɑdɑθˈɯnɯŋ
gyzyklanmasyny	ɡˌɯðɯqɫˌɑnmɑθˈɯnɯ
adamly	ɑdˈɑmɫɯ
ýaryşlaryny	jˌɑrɯʃɫɑrˈɯnɯ
Ýygnananlaryň	jˌɯʁnɑnɑnɫˈɑrɯŋ
baglarynyň	bˌɑʁɫɑrˈɯnɯŋ
dowamlylygy	dˌoβomɫʊɫˈɯʁɯ
hakykylygy	xˌɑqɯqɯɫˈɯʁɯ
bildirmäge	bˌillirmˈæːɡe
kilometr	kilˈometr
nusga	nˈʊθʁo
Bäsleşige	bˌæθleʃˈiʁe
deňzinde	deŋðˈinne
ilçisi	ilt͡ʃˈiθi
paýnamalar	pˌɑjnɑmˈɑɫɑr
Saýat	θˈɑjɑt
ministrlikleriniň	mˌiniθθrlˌiklerˈiniŋ
diwanynyň	dˌiβɑnˈɯnɯŋ
gyzyklanma	ɡˌɯðɯqɫˈɑnmɑ
tutan	tˈʊton
prokuroryň	prˌoqʊrˈorʊŋ
Nikanyň	nikˈɑnɯŋ
abadanlaşdyrylyşy	ˌɑβɑdˌɑnɫɑʃdˌɯrɯɫˈɯʃɯ
Türkmenistanly	tˌørkmœnøθθˈɑnɫɯ
çyzykly	t͡ʃɯðˈɯqɫɯ
ýolbaşçylara	jˌoɫβoʃʃʊɫˈɑrɑ
geçirdi	ɡet͡ʃˈirdi
üstünliklerini	ˌøθθønlˌøklerˈini
Katar	qˈɑtɑr
giňişliginden	ɡˌiŋiʃliʁˈinnen
awtoduralgalar	ˌoβtodˌʊroɫʁˈoɫɑr
maksatnamasynda	mˌɑqθɑtnˌɑmɑθˈɯnnɑ
bankyň	bˈɑnqɯŋ
mejlisde	med͡ʒlˈiθθe
Kaka	qˈɑːqɑ
ýag	jˈɑʁ
aýry	ˈɑjrɯ
ýygyndymyz	jˌɯʁɯnnˈɯmɯð
nesliň	nˈeθliŋ
welaýatlardaky	βˌelɑjˌɑtɫɑrdˈɑːqɯ
gelenden	ɡelˈennen
maksatnamalar	mˌɑqθɑtnɑmˈɑɫɑr
Işlere	iʃlˈere
hem	hˈem
makullady	mˌɑqʊɫɫˈodʊ
Watançylyk	βˌɑtɑnt͡ʃˈɯɫɯq
ýaryşyna	jˌɑrɯʃˈɯnɑ
derwezäniň	dˌerβeðˈæniŋ
Ýyllyk	jˈɯɫɫɯq
Hudaýberdiýew	xˌʊdojberdˈijœβ
çekmekden	t͡ʃekmˈekden
bergisi	berʁˈiθi
şahamçalary	ʃˌɑxɑmt͡ʃɑɫˈɑrɯ
usullaryna	ˌʊθʊɫɫorˈʊnɑ
gaznalarynyň	ɡˌɑðnɑɫɑrˈɯnɯŋ
Ene	ˈene
esaslaryna	ˌeθɑθɫɑrˈɯnɑ
çekilmegine	t͡ʃˌekilmeʁˈine
uruş	ˈʊrʊʃ
okuwçylaryna	ˌoqʊβt͡ʃˌʊɫɑrˈɯnɑ
ätiýaçlandyrýanyň	ˌætijˌɑt͡ʃɫɑnnɯrjˈɑnɯŋ
garşylyklaýyn	ɡˌɑrʃɯɫɯqɫˈɑjɯn
abadançylygyny	ˌɑβɑdˌɑnt͡ʃɯɫɯʁˈɯnɯ
açmak	ɑt͡ʃmˈɑq
döwürleýin	dˌœβørlˈœjin
sebitiniň	θˌeβitˈiniŋ
şübhesizdir	ʃˌøβhœθˈøððir
Awiasiýa	ˌoβiɑθˈijɑ
geçirilýän	ɡˌet͡ʃirˈiljæn
düzüm	dˈøðøm
goramagy	ɡˌoromˈoʁɯ
nesilleriň	nˌeθillˈeriŋ
işjeňlik	iʃʃˈeŋlik
gyzyklanýar	ɡˌɯðɯqɫˈɑnjɑr
bellärliklidir	bˌellærliklˈidir
jümmüşinden	d͡ʒˌømmøʃˈønnœn
Eýeçiligiň	ˌejet͡ʃilˈiʁiŋ
altysy	ɑɫtˈɯθɯ
peýdalanmagyň	pˌejdɑɫɑnmˈɑʁɯŋ
mahalynda	mˌɑxɑɫˈɯnnɑ
dabaralar	dˌɑβɑrˈɑɫɑr
nesillere	nˌeθillˈere
hyzmatdaşlygyna	xˌɯðmɑtdˌɑʃɫɯʁˈɯnɑ
hojalyklaryna	xˌod͡ʒoɫˌʊqɫorˈɯnɑ
awtomobil	ˌoβtomˈoβil
arzalary	ˌɑrðɑɫˈɑrɯ
Banklar	bˈɑnkɫɑr
keramiki	kˌerɑmˈiki
zehinler	ðehˈinler
döwürdäki	dˌœβørdˈæːkɪ
ýahta	jˈɑxtɑ
harytlaryň	xˌɑrɯtɫˈɑrɯŋ
kararynyň	qˌɑrɑrˈɯnɯŋ
ýaşaýjylary	jˌɑʃɑjd͡ʒɯɫˈɑrɯ
urýar	ˈʊrjɑr
ulanyjylaryň	ˌʊɫonˌʊd͡ʒɯɫˈɑrɯŋ
ýokardaky	jˌoqordˈɑːqɯ
söýgüsi	θœjɡˈøθø
Ýüküň	jˈøkøŋ
günä	ɡˈønæː
ýyndam	jˈɯnnɑm
Aşgabatdaky	ˌɑʃʁɑβɑtdˈɑːqɯ
ýerleşýär	jerlˈeʃjæːr
ýüklenilýär	jˌøklœnˈøljæːr
Mahmyt	mˈɑxmɯt
Rezolýusiýasy	rˌeðoɫjˌʊθijˈɑθɯ
baýramçylygyň	bˌɑjrɑmt͡ʃɯɫˈɯʁɯŋ
tumary	tʊmˈorʊ
ýekelikde	jˌekelˈikde
ösdürilýändigini	ˌœθθørˌøljænniʁˈini
agzybirliginiň	ˌɑʁðɯβˌirliʁˈiniŋ
korrupsiýa	qˌorrʊpθˈijɑ
pugtalandyrylmagyna	pˌʊʁtoɫˌonnɯrˌɯɫmɑʁˈɯnɑ
geçirilmäge	ɡˌet͡ʃirilmˈæːɡe
durmuş	dˈʊrmʊʃ
protesti	protˈeθθi
Operatora	ˌoperɑtˈoro
mahalyndaky	mˌɑxɑɫɯndˈɑːqɯ
awgust	ˈoβʁʊθθ
Balkanabatda	bˌɑɫqɑnɑβˈɑtdɑ
uzaltmak	ˌʊðoɫtmˈɑq
ýeňijileri	jˌeŋid͡ʒilˈeri
Walentina	βˌɑɫentˈinɑ
atlandyrylýar	ˌɑtɫɑnnɯrˈɯɫjɑr
Munuň	mˈʊnʊŋ
berijiniň	bˌerid͡ʒˈiniŋ
ýerleşdirilişi	jˌerleʃdˌirilˈiʃi
maksatnamalaryny	mˌɑqθɑtnˌɑmɑɫɑrˈɯnɯ
resminamasyny	rˌeθminˌɑmɑθˈɯnɯ
KonstitusiýasyHalkara	qˌonθθitˌʊθijˈɑθɯxɑɫqˈɑːrɑ
babyna	bɑβˈɯnɑ
göçürme	ɡœt͡ʃˈørmœ
edijilik	ˌedid͡ʒˈilik
sazlamak	θˌɑːðɫɑmˈɑq
dolandyrmak	dˌoɫonnʊrmˈɑq
baştutanlarynyň	bˌɑʃtʊtˌonɫorˈɯnɯŋ
sergisi	θerʁˈiθi
gelmeginiň	ɡˌelmeʁˈiniŋ
üçünji	øt͡ʃˈønd͡ʒø
däp	dˈæːp
garalyp	ɡɑrˈɑɫɯp
pauerlifting	pˌɑʊerlˈiftˌinʁ
tölenmeýär	tˌœlœnmˈœjæːr
teklipleriň	tˌekliplˈeriŋ
geçirijiler	ɡˌet͡ʃirid͡ʒˈiler
baglaşylanda	bˌɑʁɫɑʃɯɫˈɑnnɑ
Halkymyz	xɑɫqˈɯmɯð
güýz	ɡˈøːjð
toplumlaryň	tˌopɫʊmɫˈorʊŋ
senagatyny	θˌenɑʁɑtˈɯnɯ
Minsk	mˈinθk
maslahatlaşmak	mˌɑθɫɑxˌɑtɫɑʃmˈɑq
künjege	kønd͡ʒˈœʁœ
Goşulan	ɡoʃˈʊɫon
seljermesini	θˌeld͡ʒermeθˈini
meýdançanyň	mˌejdɑnt͡ʃˈɑnɯŋ
Häzir	hˈæːðir
Karara	qɑrˈɑrɑ
öwrenmäge	ˌœβrœnmˈæːɡe
Türgenleriň	tˌørʁœnlˈeriŋ
takyk	tˈɑqɯq
menzilinde	mˌenðilˈinne
kömekçileri	kˌœmœkt͡ʃølˈeri
Okuwyň	oqˈʊβʊŋ
forumyň	fˌorˈʊmʊŋ
dolandyrmagyň	dˌoɫonnʊrmˈɑʁɯŋ
myhmanyň	mɯxmˈɑnɯŋ
sagatda	θɑʁˈɑtdɑ
duýgusyny	dˌʊjʁʊθˈʊnʊ
guruldy	ɡʊrˈʊɫɫʊ
sülçä	θˈølt͡ʃæ
Dabara	dɑβˈɑrɑ
Serginiň	θerʁˈiniŋ
ugradylýan	ˌʊʁrodˈʊɫjɑn
meýdany	mejdˈɑːnɯ
Prokuror	proqˈʊror
gurallaryny	ɡˌʊroɫɫorˈɯnɯ
diplomlar	dipɫˈomɫor
Nesil	nˈeθil
kyn	qˈɯn
tomaşaçylaryň	tˌomoʃˌot͡ʃɯɫˈɑrɯŋ
HJ	hd͡ʒ
keselleri	kˌeθellˈeri
almagy	ɑɫmˈɑʁɯ
gara	ɡˈɑrɑ
seslenme	θeθlˈenme
tarif	tˈɑrif
merkezlerindäki	mˌerkeðlˌerindˈæːkɪ
bähbitli	bæhβˈitli
korporasiýasynyň	qˌorporˌoθijɑθˈɯnɯŋ
Derňew	dˈerŋœβ
Ruhy	rˈʊxʊ
ýetirilýär	jˌetirˈiljæːr
azatlyklarynyň	ˌɑðɑtɫˌɯqɫɑrˈɯnɯŋ
ýanwaryndan	jˌɑnβɑrˈɯnnɑn
ýeten	jˈeten
öndürildi	ˌœnnørˈølli
täsin	tˈæːθiːn
suw	θˈʊβ
habarly	xɑβˈɑrɫɯ
atmak	ɑtmˈɑq
şahsyýetnama	ʃˌɑxθɯjetnˈɑːmɑ
üzüm	ˈøðøm
häsiýet	hæθˈijet
altynjy	ɑɫtˈɯnd͡ʒɯ
salyşmak	θˌɑɫɯʃmˈɑq
ýene	jˈene
gutlaglary	ɡˌʊtɫoʁɫˈɑrɯ
jemlerine	d͡ʒˌemlerˈine
gazagystanly	ɡˌɑðɑʁɯθθˈɑnɫɯ
BMG	bmʁ
gozgalýan	ɡoðʁˈoɫjɑn
kesellän	keθˈellæn
ylymda	ɯɫˈɯmnɑ
harajatlary	xˌɑrɑd͡ʒɑtɫˈɑrɯ
tamamlanýar	tˌɑmɑmɫˈɑnjɑr
wezipäni	βˌeðipˈæni
obýektlerini	ˌoβjektlerˈini
ýazgyly	jɑðʁˈɯɫɯ
Gazyp	ɡˈɑðɯp
kino	kˈino
mazmun	mˈɑðmʊn
Iňlis	ˈiŋliθ
neşirler	neʃˈirler
Tehnologiýalar	tˌehnoɫˌoɡijˈɑɫɑr
ýöredilmegi	jˌœrœdølmˈeʁi
towuklaryň	tˌoβʊqɫˈorʊŋ
Watanym	βɑtˈɑnɯm
dessine	deθθˈine
öndürilýär	ˌœnnørˈøljæːr
gadyrly	ɡɑdˈɯrɫɯ
Ýurdumyzda	jˌʊrdʊmˈʊððo
menzilleri	mˌenðillˈeri
aýdymy	ɑjdˈɯmɯ
kesgitlenýär	kˌeθʁitlˈenjæːr
tapyşy	tɑpˈɯʃɯ
Ýolbaşçy	joːɫβˈoʃʃʊ
halypa	xɑɫˈɯpɑ
gaýybana	ɡˌɑjɯβˈɑnɑ
häsiýetlendirip	hˌæθijˌetlennˈirip
maşklar	mˈɑʃkɫɑr
hormatdygyny	xˌormotdʊʁˈɯnɯ
gidiliş	ɡidˈiliʃ
altyn	ˈɑɫtɯn
okuwçylar	ˌoqʊβt͡ʃˈʊɫɑr
bozmak	boðmˈoq
pudaklaryndaky	pˌʊdoqɫˌorɯndˈɑːqɯ
keramika	kˌerɑmˈikɑ
seýsmologik	θˌejθmoɫˈoɡik
mysallary	mˌɯθɑɫɫˈɑrɯ
barýandygyny	bˌɑrjɑnnɯʁˈɯnɯ
bilinmejek	bˌilinmˈed͡ʒek
maksadyna	mˌɑqθɑdˈɯnɑ
