riksja	rɪkʃaː
verrassingselement	vərɑsɪŋseːləmɛnt
hemelkaart	ɦeːməlkaːrt
sambal	sɑmbɑl
pip	pɪp
vulpotlood	vʏlpɔtloːt
natuurkracht	naːtyːrkrɑxt
strijdtoneel	strɛi̯toːneːl
verweerder	vərʋeːrdər
martiaal	mɑrtsiaːl
verknoeien	vərknui̯ən
kil	kɪl
boerin	burɪn
penibel	peːnibəl
tiest	tist
spon	spɔn
barricaderen	bɑrikaːdeːrən
insectenfauna	ɪnsɛktənfɑu̯naː
kruipbrem	krœy̯pbrɛm
bedleger	bɛtleːɣər
buitenvrouw	bœy̯tənvrɑu̯
walvisvaart	ʋɑlvɪsfaːrt
misleiden	mɪslɛi̯dən
condoleance	kɔndoːleːɑnsə
afdringen	ɑfdrɪŋən
socialist	soːʃaːlɪst
damp	dɑmp
bezie	bəzi
chocolade	ʃoːkoːlaːdə
druiventros	drœy̯vəntrɔs
element	eːləmɛnt
lustobject	lʏstɔbjɛkt
eentonigheid	eːntoːnəxɦɛi̯t
beharing	bəɦaːrɪŋ
funk	fʏŋk
uitvergrootte	œy̯tfərɣroːtə
onweder	ɔnʋeːdər
sticht	stɪxt
totalitair	toːtaːlitɛːr
kiwi	kiʋi
farmacie	fɑrmaːsi
deelnemer	deːlneːmər
colluderen	kɔlydeːrən
soldeerbout	sɔldeːrbɑu̯t
dijbeen	dɛibeːn
beermarter	beːrmɑrtər
verroeren	vərurən
avondster	aːvɔntstɛr
levenslucht	leːvənslʏxt
zonnedag	zɔnədɑx
buitenlander	bœy̯tənlɑndər
perk	pɛrk
toetreding	tutreːdɪŋ
zwaarwichtig	zʋaːrʋɪxtəx
casus	kaːzʏs
duplicaat	dyplikaːt
autocoureur	oːtoːkurøːr
expeditiekantoor	ɛkspəditsikɑntoːr
filtreren	fɪltreːrən
stokoud	stɔkɑu̯t
jargon	jɑrɣɔn
elitekorps	eːlitəkɔrps
deemoed	deːmut
shot	ʃɔt
beschieten	bəsxitən
boosterpack	buːstərpɛk
rouwproces	rɑu̯proːsɛs
flogiston	floːɣɪstɔn
kuifpinguïn	kœy̯fpɪŋɡʋɪn
stadsstrand	stɑtstrɑnt
offensief	ɔfɛnsif
exquis	ɛkskis
kraaienpoot	kraːi̯ənpoːt
zwellen	zʋɛlən
jus	ʒy
acrofobie	ɑkroːfoːbi
doodvonnis	doːtfɔnɪs
bulhond	bʏlɦɔnt
automobilist	ɑu̯toːmoːbilɪst
trekhaak	trɛkɦaːk
voedingskunde	vudɪŋskʏndə
dwaas	dʋaːs
ballastscheeps	bɑlɑstsxeːps
dove	doːvə
fluor	flyɔr
remparachute	rɛmpaːraːʃyt
vuurwerkslachtoffer	vyːrʋɛrkslɑxtɔfər
tragischt	traːɣist
continu	kɔntiny
mohammed	moːɦɑmɛt
wekelijks	ʋeːkələks
gezelschapsspel	ɣəzɛlsxɑpspɛl
verschepen	vɛrsxeːpən
behoudens	bəɦɑu̯dəns
aïs	aːis
binnenweg	bɪnənʋɛx
spaanplaatschroef	spaːnplaːtsxruf
dimensionaal	dimɛnsijoːnaːl
rijdt	rɛi̯t
gieten	ɣitən
zoroastrisme	zoːroːɑstrɪsmə
wijnhuis	ʋɛi̯nɦœy̯s
landgraaf	lɑntxraːf
volautomatisch	vɔlɑu̯toːmaːtis
aanzanden	aːnzɑndən
schubdier	sxʏpdiːr
jongedame	jɔŋədaːmə
begaafdheid	bəɣaːftɦɛi̯t
schootkind	sxoːtkɪnt
blaasroer	blaːsruːr
begelukzaligen	bəɣəlʏksaːləɣən
zesennegentig	zɛsənneːɣəntəx
wintereik	ʋɪntərɛi̯k
zetfout	zɛtfɑu̯t
body	bɔdi
chijlmaking	xɛi̯lmaːkɪŋ
pikorde	pɪkɔrdə
kerstverhaal	kɛrstfɛrɦaːl
volksrepubliek	vɔlksreːpyblik
hoofdschuldige	ɦoːftsxʏldəɣə
vermoording	vɛrmoːrdɪŋ
mayo	maːjoː
voorthelpen	voːrtɦɛlpən
jaaglijn	jaːxlɛi̯n
tranen	traːnən
grafelijk	ɣraːfələk
bromium	broːmiʏm
zakformaat	zɑkfɔrmaːt
kleven	kleːvən
ermede	ɛrmeːdə
atmosfeer	ɑtmɔsfeːr
waarnaartoe	ʋaːrnaːrtu
cynisch	sinis
zorgzaam	zɔrxsaːm
voorbehouden	voːrbəɦɑu̯dən
zegekar	zeːɣəkɑr
bunder	bʏndər
smeerlap	smeːrlɑp
bovenmenselijk	boːvənmɛnsələk
kring	krɪŋ
scholver	sxɔlvər
balverlies	bɑlvɛrlis
populair	poːpylɛːr
e	eː
viertaktmotor	viːrtɑktmoːtɔr
continuüm	kɔntinyʏm
overblijven	oːvərblɛi̯vən
amulet	aːmylɛt
doorzien	doːrzin
kapersbrief	kaːpərsbrif
diabetisch	diaːbeːtis
achterbak	ɑxtərbɑk
toewijding	tuʋɛi̯dɪŋ
akkerland	ɑkərlɑnt
erfgenaam	ɛrfxənaːm
verdedigingsmacht	vɛrdeːdəɣɪŋsmɑxt
lokoma	lɔkoːmaː
catalaan	kaːtaːlaːn
aartsbisdom	aːrtsbɪsdɔm
nie	nɪ
heemraad	ɦeːmraːt
vervellen	vɛrvɛlən
modern	moːdɛrn
geloofsafval	ɣəloːfsɑfɑl
afgieten	ɑfxitən
paardrijden	paːrtrɛi̯dən
lijmen	lɛi̯mən
albe	ɑlbə
detacheringsbureau	deːtɑʃeːrɪŋsbyroː
persfotograaf	pɛrsfoːtoːɣraːf
zaniker	zaːnɪkər
koningsmoord	koːnɪŋsmoːrt
spatiebalk	spaːtsibɑlk
haat	ɦaːt
chordofoon	xɔrdoːfoːn
narrenschip	nɑrənsxɪp
aanbellen	aːnbɛlən
nachtploeg	nɑxtplux
ondernemingsgeest	ɔndərneːmɪŋsxeːst
veteranen	veteranə
venusziekte	veːnʏssiktə
samenzweringstheoreticus	saːmənzʋeːriŋsteːjoːreːtikʏs
tsarenrijk	tsaːrənrɛi̯k
storax	stoːrɑks
gazelle	ɣaːzɛlə
grondelvoorn	ɣrɔndəlvoːrn
bandagist	bɑndaːʒɪst
smeerpoets	smeːrputs
medicatie	meːdikaːtsi
rugzwemmen	rʏxzʋɛmən
dorpsstraat	dɔrpstraːt
ontwinnen	ɔntʋɪnən
zijdgeweer	zɛi̯txəʋeːr
blazen	blaːzən
artieste	ɑrtistə
barotroop	baːroːtroːp
veerle	veːrlə
koeweit	kuʋɛi̯t
wilhelmina	ʋɪlɦɛlminaː
zandgroeve	zɑntxruvə
toproofdier	tɔproːfdiːr
autodidactisch	ɑu̯toːdidɑktis
gadde	ɣɑdə
weven	ʋeːvən
goudplevier	ɣɑu̯tpləviːr
vara	vaːraː
busbaan	bʏsbaːn
topvrouw	tɔpvrɑu̯
neutron	nøːtrɔn
steenkoud	steːnkɑu̯t
doodceel	doːtseːl
busschieter	bʏssxitər
yup	jʏp
zijns	zɛi̯ns
vestaals	vɛstaːls
amfibisch	ɑmfibis
afwachten	ɑfʋɑxtən
aanbetalen	aːnbətaːlən
stilzwijgen	stɪlzʋɛi̯ɣən
brutaal	brytaːl
hopman	ɦɔpmɑn
napoleontisch	naːpoːleːɔntis
anusridder	aːnʏsrɪdər
bitterbal	bɪtərbɑl
baldakijn	bɑldaːkɛi̯n
studeerkamer	stydeːrkaːmər
praatbarak	praːtbɑrɑk
koffiecultuur	kɔfikʏltyːr
blauwachtig	blɑu̯ɑxtəx
illustrator	ɪlystraːtɔr
arachnofauna	aːrɑxnoːfɑu̯naː
acaroloog	aːkaːroːloːx
pandjesjas	pɑntjəsjɑs
typologie	tipoːloː
begoocheling	bəɣoːxəlɪŋ
zelf	zɛlf
euthanasie	œy̯taːnaːzi
korps	kɔrps
autolamp	oːtoːlɑmp
speedboot	spitboːt
tijdrijden	tɛi̯trɛi̯dən
punten	pʏntən
manuur	mɑnyːr
beschieting	bəsxitɪŋ
decreet	dəkreːt
likker	lɪkər
dessert	dɛsɛrt
land	lɑnt
landras	lɑntrɑs
smetstof	smɛtstɔf
allen	ɑlən
geslagen	ɣəslaːɣən
vuurwerkverbod	vyːrʋɛrkfərbɔt
posten	pɔstən
tjaffelen	tʃɑfələn
desambigueren	dɛsɑmbiɣyeːrən
gelukzalig	ɣəlʏksaːləx
panikeren	paːnikeːrən
waterlobelia	ʋaːtərloːbeːliaː
affricaat	ɑfrikaːt
opstandeling	ɔpstɑndəlɪŋ
behuwdmoeder	bəɦyu̯tmudər
overmacht	oːvərmɑxt
dril	drɪl
breda	breːdaː
commando	kɔmɑndoː
schouwing	sxɑu̯ɪŋ
aanleveren	aːnleːvərən
slaap	slaːp
buiten	bœy̯tən
incubatie	ɪnkybaːtsi
garibaldihoed	ɣaːribɑldiɦut
stamroos	stɑmroːs
moerkonijn	muːrkoːnɛi̯n
geldstuk	ɣɛltstʏk
gunst	ɣʏnst
aanverwant	aːnvərʋɑnt
bankmanager	bɑŋkmɛnədʒər
kolenschop	koːlənsxɔp
sappig	sɑpəx
cilindercoördinaten	silɪndərkoːɔrdinaːtən
karmijn	kɑrmɛi̯n
tandzijde	tɑntsɛi̯də
stompneusaap	stɔmpnøːsaːp
ongeluk	ɔŋɣəlʏk
aalkorf	aːlkɔrf
werkverlet	ʋɛrkfərlɛt
dijkwezen	dɛi̯kʋeːzən
islamofoob	islaːmoːfoːp
anders	ɑndərs
fruitpan	frœy̯tpɑn
surplus	sʏrplʏs
raaklijn	raːklɛi̯n
koopstad	koːpstɑt
methanol	meːtaːnɔl
burgerluchtvaart	bʏrɣərlʏxtfaːrt
boerenlul	burənlʏl
exceptioneel	ɛksɛpʃoːneːl
hertenkamp	ɦɛrtənkɑmp
pissebed	pɪsəbɛt
schreeuwen	sxreːu̯ən
menspaard	mɛnspaːrt
rubidium	rybidiʏm
trampoline	trɑmpoːlinə
belangenverstrengeling	bəlɑŋənvɛrstrɛŋəlɪŋ
polemisch	poːleːmis
scherf	sxɛrf
manwijf	mɑnʋɛi̯f
schuchterheid	sxʏxtərɦɛi̯t
dashboard	dɛʃboːrt
tragischer	traːɣisər
oppervlaktevloot	ɔpərvlɑktəvloːt
krijgsbuit	krɛi̯xsbœy̯t
startsein	stɑrtsɛi̯n
voorlichter	voːrlɪxtər
waterhoen	ʋaːtərɦun
soepstengel	supstɛŋəl
bijdrage	bɛi̯draːɣə
inferioriteit	ɪnfeːrioːritɛi̯t
atheïsme	aːteːɪsmə
tuindorp	tœy̯ndɔrp
participatie	pɑrtəsipaːtsi
kleurenfoto	kløːrənfoːtoː
hein	ɦɛi̯n
bejaardenpartij	bəjaːrdənpɑrtɛi̯
hoger	ɦoːɣər
verstrengeling	vərstrɛŋəlɪŋ
ontucht	ɔntʏxt
hagedis	ɦaːɣədɪs
geschreven	ɣəsxreːvən
afdalen	ɑfdaːlən
bijspijkercursus	bɛi̯spɛi̯kərkʏrsʏs
veelhoek	veːlɦuk
zogeheten	zoːɣəɦeːtən
bledder	blɛdər
atoombom	aːtoːmbɔm
voorhangen	voːrɦɑŋən
bijectief	bijɛktif
kookplaat	koːkplaːt
ontvechten	ɔntvɛxtən
leeghoofd	leːxɦoːft
koolwitje	koːlʋɪtjə
mening	meːnɪŋ
protectionist	proːtɛkʃoːnɪst
alhoewel	ɑlɦuʋɛl
franse	frɑnsə
bakkenist	bɑkənɪst
prairial	prɛriɑl
kijk	kɛi̯k
adrenocorticaal	aːdreːnoːkɔrtikaːl
speekselklier	speːksəlkliːr
fiool	fioːl
drijfzand	drɛi̯fsɑnt
esoterisch	eːsoːteːris
doekoe	duku
galei	ɣaːlɛi̯
gast	ɣɑst
zaak	zaːk
iraans	iraːns
entomoloog	ɛntoːmoːloːx
speruur	spɛryːr
treuren	trøːrən
boek	buk
korrelig	kɔrələx
goudfazant	ɣɑu̯tfaːzɑnt
celliste	sɛlɪstə
stercatalogus	stɛrkaːtaːloːɣʏs
verpakking	vɛrpɑkɪŋ
etnoloog	ɛtnoːloːx
boomleeuwerik	boːmleːu̯ʋərɪk
maling	mɑlɪŋ
wad	ʋɑt
gezwel	ɣəzʋɛl
jezuïet	jeːzyit
oogmerk	oːxmɛrk
kramer	kraːmər
meertrapsraket	meːrtrɑpsraːkɛt
soldatenkeizer	sɔldaːtənkɛi̯zər
doorweekt	doːrʋeːkt
diepvriesbaby	dipfrisbeːbi
toeristenplaats	turɪstənplaːts
zelfmedicatie	zɛlfmeːdikaːtsi
attributief	ɑtrɪbytif
bergmassief	bɛrxmɑsif
staatloos	staːtloːs
router	rɑu̯tər
boomvors	boːmvɔrs
cannabist	kɑnaːbɪst
traditie	traːditsi
buslijn	bʏslɛi̯n
doodswens	doːtsʋɛns
bedoelen	bədulən
eponymie	eːpoːnimi
zoudt	zɑu̯t
argus	ɑrɣʏs
conga	kɔŋɡaː
moedertaalspreker	mudərtaːlspreːkər
lijkkleed	lɛi̯kleːt
telefonist	teːləfoːnɪst
pligt	plɪxt
anabolisme	ɑnaːboːlɪsmə
droog	droːx
analemma	aːnaːlɛmaː
flanel	flaːnɛl
vroedmeester	vrutmeːstər
weerlicht	ʋeːrlɪxt
embryologie	ɛmbrioːloːɣi
neutronenbom	nøːtroːnənbɔm
dipoolmoment	dipoːlmoːmɛnt
boerenjongen	buːrənjɔŋən
freak	friːk
aanbevelenswaard	aːnbəveːlənsʋaːrt
peiger	pɛi̯ɣər
woestijnvijg	ʋustɛi̯nvɛi̯x
melkchocola	mɛlkʃoːkoːlaː
uitbaten	œy̯tbaːtən
auerhaan	ɑu̯ərɦaːn
erdoorheen	ɛrdoːrɦeːn
stomen	stoːmən
nieuweling	niu̯əlɪŋ
trombotisch	trɔmboːtis
sokken	sɔkən
kom	kɔm
adelbrief	aːdəlbrif
brazilië	braːziliə
ervaringsdeskundige	ɛrvaːrɪŋsdɛskʏndəɣə
paljas	pɑljɑs
hollands	ɦɔlɑnts
voetbal	vutbɑl
plutocratie	plytoːkraːtsi
spikkel	spɪkəl
spraakkunstregel	spraːkʏnstreːɣəl
paranoïde	paːraːnoːidə
watersport	ʋaːtərspɔrt
aardes	aːrdəs
baanboef	baːnbuf
erfelijkheid	ɛrfləkɦɛi̯t
fotomodel	foːtoːmoːdɛl
haakneus	ɦaːknøːs
nieuwsoverzicht	niu̯soːvərzɪxt
overzetten	oːvərzɛtən
zaalverlichting	zaːlvɛrlɪxtɪŋ
beweren	bəʋeːrən
salomo	saːloːmoː
sven	sfɛn
gebrekkigheid	ɣəbrɛkəxɦɛi̯t
antimonium	ɑntimoːniʏm
plaatstaal	plaːtstaːl
spurt	spʏrt
achterop	ɑxtərɔp
oh	oː
steenslag	steːnslɑx
orkaan	ɔrkaːn
strijkijzer	strɛi̯kɛi̯zər
kleerkast	kleːrkɑst
centiem	sɛntim
suikermoei	sœy̯kərmui̯
herbronnen	ɦɛrbrɔnən
kerktoren	kɛrktoːrən
vliesgevel	vlisxeːvəl
gors	ɣɔrs
hilariteit	ɦilaːritɛi̯t
kapelmeester	kaːpɛlmeːstər
castiliaans	kɑstiliaːns
uitdruk	ʌy̯drʏk
welterusten	ʋɛltərʏstən
donderdagsochtends	dɔndərdɑxsɔxtənts
omzien	ɔmzin
geloofsovertuiging	ɣəloːfsoːvərtœy̯ɣɪŋ
afschrikking	ɑfsxrɪkɪŋ
afvissen	ɑfɪsən
geworden	ɣəʋɔrdən
tovergodin	toːvərɣoːdɪn
confederaal	kɔnfeːdəraːl
kwab	kʋɑp
budgetje	bydʒɛtjə
kutkind	kʏtkɪnt
dialogisch	diaːloːɣis
citroenlimonade	sitrunlimoːnaːdə
vuilnis	vœy̯lnɪs
kolderschijf	kɔldərsxɛi̯f
sisklank	sɪsklɑŋk
exploiteren	ɛksplʋaːteːrən
eetstoornis	eːtstoːrnɪs
varkensvlees	vɑrkənsfleːs
knevel	kneːvəl
beitelen	bɛi̯tələn
rozenbed	roːzənbɛt
kalefateren	kaːləfaːtərən
stuurautomaat	styːroːtoːmaːt
bijland	bɛi̯lɑnt
alpenhoorn	ɑlpənɦoːrn
uitsprak	œːtsprɑk
scheiden	sxɛi̯dən
verloofd	vərloːft
buikspreken	bœy̯kspreːkən
begrotingsartikel	bəɣroːtɪŋsɑrtikəl
stroommeter	stroːmeːtər
schippers	sxɪpərs
spammer	spɛmər
bespannen	bəspɑnən
dijkbewaking	dɛi̯kbəʋaːkɪŋ
heulsap	ɦøːlsɑp
veldbed	vɛltbɛt
deurklopper	døːrklɔpər
polsslag	pɔlslɑx
schoorsteenmantel	sxoːrsteːnmɑntəl
voortuin	voːrtœy̯n
vrijduiken	vrɛidœy̯kən
bankkaart	bɑŋkaːrt
boekstaven	bukstaːvən
magnaat	mɑxnaːt
slangenarend	slɑŋənaːrənt
rollen	rɔlən
tuigleer	tœy̯xleːr
muzieknoot	myziknoːt
afhaalrestaurant	ɑfɦaːlrɛstoːrɑnt
zoetwatervis	zutʋaːtərvɪs
keer	keːr
armhuis	ɑrmɦœy̯s
elegantie	eːləɣɑnsi
beslijpen	bəslɛi̯pən
energiewende	eːnərɣiʋɛndə
sesquiplan	sɛskʋiplɑn
archont	ɑrxɔnt
huisvredebreuk	ɦœy̯sfreːdəbrøːk
zode	zoːdə
broeinest	brui̯nɛst
eetwaar	eːtʋaːr
aanwassen	aːnʋɑsən
lampolie	lɑmpoːli
vroedkunde	vrutkʏndə
nepperd	nɛpərt
kopiist	koːpiɪst
minderjarig	mɪndərjaːrəx
paasstol	paːstɔl
genève	zjənɛːvə
alles	ɑləs
protocollair	proːtoːkɔlɛːr
deklat	dɛklɑt
doelrationaliteit	dulraːtʃoːnaːlitɛi̯t
arbeidsovereenkomst	ɑrbɛi̯tsoːvəreːnkɔmst
enquête	ɑŋkɛːtə
parasiteren	paːraːsiteːrən
paranoia	paːraːnoːjaː
spitsuur	spɪtsyːr
rijder	rɛi̯dər
voorman	voːrmɑn
confirmeren	kɔnfɪrmeːrən
naaldwoud	naːltʋɑu̯t
loep	lup
salon	saːlɔn
celadon	seːlaːdɔn
uitdrukte	ʌy̯drʏktə
achterdeel	ɑxtərdeːl
ijslands	ɛi̯slɑnts
eufonie	øːfoːni
puristisch	pyrɪstis
eroticum	eːroːtikʏm
wachtvolk	ʋɑxtfɔlk
aziatisch	aːzijaːtis
scheenbeen	sxeːnbeːn
placebo	plaːseːboː
lid	lɪt
amuse	aːmyːzə
paneel	paːneːl
voorwendsel	voːrʋɛntsəl
kaolo	kɑu̯loː
baarder	baːrdər
annexeren	ɑnɛkseːrən
zuidwestelijk	zœy̯tʋɛstələk
bondsstaat	bɔntstaːt
stram	strɑm
zodat	zoːdɑt
zwoelte	zʋultə
tierelantijn	tiːrəlɑntɛi̯n
tegenbegroting	teːɣənbəɣroːtɪŋ
stomp	stɔmp
neutron	nœy̯trɔn
zeeverbinding	zeːvɛrbɪndɪŋ
accelereren	ɑkseːləreːrən
rittenwedstrijd	rɪtənʋɛtstrɛi̯t
fractuur	frɑktyːr
afkomen	ɑfkoːmən
barok	baːrɔk
knoeperd	knupərt
automonteur	ɑu̯toːmɔntøːr
priester	pristər
woordvorming	ʋoːrtfɔrmɪŋ
gereedschapskist	ɣəreːtsxɑpskɪst
vooruitzicht	voːrœy̯tsɪxt
erover	əroːvər
belize	beːliːzə
uitbeeldden	œy̯dbeːldən
omgeving	ɔmɣeːvɪŋ
om	ɔm
embryo	ɛmbrioː
zandbak	zɑntbɑk
cornwallis	kɔrnʋɑlɪs
opiumhol	oːpiʏmɦɔl
afzondering	ɑfsɔndərɪŋ
bevinding	bəvɪndɪŋ
conservator	kɔnzɛrvaːtɔr
elpenbeen	ɛlpənbeːn
catechismus	kaːtəxɪsmʏs
schimmenspel	sxɪmənspɛl
bevind	bəvɪnt
ejaculatie	eːjaːkylaːtsi
zoog	zoːx
poolbeer	poːlbeːr
rappen	rɛpən
eilandengroep	ɛi̯lɑndənɣrup
verplichting	vɛrplɪxtɪŋ
zomer	zoːmər
tepelhof	teːpəlɦɔf
allesbehalve	ɑləsbəɦɑlvə
molecuul	moːləkyl
belichaming	bəlɪxaːmɪŋ
kleermakerszit	kleːrmaːkərsɪt
ontstoren	ɔntstoːrən
vlugschrift	vlʏxsxrɪft
plichtpleging	plɪxtpleːɣɪŋ
biodiversiteit	bioːdivɛrsitɛi̯t
rechtszaak	rɛxtsaːk
spookdorp	spoːkdɔrp
desoriëntatie	dɛsoːriɛntaːtsi
diepvries	dipfris
limonade	limoːnaːdə
bedankt	bədɑŋkt
rem	rɛm
nevel	neːvəl
glycogeen	ɣlikɔɣen
trompetvogel	trɔmpɛtfoːɣəl
hondenslee	ɦɔndənsleː
benadrukken	bənaːdrʏkən
verwen	vɛrʋən
dorsaal	dɔrsaːl
hooikist	ɦoːi̯kɪst
allicht	ɑlɪxt
born	bɔrn
inreisverbod	ɪnrɛi̯sfərbɔt
gist	ɣɪst
heester	ɦeːstər
gasnevel	ɣɑsneːvəl
staartmees	staːrtmeːs
schnabbel	snɑbəl
ruk	rʏk
itter	ɪtər
volksvijandig	vɔlksfɛi̯ɑndəx
centiseconde	sɛntisəkɔndə
bijou	biʒu
bondgenootschap	bɔntxənoːtsxɑp
bladtin	blɑtɪn
begonnen	bəɣɔnən
kruik	krœy̯k
associatie	ɑsoːsjaːtsi
bloemenkwekerij	blumənkʋeːkərɛi̯
toets	tuts
zimbabwaan	zɪmbɑpʋaːn
creativiteit	kreːjaːtivitɛi̯t
golfen	ɣɔlfən
obstakel	ɔpstaːkəl
austroaziatisch	ɑu̯stroːaːziaːtis
snuifdoos	snœy̯fdoːs
oksel	ɔksəl
boeddhistisch	budɪstis
kieskring	kiskrɪŋ
calorisch	kaːloːris
stam	stɑm
kroondomein	kroːndoːmɛi̯n
eurocentrisme	øːroːsɛntrɪsmə
beiaard	bɛi̯aːrt
postbezorger	pɔstbəzɔrɣər
palestina	paːlɛstinaː
kwezel	kʋeːzəl
zeeslang	zeːslɑŋ
pterosaurus	pteːroːsɑu̯rʏs
gehost	ɣəɦoːst
ontvoering	ɔntfuːrɪŋ
aruba	aːrybaː
doodvallen	doːtfɑlən
volksopstand	vɔlksɔpstɑnt
vertrossen	vɛrtrɔsən
weergalmen	ʋeːrɣɑlmən
pieter	pitər
dieselgate	dizəlɡeːt
leek	leːk
rupsvoertuig	rʏpsvuːrtœy̯x
oeps	ups
westerkwartier	ʋɛstərkʋɑrtir
familiemoord	faːmilimoːrt
dakkoffer	dɑkɔfər
letterkundig	lɛtərkʏndəx
endotherm	ɛndoːtɛrm
onverzettelijkheid	ɔnvərzɛtələkɦɛi̯t
quint	kʋɪnt
bretel	brətɛl
overhoren	oːvərɦoːrən
knoeften	knuftən
dwingeloo	dʋɪŋəloː
skatete	skeːtə
opknopen	ɔpknoːpən
einsteinium	ɑi̯nstɑi̯niʏm
poedelbad	pudəlbɑt
doof	doːf
vreemdelingenhaat	vreːmdəlɪŋənɦaːt
ellenlang	ɛlənlɑŋ
diploïd	diploːit
natalie	naːtaːli
amber	ɑmbər
zever	zeːvər
aoristisch	aːoːrɪstis
sterrenkunde	stɛrənkʏndə
edelsteen	eːdəlsteːn
ontgorden	ɔntɣɔrdən
pendelbus	pɛndəlbʏs
klad	klɑt
mutageen	mytaːɣeːn
werkloos	ʋɛrkloːs
paradoxaal	paːraːdɔksaːl
wildebras	ʋɪldəbrɑs
bloeddorst	blutdɔrst
audio	ɑu̯dioː
offeraar	ɔfəraːr
armsnoer	ɑrmsnuːr
eikeboom	ɛi̯kəboːm
asielzoekerscentrum	aːzilzukərsɛntrʏm
adder	ɑdər
antwerpenaar	ɑntʋɛrpənaːr
karstbron	kɑrstbrɔn
begraafplaats	bəɣraːfplaːts
bendeoorlog	bɛndəoːrlɔx
reclame	rəklaːmə
uitsprake	œy̯tspraːkə
buikholte	bœy̯kɦɔltə
muistroom	mœy̯stroːm
antropomorfisch	ɑntroːpoːmɔrfis
exponentiaal	ɛkspoːnɛnʃaːl
globalist	ɣloːbaːlɪst
cytoskelet	sitoːskəlɛt
ampèremeter	ɑmpɛːrəmeːtər
contant	kɔntɑnt
opwind	ɔpʋɪnt
buikdanser	bœy̯kdɑnsər
beschouwen	bəsxɑu̯ən
afrijten	ɑfrɛi̯tən
behaaglijk	bəɦaːxlək
viering	virɪŋ
opnieuw	ɔpniu̯
afvlakken	ɑflɑkən
verschillen	vərsxɪlən
luchtgitaar	lʏxtxitaːr
bruusk	brysk
droge	droːɣə
ernaar	ərnaːr
paardenstaart	paːrdənstaːrt
sittard	sɪtɑrt
oliemolen	oːlimoːlən
zutphen	zʏtfən
banja	bɑnjaː
reizen	rɛi̯zən
melkfles	mɛlkflɛs
onmannelijk	ɔmɑnələk
held	ɦɛlt
bouwvergunning	bɑu̯vərɣʏnɪŋ
voorbillen	voːrbɪlən
vercammen	vərkɑmən
treife	trɛi̯fə
smoutebol	smɑu̯təbɔl
schijtlijster	sxɛi̯tlɛi̯stər
benedenwaarts	bəneːdənʋaːrts
vervliegen	vɛrvliɣən
ministerie	ministeːri
amorf	aːmɔrf
slavenfort	slaːvənfɔrt
solist	soːlɪst
ontvriezen	ɔntvrizən
schilderstuk	sxɪldərstʏk
omhelzen	ɔmɦɛlzən
hoezo	ɦuzoː
zich	zɪx
dieselmotor	dizəlmoːtɔr
zadelpen	zaːdəlpɛn
weerloosheid	ʋeːrloːsɦɛi̯t
irredentist	ɪrədɛntɪst
religie	rəliɣi
brontaal	brɔntaːl
volzin	vɔlzɪn
kustverdediging	kʏstfərdeːdəɣɪŋ
vangbal	vɑŋbɑl
rattenlijn	rɑtənlɛi̯n
barnen	bɑrnən
aanplakbiljet	aːnplɑkbɪljɛt
hanenkamp	ɦaːnənkɑmp
podiumbeest	poːdiʏmbeːst
reservoir	reːzərvʋaːr
ontzwerven	ɔntzʋɛrvən
miltvuurbos	mɪltfyːrbɔs
skateboard	skeːtbɔrt
sneeuw	sneːu̯
onweerstaanbaar	ɔnʋeːrstaːnbaːr
geschonden	ɣəsxɔndən
tewerkstelling	təʋɛrkstɛlɪŋ
koffer	kɔfər
lepelaar	leːpəlaːr
afkoelen	ɑfkulən
kruisverwijzing	krœy̯sfɛrʋɛi̯zɪŋ
patrouille	paːtrujə
dodo	doːdoː
avonturier	aːvɔntyriːr
overlappen	oːvərlɑpən
pixel	pɪksəl
carcinogeen	kɑrsinoːɣeːn
bruidsjurk	brœy̯tsjʏrk
beschadigen	bəsxaːdəɣən
zadeljakhals	zaːdəljɑkɦɑls
scenario	sənaːrioː
geldhoeveelheid	ɣɛltɦuveːlɦɛi̯t
besparingen	bəspaːrɪŋən
debetkolom	deːbɛtkoːlɔm
fuifnummer	fœy̯fnʏmər
bleitsmoel	blɛi̯tsmul
effectenbeurs	ɛfɛktənbøːrs
klant	klɑnt
kruier	krœy̯ər
sjeikdom	ʃɛi̯kdɔm
schnabbelen	snɑbələn
domkerk	dɔmkɛrk
berkelium	bɛrkeːliʏm
erezaak	eːrəzaːk
ijspegel	ɛi̯speːɣəl
kladschilder	klɑtsxɪldər
klok	klɔk
geel	ɣeːl
godgans	ɣɔtxɑns
symmetrieas	simeːtriɑs
talmoed	tɑlmut
kristal	krɪstɑl
autosegmenteel	oːtoːsɛxmɛnteːl
leiden	lɛi̯ə
aanvallig	aːnvɑləx
hoofddeksel	ɦoːfdɛksəl
ethanol	eːtaːnɔl
kaartspel	kaːrtspɛl
duvelstoejager	dyvəlstujaːɣər
naamdag	naːmdɑx
schoffel	sxɔfəl
schuimtaal	sxœy̯mtaːl
ontwijken	ɔntʋɛi̯kən
brandpuntsafstand	brɑntpʏntsɑfstɑnt
foreest	foːreːst
vrijlating	vrɛi̯laːtɪŋ
beramen	bəraːmən
stofwisselingsziekte	stɔfʋɪsəlɪŋssiktə
stoffer	stɔfər
verrijgen	vɛrrɛi̯ɣən
