높으락낮으락하다	no̞pʰɯɾa̠ŋna̠d͡ʑɯɾa̠kʰa̠da̠
성립하다	sʰʌ̹ŋnipʰa̠da̠
씽끗뻥끗	ɕ͈iŋk͈ɯt̚p͈ʌ̹ŋk͈ɯt̚
각별히	ka̠k̚p͈jʌ̹ɾʝi
질긴	t͡ɕiɭɡin
쓸개	s͈ɯɭɡɛ̝
사령관	sʰa̠ɾjʌ̹ŋɡwa̠n
사법사무	sʰa̠bʌ̹ps͈a̠mu
실연	ɕʰiɾjʌ̹n
수정란	sʰud͡ʑʌ̹ŋna̠n
다큐멘터리	ta̠kçjume̞ntʰʌ̹ɾi
밋밋하다	minmitʰa̠da̠
조각기	t͡ɕo̞ɡa̠k̚k͈i
유도함수	judo̞ɦa̠msʰu
안라	a̠ɭɭa̠
봉군	po̞ŋɡun
삼원	sʰa̠mwʌ̹n
빈객	pinɡɛ̝k̚
재단 법인	t͡ɕɛ̝da̠npʌ̹bin
광학기기	kwa̠ŋɦa̠k̚k͈iɡi
무역금융	mujʌ̹k̚k͈ɯmjuŋ
방황하다	pa̠ŋβwa̠ŋɦa̠da̠
으적	ɯd͡ʑʌ̹k̚
봄갈이	po̞mɡa̠ɾi
바로잡혀지다	pa̠ɾo̞d͡ʑa̠pʰjʌ̹d͡ʑida̠
찌끈거리다	t͡ɕ͈ik͈ɯnɡʌ̹ɾida̠
볼툭하다	po̞ɭtʰukʰa̠da̠
삼각건	sʰa̠mɡa̠k̚k͈ʌ̹n
가을날	ka̠ɯɭɭa̠ɭ
제조업자	t͡ɕe̞d͡ʑo̞ʌ̹p̚t͡ɕ͈a̠
개	kɛ̝
전파	t͡ɕʌ̹npʰa̠
플레이팅	pʰɯɭɭe̞itʰiŋ
강냉이바구미	ka̠ŋnɛ̝ŋiba̠ɡumi
평	pʰjʌ̹ŋ
민망	minma̠ŋ
호젓하다	ɸʷo̞d͡ʑʌ̹tʰa̠da̠
보조원장	po̞d͡ʑo̞wʌ̹nd͡ʑa̠ŋ
검복	kʌ̹mbo̞k̚
아치장대다	a̠t͡ɕʰid͡ʑa̠ŋdɛ̝da̠
허겁지겁하다	hʌ̹ɡʌ̹p̚t͡ɕ͈iɡʌ̹pʰa̠da̠
암매매	a̠mmɛ̝mɛ̝
등록증	tɯŋno̞k̚t͡ɕ͈ɯŋ
어학연수	ʌ̹ɦa̠ɡjʌ̹nsʰu
쩌릿	t͡ɕ͈ʌ̹ɾit̚
악수하다	a̠ks͈uɦa̠da̠
가벌성	ka̠bʌ̹ɭsʰʌ̹ŋ
갈쌍갈쌍	ka̠ɭs͈a̠ŋɡa̠ɭs͈a̠ŋ
삼지례	sʰa̠md͡ʑiɾje̞,sʰa̠md͡ʑiɾe̞
소승	sʰo̞sʰɯŋ
중과실	t͡ɕuŋɡwa̠ɕʰiɭ
조직적	t͡ɕo̞d͡ʑik̚t͡ɕ͈ʌ̹k̚
다음다음	ta̠ɯmda̠ɯm
천자문	t͡ɕʰʌ̹nd͡ʑa̠mun
기모노	kimo̞no̞
허영	hʌ̹jʌ̹ŋ
어설피	ʌ̹sʰʌ̹ɭpʰi
압축	a̠p̚t͡ɕʰuk̚
삼상	sʰa̠msʰa̠ŋ
수단가	sʰuda̠nɡa̠
역사과학	jʌ̹ks͈a̠ɡwa̠ɦa̠k̚
닷샛날	ta̠t̚s͈ɛ̝nna̠ɭ
유령	juɾjʌ̹ŋ
서자	sʰʌ̹d͡ʑa̠
무역품	mujʌ̹k̚pʰum
야금야금	ja̠ɡɯmja̠ɡɯm
유전자형	jud͡ʑʌ̹nd͡ʑa̠ʝjʌ̹ŋ
마중	ma̠d͡ʑuŋ
경쇠	kjʌ̹ŋsʰø̞,kjʌ̹ŋsʰwe̞
화학자	ɸwa̠ɦa̠k̚t͡ɕ͈a̠
섬쩍지근	sʰʌ̹mt͡ɕ͈ʌ̹k̚t͡ɕ͈iɡɯn
해방하다	hɛ̝ba̠ŋɦa̠da̠
방관	pa̠ŋɡwa̠n
차림새	t͡ɕʰa̠ɾimsʰɛ̝
그러하다	kɯɾʌ̹ɦa̠da̠
가부시키	ka̠buɕʰikçi
솔방구	sʰo̞ɭba̠ŋɡu
바지직대다	pa̠d͡ʑid͡ʑik̚t͈ɛ̝da̠
명존실무	mjʌ̹ŋd͡ʑo̞nɕʰiɭmu
산업재해보상보험	sʰa̠nʌ̹p̚t͡ɕ͈ɛ̝ɦɛ̝bo̞sʰa̠ŋbo̞ɦʌ̹m
멋지다	mʌ̹t̚t͡ɕ͈ida̠
멸살되다	mjʌ̹ɭsʰa̠ɭdø̞da̠,mjʌ̹ɭsʰa̠ɭdwe̞da̠
금광업	kɯmɡwa̠ŋʌ̹p̚
간략	ka̠ɭʎja̠k̚
버벅	pʌ̹bʌ̹k̚
미지근	mid͡ʑiɡɯn
홍합	ɸʷo̞ŋɦa̠p̚
삭마 작용	sʰa̠ŋma̠t͡ɕa̠ɡjoŋ
액정	ɛ̝k̚t͡ɕ͈ʌ̹ŋ
씰긋씰긋	ɕ͈iɭɡɯt̚ɕ͈iɭɡɯt̚
술집	sʰuɭd͡ʑip̚
츠렁츠렁	t͡ɕʰɯɾʌ̹ŋt͡ɕʰɯɾʌ̹ŋ
깔짝이다	k͈a̠ɭt͡ɕ͈a̠ɡida̠
앞당기다	a̠p̚t͈a̠ŋɡida̠
기꺼이	kik͈ʌ̹i
관광국가	kwa̠nɡwa̠ŋɡuk̚k͈a̠
조런	t͡ɕo̞ɾʌ̹n
지우산	t͡ɕiusʰa̠n
모후	mo̞βu
군교즈	kunɡjod͡ʑɯ
가선	ka̠sʰʌ̹n
한가	ha̠nɡa̠
가계부	ka̠ɡje̞bu,ka̠ɡe̞bu
신하	ɕʰinɦa̠
저르륵하다	t͡ɕʌ̹ɾɯɾɯkʰa̠da̠
문예란	muɲje̞ɾa̠n
겨울방학	kjʌ̹uɭba̠ŋɦa̠k̚
주제넘다	t͡ɕud͡ʑe̞nʌ̹mda̠
짤각짤각	t͡ɕ͈a̠ɭɡa̠k̚t͡ɕ͈a̠ɭɡa̠k̚
진군하다	t͡ɕinɡunɦa̠da̠
검거하다	kʌ̹mɡʌ̹ɦa̠da̠
고즈넉	ko̞d͡ʑɯnʌ̹k̚
다붓다붓	ta̠but̚t͈a̠but̚
도마뱀	to̞ma̠bɛ̝m
어령칙이	ʌ̹ɾjʌ̹ŋt͡ɕʰiɡi
까칫거리다	k͈a̠t͡ɕʰit̚k͈ʌ̹ɾida̠
멀쩍멀쩍	mʌ̹ɭt͡ɕ͈ʌ̹ŋmʌ̹ɭt͡ɕ͈ʌ̹k̚
언듯	ʌ̹ndɯt̚
희비극	çibiɡɯk̚
만남	ma̠nna̠m
세륨	sʰe̞ɾjum
미용	mijoŋ
혼성	ɸʷo̞nsʰʌ̹ŋ
쌈박대다	s͈a̠mba̠k̚t͈ɛ̝da̠
비료	piɾjo
평범화	pʰjʌ̹ŋbʌ̹mβwa̠
디스코	tisʰɯkʰo̞
자주력	t͡ɕa̠d͡ʑuɾjʌ̹k̚
입구	ip̚k͈u
자유로이	t͡ɕa̠juɾo̞i
할짝하다	ha̠ɭt͡ɕ͈a̠kʰa̠da̠
판득판득	pʰa̠ndɯk̚pʰa̠ndɯk̚
피부혈관	pʰibuʝjʌ̹ɭɡwa̠n
통정	tʰo̞ŋd͡ʑʌ̹ŋ
몽토록몽토록하다	mo̞ŋtʰo̞ɾo̞ŋmo̞ŋtʰo̞ɾo̞kʰa̠da̠
끙끙대다	k͈ɯŋk͈ɯŋdɛ̝da̠
희석도	çisʰʌ̹k̚t͈o̞
곰질하다	ko̞md͡ʑiɾɦa̠da̠
꾸붓꾸붓	k͈ubut̚k͈ubut̚
구원	kuwʌ̹n
품	pʰum
위장하다	ɥid͡ʑa̠ŋɦa̠da̠,yd͡ʑa̠ŋɦa̠da̠
어설프다	ʌ̹sʰʌ̹ɭpʰɯda̠
누덕누덕하다	nudʌ̹ŋnudʌ̹kʰa̠da̠
어촌	ʌ̹t͡ɕʰo̞n
푸다닥하다	pʰuda̠da̠kʰa̠da̠
덕더글거리다	tʌ̹k̚t͈ʌ̹ɡɯɭɡʌ̹ɾida̠
노근노근	no̞ɡɯnno̞ɡɯn
벌거벗기다	pʌ̹ɭɡʌ̹bʌ̹t̚k͈ida̠
압박하다	a̠p̚p͈a̠kʰa̠da̠
재질재질	t͡ɕɛ̝d͡ʑiɭd͡ʑɛ̝d͡ʑiɭ
똥고집	t͈o̞ŋɡo̞d͡ʑip̚
어협	ʌ̹ʝjʌ̹p̚
볼뚝거리다	po̞ɭt͈uk̚k͈ʌ̹ɾida̠
가마때기	ka̠ma̠t͈ɛ̝ɡi
씽긋대다	ɕ͈iŋɡɯt̚t͈ɛ̝da̠
평삭	pʰjʌ̹ŋsʰa̠k̚
구석기발	kusʰʌ̹k̚k͈iba̠ɭ
서뿐하다	sʰʌ̹p͈unɦa̠da̠
끼지럭끼지럭	k͈id͡ʑiɾʌ̹k̚k͈id͡ʑiɾʌ̹k̚
열악하다	jʌ̹ɾa̠kʰa̠da̠
멱주머니	mjʌ̹k̚t͡ɕ͈umʌ̹ni
재산가	t͡ɕɛ̝sʰa̠nɡa̠
일견하다	iɭɡjʌ̹nɦa̠da̠
지방세포	t͡ɕiba̠ŋsʰe̞pʰo̞
최첨단	t͡ɕʰø̞t͡ɕʰʌ̹mda̠n,t͡ɕʰwe̞t͡ɕʰʌ̹mda̠n
둔통	tuntʰo̞ŋ
무역백서	mujʌ̹k̚p͈ɛ̝ks͈ʌ̹
소초	sʰo̞t͡ɕʰo̞
환히	ɸwa̠nʝi
짤뚜막짤뚜막	t͡ɕ͈a̠ɭt͈uma̠k̚t͡ɕ͈a̠ɭt͈uma̠k̚
부식물	puɕʰiŋmuɭ
재정권	t͡ɕɛ̝d͡ʑʌ̹ŋɡwʌ̹n
초년생	t͡ɕʰo̞ɲjʌ̹nsʰɛ̝ŋ
요즈음	jod͡ʑɯɯm
권세	kwʌ̹nsʰe̞
처절썩하다	t͡ɕʰʌ̹d͡ʑʌ̹ɭs͈ʌ̹kʰa̠da̠
위험률	ɥiɦʌ̹mɲjuɭ,yɦʌ̹mɲjuɭ
홍예문	ɸʷo̞ŋje̞mun
방조하다	pa̠ŋd͡ʑo̞ɦa̠da̠
어칠거리다	ʌ̹t͡ɕʰiɭɡʌ̹ɾida̠
달붙다	ta̠ɭbut̚t͈a̠
반완하다	pa̠nwa̠nɦa̠da̠
마샬군도	ma̠ɕʰja̠ɭɡundo̞
현무암	çjʌ̹nmua̠m
날짱날짱	na̠ɭt͡ɕ͈a̠ŋna̠ɭt͡ɕ͈a̠ŋ
경제사	kjʌ̹ŋd͡ʑe̞sʰa̠
짖다	t͡ɕit̚t͈a̠
바수트리다	pa̠sʰutʰɯɾida̠
사이렌	sʰa̠iɾe̞n
미기후	miɡiβu
분점	pund͡ʑʌ̹m
사상자	sʰa̠sʰa̠ŋd͡ʑa̠
쑬꺽쑬꺽하다	s͈uɭk͈ʌ̹ks͈uɭk͈ʌ̹kʰa̠da̠
살인극	sʰa̠ɾinɡɯk̚
퍼드덕	pʰʌ̹dɯdʌ̹k̚
영웅	jʌ̹ŋuŋ
경제생활	kjʌ̹ŋd͡ʑe̞sʰɛ̝ŋβwa̠ɭ
나무저가락	na̠mud͡ʑʌ̹ɡa̠ɾa̠k̚
짤깃짤깃하다	t͡ɕ͈a̠ɭɡit̚t͡ɕ͈a̠ɭɡitʰa̠da̠
여지노	jʌ̹d͡ʑino̞
거무트름	kʌ̹mutʰɯɾɯm
대기확산	tɛ̝ɡiβwa̠ks͈a̠n
시침하다	ɕʰit͡ɕʰimɦa̠da̠
비천	pit͡ɕʰʌ̹n
시각적	ɕʰiɡa̠k̚t͡ɕ͈ʌ̹k̚
도닥대다	to̞da̠k̚t͈ɛ̝da̠
교란	kjoɾa̠n
바드등바드등하다	pa̠dɯdɯŋba̠dɯdɯŋɦa̠da̠
자판	t͡ɕa̠pʰa̠n
식용품	ɕʰiɡjoŋpʰum
약죽거리다	ja̠k̚t͡ɕ͈uk̚k͈ʌ̹ɾida̠
워싱톤	wʌ̹ɕʰiŋtʰo̞n
부꾸레슈띠	puk͈uɾe̞ɕʰjut͈i
내륙기후	nɛ̝ɾjuk̚k͈iβu
시추	ɕʰit͡ɕʰu
고부랑하다	ko̞buɾa̠ŋɦa̠da̠
판서하다	pʰa̠nsʰʌ̹ɦa̠da̠
박편	pa̠k̚pʰjʌ̹n
헐레벌떡	hʌ̹ɭɭe̞bʌ̹ɭt͈ʌ̹k̚
밟다	ˈpa̠ːp̚t͈a̠
차입	t͡ɕʰa̠ip̚
할쑥하다	ha̠ɭs͈ukʰa̠da̠
전병	t͡ɕʌ̹nbjʌ̹ŋ
꼬장꼬장	k͈o̞d͡ʑa̠ŋk͈o̞d͡ʑa̠ŋ
전래하다	t͡ɕʌ̹ɭɭɛ̝ɦa̠da̠
독숙공방	to̞ks͈uk̚k͈o̞ŋba̠ŋ
아리송송하다	a̠ɾisʰo̞ŋsʰo̞ŋɦa̠da̠
엄호하다	ʌ̹mβo̞ɦa̠da̠
사회관계	sʰa̠ɦø̞ɡwa̠nɡje̞,sʰa̠βwe̞ɡwa̠nɡe̞
중폭	t͡ɕuŋpʰo̞k̚
전초	t͡ɕʌ̹nt͡ɕʰo̞
물질문명	muɭd͡ʑiɭmunmjʌ̹ŋ
아이디	a̠idi
바깥출입	pa̠k͈a̠t̚t͡ɕʰuɾip̚
과부댁	kwa̠budɛ̝k̚
산자고	sʰa̠nd͡ʑa̠ɡo̞
가불대다	ka̠buɭdɛ̝da̠
미봉책	mibo̞ŋt͡ɕʰɛ̝k̚
자줏빛	t͡ɕa̠d͡ʑut̚p͈it̚
까마반지르하다	k͈a̠ma̠ba̠nd͡ʑiɾɯɦa̠da̠
천후	t͡ɕʰʌ̹nβu
딸가닥	t͈a̠ɭɡa̠da̠k̚
둔취	tunt͡ɕʰɥi,tunt͡ɕʰy
반숙란	pa̠nsʰuŋna̠n
들연	ˈtɯːɾjʌ̹n
촉한	t͡ɕʰo̞kʰa̠n
분명	punmjʌ̹ŋ
껑뚱대다	k͈ʌ̹ŋt͈uŋdɛ̝da̠
오곤조곤	o̞ɡo̞nd͡ʑo̞ɡo̞n
설사약	sʰʌ̹ɭsʰa̠ja̠k̚
슬기롭다	sʰɯɭɡiɾo̞p̚t͈a̠
대가족	tɛ̝ɡa̠d͡ʑo̞k̚
건조	kʌ̹nd͡ʑo̞
금렵구	kɯmɲjʌ̹p̚k͈u
통풍관	tʰo̞ŋpʰuŋɡwa̠n
반모	pa̠nmo̞
성읍	sʰʌ̹ŋɯp̚
겨울잠	kjʌ̹uɭd͡ʑa̠m
차단	t͡ɕʰa̠da̠n
극락정토	kɯŋna̠k̚t͡ɕ͈ʌ̹ŋtʰo̞
묘유선	mjojusʰʌ̹n
낚시	na̠kɕ͈i
뇌우저기압	nø̞ud͡ʑʌ̹ɡia̠p̚,nwe̞ud͡ʑʌ̹ɡia̠p̚
관상서	kwa̠nsʰa̠ŋsʰʌ̹
너글너글	nʌ̹ɡɯɭɭʌ̹ɡɯɭ
갈쌍갈쌍하다	ka̠ɭs͈a̠ŋɡa̠ɭs͈a̠ŋɦa̠da̠
남자친구	na̠md͡ʑa̠t͡ɕʰinɡu
생활면	sʰɛ̝ŋβwa̠ɭmjʌ̹n
멀쑥	mʌ̹ɭs͈uk̚
책가방	t͡ɕʰɛ̝k̚k͈a̠ba̠ŋ
인치	int͡ɕʰi
신효	ɕʰinʝjo
부서석하다	pusʰʌ̹sʰʌ̹kʰa̠da̠
생활환경	sʰɛ̝ŋβwa̠ɾβwa̠nɡjʌ̹ŋ
애해해	ɛ̝ɦɛ̝ɦɛ̝
멍청	mʌ̹ŋt͡ɕʰʌ̹ŋ
잡지	t͡ɕa̠p̚t͡ɕ͈i
사신공양	sʰa̠ɕʰinɡo̞ŋja̠ŋ
인질	ind͡ʑiɭ
누케	nukʰe̞
전와	t͡ɕʌ̹nwa̠
웅대	uŋdɛ̝
그노시스	kɯno̞ɕʰisʰɯ
부상	pusʰa̠ŋ
고도화	ko̞do̞βwa̠
판둥대다	pʰa̠nduŋdɛ̝da̠
까슬하다	k͈a̠sʰɯɾɦa̠da̠
오전	o̞d͡ʑʌ̹n
낙화생	na̠kʰwa̠sʰɛ̝ŋ
평가되다	pʰjʌ̹ŋɡa̠dø̞da̠,pʰjʌ̹ŋɡa̠dwe̞da̠
포수	pʰo̞sʰu
만분	ma̠nbun
사이코	sʰa̠ikʰo̞
사뭇	sʰa̠mut̚
교생	kjosʰɛ̝ŋ
착오하다	t͡ɕʰa̠ɡo̞ɦa̠da̠
인과설	inɡwa̠sʰʌ̹ɭ
대도호부	tɛ̝do̞βo̞bu
달가당하다	ta̠ɭɡa̠da̠ŋɦa̠da̠
쾌적하다	kʰwɛ̝d͡ʑʌ̹kʰa̠da̠
우긋우긋하다	uɡɯduɡɯtʰa̠da̠
홍목당혜	ɸʷo̞ŋmo̞k̚t͈a̠ŋʝje̞,ɸʷo̞ŋmo̞k̚t͈a̠ŋɦe̞
화산번개	ɸwa̠sʰa̠nbʌ̹nɡɛ̝
남용되다	na̠mjoŋdø̞da̠,na̠mjoŋdwe̞da̠
탈랑대다	tʰa̠ɭɭa̠ŋdɛ̝da̠
담석	ta̠msʰʌ̹k̚
가계정	ˈka̠ːɡje̞d͡ʑʌ̹ŋ,ˈka̠ːɡe̞d͡ʑʌ̹ŋ
피소되다	pʰisʰo̞dø̞da̠,pʰisʰo̞dwe̞da̠
흐림	xɯɾim
유상주	jusʰa̠ŋd͡ʑu
한드작거리다	ha̠ndɯd͡ʑa̠k̚k͈ʌ̹ɾida̠
부명	pumjʌ̹ŋ
명산대천	mjʌ̹ŋsʰa̠ndɛ̝t͡ɕʰʌ̹n
처자	t͡ɕʰʌ̹d͡ʑa̠
권위	kwʌ̹nɥi,kwʌ̹ny
풀색체	pʰuɭsʰɛ̝k̚t͡ɕʰe̞
나무껍질	na̠muk͈ʌ̹p̚t͡ɕ͈iɭ
려차	ɾjʌ̹t͡ɕʰa̠
금발	kɯmba̠ɭ
극채색	kɯk̚t͡ɕʰɛ̝sʰɛ̝k̚
방진	pa̠ŋd͡ʑin
주책	t͡ɕut͡ɕʰɛ̝k̚
동성애자	to̞ŋsʰʌ̹ŋɛ̝d͡ʑa̠
세비야	sʰe̞bija̠
버정이다	pʌ̹d͡ʑʌ̹ŋida̠
혼합비	ɸʷo̞nɦa̠p̚p͈i
휘친대다	hɥit͡ɕʰindɛ̝da̠,hyt͡ɕʰindɛ̝da̠
벌랑하다	pʌ̹ɭɭa̠ŋɦa̠da̠
중장	t͡ɕuŋd͡ʑa̠ŋ
변동되다	pjʌ̹ndo̞ŋdø̞da̠,pjʌ̹ndo̞ŋdwe̞da̠
역상	jʌ̹ks͈a̠ŋ
독후	to̞kʰu
나누어지다	na̠nuʌ̹d͡ʑida̠
목뻗치기	mo̞k̚p͈ʌ̹t̚t͡ɕʰiɡi
궐석판결	kwʌ̹ɭsʰʌ̹k̚pʰa̠nɡjʌ̹ɭ
난점	na̠nd͡ʑʌ̹m
간또 지방	ka̠nt͈o̞t͡ɕiba̠ŋ
배려	pɛ̝ɾjʌ̹
대화법	tɛ̝βwa̠bʌ̹p̚
치맛자락	t͡ɕʰima̠t̚t͡ɕ͈a̠ɾa̠k̚
후비다	ɸʷubida̠
가칠가칠하다	ka̠t͡ɕʰiɭɡa̠t͡ɕʰiɾɦa̠da̠
야간열차	ja̠ɡa̠ɲjʌ̹ɭt͡ɕʰa̠
구각형	kuɡa̠kçjʌ̹ŋ
하야말끔	ha̠ja̠ma̠ɭk͈ɯm
벙끗하다	pʌ̹ŋk͈ɯtʰa̠da̠
노리치근	no̞ɾit͡ɕʰiɡɯn
싱둥하다	ɕʰiŋduŋɦa̠da̠
시설스럽다	ɕʰisʰʌ̹ɭsʰɯɾʌ̹p̚t͈a̠
밀랍	miɭɭa̠p̚
터덜터덜하다	tʰʌ̹dʌ̹ɭtʰʌ̹dʌ̹ɾɦa̠da̠
얼기설설	ʌ̹ɭɡisʰʌ̹ɭsʰʌ̹ɭ
소속하다	sʰo̞sʰo̞kʰa̠da̠
신	ɕʰin
움칠거리다	umt͡ɕʰiɭɡʌ̹ɾida̠
강장강장	ka̠ŋd͡ʑa̠ŋɡa̠ŋd͡ʑa̠ŋ
고리무늬물범	ko̞ɾimunimuɭbʌ̹m
유황천	juβwa̠ŋt͡ɕʰʌ̹n
원주인	wʌ̹nd͡ʑuin
가냘프다	ka̠ɲja̠ɭpʰɯda̠
사운	sʰa̠un
측정하다	t͡ɕʰɯk̚t͡ɕ͈ʌ̹ŋɦa̠da̠
기사도	kisʰa̠do̞
고위	ko̞ɥi,ko̞y
휘뚝	hɥit͈uk̚,hyt͈uk̚
들큰대다	tɯɭkxɯndɛ̝da̠
담보대출	ta̠mbo̞dɛ̝t͡ɕʰuɭ
지급하다	t͡ɕiɡɯpʰa̠da̠
수사대	sʰusʰa̠dɛ̝
적령기	t͡ɕʌ̹ŋɲjʌ̹ŋɡi
모지라지다	mo̞d͡ʑiɾa̠d͡ʑida̠
볼툭볼툭하다	po̞ɭtʰuk̚p͈o̞ɭtʰukʰa̠da̠
구급이해방	kuɡɯbiɦɛ̝ba̠ŋ
움쑥대다	ums͈uk̚t͈ɛ̝da̠
작품집	t͡ɕa̠k̚pʰumd͡ʑip̚
괴뢰정권	kø̞ɾø̞d͡ʑʌ̹ŋɡwʌ̹n,kwe̞ɾwe̞d͡ʑʌ̹ŋɡwʌ̹n
야담	ja̠da̠m
심리전	ɕʰimnid͡ʑʌ̹n
쩔거덕	t͡ɕ͈ʌ̹ɭɡʌ̹dʌ̹k̚
오다	o̞da̠
씨물대다	ɕ͈imuɭdɛ̝da̠
곹이	ko̞t͡ɕʰi
크리켓	kxɯɾikʰe̞t̚
카스테레오	kʰa̠sʰɯtʰe̞ɾe̞o̞
산성백토	sʰa̠nsʰʌ̹ŋbɛ̝k̚tʰo̞
새짐승	sʰɛ̝d͡ʑimsʰɯŋ
조르륵하다	t͡ɕo̞ɾɯɾɯkʰa̠da̠
우스개	usʰɯɡɛ̝
짜부라지다	t͡ɕ͈a̠buɾa̠d͡ʑida̠
발룽발룽	pa̠ɭɭuŋba̠ɭɭuŋ
각삭거리다	ka̠ks͈a̠k̚k͈ʌ̹ɾida̠
과거 완료	kwa̠ɡʌ̹wa̠ɭʎjo
푸드득	pʰudɯdɯk̚
간지다	ka̠nd͡ʑida̠
추석추석	t͡ɕʰusʰʌ̹k̚t͡ɕʰusʰʌ̹k̚
파드득대다	pʰa̠dɯdɯk̚t͈ɛ̝da̠
사회법칙	sʰa̠ɦø̞bʌ̹p̚t͡ɕʰik̚,sʰa̠βwe̞bʌ̹p̚t͡ɕʰik̚
진격	t͡ɕinɡjʌ̹k̚
교대하다	kjodɛ̝ɦa̠da̠
후각기관	ɸʷuɡa̠k̚k͈iɡwa̠n
도달도달	to̞da̠ɭdo̞da̠ɭ
수문학	sʰumunɦa̠k̚
바가지요금	pa̠ɡa̠d͡ʑijoɡɯm
멀커덕멀커덕	mʌ̹ɭkʰʌ̹dʌ̹ŋmʌ̹ɭkʰʌ̹dʌ̹k̚
고시시	ko̞ɕʰiɕʰi
손전화	sʰo̞nd͡ʑʌ̹nβwa̠
사무직	sʰa̠mud͡ʑik̚
근량	kɯɭʎja̠ŋ
생명책	sʰɛ̝ŋmjʌ̹ŋt͡ɕʰɛ̝k̚
후유증	ɸʷujud͡ʑɯŋ
가라테	ka̠ɾa̠tʰe̞
헝클다	hʌ̹ŋkxɯɭda̠
암매하다	a̠mmɛ̝ɦa̠da̠
경추	kjʌ̹ŋt͡ɕʰu
짬짬이	t͡ɕ͈a̠mt͡ɕ͈a̠mi
구핏하다	kupʰitʰa̠da̠
병제사	pjʌ̹ŋd͡ʑe̞sʰa̠
염라대왕	jʌ̹mna̠dɛ̝wa̠ŋ
한성꽃	ha̠nsʰʌ̹ŋk͈o̞t̚
구관조	kuɡwa̠nd͡ʑo̞
흡착제	xɯp̚t͡ɕʰa̠k̚t͡ɕ͈e̞
시절가	ɕʰid͡ʑʌ̹ɭɡa̠
고물고물	ko̞muɭɡo̞muɭ
신용조합	ɕʰiɲjoŋd͡ʑo̞ɦa̠p̚
두태	tutʰɛ̝
분비하다	punbiɦa̠da̠
움칠대다	umt͡ɕʰiɭdɛ̝da̠
앞뒤	a̠p̚t͈ɥi,a̠p̚t͈y
아흔	a̠ɣɯn
제곱미터	t͡ɕe̞ɡo̞mmitʰʌ̹
소독하다	sʰo̞do̞kʰa̠da̠
싸작대다	s͈a̠d͡ʑa̠k̚t͈ɛ̝da̠
금성인	kɯmsʰʌ̹ŋin
시꺼멓다	ɕʰik͈ʌ̹mʌ̹tʰa̠
훈육	ɸʷuɲjuk̚
민원	minwʌ̹n
삼두육비	sʰa̠mdujuk̚p͈i
심오	ɕʰimo̞
스텔러바다소	sʰɯtʰe̞ɭɭʌ̹ba̠da̠sʰo̞
백족지충	pɛ̝k̚t͡ɕ͈o̞k̚t͡ɕ͈it͡ɕʰuŋ
우주선	ud͡ʑusʰʌ̹n
극미하다	kɯŋmiɦa̠da̠
가밀가밀	ka̠miɭɡa̠miɭ
전령병	t͡ɕʌ̹ɭʎjʌ̹ŋbjʌ̹ŋ
카테고리	kʰa̠tʰe̞ɡo̞ɾi
해변	hɛ̝bjʌ̹n
보릿고개	po̞ɾit̚k͈o̞ɡɛ̝
필기장	pʰiɭɡid͡ʑa̠ŋ
창가가사	t͡ɕʰa̠ŋɡa̠ɡa̠sʰa̠
반청	pa̠nt͡ɕʰʌ̹ŋ
변질되다	pjʌ̹nd͡ʑiɭdø̞da̠,pjʌ̹nd͡ʑiɭdwe̞da̠
탄신	tʰa̠nɕʰin
조약국	t͡ɕo̞ja̠k̚k͈uk̚
위처짐	ɥit͡ɕʰʌ̹d͡ʑim,yt͡ɕʰʌ̹d͡ʑim
이적	id͡ʑʌ̹k̚
손익계산	sʰo̞nik̚k͈je̞sʰa̠n,sʰo̞nik̚k͈e̞sʰa̠n
깐죽이다	k͈a̠nd͡ʑuɡida̠
자연림	t͡ɕa̠jʌ̹ɭʎim
삼헌관	sʰa̠mɦʌ̹nɡwa̠n
집합하다	t͡ɕipʰa̠pʰa̠da̠
나탈대다	na̠tʰa̠ɭdɛ̝da̠
신분권	ɕʰinbunɡwʌ̹n
점원	t͡ɕʌ̹mwʌ̹n
떡볶이	t͈ʌ̹k̚p͈o̞k͈i
랍치	ɾa̠p̚t͡ɕʰi
송자주	sʰo̞ŋd͡ʑa̠d͡ʑu
목각	mo̞k̚k͈a̠k̚
무선대화기	musʰʌ̹ndɛ̝βwa̠ɡi
갈아디다	ka̠ɾa̠dida̠
분서갱유	punsʰʌ̹ɡɛ̝ŋju
이디쉬어	idiʃʰɥiʌ̹,idiʃʰyʌ̹
쌀겨	s͈a̠ɭɡjʌ̹
허상	hʌ̹sʰa̠ŋ
준성	t͡ɕunsʰʌ̹ŋ
저작자	t͡ɕʌ̹d͡ʑa̠k̚t͡ɕ͈a̠
알싸하다	a̠ɭs͈a̠ɦa̠da̠
배음사	pɛ̝ɯmsʰa̠
닥치다	ta̠k̚t͡ɕʰida̠
중반	t͡ɕuŋba̠n
넘다	nʌ̹mda̠
탄력섬유	tʰa̠ɭʎjʌ̹ks͈ʌ̹mju
깐실깐실하다	k͈a̠nɕʰiɭk͈a̠nɕʰiɾɦa̠da̠
열둘	jʌ̹ɭduɭ
풀이	pʰuɾi
타달거리다	tʰa̠da̠ɭɡʌ̹ɾida̠
