gút mắt	ɣut˦˥măt˦˥
số hệ	so˨˦he˨ˀ˩ʔ
mùa hè	muə˧˨hɛ˧˨
nhợt nhạt	ɲɤt˨ˀ˩ɲat˨ˀ˩
bí ba bí bốp	bi˨˦ba˧˧bi˨˦bop˦˥
giả đò	za˧˩˨dɔ˧˨
mật huyết	mɤ̆t˨ˀ˩hwiət˦˥
giai vị	zaj˧˧vi˨ˀ˩ʔ
mùn thớt	mun˧˨tʰɤt˦˥
lưu giản	lɯw˧˧zan˧˩˨
phát mại	fat˦˥maj˨ˀ˩ʔ
quần tam tụ ngũ	kwɤ̆n˧˨tam˧˧tu˨ˀ˩ʔŋu˧ˀ˥
khiếp	xiəp˦˥
trình làng	ciŋ˧˨laŋ˧˨
trà dương	ca˧˨zɯəŋ˧˧
nép	nɛp˦˥
đuôi	duəj˧˧
khan hiếm	xan˧˧hiəm˨˦
nhạc điệu	ɲak˨ˀ˩diəw˨ˀ˩ʔ
trấn	cɤ̆n˨˦
bóc niêm	bɔk͡p˦˥niəm˧˧
chốc đà	cok͡p˦˥da˧˨
ghi rõ	ɣi˧˧zɔ˧ˀ˥
độn thổ	don˨ˀ˩ʔtʰo˧˩˨
oe con	we˧˧kɔn˧˧
phi mậu dịch	fi˧˧mɤ̆w˨ˀ˩ʔzik˨ˀ˩
đau nau	dăw˧˧năw˧˧
lạ gì	la˨ˀ˩ʔɣi˧˨
can táo	kan˧˧taw˨˦
văn công	văn˧˧koŋ͡m˧˧
gừng	ɣɯŋ˧˨
bắn chác	băn˨˦cak˦˥
đậu chiều	dɤ̆w˨ˀ˩ʔciəw˧˨
nục	nuk͡p˨ˀ˩
máu què	măw˨˦kwɛ˧˨
lính thuỷ đánh bộ	liŋ˨˦tʰwi˧˩˨dɛŋ˨˦bo˨ˀ˩ʔ
xằng	săŋ˧˨
định lí	diŋ˨ˀ˩ʔli˨˦
cá đuối	ka˨˦duəj˨˦
nhân hoá	ɲɤ̆n˧˧hwa˨˦
rước	zɯək˦˥
có mặt	kɔ˨˦măt˨ˀ˩
răng vẩu	zăŋ˧˧vɤ̆w˧˩˨
hãy hay	hăj˧ˀ˥hăj˧˧
sống chết	soŋ͡m˨˦cet˦˥
phát thệ	fat˦˥tʰe˨ˀ˩ʔ
huyết cầu trắng	hwiət˦˥kɤ̆w˧˨căŋ˨˦
gặp gái	ɣăp˨ˀ˩ɣaj˨˦
đánh răng	dɛŋ˨˦zăŋ˧˧
đưa cay	dɯə˧˧kăj˧˧
bợt	bɤt˨ˀ˩
trọng tâm	cɔŋ͡m˨ˀ˩ʔtɤ̆m˧˧
băm	băm˧˧
ba hoa chích choè	ba˧˧hwa˧˧cik˦˥cwe˧˨
ăn hớt	ăn˧˧hɤt˦˥
thắt đáy lưng ong	tʰăt˦˥dăj˨˦lɯŋ˧˧ɔŋ͡m˧˧
có mắt như không	kɔ˨˦măt˦˥ɲɯ˧˧xoŋ͡m˧˧
tế bào học	te˨˦baw˧˨hɔk͡p˨ˀ˩
có sừng có mỏ	kɔ˨˦sɯŋ˧˨kɔ˨˦mɔ˧˩˨
con đĩ thập thành	kɔn˧˧di˧ˀ˥tʰɤ̆p˨ˀ˩tʰɛŋ˧˨
nói như trạng	nɔj˨˦ɲɯ˧˧caŋ˨ˀ˩ʔ
sứ quân	sɯ˨˦kwɤ̆n˧˧
hoàng hoa	hwaŋ˧˨hwa˧˧
buồn cười	buən˧˨kɯəj˧˨
chậm mồm chậm miệng	cɤ̆m˨ˀ˩ʔmom˧˨cɤ̆m˨ˀ˩ʔmiəŋ˨ˀ˩ʔ
hề hấn	he˧˨hɤ̆n˨˦
biết thân biết phận	biət˦˥tʰɤ̆n˧˧biət˦˥fɤ̆n˨ˀ˩ʔ
truyền khẩu	cwiən˧˨xɤ̆w˧˩˨
chiều tối	ciəw˧˨toj˨˦
ta-bu	ta˧˧-bu˧˧
tay dao tay thớt	tăj˧˧zaw˧˧tăj˧˧tʰɤt˦˥
kết nối	ket˦˥noj˨˦
tụi mình	tuj˨ˀ˩ʔmiŋ˧˨
ba trợn ba trạc	ba˧˧cɤn˨ˀ˩ʔba˧˧cak˨ˀ˩
chào mào	caw˧˨maw˧˨
bình phước	biŋ˧˨fɯək˦˥
cơ ba đầu	kɤ˧˧ba˧˧dɤ̆w˧˨
dao tông	zaw˧˧toŋ͡m˧˧
thì	tʰi˧˨
giập liễu vùi hoa	zɤ̆p˨ˀ˩liəw˧ˀ˥vuj˧˨hwa˧˧
cá thối rắn xương	ka˨˦tʰoj˨˦zăn˨˦sɯəŋ˧˧
đơn danh	dɤn˧˧zɛŋ˧˧
bất minh	bɤ̆t˦˥miŋ˧˧
đắc thất	dăk˦˥tʰɤ̆t˦˥
tám xoan	tam˨˦swan˧˧
dở người	zɤ˧˩˨ŋɯəj˧˨
phải lẽ	faj˧˩˨lɛ˧ˀ˥
can cữu	kan˧˧kɯw˧ˀ˥
đề vịnh	de˧˨viŋ˨ˀ˩ʔ
sáng trăng suông	saŋ˨˦căŋ˧˧suəŋ˧˧
lỏi	lɔj˧˩˨
hung tinh	huŋ͡m˧˧tiŋ˧˧
chấm bài	cɤ̆m˨˦baj˧˨
vôi bột	voj˧˧bot˨ˀ˩
xuất ngũ	swɤ̆t˦˥ŋu˧ˀ˥
tống ngục	toŋ͡m˨˦ŋuk͡p˨ˀ˩
bình thân	biŋ˧˨tʰɤ̆n˧˧
tranh cử	cɛŋ˧˧kɯ˧˩˨
hoà mạng	hwa˧˨maŋ˨ˀ˩ʔ
con có cha như nhà có nóc	kɔn˧˧kɔ˨˦ca˧˧ɲɯ˧˧ɲa˧˨kɔ˨˦nɔk͡p˦˥
vận tải	vɤ̆n˨ˀ˩ʔtaj˧˩˨
loi choi	lɔj˧˧cɔj˧˧
chất đạm	cɤ̆t˦˥dam˨ˀ˩ʔ
cù léc	ku˧˨lɛk˦˥
cúc bấm	kuk͡p˦˥bɤ̆m˨˦
tạp phẩm	tap˨ˀ˩fɤ̆m˧˩˨
khởi loạn	xɤj˧˩˨lwan˨ˀ˩ʔ
tăng-sông	tăŋ˧˧-soŋ͡m˧˧
ken két	kɛn˧˧kɛt˦˥
cỏ lức	kɔ˧˩˨lɯk˦˥
bè bạn	bɛ˧˨ban˨ˀ˩ʔ
lò sưởi	lɔ˧˨sɯəj˧˩˨
đạn lạc tên bay	dan˨ˀ˩ʔlak˨ˀ˩ten˧˧băj˧˧
phản phúc	fan˧˩˨fuk͡p˦˥
nhun nhũn	ɲun˧˧ɲun˧ˀ˥
nhiệt đới hóa	ɲiət˨ˀ˩dɤj˨˦hwa˨˦
chúi	cuj˨˦
chằm chằm	căm˧˨căm˧˨
minh văn	miŋ˧˧văn˧˧
dài lưng	zaj˧˨lɯŋ˧˧
chỉnh	ciŋ˧˩˨
quốc sư	kwok͡p˦˥sɯ˧˧
dó rộp	zɔ˨˦zop˨ˀ˩
nón nghệ	nɔn˨˦ŋe˨ˀ˩ʔ
vĩnh lâm	viŋ˧ˀ˥lɤ̆m˧˧
hoả tai	hwa˧˩˨taj˧˧
bóc vỏ bỏ hột	bɔk͡p˦˥vɔ˧˩˨bɔ˧˩˨hot˨ˀ˩
viện bảo tàng	viən˨ˀ˩ʔbaw˧˩˨taŋ˧˨
húp	hup˦˥
nhà khoa học	ɲa˧˨xwa˧˧hɔk͡p˨ˀ˩
nợ tang bồng	nɤ˨ˀ˩ʔtaŋ˧˧boŋ͡m˧˨
trở thành	cɤ˧˩˨tʰɛŋ˧˨
công vụ	koŋ͡m˧˧vu˨ˀ˩ʔ
tảo hôn	taw˧˩˨hon˧˧
húng dồi	huŋ͡m˨˦zoj˧˨
tuồng như	tuəŋ˧˨ɲɯ˧˧
hoàng thiết	hwaŋ˧˨tʰiət˦˥
ngoang ngoảng	ŋwaŋ˧˧ŋwaŋ˧˩˨
lất phất	lɤ̆t˦˥fɤ̆t˦˥
thèn phàng	tʰɛn˧˨faŋ˧˨
xâm mặt	sɤ̆m˧˧măt˨ˀ˩
bóng xế chiều dâu	bɔŋ͡m˨˦se˨˦ciəw˧˨zɤ̆w˧˧
vĩnh lộc a	viŋ˧ˀ˥lok͡p˨ˀ˩a˧˧
chúng sinh	cuŋ͡m˨˦siŋ˧˧
xôm xuê	som˧˧swe˧˧
lấy mất	lɤ̆j˨˦mɤ̆t˦˥
quác quác	kwak˦˥kwak˦˥
tam sinh	tam˧˧siŋ˧˧
ai tử	aj˧˧tɯ˧˩˨
đàn tứ	dan˧˨tɯ˨˦
cói giùi	kɔj˨˦zuj˧˨
bự rượu	bɯ˨ˀ˩ʔzɯəw˨ˀ˩ʔ
bằng giã	băŋ˧˨za˧ˀ˥
tửu lượng	tɯw˧˩˨lɯəŋ˨ˀ˩ʔ
xung lượng	suŋ͡m˧˧lɯəŋ˨ˀ˩ʔ
dừng có mạch, vách có tai	zɯŋ˧˨kɔ˨˦mɛk˨ˀ˩vɛk˦˥kɔ˨˦taj˧˧
vô vị	vo˧˧vi˨ˀ˩ʔ
bộng ong	boŋ͡m˨ˀ˩ʔɔŋ͡m˧˧
tiên cô	tiən˧˧ko˧˧
đại nghịch	daj˨ˀ˩ʔŋik˨ˀ˩
vuốt râu cọp	vuət˦˥zɤ̆w˧˧kɔp˨ˀ˩
cá chẳng bén câu	ka˨˦căŋ˧˩˨bɛn˨˦kɤ̆w˧˧
đàn ắc-coóc	dan˧˨ăk˦˥-kɔk͡p˦˥
dở bữa	zɤ˧˩˨bɯə˧ˀ˥
đen nghìn nghịt	dɛn˧˧ŋin˧˨ŋit˨ˀ˩
bôn sê vích	bon˧˧se˧˧vik˦˥
sân trình cửa khổng	sɤ̆n˧˧ciŋ˧˨kɯə˧˩˨xoŋ͡m˧˩˨
nữ phi hành gia	nɯ˧ˀ˥fi˧˧hɛŋ˧˨za˧˧
mũi dại, lái chịu đòn	muj˧ˀ˥zaj˨ˀ˩ʔlaj˨˦ciw˨ˀ˩ʔdɔn˧˨
nóng như hòn than	nɔŋ͡m˨˦ɲɯ˧˧hɔn˧˨tʰan˧˧
dẻo chân	zeo˧˩˨cɤ̆n˧˧
thiệu phúc	tʰiəw˨ˀ˩ʔfuk͡p˦˥
vệ sinh học	ve˨ˀ˩ʔsiŋ˧˧hɔk͡p˨ˀ˩
mác-xít lê-nin-nít	mak˦˥-sit˦˥le˧˧-nin˧˧-nit˦˥
quỳnh xá	kwiŋ˧˨sa˨˦
bấm bụng	bɤ̆m˨˦buŋ͡m˨ˀ˩ʔ
sữa đậu nành	sɯə˧ˀ˥dɤ̆w˨ˀ˩ʔnɛŋ˧˨
thanh giáo	tʰɛŋ˧˧zaw˨˦
mắt xích	măt˦˥sik˦˥
nguồn cội	ŋuən˧˨koj˨ˀ˩ʔ
cầu hàng	kɤ̆w˧˨haŋ˧˨
chấm chấm	cɤ̆m˨˦cɤ̆m˨˦
cả sóng ngã tay chèo	ka˧˩˨sɔŋ͡m˨˦ŋa˧ˀ˥tăj˧˧ceo˧˨
mặt đứng	măt˨ˀ˩dɯŋ˨˦
chủng loại	cuŋ͡m˧˩˨lwaj˨ˀ˩ʔ
chủ nghĩa thực dân	cu˧˩˨ŋiə˧ˀ˥tʰɯk˨ˀ˩zɤ̆n˧˧
bỏ ống	bɔ˧˩˨oŋ͡m˨˦
úc kỳ	uk͡p˦˥ki˧˨
sạch sanh	sɛk˨ˀ˩sɛŋ˧˧
nhọt bọc	ɲɔt˨ˀ˩bɔk͡p˨ˀ˩
khôi	xoj˧˧
hanh khô	hɛŋ˧˧xo˧˧
muốn làm ông cái lông chẳng mất	muən˨˦lam˧˨oŋ͡m˧˧kaj˨˦loŋ͡m˧˧căŋ˧˩˨mɤ̆t˦˥
thành tiến	tʰɛŋ˧˨tiən˨˦
nguỵ kế	ŋwi˨ˀ˩ʔke˨˦
quyền cao chức trọng	kwiɛn˧˨kaw˧˧cɯk˦˥cɔŋ͡m˨ˀ˩ʔ
đức bà	dɯk˦˥ba˧˨
a hoàn	a˧˧hwan˧˨
xi-ta	si˧˧-ta˧˧
vũ chính	vu˧ˀ˥ciŋ˨˦
tú quận	tu˨˦kwɤ̆n˨ˀ˩ʔ
luật hành chính	lwɤ̆t˨ˀ˩hɛŋ˧˨ciŋ˨˦
ánh kim	ɛŋ˨˦kim˧˧
dạ lan hương; dạ lí hương	za˨ˀ˩ʔlan˧˧hɯəŋ˧˧za˨ˀ˩ʔli˨˦hɯəŋ˧˧
hoan nghênh	hwan˧˧ŋeŋ˧˧
râm rấp	zɤ̆m˧˧zɤ̆p˦˥
cung hiến	kuŋ͡m˧˧hiən˨˦
làm bài	lam˧˨baj˧˨
cự mã	kɯ˨ˀ˩ʔma˧ˀ˥
mậu dịch tiểu ngạch	mɤ̆w˨ˀ˩ʔzik˨ˀ˩tiəw˧˩˨ŋɛk˨ˀ˩
đồng ấu	doŋ͡m˧˨ɤ̆w˨˦
mớm	mɤm˨˦
tránh tiếng	cɛŋ˨˦tiəŋ˨˦
mặn tình cát lũy, lạt tình tao khang	măn˨ˀ˩ʔtiŋ˧˨kat˦˥luj˧ˀ˥lat˨ˀ˩tiŋ˧˨taw˧˧xaŋ˧˧
động tâm	doŋ͡m˨ˀ˩ʔtɤ̆m˧˧
cầm họ	kɤ̆m˧˨hɔ˨ˀ˩ʔ
quản lý	kwan˧˩˨li˨˦
tất dài	tɤ̆t˦˥zaj˧˨
truỵ	cwi˨ˀ˩ʔ
chủ nghĩa dân tộc	cu˧˩˨ŋiə˧ˀ˥zɤ̆n˧˧tok͡p˨ˀ˩
mổ	mo˧˩˨
âm hiểm	ɤ̆m˧˧hiəm˧˩˨
hội tụ	hoj˨ˀ˩ʔtu˨ˀ˩ʔ
ngoại hối	ŋwaj˨ˀ˩ʔhoj˨˦
đài liệt sĩ	daj˧˨liət˨ˀ˩si˧ˀ˥
ngọc trản	ŋɔk͡p˨ˀ˩can˧˩˨
bá phụ	ba˨˦fu˨ˀ˩ʔ
yên minh	iɛn˧˧miŋ˧˧
giấy kính	zɤ̆j˨˦kiŋ˨˦
người vượn	ŋɯəj˧˨vɯən˨ˀ˩ʔ
chẵn lẻ	căn˧ˀ˥lɛ˧˩˨
biện bác	biən˨ˀ˩ʔbak˦˥
cự khối	kɯ˨ˀ˩ʔxoj˨˦
máy lượn	măj˨˦lɯən˨ˀ˩ʔ
dân quê	zɤ̆n˧˧kwe˧˧
y như rằng	i˧˧ɲɯ˧˧zăŋ˧˨
buốt gan tím ruột	buət˦˥ɣan˧˧tim˨˦zuət˨ˀ˩
tiếng kêu	tiəŋ˨˦kɛu˧˧
sản giật	san˧˩˨zɤ̆t˨ˀ˩
xâm	sɤ̆m˧˧
ám điểm	am˨˦diəm˧˩˨
chọc ghẹo	cɔk͡p˨ˀ˩ɣeo˨ˀ˩ʔ
cao lộc	kaw˧˧lok͡p˨ˀ˩
cỗ	ko˧ˀ˥
như từ hải chết đứng	ɲɯ˧˧tɯ˧˨haj˧˩˨cet˦˥dɯŋ˨˦
chửa ngoài dạ con	cɯə˧˩˨ŋwaj˧˨za˨ˀ˩ʔkɔn˧˧
vững chãi	vɯŋ˧ˀ˥caj˧ˀ˥
hanh thông	hɛŋ˧˧tʰoŋ͡m˧˧
cách linh	kɛk˦˥liŋ˧˧
bạo hỗ băng hà	baw˨ˀ˩ʔho˧ˀ˥băŋ˧˧ha˧˨
dị tật	zi˨ˀ˩ʔtɤ̆t˨ˀ˩
chủ nghĩa sô-vanh nước lớn	cu˧˩˨ŋiə˧ˀ˥so˧˧-vɛŋ˧˧nɯək˦˥lɤn˨˦
công viên	koŋ͡m˧˧viən˧˧
màng tang	maŋ˧˨taŋ˧˧
ớt cà chua	ɤt˦˥ka˧˨cuə˧˧
gạ gẫm	ɣa˨ˀ˩ʔɣɤ̆m˧ˀ˥
thợ bạc	tʰɤ˨ˀ˩ʔbak˨ˀ˩
thao diễn	tʰaw˧˧ziən˧ˀ˥
thế gia	tʰe˨˦za˧˧
cương ngạnh	kɯəŋ˧˧ŋɛŋ˨ˀ˩ʔ
bụ sữa	bu˨ˀ˩ʔsɯə˧ˀ˥
ăn khan	ăn˧˧xan˧˧
chuyện nọ xọ chuyện kia	cwiən˨ˀ˩ʔnɔ˨ˀ˩ʔsɔ˨ˀ˩ʔcwiən˨ˀ˩ʔkiə˧˧
có rau ăn rau, có cháo ăn cháo	kɔ˨˦zăw˧˧ăn˧˧zăw˧˧kɔ˨˦caw˨˦ăn˧˧caw˨˦
xài	saj˧˨
ăn ké ở đậu	ăn˧˧kɛ˨˦ɤ˧˩˨dɤ̆w˨ˀ˩ʔ
hàng nước	haŋ˧˨nɯək˦˥
túm tụm	tum˨˦tum˨ˀ˩ʔ
mĩ tục	mi˧ˀ˥tuk͡p˨ˀ˩
phòng khám	fɔŋ͡m˧˨xam˨˦
phó ti	fɔ˨˦ti˧˧
vảy ốc	văj˧˩˨ok͡p˦˥
thuyền phó	tʰwiən˧˨fɔ˨˦
chè đen	cɛ˧˨dɛn˧˧
quân sự hoá	kwɤ̆n˧˧sɯ˨ˀ˩ʔhwa˨˦
tín chấp	tin˨˦cɤ̆p˦˥
phương cách	fɯəŋ˧˧kɛk˦˥
cất tiếng	kɤ̆t˦˥tiəŋ˨˦
lót tay	lɔt˦˥tăj˧˧
hết xẩy	het˦˥sɤ̆j˧˩˨
bặt thiệp	băt˨ˀ˩tʰiəp˨ˀ˩
lêu nghêu	lɛu˧˧ŋɛu˧˧
áo gia-két	aw˨˦za˧˧-kɛt˦˥
bất hợp thức	bɤ̆t˦˥hɤp˨ˀ˩tʰɯk˦˥
đỏ mọng	dɔ˧˩˨mɔŋ͡m˨ˀ˩ʔ
vi trùng	vi˧˧cuŋ͡m˧˨
một chữ cắn đôi không biết	mot˨ˀ˩cɯ˧ˀ˥kăn˨˦doj˧˧xoŋ͡m˧˧biət˦˥
xáng	saŋ˨˦
trồng cưỡng	coŋ͡m˧˨kɯəŋ˧ˀ˥
suồng sã	suəŋ˧˨sa˧ˀ˥
chừng	cɯŋ˧˨
tủa chùa	tuə˧˩˨cuə˧˨
tia bê ta	tiə˧˧be˧˧ta˧˧
hương xạ	hɯəŋ˧˧sa˨ˀ˩ʔ
dấy binh	zɤ̆j˨˦biŋ˧˧
bọt biển	bɔt˨ˀ˩biən˧˩˨
biệt động	biət˨ˀ˩doŋ͡m˨ˀ˩ʔ
kệ kinh	ke˨ˀ˩ʔkiŋ˧˧
cất rượu	kɤ̆t˦˥zɯəw˨ˀ˩ʔ
hiền nhân quân tử	hiən˧˨ɲɤ̆n˧˧kwɤ̆n˧˧tɯ˧˩˨
xã vệ	sa˧ˀ˥ve˨ˀ˩ʔ
hiền thảo	hiən˧˨tʰaw˧˩˨
khoẻ	xwe˧˩˨
đầu ruồi	dɤ̆w˧˨zuəj˧˨
hôm rày hôm mai	hom˧˧zăj˧˨hom˧˧maj˧˧
triêu mộ	ciəw˧˧mo˨ˀ˩ʔ
sửa chữa nhỏ	sɯə˧˩˨cɯə˧ˀ˥ɲɔ˧˩˨
nghèo	ŋeo˧˨
phăng	făŋ˧˧
tập sự	tɤ̆p˨ˀ˩sɯ˨ˀ˩ʔ
vệ quốc đoàn	ve˨ˀ˩ʔkwok͡p˦˥dwan˧˨
nhân chứng	ɲɤ̆n˧˧cɯŋ˨˦
lầm lụi	lɤ̆m˧˨luj˨ˀ˩ʔ
bàn thang	ban˧˨tʰaŋ˧˧
công-xinh	koŋ͡m˧˧-siŋ˧˧
bỏ cỏ	bɔ˧˩˨kɔ˧˩˨
công bình	koŋ͡m˧˧biŋ˧˨
chi chít	ci˧˧cit˦˥
thúc béo	tʰuk͡p˦˥beo˨˦
như lột	ɲɯ˧˧lot˨ˀ˩
tiền sử học	tiən˧˨sɯ˧˩˨hɔk͡p˨ˀ˩
chữ thầy lại trả thầy	cɯ˧ˀ˥tʰɤ̆j˧˨laj˨ˀ˩ʔca˧˩˨tʰɤ̆j˧˨
nhiễm từ	ɲiəm˧ˀ˥tɯ˧˨
nghền nghệt	ŋen˧˨ŋet˨ˀ˩
vân hán	vɤ̆n˧˧han˨˦
bán viên	ban˨˦viən˧˧
khó bảo	xɔ˨˦baw˧˩˨
bốn biển một nhà	bon˨˦biən˧˩˨mot˨ˀ˩ɲa˧˨
mù màu	mu˧˨măw˧˨
phơ phơ	fɤ˧˧fɤ˧˧
tóp tép	tɔp˦˥tɛp˦˥
hành tội	hɛŋ˧˨toj˨ˀ˩ʔ
trú dạ	cu˨˦za˨ˀ˩ʔ
quèo quẹo	kweo˧˨kweo˨ˀ˩ʔ
văn mình vợ người	văn˧˧miŋ˧˨vɤ˨ˀ˩ʔŋɯəj˧˨
nông cụ	noŋ͡m˧˧ku˨ˀ˩ʔ
việc nước	viək˨ˀ˩nɯək˦˥
lông vũ	loŋ͡m˧˧vu˧ˀ˥
khen chê	xɛn˧˧ce˧˧
nhẹ bổng	ɲɛ˨ˀ˩ʔboŋ͡m˧˩˨
sùm soà	sum˧˨swa˧˨
trùng thập	cuŋ͡m˧˨tʰɤ̆p˨ˀ˩
tắt nghỉn	tăt˦˥ŋin˧˩˨
đánh cuộc	dɛŋ˨˦kuək˨ˀ˩
cặp	kăp˨ˀ˩
trung niên	cuŋ͡m˧˧niən˧˧
đỏ ngầu ngầu	dɔ˧˩˨ŋɤ̆w˧˨ŋɤ̆w˧˨
mắc dịch	măk˦˥zik˨ˀ˩
gà rốt	ɣa˧˨zot˦˥
tang vật	taŋ˧˧vɤ̆t˨ˀ˩
bãi cháy	baj˧ˀ˥căj˨˦
hoả tinh	hwa˧˩˨tiŋ˧˧
cầu nối	kɤ̆w˧˨noj˨˦
mừng lòng	mɯŋ˧˨lɔŋ͡m˧˨
sợ run	sɤ˨ˀ˩ʔzun˧˧
hát đình nào chúc đình ấy	hat˦˥diŋ˧˨naw˧˨cuk͡p˦˥diŋ˧˨ɤ̆j˨˦
sơn mùa	sɤn˧˧muə˧˨
tha phương ngộ cố tri	tʰa˧˧fɯəŋ˧˧ŋo˨ˀ˩ʔko˨˦ci˧˧
tháo rời	tʰaw˨˦zɤj˧˨
tiêu tùng	tiəw˧˧tuŋ͡m˧˨
khải hoàn môn	xaj˧˩˨hwan˧˨mon˧˧
khởi điểm	xɤj˧˩˨diəm˧˩˨
tháng ngày	tʰaŋ˨˦ŋăj˧˨
chùm nhum	cum˧˨ɲum˧˧
đái tật	daj˨˦tɤ̆t˨ˀ˩
trung tầng	cuŋ͡m˧˧tɤ̆ŋ˧˨
ông phải đấm bà phải đạp	oŋ͡m˧˧faj˧˩˨dɤ̆m˨˦ba˧˨faj˧˩˨dap˨ˀ˩
tập thể hoá	tɤ̆p˨ˀ˩tʰe˧˩˨hwa˨˦
tuồng luông	tuəŋ˧˨luəŋ˧˧
cẩn tắc	kɤ̆n˧˩˨tăk˦˥
quang tiến	kwaŋ˧˧tiən˨˦
đại nghiệp chủ	daj˨ˀ˩ʔŋiəp˨ˀ˩cu˧˩˨
đẳng dị	dăŋ˧˩˨zi˨ˀ˩ʔ
kiểm chứng	kiəm˧˩˨cɯŋ˨˦
miền nguyệt hoa	miən˧˨ŋwiət˨ˀ˩hwa˧˧
bỏ nọc	bɔ˧˩˨nɔk͡p˨ˀ˩
có thế chứ	kɔ˨˦tʰe˨˦cɯ˨˦
để trần	de˧˩˨cɤ̆n˧˨
bó trát	bɔ˨˦cat˦˥
thiêu xác	tʰiəw˧˧sak˦˥
quan pháp như lôi	kwan˧˧fap˦˥ɲɯ˧˧loj˧˧
vỡ chum	vɤ˧ˀ˥cum˧˧
vĩnh châu a	viŋ˧ˀ˥cɤ̆w˧˧a˧˧
kẽ hở	kɛ˧ˀ˥hɤ˧˩˨
đẹp như rối	dɛp˨ˀ˩ɲɯ˧˧zoj˨˦
rộng lòng	zoŋ͡m˨ˀ˩ʔlɔŋ͡m˧˨
giáo đa thành oán	zaw˨˦da˧˧tʰɛŋ˧˨wan˨˦
hòm xiểng	hɔm˧˨siəŋ˧˩˨
cầu chì	kɤ̆w˧˨ci˧˨
nói miệng	nɔj˨˦miəŋ˨ˀ˩ʔ
lơn	lɤn˧˧
nhanh  nhảnh	ɲɛŋ˧˧ɲɛŋ˧˩˨
luân thường	lwɤ̆n˧˧tʰɯəŋ˧˨
vơ quàng vơ xiên	vɤ˧˧kwaŋ˧˨vɤ˧˧siən˧˧
sơ chế	sɤ˧˧ce˨˦
chẩu	cɤ̆w˧˩˨
tự tiện	tɯ˨ˀ˩ʔtiən˨ˀ˩ʔ
mó tay	mɔ˨˦tăj˧˧
sầu thảm	sɤ̆w˧˨tʰam˧˩˨
thuận yên	tʰwɤ̆n˨ˀ˩ʔiɛn˧˧
mưa giông	mɯə˧˧zoŋ͡m˧˧
cá bống mú	ka˨˦boŋ͡m˨˦mu˨˦
khẩu ngữ	xɤ̆w˧˩˨ŋɯ˧ˀ˥
vuốt giận làm lành	vuət˦˥zɤ̆n˨ˀ˩ʔlam˧˨lɛŋ˧˨
vì cầu	vi˧˨kɤ̆w˧˨
chí ư	ci˨˦ɯ˧˧
nóng như lửa cháy	nɔŋ͡m˨˦ɲɯ˧˧lɯə˧˩˨căj˨˦
tóc mây	tɔk͡p˦˥mɤ̆j˧˧
tranh bộ đôi	cɛŋ˧˧bo˨ˀ˩ʔdoj˧˧
thông gia	tʰoŋ͡m˧˧za˧˧
cơ quan	kɤ˧˧kwan˧˧
vượt ngục	vɯət˨ˀ˩ŋuk͡p˨ˀ˩
hạ vị	ha˨ˀ˩ʔvi˨ˀ˩ʔ
cặp đôi	kăp˨ˀ˩doj˧˧
răng cửa	zăŋ˧˧kɯə˧˩˨
nói ba lăng nhăng	nɔj˨˦ba˧˧lăŋ˧˧ɲăŋ˧˧
lằng nhằng	lăŋ˧˨ɲăŋ˧˨
thuỵ tân	tʰwi˨ˀ˩ʔtɤ̆n˧˧
hành hạt	hɛŋ˧˨hat˨ˀ˩
ốp lát	op˦˥lat˦˥
tép	tɛp˦˥
củ chóc	ku˧˩˨cɔk͡p˦˥
vợ lẽ	vɤ˨ˀ˩ʔlɛ˧ˀ˥
vẹc-ni	vɛk˨ˀ˩-ni˧˧
tâm niệm	tɤ̆m˧˧niəm˨ˀ˩ʔ
gia cơ	za˧˧kɤ˧˧
ngũ phúc	ŋu˧ˀ˥fuk͡p˦˥
tàu chiến	tăw˧˨ciən˨˦
nước chảy xuôi bè kéo ngược	nɯək˦˥căj˧˩˨suəj˧˧bɛ˧˨keo˨˦ŋɯək˨ˀ˩
tinh tươm	tiŋ˧˧tɯəm˧˧
đương nhiên	dɯəŋ˧˧ɲiən˧˧
thơ nôm	tʰɤ˧˧nom˧˧
trảm	cam˧˩˨
bèo tấm tía	beo˧˨tɤ̆m˨˦tiə˨˦
trích đăng	cik˦˥dăŋ˧˧
nội biến	noj˨ˀ˩ʔbiən˨˦
thông hoà	tʰoŋ͡m˧˧hwa˧˨
cảnh huống	kɛŋ˧˩˨huəŋ˨˦
thanh liên	tʰɛŋ˧˧liən˧˧
nước trôi hoa rụng	nɯək˦˥coj˧˧hwa˧˧zuŋ͡m˨ˀ˩ʔ
dọc tẩu	zɔk͡p˨ˀ˩tɤ̆w˧˩˨
khèng khẹc	xɛŋ˧˨xɛk˨ˀ˩
vua bếp	vuə˧˧bep˦˥
đoạn tang	dwan˨ˀ˩ʔtaŋ˧˧
nghe nhìn	ŋɛ˧˧ɲin˧˨
hiệp vần	hiəp˨ˀ˩vɤ̆n˧˨
tiểu thuyết	tiəw˧˩˨tʰwiət˦˥
siêu nhiên	siəw˧˧ɲiən˧˧
thổ quan	tʰo˧˩˨kwan˧˧
đạo hồi	daw˨ˀ˩ʔhoj˧˨
vương hầu	vɯəŋ˧˧hɤ̆w˧˨
tiêu chảy	tiəw˧˧căj˧˩˨
