производстволарны	projzwodstwoɫɑrnˈɯ
телләр	tellˈær
һөнәрчеләр	hœnærɕelˈær
үтерелүен	yterelyˈen
Любимов	ljybimˈow
Сөекле	sœeklˈe
озайту	ozɑjtˈu
Макаровка	mɒqɒrowqˈɑ
торактагы	torɑqtɑʁˈɯ
шешәдән	ʃeʃædˈæn
куркуны	qurqunˈɯ
корылмаларына	qorɯɫmɑɫɑrɯnˈɑ
җуймаган	ʑujmɑʁˈɑn
операсында	operɑsɯndˈɑ
композицияләр	qompozitsijælˈær
таңнар	tɒŋnˈɒr
Комиссиянең	qomissijænˈeŋ
Сылу	sɯɫˈu
вакыйганың	wɒqɯjʁɑnˈɯŋ
Беляев	beljæˈew
баручыларның	bɒruɕɯɫɑrnˈɯŋ
көрәшчеләр	kœræʃɕelˈær
җинаятьчене	ʑinɑjætʔɕenˈe
түгүче	tyɣyɕˈe
Екатеринбургтагы	jɯqɑterinburʁtɑʁˈɯ
тапшырдык	tɒpʃɯrdˈɯq
Наркотик	nɒrqotˈik
бердәнбере	berdænberˈe
санлы	sɒnɫˈɯ
полосасын	poɫosɑsˈɯn
эт	ˈet
мәйданчыкта	mæjdɑnɕɯqtˈɑ
көчле	kœɕlˈe
иртәннән	irtænnˈæn
Шри	ʃrˈi
конфликтларда	qonfɫiqtɫɑrdˈɑ
Проектка	proeqtqˈɑ
Габидуллина	ʁɒbiduɫɫinˈɑ
республикаларда	respubɫiqɑɫɑrdˈɑ
әйберләрне	æjberlærnˈe
чыганакларында	ɕɯʁɑnɑqɫɑrɯndˈɑ
һәйкәл	hæjkˈæl
беләзек	belæzˈek
укырлык	uqɯrɫˈɯq
кыскартылып	qɯsqɑrtɯɫˈɯp
игелеген	iɣeleɣˈen
өчәү	œɕˈæw
унтугызынчы	untuʁɯzɯnɕˈɯ
тукталырбыз	tuqtɑɫɯrbˈɯz
Хәбиров	xæbirˈow
Исхаковка	isxɑqowqˈɑ
орынып	orɯnˈɯp
Тамашачыларның	tɒmɒʃɑɕɯɫɑrnˈɯŋ
кайтуның	qɒjtunˈɯŋ
руханилар	ruxɑniɫˈɑr
нурым	nurˈɯm
премиум	premˈiwm
зиратына	zirɑtɯnˈɑ
идарәсендә	idɑræsendˈæ
сараедай	sɒrɒedˈɑj
Сугышчылар	suʁɯʃɕɯɫˈɑr
табасың	tɒbɒsˈɯŋ
рәхмәтен	ræxmætˈen
чишелеш	ɕiʃelˈeʃ
ымсындырып	ɯmsɯndɯrˈɯp
Шәмәрдәнгә	ʃæmærdæŋɣˈæ
абруй	ɒbrˈuj
Меркел	merkˈel
партияләренең	pɒrtijælærenˈeŋ
әһәмиятлелеген	æhæmijætleleɣˈen
җаваплылыктан	ʑɑwɑpɫɯɫɯqtˈɑn
атканчы	ɒtqɒnɕˈɯ
тәртәгә	tærtæɣˈæ
нәтиҗәлелеге	nætiʑæleleɣˈe
подвалда	podwɑɫdˈɑ
Агаповка	ɒʁɒpowqˈɑ
мәрҗән	mærʑˈæn
ошар	oʃˈɑr
Кара	qɒrˈɒ
бөркет	bœrkˈet
системы	sistemˈɯ
салырлык	sɒɫɯrɫˈɯq
белерсез	belersˈez
калуым	qɒɫuˈɯm
Ивашкино	iwɑʃqinˈo
Куак	quˈɑq
сулъяк	suɫʔjˈɑq
Карт	qˈɒrt
башлау	bɒʃɫˈɑw
тапшыруы	tɒpʃɯruˈɯ
сугышлардан	suʁɯʃɫɑrdˈɑn
ннан	nnˈɒn
өегезгә	œeɣezɣˈæ
сәхифәләрнең	sæxifælærnˈeŋ
киселде	kiseldˈe
нәрсәм	nærsˈæm
кызыксынуны	qɯzɯqsɯnunˈɯ
тудырачак	tudɯrɑɕˈɑq
онытылмас	onɯtɯɫmˈɑs
Уфа	ufˈɑ
калыгыз	qɒɫɯʁˈɯz
Пленум	plenˈum
резолюция	rezoɫjytsijˈæ
ачыш	ɒɕˈɯʃ
газеталарын	ʁɒzetɑɫɑrˈɯn
саласында	sɒɫɒsɯndˈɑ
фойесында	fojesɯndˈɑ
җәзаның	ʑæzɑnˈɯŋ
сәүдә	sæwdˈæ
Мәгълүматны	mæɣʔlymɑtnˈɯ
нәзарәтеннән	næzɑrætennˈæn
хирургия	xirurʁijˈæ
рәссамны	ræssɑmnˈɯ
Объектны	obʔeqtnˈɯ
инкыйлабының	inqɯjɫɑbɯnˈɯŋ
Дәүфит	dæwfˈit
Марсны	mɒrsnˈɯ
өлгәшә	œlɣæʃˈæ
үтәмәүчеләр	ytæmæwɕelˈær
ягучы	jɑʁuɕˈɯ
линияләренә	linijælærenˈæ
латинга	ɫɒtiŋʁˈɑ
тәмәкедән	tæmækedˈæn
ярдәмчеләренең	jærdæmɕelærenˈeŋ
пьесаның	pʔesɑnˈɯŋ
пенсионер	pensionˈer
капчыкларга	qɒpɕɯqɫɑrʁˈɑ
венгр	wˈeŋɣr
язылган	jɑzɯɫʁˈɑn
белгечнең	belɣeɕnˈeŋ
балаларыңны	bɒɫɒɫɑrɯŋnˈɯ
Конференция	qonferentsijˈæ
калтырап	qɒɫtɯrˈɑp
суда	sudˈɑ
Сәгъдиев	sæɣʔdiˈew
яктысын	jɑqtɯsˈɯn
Украинадагы	uqrɑjnɑdɑʁˈɯ
очраталар	oɕrɑtɑɫˈɑr
тынлык	tɯnɫˈɯq
истәлекләрен	istæleklærˈen
иҗатчыларны	iʑɑtɕɯɫɑrnˈɯ
яшьләрне	jæʃʔlærnˈe
Төбәкара	tœbæqɑrˈɑ
фи	fˈi
кадагына	qɒdɒʁɯnˈɑ
төзүчесе	tœzyɕesˈe
бөркелгән	bœrkelɣˈæn
алыштырылачак	ɒɫɯʃtɯrɯɫɑɕˈɑq
дистанцияне	distɑntsijænˈe
Күңеле	kyŋelˈe
хәвеф	xæwˈef
Сыер	sɯˈer
түрдә	tyrdˈæ
буеның	buenˈɯŋ
тасманы	tɒsmɒnˈɯ
югалткан	juʁɑɫtqˈɑn
йөрүләр	jœrylˈær
карлыгач	qɒrɫɯʁˈɑɕ
сәгатьләр	sæʁɑtʔɫˈær
Булып	buɫˈɯp
павильон	pɑwiɫʔˈon
систем	sistˈem
уннан	unnˈɑn
Физкультурачылар	fizquɫʔturɑɕɯɫˈɑr
өстәп	œstˈæp
чәнечкеле	ɕæneɕkelˈe
басмаларына	bɒsmɒɫɑrɯnˈɑ
әҗерен	æʑerˈen
литрлы	litrɫˈɯ
факультетта	fɒquɫʔtettˈɑ
флагы	fɫɒʁˈɯ
пленум	plenˈum
Яулык	jɑwɫˈɯq
Марина	mɒrinˈɑ
Ганиева	ʁɒniewˈɑ
чумасың	ɕumɑsˈɯŋ
эзлисе	ezlisˈe
шкафта	ʃqɒftˈɒ
үстереп	ysterˈep
артмый	ɒrtmˈɯj
батырларча	bɒtɯrɫɑrɕˈɑ
алтмыш	ɒɫtmˈɯʃ
сөйләве	sœjlæwˈe
Шунлыктан	ʃunɫɯqtˈɑn
сазлыклы	sɒzɫɯqɫˈɯ
ябынган	jɑbɯŋʁˈɑn
мәнфәгатьләренә	mænfæʁɑtʔɫærenˈæ
хикәясеннән	xikæjæsennˈæn
эшләмичә	eʃlæmiɕˈæ
түләүгә	tylæwɣˈæ
Урдадан	urdɑdˈɑn
йодрыкларын	jodrɯqɫɑrˈɯn
дөньябызны	dœnʔjæbɯznˈɯ
билгеләнмәгән	bilɣelænmæɣˈæn
Тенеки	tenekˈi
экспозицияләр	eqspozitsijælˈær
Фәйзрахмановның	fæjzrɑxmɑnownˈɯŋ
егете	jeɣetˈe
туктатылган	tuqtɑtɯɫʁˈɑn
Уеннар	uennˈɑr
вакцинацияләү	wɒqtsinɑtsijælˈæw
кешеләре	keʃelærˈe
фигыльләр	fiʁɯɫʔɫˈær
Җөмһүриятенең	ʑœmhyrijætenˈeŋ
тулышып	tuɫɯʃˈɯp
Модернизация	modernizɑtsijˈæ
Үсеш	ysˈeʃ
салынып	sɒɫɯnˈɯp
туйган	tujʁˈɑn
командировкага	qomɑndirowqɑʁˈɑ
конгрессның	qoŋʁressnˈɯŋ
Слава	sɫɑwˈɑ
фантазиясе	fɒntɒzijæsˈe
фирмасын	firmɑsˈɯn
күрмәвен	kyrmæwˈen
эзәрлекләүләргә	ezærleklæwlærɣˈæ
заказчы	zɒqɒzɕˈɯ
Интер	intˈer
Соколка	soqoɫqˈɑ
Мәрхәмәтлек	mærxæmætlˈek
биетә	bietˈæ
такты	tɒqtˈɯ
канәгать	qɒnæʁˈɑtʔ
поэзиянең	poezijænˈeŋ
анемия	ɒnemijˈæ
Дәүләтнең	dæwlætnˈeŋ
талантларның	tɒɫɒntɫɑrnˈɯŋ
бирмәсә	birmæsˈæ
халатлы	xɒɫɒtɫˈɯ
ирләре	irlærˈe
Нәҗипов	næʑipˈow
үзебездән	yzebezdˈæn
циклында	tsiqɫɯndˈɑ
сүзләребезне	syzlærebeznˈe
контролен	qontroɫˈen
исәплибез	isæplibˈez
Минһаҗева	minhɑʑewˈɑ
Григорьевич	ɣriʁorʔewˈiɕ
Үзеннән	yzennˈæn
газап	ʁɒzˈɒp
галстуклар	ʁɒɫstuqɫˈɑr
аларныкы	ɒɫɒrnɯqˈɯ
Молотов	moɫotˈow
Колумбия	qoɫumbijˈæ
доценты	dotsentˈɯ
Әфганстанга	æfʁɑnstɑŋʁˈɑ
ташлыйсы	tɒʃɫɯjsˈɯ
Әлфәт	ælfˈæt
ышанычлылыгын	ɯʃɑnɯɕɫɯɫɯʁˈɯn
Җае	ʑɒˈe
янады	jɑnɑdˈɯ
җәмгыятькә	ʑæmʁɯjætʔkˈæ
иҗатыннан	iʑɑtɯnnˈɑn
чумдым	ɕumdˈɯm
Әнкәй	ænkˈæj
буяуларга	bujɑwɫɑrʁˈɑ
Мәкалә	mæqɑɫˈæ
чама	ɕɒmˈɒ
брифингта	brifiŋʁtˈɑ
сөйләшсәң	sœjlæʃsˈæŋ
Осетиядәге	osetijædæɣˈe
утырганы	utɯrʁɑnˈɯ
керешү	kereʃˈy
музейны	muzejnˈɯ
Чекмарев	ɕeqmɑrˈew
итләре	itlærˈe
авылыбыз	ɑwɯɫɯbˈɯz
йоктырган	joqtɯrʁˈɑn
методистлары	metodistɫɑrˈɯ
хезмәтләре	xezmætlærˈe
искерми	iskermˈi
Гыйнвар	ʁɯjnwˈɑr
Кыштым	qɯʃtˈɯm
туеннан	tuennˈɑn
тасмасы	tɒsmɒsˈɯ
дегет	deɣˈet
сатарга	sɒtɒrʁˈɑ
Ышанмасагыз	ɯʃɑnmɑsɑʁˈɯz
шаярулар	ʃɒjɑruɫˈɑr
профессиональлеге	professionɑɫʔɫeɣˈe
заманы	zɒmɒnˈɯ
тоелыр	toeɫˈɯr
кортка	qortqˈɑ
өелгән	œelɣˈæn
үзлекләрен	yzleklærˈen
кредитларның	kreditɫɑrnˈɯŋ
тунны	tunnˈɯ
Шәйхетдинов	ʃæjxetdinˈow
әзерләр	æzerlˈær
корылмада	qorɯɫmɑdˈɑ
техноген	texnoʁˈen
өметләре	œmetlærˈe
прозасының	prozɑsɯnˈɯŋ
күрсәтүе	kyrsætyˈe
хәйләкәр	xæjlækˈær
бас	bˈɒs
камзул	qɒmzˈuɫ
продуктының	produqtɯnˈɯŋ
киңәйтә	kiŋæjtˈæ
муеныннан	muenɯnnˈɑn
теркәүче	terkæwɕˈe
таратачак	tɒrɒtɑɕˈɑq
эшчеләрнең	eʃɕelærnˈeŋ
кыскасы	qɯsqɑsˈɯ
ителмәсә	itelmæsˈæ
чәчелгән	ɕæɕelɣˈæn
Йөк	jˈœk
угълы	uʁʔɫˈɯ
тавышлар	tɑwɯʃɫˈɑr
доллардан	doɫɫɑrdˈɑn
язучыларыбыз	jɑzuɕɯɫɑrɯbˈɯz
позициябезне	pozitsijæbeznˈe
редакцияләргә	redɑqtsijælærɣˈæ
майдан	mɒjdˈɒn
ишеткәндәй	iʃetkændˈæj
Гус	ʁˈus
ашлама	ɒʃɫɒmˈɑ
Хөкүмәттә	xœkymættˈæ
Звезда	zwezdˈɑ
сменалап	smenɑɫˈɑp
ылыс	ɯɫˈɯs
йөзләрендә	jœzlærendˈæ
йөрешле	jœreʃlˈe
йөрүне	jœrynˈe
тәэминат	tæeminˈɑt
универсиадага	uniwersiɑdɑʁˈɑ
юш	jˈuʃ
вирусын	wirusˈɯn
ышанычны	ɯʃɑnɯɕnˈɯ
гаиләгез	ʁɒjɫæɣˈez
Укытучыны	uqɯtuɕɯnˈɯ
сөйләр	sœjlˈær
лирик	lirˈik
Донбасста	donbɑsstˈɑ
яртыеллыгындагы	jɑrtɯeɫɫɯʁɯndɑʁˈɯ
беркетелмәгән	berketelmæɣˈæn
Яшәп	jæʃˈæp
гаражга	ʁɒrɒʒʁˈɑ
концертларын	qontsertɫɑrˈɯn
киләчәкмен	kilæɕækmˈen
Миграция	miʁrɑtsijˈæ
процентка	protsentqˈɑ
язам	jɑzˈɑm
Ильясова	ilʔjæsowˈɑ
Паша	pɒʃˈɒ
сабырлыклар	sɒbɯrɫɯqɫˈɑr
өндә	œndˈæ
Сарымсаков	sɒrɯmsɑqˈow
тотмаган	totmɑʁˈɑn
вилаятендәге	wiɫɑjætendæɣˈe
күренерлек	kyrenerlˈek
балалык	bɒɫɒɫˈɯq
җинаятьчеләр	ʑinɑjætʔɕelˈær
Югары	juʁɑrˈɯ
көлгә	kœlɣˈæ
малы	mɒɫˈɯ
бәяләве	bæjælæwˈe
элгәннәр	elɣænnˈær
көмешкә	kœmeʃkˈæ
теләгәнем	telæɣænˈem
кайтканчы	qɒjtqɒnɕˈɯ
каналындагы	qɒnɒɫɯndɑʁˈɯ
Үсентеләр	ysentelˈær
укмашып	uqmɑʃˈɯp
ишеткәч	iʃetkˈæɕ
ашыкмады	ɒʃɯqmɑdˈɯ
ипләп	iplˈæp
хәрәкәте	xærækætˈe
сыйланырга	sɯjɫɑnɯrʁˈɑ
монах	monˈɑx
файдаландылар	fɒjdɒɫɑndɯɫˈɑr
салалар	sɒɫɒɫˈɑr
Сигал	siʁˈɑɫ
агасы	ɒʁɒsˈɯ
кандидатның	qɒndidɑtnˈɯŋ
коралландыру	qorɑɫɫɑndɯrˈu
Атлап	ɒtɫˈɒp
юлыгуы	juɫɯʁuˈɯ
Пар	pˈɒr
артуга	ɒrtuʁˈɑ
проектлары	proeqtɫɑrˈɯ
НАТОга	nˈɒtoʁˈɑ
яфрагы	jɑfrɑʁˈɯ
солдат	soɫdˈɑt
түбәләренә	tybælærenˈæ
Суверенитет	suwerenitˈet
дәва	dæwˈɑ
ялгышасыз	jɑɫʁɯʃɑsˈɯz
машиналы	mɒʃinɑɫˈɯ
инде	indˈe
районнарның	rɒjonnɑrnˈɯŋ
Математикадан	mɒtemɑtiqɑdˈɑn
ачык	ɒɕˈɯq
гөлләрне	ɣœllærnˈe
Каршы	qɒrʃˈɯ
җырлардан	ʑɯrɫɑrdˈɑn
баткаклыктан	bɒtqɒqɫɯqtˈɑn
җитәкчесенең	ʑitækɕesenˈeŋ
Камалетдинов	qɒmɒɫetdinˈow
алтынның	ɒɫtɯnnˈɯŋ
Җәфар	ʑæfˈɑr
тамашачысының	tɒmɒʃɑɕɯsɯnˈɯŋ
күчерде	kyɕerdˈe
гәүдәсендә	ɣæwdæsendˈæ
беләсеңме	belæseŋmˈe
теләргә	telærɣˈæ
урнашканнар	urnɑʃqɑnnˈɑr
кичермәгән	kiɕermæɣˈæn
бәйләп	bæjlˈæp
бурычлардан	burɯɕɫɑrdˈɑn
ысулны	ɯsuɫnˈɯ
сафланып	sɒfɫɒnˈɯp
прозада	prozɑdˈɑ
алдый	ɒɫdˈɯj
Солянка	soɫjɑnqˈɑ
курсанты	qursɑntˈɯ
сәфәренең	sæfærenˈeŋ
тотындык	totɯndˈɯq
теленә	telenˈæ
Әхмәтҗанов	æxmætʑɑnˈow
анализлаган	ɒnɒɫizɫɑʁˈɑn
җырларны	ʑɯrɫɑrnˈɯ
код	qˈod
Сырга	sɯrʁˈɑ
кичектерелгән	kiɕekterelɣˈæn
инаугурациясе	inɑwʁurɑtsijæsˈe
башкарма	bɒʃqɒrmˈɑ
законнарга	zɒqonnɑrʁˈɑ
атканын	ɒtqɒnˈɯn
Уңышка	uŋɯʃqˈɑ
әйткәннәрен	æjtkænnærˈen
Никон	niqˈon
Буа	buˈɑ
чыгышын	ɕɯʁɯʃˈɯn
азайган	ɒzɒjʁˈɑn
иҗатымны	iʑɑtɯmnˈɯ
урамнардагы	urɑmnɑrdɑʁˈɯ
плащ	pɫˈɒʃɕ
Тулпар	tuɫpˈɑr
этаптан	etɑptˈɑn
калкан	qɒɫqˈɒn
докладыннан	doqɫɑdɯnnˈɑn
актерларны	ɒqterɫɑrnˈɯ
капиталга	qɒpitɑɫʁˈɑ
компанияләрне	qompɑnijælærnˈe
кабына	qɒbɯnˈɑ
таныштыр	tɒnɯʃtˈɯr
Ашаган	ɒʃɒʁˈɑn
олимпиадалары	oɫimpiɑdɑɫɑrˈɯ
укытуның	uqɯtunˈɯŋ
урамнар	urɑmnˈɑr
залларда	zɒɫɫɒrdˈɑ
эзләвен	ezlæwˈen
икәнлеген	ikænleɣˈen
куркыту	qurqɯtˈu
популяр	popuɫjˈɑr
тикшерелмәгән	tikʃerelmæɣˈæn
театр	teˈɑtr
керешкәч	kereʃkˈæɕ
аты	ɒtˈɯ
Мөнәвәрә	mœnæwærˈæ
ханымга	xɒnɯmʁˈɑ
халкыбызда	xɒɫqɯbɯzdˈɑ
Экскурсия	eqsqursijˈæ
Беркөнне	berkœnnˈe
кармак	qɒrmˈɒq
иябез	ijæbˈez
нигезен	niɣezˈen
канның	qɒnnˈɯŋ
Хуҗалыкларга	xuʑɑɫɯqɫɑrʁˈɑ
ешайган	jɯʃɑjʁˈɑn
Нижний	niʒnˈij
Халыклар	xɒɫɯqɫˈɑr
төртсәң	tœrtsˈæŋ
Биккол	biqqˈoɫ
Привалов	priwɑɫˈow
Пекинга	pekiŋʁˈɑ
Җиңүгә	ʑiŋyɣˈæ
куркынычсызлык	qurqɯnɯɕsɯzɫˈɯq
командиры	qomɑndirˈɯ
температурасы	temperɑturɑsˈɯ
мәйданнар	mæjdɑnnˈɑr
Күземне	kyzemnˈe
граммлы	ʁrɒmmɫˈɯ
Фирая	firɑjˈɑ
Пекин	pekˈin
үткәрдем	ytkærdˈem
Салкыннар	sɒɫqɯnnˈɑr
казасы	qɒzɒsˈɯ
мөмкинлекне	mœmkinleknˈe
мисалларны	misɑɫɫɑrnˈɯ
орлыкларын	orɫɯqɫɑrˈɯn
бәйрәмебездә	bæjræmebezdˈæ
Навальный	nɑwɑɫʔnˈɯj
вазифаларны	wɒzifɑɫɑrnˈɯ
форум	forˈum
Дүртөйле	dyrtœjlˈe
мотивы	motiwˈɯ
Арчага	ɒrɕɒʁˈɑ
Басуларда	bɒsuɫɑrdˈɑ
Якубов	jɑqubˈow
республикабызга	respubɫiqɑbɯzʁˈɑ
температуралар	temperɑturɑɫˈɑr
куркуымнан	qurquɯmnˈɑn
булуынча	buɫuɯnɕˈɑ
җаннарның	ʑɒnnɒrnˈɯŋ
кондуктор	qonduqtˈor
комсызлык	qomsɯzɫˈɯq
Монысының	monɯsɯnˈɯŋ
Театр	teˈɑtr
аңласыннар	ɒŋɫɒsɯnnˈɑr
фатирыннан	fɒtirɯnnˈɑn
мартта	mɒrttˈɒ
бәс	bˈæs
үлемнән	ylemnˈæn
сарыкларын	sɒrɯqɫɑrˈɯn
яшьләребез	jæʃʔlærebˈez
Мәрдәнов	mærdænˈow
Хисмәт	xismˈæt
Театрның	teɑtrnˈɯŋ
мөселманнар	mœseɫmɑnnˈɑr
Платонов	pɫɒtonˈow
дилбегәсе	dilbeɣæsˈe
аятьне	ɒjætʔnˈe
Бохарай	boxɑrˈɑj
Тәхкыйк	tæxqˈɯjq
Ризван	rizwˈɑn
литр	lˈitr
Гамилә	ʁɒmilˈæ
йөкләде	jœklædˈe
күче	kyɕˈe
Җиһаз	ʑihˈɑz
Милләт	millˈæt
бизәнү	bizænˈy
предметларны	predmetɫɑrnˈɯ
Өзелгән	œzelɣˈæn
яралган	jɑrɑɫʁˈɑn
дуслардан	dusɫɑrdˈɑn
эшләү	eʃlˈæw
реставрацияләү	restɑwrɑtsijælˈæw
баһадирлар	bɒhɒdirɫˈɑr
сәламләп	sæɫɑmɫˈæp
тарихтан	tɒrixtˈɑn
янавы	jɑnɑwˈɯ
дәресен	dæresˈen
Туфан	tufˈɑn
сурәтен	surætˈen
иҗади	iʑɑdˈi
Тимерне	timernˈe
имамнарының	imɑmnɑrɯnˈɯŋ
заводларга	zɑwodɫɑrʁˈɑ
күнегүләрен	kyneɣylærˈen
үзләштерүгә	yzlæʃteryɣˈæ
рәхәтлекне	ræxætleknˈe
арттырылды	ɒrttɯrɯɫdˈɯ
икътисадны	ikʔtisɑdnˈɯ
Хаҗ	xˈɒʑ
ыргыта	ɯrʁɯtˈɑ
инспекторларына	inspeqtorɫɑrɯnˈɑ
кулыбызга	quɫɯbɯzʁˈɑ
кочаклап	qoɕɑqɫˈɑp
китүләре	kitylærˈe
Җаваплар	ʑɑwɑpɫˈɑr
чәнечке	ɕæneɕkˈe
поэмаларын	poemɑɫɑrˈɯn
коярга	qojɑrʁˈɑ
дәшмәскә	dæʃmæskˈæ
ниятләдем	nijætlædˈem
Татарстаныбызда	tɒtɒrstɑnɯbɯzdˈɑ
Аврам	ɑwrˈɑm
Прокуратура	proqurɑturˈɑ
Алардан	ɒɫɒrdˈɑn
цитата	tsitɑtˈɑ
кәефне	keːfnˈe
чумып	ɕumˈɯp
Сагынам	sɒʁɯnˈɑm
кичләрне	kiɕlærnˈe
өйләнешәләр	œjlæneʃælˈær
Миңназыйм	miŋnɑzˈɯjm
Электр	elˈektr
ноутбук	nowtbˈuq
кодын	qodˈɯn
сөнниләр	sœnnilˈær
кимүгә	kimyɣˈæ
сорагыз	sorɑʁˈɯz
колледжы	qoɫɫedʒˈɯ
ахырынача	ɒxɯrɯnɑɕˈɑ
билеты	biletˈɯ
сөйләмә	sœjlæmˈæ
яртысындагы	jɑrtɯsɯndɑʁˈɯ
колхозга	qoɫxozʁˈɑ
осталарны	ostɑɫɑrnˈɯ
техникалары	texniqɑɫɑrˈɯ
торгызуда	torʁɯzudˈɑ
Зират	zirˈɑt
киметүне	kimetynˈe
сүндереп	synderˈep
эшләнеп	eʃlænˈep
пешерәбез	peʃeræbˈez
комендант	qomendˈɑnt
ирештеләр	ireʃtelˈær
югалуга	juʁɑɫuʁˈɑ
энекәше	enekæʃˈe
билгеләренең	bilɣelærenˈeŋ
Гаиләнең	ʁɒjɫænˈeŋ
Барыш	bɒrˈɯʃ
Олыгая	oɫɯʁɑjˈɑ
заправка	zɒprɑwqˈɑ
сират	sirˈɑt
җыелдык	ʑɯeɫdˈɯq
Журналистика	ʒurnɑɫistiqˈɑ
тамашачыларыбыз	tɒmɒʃɑɕɯɫɑrɯbˈɯz
җенесле	ʑeneslˈe
күптәннән	kyptænnˈæn
типсә	tipsˈæ
һәркайсыгызга	hærqɑjsɯʁɯzʁˈɑ
казык	qɒzˈɯq
корылмалары	qorɯɫmɑɫɑrˈɯ
титулы	tituɫˈɯ
санаучылар	sɒnɑwɕɯɫˈɑr
ташуның	tɒʃunˈɯŋ
пьедесталга	pʔedestɑɫʁˈɑ
Ирнең	irnˈeŋ
түшәме	tyʃæmˈe
Мөрәҗәгатьтә	mœræʑæʁɑtʔtˈæ
Ачу	ɒɕˈu
кыздырды	qɯzdɯrdˈɯ
кыюлыгын	qɯjuɫɯʁˈɯn
ирләр	irlˈær
Һәлакәт	hæɫɑqˈæt
Механизаторлар	mexɑnizɑtorɫˈɑr
Матч	mˈɒtɕ
нәтиҗәләреннән	nætiʑælærennˈæn
тоткарлады	totqɑrɫɑdˈɯ
ярышты	jɑrɯʃtˈɯ
Сүзен	syzˈen
маршалы	mɒrʃɒɫˈɯ
Белосток	beɫostˈoq
көндез	kœndˈez
Илдусның	iɫdusnˈɯŋ
Әлки	ælkˈi
нисбәтендә	nisbætendˈæ
туксанынчы	tuqsɑnɯnɕˈɯ
өйрәнде	œjrændˈe
Җамалиев	ʑɒmɒɫiˈew
олылый	oɫɯɫˈɯj
порталында	portɑɫɯndˈɑ
яңгырлары	jɑŋʁɯrɫɑrˈɯ
истәлекләргә	istæleklærɣˈæ
участокларын	uɕɑstoqɫɑrˈɯn
һөнәр	hœnˈær
тикшерүен	tikʃeryˈen
тиңләү	tiŋlˈæw
байлыклары	bɒjɫɯqɫɑrˈɯ
кулларым	quɫɫɑrˈɯm
курыкмаган	qurɯqmɑʁˈɑn
йөрәгемә	jœræɣemˈæ
йөрәкләргә	jœræklærɣˈæ
Колорадо	qoɫorɑdˈo
тиешлегенә	tieʃleɣenˈæ
Чәчәкле	ɕæɕæklˈe
теркәүгә	terkæwɣˈæ
монографиясе	monoʁrɑfijæsˈe
һөҗүменә	hœʑymenˈæ
тәҗрибәмнән	tæʑribæmnˈæn
уйна	ujnˈɑ
ялыктыра	jɑɫɯqtɯrˈɑ
әйтмешли	æjtmeʃlˈi
миллиметр	millimˈetr
Испания	ispɑnijˈæ
премиягә	premijæɣˈæ
борылды	borɯɫdˈɯ
микъдары	miqʔdɑrˈɯ
күрсәтелмәгән	kyrsætelmæɣˈæn
күрсәтегез	kyrsæteɣˈez
Бәрелешләр	bæreleʃlˈær
онкология	onqoɫoʁijˈæ
чайкарга	ɕɒjqɒrʁˈɑ
ЗАГСта	zˈɒʁstˈɒ
теләп	telˈæp
атнаны	ɒtnɒnˈɯ
УНИКСның	unˈiksnˈɯŋ
иттек	ittˈek
тончыгып	tonɕɯʁˈɯp
Күпчелеге	kypɕeleɣˈe
депосы	deposˈɯ
өебез	œebˈez
Ельцин	jelʔtsˈin
суздым	suzdˈɯm
темпларны	tempɫɑrnˈɯ
ударнигы	udɑrniʁˈɯ
полк	pˈoɫq
арадан	ɒrɒdˈɑn
Фаик	fˈɒjq
ґәзабы	æzɑbˈɯ
максатындагы	mɒqsɒtɯndɑʁˈɯ
шамаил	ʃɒmˈɒjɫ
араларга	ɒrɒɫɑrʁˈɑ
кулларың	quɫɫɑrˈɯŋ
түбәтәен	tybætˈeːn
аналарның	ɒnɒɫɑrnˈɯŋ
маргарин	mɒrʁɒrˈin
фарсы	fɒrsˈɯ
Районыбызда	rɒjonɯbɯzdˈɑ
кавеменнән	qɑwemennˈæn
Пәнҗешәмбе	pænʑeʃæmbˈe
абруе	ɒbruˈe
тантанасына	tɒntɒnɑsɯnˈɑ
Шушмабаш	ʃuʃmɑbˈɑʃ
стильләр	stilʔlˈær
исәннәрнең	isænnærnˈeŋ
зыялыларын	zɯjɑɫɯɫɑrˈɯn
Үзләре	yzlærˈe
корылды	qorɯɫdˈɯ
духовкага	duxowqɑʁˈɑ
торырлар	torɯrɫˈɑr
башваткычлар	bɒʃwɒtqɯɕɫˈɑr
бизәкләр	bizæklˈær
Миланда	miɫɑndˈɑ
расламый	rɒsɫɒmˈɯj
йолдызчык	joɫdɯzɕˈɯq
ватты	wɒttˈɯ
шәһәрләрдәге	ʃæhærlærdæɣˈe
илемдә	ilemdˈæ
кызганам	qɯzʁɑnˈɑm
мантыйкый	mɒntɯjqˈɯj
туризмы	turizmˈɯ
компенсацияне	qompensɑtsijænˈe
бирү	birˈy
түгәрәккә	tyɣærækkˈæ
Эрдоган	erdoʁˈɑn
терлекләрнең	terleklærnˈeŋ
Раздолье	rɒzdoɫʔˈe
Бердән	berdˈæn
спектакльләрдән	speqtɑqɫʔɫærdˈæn
чагыла	ɕɒʁɯɫˈɑ
Шәех	ʃˈeːx
эзәрлекләүләрдән	ezærleklæwlærdˈæn
олысын	oɫɯsˈɯn
