gibraltarski	ɡǐbraltarskiː
sinologija	sinolǒɡija
torba	tǒːrba
jamačno	jǎmat͡ʃno
kafa	kǎfa
nijekati	nijěːkati
svagdašnjica	sʋǎɡdaʃɲit͡sa
žega	ʒêɡa
totalitaristički	totalitarǐstit͡ʃki
teokracija	teokrǎt͡sija
bob	bôb
lažac	lǎʒat͡s
zgrijati	zɡrîjati
primjetljivo	primjětʎiʋo
zamenica	zâːmenit͡sa
izgon	ǐzɡon
frikativ	frîkatiːʋ
vlak	ʋlâːk
primenjivati	primeɲǐːʋati
dosadan	dôsaːdan
čudak	t͡ʃǔdaːk
škola	ʃkôːla
šlif	ʃlîf
neosporno	nêospoːrno
sastati	sǎstati
gorostasan	ɡôrostaːsan
košarkašica	koʃarkǎʃit͡sa
introspektivan	introspěktiːʋan
lakovjernost	lakoʋjěːrnoːst
trst	tr̂st
svak	sʋâːk
taknuti	tǎknuti
dostupnost	dǒstupnoːst
besprekoran	besprěːkoːran
bife	bǐfeː
žumance	ʒumǎːnt͡se
stegnuti	stěːɡnuti
bolan	bôːlan
arbitraža	arbitrǎːʒa
globa	ɡlǒba
zadrtost	zâdrːtoːst
krut	krûːt
stati	stâːti
dio	dîo
pouzdanje	pouzdǎːɲe
neptun	něptuːn
dugonog	duɡǒnoɡ
republikanka	republǐkaːnka
banknota	banknǒːta
ča	t͡ʃâ
sazivati	sazǐːʋati
presoljavati	presoʎǎːʋati
nerijetko	nêrijeːtko
sustanar	sûstanaːr
špan	ʃpâːn
abonent	abǒnent
probušiti	probǔːʃiti
križar	krǐʒaːr
ucenjivati	ut͡seɲǐːʋati
haznadar	xaznǎdaːr
idiotski	idǐotski
jana	jâna
ozljeda	ôzʎeda
loptast	lôptast
butiga	bǔtiːɡa
muhendis	muxěndis
odbojno	ôdboːjno
kupleraj	kuplěraːj
plašilo	plâʃilo
došljakinja	doʃʎǎkiɲa
hektogram	xěktoɡram
zahtev	zǎːxteʋ
istraga	îstraɡa
zevati	zěːʋati
namamljivati	namamʎǐːʋati
temperamentno	temperǎmentno
automobil	automǒbiːl
hraniteljka	xrǎniteːʎka
neprirodnost	neprǐːrodnoːst
sastavčić	sǎːstaːʋt͡ʃit͡ɕ
kazneno	kǎzneno
služinče	sluʒǐːnt͡ʃe
andorski	ǎndorskiː
kasaba	kasǎba
provjeravati	proʋjerǎːʋati
kompanjon	kompǎɲoːn
mirisan	mîriːsan
mljekar	mʎěkaːr
prohibicija	proxibǐːt͡sija
slabost	slâboːst
kozorepac	kozorěːpat͡s
spirati	spǐːrati
njujorški	ɲûjorʃkiː
veselo	ʋêselo
autoritet	autorǐteːt
gram	ɡrâm
skalpirati	skalpǐːrati
flaširati	flaʃǐːrati
bundeva	bǔndeʋa
pustolovno	pûstoloːʋno
nag	nâːɡ
oblik	ôbliːk
škare	ʃkâre
podbadati	podbǎːdati
umetati	ǔmetati
šrajbmašina	ʃrajbmaʃǐːna
loš	lôʃ
komparativ	kômparatiːʋ
diplomat	diplǒmat
svjež	sʋjêʒ
buzdovan	buzdǒʋaːn
krntijetina	krntijětina
smjena	smjêna
dramaturgija	dramatǔrɡija
uslužno	ǔsluʒno
invaliditet	inʋalidǐteːt
bezidejan	bêzideːjan
antiteza	antǐteza
srednji	srêdɲiː
neprekinut	neprěkinuːt
kakofonija	kakofǒnija
oštriti	ǒʃtriti
plivati	plîʋati
dovde	dǒːʋdeː
vjeverica	ʋjêʋerit͡sa
istodobno	istǒdobno
singl	sǐnɡl
teatralnost	teatrǎːlnoːst
nicati	nît͡sati
specijalizirati	spet͡sijalizǐːrati
privezati	priʋěːzati
konvencionalan	kônʋent͡sionaːlan
šupljina	ʃupʎǐna
odlučan	ôdluːt͡ʃan
košarka	kǒʃaːrka
evolucija	eʋolǔːt͡sija
nabrojiti	nabrǒjiti
pričinjavati	prit͡ʃiɲǎːʋati
tegobno	têɡoːbno
znamenje	znǎmeːɲe
kurjak	kûrjaːk
satiričar	satǐrit͡ʃaːr
razborito	rǎːzborito
talijanski	talǐjaːnskiː
bulazniti	bulǎːzniti
cirkusant	t͡sirkǔsant
zlonameran	zlonǎːmeːran
vijak	ʋǐːjak
transferni	trǎnsfeːrniː
provoditi	proʋǒditi
trzaj	tr̂zaːj
taktički	tǎktitʃkiː
krševit	krʃěʋit
liferant	lifěrant
jezični	jězit͡ʃniː
statički	stǎtitʃki
trošak	trôʃak
sedmina	sedmǐna
nadživjeti	nad͡ʒǐːʋjeti
telepatski	telěpatskiː
boravište	bǒraʋiːʃte
dobrodošlica	dobrodǒʃlit͡sa
bajuneta	bajuněːta
vredan	ʋrěːdan
trapavost	trâpaʋoːst
razonoda	râzonoda
pregrijavati	preɡrijǎːʋati
razdio	rǎːzdio
kategorija	kateɡǒrija
rucelj	rǔt͡seʎ
utješitelj	utjěʃiteʎ
izoglosa	izoɡlǒsa
lopatica	lǒpatit͡sa
kozmografija	kozmoɡrǎfija
tip	tîːp
sobom	sôboːm
nedelja	nědeʎa
kartografski	kartǒɡrafski
transparentnost	transpǎrentnoːst
prepelica	prêpelit͡sa
djetence	djetěːnt͡se
salo	sâlo
balkon	bǎlkoːn
hvalisavo	xʋalǐsaʋo
zasjedanje	zasjěːdaːɲe
kenjati	kěːɲati
koleno	kǒleno
polagano	polǎɡaːno
lišiti	lǐːʃiti
studeni	stǔdeniː
žbir	ʒbîːr
krezub	krězub
nezaposlenost	nezǎposlenoːst
prisjetiti	prǐsjetiti
četvorica	t͡ʃetʋǒrit͡sa
kaštiga	kǎʃtiːɡa
zbunjen	zbûːɲen
cvetača	t͡sʋětat͡ʃa
prolazak	prǒlazak
otpor	ǒtpor
šelman	ʃêlman
šapa	ʃǎːpa
verzal	ʋěrzaːl
slan	slâːn
hrišćanstvo	xrǐʃt͡ɕaːnstʋo
trohej	trǒxeːj
uvlačiti	uʋlǎːt͡ʃiti
pišljiv	pǐʃʎiʋ
slaboća	slabǒt͡ɕa
zapadati	zǎpadati
građanin	ɡrâd͡ʑanin
francuska	frǎnt͡suːskaː
špeher	ʃpêxer
zakonito	zǎːkonito
balistički	balǐstitʃkiː
poprskavati	poprskǎːʋati
kreatura	kreatǔːra
blizanac	blizǎːnat͡s
misticizam	mistit͡sǐzam
karlica	kǎrlit͡sa
monetarni	mônetaːrniː
sadašnjica	sǎdaʃɲit͡sa
mišićni	mǐʃiːt͡ɕniː
izrastati	izrǎːstati
neustavno	nêustaːʋno
idiotski	idǐotskiː
narađati	narǎːd͡ʑati
islamski	ǐslaːmski
regularno	rêɡulaːrno
analfabetski	analfǎbetskiː
veslar	ʋěslaːr
alka	âːlka
djelomičan	djêlomit͡ʃan
uzak	ûzak
nepodmitljiv	nepodmǐtʎiʋ
šljem	ʃʎêm
mohar	mǒxaːr
zora	zǒra
alkoholno	ǎlkoxolnoː
krojilac	krǒjilat͡s
pomaći	pǒmat͡ɕi
mješanac	mjeʃǎːnat͡s
izmamiti	izmǎːmiti
idiotizam	idiotǐzam
imbecilno	îmbet͡siːlno
izostaviti	izǒstaʋiti
mišar	mîʃaːr
aludirati	aludǐːrati
elektrana	elektrǎna
uživatelj	uʒǐʋateʎ
kirurški	kǐrurʃki
biciklist	bit͡sǐklist
plod	plôːd
kameleon	kamelěoːn
bara	bâra
književnost	kɲîʒeːʋnoːst
metal	mětaːl
severnokorejski	seʋernokǒreːjskiː
britanski	brǐtaːnskiː
zid	zîːd
ždreb	ʒdrêːb
ujediniti	ujedǐːniti
posoliti	posǒliti
odnekle	ǒdnekle
skucati	skût͡sati
papak	pǎːpak
napadati	nǎpadati
nesklad	nêsklad
jezgrovitost	jezɡrǒʋitoːst
maksimalan	mâksimaːlan
tegoban	têɡoːban
težanje	teʒaɲe
sačma	sǎt͡ʃma
specifičan	spet͡sǐfit͡ʃan
spol	spôːl
slabo	slâbo
opsežan	ôpseːʒan
čislo	t͡ʃǐːslo
suglasnički	sǔɡlasnitʃkiː
ćelavac	t͡ɕêlaʋat͡s
romanski	rǒmaːnskiː
psihijatrijski	psixijǎtriːjskiː
teatralno	têatraːlno
kotizacija	kotizǎːt͡sija
epikurejac	epikurěːjat͡s
pravilan	prâʋiːlan
tradicionalnost	tradit͡sionǎːlnoːst
bledeti	blěːdeti
zagreb	zaɡrep
engleski	ěnɡleːskiː
izvješćivati	izʋjeʃt͡ɕǐːʋati
monom	mǒnoːm
reportirati	reportǐːrati
zelenaški	zelěnaːʃkiː
draga	drâɡa
hlače	xlât͡ʃe
klavirist	klaʋǐrist
artist	ǎrtist
doktorand	doktǒrand
nasukati	nasǔːkati
zapaziti	zǎpaziti
logično	lǒɡit͡ʃno
berza	bêrza
katoličanstvo	katolit͡ʃǎːnstʋo
zor	zôːr
obao	ôbao
biftek	bǐftek
iskoristiti	iskorǐstiti
bezličan	bězlit͡ʃan
neki	nêkiː
štednjak	ʃtêːdɲaːk
šljunak	ʃʎǔːnak
dati	dâti
alkoholičar	alkoxǒlit͡ʃaːr
odmoran	ôdmoːran
popularizirati	popularizǐːrati
sidro	sîdro
astralan	ǎstraːlan
pošta	pôʃta
očigledno	ôt͡ʃiɡleːdno
potrajati	pǒtrajati
sjeći	sjêt͡ɕi
prostrijeti	prǒstrijeːti
šetnja	ʃěːtɲa
večerašnji	ʋet͡ʃěraʃɲiː
kožarstvo	koʒǎːrstʋo
posluh	pôsluːx
palenta	pǎleːnta
dinosaurus	dinosǎurus
sirotka	sîrotka
ponuditi	pǒnuditi
konjić	kǒɲiːt͡ɕ
pritiskivati	pritiskǐːʋati
istraživanje	istraʒǐːʋaːɲe
uobraziti	uobrǎːziti
porast	pôraːst
odmazda	ǒdmazda
tendenciozno	têndent͡sioːzno
dud	dûd
lijepo	lijêːpo
željko	ʒêːʎko
opredijeliti	opredjěːliti
bljeskati	bʎêskati
nišandžija	niʃǎnd͡ʒija
neuništiv	neunǐʃtiʋ
posijedjeti	posijěːdjeti
hidžret	xǐd͡ʒret
pulsar	pǔlsaːr
glupan	ɡlǔpan
mehurić	mexǔrit͡ɕ
statika	stǎtika
translacija	translǎːt͡sija
ibrik	ǐbriːk
provala	prôʋala
gusar	ɡûsaːr
laufer	lǎufer
sandalovina	sǎndaloʋina
praznični	prâːznit͡ʃniː
bijeg	bjêːɡ
nered	nêreːd
upadljivo	upǎdʎiʋo
sopran	sǒpraːn
karanfilić	karanfǐlit͡ɕ
šprahror	ʃprâːxroːr
čistač	t͡ʃǐstaːt͡ʃ
nesložan	něsloʒan
marija	mǎrija
shvatati	sxʋâtati
razvedenost	razʋědenoːst
naglašavati	naɡlaʃǎːʋati
zgrejati	zɡrejati
razmicati	rǎzmit͡sati
bolesnički	bolěsniːt͡ʃkiː
lelekati	lelěːkati
formirati	formǐːrati
nekompetentan	nekompetěntan
hipik	xǐpik
kupovati	kupǒʋati
linir	lǐniːr
nositi	nǒsiti
podmorski	pǒdmorskiː
kučence	kutʃěːntse
predio	prěːdio
baratati	barǎtati
razmerno	rǎːzmeːrno
kožni	kôʒniː
fontana	fǒntaːna
krkan	křkan
satana	satǎna
hodočašće	xôdot͡ʃaʃt͡ɕe
pukovnija	pukǒʋnija
šepav	ʃêpaʋ
vizija	ʋîːzija
bankar	bǎnkaːr
difuzivnost	difuzǐːʋnoːst
miš	mîʃ
obamrlost	ôbamrːloːst
čempres	t͡ʃěmpres
posetilac	posětilat͡s
sabirnica	sǎːbiːrnit͡sa
relativan	rêlatiːʋan
sjetiti	sjêtiti
otkopavati	otkopǎːʋati
električni	elěktrit͡ʃniː
oboriv	obǒriʋ
rijeti	rjěti
globalno	ɡlǒbaːlno
luksuzan	lǔksuzan
uveo	ǔʋeo
zlotvoran	zlôtʋoːran
teleologija	teleolǒɡija
logaritamski	loɡarǐtamski
obrađivati	obrad͡ʑǐːʋati
ishrana	îsxrana
potpredsednik	potprěːdsedniːk
vlakance	ʋlakǎːnt͡se
izvediv	izʋědiʋ
trivijalno	trîʋijaːlno
rijedak	rjěːdak
astronomski	astrǒnomskiː
egzistencijalan	êɡzistent͡sijaːlan
kanada	kanǎːda
karanfil	karǎnfil
skald	skâld
pornograf	pornǒɡraf
kostrika	kǒstrika
obavezati	obaʋěːzati
odmotati	odmǒtati
lova	lǒːʋa
ljubljeni	ʎûːbʎeniː
dušmanin	dûʃmanin
impotentno	impotěntno
blatnjav	blâtɲaʋ
stradati	strǎːdati
brinuti	brînuti
žaliti	ʒâliti
istosmjeran	îstosmjeːran
pelc	pêlt͡s
adjunkt	ǎdjunkt
pelikan	pelǐkaːn
žbukati	ʒbûkati
basnoslovan	bâsnosloːʋan
zbir	zbîːr
eventualan	êʋentuaːlan
arbitraran	ârbitraːran
asistencija	asistěnt͡sija
napolju	nâpoʎu
rog	rôːɡ
sustavan	sǔːstaːʋan
dragocen	draɡǒt͡sen
štamgast	ʃtâmɡast
posljednji	pǒsʎedɲiː
kliknuti	klîknuti
smeono	směono
dosadanji	dosǎdaɲiː
kveker	kʋêker
pomada	pomǎːda
kris	krîːs
podvaljivati	podʋaʎǐːʋati
zimi	zîːmi
mlatiti	mlǎːtiti
uzburkati	ǔzburkati
porasti	pǒraːsti
politički	polǐtit͡ʃkiː
zutra	zûtra
romantičan	romǎntit͡ʃan
ravnica	raʋnǐt͡sa
lijeha	lijěxa
oficir	ofǐt͡siːr
skut	skûːt
meštanka	měʃtaːnka
umor	ǔːmor
udarac	ǔdarat͡s
trapavo	trâpaʋo
besklasan	běsklasan
čmar	t͡ʃmâːr
zagorčati	zaɡǒrt͡ʃati
nastranost	nǎstranoːst
dionica	diǒnit͡sa
hobi	xôbi
morfizam	morfǐzam
kloroform	klôroform
pohvala	pôxʋala
prihvaćati	prǐxʋat͡ɕati
biokemija	biokěːmija
kovačići	kôʋat͡ʃit͡ɕi
nerazborit	nerǎːzborit
hum	xûːm
ložač	lǒʒaːt͡ʃ
raznoličan	raznǒlit͡ʃan
futur	fǔtuːr
ribolovac	ribolǒːʋat͡s
granjavati	ɡraɲǎːʋati
prijazan	prîjaːzan
zarana	zârana
stepski	stêpskiː
tijesno	tjêːsno
smiren	smîːren
anegdota	aneɡdǒta
praznoverje	prâznoʋeːrje
vodonoša	ʋodǒnoʃa
dost	dôst
dojka	dôːjka
kazna	kâzna
prijestolonasljednica	prijestolonǎːsʎednit͡sa
one	ǒne
ženevski	ʒěneʋskiː
utjecati	ǔtjet͡sati
gibak	ɡîbak
neimar	něimaːr
blizu	blǐːzu
cjepidlačiti	t͡sjepǐdlat͡ʃiti
operator	opěraːtor
simbolično	simbǒlit͡ʃno
studenac	studěːnat͡s
romski	rôːmskiː
trica	trîtsa
psihopat	psixǒpat
maloumnik	mâlouːmniːk
razarač	razǎraːt͡ʃ
pornografski	pornǒɡrafskiː
neznanac	neznǎːnat͡s
futuristički	futurǐstit͡ʃki
navlažiti	nǎʋlaʒiti
izmisliti	ǐzmisliti
velikaški	ʋelǐkaːʃki
svirep	sʋǐrep
denuncijantski	denunt͡sǐjantski
bljedoća	bʎedǒt͡ɕa
advokatski	adʋǒkaːtski
nasilnik	nǎːsiːlniːk
preplatiti	preplǎːtiti
štit	ʃtîːt
garda	ɡâːrda
kengur	kênɡuːr
podbosti	pǒdbosti
butan	bǔtaːn
apologija	apolǒɡija
sekundaran	sêkundaːran
hladnjak	xlâːdɲaːk
pristran	prǐstran
sveća	sʋěːt͡ɕa
ovolik	oʋǒlik
tragičar	trǎɡit͡ʃaːr
radiostanica	radiostǎnit͡sa
zehciger	zěxt͡siɡer
pritvoriti	pritʋǒriti
lojnica	lǒːjnit͡sa
hrvatica	xrʋǎtit͡sa
prokrijumčariti	prokrijumt͡ʃǎːriti
težište	têʒiːʃte
imaginacija	imaɡinǎːt͡sija
pakosno	pâkosno
utrostručiti	utrǒstrut͡ʃiti
partnerstvo	pârtnerstʋo
devetsto	dêʋetsto
vlasac	ʋlǎːsat͡s
akcentirati	akt͡sentǐːrati
mafiokracija	mafiokrǎt͡sija
kadikad	kadikad
ložnica	lǒːʒnit͡sa
bezizrazno	bêzizraːzno
oklijevati	okljěːʋati
autonoman	ǎutonoːman
kamo	kâmo
nepogoda	nêpoɡoda
bezglavost	bězɡlaʋoːst
marcipan	mart͡sǐpaːn
antisemitski	antisěmiːtskiː
trapezoidan	trâpezoiːdan
pastuv	pâstuːʋ
vlastit	ʋlǎstit
krevetić	krěʋetit͡ɕ
probuditi	probǔːditi
ludeti	lǔːdeti
domišljati	domǐːʃʎati
poslušan	pôsluːʃan
vriježa	ʋrijêːʒa
zvjezdoznanstvo	zʋjezdoznǎːnstʋo
vrtni	ʋr̂tniː
rukovati	rûkoʋati
kilogram	kîloɡram
garantirati	ɡarantǐːrati
kompatibilnost	kompatibǐːlnoːst
fakinarija	fakinǎrija
kratkotrajan	krâtkotraːjan
fatalistkinja	fatǎlistkiɲa
šef	ʃêf
poetika	poětika
štetl	ʃtêtl
ocjenjivati	ot͡sjeɲǐːʋati
sitno	sîtno
bespoštednost	bêspoʃteːdnoːst
hedonistički	xedonǐstitʃkiː
krmar	kr̂maːr
rimokatolički	rimokǎtolit͡ʃkiː
rosa	rǒsa
špengler	ʃpênɡler
kontra	kôntra
mestarina	mestǎrina
lopovčina	lopǒʋt͡ʃina
gerontofobija	ɡerontofǒbija
devetnaesti	deʋětnaestiː
epitet	epǐteːt
podgrizati	podɡrǐːzati
redovnik	redǒʋniːk
šib	ʃîːb
aglomerat	aɡloměraːt
šrafa	ʃrâfa
kontracepcija	kontrat͡sěpt͡sija
oluja	olǔːja
uzgred	ûzɡreːd
dolina	dolǐna
izmišljotina	izmiʃʎǒtina
podrugivati	podruɡǐːʋati
šlem	ʃlêm
fitilj	fǐtiːʎ
sociološki	sotsiǒloʃkiː
meza	měza
promišljenost	prǒmiʃʎenoːst
korelacija	korelǎːt͡sija
hvališa	xʋǎliʃa
djetelina	djêtelina
poboljšati	pobǒʎʃati
slagar	slǎɡaːr
saksofonist	saksofǒnist
konstantno	konstǎntno
glasonoša	ɡlasǒnoʃa
neslužbeno	něsluʒbeno
svibanj	sʋîːbaɲ
zalaznica	zǎːlaznit͡sa
dijagnostika	dijaɡnǒstika
jemstvo	jěmstʋo
desetnik	děsetniːk
bradat	brǎdat
stup	stûːp
nos	nôːs
zgroziti	zɡrǒziti
odveć	ôdʋet͡ɕ
aklimatizacijski	aklimatizǎːt͡siːjskiː
osećajan	ôset͡ɕaːjan
latentno	latěntno
škatula	ʃkǎtula
teorija	teǒːrija
krstitke	křstiːtke
lokalan	lǒkaːlan
pastoralan	pâstoraːlan
neobjektivnost	neobjektǐːʋnoːst
nagovešćivati	naɡoʋeʃt͡ɕǐːʋati
bicikl	bit͡sǐkl
šnur	ʃnûːr
propovijed	prôpoʋjeːd
paradirati	paradǐːrati
kopljanik	kǒpʎaniːk
akadski	ǎkaːdskiː
naduvenost	nadǔʋenoːst
okupator	okǔpaːtor
asuan	ǎsuan
pastuh	pâstuːx
rumeniti	ruměniti
elektromagnetni	elektromǎɡneːtniː
đerdan	d͡ʑěrdaːn
novac	nǒʋat͡s
totalitarizam	totalitarǐzam
semantički	semǎntitʃkiː
kurziv	kǔrziːʋ
ublažavati	ublaʒǎːʋati
razvoj	rǎːzʋoj
usuditi	usǔːditi
slamati	slǎːmati
konvent	kǒnʋent
tranzitivan	trânzitiːʋan
rupičavost	rûpit͡ʃaʋoːst
žedno	ʒêːdno
ispirati	ǐspirati
skupnik	skûpniːk
mutiti	mǔːtiti
samoobrambeni	samoǒbrambeniː
marokanac	marokǎːnat͡s
hotelski	xǒtelskiː
retor	rêːtor
sniženje	sniʒěːɲe
bogalj	bôɡaːʎ
komičar	kǒmit͡ʃaːr
akšam	ǎkʃam
kompa	kompǎ
doksologija	doksolǒɡija
svilast	sʋîlast
postajati	pǒstajati
hihot	xîxoːt
putopisac	putopǐːsat͡s
koji	kǒjiː
autentičan	autěntit͡ʃan
dugajlija	duɡǎjlija
anketa	ankěta
odvjetnica	ǒdʋjetnit͡sa
bar	bâːr
nepreporan	neprěːpoːran
progonstvo	prǒɡoːnstʋo
vlast	ʋlâːst
ekipa	ekǐːpa
separatan	sêparaːtan
gramatika	ɡramǎtika
korijen	kôrjeːn
odjebati	odjěbati
istočnjak	ǐstot͡ʃɲaːk
ček	t͡ʃêk
goniti	ɡǒniti
gospodarski	ɡospǒdaːrskiː
zaošijati	zaoʃǐjati
trafika	trǎfika
nazor	nǎːzor
križić	krǐʒit͡ɕ
mantra	mântra
smuda	smuda
nadoknaditi	nadǒknaditi
śutra	ɕûtra
upriličiti	uprǐːlit͡ʃiti
crkvenoslavenski	t͡srkʋenoslǎʋenskiː
soko	sôko
doktorirati	doktorǐːrati
podnevnik	pǒːdneːʋniːk
marginalan	mârɡinaːlan
jezik	jězik
andaluzijski	andǎluzijskiː
kazati	kǎːzati
prestižni	prêstiʒniː
tanan	tǎnan
đilkoš	d͡ʑîːlkoʃ
efekat	ěfekt
slina	slîna
kanibal	kǎnibal
jerbo	jêrbo
sigurno	sîɡuːrno
lirski	lîːrski
obaveštajni	ôbaʋeʃtaːjniː
uzdah	ûzdaːx
izopačen	izǒpaːt͡ʃen
razneti	rǎzneːti
sav	sâʋ
zemljoradnik	zemʎǒraːdniːk
prouzrokovati	proǔːzrokoʋati
roniti	rǒniti
ekspresivan	êkspresiːʋan
naivan	nâiːʋan
umreti	ǔmreːti
svejedno	sʋejědno
dodijeliti	dodjěːliti
pobjeda	pôbjeda
indolentan	indolěntan
tucati	tût͡sati
šoc	ʃôt͡s
monako	mǒnako
oživotvoriti	oʒiʋotʋǒriti
travnat	trǎʋnat
staroslavenski	staroslǎʋeːnskiː
ispred	îspred
zapušiti	zǎpuʃiti
razbuđivati	razbud͡ʑǐːʋati
autoritativan	âutoritatiːʋan
zvezdica	zʋězdit͡sa
ekvator	ěkʋaːtor
žudnja	ʒǔːdɲa
zavjesa	zâːʋjesa
alem	ǎːlem
kratko	krâtko
hartija	xǎrtija
meškoljiti	meʃkǒʎiti
dimnjačar	dîmɲat͡ʃaːr
avanturistički	aʋanturǐstitʃki
balkanski	bǎlkaːnski
krivonog	kriʋǒnoɡ
promašaj	prômaʃaːj
kovitlac	koʋǐtlat͡s
kongresmen	kǒnɡresmen
krofna	krǒːfna
bibliobus	bibliǒːbus
mirovinski	mîroʋiːnskiː
tjedni	tjêdniː
pashalni	pǎsxaːlniː
detence	detěːnt͡se
punoljetstvo	pûnoʎetstʋo
testosteron	testostěroːn
behar	běxaːr
prekidač	prekǐdaːt͡ʃ
neuspešno	nêuspeʃno
nelegalan	nêleɡaːlan
kanadski	kǎnadskiː
hazena	xazěːna
sažalijevati	saʒalijěːʋati
ruksak	rûksaːk
amfibija	ǎmfiːbija
srknuti	sřːknuti
bakren	bǎkren
zviždati	zʋǐʒdati
daljina	daʎǐna
mapa	mâpa
neurastenija	neurastěnija
bacač	bǎt͡saːt͡ʃ
anegdotski	aněɡdotski
krutiti	krǔːtiti
kalaj	kǎlaj
sadnja	sǎːdɲa
toplota	toplǒta
monarh	mǒnarx
carinik	t͡sâriniːk
ekstravagantan	ekstraʋaɡǎntan
iritacija	iritǎːt͡sija
nekažnjiv	nekǎʒɲiʋ
adonis	âdonis
amajlija	amǎjlija
andromeda	andrǒmeda
onesposobljavati	onesposobʎǎːʋati
bagdad	bǎɡdaːd
šnešlager	ʃnêːʃlaːɡer
raskoliti	raskǒliti
ćaća	t͡ɕât͡ɕa
formacija	formǎːt͡sija
miroslav	mîroslaʋ
tadašnji	tǎdaʃɲiː
učiteljski	ǔtʃiteʎskiː
protektorat	protektǒraːt
nerješivost	nerjěʃiʋoːst
apsolutan	âpsoluːtan
fluktuacija	fluktuǎːt͡sija
bubnjarski	bǔbɲarskiː
bomba	bôːmba
pivar	pǐʋaːr
raseliti	rasěliti
zabavljač	zabǎʋʎaːt͡ʃ
osvetoljubiv	osʋetoʎǔbiʋ
kilobajt	kîlobajt
zastupnica	zǎːstupnit͡sa
zabliještiti	zablijěːʃtiti
bengalski	běnɡaːlskiː
obarati	obǎːrati
pjenez	pjêneːz
kirgistan	kîrɡistaːn
oganj	ǒɡaɲ
selo	sěːlo
siriti	sîriti
sebičnost	sěbit͡ʃnoːst
utovarivati	utoʋarǐːʋati
sablažnjivost	sablǎʒɲiʋoːst
inatiti	inǎːtiti
klupski	klûːpskiː
reorganizacija	reorɡanizǎːt͡sija
išibati	îʃibati
spis	spîs
demilitarizacija	demilitarizǎːt͡sija
almaatski	almaâtskiː
krunidba	krǔnidba
gnjiljeti	ɡɲǐːʎeti
bogota	boɡǒta
vozački	ʋǒzaːtʃki
prdeti	přdeti
nabiti	nǎbiti
jugoslavija	juɡoslâʋija
liga	lǐːɡa
kada	kǎda
rashod	rǎːsxod
pucač	pǔt͡saːt͡ʃ
bezumnik	bězuːmniːk
ludost	lûdoːst
uputa	ûputa
rudiment	rudǐment
kramar	krâmaːr
abak	ǎbak
obustavljati	obǔstaʋʎati
špandle	ʃpǎndle
štakor	ʃtâkor
siroče	sǐrotʃe
beležiti	běleʒiti
tok	tôːk
pužev	pǔːʒeʋ
utopljenica	utopʎěnit͡sa
mjesečni	mjêset͡ʃniː
usidriti	ǔsidriti
narandžast	nǎraːnd͡ʒast
posjećivati	posjet͡ɕǐːʋati
uzoran	ǔːzoːran
momčad	mômt͡ʃaːd
rasterati	rǎsterati
kroničariti	kronit͡ʃǎːriti
publicitet	publit͡sǐteːt
sanja	sâɲa
šokantno	ʃokǎntno
alergologija	alerɡolǒɡija
podbjel	pǒdbjel
latinka	lǎtiːnka
predznak	prêdznaːk
akumulatorski	akumǔlaːtorskiː
suglasnik	sǔɡlasniːk
vojska	ʋǒːjska
kopile	kôpile
pozornica	pozǒːrnit͡sa
koautor	koǎutor
pohod	pǒxod
činilac	t͡ʃǐnilat͡s
vrata	ʋrǎːta
seansa	seǎnsa
toponim	topǒniːm
utvarati	utʋǎːrati
ande	âːnde
izjadati	ǐzjadati
mačevanje	mât͡ʃeʋaːɲe
cepidlačiti	t͡sepǐdlat͡ʃiti
sevdisati	sěʋdisati
egoistički	eɡoǐstitʃkiː
prepustiti	prepǔstiti
nerazgovijetno	nêrazɡoʋijeːtno
razvalina	rǎzʋalina
kratkodnevički	kratkǒdneʋit͡ʃkiː
ubrzati	ubřzati
doživljavati	doʒiʋʎǎːʋati
kredo	krêːdo
racionalan	rât͡sionaːlan
slaboumnost	slaboǔːmnoːst
zapreti	zǎpreːti
odnedavno	ǒdnedaːʋno
svanuće	sʋanǔːt͡ɕe
sperma	spěrma
infuzija	ǐnfuːzija
uoči	ǔot͡ʃi
verglaš	ʋěrɡlaːʃ
mudonja	mǔːdoɲa
pripadnik	prǐpadniːk
plesati	plěːsati
nametnuti	nǎmetnuti
optimizam	optimǐzam
istok	ǐstok
regresija	reɡrěsija
svojta	sʋôːjta
krugovalni	krûɡoʋaːlniː
skupštinarka	skûpʃtinaːrka
novinarstvo	noʋinǎːrstʋo
mikroskopski	mîkroskopski
zgrabiti	zɡrâbiti
navesti	nǎʋeːsti
kurtoazija	kurtoǎːzija
veljača	ʋěʎat͡ʃa
pitomac	pitǒːmat͡s
šleptregerica	ʃleptrěːɡerit͡sa
punomoć	pûnomoːt͡ɕ
kraul	krǎul
kanta	kǎːnta
štitonoša	ʃtitǒnoʃa
hercegovački	xěrtseɡoʋatʃki
pedagog	pedǎɡoɡ
mek	mêk
zapovjediti	zapǒʋjediti
paganizam	paɡanǐzam
montanizam	montanǐzam
grobar	ɡrǒbaːr
trubiti	trǔːbiti
transformacijski	transformǎːt͡siːjskiː
svojevoljan	sʋôjeʋoːʎan
panaceja	panat͡sěːja
razveden	razʋěden
protjerati	prǒtjerati
pravdati	prâːʋdati
nitkov	nǐtkoːʋ
svagde	sʋâɡde
ukrasni	ûkraːsniː
