سىستېمىسى	sˌɪstemˈɪsɪ
مەكتەپنىڭ	mæktˈæpnɪŋ
ئىنگلىز	ˈɪnɡlɪz
خۇدا	χˈudɑ
ساقلاپ	sˈɑqlɑp
تاتارلار	tɑtˈɑrlɑr
باقمىغان	bɑqmˈɪʁɑn
قىلغىنى	qɪlʁˈɪnɪ
ئافرىقىدىكى	ˌɑfrɪqɪdˈɪkɪ
ئىراق	ˈɪɾɑq
يىپەك	jˈɪpæk
ماي	mˈɑj
پائالىيەتلىرى	pˌɑɑlˌɪjætlˈɪɾɪ
زوراۋانلىق	zˌoɾɑwˈɑnlɪq
مىسىر	mˈɪsɪr
خانلىقىنىڭ	χˌɑnlɪqˈɪnɪŋ
كېلىشىم	kelˈɪʃɪm
پارچىدىن	pɑrt͡ʃˈɪdɪn
ئاپتورنىڭ	ɑptˈornɪŋ
ئايرىلىپ	ɑjrˈɪlɪp
خېنىم	χˈenɪm
نامدا	nˈɑmdɑ
ئۆردەك	ˈœrdæk
بولمىدى	bolmˈɪdɪ
مىسلى	mˈɪslɪ
ئۈلگە	ˈylɡæ
قىروسىز	qɪɾˈosɪz
ئىلىپ	ˈɪlɪp
يىلتىز	jˈɪltɪz
شىمالىي	ʃɪmˈɑlɪj
كەسپىگە	kæspˈɪɡæ
قىسقىچە	qɪsqˈɪt͡ʃæ
بوۋاقنىڭ	bowˈɑqnɪŋ
ئۈزى	ˈyzɪ
كۈنىمىزدە	kˌynɪmˈɪzdæ
غەرب	ʁˈærb
ئىسلامنىڭ	ɪslˈɑmnɪŋ
ئەينەن	ˈæjnæn
يۇقىرىدىكى	jˌuqɪɾɪdˈɪkɪ
سىنانىڭ	sɪnˈɑnɪŋ
بارغاندا	bɑrʁˈɑndɑ
مەسچىتنىڭ	mæst͡ʃˈɪtnɪŋ
زەھەر	zˈæhær
قەھۋە	qˈæhwæ
يىللاردىن	jɪllˈɑrdɪn
شۇنىڭ	ʃˈunɪŋ
تاشنى	tˈɑʃnɪ
سىلەر	sˈɪlær
خادىم	χˈɑdɪm
مۇناسىپ	munˈɑsɪp
قىلىشتىكى	qˌɪlɪʃtˈɪkɪ
ۋەدە	wˈædæ
دۇنياسى	dunjˈɑsɪ
ئوقۇغۇچىلاردىن	ˌoquʁˌut͡ʃɪlˈɑrdɪn
ئوقۇشنى	oqˈuʃnɪ
تولۇق	tˈoluq
مەسئۇلىيىتىنى	mˌæsulˌɪjɪtˈɪnɪ
شىركىتىنىڭ	ʃˌɪrkɪtˈɪnɪŋ
مەزمۇنلار	mæzmˈunlɑr
دەرياسى	dærjˈɑsɪ
دوللار	dˈollɑr
كەنتى	kˈæntɪ
شەرقتە	ʃˈærqtæ
دەرىخى	dæɾˈɪχɪ
ناھىيىنىڭ	nˌɑhɪjˈɪnɪŋ
ئىنگلىزچە	ɪnɡlˈɪzt͡ʃæ
جايلاردا	d͡ʒɑjlˈɑrdɑ
ئىشلىتىش	ɪʃlˈɪtɪʃ
مەكتەپكە	mæktˈæpkæ
كەلگەنلىكىنى	kˌælɡænlɪkˈɪnɪ
دەرىجىدە	dˌæɾɪd͡ʒˈɪdæ
قىش	qˈɪʃ
كۆتۈرگەن	kœtˈyrɡæn
نېمىنى	nemˈɪnɪ
كۆڭلى	kˈœŋlɪ
ئوغۇل	ˈoʁul
مۇسۇلمانلارنىڭ	mˌusulmɑnlˈɑrnɪŋ
ئۇنىڭغا	unˈɪŋʁɑ
قەرز	qˈærz
ئەلى	ˈælɪ
ئېلىپ	ˈelɪp
سىناش	sˈɪnɑʃ
تەبىئەت	tæbˈɪæt
ئەرتۇغرۇل	ærtˈuʁrul
قىلىنىپ	qɪlˈɪnɪp
مىلادىيىدىن	mˌɪlɑdɪjˈɪdɪn
يولۇچىلار	jˌolut͡ʃˈɪlɑr
مۇنەۋۋەر	munˈæwwær
ئەتراپىغا	ˌætrɑpˈɪʁɑ
تىلىدا	tɪlˈɪdɑ
ئاجرىتىپ	ɑd͡ʒrˈɪtɪp
ھەرىكىتى	hˌæɾɪkˈɪtɪ
ئوقۇپ	ˈoqup
قانۇننىڭ	qɑnˈunnɪŋ
ئىسلامغا	ɪslˈɑmʁɑ
پائالىيەتلەر	pˌɑɑlɪjˈætlær
تامغا	tˈɑmʁɑ
ئەقىدىسى	ˌæqɪdˈɪsɪ
ئاد	ˈɑd
بولىمىز	bolˈɪmɪz
بالىلارنىڭ	bˌɑlɪlˈɑrnɪŋ
شافىئىي	ʃɑfˈɪɪj
مىللى	mˈɪllɪ
خەۋەرلەر	χæwˈærlær
قوشۇنلىرى	qˌoʃunlˈɪɾɪ
مىللىتى	mɪllˈɪtɪ
يېتىم	jˈetɪm
قىلىنماقتا	qˌɪlɪnmˈɑqtɑ
كېلىش	kˈelɪʃ
ئەڭ	ˈæŋ
ئاڭلاپ	ˈɑŋlɑp
نۇقتىدىن	nuqtˈɪdɪn
تېمىنى	temˈɪnɪ
ئۆزلىرىنى	ˌœzlɪɾˈɪnɪ
ئورگانلىرى	ˌorɡɑnlˈɪɾɪ
كۆرۈنۈش	kœɾˈynyʃ
تەييار	tˈæjjɑr
ئاڭلىشىمچە	ˌɑŋlɪʃˈɪmt͡ʃæ
دېگەنلىك	deɡˈænlɪk
زىيادە	zɪjˈɑdæ
تارىم	tˈɑɾɪm
غازى	ʁˈɑzɪ
قوشتى	qˈoʃtɪ
ئايلانغان	ɑjlˈɑnʁɑn
كەتتى	kˈættɪ
خىراجىتى	χˌɪɾɑd͡ʒˈɪtɪ
دېڭىزنىڭ	deŋˈɪznɪŋ
فىقھىي	fˈɪqhɪj
ئىستانبۇل	ɪstˈɑnbul
ئوقۇغۇچىلىرى	ˌoquʁˌut͡ʃɪlˈɪɾɪ
ئىدارىسىنىڭ	ˌɪdɑɾɪsˈɪnɪŋ
دولقۇن	dˈolqun
بولۇشىنى	bˌoluʃˈɪnɪ
يېپىق	jˈepɪq
دېيىش	dˈejɪʃ
ئېتىش	ˈetɪʃ
مىقدارى	mɪqdˈɑɾɪ
مىلىيون	mɪlˈɪjon
ئويلاپ	ˈojlɑp
سوققان	sˈoqqɑn
خەلىقنىڭ	χælˈɪqnɪŋ
ش	ʃ
جاپالىق	d͡ʒɑpˈɑlɪq
ئارىسىدا	ˌɑɾɪsˈɪdɑ
پەۋقۇلئاددە	pˌæwqulˈɑddæ
قورال	qˈoɾɑl
پەنلەر	pˈænlær
موڭغۇل	mˈoŋʁul
بېجىرىش	bed͡ʒˈɪɾɪʃ
تاغ	tˈɑʁ
قىلىشى	qɪlˈɪʃɪ
مىڭغا	mˈɪŋʁɑ
ئېشىپ	ˈeʃɪp
ئۇرخۇن	ˈurχun
كالىفورنىيە	kˌɑlɪfornˈɪjæ
پاكىت	pˈɑkɪt
توختى	tˈoχtɪ
ئىجتىمائىي	ˌɪd͡ʒtɪmˈɑɪj
ئەۋەتىپ	æwˈætɪp
زىيالىيلار	zˌɪjɑlˈɪjlɑr
ئەمەل	ˈæmæl
ئىللەت	ˈɪllæt
نۇقتىسى	nuqtˈɪsɪ
قېيىن	qˈejɪn
تەۋەسىدىن	tˌæwæsˈɪdɪn
ئافغانىستان	ˌɑfʁɑnˈɪstɑn
خىرىستىيان	χˌɪɾɪstˈɪjɑn
تەرەپكە	tæɾˈæpkæ
قىلىدىكەن	qˌɪlɪdˈɪkæn
نامى	nˈɑmɪ
تەسىرىگە	tˌæsɪɾˈɪɡæ
مەزگىلدىن	mæzɡˈɪldɪn
ئۈزىنىڭ	yzˈɪnɪŋ
جوڭگۇ	d͡ʒˈoŋɡu
تېببىي	tˈebbɪj
ب	b
ئاتقا	ˈɑtqɑ
پۈتۈشكىنى	pˌytyʃkˈɪnɪ
زامانغا	zɑmˈɑnʁɑ
ناھىيىسى	nˌɑhɪjˈɪsɪ
بولمىش	bˈolmɪʃ
ياردىمى	jɑrdˈɪmɪ
بولۇش	bˈoluʃ
ئىككىدىن	ɪkkˈɪdɪn
پاي	pˈɑj
قابىلىيىتى	qˌɑbɪlɪjˈɪtɪ
بېرەتتى	beɾˈættɪ
ئارىلىق	ɑɾˈɪlɪq
تۇتاش	tˈutɑʃ
ئىنكاس	ˈɪnkɑs
ھاللاردا	hɑllˈɑrdɑ
يوللاپ	jˈollɑp
مەۋھۇم	mˈæwhum
تەرەققىيات	tˌæɾæqqˈɪjɑt
جەمئىيەتنىڭ	d͡ʒˌæmɪjˈætnɪŋ
ئېھتىياجى	ˌehtɪjˈɑd͡ʒɪ
سۆزنى	sˈœznɪ
دىنىنى	dɪnˈɪnɪ
ئىشلىتىشكە	ˌɪʃlɪtˈɪʃkæ
دولان	dˈolɑn
ئارىلىقىدىكى	ˌɑɾɪlˌɪqɪdˈɪkɪ
قاتناشقۇچىلار	qˌɑtnɑʃqut͡ʃˈɪlɑr
كەڭلىك	kˈæŋlɪk
غا	ʁˈɑ
كۆچمەن	kˈœt͡ʃmæn
مەسىلىنى	mˌæsɪlˈɪnɪ
ھەقىقەتنى	hˌæqɪqˈætnɪ
تارمار	tˈɑrmɑr
ئوخشايدۇ	oχʃˈɑjdu
پەرقلىنىدۇ	pˌærqlɪnˈɪdu
ئالما	ˈɑlmɑ
قوشۇپ	qˈoʃup
كەچ	kˈæt͡ʃ
تۆتىنچى	tœtˈɪnt͡ʃɪ
زات	zˈɑt
ئارمىيەسى	ˌɑrmɪjˈæsɪ
دوستلار	dˈostlɑr
توغرىسىغا	tˌoʁrɪsˈɪʁɑ
ئىمكانىيىتى	ˌɪmkɑnɪjˈɪtɪ
ئېنىق	ˈenɪq
ئېغىزى	eʁˈɪzɪ
ئىشىنى	ɪʃˈɪnɪ
چەتكە	t͡ʃˈætkæ
كىگىز	kˈɪɡɪz
بولۇپتۇ	bolˈuptu
فىزىكا	fɪzˈɪkɑ
شەھرىنىڭ	ʃæhrˈɪnɪŋ
ئەمەلدىن	æmˈældɪn
ئادەملەرنىڭ	ˌɑdæmlˈærnɪŋ
قانداقلا	qɑndˈɑqlɑ
كۆپ	kˈœp
ئىز	ˈɪz
جايلارنى	d͡ʒɑjlˈɑrnɪ
شارائىت	ʃɑɾˈɑɪt
تاشلاش	tˈɑʃlɑʃ
يېزىق	jˈezɪq
ئومۇملاشقان	ˌomumlˈɑʃqɑn
كېسەك	kˈesæk
كېلىپ	kˈelɪp
سۆھبەت	sˈœhbæt
دادا	dˈɑdɑ
جەرىمانە	d͡ʒˌæɾɪmˈɑnæ
ۋاسىتىسىنى	wˌɑsɪtɪsˈɪnɪ
ئىدارە	ɪdˈɑɾæ
ھەجىملىك	hæd͡ʒˈɪmlɪk
قارارغا	qɑɾˈɑrʁɑ
رولى	rˈolɪ
تاشيولى	tɑʃjˈolɪ
دۆلەتلەر	dœlˈætlær
ئىبارەت	ɪbˈɑɾæt
ھەممىدىن	hæmmˈɪdɪn
ياخشى	jˈɑχʃɪ
رەسمىي	rˈæsmɪj
مۇتەللىپ	mutˈællɪp
ئايغىچە	ɑjʁˈɪt͡ʃæ
جۇڭخۇا	d͡ʒuŋχˈuɑ
ھاكىمىيەت	hˌɑkɪmˈɪjæt
ئۆلۈمى	œlˈymɪ
كوممۇنىست	kommˈunɪst
ژۇرنىلى	ʒurnˈɪlɪ
ئوغۇز	ˈoʁuz
قىلماسلىق	qɪlmˈɑslɪq
بويى	bˈojɪ
جەمئىيەتنى	d͡ʒˌæmɪjˈætnɪ
تازىلاش	tɑzˈɪlɑʃ
راست	rˈɑst
ئىككىسى	ɪkkˈɪsɪ
ناھىيە	nɑhˈɪjæ
تىپتىكى	tɪptˈɪkɪ
چىقىرىپ	t͡ʃɪqˈɪɾɪp
قىشلىق	qˈɪʃlɪq
مۇنداق	mˈundɑq
كېتىپتۇ	ketˈɪptu
ياشتىن	jˈɑʃtɪn
كۆل	kˈœl
بۇلارنىڭ	bulˈɑrnɪŋ
شەھىرىدىكى	ʃˌæhɪɾɪdˈɪkɪ
توماس	tˈomɑs
مەلۇمات	mælˈumɑt
يازما	jˈɑzmɑ
قاسىم	qˈɑsɪm
شاھى	ʃˈɑhɪ
ۋايىغا	wɑjˈɪʁɑ
قىزغىن	qˈɪzʁɪn
ئاشۇ	ˈɑʃu
شۇغۇللانغان	ʃˌuʁullˈɑnʁɑn
ئەدەبىي	ædˈæbɪj
قىسقا	qˈɪsqɑ
بىرلىكىنى	bˌɪrlɪkˈɪnɪ
ھاشىم	hˈɑʃɪm
مەشرىپى	mæʃrˈɪpɪ
بۆلۈنىدۇ	bˌœlynˈɪdu
ئىنسان	ˈɪnsɑn
قېتىمدىن	qetˈɪmdɪn
ساز	sˈɑz
داڭلىق	dˈɑŋlɪq
ھەرقانداق	hærqˈɑndɑq
ناھىيىسىگە	nˌɑhɪjɪsˈɪɡæ
گۆشى	ɡˈœʃɪ
ئىشلىتىدۇ	ˌɪʃlɪtˈɪdu
قەد	qˈæd
كۆپچىلىك	kœpt͡ʃˈɪlɪk
دوكلات	dˈoklɑt
رولىنى	rolˈɪnɪ
قوڭ	qˈoŋ
ئەنگە	ˈænɡæ
سېسىق	sˈesɪq
مەنىلىك	mænˈɪlɪk
بىزدە	bˈɪzdæ
بولغاندەك	bolʁˈɑndæk
ئىزچىل	ˈɪzt͡ʃɪl
ئېنگىلىزچە	ˌenɡɪlˈɪzt͡ʃæ
يېزىقىنى	jˌezɪqˈɪnɪ
بولمايدىغانلىقىنى	bˌolmɑjdˌɪʁɑnlɪqˈɪnɪ
كوپ	kˈop
دولقۇنى	dolqˈunɪ
ئۆزىگە	œzˈɪɡæ
خۇسۇسەن	χusˈusæn
ئىلاۋە	ɪlˈɑwæ
مېڭىنىڭ	meŋˈɪnɪŋ
ئاھالىسىنىڭ	ˌɑhɑlɪsˈɪnɪŋ
قۇبۇل	qˈubul
ئەرەپ	ˈæɾæp
توغرىسىدا	tˌoʁrɪsˈɪdɑ
بىرىدىن	bɪɾˈɪdɪn
شەكىللىك	ʃækˈɪllɪk
ئايلىق	ˈɑjlɪq
يولىنى	jolˈɪnɪ
پەرەز	pˈæɾæz
يېزىسى	jezˈɪsɪ
ھەرقايسى	hærqˈɑjsɪ
ئوڭدىن	ˈoŋdɪn
بىرقانچە	bɪrqˈɑnt͡ʃæ
ئەھمىيەت	æhmˈɪjæt
قۇرغاق	qˈurʁɑq
مۇنتىزىم	muntˈɪzɪm
ئۇرۇشتىن	uɾˈuʃtɪn
كۈچلەر	kˈyt͡ʃlær
ئۆتكۈزىدۇ	ˌœtkyzˈɪdu
تاپىدۇ	tɑpˈɪdu
چۈشكەن	t͡ʃˈyʃkæn
كېيىن	kˈejɪn
مۇرەككەپ	muɾˈækkæp
مەيدانغا	mæjdˈɑnʁɑ
ئېيتىپ	ˈejtɪp
كۈندىلىك	kyndˈɪlɪk
يېزا	jˈezɑ
نەقىش	nˈæqɪʃ
پىرسەنتىنى	pˌɪrsæntˈɪnɪ
قاتنىشى	qɑtnˈɪʃɪ
سۇدا	sˈudɑ
سۇلالىسى	sˌulɑlˈɪsɪ
ھەدىس	hˈædɪs
تاماق	tˈɑmɑq
بەلگىلىمىگە	bˌælɡɪlɪmˈɪɡæ
توپى	tˈopɪ
نورۇز	nˈoɾuz
قىلىپلا	qɪlˈɪplɑ
ئۆسۈپ	ˈœsyp
غالىپ	ʁˈɑlɪp
ئىنسانلار	ɪnsˈɑnlɑr
بوپتۇ	bˈoptu
ناچار	nˈɑt͡ʃɑr
تېمىسى	temˈɪsɪ
قىممىتى	qɪmmˈɪtɪ
ئۇچراپ	ˈut͡ʃrɑp
ئىشلىرىغا	ˌɪʃlɪɾˈɪʁɑ
ئۆگىتىش	œɡˈɪtɪʃ
قۇرۇلۇشى	qˌuɾulˈuʃɪ
ژۇرنىلىنىڭ	ʒˌurnɪlˈɪnɪŋ
باتۇر	bˈɑtur
ئۇن	ˈun
بەدەننى	bædˈænnɪ
ئومۇمىي	omˈumɪj
كېلىۋاتىدۇ	kˌelɪwɑtˈɪdu
ۋىتامىن	wɪtˈɑmɪn
تېرە	tˈeɾæ
شىتابى	ʃɪtˈɑbɪ
غايىسى	ʁɑjˈɪsɪ
لازىم	lˈɑzɪm
رايون	rˈɑjon
ئۆي	ˈœj
بېرىۋاتقان	bˌeɾɪwˈɑtqɑn
ئۈزۈك	ˈyzyk
ئۈرۈمچى	yɾˈymt͡ʃɪ
تەنقىد	tˈænqɪd
باشلىق	bˈɑʃlɪq
ئالدىنقى	ɑldˈɪnqɪ
ئېقىم	ˈeqɪm
دەۋرىنى	dæwrˈɪnɪ
دائىمىي	dɑˈɪmɪj
ئىشچىلار	ɪʃt͡ʃˈɪlɑr
بىخەتەرلىك	bˌɪχætˈærlɪk
تەرىپىدىن	tˌæɾɪpˈɪdɪn
ئاياق	ˈɑjɑq
كىتابتا	kɪtˈɑbtɑ
ھەركۈنى	hærkˈynɪ
چاغدىكى	t͡ʃɑʁdˈɪkɪ
دۆلەتلىرىنىڭ	dˌœlætlɪɾˈɪnɪŋ
سىدىق	sˈɪdɪq
سانائەت	sɑnˈɑæt
ئاقسۇ	ˈɑqsu
ئۇچۇر	ˈut͡ʃur
ئۆلدى	ˈœldɪ
بەلكى	bˈælkɪ
موللا	mˈollɑ
ھەپتە	hˈæptæ
تارقالغان	tɑrqˈɑlʁɑn
ھايۋانلارنىڭ	hˌɑjwɑnlˈɑrnɪŋ
تىللار	tˈɪllɑr
پۇختا	pˈuχtɑ
ئۇستاز	ˈustɑz
بەل	bˈæl
كۈچىنى	kyt͡ʃˈɪnɪ
نەسلىدىن	næslˈɪdɪn
ئۇرۇشقا	uɾˈuʃqɑ
مەسىلىلەر	mˌæsɪlˈɪlær
سولغا	sˈolʁɑ
بېشىنى	beʃˈɪnɪ
بەت	bˈæt
ئېيتقان	ˈejtqɑn
باشلاش	bˈɑʃlɑʃ
ساتقۇچى	sɑtqˈut͡ʃɪ
قۇتۇپ	qˈutup
كېتىدۇ	ketˈɪdu
ئىنقىلابىنىڭ	ˌɪnqɪlɑbˈɪnɪŋ
كېلەر	kˈelær
ئومۇميۈزلۈك	ˌomumjˈyzlyk
جاپا	d͡ʒˈɑpɑ
تېنچلىق	tˈent͡ʃlɪq
گەپلەر	ɡˈæplær
سەھىيە	sæhˈɪjæ
خىلاپلىق	χɪlˈɑplɪq
ئادەت	ˈɑdæt
ئاستىدىكى	ˌɑstɪdˈɪkɪ
خىلدىكى	χɪldˈɪkɪ
قارىمۇ	qɑɾˈɪmu
قەبىلىسى	qˌæbɪlˈɪsɪ
مەككىدە	mækkˈɪdæ
ئانالىز	ɑnˈɑlɪz
ئىقبال	ˈɪqbɑl
يېتىشتۈرۈش	jˌetɪʃtˈyɾyʃ
قېشىغا	qeʃˈɪʁɑ
كۆكتۈرك	kˈœktyrk
ئىسىملار	ɪsˈɪmlɑr
ئەبى	ˈæbɪ
خەقنىڭ	χˈæqnɪŋ
پۇتىن	pˈutɪn
كۈنلەرنىڭ	kynlˈærnɪŋ
كەينىگە	kæjnˈɪɡæ
تېلېۋىزور	tˌelewˈɪzor
مەكتەپلەرنى	mˌæktæplˈærnɪ
قىلمايدىغان	qˌɪlmɑjdˈɪʁɑn
قېچىپ	qˈet͡ʃɪp
نامرات	nˈɑmrɑt
يەككە	jˈækkæ
ھەممىسىگە	hˌæmmɪsˈɪɡæ
تىجارەت	tɪd͡ʒˈɑɾæt
رەسمى	rˈæsmɪ
تەكشى	tˈækʃɪ
قولايلىق	qolˈɑjlɪq
ياپون	jˈɑpon
كەلتۈرىدۇ	kˌæltyɾˈɪdu
تىكلەپ	tˈɪklæp
مۇنازىرە	mˌunɑzˈɪɾæ
كېتىۋاتقان	kˌetɪwˈɑtqɑn
خاھرى	χˈɑhrɪ
سىلەرنىڭ	sɪlˈærnɪŋ
رادىئاكتىپلىق	rˌɑdɪɑktˈɪplɪq
قوشۇن	qˈoʃun
بارغانسېرى	bˌɑrʁɑnsˈeɾɪ
كۆرۈۋالغىلى	kˌœɾywɑlʁˈɪlɪ
ئوق	ˈoq
ئۇزۇنلۇق	uzˈunluq
تەختكە	tˈæχtkæ
تەرەققىياتىنى	tˌæɾæqqˌɪjɑtˈɪnɪ
دەپمۇ	dˈæpmu
ياۋروپادىكى	jˌɑwropɑdˈɪkɪ
ئىشلەنگەن	ɪʃlˈænɡæn
قولىغا	qolˈɪʁɑ
ھەرىكىتىنىڭ	hˌæɾɪkɪtˈɪnɪŋ
ئىدىيە	ɪdˈɪjæ
دەپنە	dˈæpnæ
قاتنىشىپ	qɑtnˈɪʃɪp
تىك	tˈɪk
قۇرغان	qˈurʁɑn
تەھدىت	tˈæhdɪt
ئامېرىكا	ˌɑmeɾˈɪkɑ
دائىرىسىدىكى	dˌɑɪɾˌɪsɪdˈɪkɪ
تەۋەسىدىكى	tˌæwæsɪdˈɪkɪ
ئۆزىمىزنىڭ	ˌœzɪmˈɪznɪŋ
بايلىقلىرىدىن	bˌɑjlɪqlɪɾˈɪdɪn
قويۇق	qˈojuq
ئەدەبىياتىنىڭ	ˌædæbˌɪjɑtˈɪnɪŋ
ئاللاھقا	ɑllˈɑhqɑ
تۇرۇپلا	tuɾˈuplɑ
مۇتەخەسسىس	mˌutæχˈæssɪs
بولسۇن	bˈolsun
سۆزىنىڭ	sœzˈɪnɪŋ
بىزگە	bˈɪzɡæ
قوشقان	qˈoʃqɑn
فرانسىيە	frɑnsˈɪjæ
تاپشۇرغان	tɑpʃˈurʁɑn
پەس	pˈæs
جەمئىيىتىنىڭ	d͡ʒˌæmɪjɪtˈɪnɪŋ
مۇكاپاتقا	mˌukɑpˈɑtqɑ
ئىجرا	ˈɪd͡ʒrɑ
قۇم	qˈum
قىلدۇرۇش	qɪldˈuɾuʃ
تەمىنلەيدۇ	tˌæmɪnlˈæjdu
مەجبۇرىيىتى	mˌæd͡ʒbuɾɪjˈɪtɪ
ئىبن	ˈɪbn
ھاياتنى	hɑjˈɑtnɪ
ئۆگىنىپ	œɡˈɪnɪp
ھاكىمىيىتى	hˌɑkɪmɪjˈɪtɪ
لېكسىيە	leksˈɪjæ
بالا	bˈɑlɑ
دۈشمەنگە	dyʃmˈænɡæ
ئۇزۇنلۇقى	ˌuzunlˈuqɪ
نۆۋەتتىكى	nˌœwættˈɪkɪ
ھەدىسلەرنى	hˌædɪslˈærnɪ
چاناق	t͡ʃˈɑnɑq
بولسا	bˈolsɑ
گەرچە	ɡˈært͡ʃæ
سورىغان	soɾˈɪʁɑn
جايلىرىغا	d͡ʒˌɑjlɪɾˈɪʁɑ
بېرىشى	beɾˈɪʃɪ
تۇيغۇسى	tujʁˈusɪ
ياخشىلىق	jɑχʃˈɪlɪq
توپنى	tˈopnɪ
ئۇزۇنلۇك	uzˈunluk
تونۇشتۇرۇلغان	tˌonuʃtuɾˈulʁɑn
مۈلكى	mˈylkɪ
ئويلايمەن	ojlˈɑjmæn
يەكۈن	jˈækyn
ئۆيدىن	ˈœjdɪn
كۇچا	kˈut͡ʃɑ
تۇرمۇشى	turmˈuʃɪ
قېتىمقى	qetˈɪmqɪ
تارمىقىغا	tˌɑrmɪqˈɪʁɑ
بۇنى	bˈunɪ
توغرۇلۇق	toʁrˈuluq
نىسپىيلىك	nɪspˈɪjlɪk
بولمىسا	bolmˈɪsɑ
ساھەلەردە	sˌɑhælˈærdæ
رېئاللىق	reˈɑllɪq
تۇخۇم	tˈuχum
سەر	sˈær
بارىدۇ	bɑɾˈɪdu
دەرىجىدىكى	dˌæɾɪd͡ʒɪdˈɪkɪ
پايدىلىنىپ	pˌɑjdɪlˈɪnɪp
سۈنئىي	sˈynɪj
ئۆتتى	ˈœttɪ
ھايۋان	hˈɑjwɑn
قېلىش	qˈelɪʃ
ئىشلەۋاتقان	ˌɪʃlæwˈɑtqɑn
ئارقىلىق	ɑrqˈɪlɪq
ھالدا	hˈɑldɑ
لار	lˈɑr
ئاتالمىش	ɑtˈɑlmɪʃ
ئوقۇشىنى	ˌoquʃˈɪnɪ
ئارمىيىسى	ˌɑrmɪjˈɪsɪ
ئۇسسۇلى	ussˈulɪ
قەشقەردە	qæʃqˈærdæ
مەھرۇم	mˈæhrum
كۇنى	kˈunɪ
شەھەرنى	ʃæhˈærnɪ
ئىككىنچى	ɪkkˈɪnt͡ʃɪ
تەسلىم	tˈæslɪm
ئەنە	ˈænæ
كۆرسىتىش	kœrsˈɪtɪʃ
ئىماننىڭ	ɪmˈɑnnɪŋ
ئىپادىسى	ˌɪpɑdˈɪsɪ
قانۇنى	qɑnˈunɪ
چىقىرىلغان	t͡ʃˌɪqɪɾˈɪlʁɑn
كېتىدىغان	kˌetɪdˈɪʁɑn
ھەقىقى	hæqˈɪqɪ
تارىخى	tɑɾˈɪχɪ
تەتقىق	tˈætqɪq
ئىقتىساد	ɪqtˈɪsɑd
دېگەننى	deɡˈænnɪ
ئىگىسى	ɪɡˈɪsɪ
ئازراق	ˈɑzrɑq
قاتناشتى	qɑtnˈɑʃtɪ
ھاۋا	hˈɑwɑ
قىلمىشى	qɪlmˈɪʃɪ
رېئال	rˈeɑl
مۇتەللىپنىڭ	mˌutællˈɪpnɪŋ
سەۋەب	sˈæwæb
ئالاھىدىلىككە	ˌɑlɑhˌɪdɪlˈɪkkæ
مۇسۇلمانلارنى	mˌusulmɑnlˈɑrnɪ
تەكلىماكان	tˌæklɪmˈɑkɑn
بازىرىنىڭ	bˌɑzɪɾˈɪnɪŋ
مۇسابىقىسى	mˌusɑbɪqˈɪsɪ
بۇيان	bˈujɑn
تۈپەيلى	typˈæjlɪ
قۇرۇش	qˈuɾuʃ
شەخس	ʃˈæχs
ئۆتىمەن	œtˈɪmæn
مەيدانى	mæjdˈɑnɪ
ھەدىيە	hædˈɪjæ
ئۇيغۇرچىغا	ˌujʁurt͡ʃˈɪʁɑ
مىليون	mˈɪljon
يۇرتىغا	jurtˈɪʁɑ
يۈرۈپ	jˈyɾyp
كەلتۈرگەن	kæltˈyrɡæn
پەرزەنتى	pærzˈæntɪ
تەرىقىسىدە	tˌæɾɪqɪsˈɪdæ
بويلاپ	bˈojlɑp
ئىشلار	ˈɪʃlɑr
بەلگىلىنىدۇ	bˌælɡɪlɪnˈɪdu
رىقابەت	rɪqˈɑbæt
دەسلەپكى	dæslˈæpkɪ
ئاسمانغا	ɑsmˈɑnʁɑ
تىلدىكى	tɪldˈɪkɪ
قات	qˈɑt
ئىچكىرىدە	ˌɪt͡ʃkɪɾˈɪdæ
ئېرۇر	ˈeɾur
ئالى	ˈɑlɪ
كۆپىيىپ	kœpˈɪjɪp
دىكى	dˈɪkɪ
ياردەمچىسى	jˌɑrdæmt͡ʃˈɪsɪ
يىغىنغا	jɪʁˈɪnʁɑ
ھالقىغان	hɑlqˈɪʁɑn
مىللىي	mˈɪllɪj
بەلگىلەپ	bælɡˈɪlæp
ئاتىسى	ɑtˈɪsɪ
بۇرۇن	bˈuɾun
ئەقىل	ˈæqɪl
ئىشلەپ	ˈɪʃlæp
كېرەكلىكى	kˌeɾæklˈɪkɪ
گۈلى	ɡˈylɪ
ئۆردەكنىڭ	œrdˈæknɪŋ
بەلكىم	bˈælkɪm
تارماقلىرى	tˌɑrmɑqlˈɪɾɪ
كەلتۈرۈلىدۇ	kˌæltyɾylˈɪdu
بۇيرۇق	bˈujruq
تۇردى	tˈurdɪ
سىياسەتنىڭ	sˌɪjɑsˈætnɪŋ
سۆزلەپ	sˈœzlæp
ئۇنۋانى	unwˈɑnɪ
تەشەببۇس	tæʃˈæbbus
ۋەتەندىكى	wˌætændˈɪkɪ
ئۆتكەندە	œtkˈændæ
تىرازىي	tɪɾˈɑzɪj
يولغا	jˈolʁɑ
ھۆكۈمىتى	hˌœkymˈɪtɪ
قولى	qˈolɪ
ئارقىغا	ɑrqˈɪʁɑ
ئاشۇرۇپ	ɑʃˈuɾup
