hokimiyatiga	hˌɑkymˌyjætˈyɡæ
oʻrmon	ˈoɾmɑn
partiyalar	pˌæɾtyjˈælæɾ
bezlarining	bˌezlæɾˈynyŋ
Zangezur	zæŋˈezʊɾ
shoshilinch	ʃɑʃˈyɫynt͡S
tarjimasi	tˌæɾd͡ʒymˈæsy
yulduzlarni	jˌʊɫdʊzlˈæɾny
jamoadagi	d͡ʒˌæmɑædˈæɡy
nuqtasida	nˌʊqtæsˈydæ
dehqonlarning	dˌehqɑnlˈæɾnyŋ
dumaloq	dʊmˈæɫɑq
RF	ˌeɾˈef
Koʻhna	kˈohnæ
xonaqoh	χɑnˈæqɑh
markazidan	mˌæɾkæzˈydæn
qulab	qˈʊlæb
sharoit	ʃæɾˈɑyt
choʻzilgan	t͡Sozˈyɫɡæn
suvda	sˈʊʋdæ
Oʻta	ˈotæ
Odessa	ɑdˈessæ
chidaydi	t͡Sydˈæjdy
shunchaki	ʃʊnt͡Sˈæky
viloyatlarida	ʋˌyɫɑjˌætlæɾˈydæ
jamiyatga	d͡ʒˌæmyjˈætɡæ
belgilariga	bˌeɫɡylæɾˈyɡæ
etilib	etˈyɫyb
uchlari	ʊt͡Slˈæɾy
Moʻgʻullar	moʁˈʊɫlæɾ
boshlaganlar	bˌɑʃlæɡˈænlæɾ
pasttekislik	pˌæsttekˈysɫyk
idish	ˈydyʃ
atagan	ætˈæɡæn
roʻy	ɾˈoj
yurtlaridan	jˌʊɾtlæɾˈydæn
Qoʻshma	qˈoʃmæ
majmuidan	mˌæd͡ʒmʊˈydæn
Aniq	ˈænyq
chiqarilmoqda	t͡Sˌyqæɾyɫmˈɑqdæ
sotishni	sɑtˈyʃny
gradus	ɡɾˈædʊs
holatdagi	hˌɑlætdˈæɡy
Buzruk	bˈʊzɾʊk
bosqini	bɑsqˈyny
harakatlanadigan	hˌæɾækˌætlænædˈyɡæn
nazarda	næzˈæɾdæ
Zulfiya	zʊɫfˌyjæ
bankining	bænkˈynyŋ
ranglar	ɾˈæŋlæɾ
qonunlari	qˌɑnʊnlˈæɾy
bn	bˌeˈen
ommabop	ɑmmˈæbɑp
diplomatiya	dˌypɫɑmætˈyjæ
muzeylar	mʊzˈejlæɾ
bosqichlari	bˌɑsqyt͡Slˈæɾy
taraqqiyotiga	tˌæɾæqqˌyjɑtˈyɡæ
resurslarini	ɾˌesʊɾslæɾˈyny
ispanlar	yspˈænlæɾ
imkoniyatlari	ˌymkɑnˌyjætlˈæɾy
Gon	ɡˈɑn
zarurligini	zˌæɾʊɾɫyɡˈyny
yoritish	jɑɾˈytyʃ
aloqalari	ˌæɫɑqælˈæɾy
Kanadada	kˌænædˈædæ
Аллоҳ	ˈæɫɫɑh
chempionatida	t͡Sˌempyˌɑnætˈydæ
oʻzgaruvchan	ˌozɡæɾˈʊʋt͡Sæn
Yoʻl	jˈoɫ
kunjut	kˈʊnd͡ʒʊt
oqova	ɑqˈɑʋæ
taqdim	tˈæqdym
sohasida	sˌɑhæsˈydæ
daqiqa	dæqˈyqæ
yaqqol	jˈæqqɑɫ
davolanmasa	dˌæʋɑlænmˈæsæ
metamorfizm	mˌetæmˈɑɾfˌyzm
koʻnchilik	kont͡Sˈyɫyk
Oripov	ɑɾˈypɑʋ
oʻtganda	otɡˈændæ
qoʻllagan	qoɫlˈæɡæn
boʻlimini	bˌoɫymˈyny
mahsuli	mæhsˈʊɫy
urgʻochi	ʊɾʁˈɑt͡Sy
Film	fˌyɫm
kayfiyat	kæjfˌyjæt
qishlogʻida	qˌyʃɫɑʁˈydæ
Ramazon	ɾæmˈæzɑn
Nam	nˈæm
xukmronligi	χˌʊkmɾɑnɫˈyɡy
gidrologik	ɡˌydɾɑɫˈɑɡyk
rezina	ɾezˈynæ
ekib	ˈekyb
biokimyoviy	bˌyɑkymjˈɑʋyj
tuzumi	tʊzˈʊmy
mehmonxona	mˌehmɑnχˈɑnæ
toʻqnashuvlar	tˌoqnæʃˈʊʋlæɾ
meridian	mˌeɾydˈyæn
ishlanadigan	ˌyʃlænædˈyɡæn
atama	ætˈæmæ
doirasini	dˌɑyɾæsˈyny
oshirilgan	ˌɑʃyɾˈyɫɡæn
geometriya	ɡˌeɑmetɾˈyjæ
qilmagan	qyɫmˈæɡæn
asosida	ˌæsɑsˈydæ
oʻzgarib	ozɡˈæɾyb
qirgʻiz	qˈyɾʁyz
Tashrif	tˈæʃɾyf
mafkurasi	mæfkˌʊɾˈæsy
nurlanish	nʊɾlˈænyʃ
skeleti	skelˈety
kotib	kˈɑtyb
Tashhis	tˈæʃhys
Akbarov	ækbˈæɾɑʋ
bunyod	bˈʊnjɑd
Bitta	bˈyttæ
yutish	jˈʊtyʃ
boʻlishining	bˌoɫyʃˈynyŋ
xizmatlarni	χˌyzmætlˈæɾny
boshladilar	bˌɑʃlædˈylæɾ
qizga	qˈyzɡæ
angidrid	æŋˈydɾyd
tilini	tyɫˈyny
xolis	χˈɑɫys
tibbiyoti	tˌybbyjˈɑty
usullarida	ˌʊsʊɫlæɾˈydæ
kiritilib	kˌyɾytˈyɫyb
Yuqorida	jˌʊqɑɾˈydæ
boʻlinib	boɫˈynyb
obrazini	ˌɑbɾæzˈyny
oʻsish	ˈosyʃ
doridarmon	dˌɑɾydˈæɾmɑn
osmon	ˈɑsmɑn
utishi	ʊtˈyʃy
oʻlkasida	ˌoɫkæsˈydæ
uchida	ʊt͡Sˈydæ
topishi	tɑpˈyʃy
Oʻsimliklar	ˌosymɫˈyklæɾ
bulib	bˈʊɫyb
oshgan	ˈɑʃɡæn
namunalari	nˌæmʊnælˈæɾy
mavsum	mˈæʋsʊm
Olmos	ˈɑɫmɑs
evolyusion	ˌeʋɑɫjʊsˈyɑn
xalqni	χˈæɫqny
qoʻshimcha	qoʃˈymt͡Sæ
mulkiga	mʊɫkˈyɡæ
portugal	pɑɾtˈʊɡæɫ
Sirdaryo	syɾdˈæɾjɑ
pana	pˈænæ
Nafas	nˈæfˌæs
foydalanadi	fˌɑjdælænˈædy
keyingina	kˌejyŋˈynæ
jinsi	d͡ʒˈynsy
vafoti	ʋæfˌɑty
yuzasi	jʊzˈæsy
kelishadi	kˌeɫyʃˈædy
nishonlanadi	nˌyʃɑnlænˈædy
virus	ʋˈyɾʊs
tarixining	tˌæɾyχˈynyŋ
sxemalar	sχemˈælæɾ
insonni	ynsˈɑnny
chechak	t͡Sˈet͡Sæk
oʻqituvchisi	ˌoqytʊʋt͡Sˈysy
hafta	hˈæftˌæ
nazar	nˈæzæɾ
oqimida	ˌɑqymˈydæ
yigʻilib	jyʁˈyɫyb
mukofotga	mˌʊkɑfˌɑtɡæ
yoshgacha	jɑʃɡˈæt͡Sæ
tafakkuri	tæfˌækkˈʊɾy
orasi	ɑɾˈæsy
jamiyatda	d͡ʒˌæmyjˈætdæ
Federatsiyasi	fˌedeɾˌætsyjˈæsy
magʻlub	mˈæʁɫʊb
muxtor	mˈʊχtɑɾ
asoschilaridan	ˌæsɑst͡Sˌylæɾˈydæn
qoʻshaloq	qoʃˈæɫɑq
shaklga	ʃˈækɫɡæ
ovozli	ɑʋˈɑzɫy
vazirining	ʋˌæzyɾˈynyŋ
maqbara	mæqbˈæɾæ
muddatga	mʊddˈætɡæ
kislotani	kˌysɫɑtˈæny
oʻzagi	ozˈæɡy
ball	bˈæɫɫ
kokos	kˈɑkɑs
oktabrda	ɑktˈæbɾdæ
Fransiyaga	fɾˌænsyjˈæɡæ
Ijodiy	yd͡ʒˈɑdyj
Xususiy	χʊsˈʊsyj
Infeksion	ynfˌeksˈyɑn
koʻchalaridan	kˌot͡Sælæɾˈydæn
haqli	hˈæqɫy
hukmdorlari	hˌʊkmdɑɾlˈæɾy
institutini	ˌynstytʊtˈyny
qoʻyiladigan	qˌojylædˈyɡæn
oʻlkada	oɫkˈædæ
xitoy	χˈytɑj
chikarilgan	t͡Sˌykæɾˈyɫɡæn
jinslari	d͡ʒynslˈæɾy
oʻzgaradi	ˌozɡæɾˈædy
quvurlar	qʊʋˈʊɾlæɾ
yoritilgan	jˌɑɾytˈyɫɡæn
koʻmak	kˈomæk
olish	ˈɑɫyʃ
Norin	nˈɑɾyn
kenglik	kˈeŋɫyk
hollari	hɑɫlˈæɾy
xonanda	χɑnˈændæ
tuproqda	tʊpɾˈɑqdæ
birlashib	byɾlˈæʃyb
tanlanish	tænlˈænyʃ
nashrlari	næʃɾlˈæɾy
taom	tˈæɑm
asarlarga	ˌæsæɾlˈæɾɡæ
chavandoz	t͡Sæʋˈændɑz
ettirdi	ettˈyɾdy
lyoss	ɫjˈɑss
imlo	ˈymɫɑ
oʻrganadigan	ˌoɾɡænædˈyɡæn
arxeologik	ˌæɾχeɑɫˈɑɡyk
mazkur	mˈæzkʊɾ
poetik	pɑˈetyk
ajratilgan	ˌæd͡ʒɾætˈyɫɡæn
bakteriyalari	bˌækteɾˌyjælˈæɾy
muxbir	mˈʊχbyɾ
taqlid	tˈæqɫyd
qizgʻish	qˈyzʁyʃ
indeyslar	yndˈejslæɾ
kelganda	keɫɡˈændæ
Ogʻriq	ˈɑʁɾyq
ahvolga	æhʋˈɑɫɡæ
koʻpayishiga	kˌopæjyʃˈyɡæ
mukofot	mʊkˈɑfˌɑt
tuzli	tˈʊzɫy
fermer	fˌeɾmeɾ
tashqariga	tˌæʃqæɾˈyɡæ
xavfsizligi	χæʋfsˌyzɫˈyɡy
loy	ɫˈɑj
Skandinaviya	skˌændynæʋˈyjæ
Farmoni	fˌæɾmˈɑny
okrug	ˈɑkɾʊɡ
nishonga	nyʃˈɑŋæ
dumli	dˈʊmɫy
gʻarbdan	ʁˈæɾbdæn
eng	ˈeŋ
konservalari	kˌɑnseɾʋælˈæɾy
sanab	sˈænæb
boshqarmasida	bˌɑʃqæɾmæsˈydæ
qoʻrgʻonlar	qoɾʁˈɑnlæɾ
Hazrati	hæzɾˈæty
zenit	zˈenyt
tortiladi	tˌɑɾtylˈædy
ostki	ˈɑstky
original	ˌɑɾyɡˈynæɫ
qoʻllar	qˈoɫlæɾ
kamondan	kæmˈɑndæn
hijriy	hˈyd͡ʒɾyj
disk	dˈysk
Pomir	pˈɑmyɾ
psixologik	psˌyχɑɫˈɑɡyk
chiqaruvchilar	t͡Sˌyqæɾʊʋt͡Sˈylæɾ
tushuntiriladi	tˌʊʃʊntˌyɾylˈædy
bartaraf	bæɾtˈæɾæf
gilam	ɡˈylæm
qaytaruvchi	qˌæjtæɾˈʊʋt͡Sy
nashri	nˈæʃɾy
taxtga	tˈæχtɡæ
Samarkand	sæmˈæɾkænd
oliy	ˈɑɫyj
tarbiyaviy	tˌæɾbyjˈæʋyj
qaratgan	qæɾˈætɡæn
Ilmiy	ˈyɫmyj
joylarni	d͡ʒɑjlˈæɾny
Kon	kˈɑn
tibbiyot	tybbˈyjɑt
koʻprik	kˈopɾyk
reaksiyalariga	ɾˌeæksˌyjælæɾˈyɡæ
dengizlarda	dˌeŋyzlˈæɾdæ
Shayboniylar	ʃˌæjbɑnˈyjlæɾ
mutaxassislar	mˌʊtæχæssˈyslæɾ
hayotining	hˌæjɑtˈynyŋ
asir	ˈæsyɾ
kurtaklari	kˌʊɾtæklˈæɾy
aspirantura	ˌæspyɾæntˈʊɾæ
muxim	mˈʊχym
simmetrik	symmˈetɾyk
qilishdir	qyɫˈyʃdyɾ
model	mˈɑdeɫ
neytral	nˈejtɾæɫ
shoiri	ʃɑˈyɾy
Risolai	ɾˌysɑlˈæy
vazir	ʋˈæzyɾ
Daryolar	dæɾjˈɑlæɾ
yozma	jˈɑzmæ
etilmagan	ˌetyɫmˈæɡæn
Xitoydan	χytˈɑjdæn
mebel	mˈebeɫ
qirgʻogʻi	qyɾʁˈɑʁy
magnit	mˈæɡnyt
uchastka	ʊt͡Sˈæstkæ
komponentlari	kˌɑmpɑnentlˈæɾy
Qazilma	qæzˈyɫmæ
kategoriya	kˌæteɡɑɾˈyjæ
shaxsiy	ʃˈæχsyj
ettirildi	ˌettyɾˈyɫdy
jangovar	d͡ʒæŋˈɑʋæɾ
oʻchogʻi	ot͡Sˈɑʁy
boshqaradigan	bˌɑʃqæɾædˈyɡæn
olinadi	ˌɑɫynˈædy
energiyani	ˌeneɾɡyjˈæny
Galaktika	ɡˌælæktˈykæ
dollaridan	dˌɑɫlæɾˈydæn
analitik	ˌænæɫˈytyk
ekipaj	ekˈypæd͡ʒ
aktyorlik	æktjˈɑɾɫyk
Yilning	jˈyɫnyŋ
leksika	leksˈykæ
tarmoqlar	tæɾmˈɑqlæɾ
egasiga	ˌeɡæsˈyɡæ
chet	t͡Sˈet
qul	qˈʊɫ
oʻtaydi	otˈæjdy
topilishi	tˌɑpyɫˈyʃy
misra	mˈysɾæ
oʻyma	ˈojmæ
jozibali	d͡ʒˌɑzybˈæɫy
iboratki	ˌybɑɾˈætky
toshli	tˈɑʃɫy
Yarim	jˈæɾym
baxshi	bˈæχʃy
Ichki	ˈyt͡Sky
Axomaniylar	ˌæχɑmænˈyjlæɾ
tajribaga	tˌæd͡ʒɾybˈæɡæ
ustki	ˈʊstky
qoldiqlaridan	qˌɑɫdyqlæɾˈydæn
nisbatda	nysbˈætdæ
yaratilishi	jˌæɾætyɫˈyʃy
sil	sˈyɫ
ishlanadi	ˌyʃlænˈædy
yevropalik	jˌeʋɾɑpˈæɫyk
foydalanilgan	fˌɑjdælænˈyɫɡæn
Avstraliya	ˌæʋstɾæɫˈyjæ
yaratishga	jˌæɾætˈyʃɡæ
koʻhna	kˈohnæ
chidamli	t͡Sydˈæmɫy
hayotni	hæjˈɑtny
tishli	tˈyʃɫy
Pedagogika	pˌedæɡɑɡˈykæ
jismlarni	d͡ʒysmlˈæɾny
davomiyligi	dˌæʋɑmyjɫˈyɡy
german	ɡˈeɾmæn
sezgi	sˈezɡy
Chuqur	t͡Sˈʊqʊɾ
jarayon	d͡ʒæɾˈæjɑn
pechi	pˈet͡Sy
maskani	mæskˈæny
notaga	nɑtˈæɡæ
naysimon	næjsˈymɑn
holatiga	hˌɑlætˈyɡæ
saqlanmagan	sˌæqlænmˈæɡæn
Qozogʻistonning	qˌɑzɑʁystˈɑnnyŋ
Nuh	nˈʊh
musobaqalarda	mˌʊsɑbˌæqælˈæɾdæ
oksidlanib	ˌɑksydlˈænyb
qoʻllanib	qoɫlˈænyb
yem	jˈem
anatomik	ˌænætˈɑmyk
Arxeologik	ˌæɾχeɑɫˈɑɡyk
munosabatlari	mˌʊnɑsˌæbætlˈæɾy
gʻolibi	ʁɑɫˈyby
Toshkentning	tɑʃkˈentnyŋ
doiraviy	dˌɑyɾˈæʋyj
tanglay	tˈæŋlæj
kitobda	kytˈɑbdæ
Shvetsiya	ʃʋetsˈyjæ
konkret	kˈɑnkɾet
kurashgan	kʊɾˈæʃɡæn
drenaj	dɾˈenæd͡ʒ
zdlari	zdlˈæɾy
xabarlar	χæbˈæɾlæɾ
shimolida	ʃˌymɑɫˈydæ
muncha	mˈʊnt͡Sæ
efirda	efˌyɾdæ
yoʻqligini	jˌoqɫyɡˈyny
daraxtlar	dæɾˈæχtlæɾ
oshqozon	ɑʃqˈɑzɑn
jismi	d͡ʒˈysmy
xitoylar	χytˈɑjlæɾ
ekvatorial	ˌekʋætɑɾˈyæɫ
bosish	bˈɑsyʃ
Koreya	kɑɾˈejæ
uchdan	ˈʊt͡Sdæn
farqlash	fˌæɾqlæʃ
elektronika	ˌelektɾɑnˈykæ
qoldiqlarini	qˌɑɫdyqlæɾˈyny
ishtirokidagi	ˌyʃtyɾˌɑkydˈæɡy
ukasi	ʊkˈæsy
sovet	sˈɑʋet
yurtining	jʊɾtˈynyŋ
oʻn	ˈon
kasalliklar	kˌæsæɫɫˈyklæɾ
onasining	ˌɑnæsˈynyŋ
dvigateli	dʋˌyɡætˈeɫy
Metallurgiya	mˌetæɫɫʊɾɡˈyjæ
berishadi	bˌeɾyʃˈædy
energiyali	ˌeneɾɡyjˈæɫy
diqqatga	dyqqˈætɡæ
musobaqasida	mˌʊsɑbˌæqæsˈydæ
chalish	t͡Sˈæɫyʃ
Maye	mˈæje
oʻrnatdi	oɾnˈætdy
moʻljal	mˈoɫd͡ʒæɫ
fikr	fˌykɾ
MVt	ˌemʋˌetˈe
tank	tˈænk
amallar	æmˈæɫlæɾ
dunyosi	dʊnjˈɑsy
nasr	nˈæsɾ
kembriy	kˈembɾyj
tomonlariga	tˌɑmɑnlæɾˈyɡæ
daryosi	dæɾjˈɑsy
atmosferaga	ˌætmɑsfˌeɾˈæɡæ
qatnashadi	qˌætnæʃˈædy
jamoaga	d͡ʒˌæmɑˈæɡæ
tushganda	tʊʃɡˈændæ
bakalavr	bækˈælæʋɾ
liniyalari	ɫˌynyjælˈæɾy
turli	tˈʊɾɫy
koʻpchiligi	kˌopt͡Syɫˈyɡy
ogʻir	ˈɑʁyɾ
bajaradigan	bˌæd͡ʒæɾædˈyɡæn
qoʻshilishi	qˌoʃyɫˈyʃy
Tajriba	tæd͡ʒɾˈybæ
Oʻzbekistonning	ˌozbekystˈɑnnyŋ
inqilobiy	ˌynqyɫˈɑbyj
boʻyi	bˈojy
chizikli	t͡Syzˈykɫy
raqobat	ɾæqˈɑbæt
bezlari	bezlˈæɾy
Kamol	kˈæmɑɫ
adabiyotini	ˌædæbˌyjɑtˈyny
manzaralari	mˌænzæɾælˈæɾy
Shoʻrtan	ʃˈoɾtæn
hokimi	hɑkˈymy
oʻzlashtirib	ˌozlæʃtˈyɾyb
unib	ˈʊnyb
asboblarning	ˌæsbɑblˈæɾnyŋ
yashar	jˈæʃæɾ
bijgʻitish	byd͡ʒʁˈytyʃ
geolog	ɡeˈɑɫɑɡ
oʻzak	ˈozæk
oʻrnashib	oɾnˈæʃyb
chegarasida	t͡Sˌeɡæɾæsˈydæ
ehtiyoji	ˌehtyjˈɑd͡ʒy
opera	ɑpˈeɾæ
muguz	mˈʊɡʊz
chiqaradigan	t͡Sˌyqæɾædˈyɡæn
qatorlar	qætˈɑɾlæɾ
Karmana	kæɾmˈænæ
hajmi	hˈæd͡ʒmy
Choʻlpon	t͡Sˈoɫpɑn
tugʻildi	tʊʁˈyɫdy
lavozimlarida	lˌæʋɑzˌymlæɾˈydæ
hujjatlarini	hˌʊd͡ʒd͡ʒætlæɾˈyny
yongʻogʻi	jɑŋʔˈɑʁy
tuzilish	tʊzˈyɫyʃ
yaratib	jæɾˈætyb
yordamchi	jɑɾdˈæmt͡Sy
joriy	d͡ʒˈɑɾyj
sevimli	seʋˈymɫy
xizmatchilar	χˌyzmætt͡Sˈylæɾ
soylar	sˈɑjlæɾ
karst	kˈæɾst
homilador	hˌɑmylˈædɑɾ
tavsiflanadi	tˌæʋsyflˌænˈædy
ekinzor	ekˈynzɑɾ
tizmalari	tˌyzmælˈæɾy
tuzadi	tʊzˈædy
och	ˈɑt͡S
Yopiq	jˈɑpyq
kislorodli	kˌysɫɑɾˈɑdɫy
rahbariyati	ɾˌæhbæɾyjˈæty
oldi	ˈɑɫdy
smola	smˈɑlæ
nashrga	nˈæʃɾɡæ
tola	tˈɑlæ
sharoitlariga	ʃˌæɾɑˌytlæɾˈyɡæ
kanallari	kˌænæɫlˈæɾy
murtak	mˈʊɾtæk
shartnomasiga	ʃˌæɾtnɑmæsˈyɡæ
tunnel	tˈʊnneɫ
yutilish	jʊtˈyɫyʃ
manbalariga	mˌænbælæɾˈyɡæ
atom	ˈætɑm
modda	mˈɑddæ
D	dˈe
tanildi	tænˈyɫdy
kompaniyalar	kˌɑmpænyjˈælæɾ
paxta	pˈæχtæ
talabalarga	tˌælæbælˈæɾɡæ
sifatidagi	syfˌætydˈæɡy
sezgirligi	sˌezɡyɾɫˈyɡy
oʻrnidan	oɾnˈydæn
Repertuaridan	ɾˌepeɾtˌʊæɾˈydæn
Italiyada	ˌytæɫyjˈædæ
nomli	nˈɑmɫy
borliqni	bɑɾɫˈyqny
pishirish	pyʃˈyɾyʃ
amirlar	æmˈyɾlæɾ
Selina	seɫˈynæ
yorugʻlikning	jˌɑɾʊʁɫˈyknyŋ
tabobatida	tˌæbɑbætˈydæ
Oʻzbek	ˈozbek
sonlar	sˈɑnlæɾ
kasalliklaridan	kˌæsæɫɫˌyklæɾˈydæn
ul	ˈʊɫ
baho	bˈæhɑ
kutubxonasida	kˌʊtʊbχˌɑnæsˈydæ
rassomlari	ɾˌæssɑmlˈæɾy
sharoitga	ʃˌæɾɑˈytɡæ
tekisliklardan	tˌekysɫyklˈæɾdæn
muntazam	mʊntˈæzæm
kuchliroq	kʊt͡Sɫˈyɾɑq
oyoqlari	ˌɑjɑqlˈæɾy
gapiradi	ɡˌæpyɾˈædy
joylashtirilgan	d͡ʒˌɑjlæʃtyɾˈyɫɡæn
dengizdan	deŋˈyzdæn
Corporation	tsˌɑɾpɑɾætˈyɑn
shaharda	ʃæhˈæɾdæ
olib	ˈɑɫyb
qatlamlarning	qˌætlæmlˈæɾnyŋ
telegraf	telˈeɡɾæf
Magniy	mˈæɡnyj
qoya	qˈɑjæ
Ch	t͡Sˈe
hokimlar	hɑkˈymlæɾ
matbuotida	mˌætbʊɑtˈydæ
professor	pɾɑfˌessɑɾ
oluvchi	ɑɫˈʊʋt͡Sy
idora	ydˈɑɾæ
yozuvda	jɑzˈʊʋdæ
koʻchmanchi	kot͡Smˈænt͡Sy
turlariga	tˌʊɾlæɾˈyɡæ
chiqqach	t͡Sˈyqqæt͡S
boʻlajak	bolˈæd͡ʒæk
istilosi	ˌystyɫˈɑsy
intini	yntˈyny
geliy	ɡˈeɫyj
Hindistonda	hˌyndystˈɑndæ
bazalt	bˈæzæɫt
texnologiyalari	tˌeχnɑɫˌɑɡyjælˈæɾy
tanilgan	tænˈyɫɡæn
Nizom	nˈyzɑm
kirishi	kyɾˈyʃy
rusumli	ɾʊsˈʊmɫy
razryadi	ɾæzɾjˈædy
Qorabogʻ	qɑɾˈæbɑʁ
sigir	sˈyɡyɾ
tog	tˈɑɡ
tayinlagan	tˌæjynlˈæɡæn
ularning	ʊlˌæɾnyŋ
Records	ɾˈetsɑɾds
klublari	kɫʊblˈæɾy
xudosi	χʊdˈɑsy
yuz	jˈʊz
Okeanning	ˌɑkeˈænnyŋ
filmlarida	fˌyɫmlæɾˈydæ
kuylar	kˈʊjlæɾ
kesishgan	kesˈyʃɡæn
bulut	bˈʊɫʊt
orollarda	ˌɑɾɑɫlˈæɾdæ
Sirdaryoning	sˌyɾdæɾjˈɑnyŋ
haydaladi	hˌæjdælˈædy
Global	ɡɫˈɑbæɫ
bal	bˈæɫ
бўлиб	bˈoːɫyb
Gs	ɡˌeˈes
hisobga	hysˈɑbɡæ
Kattaqoʻrgʻon	kˌættæqˈoɾʁɑn
Chetdan	t͡Sˈetdæn
harakterdagi	hˌæɾækteɾdˈæɡy
bildi	bˈyɫdy
universiteti	ˌʊnyʋˌeɾsytˈety
borligini	bˌɑɾɫyɡˈyny
qolipga	qɑɫˈypɡæ
unsuri	ʊnsˈʊɾy
oʻchirish	ot͡Sˈyɾyʃ
almashgan	æɫmˈæʃɡæn
irmoklari	ˌyɾmɑklˈæɾy
Xalil	χˈæɫyɫ
moduli	mɑdˈʊɫy
Universitetida	ˌʊnyʋˌeɾsytetˈydæ
AQShdagi	ˌæqˈaʃdˈæɡy
chuqurlikkacha	t͡Sˌʊqʊɾɫykkˈæt͡Sæ
lugʻatlar	ɫʊʁˈætlæɾ
mahsulotlarning	mˌæhsʊɫɑtlˈæɾnyŋ
peshona	peʃˈɑnæ
boshlarigacha	bˌɑʃlæɾyɡˈæt͡Sæ
oʻrinbosari	ˌoɾynbɑsˈæɾy
inqirozga	ˌynqyɾˈɑzɡæ
yongʻoq	jˈɑŋʔɑq
ichakka	yt͡Sˈækkæ
Neolit	neˈɑɫyt
haykal	hˈæjkæɫ
favqulodda	fˌæʋqʊɫˈɑddæ
keyin	kˌejyn
kasal	kˈæsæɫ
organizmning	ˌɑɾɡænˈyzmnyŋ
qirqish	qˈyɾqyʃ
chiroq	t͡Sˈyɾɑq
tormoz	tˈɑɾmɑz
sutkalik	sʊtkˈæɫyk
boshliqlari	bˌɑʃɫyqlˈæɾy
barobar	bæɾˈɑbæɾ
yoʻl	jˈoɫ
balandlikda	bˌælændɫˈykdæ
kizil	kˈyzyɫ
yotqiziqlaridan	jˌɑtqyzˌyqlæɾˈydæn
qiymat	qˈyjmæt
totalitar	tˌɑtæɫˈytæɾ
yurishga	jʊɾˈyʃɡæ
aloqador	ˌæɫɑqˈædɑɾ
васаллам	ʋæsˈæɫlæm
insonlarga	ˌynsɑnlˈæɾɡæ
Shu	ʃˈʊ
tushuncha	tʊʃˈʊnt͡Sæ
aylanadi	ˌæjlænˈædy
toifasiga	tˌɑyfˌæsˈyɡæ
galogenlar	ɡˌæɫɑɡˈenlæɾ
boshqaruvida	bˌɑʃqæɾʊʋˈydæ
xalklar	χˈæɫklæɾ
Prezident	pɾezˈydent
oʻldirgan	oɫdˈyɾɡæn
qoʻshinida	qˌoʃynˈydæ
xarajatlari	χˌæɾæd͡ʒætlˈæɾy
uzoq	ˈʊzɑq
mintaqada	mˌyntæqˈædæ
chegaralarini	t͡Sˌeɡæɾˌælæɾˈyny
sharqshunoslik	ʃˌæɾqʃʊnˈɑsɫyk
Saturn	sˈætʊɾn
xavfsiz	χˈæʋfsˌyz
Jami	d͡ʒˈæmy
hajmining	hæd͡ʒmˈynyŋ
qoʻshilmalar	qˌoʃyɫmˈælæɾ
majburiyatlarni	mˌæd͡ʒbʊɾˌyjætlˈæɾny
xonlar	χˈɑnlæɾ
quyib	qˈʊjyb
shakllar	ʃˈækɫlæɾ
sonining	sɑnˈynyŋ
odam	ˈɑdæm
vaqtdan	ʋˈæqtdæn
Ayrim	ˈæjɾym
ijro	ˈyd͡ʒɾɑ
Pokistonda	pˌɑkystˈɑndæ
tuzishni	tʊzˈyʃny
oqibatlari	ˌɑqybætlˈæɾy
harakatlarini	hˌæɾækˌætlæɾˈyny
hunarmandlik	hˌʊnæɾmˈændɫyk
sxemasi	sχemˈæsy
Parfiya	pæɾfˌyjæ
Xoja	χˈɑd͡ʒæ
qozonib	qɑzˈɑnyb
Y	jˈe
tanasida	tˌænæsˈydæ
astronomi	ˌæstɾɑnˈɑmy
qorin	qˈɑɾyn
Dashti	dˈæʃty
taalluqli	tˌææɫɫˈʊqɫy
togʻlari	tɑʁlˈæɾy
maktabini	mˌæktæbˈyny
rejimi	ɾed͡ʒˈymy
erishdi	eɾˈyʃdy
Madrasa	mædɾˈæsæ
sotsialistik	sˌɑtsyæɫˈystyk
olishi	ɑɫˈyʃy
soʻzlar	sˈozlæɾ
Soveti	sɑʋˈety
pust	pˈʊst
ediki	edˈyky
kurashini	kˌʊɾæʃˈyny
navi	nˈæʋy
yuqoridan	jˌʊqɑɾˈydæn
kitoblar	kytˈɑblæɾ
suzish	sˈʊzyʃ
asosini	ˌæsɑsˈyny
Ravshan	ɾˈæʋʃæn
oygacha	ɑjɡˈæt͡Sæ
adashgan	ædˈæʃɡæn
Mamlakatda	mˌæmlækˈætdæ
albatta	æɫbˈættæ
aniklanadi	ˌænyklænˈædy
mis	mˈys
birbiriga	bˌyɾbyɾˈyɡæ
minglik	mˈyŋɫyk
ijodini	ˌyd͡ʒɑdˈyny
yuza	jˈʊzæ
poʻstlogʻi	postɫˈɑʁy
koʻp	kˈop
texnologiyalarni	tˌeχnɑɫˌɑɡyjælˈæɾny
tun	tˈʊn
komponentlar	kˌɑmpɑnˈentlæɾ
fojiali	fˌɑd͡ʒyˈæɫy
shina	ʃˈynæ
harorat	hæɾˈɑɾæt
topadi	tɑpˈædy
xizmatni	χyzmˈætny
yuradigan	jˌʊɾædˈyɡæn
tayyorlaydigan	tˌæjjɑɾlæjdˈyɡæn
