जलसा	d͡ʒəl̪s̪äː
गलियारा	ɡəl̪ijäːɾäː
सत्तावन	s̪ət̪̚t̪äːʋə̃n̪
चुदाना	t͡ʃʊd̪äːn̪äː
अयनांत	əjən̪ä̃ːn̪t̪
अनचखा	ə̃n̪t͡ʃəkʰäː
संयुक्त	s̪ə̃jʊkt̪
दहला	d̪ɛɦl̪äː
मालीद	mäːl̪iːd̪
ख़र्चा	kʰəɾt͡ʃäː
राशन	ɾäːʃə̃n̪
अफीम	əfĩːm
बीस	biːs̪
चपाती	t͡ʃəpäːt̪iː
अम्लपित्त	ə̃ml̪əpɪt̪t̪
अखंडता	əkʰə̃ɳɖt̪äː
वाद्य	ʋäːd̪jᵊ
फेंक	pʰẽːŋk
चौड़ाई	t͡ʃɔːɽäːiː
ब्राह्मी	bɾäːɦmiː
ज़रिया	d͡ʒəɾijäː
यक़ीनन	jəqiːn̪ə̃n̪
जंगी	d͡ʒə̃ŋɡiː
स्तनधारी	s̪t̪ə̃n̪d̪ʱäːɾiː
प्राधिकार	pɾäːd̪ʱɪkäːɾ
मौसीक़ी	mɔːs̪iːkiː
दम्पति	d̪ə̃mpət̪iː
ब्याहना	bjäːɦn̪äː
प्रावधान	pɾäːʋd̪ʱä̃ːn̪
महफ़िल	mɛɦfɪl̪
असंतोष	əs̪ə̃n̪t̪oːʃ
बंगला	bə̃ŋɡl̪äː
फ़लक	fəl̪ək
निरोध	n̪ɪɾoːd̪ʱ
पुड़िया	pʊɽijäː
मकड़ा	məkɽäː
चार	t͡ʃäːɾ
पारसी	päːɾs̪iː
श्लोक	ʃl̪oːk
कहनी	kɛɦn̪iː
मज़ार	məd͡ʒäːɾ
अक़्लमंद	əql̪ᵊmə̃n̪d̪
जुलना	d͡ʒʊl̪n̪äː
ज़मीन	zəmĩːn̪
पचाना	pət͡ʃäːn̪äː
लिखना	l̪ɪkʰn̪äː
प्रसारित	pɾəs̪äːɾɪt̪
यात्रा	jäːt̪ɾäː
समाचारपत्र	s̪əmäːt͡ʃäːɾpət̪ɾᵊ
श्वान	ʃʋä̃ːn̪
अक्षत	əkʃət̪
क़ब्ज़ा	qəbzäː
अकस्मात्	əkəs̪mäːt̪
युद्धप्रिय	jʊd̪̚d̪ʱpɾijᵊ
जून	d͡ʒũːn̪
हरियाणा	ɦəɾijäːɳäː
अस्वस्थ	əs̪ʋəs̪t̪ʰ
महारत	məɦäːɾət̪
आह	äːɦ
मछुआ	mət͡ʃʰʊäː
बोतलबंद	boːt̪əl̪bə̃n̪d̪
उदारता	ʊd̪äːɾt̪äː
राख	ɾäːkʰ
मूत्राशय	muːt̪ɾäːʃəj
लुच्चा	l̪ʊt̚t͡ʃäː
कलेवा	kəl̪eːʋäː
मुहब्बत	mɔɦɔb̚bət̪
आलुक	äːl̪ʊk
अगरतला	əɡəɾt̪əl̪äː
ख़ुशमिज़ाज	xʊʃmɪzäːd͡ʒ
धर्मनिरपेक्ष	d̪ʱəɾmn̪ɪɾpeːkʃ
ख़ज़ाना	kʰəd͡ʒäːn̪äː
मोज़ांबीक	moːd͡ʒä̃ːmbiːk
ठिंगना	ʈʰɪ̃ŋɡn̪äː
बनाऊंगी	bən̪äːũːŋɡiː
सियाह	s̪ijäːɦ
फायदा	fäːjd̪äː
फूलना	pʰuːl̪n̪äː
उलटी	ʊl̪ʈiː
बंजर	bə̃n̪d͡ʒəɾ
भिषग्माता	bʱɪʃəɡmäːt̪äː
बंदा	bə̃n̪d̪äː
घड़ियाल	ɡʱəɽijäːl̪
इस्लामाबाद	ɪs̪l̪äːmäːbäːd̪
ज़कात	d͡ʒəkäːt̪
इसबग़ोल	ɪs̪bəɣoːl̪
हिन्दू	ɦɪ̃n̪d̪uː
विज्ञापित	ʋɪɡjäːpɪt̪
बौड़म	bɔːɽə̃m
फाल्गुन	pʰäːl̪ɡʊ̃n̪
आदिवासी	äːd̪ɪʋäːs̪iː
बहत्तर	bɛɦɛt̪̚t̪əɾ
आराम	äːɾä̃ːm
व्यजन	ʋjəd͡ʒə̃n̪
रटना	ɾəʈn̪äː
अनुमान	ən̪ʊmä̃ːn̪
रामरज	ɾä̃ːmɾəd͡ʒ
क़सीदा	kəs̪iːd̪äː
टिड्डा	ʈɪɖ̚ɖäː
गला	ɡəl̪äː
एडवायज़री	eːɖwäːjzəɾiː
ईक्वाडोर	iːkwäːɖoːɾ
मेरा	meːɾäː
राष्ट्रगान	ɾäːʃʈɾəɡä̃ːn̪
बौना	bɔːn̪äː
लजाना	l̪əd͡ʒäːn̪äː
स्वायत्त	s̪ʋäːjət̪t̪
जिंस	d͡ʒɪ̃n̪s̪
अत्फ़ाल	ət̪fäːl̪
अड़ंगा	əɽə̃ŋɡäː
सार्वजनिक	s̪äːɾʋd͡ʒən̪ɪk
मलिन	məl̪ɪ̃n̪
अर्धतत्सम	əɾd̪ʱət̪ət̪s̪ə̃m
आउट	äːʊʈ
शगूफ़ा	ʃəɡuːpʰäː
आयु	äːjuː
निरभिमान	n̪ɪɾəbʱɪmä̃ːn̪
जर्राह	d͡ʒəɾɾäːɦ
उत्साहित	ʊt̪s̪äːɦɪt̪
नेवला	n̪eːʋl̪äː
डिजिटल	ɖɪd͡ʒɪʈəl̪
सत्यापनों	s̪ət̪jäːpn̪õː
अपमान	əpmä̃ːn̪
सुचारु	s̪ʊt͡ʃäːɾuː
अनेकता	ən̪eːkt̪äː
रशिया	ɾəʃijäː
आधारित	äːd̪ʱäːɾɪt̪
छाल	t͡ʃʰäːl̪
हाय	ɦäːj
बिना	bɪn̪äː
नब्ज़	n̪əbz
ज़मीनी	zəmiːn̪iː
कमाऊ	kəmäːuː
मधुमक्खी	məd̪ʱʊmək̚kʰiː
चिंगहई	t͡ʃɪ̃ŋɡʱəiː
वरीयता	ʋəɾiːjt̪äː
तनख़्वाह	t̪ə̃n̪kʰʋäːɦ
इजमाली	ɪd͡ʒmäːl̪iː
इलज़ाम	ɪl̪zä̃ːm
ख़ालिस्तान	kʰäːl̪ɪs̪t̪ä̃ːn̪
फ़ीसद	pʰiːs̪əd̪
गांगुली	ɡä̃ːŋɡʊl̪iː
कृदंत	kɾɪd̪ə̃n̪t̪
आइसलैंड	äːɪs̪l̪ɛ̃ːɳɖ
मेहरबानी	meːɦɾbäːn̪iː
लेखनी	l̪eːkʰən̪iː
अंकारा	ə̃ŋkäːɾäː
राजस्व	ɾäːd͡ʒəs̪ʋᵊ
ग़लतफ़हमी	ɡəl̪ət̪pʰɛɦmiː
जनवरी	d͡ʒə̃n̪wəɾiː
ज़िंदगी	zɪ̃n̪d̪əɡiː
डाकख़ाना	ɖäːk̚kʰäːn̪äː
आमाशय	äːmäːʃəj
प्यार	pjäːɾ
बुलाकर	bʊl̪äːkəɾ
मोनाको	moːn̪äːkoː
ब्राज़िल	bɾäːzɪl̪
नन्हा	n̪ə̃n̪ɦäː
ग़मज़दा	ɡəməd͡ʒd̪äː
संभावना	s̪ə̃mbʱäːʋn̪äː
सबक	s̪əbək
सत्यापन	s̪ət̪jäːpə̃n̪
अग्रहायण	əɡɾəɦäːjə̃ɳ
आख़िरत	äːxɪɾət̪
कैंडी	kɛ̃ːɳɖiː
भाना	bʱäːn̪äː
पिंजड़ा	pɪ̃n̪d͡ʒɽäː
तर्जनी	t̪əɾd͡ʒən̪iː
अहिनाह	əɦɪn̪äːɦ
कुल	kʊl̪
साबू	s̪äːbuː
अत्यन्त	ət̪jə̃n̪t̪
अक़्ल	əqəl̪
शाखा	ʃäːkʰäː
अलहदा	əl̪ɛɦd̪äː
अनुष्ठान	ən̪ʊʃʈʰä̃ːn̪
कुचलना	kʊt͡ʃəl̪n̪äː
ईर्ष्या	iːɾʃjäː
वस्तु	ʋəs̪t̪uː
वंचित	ʋə̃n̪t͡ʃɪt̪
छुट्टी	t͡ʃʰʊʈ̚ʈiː
रसायनज्ञ	ɾəs̪äːjən̪əɡj
तजना	t̪əd͡ʒn̪äː
शगुन	ʃəɡʊ̃n̪
अर्दली	əɾd̪əl̪iː
इलाही	ɪl̪äːɦiː
ज़िन्दगी	zɪ̃n̪d̪əɡiː
हीन	ɦĩːn̪
मुलाज़िम	mʊl̪äːd͡ʒɪ̃m
पेन	pẽːn̪
कान्हा	kä̃ːn̪ɦäː
कांदा	kä̃ːn̪d̪äː
पुल	pʊl̪
होता	ɦoːt̪äː
इकतीस	ɪkt̪iːs̪
जुलूस	d͡ʒʊl̪uːs̪
युद्धस्थल	jʊd̪d̪ʱs̪t̪ʰəl̪
सर्वोदय	s̪əɾʋoːd̪əj
मां	mä̃ː
निर्देशन	n̪ɪɾd̪eːʃə̃n̪
चषक	t͡ʃəʃək
बतलाना	bət̪l̪äːn̪äː
तेंदुआ	t̪eːn̪d̪ʊaː
अट्ठानवे	əʈ̚ʈʰä̃ːn̪weː
जेल	d͡ʒeːl̪
भीमसरट	bʱĩːms̪əɾəʈ
रेडॉन	ɾeːɖɔ̃n̪
शिक्षक	ʃɪkʃək
सुथरा	s̪ʊt̪ʰɾäː
गोली	ɡoːl̪iː
सफेद	s̪əpʰeːd̪
कारख़ाना	käːɾxäːn̪äː
अंगड़ाई	ə̃ŋɡɽäːiː
वर्तुल	ʋəɾt̪ʊl̪
किराँची	kɪɾä̃ːt͡ʃiː
कमीनापन	kəmiːn̪äːpə̃n̪
चुल्ल	t͡ʃʊl̪l̪
आख़िरी	äːxɪɾiː
रिसाला	ɾɪs̪äːl̪äː
भगफल	bʱəɡpʰəl̪
मानस	mäːn̪əs̪
अखबार	əxbäːɾ
होनहार	ɦõːn̪ɦäːɾ
सम्मान	s̪ə̃mmä̃ːn̪
लोकप्रिय	l̪oːkəpɾɪj
कफ़न	kəfə̃n̪
बौछार	bɔːt͡ʃʰäːɾ
दिवसीय	d̪ɪʋs̪iːjᵊ
ख़ुलासा	kʰʊl̪äːs̪äː
कार्टून	käːɾʈũːn̪
मनोनीत	mən̪oːn̪iːt̪
बेटा	beːʈäː
इंसानी	ɪ̃n̪s̪äːn̪iː
सहमति	s̪ɛɦmət̪iː
हलदी	ɦəl̪d̪iː
नुस्ख़ा	n̪ʊs̪xäː
आकलन	äːkəl̪ə̃n̪
कनीज़	kən̪iːd͡ʒ
सुर्ख़ी	s̪ʊɾxiː
कुंडली	kʊ̃ɳɖl̪iː
सलीक़ा	s̪əl̪iːqäː
प्रिंस	pɾɪ̃n̪s̪
फैलना	pʰɛːl̪n̪äː
मोड़ना	moːɽn̪äː
आज़ाद	äːd͡ʒäːd̪
प्राकृतिक	pɾäːkɾɪt̪ɪk
दवाख़ाना	d̪əʋäːkʰäːn̪äː
संस्थान	s̪ə̃n̪s̪t̪ʰä̃ːn̪
आत्मप्रशंसा	äːt̪məpɾəʃə̃n̪s̪äː
पेशा	peːʃäː
मतगणना	mət̪ɡə̃ɳn̪äː
शिद्दत	ʃɪd̪̚d̪ət̪
गायक	ɡäːjək
स्थिति	s̪t̪ʰɪt̪iː
समाजसेवा	s̪əmäːd͡ʒs̪eːʋäː
मौसी	mɔːs̪iː
खदेड़ना	kʰəd̪eːɽn̪äː
भाद्र	bʱäːd̪ɾᵊ
प्रतिमा	pɾət̪ɪmäː
बब्बर	bəb̚bəɾ
क़हवा	kɛɦʋäː
अकेला	əkeːl̪äː
मृगतृष्णा	mɾɪɡt̪ɾɪʃɳäː
नोएडा	n̪oːeːɖäː
स्वतः	s̪ʋət̪əɦ
रामायणी	ɾäːmäːjəɳiː
नक्शा	n̪əqʃäː
कम्प	kə̃mp
बंटाना	bə̃ɳʈäːn̪äː
आकांक्षी	äːkä̃ːkʃiː
बलग़म	bəl̪ɣə̃m
तरक़्क़ी	t̪əɾək̚kiː
गुस्सा	ɣʊs̪s̪äː
शांतिपूर्ण	ʃä̃ːn̪t̪ɪpuːɾɳ
आवर्धन	äːʋəɾd̪ʱə̃n̪
अक्खा	ək̚kʰäː
जांघ	d͡ʒä̃ːŋɡʱ
पाल	päːl̪
जानबूझकर	d͡ʒä̃ːn̪buːd͡ʒʱkəɾ
ख़ूबानी	kʰuːbäːn̪iː
खेलना	kʰeːl̪n̪äː
प्रोत्साहन	pɾoːt̪s̪äːɦə̃n̪
मरियल	məɾijəl̪
दाख़िल	d̪äːxɪl̪
बोत्सवाना	boːt̪s̪ʋäːn̪äː
संकट	s̪ə̃ŋkəʈ
आत्मस्तुति	äːt̪məs̪t̪ʊt̪iː
नम्रता	n̪ə̃mɾət̪äː
बाट	bäːʈ
मालूम	mäːl̪ũːm
आयरलैंड	äːjəɾl̪ɛ̃ːɳɖ
लंबाई	l̪ə̃mbäːiː
शर्माना	ʃəɾmäːn̪äː
सहयोगी	s̪ɛɦjoːɡiː
रकाबी	ɾəkäːbiː
पक्षपात	pəkʃpäːt̪
तत्त्व	t̪ət̪̚t̪wᵊ
फसल	pʰəs̪əl̪
वज़न	ʋəd͡ʒə̃n̪
समुच्चयबोधक	s̪əmʊt̚t͡ʃəjboːd̪ʱək
कार्य	käːɾjᵊ
शिश्नों	ʃɪʃn̪õː
गाय	ɡäːj
बुड्ढी	bʊɖ̚ɖʱiː
बाजा	bäːd͡ʒäː
शाबाश	ʃäːbäːʃ
अंग्रेज़	ə̃ŋɡɾeːd͡ʒ
नालायक	n̪äːl̪äːjəq
डोली	ɖoːl̪iː
हँस	ɦə̃s̪
तीन	t̪ĩːn̪
रोड़ा	ɾoːɽäː
सारस	s̪äːɾəs̪
आतिशबाज़ी	äːt̪ɪʃbäːziː
फुलका	pʰʊl̪käː
चरवाहा	t͡ʃəɾʋäːɦäː
वापसी	ʋäːps̪iː
प्राधिकारी	pɾäːd̪ʱɪkäːɾiː
साहिब	s̪äːɦb
असल	əs̪əl̪
परिमाप	pəɾɪmäːp
बीड़ा	biːɽäː
मुर्ग़ाबी	mʊɾɡäːbiː
अंटार्कटिका	ə̃ɳʈäːɾkʈɪkäː
विज़ारत	ʋɪd͡ʒäːɾət̪
जोंक	d͡ʒõːŋk
शर्मीला	ʃəɾmiːl̪äː
लब्धि	l̪əbd̪ʱiː
जनरल	d͡ʒə̃n̪ɾəl̪
अहमदाबाद	ɛɦməd̪äːbäːd̪
पत्ती	pət̪̚t̪iː
बिकवाल	bɪkwäːl̪
मँगनी	mə̃ŋɡn̪iː
लुग़त	l̪ʊɣət̪
दवाखाना	d̪əʋäːkʰäːn̪äː
मील	miːl̪
शिश्न	ʃɪʃn̪ᵊ
पालथी	päːl̪t̪ʰiː
अवशोषित	əʋʃoːʃɪt̪
प्रारम्भ	pɾäːɾə̃mbʱ
सूनू	s̪uːn̪uː
पर्याय	pəɾjäːj
बड़बड़ाना	bəɽbəɽäːn̪äː
रेख़्ता	ɾeːxt̪äː
बोना	boːn̪äː
गुज़रना	ɡʊzəɾn̪äː
लोबिया	l̪oːbijäː
तामील	t̪äːmiːl̪
ग़द्दार	ɣəd̪̚d̪äːɾ
फ़र्ज़न्द	pʰəɾd͡ʒə̃n̪d̪
न्यूज़ीलैण्ड	n̪juːziːl̪ɛ̃ːɳɖ
चाल	t͡ʃäːl̪
सम्बन्धी	s̪ə̃mbə̃n̪d̪ʱiː
कुशासन	kʊʃäːs̪ə̃n̪
पक्का	pək̚käː
जवार	d͡ʒəʋäːɾ
नरम	n̪əɾə̃m
रक़बा	ɾəqbäː
बनारस	bən̪äːɾəs̪
शहद	ʃɛɦɛd̪
उपरांत	ʊpɾä̃ːn̪t̪
फ़ेसबुक	pʰeːs̪bʊk
वितरण	ʋɪt̪ɾə̃ɳ
सूद	s̪uːd̪
ख़ाक	kʰäːk
असहमत	əs̪ɛɦmət̪
च्वॉइस	t͡ʃʋɔɪs̪
कार्डिफ़	käːɾɖɪpʰ
इग्ज़ाम	ɪɡzä̃ːm
श्यामदेश	ʃjä̃ːmd̪eːʃ
घबराना	ɡʱəbɾäːn̪äː
दिल्लीवाला	d̪ɪl̪l̪iːʋäːl̪äː
अनुपयोगी	ən̪ʊpjoːɡiː
भोगना	bʱoːɡn̪äː
पुण्य	pʊ̃ɳjᵊ
अड़तालीस	əɽt̪äːl̪iːs̪
अभिवादन	əbʱɪʋäːd̪ə̃n̪
सूंघना	s̪ũːŋɡʱn̪äː
तड़पना	t̪əɽəpn̪äː
क़तरा	kət̪ɾäː
मुखाभिगम	mʊkʰäːbʱɪɡə̃m
आपदा	äːpd̪äː
झूम	d͡ʒʱũːm
आसमानी	äːs̪mäːn̪iː
आदान	äːd̪ä̃ːn̪
तावीज़	t̪äːʋiːd͡ʒ
फाफड़ा	pʰäːpʰɽäː
तरीक़ा	t̪əɾiːkäː
वाष्प	ʋäːʃp
फ़रमान	fəɾmä̃ːn̪
होनेवाला	ɦoːn̪eːʋäːl̪äː
एतराज़	eːt̪ɾäːd͡ʒ
लपकना	l̪əpəkn̪äː
सहवास	s̪ɛɦʋäːs̪
असुरक्षित	əs̪ʊɾəkʃɪt̪
मुष्टि	mʊʃʈiː
फ़िलीपीन्स	fɪl̪iːpĩːn̪s̪
गुरुत्व	ɡʊɾʊt̪wə
फ़ॉलोअर	pʰɔl̪oːəɾ
लंगराई	l̪ə̃ŋɡɾäːiː
सफल	s̪əpʰəl̪
पिज़्ज़ा	pɪd̚d͡ʒäː
छटा	t͡ʃʰəʈäː
भूतकाल	bʱuːt̪käːl̪
मामू	mäːmuː
सूखना	s̪uːkʰn̪äː
शिक्षाशास्त्री	ʃɪkʃäːʃäːs̪t̪ɾiː
तुर्किस्तान	t̪ʊɾkɪs̪t̪ä̃ːn̪
जिताना	d͡ʒɪt̪äːn̪äː
मुक़द्दर	mʊqəd̪̚d̪əɾ
साख	s̪äːkʰ
परिवार	pəɾɪʋäːɾ
विकिरण	ʋɪkɪɾə̃ɳ
ललकारना	l̪əl̪käːɾn̪äː
निकम्मा	n̪ɪkə̃mmäː
कसम	kəs̪ə̃m
मौसमी	mɔːs̪miː
हराना	ɦəɾäːn̪äː
फ़लसफ़ा	pʰəl̪s̪əpʰäː
माँदा	mä̃ːn̪d̪äː
खाना	kʰäːn̪äː
अपाहिज	əpäːɦɪd͡ʒ
विद्वान	ʋɪd̪wä̃ːn̪
तरेरना	t̪əɾeːɾn̪äː
भाषण	bʱäːʃə̃ɳ
जूड़ा	d͡ʒuːɽäː
जूता	d͡ʒuːt̪äː
राजनैतिक	ɾäːd͡ʒn̪ɛːt̪ɪk
आक	äːk
बेक़ाबू	beːkäːbuː
उपस्थित	ʊpəs̪t̪ʰɪt̪
मिश्रधातु	mɪʃɾəd̪ʱäːt̪uː
धज्जी	d̪ʱəd̚d͡ʒiː
संबोधित	s̪ə̃mboːd̪ʱɪt̪
मराना	məɾäːn̪äː
निज़ामाबाद	n̪ɪd͡ʒäːmäːbäːd̪
ग़ुस्ल	ɣʊs̪l̪
घनत्व	ɡʱən̪ət̪wᵊ
नुमाइंदगी	n̪ʊmäːɪ̃d̪əɡiː
वाजिब	ʋäːd͡ʒɪb
उषा	ʊʃäː
मरना	məɾn̪äː
साहित्यिक	s̪äːɦɪt̪jɪk
कामक्रिया	käːməkɾijäː
फ़िरंगी	pʰɪɾə̃ŋɡiː
गर्भाशय	ɡəɾbʱäːʃəj
जनूब	d͡ʒən̪uːb
किराया	kɪɾäːjäː
गुमशुदा	ɡʊ̃mʃʊd̪äː
लिखनेवाली	l̪ɪkʰn̪eːʋäːl̪iː
दार	d̪äːɾ
ऊबना	uːbn̪äː
इंदु	ɪ̃n̪d̪uː
समर्थक	s̪əməɾt̪ʰək
ताई	t̪äːiː
आधुनिकतम	äːd̪ʱʊn̪ɪkt̪ə̃m
प्रांगार	pɾä̃ːŋɡäːɾ
काग़ज़ात	käːɣzäːt̪
अभिलाषा	əbʱɪl̪äːʃäː
कौवा	kə̯uʋäː
ऐसा	ɛːs̪äː
अल्फ़ाज़	əl̪fäːz
आशिक़मिज़ाज	äːʃɪkmɪd͡ʒäːd͡ʒ
जननी	d͡ʒə̃n̪n̪iː
फ़ालसा	pʰäːl̪s̪äː
कविता	kəʋɪt̪äː
अम्माँ	ə̃mmä̃ː
अल्बम	əl̪bə̃m
एसोसिएशन	eːs̪oːs̪ɪeːʃə̃n̪
चिथड़ा	t͡ʃɪt̪ʰɽäː
ऐतराज़	ɛːt̪ɾäːd͡ʒ
बालक	bäːl̪ək
मखीजा	məkʰiːd͡ʒäː
प्रशिक्षण	pɾəʃɪkʃə̃ɳ
नारीवाद	n̪äːɾiːʋäːd̪
अम्मी	ə̃mmiː
हँसली	ɦə̃s̪l̪iː
रचना	ɾət͡ʃn̪äː
गलना	ɡəl̪n̪äː
तरबूज़ा	t̪əɾbuːzäː
फ़ायदा	pʰäːjd̪äː
उच्छेदन	ʊt̚t͡ʃʰeːd̪ə̃n̪
पहुँचाना	pɔɦɔ̃n̪t͡ʃäːn̪äː
वायु	ʋäːjuː
लंगड़ा	l̪ə̃ŋɡɽäː
गठबंधन	ɡəʈʰbə̃n̪d̪ʱə̃n̪
गवाही	ɡəʋäːɦiː
लिखाई	l̪ɪkʰäːiː
अंतर्राष्ट्रीय	ə̃n̪t̪əɾɾäːʃʈɾiːjᵊ
कन्दरा	kə̃n̪d̪əɾäː
नैन	n̪ɛ̃ːn̪
जमाना	zəmäːn̪äː
भड़काना	bʱəɽkäːn̪äː
कन्नड़	kə̃n̪n̪əɽ
तड़का	t̪əɽkäː
ख़राब	xəɾäːb
आदिम	äːd̪ɪ̃m
अलक़तरा	əl̪kət̪ɾäː
माफ़िया	mäːfijäː
पन्ना	pə̃n̪n̪äː
इज़हार	ɪd͡ʒʱäːɾ
कँगनी	kə̃ŋɡn̪iː
कमीशन	kəmiːʃə̃n̪
इस्लाम	ɪs̪l̪ä̃ːm
तुम्हारा	t̪ʊ̃mɦäːɾäː
मुख्यालय	mʊkʰjäːl̪əj
ख़लासी	xəl̪äːs̪iː
ज़ीरा	ziːɾäː
गायकी	ɡäːjəkiː
पहनना	pɛɦɛ̃n̪n̪äː
मसीहा	məs̪iːɦäː
काका	käːkäː
असमान	əs̪mä̃ːn̪
राब्ता	ɾäːbt̪äː
कैलकुलेटर	kɛːl̪kʊl̪eːʈəɾ
वेंटिलेटर	ʋẽːɳʈɪl̪eːʈəɾ
क्षयरोग	kʃəjɾoːɡ
गाली	ɡäːl̪iː
कट्टर	kəʈ̚ʈəɾ
पूर्वानुमान	puːɾʋäːn̪ʊmä̃ːn̪
ऐतिहासिक	ɛːt̪ɪɦäːs̪ɪk
दंश	d̪ə̃n̪ʃ
आँसू	ä̃ːs̪uː
कैंसर	kæ̃n̪s̪əɾ
खाता	kʰäːt̪äː
मुहतरम	mɔɦɔt̪ɾə̃m
फ़ारिग़	fäːɾɪɣ
ख़ुफ़िया	kʰʊpʰijäː
छात्रवृत्ति	t͡ʃʰäːt̪ɾəʋɾɪt̪̚t̪iː
समीकरण	s̪əmiːkəɾə̃ɳ
सलामी	s̪əl̪äːmiː
कंप्यूटर	kə̃mpjuːʈəɾ
जानवर	d͡ʒä̃ːn̪wəɾ
मक्खनफल	mək̚kʰə̃n̪pʰəl̪
आगाही	äːɡäːɦiː
चोदना	t͡ʃoːd̪̚n̪äː
पार्क	päːɾk
शाब्दिक	ʃäːbd̪ɪk
फफकना	pʰəpʰəkn̪äː
अंगूर	ə̃ŋɡuːɾ
न्यायिक	n̪jäːjɪk
आजीवन	äːd͡ʒiːʋə̃n̪
तलना	t̪əl̪n̪äː
माटी	mäːʈiː
ख़ुदावंद	kʰʊd̪äːʋə̃n̪d̪
बृहस्पति	bɾɪɦəs̪pət̪iː
जेद्दा	d͡ʒeːd̪̚d̪äː
परिवर्तन	pəɾɪʋəɾt̪ə̃n̪
अलक़तरा	əl̪qət̪ɾäː
बंदगी	bə̃n̪d̪əɡiː
स्वेदन	s̪ʋeːd̪ə̃n̪
शहमात	ʃɛɦmäːt̪
मौलवी	mɔːl̪ʋiː
वायुजनित	ʋäːjʊd͡ʒən̪ɪt̪
सनसनी	s̪ə̃n̪s̪ən̪iː
सताना	s̪ət̪äːn̪äː
मिसाल	mɪs̪äːl̪
अभिनंदन	əbʱɪn̪ə̃n̪d̪ə̃n̪
जज़ा	d͡ʒəzäː
नींव	n̪ĩːmw
गुम	ɡʊ̃m
ख़ालिस्तान	xäːl̪ɪs̪t̪ä̃ːn̪
ज्ञानमीमांसा	ɡjä̃ːn̪miːmä̃ːn̪s̪äː
भीषण	bʱiːʃə̃ɳ
साहसी	s̪äːɦs̪iː
खयालें	xəjäːl̪ẽː
दुर्भाग्यवश	d̪ʊɾbʱäːɡjəʋəʃ
एहतजाज	eːɦt̪əd͡ʒäːd͡ʒ
आश्रम	äːʃɾə̃m
प्याज	pjäːz
ज़ोरदार	d͡ʒoːɾd̪äːɾ
हंगरी	ɦə̃ŋɡɾiː
चक्रवृद्धि	t͡ʃəkɾəʋɾɪd̪̚d̪ʱiː
चिरस्थायी	t͡ʃɪɾs̪t̪ʰäːjiː
मेहनत	mɛɦn̪ət̪
पैग़ाम	pɛːɣä̃ːm
नचाना	n̪ət͡ʃäːn̪äː
हलवा	ɦəl̪ʋäː
बाज़	bäːd͡ʒ
क़ातिल	käːt̪ɪl̪
ज़रिया	zəɾijäː
ब्रैंपटन	bɾɛ̃ːmpʈə̃n̪
पादप	päːd̪əp
वफ़ादार	ʋəpʰäːd̪äːɾ
पार्थिव	päːɾt̪ʰɪʋ
कल	kəl̪
यथा	jət̪ʰäː
इसबगोल	ɪs̪bəɣoːl̪
उजड़ना	ʊd͡ʒəɽn̪äː
हालिया	ɦäːl̪ijäː
शतावर	ʃət̪äːʋəɾ
प्रवक्ता	pɾəʋəkt̪äː
अमानवीय	əmäːn̪əʋiːjᵊ
परगना	pəɾɡən̪äː
इमदाद	ɪ̃md̪äːd̪
नमस्कार	n̪əməs̪käːɾ
चलना	t͡ʃəl̪n̪äː
कसाई	kəs̪äːiː
चौकीदार	t͡ʃɔːkiːd̪äːɾ
स्क्रीनिंग	s̪kɾiːn̪ɪ̃ŋɡ
हिस्सा	ɦɪs̪s̪äː
जुर्माना	d͡ʒʊɾmäːn̪äː
आइस्ड	äːɪs̪ɖ
तीरंदाज़	t̪iːɾə̃n̪d̪äːd͡ʒ
अज़ान	əd͡ʒä̃ːn̪
अंकन	ə̃ŋkə̃n̪
दफ़ा	d̪əpʰäː
छाप	t͡ʃʰäːp
शिशुशाला	ʃɪʃʊʃäːl̪äː
तल्ख़ी	t̪əl̪kʰiː
फ़ासला	fäːs̪l̪äː
औज़ार	ɔːd͡ʒäːɾ
स्मेरता	s̪meːɾt̪äː
भागी	bʱäːɡiː
युगल	jʊɡəl̪
मास्को	mäːs̪koː
अम्ल	ə̃ml̪ᵊ
प्रस्ताव	pɾəs̪t̪äːʋ
अंतर्गत	ə̃n̪t̪əɾɡət̪
इसलिए	ɪs̪l̪ɪeː
हवेली	ɦəʋeːl̪iː
सुलभ	s̪ʊl̪əbʱ
साँवला	s̪ä̃ːʋl̪äː
जाम	d͡ʒä̃ːm
भगवाकरण	bʱəɡʋäːkəɾə̃ɳ
कम्बल	kə̃mbəl̪
मनस्वी	mən̪əs̪ʋiː
अंदाज	ə̃n̪d̪äːd͡ʒ
सट्टा	s̪əʈ̚ʈäː
पीनस	piːn̪əs̪
अफसर	əfs̪əɾ
सिफ़ारिश	s̪ɪpʰäːɾɪʃ
वरियाली	ʋəɾijäːl̪iː
ओझा	oːd͡ʒʱäː
अनुस्वार	ən̪ʊs̪ʋäːɾ
चंद्रगुप्त	t͡ʃə̃n̪d̪ɾəɡʊpt̪
उंडुकपुच्छ	ʊ̃ɳɖʊkpʊt̚t͡ʃʰ
ससुर	s̪əs̪ʊɾ
ज़हर	zɛɦɛɾ
मिटना	mɪʈn̪äː
तारीख़	t̪äːɾiːx
कोरियन	koːɾijə̃n̪
सफ़ाई	s̪əfäːiː
