гъогурыгъуазэ	ʁʷaɡʷrəʁʷaːza
хьэшъобыдз	ħaʂʷabəd͡z
псыхъурай	psəχʷəraːj
егъэхьын	jaʁaħən
тыжьыны	təʑən
шу	ʃəw
зэзэгъын	zazaʁən
мэхын	maxən
угьын	wəɡʲən
зыфэгъэсакъын	zəfaʁasaːqən
егьапӏэ	jaɡʲaːpʼa
ридзын	rəjd͡ʒən
еугъоин	jawəʁʷajən
хьацэгъуй	ħaːt͡saʁʷəj
шытепхъо	ʃətajpχʷa
адыгэхэ	aːdəɣaxa
дзэ	d͡za
шъагъэ	ʂaːʁa
дэхьэгъу	daħaːʁʷa
лъэкӏапӏэ	ɬat͡ʃaːpʼ
лъэхъуамбэ	ɬaχʷaːmba
ӏофшӏакӏэ	ʔʷafʃʼaːt͡ʃʼa
гъэцэкӏэжьын	ʁat͡sat͡ʃaʑən
мэджэгун	mad͡ʒaɡʷən
хъупцӏын	χʷəpt͡sʼən
оды	wadə
мыхъомышӏ	məχʷaməʃʼ
хэгъозэн	xaʁʷazan
блашъо	blaːʂʷa
чӏырыгъыс	t͡ʃʼərəʁəs
зэкӏэхьажьын	zat͡ʃʼaħaːʑən
ӏофшӏэгъу	ʔʷafʃʼaʁʷ
ушыхьатын	wəʃəħaːtən
укӏорэин	wkʷʼarajən
ӏохъун	ʔʷaχʷən
гъэпщынэн	ʁapɕənan
тхьауегъэпсэу	tħaːwajʁapsaw
тхьэчэт	tħat͡ʃat
щамсый	ɕaːmsəj
къухьэуцупӏэ	qʷəħawt͡sʷəpʼa
пхъэныӏу	pχanəʔʷ
щынагъо	ɕənaʁʷa
щэчанэ	ɕat͡ʃaːna
ӏотэн	ʔʷatan
жьыкъэщэуз	ʑəqaɕawz
псыӏушъо	psəʔʷəʃʷa
блэпцэжъый	blapt͡ʃaʐəj
гъунэ	ʁʷəna
тгъосэнэхьпэ	tʁʷasanaħpa
хэпкӏэн	xapt͡ʃan
ахэр	aːxar
жъышъхьэмыгъу	ʐəʂħamaəʁʷ
блэнагъ	blanaːʁ
щысэхъукӏын	ɕəsaχʷət͡ʃʼən
дэкӏоцэн	dakʷʼat͡san
жэхэпкӏэн	ʒaxapkʲan
гупсэн	ɡʷəpsan
ӏэмэпсымэ	ʔamapsəma
пэгъуанэ	paʁʷaːna
гуеӏун	ɡʷjaʔʷən
тенэцӏэхьын	tajnat͡sʼaħən
хыор	xəwar
хьэдрыхэ	ħadrəxa
хэӏун	xaʔʷən
накӏэ	naːt͡ʃʼa
фэдэн	fadan
тэгъэфэн	taʁafan
нафэ	naːfa
кӏэлэеджакӏо	t͡ʃʼaɮajad͡ʒaːkʷʼa
ӏелъын	ʔajɬən
лы	lə
нэбзый	nabzəj
фэгъэсэн	faʁasan
гъэлэжьэн	ʁalaʑan
къэхьыпэ	qaħəpa
гъолъыпӏэ	ʁʷaɬəpʼa
шъугъон	ʃʷʁʷan
амылкъан	aːməlqaːn
дещыен	dajɕəjan
кӏэрыкӏэу	t͡ʃʼarət͡ʃʼaw
еузэнкӏын	jawzant͡ʃən
къурбэкъый	qʷərbaqəj
ӏэкӏэгъэхьан	ʔət͡ʃʼaħaːn
джэущтэу	d͡ʒawɕtaw
псыӏыгъыпӏэ	psəʔəʁəpʼa
гъоз	ʁʷaz
бакъмэр	baːqmar
гурихьэн	ɡʷərəjħən
бжьыныфыкӏ	bʑənəfəkʲʼ
тэгьын	taɡʲən
бзытэн	bzətan
гъэгожъын	ʁaɡʷaʐən
мэхапӏэ	maxaːpʼa
гъунд	ʁʷənd
манэ	maːna
ечэнджэшын	jat͡ʃand͡ʒaʃən
дэж	daʒ
жэдэкон	ʒadakʷan
пхэндж	pxand͡ʒ
ешъугъун	jaʃʷʁʷən
лъыхъожьын	ɬəχʷaʑən
сэкъат	saqaːt
къуанчӏэ	qʷaːnt͡ʃa
шъхьэукъэн	ʂħawqan
басмэ	baːsma
дао	daːwa
хъырбыдз	χərbəd͡ʒ
лантӏэ	laːntʼa
гъэцӏэтхын	ʁat͡sʼatxən
гъэцӏыон	ʁat͡sʼəwan
зешъокӏыжьын	zajʃʷat͡ʃʼəʑən
ӏугъуашъо	ʔʷəʁʷaʃʷa
хьанцэ	ħant͡sa
быратӏ	bəraːtʼ
унэӏут	wənaʔʷət
жъоркъ	ʐʷarq
джыхашъо	d͡ʒəxaːʃʷa
зегъэхьын	zajʁaħən
гъэтэрэзын	ʁatarazən
гъэзалъэ	ʁazaːɬa
алэдышъ	aːladəʂ
шъухъогъон	ʃʷəχʷaʁʷan
къарыу	qaːrəw
зегъэшъукӏын	zajʁaʃʷət͡ʃʼən
хъагъэ	χaːʁa
дэхьапӏэ	daħaːpʼa
ныӏэп	nəʔap
джадэ	d͡ʒaːda
гъэсэкӏэн	ʁasat͡ʃʼan
уцэкун	wət͡sakʷən
пкъыгъуацӏэ	pqəʁʷaːt͡sʼ
бгынэжьыгъэ	bɣənaʑəʁa
гъэшъыпкъэжьын	ʁaʂəpqaʑən
зэблэкьын	blapkʲən
пэрыохъу	parəwaχʷ
махъсымэ	maːχsəma
лӏэгъуаб	ɬʼaʁʷaːb
сэ	sa
кӏошын	kʷʼaʃən
ехъопсэн	jaχʷapsan
бэнанэ	banaːna
зыфэгъэгусэн	zəfaʁaɡʷəsan
цохъон	t͡sʷaχʷan
деокӏын	dajwat͡ʃən
папцӏэ	paːpt͡sʼa
мэзпчэн	mazpt͡ʃan
дэгъэбылъхьан	daʁabəɬħan
хьэлэгъу	ħalaw
тын	tən
декъузэн	dajqʷəzan
гъэӏортӏэн	ʁaʔʷartʼan
щыщэн	ɕəɕan
дыйрылъ	dəjarəɬ
кӏашъо	t͡ʃʼaːʃʷa
гъэсмэджэн	ʁasmad͡ʒan
игъэкъугъэ	jəʁaqʷəʁa
тегубжыхьан	tajɡʷəbʒəħaːn
кӏэегъулъын	t͡ʃʼajaʁʷəɬən
нэзы	nazə
кӏэлъыон	t͡ʃʼaɬəwən
псынкӏагъэ	psət͡ʃʼaːʁa
бэгу	baɡʷ
упхъон	wəpχʷan
хэплъэн	xapɬan
мэкъэкъащ	maqaqaːɕ
купкӏ	kʷəpt͡ʃʼ
къутыр	qʷətər
жае	ʒaːja
гъургьэ	ʁʷərɡʲa
жъуаф	ʐʷaːf
джыхэпкӏьэн	d͡ʒəxapkʲʼan
цызэ	t͡səza
мышъэ	məʂa
адэ	aːda
зэтэухьэлэн	zatawħalan
укӏьытапх	wkʲʼətaːpx
тхьэгуащэ	tħaɡʷaːɕa
кӏапсэрыкӏо	t͡ʃʼaːpsarəkʷʼa
хьацэ	ħaːt͡sa
гъун	ʁʷən
кӏыӏу	t͡ʃʼəʔʷ
гъэупэпцӏын	ʁawpapt͡sʼən
гущыӏэгъу	ɡʷəɕəʔaʁʷ
жьаушӏ	ʑaːwʃʼ
щыгъэн	ɕəʁan
сае	saːja
блэнэуц	blanawt͡s
ыкӏи	ət͡ʃʼəj
щкъэн	ɕqan
бэнэн	banan
зыцый	zət͡səj
жэхэбэнэн	ʒaxabanən
пщылӏыгъо	pɕəɬʼəʁʷa
бжыб	bʒəb
лъэкъуапцӏ	ɬaqʷaːpt͡sʼ
мэшӏухъогъон	maʃʷʼəχʷəʁʷan
чэтыу	t͡ʃatəw
мэу	maw
мэсӏэсӏэн	masʼasʼan
кӏакӏы	kʲaːt͡ʃə
нэбгыр	nabɣər
нэӏурыхъу	naʔʷərəχʷ
уз	wəz
гукӏэгъу	ɡʷət͡ʃʼaʁʷ
пӏэркӏьын	pʼankʲʼəm
зэдзэкӏын	zad͡zat͡ʃən
бэдзэгъалӏэ	bad͡zaʁaːɬʼa
гупсэфыпӏ	ɡʷəpsafəpʼ
дагъо	daːʁʷa
мэзкьэт	mazkʲat
пылэлын	pəɮaɮən
зэпэкӏэкӏын	zapat͡ʃʼat͡ʃʼən
пшъэ	pʂa
щыуан	ɕəwaːn
бгъэкӏэс	bʁat͡ʃas
шъэжъые	ʂaʐəja
шъоуалъэ	ʃʷawaːɬa
чӏэхьапкӏэ	t͡ʃʼaħaːpt͡ʃa
бжъакъэ	bʐaːqa
гъуанэ	ʁʷaːna
зэӏупхъон	zaʔʷəpχʷan
шъхьанд	ʂħaːnd
нэшанэ	naʃaːn
былымахъу	bələmaːχʷ
лӏэужыгъо	ɬʼawʒəʁʷa
баигъ	baːjəʁ
гъэлыджын	ʁaləd͡ʒən
лъэбыӏу	ɬabəʔʷ
егъэжьэн	jaʁaʑan
пачъыхь	paːtʂəħ
зэӏыхьан	zaʔaħan
гонэхь	ɡʷanaħ
тӏэтӏэй	tʼatʼaj
блехын	blajxən
къапщыкъ	qaːpɕəq
зэӏэгъэхьэн	zaʔaʁaħan
жьын	ʑən
щытапхэ	ɕtaːpxa
джэрыон	d͡ʒarəwan
зэпачъэ	zapaːt͡ʂa
чэщтеу	t͡ʃaɕtajw
гъэгумэкӏын	ʁaɡʷəmat͡ʃən
енэпэон	napawan
лъапӏэ	ɬaːpʼa
ӏуашъхьэ	ʔʷaːʂħa
машӏо	maːʃʷʼa
ныбжьыкӏэ	nəbʑət͡ʃʼa
тхьаусхэн	tħaːwəsxan
зэкӏэхьан	zat͡ʂaħan
осы	wasə
зегъэун	jaʁawən
хьакӏэ	ħaːt͡ʃa
назэ	naːza
уц	wət͡s
мэз	maz
къэбэртай	qabartaːj
ӏэпхъотэн	ʔapχʷatan
нэгъэцӏыу	naʁat͡sʼəw
къуае	qʷaːja
жын	ʒən
зыӏэгъэхьан	zaʔaʁaħaːn
пцӏанэ	pt͡sʼaːna
зэндалэ	zandaːla
зышӏошӏужьын	zəʃʷʼəʃʷʼaʑən
дэ	da
анахь	aːnaːħ
ӏэкӏэхьан	ʔət͡ʃʼaħaːn
фылым	fələm
деукъон	dajqʷan
гукъэкӏыжьын	ɡʷəqat͡ʃʼəʑən
шӏуежьэжьын	ʃʷʼajʑaʑən
зэутэкӏын	zawtat͡ʃən
лӏэуж	ɬʼawəʒ
къуй	qʷəj
етӏапцӏэ	jatʼaːpt͡sʼa
тхъэжьын	tχaʑən
ахъщэдэфый	aːχʃadafəj
зэпедзын	zapajd͡zən
шъуапӏэ	ʃʷʼaːpʼa
джыхьынэм	d͡ʒəħənam
къарыунчъэ	qaːrəwənt͡ʂ
тӏысыпӏэ	tʼəsəpʼa
тегъэун	tajʁawən
пцантхьэ	pt͡saːntħa
зэхъокӏьын	zaχʷakʲʼən
пыкӏын	pət͡ʃʼən
къужъы	qʷəʐə
апкӏмыжъ	aːpkʲməʐʷ
лӏэкъуацӏэ	ɬʼaqʷaːt͡sʼa
нэкӏышъо	nakʼəʃʷa
жьыгъо	ʑəʁʷa
еутын	jawtən
хэгъуашъхьэ	xaʁʷaːʂħa
дэгъу	daʁʷə
гъэуцун	ʁawət͡ʃʷən
пэгъокӏын	paʁʷat͡ʃən
чӏыбзу	t͡ʃəbzəw
ӏупэ	ʔʷəpa
кӏуадж	kʷʼaːd͡ʒ
хьэдэпчэмыӏу	ħadapt͡ʃaməʔʷ
псыкъефэх	psəqajfax
лъфэн	ɬfan
мэзэкӏон	zakʷʼan
егъэолӏэн	jaʁawaɬʼan
джэфы	d͡ʒafə
чыжьэ	t͡ʃəʑa
нэкӏэон	nat͡ʃʼawan
нэцӏэкӏ	nat͡sʼat͡ʃʼ
прэзэн	prazan
гуигъэун	ɡʷəjʁawən
дыу	dəw
гугъэн	ɡʷəʁan
тӏуанэ	tʷʼaːna
шъомпӏэжъ	ʃʷampʼaʐ
шъыд	ʂəd
пцӏын	pt͡sʼən
жъанч	ʐaːnt͡ʃ
еджэн	jad͡ʒan
хэгъэдэн	xaʁadan
цӏыкӏужъый	t͡sʼəkʷʼəʐəj
шӏошӏухъуныгъэ	ʃʷʼaʃʷʼχʷənʁa
делъэшъоен	dajɬaʂʷajan
ӏэкощ	ʔakʷʼaɕ
бэрбэр	barbar
щылэмаз	ɕəlamaːz
мэчъэн	mat͡ʂan
бзэшэн	bzaʃan
бэхьал	baħaːl
куп	kʷəp
щысыпӏэ	ɕəsəpʼa
кушъхьэфачъэ	kʷəʂħafaːt͡ʂa
ипэгъум	jəpaʁʷəm
лэгъуп	laʁʷəp
нэкӏап	nat͡ʃʼaːp
зэхэфэн	zaxafan
щы	ɕə
фегъэпэн	fajʁapan
коны	kʷanə
кӏакӏы	t͡ʃaːt͡ʃə
гъэпщтын	ʁapɕtən
епӏэстхъын	japʼastχən
бзэджэн	bzad͡ʒan
тфы	tfə
лъыхъуакӏо	ɬəχʷaːkʷʼa
гъэцэкӏэжьыпӏэ	ʁat͡sət͡ʃaʑəpʼa
зэӏунэн	zaʔʷənan
хъупхъэ	χʷəpχa
псэ	psa
лъэрымыхь	ɬarəməħ
нахь	naːħ
лэлэн	lalan
лъэгуанджэ	ɬaɡʷaːnd͡ʒa
теутхын	tajawətxən
жъогъокӏэкӏахь	ʐʷaʁʷat͡ʃat͡ʃaːħ
еджэжьын	d͡ʒaʑən
лъэшъун	ɬaʃʷən
лъэгонджэмышъхьэ	ɬaɡʷand͡ʒaməʂħa
ягъэ	jaːʁa
ошэкур	waʃakʷər
бгырыпх	bɣərəpx
зэгощын	zaɡʷaɕən
тӏокӏэжъ	tʷʼat͡ʃʼaʐ
лъэшыдж	ɬaʃəd͡ʒ
тхъу	tχʷə
шыукӏытэн	ʃəwt͡ʃʼətan
хэгущыӏэхьан	xaɡʷəɕəʔaħaːn
зыӏэкӏэубытэн	zəʔat͡ʃʼawbətan
щэджэгъоуж	ɕad͡ʒaʁʷawʒ
хьадэгъу	ħaːdaʁʷ
тхьагъэпцӏ	tħaːʁapt͡sʼ
шъыхьэ	ʂəħa
лъэш	ɬaʃ
цуакъэ	t͡sʷaːqa
тхыцэ	txət͡ʃa
амэ	aːma
зыпэшӏыжьын	zəpaʃʼəʑən
бадзэпсэ	baːd͡zapsa
къудыин	qʷədəjən
хьэуцхьэш	ħawt͡sħaʃ
мэшӏуащэ	maʃʷʼaːɕa
хэкӏы	xat͡ʃʼə
гумыӏан	ɡʷəməʔaːn
мэлылъфэгъумаз	maləɬfaʁʷəmaːz
хэхьан	xaħaːn
гъэӏэсэн	ʁaʔasan
къоӏус	qʷaʔʷəs
бэрэкъащ	baraqaːɕ
модэ	mawda
иджы	jəd͡ʒə
щэкӏы	ɕat͡ʃə
гъэжъон	ʁaʒʷan
фэгъэпсын	faʁapsən
шӏусӏэ	ʃʷʼəsʼa
багьэ	baːɡʲa
шъынэ	ʂəna
зэшӏожьын	zaʃʷʼəʑən
бэджэндэутын	baʒandawtən
дэгъэбылъхьэн	daʁabəɬħan
къэун	qawən
гузэжъогъу	ɡʷəzaʒʷaʁʷ
кӏуачӏэ	kʷʼaːt͡ʃʼa
гъэпӏэркӏьын	ʁapʼarkʲən
дэхьыхын	daħəxən
гъэунэшкӏун	ʁawnaʃkʷʼən
нэчыхьытх	nat͡ʃəħətx
зэгъэшӏэн	zaʁaʃʼan
уджэгъун	wəd͡ʒaʁʷən
зупсын	zəwəpsən
къэкӏохьын	qakʷʼaħən
оркъ	warq
кощын	kʷaɕən
тыны	tənə
шъузабэ	ʃʷəzaːba
псӏанэ	psʼaːna
деузэнкӏын	dajwzant͡ʃən
гырзын	ɣərzən
лъэкъопцӏанэ	ɬaqʷapt͡sʼaːna
нарт	naːrt
шъодэны	ʃʷadənə
хьалэмэт	ħaːlamat
хъокӏыгъ	χʷat͡ʃʼəʁ
утэбжьэн	wətabʑan
бзакӏо	bzaːkʷʼa
щызэу	ɕəzaw
псынкӏэ	psənt͡ʃʼa
ебгъэн	jabʁan
лӏыгъэ	ɬʼəʁa
шъэогъу	ʂawaʁʷ
цумпэ	t͡ʃʷəmpa
мэпцӏын	mapt͡sʼən
пцыкъу	pt͡səqʷ
ибэ	jəba
цагэ	t͡saːɣa
тӏэкӏунитӏэ	tʼakʷʼəjntʼa
ӏофыгъу	ʔʷafəʁʷ
къаигъэ	qaːjəʁa
къэжьын	qaʑən
чэн	t͡ʃan
лӏэгъу	ɬʼaʁʷ
гъэпсэн	ʁʷatən
сэхын	saxən
кущэрэхъ	kʷəɕaraχ
шъорышӏ	ʃʷarəʃʼ
мафэ	maːfa
зифэпэжьыгъ	zəjfapaʑəʁ
бзудэгу	bzəwdaɡʷ
ебзэин	jabzajən
адэбз	aːdabz
гъэчэн	ʁat͡ʃan
хэкӏон	xakʷʼan
бырсыр	bərsər
абэуйэй	abawjaj
цэ	t͡sa
жэпхъэмыбгъу	ʒapχaməbʁʷ
пхъацӏэ	pχaːt͡sa
цужъ	t͡sʷəʐ
кӏыфы	t͡ʃʼəfə
шэнтэ	ʃanta
тхьэлъэӏупӏэ	tħaɬaʔʷəpʼa
зэгогъэкӏын	zaɡʷaʁat͡ʃʼən
чэмышъо	t͡ʃaməʃʷa
дэгъэбыбэен	daʁabəbajan
зэпыгъэун	zapəʁawən
дыуэр	dəwar
тӏурытӏу	tʷʼərətʷʼ
къуащэу	qʷaːɕaw
бзэгохь	bzaɡʷaħ
техьагъу	tajħaːʁʷ
ӏалы	ʔaːɮə
благъэ	blaːʁa
тепхэ	tajpxa
кӏьэлъыун	kʲʼaɬəwən
бжьэгъалӏэ	bʑaʁaːɬʼa
санэ	saːna
къэнэн	qanan
зыӏыгъэхьан	zaʔaʁaħaːn
жэгъуулал	ʒaʁʷəwlaːl
чынасыу	t͡ʃənaːsəw
жъутхэн	maʒʷətxan
мэкӏыин	mat͡ʃʼəjən
пӏэстхъэн	pʼastχan
гузэжъон	ɡʷəzaʒʷan
абрадж	aːbraːd͡ʒ
жъугъ	ʐʷəʁ
мышкӏу	məʃkʷ
кӏэлъэӏун	t͡ʃʼaɬaʔʷən
чый	t͡ʃəj
мыжъокӏашъхъ	məʐʷakʲaːʂχ
гоон	ɡʷawan
шӏэныгъэ	ʃʼanəʁa
лъэтэн	ɬatan
жалэ	ʒaːla
бзыукъолэн	bzəwqʷalan
яжьашъу	jaːʑaːʂʷ
дэгъэнэн	daʁanan
кӏолӏэн	jakʷʼaɬʼan
егъуин	jaʁʷəjən
пшъэдэкӏыжь	pʂadat͡ʃəʑ
еон	jawan
зыгъэшхэкӏын	zəʁaʃxat͡ʃʼən
мэпщэн	mapɕan
ӏэнатӏэ	ʔanaːtʼa
быдзталхьэ	bəd͡ztaːlħa
сыдэущтэу	sədawɕtəw
гъэтӏылъын	ʁatʼəɬən
пыпсыкӏын	pəpsət͡ʃʼən
коил	kʷajəl
хьасэ	ħaːsa
хьэгъошӏыгъу	ħaʁʷaʃʼəʁʷ
бырсырын	bərsərən
теуцӏэлэн	tawt͡sʼalan
хьэб	ħab
етӏэхъун	jatʼaχʷən
алырэгъушӏ	aːləraʁʷʃʼ
шӏугуащэ	ʂʷəɡʷaːɕa
лъэн	ɬan
апкь	aːpkʲ
пӏонкӏын	pʷʼant͡ʃʼəm
тыгъоснахьыпэ	təʁʷasnaːħəp
чӏыр	t͡ʃʼər
апч	aːpt͡ʃ
пызын	pəzən
ехьагъушъугъун	jaħaːʁʷəʃʷəʁʷən
тӏокӏы	tʷʼat͡ʃə
пхъуант	pχʷaːnt
нэз	nazə
тӏэтэн	tʼatan
зэребылэу	zarajbəɮaw
бынынчъэ	bənənt͡ʃa
шъхьэгъусэ	ʂħaʁʷəsa
джантый	d͡ʒaːntəj
хэдзын	xad͡zən
ныожъ	nəwaʐ
нэбгы	nabɣə
гъофы	ʁʷafə
хъонал	χʷanaːɮ
къычӏэщын	qət͡ʂʼaɕən
гыкӏэн	ɣət͡ʃʼan
пӏэшъхьагъ	pʼaʂħaːʁ
гъуаплъэ	ʁʷaːpɬa
цӏуцӏэ	ʃʷʼəsʼa
быбэтэн	bəbatan
шъутыпашъо	ʃʷətəpaːʃʷa
улэун	wɮawən
игъу	jəʁʷa
дэӏон	daʔʷan
егъанэ	jaʁaːna
нэбзыц	nabzət͡s
гушӏуапкӏэ	ɡʷəʃʷʼapt͡ʃʼa
пскэн	pskan
къохьапӏэ	qʷaħaːpʼ
апшъышъ	ʔaːpʂəʂ
щыгъущ	ɕəʁʷəɕ
шыпхъу	ʃəpχʷ
нэпэшъоон	napaʃʷawan
пхъэшъхьэмышъхьэхэр	pχaʂħaməʂħaxar
жъэжъэн	ʐaʐam
зыфэгъэсэн	zəfaʁasan
тхъо	tχʷa
гущыӏэн	maɡʷɕəʔan
ӏухын	ʔʷəxən
сӏакӏьэ	sʼaːkʲʼa
тхьапэ	tħaːpa
хъучӏанэ	χʷət͡ʃaːna
бжъалъ	bʐaːɬ
мэлыл	maləl
хьацэпӏацэ	ħaːt͡sapʼaːt͡sa
зышӏоу	zəʃʷʼəw
шӏокӏын	ʃʷʼat͡ʃʼən
ныо	nəwa
бгъагъэ	bʁaːʁa
лъэпкъэгъу	ɬapq
бысылмэн	bəsəlman
пщынэ	pɕəna
гъэжьэн	jaʁaʑan
шыр	ʃər
фэкъолӏ	faqʷaɬʼ
гупшысэн	ɡʷəpʃəsan
джэдыгу	d͡ʒadəɡʷ
мэлӏэн	maɬʼan
атэш	ʔaːtaʃ
рсысын	səsən
тэкӏу	takʷʼ
дыухьэ	dəwħa
гыен	ɣəjan
езбэрэу	jazbaraw
хэпыгьэн	xapəɡʲan
тхьэмафэ	tħamaːfa
мэгънэнэн	maʁnanan
зэтӏэхъун	zatʼaχʷən
шъуты	ʃʷətə
зэщыгъо	zaɕəʁʷa
пӏырагу	pʼəraːɡʷ
кӏапэ	t͡ʃaːpa
дый	dəj
блэгъагъ	blaʁaːʁ
лъэуж	ɬawəʒ
къушъхьэ	qʷəʂħa
шъхьэкъуй	ʂħaqʷəj
шэчалъ	ʃat͡ʃaːɬ
зэшӏокӏын	zaʃʷʼat͡ʃʼən
корэныгу	kʷaranəɡʷ
нэгушъоутын	naɡʷəʃʷawtən
щыфэн	ɕəfan
япхъурэлъф	aːpχʷəraɬf
жьыкъэщэн	ʑəqaɕan
пыскӏьэн	pəskʲan
лэжьэн	laʑan
арми	aːma
къэгъуен	qaʁʷajən
цау	t͡saːw
акъылыгъу	aːqələʁʷ
жьыф	ʑəf
ахъчэнэпцӏ	aːχt͡ʃanapt͡sʼ
чызмэ	t͡ʃəzma
малхъо	maːlχʷa
мэщынэн	maɕənan
фэбзэджэн	fabzad͡ʒan
лъэхэнэн	ɬaxanan
плӏэмый	pɬʼaməj
нэмкӏ	namt͡ʃʼ
пцыкъо	pt͡səqʷa
лӏакъо	ɬʼaːqʷa
шэрсэн	ʃarsan
дефыен	dajfəjan
шъхьарыхъон	ʂəħaːrəχʷan
блашхъо	blaːʃχʷa
бэрэчэт	barakat
лӏапӏэ	ɬʼaːpʼa
ечъэжьэн	jat͡ʂaʑan
лъэсы	ɬasə
къэц	qat͡s
апшъэр	aːpʂar
лъэшы	ɬaʃə
хъэрен	χarajn
еджапӏэ	jad͡ʒaːpʼa
гъэрекӏопагъэ	ʁarakʷʼapaːʁa
жъоплъ	ʐʷapɬ
губж	ɡʷəbʒ
дехьыен	dajħəjan
щэкьын	ɕakʲən
блы	bɮə
ӏэбыцу	ʔabət͡sʷ
щыды	ɕədə
нэӏу	naʔʷ
зыуӏэшын	zəwʔaʃən
ныкъолӏагъэ	nəqʷaɬʼaːʁa
гушӏуагъо	ɡʷəʃʷʼaːʁʷa
чӏэлъэтыкӏьын	t͡ʃʼaɬatəkʲən
дае	daːja
нэпчэдыжьы	napt͡ʃadəʑə
бзыхьан	bzəħaːn
орэдыӏон	waradəʔʷan
блэбгъуп	blabʁʷəp
упчӏэ	wəpt͡ʃʼa
жьыхьарз	ʑəħaːrz
епщэн	jpɕan
псӏын	psʼən
блыгучӏад	bləɡʷt͡ʃʼaːd
хьалыгъущапӏэ	ħaːləʁʷɕaːpʼa
сымэджэдэй	səmad͡ʒadaj
бгъуанэ	bʁʷaːna
агъунэр	aːʁʷənar
купэ	kʷəpa
гъы	ʁə
хэкӏьын	xakʲʼən
ешӏэн	jaʃʼan
зэтэлъхьэн	zataɬħan
хъохъ	χʷaχʷ
шӏоигъон	ʃʷajəʁʷan
къэбаскъэ	qabaːsqa
джэгъогъун	d͡ʒaʁʷəɡʷən
къумбыл	qʷəmbəɮ
быбэ	bəba
джэнапхъэ	d͡ʒanaːpχa
псынкӏэн	psənt͡ʃʼan
зэгъэпэшын	zaʔapaʃən
хэгъэгу	xaʁaɡʷ
зэхэгъэшъухъон	zaxaʁaʃʷəχʷan
ныбэрый	nəbarəj
дестэгъу	dajstaʁʷ
апкӏхалъхь	aːpt͡ʃxaːɬħ
шъэн	ʂan
ахъщэзэблэхъущ	aːχʃazablaχʷən
кӏошъэн	kʷʼaʂan
мусэ	məwsa
кукунэгъэплъ	kʷəkʷnaʁapɬ
кӏэупкӏэн	t͡ʃʼawpt͡ʃʼan
мыскъар	məsqaːr
чап	t͡ʃaːp
кӏьэлъыон	kʲʼaɬəwən
быяужьын	bəjaːwʑən
гъопэкӏаку	ʁʷaːpat͡ʃʼaːkʷ
тыркъо	tərqʷa
лӏэн	ɬʼan
нэхаш	naxaːʃ
мэсӏын	sʼən
мэзахэ	mazaːxa
ӏу	ʔʷə
абэдзэкъуай	aːbad͡zaqʷaːj
мэзытхьэ	mazətħa
къошъошӏы	qʷaʂʷaʃə
нэпцӏы	napt͡sʼə
тӏу	tʷʼə
атэшыпхъу	ʔaːtaʃəpχʷ
быныуын	bənəwən
ӏашӏу	ʔaʃʷʼə
хьаӏьэ	ħaːʔʲa
къарыунчъ	qaːrəwənt͡ʂ
гупсэф	ɡʷəpsaf
кукумау	kʷəkʷmaːw
шӏыкӏай	ʃʼət͡ʃʼaːj
тецӏэцӏэн	tajt͡sʼat͡sʼan
блэхьадж	blaħaːd͡ʒ
ӏыгъэн	ʔəʁan
тхын	txən
шхэн	ʃxan
бгъэкӏэхь	bʁakʲʼaħ
хьапщ	ħapɕ
чъыӏаӏо	t͡ʂəʔaːʔʷa
жэкӏэпэсыс	ʒat͡ʃapasəs
гупэн	əɡʷəpan
бэежъ	bajaʐ
гъойщай	ʁʷajɕaːj
тэтӏэтӏэн	tatʼatʼan
гъэупӏысӏэн	ʁawpsʼan
ехьыжьэн	jaħəʑan
мэшто	maʃtəw
натӏэ	naːtʼa
гъэупӏэпӏэн	ʁawpʼapʼan
къычӏэгъэкӏьын	qət͡ʃʼaʁakʲʼən
исэн	jəsan
зэзэон	zazawan
мэпӏэркӏьын	mapʼarkʲən
щэ	ɕa
къуалъхьэ	qʷaːɬħa
кӏодын	kʷʼadən
гъозадж	ʁʷazaːd͡ʒ
псытхьэгуащэ	psətħaɡʷaːɕa
джабгъо	d͡ʒaːbʁʷa
хьэцэӏукӏ	ħat͡saʔʷət͡ʃ
шъутыпсӏэ	ʃʷətəpsʼa
олъэн	waɬan
къызыщылъэтын	qəzəɕəɬatən
щэн	ɕan
щэгьэгъожь	ɕaɡʲaʁʷaʒ
чылысы	t͡ʃələsə
зэпырычъын	zapərət͡ʂən
щтэпхэрый	ɕtapxarəj
мэушъы	mawʂə
кӏэӏэн	t͡ʃʼaʔan
щэуалэ	ɕawaːɮa
цыгьан	t͡səɡʲaːn
лъфыгъэ	ɬfəʁa
чыӏу	t͡ʃʼəʔʷ
арымэ	aːrəma
былым	bələm
жэмачыу	ʒamaːt͡ʃəw
гъэпсыкӏ	ʁapsət͡ʃʼ
адыгагъ	aːdəɣaːʁ
былымтыгъу	bələmtəʁʷ
щтэ	ɕta
бэрэскэжъый	baraskaʐəj
бжъапэ	bʐaːpa
зыгъэухьазырын	ħaːzərən
щымэхъэшэн	ɕəmaχaʃan
фыгу	fəɡʷ
гъопэкӏьэхь	ʁʷaːpakʲʼaħ
псэун	psawən
лъэкъуасӏэ	ɬaqʷaːsʼa
нэмыкӏыр	namət͡ʃʼər
зышъутыпцӏын	zəʃʷətəpsʼən
