ἀγγελικόσ	aŋɡɛlikos
ἁγιαζοίτην	aʝiazytin
ὄμπνη	ompne
ἄδδιξ	addiks
λεχθείσ	lexθis
ὥστε	hɔ̌ːste
ἀγαθοποιέω	aɡatʰopoi̯éɔː
πίστυροσ	pístyros
ἀγγελλώμεθα	aŋɡellɔ̌ːmetʰa
οὐδέ	uðe
αἶνοσ	ɛnos
ἑλληνίσ	ellinis
ἀασαίτην	aaːsǎi̯tɛːn
πολεμώνιον	polɛmonion
σαγήνη	saɡɛ̌ːnɛː
βασιλεία	vasilia
λούω	lǒːɔː
πολυκλήϊσ	polyklɛ̌ːiːs
ἀγανακτήσων	aɣanaktison
προθετικόσ	protʰɛtikos
ψάκελον	psakɛlon
ἀβραάμ	abraːǎːm
ληθαργίαν	lɛːtʰarɡíaːn
εἱλώτων	hiloton
ἀκραιφνοῦσ	akrɛpʰnus
γολγοθᾶ	ɣolɣoθa
σφενδόνη	spʰendónɛː
ἀγαλλιῶιο	aɣalioo
οὐρίαχοσ	uriakʰos
παλαιγενήσ	paleʝenis
παιδεύσοισθον	pɛdeʍsystʰon
στρογγυλοειδήσ	stroŋɡyloiðis
ποδαγρικόσ	poðaɣrikos
τοιῶιδε	tioðe
ὑποδημάτων	hypodɛːmátɔːn
φασι	pʰasi
ῥινόκερωσ	rinoceros
ὄρουσαν	orusan
παιδευθεῖμεν	pɛðeɸθimen
ἐντίθημι	entiθimi
πελασγικόν	pelazʝikon
ἀγγελθῶμεν	aŋɡeltʰɔ̂ːmen
μέλλω	melo
ἐσχάρα	eskʰáraː
ἀγαπαόμεθα	aɣapaomeθa
δόλοψ	ðolops
νήσουσ	nisus
δημιόπρατοσ	dɛːmiópraːtos
φόρου	pʰóroː
μῶλυ	moli
ἀντίφιλοσ	antiɸilos
πλεῖσται	plistɛ
ἀγαθοποιηθήσοιο	aɣaθopyiθisyo
εἶπον	êːpon
χαλκείωι	xalkio
ἀΰσασ	aisas
ἐναλίγκιοσ	ɛnaliŋkios
κάκη	kákɛː
τυβί	tybi
βίαν	bíaːn
ἀποτρέπομεν	apotrepomen
τῆιδε	tiðe
βαφεύσ	βaɸeɸs
θέσπισ	tʰɛspis
δρόμοσ	dromos
κίσηρισ	kiseris
ποσίν	posin
ἐξαίνετοσ	eksenetos
παιδεύσωσι	peðefsosi
ἀγγέλεσκεσ	aŋɡɛlɛskɛs
φράσισ	pʰrasis
ἔργ'	ɛrɡ
φαίνειν	ɸɛnin
διχότομοσ	dikʰótomos
σχίζομαι	skʰizomɛ
ῥέπων	r̥épɔːn
μῆδοσ	mɛ̂ːdos
πομφολυγοπαφλάσμασιν	pompʰolyɡopapʰlázmasin
φωνήεισ	ɸoniis
συλλαβή	syllavi
ἀσκαλώπασ	askalɔ̌ːpaːs
πτωχή	ptɔːkʰɛ̌ː
κατασκευαῖσ	kataskeβɛs
μυρμιδόνεσσι	myrmidónessi
ἀγγείλασθε	aŋɡilasθe
μίεζα	mieza
ληθαργιῶν	letʰarɡion
φοίνικοσ	ɸynikos
χάρυβδιν	xarivðin
ἐπαιδεύου	epɛðeβu
παρεών	pareon
ξέρξησ	kserksis
ἦγον	ɛ̂ːɡon
ἄσπρισ	aspris
κληρωτήριον	kleroterion
ἀγγαρεῦσον	aŋɡareʍson
ἐξάλειπτρον	ɛksaliptron
ἱππόκαμποσ	ippokampos
σοφιῶν	sofion
χρυσοκόμη	xrisokomi
πίθηκε	pítʰɛːke
παιδεύσειν	pɛðeɸsin
συνέτριψε	synɛtripsɛ
ἅττα	atta
λέβητασ	leβitas
γοόωσα	ɡooosa
γέσκων	ɡɛskon
δασκύλιον	ðascylion
ἑλικῶνοσ	hɛlikonos
πολεμοῦσα	polemusa
ἑκατοστόσ	hɛkatostos
ἀγγαρεύονται	aŋɡareβontɛ
ἀγαλλιάοιεν	aɡalliayɛn
συγκοπή	syŋɡopi
ἰᾶπυξ	iapiks
εἰδωλολατρία	eːdɔːlolatríaː
ἀγαπῶν	aɡapɔ̂ːn
ἀγαπήσαιντο	aɡapɛ̌ːsai̯nto
ἀασθήτω	aasθito
ἐγένετο	ɛɡɛnɛto
παλαιοῖσ	paleis
λίξοσ	liksos
κνωσσόσ	knosos
ἀγαπηθήτων	aɡapɛːtʰɛ̌ːtɔːn
ἀγαθοποιοῖσ	aɣaθopiis
ἀκούσηισ	akǒːsɛːi̯s
φυτικαῖσ	fitices
ταύτησ	taʍtes
ταῖσδε	tɛzðe
ἀγάπαε	aɡápae
γυμνάσιον	ɡymnásion
ἡγοῦντο	iɣunto
ὀνομαστόν	onomastón
ἑκκαιδέκατοσ	hekkai̯dékatos
ἀτρυγέτοιο	atryɣetyo
οἷσ	hys
ἔσσεαι	esseɛ
ἐκεῖνα	ekêːna
εἰδόσ	eːdós
πατριάρχησ	patriárkʰɛːs
ἐπισυνήφθη	episynɛ̌ːpʰtʰɛː
χωρίζομαι	kʰorizomɛ
ἀγανακτῆται	aɡanaktetɛ
πυρόσ	pyːrós
μισογυνία	misoɡynia
ὕπεροσ	hýperos
διηκοσίουσ	diɛːkosíoːs
ἠγάπηκα	ɛːɡápɛːka
παμφανόωντα	pamfanoonda
θάλεια	tʰáleːa
ἀνδροφόνοσ	androfonos
γενεαλογία	ɡeneaːloɡíaː
ἀγαπώιτην	aɡapoten
ἐλεαίρω	eleero
ἀνασκάπτομεν	anaskáptomen
χρύσειον	xrysion
ἀγαπησάμενον	aɡapɛːsámenon
θήν	θin
ἀγγελέσκεσθον	aŋɡɛlɛskɛstʰon
αἵ	e
βίκτωρ	biktor
ἀγγελίων	aɲɟelion
νάνοιν	nanyn
μεγαλομανήσ	meɡalomanɛ̌ːs
κύστιον	kýstion
καλέουσι	kalɛusi
μίγμα	míŋma
ἀλεξάνδροιο	aleksandryo
διηκοσίοισι	ðiikosiysi
ἀγαλλιῶμαι	aɣalliome
ἀγήνορεσ	aɣinores
πολιορκέω	poliorkɛo
ἀγγέλουσ	aŋɡɛlus
περάω	peráɔː
εἰσέπνευσα	isepnefsa
ἤγγελλον	iɲɟelon
ἐλθόντα	elθonta
τύχηι	tiçi
οἰκονομικόσ	ykonomikos
λαχαίνω	laxɛno
ἀγαπῶ	aɡapo
αἰθίοψ	eθiops
ληφθεῖσαι	lɛːpʰtʰêːsai̯
βασίλεια	vasilia
σήματα	semata
ἀγγελίοιο	aɲɟeliyo
κεκλεισμένασ	keklizmenas
ἠγγείλατο	iŋɡilato
ἐρικυδήσ	erikyðis
ἀξίοχοσ	aksioxos
καππαδοκίη	kappaðocii
νέμω	nɛmo
καθαιρόμενοσ	katʰɛromɛnos
ἀγανακτήσοιντο	aɣanaktisindo
χρυσοχάλινοσ	xrisoxalinos
ἔπεμπον	epembon
ἁμαρτωλόσ	hamartolos
γενναῖοσ	ʝenneos
ἀγαθοποιεοίμην	aɣaθopyeymin
εἶσι	êːsi
παιδεία	pai̯děːaː
ἁγιάζοιτε	aʝiazyte
κυβερνητικόσ	civernitikos
προσγράφω	prozɡrapʰo
ὀρεστεία	orestia
ἐχῖνοσ	ekʰîːnos
βουλάπαθον	βulapaθon
ἐπισεύω	episevo
δαρείου	ðariu
ἀγαπησομένη	aɡapesomɛne
φρουρίων	pʰrurion
ὀνίσκοσ	oniskos
ἀγαλλιάομαι	aɣalliaome
κίνησισ	kinisis
στρατῶν	straton
ψυχοστασία	psyːkʰostasíaː
ἀγεροῖτον	aʝeryton
χαλκοθήκη	xalkoθici
ξέννοσ	ksɛnnos
αἰτίζω	ɛtizo
ἄργοσ	arɣos
μύνδοσ	mýndos
πειραιᾶ	pirea
νέρθε	nɛrtʰɛ
ἐκτειχίζω	ɛktikʰizo
ἀκούειν	akǒːeːn
ἰῶι	io
παρεξετράπην	pareksetrápɛːn
καθ'	kaθ
τρεβίασ	treβias
θανέειν	θanein
τεχνολόγε	texnoloʝe
ἐφοράω	eforao
ἔρρινα	erina
ἀάσηται	aasitɛ
δηρόσ	deros
σεβαστόσ	sɛbastos
καίπερ	ceper
μαστίχινοσ	mastíkʰinos
μελέτω	melétɔː
σωστράτη	sostrate
συράκοσαι	syrakosɛ
ποίησισ	pyisis
γύαροσ	ɡýaros
δαυλίσ	ðavlis
λαμπάσ	lambas
δῆμοσ	ðimos
ἀγγέλητον	aŋɡeliton
νικόμαχοσ	niːkómakʰos
δακία	dakia
νειόθι	nioθi
ἀγγελήσοιντο	aŋɡɛlesynto
φλιοῦσ	pʰlius
ἀλκινόοιο	alkinóoi̯o
λήψομαι	lipsomɛ
ἶσισ	isis
ἀγγέλθητον	aŋɡelθiton
ἀγγελέοιμεν	aŋɡɛlɛymɛn
ψάδδα	psaða
ἔκλυεν	eklyen
ἀνθύπατοσ	anθypatos
φιτρόσ	ɸitros
ἄρησ	ares
καπιτώλιον	kapitolion
βούλονται	bulontɛ
ἐᾶν	ɛan
ἀθήνηθεν	aθiniθen
βελονοθήκη	velonoθici
πελλόσ	pellos
εὐρεῖαν	eβrian
θάνατον	tʰánaton
σάλοσ	salos
συμμάχομαι	symmakʰomɛ
ἀγαθοποιέοιο	aɡatʰopyɛyo
ἐόντασ	eondas
πολεμοῦντα	polemôːnta
ἆρον	aron
τοῖσιν	tôi̯sin
σατνιόεισ	satniois
μέλκα	mélkaː
ἀγγελθήσεσθε	aɲɟelθisesθe
ἀγανακτούμενοσ	aɡanaktǒːmenos
πλεύσασ	plefsas
ἀρχόσ	arkʰos
γυναικεῖοσ	ɣynɛkios
αἰνείαο	ai̯něːaːo
ξυντεθαμμένοσ	ksyntetʰamménos
βασιλῆα	βasilia
σφάζω	sɸazo
ἐμαυτήν	ɛmaʍten
κασσιτερουργόσ	kassitɛrurɡos
κύθηρα	ciθira
φημι	ɸimi
κοιτίδασ	kytidas
ἀγαθοποίησαι	aɡatʰopǒi̯ɛːsai̯
μακεδόνων	maceðonon
μεγακλῆσ	meɡaklɛ̂ːs
περιεβάλλοντο	periebállonto
ἀτθίσ	attʰis
ἠγαπήκεμεν	iɣapicemen
διφρίσκοσ	dipʰrískos
ἀγανακτοίη	aɣanaktyi
ἄτην	aten
ἰωλκόσ	iɔːlkós
ἐποιήσαντο	epyisanto
μάστιγι	mastiɣi
ἄρκιον	arcion
ἀποχή	apokʰɛ̌ː
καταγραφή	kataɣraɸi
σκόλυμοσ	skolimos
λάθρηι	laθri
ἀκοάσ	akoǎːs
ὠλέκρανον	ɔːlékraːnon
θεναί	θenɛ
ἐκχυμόω	ɛkkʰymoo
σφηνοειδήσ	spʰenoides
ὀροφή	oropʰɛ̌ː
πύργου	pýrɡoː
κονίσ	konís
δεβελτόσ	debeltós
ἑορτή	heortɛ̌ː
ἀγανακτεοίμεθα	aɣanakteymeθa
βάκχειοσ	bákʰkʰeːos
υἱωνόσ	yonos
χανδάνω	kʰandano
συναίσθησισ	synesθisis
εἴα	ěːaː
πένησ	penis
δείκνυται	ðiknytɛ
οἴνωτροσ	ǒi̯nɔːtros
ἀπάνευθε	apanefθe
βεβιασμένοσ	veviazmenos
θείνω	tʰěːnɔː
ὀξεῖαν	oksian
ἀριασσόσ	ariasos
ἀέθλια	aeθlia
σφάγνοσ	sɸaɣnos
ἐνώπιον	ɛnopion
ἑαυτοῖν	hɛaʍtyn
ἠερόεντα	ieroenda
ἑλλήσποντον	elispondon
ἀλλοπίασ	alopias
ἐμύδι	ɛmydi
κύθηρα	kyθira
τείχει	tiçi
ἀτρέα	atréaː
υἱύσ	hyːýs
πρέπω	prepo
ἀγγέλθητι	aŋɡɛltʰeti
ἀγερέοιτε	aʝereite
κρεμώνη	kremɔ̌ːnɛː
ὀξεῖαν	oksêːan
κυνόδων	kynoðon
διαλελυμένων	ðialelymenon
φίλοισιν	filysin
συπαληττόσ	sypalettos
νεύρινοσ	nevrinos
οἴκαδ'	ykad
βοιωτῶν	vioton
ἀβεντῖνον	avendinon
εἴσηι	isi
ἑλών	helɔ̌ːn
ταρβέω	tarveo
δάκησ	dakes
ὕαλοσ	ialos
βῶλαξ	βolaks
μέδοντεσ	mɛdontɛs
ὑψήνωρ	hypsenor
αἰγινῆται	ai̯ɡiːnɛ̂ːtai̯
ἀσφοδελόσ	aspʰodɛlos
βεβαίωσ	bebǎi̯ɔːs
ἐπήλυθε	epilyθe
ἄοκνοσ	aoknos
ποῖον	pôi̯on
ἑλλήνων	ellinon
συνετρίβη	synetrivi
σπουδαῖοσ	spudɛos
κνηκόσ	knɛːkós
φέβομαι	pʰɛbomɛ
τοι	ty
ἠγαθοποιοῦντο	eɡatʰopyunto
νασαμῶνεσ	nasamones
φθειροκτόνον	fθiroktonon
αἶκλον	eklon
ἐόντοσ	eóntos
γυιούσ	ɡyus
καλπουρνία	kalpurnia
ἠγγελλόμεθα	ɛːŋɡellómetʰa
ἀντήνωρ	antinor
ἀφροδισιακόσ	afroðisiakos
προετοιμάζω	proɛtymazo
ἠλεῖοσ	elios
ἀάεται	aaetɛ
ἐφελκύσει	efelcysi
σκυθία	sciθia
ἀγερέοισ	aʝereis
ποιήσασ	pyisas
βαλσαμίνη	βalsamini
κύδιστε	kydistɛ
ἀγαθοποιήσειε	aɡatʰopoi̯ɛ̌ːseːe
ἀγγειλαίτην	aŋɡeːlǎi̯tɛːn
διόγνητοσ	ðioɣnitos
μελάνθιοσ	melántʰios
μείλιγμα	měːliŋma
ὀχετόσ	oxetos
ληιστικόν	lestikon
ἐλαία	elea
κάννα	kánnaː
τετρακόσιοι	tetrakósioi̯
στρύχνον	strýkʰnon
σῆραγξ	seraŋks
χείρεσσιν	kʰirɛssin
σφέλασ	sfelas
ἐγκράτεια	eŋkráteːa
ἠγείρεσθε	ɛːɡěːrestʰe
ἀγαθή	aɣaθi
ἀγγελεόμεθα	aŋɡeleomeθa
ἀγγελήσοιντο	aɲɟelisynto
πῖνε	pîːne
σωτηρία	soteria
ῥόϊνοσ	r̥oinos
ἐχεκράτησ	ekʰekrátɛːs
μιλήσιοι	milisiy
πριάμοιο	priamio
ναίω	nǎi̯ɔː
ἀγαθοποιεοίτην	aɡatʰopyɛyten
ἐπιχθονίων	epixθonion
ἱερέα	ierea
ἧκεν	icen
κῶβρυσ	kɔ̂ːbrys
ἑταίρωι	etɛro
σανδύκινοσ	sandycinos
ἐποτρύνει	ɛpotryni
ἵππου	híppoː
αὑτοῖσ	haʍtys
κράτιστα	kratista
συναφή	sinafi
ἔμβολον	ɛmbolon
ἀγγελέοιο	aŋɡɛlɛyo
ἄναρτοι	ánartoi̯
σῦφαρ	syɸar
λοίδοροσ	lydoros
ὑποδήματι	ipoðimati
κρῆναι	krinɛ
ὀμείχω	omixo
ἆθλον	âːtʰlon
λαιστρυγών	lestryɣon
σατίνη	satínɛː
εἴησ	ies
κῶμα	kɔ̂ːma
ἠγγελόμην	iɲɟelomin
γλαυκίασ	ɡlau̯kíaːs
ἐρυθραί	erytʰrǎi̯
ἀτέραμνοσ	ateramnos
ἀγανακτέεται	aɡanaktɛɛtɛ
στρατεύσασ	stratěu̯saːs
ἑκάστην	hekástɛːn
ἀπολείπων	apolipon
ὤκιμον	ɔ̌ːkimon
ῥέξασ	r̥éksas
ἴμεναι	ímenai̯
τάφρων	tafron
προτέραισ	proteres
βάρκη	barke
πύξοσ	piksos
κάβειροι	kaviri
ἀλεξανδρῖνοσ	alɛksandrinos
σπεύσιπποσ	spěu̯sippos
ἀνόρουσε	anorusɛ
σπάρτωλοσ	spartolos
κέρμα	kerma
ἔντοσθε	éntostʰe
πειρίθοοσ	piritʰoos
δονάκινοσ	donákinos
ξανδικόσ	ksandikós
πυγμή	piɣmi
δαναῶν	ðanaon
θύγατρα	θiɣatra
ὀρίνδησ	orindes
ἀγγελέοιντο	aɲɟeleindo
πολυτελέσι	polytelesi
μαρικᾶσ	marikâːs
ἀγαθοποιῆσθε	aɣaθopiisθe
διότι	ðioti
πόρκοσ	pórkos
λέκτρον	lɛktron
ναρκίσσινοσ	narkissinos
ἀνάισσω	anaso
ἐριβώλακοσ	eriβolakos
παιδεύητον	pɛðeβiton
σχίζα	skʰízda
φιλοκτήτου	ɸiloktitu
ἀγαπήσαιο	aɣapisɛo
ἰχθυοειδήσ	ikʰtʰyoides
ἵκοντο	hǐːkonto
σαλαμάνδρα	salamándra
βύζηρεσ	býzdɛːres
ἀγαθοποιηθήσομαι	aɣaθopyiθisomɛ
νόμοσ	nómos
πλησιάζομαι	plesiazomɛ
κατῶβλεψ	katoblɛps
τυφῶν	tyɸon
χαμαί	kʰamǎi̯
κοσμογράφοσ	kozmoɣrafos
κοίτη	cyti
μεμηνῦσθαι	meminysθɛ
διπλάσιοσ	diplasios
ἀδικοῦμαι	aðikume
μεθοδικοί	meθoðiky
δανδάκη	dandake
ἀμφίλοχοσ	amfiloxos
σοφούσ	sofus
λάγινοσ	laɣinos
διογένησ	ðioʝenis
τύχαισ	tyxɛs
ἄρυσοσ	arisos
ὑποθετικόσ	hypotʰetikós
ἀγρόμενοσ	aɡrómenos
διάφραγμα	ðiafraɣma
κρόσσαι	krose
μινώταυροσ	minotawros
ἴφθιμον	ipʰtʰimon
ὀλοοσσών	oloossɔ̌ːn
ἄθεοσ	átʰeos
λευκάσ	leu̯kǎːs
πελεκᾶσ	pɛlɛkas
κορύφαινα	korýpʰai̯na
χαλεπῶσ	kʰalepɔ̂ːs
σολοικίζω	soloi̯kízdɔː
πορφυρέην	porɸyrein
ζωιγραφική	zoɣrafici
αὐδήσασ	avðisas
κομόων	komóɔːn
νιπτήρ	niptɛ̌ːr
ὀστοθήκη	ostotʰeke
θηρικλῆσ	tʰɛːriklɛ̂ːs
γλήνη	ɡlɛ̌ːnɛː
παιδεύοιντο	pɛdewynto
τέτραχα	tɛtrakʰa
μυχόσ	mykʰós
εὐφορία	eʍpʰoria
ὄσπριον	ósprion
κρεάγρα	kreáɡraː
ἐπέρχομαι	ɛpɛrkʰomɛ
ἄναυροσ	ánau̯ros
ἅπαντοσ	hapantos
τελευτῶντοσ	teleɸtontos
ἀμφικύπελλοσ	ampʰikypɛllos
ἀπάνευθε	apaneʍtʰɛ
σαρκοφάγοσ	sarkopʰáɡos
συναλλαγματικόσ	synallaɡmatikos
ἀκεστήσ	akɛstes
ὅμαδοσ	omaðos
εὔπολισ	ěu̯polis
πανδημεί	pandemi
ἔπεσεν	épesen
βάκκαρισ	vakaris
ἑτέραισ	hetérai̯s
ἀμύνεσθαι	aminesθe
ἀγανακτέετον	aɣanakteeton
ἀγαθοποιούντων	aɣaθopiundon
λευκαῖσ	leɸkɛs
αὐρήλιοσ	avrilios
παιδευσάσθω	peðefsasθo
ἕκτοροσ	ektoros
ἴφικλοσ	ǐːpʰiklos
καθελῶν	katʰelɔ̂ːn
ἀγαλλιασθῆναι	aɣalliasθinɛ
παιδευθησοίσθην	pai̯deu̯tʰɛːsǒi̯stʰɛːn
σκαληνόσ	skalinos
ἄσχειον	asklon
νέσσοσ	nessos
ἄρχω	árkʰɔː
φιλύρινοσ	ɸilyrinos
ἱππῆσ	hippes
ληνόσ	lenos
τροφικόσ	troɸikos
περίανδροσ	períandros
ἔαρ	ɛar
ἰορδάνησ	iordanes
δαῖτα	dɛta
κλίνω	klino
παιδευσάμενοσ	pɛdeʍsamɛnos
ὀρφεύσ	orpʰeʍs
ἐσθλοί	ɛstʰly
λιβύη	libye
κόρινθε	kórintʰe
χαρμάνδη	kʰarmándɛː
ἐπίγραμμα	ɛpiɡramma
ὑρμίνη	yrmini
ἐντεῦθεν	enteɸθen
σκῆψισ	skipsis
ἵππουρισ	hippuris
μυκερῖνοσ	mycerinos
ζάθεοσ	zdátʰeos
πέοσ	pɛos
ἀγγέλεσθον	aɲɟelesθon
χαμαικυπάρισσοσ	kʰamǎi̯kypárissos
παρακείμενον	paracimenon
φοινικοῦσ	fynikus
φυτικούσ	pʰytikus
βαρύτησ	barytes
εὖτ'	eʍt
περιοικίδων	periyciðon
ἀποστάσ	apostǎːs
κροσσαίη	krossɛi
ὑποδεδειγμένων	ipoðeðiɣmenon
ἀγγειλάσθω	aŋɡeːlástʰɔː
ἰπνολέβησ	ipnoleβis
ἀρχέστρατοσ	arxestratos
ἀντιμετάταξισ	antimetataksis
χωρίου	xoriu
πλειστηρίζομαι	plistirizomɛ
αἴθαλοσ	ɛtʰalos
ἀτμήν	atmin
βουκέφαλοσ	vucefalos
ἀρράβη	ar̥r̥ábɛː
ἤθω	ɛ̌ːtʰɔː
χῶροσ	kʰɔ̂ːros
ἠγαπαόμεθα	iɣapaomeθa
ἠγγερεύομεν	eŋɡɛrewomɛn
λείγηρ	liɡer
κρόβυζοι	krobyzy
λόχοι	loxy
ἱκανῶι	hikanɔ̂ːi̯
καλλιφῶν	kalliɸon
ἐξέρχομαι	ekserxomɛ
κλίνη	kline
ὅρκοισ	orcys
κώρυκοσ	korykos
διεχώρισεν	diekʰɔ̌ːrisen
ξυμβαίνω	ksymbeno
σύνοιδα	siniða
λελυμένω	lɛlymɛno
σφάκελοσ	sɸakelos
τίνω	tino
δεῖξισ	dêːksis
δοιόσ	ðyos
μάχλοσ	mákʰlos
ἥφαιστοσ	hepʰɛstos
αἰτίζω	etizo
βίοισ	bíoi̯s
σάλη	sálɛː
πειρατά	pirata
ἱππεύσ	ippeɸs
σπείσαντεσ	spěːsantes
χρυσηΐσ	kʰryːsɛːís
ἄσβεστοσ	azβestos
πιστόσ	pistós
παρεμβολή	paremboli
ἦλθ'	eltʰ
ἄλκη	alke
ἀγγάρευσον	aŋɡareɸson
ἀέκητι	aɛketi
ὀπιδνόσ	opidnos
ἐξηναγκάσθην	eksinaŋɡasθin
ἠγέρθησ	iʝerθis
ἀγαθοεργέον	aɣaθoerɣeon
μῦθοσ	myθos
λύσει	lisi
ἄλοχοσ	aloxos
ἴτον	íton
ἀσκληπιόδωροσ	asklepiodoros
ὑψόω	ypsoo
δῶρον	ðoron
ὑποδήματε	hypodematɛ
μολπή	molpɛ̌ː
τέρθρον	tértʰron
ἔπαθον	epaθon
κρίνομεν	krǐːnomen
ἠγαλλιῶντο	iɣallionto
ἀλέξανδρον	aleksandron
κυημάτων	ciimaton
λίγδοσ	liɡdos
δοράτων	ðoraton
τοιούσδε	tyuzðe
μυέλινοσ	myelinos
βούλλα	vulla
βάρβιτοσ	βarβitos
ἱλαείρασ	hilaěːraːs
εὐπείθεοσ	efpiθeos
τύρινοσ	tyrinos
παιδευέσθων	pai̯deu̯éstʰɔːn
ἐπιβουλεύω	epiβuleβo
ἀχιλλῆα	açillia
ὀφείλω	opʰilo
εἰδείη	idie
μασκάμησ	maskámɛːs
νόμων	nomon
νέεσθαι	neesθɛ
φορίνη	ɸorini
ἴδμεν	iðmen
ἀγαλλιάσοισθε	aɡalliasystʰɛ
δυνατά	dynatǎː
βύζασ	vizas
τέρχνοσ	terxnos
πολεμήϊα	polɛmeia
ὕρχη	yrxi
ἀρτεμισία	artemiːsíaː
ῥίσ	r̥ǐːs
σύλη	syle
ἀπόστολοσ	apostolos
μέγιστον	meʝiston
σαίνω	sɛno
σάταλα	sátala
ἔχθραν	exθran
ἅρπη	hárpɛː
χαλκουργεῖον	kʰalkurɡion
χρησάμενοι	xrisameni
ἐλπίζοντασ	elpizondas
ἀάεσθον	aaɛstʰon
ἀρτύω	artyo
κότταβοσ	kóttabos
μύρινα	mýrina
ἠγαθοποιησάμεθα	eɡatʰopyesamɛtʰa
ζιζάνιον	zdizdánion
πολλοῖσ	pollôi̯s
διάβαθρον	diábatʰron
χρυσελεφαντίναισ	xriselefandines
σκάφη	skapʰe
κύβιστρα	cyvistra
ὑφήγησισ	yfiʝisis
ἱκόμεθ'	hiːkómetʰ
τάχεσι	takʰɛsi
ὡροσκοπεῖον	oroskopion
ἠγαλλιαόμην	iɣaliaomin
ἀγανακτέωμαι	aɣanakteomɛ
ἀγγείλατον	aɲɟilaton
γελοῖοσ	ɣelyos
μνῆσοσ	mnisos
φάνη	pʰánɛː
γάλακτι	ɡálakti
δεύτεροσ	ðefteros
σάββατον	savaton
σκολόπενδρα	skolopɛndra
ἄχωρ	axor
ὑγεῖαι	yɣiɛ
πεπαιδεύκετε	pepɛðeɸkete
ἐπικλώθω	ɛpiklotʰo
ἀκάματοσ	akámatos
μυγδονία	miɣðonia
θεράπων	tʰɛrapon
ἵππων	ippon
γενεῆι	ɣenei
θυλακοφόροσ	θilakoforos
ἀγαθοποιηθησοίσθην	aɣaθopyiθisysθin
ἀγανακτοῦμεν	aɣanaktumen
ἀκέων	akeon
λαβοῦσα	labusa
ἀγγαρεύσεσθε	aŋɡareʍsɛstʰɛ
ἑκάτεροσ	hekáteros
κυρηναῖοσ	cyrineos
διακοσίουσ	ðiakosius
θρασύσ	θrasys
ἐπίκλησισ	epiklisis
χοίακ	çiak
μεσοποταμία	mesopotamíaː
ἀγοραί	aɡorǎi̯
μεγάλουσ	mɛɡalus
ἠγγέλκητον	eŋɡɛlketon
ἀδύνατον	adýnaton
φαίνετε	pʰɛnɛtɛ
ἥμισυ	hemisy
ἀγεροῖσ	aɡɛrys
δαίδαλα	ðɛðala
μελίτινοσ	melítinos
ἀμοργίσ	amorɡís
ἀπέκρυψα	apekrypsa
ἠγαθοποιήθην	ɛːɡatʰopoi̯ɛ̌ːtʰɛːn
πομπίλιοσ	pombilios
βότρυοσ	votryos
ἀγερησοίσθην	aʝerisysθin
ἀλάβανδα	alábanda
ἀρεταῖσ	aretes
ἡρακλείδαισ	irakliðɛs
ἐπαιδεύσατον	epɛðeɸsaton
ὀλέσθαι	oléstʰai̯
λύγξ	lyŋks
περιεπλάκησαν	pɛriɛplakesan
πρόθοοσ	protʰoos
θύμαλλοσ	θimalos
βαθύ	batʰý
ἀπερρίφθην	aper̥r̥ípʰtʰɛːn
ἀγαθοποιοῖ	aɡatʰopoi̯ôi̯
φάλλαινα	fallena
χρυσοῦσ	kʰrysus
ταμασσόσ	tamasos
σήστιοσ	sistios
ξενοφωντικόσ	ksenopʰɔːntikós
ζείδωρον	zděːdɔːron
κιχήσατο	ciçisato
θοάσ	tʰoǎːs
ἄργεμον	arɡɛmon
εὐθέωσ	eu̯tʰéɔːs
καθαίρω	katʰɛro
φλαούιοσ	pʰlaːǒːios
καταπλέων	katapléɔːn
ἑτερωνυμία	eteronymia
σάλπη	salpe
ἀμειξίαν	ameːksíaːn
ἠγγερευέτην	ɛːŋɡereu̯étɛːn
ὑπογεγραμμένοσ	ypoɣeɣrammenos
λυέτων	lyeton
γενομένην	ɡenoménɛːn
κείνωι	cino
θῆκε	θike
μέγαρον	meɣaron
ῥῆγμα	r̥eɡma
ἐπόψεται	ɛpopsɛtɛ
ἀντιθέωι	antitʰɛo
ἐπιγιγνώσκω	epiɡiɡnɔ̌ːskɔː
ἀγγελεῖ	aŋɡɛli
πλάνη	plani
προσκαθέζομαι	proskatʰɛzomɛ
τέκε	teke
λέπτισ	lɛptis
ἀγαθοποιέεισ	aɡatʰopyɛis
ἀγαθοποιηθησόμεθα	aɣaθopyiθisomeθa
κῆβοσ	kiβos
παξοί	paksy
συνέθλιψε	syneθlipse
ἠγαπήσαντο	iɣapisando
κοκκύγινοσ	kokkyɡinos
κιβώτιον	kibotion
ἀνασκαφαί	anaskapʰǎi̯
χ'	kʰ
βίηι	bíɛːi̯
χίουσ	kʰǐːoːs
ἀγαλλιώντων	aɡallionton
τρώϊοσ	troios
ἐμάχοντο	emákʰonto
ἄφυλλοσ	afilos
ὄνειαρ	oniar
πικρόχολοσ	pikrokʰolos
ἧσ	hɛ̂ːs
εὐτυχήσ	eʍtykʰes
ἀδαμάντινοσ	aðamandinos
ὕρχη	yrçi
ὄχεα	ókʰea
ἱμάσ	imas
ἀφρόδιτοσ	aɸroðitos
γαστροκνημίασ	ɡastroknɛːmíaːs
δείκνυμι	děːknyːmi
δοιά	ðya
ἀσκάληρον	askálɛːron
