турбуленција	turbulɛnt͡sija
нога	nɔɡa
претприемништво	prɛtprijɛmniʃtvɔ
лакрдија	ɫakr̩dija
соучеснички	sɔut͡ʃɛsnit͡ʃki
легален	lɛɡalɛn
полски	pɔɫski
преземе	prɛzɛmɛ
дваесет	dvaɛsɛt
овој	ɔvɔj
мнение	mnɛnijɛ
урбанизација	urbanizat͡sija
ослободеност	ɔsɫɔbɔdɛnɔst
ограниченост	ɔɡranit͡ʃɛnɔst
абонент	abɔnɛnt
набљудувачки	nabluduvat͡ʃki
усвојлив	usvɔjlif
распаќе	raspacɛ
клинички	klinit͡ʃki
варна	varna
моминство	mɔminstvɔ
цаблан	t͡sabɫan
издолженост	izdɔɫʒɛnɔst
лезбејски	lɛzbɛjski
разголеност	razɡɔlɛnɔst
благо	bɫaɡɔ
погмечи	pɔɡmɛt͡ʃi
еднообразност	ɛdnɔɔbraznɔst
цимоли	t͡simɔli
сврзаност	svr̩zanɔst
самострел	samɔstrɛɫ
трагикомичен	traɡikɔmit͡ʃɛn
чека	t͡ʃɛka
чевел	t͡ʃɛvɛɫ
подзголеми	pɔdzɡɔlɛmi
змијулест	zmijulɛst
киев	kijɛf
крст	kr̩st
прв	pr̩f
магарица	maɡaɾit͡sa
мразулец	mrazulɛt͡s
зачудувачки	zat͡ʃuduvat͡ʃki
ѕвонар	d͡zvɔnar
извршен	izvr̩ʃɛn
етнографија	ɛtnɔɡrafija
повраќа	pɔvraca
пингвин	piŋɡvin
подрашири	pɔdraʃiɾi
откинува	ɔtkinuva
неподмитливост	nɛpɔdmitlivɔst
осило	ɔsiɫɔ
лаптоп	ɫaptɔp
свињарство	sviɲarstvɔ
така	taka
препливува	prɛplivuva
заповед	zapɔvɛt
пинјин	pinjin
венечен	vɛnɛt͡ʃɛn
прегризе	prɛɡrizɛ
шишуле	ʃiʃulɛ
пекарство	pɛkarstvɔ
задушува	zaduʃuva
песна	pɛsna
чумен	t͡ʃumɛn
миленик	milɛnik
допива	dɔpiva
бессовесност	bɛssɔvɛsnɔst
час	t͡ʃas
меченце	mɛt͡ʃɛnt͡sɛ
бејрут	bɛjrut
афикс	afiks
недоправен	nɛdɔpravɛn
изворче	izvɔrt͡ʃɛ
фармерки	farmɛrki
њујорчанка	ɲujɔrt͡ʃaŋka
венеција	vɛnɛt͡sija
драматичност	dramatit͡ʃnɔst
танцов	tant͡sɔf
признаница	priznanit͡sa
дисертациски	disɛrtat͡siski
романтичарка	rɔmantit͡ʃarka
впрочем	fprɔt͡ʃɛm
арно	arnɔ
перфидност	pɛrfidnɔst
вез	vɛs
подзаобли	pɔdzaɔbli
ѓоа	ɟɔa
разреже	razrɛʒɛ
жупа	ʒupa
’рбет	r̩bɛt
винарство	vinarstvɔ
последок	pɔslɛdɔk
краварство	kravarstvɔ
безвизен	bɛzvizɛn
испокубе	ispɔkubɛ
колку	kɔɫku
те	tɛ
бродоградилиште	brɔdɔɡradiliʃtɛ
двајца	dvajt͡sa
аберација	abɛrat͡sija
освежувач	ɔsvɛʒuvat͡ʃ
убиство	ubistvɔ
вестителка	vɛstitɛɫka
питомост	pitɔmɔst
германка	ɡɛrmaŋka
четириесет	t͡ʃɛtirijɛsɛt
безименост	bɛzimɛnɔst
книжуле	kniʒulɛ
трезорски	trɛzɔrski
уста	usta
дака	daka
ископува	iskɔpuva
оревче	ɔɾɛft͡ʃɛ
неразделност	nɛrazdɛɫnɔst
сенаторски	sɛnatɔrski
согорување	sɔɡɔruvaɲɛ
житарство	ʒitarstvɔ
британија	britanija
неприлика	nɛprilika
самоубиствен	samɔubistvɛn
внуков	vnukɔf
сомнение	sɔmnɛnijɛ
заслепителен	zaslɛpitɛlɛn
дизентерија	dizɛntɛɾija
пакистан	pakistan
влепи	vlɛpi
добојува	dɔbɔjuva
неизбришан	nɛizbriʃan
подисчисти	pɔdiʃt͡ʃisti
онаму	ɔnamu
ров	rɔf
навраќа	navraca
прозорец	prɔzɔɾɛt͡s
сон	sɔn
варварка	varvarka
лепче	lɛpt͡ʃɛ
четкичка	t͡ʃɛtkit͡ʃka
резбарски	rɛzbarski
месечарство	mɛsɛt͡ʃarstvɔ
нокшир	nɔkʃir
гурабија	ɡurabija
зајдисонце	zajdisɔnt͡sɛ
јунешки	junɛʃki
раменце	ramɛnt͡sɛ
заврнува	zavr̩nuva
лопата	ɫɔpata
библиотека	biblijɔtɛka
поклечи	pɔklɛt͡ʃi
јаден	jadɛn
париз	paɾis
непокажан	nɛpɔkaʒan
потпржува	pɔtpr̩ʒuva
ранозрелост	ranɔzrɛɫɔst
котларски	kɔtɫarski
време	vrɛmɛ
крајречен	krajrɛt͡ʃɛn
формулација	fɔrmuɫat͡sija
фала	faɫa
испотутка	ispɔtutka
шушкав	ʃuʃkaf
жарче	ʒart͡ʃɛ
седенка	sɛdɛŋka
регулација	rɛɡuɫat͡sija
ситнурија	sitnuɾija
изнацепи	iznat͡sɛpi
редакциски	rɛdakt͡siski
високосен	visɔkɔsɛn
половичност	pɔɫɔvit͡ʃnɔst
размерлив	razmɛrlif
безобразност	bɛzɔbraznɔst
конотација	kɔnɔtat͡sija
желудец	ʒɛɫudɛt͡s
местоположба	mɛstɔpɔɫɔʒba
згаденост	zɡadɛnɔst
фасцинација	fast͡sinat͡sija
ранец	ranɛt͡s
дискриминација	diskriminat͡sija
зошо	zɔʃɔ
мачиња	mat͡ʃiɲa
целовит	t͡sɛɫɔvit
двапати	dvapati
закон	zakɔn
чембалистки	t͡ʃɛmbalistki
оклоп	ɔkɫɔp
испита	ispita
девиза	dɛviza
брегови	brɛɡɔvi
лав	ɫaf
гризе	ɡrizɛ
владика	vɫadika
прељубник	prɛlubnik
осин	ɔsin
удобност	udɔbnɔst
грнец	ɡr̩nɛt͡s
префикс	prɛfiks
далечност	dalɛt͡ʃnɔst
роковник	rɔkɔvnik
пердувче	pɛrduft͡ʃɛ
поток	pɔtɔk
мајчин	majt͡ʃin
месец	mɛsɛt͡s
цвеќуле	t͡svɛculɛ
сразмер	srazmɛr
банализација	banalizat͡sija
водата	vɔdata
сводништво	svɔdniʃtvɔ
јадеж	jadɛʃ
брат	brat
достоинство	dɔstɔinstvɔ
изнаброи	iznabrɔi
дотови	dɔtɔvi
неповторливост	nɛpɔftɔrlivɔst
фронт	frɔnt
оладува	ɔɫaduva
костенов	kɔstɛnɔf
планинарски	pɫaninarski
куфер	kufɛr
луѓено	ɫuɟɛnɔ
подоткрие	pɔdɔtkrijɛ
потргне	pɔtr̩ɡnɛ
хемотерапија	xɛmɔtɛrapija
ама	ama
бранителство	branitɛɫstvɔ
острина	ɔstrina
лекторски	lɛktɔrski
мајстор	majstɔr
фондација	fɔndat͡sija
касметлија	kasmɛtlija
виножито	vinɔʒitɔ
вратарка	vratarka
клунка	kɫuŋka
зближува	zbliʒuva
поплаче	pɔpɫat͡ʃɛ
доуништува	dɔuniʃtuva
поточе	pɔtɔt͡ʃɛ
феудализам	fɛudalizam
потсетник	pɔtsɛtnik
тврдоглавост	tvr̩dɔɡɫavɔst
број	brɔj
чаршаф	t͡ʃarʃaf
екранизација	ɛkranizat͡sija
огласник	ɔɡɫasnik
малверзациски	maɫvɛrzat͡siski
амбасадорка	ambasadɔrka
недвижнини	nɛdviʒnini
стокхолм	stɔkxɔɫm̩
роса	rɔsa
изгрев	izɡrɛf
делумно	dɛɫumnɔ
бројност	brɔjnɔst
пустиник	pustinik
амански	amanski
дорушува	dɔruʃuva
ревност	rɛvnɔst
недотриен	nɛdɔtrijɛn
изминува	izminuva
фетиш	fɛtiʃ
јазовец	jazɔvɛt͡s
едро	ɛdrɔ
вбројува	vbrɔjuva
славејче	sɫavɛjt͡ʃɛ
домота	dɔmɔta
побеснува	pɔbɛsnuva
ѓубренце	ɟubrɛnt͡sɛ
ненадминатост	nɛnadminatɔst
самољубивост	samɔlubivɔst
неорганизираност	nɛɔrɡaniziɾanɔst
демонски	dɛmɔnski
снобовски	snɔbɔfski
вулкан	vuɫkan
ненавикнатост	nɛnaviknatɔst
композиторски	kɔmpɔzitɔrski
ќесичка	cɛsit͡ʃka
маса	masa
отшрафува	ɔtʃrafuva
старец	staɾɛt͡s
раскошност	raskɔʃnɔst
амвон	aɱvɔn
ракета	rakɛta
лајно	ɫajnɔ
водам	vɔdam
несфатливост	nɛsfatlivɔst
култивација	kuɫtivat͡sija
разбојнички	razbɔjnit͡ʃki
гракнува	ɡraknuva
дирек	diɾɛk
докажливост	dɔkaʒlivɔst
филтерски	fiɫtɛrski
волшебник	vɔɫʃɛbnik
зарипнатост	zaripnatɔst
ајван	ajvan
кабел	kabɛɫ
есеноска	ɛsɛnɔska
застрашувачки	zastraʃuvat͡ʃki
приближност	pribliʒnɔst
апија	apija
забие	zabijɛ
детонациски	dɛtɔnat͡siski
крошничка	krɔʃnit͡ʃka
вечера	vɛt͡ʃɛɾa
релјефен	rɛljɛfɛn
бичува	bit͡ʃuva
колосек	kɔɫɔsɛk
масиче	masit͡ʃɛ
библиски	bibliski
загаденост	zaɡadɛnɔst
наситува	nasituva
пребројува	prɛbrɔjuva
форма	fɔrma
ксенофобичен	ksɛnɔfɔbit͡ʃɛn
свињарник	sviɲarnik
поклопец	pɔkɫɔpɛt͡s
денот	dɛnɔt
србинка	sr̩biŋka
одгатнува	ɔdɡatnuva
задувува	zaduvuva
гулаб	ɡuɫap
денари	dɛnaɾi
изнафрла	iznafr̩ɫa
лисабонски	lisabɔnski
машинерија	maʃinɛɾija
обостраност	ɔbɔstranɔst
коси	kɔsi
војник	vɔjnik
чотра	t͡ʃɔtra
братучедов	bratut͡ʃɛdɔf
побутнува	pɔbutnuva
кинематографија	kinɛmatɔɡrafija
трајност	trajnɔst
подослаби	pɔdɔsɫabi
непотполност	nɛpɔtpɔɫnɔst
коњица	kɔɲit͡sa
тирана	tirana
тимбуски	timbuski
бајач	bajat͡ʃ
допрва	dɔpr̩va
прераспредели	prɛɾasprɛdɛli
поднаучи	pɔdnaut͡ʃi
усогласеност	usɔɡɫasɛnɔst
симпатичност	simpatit͡ʃnɔst
свиларка	sviɫarka
краткотрајност	kratkɔtrajnɔst
косичка	kɔsit͡ʃka
бигоросува	biɡɔrɔsuva
доучува	dɔut͡ʃuva
другпат	drukpat
ветришта	vɛtriʃta
старолик	staɾɔlik
задуманост	zadumanɔst
автархија	aftarxija
култура	kuɫtuɾa
пивце	pift͡sɛ
краставичка	krastavit͡ʃka
домерува	dɔmɛɾuva
љубовџија	lubɔvd͡ʒija
келнерка	kɛɫnɛrka
новинарка	nɔvinarka
сопружничка	sɔpruʒnit͡ʃka
правда	pravda
ќошеви	cɔʃɛvi
железо	ʒɛlɛzɔ
подизлиже	pɔdizliʒɛ
извисува	izvisuva
популација	pɔpuɫat͡sija
мислител	mislitɛɫ
ученик	ut͡ʃɛnik
божиќ	bɔʒic
елече	ɛlɛt͡ʃɛ
рог	rɔk
нешта	nɛʃta
обезоружува	ɔbɛzɔruʒuva
предодреденост	prɛdɔdrɛdɛnɔst
огромност	ɔɡrɔmnɔst
племе	plɛmɛ
ангелче	aŋɡɛɫt͡ʃɛ
неоправдан	nɛɔpravdan
немарност	nɛmarnɔst
удолу	udɔɫu
модулација	mɔduɫat͡sija
старче	start͡ʃɛ
богат	bɔɡat
базуки	bazuki
ексцентричност	ɛkst͡sɛntrit͡ʃnɔst
битолчанче	bitɔɫt͡ʃant͡ʃɛ
вљубеност	vlubɛnɔst
масло	masɫɔ
глинен	ɡlinɛn
рак	rak
куче	kut͡ʃɛ
прибраност	pribranɔst
оној	ɔnɔj
квас	kvas
ираде	iɾadɛ
сребрен	srɛbrɛn
додаток	dɔdatɔk
утрина	utrina
бездруго	bɛzdruɡɔ
отпара	ɔtpaɾa
поднаостри	pɔdnaɔstri
крал	kraɫ
дожд	dɔʃt
неверојатност	nɛvɛrɔjatnɔst
болник	bɔɫnik
девица	dɛvit͡sa
непроодност	nɛprɔɔdnɔst
сферичност	sfɛɾit͡ʃnɔst
воглавно	vɔɡɫavnɔ
тавтологија	taftɔɫɔɡija
циркулација	t͡sirkuɫat͡sija
докопува	dɔkɔpuva
жило	ʒiɫɔ
персонификација	pɛrsɔnifikat͡sija
водоотпорност	vɔdɔɔtpɔrnɔst
последователност	pɔslɛdɔvatɛɫnɔst
мрзливост	mr̩zlivɔst
безусловност	bɛzusɫɔvnɔst
емиграциски	ɛmiɡrat͡siski
решето	rɛʃɛtɔ
ќумур	cumur
рабоќе	rabɔcɛ
мандарински	mandarinski
зандански	zandanski
тимар	timar
дочитува	dɔt͡ʃituva
девет	dɛvɛt
презентира	prɛzɛntiɾa
заграденост	zaɡradɛnɔst
засмева	zasmɛva
авганистан	avɡanistan
килимче	kilimt͡ʃɛ
симфонија	simfɔnija
дигнатост	diɡnatɔst
недотрошен	nɛdɔtrɔʃɛn
бастунче	bastunt͡ʃɛ
хипопотомонстросесквипедалиофобија	xipɔpɔtɔmɔnstrɔsɛskvipɛdalijɔfɔbija
замрсеност	zamr̩sɛnɔst
вовед	vɔvɛt
скротум	skrotum
интернационален	intɛrnat͡sijɔnalɛn
предвидува	prɛdviduva
хонијарски	xɔnijarski
магистерски	maɡistɛrski
поспаност	pɔspanɔst
напоредност	napɔɾɛdnɔst
њујорчанец	ɲujɔrt͡ʃanɛt͡s
отшелник	ɔtʃɛɫnik
подиспече	pɔdispɛt͡ʃɛ
заглушува	zaɡɫuʃuva
надничарка	nadnit͡ʃarka
споменица	spɔmɛnit͡sa
вики	viki
причина	prit͡ʃina
изнапреде	iznaprɛdɛ
раководителка	rakɔvɔditɛɫka
олабавува	ɔɫabavuva
каталог	kataɫɔk
исповедалница	ispɔvɛdaɫnit͡sa
репа	rɛpa
орален	ɔɾalɛn
потребност	pɔtrɛbnɔst
дрнда	dr̩nda
запегла	zapɛɡɫa
навиткува	navitkuva
занимливост	zanimlivɔst
алати	aɫati
регистраторски	rɛɡistratɔrski
пасош	pasɔʃ
дочистува	dɔt͡ʃistuva
саможивност	samɔʒivnɔst
летен	lɛtɛn
кајсиичка	kajsiit͡ʃka
нагризува	naɡrizuva
нула	nuɫa
прокобница	prɔkɔbnit͡sa
змииште	zmiiʃtɛ
синоќа	sinɔca
задршка	zadr̩ʃka
доктор	dɔktɔr
истишува	istiʃuva
синтетика	sintɛtika
страничка	stranit͡ʃka
струга	struɡa
исползи	ispɔɫzi
заложница	zaɫɔʒnit͡sa
наемен	naɛmɛn
извор	izvɔr
тикварник	tikvarnik
твид	tvit
дворче	dvɔrt͡ʃɛ
погазува	pɔɡazuva
облаче	ɔbɫat͡ʃɛ
изнакити	iznakiti
догмечува	dɔɡmɛt͡ʃuva
нерешителност	nɛɾɛʃitɛɫnɔst
концизност	kɔnt͡siznɔst
празник	praznik
беспределност	bɛsprɛdɛɫnɔst
ќофте	cɔftɛ
доличност	dɔlit͡ʃnɔst
дизајнер	dizajnɛr
тржество	tr̩ʒɛstvɔ
препродаде	prɛprɔdadɛ
радиостаница	radijɔstanit͡sa
трансформатор	transfɔrmatɔr
кат	kat
кумува	kumuva
шеговит	ʃɛɡɔvit
шеријат	ʃɛɾijat
презиме	prɛzimɛ
преиспитува	prɛispituva
јазичен	jazit͡ʃɛn
аздисува	azdisuva
месест	mɛsɛst
триделен	tridɛlɛn
царува	t͡saɾuva
поколва	pɔkɔɫva
замагленост	zamaɡlɛnɔst
мислителка	mislitɛɫka
завојува	zavɔjuva
лете	lɛtɛ
оќелавува	ɔcɛɫavuva
епифора	ɛpifɔɾa
ѕвончест	d͡zvɔnt͡ʃɛst
планета	pɫanɛta
ласкавост	ɫaskavɔst
добања	dɔbaɲa
тефтерче	tɛftɛrt͡ʃɛ
начекува	nat͡ʃɛkuva
полуотворен	pɔɫuɔtvɔɾɛn
ѕевгар	d͡zɛvɡar
вреќа	vrɛca
ракавица	rakavit͡sa
поквачи	pɔkvat͡ʃi
парк	park
поддржател	pɔddr̩ʒatɛɫ
богословија	bɔɡɔsɫɔvija
унија	unija
копнува	kɔpnuva
рубрика	rubrika
ополномоштеник	ɔpɔɫnɔmɔʃtɛnik
свиња	sviɲa
синоптички	sinɔptit͡ʃki
мечок	mɛt͡ʃɔk
престапништво	prɛstapniʃtvɔ
баднички	badnit͡ʃki
бушилка	buʃiɫka
распрденост	raspr̩dɛnɔst
недоразвиеност	nɛdɔɾazvijɛnɔst
разрани	razrani
која	kɔja
прилог	priɫɔk
подготвеност	pɔdɡɔtvɛnɔst
испреплетеност	isprɛplɛtɛnɔst
предвиди	prɛdvidi
дежурство	dɛʒurstvɔ
кркнува	kr̩knuva
ноќева	nɔcɛva
јагленисува	jaɡlɛnisuva
пердаши	pɛrdaʃi
месингов	mɛsiŋɡɔf
оревокршачка	ɔɾɛvɔkr̩ʃat͡ʃka
олимпиец	ɔlimpijɛt͡s
сооднос	sɔɔdnɔs
винарка	vinarka
лудачки	ɫudat͡ʃki
критика	kritika
шише	ʃiʃɛ
таџикистан	tad͡ʒikistan
ѕвечка	d͡zvɛt͡ʃka
вратиче	vratit͡ʃɛ
обвинителски	ɔbvinitɛɫski
повереничка	pɔvɛrɛnit͡ʃka
монархиски	mɔnarxiski
орле	ɔrlɛ
еднојазичност	ɛdnɔjazit͡ʃnɔst
затапеност	zatapɛnɔst
препреденост	prɛprɛdɛnɔst
неугледност	nɛuɡlɛdnɔst
ненапишан	nɛnapiʃan
одмаздољубивост	ɔdmazdɔlubivɔst
недоварен	nɛdɔvaɾɛn
загрозеност	zaɡrɔzɛnɔst
бадемче	badɛmt͡ʃɛ
завртува	zavr̩tuva
пловдив	pɫɔvdif
офталмологија	ɔftaɫmɔɫɔɡija
мирува	miɾuva
неизмерност	nɛizmɛrnɔst
креда	krɛda
непоштеден	nɛpɔʃtɛdɛn
литија	litija
рационализација	rat͡sijɔnalizat͡sija
земја	zɛmja
рус	rus
дописник	dɔpisnik
мамутски	mamutski
оваму	ɔvamu
филтрација	fiɫtrat͡sija
наводнува	navɔdnuva
задолженост	zadɔɫʒɛnɔst
сколовранец	skɔɫɔvranɛt͡s
главен	ɡɫavɛn
авион	avijɔn
крзнарски	kr̩znarski
трошочен	trɔʃɔt͡ʃɛn
намеле	namɛlɛ
кимнува	kimnuva
распоредба	raspɔɾɛdba
доопремува	dɔɔprɛmuva
ќерки	cɛrki
бугарски	buɡarski
го	ɡɔ
изнајмува	iznajmuva
меѓународен	mɛɟunaɾɔdɛn
буква	bukva
алкохоличарка	aɫkɔxɔlit͡ʃarka
извлекува	izvlɛkuva
мавзолеј	mavzɔlɛj
доодговара	dɔɔdɡɔvaɾa
реконструкција	rɛkɔnstrukt͡sija
опредметува	ɔprɛdmɛtuva
робот	rɔbɔt
крошна	krɔʃna
осцилација	ɔst͡siɫat͡sija
гнаси	ɡnasi
кугличка	kuɡlit͡ʃka
чупе	t͡ʃupɛ
кажигаз	kaʒiɡas
мазност	maznɔst
пролет	prɔlɛt
онади	ɔnadi
полигамија	pɔliɡamija
зажлеби	zaʒlɛbi
световност	svɛtɔvnɔst
неподобност	nɛpɔdɔbnɔst
гатачки	ɡatat͡ʃki
прилегнува	prilɛɡnuva
проширува	prɔʃiɾuva
снопје	snɔpjɛ
старешинство	starɛʃinstvɔ
поточен	pɔtɔt͡ʃɛn
ораница	ɔranit͡sa
полусвест	pɔɫusvɛst
оган	ɔɡan
коса	kɔsa
сестриче	sɛstrit͡ʃɛ
книгиве	kniɡivɛ
согласка	sɔɡɫaska
отпатува	ɔtpatuva
плод	pɫɔt
клитика	klitika
ѕврцне	d͡zvr̩t͡snɛ
трева	trɛva
моногамија	mɔnɔɡamija
недугавост	nɛduɡavɔst
шеширче	ʃɛʃirt͡ʃɛ
надвозник	nadvɔznik
идентификација	idɛntifikat͡sija
могила	mɔɡiɫa
загубува	zaɡubuva
ненадминат	nɛnadminat
предизвикува	prɛdizvikuva
безѕвезден	bɛzd͡zvɛzdɛn
престол	prɛstɔɫ
целувка	t͡sɛɫufka
бабулест	babulɛst
презрее	prɛzrɛɛ
кучуле	kut͡ʃulɛ
поборништво	pɔbɔrniʃtvɔ
испосништво	ispɔsniʃtvɔ
мајмун	majmun
федерација	fɛdɛrat͡sija
иглест	iɡlɛst
послужува	pɔsɫuʒuva
извидувач	izviduvat͡ʃ
зашо	zaʃɔ
непропустливост	nɛprɔpustlivɔst
словенски	sɫɔvɛnski
седумка	sɛdumka
мранѕул	mrand͡zuɫ
стврднатост	stvr̩dnatɔst
морнарство	mɔrnarstvɔ
пушти	puʃti
гавранов	ɡavranɔf
бандарски	bandarski
полуспроводник	pɔɫusprɔvɔdnik
интерпункциски	intɛrpuŋkt͡siski
кутнува	kutnuva
пелена	pɛlɛna
присебност	prisɛbnɔst
човекот	t͡ʃɔvɛkɔt
зрно	zr̩nɔ
деветстотини	dɛvɛtstɔtini
разбојничка	razbɔjnit͡ʃka
гравитациски	ɡravitat͡siski
калиум	kalijum
граната	ɡranata
шарпланинци	ʃarpɫanint͡si
дрка	dr̩ka
аирлија	airlija
немилост	nɛmiɫɔst
винов	vinɔf
истресува	istrɛsuva
домеша	dɔmɛʃa
сигурност	siɡurnɔst
гихт	ɡixt
вампир	vampir
бивш	bifʃ
дипломски	dipɫɔmski
монахува	mɔnaxuva
ѓаур	ɟaur
космологија	kɔsmɔɫɔɡija
оцрт	ɔt͡sr̩t
рига	riɡa
крпа	kr̩pa
конфискација	kɔɱfiskat͡sija
абдал	abdaɫ
настран	nastran
бродови	brɔdɔvi
амстердамски	amstɛrdamski
координаторка	kɔɔrdinatɔrka
накодошува	nakɔdɔʃuva
ти	ti
боичка	bɔit͡ʃka
човеков	t͡ʃɔvɛkɔf
грешка	ɡrɛʃka
брливост	br̩livɔst
компарација	kɔmparat͡sija
калкан	kaɫkan
престапен	prɛstapɛn
бодови	bɔdɔvi
метафизика	mɛtafizika
план	pɫan
забрадува	zabraduva
доредува	dɔrɛduva
играч	iɡrat͡ʃ
презакопа	prɛzakɔpa
цицач	t͡sit͡sat͡ʃ
отров	ɔtrɔf
подивеност	pɔdivɛnɔst
крчмарски	kr̩t͡ʃmarski
мангуп	maŋɡup
нимфоманија	niɱfɔmanija
бистрина	bistrina
неумешност	nɛumɛʃnɔst
кенгурче	kɛŋɡurt͡ʃɛ
ноември	nɔɛɱvri
властољубивост	vɫastɔlubivɔst
градителка	ɡraditɛɫka
веселост	vɛsɛɫɔst
зажлебува	zaʒlɛbuva
стерилизациски	stɛɾilizat͡siski
изнавреѓа	iznavrɛɟa
аниматорка	animatɔrka
рамност	ramnɔst
секторски	sɛktɔrski
забновенечен	zabnɔvɛnɛt͡ʃɛn
непогодност	nɛpɔɡɔdnɔst
подмолност	pɔdmɔɫnɔst
недолепен	nɛdɔlɛpɛn
брут	brut
заложнички	zaɫɔʒnit͡ʃki
бугарка	buɡarka
шарпланинчиња	ʃarpɫanint͡ʃiɲa
пробојност	prɔbɔjnɔst
извикува	izvikuva
надзорничка	nadzɔrnit͡ʃka
поткупувач	pɔtkupuvat͡ʃ
умува	umuva
камион	kamijɔn
дарежливост	darɛʒlivɔst
подмладок	pɔdmɫadɔk
раскол	raskɔɫ
сопче	sɔpt͡ʃɛ
квебек	kvɛbɛk
черга	t͡ʃɛrɡa
локатив	ɫɔkatif
воскоса	vɔskɔsa
растрепереност	rastrɛpɛɾɛnɔst
објавувач	ɔbjavuvat͡ʃ
муле	mulɛ
грозје	ɡrɔzjɛ
поткара	pɔtkaɾa
неопределеност	nɛɔprɛdɛlɛnɔst
’рка	r̩ka
притвореничка	pritvɔrɛnit͡ʃka
скелетен	skɛlɛtɛn
распостеле	raspɔstɛlɛ
заќутува	zacutuva
зрнест	zr̩nɛst
јавач	javat͡ʃ
патче	patt͡ʃɛ
сад	sat
соучесница	sɔut͡ʃɛsnit͡sa
иридиум	iridijum
повеќејазичност	pɔvɛcɛjazit͡ʃnɔst
туморски	tumɔrski
пеленче	pɛlɛnt͡ʃɛ
регулациски	rɛɡuɫat͡siski
брашнест	braʃnɛst
испомажи	ispɔmaʒi
експлозија	ɛkspɫɔzija
аритметика	aɾitmɛtika
згрбавеност	zɡr̩bavɛnɔst
поцрта	pɔt͡sr̩ta
септември	sɛptɛɱvri
стагнација	staɡnat͡sija
пакет	pakɛt
везден	vɛzdɛn
полази	pɔɫazi
ишмукува	iʃmukuva
изналепи	iznalɛpi
практика	praktika
кора	kɔɾa
беџови	bɛd͡ʒɔvi
земе	zɛmɛ
доистребува	dɔistrɛbuva
заспива	zaspiva
сабота	sabɔta
аеродинамика	aɛɾɔdinamika
жиг	ʒik
станбен	stambɛn
пишувајте	piʃuvajtɛ
чури	t͡ʃuɾi
жубор	ʒubɔr
шатка	ʃatka
мачеништво	mat͡ʃɛniʃtvɔ
вибрација	vibrat͡sija
подиспраша	pɔdispraʃa
пушка	puʃka
шефовство	ʃɛfɔfstvɔ
изгушка	izɡuʃka
будалест	budalɛst
проповедник	prɔpɔvɛdnik
ѕиври	d͡zivri
златце	zɫatt͡sɛ
депилациски	dɛpiɫat͡siski
радар	radar
испразнува	ispraznuva
бебенце	bɛbɛnt͡sɛ
ноќница	nɔcnit͡sa
недомесен	nɛdɔmɛsɛn
ганѕало	ɡand͡zaɫɔ
рутински	rutinski
дата	data
лифт	lift
дозрева	dɔzrɛva
прекитува	prɛkituva
јагне	jaɡnɛ
дрдорење	dr̩dɔɾɛɲɛ
драстичност	drastit͡ʃnɔst
лаворов	ɫavɔɾɔf
сламен	sɫamɛn
пламен	pɫamɛn
изнапика	iznapika
просторност	prɔstɔrnɔst
вреднувач	vrɛdnuvat͡ʃ
проверлив	prɔvɛrlif
кочина	kɔt͡ʃina
еротика	ɛrɔtika
тројче	trɔjt͡ʃɛ
мртвило	mr̩tviɫɔ
дотка	dɔtka
дефлација	dɛfɫat͡sija
мечувалци	mɛt͡ʃuvaɫt͡si
смотаност	smɔtanɔst
кутија	kutija
ветриште	vɛtriʃtɛ
чаеви	t͡ʃaɛvi
малост	maɫɔst
суштественост	suʃtɛstvɛnɔst
’рж	r̩ʃ
бреза	brɛza
обезнадежува	ɔbɛznadɛʒuva
презаспие	prɛzaspijɛ
редакторство	rɛdaktɔrstvɔ
грмушка	ɡr̩muʃka
настојчивост	nastɔjt͡ʃivɔst
истумба	istumba
пратеништво	pratɛniʃtvɔ
бранови	branɔvi
раскали	raskali
преса	prɛsa
у	u
власец	vɫasɛt͡s
бугарин	buɡaɾin
лабилност	ɫabiɫnɔst
интонација	intɔnat͡sija
вадуц	vadut͡s
новинар	nɔvinar
превоспита	prɛvɔspita
двојник	dvɔjnik
говедо	ɡɔvɛdɔ
улица	ulit͡sa
расудност	rasudnɔst
вино	vinɔ
лема	lɛma
германец	ɡɛrmanɛt͡s
ѓезве	ɟɛzvɛ
бран	bran
ѕунлив	d͡zunlif
четник	t͡ʃɛtnik
подградец	pɔdɡradɛt͡s
грбоносен	ɡr̩bɔnɔsɛn
несакан	nɛsakan
чевличка	t͡ʃɛvlit͡ʃka
недостојност	nɛdɔstɔjnɔst
лаѓа	ɫaɟa
неизјаснет	nɛizjasnɛt
фрижидер	friʒidɛr
ножици	nɔʒit͡si
анестетичарка	anɛstɛtit͡ʃarka
торта	tɔrta
исповади	ispɔvadi
гужва	ɡuʒva
везирство	vɛzirstvɔ
изнадава	iznadava
азербајџан	azɛrbajd͡ʒan
русин	rusin
подгорица	pɔdɡɔɾit͡sa
недобричен	nɛdɔbrit͡ʃɛn
свршенички	svr̩ʃɛnit͡ʃki
пиварство	pivarstvɔ
безрбетник	bɛzr̩bɛtnik
летало	lɛtaɫɔ
штава	ʃtava
чедоубиство	t͡ʃɛdɔubistvɔ
гласачки	ɡɫasat͡ʃki
перничка	pɛrnit͡ʃka
курвиче	kurvit͡ʃɛ
местенце	mɛstɛnt͡sɛ
