medd	meːð
sgîl	sɡiːl
gwasanaeth	ɡwasanaɨ̯θ
system	sɨ̞sdɛm
dagrau	daɡra
gwybodaeth	ɡwɨ̞bɔdɛθ
peithiau	pei̯θja
iwd	ɪu̯d
arolygiaethau	arɔləɡjeɨ̯θɛ
goleuadau	ɡɔleɨ̯ada
palmant	palmant
blaidd	blai̯ð
trwyddedau	trʊɨ̯ðɛda
brwmstan	brʊmsdan
olwg	ɔlʊɡ
arolygol	arɔləɡɔl
fasen	sɛn
dry	drɨː
sefydlu	sɛvədlɨ
ngweithiwr	ŋwei̯θjʊr
genedigaeth	ɡɛnɛdɪɡɛθ
gwêl	ɡweːl
esgidiau	sɡɪdjɛ
chymedrolwr	χəmɛdrɔlʊr
peiriannau arian parod	pei̯rjanaɨ̯arjanparɔd
paffiwr	pafjʊr
cryd	krɨːd
gwynnu	ɡwənɨ
trydar	trədar
deiliadaeth	dei̯ljadaɨ̯θ
olewydd	ɔlɛu̯ɨ̞ð
heuldro'r haf	heɨ̯ldrɔrhaː
talai	talɛ
cymysglyd	kəməsɡlɨ̞d
gefeilles	ɡɛvei̯ɬɛs
iasau	jasɛ
anghytuno	aŋhətɨnɔ
pleth	pleːθ
ceredigion	kɛrɛdɪɡjɔn
dalia	dalja
wŷdd	wɨːð
copog	kɔpɔɡ
cloent	kloːɨ̯nt
gloan	ɡlɔan
dyrys	dərɨ̞s
adlaw	adlau̯
masgau	masɡaɨ̯
delw	dɛlu
arfedd	arvɛð
dagrau	daɡrɛ
èch	ɛχ
nhîm	n̥iːm
ngwlad pwyl	ŋwlaːdpuːɨ̯l
haelwyd	heɨ̯lʊɨ̯d
cachlwyth	kaχlʊɨ̯θ
cyntaf	kənta
animeiddiwr	anɪmei̯ðjʊr
garai	ɡarai̯
unllygeidiog	ɨ̞nɬəɡei̯djɔɡ
adlamau	adlamɛ
garafán	ɡaravan
rhannu	r̥anɨ
âl	aːl
traethodau	treɨ̯θɔdɛ
pwyll	puːɨ̯ɬ
magnelwyr	maɡnɛlʊr
tarianau	tarjana
arfedd	arvað
mrechdan	mrɛχdan
adweinid	adwei̯nɪd
cloan	klɔan
rhith	r̥iːθ
phedol	fɛdɔl
geifr	ɡei̯vr
disgyblion	dɪsɡəbljɔn
cen coed	kɛnkoːɨ̯d
moel	moːɨ̯l
chwi	χwiː
mewnforiwr	mɛu̯nvɔrjʊr
corffluoedd	kɔrflɨːɔɨ̯ð
fwthyn	vʊθɨ̞n
asesiad	asɛʃad
angladdau	aŋlaðaɨ̯
gaf	ɡaːv
undeb	ɨ̞ndɛb
llawen	ɬau̯an
llawen	ɬau̯ɛn
nghaeredin	ŋ̊aɨ̯rɛdɨ̞n
garu	ɡarɨ̞
taw	tə
ddoi	ðɔi̯
afalau	valɛ
anghydsynio	aŋhɨ̞dsənjɔ
gwayw	ɡweɨ̯u
gorlifaf	ɡɔrlɪvav
phobloedd	fɔblɔɨ̯ð
bopty	bɔptɨ
gwenith	ɡwɛnɪθ
blodau	blɔdaɨ̯
dynnu	dənɨ
caniau	kanjɛ
ffraeo	freɨ̯ɔ
lwyth	lʊɨ̯θ
chadair	χadar
welydd	wɛlɨ̞ð
tyb	tɨːb
storïau	sdɔriːa
pobloedd	pɔblɔɨ̯ð
cydweithredwyr	kɨːdwei̯θrɛdwɨ̞r
thala	θala
flynedd	vlənað
melfaréd	mɛlvarɛd
rhwystrau	r̥ʊɨ̯sdraɨ̯
mhysgodyn	m̥əsɡɔdɨ̯n
dyfarnu	dəvarnɨ
dydy	dədɨ̞
nawf	nau̯v
chinio	χɪnjɔ
gwylanod	ɡʊɨ̯lanɔd
corhwyaid	kɔrhʊɨ̯ɛd
pump	pɨ̞mp
cyfarwys	kəvarʊɨ̯s
cut	kɨ̞t
cyhydnos yr hydref	kəhədnɔsərhədrɛv
teimlo	tei̯mlɔ
tun te	tɨ̞nteː
nadroedd	nadrɔɨ̯ð
torso	tɔrsɔ
mharod	m̥arɔd
cefnog	kɛvnɔɡ
argraffiadwyr	arɡrafjadwɨ̞r
dwywaith	dʊɨ̯wɛθ
potsio	pɔtʃɔ
byth	bɨ̞θ
almanac	almanak
edliw	ɛdlɪu̯
plygiau	pləɡjaɨ̯
galed	ɡalad
cymryd	kəmrɨ̞d
origami	ɔrɪɡami
afalau	vala
ngwely	ŋwɛlɨ
nghar	ŋ̊ar
terfysgwyr	tɛrvəsɡwɨ̞r
ffroenuchel	frɔɨ̯nɨ̞χal
nghnwd	ŋ̊nuːd
ffres	frɛʃ
anrhydeddu	anr̥ədɛðɨ
canghellor	kaŋhɛɬɔr
diodydd	djɔdɨ̞ð
chastell	χasdɛɬ
adferiadau	advɛrjada
phyliau	fəljɛ
canhwyllau	kanhʊi̯ɬa
adre	adrɛ
efo	ɛvɔ
gachen	ɡaχɛn
ystad	əsdad
wyneb	wɨnab
pasiaf	paʃa
heddferch	hɛðvɛrχ
nadlwytho	nadlʊɨ̯θɔ
gaffi	ɡafi
fasen	vasan
isteitlau	iːsdei̯tlɛ
lliwio	ɬɪu̯jɔ
fflwcsyn	flʊksɨ̞n
cledd	kleːð
gana	ɡana
ffesant	fɛsant
ffordd	fɔrð
brics	brɪks
achubiaeth	aχɨ̞bjɛθ
barnau	barna
saltring	saltrɪŋ
chymorth	χəmɔrθ
tyllau	təɬɛ
gwanwyn	ɡwanwɨ̞n
sbaen	sbaːɨ̯n
fwyaf	vʊɨ̯av
dannoedd	danɔɨ̯ð
rhewi	r̥ɛu̯i
rhegfa	r̥ɛɡva
cymedrolwr	kəmɛdrɔlʊr
broga	brɔɡa
rhad	r̥aːd
eirinen ysgaw	ei̯rɪnɛnəsɡau̯
cymraesau	kəmreɨ̯sa
asyn	asɨ̞n
unais	ɨ̞nɛʃ
ysgawen	əsɡau̯an
ysgub	əsɡɨ̞b
gwilym	ɡwɪlɨ̞m
cachgi bwm	kaχɡɪbʊm
ciciau cosb	kɪkjaɨ̯koːsb
phrydain	frədɛn
brawychwr	brau̯əχʊr
ysgaw	əsɡau̯
adfent	advɛnt
cyfle	kəvla
cristnogol	krɪsdnɔɡɔl
pengwin	pɛŋɡwɪn
seithfed	sei̯θvad
adfywiol	advɨ̞u̯jɔl
carest	karɛsd
lygaid	lɨ̞ɡɛd
llinyn	ɬɪnɨ̞n
iddewesau	ɪðɛu̯ɛsaɨ̯
nghenhinen	ŋ̊ɛnhɪnan
masgio	masɡjɔ
elsem	ɛlsɛm
ymdopi	əmdɔpi
thelynores	θɛlənɔrɛs
ddim	m
deisen	dei̯ʃɛn
amrantiad	amrantjad
adleisiau	adlei̯ʃa
plethwaith	plɛθwai̯θ
fwltur	vʊltɨ̞r
ysmygu	əsməɡɨ
drennydd	drɛnɨ̞ð
pandemigau	pandɛmɪɡɛ
absenoldeb	absɛnɔldɛb
nghlywed	ŋ̊ləu̯ɛd
malwod	malwɔd
cydweithiad	kɨːdwei̯θjad
tenantiaethau	tɛnantjeɨ̯θɛ
mathau	maθaɨ̯
llond	ɬɔnd
disgybl	dɪsɡɪbl
daliadaeth	daljadɛθ
picau ar y maen	pɪkaarəmaːɨ̯n
milwrol	mɪlʊrɔl
ysbryd	əsbrɨ̞d
dyrysni	dərəsni
busnes	bɨ̞snɛs
protestaniaid	prɔtɛsdanjai̯d
ffrwydro	frʊɨ̯drɔ
gweud	ɡweɨ̯d
bryfed	brəvad
canmoliaethau	kanmɔljeɨ̯θɛ
chroes	χroːɨ̯s
siomau	ʃɔmaɨ̯
anghydweld	aŋhɨ̞dwɛld
swyno	sʊɨ̯nɔ
ers	ɛrs
glawio	ɡlau̯jɔ
olewydden	ɔlɛu̯əðɛn
bresychen	brɛsəχan
mỳg	məɡ
habadaethau	habadeɨ̯θɛ
ugain	ɪɡjan
weddi'r arglwydd	wɛðɪrarɡluɨ̯ð
gorfodog	ɡɔrvɔdɔɡ
ddigwydd	ðɪɡwɨ̞ð
synnwyr	sənwɨ̞r
siomedig	ʃɔmɛdɪɡ
nghythraul	ŋ̊əθral
brawychdod	brau̯əχdɔd
nghân	ŋ̊aːn
gredo	ɡrɛdɔ
cyfryngiadau	kəvrəŋjadaɨ̯
cyfartalog	kəvartalɔɡ
mag	maɡ
degfed	dɛɡvad
mlaidd	mlai̯ð
blew	bleːu̯
unigolyn	ɨ̞nɪɡɔlɨ̞n
chnau ffrengig	χnaɨ̯frɛŋɪɡ
eto	ɛtɔ
unai	ɨ̞nai̯
gefn	ɡɛvn
sgriau	sɡriːɛ
moll	mɔɬ
llosgfaen	ɬɔsɡvaɨ̯n
nghelyn	ŋ̊ɛlɨ̞n
aethid	eɨ̯θɪd
pencampwr	pɛŋkampʊr
llanw	ɬanu
bysell	bəsɛɬ
rhanbarthau	r̥ambarθa
ocsiynau	ɔkʃənɛ
deuparth	deɨ̯parθ
esgyn	ɛsɡɨ̞n
conwydd	kɔnwɨ̯ð
w	w
clawdd	klaːu̯ð
nharianau	n̥arjana
torri	tɔri
gwaeth	ɡwaːɨ̯θ
adar o'r unlliw hedant i'r unlle	adarɔrɨ̞nɬɨ̞u̯hɛdantɪrɨ̞nɬɛ
caill	kai̯ɬ
chwisgi	wɪsɡi
gwningen	ɡʊnɪŋɛn
deisen	dei̯ʃan
dydd iau	dɨ̞jaɨ̯
ficer	vɪkar
o dan	ɔdan
mantais	mantai̯s
aderyn	adɛrɨ̞n
clywaf	kləwav
thaflu	θavlɨ
egyr	ɛɡɨ̞r
chwisgi	χwɪsɡi
deddfu	dɛðvɨ
hwylio	hʊɨ̯ljɔ
bywgraffiadur	bɨu̯ɡrafjadɨ̞r
ferch	vɛrχ
argrafiadau	arɡrafjada
gael	ɡaːl
treigladau	treiɡljadɛ
cachais	kaχai̯s
fywyd	vəu̯ɨ̞d
band llydan	bandɬədan
cwd	kuːd
bysellfwrdd	bəsɛɬvʊrð
unit	ɨ̞nɪt
corhwyaden	kɔrhʊɨ̯adɛn
ceulo	keɨ̯lɔ
ngogledd	ŋɔɡlað
dewch	dɛu̯χ
rhuthraf	r̥ɨ̞θra
edrydd	ɛdrɨ̞ð
oedi	ɔɨ̯di
synio	sənjɔ
awyren	au̯ərɛn
lloc	ɬɔk
cwm	kʊm
neuadd	neɨ̯að
ysgrifennu	sɡwɛnɨ
piau	piːɛ
adwaen	adwaɨ̯n
tenau	tɛnɛ
conwydden	kɔnwɨ̞ðan
llygod	ɬəɡɔd
cyfoethog	kəvɔɨ̯θɔɡ
crydiau	krədja
crychach	krəχaχ
brecsit	brɛksɪt
golau	ɡɔla
picau ar y maen	pɪkɛarəmaːɨ̯n
niwclear	nɪu̯klɛar
chael	χaːɨ̯l
cyngyd	kəŋɨ̞d
gardd	ɡarð
thalu	θalɨ
anghofus	aŋhɔvɨ̞s
nghychwyn	ŋ̊əχwɨ̞n
tyrrau	təra
nhân	n̥aːn
angylaidd	aŋəlɛð
mwnt	mʊnt
sgythia	sɡəθja
gwrthrychol	ɡʊrθrəχɔl
chwyldro	χwɨ̞ldrɔ
thaw	θau̯
dudalen	dɨ̞dalan
helc	hɛlk
glaw	ɡlaːu̯
gweinyddiaeth	ɡwei̯nəðjaɨ̯θ
ngolau	ŋɔlɛ
crwst	krʊsd
caer arianrhod	kaːɨ̯rarjanr̥ɔd
neilen	nei̯lan
doeddech	dɔɨ̯ðɛχ
cloriau	klɔrjɛ
fod	voːd
barnau	barnaɨ̯
dryswch	drəsʊχ
cymylau	kəməlaɨ̯
nghymorth	ŋ̊əmɔrθ
asgell	asɡaɬ
gaffel	ɡafɛl
thrennydd	θrɛnɨ̞ð
boch	boːχ
ar ôl	aroːl
gellyg	ɡɛɬɨ̞ɡ
llyf	ɬɨːv
cristion	krɪsdjɔn
rhydau	r̥ədɛ
llu	ɬɨː
crydiau	krədjɛ
wyau	ʊi̯ɛ
brawychiadau	brau̯əχjadaɨ̯
peirianwaith	pei̯rjanwɛθ
iawn	jau̯n
bin	bɪn
meddiannol	mɛðjanɔl
bi	biː
hwyaid	hʊɨ̯ai̯d
rhyfedd	r̥əvɛð
ceillgwd	keiɬɡʊd
gân	ɡaːn
blodau	blɔda
ardderchog	arðɛrχɔɡ
cofiwn	kɔvjʊn
adlamu	adlamɨ̞
pymthegfed	pəmθɛɡvɛd
gwenynen fêl	ɡwenənɛnveːl
elai	ɛlai̯
wair	wai̯r
adar duon	adardɨːɔn
barnu	barnɨ
arholiadau	arɔljadɛ
ar gau	arɡaɨ̯
siocled	ʃɔklad
taclus	taklɨ̞s
nghlybiau	ŋ̊ləbjɛ
adargi	adarɡɪ
lundain	lɨ̞ndai̯n
cafiâr	kavjaːr
wythnos	ʊθnɔs
genwair	ɡɛnwar
llong	ɬɔŋ
cerpyn	kɛrpɨ̞n
lesau	lɛsa
adweinir	adwei̯nɪr
dilyn	dɪlɨ̞n
cytseiniaid	kətsei̯njai̯d
barbeciws	barbɛkɪu̯s
eiliad	ei̯ljad
iâ	jaː
lysiau	ləʃaɨ̯
chyflym	χəvlɨ̞m
onnen	ɔnan
chwardd	χwarð
cwbl	kʊbʊl
dadwisgo	dadwɪsɡɔ
byddwn	bəðʊn
fas	vaːs
pinafal	piːnaval
nghwch	ŋ̊ʊχ
athro	aθrɔ
nos sul	noːssɨːl
nhew	n̥eːu̯
cares	karɛs
darllen	darɬɛn
corgi	kɔrɡi
thŷ	θɨː
nos lun	noːslɨːn
portiwgal	pɔrtɪu̯ɡal
lolfa	lɔlva
neges	nɛɡɛs
argraffyddion	arɡrafəðjɔn
taler	talɛr
throednoeth	θrɔɨ̯dnɔɨ̯θ
cymharu	kəmharɨ
cacs	kaks
mwthyn	mʊθɨ̞n
leicio	lɪkjɔ
undebau	ɨ̞ndɛbaɨ̯
torlannau	tɔrlanaɨ̯
gyngor	ɡəŋɔr
mamau	mamɛ
basen	bəsɛn
adenydd	adɛnɨ̞ð
nghydbreswylwyr	ŋ̊ɨːdbrɛsʊɨ̯lwɨ̞r
drygioni	drəɡjɔni
wybr	ʊɨ̯br
throed	θroːɨ̯d
nhwymyn	n̥ʊɨ̯mɨ̞n
melltithio	mɛɬdɪθjɔ
bagét	baɡɛt
eirinen	ei̯rɪnɛn
adlamau	adlamaɨ̯
uno	ɨ̞nɔ
dylai	dəlai̯
fag	vaːɡ
torlan	tɔrlan
gweithiwr	ɡwei̯θjʊr
cadno	kadnɔ
affwys	afʊɨ̯s
ambell	ambaɬ
ohirio	ɔhɪrjɔ
dydy	dədi
lleiandai	ɬei̯andai̯
gweddïau	ɡwɛðiːa
ar draws	ardrau̯s
dâl	daːl
chwythaf	χwəθav
eler	ɛlɛr
cantores	kantɔrɛs
ciledrych	kɪlɛdrɨχ
cyfryngiad	kəvrəŋjad
palu	palɨ
men siarlys	mɛnʃarlɨ̞s
ciciau adlam	kikjaɨ̯adlam
llefarydd	ɬɛvarɨ̞ð
nghôt law	ŋ̊oːtlaːu̯
arolwg	arɔlʊɡ
dychryniadau	dəχrənjadɛ
cyllell	kəɬaɬ
rhwyfau	r̥ʊɨ̯vaɨ
chathod	χaθɔd
hefin	hɛvɪn
thud	θɨːd
erthygl	ɛrθɨ̞ɡl
pob	poːb
deirw	dei̯ru
alan	alan
caeaf	keɨ̯a
drwyddedau	drʊɨ̯ðɛdɛ
ladin	ladɪn
poblog	pɔblɔɡ
tryweli	trəu̯ɛli
yw	ɨ̞u̯
dolïau	dɔlɪa
mehefin	mɛhɛvɪn
chlefyd	χlɛvɨ̞d
tharianau	θarjanɛ
argraffiadydd	arɡrafjadɨ̞ð
fuwch	vɨu̯χ
daearfoch	deɨ̯arvɔχ
wario	warjɔ
fi	viː
gwerinwyr	ɡwɛrɪnwɨ̞r
ŷd	ɨːd
adferiadydd	advɛrjadɨ̞ð
caeredin	kaɨ̯rɛdɨ̞n
mwyaren	mʊɨ̯arɛn
bleiddiau	blei̯ðjaɨ̯
chlybiau	χləbja
llungopïwyr	ɬɨːŋɡɔpɪwɨ̞r
chwennych	χwɛnɨ̞χ
oriau	ɔrjaɨ̯
rondefŵ	rɔndɛvuː
siwrnai	ʃʊrna
seshys	sɛʃɨ̞s
gloyw	ɡlɔɨ̯u
adarwyr	adarwɨ̞r
daler	dalɛr
arweinyddion	arwei̯nəðjɔn
cadwyn	kadʊɨ̯n
dyrrau	dərɛ
doen	doːɨ̯n
gylfin	ɡəlvɪn
arddwrn	arðʊrn
ysglodyn	sɡlɔdɨ̞n
mewnforio	mɛu̯nvɔrjɔ
wylo	ʊɨ̯lɔ
puramid	pɨ̞ramɪd
abadesau	abadɛsaɨ̯
tybed	təbɛd
hyblyg	həblɨ̞ɡ
mynydd	mənɨ̞ð
cyfan	kəvan
adnabyddi	adnabəðɪ
bryf	brɨːv
rhych	r̥ɨːχ
rhwystredigaeth	r̥ʊɨ̯sdrɛdɨ̞ɡaɨ̯θ
petryalau	pɛtrɨ̞alɛ
adarydd	adarɨ̞ð
cau	kaɨ̯
pendant	pɛndant
rhesymol	r̥ɛsəmɔl
cwmws	kʊmʊs
gwobrwyon	ɡwɔbrʊɨ̯ɔn
glasach	ɡlasaχ
blanced	blaŋkɛd
elem	ɛlɛm
amlach	amlaχ
gwialen bysgota	ɡwialɛnbəsɡɔta
ad	aːd
hanner	hanar
ysguthan	sɡɨ̞θan
closed	klɔsɛd
chysgu	χəsɡɨ
cyfle	kəvlɛ
cloriau	klɔrja
nghusanau	ŋ̊ɨ̞sanaɨ̯
yng	əŋ
glythineb	ɡləθɪnɛb
lifftiau	lɪfdjɛ
arolygwyr	arɔləɡwɨ̞r
dorrai	dɔrɛ
ganer	ɡanɛr
croth	kroːθ
ambeutu	ambeɨ̯tɨ̞
man	man
cyfrifoldebau	kəvrɪvɔldɛba
hysgi	həsɡi
gorffennol	ɡɔrfɛnɔl
adleisio	adlei̯ʃɔ
bandiau	bandja
jyngl	d͡ʒəŋɡl
closen	klɔsɛn
cholli	χɔɬi
mhasta	m̥asda
camlwrw	kamlʊrʊ
sgil	sɡiːl
swnt	sʊnt
talais	talɛs
picwnen goch	pɪkʊnɛŋɡoːχ
prydain fawr	prədai̯nvau̯r
neb	neːb
moliannau	mɔljanɛ
profi	prɔvi
waliau	walja
di	diː
arholiadau	arhɔljadaɨ̯
adfywiadau	advɨ̞u̯jadaɨ̯
esgaladur	ɛsɡaladɨ̞r
baned	banɛd
cyffwrdd	kəfʊrð
fel hyn	vɛlhɨ̞n
treisiwr	trei̯ʃʊr
llyfr	ɬɨ̞vr
coeden	kɔɨ̯dan
u	ɨː
chansen	χansɛn
offeren	ɔfɛrɛn
af	aːv
ocsigenu	ɔksɪɡɛnɨ
neidio	nei̯djɔ
tyrrau	tərɛ
ennill	ɛnɪɬ
ysbyty	sbətɨ
ddegfed	ðɛɡvad
ngwenoliaid	ŋwɛnɔljɛd
wiwer	wɪu̯ar
ffermio	fɛrmjɔ
tŷ	tɨː
terfyn	tɛrvɨn
effaith	ɛfɛθ
llam	ɬam
amau	ama
elsech	ɛlsɛχ
torchau	tɔrχɛ
gwnaeth	naːθ
gwybodaeth	ɡwəbɔdɛθ
mygydau	məɡəda
llamidyddion	ɬamɪdəðjɔn
elwn	ɛlʊn
adferf	advɛrv
cefnau	kɛvnaɨ̯
teitlau	tei̯tlɛ
bastai	basdai̯
pabi	pabɪ
cristnogaeth	krɪsdnɔɡɛθ
loegr newydd	lɔɨ̯ɡərnɛu̯ɨ̞ð
cwmpas	kʊmpas
crydd	krɨːð
cnawd	knau̯d
efallai	ɛvaɬɛ
nghyfnither	ŋ̊əvnɪθɛr
denfyn	dɛnvɨ̞n
chut	χɨ̞t
ehangu	ɛhaŋɨ̞
mlynyddoedd	mlənəðɔɨ̯ð
syfi	səvi
ffilmiau	fɪlmjaɨ̯
bencampwriaeth	bɛŋkampʊrjaɨ̯θ
mhabell	m̥abaɬ
ysboncio	əsbɔŋkjɔ
gadd	ɡaːð
agoraf	aɡɔra
cesail	kɛsai̯l
thafarnwr	θavarnʊr
dalcen	dalkan
unet	ɨ̞nɛt
brwyna	brʊɨ̯na
milwyr	mɪlwɨ̞r
nghloch	ŋ̊loːχ
cwrs	kʊrs
rhosyn	r̥ɔsɨ̞n
canes	kanɛs
mhum	m̥ɨ̞m
aethit	eɨ̯θɪt
culdir	kɨ̞ldɪr
gneuen gyll	ɡneɨ̯anɡɨ̞ɬ
cweryl	kwɛrɨ̞l
dydd llun	dɨːðɬɨːn
rheoliadau	r̥ɛɔljadɛ
nhre	n̥reː
nhyrrau	n̥ərɛ
llochesau	ɬɔχɛsa
dechrau	dɛχraɨ̯
nghlefyd	ŋ̊lɛvɨ̞d
gweddi'r arglwydd	ɡwɛðɪrarɡluɨ̯ð
anrheg	anr̥ɛɡ
bancio	baŋkɔ
basta	basda
llyfn	ɬɨ̞vn
gwesgyr	ɡwɛsɡɨ̞r
tau	taɨ̯
lygad	ləɡad
dyblu	dəblɨ
ffrygydau	frəɡəda
garais	ɡarɛʃ
dyrysfa	dərəsva
taeogtref	teɨ̯ɔɡtrɛv
creisionen	krei̯ʃɔnɛn
trom	trɔm
canolbarth	kanɔlbarθ
baratoi	baratɔi̯
curo	kɨ̞rɔ
technoleg gwybodaeth	tɛχnɔlɛɡɡwəbɔdaɨ̯θ
llungopi	ɬɨ̞ŋɡɔpi
cherdded	χɛrðɛd
hwyaden	hʊɨ̯adɛn
try	trɨː
ymweld	əmwɛld
beirniadaeth	bei̯rnjadaɨ̯θ
gestyll	ɡɛsdɨ̞ɬ
hyll	hɨ̞ɬ
blwyddyn golau	blʊɨ̯ðɨ̞nɡɔlaɨ̯
cacennau	kakɛna
hechrydu	hɛχrədɨ
orffen	ɔrfan
gloset	ɡlɔsɛt
neidiau	nei̯djɛ
carew	karɛu̯
cathau	kaθa
nos sadwrn	noːssadʊrn
elli	ɛɬɪ
cosyn	kɔsɨ̞n
swm	sʊm
gweithgaredd	ɡwei̯θɡarɛð
sêr	seːr
llyfrgellydd	ɬəvrɡɛɬɨ̞ð
cait	kai̯t
un ar hugain	ɨːnarhɪɡai̯n
bigwrn	bɪɡʊrn
twymyn	tʊɨ̯mɨ̞n
nghrwth	ŋ̊ruːθ
tebyg	tɛbɨ̞ɡ
blwydd	bluːɨ̯ð
roi	rɔi̯
nos	noːs
celynnen	kɛlənɛn
cneuen	kneɨ̯ɛn
gwalch marth	ɡwalχmarθ
siwmper	ʃʊmpɛr
march	marχ
tân gwyllt	taːŋɡwɨːɬd
berfenwau	bɛrvɛnwa
bethau	bɛθɛ
abwyd	abʊɨ̯d
hyn a'r llall	hɨ̞narɬaɬ
deall	dɨ̞aɬ
cansai	kansɛ
padell	padɛɬ
ffrengig	frɛŋɪɡ
w	ʊ
syndodau	səndɔda
hy	hɨː
dydd gwener	dɨ̞ðɡwɛnar
caws	kau̯s
lasen	lasɛn
cwmpawd	kʊmpau̯d
manceinion	maŋkei̯njɔn
harian	harjan
lasach	lasaχ
orffen	ɔrfɛn
fyrdd	vɨ̞rð
teisennau	tɪʃɛna
cledr	klɛdr
mapiau	mapjaɨ̯
isteitlau	iːsdei̯tlaɨ̯
piws	pɪu̯s
pìn	pɪn
brawiau	brau̯jɛ
canrif	kanrɪv
cystadleuaeth	kəsdadleɨ̯ɛθ
lifft	lɪfd
gwinoedd	ɡwɪnɔɨ̯ð
nghawl	ŋ̊au̯l
cyfrinach	kəvrɪnaχ
gweriniaethau	ɡwɛrɪnjeɨ̯θɛ
maes awyr	maːɨ̯sau̯ɨ̞r
adferant	advɛrant
caffai	kafai̯
braw	braːu̯
doeddwn	dɔɨ̯ðʊn
ellyll	ɛɬɨ̞ɬ
gwelais	ɡwɛlɛs
agerlongau	aɡɛrlɔŋɛ
braich	brai̯χ
argraffiadol	arɡrafjadɔl
syrthio	sərθjɔ
sgìl	sɡɪl
safle	savlɛ
croeshoeliad	krɔɨ̯shɔɨ̯ljad
ymlaen llaw	əmlaːɨ̯nɬaːu̯
amgylcheddol	amɡəlχɛðɔl
nghymru	ŋ̊əmrɨ̞
droid	drɔi̯d
mhengwiniaid	m̥ɛŋɡwɪnjɛd
mam	mam
ystifflog	əsdɪflɔɡ
beirniadol	bei̯rnjadɔl
clodwiw	klɔdwɪu̯
agos	aɡɔs
gampfa	ɡampva
cyfarch	kəvarχ
eisiau	ei̯ʃaɨ̯
teisen	tei̯sɛn
tradwy	tradʊɨ̯
derbynneb	dɛrbənɛb
redeg	rɛdɛɡ
hedd	heːð
wybod	ʊbɔd
ffydd	fɨːð
anobaith	anɔbaiθ
gradd	ɡraːð
leision	lei̯ʃɔn
sgriau	sɡriːa
cydweithrediad	kɨːdwei̯θrɛdjad
aredaf	arɛda
lawio	lau̯jɔ
brawiau	brau̯ja
diolchgarwch	dɪɔlχɡarʊχ
garet	ɡarɛt
gweddïo	ɡwɛðɪɔ
eirin	ei̯rɪn
garwr	ɡarʊr
crwt	krʊt
caiff	kai̯f
araf	arav
gares	ɡarɛs
werthu	wɛrθɨ
dorsen	dɔrsɛn
efyrnwy	ɛvərnʊɨ̯
cytgord	kətɡɔrd
el	ɛl
drannoeth	dranɔɨ̯θ
pedoli	pɛdɔlɪ
llaith	ɬai̯θ
uned	ɨ̞nɛd
llenyddiaeth	ɬɛnəðjaɨ̯θ
canmoladwy	kanmɔladʊɨ̯
glustdlws	ɡlɨ̞sdlʊs
nhwrci	n̥ʊrki
derbyniad	dɛrbənjad
lleianaeth	ɬei̯anɛθ
pib	piːb
trefi	trɛvi
taranau	taranaɨ̯
cildwrn	kɪldʊrn
unid	ɨ̞nɪd
blwyddyn golau	blʊɨ̯ðɨ̞nɡɔlɛ
cacynen	kakənan
adegau	adɛɡɛ
briciau	brikjɛ
ffêr	feːr
dydd gwener	dɨ̞ɡwɛnɛr
nghefnau	ŋ̊ɛvnɛ
nydden	nəðɛn
cest	kɛsd
talom	talɔm
afonfarch	avɔnvarχ
abergofiant	abɛrɡɔvjant
buddion	bɨ̞ðjɔn
buddsoddi	bɨ̞ðsɔðɪ
gweision	ɡwei̯ʃɔn
taf	taːv
cryddiaeth	krəðjɛθ
hefyd	hɛvɨ̞d
sianis	ʃanɪs
derwen	dɛrwɛn
telynores	tɛlənɔrɛs
in	ɪn
iwan	ɪu̯an
enfys	ɛnvɨ̞s
canit	kanɪt
hoed	hoːɨ̯d
recordio	rɛkɔrdjɔ
eli	ɛli
llai	ɬai̯
awr	au̯r
gwlithlaw	ɡwlɪθlau̯
elsit	ɛlsɪt
tros	trɔs
cenhinen sifi	kɛnhɪnɛnsɪvɪ
dorra	dɔra
cloc	klɔk
trefynwy	trɛvənʊɨ̯
aton	atɔn
ai	ai̯
achubwr	aχɨ̞bʊr
asgellog	asɡɛɬɔɡ
faint o'r gloch	vai̯ntɔrɡloːχ
cyfnos	kəvnɔs
söolegwr	sɔɔlɛɡʊr
chneuen	χneɨ̯ɛn
achyddiaeth	aχəðjaɨ̯θ
caeaf	keɨ̯av
rhagfyr	r̥aɡvɨ̞r
amheuaeth	amheɨ̯ɛθ
ceinach	kei̯naχ
fawr	vau̯r
dy	də
gwch	ɡʊχ
rhyd	r̥ɨːd
theisen	θei̯san
llawer	ɬau̯ɛr
goleuadau	ɡɔleɨ̯adaɨ̯
brech	breːχ
darlunio	darlɨ̞njɔ
preifatrwydd	prei̯vatrʊɨ̯ð
gymedrolwr	ɡəmɛdrɔlʊr
rheolaidd	r̥ɛɔlai̯ð
byrddydd gaeaf	bərðɨ̞ðɡeɨ̯av
berfau	bɛrva
heol	heːɔl
seleri	sɛlɛri
dueg	dɨːɛɡ
cen cerrig	kɛnkɛrɪɡ
copïo	kɔpiːɔ
hwnna	hʊna
llwyddo	ɬʊɨ̯ðɔ
diwedd	dɪu̯ɛð
harall	haraɬ
allforio	aɬvɔrjɔ
tew	teːu̯
trengholiadau	trɛŋhɔljada
fe	veː
