spesialisointi	ˈspesiˌɑliˌsointi
havainnoida	ˈhɑvɑinˌnoidɑ
tiliöinti	ˈtiliˌøinti
moralisti	ˈmorɑˌlisti
vahaliitu	ˈvɑhɑˌliitu
kantama	ˈkɑntɑmɑ
kansalliskirjailija	ˈkɑnsɑlˌliskirˌjɑilijɑ
ankkuri	ˈɑnkkuri
laululava	ˈlɑuluˌlɑvɑ
lattiatäyte	ˈlɑttiɑˌtæyte
erätaito	ˈeræˌtɑito
pragmaattisuus	ˈprɑgmɑɑtˌtisuus
konkistadori	ˈkonkisˌtɑdori
ablatiivi	ˈɑblɑˌtiivi
hefta	ˈheftɑ
rantapatja	ˈrɑntɑˌpɑtjɑ
aubergiini	ˈɑuberˌgiini
kauppahuone	ˈkɑuppɑˌhuone
lavasänky	ˈlɑvɑˌsænky
keppikerjäläinen	ˈkeppiˌkerjæˌlæinen
naukaisu	ˈnɑukɑisu
varmuusetäisyys	ˈvɑrmuuseˌtæisyys
happosade	ˈhɑppoˌsɑde
työnohjaaja	ˈtyønohˌjɑɑjɑ
hyvinvointi	ˈhyvinˌvointi
pahankurisuus	ˈpɑhɑnˌkurisuus
hiipiä	ˈhiipiæ
veikka	ˈveikkɑ
riemukulku	ˈriemuˌkulku
hävittää	ˈhævittææ
ruskehtava	ˈruskehˌtɑvɑ
halkometsä	ˈhɑlkoˌmetsæ
pistelasku	ˈpisteˌlɑsku
naputtaa	ˈnɑputtɑɑ
kokeneisuus	ˈkokeˌneisuus
kidutuskeino	ˈkidutusˌkeino
kynänkäyttäjä	ˈkynænkæˌyttæjæ
lauttayhteys	ˈlɑuttɑˌyhteys
rapsutella	ˈrɑpsuˌtellɑ
sijoillaan	ˈsijoillɑɑn
aluehälytyskeskus	ˈɑluˌehælyˌtyskeskus
teksasilainen	ˈteksɑsiˌlɑinen
lukiolainen	ˈlukioˌlɑinen
ilmatoiminta	ˈilmɑˌtoimintɑ
vattupensas	ˈvɑttuˌpensɑs
riipaista	ˈriipɑistɑ
aunus	ˈɑunus
sahatyöntekijä	ˈsɑhɑˌtyønteˌkijæ
miestenlehti	ˈmiestenˌlehti
maallikkotuomari	ˈmɑɑllikkoˌtuomɑri
hiv-koe	ˈhivkoe
kisaisännyys	ˈkisɑiˌsænnyys
tukahduksiin	ˈtukɑhˌduksiin
sodanvaara	ˈsodɑnˌvɑɑrɑ
kalanpää	ˈkɑlɑnpææ
häikkä	ˈhæikkæ
munamaito	ˈmunɑˌmɑito
kyynärluu	ˈkyynærluu
luonnonläheinen	ˈluonnonlæˌheinen
juottaa	ˈjuottɑɑ
merikartta	ˈmeriˌkɑrttɑ
nuolijuurijauho	ˈnuoliˌjuuriˌjɑuho
sapelinkalistelu	ˈsɑpeˌlinkɑˌlistelu
kiukuspäissään	ˈkiukusˌpæissææn
murteellisuus	ˈmurteelˌlisuus
auvo	ˈɑuvo
polttopullo	ˈpolttoˌpullo
mittanauha	ˈmittɑˌnɑuhɑ
kuhnailla	ˈkuhnɑillɑ
pastellimaalaus	ˈpɑstelliˌmɑɑlɑus
evankeliumikirja	ˈevɑnkeˌliumiˌkirjɑ
kodittomuus	ˈkoditˌtomuus
polo	ˈpolo
kutistua	ˈkutisˌtuɑ
saneerata	ˈsɑneeˌrɑtɑ
olotila	ˈoloˌtilɑ
sanajärjestys	ˈsɑnɑˌjærjestys
karahteerata	ˈkɑrɑhˌteerɑtɑ
peräpainoisuus	ˈperæˌpɑinoisuus
tehdaspakkaus	ˈtehdɑsˌpɑkkɑus
aloittainen	ˈɑloitˌtɑinen
tempaisu	ˈtempɑisu
kantata	ˈkɑntɑtɑ
tarjokas	ˈtɑrjokɑs
painike	ˈpɑinike
suurimittainen	ˈsuurimitˌtɑinen
selkäkipu	ˈselkæˌkipu
tietävä	ˈtietævæ
katajanhavu	ˈkɑtɑˌjɑnhɑvu
yksityistyä	ˈyksiˌtyistyæ
raivauttaa	ˈrɑivɑˌuttɑɑ
siera	ˈsierɑ
muljahtaa	ˈmuljɑhtɑɑ
kulmayksikkö	ˈkulmɑˌyksikkø
dogmaattinen	ˈdogmɑɑtˌtinen
kuvanveistäjä	ˈkuvɑnˌveistæjæ
loppiainen	ˈloppiˌɑinen
jännittyneisyys	ˈjænnittyˌneisyys
hieroja	ˈhierojɑ
kanonisoitua	ˈkɑnoniˌsoituɑ
lyhyttavara	ˈlyhytˌtɑvɑrɑ
olkapää	ˈolkɑpææ
kirkolliskokous	ˈkirkolˌliskoˌkous
haravointi	ˈhɑrɑˌvointi
röntgenlaite	ˈrøntgenˌlɑite
hierarkkinen	ˈhierɑrkˌkinen
suolavesi	ˈsuolɑˌvesi
normaalisti	ˈnormɑɑˌlisti
sopeutumislevittäytyminen	ˈsopeutuˌmislevitˌtæytyˌminen
kolkka	ˈkolkkɑ
puistonvartija	ˈpuistonˌvɑrtijɑ
totuudenmukainen	ˈtotuuˌdenmuˌkɑinen
turboahdin	ˈturboˌɑhdin
monimuotoinen	ˈmoniˌmuotoinen
laskuvarjohyppääjä	ˈlɑskuˌvɑrjohypˌpææjæ
vuosiraportti	ˈvuosirɑˌportti
kolonni	ˈkolonni
vieroa	ˈvieroɑ
elohopeaseos	ˈeloˌhopeˌɑseos
varhaisvaihe	ˈvɑrhɑisˌvɑihe
esitelmöitsijä	ˈesitelˌmøitsijæ
liikenteenvalvonta	ˈliikenˌteenvɑlˌvontɑ
etupää	ˈetupææ
hapertua	ˈhɑperˌtuɑ
kehälihas	ˈkehæˌlihɑs
oikeudenvastaisesti	ˈoikeuˌdenvɑsˌtɑisesti
seestyä	ˈseestyæ
luritella	ˈluriˌtellɑ
työnvälitystoimisto	ˈtyønvæliˌtystoiˌmisto
nauhakeramiikka	ˈnɑuhɑˌkerɑˌmiikkɑ
laidemmaksi	ˈlɑidemˌmɑksi
naapurilähiö	ˈnɑɑpuˌrilæˌhiø
gangsterielokuva	ˈgɑngsteˌrieloˌkuvɑ
diskurssi	ˈdiskurssi
karjalaisittain	ˈkɑrjɑˌlɑisittɑin
labyrintti	ˈlɑbyˌrintti
kerhotoiminta	ˈkerhoˌtoimintɑ
suurikokoinen	ˈsuurikoˌkoinen
uhkeus	ˈuhkeus
savipaakku	ˈsɑviˌpɑɑkku
arkisto	ˈɑrkisto
ulotteisuus	ˈulotˌteisuus
mellakoitsija	ˈmellɑˌkoitsijɑ
tilastolaskelma	ˈtilɑstoˌlɑskelmɑ
työväenlehti	ˈtyøvæˌenlehti
huumekuriiri	ˈhuumekuˌriiri
kaktus	ˈkɑktus
verenhimoisuus	ˈverenhiˌmoisuus
primitivisti	ˈprimitiˌvisti
naistenpyörä	ˈnɑistenˌpyøræ
pörrölle	ˈpørrølle
museoesine	ˈmuseˌoeˌsine
alipalkkaus	ˈɑliˌpɑlkkɑus
vamppi	ˈvɑmppi
kahdeksankymmentävuotias	ˈkɑhdekˌsɑnkymˌmentæˌvuotiɑs
lapsihalvaus	ˈlɑpsiˌhɑlvɑus
ohjelmalehtinen	ˈohjelmɑˌlehtinen
valtionhoitajapuolue	ˈvɑltionˌhoitɑjɑˌpuolue
metrinmitta	ˈmetrinˌmittɑ
metsästäjänleike	ˈmetsæstæˌjænleike
ketjureaktio	ˈketjureˌɑktio
pomsi	ˈpomsi
pienyrittäjyys	ˈpienyˌrittæjyys
hevosurheilu	ˈhevosurˌheilu
avoäänestys	ˈɑvoˌæænestys
ravinnonsaanti	ˈrɑvinnonˌsɑɑnti
harjoittelukoulu	ˈhɑrjoitˌteluˌkoulu
hiillyttää	ˈhiillyttææ
päällyskasvi	ˈpæællysˌkɑsvi
sotilasase	ˈsotiˌlɑsɑse
vinyylikatto	ˈvinyyliˌkɑtto
selkopainos	ˈselkoˌpɑinos
vesipäisyys	ˈvesiˌpæisyys
he	he
ulvoa	ˈulvoɑ
tekeillä	ˈtekeillæ
siirtojohto	ˈsiirtoˌjohto
räpiköidä	ˈræpiˌkøidæ
kotikontu	ˈkotiˌkontu
tilanneraittius	ˈtilɑnneˌrɑittius
räiskyntä	ˈræiskyntæ
siunautua	ˈsiunɑuˌtuɑ
sivustakatsoja	ˈsivustɑˌkɑtsojɑ
teurasuhri	ˈteurɑˌsuhri
keitinliemi	ˈkeitinˌliemi
vajaamittainen	ˈvɑjɑɑmitˌtɑinen
dekantteri	ˈdekɑntˌteri
lähekkäin	ˈlæhekkæin
sävelasteikko	ˈsævelɑsˌteikko
disjunktiivikonjunktio	ˈdisjunkˌtiiviˌkonjunkˌtio
kauneusaisti	ˈkɑuneuˌsɑisti
maayhteys	ˈmɑɑyhˌteys
ympäristökeskus	ˈympæˌristøˌkeskus
endogeenisuus	ˈendoˌgeenisuus
juntata	ˈjuntɑtɑ
yksiviivaisuus	ˈyksiˌviivɑisuus
henkilöhaku	ˈhenkiˌløhɑku
anesteetti	ˈɑnesˌteetti
tunnetila	ˈtunneˌtilɑ
seksiongelma	ˈseksiˌongelmɑ
lääkärinkoulutus	ˈlæækærinˌkoulutus
neitsytmatka	ˈneitsytˌmɑtkɑ
jussipaita	ˈjussiˌpɑitɑ
suolaliuos	ˈsuolɑˌliuos
kaalikärpänen	ˈkɑɑliˌkærpænen
maatalous	ˈmɑɑtɑˌlous
pelmeni	ˈpelmeni
visionäärinen	ˈvisioˌnæærinen
tyttöluokka	ˈtyttøˌluokkɑ
siviilipuolustus	ˈsiviiliˌpuolustus
puoluekantainen	ˈpuolueˌkɑntɑinen
juustopunkki	ˈjuustoˌpunkki
leikkiväline	ˈleikkiˌvæline
kuviollinen	ˈkuviˌollinen
kenties	ˈkenties
kunniallinen	ˈkunniˌɑllinen
monarkisti	ˈmonɑrˌkisti
lakkabensiini	ˈlɑkkɑbenˌsiini
viikko	ˈviikko
ositella	ˈosiˌtellɑ
vesikasvillisuus	ˈvesiˌkɑsvilˌlisuus
suurmies	ˈsuurmies
puolustuskykyinen	ˈpuolusˌtuskyˌkyinen
huomautella	ˈhuomɑuˌtellɑ
vauvauinti	ˈvɑuvɑuinti
pykä	ˈpykæ
keittometvursti	ˈkeittoˌmetvursti
pöytäkirjanote	ˈpøytæˌkirjɑˌnote
ympäristöjärjestö	ˈympæˌristøˌjærjestø
linnoittautua	ˈlinnoitˌtɑutuɑ
mittatyö	ˈmittɑtyø
päätyyppi	ˈpæætyyppi
kotiliesi	ˈkotiˌliesi
materiaalitoiminnot	ˈmɑteriˌɑɑliˌtoiminnot
rehti	ˈrehti
sinnikkäästi	ˈsinnikˌkææsti
sotilaskurinpito	ˈsotiˌlɑskuˌrinpito
vatsapuoli	ˈvɑtsɑˌpuoli
arvomerkintä	ˈɑrvoˌmerkintæ
laatuunkäyvä	ˈlɑɑtuunˌkæyvæ
lähetysseura	ˈlæhetysˌseurɑ
sivistysvaltio	ˈsivisˌtysvɑlˌtio
tollottaa	ˈtollottɑɑ
teistinen	ˈteistinen
uusiutumiskyky	ˈuusiutuˌmiskyky
peltoviljely	ˈpeltoˌviljely
huume	ˈhuume
valheenpaljastin	ˈvɑlheenˌpɑljɑstin
kirjaimisto	ˈkirjɑiˌmisto
tapparakeihäs	ˈtɑppɑrɑˌkeihæs
sirottelu	ˈsirotˌtelu
jääolot	ˈjææolot
yhdeksäntoistasataa	ˈyhdeksænˌtoistɑˌsɑtɑɑ
pystyä	ˈpystyæ
kauaskantava	ˈkɑuɑsˌkɑntɑvɑ
äänimäärä	ˈææniˌmææræ
kokoon	ˈkokoon
mieluisuus	ˈmieluisuus
rauhanmies	ˈrɑuhɑnmies
kynttilälamppu	ˈkynttilæˌlɑmppu
poikkipuolin	ˈpoikkiˌpuolin
nurkkalauta	ˈnurkkɑˌlɑutɑ
lantti	ˈlɑntti
elintoiminto	ˈelinˌtoiminto
vakuumi	ˈvɑkuumi
ala-	ˈɑlɑ
mukulakasvi	ˈmukulɑˌkɑsvi
syöpäsairaus	ˈsyøpæˌsɑirɑus
tukeutua	ˈtukeuˌtuɑ
pimitys	ˈpimitys
vyötäiset	ˈvyøtæiset
virike	ˈvirike
selventyä	ˈselvenˌtyæ
keskusantenni	ˈkeskuˌsɑntenni
päärynälihavuus	ˈpææryˌnæliˌhɑvuus
laulukuoro	ˈlɑuluˌkuoro
kalanruoto	ˈkɑlɑnˌruoto
kaasuvalo	ˈkɑɑsuˌvɑlo
mätäs	ˈmætæs
äkkivaihtelu	ˈækkiˌvɑihtelu
valloitus	ˈvɑlloitus
muodostelu	ˈmuodosˌtelu
tuulla	ˈtuullɑ
aromilasi	ˈɑroˌmilɑsi
viherlannoitus	ˈviherlɑnˌnoitus
juurikasvi	ˈjuuriˌkɑsvi
omillaan	ˈomillɑɑn
elämänpelko	ˈelæˌmænpelko
kaakkoisosa	ˈkɑɑkkoiˌsosɑ
keskusohjauksinen	ˈkeskuˌsohjɑˌuksinen
pituuskasvu	ˈpituusˌkɑsvu
tiedenainen	ˈtiedeˌnɑinen
kahvikakku	ˈkɑhviˌkɑkku
eksistenssi	ˈeksisˌtenssi
lakkoilu	ˈlɑkkoilu
äänekkyys	ˈæænekkyys
matkavaruste	ˈmɑtkɑvɑˌruste
teloilleen	ˈteloilleen
ympäristö	ˈympæˌristø
jytämusiikki	ˈjytæmuˌsiikki
tylpästi	ˈtylpæsti
mistä	ˈmistæ
kamarioppinut	ˈkɑmɑriˌoppinut
holvittaa	ˈholvittɑɑ
asentaja	ˈɑsenˌtɑjɑ
sähkövalo	ˈsæhkøˌvɑlo
kylmänkestävä	ˈkylmænˌkestævæ
sitoumus	ˈsitoumus
tekokumi	ˈtekoˌkumi
riidaton	ˈriidɑton
apurahasto	ˈɑpurɑˌhɑsto
lukuvirhe	ˈlukuˌvirhe
ostoskärry	ˈostosˌkærry
tungos	ˈtungos
edellä	ˈedellæ
kiväärinhylsy	ˈkivææˌrinhylsy
medisiinari	ˈmediˌsiinɑri
viljelysuunnitelma	ˈviljelyˌsuunniˌtelmɑ
ääreen	ˈææreen
kumiliima	ˈkumiˌliimɑ
räpiskö	ˈræpiskø
jykertää	ˈjykertææ
likistellä	ˈlikisˌtellæ
tasakkain	ˈtɑsɑkkɑin
lados	ˈlɑdos
telatie	ˈtelɑtie
kyynelkaasupommi	ˈkyynelˌkɑɑsuˌpommi
siipirikkoinen	ˈsiipirikˌkoinen
herkkäihoinen	ˈherkkæiˌhoinen
kalavale	ˈkɑlɑˌvɑle
rahanlainaaja	ˈrɑhɑnˌlɑinɑɑjɑ
tummasilmä	ˈtummɑˌsilmæ
luostarielämä	ˈluostɑˌrielæmæ
edustajantoimi	ˈedustɑˌjɑntoimi
suti	ˈsuti
vinopysäköinti	ˈvinoˌpysæˌkøinti
kirjakasetti	ˈkirjɑkɑˌsetti
alleviivaus	ˈɑlleˌviivɑus
riippuvarintainen	ˈriippuvɑˌrintɑinen
ruotsinsuomalainen	ˈruotsinˌsuomɑˌlɑinen
ajattelukyky	ˈɑjɑtˌteluˌkyky
pippuroida	ˈpippuˌroidɑ
taistelukuvaus	ˈtɑisteˌlukuˌvɑus
houkkamainen	ˈhoukkɑˌmɑinen
aurinkolämmitys	ˈɑurinkoˌlæmmitys
nukkenäytelmä	ˈnukkeˌnæytelmæ
lakkauttaa	ˈlɑkkɑˌuttɑɑ
sinkkinen	ˈsinkkinen
järjestelmäkamera	ˈjærjesˌtelmæˌkɑmerɑ
sadunomaisuus	ˈsɑdunoˌmɑisuus
suuttua	ˈsuuttuɑ
peremmältä	ˈperemˌmæltæ
etsiä	ˈetsiæ
käsite	ˈkæsite
punaihoinen	ˈpunɑiˌhoinen
runokokoelma	ˈrunoˌkokoˌelmɑ
rokata	ˈrokɑtɑ
mausteliemi	ˈmɑusteˌliemi
kunnanvaltuutettu	ˈkunnɑnvɑlˌtuutettu
läänitysmies	ˈlææniˌtysmies
pelkistää	ˈpelkistææ
ilkosen	ˈilkosen
ranta-asu	ˈrɑntɑɑsu
liimakorva	ˈliimɑˌkorvɑ
mäkisyys	ˈmækisyys
kulkusaari	ˈkulkuˌsɑɑri
syvemmäksi	ˈsyvemˌmæksi
yhdessä	ˈyhdessæ
maitorupi	ˈmɑitoˌrupi
sukupuolihormoni	ˈsukuˌpuoliˌhormoni
sorahtaa	ˈsorɑhtɑɑ
kalahtaa	ˈkɑlɑhtɑɑ
reivit	ˈreivit
nostaja	ˈnostɑjɑ
riipunta	ˈriipuntɑ
aukioloaika	ˈɑukiˌoloˌɑikɑ
luovutus	ˈluovutus
tahkojuusto	ˈtɑhkoˌjuusto
tasakorkuinen	ˈtɑsɑkorˌkuinen
yskäinen	ˈyskæinen
sängynpeitto	ˈsængynˌpeitto
piirustuspöytä	ˈpiirustusˌpøytæ
palavarakkaus	ˈpɑlɑvɑˌrɑkkɑus
geeli	ˈgeeli
sakkorangaistus	ˈsɑkkorɑnˌgɑistus
alamaailma	ˈɑlɑˌmɑɑilmɑ
metalliväri	ˈmetɑlˌliværi
pyöreänaamainen	ˈpyøreæˌnɑɑmɑinen
mehustin	ˈmehustin
maakuntaitsehallinto	ˈmɑɑkunˌtɑitseˌhɑllinto
sääntökokoelma	ˈsææntøˌkokoˌelmɑ
pakkasenkesto	ˈpɑkkɑˌsenkesto
rahkapiirakka	ˈrɑhkɑˌpiirɑkkɑ
jännittäjätyyppi	ˈjænnitˌtæjæˌtyyppi
väristää	ˈværistææ
hölkätä	ˈhølkætæ
maalaisuus	ˈmɑɑlɑisuus
tapetti	ˈtɑpetti
puolivuosisatainen	ˈpuoliˌvuosisɑˌtɑinen
paitahihasilleen	ˈpɑitɑˌhihɑˌsilleen
lyhytsyöttöpeli	ˈlyhytˌsyøttøˌpeli
voikukka	ˈvoikukkɑ
pökerryksistä	ˈpøkerˌryksistæ
luppakorva	ˈluppɑˌkorvɑ
sotu	ˈsotu
kuskus	ˈkuskus
maastokuvioinen	ˈmɑɑstoˌkuviˌoinen
selälleen	ˈselælleen
purkautumisaukko	ˈpurkɑuˌtumisɑˌukko
retoromaani	ˈretoroˌmɑɑni
jyskähtää	ˈjyskæhtææ
eboniitti	ˈeboˌniitti
kimmeltää	ˈkimmeltææ
suursnautseri	ˈsuursnɑˌutseri
pohjoisviitta	ˈpohjoisˌviittɑ
häikäisysuoja	ˈhæikæisyˌsuojɑ
raja-alue	ˈrɑjɑɑˌlue
tuohilippi	ˈtuohiˌlippi
pyörärikko	ˈpyøræˌrikko
jänöjussi	ˈjænøˌjussi
tyhjäntoimitus	ˈtyhjænˌtoimitus
impotenssi	ˈimpoˌtenssi
pesäjuuri	ˈpesæˌjuuri
armeijaryhmä	ˈɑrmeijɑˌryhmæ
matkustus	ˈmɑtkustus
juoksupyörä	ˈjuoksuˌpyøræ
lajittelukone	ˈlɑjitˌteluˌkone
tralli	ˈtrɑlli
katoksellinen	ˈkɑtokˌsellinen
sisävesiväylä	ˈsisæˌvesiˌvæylæ
vihellyspilli	ˈvihelˌlyspilli
vesipula	ˈvesiˌpulɑ
nidoksittain	ˈnidokˌsittɑin
tasokas	ˈtɑsokɑs
jaksella	ˈjɑksellɑ
tylsetä	ˈtylsetæ
menu	ˈmenu
moottoriperä	ˈmoottoˌriperæ
erimallinen	ˈeriˌmɑllinen
tyrskytä	ˈtyrskytæ
röntgenputki	ˈrøntgenˌputki
sössö	ˈsøssø
herkiste	ˈherkiste
siltanosturi	ˈsiltɑˌnosturi
kurnia	ˈkurniɑ
vallankeskitys	ˈvɑllɑnˌkeskitys
merkinanto	ˈmerkiˌnɑnto
ketsi	ˈketsi
joululahjapaketti	ˈjouluˌlɑhjɑpɑˌketti
tevanaketeollisuus	ˈtevɑˌnɑketeˌollisuus
valuuttaosasto	ˈvɑluutˌtɑoˌsɑsto
novellikirjailija	ˈnovelliˌkirjɑiˌlijɑ
muotipiirtäjä	ˈmuotiˌpiirtæjæ
yleistajuistaa	ˈyleistɑˌjuistɑɑ
siemenvilja	ˈsiemenˌviljɑ
sätkin	ˈsætkin
mittajärjestelmä	ˈmittɑˌjærjesˌtelmæ
helvetti	ˈhelvetti
miedonnus	ˈmiedonnus
säännöstelypolitiikka	ˈsæænnøsˌtelyˌpoliˌtiikkɑ
yrmeys	ˈyrmeys
genealogia	ˈgeneˌɑloˌgiɑ
luvanhaku	ˈluvɑnˌhɑku
hyveellisesti	ˈhyveelliˌsesti
pärskyä	ˈpærskyæ
raha-arvo	ˈrɑhɑɑrvo
erehtymätön	ˈerehˌtymætøn
oikeistopolitiikka	ˈoikeisˌtopoliˌtiikkɑ
sintraantua	ˈsintrɑɑnˌtuɑ
pikkukuovi	ˈpikkuˌkuovi
rahtikirja	ˈrɑhtiˌkirjɑ
verkkomaha	ˈverkkoˌmɑhɑ
pehmitin	ˈpehmitin
terassiravintola	ˈterɑsˌsirɑˌvintolɑ
ylikypsä	ˈyliˌkypsæ
italialainen	ˈitɑˌliɑˌlɑinen
luomus	ˈluomus
uudennus	ˈuudennus
temporaarinen	ˈtempoˌrɑɑrinen
vitsaslenkki	ˈvitsɑsˌlenkki
jämäkästi	ˈjæmæˌkæsti
kentällinen	ˈkentælˌlinen
kestävöinti	ˈkestæˌvøinti
naamahermo	ˈnɑɑmɑˌhermo
puolustustahtoinen	ˈpuolusˌtustɑhˌtoinen
astianpesuaine	ˈɑstiˌɑnpesuˌɑine
rehukakku	ˈrehuˌkɑkku
konversio	ˈkonverˌsio
gasti	ˈgɑsti
päivänsappi	ˈpæivænˌsɑppi
syrjemmältä	ˈsyrjemˌmæltæ
kalamuhennos	ˈkɑlɑmuˌhennos
maitotaloustuote	ˈmɑitoˌtɑlousˌtuote
kiitollisuudenvelka	ˈkiitolliˌsuudenˌvelkɑ
muovi	ˈmuovi
pohjemmalle	ˈpohjemˌmɑlle
pyörtää	ˈpyørtææ
meteori	ˈmeteˌori
löntystää	ˈløntystææ
kultivaattori	ˈkultiˌvɑɑttori
vaikeus	ˈvɑikeus
näkökohta	ˈnækøˌkohtɑ
sopivaisuussääntö	ˈsopiˌvɑisuusˌsææntø
tumpula	ˈtumpulɑ
ulkokenkä	ˈulkoˌkenkæ
metodiikka	ˈmetoˌdiikkɑ
joten	ˈjoten
hanaolut	ˈhɑnɑˌolut
transplantointi	ˈtrɑnsplɑnˌtointi
vänrikki	ˈvænrikki
kielipsykologia	ˈkielipˌsykoˌlogiɑ
raitiokisko	ˈrɑitioˌkisko
epärehellinen	ˈepæreˌhellinen
aurata	ˈɑurɑtɑ
tähkiä	ˈtæhkiæ
pallomeri	ˈpɑlloˌmeri
vastata	ˈvɑstɑtɑ
länsiluoteinen	ˈlænsiˌluoteinen
kulmaviivain	ˈkulmɑˌviivɑin
aroeläin	ˈɑroˌelæin
kappa	ˈkɑppɑ
tasavirtamoottori	ˈtɑsɑˌvirtɑˌmoottori
katkaisija	ˈkɑtkɑiˌsijɑ
kvartäärigeologia	ˈkvɑrtææˌrigeˌoloˌgiɑ
sidonta	ˈsidontɑ
koivunrunko	ˈkoivunˌrunko
ukkometso	ˈukkoˌmetso
haavikalastus	ˈhɑɑvikɑˌlɑstus
sekundaarikäämi	ˈsekunˌdɑɑriˌkææmi
luhtikäytävä	ˈluhtiˌkæytævæ
kolorismi	ˈkoloˌrismi
tekeille	ˈtekeille
leikkikoulu	ˈleikkiˌkoulu
keinosiementäjä	ˈkeinoˌsiemenˌtæjæ
viljankylvö	ˈviljɑnˌkylvø
kateissa	ˈkɑteissɑ
tavaranvalmistaja	ˈtɑvɑˌrɑnvɑlˌmistɑjɑ
naksaus	ˈnɑksɑus
ravintolähde	ˈrɑvintoˌlæhde
kirkkovaltuusto	ˈkirkkovɑlˌtuusto
alkuvuosikymmen	ˈɑlkuˌvuosiˌkymmen
hallikauppa	ˈhɑllikɑˌuppɑ
kemia	ˈkemiɑ
saapua	ˈsɑɑpuɑ
harata	ˈhɑrɑtɑ
pääli-	ˈpææli
kalibroida	ˈkɑliˌbroidɑ
vähälukuisuus	ˈvæhæluˌkuisuus
tyylillisesti	ˈtyylilliˌsesti
yksisuuntaistaa	ˈyksiˌsuuntɑistɑɑ
eksyksissä	ˈeksykˌsissæ
metsävarat	ˈmetsæˌvɑrɑt
puutarhapenkki	ˈpuutɑrhɑˌpenkki
notkauttaa	ˈnotkɑˌuttɑɑ
kirjoittua	ˈkirjoitˌtuɑ
typpylude	ˈtyppyˌlude
rikkurityövoima	ˈrikkuriˌtyøvoimɑ
aijai	ˈɑijɑi
pöytämikro	ˈpøytæˌmikro
vetinen	ˈvetinen
harallaan	ˈhɑrɑllɑɑn
lukea	ˈlukeɑ
vilkahdella	ˈvilkɑhˌdellɑ
riepotus	ˈriepotus
merkantilistinen	ˈmerkɑntiˌlistinen
samasyntyinen	ˈsɑmɑsynˌtyinen
keskeytyä	ˈkeskeyˌtyæ
toistakymmentätuhatta	ˈtoistɑˌkymmenˌtætuˌhɑttɑ
kenottaa	ˈkenottɑɑ
goudanjuusto	ˈgoudɑnˌjuusto
tuhkimotarina	ˈtuhkiˌmotɑˌrinɑ
kalkkarokäärme	ˈkɑlkkɑroˌkæærme
urjeta	ˈurjetɑ
nominatiivimuoto	ˈnominɑˌtiiviˌmuoto
keuhkokasvain	ˈkeuhkoˌkɑsvɑin
tilkkuvakka	ˈtilkkuˌvɑkkɑ
normaalivauhti	ˈnormɑɑˌlivɑˌuhti
tyyntyä	ˈtyyntyæ
tavunloppuinen	ˈtɑvunlopˌpuinen
kehittymismahdollisuus	ˈkehittyˌmismɑhˌdollisuus
tenttaaja	ˈtenttɑɑjɑ
seniili	ˈseniili
ruostetäplä	ˈruosteˌtæplæ
eriävä	ˈeriˌævæ
kilkka	ˈkilkkɑ
ajanhaaskaus	ˈɑjɑnˌhɑɑskɑus
radiopuhelu	ˈrɑdiˌopuˌhelu
torppariluokka	ˈtorppɑriˌluokkɑ
käyskennellä	ˈkæysˌkennellæ
testamenttirahasto	ˈtestɑˌmenttirɑˌhɑsto
viisitoistavuotias	ˈviisiˌtoistɑˌvuotiɑs
askites	ˈɑskites
eritasoliittymä	ˈeriˌtɑsoˌliittymæ
heikko	ˈheikko
kohahduttaa	ˈkohɑhˌduttɑɑ
piippunysä	ˈpiippuˌnysæ
huurtua	ˈhuurtuɑ
rajatulo	ˈrɑjɑˌtulo
keskitienoo	ˈkeskiˌtienoo
kuvantua	ˈkuvɑnˌtuɑ
rihmakala	ˈrihmɑˌkɑlɑ
sähinä	ˈsæhinæ
onnettomasti	ˈonnettoˌmɑsti
askeetti	ˈɑskeetti
murene	ˈmurene
kerskailu	ˈkerskɑilu
valitettavuus	ˈvɑliˌtettɑvuus
tilansäästö	ˈtilɑnˌsææstø
latausvirta	ˈlɑtɑˌusvirtɑ
kostautua	ˈkostɑuˌtuɑ
hattupäinen	ˈhɑttuˌpæinen
initiaatio	ˈinitiˌɑɑtio
meripelastushelikopteri	ˈmeripeˌlɑstusˌheliˌkopteri
prima vista	ˈprimɑˈvistɑ
hertta	ˈherttɑ
ihailla	ˈihɑillɑ
päälli-	ˈpæælli
vai	ˈvɑi
salaovi	ˈsɑlɑˌovi
venyttyä	ˈvenytˌtyæ
toimiupseeri	ˈtoimiupˌseeri
kipitellä	ˈkipiˌtellæ
tuoja	ˈtuojɑ
invalidihuolto	ˈinvɑˌlidiˌhuolto
rahatalletus	ˈrɑhɑˌtɑlletus
tänäinen	ˈtænæinen
porrashissi	ˈporrɑsˌhissi
säterivapaus	ˈsæteˌrivɑˌpɑus
kioskikirja	ˈkioskiˌkirjɑ
tunturijono	ˈtuntuˌrijono
telata	ˈtelɑtɑ
köysistö	ˈkøysistø
ajoneuvo	ˈɑjoˌneuvo
lämpötilanmuutos	ˈlæmpøtiˌlɑnmuutos
tuoltaan	ˈtuoltɑɑn
olympiavala	ˈolymˌpiɑˌvɑlɑ
salaattifenkoli	ˈsɑlɑɑttiˌfenkoli
sanallistaa	ˈsɑnɑlˌlistɑɑ
