atiduodančiosioms	ɐtʲɪduɔdɐnʲtʲʃʲosʲoms
bėgdavusiajam	bʲeːɡdɐʋʊsʲɛjɛm
ypatingesniuoju	iːpɐtʲɪnʲɡʲɛsʲnʲuɔjʊ
atiduosiantys	ɐtʲɪduɔsʲɛnʲtʲiːs
švelniausiosiose	ʃʲʋʲɛlnʲæːʊsʲosʲosʲɛ
išduosiančiuose	ɪʃduɔsʲɛnʲtʲʃʲʊosʲɛ
meniškoms	mʲæːnʲɪʃkoms
gulbes	ɡʊlʲbʲɛs
žmoniškuosius	ʒmoːnʲɪʃkʊosʲʊs
žiūrinčiaisiais	ʒʲuːrʲɪnʲtʲʃʲɛjsʲɛjs
buvęs	bʊʋʲæs
smulkmenišku	smʊlʲkʲmʲɛnʲɪʃkʊ
atkeliaujančiąsias	ɐtkʲɛlʲæʊjɛnʲtʲʃʲæːsʲɛs
medžiojantį	mʲɛdʲʒʲoːjɛnʲtʲiː
sušlampančiame	sʊʃlɐmpɐnʲtʲʃʲɛmʲɛ
nuodingiausiosioms	nuɔdʲɪnʲɡʲæːʊsʲosʲoms
pasakyti	pɐsɐkʲiːtʲɪ
paslaptingesniosiomis	pɐslɐptʲɪnʲɡʲɛsʲnʲoːsʲomʲɪs
karvė	kaɾʋʲe
žmonėmis	ʒmonʲeːmʲɪs
žvaigždiškesniems	ʒʋɐjɡʲʒʲdʲɪʃʲkʲɛsʲnʲjɛms
nebeprisikiškiakopūsteliavusiąsias	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʋʊsʲæːsʲɛs
ugningesnį	ʊɡʲnʲɪnʲɡʲɛsʲnʲiː
siuvančiosiose	sʲʊʋɐnʲtʲʃʲosʲosʲɛ
baltesnė	bɐlʲtʲɛsʲnʲeː
šmėkla	ʃʲmʲeːklɐ
iškalbesniam	ɪʃkɐlbʲɛsʲnʲæːm
tatuiravusiąja	tɐtʊɪraːʋʊsʲæːjɛ
blizgančiąsias	bʲlʲɪzɡɐnʲtʲʃʲæːsʲɛs
vokiškų	ʋoːkʲɪʃkuː
saugesniosios	sɐʊɡʲɛsʲnʲosʲos
moteriškiausiuosius	motʲɛɾʲɪʃʲkʲæːʊsʲʊosʲʊs
labai	lɐbɐj
įtarimu	iːtɐɾʲɪmʊ
paslaptingi	pɐslɐptʲɪnʲɡʲɪ
davėjos	dɐʋʲeːjos
erotiškos	ɛɾotʲɪʃkos
duosiančiosioms	duɔsʲɛnʲtʲʃʲosʲoms
medžiojančiomis	mʲɛdʲʒʲoːjɛnʲtʲʃʲomʲɪs
izoterminė	ɪzotʲɛrʲmʲɪnʲeː
matantįjį	maːtɐnʲtʲiːjiː
bėgdavusiai	bʲeːɡdɐʋʊsʲɛj
šokite	ʃoːkʲɪtʲɛ
žmoniškiausiosiomis	ʒmonʲɪʃʲkʲæːʊsʲosʲomʲɪs
rumuniškąją	rʊmʊnʲɪʃkaːjæː
jaunas	jæ̌ˑʊ̯n̪ɐs̪
iškalbesnėmis	ɪʃkɐlbʲɛsʲnʲeːmʲɪs
blogesniąja	bloɡʲɛsʲnʲæːjɛ
davusiosiose	daːʋʊsʲosʲosʲɛ
blogesnį	bloɡʲɛsʲnʲiː
varliagyvis	ʋɐɾlʲæɡʲiʋʲɪs
dainuojančios	dɐjnuɔjɛnʲtʲʃʲos
tarimai	tɐɾʲɪmɐj
siuvančiuose	sʲʊʋɐnʲtʲʃʲʊosʲɛ
ejakuliuosiantys	ɛjɛkʊlʲuosʲɛnʲtʲiːs
nuodingiausiajame	nuɔdʲɪnʲɡʲæːʊsʲɛjɛmʲɛ
gražiausiai	ɡɾɐʒʲæːʊsʲɛj
brisk	bʲrʲɪs̪k
upinių	ʊpʲɪnʲuː
panaudotojomis	pɐnɐʊdoːtojomʲɪs
duokime	duɔkɪmɛ
ejakuliuosimas	ɛjɛkʊlʲuosʲɪmɐs
klaidingu	klɐjdʲɪnɡʊ
maltietiškosiomis	mɐlʲtʲjɛtʲɪʃkosʲomʲɪs
žiedynu	ʒʲjɛdʲiːnʊ
žodyje	ʒoːdʲiːjɛ
upinius	ʊpʲɪnʲʊs
nebeprisikiškiakopūsteliaujančiai	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʊjɛnʲtʲʃʲɛj
užsimerkė	ʊʒʲsʲɪmæɾʲkʲe
itališkąjį	ɪtaːlʲɪʃkaːjiː
bėgančiąja	bʲeːɡɐnʲtʲʃʲæːjɛ
mįslingosiomis	mʲiːsʲlʲɪnɡosʲomʲɪs
atidavusiąja	ɐtʲɪdaːʋʊsʲæːjɛ
sakantiesiems	saːkɐnʲtʲjɛsʲjɛms
švelniausiesiems	ʃʲʋʲɛlnʲæːʊsʲjɛsʲjɛms
sėdinčiajame	sʲeːdʲɪnʲtʲʃʲɛjɛmʲɛ
duotum	duɔtʊm
lenkišką	lʲæːnʲkʲɪʃkaː
skaliko	skɐlʲɪko
ejakuliuosiančioji	ɛjɛkʊlʲuosʲɛnʲtʲʃʲojɪ
bedieviškuoju	bʲɛdʲjɛʋʲɪʃkʊojʊ
smulkmeniškiausiosiomis	smʊlʲkʲmʲɛnʲɪʃʲkʲæːʊsʲosʲomʲɪs
nuodingiausiajai	nuɔdʲɪnʲɡʲæːʊsʲɛjɛj
nuduosiančiose	nʊduɔsʲɛnʲtʲʃʲosʲɛ
žvaigždiškai	ʒʋɐjɡʲʒʲdʲɪʃkɐj
gražumas	ɡɾɐʒʊmɐs
mįslingosioms	mʲiːsʲlʲɪnɡosʲoms
smulkmeniškiausioji	smʊlʲkʲmʲɛnʲɪʃʲkʲæːʊsʲojɪ
vokiškiems	ʋoːkʲɪʃʲkʲjɛms
vaizdingiausiai	ʋɐjzʲdʲɪnʲɡʲæːʊsʲɛj
valgyti	ʋaːlʲɡʲiːtʲɪ
panaudotojus	pɐnɐʊdoːtojʊs
pornografiškų	pornoɡraːfʲɪʃkuː
žvaigždėlapių	ʒʋɐjɡʲʒʲdʲeːlɐpʲuː
nuodingesnių	nuɔdʲɪnʲɡʲɛsʲnʲuː
tarnui	tɐrnʊɪ
valgančioje	ʋaːlɡɐnʲtʲʃʲojɛ
mylėdamas	mʲiːlʲeːdɐmɐs
pieštuke	pʲiɛʃtʊkʲɛ
portugališka	portʊɡaːlʲɪʃkɐ
tatuiravusiose	tɐtʊɪraːʋʊsʲosʲɛ
kalbančiuoju	kɐlbɐnʲtʲʃʲʊojʊ
vaizdingų	ʋɐjzʲdʲɪnɡuː
gyvūnų	ɡʲiːʋuːnuː
įduosiančio	iːduɔsʲɛnʲtʲʃʲo
matančiuose	maːtɐnʲtʲʃʲʊosʲɛ
giliaisiais	ɡʲɪlʲɛjsʲɛjs
balsui	bɐlsʊɪ
buvusiajame	bʊʋʊsʲɛjɛmʲɛ
turėdavusioji	tʊrʲeːdɐʋʊsʲojɪ
albaniškojo	ɐlbaːnʲɪʃkojo
vaizdingesniuosiuose	ʋɐjzʲdʲɪnʲɡʲɛsʲnʲʊoːsʲʊosʲɛ
tvarkingų	tʋɐɾʲkʲɪnɡuː
kroatiškąjį	kroaːtʲɪʃkaːjiː
tvarkingesnieji	tʋɐɾʲkʲɪnʲɡʲɛsʲnʲjɛjɪ
netvarkingiausių	nʲɛtʋɐɾʲkʲɪnʲɡʲæːʊsʲuː
užsimerki	ʊʒʲsʲɪmæɾʲkʲɪ
stebinčiai	sʲtʲæːbʲɪnʲtʲʃʲɛj
maltietiški	mɐlʲtʲjɛtʲɪʃʲkʲɪ
pingvinui	pʲɪnʲɡʲʋʲɪnʊɪ
skaliką	skɐlʲɪkaː
ištatuiravusiais	ɪʃtɐtʊɪraːʋʊsʲɛjs
siūlas	sʲuːlɐs
įduosiančių	iːduɔsʲɛnʲtʲʃʲuː
iškalbiausiame	ɪʃkɐlbʲæːʊsʲɛmʲɛ
haliucinavusiose	hɐlʲʊtʲsʲɪnaːʋʊsʲosʲɛ
vaizdingiausiąjį	ʋɐjzʲdʲɪnʲɡʲæːʊsʲæːjiː
įbrolį	iːbrolʲiː
panaudotojo	pɐnɐʊdoːtojo
tvarkingiausiąsias	tʋɐɾʲkʲɪnʲɡæːʊsʲæːsʲɛs
žmogiškuosiuose	ʒmoːɡʲɪʃkʊosʲʊosʲɛ
tylinčiuoju	tʲiːlʲɪnʲtʲʃʲʊojʊ
gilią	ɡʲɪlʲæː
nuodingosiomis	nuɔdʲɪnɡosʲomʲɪs
bučiuojantiems	bʊtʲʃʲuɔjɛnʲtʲjɛms
išdaigiaisiais	ɪʃdɐjɡʲɛjsʲɛjs
medžiojantieji	mʲɛdʲʒʲoːjɛnʲtʲjɛjɪ
aukštaitiškus	ɐʊkʃtɐjtʲɪʃkʊs
žmoniškesne	ʒmonʲɪʃʲkʲɛsʲnʲɛ
orgiškesne	orʲɡʲɪʃʲkʲɛsʲnʲɛ
giliausiosiomis	ɡʲɪlʲæːʊsʲosʲomʲɪs
sraigtas	s̪rä̂ˑɪ̯kt̪ɐs̪
sakančiais	saːkɐnʲtʲʃʲɛjs
mažomis	mɐʒomʲɪs
slovėniškaisiais	sloʋʲeːnʲɪʃkɐjsʲɛjs
varlės	ʋɐɾʲlʲeːs
šypsenai	ʃʲiːpʲsʲɛnɐj
erotiniai	ɛɾotʲɪnʲɛj
vyzdys	vʲiːzʲdʲǐːs̪
homoseksualumas	hɔmɔsʲɛksʊɐlʊmɐs
žmogui	ʒmoːɡʊɪ
žiūri	ʒʲuɾʲɪ
klaidingų	klɐjdʲɪnɡuː
haliucinuojantysis	hɐlʲʊtʲsʲɪnuojɛnʲtʲiːsʲɪs
atiduodančiose	ɐtʲɪduɔdɐnʲtʲʃʲosʲɛ
būdavusiąja	buːdɐʋʊsʲæjɛ
lijo	lʲɪjo
pornografiškesniame	pornoɡrɐfʲɪʃʲkʲɛsʲnʲɛmʲɛ
mokykliniam	mokʲiːkʲlʲɪnʲɛm
angliškojoje	aːnʲɡʲlʲɪʃkojojɛ
izotermine	ɪzotʲɛrʲmʲɪnʲɛ
žvaigždinę	ʒʋɐjɡʲʒʲdʲɪnʲæː
išžiūrinčiame	ɪʃʲʒʲuːrʲɪnʲtʲʃʲɛmʲɛ
atkeliaujantį	ɐtkʲɛlʲæʊjɛnʲtʲiː
bučiuosiančiai	bʊtʲʃʲuɔsʲɛnʲtʲʃʲɛj
duodavusiosios	duɔdɐʋʊsʲosʲos
gabalas	ɡä̌ːbɐɫɐs̪
bedieviškųjų	bʲɛdʲjɛʋʲɪʃkuːjuː
nuodingiausius	nuɔdʲɪnʲɡʲæːʊsʲʊs
mylėjusioji	mʲiːlʲeːjʊsʲojɪ
duodu	duɔdʊ
vaizdingesnio	ʋɐjzʲdʲɪnʲɡʲɛsʲnʲo
šokame	ʃoːkɐmʲɛ
vilkų	ʋʲɪlkuː
medvarlių	mʲæːdʋɐɾʲlʲuː
daniška	daːnʲɪʃkɐ
orgišką	orʲɡʲɪʃkaː
paslaptingąja	pɐslɐptʲɪnɡaːjɛ
perdavėjos	pʲæːɾdɐʋʲeːjos
šiknomis	ʃʲɪknomʲɪs
mįslingo	mʲiːsʲlʲɪnɡo
erotiškesnioji	ɛɾotʲɪʃʲkʲɛsʲnʲoːjɪ
ejakuliavusiuosius	ɛjɛkʊlʲæːʋʊsʲʊosʲʊs
erotiškajai	ɛɾotʲɪʃkɐjɛj
mažesniąsias	mɐʒʲɛsʲnʲæːsʲɛs
kalbančioje	kɐlbɐnʲtʲʃʲojɛ
švediško	ʃʲʋʲɛdʲɪʃko
šiauliai	ʃʲɛʊ̯ˑlʲɛɪ̯ˑ
seniausiasis	sʲɛnʲæːʊsʲɛsʲɪs
įvykiuose	iːʋʲiːkʲʊosʲɛ
korėjietiškuosius	korʲeːjɛːtʲɪʃkʊosʲʊs
erotiškiesiems	ɛɾotʲɪʃʲkʲjɛsʲjems
bučiuosiančiame	bʊtʲʃʲuɔsʲɛnʲtʲʃʲɛmʲɛ
duodame	duɔdɐmɛ
turėsiančiuosiuose	tʊrʲeːsʲɛnʲtʲʃʲʊosʲʊosʲɛ
nuodingajame	nuɔdʲɪnɡɐjɛmʲɛ
giliausi	ɡʲɪlʲæːʊsʲɪ
dieviškumuose	dʲjɛʋʲɪʃkʊmʊosʲɛ
iškalbių	ɪʃkɐlbʲuː
saugesniuose	sɐʊɡʲɛsʲnʲʊosʲɛ
upelį	ʊpʲæːlʲiː
ejakuliuojančiąja	ɛjɛkʊlʲuojɛnʲtʲʃʲæːjɛ
apkeliaujantiems	ɐpkʲɛlʲæʊjɛnʲtʲjɛms
aibė	ä̂ˑɪ̯bʲeː
galinčio	ɡaːlʲɪnʲtʲʃʲo
haliucinuodavusį	hɐlʲʊtʲsʲɪnuodɐʋʊsʲiː
išduosiančiose	ɪʃduɔsʲɛnʲtʲʃʲosʲɛ
serbiškojoje	sʲɛrʲbʲɪʃkojojɛ
nebeprisikiškiakopūsteliausiančiu	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʊsʲɛnʲtʲʃʲʊ
iškalbaus	ɪʃkɐlbɐus
orgiškiausia	orʲɡʲɪʃʲkʲæːʊsʲɛ
suomiškose	suɔmʲɪʃkosʲɛ
bulgariškam	bʊlɡaːrʲɪʃkɐm
dėmę	dʲeːmʲæː
ištatuiravusiosiomis	ɪʃtɐtʊɪraːʋʊsʲosʲomʲɪs
dieviškose	dʲjɛʋʲɪʃkosʲɛ
nebeprisikiškiakopūsteliaujančiuose	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʊjɛnʲtʲʃʲʊosʲɛ
rusiškieji	rʊsʲɪʃʲkʲjɛjɪ
iškeliaujančią	ɪʃʲkʲɛlʲæʊjɛnʲtʲʃʲæː
meniškus	mʲæːnʲɪʃkʊs
buvusiuoju	bʊʋʊsʲʊojʊ
vaizdingiausią	ʋɐjzʲdʲɪnʲɡʲæːʊsʲæː
erotiškesniems	ɛɾotʲɪʃʲkʲɛsʲnʲjɛms
ūkuose	uːkʊosʲɛ
buvusioji	bʊʋʊsʲojɪ
lytinio	lʲiːtʲɪnʲo
spermatozoiduose	sʲpʲɛɾmɐtozojdʊosʲɛ
ejakuliavusiosioms	ɛjɛkʊlʲæːʋʊsʲosʲoms
įseserėms	iːsʲɛsʲɛrʲeːms
bėgsiančio	bʲeːɡʲsʲɛnʲtʲʃʲo
bedieviškesnėmis	bʲɛdʲjɛʋʲɪʃʲkʲɛsʲnʲeːmʲɪs
netvarkingume	nʲɛtʋɐrʲkʲɪnɡʊmʲɛ
matė	maːte
keliaujančiąja	kʲɛlʲæʊjɛnʲtʲʃʲæːjɛ
prancūziški	prɐntsuːzʲɪʃʲkʲɪ
moteriškuosius	moːtʲɛɾʲɪʃkʊosʲʊs
dieviškiausio	dʲjɛʋʲɪʃʲkʲæːʊsʲo
duodančiuose	duɔdɐnʲtʲʃʲʊosʲɛ
žmoniškas	ʒmoːnʲɪʃkɐs
saugiems	sɐʊɡʲjɛms
rankomis	ɾɐŋkoːmʲɪs
sapnuose	sɐpnʊɔsʲɛ
kalbančius	kɐlbɐnʲtʲʃʲʊs
ištatuiruok	ɪʃtɐtʊɪɾuok
graikiškuoju	ɡrɐjkʲɪʃkʊojʊ
bulgariškosiomis	bʊlɡaːrʲɪʃkosʲomʲɪs
įkeliaujančiosioms	iːkʲɛlʲæʊjɛnʲtʲʃʲosʲoms
nuodingiausiame	nuɔdʲɪnʲɡʲæːʊsʲɛmʲɛ
lenkiškuosiuose	lʲæːnʲkʲɪʃkʊosʲʊosʲɛ
klaidingajam	klɐjdʲɪnɡɐjɛm
valgytojos	ʋaːlʲɡʲiːtojos
valgančiosiose	ʋaːlɡɐnʲtʲʃʲosʲosʲɛ
srautą	srɐutaː
šokančioms	ʃoːkɐnʲtʲʃʲoms
slovakiškąsias	sloʋaːkʲɪʃkaːsʲɛs
lietuvišką	lʲjɛtʊʋʲɪʃkaː
bėgsianti	bʲeːɡʲsʲɛnʲtʲɪ
netvarkingąjį	nʲɛtʋɐɾʲkʲɪnɡaːjiː
upynuose	ʊpʲiːnʊosʲɛ
gražus	ɡɾɐʒʊs
atiduodančiajam	ɐtʲɪduɔdɐnʲtʲʃʲɛjɛm
itališko	ɪtaːlʲɪʃko
vaizdingumuose	ʋɐjzʲdʲɪnɡʊmʊosʲɛ
mylėjusio	mʲiːlʲeːjʊsʲo
abejingiausią	ɐbʲɛjɪnɡʲæːʊsʲæː
armėnišką	ɐrʲmʲeːnʲɪʃkaː
giliausiu	ɡʲɪlʲæːʊsʲʊ
klaidingąsias	klɐjdʲɪnɡaːsʲɛs
mokyklinius	mokʲiːkʲlʲɪnʲʊs
giliesiems	ɡʲɪlʲjɛsʲjems
maltietiškajame	mɐlʲtʲjɛtʲɪʃkɐjɛmʲɛ
nuodingame	nuɔdʲɪnɡɐmʲɛ
iškalbiajame	ɪʃkɐlbʲæːjɛmʲɛ
žmoniškiausiai	ʒmonʲɪʃʲkʲæːʊsʲɛj
upinės	ʊpʲɪnʲeːs
mylinčiame	mʲiːlʲɪnʲtʲʃʲɛmʲɛ
išžiūrinčiuosius	ɪʃʲʒʲuːrʲɪnʲtʲʃʲʊosʲʊs
duodavusioms	duɔdɐʋʊsʲoms
giliąsias	ɡʲɪlʲæːsʲɛs
ištatuiruojančiajai	ɪʃtɐtʊɪɾuɔjɛnʲtʲʃʲɛjɛj
vartojančiajam	ʋɐrtoːjɛnʲtʲʃʲɛjɛm
airiškaisiais	ɐjrʲɪʃkɐjsʲɛjs
kalbioms	kɐlbʲoːms
ugningos	ʊɡʲnʲɪnɡos
įkeliaujančiosiomis	iːkʲɛlʲæʊjɛnʲtʲʃʲosʲomʲɪs
korėjietiški	korʲeːjɛːtʲɪʃʲkʲɪ
bulgariją	bʊlɡaːrʲɪjæː
ugningam	ʊɡʲnʲɪnɡɐm
bulgarijai	bʊlɡaːrʲɪjɛj
apkeliaują	ɐpkʲɛlʲæʊjæː
išbučiuosite	ɪʃbʊtʲʃʲuosʲɪtʲɛ
rankų	ɾɐŋkuː
mįslingesnio	mʲiːsʲlʲɪnʲɡʲɛsʲnʲo
archyvą	ɐrʲxʲiːʋaː
jūrų	juːruː
turinčiosiose	tʊrʲɪnʲtʲʃʲosʲosʲɛ
akliesiems	ɐklʲjɛsʲjems
bėgsiančių	bʲeːɡʲsʲɛnʲtʲʃʲuː
mįslingaisiais	mʲiːsʲlʲɪnɡɐjsʲɛjs
apkeliaujantiesiems	ɐpkʲɛlʲæʊjɛnʲtʲjɛsʲjɛms
nebeprisikiškiakopūsteliavusiuoju	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʋʊsʲʊojʊ
varputę	ʋaːɾpʊtʲæː
saugus	sɐʊɡʊs
nebeprisikiškiakopūsteliaujantys	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʊjɛnʲtʲiːs
lotosams	lotosɐms
keliaujantiems	kʲɛlʲæʊjɛnʲtʲjɛms
žmoniškiausioje	ʒmonʲɪʃʲkʲæːʊsʲojɛ
gyvūnais	ɡʲiːʋuːnɐjs
erotinio	ɛɾotʲɪnʲo
olandiškas	olaːnʲdʲɪʃkɐs
erotiškesniosioms	ɛɾotʲɪʃʲkʲɛsʲnʲoːsʲoms
bučiuosiančiomis	bʊtʲʃʲuɔsʲɛnʲtʲʃʲomʲɪs
nebeprisikiškiakopūsteliavusi	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʋʊsʲɪ
meniškiausioms	mʲɛnʲɪʃʲkʲæːʊsʲoms
dieviškesniesiems	dʲjɛʋʲɪʃʲkʲɛsʲnʲjɛsʲjems
iškeliaujančiąja	ɪʃʲkʲɛlʲæʊjɛnʲtʲʃʲæːjɛ
stebinčiu	sʲtʲæːbʲɪnʲtʲʃʲʊ
mylėdami	mʲiːlʲeːdɐmʲɪ
gilesnėmis	ɡʲɪlʲɛsʲnʲeːmʲɪs
tatuiruojantiesiems	tɐtʊɪruɔjɛnʲtʲjɛsʲjɛms
parkeliaujančiosioms	pɐrʲkʲɛlʲæʊjɛnʲtʲʃʲosʲoms
tarpvietė	tɐɾʲpʲʋʲiɛtʲe
slovėniškoji	sloʋʲeːnʲɪʃkojɪ
baltuosiuose	bɐltʊoːsʲʊosʲɛ
šeškais	ʃʲɛʃkɐjs
bėgusiame	bʲeːɡʊsʲɛmʲɛ
turėjusiame	tʊrʲeːjʊsʲɛmʲɛ
getuose	ɡʲɛtʊosʲɛ
paslaptingiausias	pɐslɐptʲɪnʲɡʲæːʊsʲɛs
išbučiuojame	ɪʃbʊtʲʃʲuojɛmʲɛ
duodavusiojo	duɔdɐʋʊsʲojo
arabiškuose	ɐraːbʲɪʃkʊosʲɛ
tatuiruojančiojo	tɐtʊɪruɔjɛnʲtʲʃʲojo
lietus	ljɛtʊs
tatuiruojantiems	tɐtʊɪruɔjɛnʲtʲjɛms
estiškiems	ɛsʲtʲɪʃʲkʲjɛms
žmogiškiausio	ʒmoɡʲɪʃʲkʲæːʊsʲo
išduosiančiais	ɪʃduɔsʲɛnʲtʲʃʲɛjs
išbučiuosiančia	ɪʃbʊtʲʃʲuɔsʲɛnʲtʲʃʲɛ
žvejys	ʒʲʋʲɛjiːs̪
pieštukui	pʲiɛʃtʊkʊɪ
pjaustymai	pʲjæuːsʲtʲiːmɐj
saugi	sɐʊɡʲɪ
dieviškesnįjį	dʲjɛʋʲɪʃʲkʲɛsʲnʲiːjiː
upe	ʊpʲɛ
ejakuliuojančiu	ɛjɛkʊlʲuojɛnʲtʲʃʲʊ
albaniškais	ɐlbaːnʲɪʃkɐjs
abejingumas	ɐbʲɛjɪŋɡʊmɐs
profesijoms	profʲɛsʲɪjoms
švediškasis	ʃʲʋʲɛdʲɪʃkɐsʲɪs
varyti	vɐrʲîːtʲɪ
žodžiui	ʒoːdʲʒʲʊɪ
ypatingiausią	iːpɐtʲɪnʲɡʲæːʊsʲæː
iškeliaujančiųjų	ɪʃʲkʲɛlʲæʊjɛnʲtʲʃʲuːjuː
angliškiems	aːnʲɡʲlʲɪʃʲkʲjɛms
ypatingesniuosius	iːpɐtʲɪnʲɡʲɛsʲnʲuɔsʲʊs
klaidingiausiose	klɐjdʲɪnʲɡʲæːʊsʲosʲɛ
skalikų	skɐlʲɪkuː
gatves	ɡɐtʲʋʲɛs
ištatuiravusį	ɪʃtɐtʊɪraːʋʊsʲiː
giliausia	ɡʲɪlʲæːʊsʲɛ
įvairus	iːvɐɪ̯ˑrʊs̪
ejakuliuodavusiosiomis	ɛjɛkʊlʲuodɐʋʊsʲosʲomʲɪs
vaizdingojoje	ʋɐjzʲdʲɪnɡojojɛ
tvarkos	tʋɐɾkoːs
ištatuiravusiuoju	ɪʃtɐtʊɪraːʋʊsʲʊojʊ
draugė	d̪rɐʊ̯ˑɡʲěː
abakas	ä̂ːbɐkɐs̪
suomiškuosiuose	suɔmʲɪʃkʊosʲʊosʲɛ
orgiškiausio	orʲɡʲɪʃʲkʲæːʊsʲo
sušlampančia	sʊʃlɐmpɐnʲtʲʃʲɛ
bedieviškesniajam	bʲɛdʲjɛʋʲɪʃʲkʲɛsʲnʲæːjɛm
bėgantys	bʲeːɡɐnʲtʲiːs
vaizdinguosiuose	ʋɐjzʲdʲɪnɡʊosʲʊosʲɛ
švelnių	ʃʲʋʲɛlnʲuː
daiktas	dajktɐs
armėniškosioms	ɐrʲmʲeːnʲɪʃkosʲoms
mylėsiančiajam	mʲiːlʲeːsʲɛnʲtʲʃʲɛjɛm
netvarkingus	nʲɛtʋɐɾʲkʲɪnɡʊs
sapnavusiąja	sɐpnaːʋʊsʲæːjɛ
dieviškesniu	dʲjɛʋʲɪʃʲkʲɛsʲnʲʊ
žmogus	ʒmoɡʊs
atkeliaujantiems	ɐtkʲɛlʲæʊjɛnʲtʲjɛms
smulkmeniškesniajam	smʊlʲkʲmʲɛnʲɪʃʲkʲɛsʲnʲæːjɛm
olandiškąsias	olaːnʲdʲɪʃkaːsʲɛs
prakeliaujančią	prɐkʲɛlʲæʊjɛnʲtʲʃʲæː
atidavusįjį	ɐtʲɪdaːʋʊsʲiːjiː
airiškiesiems	ɐjrʲɪʃʲkʲjɛsʲjems
išbučiuotumėte	ɪʃbʊtʲʃʲuotʊmʲeːtʲɛ
airiškų	ɐjrʲɪʃkuː
sapnuodavusysis	sɐpnuɔdɐʋʊsʲiːsʲɪs
nuodingiausiems	nuɔdʲɪnʲɡʲæːʊsʲjɛms
žemyno	ʒʲɛmʲiːno
iškalbesniaisiais	ɪʃkɐlbʲɛsʲnʲɛjsʲɛjs
parkeliaujančiąsias	pɐrʲkʲɛlʲæʊjɛnʲtʲʃʲæːsʲɛs
aklajai	aːklɐjɛj
dieviškam	dʲjɛʋʲɪʃkɐm
žvaigždės	ʒʋɐjɡʲʒʲdʲeːs
tvarkingiausiųjų	tʋɐɾʲkʲɪnʲɡæːʊsʲuːjuː
vaizdingiausiomis	ʋɐjzʲdʲɪnʲɡʲæːʊsʲomʲɪs
kaltinti	kaːlʲtʲɪnʲtʲɪ
bučiuosiančiajame	bʊtʲʃʲuɔsʲɛnʲtʲʃʲɛjɛmʲɛ
ypatingesniuosiuose	iːpɐtʲɪnʲɡʲɛsʲnʲʊoːsʲʊosʲɛ
giliausius	ɡʲɪlʲæːʊsʲʊs
kalbėsiančiuoju	kɐlbʲeːsʲɛnʲtʲʃʲʊojʊ
airiško	ɐjrʲɪʃko
ugnikalninę	ʊɡʲnʲɪkɐlʲnʲɪnʲæː
tvarkoms	tʋɐɾkoːms
siuvančiaisiais	sʲʊʋɐnʲtʲʃʲɛjsʲɛjs
srautu	srɐʊtʊ
dieviškiausias	dʲjɛʋʲɪʃʲkʲæːʊsʲɛs
įnagininko	iːnɐɡʲɪnʲɪnko
ištatuiravo	ɪʃtɐtʊɪɾaːʋo
burė	bʊrʲeː
dieviškomis	dʲjɛʋʲɪʃkomʲɪs
gražioms	ɡɾɐʒʲoːms
balčiausiose	bɐlʲtʲʃʲæːʊsʲosʲɛ
panaudotoju	pɐnɐʊdoːtojʊ
erotiškomis	ɛɾotʲɪʃkomʲɪs
erotiškoji	ɛɾotʲɪʃkojɪ
meniškesniu	mʲɛnʲɪʃʲkʲɛsʲnʲʊ
lotoso	lotoso
abėcėles	ɐbʲeːtʲsʲeːlʲɛs
japoniškuosius	jɛponʲɪʃkʊosʲʊs
pornografiškesniu	pornoɡrɐfʲɪʃʲkʲɛsʲnʲʊ
spenelio	sʲpʲɛnʲæːlʲo
atiduodantysis	ɐtʲɪduɔdɐnʲtʲiːsʲɪs
nebeprisikiškiakopūsteliaujančiuosiuose	nʲɛbʲɛpʲrʲɪsʲɪkʲɪʃʲkʲɛkopuːsʲtʲɛlʲæʊjɛnʲtʲʃʲʊosʲʊosʲɛ
kalną	kaːlnaː
ypatingiausiosiose	iːpɐtʲɪnʲɡʲæːʊsʲosʲosʲɛ
bevandenis	bʲɛʋɐnʲdʲæːnʲɪs
seniausiose	sʲɛnʲæːʊsʲosʲɛ
bloguosiuose	bloɡʊosʲʊosʲɛ
mylėsianti	mʲiːlʲeːsʲɛnʲtʲɪ
knygai	kʲnʲiːɡɐj
ejakuliavusysis	ɛjɛkʊlʲæːʋʊsʲiːsʲɪs
ugningoje	ʊɡʲnʲɪnɡojɛ
bedieviškiausiosios	bʲɛdʲjɛʋʲɪʃʲkʲæːʊsʲosʲos
tylinčiosiomis	tʲiːlʲɪnʲtʲʃʲosʲomʲɪs
šokę	ʃoːkʲæː
