heilum	heiːlʏm
skrefa	skrɛːva
silki	sɪl̥cɪ
nútímalíf	nuːtimaliːv
hassneyslu	hastnɛjstlʏ
litlubrú	lɪhtlʏpruː
ægisíðu	aijɪsiːðʏ
úrkoman	ur̥kʰɔman
embættismaðurinn	ɛmpaihtɪsmaːðʏrɪn
kengboginn	cʰeiŋpɔijɪn
dýrir	tiːrɪr
skjala	scaːla
íbyggin	iːpɪcɪn
ilmvatni	ɪlmvahtnɪ
losar	lɔːsar
sýnst	sinst
uppfyllingum	ʏhpfɪtliŋkʏm
eyþór	eiːθour
spænskir	spainscɪr
eignarhluta	eiknarl̥ʏːta
orðaskipti	ɔrðascɪftɪ
einlægni	einlaiknɪ
augnskuggabox	œjkn̥skʏkapɔks
vésteinn	vjɛːsteitn̥
óhugnanlegt	ouːhʏknanlɛxt
klifaði	kʰlɪːvaðɪ
reist	reist
sjúkrabíllinn	sjuːkrapitlɪn
hlass	l̥as
treystu	tʰreistʏ
ágústa	auːkusta
hringina	r̥iɲcɪna
nýfallinn	niːfatlɪn
prenta	pʰrɛn̥ta
sólar	souːlar
kosningin	kʰɔstniɲcɪn
giltu	cɪl̥tʏ
marséra	mar̥sɛra
uppþornaðar	ʏhpθɔtnaðar
landnám	lantnaum
fórnum	fourtnʏm
grænlandsdeildar	krajnlantstɛjltar
köfun	kʰœːvʏn
þurrkar	θʏr̥kar
naglanum	naklanʏm
unglingageðdeild	uŋlinkacɛðteilt
svarblöðin	svarplœðɪn
hverahitinn	kʰvɛːrahɪːtɪn
burði	pʏrðɪ
febrúarmánuði	fɛːpruarmauːnʏðɪ
forsetatíð	fɔr̥sɛtatiːð
malasía	maːlasija
flekklaus	flɛhklœis
borgin	pɔrcɪn
leyndarmálið	leintarmauːlɪð
ljótasti	ljouːtastɪ
rafala	raːvala
pípunum	pʰiːpɔnʏm
feikilega	feiːcɪlɛɣa
hjálmarssonar	çaulmar̥sɔːnar
vetnissamruni	vɛhtnɪsamrʏnɪ
vogarskálarnar	vɔːɣarskauːlatnar
pepsí	pʰɛpsi
sparnað	spartnað
hvorki	kʰvɔr̥cɪ
efnisorð	ɛpnɪsɔrð
dökkum	tœhkʏm
þeyttum	θeihtʏm
heimasíðum	heiːmasiːðʏm
ama	aːma
bifreiða	pɪvreiða
sökudólginn	sœːkʏtoulcɪn
barn	patn̥
nesti	nɛstɪ
pólska	pʰoulska
barið	paːrɪð
sigtryggur	sɪɣtrɪkʏr
skúrir	skuːrɪr
náinni	nauːɪnɪ
fingrum	fiŋkrʏm
skaftárhreppi	skaftaur̥ɛhpɪ
farsælum	far̥sailʏm
útsvari	uːtsvarɪ
sérhverri	sjɛr̥kʰvɛrɪ
bleikjur	pleiːcʏr
skila	scɪːla
markaðsmála	mar̥kaðsmauːla
starfsmenntunar	starsmɛn̥tʏnar
orkubókhald	ɔr̥kʏpouːkhalt
silfursjóður	sɪlvʏr̥sjouːðʏr
sandsteinn	santstɛjtn̥
fornusanda	fɔrtnʏsanta
tippinu	tʰɪhpɪnʏ
hraðakstur	r̥aːðakstʏr
útvarpsstjóra	uːtvar̥pstjouːra
hljómskífa	l̥joumsciva
háleita	hauːleita
launamiða	lœinamɪːða
brynjólfsdóttur	prɪnjoulvstouhtʏr
framhaldsskólunum	framhaltskouːlɔnʏm
huggar	hʏkar
íbúðarhverfi	iːpuðarkʰvɛrvɪ
óskýrar	ouːscirar
stæðist	staiːðɪst
skipulag	scɪːpʏlaːɣ
flóði	flouːðɪ
æpt	aift
klámi	kʰlauːmɪ
umhugað	ʏmhʏɣað
afmörkuðum	avmœr̥kʏðʏm
skútum	skuːtʏm
lögbrot	lœɣprɔt
grjóthruns	krjouːtr̥ʏns
aflamarks	aplamar̥ks
fsu	ɛfːɛsːʏː
húsanna	huːsana
naumt	nœim̥t
hlýða	l̥iːða
niðurlægð	nɪːðʏrlaiɣð
iðrum	ɪðrʏm
hönd	hœnt
viðbrögðin	vɪðprœɣðɪn
skólasetur	skouːlasɛːtʏr
bununni	pʏːnʏnɪ
buðum	pʏːðʏm
hömlur	hœmlʏr
víðu	viːðʏ
sveinbjarnarson	sveimpjatnarsɔːn
ágústssyni	auːkusɪːnɪ
byðist	pɪːðɪst
mannfjöldi	manfjœltɪ
greiðsluna	kreiðstlʏna
tungla	tʰuŋla
þvinguð	θviŋkʏð
samningarnir	samniŋkatnɪr
byrjendur	pɪrjɛntʏr
tilbeiðsluhúsin	tʰɪlpɛjðstlʏhuːsɪn
daglegt	taɣlɛxt
hljómbönd	l̥joumpœnt
tempra	tʰɛm̥pra
hríðinni	r̥iːðɪnɪ
aðflugshallasendum	aðflʏxshatlasɛntʏm
umrenningar	ʏmrɛniŋkʏar
tónskáldinu	tʰounskaultɪnʏ
breytast	preiːtast
sagnfræðingur	sakn̥fraiðiŋkʏr
undankomuleið	ʏntankʰɔmʏleiːð
þegar	θɛːɣar
bisa	pɪːsa
vínland	vinlant
hvelfinguna	kʰvɛlviŋkʏna
kvenfélag	kʰvɛnfjɛlaɣ
alúðlegur	aːluðlɛɣʏr
reglunni	rɛklʏnɪ
kauptilboði	kʰœiːptɪlpɔðɪ
roðna	rɔðna
jakobs	jaːkʰɔps
norðmanna	nɔrðmana
elskaða	ɛlskaða
hugtakið	hʏxtacɪð
sjöfn	sjœpn̥
egilshöll	ɛːjɪlshœtl̥
flaumi	flœiːmɪ
efnaskipti	ɛpnascɪftɪ
bundnu	pʏntnʏ
tjarnarborg	tʰjatnarpɔrk
glimrandi	klɪmrantɪ
broshýr	prɔːshir
óspurðum	ouːspʏrðʏm
íbúða	iːpuða
áhyggjulausu	auːhɪcʏlœiːsʏ
dúlla	tula
löglega	lœɣlɛɣa
hk	hauːkauː
umleikis	ʏmleicɪs
barnaverndarstofu	patnavɛntarstɔːvʏ
hreyfa	r̥eiva
eb	ɛːpjɛː
trefjaplötum	tʰrɛfjapʰlœːtʏm
adam	aːtam
ástundun	auːstʏntʏn
ósnortin	ouːstnɔr̥tɪn
kristur	kʰrɪstʏr
stólsins	stoulsɪns
heilbrigðisyfirvalda	heilprɪɣðɪsɪːvɪrvalta
afkvæmi	avkʰvaimɪ
hermdu	hɛrmtʏ
ótrúr	ouːtʰrur
guðlegri	kvʏðlɛɣrɪ
regnkápum	rɛkkʰaupʏm
ívarsson	iːvar̥sɔːn
sjúkraþjálfun	sjuːkraθjaulvʏn
heimilistæki	hɛːjmɪlɪstʰajːcɪ
tyggja	tʰɪca
úbs	ups
skúlasyni	skuːlasɪːnɪ
heiðingjar	heiːðiɲcar
gráhærð	krauːhairð
gormælt	kɔrmajl̥t
fáránlegum	fauːraunlɛɣʏm
hádegismatinn	hauːteijɪsmaːtɪn
gvantanamó	kvantanamouː
dropi	trɔːpɪ
kvenfélagi	kʰvɛnfjɛlaijɪ
listamaður	lɪstamaːðʏr
meiða	meiːða
bjartsýn	pjar̥tsin
sement	sɛːmɛn̥t
glæsibókina	klaːjsɪpouːcɪna
ólafsfirði	ouːlafsfɪrðɪ
þingborg	θiŋkpɔrk
skrifa	skrɪːva
skráningargjöld	skraːuniŋkar̥cœlt
taglarétt	tʰaklarjɛht
brunatryggð	prʏːnatʰrɪɣð
flæmdu	flajmtʏ
sértu	sjɛr̥tʏ
varanlegri	vaːranlɛɣrɪ
vinkaði	viŋ̊kaðɪ
birtunni	pɪr̥tʏnɪ
höfðuð	hœvðʏð
sorgarviðbrögð	sɔrkarvɪðprœɣð
klúta	kʰluːta
keilu	cʰeiːlʏ
geðsjúkdómum	cɛðsjuktoumʏm
heilir	heiːlɪr
stjórnarmaður	stjourtnarmaːðʏr
útrætt	uːtraiht
vélmenni	vjɛlmɛnɪ
höfuðsmannsins	hœːvʏðsmansɪns
silfurmunum	sɪlvʏrmʏːnʏm
benjamíns	pɛnjamins
verknaður	vɛr̥knaðʏr
áhugaverðu	auːhʏɣavɛrðʏ
líkamsleifar	liːkamstleiːvar
mótmælum	moutmailʏm
benediktsdóttur	pɛːnɛtɪxstouhtʏr
órólegu	ouːroulɛɣʏ
orkujafnvægi	ɔr̥kʏjapvajɪ
fögruhlíð	fœɣrʏl̥iːð
smits	smɪts
stungum	stuŋkʏm
sálugu	sauːlʏɣʏ
hljómalind	l̥jouːmalɪnt
ummyndun	ʏmɪntʏn
skaf	skaːv
skólpgöng	skoul̥pkœjŋk
aðalsteinsson	aːðalsteinsɔːn
marvin	marvɪn
egypska	ɛːcɪfska
skóga	skouːa
ólafssyni	ouːlafsɪːnɪ
nánari	nauːnarɪ
villutrú	vɪtlʏtʰruː
eiturdali	ɛːjtʏrtaːlɪ
kvennalið	kʰvɛnalɪːð
talsins	tʰalsɪns
endurhlaðanleg	ɛntʏrl̥aðanlɛɣ
virku	vɪr̥kʏ
fæðingarbletti	faiːðiŋkarplɛhtɪ
fiðlarinn	fðlarɪn
barnanauðgara	partnanœjðkara
steinsdóttur	steinstouhtʏr
trúboðinn	tʰruːpɔðɪn
konni	kʰɔnɪ
stjórnandanum	stjourtnantanʏm
ólympíuleikar	ouːlɪmpijʏleiːkar
vandamál	vantamauːl
þúsundkall	θuːsʏntkatl̥
unnsteinn	ʏnstɛjtn̥
hitans	hɪːtans
tómasdóttur	tʰouːmastouhtʏr
eindregið	eintreijɪð
sigurlaugu	sɪːɣʏrlœiːɣʏ
vefsetur	vɛfsɛtʏr
matsnefnd	maːtsnɛmt
orri	ɔrɪ
almennilegt	almɛnɪlɛxt
rekst	rɛkst
slæman	stlaiːman
þrítugasti	θriːtʏɣastɪ
eirðarlaus	eirðalœiːs
myndlistarkennsla	mɪntlɪstarcʰɛnstla
sauðlauksdal	sœiðlœikstal
veitir	veiːtɪr
vaktþjónusta	vaxtθjounʏsta
skrapatóli	skraːpatʰouːlɪ
sprengju	spreiɲcʏ
marglitum	marklɪtʏm
gamanmyndina	kaːmanmɪntɪna
íslensks	istlɛnsks
tóna	tʰouːna
lánast	launast
norðfjörð	nɔrðfjœrð
aðgæta	aðcaita
neysluverðs	neistlʏvɛrðS
laxdal	lakstal
ristina	rɪstɪna
ættjarðarást	aihtjarðaraust
nefndin	nɛmtɪn
hænan	haiːnan
landsliðsins	lantstlɪðsɪns
taugaspenntur	tʰœiːɣaspɛn̥tʏr
alexandersson	aːlɛksanter̥sɔːn
þakinu	θaːcɪnʏ
flökum	flœːkʏm
krísuvík	kʰriːsʏviːk
alþjóð	alθjouð
glitrar	klɪːtrar
samhjálp	saːmçaul̥p
dóm	touːm
gráa	krauːa
tönnunum	tʰœnɔnʏm
sellur	sɛlʏr
sendillinn	sɛntɪtlɪn
stöðuleyfi	stœːðʏlɛːjvɪ
skapaði	skaːpaðɪ
flotann	flɔːtan
sigurðarson	sɪːɣʏrðarsɔːn
spýtnahrúgu	spihtnar̥uːʏ
boðskapur	pɔðskapʏr
boganum	pɔːɣanʏm
stilltum	stɪl̥tʏm
farlama	farlama
flettir	flɛhtɪr
rússarnir	rusatnɪr
nefin	nɛːvɪn
hefðarinnar	hɛvðarɪnar
tilhöggnum	tʰɪːlhœknʏm
sílikon	siːlikɔn
útreið	uːtreið
hugbúnaðarfyrirtæki	hʏɣpunaðarfɪːrɪrtʰaiːcɪ
augað	œiːɣað
boðorðinu	pɔːðɔrðɪnʏ
hversdagsleika	kʰvɛr̥stakstlɛjka
bjáni	pjauːnɪ
framhaldsskólastigi	framhaltskouːlastiːjɪ
þóttuna	θouhtʏna
óhreinir	ouːr̥einɪr
smíðaður	smiːðaðʏr
sony	souːni
línuna	liːnʏna
pálína	pʰauːlina
hægur	haiːɣʏr
oná	ɔːnau
spólurnar	spouːlʏrtnar
kolagrill	kʰɔːlakrɪl
magasárið	maːɣasauːrɪð
forsetaefni	fɔr̥sɛtaɛpnɪ
fluttumst	flʏhtʏmst
veraldar	vɛːraltar
ánægjulegasti	auːnaijʏlɛːɣastɪ
suðurbæjarlaug	sʏːðʏrpaijarlœiːɣ
kippa	cʰɪhpa
siglinguna	sɪkliŋkʏna
ótækt	ouːtʰaixt
austurbæjar	œjstʏrpaːjar
seltjarnarneskaupstaðar	sɛltʰjartnarnɛskʰœjfstaðar
frímannsdóttir	friːmanstouhtɪr
leytinu	leiːtɪnʏ
haukssonar	hœiksɔnar
náttúrufyrirbæri	nauhturʏfɪːrɪrpaiːrɪ
umsjón	ʏmsjoun
embættinu	ɛmpaihtɪnʏ
norðurljósa	nɔrðʏrljouːsa
ljóð	ljouːð
biskupnum	pɪskʏhpnʏm
níkíta	niciːta
hlýjuna	l̥iːjʏna
kvaldi	kʰvaltɪ
sophusson	souːfʏsɔːn
samtalsins	samtalsɪns
skurði	skʏrðɪ
skíði	sciːðɪ
kjölinn	cʰœːlɪn
badminton	patmintɔn
hráum	r̥auːʏm
garðatorg	karðatɔːrk
skeyta	sceiːta
mánudegi	mauːnʏteiːjɪ
jarðneska	jarðnɛska
vafasömu	vaːvasœːmʏ
blíð	pliːð
flúorgas	fluːɔrkas
krans	kʰrans
veiðivötn	veiːðɪvœhtn̥
auglýsingum	œiɣlisiŋkʏm
þungum	θuŋkʏm
strokkinn	strɔhcɪn
fjöldann	fjœltan
mumma	mʏma
stríðsglæpi	striðsklaipɪ
skýrslunum	scistlɔnʏm
kálfur	kʰaulvʏr
áhorf	auːhɔrv
björnson	pjœr̥sɔn
frómheit	frouːmheit
stundað	stʏntað
sparibaukur	spaːrɪpœikʏr
humm	hʏm
listavel	lɪstavɛːl
undirbúningsvinnu	ʏntɪrpuniŋsvɪnʏ
sálmur	saulmʏr
fjölskyldumeðlimi	fjœlscɪltʏmɛðlɪmɪ
holan	hɔːlan
staurinn	stœiːrɪn
húsnæðinu	huːstnaiðɪnʏ
íslandsmeistari	istlantsmeistarɪ
flottar	flɔhtar
mellan	mɛtlan
grétarsson	krjɛːtar̥sɔːn
framhjáhald	framçauhalt
birta	pɪr̥ta
skaparans	skaːparans
ritstjórinn	rɪːtstjourɪn
biturt	pɪːtʏr̥t
valt	val̥t
fjárfestingum	fjaur̥fɛstiŋkʏm
þriðjudagana	θrɪðjʏtaːɣana
dæmið	taiːmɪð
samdrátturinn	samtrauhtʏrɪn
grip	krɪːp
vígslubiskup	vixstlʏpɪskʏp
frumtextinn	frʏmtɛkstɪn
útgerðir	uːtcɛrðɪr
hálfleik	hauleik
deildabikarkeppni	teiltapɪːkarcɛhpnɪ
hraunsprunga	r̥œjnspruŋka
trissur	tʰrɪsʏr
afreka	avrɛka
fréttaþáttarins	frjɛhtaθauhtarɪns
stóragerði	stouːracɛrðɪ
smæðar	smaiːðar
sérhæfðar	sjɛːrhaivðar
krökkum	kʰrœhkʏm
þinglýstu	θiŋklistʏ
sönnur	sœnʏr
innkaupastjórnun	ɪŋkʰœjpastjourtnʏn
rektu	rɛxtʏ
tvennar	tʰvɛnar
bíómyndir	piːjoumɪntɪr
iðnaðarsvæði	ɪðnaðarsvaiːðɪ
kveður	kʰvɛːðʏr
dragðu	traɣðʏ
hvítvín	kʰviːtvin
lindinni	lɪntɪnɪ
myndband	mɪntpant
notendanafn	nɔːtɛntanapn̥
flautuna	flœiːtʏna
sjálfsagður	sjaulsaɣðʏr
farga	farka
háskólastigsins	hauːskoulastɪxsɪns
dauflegt	tœivlɛxt
harmar	harmar
kjörna	cʰœrtna
þorpi	θɔr̥pɪ
klippinguna	kʰlɪhpiŋkʏna
kallast	kʰatlast
byrjaður	pɪrjaðʏr
óskiptur	ouːscɪftʏr
hrafnkels	r̥apcɛls
spenntir	spɛn̥tɪr
kristbjörn	kʰrɪstpjœtn̥
aðgerðir	aðcɛrðɪr
elskendurnir	ɛlskɛntʏtnɪr
fullsaddan	fʏtl̥satan
símum	siːmʏm
sjávarútveginn	sjauːvaruːtveijɪn
helguson	hɛlkʏsɔːn
smásmuguleg	smaːusmʏɣʏlɛɣ
húsnæðið	huːstnaiðɪð
brjálæðislega	prjauːlaiðɪstlɛɣa
veikburða	veiːkpʏrða
byssuhlaupið	pɪsʏl̥œiːpɪð
sjúkraflugi	sjuːkraflʏijɪ
iðnað	ɪðnað
kúlur	kʰuːlʏr
stofnfrumusöfnunar	stɔpn̥frʏmʏsœpnʏnar
umsóknarfrestur	ʏmsouhknarfrɛstʏr
friðun	frɪːðʏn
fagnaðar	faknaðar
hátíðlegu	hauːtiðlɛɣʏ
hrörleg	r̥œrlɛɣ
skrifstofan	skrɪfstɔvan
úlnliðnum	ulɪðnʏm
ýms	ims
tortryggið	tʰɔr̥trɪcɪð
ásmundi	auːsmʏntɪ
byrja	pɪrja
burtfararprófi	pʏr̥tfararpʰrouːvɪ
eiríkssonar	eiːriksɔːnar
þemu	θɛːmʏ
drekinn	trɛːcɪn
klettasyllum	kʰlɛhtasɪtlʏm
táfýlu	tʰauːfilʏ
röbbuðum	rœpʏðʏm
morgunandakt	mɔrkʏnantaxt
sást	saust
tilskilin	tʰɪlscɪlɪn
spann	span
nestissölu	nɛstɪsœːlʏ
sokkabuxum	sɔhkapʏksʏm
yppti	ɪftɪ
veri	vɛːrɪ
krafði	kʰraːvðɪ
yfirtökutilboð	ɪːvɪrtœkʏtɪlpɔð
stéttir	stjɛhtɪr
morgunútvarp	mɔrkʏnuːtvar̥p
afgang	avkauŋk
atgervisflótta	aːtcɛrvɪsflouhta
berghyl	pɛrkhɪːl
fyrirsvarinu	fɪːrɪrsvaːrɪnʏ
eskifjörður	ɛscɪfjœrðʏr
rauðakrosshússins	rœiːðakrɔshusɪns
mefistó	mɛːfistou
lyfjarisinn	lɪvjarɪːsɪn
stórauka	stouːrœika
hjónarúmið	çouːnaruːmɪð
útilega	uːtɪlɛːɣa
hneigðu	n̥eiːɣðʏ
laukar	lœikar
gullgrafararnir	kʏtl̥kravaratnɪr
háf	hauːv
skilið	scɪːlɪð
flökti	flœxtɪ
endurgreidd	ɛntʏrkrɛjt
fjöllum	fjœtlʏm
samkoma	samkʰɔma
austurvegi	œistʏrveiːjɪ
póstkössum	pʰoustkœsʏm
bænaraugum	paiːnarœiːɣʏm
tímarnir	tʰiːmatnɪr
ökrunum	œːkrɔnʏm
vinsældum	vɪnsailtʏm
kynntum	cʰɪn̥tʏm
rúmsjó	rumsjou
minninga	mɪniŋka
mínúta	miːnouta
sus	sʏːs
velferðarkerfið	vɛlfɛrðarcʰɛrvɪð
köfnun	kʰœpnʏn
umræðuverkefnið	ʏmrajðʏvɛr̥kɛpnɪð
fjarlægið	fjarlaːjɪð
haraldi	haːraltɪ
auðlindagjald	œiðlɪntacalts
lélegir	ljɛːleijɪr
gísli	cistlɪ
vepjur	vɛːpjʏr
ástvaldur	austvaltʏr
ísafjarðarkirkju	iːsafjarðarcɪr̥cʏ
stjörnufræðistöðin	stjœrtnʏfrajðɪstœːðɪn
sálinni	sauːlɪnɪ
kjaftasögur	cʰaftasœːɣʏr
ósjálfbjarga	ouːsjaulvpjarka
samtöl	samtœl
hreppstjóra	r̥ɛhpstjoura
raknaði	rahknaðɪ
hafnarborgar	hapnarpɔrkar
hormónum	hɔrmounʏm
bindindi	pɪntɪntɪ
skólanum	skouːlanʏm
skoska	skɔska
markareikningurinn	mar̥karɛjhkniŋkʏrɪn
iljarnar	ɪljatnar
óhag	ouːhaɣ
áminning	auːmɪniŋk
glúmi	kluːmɪ
drunur	trʏːnʏr
borðarnir	pɔrðatnɪr
kafrjóð	kʰavrjouð
slaginn	stlaijɪn
uppbygging	ʏhpɪciŋk
ritvélina	rɪːtjɛlɪna
sameiginlegan	saːmeijɪnlɛɣan
mínútur	miːnoutʏr
undirskálinni	ʏntɪrskauːlɪnɪ
kvikmyndasýningar	kʰvɪːkmɪntasiːniŋkar
kynningarbæklingur	cʰɪniŋkarpajhkliŋkʏr
vanda	vanta
hjálminn	çaulmɪn
anni	anɪ
morgunsöngur	mɔrkʏnsœiŋkʏr
sellóleikari	sɛlouleiːkarɪ
vafasömum	vaːvasœːmʏm
níundu	niːjʏntʏ
sigurpálsson	sɪːɣʏrpaulsɔːn
teikniborðinu	tʰeihknɪpɔrðɪnʏ
sigurinn	sɪːɣʏrɪn
sjúklingunum	sjuhkliŋkɔnʏm
negla	nɛkla
talsverð	tʰalsvɛrð
fuku	fʏːkʏ
lægra	laiɣra
hlaupabólu	l̥œipapouːlʏ
þorvald	θɔrvalt
suðurkjördæmi	sʏːðʏr̥cʰœrtajmɪ
netkort	nɛːtkʰɔr̥t
leynilögregluna	leiːnɪlœɣrɛklʏna
gunnlaugssonar	kʏnlœixsɔːnar
grófari	krouːvarɪ
birnu	pɪtnʏ
framkvæmdaáætlun	framkvaimtaauːaihtlʏn
siglinga	sɪkliŋka
starfslok	starvstlɔk
segir	seiːjɪr
fjórðungssjúkrahússins	fjourðuŋksjuːkrahusɪns
fallegur	fatlɛkʏr
geimveru	cɛjmvɛrʏ
prjónlesi	pʰrjounlɛsɪ
rósamunn	rouːsamʏn
margkjarna	markcartna
barði	parðɪ
kynningarfundi	cʰɪniŋkarfʏntɪ
færst	fair̥st
tjá	tʰjauː
jafnaðist	japnaðɪst
gleðigand	klɛːðɪɣant
hundrað	hʏntrað
hjali	çaːlɪ
kærunni	cʰaiːrʏnɪ
hriflu	r̥ɪplʏ
útblástur	uːtplaustʏr
gróðurvana	krouːðʏrvana
innflutt	ɪnflʏht
íslenska	istlɛnska
vöktuðu	vœxtʏðʏ
söngvari	sœiŋkvarɪ
fjallsins	fjalsɪns
lögreglumenn	lœɣrɛklʏmɛn
hræðileg	r̥aiːðɪlɛɣ
ljósvallagötuna	ljouːsvatlakœːtʏna
málefni	mauːlɛpnɪ
vola	vɔːla
franska	franska
vissara	vɪsara
rjóðrið	rjouðrɪð
kanadíska	kʰaːnatiska
hagstæður	haxstaiðʏr
áköf	auːkœv
göngutúr	kœiŋkʏtuːr
flúormengun	fluːɔrmɛjŋkʏn
skaga	skaːɣa
skondinn	skɔntɪn
átökum	auːtœkʏm
seinustu	seiːnʏstʏ
gangsett	kauŋksɛht
frægan	fraiːɣan
snarstansar	stnaːrstansar
mynstur	mɪnstʏr
grunna	krʏna
stimplaði	stɪm̥plaðɪ
bað	paːð
bauka	pœiːka
klárinn	kʰlauːrɪn
skökk	skœhk
hveitikarla	kʰveiːtɪkartla
bæjarútgerðinni	paiːjaruːtcɛrðɪnɪ
mexíkóborg	mɛksikoupɔrk
speglinum	speiklɪnʏm
puttann	pʰʏhtan
fæðingar	faiːðiŋkar
skauta	skœiːta
námskeiðin	naumsceiðɪn
æskunni	aiskʏnɪ
íslenskan	istlɛnskan
brýst	prist
krónunnar	kʰrouːnʏnar
evrópusamband	ɛvroupʏsampant
næturvörður	naiːtʏrvœrðʏr
ungdæmi	uŋtajmɪ
úrræðum	uraiðʏm
niður	nɪːðʏr
prostaglandína	pʰrɔstaklantina
jafn	japn̥
vátryggingafélag	vauːtrɪcɪŋkafjɛːlaɣ
eldhúsinnrétting	ɛlthusɪnrjɛhtiŋk
turninum	tʰʏrtnɪnʏm
eplin	ɛhplɪn
ilmkerti	ɪlmcʰɛr̥tɪ
örnefni	œrnɛpnɪ
magasínið	maːkasiːnɪð
samgöngumálum	samkœiŋkʏmauːlʏm
altekin	altɛcɪn
grunnfleti	krʏnflɛːtɪ
messur	mɛsʏr
koss	kʰɔs
andanum	antanʏm
svipaður	svɪːpaðʏr
línunni	liːnʏnɪ
vegabréf	vɛːɣaprjɛːv
ódauðlega	ouːtœiðlɛɣa
finnskum	fɪnskʏm
húsabaki	huːsapaːcɪ
afköstum	avkʰœstʏm
kreiki	kʰreiːcɪ
eldana	ɛltana
klausu	kʰlœiːsʏ
fóðrið	fouðrɪð
auðu	œiːðʏ
ópum	ouːpʏm
bjórglas	pjourklas
vitringarnir	vɪːtriŋkatnɪr
meðalfínt	mɛːðalfin̥t
bjarg	pjark
tunglsljósinu	tʰuŋlstljousɪnʏ
fullorðnir	fʏtlɔrtnɪr
bila	pɪːla
sjálfboðavinnu	sjaulvpɔðavɪnʏ
koffortinu	kʰɔfɔr̥tɪnʏ
bjarmalands	pjarmalants
vetrum	vɛːtrʏm
viðskiptavinarins	vɪðscɪftavɪːnarɪns
georgs	cɛːɔrks
tónleikaferð	tʰounleikafɛrð
hugbúnaðarfyrirtækið	hʏɣpunaðarfɪːrɪrtʰaiːcɪð
fimmtudaga	fɪm̥tʏtaːɣa
hálfum	haulvʏm
starfaði	starvaðɪ
genum	cɛːnʏm
munuð	mʏːnʏð
gafla	kapla
sleiktu	stleixtʏ
landmælingar	lantmailiŋkar
þórunn	θouːrʏn
eyjólfsdóttur	eiːjoulstouhtʏr
valli	valɪ
útblásturs	uːtplaustʏr̥s
lífshættulega	lifshaihtʏlɛɣa
glæðurnar	klaiːðʏtnar
atladóttir	ahtlatouhtɪr
eldinu	ɛltɪnʏ
arnbjörnsson	artnpjœr̥sɔːn
samúðarkveðjur	saːmuðarkʰvɛðjʏr
stjórnarandstæðingar	stjourtnarantstaiðiŋkar
buxnavasanum	pʏkstnavaːsanʏm
hallveig	hatl̥veiɣ
reykingarfólk	rɛːjciŋkarfoul̥k
efnisvísar	ɛpnɪsviːsar
finns	fɪns
starfsmannabúðir	starsmanapuːðɪr
greiðsluerfiðleikum	kreiðstlʏɛrvɪðleiːkʏm
venjum	vɛnjʏm
milljón	mɪljoun
víðidal	viːðɪtaːl
samhent	saːmhɛn̥t
bauð	pœiːð
gæi	kaijɪ
frillu	frɪtlʏ
myndlistardeild	mɪntlɪstarteilt
atkvæðanna	aːtkvaiðana
lystarstol	lɪstarstɔl
arnardóttur	artnartouhtʏr
endurskoðandi	ɛntʏrskɔːðantɪ
ljóssins	ljousɪns
heimsbyggðina	heimspɪɣðɪna
fúsa	fuːsa
egilsstaða	eijɪlstaːða
skertar	scɛr̥tar
lungnasjúkdóma	luŋnasjuːktouma
afbrigði	avprɪɣðɪ
reiðilestur	reiːðɪlɛstʏr
millitíðinni	mɪtlɪtiːðɪnɪ
borgarapótek	pɔrkaraːpoutɛk
skáluðum	skauːlʏðʏm
óþekktum	ouːθɛxtʏm
hauks	hœiks
kórnum	kʰourtnʏm
skutlu	skʏhtlʏ
óperusöngvararnir	ouːpʰɛrʏsœjŋkvaratnɪr
hundana	hʏntana
stéttlausra	stjɛhtlœjsra
matstæki	maːtstʰajcɪ
medíus	mɛːtijʏs
gjafir	caːvɪr
uppskipt	ʏhpscɪft
áfrýja	auːfrija
menning	mɛniŋk
svitaeyðir	svɪːtaɛːjðɪr
eftirvæntingar	ɛftɪrvain̥tiŋkar
gengisþróun	ceiɲcɪsθrouːʏn
hrósið	r̥ouːsɪð
samgöngumál	samkœiŋkʏmauːl
megináhersla	meijɪnauːhɛr̥stla
yfirboðara	ɪːvɪrpɔːðara
dönsk	tœnsk
másið	mauːsɪð
tæknimenn	tʰaihknɪmɛn
gyðingaofsóknir	cɪːðiŋkaɔfsouhknɪr
forfaðir	fɔr̥faðɪr
grunnskólanna	krʏnskoulana
niðurlægt	nɪːðʏrlaixt
skelk	scɛl̥k
krota	kʰrɔːta
tilgáta	tʰɪlkauta
sameinaðs	saːmeinaðs
blaðafulltrúi	plaːðafʏtl̥truːɪ
apótekið	aːpoutɛːcɪð
feðrunum	fɛðrɔnʏm
villtan	vɪl̥tan
banana	paːnana
gildrurnar	cɪltrʏtnar
lækni	laihknɪ
blýeitrun	pliːɛːjtrʏn
ermunum	ɛrmɔnʏm
gulllóa	kʏloua
tvö	tʰvœː
áratug	auːratʏːɣ
álfheimum	aulvheimʏm
talinn	tʰaːlɪn
rotturnar	rɔhtʏtnar
grjótinu	krjouːtɪnʏ
verkamaður	vɛr̥kamaːðʏr
spenningi	spɛniɲcɪ
raunsæismanneskjan	rœinsaijɪsmanɛskjan
leiksviði	leiːksvɪðɪ
ósnöfurmannlegt	ouːstnœvʏrmanlɛxt
lífið	liːvɪð
mistókst	mɪːstoukst
