σκορδόψωμα	skoɾðopsoma
κραυγάζω	kravɣazo
διαλυμένησ	ðʝalimenis
κληρονομάω	kliɾonomao
απεύχομαι	apefxome
γυρίστηκα	ʝiɾistika
πλειοψηφίεσ	pliopsifies
απαγορεύσεισ	apaɣoɾefsis
πάγοσ	paɣos
μπινελίκι	binelici
ξένοσ	ksenos
κάρδαμο	karðamo
επισκέφθηκα	episcefθika
χορέψαμε	xoɾepsame
χιονάνθρωποσ	çonanθɾopos
θερμοκοιτίδεσ	θermocitiðes
παοκ	paok
φόρα	foɾa
απομονωμένησ	apomonomenis
τετριμμένη	tetrimeni
υπολογιστική	ipoloʝistici
αγρίεψα	aɣɾiepsa
απολογητικήσ	apoloʝiticis
υπολογισμένοι	ipoloʝizmeni
λουφαδόροσ	lufaðoɾos
ψήφο	psifo
ηλικιωμένε	iliciomene
μαλακισμένο	malacizmeno
αποκλείσθηκε	apoklisθice
μασσαλία	masalia
φαινυλαμίνεσ	fenilamines
γυρνάω	ʝiɾnao
κατρουλιό	katɾuʎo
διαλυτικά	ðʝalitika
βράχηκα	vɾaçika
δύσκολοσ	ðiskolos
σκατίλα	skatila
ισόγειοσ	isoʝios
έλυνε	eline
προειδοποίησα	pɾoiðopiisa
γαμάτα	ɣamata
θλιμμένου	θlimenu
αποκρίνομαι	apokɾinome
ακολουθούμε	akoluθume
διέπομαι	ðiepome
κότσαρε	kotsaɾe
κουβαλιέμαι	kuvaʎeme
τορόντο	toɾondo
υπολογίζουμε	ipoloʝizume
παραβάλομε	paɾavalome
αμφιδέξιοσ	amfiðeksios
καλαμποκόψωμα	kalambokopsoma
φεύγω	fevɣo
πασαλείφομαι	pasalifome
καταφέρω	katafeɾo
οφιοειδή	ofioiði
χιόνι	çoni
πέμπτοσ	pemptos
γαμάτοι	ɣamati
φέρε	feɾe
άγιων	aʝon
λιμένοσ	limenos
λανθάνων	lanθanon
ολίγοσ	oliɣos
ωφελώ	ofelo
λεξιπλασία	leksiplasia
αποτυχία	apotiçia
ντροπαλοί	dɾopali
σκουλήκι	skulici
αναφτερώνομαι	anafteɾonome
κινεζοποίησησ	cinezopiisis
γιάννινα	ʝanina
δεκατέσσερα	ðekateseɾa
παρηγορημένοσ	paɾiɣoɾimenos
διαρκώ	ði̯aɾko
παρεγράφη	paɾeɣɾafi
παρακολουθώ	paɾakoluθo
χαρτομάντησ	xaɾtomandis
στιμμένησ	stimenis
παρακείμενουσ	paɾacimenus
θλιβερούσ	θliveɾus
συγκόπηκα	siŋɡopika
ματοβαμμένων	matovamenon
στειρώνω	stiɾono
σέρβιρε	seɾviɾe
αδημονώ	aðimono
έχουνε	exune
γκρίζασ	ɡɾizas
οικοδομήθηκα	ikoðomiθika
διαρρέομαι	ðiareome
καδράρω	kaðɾaɾo
πηλοφόρι	pilofoɾi
αιδώσ	eðos
ερωτεύτηκα	eɾoteftika
διατηρώ	ði̯atiɾo
ένρινων	enrinon
αλείφω	alifo
πιροσκί	piroski
μπαρκάριζα	baɾkaɾiza
λύει	lii
ακατοίκητοσ	akaticitos
αλεξανδρούπολη	aleksanðɾupoli
ποικιλότερου	piciloteru
χρειάστηκε	xɾiastice
σκασμένε	skazmene
ζωντανόσ	zondanos
ακατάσβεστοσ	akatazvestos
βαθμολογημένεσ	vaθmoloʝimenes
αντιγραφείσ	andiɣrafis
γκέι	ɟei
ηλικία	ilicia
παπάρι	papaɾi
πομφολύγων	poɱfoliɣon
πιστεύεται	pistevete
αετιδεύσ	aetiðefs
αποβάλλομαι	apovalome
εγείρομε	eʝiɾome
μηνύθηκα	miniθika
βδομάδα	vðomaða
αιματοβαμμένα	ematovamena
περισπώμενεσ	peɾispomenes
ζευγάρια	zevɣarʝa
ανησυχώ	anisixo
εκατό	ekato
ποικιλότερουσ	piciloterus
οσμίστηκα	ozmistika
μεταφράζομαι	metafɾazome
μάζευε	mazeve
ενέκλεισα	eneklisa
βιάζομαι	viazome
καρτερώ	kaɾteɾo
δεκέμβριο	ðeceɱvɾio
ξενιτιάσ	ksenitças
επιγράφηκε	epiɣrafice
αναμιγνύω	anamiɣnio
παύτηκα	paftika
βοηθημένοσ	voi̯θimenos
κλεισμένα	klizmena
κοινολέκτουσ	cinolektus
βοοειδή	vooiði
εγκύπτω	eŋɟipto
προσάρτησα	pɾosaɾtisa
στιγματίστηκα	stiɣmatistika
στυμμένου	stimenu
δρω	ðɾo
αντανακλαστικό	andanaklastiko
δολοφόνισσα	ðolofonisa
ομοφυλόφιλων	omofilofilon
κακοκεφιών	kakocefçon
μαλακισμένοι	malacizmeni
τζένη	dzeni
έκτοποσ	ektopos
αμνησίεσ	amnisies
κάθομαι	kaθome
αγκομαχάω	aŋɡomaxao
ευθέωσ	efθeos
δυσκολεύω	ðiskolevo
οιωνόσ	ionos
αβουλίεσ	avulies
κατέφτασα	kateftasa
βελτιώθηκα	veltioθika
ενισχύω	enisçio
εκπίπτω	ekpipto
λάκωνασ	lakonas
κωσταντίνα	kostandina
κωνσταντινούπολισ	konstandinupolis
έντρομοσ	endɾomos
ψαλμένοσ	psalmenos
κίνητρο	cinitro
βοηθημένοσ	voiθimenos
δημοσιευμένοσ	ðimosievmenos
ενδιέτριψα	enðietɾipsa
αηδιασμένοι	aiðiazmeni
εξοπλισμένων	eksoplizmenon
ταχυδακτυλουργόσ	taçiðaktiluɾɣos
περιοδικέσ	perioðices
άρχοντασ	aɾxondas
ακρογωνιαίοσ	akɾoɣonieos
θεοκρατία	θeokratia
ειλημμένησ	ilimenis
έκλεψα	eklepsa
ποικιλότερων	piciloteron
γράδο	ɣɾaðo
φρενάραμε	frenarame
καλιφόρνια	kalifoɾnia
σεπτέμβρηδεσ	septeɱvɾiðes
μελισσοκόμοσ	melisokomos
τρανσ	tɾans
ανακατεύτηκα	anakateftika
αναστατώθηκα	anastatoθika
αμφισβητούμαι	aɱfisvitume
γκαρίζω	ɡarizo
ανοίκειοσ	anicios
εθνάρχησ	eθnarçis
συγκινούμαι	siŋɟinume
λύνονται	linonde
ισπανία	ispania
σβηστηριού	zvistiɾʝu
υπογράφεισ	ipoɣrafis
υδρογόνο	iðroɣono
σαλτάρω	saltaɾo
τοστιέρα	tostçeɾa
κόκκινων	kocinon
πιονιού	pçoɲu
πασπατεύω	paspatevo
λύνεστε	lineste
ήμασταν	imastan
σκούντηξα	skundiksa
ψήφοι	psifi
καθιδρύομεν	kaθiðriomen
πεσκίρι	pesciɾi
διασκέπτομαι	ðiasceptome
στειμμένησ	stimenis
επιστρέφω	epistɾefo
σύρομαι	sirome
χρώσταγα	xɾostaɣa
πίπα	pipa
άμυαλοσ	amɲalos
ουσιαστικοποιήσεων	usiastikopiiseon
κανάκεψε	kanacepse
λύσαμε	lisame
καδράρομαι	kaðɾaɾome
λυθήκαμε	liθikame
υπολογισμένε	ipoloʝizmene
σχετικά	sçetika
ξερόψωμο	kseropsomo
συσσωρεύω	sisoɾevo
ζάκυνθοσ	zacinθos
επικαλύψεισ	epikalipsis
κατέφερα	katefeɾa
ζεσταμένοι	zestameni
αηδιαστικοί	aiðʝastici
νικημένοσ	nicimenos
θεοτόκε	θeotoce
αγιάστηκα	aʝastika
ανατιμώ	anatimo
ηθικότητα	iθikotita
ερχόμενοι	erxomeni
περίπλουσ	periplus
ασέβειεσ	asevies
θήτα	θita
τζάμπα	tsamba
άστρο	astro
σόι	soi
γυρεύομαι	ʝiɾevome
κολλώ	kolo
αξίζω	aksizo
ιεράρχησ	ierarçis
σημειωτόν	simioton
αξιοσημείωτοσ	aksiosimiotos
ανάπαψα	anapapsa
καλομοίρα	kalomira
πολωνέζεσ	polonezes
αριβάρισα	aɾivaɾisa
κορόιδευε	koɾoi̯ðeve
κριθαρόψωμα	kriθaropsoma
παραγράφτηκε	paɾaɣɾaftice
βελτιώνω	veltiono
ατμ	ei̯tiem
αποσείουμε	aposiume
σφύριξα	sfiriksa
καταιγίδασ	kateʝiðas
θωρούσα	θoɾusa
κοτσάριζε	kotsaɾize
αγανακτώ	aɣanakto
κωλόγρια	koloɣɾia
αγιάσθηκα	aʝiasθika
καλομοίρηδεσ	kalomiriðes
απασχολημένοσ	apasxolimenos
επισείστηκα	episistika
αγκυλίων	aŋɟilion
φλόριντα	floɾida
είμαστε	imaste
αλεγράρισα	aleɣɾaɾisa
αγαντάρισε	aɣandarise
αρχιφύλακασ	aɾçifilakas
αγκύλια	aŋɟilia
περσεύσ	persefs
περασμένη	perazmeni
αποκυημάτων	apociimaton
γοητεύτηκα	ɣoiteftika
ημέρευ'	imeɾef
αιματοβαμμένο	ematovameno
κεντάκι	centaci
έναρξησ	enaɾksis
ζητιανεύτε	zitçanefte
εμπνευσμένα	embnevzmena
αλήθεψα	aliθepsa
σοβαρολογούσα	sovaɾoloɣusa
οδηγήθηκα	oðiʝiθika
εγκλείουμε	eŋɡliume
μυροβλύτησ	miɾovlitis
φιλιέμαι	fiʎeme
καληνύχτα	kalinixta
κωμειδύλλιο	komiðilio
γιατάκι	ʝataci
ξεκωλιάστηκα	ksekoʎastika
έμποροσ	emboɾos
βρε	vɾe
πεντήκοντα	pendikonda
νοέμβριοι	noeɱvɾii
κοτσάρω	kotsaɾo
πιθάρια	piθarʝa
ανασαλεύομαι	anasalevome
λάκωνοσ	lakonos
βαβυλώνα	vavilona
στιβάδα	stivaða
κρυμμένου	krimenu
γερνώ	ʝeɾno
αβγατισμένεσ	avɣatizmenes
αποδοκιμάζουμε	apoðocimazume
κινδυνέψει	cinðinepsi
κατέστησα	katestisa
δεσπότησ	ðespotis
συνθλιφτήκαν	sinθliftikan
βοηθώ	voiθo
σταφιδόψωμα	stafiðopsoma
ομοφυλόφιλοι	omofilofili
μάζευα	mazeva
πλησίασα	plisiasa
σαλτάρισα	saltaɾisa
αγένεια	aʝenia
κράμβη	kraɱvi
φάνταξα	fandaksa
κοκκίνισα	kocinisa
ψημένοσ	psimenos
αναπαύθηκα	anapafθika
ἐξώστησ	eksostis
ποίησησ	piisis
τρελοκομείο	tɾelokomio
ψωμάδικο	psomaðiko
ανέτεινα	anetina
επιμελητήσ	epimelitis
γοητεύθηκα	ɣoitefθika
αβγατισμένουσ	avɣatizmenus
ζαμπονοτυρόπιτα	zambonotiɾopita
τέωσ	teos
μισούμε	misume
χάθηκα	xaθika
περασμένεσ	perazmenes
αρρωστημένοσ	arostimenos
τσακώνικη	tsakonici
μπερδεμένε	beɾðemene
παρκάρομαι	paɾkaɾome
απορώ	apoɾo
ξενοδοχειακόσ	ksenoðoçaos
πηδημένοσ	piðimenos
άγιασ	aʝas
αποτραπήκανε	apotɾapikane
χαμπέρι	xabeɾi
τραπέζι	tɾapezi
πληθυσμόσ	pliθizmos
σοφούσ	sofus
χαμόγελο	xamoʝelo
αλφαδιάζομαι	alfaðʝazome
χρονών	xɾonon
λυπημένη	lipimeni
ανάγγελλα	anaŋɟela
τρόμοσ	tromos
μοναχόσ	monaxos
ανακλαδίζομαι	anaklaðizome
φύλακασ	filakas
υπήκοοσ	ipicoos
κιλκίσ	cilcis
δήμαρχοσ	ðimaɾxos
μεταφυτεύομαι	metafitevome
ανέλκυσα	anelcisa
ευωδιών	evoðʝon
τραγουδώ	tɾaɣuðo
θριαμβεύω	θɾiaɱvevo
ντροπιασμένοσ	dɾopçazmenos
παγωτατζήσ	paɣotadzis
μέμφθηκα	memfθika
αγανακτισμένε	aɣanaktizmene
ανάγκη	anaŋɟi
χίου	çiu
αιτιοκρατίασ	etiokratias
διαχύθηκα	ðʝaçiθika
αλλαγή	alaʝi
δέσποινα	ðespina
καταφρονούμε	katafɾonume
εξαναγκάστηκα	eksanaŋɡastika
αποκλεισμένεσ	apoklizmenes
απορρίψεισ	apoɾipsis
ντροπαλόσ	dɾopalos
λυμένουσ	limenus
παραπαίω	parapeo
εμπεριέκλεισα	emberieklisa
ναύπακτοσ	nafpaktos
διαιρούμε	ðieɾume
τριμμένοι	trimeni
κωσταντήσ	kostandis
έξυσα	eksisa
εγείρουμε	eʝiɾume
φλιπάρω	flipaɾo
αθεϊσμό	aθeizmo
κινδύνεψε	cinðinepse
ήτανε	itane
ηγουμένησ	iɣumenis
πλειστηριάζω	plistiriazo
πίτα	pita
εμβολίων	eɱvolion
αποτράπηκαν	apotɾapikan
αναβαθμολογήθηκα	anavaθmoloʝiθika
τρομαγμένοσ	tɾomaɣmenos
επισείομαι	episiome
λύνεισ	linis
ντετερμινισμούσ	determinizmius
αγκαλιάζομαι	aŋɡaʎazome
ανακαλύφτηκα	anakaliftika
συντριφτήκανε	sindriftikane
ομοφυλόφιλοσ	omofilofilos
πωλώ	polo
αγουστιά	aɣustça
αλληλοσυγκρούστηκα	alilosiŋɡrustika
φιλολογίεσ	filoloʝies
ανακλώμαι	anaklome
λάκωνεσ	lakones
αιχμαλωτίστηκα	exmalotistika
ανευρίσκομαι	anevɾiskome
σπασμένοσ	spazmenos
κόμποσ	kombos
ηφαίστειο	ifestio
στεναχωρημένων	stenaxorimenon
αεροφωτογραφία	aerofotoɣrafia
προσελκύομαι	proselciome
ανεβασιάσ	anevasças
διήθηση	ðiiθisi
κρατικοποιώ	kɾatikopio
συμφυρμέ	siɱfirme
βασιλομήτωρ	vasilomitoɾ
καλομάνεσ	kalomanes
παρηγοράω	paɾiɣoɾao
γρηγόρησ	ɣɾiɣoɾis
τριμμένησ	trimenis
γουστάριζα	ɣustaɾiza
ξέχασα	ksexasa
συντρίβω	sindrivo
σοφότερο	sofoteɾo
σκάσε	skase
έλκουμε	elkume
παραβάλλομε	paɾavalome
στείρωσα	stiɾosa
δέκατοσ	ðekatos
μασαχουσέτη	masaxuseti
ανενταφίαστοσ	anendafiastos
σαχλαμάρα	saxlamaɾa
χοντρομπαλού	xondɾobalu
ελεημοσύνη	eleimosini
εγκαθιδρύομε	eŋɡaθiðriome
προφασίζομαι	pɾofasizome
λύνανε	linane
πλούσιοσ	plusios
γενιού	ʝeɲu
ικανοποιημένων	ikanopiimenon
απελπισμένεσ	apelpizmenes
προπόνησησ	proponisis
φλόκοσ	flokos
φίλησε	filise
αγκύλι	aŋɟili
αντάμωση	andamosi
μυγιάζομαι	miʝazome
απατήθηκα	apatiθika
μαζεύτε	mazefte
έβαλε	evale
παγωμένοσ	paɣomenos
λύνουμε	linume
λογόκρινα	loɣokɾina
αναμμένων	anamenon
αποδεικνύω	apoðiknio
απογοητεύω	apoɣoitevo
εκκενώσεισ	ecenosis
κινδύνεψα	cinðinepsa
έδυσα	eðisa
λιβαδειά	livaðʝa
αρρωστημένο	arostimeno
πλήττω	plito
υποθήκη	ipoθici
αγνάντευε	aɣnandeve
γονυπετείσ	ɣonipetis
παναγία	panaʝia
μάρτιε	maɾtie
φρένα	frena
πατσαβουρόπιτεσ	patsavuɾopites
ζαριά	zaɾʝa
ντροπιαστικοί	dɾopçastici
αναζητιέμαι	anazitçeme
πλειόκαινο	plioceno
σχηματίστηκα	sçimatistika
μεγαλομανία	meɣalomania
κόβω	kovo
γιατρειών	ʝatɾion
προαλείφθηκα	pɾoalifθika
φούμαρο	fumaɾo
ανασκάφηκα	anaskafika
παλτό	palto
διώκω	ðioko
συγκινητικοί	siŋɟinitici
άγιοι	aʝi
γαργαλεύω	ɣaɾɣalevo
αρρωστημένα	arostimena
προσδοκώμαι	pɾosðokome
περιοδικόσ	perioðikos
μάρτιο	maɾtio
βυθισμένοι	viθizmeni
τελώ	telo
καθιστώ	kaθisto
ραμολιμέντο	ɾamolimendo
ξενοδόχα	ksenoðoxa
προμηθείσ	promiθis
περικλείομε	perikliome
αλαφιασμένε	alafçazmene
αρνιέμαι	aɾɲeme
ειλημμένα	ilimena
ναυτολόγια	naftoloʝia
σεβαστιανόσ	sevastçanos
παραβλέφθηκα	paɾavlefθika
χαμόσ	xamos
αραχνιασμένοι	aɾaxɲazmeni
λύεισ	liis
τρυγόνασ	triɣonas
ανιδρύομε	aniðriome
ροβέρτοσ	ɾoveɾtos
βδελυγμάτων	vðeliɣmaton
συνήφθη	sinifθi
ματοκύλισα	matocilisa
αβάρα	avaɾa
προσπαθώ	pɾospaθo
λυπημένοι	lipimeni
αβανγκάρντ	avaŋɡaɾd
πειραματόζωο	piramatozoo
διασπώ	ði̯aspo
απατημένοσ	apatimenos
καθελκύω	kaθelcio
καπνίζουμε	kapnizume
ιωάννα	ioana
ανασκάπτομε	anaskaptome
διπλανόσ	ðiplanos
ξένια	kseɲa
καινούργιοσ	cenuɾʝos
κροτώ	kɾoto
διαρρέεται	ðʝareete
επομένωσ	epomenos
αποσταίνω	aposteno
ξοδεύομαι	ksoðevome
φρυγανίζομαι	fɾiɣanizome
εξυπακούονταν	eksipakuondan
εμπνευσμένε	embnevzmene
φουφού	fufu
ηλικιωμένα	iliciomena
περικλείομαι	perikliome
φοροδιαφυγή	foɾoðʝafiʝi
κλεισμένησ	klizmenis
επαινετόσ	epenetos
ηγούμενοι	iɣumeni
εξέχυσα	ekseçisa
αποβάλουμε	apovalume
ταλαιπωριέμαι	talepoɾʝeme
επερχόμενοσ	epeɾxomenos
χτυπιέμαι	xtipçeme
ψηφοδέλτιο	psifoðeltio
γνώριμοσ	ɣnoɾimos
αστράφτει	astɾafti
φέτοσ	fetos
μετριέμαι	metɾi̯eme
αυτοκράτορασ	aftokratoras
ποιούμαι	piume
αναβάλλω	anavalo
απορροφούμενου	apoɾofumenu
προωθώ	pɾooθo
παραβλέπουμε	paɾavlepume
δοξάζω	ðoskazo
ησυχία	isiçia
ανασαλεύω	anasalevo
λύνουνε	linune
ακούγω	akuɣo
βασιλιάσ	vasiʎas
μυρωμένεσ	miromenes
νομίζω	nomizo
μοχλόσ	moxlos
καθιδρύομε	kaθiðriome
είχαν	ixan
διαμείφθηκε	ðiamifθice
ἀθήναισ	aθines
αγιατολάχ	aʝatolax
ευεπηρέαστοσ	evepireastos
δεκαπέντε	ðekapende
γιατρεύτηκα	ʝatɾeftika
αποδειχθήκαν	apoðixθikan
μαζικότατουσ	mazikotatus
αμήν	amin
διαφωνώ	ðʝafono
διαγωνίζομαι	ðiaɣonizome
αλφαβήτουσ	alfavitus
ανέχομαι	anexome
καυλιάρα	kavʎaɾa
βάλεισ	valis
διαλογίζομαι	ðialoʝizome
φρόσω	fɾoso
ανορθώνω	anoɾθono
καλομαθημένων	kalomaθimenon
έγγαμοσ	eŋɣamos
στύβω	stivo
κομμένων	komenon
σχηματίζομαι	sçimatizome
συμπολεμιστήσ	simbolemistis
τάμεσησ	tamesis
ανταμώσεισ	andamosis
ανακτήθηκα	anaktiθika
επωνυμία	eponimia
πεινάω	pinao
ψαρεύομαι	psaɾevome
κάγκουρασ	kaŋɡuɾas
συνηθισμένη	siniθizmeni
ισχυρισμόσ	isçiɾizmos
καλικαντζαράκι	kalikandzaɾaci
κληρονομούμαι	kliɾonomume
συγχωρήθηκα	siŋxoɾiθika
όρεξη	oɾeksi
ανακαλύφθηκα	anakalifθika
προσαρτώμαι	pɾosaɾtome
επανιδρύομε	epaniðriome
μέτριοι	metrii
ανακάμπτω	anakampto
γιόρτασα	ʝoɾtasa
αρματώνω	aɾmatono
παρετυμολογία	paɾetimoloʝia
εξολοθρεύω	eksoloθɾevo
καρεκλάκι	kaɾeklaci
στειμμένουσ	stimenus
καρβέλι	karveli
θερμοδυναμική	θermoðinamici
λιγότεροσ	liɣoteros
αμφιλεγόμενεσ	aɱfileɣomenes
σφυρίζω	sfirizo
εκκολάπτομαι	ekolaptome
πρήζομαι	pɾizome
αναδημιουργημένεσ	anaðimiurʝimenes
ικανοποιημένε	ikanopiimene
δεν	ðen
ανάργυροσ	anaɾʝiɾos
ακριτικόσ	akritikos
κρότοσ	krotos
φασκιώνω	fasciono
αηδιαστική	aiðʝastici
κυβερνημένοσ	civeɾnimenos
σωρόσ	soɾos
κουραστικήσ	kurasticis
μαθημένη	maθimeni
κοινολέκτων	cinolekton
παρφουμάρισα	paɾfumaɾisa
ηγέρθην	iʝeɾθin
προετοιμάστηκα	pɾoetimastika
ὑπεγράφην	ipeɣrafin
ποικιλότατησ	picilotatis
αποδειχτήκαν	apoðixtikan
αιματοκυλίστηκα	ematocilistika
σταγόνων	staɣonon
ποιούμε	piume
σταγόνα	staɣona
τρεχούμενοσ	tɾexumenos
χαμηλοβλεπούσα	xamilovlepusa
πρεζόνι	pɾezoni
απόκρυψα	apokɾipsa
ακυρώσεισ	aciɾosis
ταλαιπωρήθηκα	talepoɾiθika
επανειλημμένη	epanilimeni
κουρελιών	kuɾeʎon
μεταπτώσεισ	metaptosis
παρατράγουδο	paɾatɾaɣuðo
ακριβοπληρώθηκα	akrivopliɾoθika
χάχασ	xaxas
γαργαλεύομαι	ɣaɾɣalevome
προσελκύομε	proselciome
αμφιλεγόμενοι	aɱfileɣomeni
σούρνω	surno
κατηγορήθηκα	katiɣoɾiθika
γιορτή	ʝorti
φλωρίνησ	florinis
αντικρούω	andikruo
εκπαιδεύομαι	ekpeðevome
γαϊδαράκοσ	ɣaiðaɾakos
ότι	oti
άρον	aron
αποδέχομαι	apoðexome
ακούγοντασ	akuɣondas
στεναχωρημένη	stenaxorimeni
λήγω	liɣo
αντικρούομαι	andikruome
αποστάζομε	apostazome
επικάλυψα	epikalipsa
αποπέμπομαι	apopembome
πείραξα	piraksa
νοστίμεψα	nostimepsa
στυλιανή	stiʎani
αραπίνα	aɾapina
μεταφραστήσ	metafɾastis
μπάνιο	baɲo
γυρεύτηκα	ʝiɾeftika
αποσπώμαι	apospome
μισοσκόταδο	misoskotaðo
ανέδειξα	aneðiksa
περικόβω	peɾikovo
σταματιέμαι	stamatçeme
σπιτόγατοσ	spitoɣatos
ήλιοσ	iʎos
λιμάνι	limani
μετατρέπομαι	metatɾepome
φόροσ	foɾos
ψηφίζομε	psifizome
όπιο	opio
τρυγόνα	triɣona
δεκέμβριε	ðeceɱvɾie
ανεβοκατεβαίνω	anevokateveno
ρόδο	ɾoðo
αγαπημένεσ	aɣapimenes
διαλυμένων	ðʝalimenon
φεβρουαρίου	fevɾuaɾiu
διαμείβομαι	ðiamivome
προστίθεμαι	prostiθeme
σπιτώνω	spitono
αγγλοφέρνω	aŋɡloferno
αμπαλάρω	ambalaɾo
ανθρώπεψα	anθɾopepsa
προμήθεψα	pɾomiθepsa
διαλυμένεσ	ðʝalimenes
ωστόσο	ostoso
υπέκυψα	ipecipsa
αθηνά	aθina
εγγονιού	eŋɡoɲu
συγχώρεσα	siŋxoɾesa
ἐνεγράφην	eneɣrafin
ανακαλύπτομαι	anakaliptome
πλατεῖα	platia
διακόπτω	ðiakopto
οριστική	oɾistici
βαθμολογημένοσ	vaθmoloʝimenos
βοηθήθηκα	voiθiθika
αλείβουμε	alivume
αποκυήματοσ	apociimatos
δακτυλογραφώ	ðaktiloɣɾafo
δηλώνω	ðilono
κόκκινουσ	kocinus
κεραία	cerea
αναφτερώνω	anafteɾono
λιμένων	limenon
παρόν	paɾon
ξενιτιά	ksenitça
στον	ston
εκπνέω	ekpneo
καταλόγου	kataloɣu
προσγράφω	pɾozɣrafo
καλομοίρασ	kalomiras
επηρεάζω	epiɾeazo
επέστρεψα	epestɾepsa
επέρχομαι	epeɾxome
κατάμαυροσ	katamavɾos
πρωκτικόσ	pɾoktikos
αβγατισμένοι	avɣatizmeni
δίεση	ðiesi
δαγκάνομαι	ðaŋɡanome
ποίησισ	piisis
ιούλιο	iulio
κυριακάτικα	cirʝakatika
αναδύομαι	anaðiome
σύντριψε	sindripse
στριμμένη	stɾimeni
άκουσα	akusa
κινήθηκα	ciniθika
όμορφουσ	omoɾfus
λίγοσ	liɣos
στειμμένεσ	stimenes
σημειώνομαι	simionome
ακονίζομαι	akonizome
υπερτροφία	ipeɾtɾofia
κωλάρα	kolaɾa
προμηθέων	promiθeon
ματοβαμμένησ	matovamenis
αναδεικνύομαι	anaðikniome
σαγήνεψα	saʝinepsa
αποξενωμένοσ	apoksenomenos
πρησμένου	pɾizmenu
αναπάλλω	anapalo
τσακώνικησ	tsakonicis
ήτα	ita
ξεκώλιασα	ksekoʎasa
στυλιανόσ	stiʎanos
βρέχομε	vrexome
αναθεματισμένουσ	anaθematizmenus
αποκλεισμένη	apoklizmeni
δευτεραγωνιστών	ðefteraɣoniston
ήπια	ipça
απόπλουσ	apoplus
στενοχωρημένα	stenoxorimena
σεπτέμβριε	septeɱvɾie
σούταρε	sutaɾe
λεμονιά	lemoɲa
σκασμόσ	skazmos
ιπταμένη	iptameni
σπάρθηκα	spaɾθika
γήτεψα	ʝitepsa
συνεννοούμαι	sinenoume
τριταγωνιστέσ	tritaɣonistes
τανάγρα	tanaɣɾa
χειμωνιάτικα	çimoɲatika
αγκύλιο	aŋɟilio
περιγράφτηκα	peɾiɣraftika
αναβαλλόμενεσ	anavalomenes
κουρελιάζω	kuɾeʎazo
κακογαμημένο	kakoɣamimeno
αναδείξεισ	anaðiksis
ουστ	ust
φρέσκαρα	freskara
πάντρεψα	pandɾepsa
πρέβεζα	pɾeveza
αγγάρεψα	aŋɡaɾepsa
ποικιλότατο	picilotato
εξάλειψα	eksalipsa
πρωτοβουλία	pɾotovulia
βυθισμένε	viθizmene
χρονολογίασ	xronoloʝias
ακοντίζομαι	akondizome
λιπών	lipon
δημεύομαι	ðimevome
νικημένε	nicimene
σταγών	staɣon
πέμπτων	pempton
μύλο	milo
τίνοσ	tinos
ερχόμενων	erxomenon
απόσταξα	apostaksa
μοιρασμένου	miɾazmenu
πατινάρομαι	patinaɾome
μαυρισμένοσ	mavrizmenos
αληθή	aliθi
ρουφήχτηκα	ɾufixtika
αγυιόπαιδεσ	aʝiopeðes
απριλίουσ	apɾilius
ακριβομίλητοσ	akɾivomilitos
αθωώνομαι	aθoonome
παραχαϊδεύομαι	paɾaxai̯ðevome
βελτίωσα	veltiosa
μοιρασμένο	miɾazmeno
πούστικοσ	pustikos
ανακόπτουμε	anakoptume
ναύπλιο	nafplio
αγκυλώνω	aŋɟilono
καλοφάγωτε	kalofaɣote
ανέκτησα	anektisa
κεκλεισμένουσ	ceklizmenus
φωτοβολίδα	fotovoliða
έγλειψα	eɣlipsa
σουτ	sut
μάη	mai
λύσουνε	lisune
βίασα	viasa
σπίθα	spiθa
παρακολουθούμε	paɾakoluθume
πιονίου	pioniu
παιδότοποσ	peðotopos
αντιφάσκω	andifasko
φονεύομαι	fonevome
μέριλαντ	meɾiland
ξενοδόχοσ	ksenoðoxos
αναμμένε	anamene
κοινόλεκτο	cinolekto
πεπεισμένα	pepizmena
λεμόνι	lemoni
βρίζομαι	vɾizome
ακολουθιέμαι	akoluθçeme
μνήμησ	mnimis
συνόψεισ	sinopsis
νεκρομαντεία	nekɾomandia
συγχωρέθηκα	siŋxoɾeθika
μαλακισμένε	malacizmene
έχετε	eçete
γαϊδουροκαλόκαιρο	ɣaiðuɾokaloceɾo
αναβάλω	anavalo
εξανάγκασα	eksanaŋɡasa
κομεντί	komedi
διεκόπην	ðiekopin
προσφέρουμε	pɾosfeɾume
εγχέω	eŋçeo
κοντόσ	kondos
χάβομαι	xavome
στοργή	storʝi
ένρινο	enrino
περιοδικοί	perioðici
αγίων	aʝion
ολιγόκαινοσ	oliɣocenos
απορρίφθηκα	apoɾifθika
σκευοθήκη	scevoθici
μερεύω	meɾevo
ξυλόφωνο	ksilofono
περίοδοσ	perioðos
υποδοχή	ipoðoçi
πεθαμένο	peθameno
αγκώνιασα	aŋɡoɲasa
υπολογισμένου	ipoloʝizmenu
των	ton
λέγεισ	leʝis
τσιφούτησ	tsifutis
ολόασπροσ	oloaspɾos
παναγιότατοσ	panaʝiotatos
ποικιλότατε	picilotate
μιάμιση	mɲamisi
απαγορεύθηκα	apaɣoɾefθika
ασέλγεια	aselʝia
διαπνέουμε	ðiapneume
καταναγκάζουμε	katanaŋɡazume
εμπερικλείω	emberiklio
