lô cốt	lo˧˧kok͡p˦˥
cầu diễn	kɤ̆w˧˨jiəŋ˨˩˦
trường bay	ʈɯəŋ˧˨băj˧˧
cự mã	kɯ˨˩˨ma˨˩˦
giả say giả tỉnh	ja˨˩˦ʂăj˧˧ja˨˩˦tin˨˩˦
ngấn	ŋɤ̆ŋ˦˥
đồ sắt	do˧˨ʂăk˦˥
phản ứng dây chuyền	faŋ˨˩˦ɯŋ˦˥jɤ̆j˧˧cwiəŋ˧˨
biên dịch	biəŋ˧˧jit˨˩˨
gương nga	ɣɯəŋ˧˧ŋa˧˧
dâu con	jɤ̆w˧˧kɔŋ͡m˧˧
tuy nhiên	twi˧˧ɲiəŋ˧˧
lứa đôi	lɯə˦˥doj˧˧
hán ngữ	haŋ˦˥ŋɯ˨˩˦
cẩm dương	kɤ̆m˨˩˦jɯəŋ˧˧
cách trở núi sông	kat˦˥ʈɤ˨˩˦nuj˦˥ʂoŋ͡m˧˧
túm năm tụm ba	tum˦˥năm˧˧tum˨˩˨ba˧˧
thái đô	tʰaj˦˥do˧˧
thút mút	tʰuk͡p˦˥muk͡p˦˥
tròm trõm	ʈɔm˧˨ʈɔm˨˩˦
đầu máy	dɤ̆w˧˨măj˦˥
nhọn	ɲɔŋ͡m˨˩˨
tàng tàng	taŋ˧˨taŋ˧˨
cổ giả	ko˨˩˦ja˨˩˦
cà ná	ka˧˨na˦˥
quái lương xế	waj˦˥lɯəŋ˧˧se˦˥
thực nghiệm	tʰɯk˨˩˨ŋim˨˩˨
quyết tâm	wiɛt˦˥tɤ̆m˧˧
sơ chung	ʂɤ˧˧cuŋ͡m˧˧
yến mạch	iɛŋ˦˥mat˨˩˨
cấp dưới	kɤ̆p˦˥jɯəj˦˥
ro ró	ʐɔ˧˧ʐɔ˦˥
tự động từ	tɯ˨˩˨doŋ͡m˨˩˨tɯ˧˨
tiền sử	tiəŋ˧˨ʂɯ˨˩˦
lau láu	lăw˧˧lăw˦˥
đảng kì	daŋ˨˩˦ki˧˨
vày vò	jăj˧˨jɔ˧˨
muôn một	muəŋ˧˧mok͡p˨˩˨
điếu thuốc miếng trầu	diəw˦˥tʰuək˦˥miəŋ˦˥ʈɤ̆w˧˨
săng lẻ	ʂăŋ˧˧lɛ˨˩˦
thoả hiệp	tʰwa˨˩˦hip˨˩˨
bú mớm bù trì	bu˦˥mɤm˦˥bu˧˨ʈi˧˨
xịu mặt	siw˨˩˨măk˨˩˨
quân kỳ	wɤ̆ŋ˧˧ki˧˨
võ tá lý	jɔ˨˩˦ta˦˥li˦˥
địa ốc	diə˨˩˨ok͡p˦˥
ứng dụng	ɯŋ˦˥juŋ͡m˨˩˨
ông lớn	oŋ͡m˧˧lɤŋ˦˥
ngày qua tháng lại	ŋăj˧˨wa˧˧tʰaŋ˦˥laj˨˩˨
tượng đồng bia đá	tɯəŋ˨˩˨doŋ͡m˧˨biə˧˧da˦˥
nguyên tử gam	ŋwiəŋ˧˧tɯ˨˩˦ɣam˧˧
tam cương	tam˧˧kɯəŋ˧˧
loẹt soẹt	lwet˨˩˨ʂwet˨˩˨
tề gia nội trợ	te˧˨ja˧˧noj˨˩˨ʈɤ˨˩˨
de	jɛ˧˧
phép tắc	fɛp˦˥tăk˦˥
phạt góc	fat˨˩˨ɣɔk͡p˦˥
noong	nɔŋ͡m˧˧
tục truyền	tuk͡p˨˩˨ʈwiəŋ˧˨
man di mọi rợ	maŋ˧˧ji˧˧mɔj˨˩˨ʐɤ˨˩˨
bể lắng	be˨˩˦lăŋ˦˥
trang	ʈaŋ˧˧
có thóc mới cho vay gạo	kɔ˦˥tʰɔk͡p˦˥mɤj˦˥cɔ˧˧jăj˧˧ɣaw˨˩˨
béo múp	beo˦˥mup˦˥
tự cung	tɯ˨˩˨kuŋ͡m˧˧
ăn đút lót	ăŋ˧˧duk͡p˦˥lɔk͡p˦˥
bộ binh	bo˨˩˨bin˧˧
ỏm	ɔm˨˩˦
gộc	ɣok͡p˨˩˨
mây khói	mɤ̆j˧˧xɔj˦˥
sa pa	ʂa˧˧pa˧˧
giải đáp	jaj˨˩˦dap˦˥
vân mòng	jɤ̆ŋ˧˧mɔŋ͡m˧˨
sút kém	ʂuk͡p˦˥kɛm˦˥
khí trời	xi˦˥ʈɤj˧˨
bóp chết	bɔp˦˥cet˦˥
nước da bánh mật	nɯək˦˥ja˧˧ban˦˥mɤ̆k˨˩˨
tranh vải	ʈan˧˧jaj˨˩˦
vái dài	jaj˦˥jaj˧˨
hạ mình	ha˨˩˨min˧˨
sơ	ʂɤ˧˧
kiểng	kiəŋ˨˩˦
nhà trệt	ɲa˧˨ʈet˨˩˨
giấy lọc	jɤ̆j˦˥lɔk͡p˨˩˨
yêu vụng dấu thầm	iəw˧˧juŋ͡m˨˩˨jɤ̆w˦˥tʰɤ̆m˧˨
già hay đái tật	ja˧˨hăj˧˧daj˦˥tɤ̆k˨˩˨
giẻ cùi	jɛ˨˩˦kuj˧˨
tranh khảm màu	ʈan˧˧xam˨˩˦măw˧˨
chữ in	cɯ˨˩˦in˧˧
dân chủ tư sản	jɤ̆ŋ˧˧cu˨˩˦tɯ˧˧ʂaŋ˨˩˦
lâu đài	lɤ̆w˧˧daj˧˨
màu cơ bản	măw˧˨kɤ˧˧baŋ˨˩˦
ở truồng	ɤ˨˩˦ʈuəŋ˧˨
y lăng	i˧˧lăŋ˧˧
trúc nhào	ʈuk͡p˦˥ɲaw˧˨
con chiên ghẻ	kɔŋ͡m˧˧ciəŋ˧˧ɣɛ˨˩˦
nổi cơn	noj˨˩˦kɤŋ˧˧
ở goá	ɤ˨˩˦ɣwa˦˥
ục ục	uk͡p˨˩˨uk͡p˨˩˨
hoa mật	hwa˧˧mɤ̆k˨˩˨
hắc búa	hăk˦˥buə˦˥
xá quỷ	sa˦˥wi˨˩˦
trang âm	ʈaŋ˧˧ɤ̆m˧˧
đăng đắng	dăŋ˧˧dăŋ˦˥
cua-rơ	kuə˧˧-ʐɤ˧˧
chân đi vòng kiềng	cɤ̆ŋ˧˧di˧˧jɔŋ͡m˧˨kiəŋ˧˨
phụ duyên	fu˨˩˨jwiəŋ˧˧
răn đe	ʐăŋ˧˧dɛ˧˧
ngấn lệ	ŋɤ̆ŋ˦˥le˨˩˨
đổ quanh	do˨˩˦wan˧˧
ân trạch	ɤ̆ŋ˧˧ʈat˨˩˨
bí bơ	bi˦˥bɤ˧˧
san-pết	ʂaŋ˧˧-pet˦˥
đồ bạc	do˧˨bak˨˩˨
đâm chồi	dɤ̆m˧˧coj˧˨
ước lượng	ɯək˦˥lɯəŋ˨˩˨
mồi chài	moj˧˨caj˧˨
kính	kin˦˥
hon hón	hɔŋ͡m˧˧hɔŋ͡m˦˥
ái ngại	aj˦˥ŋaj˨˩˨
thanh mảnh	tʰan˧˧man˨˩˦
gối hạc	ɣoj˦˥hak˨˩˨
dài thòng	jaj˧˨tʰɔŋ͡m˧˨
áng độ	aŋ˦˥do˨˩˨
bái vật giáo	baj˦˥jɤ̆k˨˩˨jaw˦˥
nói mỉa	nɔj˦˥miə˨˩˦
tiền trao cháo múc	tiəŋ˧˨ʈaw˧˧caw˦˥muk͡p˦˥
hóng chuyện	hɔŋ͡m˦˥cwiəŋ˨˩˨
trá	ʈa˦˥
hiểm tượng	him˨˩˦tɯəŋ˨˩˨
cố nhân	ko˦˥ɲɤ̆ŋ˧˧
thiên binh thiên tướng	tʰiəŋ˧˧bin˧˧tʰiəŋ˧˧tɯəŋ˦˥
thuyết đa thần	tʰwiək˦˥da˧˧tʰɤ̆ŋ˧˨
nờ	nɤ˧˨
quân y viện	wɤ̆ŋ˧˧i˧˧jiəŋ˨˩˨
đỏ chon chót	dɔ˨˩˦cɔŋ͡m˧˧cɔk͡p˦˥
đường phân thủy	dɯəŋ˧˨fɤ̆ŋ˧˧tʰuj˨˩˦
dây li tâm	jɤ̆j˧˧li˧˧tɤ̆m˧˧
chế độ tạp hôn	ce˦˥do˨˩˨tap˨˩˨hoŋ͡m˧˧
bằng trạc	băŋ˧˨ʈak˨˩˨
khản cổ	xaŋ˨˩˦ko˨˩˦
lòng sông	lɔŋ͡m˧˨ʂoŋ͡m˧˧
thải loại	tʰaj˨˩˦lwaj˨˩˨
công phu	koŋ͡m˧˧fu˧˧
mãng xà	maŋ˨˩˦sa˧˨
thù lù	tʰu˧˨lu˧˨
bánh hỏi	ban˦˥hɔj˨˩˦
cất binh	kɤ̆k˦˥bin˧˧
cắn hột cơm không vỡ	kăŋ˦˥hok͡p˨˩˨kɤm˧˧xoŋ͡m˧˧jɤ˨˩˦
đối nhân xử thế	doj˦˥ɲɤ̆ŋ˧˧sɯ˨˩˦tʰe˦˥
bừa cào	bɯə˧˨kaw˧˨
như không	ɲɯ˧˧xoŋ͡m˧˧
vừa miệng	jɯə˧˨miəŋ˨˩˨
bộ phận	bo˨˩˨fɤ̆ŋ˨˩˨
vuông tượng	juəŋ˧˧tɯəŋ˨˩˨
nhấp nhứ	ɲɤ̆p˦˥ɲɯ˦˥
vần xoay	jɤ̆ŋ˧˨swăj˧˧
hoa	hwa˧˧
dạ lá sách	ja˨˩˨la˦˥ʂat˦˥
cuốn lá	kuəŋ˦˥la˦˥
đồ thư	do˧˨tʰɯ˧˧
cầu bến	kɤ̆w˧˨ben˦˥
thẩm phán	tʰɤ̆m˨˩˦faŋ˦˥
làm quen	lam˧˨wɛŋ˧˧
súng ngắn	ʂuŋ͡m˦˥ŋăŋ˦˥
đà đuột	da˧˨duək˨˩˨
giết hại	jet˦˥haj˨˩˨
chạy vắt chân lên cổ	căj˨˩˨jăk˦˥cɤ̆ŋ˧˧len˧˧ko˨˩˦
ngạt	ŋat˨˩˨
niêm dịch	nim˧˧jit˨˩˨
bần tiện mạc vong	bɤ̆ŋ˧˨tiəŋ˨˩˨mak˨˩˨jɔŋ͡m˧˧
bám sát	bam˦˥ʂat˦˥
qui đồng mẫu số	wi˧˧doŋ͡m˧˨mɤ̆w˨˩˦ʂo˦˥
hỉ hả	hi˨˩˦ha˨˩˦
có số	kɔ˦˥ʂo˦˥
ngọc hữu	ŋɔk͡p˨˩˨hɯw˨˩˦
cua bể	kuə˧˧be˨˩˦
sáng như gương	ʂaŋ˦˥ɲɯ˧˧ɣɯəŋ˧˧
ở chùa có ông thiện ông ác	ɤ˨˩˦cuə˧˨kɔ˦˥oŋ͡m˧˧tʰiəŋ˨˩˨oŋ͡m˧˧ak˦˥
có lê quên lựu, có trăng quên đèn	kɔ˦˥le˧˧wen˧˧lɯw˨˩˨kɔ˦˥ʈăŋ˧˧wen˧˧dɛŋ˧˨
đang khi	daŋ˧˧xi˧˧
tên huý	ten˧˧hwi˦˥
chuyển nhà	cwiəŋ˨˩˦ɲa˧˨
đốm trán	dom˦˥ʈaŋ˦˥
vay thì trả, chạm thì đền	jăj˧˧tʰi˧˨ʈa˨˩˦cam˨˩˨tʰi˧˨den˧˨
lữ	lɯ˨˩˦
bạn hàng	baŋ˨˩˨haŋ˧˨
xanh	san˧˧
mệnh trời	men˨˩˨ʈɤj˧˨
thông đỏ	tʰoŋ͡m˧˧dɔ˨˩˦
địa động lực học	diə˨˩˨doŋ͡m˨˩˨lɯk˨˩˨hɔk͡p˨˩˨
nén	nɛŋ˦˥
quảng bình	waŋ˨˩˦bin˧˨
mền mệt	men˧˨met˨˩˨
hậu cảnh	hɤ̆w˨˩˨kan˨˩˦
có lớn mà chẳng có khôn	kɔ˦˥lɤŋ˦˥ma˧˨căŋ˨˩˦kɔ˦˥xoŋ͡m˧˧
triêng	ʈiəŋ˧˧
khách hàng	xat˦˥haŋ˧˨
chạm cốc	cam˨˩˨kok͡p˦˥
trắng đen	ʈăŋ˦˥dɛŋ˧˧
phiên quốc	fiəŋ˧˧wok͡p˦˥
nuông	nuəŋ˧˧
phải vạ	faj˨˩˦ja˨˩˨
híp mắt	hip˦˥măk˦˥
keo lận	keo˧˧lɤ̆ŋ˨˩˨
kinh đời	kin˧˧dɤj˧˨
tháo băng	tʰaw˦˥băŋ˧˧
lấm như ma vùi	lɤ̆m˦˥ɲɯ˧˧ma˧˧juj˧˨
gian dâm	jaŋ˧˧jɤ̆m˧˧
nhất tội nhì nợ	ɲɤ̆k˦˥toj˨˩˨ɲi˧˨nɤ˨˩˨
nam đồng hương	nam˧˧doŋ͡m˧˨hɯəŋ˧˧
con đàn con lũ	kɔŋ͡m˧˧daŋ˧˨kɔŋ͡m˧˧lu˨˩˦
sông đào	ʂoŋ͡m˧˧daw˧˨
màng	maŋ˧˨
phách tấu	fat˦˥tɤ̆w˦˥
cho biết	cɔ˧˧biək˦˥
phát tiết	fat˦˥tiək˦˥
ba lơn	ba˧˧lɤŋ˧˧
dẽ dàng	jɛ˨˩˦jaŋ˧˨
nhếch môi	ɲet˦˥moj˧˧
đa khoa	da˧˧xwa˧˧
ẩm ỉu	ɤ̆m˨˩˦iw˨˩˦
giẫm vỏ chuối	jɤ̆m˨˩˦jɔ˨˩˦cuəj˦˥
mặt ngay cán thuổng	măk˨˩˨ŋăj˧˧kaŋ˦˥tʰuəŋ˨˩˦
cam thành	kam˧˧tʰan˧˨
cu li cu leo	ku˧˧li˧˧ku˧˧leo˧˧
trời không có mắt	ʈɤj˧˨xoŋ͡m˧˧kɔ˦˥măk˦˥
bánh tổ	ban˦˥to˨˩˦
lảy	lăj˨˩˦
chèn ngoẻn	cɛŋ˧˨ŋwen˨˩˦
đánh dồi	dan˦˥joj˧˨
đầu không khăn đít không khố	dɤ̆w˧˨xoŋ͡m˧˧xăŋ˧˧dit˦˥xoŋ͡m˧˧xo˦˥
ý kiến	i˦˥kiəŋ˦˥
tạp hoá	tap˨˩˨hwa˦˥
tinh thần	tin˧˧tʰɤ̆ŋ˧˨
hàn khẩu	haŋ˧˨xɤ̆w˨˩˦
mộc bản	mok͡p˨˩˨baŋ˨˩˦
quế lộc	we˦˥lok͡p˨˩˨
hư từ	hɯ˧˧tɯ˧˨
buông quăng bỏ vãi	buəŋ˧˧wăŋ˧˧bɔ˨˩˦jaj˨˩˦
me-don	mɛ˧˧-jɔŋ͡m˧˧
đánh giày	dan˦˥jăj˧˨
béo phệ	beo˦˥fe˨˩˨
khoé	xwe˦˥
anh hùng chủ nghĩa	an˧˧huŋ͡m˧˨cu˨˩˦ŋiə˨˩˦
thanh giằng	tʰan˧˧jăŋ˧˨
đả	da˨˩˦
bất nghĩa	bɤ̆k˦˥ŋiə˨˩˦
khòm khòm	xɔm˧˨xɔm˧˨
bốp chát	bop˦˥cat˦˥
số phận	ʂo˦˥fɤ̆ŋ˨˩˨
trứng điện	ʈɯŋ˦˥diəŋ˨˩˨
dụng võ	juŋ͡m˨˩˨jɔ˨˩˦
khuẩn cẩu	xwɤ̆ŋ˨˩˦kɤ̆w˨˩˦
hẩu	hɤ̆w˨˩˦
lục bộ	luk͡p˨˩˨bo˨˩˨
mòn	mɔŋ͡m˧˨
tuỳ tùng	twi˧˨tuŋ͡m˧˨
bát nháo chi khươn	bat˦˥ɲaw˦˥ci˧˧xɯəŋ˧˧
manh tràng	man˧˧ʈaŋ˧˨
ẩn mình	ɤ̆ŋ˨˩˦min˧˨
ấn tích	ɤ̆ŋ˦˥tit˦˥
sinh kí tử quy	ʂin˧˧ki˦˥tɯ˨˩˦wi˧˧
tè he	tɛ˧˨hɛ˧˧
kịt	kit˨˩˨
nhăn nhở	ɲăŋ˧˧ɲɤ˨˩˦
khai sơn	xaj˧˧ʂɤŋ˧˧
tùm hụp	tum˧˨hup˨˩˨
sững	ʂɯŋ˨˩˦
xanh hoà bình	san˧˧hwa˧˨bin˧˨
phòi bọt mép	fɔj˧˨bɔk͡p˨˩˨mɛp˦˥
trối trăng	ʈoj˦˥ʈăŋ˧˧
thò lò hai mặt	tʰɔ˧˨lɔ˧˨haj˧˧măk˨˩˨
thời gian biểu	tʰɤj˧˨jaŋ˧˧biəw˨˩˦
toi mạng	tɔj˧˧maŋ˨˩˨
vui như hội	juj˧˧ɲɯ˧˧hoj˨˩˨
diễn giải	jiəŋ˨˩˦jaj˨˩˦
giá vốn	ja˦˥joŋ͡m˦˥
nào dè	naw˧˨jɛ˧˨
tang ma	taŋ˧˧ma˧˧
ha há	ha˧˧ha˦˥
thứ phòng	tʰɯ˦˥fɔŋ͡m˧˨
ngang	ŋaŋ˧˧
sáng như ban ngày	ʂaŋ˦˥ɲɯ˧˧baŋ˧˧ŋăj˧˨
gặp	ɣăp˨˩˨
nhám	ɲam˦˥
be bé	bɛ˧˧bɛ˦˥
quán xá	waŋ˦˥sa˦˥
tham nhũng	tʰam˧˧ɲuŋ͡m˨˩˦
quệnh quoạng	wen˨˩˨wwaŋ˨˩˨
khuân vác	xwɤ̆ŋ˧˧jak˦˥
trai	ʈaj˧˧
thuốc thang	tʰuək˦˥tʰaŋ˧˧
ảo	aw˨˩˦
giấy tiền	jɤ̆j˦˥tiəŋ˧˨
biên soạn	biəŋ˧˧ʂwaŋ˨˩˨
thiệu tâm	tʰiəw˨˩˨tɤ̆m˧˧
phần ứng	fɤ̆ŋ˧˨ɯŋ˦˥
thờn bơn	tʰɤŋ˧˨bɤŋ˧˧
sống mái	ʂoŋ͡m˦˥maj˦˥
tối đèn tắt lửa	toj˦˥dɛŋ˧˨tăk˦˥lɯə˨˩˦
cải biến	kaj˨˩˦biəŋ˦˥
ngựa trâu	ŋɯə˨˩˨ʈɤ̆w˧˧
đa năng	da˧˧năŋ˧˧
song tiếp	ʂɔŋ͡m˧˧tip˦˥
dạ múi khế	ja˨˩˨muj˦˥xe˦˥
que móc	wɛ˧˧mɔk͡p˦˥
cố định	ko˦˥din˨˩˨
trông tận mặt, bắt tận tay	ʈoŋ͡m˧˧tɤ̆ŋ˨˩˨măk˨˩˨băk˦˥tɤ̆ŋ˨˩˨tăj˧˧
ba đậu tây	ba˧˧dɤ̆w˨˩˨tɤ̆j˧˧
dấu nhân	jɤ̆w˦˥ɲɤ̆ŋ˧˧
động tử	doŋ͡m˨˩˨tɯ˨˩˦
đại ca	daj˨˩˨ka˧˧
loại hình	lwaj˨˩˨hin˧˨
bạt	bat˨˩˨
tỳ vị	ti˧˨ji˨˩˨
khánh	xan˦˥
vét xi	jɛt˦˥si˧˧
xói lở	sɔj˦˥lɤ˨˩˦
trung ương tập quyền	ʈuŋ͡m˧˧ɯəŋ˧˧tɤ̆p˨˩˨wiɛŋ˧˨
rượu chè	ʐɯəw˨˩˨cɛ˧˨
thở dài	tʰɤ˨˩˦jaj˧˨
cau cảu	kăw˧˧kăw˨˩˦
xã vệ	sa˨˩˦je˨˩˨
tày	tăj˧˨
nói lành sành ra dữ	nɔj˦˥lan˧˨ʂan˧˨ʐa˧˧jɯ˨˩˦
kinh lí	kin˧˧li˦˥
thất sở	tʰɤ̆k˦˥ʂɤ˨˩˦
báo gấm	baw˦˥ɣɤ̆m˦˥
long trời lở đất	lɔŋ͡m˧˧ʈɤj˧˨lɤ˨˩˦dɤ̆k˦˥
sóng to gió cả	ʂɔŋ͡m˦˥tɔ˧˧jɔ˦˥ka˨˩˦
cực lòng	kɯk˨˩˨lɔŋ͡m˧˨
đi tiểu tiện	di˧˧tiəw˨˩˦tiəŋ˨˩˨
thanh tường	tʰan˧˧tɯəŋ˧˨
tổ ấm	to˨˩˦ɤ̆m˦˥
nghe hơi	ŋɛ˧˧hɤj˧˧
xèn xẹt	sɛŋ˧˨sɛt˨˩˨
cứ như	kɯ˦˥ɲɯ˧˧
cẩm duệ	kɤ̆m˨˩˦jwe˨˩˨
đa thần luận	da˧˧tʰɤ̆ŋ˧˨lwɤ̆ŋ˨˩˨
nhẹ dạ cả tin	ɲɛ˨˩˨ja˨˩˨ka˨˩˦tin˧˧
dúng đũa	juŋ͡m˦˥duə˨˩˦
khai xuân	xaj˧˧swɤ̆ŋ˧˧
đài truyền thanh	daj˧˨ʈwiəŋ˧˨tʰan˧˧
sâm thương cách trở	ʂɤ̆m˧˧tʰɯəŋ˧˧kat˦˥ʈɤ˨˩˦
đa thời	da˧˧tʰɤj˧˨
hợm mình	hɤm˨˩˨min˧˨
bốc-xít	bok͡p˦˥-sit˦˥
làng nho	laŋ˧˨ɲɔ˧˧
phật tích	fɤ̆k˨˩˨tit˦˥
thoái chí	tʰwaj˦˥ci˦˥
nói có sách	nɔj˦˥kɔ˦˥ʂat˦˥
học đòi	hɔk͡p˨˩˨dɔj˧˨
hậu hiện đại	hɤ̆w˨˩˨hiəŋ˨˩˨daj˨˩˨
bươn bả	bɯəŋ˧˧ba˨˩˦
an dục	aŋ˧˧juk͡p˨˩˨
phỉ báng	fi˨˩˦baŋ˦˥
nước mặn	nɯək˦˥măŋ˨˩˨
động từ	doŋ͡m˨˩˨tɯ˧˨
từ trái nghĩa	tɯ˧˨ʈaj˦˥ŋiə˨˩˦
chữ ngũ	cɯ˨˩˦ŋu˨˩˦
bảng rồng	baŋ˨˩˦ʐoŋ͡m˧˨
mạch đen	mat˨˩˨dɛŋ˧˧
mờ ơ	mɤ˧˨ɤ˧˧
nhà ngói cây mít	ɲa˧˨ŋɔj˦˥kɤ̆j˧˧mit˦˥
sản vật	ʂaŋ˨˩˦jɤ̆k˨˩˨
bền va	ben˧˨ja˧˧
đau dạ dày	dăw˧˧ja˨˩˨jăj˧˨
lá sách	la˦˥ʂat˦˥
có phúc	kɔ˦˥fuk͡p˦˥
đàn ngọt hát hay	daŋ˧˨ŋɔk͡p˨˩˨hat˦˥hăj˧˧
gạch bông	ɣat˨˩˨boŋ͡m˧˧
lụy	luj˨˩˨
đen thủi đen thui	dɛŋ˧˧tʰuj˨˩˦dɛŋ˧˧tʰuj˧˧
con nhà thi lễ	kɔŋ͡m˧˧ɲa˧˨tʰi˧˧le˨˩˦
qua quít	wa˧˧wit˦˥
sinh con ai nỡ sinh lòng	ʂin˧˧kɔŋ͡m˧˧aj˧˧nɤ˨˩˦ʂin˧˧lɔŋ͡m˧˨
toèn toẹt	twen˧˨twet˨˩˨
quảng nhâm	waŋ˨˩˦ɲɤ̆m˧˧
mài dao trong bụng	maj˧˨jaw˧˧ʈɔŋ͡m˧˧buŋ͡m˨˩˨
lồ	lo˧˨
ngấm nguýt	ŋɤ̆m˦˥ŋwit˦˥
như người mất vía	ɲɯ˧˧ŋɯəj˧˨mɤ̆k˦˥jiə˦˥
nắn xương	năŋ˦˥sɯəŋ˧˧
hay đâu chầu đấy	hăj˧˧dɤ̆w˧˧cɤ̆w˧˨dɤ̆j˦˥
khẩu thí	xɤ̆w˨˩˦tʰi˦˥
giật rung	jɤ̆k˨˩˨ʐuŋ͡m˧˧
đệ nhị	de˨˩˨ɲi˨˩˨
xanh-đi-ca	san˧˧-di˧˧-ka˧˧
ít	it˦˥
nồng như vôi, cay như ớt	noŋ͡m˧˨ɲɯ˧˧joj˧˧kăj˧˧ɲɯ˧˧ɤk˦˥
chặn đầu chặn đuôi	căŋ˨˩˨dɤ̆w˧˨căŋ˨˩˨duəj˧˧
thói ăn nết ở	tʰɔj˦˥ăŋ˧˧net˦˥ɤ˨˩˦
an phong	aŋ˧˧fɔŋ͡m˧˧
lâm bệnh	lɤ̆m˧˧ben˨˩˨
bãi cỏ	baj˨˩˦kɔ˨˩˦
cát thắng	kat˦˥tʰăŋ˦˥
dưa hấu	jɯə˧˧hɤ̆w˦˥
bánh nhãn	ban˦˥ɲaŋ˨˩˦
phù thủng	fu˧˨tʰuŋ͡m˨˩˦
võ sĩ	jɔ˨˩˦ʂi˨˩˦
ngúc ngoắc	ŋuk͡p˦˥ŋwăk˦˥
dệt cửi	jet˨˩˨kɯj˨˩˦
há miệng chờ ho	ha˦˥miəŋ˨˩˨cɤ˧˨hɔ˧˧
đào viên	daw˧˨jiəŋ˧˧
vãng lai	jaŋ˨˩˦laj˧˧
mả cha	ma˨˩˦ca˧˧
vô lối	jo˧˧loj˦˥
phỗng	foŋ͡m˨˩˦
hồn	hoŋ͡m˧˨
đô ngự sử	do˧˧ŋɯ˨˩˨ʂɯ˨˩˦
màn the	maŋ˧˨tʰɛ˧˧
tép biển	tɛp˦˥biəŋ˨˩˦
ba vành bảy vẻ	ba˧˧jan˧˨băj˨˩˦jɛ˨˩˦
chia năm xẻ bảy	ciə˧˧năm˧˧sɛ˨˩˦băj˨˩˦
nước cờ	nɯək˦˥kɤ˧˨
hý	hi˦˥
thư thả	tʰɯ˧˧tʰa˨˩˦
đa cùng	da˧˧kuŋ͡m˧˨
quanh năm	wan˧˧năm˧˧
trương	ʈɯəŋ˧˧
lang thang	laŋ˧˧tʰaŋ˧˧
cây ngay thì bóng ngay	kɤ̆j˧˧ŋăj˧˧tʰi˧˨bɔŋ͡m˦˥ŋăj˧˧
mới mẻ	mɤj˦˥mɛ˨˩˦
đèn vô tuyến	dɛŋ˧˨jo˧˧twiəŋ˦˥
mang con bỏ chợ	maŋ˧˧kɔŋ͡m˧˧bɔ˨˩˦cɤ˨˩˨
giáo điều chủ nghĩa	jaw˦˥diəw˧˨cu˨˩˦ŋiə˨˩˦
nò	nɔ˧˨
tam tai	tam˧˧taj˧˧
địa hoá học	diə˨˩˨hwa˦˥hɔk͡p˨˩˨
thau bạc	tʰăw˧˧bak˨˩˨
trực khuẩn	ʈɯk˨˩˨xwɤ̆ŋ˨˩˦
thôi việc	tʰoj˧˧jiək˨˩˨
thoải mái	tʰwaj˨˩˦maj˦˥
giơ-lơng	jɤ˧˧-lɤŋ˧˧
bần cố nông	bɤ̆ŋ˧˨ko˦˥noŋ͡m˧˧
vòng kiềng	jɔŋ͡m˧˨kiəŋ˧˨
ngoại tông	ŋwaj˨˩˨toŋ͡m˧˧
số lớn	ʂo˦˥lɤŋ˦˥
mất tiền mua mâm thì đâm cho thủng	mɤ̆k˦˥tiəŋ˧˨muə˧˧mɤ̆m˧˧tʰi˧˨dɤ̆m˧˧cɔ˧˧tʰuŋ͡m˨˩˦
chi trì	ci˧˧ʈi˧˨
khạp	xap˨˩˨
lấy công	lɤ̆j˦˥koŋ͡m˧˧
nhóm rau nhóm bếp	ɲɔm˦˥ʐăw˧˧ɲɔm˦˥bep˦˥
thân quen	tʰɤ̆ŋ˧˧wɛŋ˧˧
hỏi chẳng nói gọi chẳng thưa	hɔj˨˩˦căŋ˨˩˦nɔj˦˥ɣɔj˨˩˨căŋ˨˩˦tʰɯə˧˧
phương pháp luận sử học	fɯəŋ˧˧fap˦˥lwɤ̆ŋ˨˩˨ʂɯ˨˩˦hɔk͡p˨˩˨
quản đốc	waŋ˨˩˦dok͡p˦˥
xay lúa thì khỏi ẵm em	săj˧˧luə˦˥tʰi˧˨xɔj˨˩˦ăm˨˩˦ɛm˧˧
văn nghĩa	jăŋ˧˧ŋiə˨˩˦
dần	jɤ̆ŋ˧˨
màn tuyn	maŋ˧˨twin˧˧
hàm ngôn	ham˧˨ŋoŋ͡m˧˧
chùa	cuə˧˨
chết khát	cet˦˥xat˦˥
võ sinh	jɔ˨˩˦ʂin˧˧
mày	măj˧˨
biểu tình	biəw˨˩˦tin˧˨
chắp nối	căp˦˥noj˦˥
gạo chợ nước sông	ɣaw˨˩˨cɤ˨˩˨nɯək˦˥ʂoŋ͡m˧˧
gan sắt	ɣaŋ˧˧ʂăk˦˥
càn	kaŋ˧˨
đuống	duəŋ˦˥
sót lọt	ʂɔk͡p˦˥lɔk͡p˨˩˨
mắc kẹt	măk˦˥kɛt˨˩˨
dài nghêu	jaj˧˨ŋɛu˧˧
tây phương cực lạc	tɤ̆j˧˧fɯəŋ˧˧kɯk˨˩˨lak˨˩˨
giá cắt cổ	ja˦˥kăk˦˥ko˨˩˦
làm khoán	lam˧˨xwaŋ˦˥
lắt lẻo	lăk˦˥leo˨˩˦
khí thành	xi˦˥tʰan˧˨
tân cảnh	tɤ̆ŋ˧˧kan˨˩˦
