sanjuanēnsis	s̠anjʊanẽːs̠ɪs̠
sēricus	s̠eːɾɪkʊs̠
hypogaeus	hʏpɔɡae̯ʊs̠
disculus	d̪ɪs̠kʊɫ̪ʊs̠
crīniger	kɾiːnɪɡɛr
phoenīx	pʰoe̯niːks̠
fūnebre	fuːnɛbɾɛ
glōssārium	ɡɫ̪oːs̠s̠aːɾiʊ̃ˑ
inopis	ɪnɔpɪs̠
pōtābilis	poːt̪aːbɪl̪ɪs̠
aegrōtātum	ae̯ɡroːt̪aːt̪ʊ̃ˑ
adferō	at̪fɛɾoː
locuplētāverimus	ɫ̪ɔkʊpɫ̪eːt̪aːwɛɾiːmʊs̠
colossēus	kɔɫ̪ɔs̠s̠eːʊs̠
mītigō	miːt̪ɪɡoː
proschium	pɾɔs̠kʰiʊ̃ˑ
susceptibilis	s̠ʊs̠kɛpt̪ɪbɪl̪ɪs̠
servitūs	s̠ɛrwɪt̪uːs̠
nāsceris	naːs̠keːɾɪs̠
marculentus	markʊɫ̪ɛn̪t̪ʊs̠
anteloquium	an̪t̪ɛɫ̪ɔkᶣiʊ̃ˑ
obarmō	ɔbarmoː
apozema	apɔzzɛma
occupō	ɔkkʊpoː
varia	waɾia
abhorrēscō	abɔrreːs̠koː
vultur	wʊɫ̪t̪ʊr
elementum	ɛɫ̪ɛmɛn̪t̪ʊ̃ˑ
aeoliae	ae̯ɔl̪iae̯
circumtorqueō	kɪrkʊn̪t̪ɔrkᶣeoː
concernō	kɔŋkɛrnoː
milium	mɪl̪iʊ̃ˑ
hāmiōta	haːmioːt̪a
bālātūrus	baːɫ̪aːt̪uːɾʊs̠
coeuntis	kɔeʊn̪t̪ɪs̠
praxiphanēs	pɾaks̠ɪpʰaneːs̠
encaustus	ɛŋkau̯s̠t̪ʊs̠
dēvōtās	d̪eːwoːt̪aːs̠
ōchreātus	oːkʰɾeaːt̪ʊs̠
negligentī	nɛɡl̪ɪɡɛn̪t̪iː
crēscit	kɾeːs̠kɪt̪
sescenta	s̠ɛs̠kɛn̪t̪a
ibēricō	ɪbeːɾɪkoː
librārius	l̪ɪbɾaːɾiʊs̠
laevus	ɫ̪ae̯wʊs̠
danaba	d̪anaba
sphaeroīdes	s̠pʰae̯rɔiːd̪ɛs̠
īnsulcō	ĩːs̠ʊɫ̪koː
episcopus	ɛpɪs̠kɔpʊs̠
oxygenium	ɔks̠ʏɡɛniʊ̃ˑ
abdērus	abd̪eːɾʊs̠
nōbīs	noːbiːs̠
ōrnātus	oːrnaːt̪ʊs̠
icēnī	ɪkeːniː
sēvocō	s̠eːwɔkoː
vīcentiēnsis	wiːkɛn̪t̪iẽːs̠ɪs̠
ēductiō	eːd̪ʊkt̪ioː
ēvomit	eːwɔmɪt̪
tentēs	t̪ɛn̪t̪eːs̠
audītīs	au̯d̪iːt̪iːs̠
perpaucus	pɛrpau̯kʊs̠
sampsam	s̠amps̠ãˑ
cōnscius	kõːs̠kiʊs̠
collēctīvus	kɔl̠l̠eːkt̪iːwʊs̠
nihilum	nɪhɪɫ̪ʊ̃ˑ
officīnālis	ɔffɪkiːnaːl̪ɪs̠
astūtus	as̠t̪uːt̪ʊs̠
cucumīs	kʊkʊmiːs̠
dēfīnītīvō	d̪eːfiːniːt̪iːwoː
brigantiēnsis	bɾɪɡan̪t̪iẽːs̠ɪs̠
passerculus	pas̠s̠ɛrkʊɫ̪ʊs̠
convēnerimus	kɔnweːnɛɾiːmʊs̠
onustus	ɔnʊs̠t̪ʊs̠
conversātiō	kɔnwɛrs̠aːt̪ioː
sabana	s̠abana
supersum	s̠ʊpɛrs̠ʊ̃ˑ
hydromel	hʏd̪ɾɔmɛɫ̪
gaurātae	ɡau̯raːt̪ae̯
perflō	pɛrfɫ̪oː
aedēpsus	ae̯d̪eːps̠ʊs̠
dehinc	d̪ei̯ŋk
nūtāveritis	nuːt̪aːwɛɾɪt̪ɪs̠
carine	kaɾɪnɛ
bēluīnus	beːɫ̪ʊiːnʊs̠
īlicō	iːl̪ɪkoː
epos	ɛpɔs̠
doctrīnāle	d̪ɔkt̪ɾiːnaːɫ̪ɛ
cōnfigūrō	kõːfɪɡuːɾoː
sequēns	s̠ɛkᶣẽːs̠
angusticollis	aŋɡʊs̠t̪ɪkɔl̠l̠ɪs̠
lopadūsae	ɫ̪ɔpad̪uːs̠ae̯
aequinoctiālis	ae̯kᶣɪnɔkt̪iaːl̪ɪs̠
accidō	akkɪd̪oː
platōne	pɫ̪at̪oːnɛ
exhērēdō	ɛks̠eːɾeːd̪oː
decem	d̪ɛkɛ̃ˑ
adiaceō	ad̪jakeoː
collīdō	kɔl̠l̠iːd̪oː
crēditis	kɾeːd̪ɪt̪ɪs̠
vēmēns	weːmẽːs̠
propitiātor	pɾɔpɪt̪iaːt̪ɔr
patruēlis	pat̪ɾʊeːl̪ɪs̠
cubicus	kʊbɪkʊs̠
octōgēnāriōs	ɔkt̪oːɡeːnaːɾioːs̠
sylviger	s̠ʏɫ̪wɪɡɛr
pīsistratus	piːs̠ɪs̠t̪ɾat̪ʊs̠
praeliātor	pɾae̯l̪iaːt̪ɔr
contrādictor	kɔn̪t̪ɾaːd̪ɪkt̪ɔr
hujuscemodī	hʊjjʊs̠kɛmɔd̪iː
archicoenobium	arkʰɪkoe̯nɔbiʊ̃ˑ
vēlitātus	weːl̪ɪt̪aːt̪ʊs̠
vincere	wɪŋkɛɾɛ
lapidāveritis	ɫ̪apɪd̪aːwɛɾɪt̪ɪs̠
pilus	pɪɫ̪ʊs̠
satyrus	s̠at̪ʏɾʊs̠
arātus	aɾaːt̪ʊs̠
trapezūntīnus	t̪ɾapɛzzuːn̪t̪iːnʊs̠
sōlempnis	s̠oːɫ̪ɛmpnɪs̠
passārius	pas̠s̠aːɾiʊs̠
optimus	ɔpt̪ɪmʊs̠
paedophilia	pae̯d̪ɔpʰɪl̪ia
cacūminō	kakuːmɪnoː
dēcīsōria	d̪eːkiːs̠oːɾia
sculpōneae	s̠kʊɫ̪poːneae̯
pantex	pan̪t̪ɛks̠
vavatō	wawat̪oː
babullius	babʊl̠l̠iʊs̠
isrāēlīticus	ɪs̠raːeːl̪iːt̪ɪkʊs̠
venustō	wɛnʊs̠t̪oː
obsecrāverimus	ɔps̠ɛkɾaːwɛɾɪmʊs̠
verrucīnī	wɛrrʊkiːniː
inopīnātus	ɪnɔpiːnaːt̪ʊs̠
augmentīs	au̯ɡmɛn̪t̪iːs̠
praelūceō	pɾae̯ɫ̪uːkeoː
foliōsus	fɔl̪ioːs̠ʊs̠
abripiō	abrɪpioː
namarīnī	namaɾiːniː
dialectus	d̪iaɫ̪ɛkt̪ʊs̠
fulcrum	fʊɫ̪kɾʊ̃ˑ
ērogātī	eːɾɔɡaːt̪iː
ruthenium	rʊt̪ʰɛniʊ̃ˑ
orātae	ɔɾaːt̪ae̯
intercalārius	ɪn̪t̪ɛrkaɫ̪aːɾiʊs̠
lītigāta	l̪iːt̪ɪɡaːt̪a
pācificē	paːkɪfɪkeː
spontāneus	s̠pɔn̪t̪aːneʊs̠
crustum	kɾʊs̠t̪ʊ̃ˑ
terrinius	t̪ɛrrɪniʊs̠
artorius	art̪ɔɾiʊs̠
turrītus	t̪ʊrriːt̪ʊs̠
perpusillus	pɛrpʊs̠ɪl̠l̠ʊs̠
bōlarium	boːɫ̪aɾiʊ̃ˑ
tribocī	t̪ɾɪbɔkiː
synopsis	s̠ʏnɔps̠ɪs̠
strāmineus	s̠t̪ɾaːmɪneʊs̠
saepserimus	s̠ae̯ps̠ɛɾɪmʊs̠
diurnus	d̪iʊrnʊs̠
libnius	l̪ɪbniʊs̠
gingiber	ɡɪŋɡɪbɛr
sōlānus	s̠oːɫ̪aːnʊs̠
chīrūrgius	kʰiːɾuːrɡiʊs̠
egrilius	ɛɡrɪl̪iʊs̠
levō	ɫ̪ɛwoː
curcuba	kʊrkʊba
acanthophyllus	akan̪t̪ʰɔpʰʏl̠l̠ʊs̠
saepis	s̠ae̯pɪs̠
oboediō	ɔboe̯d̪ioː
abascanta	abas̠kan̪t̪aː
drūsipara	d̪ɾuːs̠ɪpaɾa
foedifraga	foe̯d̪ɪfɾaɡaː
injugis	ɪnjʊɡɪs̠
ūter	ʊt̪ɛr
alacer	aɫ̪akɛr
cius	kiʊs̠
dissonus	d̪ɪs̠s̠ɔnʊs̠
anime	anɪmɛ
praeditus	pɾae̯d̪ɪt̪ʊs̠
cōnspuō	kõːs̠pʊoː
āvius	aːwiʊs̠
suppēdō	s̠ʊppeːd̪oː
gestāmen	ɡɛs̠t̪aːmɛn
cratippus	kɾat̪ɪppʊs̠
vīsibiliter	wiːs̠ɪbɪl̪ɪt̪ɛr
cōnfectiōnārius	kõːfɛkt̪ioːnaːɾiʊs̠
argolis	arɡɔl̪ɪs̠
mūsēum	muːs̠eːʊ̃ˑ
camarīna	kamaɾiːna
accidenta	akkɪd̪ɛn̪t̪a
plīsimus	pl̪iːs̠ɪmʊs̠
sīdō	s̠iːd̪oː
subplicō	s̠ʊppl̪ɪkoː
revellō	rɛwɛl̠l̠oː
lītigāns	l̪iːt̪ɪɡãːs̠
pāx	paːks̠
rubellius	rʊbɛl̠l̠iʊs̠
quīnctīlius	kᶣiːŋkt̪iːl̪iʊs̠
magisterium	maɡɪs̠t̪ɛɾiʊ̃ˑ
mutilātiō	mʊt̪ɪɫ̪aːt̪ioː
vulgāta	wʊɫ̪ɡaːt̪a
exfricō	ɛks̠fɾɪkoː
offēnsus	ɔffẽːs̠ʊs̠
damnābilis	d̪amnaːbɪl̪ɪs̠
socotrānus	s̠ɔkɔt̪ɾaːnʊs̠
irrēgulāris	ɪrreːɡʊɫ̪aːɾɪs̠
techna	t̪ɛkʰna
sēta	s̠eːt̪a
echetla	ɛkʰɛt̪ɫ̪a
frūctifer	fɾuːkt̪ɪfɛr
excursus	ɛks̠kʊrs̠ʊs̠
imperātīvus	ɪmpɛɾaːt̪iːwʊs̠
nāzareth	naːzzaɾɛt̪ʰ
jaxamatae	jaks̠amat̪ae̯
aguranis	aɡʊɾanɪs̠
rēticulātus	reːt̪ɪkʊɫ̪aːt̪ʊs̠
perdūcō	pɛrd̪uːkoː
suffuscus	s̠ʊffʊs̠kʊs̠
costobocī	akkɪs̠iː
geraestus	ɡɛɾae̯s̠t̪ʊs̠
cooperātīvōs	kɔɔpɛɾaːt̪iːwoːs̠
titulus	t̪ɪt̪ʊɫ̪ʊs̠
iūrisdictiō	juːɾɪs̠d̪ɪkt̪ioː
quaccola	kʷakkɔɫ̪a
abrotanifolia	abrɔt̪anɪfɔl̪iaː
aurifex	au̯rɪfɛks̠
circumsaepiō	kɪrkũːs̠ae̯pioː
tantumdem	t̪an̪t̪ʊmd̪ɛ̃ˑ
sincēra	s̠ɪŋkeːɾa
atacamēnsis	at̪akamẽːs̠ɪs̠
statua	s̠t̪at̪ʊa
coccēius	kɔkkeːiʊs̠
revinxeris	rɛwɪŋks̠ɛɾɪs̠
septentriōnānus	s̠ɛpt̪ɛn̪t̪ɾioːnaːnʊs̠
claudius	kɫ̪au̯d̪iʊs̠
lagina	ɫ̪aɡɪna
virīlis	wɪɾiːl̪ɪs̠
sardās	s̠ard̪aːs̠
māceriātus	maːkɛɾiaːt̪ʊs̠
vestīgium	wɛs̠t̪iːɡiʊ̃ˑ
marathūsa	maɾat̪ʰuːs̠a
abdicātiō	abd̪ɪkaːt̪ioː
āfrāsiāticus	aːfɾaːs̠iaːt̪ɪkʊs̠
pellis	pɛl̠l̠ɪs̠
secūre	s̠ɛkuːɾɛ
duvius	d̪ʊwiʊs̠
perblandus	pɛrbɫ̪an̪d̪ʊs̠
balaustīnus	baɫ̪au̯s̠t̪iːnʊs̠
cinereus	kɪnɛɾeʊs̠
coāctāverimus	kɔaːkt̪aːwɛɾɪmʊs̠
āctōrius	aːkt̪oːɾiʊs̠
cartesius	kart̪ɛs̠iʊs̠
caliendrum	kal̪iɛn̪d̪ɾʊ̃ˑ
lappius	ɫ̪appiʊs̠
merx	mɛrks̠
līvidī	l̪iːwɪd̪iː
inductīcius	ɪn̪d̪ʊkt̪iːkiʊs̠
imitātīvōs	ɪmɪt̪aːt̪iːwoːs̠
charadrius	kʰaɾad̪ɾiʊs̠
ūnum	uːnʊ̃ˑ
nūnciī	nuːŋkiiː
tumulus	t̪ʊmʊɫ̪ʊs̠
bogotēnsis	bɔɡɔt̪ẽːs̠ɪs̠
ānellus	aːnɛl̠l̠ʊs̠
lēthōn	ɫ̪eːt̪ʰoːn
dēnitrificāns	d̪eːnɪt̪ɾɪfɪkãːs̠
abacum	abakʊ̃ˑ
subinvīsum	s̠ʊbɪnwiːs̠ʊ̃ˑ
illigāverimus	ɪl̠l̠ɪɡaːwɛɾiːmʊs̠
obtūrāveritis	ɔpt̪uːɾaːwɛɾiːt̪ɪs̠
armillātus	armɪl̠l̠aːt̪ʊs̠
vegetius	wɛɡɛt̪iʊs̠
battuālia	bat̪t̪ʊaːl̪ia
praetondeō	pɾae̯t̪ɔn̪d̪eoː
cotīdiānō	kɔt̪iːd̪iaːnoː
penetrantēs	pɛnɛt̪ɾan̪t̪eːs̠
haletī	haɫ̪ɛt̪iː
ferīnī	fɛɾiːniː
amplificō	ampl̪ɪfɪkoː
aspavia	as̠pawia
adriānae	ad̪riaːnae̯
centaurēum	kɛn̪t̪au̯reːʊ̃ˑ
acrocōnus	akɾɔkoːnʊs̠
trapezūntīne	t̪ɾapɛzzuːn̪t̪iːnɛ
falsiloquium	faɫ̪s̠ɪɫ̪ɔkᶣiʊ̃ˑ
observātis	ɔps̠ɛrwaːt̪ɪs̠
nōdābilis	noːd̪aːbɪl̪ɪs̠
victōria	wɪkt̪oːɾia
adōrantēs	ad̪oːɾan̪t̪eːs̠
quōque	kʷoːkᶣɛ
varamus	waɾamʊs̠
autographum	au̯t̪ɔɡrapʰʊ̃ˑ
scandināvia	s̠kan̪d̪ɪnaːwia
samarobrīva	s̠amaɾɔbɾiːwa
hērilus	heːɾɪɫ̪ʊs̠
dissēminārēs	d̪ɪs̠s̠eːmɪnaːɾeːs̠
exsēcrābilis	ɛks̠eːkɾaːbɪl̪ɪs̠
talius	t̪al̪iʊs̠
gustātīs	ɡʊs̠t̪aːt̪iːs̠
hypana	hʏpana
affodiō	affɔd̪ioː
dēlīneō	d̪eːl̪iːneoː
memoriālis	mɛmɔɾiaːl̪ɪs̠
dēfōrmō	d̪eːfoːrmoː
marginātus	marɡɪnaːt̪ʊs̠
fluōrum	fɫ̪ʊoːɾʊ̃ˑ
sustentēs	s̠ʊs̠t̪ɛn̪t̪eːs̠
geōrgiānōs	ɡeoːrɡiaːnoːs̠
trānsnāvigō	t̪ɾãːs̠naːwɪɡoː
caedēre	kae̯d̪ɛɾɛ
hippocentaurus	hɪppɔkɛn̪t̪au̯rʊs̠
rasinius	ras̠ɪniʊs̠
crēscentēs	kɾeːs̠kɛn̪t̪eːs̠
flōribundus	fɫ̪oːɾɪbʊn̪d̪ʊs̠
prūriō	pɾuːɾioː
ēditīcius	eːd̪ɪt̪iːkiʊs̠
agglomerō	aɡɡɫ̪ɔmɛɾoː
theodorus	t̪ʰeɔd̪ɔɾʊs̠
conpetō	kɔmpɛt̪oː
morūnī	mɔɾuːniː
polyrrhēnia	pɔl̪ʏrreːnia
ventī	wɛn̪t̪iː
immūtābilis	ɪmmuːt̪aːbɪl̪ɪs̠
lītorālis	l̪iːt̪ɔɾaːl̪ɪs̠
andromeda	an̪d̪ɾɔmɛd̪aː
rūsticor	ruːs̠t̪ɪkɔr
thōrium	t̪ʰoːɾiʊ̃ˑ
vapincum	wapɪŋkʊ̃ˑ
centrum	kɛn̪t̪ɾʊ̃ˑ
perpetrō	pɛrpɛt̪ɾoː
haematologia	hae̯mat̪ɔɫ̪ɔɡia
inofficiālis	ɪnɔffɪkiaːl̪ɪs̠
sollennis	s̠ɔl̠l̠ɛnnɪs̠
exercitū	ɛks̠ɛrkɪt̪uː
vōtam	woːt̪ãˑ
īnserta	ĩːs̠ɛrt̪a
rhodesiānās	rɔd̪ɛs̠iaːnaːs̠
quīppiam	kᶣiːppiãˑ
māoriānus	maːɔɾiaːnʊs̠
averroēs	awɛrrɔeːs̠
omphalium	ɔmpʰal̪iʊ̃ˑ
torpēs	t̪ɔrpeːs̠
aurum	au̯rʊ̃ˑ
gessissēmus	ɡɛs̠s̠ɪs̠s̠ɛmʊs̠
phrystimus	pʰɾʏs̠t̪ɪmʊs̠
iūdaizō	juːd̪aɪzzoː
rīpārius	riːpaːɾiʊs̠
bostia	bɔs̠t̪ia
cūnctor	kuːŋkt̪ɔr
alfēnus	aɫ̪feːnʊs̠
alchymicus	aɫ̪kʰʏmɪkʊs̠
pectus	pɛkt̪ʊs̠
arachōtus	aɾakʰoːt̪ʊs̠
opprobriōsus	ɔppɾɔbɾioːs̠ʊs̠
brūtōrum	bɾuːt̪oːɾʊ̃ˑ
circumrāsiō	kɪrkʊmraːs̠ioː
terū̆ncius	t̪ɛɾʊŋkiʊs̠
sīdōn	s̠iːd̪oːn
traumaticī	t̪ɾau̯mat̪ɪkiː
phalērum	pʰaɫ̪eːɾʊ̃ˑ
synedrus	s̠ʏnɛd̪rʊs̠
emissa	ɛmɪs̠s̠a
zōpyrus	zoːpʏɾʊs̠
sedum	s̠ɛd̪ʊ̃ˑ
nēriphus	neːɾɪpʰʊs̠
prasiī	pɾas̠iiː
lithium	l̪ɪt̪ʰiʊ̃ˑ
quadrangulus	kʷad̪ɾaŋɡʊɫ̪ʊs̠
benedīcibilis	bɛnɛd̪iːkɪbɪl̪ɪs̠
ulter	ʊɫ̪t̪ɛr
apōnius	apoːniʊs̠
vitrasius	wɪt̪ɾas̠iʊs̠
catarrhālis	kat̪arraːl̪ɪs̠
munda	mʊn̪d̪a
efflāgitātus	ɛffɫ̪aːɡɪt̪aːt̪ʊs̠
ēgeritis	eːɡɛɾɪt̪ɪs̠
īnflectiō	ĩːfɫ̪ɛkt̪ioː
hexastichus	hɛks̠as̠t̪ɪkʰʊs̠
pressus	pɾɛs̠s̠ʊs̠
prōcūdendum	pɾoːkuːd̪ɛn̪d̪ʊ̃ˑ
pinara	pɪnaɾa
cohibeō	kɔhɪbeoː
mulierculārius	mʊl̪iɛrkʊɫ̪aːɾiʊs̠
superglōriōsus	s̠ʊpɛrɡɫ̪oːɾioːs̠ʊs̠
gravāveris	ɡrawaːwɛɾiːs̠
phaenomenon	pʰae̯nɔmɛnɔn
integritās	ɪn̪t̪ɛɡrɪt̪aːs̠
titīnius	t̪ɪt̪iːniʊs̠
dēvirginō	d̪eːwɪrɡɪnoː
concentus	kɔŋkɛn̪t̪ʊs̠
sēmivīvus	s̠eːmɪwiːwʊs̠
impetus	ɪmpɛt̪ʊs̠
ōcinum	oːkɪnʊ̃ˑ
novilūnium	nɔwɪɫ̪uːniʊ̃ˑ
aēnobarbus	aeːnɔbarbʊs̠
aestīvus	ae̯s̠t̪iːwʊs̠
fugitīva	fʊɡɪt̪iːwa
trīnitārius	t̪ɾiːnɪt̪aːɾiʊs̠
auxiliō	au̯ks̠ɪl̪ioː
liquefaciō	l̪ɪkᶣɛfakioː
pirum	pɪɾʊ̃ˑ
perstō	pɛrs̠t̪oː
abacaenum	abakae̯nʊ̃ˑ
pavīmentum	pawiːmɛn̪t̪ʊ̃ˑ
dēbacchāte	d̪eːbakkʰaːt̪ɛ
inculcātus	ɪŋkʊɫ̪kaːt̪ʊs̠
praetentō	pɾae̯t̪ɛn̪t̪oː
pūnctūra	puːŋkt̪uːɾa
syrnos	s̠ʏrnɔs̠
grāmen	ɡraːmɛn
arruntius	arrʊn̪t̪iʊs̠
havanēnsis	hawanẽːs̠ɪs̠
canulēius	kanʊɫ̪eːjʊs̠
sēcrētus	s̠eːkɾeːt̪ʊs̠
dēprecāneus	d̪eːpɾɛkaːneʊs̠
ōtō	oːt̪oː
mincius	mɪŋkiʊs̠
inconcussus	ɪŋkɔŋkʊs̠s̠ʊs̠
acūtidentātus	akuːt̪ɪd̪ɛn̪t̪aːt̪ʊs̠
impōnēre	ɪmpoːneːɾɛ
soanī	s̠ɔaniː
sarcophagus	s̠arkɔpʰaɡʊs̠
multīcius	mʊɫ̪t̪iːkiʊs̠
maecēnās	mae̯keːnaːs̠
vēnātor	weːnaːt̪ɔr
suovetaurīlia	s̠ʊɔwɛt̪au̯riːl̪ia
līberāverimus	l̪iːbɛɾaːwɛɾiːmʊs̠
rēsīnōsus	reːs̠iːnoːs̠ʊs̠
verrēs	wɛrreːs̠
nōmināveritis	noːmɪnaːwɛɾiːt̪ɪs̠
contundō	kɔn̪t̪ʊn̪d̪oː
ōte	oːt̪ɛ
tōmentum	t̪oːmɛn̪t̪ʊ̃ˑ
sitibundus	s̠ɪt̪ɪbʊn̪d̪ʊs̠
lymphāticus	l̪ʏmpʰaːt̪ɪkʊs̠
particeps	part̪ɪkɛps̠
plumbum	pɫ̪ʊmbʊ̃ˑ
revenīmus	rɛwɛniːmʊs̠
ismēnus	ɪs̠meːnʊs̠
erbēssus	ɛrbeːs̠s̠ʊs̠
assum	as̠s̠ʊ̃ˑ
gaudium	ɡau̯d̪iʊ̃ˑ
javanēnsis	jawanẽːs̠ɪs̠
missum	mɪs̠s̠ʊ̃ˑ
tonkinēnsis	t̪ɔŋkɪnẽːs̠ɪs̠
stoebē	s̠t̪oe̯beː
hadriānus	had̪ɾiaːnʊs̠
gallīcrūs	ɡal̠l̠iːkɾuːs̠
assignātūra	as̠s̠ɪŋnaːt̪uːɾaː
vēneris	weːnɛɾiːs̠
iamdūdum	jan̪d̪uːd̪ʊ̃ˑ
opacifrōns	ɔpakɪfɾõːs̠
recondō	rɛkɔn̪d̪oː
gaudentius	ɡau̯d̪ɛn̪t̪iʊs̠
cōgitātūra	koːɡɪt̪aːt̪uːɾa
sternēbāmus	s̠t̪ɛrneːbaːmʊs̠
corrogātiō	kɔrrɔɡaːt̪ioː
creātrīx	kɾeaːt̪ɾiːks̠
potentiālis	pɔt̪ɛn̪t̪iaːl̪ɪs̠
kinabaluēnsis	kɪnabaɫ̪ʊẽːs̠ɪs̠
synaeresis	s̠ʏnae̯rɛs̠ɪs̠
pabillus	pabɪl̠l̠ʊs̠
hortus	hɔrt̪ʊs̠
sententiōsē	s̠ɛn̪t̪ɛn̪t̪ioːs̠eː
vituperō	wɪt̪ʊpɛɾoː
reditūrus	rɛd̪ɪt̪uːɾʊs̠
ēnsifer	ẽːs̠ɪfɛr
protasēs	pɾɔt̪as̠eːs̠
singus	s̠ɪŋɡʊs̠
vīculus	wiːkʊɫ̪ʊs̠
istud	ɪs̠t̪ʊd̪
illecebrōsus	ɪl̠l̠ɛkɛbɾoːs̠ʊs̠
māchina	maːkʰɪna
applausō	appɫ̪au̯s̠oː
clāvibus	kɫ̪aːwɪbʊs̠
aucupābundus	au̯kʊpaːbʊn̪d̪ʊs̠
mexicānās	mɛks̠ɪkaːnaːs̠
dĭcāx	d̪ɪkaːks̠
impetrātis	ɪmpɛt̪ɾaːt̪ɪs̠
triumvir	t̪ɾiʊmwɪr
ēmigrārem	eːmɪɡraːɾɛ̃ˑ
cērussa	keːɾʊs̠s̠a
mātrimus	maːt̪ɾɪmʊs̠
rādīcō	raːd̪iːkoː
pullastrīs	pʊl̠l̠as̠t̪ɾiːs̠
nōbilitātīs	noːbɪl̪ɪt̪aːt̪iːs̠
grassātor	ɡras̠s̠aːt̪ɔr
inaurāveris	ɪnau̯raːwɛɾɪs̠
ephēmeris	ɛpʰeːmɛɾɪs̠
pūnctim	puːŋkt̪ɪ̃ˑ
molestia	mɔɫ̪ɛs̠t̪ia
juntīnus	jʊn̪t̪iːnʊs̠
percōlātiō	pɛrkoːɫ̪aːt̪ioː
caespitōsus	kae̯s̠pɪt̪oːs̠ʊs̠
trānscīdō	t̪ɾãːs̠kiːd̪oː
pleistus	pl̪iːs̠t̪ʊs̠
cocciferus	kɔkkɪfɛɾʊs̠
coctūra	kɔkt̪uːɾa
scīlicet	s̠kiːl̪ɪkɛt̪
circulāris	kɪrkʊɫ̪aːɾɪs̠
tomyris	t̪ɔmʏɾɪs̠
plūs	pɫ̪uːs̠
cōnfūcius	kõːfuːkiʊs̠
mēnsārius	mẽːs̠aːɾiʊs̠
audīverant	au̯d̪iːwɛɾan̪t̪
lassāverimus	ɫ̪as̠s̠aːwɛɾɪmʊs̠
radō	rad̪oː
sufēnās	s̠ʊfeːnaːs̠
dumnōniī	d̪ʊmnoːniiː
exultātiō	ɛks̠ʊɫ̪t̪aːt̪ioː
lurchābundus	ɫ̪ʊrkʰaːbʊn̪d̪ʊs̠
rhythmus	rʏt̪ʰmʊs̠
īnserta	ĩːs̠ɛrt̪aː
aparctiās	aparkt̪iaːs̠
thymelicus	t̪ʰʏmɛl̪ɪkʊs̠
sorōricīda	s̠ɔɾoːɾɪkiːd̪a
coāctāverimus	kɔaːkt̪aːwɛɾiːmʊs̠
crābrō	kɾaːbɾoː
pusilla	pʊs̠ɪl̠l̠aː
deificātiō	d̪eɪfɪkaːt̪ioː
parviflōrus	parwɪfɫ̪oːɾʊs̠
enthēca	ɛn̪t̪ʰeːka
dānicōrum	d̪aːnɪkoːɾʊ̃ˑ
circumvēneris	kɪrkʊmweːnɛɾɪs̠
multiplicāverimus	mʊɫ̪t̪ɪpl̪ɪkaːwɛɾɪmʊs̠
armārās	armaːɾaːs̠
ēmargināta	eːmarɡɪnaːt̪aː
abigō	abɪɡoː
crocitō	kɾɔkɪt̪oː
spadōnīnus	s̠pad̪oːniːnʊs̠
inaurāverimus	ɪnau̯raːwɛɾiːmʊs̠
quotīdiānōs	kʷɔt̪iːd̪iaːnoːs̠
mortuārium	mɔrt̪ʊaːɾiʊ̃ˑ
cryos	kɾyɔs̠
epilogus	ɛpɪɫ̪ɔɡʊs̠
inhiātis	ɪnjaːt̪ɪs̠
īnfāmāveris	ĩːfaːmaːwɛɾiːs̠
serviculus	s̠ɛrwɪkʊɫ̪ʊs̠
palmeus	paɫ̪meʊs̠
oppugnāveris	ɔppʊŋnaːwɛɾɪs̠
apellō	apɛl̠l̠oː
obstrepō	ɔps̠t̪ɾɛpoː
thunnārius	t̪ʰʊnnaːɾiʊs̠
bacillifōrmis	bakɪl̠l̠ɪfoːrmɪs̠
pedicellātus	pɛd̪ɪkɛl̠l̠aːt̪ʊs̠
gentīliter	ɡɛn̪t̪iːl̪ɪt̪ɛr
pyrrha	pʏrra
thespis	t̪ʰɛs̠pɪs̠
observantia	ɔps̠ɛrwan̪t̪ia
miltiadēs	mɪɫ̪t̪iad̪eːs̠
chorēīs	kʰɔɾeːiːs̠
antīcus	an̪t̪iːkʊs̠
lista	l̪ɪs̠t̪a
alligātiō	al̠l̠ɪɡaːt̪ioː
grānātōrum	ɡraːnaːt̪oːɾʊ̃ˑ
possessor	pɔs̠s̠ɛs̠s̠ɔr
efficāx	ɛffɪkaːks̠
gubernāveris	ɡʊbɛrnaːwɛɾɪs̠
ēmigrās	eːmɪɡraːs̠
sustentāsse	s̠ʊs̠t̪ɛn̪t̪aːs̠s̠ɛ
suelterī	s̠ʊɛɫ̪t̪ɛɾiː
quadrilaterus	kʷad̪ɾɪɫ̪at̪ɛɾʊs̠
taphrae	t̪apʰɾae̯
ēlēctōribus	eːɫ̪eːkt̪oːɾɪbʊs̠
euryclēa	eu̯rʏkɫ̪eːa
monachus	mɔnakʰʊs̠
cōnsēnsus	kõːs̠ẽːs̠ʊs̠
generō	ɡɛnɛɾoː
attorreō	at̪t̪ɔrreoː
perbrevis	pɛrbɾɛwɪs̠
amāsī	amaːs̠iː
imprimō	ɪmpɾɪmoː
pānicium	paːnɪkiʊ̃ˑ
eximia	ɛks̠ɪmiaː
incurrō	ɪŋkʊrroː
votūrī	wɔt̪uːɾiː
