呼呼	xu˥˥xu˥˥
猢	xu˧˥
碳氧基	tʰan˥˩jɑŋ˨˩˦tɕi˥˥
傕	tɕɥœ˧˥
軐	ɕɪn˥˩,ɕjɛn˥˩
瑋	weɪ˨˩˦
䱏	tʰoʊ˨˩˦
喧闐	ɕɥœn˥˥tʰjɛn˧˥
挈領	tɕʰjɛ˥˩lɪŋ˨˩˦
比賽	pi˨˩˦saɪ˥˩
熱門	ʐɤ˥˩mən˧˥
稀少	ɕi˥˥ʂɑʊ˨˩˦
賑款	ʈʂən˥˩kʰwan˨˩˦
燈火通明	tɤŋ˥˥xuɔ˨˩˦tʰʊŋ˥˥mɪŋ˧˥
爜	tsʰʊŋ˧˥
悴	tsʰweɪ˥˩
倴	pən˥˩
革命	kɤ˧˥mɪŋ˥˩
嘋	ɕjɑʊ˥˥
箎	ʈʂʰɚ˧˥
信使	ɕɪn˥˩ʂɚ˨˩˦
穾	jɑʊ˥˩
籵	fan˧˥
損失	suən˨˩˦ʂɚ˥˥
婚期	xuən˥˥tɕʰi˧˥,xuən˥˥tɕʰi˥˥
噓寒問暖	ɕy˥˥xan˧˥uən˥˩nwan˨˩˦
橯	lɑʊ˥˩
蕪	u˧˥,u˨˩˦
上級	ʂɑŋ˥˩tɕi˧˥
㝔	jɑʊ˥˩
無辜	u˧˥ku˥˥
㯓	tʰa˥˩
縋	ʈʂweɪ˥˩
桸	ɕi˥˥
駷	sʊŋ˨˩˦
行營	ɕɪŋ˧˥ɪŋ˧˥
稔	ʐən˨˩˦
鍩	nuɔ˥˩,tʰjɛn˨˩˦
烳	pʰu˨˩˦
䇯	ʐʊŋ˧˥
狉	pʰi˥˥
床墊	ʈʂʰwɑŋ˧˥tjɛn˥˩
凶猛	ɕjʊŋ˥˥mɤŋ˨˩˦
電離作用	tjɛn˥˩li˧˥tsuɔ˥˩jʊŋ˥˩
葥	tɕʰjɛn˧˥
嬸母	ʂən˨˩˦mu˨˩˦
鵲	tɕʰɥœ˥˩
名詞	mɪŋ˧˥tsʰɯ˧˥
壓力	ja˥˥li˥˩
謚號	ʂɚ˥˩xɑʊ˥˩
沊	tan˥˩
編造	pjɛn˥˥tsɑʊ˥˩
傣族	taɪ˨˩˦tsu˧˥
假冒	tɕja˨˩˦mɑʊ˥˩
時刻	ʂɚ˧˥kʰɤ˥˩
䶄	pʰɪŋ˧˥
㹳	u˧˥
倒帶	tɑʊ˥˩taɪ˥˩
放假	fɑŋ˥˩tɕja˥˩
趬	tɕʰjɑʊ˧˥,tɕʰjɑʊ˥˥
鏐	ljoʊ˧˥
胸	ɕjʊŋ˥˥
散攤子	san˥˩tʰan˥˥tsɯ˧
㔥	pʰi˧˥
傅	fu˥˥,fu˥˩
教	tɕjɑʊ˥˥,tɕjɑʊ˥˩
殮	ljɛn˥˩
䫖	xweɪ˨˩˦,noʊ˥˩,ʂən˥˩,tʰɪŋ˧˥,ja˥˩,ʈʂu˥˩,ʈʂʰən˨˩˦
䡵	sweɪ˥˩
悟發	u˥˩fa˥˥
悓	tɕʰjɛn˥˩
㘞	xuɔ˥˩
鏒	tɕʰjɑʊ˥˥
髼	pʰɤŋ˧˥
淺綠	tɕʰjɛn˨˩˦ly˥˩
血紅色	ɕɥœ˥˩xʊŋ˧˥sɤ˥˩
荹	pu˥˩
喑澀	ɪn˥˥sɤ˥˩
秬酒	tɕy˥˩tɕjoʊ˨˩˦
刺激	tsʰɯ˥˩tɕi˥˥
蝶	tjɛ˧˥,tʰjɛ˥˥
䟿	lu˥˩
制定	ʈʂɚ˥˩tɪŋ˥˩
切斷鋸	tɕʰjɛ˥˥twan˥˩tɕy˥˩
䴌	mɤŋ˧˥
基隆	tɕi˥˥lʊŋ˧˥
幑	xweɪ˥˥
觸目驚心	ʈʂʰu˥˩mu˥˩tɕɪŋ˥˥ɕɪn˥˥
名人榜	mɪŋ˧˥ʐən˧˥pɑŋ˨˩˦
䣰	tɕy˥˩,ɥœn˥˩
玩具	wan˧˥tɕy˥˩
胥吏	ɕy˥˥li˥˩
全力以赴	tɕʰɥœn˧˥li˥˩i˨˩˦fu˥˩
珠子	ʈʂu˥˥tsɯ˧
偃	jɛn˨˩˦
一清宿弊	i˥˩tɕʰɪŋ˥˥su˥˩pi˥˩
未婚妻	weɪ˥˩xuən˥˥tɕʰi˥˥
完全	wan˧˥tɕʰɥœn˧˥
蝚	ʐoʊ˧˥
纆	mɔ˥˩
䬗	jɑŋ˧˥
弗	fu˧˥
𡞾	nən˥˩
脥	tɕʰy˥˥,ɕjɛ˧˥,tɕja˧˥,tɕʰjɛn˨˩˦
組合	tsu˨˩˦xɤ˧˥
姑	ku˥˥
挱	suɔ˥˥
碥	pjɛn˨˩˦
單方面	tan˥˥fɑŋ˥˥mjɛn˥˩
㵞	ʈʂʰoʊ˧˥
䂎	tswan˨˩˦
金箍棒	tɕɪn˥˥ku˥˥pɑŋ˥˩
裮	ʈʂʰɑŋ˥˥
釦	kʰoʊ˥˩
逛蕩	kwɑŋ˥˩tɑŋ˥˩
撀	koʊ˥˩
欂	pɔ˧˥
臏	pɪn˥˩
耪	pʰɑŋ˨˩˦
飋	sɤ˥˩
酰	ɕjɛn˥˥
胳膊肘	kɤ˥˥pɔ˧ʈʂoʊ˨˩˦
負面影響	fu˥˩mjɛn˥˩ɪŋ˨˩˦ɕjɑŋ˨˩˦
汘	tɕʰjɛn˥˥
生殖	ʂɤŋ˥˥ʈʂɚ˧˥
剝蘋果	pɑʊ˥˥pʰɪŋ˧˥kuɔ˨˩˦
烇	tɕʰɥœn˨˩˦,tɕʰɥœn˥˩
耖	ʈʂʰɑʊ˥˩
還錢	xwan˧˥tɕʰjɛn˧˥
毈	twan˥˩
莚	jɛn˧˥
䕮	tɕy˧˥
公廁	kʊŋ˥˥tsʰɤ˥˩
熏鼠	ɕyn˥˥ʂu˨˩˦
公公	kʊŋ˥˥kʊŋ˧
步行	pu˥˩ɕɪŋ˧˥
軫悼	ʈʂən˨˩˦tɑʊ˥˩
䱑	ɕɥœ˧˥
滰	tɕjɑŋ˨˩˦
礟	pʰɑʊ˥˩
水	ʂweɪ˨˩˦
吐根鹼	tʰu˨˩˦kən˥˥tɕjɛn˨˩˦
茶農	ʈʂʰa˧˥nʊŋ˧˥
胺基	an˥˩tɕi˥˥,an˥˥tɕi˥˥
矩	tɕy˨˩˦
天昏地暗	tʰjɛn˥˥xuən˥˥ti˥˩an˥˩
徤	tɕjɛn˥˩
歸入	kweɪ˥˥ʐu˥˩
揚眉吐氣	jɑŋ˧˥meɪ˧˥tʰu˨˩˦tɕʰi˥˩
檈	ɕɥœn˧˥
樢	njɑʊ˨˩˦
㼌	y˨˩˦
凡人	fan˧˥ʐən˧˥
實力	ʂɚ˧˥li˥˩
菸	y˥˥,y˥˩,jɛn˥˥
褞	yn˨˩˦
考慮	kʰɑʊ˨˩˦ly˥˩
側柏	tsʰɤ˥˩paɪ˨˩˦
毐	aɪ˨˩˦
艷羨	jɛn˥˩ɕjɛn˥˩
移民	i˧˥mɪn˧˥
紐約	njoʊ˨˩˦ɥœ˥˥
切身關係	tɕʰjɛ˥˩ʂən˥˥kwan˥˥ɕi˥˩
㓾	ʈʂʰɚ˧˥
一切照常	i˧˥tɕʰjɛ˥˩ʈʂɑʊ˥˩ʈʂʰɑŋ˧˥
光能	kwɑŋ˥˥nɤŋ˧˥
榩	tɕʰjɛn˧˥
辤	tsʰɯ˧˥
䄠	ʂan˥˩
鉙	ʈʂaɪ˨˩˦
桑椹	sɑŋ˥˥ʂən˥˩
不悅	pu˧˥ɥœ˥˩
樣品	jɑŋ˥˩pʰɪn˨˩˦
見解通達	tɕjɛn˥˩tɕjɛ˨˩˦tʰʊŋ˥˥ta˧˥
漌	tɕɪn˨˩˦
箔	pɔ˧˥
理智	li˨˩˦ʈʂɚ˥˩
哧	ʈʂʰɚ˥˥
粷	tɕy˧˥
䎬	pa˥˩,pʰa˧˥
吐膽傾心之言	tʰu˨˩˦tan˨˩˦tɕʰɪŋ˥˥ɕɪn˥˥ʈʂɚ˥˥jɛn˧˥
䳹	kʰoʊ˥˩
酚醛塑料	fən˥˥tɕʰɥœn˧˥su˥˩ljɑʊ˥˩
繁縟	fan˧˥ʐu˥˩
丿	pʰjɛ˨˩˦
䖂	lwan˧˥
悶葫蘆	mən˥˩xu˧˥lu˧
令人厭惡	lɪŋ˥˩ʐən˧˥jɛn˥˩u˥˩
裁縫店	tsʰaɪ˧˥fɤŋ˧tjɛn˥˩,tsʰaɪ˧˥fɤŋ˧˥tjɛn˥˩
野火燒不盡，春風吹又生	jɛ˨˩˦xuɔ˨˩˦ʂɑʊ˥˥pu˧˥tɕɪn˥˩ʈʂʰuən˥˥fɤŋ˥˥ʈʂʰweɪ˥˥joʊ˥˩ʂɤŋ˥˥
梟除	ɕjɑʊ˥˥ʈʂʰu˧˥
拂	fu˧˥,pi˥˩
齌	tɕi˥˩,tɕʰi˥˥
阸	aɪ˥˩,ɤ˥˩
乙未年	i˨˩˦weɪ˥˩njɛn˧˥
佩玦	pʰeɪ˥˩tɕɥœ˧˥
蓲	ɕy˥˥,tɕʰjoʊ˥˥
勾連	koʊ˥˥ljɛn˧˥
覓	mi˥˩
洗心革面	ɕi˨˩˦ɕɪn˥˥kɤ˧˥mjɛn˥˩
界	tɕjɛ˥˩
得道多助，失道寡助	tɤ˧˥tɑʊ˥˩tuɔ˥˥ʈʂu˥˩ʂɚ˥˥tɑʊ˥˩kwa˨˩˦ʈʂu˥˩
拜訪親友	paɪ˥˩fɑŋ˨˩˦tɕʰɪn˥˥joʊ˨˩˦
䉤	soʊ˨˩˦
皰疹	pʰɑʊ˥˩ʈʂən˨˩˦
騕	jɑʊ˨˩˦
威武	weɪ˥˥u˨˩˦
高空	kɑʊ˥˥kʰʊŋ˥˥
尿	njɑʊ˥˩,sweɪ˥˥
車展	ʈʂʰɤ˥˥ʈʂan˨˩˦
樔	tɕjɑʊ˨˩˦,ʈʂʰɑʊ˧˥
岻	ʈʂʰɚ˧˥
倒嚼	tɑʊ˨˩˦tɕjɑʊ˧˥
戛	tɕja˧˥
擈	pʰu˥˥,pu˨˩˦
潽	pʰu˨˩˦
澆	tɕjɑʊ˥˥,ɑʊ˥˩,nɑʊ˥˩
皇后	xwɑŋ˧˥xoʊ˥˩
柑橘	kan˥˥tɕy˧˥
人數	ʐən˧˥ʂu˥˩
你自己	ni˨˩˦tsɯ˥˩tɕi˨˩˦
一元酸	i˥˩ɥœn˧˥swan˥˥
昩	mɔ˥˩
道	tɑʊ˨˩˦,tɑʊ˥˩
葶	tɪŋ˨˩˦,tʰɪŋ˧˥
妭	pa˧˥
筆	pi˨˩˦
優良	joʊ˥˥ljɑŋ˧˥
腹部	fu˥˩pu˥˩
峖	an˥˥
蘶	weɪ˥˩
膗	ʈʂʰuaɪ˧˥
慝	ni˥˩,tʰɤ˥˩
眼鏡蛇	jɛn˨˩˦tɕɪŋ˥˩ʂɤ˧˥
解散	tɕjɛ˨˩˦san˥˩
比率	pi˨˩˦ly˥˩
縵立	man˥˩li˥˩
蠵	ɕi˥˥,ɕi˧˥
䴀	tʰʊŋ˧˥
賽車手	saɪ˥˩ʈʂʰɤ˥˥ʂoʊ˨˩˦
乙丑年	i˨˩˦ʈʂʰoʊ˨˩˦njɛn˧˥
稼	tɕja˥˩
禁煙	tɕɪn˥˩jɛn˥˥
芬芳	fən˥˥fɑŋ˥˥
蒸餾水	ʈʂɤŋ˥˥ljoʊ˧˥ʂweɪ˨˩˦
裝神弄鬼	ʈʂwɑŋ˥˥ʂən˧˥nʊŋ˥˩kweɪ˨˩˦
騪	soʊ˥˥
捍衛	xan˥˩weɪ˥˩
丁丑	tɪŋ˥˥ʈʂʰoʊ˨˩˦
鞠躬	tɕy˧˥kʊŋ˥˥,tɕy˥˥kʊŋ˥˥
䏖	ʈʂən˥˩
影片	ɪŋ˨˩˦pʰjɛn˥˩
形容詞	ɕɪŋ˧˥ʐʊŋ˧˥tsʰɯ˧˥
切磋琢磨	tɕʰjɛ˥˥tsʰuɔ˥˥ʈʂuɔ˧˥mɔ˧˥
石鹽	ʂɚ˧˥jɛn˧˥
齡	lɪŋ˧˥
麾	xweɪ˥˥
摬	ɪŋ˥˩
娍	ʈʂʰɤŋ˧˥
竊國大盜	tɕʰjɛ˥˩kuɔ˧˥ta˥˩tɑʊ˥˩
攄	ʂu˥˥
煤氣	meɪ˧˥tɕʰi˥˩
游泳褲衩	joʊ˧˥jʊŋ˨˩˦kʰu˥˩ʈʂʰa˨˩˦
䃂	kuən˨˩˦,kuən˥˩
燣	lan˧˥
感歎	kan˨˩˦tʰan˥˩
郲	laɪ˧˥
鍘刀	ʈʂa˧˥tɑʊ˥˥
珢	kʰən˥˩
譏	tɕi˥˥
彘	ʈʂɚ˥˩
劈風斬浪	pʰi˥˥fɤŋ˥˥ʈʂan˨˩˦lɑŋ˥˩
嘶喊	sɯ˥˥xan˨˩˦
㝙	ɪn˧˥
吱吱叫	ʈʂɚ˥˥ʈʂɚ˥˥tɕjɑʊ˥˩
悲慘	peɪ˥˥tsʰan˨˩˦
皂白	tsɑʊ˥˩paɪ˧˥
秫	ʂu˥˩,ʂu˧˥
簉	tsɑʊ˥˩,ʈʂʰoʊ˥˩
穟	sweɪ˥˩
裝飾	ʈʂwɑŋ˥˥ʂɚ˥˩
南	nan˧˥,na˥˥
垱	tɑŋ˥˩
素養	su˥˩jɑŋ˨˩˦
扝	kʰu˥˥,u˥˥
礩	ʈʂɚ˥˩
䍷	weɪ˨˩˦,kweɪ˥˩,xweɪ˥˩
倉庫	tsʰɑŋ˥˥kʰu˥˩
崔	tsʰweɪ˥˥
沌	tuən˥˩,ʈʂʰuən˧˥,ʈʂwan˥˩,tʰuən˧˥
宜人	i˧˥ʐən˧˥
䊝	ɕjɛ˥˩
炋	pʰi˥˥
寊	ʈʂən˥˥
刼	tɕjɛ˧˥
伆	uən˥˩
䗜	ljoʊ˧˥
洗衣服	ɕi˨˩˦i˥˥fu˧˥,ɕi˨˩˦i˥˥fu˧
意圖	i˥˩tʰu˧˥
不一定	pu˥˩i˧˥tɪŋ˥˩
心腸	ɕɪn˥˥ʈʂʰɑŋ˧˥
吃麵	ʈʂʰɚ˥˥mjɛn˥˩
聰	tsʰʊŋ˥˥
彫刻品	tjɑʊ˥˥kʰɤ˥˩pʰɪn˨˩˦
創作	ʈʂʰwɑŋ˥˩tsuɔ˥˩
打蛇不死，自遺其害	ta˨˩˦ʂɤ˧˥pu˥˩sɯ˨˩˦tsɯ˥˩i˧˥tɕʰi˧˥xaɪ˥˩
哺啜	pu˨˩˦ʈʂʰuɔ˥˩
寒暄	xan˧˥ɕɥœn˥˥
祭祀	tɕi˥˩sɯ˥˩
絠	kaɪ˨˩˦
覆亡	fu˥˩wɑŋ˧˥
幼兒	joʊ˥˩aɻ˧˥
愂	peɪ˥˩,peɪ˨˩˦
飢火中燒	tɕi˥˥xuɔ˨˩˦ʈʂʊŋ˥˥ʂɑʊ˥˥
蛐	tɕʰy˥˥
嬂	ʈʂɚ˥˥
駔儈	tsɑŋ˨˩˦kʰuaɪ˥˩
太史	tʰaɪ˥˩ʂɚ˨˩˦
船舷	ʈʂʰwan˧˥ɕjɛn˧˥
搬運	pan˥˥yn˥˩
背景	peɪ˥˩tɕɪŋ˨˩˦
鹽礦	jɛn˧˥kʰwɑŋ˥˩
一員幹將	i˥˩ɥœn˧˥kan˥˩tɕjɑŋ˥˩
青豆	tɕʰɪŋ˥˥toʊ˥˩
吃午餐	ʈʂʰɚ˥˥u˨˩˦tsʰan˥˥
姩	njɛn˥˩
老化子	lɑʊ˨˩˦xwa˥˥tsɯ˧
浮沉	fu˧˥ʈʂʰən˧˥
垮台	kʰwa˨˩˦tʰaɪ˧˥
長話短說	ʈʂʰɑŋ˧˥xwa˥˩twan˨˩˦ʂuɔ˥˥
薄荷腦	pɔ˥˩xɤ˧nɑʊ˨˩˦
纈	ɕjɛ˧˥
頿	tsɯ˥˥
隱瞞	ɪn˨˩˦man˧˥
嘀	ti˧˥
膩	ni˥˩
鵝	ɤ˧˥
免費	mjɛn˨˩˦feɪ˥˩
吊扣	tjɑʊ˥˩kʰoʊ˥˩
嫘祖	leɪ˧˥tsu˨˩˦
韑	weɪ˨˩˦
身不由己	ʂən˥˥pu˥˩joʊ˧˥tɕi˨˩˦
境內	tɕɪŋ˥˩neɪ˥˩
皈	kweɪ˥˥
左舷	tsuɔ˨˩˦ɕjɛn˧˥
舔乾淨	tʰjɛn˨˩˦kan˥˥tɕɪŋ˥˩
䵙	ʈʂa˨˩˦
莶	ljɛn˨˩˦,ljɛn˧˥,ɕjɛn˥˥
皑	aɪ˧˥
䄭	njɛn˧˥
衻	ʐan˧˥
香草	ɕjɑŋ˥˥tsʰɑʊ˨˩˦
鉚足了勁	mɑʊ˨˩˦tsu˧˥lɤ˧tɕɪn˥˩
蘑	mɔ˧˥
讉	i˧˥
僄	pʰjɑʊ˥˩
汞	kʊŋ˨˩˦
㼤	ja˥˩,tɕʰjɛ˥˩,tɕʰi˥˩
小便	ɕjɑʊ˨˩˦pjɛn˥˩
機械	tɕi˥˥ɕjɛ˥˩
相差甚遠	ɕjɑŋ˥˥ʈʂʰa˥˥ʂən˥˩ɥœn˨˩˦
罸	fa˧˥
臭味	ʈʂʰoʊ˥˩weɪ˥˩
驇	ʈʂɚ˥˩
每逢佳節倍思親	meɪ˨˩˦fɤŋ˧˥tɕja˥˥tɕjɛ˧˥peɪ˥˩sɯ˥˥tɕʰɪn˥˥
罅	ɕja˥˩
絖	kʰwɑŋ˥˩
郊	tɕjɑʊ˥˥
甜蜜	tʰjɛn˧˥mi˥˩
獎品	tɕjɑŋ˨˩˦pʰɪn˨˩˦
午飯	u˨˩˦fan˥˩
陓	y˥˥,u˥˥
人材輩出	ʐən˧˥tsʰaɪ˧˥peɪ˥˩ʈʂʰu˥˥
驍勇善戰	ɕjɑʊ˥˥jʊŋ˨˩˦ʂan˥˩ʈʂan˥˩
町	ʈʂɤŋ˥˩,tʰɪŋ˥˥,tʰjɛn˨˩˦,tʰɪŋ˨˩˦,tɪŋ˥˥
投遞	tʰoʊ˧˥ti˥˩
黑熱病	xeɪ˥˥ʐɤ˥˩pɪŋ˥˩
㙼	leɪ˨˩˦
份子	fən˥˩tsɯ˧,fən˥˩tsɯ˨˩˦
㯚	ta˧˥
消防員	ɕjɑʊ˥˥fɑŋ˧˥ɥœn˧˥
痛	tʰʊŋ˥˩
音樂劇	ɪn˥˥ɥœ˥˩tɕy˥˩
落空	luɔ˥˩kʰʊŋ˥˥
魚鰾	y˧˥pjɑʊ˥˩
帡	pʰɪŋ˧˥
㨒	weɪ˨˩˦,kʰweɪ˧˥,ɕjɛ˧˥
出發	ʈʂʰu˥˥fa˥˥
窮	tɕʰjʊŋ˧˥
侌	ɪn˥˥
認賊作父	ʐən˥˩tseɪ˧˥tsuɔ˥˩fu˥˩
卲	ʂɑʊ˥˩
一分鐘	i˥˩fən˥˥ʈʂʊŋ˥˥
㝖	ɪn˧˥,i˧˥
蘥	ɥœ˥˩
敗北	paɪ˥˩peɪ˨˩˦
菡	xan˥˩
坼	ʈʂʰɤ˥˩
拈	njɛn˨˩˦,njɛn˥˥,njɛn˧˥,tjɛn˥˥
定時炸彈	tɪŋ˥˩ʂɚ˧˥ʈʂa˥˩tan˥˩
乾淨利落	kan˥˥tɕɪŋ˥˩li˥˩luɔ˧
劷	jɑŋ˧˥
耐	nɤŋ˧˥,naɪ˥˩
定婚戒指	tɪŋ˥˩xuən˥˥tɕjɛ˥˩ʈʂɚ˧,tɪŋ˥˩xuən˥˥tɕjɛ˥˩ʈʂɚ˨˩˦
佢	tɕʰy˧˥
勷	ɕjɑŋ˥˥,ʐɑŋ˧˥
倓	tʰan˧˥
䐢	ʈʂu˥˩
驒	tʰuɔ˧˥
赤嵌樓	ʈʂʰɚ˥˩kʰan˨˩˦loʊ˧˥
盤子	pʰan˧˥tsɯ˧
一動不動	i˧˥tʊŋ˥˩pu˧˥tʊŋ˥˩
蠫	li˥˩,li˧˥
條文	tʰjɑʊ˧˥uən˧˥
瀆職	tu˧˥ʈʂɚ˧˥
特赦	tʰɤ˥˩ʂɤ˥˩
恭維	kʊŋ˥˥weɪ˧˥
雙月	ʂwɑŋ˥˥ɥœ˥˩
鋷	tsweɪ˥˩
攷	kʰɑʊ˧˥,kʰɑʊ˨˩˦
荒	kʰɑŋ˥˥,xwɑŋ˨˩˦,xwɑŋ˥˥
粄	pan˨˩˦
神明	ʂən˧˥mɪŋ˧˥
炊事用具	ʈʂʰweɪ˥˥ʂɚ˥˩jʊŋ˥˩tɕy˥˩
消	ɕjɑʊ˥˥
惜	ɕi˥˥
燧	sweɪ˥˩
球場	tɕʰjoʊ˧˥ʈʂʰɑŋ˨˩˦
汙	wa˥˥,y˥˥,u˥˩,u˥˥
賞臉	ʂɑŋ˨˩˦ljɛn˨˩˦
嘂	tɕjɑʊ˥˩
頉	i˧˥
曡	tjɛ˧˥
䝖	ʈʂɑʊ˨˩˦
尊姓大名	tsuən˥˥ɕɪŋ˥˩ta˥˩mɪŋ˧˥
便攜	pjɛn˥˩ɕi˥˥,pjɛn˥˩ɕjɛ˧˥
登	tɤ˧˥,tɤŋ˥˥
遊蕩	joʊ˧˥tɑŋ˥˩
物理	u˥˩li˨˩˦
䰯	ni˨˩˦,ʐan˧˥,i˥˩
渾球	xuən˧˥tɕʰjoʊ˧˥
觚	ku˥˥
鼠	ʂu˨˩˦
槦	jʊŋ˧˥
意淫	i˥˩ɪn˨˩˦
曲線圖	tɕʰy˥˥ɕjɛn˥˩tʰu˧˥
峁	mɑʊ˨˩˦
該當	kaɪ˥˥tɑŋ˥˥
憾	xan˥˩
地面	ti˥˩mjɛn˥˩
棗	tsɑʊ˨˩˦
寧可	nɪŋ˧˥kʰɤ˨˩˦,nɪŋ˥˩kʰɤ˨˩˦
絣	pɪŋ˥˥,pɤŋ˥˥
沙	suɔ˥˥,ʂa˥˥,ʂa˥˩
蠼	tɕɥœ˧˥,tɕʰy˧˥
溺	njɑʊ˥˩,ni˥˩
公主	kʊŋ˥˥ʈʂu˨˩˦
排	pʰaɪ˨˩˦,pʰaɪ˧˥,peɪ˥˩
蹓躂	ljoʊ˥˥ta˧
嘔吐	oʊ˨˩˦tʰu˥˩
塽	ʂwɑŋ˨˩˦
㽹	wan˨˩˦,fan˥˩
瘦骨嶙峋	ʂoʊ˥˩ku˨˩˦lɪn˧˥ɕyn˧˥
秧歌	jɑŋ˥˥kɤ˥˥
奉	fɤŋ˥˩
果子舖	kuɔ˨˩˦tsɯ˧pʰu˥˩
歹	ɤ˥˩,taɪ˨˩˦,taɪ˥˥
䝿	kweɪ˥˩
姨媽	i˧˥ma˥˥
軋花機	ja˥˩xwa˥˥tɕi˥˥
撘	ta˥˥
䝋	tsʊŋ˥˩
強而有力	tɕʰjɑŋ˧˥aɻ˧˥joʊ˨˩˦li˥˩
切片法	tɕʰjɛ˥˥pʰjɛn˥˩fa˨˩˦
諫諍	tɕjɛn˥˩ʈʂɤŋ˥˩
雷池	leɪ˧˥ʈʂʰɚ˧˥
預製	y˥˩ʈʂɚ˥˩
䭖	ʈʂu˥˩
㪊	tɕʰyn˧˥
䦣	fu˥˩
身居要職	ʂən˥˥tɕy˥˥jɑʊ˥˩ʈʂɚ˧˥
踭	ʈʂɤŋ˥˥
世博	ʂɚ˥˩pɔ˧˥
宩	ʂɚ˨˩˦
開口說	kʰaɪ˥˥kʰoʊ˨˩˦ʂuɔ˥˥
綁馬尾	pɑŋ˨˩˦ma˨˩˦weɪ˨˩˦
啜粥	ʈʂʰuɔ˥˩ʈʂoʊ˥˥
浚河	tɕyn˥˩xɤ˧˥
無可救藥	u˧˥kʰɤ˨˩˦tɕjoʊ˥˩jɑʊ˥˩
駁殼槍	pɔ˧˥kʰɤ˧˥tɕʰjɑŋ˥˥
醪糟兒	lɑʊ˧˥tsɑʊ˥˥aɻ˧
哲理	ʈʂɤ˧˥li˨˩˦
鸖	xɤ˥˩
玩狎	wan˧˥ɕja˧˥
逝世	ʂɚ˥˩ʂɚ˥˩
乙酸	i˨˩˦swan˥˥
鄧	tɤŋ˥˩
長膘	ʈʂɑŋ˨˩˦pjɑʊ˥˥
貴人多忘事	kweɪ˥˩ʐən˧˥tuɔ˥˥wɑŋ˥˩ʂɚ˥˩
竅門	tɕʰjɑʊ˥˩mən˧˥
雤	ɕɥœ˧˥
餆	jɑʊ˧˥
䦨	lan˧˥
仄	tsɤ˥˩
橫衝直撞	xɤŋ˧˥ʈʂʰʊŋ˥˥ʈʂɚ˧˥ʈʂwɑŋ˥˩
實地	ʂɚ˧˥ti˥˩
籠子	lʊŋ˧˥tsɯ˧
潮差	ʈʂʰɑʊ˧˥ʈʂʰa˥˥
䋎	ʈʂan˥˩
金舖	tɕɪn˥˥pʰu˥˩
奁	ljɛn˧˥
劾	xɤ˧˥
喝彩	xɤ˥˩tsʰaɪ˨˩˦
漍	kuɔ˧˥
魄	pʰɔ˥˩,tʰuɔ˥˩,pɔ˧˥
暴殄天物	pɑʊ˥˩tʰjɛn˨˩˦tʰjɛn˥˥u˥˩
㬚	ʈʂʰɤ˥˩
敲竹槓	tɕʰjɑʊ˥˥ʈʂu˧˥kɑŋ˥˩
岪	fu˧˥
䊘	tɕjoʊ˥˩
荏	ʐən˨˩˦
操守	tsʰɑʊ˥˥ʂoʊ˨˩˦
齂	ɕi˥˩
訰	tʰuən˧˥
落伍	luɔ˥˩u˨˩˦
銥金	i˥˥tɕɪn˥˥
輍	y˥˩
俰	xɤ˥˩
盡忠	tɕɪn˥˩ʈʂʊŋ˥˥
篇幅	pʰjɛn˥˥fu˧˥
融解	ʐʊŋ˧˥tɕjɛ˨˩˦
迿	ɕyn˥˩
煩悶	fan˧˥mən˥˩
燕尾夾	jɛn˥˩weɪ˨˩˦tɕja˧˥,jɛn˥˩weɪ˨˩˦tɕja˥˥
還是	xaɪ˧˥ʂɚ˥˩
抽簽	ʈʂʰoʊ˥˥tɕʰjɛn˥˥
䛦	sʊŋ˥˩
吳儂軟語	u˧˥nʊŋ˧˥ʐwan˨˩˦y˨˩˦
吢	tɕʰɪn˥˩
傳回來	ʈʂʰwan˧˥xweɪ˧˥laɪ˧˥
有效	joʊ˨˩˦ɕjɑʊ˥˩
惹人注目	ʐɤ˨˩˦ʐən˧˥ʈʂu˥˩mu˥˩
額	ɤ˧˥
爆破炸彈	pɑʊ˥˩pʰɔ˥˩ʈʂa˥˩tan˥˩
牛頭刨	njoʊ˧˥tʰoʊ˧˥pɑʊ˥˩
政治理念	ʈʂɤŋ˥˩ʈʂɚ˥˩li˨˩˦njɛn˥˩
蓄	ɕy˥˩
成年	ʈʂʰɤŋ˧˥njɛn˧˥
夕	ɕi˥˥,ɕi˥˩
閇	pi˥˩
爀	xɤ˥˩
秫櫱	ʂu˧˥njɛ˥˩
發怒	fa˥˥nu˥˩
祈禱	tɕʰi˧˥tɑʊ˨˩˦
納米	na˥˩mi˨˩˦
菐	pʰu˧˥
決定	tɕɥœ˧˥tɪŋ˥˩
擄奪	lu˨˩˦tuɔ˧˥
鯪	lɪŋ˧˥
耗	xɑʊ˥˩,mɑʊ˥˩,mɑʊ˧˥
箈	ʈʂʰɚ˧˥,tʰaɪ˧˥,taɪ˥˩
牿	ku˥˩
𢜸	nɑʊ˧˥
無愧	u˧˥kʰweɪ˥˩
落成	luɔ˥˩ʈʂʰɤŋ˧˥
玧	yn˨˩˦
削鐵如泥	ɕɥœ˥˥tʰjɛ˨˩˦ʐu˧˥ni˧˥
冠以	kwan˥˩i˨˩˦
搠	ʂuɔ˥˩
菎	kʰuən˥˥,tɕyn˥˩
