portbagaj	portbaɡaʒ
măjer	məʒer
perla	perla
gătire	ɡətire
baghetei	bagʲ̩etej
liofilizat	liofilizat
comarnic	komarnik
sucursală	sukursalə
crengos	krenɡos
tiranul	tiranul
alterabil	alterabil
potcovit	potkovit
stuhăraie	stuhəraje
revolutiv	revolutiv
cinșpe	tʃinʃpe
înlăuntru	ɨnləuntru
evidență	evidentsə
incunabul	inkunabul
pepenaș	pepenaʃ
pasarelă	pasarelə
acatalepsie	akatalepsije
radiopatologie	radiopatolodʒije
contabilicesc	kontabilitʃesk
monșer	monʃer
preget	predʒet
imoralitate	imoralitate
chimografie	kʲ̩imoɡrafije
iritarea	iritarĕa
legănuț	leɡənuts
cadențat	kadentsat
meserniță	mesernitsə
dodecasilabic	dodekasilabik
glicocol	ɡlikokol
ignorantism	iɡnorantism
vârtejitor	vɨrteʒitor
abjurat	abʒurat
înclina	ɨnklina
opșpe	opʃpe
idiomatism	idiomatism
recapitula	rekapitula
bolnavă	bolnavə
gât	ɡɨt
deranjează	deranʒĕazə
ferecrațian	ferekratsijan
înrăutățire	ɨnrəutətsire
semiporțelan	semiportselan
arhaice	arhaitʃe
particularnic	partikularnik
vandabil	vandabil
trebuincios	trebuintʃ̩os
spere	spere
panoplie	panoplije
radiolog	radioloɡ
prezbiterian	prezbiterijan
carborundum	karborundum
refractat	refraktat
urechile	urekʲ̩ile
kelvin	kʲelvin
ferice	feritʃe
basidie	basidije
proconsulat	prokonsulat
rulare	rulare
prepotență	prepotentsə
înglodire	ɨnɡlodire
pozitron	pozitron
inert	inert
conșcolar	konʃkolar
răscroială	rəskrojalə
herpes	herpes
cameleon	kameleon
sațietate	satsijetate
băcănire	bəkənire
afunzime	afunzime
zadarnic	zadarnik
îngrijirii	ɨnɡriʒirij
negativism	neɡativism
răsucitor	rəsutʃitor
gastronom	ɡastronom
împupit	ɨmpupit
măsluit	məsluit
cucuț	kukuts
răbdat	rəbdat
excelare	ekstʃelare
scutur	skutur
uranometrie	uranometrije
baldachin	baldakʲ̩in
zgândări	zɡɨndəri
porfiric	porfirik
umanizat	umanizat
lanolină	lanolinə
pândă	pɨndə
ofiologie	ofiolodʒije
talasemie	talasemije
fermierul	fermijerul
iredentism	iredentism
chistic	kʲ̩istik
folositoare	folositŏare
majora	maʒora
tramcar	tramkar
reclamant	reklamant
sinulescu	sinulesku
înlăturat	ɨnləturat
selenologie	selenolodʒije
aruncător	arunkətor
veneau	venĕaw
metronom	metronom
marco	marko
contesta	kontesta
țingău	tsinɡəw
kiselgur	kʲiselɡur
prostălău	prostələw
iușnit	juʃnit
marocan	marokan
sericicultură	seritʃikulturə
picaj	pikaʒ
orgoliu	orɡolju
etmoid	etmoid
butirat	butirat
pogorât	poɡorɨt
ortodoxist	ortodoksist
cohorte	kohorte
procesiune	protʃesiune
hoinăreală	hojnərĕalə
scăpărătoare	skəpərətŏare
galvanocauter	ɡalvanokauter
autoșasiu	autoʃasiw
subdominantă	subdominantə
todea	todĕa
lenjereasă	lenʒerĕasə
decedare	detʃedare
stocaj	stokaʒ
buhav	buhav
răcănire	rəkənire
calabrian	kalabrijan
orăștie	orəʃtije
ștrecuit	ʃtrekuit
nesănătos	nesənətos
cartat	kartat
furtunatic	furtunatik
cei	tʃej
hibernacul	hibernakul
grădini	ɡrədinʲ
căi	kəi
înțepare	ɨntsepare
cvintuplu	kvintuplu
micușor	mikuʃor
micromilimetru	mikromilimetru
nechezătură	nekʲ̩ezəturə
tatuați	tatuwatsʲ
tipometru	tipometru
depliat	deplijat
eșarpă	eʃarpə
urșii	urʃij
groapă	ɡrŏapə
paraldehidă	paraldehidə
spartan	spartan
domă	domə
rupeau	rupĕaw
bazonare	bazonare
anagramatizare	anaɡramatizare
sfigmogramă	sfiɡmoɡramə
lumi	lumʲ
asertoric	asertorik
prefigura	prefiɡura
liniatură	liniaturə
liniuță	liniutsə
vinars	vinars
iorda	jorda
chiteș	kʲ̩iteʃ
oraniță	oranitsə
ipohondrie	ipohondrije
măngălău	mənɡələw
globuleț	ɡlobulets
batjocoră	batʒokorə
însămânța	ɨnsəmɨntsa
masturba	masturba
absorbțiune	apsorptsiune
căliman	kəliman
săcoi	səkoj
petromax	petromaks
mistral	mistral
denichelare	denikʲ̩elare
hormonopoieză	hormonopojezə
chinovial	kʲ̩inovijal
caraulă	karaulə
arăboaică	arəbŏajkə
developeză	developezə
mandrina	mandrina
șerpoaie	ʃerpŏaje
bușire	buʃire
hoțesc	hotsesk
procedere	protʃedere
doctrinar	doktrinar
cauzalgie	kauzaldʒije
hapax	hapaks
rateș	rateʃ
tuflire	tuflire
teracotist	terakotist
nefolositoare	nefolositŏare
dribler	dribler
hotelier	hotelijer
vasluiancă	vaslujankə
măndoiu	məndoju
mefiență	mefientsə
crițar	kritsar
confederațiune	konfederatsiune
flexionat	fleksionat
dăltuitură	dəltuiturə
eteronom	eteronom
deziderate	deziderate
tagă	taɡə
namiază	namjazə
prujitură	pruʒiturə
legate	leɡate
comasa	komasa
holoturie	holoturije
ostil	ostil
galvanoplastie	ɡalvanoplastije
butonului	butonuluj
maniacal	maniakal
frontoliză	frontolizə
iconoclast	ikonoklast
înțărcare	ɨntsərkare
aterizări	aterizərʲ
lămurire	ləmurire
chartist	tʃ̩artist
spaghete	spagʲ̩ete
microlitic	mikrolitik
intabulat	intabulat
hardughit	hardugʲ̩it
plastbeton	plastbeton
placid	platʃid
gârleanu	ɡɨrlĕanu
dâmărit	diʒmərit
acaparator	akaparator
drumaș	drumaʃ
calefacție	kalefaktsije
bălăbănit	bələbənit
butelcă	butelkə
hipofonie	hipofonije
căpătat	kəpətat
demiurg	demiurɡ
eghilet	egʲ̩ilet
compartimentaj	kompartimentaʒ
verosimil	verosimil
cufund	kufund
povidlă	povidlə
onomatopoetic	onomatopoetik
dori	dori
galere	ɡalere
pontic	pontik
drăgulic	drəɡulik
ritmic	ritmik
betonat	betonat
erudit	erudit
secul	sekul
parageneză	paradʒenezə
vântuit	vɨntuit
poplăcan	popləkan
înmănunchere	ɨnmənunkʲ̩ere
oblojire	obloʒire
stâlcit	stɨltʃit
subzidire	subzidire
conchistă	konkʲ̩istə
trapcea	traptʃ̩a
afloroaiei	aflorŏajej
unilateralitate	unilateralitate
șipușor	ʃipuʃor
necumpănire	nekumpənire
badâona	badiʒona
imputare	imputare
dincov	dinkov
profesorime	profesorime
toreador	toreador
clădii	klədiː
disperat	disperat
iveală	ivĕalə
rezistivitate	rezistivitate
hebdomadar	hebdomadar
amfiteriu	amfiterju
avar	avar
panelenistic	panelenistik
sughițuri	sugʲ̩itsurʲ
macaronar	makaronar
condroidă	kondroidə
tehnologic	tehnolodʒik
rașpilă	raʃpilə
galican	ɡalikan
stilului	stiluluj
măcinătură	mətʃinəturə
buftea	buftĕa
decoleta	dekoleta
aroșculesei	aroʃkulesej
fitocid	fitotʃid
spese	spese
nichita	nikʲ̩ita
gliptografie	ɡliptoɡrafije
depresor	depresor
blendă	blendə
argumentat	arɡumentat
frizat	frizat
hidrofil	hidrofil
emisiune	emisiune
tirant	tirant
șubiță	ʃubitsə
tărâțare	tərɨtsare
nemețire	nemetsire
uscător	uskətor
antresol	antresol
gătitul	ɡətitul
cetera	tʃetera
cernescu	tʃernesku
victoria	viktorija
tetieră	tetijerə
câine	kɨjne
nălucă	nəlukə
jambă	ʒambə
interraional	interrajonal
puteau	putĕaw
zbir	zbir
evanghelic	evangʲ̩elik
aderare	aderare
stroe	stroe
mangaliță	manɡalitsə
idolesc	idolesk
manie	manije
pajeră	paʒerə
hidronimie	hidronimije
fiorii	fiorij
afront	afront
epilogism	epilodʒism
gălbinare	ɡəlbinare
nepermis	nepermis
leucit	leutʃit
înstelat	ɨnstelat
incarnare	inkarnare
prorogat	proroɡat
poleit	poleit
ibovnicuță	ibovnikutsə
dop	dop
tricofiton	trikofiton
araucaria	araukarija
târgumureșean	tɨrɡumureʃĕan
machinație	makʲ̩inatsije
consangvin	konsanɡvin
tătuță	tətutsə
piezogramă	pjezoɡramə
capugiu	kapudʒiw
consumpțiune	konsumptsiune
închiriem	ɨnkʲ̩irijem
electrocoagulare	elektrokoaɡulare
covârșitor	kovɨrʃitor
vexat	veksat
logaritm	loɡaritm
desfide	desfide
completate	kompletate
contratip	kontratip
teleficare	telefikare
breaslă	brĕaslə
fasciculat	fastʃikulat
neprecizare	nepretʃizare
radiofosfor	radiofosfor
scriind	skrijind
broscăresc	broskəresk
menou	menow
dihocat	dihokat
stupid	stupid
hrușcă	hruʃkə
hialită	hialitə
vârtopan	vɨrtopan
racola	rakola
scotocire	skototʃire
debreiaj	debrejaʒ
cusute	kusute
tendă	tendə
tipuri	tipurʲ
cuculat	kukulat
răscumpărabil	rəskumpərabil
întrerumt	ɨntrerumt
blândețe	blɨndetse
monometru	monometru
microfarad	mikrofarad
duruire	duruire
romașcan	romaʃkan
denotație	denotatsije
neatașabil	neataʃabil
mozaica	mozaika
oarzăn	ŏarzən
hârjoneală	hɨrʒonĕalə
livrat	livrat
brădeni	brədenʲ
semipreparat	semipreparat
resorbabil	resorbabil
arhiereu	arhijerew
fragilitate	fradʒilitate
reexport	reeksport
tricorn	trikorn
abject	abʒekt
scursură	skursurə
călări	kələri
osteoscleroză	osteosklerozə
ternat	ternat
oacaca	ŏakaka
regățean	reɡətsĕan
urmăriseră	urməriserə
milog	miloɡ
ochire	okʲ̩ire
umidifug	umidifuɡ
lăturat	ləturat
decadență	dekadentsə
janilie	ʒanilije
avangardă	avanɡardə
concă	konkə
obleț	oblets
cute	kute
tutore	tutore
rafală	rafalə
răzbunică	rəzbunikə
diformat	diformat
clemă	klemə
acceptabilă	aktʃeptabilə
deformările	deformərile
resuscitare	resustʃitare
exotism	egzotism
divorț	divorts
regresare	reɡresare
eftimiu	eftimiw
schimosit	skʲ̩imosit
hainele	hajnele
mihalcea	mihaltʃ̩a
societatea	sotʃijetatĕa
împăienjinire	ɨmpəjenʒinire
paparugă	paparuɡə
supraevaluare	supraevaluware
preursire	preursire
rebandajat	rebandaʒat
anecdote	anekdote
pricină	pritʃinə
curpeniș	kurpeniʃ
precurmat	prekurmat
frigare	friɡare
spația	spatsija
parotidită	parotiditə
gardaman	ɡardaman
prețuitor	pretsuitor
guguman	ɡuɡuman
actuar	aktuwar
uluc	uluk
înarmarea	ɨnarmarĕa
telepatie	telepatije
verbalizat	verbalizat
reșcă	reʃkə
antet	antet
dezmorțire	dezmortsire
stihie	stihije
termodifuziune	termodifuziune
pomologie	pomolodʒije
sonic	sonik
cavatină	kavatinə
schimbea	skʲ̩imbĕa
îngândurare	ɨnɡɨndurare
rolux	roluks
nacru	nakru
orișicare	oriʃikare
foicică	foitʃikə
cercul	tʃerkul
zacherlină	zakʲ̩erlinə
neomicină	neomitʃinə
higrometric	hiɡrometrik
coșulețe	koʃuletse
relua	reluwa
pospăire	pospəire
grierel	ɡrijerel
desigilat	desidʒilat
bucium	butʃ̩um
admite	admite
candeliță	kandelitsə
împelițat	ɨmpelitsat
putere	putere
vivifiant	vivifijant
învolburat	ɨnvolburat
opritoare	opritŏare
strofantină	strofantinə
igienic	idʒijenik
tirs	tirs
eferent	eferent
extincție	ekstinktsije
urmăriți	urməritsʲ
hipometru	hipometru
deșabloniza	deʃabloniza
fumă	fumə
cinopedie	tʃinopedije
legitimație	ledʒitimatsije
născoceală	nəskotʃ̩alə
ciomăgit	tʃ̩omədʒit
eșafod	eʃafod
limfopoietic	limfopojetik
spiralat	spiralat
redistila	redistila
parlamentarism	parlamentarism
lătunoaie	lətunŏaje
încrușit	ɨnkruʃit
reviviscență	revivistʃentsə
admirabile	admirabile
largare	larɡare
diagonal	diaɡonal
oxigen	oksidʒen
capitalie	kapitalije
monoftongat	monoftonɡat
prezente	prezente
dendritic	dendritik
rrom	r̩om
zălezit	zəlezit
taraf	taraf
decodare	dekodare
giuvaer	dʒ̩uvaer
liderii	liderij
însumare	ɨnsumare
afectare	afektare
cușac	kuʃak
primelor	primelor
neexplozibil	neeksplozibil
piept	pjept
duumvir	duumvir
epitaf	epitaf
cioplire	tʃ̩oplire
treacă	trĕakə
octan	oktan
alelei	alelej
farinograf	farinoɡraf
disurie	disurije
sectorul	sektorul
altceva	alttʃeva
aplatizat	aplatizat
vinețiu	vinetsiw
bârfit	bɨrfit
pangermanic	pandʒermanik
purificat	purifikat
pistolaș	pistolaʃ
refrigerare	refridʒerare
colonist	kolonist
sârguire	sɨrɡuire
altădată	altədatə
heliocentrism	heliotʃentrism
vilozitate	vilozitate
ostășime	ostəʃime
șip	ʃip
adeziv	adeziv
strictura	striktura
camaieu	kamajew
zăngănire	zənɡənire
tălăncănire	tələnkənire
fumeze	fumeze
expozanți	ekspozantsʲ
regosol	reɡosol
redondanță	redondantsə
contrariul	kontrarjul
corcoduș	korkoduʃ
dichisire	dikʲ̩isire
decopertare	dekopertare
fototropism	fototropism
slugărie	sluɡərije
decrepitat	dekrepitat
interindividual	interindividuwal
tropot	tropot
turbobur	turbobur
periodonțiu	periodontsju
foarfece	fŏarfetʃe
mărfurilor	mərfurilor
spondilită	spondilitə
zburdare	zburdare
moșieresc	moʃieresk
edicul	edikul
pironire	pironire
solniță	solnitsə
carieră	karijerə
lecitinază	letʃitinazə
ferodou	ferodow
componentele	komponentele
cratiță	kratitsə
menținem	mentsinem
potopit	potopit
viorel	viorel
împovărare	ɨmpovərare
partizanat	partizanat
acolisire	akolisire
nuanțat	nuwantsat
condensator	kondensator
capnomanție	kapnomantsije
jadeit	ʒadeit
oicumena	ojkumena
gălușcuță	ɡəluʃkutsə
oprișan	opriʃan
extravazare	ekstravazare
adăugase	adəuɡase
fanariot	fanariot
obicinuire	obitʃ̩nuire
discromie	diskromije
iepușoară	jepuʃŏarə
tatuaj	tatuwaʒ
șu	ʃu
revitalizare	revitalizare
malahie	malahije
piolet	piolet
oligurie	oliɡurije
telegrafia	teleɡrafija
bioclimatolog	bioklimatoloɡ
bolșevic	bolʃevik
trezeam	trezĕam
păduriță	pəduritsə
șuguitor	ʃuɡuitor
răsucit	rəsutʃit
eparhie	eparhije
rezemătoare	rezemətŏare
reorchestrare	reorkʲ̩estrare
gimnosofie	dʒimnosofije
hiperbat	hiperbat
balconaș	balkonaʃ
telefoto	telefoto
peșteră	peʃterə
trustier	trustijer
olfactometrie	olfaktometrije
farinaceu	farinatʃew
pneu	pnew
neliniște	neliniʃte
hermeneutic	hermeneutik
oceanului	otʃ̩anuluj
rătutire	rətutire
incipit	intʃipit
cumpărați	kumpəratsʲ
chiciură	kʲ̩itʃ̩urə
memoriza	memoriza
cuvântat	kuvɨntat
apiolină	apiolinə
maya	maja
germinat	dʒerminat
berbant	berbant
spahiu	spahiw
domino	domino
armanca	armanka
intrepid	intrepid
definit	definit
tumurug	tumuruɡ
eronate	eronate
crâșcare	krɨʃkare
decorticator	dekortikator
dezvăluire	dezvəluire
givraj	dʒivraʒ
hăinar	həjnar
saros	saros
parțial	partsial
preformism	preformism
seism	seism
chiculiță	kʲ̩ikulitsə
zmeurar	zmeurar
mesiei	mesijej
revoluție	revolutsije
clavicimbal	klavitʃimbal
scorțișor	skortsiʃor
ghioșa	gʲ̩̩oʃa
bivuacare	bivuwakare
coplanar	koplanar
fonograf	fonoɡraf
decodifica	dekodifika
imperfectibil	imperfektibil
cocor	kokor
steavă	stĕavə
schimb	skʲ̩imb
dezinflama	dezinflama
fals	fals
folosire	folosire
echipolent	ekʲ̩ipolent
râvnă	rɨvnə
cavalerism	kavalerism
ofiolog	ofioloɡ
investigațiune	investiɡatsiune
surpăcios	surpətʃ̩os
copiilor	kopijilor
fragmentar	fraɡmentar
fulminant	fulminant
turchin	turkʲ̩in
cușmă	kuʃmə
asezona	asezona
chelicerat	kʲ̩elitʃerat
penalty	penalti
scremet	skremet
osculație	oskulatsije
arimare	arimare
emetic	emetik
secundariat	sekundarijat
adsorbi	adsorbi
fornăit	fornəit
ihneumon	ihneumon
râvnit	rɨvnit
incriminat	inkriminat
jacaș	ʒakaʃ
acromatizat	akromatizat
ghicitori	gʲ̩itʃitorʲ
stabiliment	stabiliment
huiduială	hujdujalə
redox	redoks
canotaj	kanotaʒ
protopop	protopop
analitic	analitik
poanter	pŏanter
cozonac	kozonak
sistolic	sistolik
favoare	favŏare
câinie	kɨjnije
alternare	alternare
uranic	uranik
arabizat	arabizat
hedonist	hedonist
viceconsulat	vitʃekonsulat
hodorogit	hodorodʒit
zavergiu	zaverdʒiu
frideric	friderik
orheiancă	orhejankə
cojit	koʒit
țoală	tsŏalə
vulturești	vultureʃtʲ
melodicitate	meloditʃitate
teologizare	teolodʒizare
bunceag	buntʃ̩aɡ
sânt	sɨnt
febricita	febritʃita
suin	suin
agoniseală	aɡonisĕalə
ipac	ipak
sifonare	sifonare
căpriorire	kəpriorire
simte	simte
nemet	nemet
perimontan	perimontan
unicord	unikord
mobil	mobil
asfolit	asfolit
terme	terme
relansa	relansa
furat	furat
prăgar	prəɡar
notorietate	notorietate
nedemonstrat	nedemonstrat
angobă	anɡobə
zilei	zilej
faeton	faeton
fluxiune	fluksiune
discografie	diskoɡrafije
pătrate	pətrate
avansează	avansĕazə
cărturarii	kərturarij
răbojire	rəboʒire
fungistatic	fundʒistatik
defecta	defekta
rățișoară	rətsiʃŏarə
intabula	intabula
clop	klop
înspumega	ɨnspumeɡa
peching	pekʲ̩inɡ
poznă	poznə
udat	udat
singuri	sinɡurʲ
citit	tʃitit
susur	susur
draibăr	drajbər
răzmerire	rəzmerire
fucus	fukus
eructa	erukta
doryconstruct	dorikonstrukt
etnologie	etnolodʒije
serai	seraj
microclin	mikroklin
chivernisire	kʲ̩ivernisire
albinărel	albinərel
despletit	despletit
talamus	talamus
purece	puretʃe
botcă	botkə
tiroidă	tiroidə
canapeluță	kanapelutsə
sulfitat	sulfitat
fitoterapie	fitoterapije
plaz	plaz
jintălău	ʒintələw
devaliza	devaliza
echilibror	ekʲ̩ilibror
paspoal	paspŏal
plimbarea	plimbarĕa
vorbar	vorbar
insectar	insektar
comentator	komentator
pseudoprefix	pseudoprefiks
chiorâre	kʲ̩̩orɨre
simbolic	simbolik
sporadicitate	sporaditʃitate
imobilul	imobilul
madea	madĕa
flautist	flautist
hârău	hɨrəw
putrefia	putrefija
astrobiologie	astrobiolodʒije
comitent	komitent
echină	ekʲ̩inə
staniol	staniol
rulant	rulant
cărăbuș	kərəbuʃ
opalizat	opalizat
nișă	niʃə
oblic	oblik
pneumoconioză	pneumokoniozə
arate	arate
monorimă	monorimə
mătăsărie	mətəsərije
părinda	pərinda
țăruș	tsəruʃ
nătângire	nətɨndʒire
iudaic	judaik
gemăt	dʒemət
hafniu	hafnju
îndemnare	ɨndemnare
pol	pol
spirache	spirakʲ̩e
pitiriazis	pitirijazis
balaș	balaʃ
remedia	remedija
savonieră	savonijerə
seteanu	setĕanu
mercantilaj	merkantilaʒ
scrijelat	skriʒelat
uperizare	uperizare
ciume	tʃ̩ume
pseudocultură	pseudokulturə
țio	tsjo
mâhnicios	mɨhnitʃ̩os
antigen	antidʒen
coja	koʒa
scăpase	skəpase
amuțare	amutsare
rafinare	rafinare
tergiversare	terdʒiversare
sichiraș	sikʲ̩iraʃ
protidic	protidik
întinge	ɨntindʒe
bucin	butʃin
jurașcu	ʒuraʃku
țigărar	tsiɡərar
huhurez	huhurez
glei	ɡlej
băuni	bəuni
deșoca	deʃoka
vergela	verdʒela
pentelică	pentelikə
somatologie	somatolodʒije
papanaș	papanaʃ
dezocupa	dezokupa
forfet	forfet
zbuchea	zbukʲ̩̩a
blestemat	blestemat
codire	kodire
prundișor	prundiʃor
graminee	ɡraminee
neomenesc	neomenesk
idea	idea
demoralizat	demoralizat
iezer	jezer
complinire	komplinire
atracție	atraktsije
șișcorniță	ʃiʃkornitsə
compartiment	kompartiment
seiș	seiʃ
parental	parental
flasc	flask
metabolism	metabolism
putrefiere	putrefijere
evanescență	evanestʃentsə
consimțire	konsimtsire
impregnabil	impreɡnabil
verziș	verziʃ
dorobănțesc	dorobəntsesk
retranscris	retranskris
difazat	difazat
elitism	elitism
ieremia	jeremija
anțărț	antsərts
bâiguială	bɨjɡujalə
direge	diredʒe
fonologic	fonolodʒik
curara	kurara
cocainoman	kokajnoman
scârții	skɨrtsiji
spetire	spetire
lefteri	lefteri
florinte	florinte
equus	ekvus
ectoderm	ektoderm
antibioză	antibiozə
reorganizator	reorɡanizator
anterioare	anteriŏare
lăcătușărie	ləkətuʃərije
ceramice	tʃeramitʃe
senilizat	senilizat
garmond	ɡarmond
ceas	tʃ̩as
polon	polon
culpă	kulpə
amor	amor
prospectat	prospektat
îmboldolire	ɨmboldolire
scremere	skremere
hobbyist	hob̩i̩st
cazuist	kazuist
șarabană	ʃarabanə
pământos	pəmɨntos
țif	tsif
buhai	buhaj
imunologic	imunolodʒik
particularism	partikularism
stagiul	stadʒjul
ciupitură	tʃ̩upiturə
vitalizare	vitalizare
jităreanu	ʒitərĕanu
destărnițare	destərnitsare
acatalectic	akatalektik
bucălaie	bukəlaje
leneș	leneʃ
slabe	slabe
porozimetru	porozimetru
titirez	titirez
bondăraș	bondəraʃ
osteoclazie	osteoklazije
vârfuit	vɨrfuit
coreograf	koreoɡraf
picurare	pikurare
monopolizat	monopolizat
revigorator	reviɡorator
inimos	inimos
convulsare	konvulsare
anafrodiziac	anafrodizijak
ascidie	astʃidije
alicire	alitʃire
gaullist	ɡo̩l̩ist
lostopan	lostopan
energumen	enerɡumen
lăscaie	ləskaje
hepatoragie	hepatoradʒije
hipoplazie	hipoplazije
completat	kompletat
nedemonstrabil	nedemonstrabil
aton	aton
ranversare	ranversare
smaltină	smaltinə
legaliza	leɡaliza
lan	lan
mineralizare	mineralizare
sluji	sluʒi
duraluminiu	duraluminju
cure	kure
țup	tsup
alhimist	alhimist
inconfort	inkonfort
orbete	orbete
totemism	totemism
logician	lodʒitʃijan
confruntați	konfruntatsʲ
măsălar	məsəlar
străchinea	strəkʲ̩inĕa
faptele	faptele
grăbi	ɡrəbi
nearticulat	neartikulat
avort	avort
aprinde	aprinde
îmboldoli	ɨmboldoli
bucelat	butʃelat
metaloplastie	metaloplastije
totalmente	totalmente
analizator	analizator
samuraslă	samuraslə
comandantului	komandantuluj
endoderm	endoderm
artistă	artistə
diatribă	diatribə
fonometrie	fonometrije
cercetaș	tʃertʃetaʃ
unificat	unifikat
încăpăstrare	ɨnkəpəstrare
vătăman	vətəman
rap	rap
fenomenalitate	fenomenalitate
haiducul	hajdukul
încălțătoare	ɨnkəltsətŏare
osteosinteză	osteosintezə
platbandă	platbandə
târban	tɨrban
sacral	sakral
putincios	putintʃ̩os
culcat	kulkat
cromofor	kromofor
scoruș	skoruʃ
limitele	limitele
umblare	umblare
impenetrant	impenetrant
lespejoară	lespeʒŏarə
galenă	ɡalenə
devălmaș	devəlmaʃ
sfic	sfik
nămolos	nəmolos
spitale	spitale
aterizaj	aterizaʒ
îndreptățire	ɨndreptətsire
recidivant	retʃidivant
bleașc	blĕaʃk
compactat	kompaktat
halaj	halaʒ
defertilizat	defertilizat
scientizare	stʃijentizare
presădire	presədire
jart	ʒart
lambrisat	lambrisat
transcripțiune	transkriptsiune
cenușărire	tʃenuʃərire
bumerang	bumeranɡ
pârlitură	pɨrliturə
întrarma	ɨntrarma
masaj	masaʒ
zobi	zobi
aromele	aromele
fojgăire	foʒɡəire
lamelos	lamelos
traumatologie	traumatolodʒije
limbuți	limbutsʲ
căciulie	kətʃ̩ulije
dinapoi	dinapoj
poroncit	porontʃit
postire	postire
eneodă	eneodə
tranzacțiune	tranzaktsiune
prostuleț	prostulets
măturice	məturitʃe
doua	dowa
morfonologie	morfonolodʒije
logomahie	loɡomahije
pam	pam
icteric	ikterik
bazedov	bazedov
podmol	podmol
violenta	violenta
perpeleală	perpelĕalə
razant	razant
propenă	propenə
fârșit	fɨrʃit
priveghetor	privegʲ̩etor
fenomenologie	fenomenolodʒije
turbină	turbinə
rincocefal	rinkotʃefal
patetico	patetiko
înrăutățesc	ɨnrəutətsesk
sentimentelor	sentimentelor
bluzat	bluzat
enescian	enestʃijan
lăudat	ləudat
petrografie	petroɡrafije
compatibilitate	kompatibilitate
recoloniza	rekoloniza
repugnant	repuɡnant
pătrundea	pətrundĕa
disgrafie	disɡrafije
clădărie	klədərije
nemuncite	nemuntʃite
penticostal	pentikostal
mascur	maskur
canonire	kanonire
kenotron	kʲenotron
pripeală	pripĕalə
morunaș	morunaʃ
picromigdală	pikromiɡdalə
teleconcurs	telekonkurs
filigranologie	filiɡranolodʒije
ton	ton
trizaharidă	trizaharidə
nap	nap
hoher	hojer
șofrănaș	ʃofrənaʃ
vanilină	vanilinə
utilizați	utilizatsʲ
dobândă	dobɨndə
blestemare	blestemare
decid	det͡ʃid
strămutat	strəmutat
pepeni	pepenʲ
pronaos	pronaos
decodaj	dekodaʒ
țâhlă	tsɨhlə
domnu	domnu
pierduseră	pjerduserə
capetele	kapetele
molipsitor	molipsitor
emilianu	emilijanu
scadă	skadə
comportamental	komportamental
preaprețios	prĕapretsios
solidarism	solidarism
bârligat	bɨrliɡat
marioțeanu	mariotsĕanu
sindiotactic	sindiotaktik
nejustificat	neʒustifikat
jeruire	ʒeruire
jidancă	ʒidankə
mirobolant	mirobolant
momiță	momitsə
repetenție	repetentsije
refracțiune	refraktsiune
adumbrire	adumbrire
cotelire	kotelire
sfârșise	sfɨrʃise
screamăt	skrĕamət
selector	selektor
mult	mult
concrescut	konkreskut
șoșoteală	ʃoʃotĕalə
antivoal	antivŏal
fulga	fulɡa
nisiparniță	nisiparnitsə
hurie	hurije
circumterestru	tʃirkumterestru
probăluit	probəluit
preiau	prejaw
ciuleandră	tʃ̩ulĕandrə
ape	ape
sfanțih	sfantsih
semimetalic	semimetalik
disculpat	diskulpat
parola	parola
fenologie	fenolodʒije
violentare	violentare
jalapă	ʒalapə
șiritenie	ʃiritenije
datorează	datorĕazə
purta	purta
lene	lene
buncăr	bunkər
mențineți	mentsinetsʲ
muzicograf	muzikoɡraf
cuniculicultură	kunikulikulturə
sezonul	sezonul
luciu	lutʃ̩u
răsculat	rəskulat
măntrebi	məntrebʲ
adorabil	adorabil
biosinteză	biosintezə
celest	tʃelest
îngropat	ɨnɡropat
mucilaginos	mutʃiladʒinos
ferestrei	ferestrej
prepelițoi	prepelitsoj
cisluit	tʃisluit
distrugător	distruɡətor
umane	umane
cebocefalie	tʃebotʃefalije
perceptor	pertʃeptor
hărtănire	hərtənire
ier	jer
medicament	medikament
costător	kostətor
uza	uza
proprietăreasă	proprijetərĕasə
solfatară	solfatarə
petrografic	petroɡrafik
îmbrânceală	ɨmbrɨntʃ̩alə
neâmprejmuit	neɨmpreʒmuit
suprafațat	suprafatsat
trandafir	trandafir
debuta	debuta
cronometru	kronometru
vizitiii	vizitiji
scufunda	skufunda
talianu	talijanu
teleghidat	telegʲ̩idat
semăluit	seməluit
fioritură	fioriturə
veștejiților	veʃteʒit͡silor
atletism	atletism
sfeterisit	sfeterisit
helioză	heliozə
optimetru	optimetru
zoofag	zoofaɡ
trombonire	trombonire
calmucesc	kalmutʃesk
pelasgic	pelasdʒik
apertură	aperturə
veste	veste
boricat	borikat
serviabil	servijabil
periesofagită	periesofadʒitə
resortisant	resortisant
căit	kəit
necorect	nekorekt
supraalbi	supraalbi
convecție	konvektsije
muzeografie	muzeoɡrafije
fenilhidrazină	fenilhidrazinə
tolstoian	tolstojan
micuț	mikuts
rivaliza	rivaliza
licurici	likuritʃʲ
adică	adikə
conăcărie	konəkərije
glastră	ɡlastrə
agrarian	aɡrarijan
boran	boran
fascina	fastʃina
ranfort	ranfort
plenipotență	plenipotentsə
baraj	baraʒ
deshidrogena	deshidrodʒena
indicanemie	indikanemije
neluare	neluware
gog	ɡoɡ
