ометяхте	o̝mɛtʲaxt̪ɛ
възпроизведе	vəspro̝izvɛd̪ɛ
бягаща	bʲaɡəʃt̪ə
почналите	pɔtʃnəlit̪ɛ
господарствувайки	ɡo̝spod̪arst̪vo̝vəjkʲi
предплащаното	prɛt̪pɫaʃt̪əno̝t̪o̝
мразихме	mrɐzixmɛ
прочитащият	protʃit̪əʃt̪ijət̪
отхапаният	ot̪xapənijət̪
училият	otʃilijət̪
счупилата	stʃupiɫət̪ə
разнесем	rəznɛsɛm
отключващ	ot̪klʲutʃvəʃt̪
коремест	korɛmɛst
абсолвентска	apsoɫvɛnskə
тръгваха	t̪rɐɡvaxə
заслужи	zɐsɫuʒi
греби	ɡrɛbi
отвлече	ot̪vlɛtʃɛ
съзрялото	sɐzrʲaɫo̝t̪o̝
чупете	tʃopɛt̪ɛ
обучаваният	o̝botʃavənijət̪
заподозирала	zəpo̝d̪oziɾəɫə
пристигнеше	prist̪iɡnɛʃɛ
аплодираната	apɫod̪iɾənət̪ə
започнатия	zɐpɔtʃnət̪ijə
прелъстяващ	prɛɫɐstʲavəʃt̪
строеното	st̪roɛno̝t̪o̝
загребяха	zəɡrɛbʲaxə
извличайки	izvlitʃəjkʲi
превела	prɛvɛɫə
вземала	vzɛməɫə
начетете	nətʃɛt̪ɛt̪ɛ
лижеща	liʒɛʃt̪ə
извеждането	izvɛʒd̪ənɛt̪o̝
доказвайте	d̪okazvəjt̪ɛ
играения	iɡraɛnijə
пялото	pʲaɫo̝t̪o̝
заслужаваше	zəsɫoʒavəʃɛ
завеждани	zɐvɛʒd̪əni
изпичали	ispitʃəli
изковях	iskovʲax
изговорени	izɡovɔɾɛni
допичащите	d̪opitʃəʃt̪it̪ɛ
счупехме	stʃupɛxmɛ
шиещи	ʃiɛʃt̪i
снасяхте	snasʲəxt̪ɛ
обезсмъртената	o̝bɛsmɐrt̪ɛnət̪ə
понесяха	po̝nɛsʲaxə
наплетения	nɐplɛt̪ɛnijə
насичащия	nɐsitʃəʃt̪ijə
благословила	bɫəɡosɫoviɫə
мечталата	mɛtʃt̪aɫət̪ə
занасяхме	zɐnasʲəxmɛ
срали	srali
прехапва	prɛxapvə
графология	ɡrəfolɔɡijə
напишехте	nɐpiʃɛxt̪ɛ
потушаващите	po̝t̪oʃavəʃt̪it̪ɛ
съчетаващият	sətʃɛt̪avəʃt̪ijət̪
закупували	zəkopuvəli
удовлетворим	o̝d̪o̝vlɛt̪vorim
метящ	mɛtʲaʃt̪
бомбардирайте	bombərd̪iɾəjt̪ɛ
препоръчвалата	prɛporɤtʃvəɫət̪ə
почналият	potʃnalijət̪
изнасяте	iznasʲət̪ɛ
агора	əɡɔrə
помаганета	pomaɡənɛt̪ə
ковяхте	kovʲaxt̪ɛ
отсече	o̝t̪sɛtʃɛ
искащите	iskəʃt̪it̪ɛ
озаглавяваното	o̝zəɡɫɐvʲavəno̝t̪o̝
завлечехме	zəvlɛtʃɛxmɛ
набодената	nɐbɔd̪ɛnət̪ə
възпряло	vɐsprʲaɫo̝
болото	bɔɫot̪o
хапалия	xɐpalijə
ебанета	ɛbanɛt̪ə
понапичащото	po̝nɐpitʃəʃt̪o̝t̪o̝
отхапвалият	ot̪xapvəlijət̪
изгребахме	izɡrɛbəxmɛ
поведеш	po̝vɛd̪ɛʃ
вълчица	vəltʃitsə
желаните	ʒɛɫanit̪ɛ
забранявало	zəbrɐnʲavəɫo̝
съветващ	sɐvɛt̪vəʃt̪
наказана	nɐkazənə
очаквайте	otʃakvəjt̪ɛ
траяния	t̪rajənijə
взимащия	vziməʃt̪ijə
отровили	ot̪rɔvili
дотечехме	d̪o̝t̪ɛtʃɛxmɛ
студентствам	st̪od̪ɛnt̪st̪vəm
насмиталия	nɐsmit̪əlijə
раняваха	rɐnʲavəxə
анулиращо	anuliɾəʃt̪o
играехте	iɡraɛxt̪ɛ
зашиели	zɐʃiɛli
слезе	slɛzɛ
примря	primrʲa
учихте	otʃixt̪ɛ
биеща	biɛʃt̪ə
шантажиращият	ʃənt̪ɐʒiɾəʃt̪ijət̪
чупил	tʃupiɫ
отболите	od̪bɔlit̪ɛ
пиши	piʃi
обичанетата	obitʃənɛt̪ət̪ə
коронясайте	ko̝ɾonʲasəjt̪ɛ
скубаното	skubəno̝t̪o̝
унищожен	o̝niʃt̪oʒɛn
подслушвалия	pot̪sɫuʃvəlijə
охранявайте	o̝xrɐnʲavəjt̪ɛ
надонесат	nəd̪o̝nɛsɤt̪
спасяваме	spɐsʲavəmɛ
влизаме	vlizəmɛ
препичаното	prɛpitʃəno̝t̪o̝
чествала	tʃɛst̪vaɫə
извлеклите	izvlɛklit̪ɛ
намекнехме	nɐmɛknɛxmɛ
пращахме	praʃt̪əxmɛ
поизмитан	po̝izmit̪ən
отварялият	ot̪varʲəlijət̪
посещаващ	po̝sɛʃt̪avəʃt̪
отричалите	ot̪ritʃəlit̪ɛ
запалваше	zɐpaɫvəʃɛ
благословяхме	bɫəɡosɫovʲaxmɛ
дъвкало	d̪ɤfkəɫo̝
препоръчвате	prɛporɤtʃvət̪ɛ
отичахме	ot̪itʃəxmɛ
почнала	potʃnaɫə
мазахме	mɐzaxmɛ
удовлетворявахме	o̝d̪o̝vlɛt̪vorʲavəxmɛ
повеждалата	povɛʒd̪əɫət̪ə
заплашвалото	zɐpɫaʃvəɫo̝t̪o̝
помел	pomɛɫ
взимащите	vziməʃt̪it̪ɛ
зрени	zrɛni
заредяха	zəɾɛdʲaxə
загинело	zɐɡʲinɛɫo̝
абонамент	əbonəmɛnt
въоръжих	vəo̝ɾɐʒix
написвай	nɐpisvəj
прощаващият	proʃt̪avəʃt̪ijət̪
играещия	iɡraɛʃt̪ijə
отсъстващото	ot̪sɤst̪vəʃt̪o̝t̪o̝
нахапани	nɐxapəni
господарствуваше	ɡo̝spod̪arst̪vo̝vəʃɛ
одобряването	o̝d̪obrʲavənɛt̪o̝
уволняваната	o̝voɫnʲavənət̪ə
зачете	zətʃɛt̪ɛ
оцветявалия	o̝t͡svɛtʲavəlijə
присъствах	prisɤst̪vəx
произнасяно	pro̝iznasʲəno̝
изсечения	issɛtʃɛnijə
заплашва	zɐpɫaʃvə
залязвалия	zɐlʲazvəlijə
лежехме	lɛʒɛxmɛ
подчертавалото	po̝t̪tʃɛrt̪avəɫo̝t̪o̝
смаже	smaʒɛ
потекох	pot̪ɛko̝x
преденият	prɛd̪ɛnijət̪
корящите	korʲaʃt̪it̪ɛ
отбождалият	od̪bɔʒd̪əlijət̪
нахапвайте	nɐxapvəjt̪ɛ
реалистичен	rɛəlistitʃɛn
мажещото	maʒɛʃt̪o̝t̪o̝
изнудват	iznud̪vət̪
купила	kopiɫə
вдишващия	vd̪iʃvəʃt̪ijə
почваща	pɔtʃvəʃt̪ə
отичайки	ot̪itʃəjkʲi
седящо	sɛdʲaʃt̪o̝
пронасялото	pronasʲəɫo̝t̪o̝
предсказаният	prɛt̪skazənijət̪
легнех	lɛɡnɛx
наизлизал	nəizlizəɫ
будещ	bud̪ɛʃt̪
изричалите	izritʃəlit̪ɛ
премрелите	prɛmrɛlit̪ɛ
състезавали	səst̪ɛzavəli
наречел	nəɾɛtʃɛɫ
обяснената	o̝bʲɐsnɛnət̪ə
грабилото	ɡrɐbiɫo̝t̪o̝
сядаше	sʲad̪əʃɛ
помагалите	po̝mɐɡalit̪ɛ
зачеваме	zɐtʃɛvəmɛ
създаващия	sɐzd̪avəʃt̪ijə
каза	kazə
надебеляло	nəd̪ɛbɛlʲaɫo̝
озаглавял	o̝zəɡɫɐvʲaɫ
нуждаене	noʒd̪aɛnɛ
разболявалият	rəzbolʲavəlijət̪
отречеш	o̝t̪rɛtʃɛʃ
виненета	vinɛnɛt̪ə
повтарялият	poft̪arʲəlijət̪
допринасяйте	d̪o̝prinasʲəjt̪ɛ
подвело	pod̪vɛɫo̝
опичана	opitʃənə
побеждават	po̝bɛʒd̪avət̪
обосновава	o̝bo̝snovavə
пренеслият	prɛnɛslijət̪
коренията	korɛnijət̪ə
отвеждащ	ot̪vɛʒd̪əʃt̪
спекохме	spɛko̝xmɛ
спестявана	spɛstʲavənə
помагалия	po̝mɐɡalijə
запреде	zəprɛd̪ɛ
наковели	nəkovɛli
изгребвайте	izɡrɛbvəjt̪ɛ
прозрелия	prozrɛlijə
заоряло	zəorʲaɫo̝
виниш	viniʃ
припичаната	pripitʃənət̪ə
насечеше	nəsɛtʃɛʃɛ
заслужени	zɐsɫuʒɛni
убивали	obivəli
близа	blizə
губеха	ɡubɛxə
разболявало	rəzbolʲavəɫo̝
аплодираните	apɫod̪iɾənit̪ɛ
вечерял	vɛtʃɛrʲəɫ
ходихме	xod̪ixmɛ
навлезлите	nɐvlɛzlit̪ɛ
попечали	po̝pɛtʃali
подчертавано	po̝t̪tʃɛrt̪avəno̝
говорилите	ɡovɔɾilit̪ɛ
повярвалият	povʲarvəlijət̪
прелъстят	prɛɫɐstʲɤt̪
молени	mɔlɛni
понавлизаме	po̝nɐvlizəmɛ
подслушана	pot̪sɫuʃənə
подобрява	po̝d̪obrʲavə
унесеше	o̝nɛsɛʃɛ
продаващото	prod̪avəʃt̪o̝t̪o̝
подкладено	pot̪kɫad̪ɛno̝
изплашеха	ispɫaʃɛxə
доплетоха	d̪oplɛt̪o̝xə
зачитана	zɐtʃit̪ənə
зачетях	zətʃɛtʲax
донасящи	d̪onasʲəʃt̪i
съзрат	sɐzrɤt̪
изреваващите	izrɛvavəʃt̪it̪ɛ
учехме	utʃɛxmɛ
обковяла	o̝pkovʲaɫə
изгубят	izɡubʲət̪
вдишай	vd̪iʃəj
навличайте	nɐvlitʃəjt̪ɛ
падалият	pɐd̪alijət̪
легнахте	lɛɡnəxt̪ɛ
изречах	izrɛtʃax
загубващо	zɐɡubvəʃt̪o̝
прочел	protʃɛɫ
очаквайки	otʃakvəjkʲi
наречеха	nəɾɛtʃɛxə
принеслата	prinɛsɫət̪ə
уволнен	o̝voɫnɛn
абсорбира	apsorbirə
прегърнете	prɛɡɐrnɛt̪ɛ
седете	sɛd̪ɛt̪ɛ
бременен	brɛmɛnɛn
арнаут	ərnəut
примиранетата	primiɾənɛt̪ət̪ə
залязохме	zɐlʲazo̝xmɛ
обучаваната	o̝botʃavənət̪ə
убеждаваше	o̝bɛʒd̪avəʃɛ
доказването	d̪okazvənɛt̪o̝
поопечехме	po̝o̝pɛtʃɛxmɛ
припечената	pripɛtʃɛnət̪ə
легализираща	lɛɡəliziɾəʃt̪ə
заплитаната	zɐplit̪ənət̪ə
зареваващия	zəɾɛvavəʃt̪ijə
предречах	prɛd̪rɛtʃax
безделничилите	bɛzd̪ɛɫnitʃilit̪ɛ
мразили	mrazili
казаха	kɐzaxə
корило	koriɫo̝
бушуващият	boʃuvəʃt̪ijət̪
излизането	izlizənɛt̪o̝
довличал	d̪ovlitʃəɫ
пристигащите	prist̪iɡəʃt̪it̪ɛ
сереш	sɛrɛʃ
речени	rɛtʃɛni
ухапващата	oxapvəʃt̪ət̪ə
обещалият	o̝bɛʃt̪alijət̪
съзряха	sɐzrʲaxə
предплащалият	prɛt̪pɫaʃt̪əlijət̪
погледнал	poɡlɛd̪nəɫ
уволняха	o̝voɫnʲaxə
пристигна	prist̪iɡnə
събуди	səbod̪i
започнеше	zɐpɔtʃnɛʃɛ
очакващото	otʃakvəʃt̪o̝t̪o̝
шибания	ʃibənijə
написвали	nɐpisvəli
печащи	pɛtʃaʃt̪i
залязвалата	zɐlʲazvəɫət̪ə
навлизащият	nɐvlizəʃt̪ijət̪
далият	d̪alijət̪
вечеряхме	vɛtʃɛrʲaxmɛ
отхапвани	ot̪xapvəni
простила	prost̪iɫə
отчитаната	ot̪tʃit̪ənət̪ə
съществуванетата	səʃt̪ɛst̪vuvənɛt̪ət̪ə
препичайки	prɛpitʃəjkʲi
зачевалата	zɐtʃɛvəɫət̪ə
свирахме	sviɾəxmɛ
попече	popɛtʃɛ
прегръщате	prɛɡrɤʃt̪ət̪ɛ
вземано	vzɛməno̝
изслушай	isɫuʃəj
строях	st̪rojax
въвреше	vəvrɛʃɛ
наранявалата	nəɾɐnʲavəɫət̪ə
дадената	d̪ad̪ɛnət̪ə
изплитащите	isplit̪əʃt̪it̪ɛ
смазания	smazənijə
привнесе	privnɛsɛ
чуел	tʃuɛɫ
разплакваните	rɐspɫakvənit̪ɛ
нагризете	nəɡrizɛt̪ɛ
глобявалото	ɡɫobʲavəɫo̝t̪o̝
млъкнало	mɫɐknaɫo̝
препоръчаните	prɛporɤtʃənit̪ɛ
купувам	kopuvəm
прочете	pro̝tʃɛt̪ɛ
посетяло	po̝sɛtʲaɫo̝
ходилото	xod̪iɫo̝t̪o̝
спряно	sprʲano
ранете	rɐnɛt̪ɛ
спасилото	spɐsiɫo̝t̪o̝
изнудихте	iznud̪ixt̪ɛ
написали	nɐpisəli
запечало	zəpɛtʃaɫo̝
засичането	zɐsitʃənɛt̪o̝
цупещи	t͡supɛʃt̪i
прочелата	protʃɛɫət̪ə
навестявай	nəvɛstʲavəj
продължехме	pro̝d̪ɐɫʒɛxmɛ
ебане	ɛbanɛ
отвлечено	ot̪vlɛtʃɛno̝
залезехте	zɐlɛzɛxt̪ɛ
поотичалите	po̝ot̪itʃəlit̪ɛ
забременяващо	zəbrɛmɛnʲavəʃt̪o̝
разнеслия	rɐznɛslijə
дъвчели	d̪ɤftʃɛli
заведяхме	zəvɛdʲaxmɛ
изпасените	ispasɛnit̪ɛ
напечена	nɐpɛtʃɛnə
побеждаваща	po̝bɛʒd̪avəʃt̪ə
отровеха	ot̪rɔvɛxə
наводнения	nəvod̪nɛnijə
обковаваш	o̝pkovavəʃ
опридаха	oprid̪əxə
отречаха	o̝t̪rɛtʃaxə
възпираш	vɐspiɾəʃ
навеждалия	nɐvɛʒd̪əlijə
заредял	zəɾɛdʲaɫ
изпичалите	ispitʃəlit̪ɛ
загиналия	zɐɡʲinəlijə
абдале	abd̪alɛ
създавал	sɐzd̪avəɫ
започващо	zɐpɔtʃvəʃt̪o̝
анулирайки	anuliɾəjkʲi
напечените	nɐpɛtʃɛnit̪ɛ
потъвалият	pot̪ɤvəlijət̪
нагребваното	nɐɡrɛbvəno̝t̪o̝
поопичайте	po̝opitʃəjt̪ɛ
уволнели	o̝voɫnɛli
наплитанията	nɐplit̪ənijət̪ə
насичащите	nɐsitʃəʃt̪it̪ɛ
извеждаше	izvɛʒd̪əʃɛ
избираното	izbiɾəno̝t̪o̝
кладохме	kɫad̪o̝xmɛ
прочитайте	protʃit̪əjt̪ɛ
безделничещо	bɛzd̪ɛɫnitʃɛʃt̪o
провираш	proviɾəʃ
загребвало	zɐɡrɛbvəɫo̝
изпасвалата	ispasvəɫət̪ə
насметях	nəsmɛtʲax
заплели	zɐplɛli
превеждане	prɛvɛʒd̪ənɛ
препечени	prɛpɛtʃɛni
питания	pit̪ənijə
използвана	ispɔɫzvənə
отвличаше	ot̪vlitʃəʃɛ
въвлечали	vəvlɛtʃali
написванетата	nɐpisvənɛt̪ət̪ə
зашиващите	zɐʃivəʃt̪it̪ɛ
купили	kupili
абсорбиралото	apsorbirəɫot̪o
изпеехме	ispɛɛxmɛ
убедиха	o̝bɛd̪ixə
чупеният	tʃupɛnijət̪
обясняващите	o̝bʲɐsnʲavəʃt̪it̪ɛ
завлечали	zəvlɛtʃali
лекомислен	lɛkomislɛn
танцувана	t̪ɐnt͡suvənə
разходен	rɐsxɔd̪ɛn
подчертаели	po̝t̪tʃɛrt̪aɛli
посъветваното	po̝sɐvɛt̪vəno̝t̪o̝
допиранетата	d̪opiɾənɛt̪ət̪ə
запичайте	zɐpitʃəjt̪ɛ
надонесете	nəd̪o̝nɛsɛt̪ɛ
посещаваният	po̝sɛʃt̪avənijət̪
сприятелите	sprijət̪ɛlit̪ɛ
обещаван	o̝bɛʃt̪avən
напичали	nɐpitʃəli
зашият	zɐʃijət̪
изтървавалите	ist̪ɐrvavəlit̪ɛ
допечело	d̪o̝pɛtʃɛɫo̝
засечеха	zəsɛtʃɛxə
доплиталата	d̪oplit̪əɫət̪ə
чембало	tʃɛmbəlo
губената	ɡubɛnət̪ə
отнасяйте	ot̪nasʲəjt̪ɛ
припичаният	pripitʃənijət̪
играенета	iɡraɛnɛt̪ə
наказалото	nɐkazəɫo̝t̪o̝
отичалия	ot̪itʃəlijə
отбождало	od̪bɔʒd̪əɫo̝
извежданите	izvɛʒd̪ənit̪ɛ
препоръчан	prɛporɤtʃən
влюбване	vlʲubvənɛ
упрекнаха	oprɛknəxə
преживявалия	prɛʒivʲavəlijə
измитащият	izmit̪əʃt̪ijət̪
изтичащата	ist̪itʃəʃt̪ət̪ə
говорещата	ɡovɔɾɛʃt̪ət̪ə
лизали	lizali
изговаряния	izɡovarʲənijə
подкупело	pot̪kupɛɫo̝
закупуваща	zəkopuvəʃt̪ə
допирах	d̪opiɾəx
живялото	ʒivʲaɫot̪o
изгризвана	izɡrizvənə
възпроизведох	vəspro̝izvɛd̪o̝x
разболяването	rəzbolʲavənɛt̪o̝
умряхте	umrʲaxt̪ɛ
заораваше	zəoravəʃɛ
дебелеейки	d̪ɛbɛlɛɛjkʲi
опечем	o̝pɛtʃɛm
будилият	bud̪ilijət̪
метейки	mɛt̪ɛjkʲi
мечтаенета	mɛtʃt̪aɛnɛt̪ə
загребяхте	zəɡrɛbʲaxt̪ɛ
прочетените	protʃɛt̪ɛnit̪ɛ
забранявал	zəbrɐnʲavəɫ
подкладели	po̝t̪kɫɐd̪ɛli
изревах	izrɛvax
обезсмъртила	o̝bɛsmɐrt̪iɫə
честваха	tʃɛst̪vaxə
простираната	prost̪iɾənət̪ə
удовлетворяващия	o̝d̪o̝vlɛt̪vorʲavəʃt̪ijə
навестял	nəvɛstʲaɫ
загребалия	zɐɡrɛbəlijə
навличаше	nɐvlitʃəʃɛ
опредат	o̝prɛd̪ɤt̪
наемела	nɐɛmɛɫə
целунатия	t͡sɛɫunət̪ijə
изминаваш	izminavəʃ
заспял	zəspʲaɫ
аберациите	abɛɾatsiit̪ɛ
забравилите	zɐbravilit̪ɛ
изтърваха	ist̪ɐrvaxə
окрадвало	okrad̪vəɫo̝
прозирайте	proziɾəjt̪ɛ
пристигнехме	prist̪iɡnɛxmɛ
влюбвалата	vlʲubvəɫət̪ə
сушило	soʃiɫo̝
млъкнело	mɫɤknɛɫo̝
помогни	po̝moɡni
построявала	po̝st̪rojavəɫə
хапалите	xɐpalit̪ɛ
решавала	rɛʃavəɫə
втечнявалите	ft̪ɛtʃnʲavəlit̪ɛ
обясняващият	o̝bʲɐsnʲavəʃt̪ijət̪
сяклото	sʲakɫo̝t̪o̝
наплитаната	nɐplit̪ənət̪ə
лежанията	lɛʒanijət̪ə
запалихте	zɐpalixt̪ɛ
евтин	ɛftin
боядисало	bo̝jɐd̪isəɫo̝
наранилата	nəɾɐniɫət̪ə
гребяха	ɡrɛbʲaxə
наречаха	nəɾɛtʃaxə
гребано	ɡrɛbəno̝
довличани	d̪ovlitʃəni
видехме	vid̪ɛxmɛ
забравянетата	zɐbravʲənɛt̪ət̪ə
изчетохме	istʃɛt̪o̝xmɛ
евнух	ɛvnux
навличана	nɐvlitʃənə
стага	staɡə
изгризани	izɡrizani
вършееш	vɐrʃɛɛʃ
кървенето	kɐrvɛnɛt̪o̝
заподозиране	zəpo̝d̪oziɾənɛ
напредвали	nɐprɛd̪vəli
наеманетата	nɐɛmənɛt̪ət̪ə
авторски	aftorskʲi
тръгналото	t̪rɤɡnəɫo̝t̪o̝
прегръщалият	prɛɡrɤʃt̪əlijət̪
занасяли	zɐnasʲəli
заречено	zɐrɛtʃɛno̝
грабихме	ɡrɐbixmɛ
удовлетворяваната	o̝d̪o̝vlɛt̪vorʲavənət̪ə
боядисваха	bo̝jɐd̪isvəxə
припрели	priprɛli
чухме	tʃuxmɛ
почнахме	potʃnaxmɛ
мечтаеш	mɛtʃt̪aɛʃ
отреклата	ot̪rɛkɫət̪ə
дъвчене	d̪ɤftʃɛnɛ
наказваме	nɐkazvəmɛ
целувалият	t͡sɛɫuvəlijət̪
извличаш	izvlitʃəʃ
разходихте	rɐsxɔd̪ixt̪ɛ
затичали	zɐt̪itʃəli
срещната	srɛʃnət̪ə
помогнем	pomɔɡnɛm
зовящ	zovʲaʃt̪
разлюбваните	rɐzlʲubvənit̪ɛ
подкупвало	pot̪kupvəɫo̝
втечняваният	ft̪ɛtʃnʲavənijət̪
четящият	tʃɛtʲaʃt̪ijət̪
обковавана	o̝pkovavənə
състезаваш	səst̪ɛzavəʃ
отсечен	ot̪sɛtʃɛn
извеждалите	izvɛʒd̪əlit̪ɛ
доказвайки	d̪okazvəjkʲi
ползвала	poɫzvaɫə
замело	zɐmɛɫo̝
поотеклата	po̝ot̪ɛkɫət̪ə
пърденетата	pɐrd̪ɛnɛt̪ət̪ə
прозрян	prozrʲan
възпроизвеждащо	vəspro̝izvɛʒd̪əʃt̪o̝
възнесли	vəznɛsli
обещаващо	o̝bɛʃt̪avəʃt̪o̝
решаваше	rɛʃavəʃɛ
опекат	o̝pɛkɤt̪
отмряло	ot̪mrʲaɫo̝
продала	prod̪aɫə
препрочитана	prɛprotʃit̪ənə
честитяхте	tʃɛst̪itʲaxt̪ɛ
анатемосвах	anət̪ɛmɔsvəx
излизанията	izlizənijət̪ə
анатемосваш	anət̪ɛmɔsvəʃ
припиращо	pripiɾəʃt̪o̝
нагризали	nɐɡrizəli
набождалият	nɐbɔʒd̪əlijət̪
окрадващият	okrad̪vəʃt̪ijət̪
премирам	prɛmiɾəm
уволнените	o̝voɫnɛnit̪ɛ
въведяхме	vəvɛdʲaxmɛ
накълваваме	nəkɐɫvavəmɛ
изковаван	iskovavən
опасваните	opasvənit̪ɛ
доплитана	d̪oplit̪ənə
допринасялите	d̪o̝prinasʲəlit̪ɛ
премирахме	prɛmiɾəxmɛ
разнасяла	rɐznasʲəɫə
подобрявате	po̝d̪obrʲavət̪ɛ
забранявах	zəbrɐnʲavəx
близани	blizəni
отчетеше	ot̪tʃɛt̪ɛʃɛ
адресирани	ad̪rɛsiɾəni
изплашваният	ispɫaʃvənijət̪
давалото	d̪avəɫo̝t̪o̝
зареваванетата	zəɾɛvavənɛt̪ət̪ə
скубалите	skubəlit̪ɛ
моленето	mɔlɛnɛt̪o̝
ухапва	oxapvə
легализираха	lɛɡəliziɾəxə
продължила	pro̝d̪ɐɫʒiɫə
загивал	zɐɡʲivəɫ
зачетена	zɐtʃɛt̪ɛnə
възлизания	vəzlizənijə
събуждане	sɐbuʒd̪ənɛ
спичаща	spitʃəʃt̪ə
доеният	d̪oɛnijət̪
нараняващия	nəɾɐnʲavəʃt̪ijə
обезглавете	o̝bɛzɡɫɐvɛt̪ɛ
гребял	ɡrɛbʲaɫ
носорогът	nosorɔɡət
подпишели	pot̪piʃɛli
потъванетата	pot̪ɤvənɛt̪ət̪ə
навиралата	nɐviɾəɫət̪ə
попечахте	po̝pɛtʃaxt̪ɛ
охраняваното	o̝xrɐnʲavəno̝t̪o̝
изчитахме	istʃit̪əxmɛ
изминели	izminɛli
шиенията	ʃiɛnijət̪ə
повличащо	povlitʃəʃt̪o̝
надебеляване	nəd̪ɛbɛlʲavənɛ
осиновявате	o̝sinovʲavət̪ɛ
донесели	d̪o̝nɛsɛli
помогнехме	pomɔɡnɛxmɛ
летяща	lɛtʲaʃt̪ə
препрочитаното	prɛprotʃit̪əno̝t̪o̝
доплитани	d̪oplit̪əni
допрялата	d̪oprʲaɫət̪ə
опасената	opasɛnət̪ə
бомбардиращите	bombərd̪iɾəʃt̪it̪ɛ
подобрявалото	po̝d̪obrʲavəɫo̝t̪o̝
зовахте	zovaxt̪ɛ
потекли	pot̪ɛkli
боядисания	bo̝jɐd̪isənijə
убихте	obixt̪ɛ
прегръщай	prɛɡrɤʃt̪əj
доказват	d̪okazvət̪
надвнасяне	nɐd̪vnasʲənɛ
довличало	d̪ovlitʃəɫo̝
заплитаното	zɐplit̪əno̝t̪o̝
бягания	bʲaɡənijə
отравялата	ot̪ravʲəɫət̪ə
оцеляващото	o̝t͡sɛlʲavəʃt̪o̝t̪o̝
умиралите	omiɾəlit̪ɛ
обича	obitʃə
изораваха	izoravəxə
наводняван	nəvod̪nʲavən
заведени	zɐvɛd̪ɛni
запалилите	zɐpalilit̪ɛ
спестяваното	spɛstʲavəno̝t̪o̝
възпроизвеждал	vəspro̝izvɛʒd̪əɫ
обосноваваната	o̝bo̝snovavənət̪ə
нагребяхте	nəɡrɛbʲaxt̪ɛ
охранявахте	o̝xrɐnʲavəxt̪ɛ
подобрени	po̝d̪obrɛni
наказвани	nɐkazvəni
обковавал	o̝pkovavəɫ
мълчал	mɐɫtʃaɫ
обезглавят	o̝bɛzɡɫɐvʲɤt̪
строеше	st̪roɛʃɛ
греба	ɡrɛbɤ
отсичали	ot̪sitʃəli
запрях	zɐprʲax
боядисвай	bo̝jɐd̪isvəj
прехапвалият	prɛxapvəlijət̪
пиело	piɛɫo̝
повежданета	povɛʒd̪ənɛt̪ə
поопекъл	po̝opɛkəɫ
навиращите	nɐviɾəʃt̪it̪ɛ
плащащите	pɫaʃt̪əʃt̪it̪ɛ
предскажат	prɛt̪skaʒət̪
гласувалия	ɡɫɐsuvəlijə
обличанета	oblitʃənɛt̪ə
падналата	pɐd̪naɫət̪ə
препоръчалите	prɛporɤtʃəlit̪ɛ
забравеният	zɐbravɛnijət̪
възпроизведен	vəspro̝izvɛd̪ɛn
унасяше	onasʲəʃɛ
превъзнесе	prɛvɐznɛsɛ
ебаха	ɛbaxə
търсеха	t̪ɤrsɛxə
завира	zɐviɾə
произнесеният	pro̝iznɛsɛnijət̪
навирания	nɐviɾənijə
обезсмъртяващия	o̝bɛsmɐrtʲavəʃt̪ijə
доена	d̪oɛnə
докажел	d̪okaʒɛɫ
лъжем	ɫɤʒɛm
обличайки	oblitʃəjkʲi
вряно	vrʲano
принуждавала	prinoʒd̪avəɫə
поднесеш	po̝d̪nɛsɛʃ
отмрялото	ot̪mrʲaɫo̝t̪o̝
зачитащата	zɐtʃit̪əʃt̪ət̪ə
наковалото	nəkovaɫo̝t̪o̝
отсякохме	ot̪sʲako̝xmɛ
изтечел	ist̪ɛtʃɛɫ
отболия	od̪bɔlijə
въвиращият	vəviɾəʃt̪ijət̪
петите	pɛt̪it̪ɛ
внасяло	vnasʲəɫo
тресене	t̪rɛsɛnɛ
подпиране	pot̪piɾənɛ
произнасящо	pro̝iznasʲəʃt̪o̝
сприятелеше	sprijət̪ɛlɛʃɛ
даващият	d̪avəʃt̪ijət̪
обичалата	obitʃəɫət̪ə
изчезналата	istʃɛznəɫət̪ə
понесла	ponɛsɫə
прочиташ	protʃit̪əʃ
прехапващо	prɛxapvəʃt̪o̝
наковавахте	nəkovavəxt̪ɛ
заврелият	zɐvrɛlijət̪
изнесена	iznɛsɛnə
опридащата	oprid̪əʃt̪ət̪ə
ебящо	ɛbʲaʃt̪o
лесен	lɛsɛn
съобщаваш	səopʃt̪avəʃ
ранявал	rɐnʲavəɫ
отсъствахме	ot̪sɤst̪vəxmɛ
злоупотребявате	zɫo̝o̝po̝t̪rɛbʲavət̪ɛ
забравила	zɐbraviɫə
повтарялия	poft̪arʲəlijə
свреше	svrɛʃɛ
разболях	rəzbolʲax
продаваше	prod̪avəʃɛ
построил	po̝st̪roiɫ
спечело	spɛtʃɛɫo̝
допринесохте	d̪o̝prinɛso̝xt̪ɛ
избождане	izbɔʒd̪ənɛ
пестихте	pɛst̪ixt̪ɛ
създавано	sɐzd̪avəno̝
изпасли	ispasli
погребеш	po̝ɡrɛbɛʃ
отсяклата	ot̪sʲakɫət̪ə
намекнала	nɐmɛknəɫə
възлязлото	vəzlʲazɫot̪o
засечеше	zəsɛtʃɛʃɛ
