берлегендәге	bˌerleɣendˈæɣe
Бәширов	bæʃˈirow
кешелек	keʃˈelek
КПСС	kpss
көлгән	kˈœlɣæn
Элемтә	elˈemtæ
очы	ˈoɕɯ
сөйли	sœˈɪli
Мединский	mˌedinskˈiɪ
Үзем	ˈyzem
медицинасы	mˌeditsinˈɑsɯ
ансамблендә	ˌɒnsɒmbɫˈendæ
Мәдрәсә	mædrˈæsæ
ярышка	jɑrˈɯʃqɑ
кабатланды	qˌɒbɒtɫˈɑndɯ
төшерүгә	tˌœʃerˈyɣæ
бабае	bɒbˈɒe
яңгырата	jˌɑŋʁɯrˈɑtɑ
акциянең	ˌɒqtsijˈæneŋ
сөйләшик	sˌœɪlˈæʃik
мәхәббәте	mˌæxæbbˈæte
килмәдек	kilmˈædek
күгәрчен	kyɣˈærɕen
шаукымы	ʃˌɒuqˈɯmɯ
утырып	utˈɯrɯp
көнге	kˈœŋɣe
яшьтә	jˈæʃʔtæ
төрле	tˈœrle
язылачак	jˌɑzɯɫˈɑɕɑq
солдатлары	sˌoɫdɑtɫˈɑrɯ
котылып	qotˈɯɫɯp
Аделаида	ˌɒdeɫɑˈidɑ
атларга	ɒtɫˈɒrʁɑ
Әнә	ˈænæ
өстәләчәк	ˌœstælˈæɕæk
каплый	qˈɒpɫɯj
фиркасен	firqˈɑsen
Малайзиядән	mˌɒɫɒˌɪzijˈædæn
Ягъкубның	jɑʁʔqˈubnɯŋ
алынырга	ˌɒɫɯnˈɯrʁɑ
Җыенда	ʑɯˈendɑ
казакъ	qˈɒzɒqʔ
Түрәләр	tyrˈælær
төзеләчәк	tˌœzelˈæɕæk
туачак	tuˈɑɕɑq
кисәтүләр	kˌisætˈylær
үзгәртү	yzɣˈærty
җиткерә	ʑitkˈeræ
Ял	jˈɑɫ
өстәге	œstˈæɣe
йөзләре	ˌɪœzlˈære
булырга	buɫˈɯrʁɑ
Карпов	qˈɒrpow
әзерлим	æzˈerlim
Күпмедер	kypmˈeder
актлар	ˈɒqtɫɒr
музейлар	mˌuzeˈɪɫɑr
йөрәгем	ˌɪœrˈæɣem
Микеев	mikˈeew
кардәшләребезне	qˌɒrdæʃlˌærebˈezne
турала	turˈɑɫɑ
комитетта	qˌomitˈettɑ
белгечләрен	bˌelɣeɕlˈæren
Зариповның	zˌɒripˈownɯŋ
Хөсәенов	xˌœsæˈenow
һәртөрле	hærtˈœrle
табибларга	tˌɒbibɫˈɑrʁɑ
продюсеры	prˌodjysˈerɯ
Прокурор	proqˈuror
игътибар	iɣʔtˈibɑr
кинолар	kinˈoɫɑr
туктата	tuqtˈɑtɑ
драматурглар	drˌɒmɒtˈurʁɫɑr
бармаячак	bˌɒrmɒjˈɑɕɑq
эчә	ˈeɕæ
Гыйракта	ʁɯjrˈɑqtɑ
тәртипләр	tærtˈiplær
көнкүрештә	kˌœnkyrˈeʃtæ
ризалыгы	rˌizɑɫˈɯʁɯ
Илһами	iɫhˈɑmi
Ялта	jˈɑɫtɑ
биргәндә	birɣˈændæ
кичләрен	kiɕlˈæren
Гүләнгә	ɣylˈæŋɣæ
меңәр	mˈeŋær
күпләре	kyplˈære
атасының	ˌɒtɒsˈɯnɯŋ
сораучы	sˌorɑˈuɕɯ
н	ˈen
ителгәне	ˌitelɣˈæne
бастыруда	bˌɒstɯrˈudɑ
Авылларда	ˌɑwɯɫɫˈɑrdɑ
таратылды	tˌɒrɒtˈɯɫdɯ
бакчаларында	bˌɒqɕɒɫɑrˈɯndɑ
андыйларга	ˌɒndɯjɫˈɑrʁɑ
проблема	probɫˈemɑ
Украинаны	ˌuqrɑinˈɑnɯ
июньнән	ijˈynʔnæn
ачу	ˈɒɕu
урынына	ˌurɯnˈɯnɑ
мәктәпләрен	mˌæktæplˈæren
тотындык	totˈɯndɯq
Тадич	tˈɒdiɕ
өскә	ˈœskæ
Җанисәп	ʑɒnˈisæp
нур	nˈur
булдыруда	bˌuɫdɯrˈudɑ
Наумкин	nɒˈumqin
ыргытып	ɯrʁˈɯtɯp
вәкиленең	wˌækilˈeneŋ
Кремль	krˈemlʔ
ачар	ˈɒɕɒr
сөйләшүләрне	sˌœɪlˌæʃylˈærne
аралаштым	ˌɒrɒɫˈɑʃtɯm
микәнни	mikˈænni
кече	kˈeɕe
әңгәмәбез	ˌæŋɣæmˈæbez
вазифаларына	wˌɒzifˌɑɫɑrˈɯnɑ
эзли	ˈezli
иткәнне	itkˈænne
Җирле	ʑˈirle
Митингка	mitˈiŋʁqɑ
юып	jˈuɯp
кулга	qˈuɫʁɑ
губернаторларны	ʁˌubernˌɑtorɫˈɑrnɯ
газеталарында	ʁˌɒzetˌɑɫɑrˈɯndɑ
сыйныф	sˈɯjnɯf
әйтеүенсә	ˌæɪtˌeyˈensæ
мәнфәгатьләрендә	mˌænfæʁˌɑtʔɫærˈendæ
әйтмиләр	ˌæɪtmˈilær
тыныч	tˈɯnɯɕ
сумнар	sˈumnɑr
бәясен	bæjˈæsen
исеменә	ˌisemˈenæ
кулланыш	quɫɫˈɑnɯʃ
тар	tˈɒr
арабыздан	ˌɒrɒbˈɯzdɑn
хуҗалары	xˌuʑɑɫˈɑrɯ
тәнле	tˈænle
күпмедер	kypmˈeder
проблемаларын	prˌobɫemɑɫˈɑrɯn
бүләк	bˈylæk
тартма	tˈɒrtmɒ
ишетәм	iʃˈetæm
православие	prˌɑwosɫɑwˈie
бил	bˈil
китабына	kˌitɑbˈɯnɑ
басым	bˈɒsɯm
Ватан	wˈɒtɒn
демократиянең	dˌemoqrˌɑtijˈæneŋ
парады	pɒrˈɒdɯ
салып	sˈɒɫɯp
чалбар	ɕˈɒɫbɒr
масса	mˈɒssɒ
төбәкләрендә	tˌœbæklærˈendæ
булачакбыз	bˌuɫɑɕˈɑqbɯz
Шәҗәрә	ʃæʑˈæræ
ашый	ˈɒʃɯj
лицейда	lˌitseˈɪdɑ
уйгырларның	ˌuɪʁɯrɫˈɑrnɯŋ
Чыгыш	ɕˈɯʁɯʃ
бите	bˈite
университетның	ˌuniwˌersitˈetnɯŋ
ныгытып	nɯʁˈɯtɯp
революциягә	rˌewoɫjˌytsijˈæɣæ
волонтерлар	wˌoɫontˈerɫɑr
нигездә	niɣˈezdæ
Заря	zˈɒrjɑ
Милләтнең	millˈætneŋ
вакыйгаларыннан	wˌɒqɯjʁˌɑɫɑrˈɯnnɑn
литр	lˈitr
Әфлисун	æflˈisun
компьютерлар	qˌompʔjytˈerɫɑr
тәнкыйтьләү	tˌænqɯjtʔɫˈæy
әңгәмәләр	ˌæŋɣæmˈælær
урынының	ˌurɯnˈɯnɯŋ
түрәләр	tyrˈælær
сөенеч	sœˈeneɕ
чактан	ɕˈɒqtɒn
тарихчылары	tˌɒrixɕɯɫˈɑrɯ
телне	tˈelne
аңлату	ɒŋɫˈɒtu
нәрсәсе	nærsˈæse
баруына	bˌɒruˈɯnɑ
Иле	ˈile
укымаган	ˌuqɯmˈɑʁɑn
байрагын	bˌɒɪrˈɑʁɯn
буталып	butˈɑɫɯp
Константинополь	qˌonstɑntinˈopoɫʔ
Британ	brˈitɑn
бакчада	bɒqɕˈɒdɑ
мөстәкыйльлекне	mˌœstæqɯjɫʔɫˈekne
диварына	dˌiwɑrˈɯnɑ
юлчы	jˈuɫɕɯ
әниемә	ˌæniˈemæ
ятса	jˈɑtsɑ
канат	qˈɒnɒt
Оренбурдан	ˌorenbˈurdɑn
автобусларда	ˌɑwtobusɫˈɑrdɑ
Йөз	ˈɪœz
егетләре	jˌeɣetlˈære
казна	qˈɒznɒ
исемлектәге	ˌisemlektˈæɣe
җиңелгән	ʑiŋˈelɣæn
секция	sektsˈijæ
Чечнянең	ɕeɕnjˈæneŋ
билгеләүдә	bˌilɣelæˈydæ
торгызырга	tˌorʁɯzˈɯrʁɑ
өйләрен	ˌœɪlˈæren
хәбәрдар	xæbˈærdɑr
әхлак	ˈæxɫɑq
икәне	ikˈæne
теләк	tˈelæk
проектларга	prˌoeqtɫˈɑrʁɑ
укыса	uqˈɯsɑ
үткәрә	ytkˈæræ
үтерелүе	ˌyterelˈye
территория	tˌerritorˈijæ
Чехиядән	ɕˌexijˈædæn
Кушлавыч	quʃɫˈɑwɯɕ
Җүнәйт	ʑynˈæɪt
ҡаршы	qˈɒrʃɯ
илләреннән	ˌillærˈennæn
конгрессның	qoŋʁrˈessnɯŋ
биналарга	bˌinɑɫˈɑrʁɑ
сурәтен	surˈæten
Бәйрәмдә	bˌæɪrˈæmdæ
адвокатларны	ˌɒdwoqɑtɫˈɑrnɯ
кафедра	qɒfˈedrɑ
Башинформ	bɒʃˈinform
Язучының	jˌɑzuɕˈɯnɯŋ
Гагауз	ʁɒʁˈɒuz
Керәшеннәр	kˌeræʃˈennær
карашларын	qˌɒrɒʃɫˈɑrɯn
сөнниләр	sœnnˈilær
таныйлар	tɒnˈɯjɫɑr
элементлар	ˌelemˈentɫɑr
җыеннары	ʑˌɯennˈɑrɯ
калдырдык	qɒɫdˈɯrdɯq
сыйфатны	sɯjfˈɑtnɯ
чиген	ɕˈiɣen
ҡалаһында	qˌɒɫɒhˈɯndɑ
китерделәр	kˌiterdˈelær
һәркемнең	hærkˈemneŋ
алмаса	ɒɫmˈɒsɑ
конгрессны	qoŋʁrˈessnɯ
Канал	qˈɒnɒɫ
музыкада	mˌuzɯqˈɑdɑ
Андреев	ɒndrˈeew
китүен	kitˈyen
июлендә	ˌijylˈendæ
кәгазьләр	kæʁˈɑzʔɫær
төркемнән	tœrkˈemnæn
тиражны	tirˈɑʒnɯ
органы	orʁˈɑnɯ
украиннарга	ˌuqrɑinnˈɑrʁɑ
туганда	tuʁˈɑndɑ
әзермен	æzˈermen
якынаерга	jˌɑqɯnɑˈerʁɑ
бәйрәмендә	bˌæɪræmˈendæ
Урысның	urˈɯsnɯŋ
бюджетының	bjˌydʒetˈɯnɯŋ
упкынга	upqˈɯŋʁɑ
гитара	ɣitˈɑrɑ
диючеләр	dˌijyɕˈelær
Стәрлебаш	stærlˈebɑʃ
ертып	jˈɯrtɯp
тәнкыйть	tˈænqɯjtʔ
элү	ˈely
теләп	tˈelæp
җитештерә	ʑˌiteʃtˈeræ
чараның	ɕɒrˈɒnɯŋ
төшенкелек	tˌœʃenkˈelek
ясаучыларны	jˌɑsɑˌuɕɯɫˈɑrnɯ
Гаҗәеп	ʁɒʑˈæep
фирканең	firqˈɑneŋ
универсаль	ˌuniwˈersɑɫʔ
югалган	juʁˈɑɫʁɑn
Үзең	ˈyzeŋ
килешүдә	kˌileʃˈydæ
тапшыруларга	tˌɒpʃɯruɫˈɑrʁɑ
уртаклашкан	ˌurtɑqɫˈɑʃqɑn
дөньясына	dˌœnʔjæsˈɯnɑ
федераль	fedˈerɑɫʔ
кысаларында	qˌɯsɑɫɑrˈɯndɑ
тотылды	totˈɯɫdɯ
динен	dˈinen
Кавказдагы	qˌɑwqɑzdˈɑʁɯ
әсәрләрдә	ˌæsærlˈærdæ
Хаҗга	xˈɒʑʁɒ
Урам	ˈurɑm
расачыл	rɒsˈɒɕɯɫ
сүтәргә	sytˈærɣæ
соңгы	sˈoŋʁɯ
дәүләтләрнең	dˌæylætlˈærneŋ
Израильнең	ˌizrɑˈilʔneŋ
том	tˈom
Насыйриның	nˌɒsɯjrˈinɯŋ
яшәгәндә	jˌæʃæɣˈændæ
ачып	ˈɒɕɯp
Газ	ʁˈɒz
заманда	zɒmˈɒndɑ
Әмирханнар	ˌæmirxˈɑnnɑr
исламчылар	ˌisɫɑmɕˈɯɫɑr
мөлкәтен	mœlkˈæten
Кырымтатарлар	qˌɯrɯmtɑtˈɑrɫɑr
идәрәсе	ˌidærˈæse
гаепләүләрне	ʁˌɒeplˌæylˈærne
сайтта	sɒˈɪttɑ
Аллаһтан	ɒɫɫˈɒhtɑn
сектор	sˈeqtor
хыял	xˈɯjɑɫ
Когалымавиа	qˌoʁɑɫˌɯmɑwˈiɑ
кебекләрне	kˌebeklˈærne
нәзарәткә	nˌæzɑrˈætkæ
уртаклашВконтакте	urtˈɑqɫɑʃwqontˈɑqte
җимерергә	ʑˌimerˈerɣæ
башыбызга	bˌɒʃɯbˈɯzʁɑ
журналы	ʒurnˈɑɫɯ
Җиһангир	ʑihˈɑŋʁir
җырчылардан	ʑˌɯrɕɯɫˈɑrdɑn
Сәхәбетдинов	sˌæxæbetdˈinow
начараеп	nˌɒɕɒrˈɑep
дизайн	dizˈɑɪn
Гыйракка	ʁɯjrˈɑqqɑ
кырымтатарлардан	qˌɯrɯmtˌɑtɑrɫˈɑrdɑn
күтәрелеш	kˌytærˈeleʃ
каршылыкка	qˌɒrʃɯɫˈɯqqɑ
академиясенә	ˌɒqɒdˌemijæsˈenæ
соклана	soqɫˈɑnɑ
утырам	utˈɯrɑm
фотоларны	fˌotoɫˈɑrnɯ
имамлык	imˈɑmɫɯq
Каталониянең	qˌɒtɒɫˌonijˈæneŋ
Сираҗи	sirˈɑʑi
күрсәткәне	kˌyrsætkˈæne
заманына	zˌɒmɒnˈɯnɑ
җиткереп	ʑitkˈerep
җитештерүчеләргә	ʑˌiteʃtˌeryɕelˈærɣæ
фаш	fˈɒʃ
эшенең	eʃˈeneŋ
якынаюы	jˌɑqɯnɑjˈuɯ
укыйсы	uqˈɯjsɯ
урыстан	urˈɯstɑn
Һитлерның	hitlˈernɯŋ
чәчләре	ɕæɕlˈære
бармы	bˈɒrmɯ
портында	portˈɯndɑ
хезмәткәрләрне	xˌezmætkærlˈærne
Луиз	ɫˈuiz
бәрәкәтле	bˌærækˈætle
Мадрид	mˈɒdrid
архивы	ɒrxˈiwɯ
якыннан	jɑqˈɯnnɑn
фильмны	fˈiɫʔmnɯ
гомере	ʁomˈere
бернидән	bernˈidæn
Кирәк	kˈiræk
борчылмый	borɕˈɯɫmɯj
җанлану	ʑɒnɫˈɒnu
ипле	ˈiple
сатарга	sɒtˈɒrʁɑ
Саркози	sɒrqˈozi
консуллыгы	qˌonsuɫɫˈɯʁɯ
очрашуына	ˌoɕrɑʃuˈɯnɑ
Ижауда	ˌiʒɑˈudɑ
Евгения	jˌewɣenˈijæ
Сабирова	sˌɒbirˈowɑ
тапшырылган	tˌɒpʃɯrˈɯɫʁɑn
тәмамланмаган	tˌæmɑmɫɑnmˈɑʁɑn
сөйләшүчеләрнең	sˌœɪlˌæʃyɕelˈærneŋ
очкычларының	ˌoɕqɯɕɫɑrˈɯnɯŋ
Муйжниекс	mˌuɪʒnˈieks
гәүдәсен	ɣˌæydˈæsen
борчылабыз	bˌorɕɯɫˈɑbɯz
ягының	jɑʁˈɯnɯŋ
донъя	dˈonʔjɑ
кулланучылар	qˌuɫɫɑnuɕˈɯɫɑr
чакырдылар	ɕˌɒqɯrdˈɯɫɑr
кичектереп	kˌiɕektˈerep
Туфанның	tufˈɑnnɯŋ
юмор	jˈumor
хуҗабикә	xˌuʑɑbˈikæ
Акмәчәттә	ˌɒqmæɕˈættæ
Кырымга	qɯrˈɯmʁɑ
барсалар	bɒrsˈɒɫɑr
батырлыклары	bˌɒtɯrɫɯqɫˈɑrɯ
гынамы	ʁɯnˈɑmɯ
сыйфатсыз	sɯjfˈɑtsɯz
индустрия	ˌindustrˈijæ
проспектында	prˌospeqtˈɯndɑ
булудан	buɫˈudɑn
Дегерменджи	dˌeɣermˈendʒi
һөҗүмне	hœʑˈymne
Идел	ˈidel
Русиядә	rˌusijˈædæ
өйләнергә	ˌœɪlænˈerɣæ
репрессияләргә	rˌepressˌijælˈærɣæ
уңышлы	uŋˈɯʃɫɯ
тамгасы	tɒmʁˈɒsɯ
талибан	tɒɫˈibɑn
аңларлык	ɒŋɫˈɒrɫɯq
Польшага	poɫʔʃˈɑʁɑ
ракет	rˈɒqet
җайланмалар	ʑˌɒɪɫɑnmˈɑɫɑr
юлыннан	juɫˈɯnnɑn
Ленинград	lenˈiŋʁrɑd
сыйфатка	sɯjfˈɑtqɑ
күргәзмәдә	kˌyrɣæzmˈædæ
чыгарылып	ɕˌɯʁɑrˈɯɫɯp
Режиссер	reʒˈisser
Иванович	ˌiwɑnˈowiɕ
Вконтактедагы	wqˌontɑqtedˈɑʁɯ
җәмгыяттә	ʑˌæmʁɯjˈættæ
Язучылар	jˌɑzuɕˈɯɫɑr
Куликово	qˌuɫiqˈowo
системасы	sˌistemˈɑsɯ
урынның	urˈɯnnɯŋ
дистәдән	distˈædæn
бетерми	betˈermi
укытмау	ˌuqɯtmˈɑu
файдаланырга	fˌɒɪdˌɑɫɑnˈɯrʁɑ
төбәгендәге	tˌœbæɣendˈæɣe
хәзрәтнең	xæzrˈætneŋ
фирка	fˈirqɑ
яклаучыларның	jˌɑqɫɑˌuɕɯɫˈɑrnɯŋ
юнәлтергә	jˌynæltˈerɣæ
тотар	tˈotɑr
парламентны	pˌɒrɫɒmˈentnɯ
Кирмәнгә	kirmˈæŋɣæ
арттыруда	ˌɒrttɯrˈudɑ
керем	kˈerem
калырлык	qɒɫˈɯrɫɯq
киносын	kinˈosɯn
сәхифәсенә	sˌæxifæsˈenæ
папасы	pɒpˈɒsɯ
байраклары	bˌɒɪrɑqɫˈɑrɯ
этнология	ˌetnoɫoʁˈijæ
алуларын	ˌɒɫuɫˈɑrɯn
беләндер	belˈænder
машиналарына	mˌɒʃinˌɑɫɑrˈɯnɑ
чыгармады	ɕˌɯʁɑrmˈɑdɯ
Италиянең	ˌitɑɫijˈæneŋ
хәлләрдә	xællˈærdæ
кечерәк	keɕˈeræk
тулган	tˈuɫʁɑn
заманын	zɒmˈɒnɯn
җыелучылар	ʑˌɯeɫuɕˈɯɫɑr
аганың	ɒʁˈɒnɯŋ
Азатлыкның	ˌɒzɒtɫˈɯqnɯŋ
утсыз	ˈutsɯz
суган	sˈuʁɑn
христиан	xristˈiɑn
кулланырга	qˌuɫɫɑnˈɯrʁɑ
өстәлләр	œstˈællær
хуҗалыгында	xˌuʑɑɫɯʁˈɯndɑ
Гамбәрия	ʁˌɒmbærˈijæ
бит	bˈit
куйсалар	qˌuɪsˈɑɫɑr
тыелуы	tˌɯeɫˈuɯ
легионда	lˌeɣiˈondɑ
килешүе	kˌileʃˈye
соборы	sobˈorɯ
Израилне	ˌizrɑˈilne
Соңрак	sˈoŋrɑq
базарында	bˌɒzɒrˈɯndɑ
автономиясе	ˌɑwtonˌomijˈæse
вариант	wɒrˈiɑnt
күренешләр	kˌyrenˈeʃlær
иҗатчылар	ˌiʑɑtɕˈɯɫɑr
аерма	ɒˈermɑ
иманым	imˈɑnɯm
яратмыйм	jɑrˈɑtmɯjm
китаплардан	kˌitɑpɫˈɑrdɑn
Маркс	mˈɒrqs
технологик	tˌexnoɫˈoʁik
Әңгәмә	æŋɣˈæmæ
котылган	qotˈɯɫʁɑn
башланган	bɒʃɫˈɒŋʁɑn
җитәкчеләрдән	ʑˌitækɕelˈærdæn
ясамый	jɑsˈɑmɯj
Тикшерүчеләр	tˌikʃeryɕˈelær
яшьләрдәге	jˌæʃʔlærdˈæɣe
тапталган	tɒptˈɒɫʁɑn
азатлыгы	ˌɒzɒtɫˈɯʁɯ
эшләребез	ˌeʃlærˈebez
ялгыз	jˈɑɫʁɯz
хуплыйм	xˈupɫɯjm
укымый	uqˈɯmɯj
дәүләтчелек	dˌæylætɕˈelek
Юлдашев	juɫdˈɑʃew
күзәтүче	kˌyzætˈyɕe
программасында	prˌoʁrɑmmɑsˈɯndɑ
ташлаганнар	tˌɒʃɫɒʁˈɑnnɑr
пассажирларга	pˌɒssɒʒirɫˈɑrʁɑ
күтәрелеше	kˌytærelˈeʃe
Кайчак	qɒˈɪɕɑq
чагыннан	ɕɒʁˈɯnnɑn
Караболагы	qˌɒrɒboɫˈɑʁɯ
төзелешен	tˌœzelˈeʃen
бирәчәк	birˈæɕæk
премьерасы	prˌemʔerˈɑsɯ
исемлеген	ˌisemlˈeɣen
язачак	jɑzˈɑɕɑq
тиешлечә	tˌieʃlˈeɕæ
көннәреннән	kˌœnnærˈennæn
мәчетебез	mˌæɕetˈebez
җөрьәт	ʑˈœrʔæt
кино	kˈino
хәрәкәтләрнең	xˌærækætlˈærneŋ
Бөгелмәдә	bˌœɣelmˈædæ
демократия	dˌemoqrɑtˈijæ
көндәге	kœndˈæɣe
Аттранж	ˈɒttrɒnʒ
тәмамлап	tæmˈɑmɫɑp
исемлегендә	ˌisemleɣˈendæ
коррупция	qˌorruptsˈijæ
әнисенә	ˌænisˈenæ
хезмәттәшлектә	xˌezmættæʃlˈektæ
шигарләр	ʃiʁˈɑrɫær
чәчәк	ɕˈæɕæk
уйлагыз	ˌuɪɫˈɑʁɯz
укучыбыз	ˌuquɕˈɯbɯz
Фәнзилә	fænzˈilæ
ниндидер	nindˈider
тәмәкегә	tˌæmækˈeɣæ
мәйданны	mˌæɪdˈɑnnɯ
урнашканда	ˌurnɑʃqˈɑndɑ
билгеләнмәгән	bˌilɣelænmˈæɣæn
дияргә	dijˈærɣæ
Такташның	tɒqtˈɒʃnɯŋ
чыгара	ɕɯʁˈɑrɑ
милләттәшләр	mˌillættˈæʃlær
уеннарда	ˌuennˈɑrdɑ
стратегиясенә	strˌɒteɣˌijæsˈenæ
Биектаулы	bˌieqtɑˈuɫɯ
уртасында	ˌurtɑsˈɯndɑ
Шагыйрә	ʃɒʁˈɯjræ
кемнеке	kemnˈeke
томнан	tˈomnɑn
Аделаидада	ˌɒdeɫˌɑidˈɑdɑ
бүлекләрен	bˌyleklˈæren
теләгәнен	tˌelæɣˈænen
тиклем	tˈiklem
Кайберәүләр	qˌɒɪbˌeræˈylær
Пикетта	pikˈettɑ
якланган	jɑqɫˈɑŋʁɑn
хисаплар	xisˈɑpɫɑr
каласы	qɒɫˈɒsɯ
чолгап	ɕˈoɫʁɑp
килешүдән	kˌileʃˈydæn
саклануын	sˌɒqɫɒnˈuɯn
булуын	buɫˈuɯn
китабым	kitˈɑbɯm
җавабы	ʑɑwˈɑbɯ
кушылган	quʃˈɯɫʁɑn
Баймак	bɒˈɪmɑq
кыз	qˈɯz
оештырылуы	ˌoeʃtˌɯrɯɫˈuɯ
Дәүләт	dæˈylæt
тоткарланучылар	tˌotqɑrɫˌɑnuɕˈɯɫɑr
күтәрелгәч	kˌytærˈelɣæɕ
чыганакларына	ɕˌɯʁɑnˌɑqɫɑrˈɯnɑ
икәнлегебезне	ˌikænlˌeɣebˈezne
күзләренә	kˌyzlærˈenæ
яттан	jˈɑttɑn
күмелде	kymˈelde
факультетының	fˌɒquɫʔtetˈɯnɯŋ
ханбикәсе	xˌɒnbikˈæse
тудыру	tudˈɯru
газеталарда	ʁˌɒzetɑɫˈɑrdɑ
әйтә	æˈɪtæ
чагын	ɕˈɒʁɯn
йөзе	ɪˈœze
язмышларын	jˌɑzmɯʃɫˈɑrɯn
укучылардан	ˌuquɕɯɫˈɑrdɑn
белдерүдән	bˌelderˈydæn
Арифова	ˌɒrifˈowɑ
президентның	prˌezidˈentnɯŋ
идеологы	ˌideoɫˈoʁɯ
комиссия	qˌomissˈijæ
булганга	buɫʁˈɑŋʁɑ
технологиясе	tˌexnoɫˌoʁijˈæse
очрак	ˈoɕrɑq
кил	kˈil
журналистларын	ʒˌurnɑɫistɫˈɑrɯn
Миргалимов	mˌirʁɑɫˈimow
кулланып	quɫɫˈɑnɯp
вәкиленә	wˌækilˈenæ
үзгәрә	yzɣˈæræ
чамалый	ɕɒmˈɒɫɯj
Кая	qˈɒjɑ
дисәң	dˈisæŋ
Фирдәвес	firdˈæwes
допинг	dˈopiŋɣ
таралуына	tˌɒrɒɫuˈɯnɑ
ундүрт	ˈundyrt
планлаштырыла	pɫˌɒnɫɒʃtɯrˈɯɫɑ
Бубый	bˈubɯj
гыйлем	ʁˈɯjɫem
машиналарының	mˌɒʃinˌɑɫɑrˈɯnɯŋ
стратегиясен	strˌɒteɣijˈæsen
элек	ˈelek
уңыш	ˈuŋɯʃ
шаяртып	ʃɒjˈɑrtɯp
вазифаны	wˌɒzifˈɑnɯ
ярлыкау	jˌɑrɫɯqˈɑu
ошамады	ˌoʃɑmˈɑdɯ
адресы	ɒdrˈesɯ
түбә	tˈybæ
куелгач	quˈeɫʁɑɕ
Дәүләтшина	dˌæylætʃˈinɑ
хокукларыбызны	xˌoquqɫˌɑrɯbˈɯznɯ
гаскәренә	ʁˌɒsqærˈenæ
тоткарлый	totqˈɑrɫɯj
аланын	ɒɫˈɒnɯn
аралашмый	ˌɒrɒɫˈɑʃmɯj
эшләмәде	ˌeʃlæmˈæde
артмый	ˈɒrtmɯj
Балага	bɒɫˈɒʁɑ
берочтан	berˈoɕtɑn
китапханәсе	kˌitɑpxɑnˈæse
Шәхси	ʃˈæxsi
Көнбатыштагы	kˌœnbɑtɯʃtˈɑʁɯ
калам	qˈɒɫɒm
методик	metˈodik
хастаханәдә	xˌɒstɒxɑnˈædæ
телеканалын	tˌeleqɑnˈɑɫɯn
Беларуска	bˌeɫɑrˈusqɑ
дулкынланып	dˌuɫqɯnɫˈɑnɯp
байлык	bɒˈɪɫɯq
күчүне	kyɕˈyne
дәрәҗә	dærˈæʑæ
белдерүләре	bˌelderylˈære
табип	tˈɒbip
теориясе	tˌeorijˈæse
көченнән	kœɕˈennæn
кергәне	kerɣˈæne
чиктәш	ɕˈiktæʃ
уйлады	ˌuɪɫˈɑdɯ
Шәрәфиев	ʃˌæræfˈiew
атамады	ˌɒtɒmˈɑdɯ
итәрмен	itˈærmen
ясала	jɑsˈɑɫɑ
күпсанлы	kypsˈɑnɫɯ
мәсьәләләр	mˌæsʔælˈælær
депутаты	dˌeputˈɑtɯ
яу	jˈɑu
чыгуыннан	ɕˌɯʁuˈɯnnɑn
өзекләр	œzˈeklær
шартлауны	ʃˌɒrtɫɒˈunɯ
сайлануы	sˌɒɪɫɑnˈuɯ
Сладковский	sɫˌɒdqowsqˈiɪ
туйлар	tuˈɪɫɑr
фаҗигане	fˌɒʑiʁˈɑne
Илсөяр	ilsˈœjær
хисапның	xisˈɑpnɯŋ
җыелышына	ʑˌɯeɫɯʃˈɯnɑ
яшергән	jæʃˈerɣæn
Калинин	qɒɫˈinin
алыштыру	ˌɒɫɯʃtˈɯru
Сечин	sˈeɕin
тырышканнар	tˌɯrɯʃqˈɑnnɑr
шушындый	ʃuʃˈɯndɯj
җимереләчәк	ʑˌimerelˈæɕæk
берләшүе	bˌerlæʃˈye
җиткерүне	ʑˌitkerˈyne
хакимияте	xˌɒqimijˈæte
тапшыруларының	tˌɒpʃɯrˌuɫɑrˈɯnɯŋ
теләмәде	tˌelæmˈæde
тарттылар	tɒrttˈɯɫɑr
йортына	ˌɪortˈɯnɑ
башланып	bɒʃɫˈɒnɯp
семинар	semˈinɑr
тыңламый	tɯŋɫˈɑmɯj
шәһәреннән	ʃˌæhærˈennæn
төбәкләрен	tˌœbæklˈæren
тартым	tˈɒrtɯm
районның	rˌɒɪˈonnɯŋ
галимне	ʁɒɫˈimne
йөрдек	ɪˈœrdek
җәзасына	ʑˌæzɑsˈɯnɑ
яктырта	jɑqtˈɯrtɑ
очраштым	oɕrˈɑʃtɯm
мөфтие	mœftˈie
кайтыр	qɒˈɪtɯr
кулъязмалар	qˌuɫʔjɑzmˈɑɫɑr
Радионың	rˌɒdiˈonɯŋ
Ялгыш	jˈɑɫʁɯʃ
университетлары	ˌuniwˌersitetɫˈɑrɯ
яры	jˈɑrɯ
табуын	tɒbˈuɯn
булуына	bˌuɫuˈɯnɑ
Илмир	ˈilmir
он	ˈon
төшеп	tˈœʃep
нәзарәтенә	nˌæzɑrætˈenæ
бандитлар	bɒndˈitɫɑr
башкорт	bˈɒʃqort
потенциаль	pˌotentsˈiɑɫʔ
җинаятькә	ʑˌinɑjˈætʔkæ
үзгәреп	yzɣˈærep
форумының	fˌorumˈɯnɯŋ
НТВ	ntw
