bestridan	bestriːdɑn
eaþdæde	æ͜ɑːθdæːde
huuæt	xwæt
ferþ	ferθ
hroc	xroːk
us	uːs
meredeor	merede͜oːr
ceol	t͡ʃe͜oːl
beoran	be͜orɑn
acweþan	ɑːkweθɑn
swefniend	swefniend
wuldorcyning	wuldorkyninɡ
lundlaga	lundlɑɡɑ
þanne	θɑnne
ceorlfolc	t͡ʃe͜orlfolk
gæ	jæ
win	wiːn
gehathiertan	jexɑːtxi͜yrtɑn
hege	xeje
læwa	læːwɑ
asundrian	ɑːsundriɑn
portesmuþa	portesmuːθɑ
spreot	spre͜oːt
brœme	brøːme
fleard	flæ͜ɑrd
woriend	woːriend
onsendan	onsendɑn
toferan	toːfeːrɑn
ymbhabban	ymbxɑbbɑn
gegræppian	jeɡræppiɑn
þeowet	θe͜oːwet
predicung	predikunɡ
leþer	leθer
mynecenu	mynet͡ʃenu
fordrifan	fordriːfɑn
seolcwyrm	se͜olkwyrm
monað	moːnɑθ
pucel	puːkel
hræfn	xræfn
eam	æ͜ɑːm
pawa	pɑːwɑ
oferseon	oferse͜oːn
blætan	blæːtɑn
steor	ste͜oːr
undeop	unde͜oːp
scortlice	ʃortliːt͡ʃe
swaþrian	swɑθriɑn
fysian	fyːsiɑn
geleafa	jelæ͜ɑːfɑ
openung	openunɡ
colsweart	kolswæ͜ɑrt
burgræden	burɡræːden
portgerefa	portjereːfɑ
wrohtsawere	wroːxtsɑːwere
efen	efen
syferness	syːferness
pirige	pirije
tæc	tæːt͡ʃ
gelome	jeloːme
orsorgleas	orsorɡlæ͜ɑːs
forþgewitan	forθjewiːtɑn
efeneardian	efenæ͜ɑrdiɑn
leoflic	le͜oːfliːt͡ʃ
wæps	wæps
sweþel	sweθel
befæstan	befæstɑn
bebrecan	bebrekɑn
griþ	ɡriθ
slepan	sleːpɑn
ealdorlease	æɑ̯ldorlæːɑ̯se
eorclanstan	e͜orklɑnstɑːn
gangweg	ɡɑnɡwej
gedwola	jedwolɑ
spanu	spɑnu
hal	xɑːl
hlimme	xlimme
holegn	xolejn
niwe	niːwe
gen	jeːn
clipiendlic	klipiendliːt͡ʃ
uhtceare	uːhtt͡ʃæːɑ̯re
hiwcund	xiːwkund
tæcung	tæːt͡ʃunɡ
wurma	wurmɑ
hos	xoːs
wintrig	wintrij
beamweg	bæ͜ɑːmwej
wintergeweorp	winterjewe͜orp
claþas	klɑːθɑs
gealdor	jæ͜ɑldor
corona	koroːnɑ
wæstmbærnes	wæstmbæːrnes
ræs	ræːs
bocgestreon	boːkjestre͜oːn
webbestre	webbestre
sceawung	ʃæ͜ɑːwunɡ
toþsticca	toːθstikkɑ
edlæcung	edlæːt͡ʃunɡ
eafera	æ͜ɑferɑ
giellan	ji͜yllɑn
abroþennes	ɑːbroθennes
foda	foːdɑ
begbeam	bejbæ͜ɑːm
ifig	iːfij
ferht	ferxt
gefeallan	jefæ͜ɑllɑn
geþeodan	jeθe͜oːdɑn
gewemmend	jewemmend
wælniþ	wælniːθ
pinca	pinkɑ
wohbogen	woːxboɡen
reohhe	re͜oxxe
sellend	sellend
syfre	syːfre
ungehiersum	unjexi͜yːrsum
hygerof	xyjeroːf
uncumliþe	unkumliːθe
synderlic	synderliːt͡ʃ
fellan	fellɑn
eom	eo̯m
hafuc	xɑfuk
ymblocian	ymbloːkiɑn
heofon	xe͜ofon
fifteoþa	fiːfte͜oːθɑ
lutan	luːtɑn
bogan	boɡɑn
ciricwæd	t͡ʃirit͡ʃwæːd
forcel	forkel
ellærn	ellærn
diernan	di͜yrnɑn
ascacan	ɑːʃɑkɑn
woma	woːmɑ
sefte	seːfte
wodnesdæg	woːdnesdæj
ahabban	ɑːxɑbbɑn
geeardian	jeæ͜ɑrdiɑn
wiþercrist	wiθerkrist
frinan	friːnɑn
mearn	mæɑrn
froforgast	froːforɡɑːst
scriþaþ	ʃriːθɑθ
cealc	t͡ʃæ͜ɑlk
rædbora	ræːdborɑ
fleos	fle͜oːs
fæs	fæs
pal	pɑːl
ymblyt	ymblyt
brord	brord
reordon	re͜ordon
denn	denn
ingefeoht	injefe͜oxt
faroþ	fɑroθ
mimming	mimminɡ
fliete	fli͜yːte
cuþ	kuːθ
motan	moːtɑn
monanniht	moːnɑnnixt
þrostle	θrostle
sliefe	sli͜yːfe
wyrgþu	wyrɡθu
getreowe	jetre͜oːwe
glof	ɡloːf
meredeaþ	meredæ͜ɑːθ
glædman	ɡlædmɑn
feorhscyldig	fe͜orxʃyldij
sarig	sɑːrij
furþum	furθum
hlaforddom	xlɑːforddoːm
borg	borɡ
ceapmann	t͡ʃæ͜ɑːpmɑnn
heonan	xe͜onɑn
hoc	xok
gemanigfealdian	jemɑnijfæ͜ɑldiɑn
friþotacen	friθotɑːken
secg	sejj
miscweþan	miskweθɑn
smocian	smokiɑn
spræcleas	spræːt͡ʃlæ͜ɑːs
fæc	fæk
trendel	trendel
slipor	slipor
scieldweall	ʃi͜yldwæ͜ɑll
romfeoh	roːmfe͜ox
unwealt	unwæ͜ɑlt
eastermonaþ	æ͜ɑːstermoːnɑθ
seolfcwalu	se͜olfkwɑlu
ultor	ultor
anmedla	ɑnmedlɑ
wilian	wiliɑn
onmearcung	onmæ͜ɑrkunɡ
bysnian	bysniɑn
nihtlic	nixtliːt͡ʃ
ofersendan	ofersendɑn
lybb	lybb
wiþsacan	wiθsɑkɑn
iudeisc	juːdeːiʃ
gebeorg	jebe͜orɡ
dælniman	dæːlnimɑn
aþexe	ɑːθekse
grap	ɡrɑːp
gryre	ɡryre
predicere	predikere
wæflian	wæfliɑn
spellian	spelliɑn
inca	inkɑ
widuwe	widuwe
gesomnian	jesomniɑn
atr	ɑːtr
simbel	simbel
sweor	swe͜oːr
þorn	θorn
geoguþ	juɡuθ
simble	simble
twihycgan	twixyjjɑn
stredan	streːdɑn
beflowan	befloːwɑn
winstre	winstre
gebeorc	jebe͜ork
efencempa	efenkempɑ
beo	be͜oː
dilegian	dileɡiɑn
scipian	ʃipiɑn
hungor	xunɡor
geþeaht	jeθæ͜ɑxt
wacan	wɑkɑn
fox	foks
coss	koss
æcern	æːkern
glæde	ɡlæde
gewyscan	jewyːʃʃɑn
wæn	wæːn
menigu	meniju
hiwcuþ	xiːwkuːθ
bindan	bindɑn
frocga	froɡɡɑ
hamsteall	xɑːmstæ͜ɑll
clucge	kluɡɡe
ondrædan	ondræːdɑn
fleotan	fle͜oːtɑn
gefædera	jefæderɑ
wuduælfen	wuduælfen
bedyppan	bedyppɑn
hierdan	xi͜yrdɑn
wyrmcynn	wyrmkynn
sawelberend	sɑːwelberend
forebisgian	forebisjiɑn
hæmedceorl	xæːmedt͡ʃe͜orl
forbeodan	forbe͜oːdɑn
uhta	uːxtɑ
forþbringan	forθbrinɡɑn
eowan	e͜oːwɑn
wyrcend	wyrt͡ʃend
helrynegu	xelryːneju
bald	bɑld
lig	liːj
gehygd	jexyjd
liegfæmende	li͜yːjfæːmende
sinder	sinder
unripe	unriːpe
ciegan	t͡ʃi͜yːjɑn
morað	moːrɑθ
gedælan	jedæːlɑn
hefiglice	xefijliːt͡ʃe
midsumor	midsumor
weard	wæ͜ɑrd
ricsiend	riːksiend
andustrigan	ɑnduːstrijɑn
beod	be͜oːd
eaþ	æ͜ɑːθ
befæstnian	befæstniɑn
eahtoþa	æ͜ɑxtoθɑ
onhycgan	onxyɡɡɑn
sceawere	ʃæ͜ɑːwere
seax	sæ͜ɑks
reord	re͜ord
iewan	i͜yːwɑn
wierþe	wi͜yrθe
liegdraca	li͜yːjdrɑkɑ
hæfern	xæfern
lysu	lysu
eagan	æ͜ɑːɡɑn
gleawceasterscir	ɡlæ͜ɑːwt͡ʃæ͜ɑsterʃiːr
franca	frɑnkɑ
centland	kentlɑnd
wrecend	wrekend
loþa	loθɑ
gleawlic	ɡlæ͜ɑːwliːt͡ʃ
sæmann	sæːmɑnn
bræmel	bræːmel
cylu	kylu
gimm	jimm
þencan	θent͡ʃɑn
frosc	froʃ
wohful	woːxful
mynetere	mynetere
befealdan	befæ͜ɑldɑn
fician	fikiɑn
hra	xrɑː
sol	sol
mealm	mæ͜ɑlm
wascan	wɑskɑn
stanrocc	stɑːnrokk
norþweg	norθwej
sacaþ	sɑkɑθ
gleng	ɡlenɡ
þurhdufan	θurxduːfɑn
hlihhan	xlixxɑn
swencan	swent͡ʃɑn
giemeleast	ji͜yːmelæ͜ɑːst
tilian	tiliɑn
feola	fe͜olɑ
alibbend	ɑlibbend
streaw	stræ͜ɑːw
hlemman	xlemmɑn
fricgan	frijjɑn
bædaþ	bæːdɑθ
binnan	binnɑn
þurfan	θurfɑn
gesecan	jeseːt͡ʃɑn
ripst	riːpst
belendan	belendɑn
ungescead	unjeʃɑːd
sorhful	sorxful
gelæfan	jelæːfɑn
bymere	byːme
fleoge	fle͜oːɡe
ia	jɑː
togian	toɡiɑn
rim	riːm
sceon	ʃoːn
wohhian	woxxiɑn
bewyrcan	bewyrt͡ʃɑn
astandan	ɑːstɑndɑn
eornost	e͜ornost
cot	kot
ofteon	ofte͜oːn
hris	xriːs
campwisa	kɑmpwiːsɑ
fisclacu	fiʃlɑku
mengu	menju
garleac	ɡɑːrlæ͜ɑːk
hlæfdige	xlæːfdiːje
forgiemeleasnes	forji͜yːmelæ͜ɑːsnes
scyttan	ʃyttɑn
togeanes	toːjæ͜ɑːnes
aþum	ɑːθum
otor	otor
ciþ	t͡ʃiːθ
modstaþolnes	moːdstɑθolnes
andgitfullice	ɑndjitfulliːt͡ʃe
fiþerleas	fiθerlæ͜ɑːs
bestandan	bestɑndɑn
borian	boriɑn
wilde	wilde
getacniendlic	jetɑːkniendliːt͡ʃ
hwider	xwider
innera	innerɑ
turf	turf
mannleas	mɑnnlæ͜ɑːs
man	mɑnn
andcwiss	ɑndkwiss
from	from
edwendan	edwendɑn
temesian	temesiɑn
bisæcc	biːsætt͡ʃ
migan	miːɡɑn
fyrgengat	fyrjenɡɑːt
wæpnhus	wæːpnxuːs
openears	openæ͜ɑrs
ciese	t͡ʃi͜yːse
æbs	æbs
þrimilce	θrimilt͡ʃe
maþelode	mɑθelode
gefed	jefeːd
fagnian	fɑɡniɑn
fealdan	fæ͜ɑldɑn
leaf	læ͜ɑːf
widherian	wiːdxerjɑn
for	foːr
uhtcaru	uːxtkɑru
ost	oːst
net	net
wuldor	wuldor
frecen	freːken
unwindan	unwindɑn
hwistlian	xwistliɑn
forsecan	forseːt͡ʃɑn
besema	besemɑ
dwæscan	dwæːʃʃɑn
tiegan	ti͜yːjɑn
bycgen	byjjen
hig	xiːj
æfest	æfest
oncyrran	ont͡ʃyrrɑn
hunta	xuntɑ
godlic	ɡodliːt͡ʃ
gos	ɡoːs
gecocnian	jekoːkniɑn
feorbuend	fe͜orbuːend
recen	ret͡ʃen
upp	upp
eorþlic	e͜orθliːt͡ʃ
geondsprengan	je͜ondsprenjɑn
cepan	keːpɑn
racentum	rɑkentum
hopa	xopɑ
hnoll	xnoll
scand	ʃɑnd
onsteall	onstæ͜ɑll
tocyme	toːkyme
insendan	insendɑn
flat	flɑːt
hloþere	xloːθere
gescufan	jeʃuːfɑn
smicer	smiker
soþgiedd	soːθji͜ydd
syl	syːl
þurhwrecan	θurxwrekɑn
wæpn	wæːpn
fordwinan	fordwiːnɑn
tweo	twe͜oː
beag	bæ͜ɑːɡ
gathyrde	ɡɑːtxyrde
æþelboren	æθelboren
asciendlic	ɑːskiendliːt͡ʃ
giemeleasian	ji͜yːmelæ͜ɑːsiɑn
writan	wriːtɑn
gemyntan	jemyntɑn
fallan	fɑllɑn
drygan	dryːjɑn
neahgebur	næ͜ɑːxjebuːr
insiht	insixt
þritig	θriːtij
þuhsian	θuxsiɑn
leogere	le͜oːɡere
iermþ	i͜yrmθ
wuduwasa	wuduwɑːsɑ
wær	wæːr
hrincg	xrinɡɡ
clifstan	klifstɑːn
ece	et͡ʃe
seofontiene	se͜ofonti͜yːne
uncuþ	unkuːθ
niwellic	niwelliːt͡ʃ
writ	writ
onwendan	onwendɑn
solian	soliɑn
nefene	nefene
bret	bret
nosþyrel	nosθyːrel
geondsceawian	je͜ondskæ͜ɑːwiɑn
hæcce	xække
eoh	e͜ox
lad	lɑːd
foregan	foreɡɑːn
sacleas	sɑklæ͜ɑːs
nihtscada	nixtʃɑdɑ
andwyrdan	ɑndwyrdɑn
befeallan	befæ͜ɑllɑn
sparian	spɑriɑn
rædan	ræːdɑn
cræftig	kræftij
tohweorfan	toːxwe͜orfɑn
ascinan	ɑːʃiːnɑn
hwierfan	xwi͜yrfɑn
twæming	twæːminɡ
wehha	wexxɑ
abreoþan	ɑːbre͜oːθɑn
haligern	xɑːlijern
wæsp	wæsp
snotingaham	snotinɡɑxɑːm
fiþerbære	fiθerbæːre
clawan	klɑwɑn
hathiertan	xɑːtxi͜yrtɑn
toteon	toːte͜oːn
forsace	forsɑke
yþlad	yːθlɑːd
swefan	swefɑn
modþracu	moːdθrɑku
lænan	læːnɑn
arian	ɑːriɑn
stilnes	stilnes
rosen	roːsen
mierce	mi͜yrt͡ʃe
forgangan	forɡɑnɡɑn
mærsungtima	mæːrsunɡtiːmɑ
hreowlic	xre͜oːwliːt͡ʃ
fryhtu	fryxtu
wudere	wudere
abredwian	ɑːbredwiɑn
gebrucan	jebruːkɑn
wemman	wemmɑn
pocca	pokkɑ
unrihthæmed	unrixtxæːmed
bolgenmod	bolɡenmoːd
samodwyrcende	sɑmodwyrt͡ʃende
bece	beːt͡ʃe
beceorfan	bet͡ʃe͜orfɑn
al	ɑːl
gemede	jemeːde
þancweorþ	θɑnkwe͜orθ
sixfeald	siksfæ͜ɑld
randbeag	rɑndbæ͜ɑːɡ
twifere	twifeːre
miltsian	miltsiɑn
wohhandede	woːxxɑndede
brimliþend	brimliːθend
oþcyrran	oθt͡ʃyrrɑn
bereofan	bere͜oːfɑn
cearful	t͡ʃæ͜ɑrful
spadu	spɑdu
seocnes	se͜oːknes
herebeacen	xerebæ͜ɑːken
scendan	ʃendɑn
ascafan	ɑːʃɑfɑn
æl	æːl
wlencan	wlent͡ʃɑn
fyrest	fyrest
orleghwil	orlejxwiːl
hætt	xætt
cigan	t͡ʃiːjɑn
hænep	xænep
mægþhad	mæːjθxɑːd
æleputa	æːlepuːtɑ
mapuldor	mɑpuldor
æne	æːne
ganra	ɡɑnrɑ
æþelcyning	æθelkyninɡ
seolhyþa	se͜olxyːθɑ
hehþ	xeːxθ
leornungcniht	le͜ornunɡknixt
maguþegn	mɑɡuθejn
eftcierran	eftt͡ʃi͜yrrɑn
læst	læːst
pund	pund
nyllan	nyllɑn
clawan	klɑːwɑn
weorcræden	we͜orkræːden
geondstredan	je͜ondstreːdɑn
demend	deːmend
beran	berɑn
filmen	filmen
beblawan	beblɑːwɑn
utdragan	uːtdrɑɡɑn
gesælan	jesæːlɑn
giedding	ji͜yddinɡ
wiþersæc	wiθersæk
nytlicnes	nytliːt͡ʃnes
þystrian	θyːstriɑn
heafodece	xæ͜ɑːfodet͡ʃe
þræl	θræːl
winterrim	winterriːm
ymbcierran	ymbt͡ʃi͜yrrɑn
suþerne	suːθerne
geliþan	jeliːθɑn
wendan	wendɑn
unc	unk
discipul	diʃʃipul
hælend	xæːlend
flæscmete	flæːʃmete
fenix	feːniks
abroþennys	ɑːbroθennys
heafoc	xæ͜ɑfok
hæte	xæːte
fleogenda	fle͜oːɡendɑ
handgewrit	xɑndjewrit
moþfreten	moθfreten
leccan	lett͡ʃɑn
kyning	kyninɡ
bi	biː
freondræden	fre͜oːndræːden
hie	xi͜yː
þurhteon	θurxte͜oːn
ende	ende
wela	welɑ
sangcræft	sɑnɡkræft
nafola	nɑfolɑ
wunnon	wunnon
eftcyrran	eftt͡ʃyrrɑn
gemynd	jemynd
forsellan	forsellɑn
gehnycned	jehnykned
myrge	myrje
seldcuþ	seldkuːθ
hæfen	xæfen
bolt	bolt
gesewenlic	jesewenliːt͡ʃ
elp	elp
beweddian	beweddiɑn
geþicfieldan	jeθikfi͜yldɑn
ielde	i͜ylde
pipdream	piːpdræ͜ɑːm
cyren	t͡ʃyren
sealtan	sæ͜ɑltɑn
hliehhan	xli͜yxxɑn
guþbyrne	ɡuːθbyrne
forgietan	forji͜ytɑn
deofolseocnes	de͜oːfolse͜oːknes
swige	swiːje
nytan	nytɑn
wolnes	woːlnes
grecland	ɡreːklɑnd
mætan	mæːtɑn
frox	froks
orgel	orɡel
speld	speld
ben	ben
nearones	næ͜ɑrones
clawian	klɑwiɑn
mægelan	mæjelɑn
heard	xæ͜ɑrd
frambugan	frɑmbuːɡɑn
tife	tife
behof	bexoːf
byldan	byldɑn
fyrmest	fyrmest
hicel	xikel
foxhol	foksxol
forcyrring	fort͡ʃyrrinɡ
forloren	forloren
beofung	be͜ofunɡ
ryge	ryje
strand	strɑnd
menigeo	menijo
gieme	ji͜yːme
onhreran	onxreːrɑn
gyden	ɡyden
ful	fuːl
begrætan	beɡræːtɑn
dræn	dræːn
wuldornyttung	wuldornyttunɡ
weodmonaþ	we͜oːdmoːnɑθ
scamu	ʃɑmu
nigon	nijon
uferian	uferiɑn
eaca	æ͜ɑːkɑ
undeadlicnes	undæ͜ɑːdliːknes
edniewan	edni͜yːwɑn
gefær	jefæːr
lettan	lettɑn
uþmæte	uːθmæːte
lif	liːf
hwælhuntoþ	xwælxuntoθ
þisses	θisses
synbot	synboːt
luftacen	luftɑːken
ahierding	ɑːxi͜yrdinɡ
gyltig	ɡyltij
tudor	tuːdor
feaxnett	fæ͜ɑksnett
beobread	be͜oːbræ͜ɑːd
gestandan	jestɑndɑn
efenhleoþor	efenxle͜oːθor
ear	æ͜ɑːr
æcermann	ækermɑnn
wearnian	wæ͜ɑrniɑn
aþencan	ɑːθent͡ʃɑn
eorp	e͜orp
hiwisc	xiːwiʃ
upcund	upkund
droflic	droːfliːt͡ʃ
ymbstandend	ymbstɑndend
gedæfte	jedæfte
nægel	næjel
edlesendlic	edlesendliːt͡ʃ
oferlæfan	oferlæːfɑn
larlyst	lɑːrlyːst
æthealdan	ætxæ͜ɑldɑn
gewuldorfullian	jewuldorfulliɑn
rod	roːd
feorða	fe͜oːrθɑ
ælmiht	ælmixt
freolic	fre͜oːliːt͡ʃ
bryce	bryt͡ʃe
læden	læːden
dwild	dwild
wærwyrde	wærwyrde
drepan	drepɑn
tinclian	tinkliɑn
ic	it͡ʃ
domhus	doːmxuːs
paþas	pɑθɑs
cæggian	kæːɡɡiɑn
cræftleas	kræftlæ͜ɑːs
scytelfinger	ʃytelfinɡer
wendelsæ	wendelsæː
nyþernes	nyθernes
unlucan	unluːkɑn
lambru	lɑmbru
cycen	kyt͡ʃen
animan	ɑːnimɑn
tosundrian	toːsundriɑn
embwlatian	embwlɑːtiɑn
nemnigendlic	nemnijendliːt͡ʃ
ciricland	t͡ʃirit͡ʃlɑnd
heodæg	xe͜oːdæj
cynehelm	kynexelm
eode	eːo̯de
ascung	ɑːskunɡ
berige	berije
blandan	blɑndɑn
forsprecan	forsprekɑn
metesocn	metesoːkn
sweoster	swe͜oster
mangung	mɑnɡunɡ
inne	inne
losian	losiɑn
uncit	uŋkit
wesende	wesende
gewyscing	jewyːʃʃinɡ
flasce	flɑske
beclipian	beklipiɑn
normandig	normɑndij
cisel	t͡ʃisel
afulic	ɑfuliːt͡ʃ
sige	sije
leogan	le͜oːɡɑn
ymbhon	ymbxoːn
alegd	ɑːlejd
wiþbregdan	wiθbrejdɑn
clæppan	klæppɑn
geseon	jese͜oːn
eorþfæt	e͜orθfæt
eadbeald	æ͜ɑːdbæ͜ɑld
beþencan	beθent͡ʃɑn
liegetu	li͜yːjetu
byre	byːre
ætiewan	æti͜yːwɑn
bilewit	bilewit
carles	kɑrles
casere	kɑːsere
dweleþ	dweleθ
giet	ji͜yːt
ymbweorpan	ymbwe͜orpɑn
willian	williɑn
onscogan	onʃoːjɑn
runa	ruːnɑ
lange	lɑnɡe
miswritan	miswriːtɑn
delfan	delfɑn
scotfreo	skotfre͜oː
bewarian	bewɑriɑn
ancuman	ɑnkumɑn
wynfull	wynfull
bochus	boːkxuːs
gelp	jelp
untwifeald	untwifæ͜ɑld
lec	leːk
winterwylle	winterwylle
woda	woːdɑ
hindan	xindɑn
ofstandan	ofstɑndɑn
acwolen	ɑːkwolen
hwitel	xwiːtel
oþþingian	oθθinɡiɑn
sceaphierde	ʃæ͜ɑːpxi͜yrde
gelæran	jelæːrɑn
bereafian	beræ͜ɑːfiɑn
þiccet	θikket
up	up
hlud	xluːd
gesceaft	jeʃæ͜ɑft
þas	θɑːs
gestreon	jestre͜oːn
worn	worn
dream	dræ͜ɑːm
andian	ɑndiɑn
soþgied	soːθji͜yd
foregengel	foreɡenjel
munuc	munuk
writaþ	wriːtɑθ
bebod	bebod
roccian	rokkiɑn
winnan	winnɑn
geweorþan	jewe͜orθɑn
hloþbot	xloːθboːt
wang	wɑnɡ
wolbryne	woːlbryne
sweord	swe͜ord
tumbian	tumbiɑn
geswencan	jeswent͡ʃɑn
asundrodlic	ɑːsundrodliːt͡ʃ
inylfe	inylfe
notu	notu
bicnol	biːt͡ʃnol
wean	wæ͜ɑːn
dyne	dyne
beocere	be͜oːkere
flocc	flokk
scortian	ʃortiɑn
sex	seks
faru	fɑru
scyldigian	ʃyldiɡiɑn
cinan	t͡ʃiːnɑn
writere	wriːtere
yþmere	yːθmere
begreosan	beɡre͜oːsɑn
spearwa	spæ͜ɑrwɑ
gangere	ɡɑnɡere
onbæc	onbæk
loc	loːk
andlang	ɑndlɑnɡ
orðonc	orθonk
sweofot	swe͜ofot
utlæs	uːtlæːs
healm	xæ͜ɑlm
sæliþend	sæːliːθend
þeowdom	θe͜oːwdoːm
sunnanæfen	sunnɑnæːfen
eþelstow	eːθelstoːw
tuxas	tuːksɑs
niewnes	ni͜yːwnes
fæhþbot	fæːxθboːt
gehðu	jexθu
ceosung	t͡ʃe͜oːsunɡ
flota	flotɑ
behealdan	bexæ͜ɑldɑn
freolsiend	fre͜oːlsiend
merscig	merʃij
long	lonɡ
godcund	ɡodkund
hlid	xlid
togædre	toːɡædere
git	jit
rowan	roːwɑn
deaþscyldig	dæ͜ɑːθʃyldij
eleberge	eleberje
fricu	friku
acsung	ɑːksunɡ
liegfyr	li͜yːjfyːr
eadesa	æ͜ɑdesɑ
hræd	xræd
cyþan	kyːθɑn
cancer	kɑnker
spittan	spittɑn
renscur	reːnʃuːr
weler	weler
abraham	ɑbrɑxɑm
sealtian	sæ͜ɑltiɑn
mid	mid
wealh	wæ͜ɑlx
hælan	xæːlɑn
raredumle	rɑːredumle
acennedlic	ɑːkennedliːt͡ʃ
wyrm	wyrm
enlihtan	enliːxtɑn
hæþendom	xæːθendoːm
fegan	feːjɑn
ofost	ofost
blotmonaþ	bloːtmoːnɑθ
æced	æt͡ʃed
hwicce	xwitt͡ʃe
receleas	reːt͡ʃelæ͜ɑːs
æwan	æːwɑn
wiglere	wiɡlere
næht	næxt
winterceald	wintert͡ʃæ͜ɑld
wifhired	wiːfxiːred
fultumleas	fultumlæ͜ɑːs
gedwol	jedwol
hæmedscipe	xæːmedʃipe
begangan	beɡɑnɡɑn
hamleas	xɑːmlæ͜ɑːs
cwild	kwild
ded	deːd
biblioþece	bibli͜uθeːke
edstaþelian	edstɑθeliɑn
leasere	læ͜ɑːsere
wyrt	wyrt
bil	bil
utanlandes	uːtɑnlɑndes
nan	nɑːn
cwelaþ	kwelɑθ
wæscan	wæskɑn
þæc	θæk
nigoþa	nijoθɑ
siþfæt	siːθfæt
windruncen	wiːndrunken
hleoþrung	xle͜oːθrunɡ
nigonteoþa	nijonte͜oːθɑ
todreosan	toːdre͜oːsɑn
halignys	xɑːlijnys
sped	speːd
unscrydan	unʃryːdɑn
wacu	wɑku
wicce	witt͡ʃe
beado	bæ͜ɑdo
biddan	biddɑn
magu	mɑɡu
wreon	wre͜oːn
brastlian	brɑstliɑn
hramma	xrɑmmɑ
scyldleas	ʃyldlæ͜ɑːs
stæfleahtor	stæflæ͜ɑxtor
gyme	jyːme
wangtoþ	wɑnɡtoːθ
forneah	fornæ͜ɑːx
sibb	sibb
ymbhweorfan	ymbxwe͜orfɑn
giemeleasnes	ji͜yːmelæ͜ɑːsnes
wiþceosan	wiθt͡ʃe͜oːsɑn
arædan	ɑːræːdɑn
ciricfultum	t͡ʃirit͡ʃfultum
feldlic	feldliːt͡ʃ
tunglere	tunɡlere
byþ	byθ
eallswa	æ͜ɑllswɑː
leoden	le͜oːden
bysnigan	bysnijɑn
freoþuwebba	fre͜oθuwebbɑ
hremig	xreːmij
toætiecnes	toːæti͜yːt͡ʃnes
sticca	stikkɑ
forþgestigan	forθjestiːɡɑn
scottisc	skottiʃ
steopcild	ste͜oːpt͡ʃild
aþeotan	ɑːθe͜oːtɑn
hran	xrɑn
swan	swɑn
rinc	rink
eagæppel	æ͜ɑːɡæppel
gefer	jefeːr
hyf	xyːf
tiger	tiɡer
ciricragu	t͡ʃirit͡ʃrɑɡu
mircels	mirt͡ʃels
winhate	wiːnxɑːte
wucu	wuku
æþelcund	æθelkund
seod	se͜oːd
ligetsliht	liːjetslixt
fylþu	fyːlθu
sælan	sæːlɑn
geedfreolsian	jeedfre͜oːlsiɑn
deorwente	de͜orwente
begeotan	beje͜oːtɑn
merefisc	merefiʃ
mamrian	mɑːmriɑn
hriman	xriːmɑn
godscyldig	ɡodʃyldij
begieman	beji͜yːmɑn
fleohtan	fle͜oxtɑn
hereweg	xerewej
ifiht	iːfixt
oxnaford	oksnɑford
bitter	bitter
fulfremed	fulfremed
geþing	jeθinɡ
salor	sɑlor
gescad	jeʃɑːd
togeiecendlic	toːjei͜yːt͡ʃendliːt͡ʃ
freond	fre͜oːnd
guþrof	ɡuːθroːf
halh	hɑlx
wolgewinn	woːljewinn
sælþ	sæːlθ
þunrian	θunriɑn
fiscere	fiʃʃere
efensecgan	efensejjɑn
agnian	ɑːɡniɑn
bestyman	bestyːmɑn
wiþstandan	wiθstɑndɑn
cynferð	kynferθ
gador	ɡɑdor
inferan	infeːrɑn
norþanhymbre	norθɑnxymbre
giestranæfen	ji͜ystrɑnæːfen
gefeah	jefæɑx
wearr	wæ͜ɑrr
gespelia	jespeliɑ
þeah	θæ͜ɑːx
ordwulf	ordwulf
æglæca	æːɡlæːt͡ʃɑ
arwe	ɑːrwe
corenscipe	korenʃipe
floccmælum	flokkmæːlum
forberan	forberɑn
fyrhþe	fyrxθe
wlatian	wlɑːtiɑn
bora	borɑ
sengan	senjɑn
unscyld	unʃyld
undersecan	underseːt͡ʃɑn
geol	je͜oːl
bærnan	bærnɑn
eoforwicscir	e͜oforwiːt͡ʃʃiːr
affrica	ɑffrikɑ
gietan	ji͜ytɑn
modignes	moːdijnes
ealdnes	æ͜ɑldnes
stundmælum	stundmæːlum
cysa	kysɑ
hærfestlic	xærfestliːt͡ʃ
brytenlond	brytenlond
forspillan	forspillɑn
earnwulf	æ͜ɑrnwulf
modstaþol	moːdstɑθol
awendan	ɑːwendɑn
besmeagan	besmæ͜ɑːjɑn
byrþen	byrθen
strengest	strend͡ʒest
wa	wɑː
sigor	siɡor
ascrencan	ɑːʃrent͡ʃɑn
eþelmearc	eːθelmæ͜ɑrk
tobrecan	toːbrekɑn
wyrdstæf	wyrdstæf
paddoc	pɑddok
isiþes	iːsiːθes
ungewæpnod	unjewæːpnod
eoten	e͜oten
seoþan	se͜oːθɑn
helm	xelm
dydan	dyːdɑn
ofdune	ofduːne
oferbugan	oferbuːɡɑn
healice	xæ͜ɑːliːt͡ʃe
feltwurma	feltwurmɑ
disc	diʃ
steorfa	ste͜orfɑ
felafeald	felɑfæ͜ɑld
reccan	rett͡ʃɑn
gefan	jefɑn
besniwod	besniːwod
scieran	ʃi͜yrɑn
