Певень	pʲˈɛvʲɛn
пакупнікамі	pˌakupnikˈɑmi
страла	strˈɑɭa
выбірала	vˌɨbirˈɑɭa
Мінскаму	minskˈɑmu
шакаладку	ʂˌakaɭˈɑdku
Апалона	ˌapaɭˈona
найвышэйшага	nˌajvɨʂɛjʂˈɑɣa
просьбаю	prʌsbˈɑʲu
пасёлкам	pasʲˈɔɭkam
Прыняўшы	prɨnʲˈj͡awʂɨ
Рытм	rˈɨtm
сеялкі	sʲɛʲˈj͡aɭki
ураджайнасці	ˌuradʐajnˈɑst̻͡͡si
краязнаўчае	krˌaʲɪznawʈ͡͡ʂˈɑʲɛ
дзяўчын	dzʲˈj͡awʈ͡͡ʂɨn
друкаванае	drˌukavanˈɑʲɛ
валодаць	vaɭˈodat̻͡͡s
падтрыманню	pˌadtrɨmˈɑnnʲu
часопісамі	ʈ͡͡ʂˌasʌpisˈɑmi
вырашацца	vˌɨraʂˈɑt̻͡͡st̻͡͡sa
Першапачатковы	pʲˌɛrʂapˌaʈ͡͡ʂatkˈovɨ
Ліхтар	ɭˈixtar
дзелавых	dzʲɛɭˈɑvɨx
гола	ɣˈoɭa
пустога	pustˈoɣa
друкаваліся	drˌukavaɭˈisʲa
пераможнага	pʲˌɛramʌʐnˈɑɣa
ўдзячнасць	wdzʲˈj͡aʈ͡͡ʂnast̻͡͡s
рабят	rˈɑbʲɪt
Звычайныя	zvˌɨʈ͡͡ʂajnˈɨa
ўмець	wmʲˈɛt̻͡͡s
паўстанцамі	pˌawstant̻͡͡sˈɑmi
успрымалі	ˌusprɨmˈɑɭi
пераезд	pʲɛrˈɑʲɛzd
прысвойваецца	prˌɨsvʌjvaʲˈɛt̻͡͡st̻͡͡sa
комплекснай	kʌmpɭʲˈɛksnaj
ладзім	ɭˈɑdzim
пазванілі	pˌazvanˈiɭi
Морхата	mʌrxˈɑta
абяцала	ˌabʲɪt̻͡͡sˈɑɭa
Жанчыне	ʐanʈ͡͡ʂˈɨnʲɛ
ваўка	vˈɑwka
збіраць	zbˈirat̻͡͡s
Вы	vˈɨ
Юркі	ʲˈurki
вядра	vʲˈj͡adra
прадстаўнікам	prˌadstawnˈikam
транслюецца	trˌansɭʲuʲˈɛt̻͡͡st̻͡͡sa
дачных	dˈɑʈ͡͡ʂnɨx
забудзь	zˈɑbudz
Латушка	ɭatˈuʂka
павестку	pavʲˈɛstku
развіты	razvˈitɨ
Друкарня	drukˈɑrnʲa
Карысць	kˈɑrɨst̻͡͡s
замежных	zamʲˈɛʐnɨx
велікодным	vʲˌɛɭikˈodnɨm
клясу	kɭʲˈj͡asu
сьмяецца	smʲɪˈɛt̻͡͡st̻͡͡sa
Знакаміты	znˌakamˈitɨ
Баліварыянскай	bˌaɭivˌarɨˈj͡anskaj
эўтаназіі	ˌɛwtanazˈii
Любое	ɭʲubˈoʲɛ
спецыяльнасць	spʲˌɛt̻͡͡sɨˈj͡aɭnast̻͡͡s
Імшу	ˈimʂu
рамяством	ramʲˈj͡astvʌm
тратуараў	trˌatuˈɑraw
адрасаваныя	ˌadrasˌavanˈɨa
зацягне	zat̻͡͡sʲˈj͡aɣnʲɛ
цяляткі	t̻͡͡sʲɪɭʲˈj͡atki
Котра	kˈotra
захапляемся	zˌaxapɭʲɪˈɛmsʲa
Сакрамэнце	sˌakramˈɛnt̻͡͡sʲɛ
звальненні	zvaɭnʲˈɛnni
трапнай	trˈɑpnaj
выкід	vˈɨkid
камсамольскія	kˌamsamʌɭskˈia
суцішыць	sut̻͡͡sˈiʂɨt̻͡͡s
будкі	bˈudki
конскую	kʌnskˈuʲu
працягваць	prat̻͡͡sʲˈj͡aɣvat̻͡͡s
схавана	sxavˈɑna
калісці	kaɭˈist̻͡͡si
адпала	adpˈɑɭa
гонарам	ɣʌnˈɑram
заклікаем	zˌakɭikˈɑʲɛm
набіраўся	nˌabirˈɑwsʲa
суровы	surˈovɨ
паплечнікам	pˌapɭʲɛʈ͡͡ʂnˈikam
сімвалічнага	sˌimvaɭiʈ͡͡ʂnˈɑɣa
Советов	sʌvʲˈɛtʌv
капуста	kapˈusta
Сьвятым	svʲˈj͡atɨm
указаў	ukˈɑzaw
успамінах	ˌuspamˈinax
астраном	astrˈɑnʌm
Собалеў	sʌbˈɑɭʲɛw
падаражэла	pˌadaraʐˈɛɭa
куточку	kutˈoʈ͡͡ʂku
Кіраўскае	kˌirawskˈɑʲɛ
Белым	bʲˈɛɭɨm
Дзярэчынскага	dzʲˌɪrɛʈ͡͡ʂɨnskˈɑɣa
падрабязнасцямі	pˌadrabʲˌɪznast̻͡͡sʲˈj͡ami
факультатываў	fˌakuɭtatˈɨvaw
багаслоўскія	bˌaɣasɭʌwskˈia
каплічку	kapɭˈiʈ͡͡ʂku
намаганьнямі	nˌamaɣannʲˈj͡ami
карыснымі	kˌarɨsnˈɨmi
крымскім	krˈɨmskim
выканаўчымі	vˌɨkanawʈ͡͡ʂˈɨmi
адметнага	ˌadmʲɛtnˈɑɣa
шэф	ʂˈɛf
хто	xtˈo
калгасны	kaɭɣˈɑsnɨ
аднагадовыя	ˌadnaɣˌadʌvˈɨa
дасьледаваньне	dˌasɭʲɛdavˈɑnnʲɛ
Грышкі	ɣrˈɨʂki
пакет	pˈɑkʲɛt
пратэстантызм	prˌatɛstˈɑntɨzm
прыемнага	prˌɨɛmnˈɑɣa
праграмаванні	prˌaɣramavˈɑnni
душэўныя	dˌuʂɛwnˈɨa
праяўляў	praʲˈj͡awɭʲɪw
дару	dˈɑru
ўвайшоўшы	wvajʂˈowʂɨ
выгнаньні	vɨɣnˈɑnni
фірмовай	firmˈovaj
суполка	supˈoɭka
моцнымі	mʌt̻͡͡snˈɨmi
Матчына	matʈ͡͡ʂˈɨna
грымнула	ɣrɨmnˈuɭa
Азярніца	ˌazʲɪrnˈit̻͡͡sa
Бытчы	bˈɨtʈ͡͡ʂɨ
Адпаведна	ˌadpavʲˈɛdna
наступніка	nˌastupnˈika
знаходзім	znaxˈodzim
спагаду	spaɣˈɑdu
зьвяртаць	zvʲˈj͡artat̻͡͡s
даражыць	darˈɑʐɨt̻͡͡s
выслухоўвае	vˌɨsɭuxʌwvˈɑʲɛ
лячыць	ɭʲˈj͡aʈ͡͡ʂɨt̻͡͡s
ўручана	wruʈ͡͡ʂˈɑna
адбудуцца	ˌadbudˈut̻͡͡st̻͡͡sa
ідэнтычнасці	ˌidɛntɨʈ͡͡ʂnˈɑst̻͡͡si
напаў	nˈɑpaw
маладзейшая	mˌaɭadzʲɛjʂˈɑʲa
зрываў	zrˈɨvaw
станку	stˈɑnku
развіваецца	rˌazvivaʲˈɛt̻͡͡st̻͡͡sa
Франака	franˈɑka
любімае	ɭʲˌubimˈɑʲɛ
нялёгкай	nʲɪɭʲˈɔɣkaj
усімі	usˈimi
кіёск	kˈiɔsk
правінаў	pravˈinaw
аздоблена	ˌazdʌbɭʲˈɛna
яўрэйскі	ʲɪwrˈɛjski
уцяклі	ut̻͡͡sʲˈj͡akɭi
Рэспубліку	rˌɛspubɭˈiku
Ганаровага	ɣˌanarʌvˈɑɣa
небяспеку	nʲˌɛbʲɪspʲˈɛku
манах	mˈɑnax
зладзіць	zɭˈɑdzit̻͡͡s
Сустрэча	sustrˈɛʈ͡͡ʂa
глабальна	ɣɭabˈɑɭna
гараць	ɣˈɑrat̻͡͡s
меншасьцяў	mʲɛnʂˈɑst̻͡͡sʲɪw
самавызначэння	sˌamavˌɨznaʈ͡͡ʂˈɛnnʲa
Ігарам	iɣˈɑram
адхон	ˈɑdxʌn
ўборачных	wbʌrˈɑʈ͡͡ʂnɨx
выдавецкім	vˌɨdavʲˈɛt̻͡͡skim
прадастаўляцца	prˌadastawɭʲˈj͡at̻͡͡st̻͡͡sa
форме	fˈormʲɛ
пераможцай	pʲˌɛramˈoʐt̻͡͡saj
дзякуем	dzʲɪkˈuʲɛm
аргументамі	ˌarɣumʲɛntˈɑmi
самакіраванне	sˌamakˌiravˈɑnnʲɛ
Прынятыя	prˌɨnʲɪtˈɨa
Кабякоў	kabʲˈj͡akʌw
выражаем	vˌɨraʐˈɑʲɛm
плаваннем	pɭavˈɑnnʲɛm
паспрабаваўшы	pˌasprabavˈɑwʂɨ
выцягнула	vˌɨt̻͡͡sʲɪɣnˈuɭa
зямных	zʲˈj͡amnɨx
выяўлены	vˌɨɪwɭʲˈɛnɨ
пераконваемся	pʲˌɛrakˌʌnvaʲˈɛmsʲa
Распавёў	raspˈɑvʲɔw
валадарства	vˌaɭadˈɑrstva
магнацкага	mˌaɣnat̻͡͡skˈɑɣa
Юозас	ʲuˈozas
маштабная	mˌaʂtabnˈɑʲa
падпалілі	pˌadpaɭˈiɭi
бык	bˈɨk
бесперапынна	bʲˌɛspʲɛrapˈɨnna
Ютрані	ʲutrˈɑni
энтузіязму	ˌɛntuziˈj͡azmu
партыйнае	pˌartɨjnˈɑʲɛ
прачнуліся	prˌaʈ͡͡ʂnuɭˈisʲa
парэшткаў	parˈɛʂtkaw
ласкаю	ɭaskˈɑʲu
сцэнарыст	st̻͡͡sɛnˈɑrɨst
Ла	ɭˈɑ
насельнікі	nˌasʲɛɭnˈiki
флот	fɭˈot
велікодную	vʲˌɛɭikʌdnˈuʲu
рэалізм	rɛˈɑɭizm
перастаноўкі	pʲˌɛrastanˈowki
патаемнай	pˌataʲˈɛmnaj
надаралася	nˌadaraɭˈɑsʲa
Грамады	ɣramˈɑdɨ
памерам	pamʲˈɛram
забралі	zabrˈɑɭi
тэмаў	tˈɛmaw
знаходка	znaxˈodka
Бярэзіна	bʲˌɪrɛzˈina
ёмістасцей	ʲˌɔmistˈɑst̻͡͡sʲɛj
ажыццяўляецца	ˌaʐɨt̻͡͡st̻͡͡sʲˌɪwɭʲɪˈɛt̻͡͡st̻͡͡sa
здолееце	zdˌʌɭʲɛʲˈɛt̻͡͡sʲɛ
ложак	ɭˈoʐak
мясцовая	mʲˌɪst̻͡͡sʌvˈɑʲa
тагачасных	tˌaɣaʈ͡͡ʂˈɑsnɨx
Дамброўскага	dˌambrʌwskˈɑɣa
індыкатар	ˌindɨkˈɑtar
мікрааўтобусе	mˌikraˌawtʌbˈusʲɛ
небагатай	nʲˌɛbaɣˈɑtaj
перажыўшы	pʲˌɛraʐˈɨwʂɨ
Беларуснафта	bʲˌɛɭarusnˈɑfta
ядзернага	ʲˌɪdzʲɛrnˈɑɣa
карыстання	kˌarɨstˈɑnnʲa
пройдуць	prˈojdut̻͡͡s
праведнай	pravʲˈɛdnaj
ўсведамляе	wsvʲˌɛdamɭʲˈj͡aʲɛ
браце	brˈɑt̻͡͡sʲɛ
заалогіі	zˌaaɭʌɣˈii
стрымаў	strˈɨmaw
павышаў	pavˈɨʂaw
тэарэтычных	tˌɛarɛtˈɨʈ͡͡ʂnɨx
песьняй	pʲˈɛsnʲɪj
нічым	nˈiʈ͡͡ʂɨm
дадаю	dadˈɑʲu
пісьменніцу	pˌismʲɛnnˈit̻͡͡su
ўсклікае	wskɭikˈɑʲɛ
Камітэт	kamˈitɛt
берагавой	bʲˌɛraɣˈɑvʌj
тэмпературу	tˌɛmpʲɛratˈuru
адбілася	ˌadbiɭˈɑsʲa
прыжывецца	prˌɨʐɨvʲˈɛt̻͡͡st̻͡͡sa
радках	rˈɑdkax
плоскім	pɭˈoskim
Спектаклі	spʲɛktˈɑkɭi
Жаніх	ʐˈɑnix
салоне	saɭˈonʲɛ
менеджэр	mʲɛnʲˈɛdʐɛr
Уніі	unˈii
артыстаў	artˈɨstaw
лялькамі	ɭʲɪɭkˈɑmi
шкоду	ʂkˈodu
мыліцы	mɨɭˈit̻͡͡sɨ
замужам	zamˈuʐam
геадэзіі	ɣʲˌɛadɛzˈii
Стаўбцоўскім	stawbt̻͡͡sˈowskim
славацкая	sɭˌavat̻͡͡skˈɑʲa
тэрмінова	tˌɛrminˈova
дэкларуе	dˌɛkɭarˈuʲɛ
Хату	xˈɑtu
пражываў	praʐˈɨvaw
лагічнае	ɭˌaɣiʈ͡͡ʂnˈɑʲɛ
згаданага	zɣˌadanˈɑɣa
чатырохгадовы	ʈ͡͡ʂˌatɨrˌʌxɣadˈovɨ
Народнаму	nˌarʌdnˈɑmu
праектаў	praʲˈɛktaw
тутака	tutˈɑka
смятану	smʲɪtˈɑnu
перайменавалі	pʲˌɛrajmʲˌɛnavˈɑɭi
уяўленьне	ˌuʲɪwɭʲˈɛnnʲɛ
пасяліліся	pˌasʲɪɭiɭˈisʲa
Ліса	ɭˈisa
Гадавіна	ɣˌadavˈina
грэчку	ɣrˈɛʈ͡͡ʂku
Упершыню	ˌupʲɛrʂˈɨnʲu
цячэнне	t̻͡͡sʲɪʈ͡͡ʂˈɛnnʲɛ
снежня	snʲˈɛʐnʲa
Варыянт	varˈɨɪnt
ўстойлівую	wstˌʌjɭivˈuʲu
магчымасцямі	mˌaɣʈ͡͡ʂɨmast̻͡͡sʲˈj͡ami
Заснавальнікі	zˌasnavaɭnˈiki
засноўваецца	zˌasnʌwvaʲˈɛt̻͡͡st̻͡͡sa
Юлія	ʲuɭˈia
дашкольную	dˌaʂkʌɭnˈuʲu
звяртаюся	zvʲˌɪrtaʲˈusʲa
вытрымка	vɨtrˈɨmka
лідэраў	ɭidˈɛraw
абуджае	ˌabudʐˈɑʲɛ
дзесятка	dzʲɛsʲˈj͡atka
Панну	pˈɑnnu
дзявочае	dzʲˌɪvʌʈ͡͡ʂˈɑʲɛ
нястомная	nʲˌɪstʌmnˈɑʲa
дзівіліся	dzˌiviɭˈisʲa
страшэнныя	strˌaʂɛnnˈɨa
нагляд	nˈɑɣɭʲɪd
пошуку	pʌʂˈuku
пікавых	pikˈɑvɨx
файлаў	fˈɑjɭaw
сямейнай	sʲɪmʲˈɛjnaj
Ніцы	nˈit̻͡͡sɨ
дакуманты	dˌakumˈɑntɨ
стылізаваных	stˌɨɭizavˈɑnɨx
каштаваў	kaʂtˈɑvaw
воўны	vˈownɨ
своечасовасць	svˌʌʲɛʈ͡͡ʂasˈovast̻͡͡s
асіміляцыі	ˌasimˌiɭʲɪt̻͡͡sˈɨi
Табою	tabˈoʲu
пракаце	prakˈɑt̻͡͡sʲɛ
рэалій	rɛˈɑɭij
пашпарце	paʂpˈɑrt̻͡͡sʲɛ
выхаваўчая	vˌɨxavawʈ͡͡ʂˈɑʲa
Аналіз	anˈɑɭiz
мармуровыя	mˌarmurʌvˈɨa
нанялі	nanʲˈj͡aɭi
паўгоддзі	pawɣˈoddzi
неналежным	nʲˌɛnaɭʲˈɛʐnɨm
Астрожскі	astrˈoʐski
дысцыплінаванасць	dˌɨst̻͡͡sɨpɭˌinavˈɑnast̻͡͡s
шкадаваць	ʂkadˈɑvat̻͡͡s
прыярытэтнае	prˌɨɪrˌɨtɛtnˈɑʲɛ
мянты	mʲˈj͡antɨ
падлягае	pˌadɭʲɪɣˈɑʲɛ
археалагічнымі	ˌarxʲɛˌaɭaɣiʈ͡͡ʂnˈɨmi
пакланяцца	pˌakɭanʲˈj͡at̻͡͡st̻͡͡sa
мемарыяльных	mʲˌɛmarɨˈj͡aɭnɨx
імператару	ˌimpʲɛratˈɑru
турбавалі	tˌurbavˈɑɭi
абраную	ˌabranˈuʲu
дамка	dˈɑmka
АФІША	afˈiʂa
Мінскую	minskˈuʲu
спажыць	spˈɑʐɨt̻͡͡s
наблізіліся	nˌabɭiziɭˈisʲa
ёмістасцях	ʲˌɔmistˈɑst̻͡͡sʲɪx
нячыстым	nʲɪʈ͡͡ʂˈɨstɨm
уборкі	ubˈorki
ўменнямі	wmʲɛnnʲˈj͡ami
княстваў	knʲˈj͡astvaw
бурбалак	burbˈɑɭak
шчымлівы	ʂʈ͡͡ʂɨmɭˈivɨ
званага	zvanˈɑɣa
нумары	numˈɑrɨ
данос	dˈɑnʌs
адаптаваць	ˌadaptˈɑvat̻͡͡s
падрабязныя	pˌadrabʲɪznˈɨa
гасцявыя	ɣˌast̻͡͡sʲɪvˈɨa
Валодзькі	vaɭˈodzki
ахвочых	axvˈoʈ͡͡ʂɨx
салярку	saɭʲˈj͡arku
ТОП	tˈop
Каня	kˈɑnʲa
фронце	frˈont̻͡͡sʲɛ
саюзнікі	sˌaʲuznˈiki
начамі	naʈ͡͡ʂˈɑmi
жаба	ʐˈɑba
купляць	kˈupɭʲɪt̻͡͡s
каляровая	kˌaɭʲɪrʌvˈɑʲa
пастава	pastˈɑva
дачушка	daʈ͡͡ʂˈuʂka
буржуазія	bˌurʐuazˈia
адысці	adˈɨst̻͡͡si
схаваная	sxˌavanˈɑʲa
ўласнае	wɭasnˈɑʲɛ
Ангела	anɣʲˈɛɭa
пачуй	pˈɑʈ͡͡ʂuj
размяняў	razmʲˈj͡anʲɪw
катаўся	katˈɑwsʲa
зяць	zʲˈj͡at̻͡͡s
Папок	pˈɑpʌk
керамічнага	kʲˌɛramiʈ͡͡ʂnˈɑɣa
брудзе	brˈudzʲɛ
геаграфічным	ɣʲˌɛaɣrafˈiʈ͡͡ʂnɨm
дзеяння	dzʲɛʲˈj͡annʲa
завіхаюцца	zˌavixaʲˈut̻͡͡st̻͡͡sa
Ігумен	iɣˈumʲɛn
алімпійскіх	ˌaɭimpˈijskix
тычыцца	tɨʈ͡͡ʂˈɨt̻͡͡st̻͡͡sa
агрэсіўная	ˌaɣrɛsiwnˈɑʲa
арганізатары	ˌarɣanˌizatˈɑrɨ
спяшаўся	spʲɪʂˈɑwsʲa
кліпа	kɭˈipa
пабітыя	pˌabitˈɨa
сімвалічная	sˌimvaɭiʈ͡͡ʂnˈɑʲa
сувязяў	suvʲˈj͡azʲɪw
вышэйшых	vɨʂˈɛjʂɨx
імпэту	impˈɛtu
Шэін	ʂˈɛin
віноўнікам	vˌinʌwnˈikam
Брэсцкага	brɛst̻͡͡skˈɑɣa
Дню	dnʲˈu
Паслуга	pasɭˈuɣa
Лісты	ɭˈistɨ
святочнасці	svʲˌɪtʌʈ͡͡ʂnˈɑst̻͡͡si
Бісмарк	bˈismark
адваяваць	ˌadvaʲˈj͡avat̻͡͡s
Чыноўнік	ʈ͡͡ʂɨnˈownik
Ягонае	ʲˌɪɣʌnˈɑʲɛ
родных	rˈodnɨx
ўкраінцаў	wkraˈint̻͡͡saw
губляць	ɣˈubɭʲɪt̻͡͡s
удасканальваецца	ˌudaskˌanaɭvaʲˈɛt̻͡͡st̻͡͡sa
каханы	kaxˈɑnɨ
Цэнтра	t̻͡͡sˈɛntra
Габрусь	ɣˈɑbrus
набок	nˈɑbʌk
партызана	pˌartɨzˈɑna
выганялі	vˌɨɣanʲˈj͡aɭi
скульптурамі	skˌuɭpturˈɑmi
сапраўднаю	sˌaprawdnˈɑʲu
ідэалагічныя	ˌidɛˌaɭaɣiʈ͡͡ʂnˈɨa
літаратурныя	ɭˌitarˌaturnˈɨa
атрымлівала	ˌatrɨmɭivˈɑɭa
чалавечымі	ʈ͡͡ʂˌaɭavʲɛʈ͡͡ʂˈɨmi
уражаннямі	ˌuraʐannʲˈj͡ami
тэмпу	tˈɛmpu
сеем	sʲˈɛʲɛm
наведання	nˌavʲɛdˈɑnnʲa
байкі	bˈɑjki
нацыянальным	nˌat̻͡͡sɨɪnˈɑɭnɨm
Дзелавы	dzʲɛɭˈɑvɨ
напрацягу	nˌaprat̻͡͡sʲˈj͡aɣu
Русакевіч	rˌusakʲˈɛviʈ͡͡ʂ
памежным	pamʲˈɛʐnɨm
разумнейшы	rˌazumnʲˈɛjʂɨ
абмінула	ˌabminˈuɭa
ўвабрала	wvabrˈɑɭa
карупцыяй	kˌarupt̻͡͡sˈɨɪj
райаддзел	rajˈaddzʲɛɭ
думкаю	dumkˈɑʲu
эфектныя	ˌɛfʲɛktnˈɨa
Машэраў	maʂˈɛraw
касцёльным	kast̻͡͡sʲˈɔɭnɨm
дыябеце	dˌɨɪbʲˈɛt̻͡͡sʲɛ
Тэматычны	tˌɛmatˈɨʈ͡͡ʂnɨ
Вугоршчыны	vˌuɣʌrʂʈ͡͡ʂˈɨnɨ
наваў	nˈɑvaw
вольных	vˈoɭnɨx
своечасовага	svˌʌʲɛʈ͡͡ʂˌasʌvˈɑɣa
планаваўся	pɭˌanavˈɑwsʲa
запрасіла	zˌaprasˈiɭa
завяршаліся	zˌavʲɪrʂaɭˈisʲa
Караленка	kˌaraɭʲˈɛnka
развалілася	rˌazvaɭiɭˈɑsʲa
Паставілі	pˌastavˈiɭi
Мельнікаў	mʲɛɭnˈikaw
Садовая	sˌadʌvˈɑʲa
І	ˈi
падтрыманне	pˌadtrɨmˈɑnnʲɛ
палосамі	pˌaɭʌsˈɑmi
ідэй	ˈidɛj
незабыўных	nʲˌɛzabˈɨwnɨx
схіляцца	sxiɭʲˈj͡at̻͡͡st̻͡͡sa
узбраеннем	ˌuzbraʲˈɛnnʲɛm
вырашэньня	vˌɨraʂˈɛnnʲa
дабраўся	dabrˈɑwsʲa
язычніцтва	ʲˌɪzɨʈ͡͡ʂnˈit̻͡͡stva
прапанаванай	prˌapanavˈɑnaj
пастукаў	pastˈukaw
адыграе	ˌadɨɣrˈɑʲɛ
вызначаўся	vˌɨznaʈ͡͡ʂˈɑwsʲa
дзяжурныя	dzʲˌɪʐurnˈɨa
паведамілі	pˌavʲɛdamˈiɭi
стралковыя	strˌaɭkʌvˈɨa
ўзнагароджваюцца	wznˌaɣarˌʌdʐvaʲˈut̻͡͡st̻͡͡sa
кантралёры	kˌantraɭʲˈɔrɨ
Святасць	svʲˈj͡atast̻͡͡s
увядзеннем	ˌuvʲɪdzʲˈɛnnʲɛm
канцэрту	kant̻͡͡sˈɛrtu
прэмію	prɛmˈiu
СПЦ	spt̻͡͡s
прыбывае	prˌɨbɨvˈɑʲɛ
шафёраў	ʂafʲˈɔraw
Віктаравіч	vˌiktarˈɑviʈ͡͡ʂ
Асіповіччыны	ˌasipˌʌviʈ͡͡ʂʈ͡͡ʂˈɨnɨ
фабрыках	fabrˈɨkax
Расказаць	raskˈɑzat̻͡͡s
асколак	askˈoɭak
ўплывовы	wpɭɨvˈovɨ
урочышча	ˌurʌʈ͡͡ʂˈɨʂʈ͡͡ʂa
змешчаных	zmʲɛʂʈ͡͡ʂˈɑnɨx
смешных	smʲˈɛʂnɨx
кармах	kˈɑrmax
Павер	pˈɑvʲɛr
суперфосфата	sˌupʲɛrfʌsfˈɑta
аленя	aɭʲˈɛnʲa
упершыню	ˌupʲɛrʂˈɨnʲu
шафе	ʂˈɑfʲɛ
Здзіслаў	zdzˈisɭaw
раненне	ranʲˈɛnnʲɛ
Будучыя	bˌuduʈ͡͡ʂˈɨa
шчымлівай	ʂʈ͡͡ʂɨmɭˈivaj
ухвалены	ˌuxvaɭʲˈɛnɨ
салезіянскага	sˌaɭʲɛzˌiɪnskˈɑɣa
калектыва	kˌaɭʲɛktˈɨva
Навуковы	nˌavukˈovɨ
складзіце	skɭadzˈit̻͡͡sʲɛ
падазраюцца	pˌadazraʲˈut̻͡͡st̻͡͡sa
раздзялілі	rˌazdzʲɪɭˈiɭi
зычныя	zɨʈ͡͡ʂnˈɨa
загса	zˈɑɣsa
дзейнічаць	dzʲɛjnˈiʈ͡͡ʂat̻͡͡s
Святаполк	svʲɪtˈɑpʌɭk
рэкамендавана	rˌɛkamʲˌɛndavˈɑna
памінальная	pˌaminaɭnˈɑʲa
Асацыяцыі	ˌasat̻͡͡sˌɨɪt̻͡͡sˈɨi
Яўгеній	ʲɪwɣʲˈɛnij
ССР	ssr
конкурсам	kʌnkˈursam
ўнікальнай	wnikˈɑɭnaj
Святар	svʲˈj͡atar
службовымі	sɭˌuʐbʌvˈɨmi
уключылі	ˌukɭʲuʈ͡͡ʂˈɨɭi
Докшыцкі	dʌkʂˈɨt̻͡͡ski
паўтарэнне	pˌawtarˈɛnnʲɛ
перспектыўная	pʲˌɛrspʲɛktɨwnˈɑʲa
непачаты	nʲˌɛpaʈ͡͡ʂˈɑtɨ
офісныя	ˌʌfisnˈɨa
прынц	prˈɨnt̻͡͡s
здымкі	zdˈɨmki
Алах	ˈɑɭax
надзеямі	nˌadzʲɛʲˈj͡ami
Паэзія	pˌaɛzˈia
Акадэміі	ˌakadɛmˈii
кум	kˈum
бочцы	bˈoʈ͡͡ʂt̻͡͡sɨ
пакліканьне	pˌakɭikˈɑnnʲɛ
страже	strˈɑʐʲɛ
Камарова	kˌamarˈova
ласункамі	ɭˌasunkˈɑmi
праводзімай	prˌavʌdzˈimaj
Падляшша	padɭʲˈj͡aʂʂa
палявым	paɭʲˈj͡avɨm
носам	nˈosam
Александровіч	ˌaɭʲɛksandrˈoviʈ͡͡ʂ
пацаны	pat̻͡͡sˈɑnɨ
правераць	pravʲˈɛrat̻͡͡s
сумежнай	sumʲˈɛʐnaj
Матрона	matrˈona
подзвігамі	pˌʌdzviɣˈɑmi
Жылыя	ʐɨɭˈɨa
Сумняваюся	sˌumnʲɪvaʲˈusʲa
састарэлі	sˌastarˈɛɭi
званьне	zvˈɑnnʲɛ
Тыраж	tˈɨraʐ
Дзяўчат	dzʲˈj͡awʈ͡͡ʂat
Беленькі	bʲɛɭʲˈɛnki
адзнака	adznˈɑka
бой	bˈoj
дорага	dʌrˈɑɣa
ўмацавала	wmˌat̻͡͡savˈɑɭa
таталітарныя	tˌataɭˌitarnˈɨa
Ай	ˈɑj
абменныя	ˌabmʲɛnnˈɨa
сойме	sˈojmʲɛ
зачатае	zˌaʈ͡͡ʂatˈɑʲɛ
сасновых	sasnˈovɨx
тэматычных	tˌɛmatˈɨʈ͡͡ʂnɨx
Мураўёў	murˈɑwʲɔw
Вусаў	vˈusaw
пэўнае	pɛwnˈɑʲɛ
Фатограф	fatˈoɣraf
павагай	pavˈɑɣaj
ўтульна	wtˈuɭna
адначасна	ˌadnaʈ͡͡ʂˈɑsna
знішчалі	zniʂʈ͡͡ʂˈɑɭi
ізраільскіх	ˌizraˈiɭskix
баках	bˈɑkax
пражываючым	prˌaʐɨvaʲˈuʈ͡͡ʂɨm
вучняў	vˈuʈ͡͡ʂnʲɪw
дабівацца	dˌabivˈɑt̻͡͡st̻͡͡sa
уражаньняў	ˌuraʐˈɑnnʲɪw
персанажу	pʲˌɛrsanˈɑʐu
ператвараць	pʲˌɛratvˈɑrat̻͡͡s
гістарычнымі	ɣˌistarɨʈ͡͡ʂnˈɨmi
Падводзячы	pˌadvʌdzʲˈj͡aʈ͡͡ʂɨ
турмой	tˈurmʌj
Завершана	zˌavʲɛrʂˈɑna
схіламі	sxiɭˈɑmi
жыллёвых	ʐɨɭɭʲˈɔvɨx
выкананы	vˌɨkanˈɑnɨ
Падставы	padstˈɑvɨ
кульце	kˈuɭt̻͡͡sʲɛ
званкоў	zvˈɑnkʌw
Цёпла	t̻͡͡sʲˈɔpɭa
доўгатэрміновага	dˌʌwɣatˌɛrminʌvˈɑɣa
Яніну	ʲɪnˈinu
палепшаны	pˌaɭʲɛpʂˈɑnɨ
Эканамічныя	ˌɛkanˌamiʈ͡͡ʂnˈɨa
стомленых	stʌmɭʲˈɛnɨx
залежы	zaɭʲˈɛʐɨ
кансалідацыі	kˌansaɭˌidat̻͡͡sˈɨi
ламаюць	ɭamˈɑʲut̻͡͡s
Дарослы	darˈosɭɨ
Рафал	rˈɑfaɭ
ўзнімаецца	wznˌimaʲˈɛt̻͡͡st̻͡͡sa
прафесійным	prˌafʲɛsˈijnɨm
адведзена	ˌadvʲɛdzʲˈɛna
кабет	kˈɑbʲɛt
сфарміравала	sfˌarmiravˈɑɭa
Міхайлаўнай	mˌixajɭˈɑwnaj
Лядна	ɭʲˈj͡adna
Цэнтральнага	t̻͡͡sˌɛntraɭnˈɑɣa
складальнікаў	skɭˌadaɭnˈikaw
казалася	kˌazaɭˈɑsʲa
адставання	ˌadstavˈɑnnʲa
